	Great place	Stayed here on weekend of 28th Nov, with 3 other ladies. Was brilliant room, great value for money. Cant knock anything, it was fab. Would definitely recommend. The location is ideal and the tube is right outside the door. The staff couldnt do enough, it deserves its 4 stars. Kensington is a lovely place, very quiet and safe.	
Aug 5 2005	Amazing value for London	TripAdvisor came through again with this gem of an inexpensive hotel in the heart of London. We were looking for something cheap, clean and convenient and we got a lot more than we expected.Based on other reviews, we asked for a courtyard-facing room. Since the hotel is right on a very busy road (Cromwell), this might be the reason why our room was so quiet. Staff were very helpful on arrival, very important given our arrival. Four of us (2 adults, a 16yo and an 11yo) were travelling with multiple, smaller bags (4 knapsacks, 4 small suitcases) and my wife and 11yo got dumped on the doorstep of the hotel while I took my 16yo off on a special side trip. This can be a challenge if staff doesn't step in to help - as they did this time, turning it into a pleasant non-event.The room was London-small (North American's travelling to European capitals can get pretty claustrophobic if they aren't prepared). The room wiring was a bit confusing - one light switch at bedside turned off everything (including the TV and internet). The internet only worked when the TV was on. There was only one accessible plug and it was situated to make it nearly impossible to use a North American power convertor (until you pulled out the desk. Internet is pricey (like all European hotels) at around L12/night. The access mentioned a L16 package that included internet and one &quot;adult&quot; movie.The room was very clean and comfortable, with a large bathroom (with a shower/tub). We didn't stick around for breakfasts but the courtyard looked lovely from our room's window.The hotel is situated across the street from the Gloucester tube station and there's a Tesco Express for grocery/snack purposes. We got to the airport from the hotel in 35min and costing only L40.We had a quad room for L115 including VAT and we'd certainly be happy to stay here again.	
Jul 27 2005	Handy Location	We spent 3 nights at the Holiday Inn Kensington in London. We booked a Holiday Inn after reading/hearing horror stories about dingy, rundown hotels and wanted to avoid this. We were quite satisifed with this hotel. The hotel was about a half a block from the tube entrance and was quite easy to get to. The rooms were clean and and staff was helpful. The room we booked had a spiral staircase to get to the bed and bathroom (pull out couch and table with chairs downstairs) so if you have trouble walking on stairs this would not be the hotel for you. I found different prices for this hotel as I looked online so its worth checking. Also, there are grocery stores and delis nearby so we did not pay the price to eat breakfast in the hotel. The grocery store down the street is cheaper than the one right across from the hotel. Unfortunately we stayed at the time of the second bombing attempts on the tube and bus, but we were quite impressed by the presence of British police and the watchfulness of citizens and police.Ask for a room facing the courtyard as it is much quieter than the ones facing the street if you want to open the window, although this hotel is air conditioned.	
Jul 10 2005 	Perfect Combination!	I visit London on business once or twice a year and have stayed in many different parts of the city. I am a fan of the tube and find it most useful for getting around, even though my expense account would pay for more taxi trips. Summer 2004 and 2005 I took my family with me, and on this tirp (2005) we stayed at Holiday Inn Kensington because of the high-quality reviews from TripAdvisor. Let's face it, unless you want to part with a LOT of money, London hotels are an exercise in compromise. We chose HI-Kensington because it is across the street from Gloucester station on the Picadilly line, which goes directly to Heathrow. You can spend forever in London dragging your suitcases here and there, and this was by far the most convenient we have found (one note here--there is one set of stairs in Gloucester station with no escalator or elevator). The rooms are spacious, the garden-view request is definitely the way to go, and there's plenty of close-by amenities--grocery store, wine shop, late-nite store, Starbucks, coffee shop--the convenience factor alone makes this one a winner, not to mention that it's very comfortabel and reasonably priced. I've paid much more for much less in London, and I'm glad to have found this one.	
Jun 23 2005	Great choice!	Just got back from the Holiday Inn - Kensington. Stayed a week. This is the small Holiday Inn, not the Forum. We were looking for an affordable place to stay, with a room to accomodate myself, my husband, and my 5 year old daughter. Not an easy thing to do in London without paying a fortune. We had a garden view room, and the size was perfect. Two double beds, with a little bit of room for all her toys. The staff was wonderful, the room was clean. No toiletries, but we were warned of that. There are several grocery stores, supermarkets and restaurants in the area. Right across the street from a very convenient tube station. A garden for my daughter to play in. Air conditioning in the room (which we needed, since they are having a heat wave.) The AC was broken one night. When we complained, our bill was adjusted. Kensington is beautiful. A little bit away from the crowd, but close enough. We usually stay at much nicer hotels, but would definately stay there again.	
May 26 2005	Very adequate	I don't often have to stay overnight in London and this was my first time here. It is a very pleasant hotel and a typical Holiday Inn. I had an executive room which was clean and reasonably large - for London!The staff were polite and helpful. The hotel's big advantage is its location - right oposite Gloucester Road tube station and with a lot of great restaurants and bars in the vicinty.	
Apr 14 2005	The perfect spot for us	Just got back from our first trip to London. Stayed 9 nights at this Holiday Inn. It was perfect! The perfect size for 3 of us, perfect location across from the tube stop, restaurants with late hours, and a great grocery store. Nice, safe neighborhood. Helpful and courteous staff. Nice cocktail lounge on the first floor that stays open later than the area pubs. Would definitely stay here again!	
Apr 12 2005	Would stay again - great location and nice hotel!	My family and I stayed at the Holiday Inn (remember this is located at 100 Cromwell, NOT the towering Holiday Inn at 97 Cromwell) for a week in mid-March, 2005. The hotel itself is well run, very clean with great service and personnel. I wrote a note concerning their breakfast and the grocery store below. IMPORTANT NOTE: if you decide to make a reservation request a room facing the nice garden. Three reasons: much quieter as the other side faces a busy street, nice view looking down into a large garden area and beautiful old church and great air circulation when you open the large window. LOCATION is the name of the game in London. It is conveniently located within 100 yards of the Gloucester Tube which branches into three different tube lines (this is important for getting around-we purchased tube passes which were good for several days-really saved money on transportation). There is a great little grocery store called Waitrose directly across the street which makes it easy to purchase soft drinks, fruit, snacks and take back to the hotel for a quick breakfast. We didn't purchase the breakfast option - too expensive for our taste. Also, there are two restaurants by the grocery store. We thought Garfunkels was the better of the two - tastier food and more reasonable (for England) prices. A bank and ATM machines are right around the corner. We would definitely stay again - If you go - ENJOY!!!	
Apr 10 2005	Excellent Buffet Breakfast!!	Just spent 5 days at the Holiday Inn Kensington with my husband and 2 children aged 7years. Super location - Gloucester Road Tube 2 minutes across the road. Right opposite the hotel is a large Waitrose supermarket, a Garfunkels restaurant and all around are various sandwich bars, small supermarkets etc. Nice, modern lobby with a very nice, modern, what looks to be recently refurbished bar area. Beautifully tended gardens with a lovely old church in the grounds. We stayed in a standard room which wasn't overly large. The room overlooked Cromwell Road which is a major route and was, I have to say very noisy. BUT - the double-double-glazed window system was excellent and when both windows were shut you could hear no noise atall. I would have liked to have asked for a room overlooking the garden when I woke up after a very disturbed night's sleep but my husband thought it would take too long to repack! For future reference, and especially if you have young children, request a room overlooking the garden. We had to have the a/c on overnight which, even at the lowest setting made a distinct 'hum'. The rooms, I have to say, were very hot. I would much rather have been able to have the window wide open. Bathroom was fair sized, fairly plain, nothing special but clean and serviceable with a quite nice power shower. My husband thought the room lacked storage space which I tend to agree with - 2 adults and 2 kids in April had quite a few fleeces, jeans, gilets, etc and there was a problem finding places to store it as wardrobe (x 1) was very small and only 4 very small drawers. Room had 2 double beds which pleased the kids as previously they have had to have a sofa bed and complain of the springs being felt through the mattress. The only thing I did notice was the beds were very 'springy' and, being a light sleeper, felt every turn my husband made in the night!! Best bit was the buffet breakfast, which was included in the price (booked through central reservations on a 3-day flex option). Kids ate free. On offer was a fry-up, all sorts of croissants/muffins, toast, rolls, cereals, grains, fresh fruits, juice, cold meats, etc, etc. The first 2 mornings (mid week) we ate in the modern, refurbished, restaurant overlooking the garden but on the weekend mornings, they opened up one of the conference suites, obviously to cater for the increased number of weekend guests, and this room (the Buckingham Suite I think it was called) was a little tired looking with an old fashioned swirly carpet. All in all the hotel was good value, clean, comfortable and in a super location. Didn't have the usual extras in the bathroom that you can take home with you, but there was a sign which said if you'd 'forgotten' anything like shampoo, shower cap, etc, they would provide you if you asked. We paid about £480 I think, for the 4 nights including breakfast ('kids eat free'!) but it was only after receiving confirmation of the booking that I realised that price didn't include VAT. There is another Holiday Inn in Kensington - the Kensington Forum, which you could see from our room. It is a very high, ugly building, almost sky-scraper like, and the lady from central reservations told me at the time of booking that it is prolifically used by air staff from Heathrow who stay overnight, and didn't have the charm and personal touch of the Kensington Holiday Inn. I would imagine she was right there. Incidentally, the hotel is a lovely, old building with a lovely white facade, I would say of Victorian age.	
Mar 31 2005	Excellent Value and location very helpful staff	I highly recommend this hotel. The Holiday Inn Kensington will make you feel like you are staying in a hotel in New York City. Lots of Americans stay there, including American Airlines personnel. In fact, it seemed like airline employees were ubiquitous. The address given is 97 Cromwell Rd and don't get confused as there is another Holiday Inn across the street. This Holiday Inn, at 20+ floors is the largest building in the neighborhood, about 2 blocks from the Gloucster Rd underground station. The main entrance of this hotel is not on Cromwell Rd, but in the back. The lobby is quite spacious and modern with plenty of room to sit. The lobby also has wireless internet. The staff was knowledgable, helpful, enthusiastic and young. They seem to enjoy chatting with and helping the guests and really appear to love their work. The staff seemed to really cater to making foreigners feel comfortable. Our room was clean and modern, very well kept and large by London standards. There were always taxis waiting at the main entrance, even as early as 5:00am. As of March 30, 2005, international calling to the US was 3.60 pounds/minute. Local calls were about 50P per minute.	
Mar 12 2005 	If only it wasn't a Holiday Inn	The location is exellent by the Gloucester Rd. tube stop on the Piccadilly line with direct access to Heathrow. There are numerous restaurants and shops nearby. The building itself is nice backing up to a large garden. The lobby and bar/restaurant areas are pleasant. The staff were helpful. The rooms, are unfortunately, Holiday Inn classics, with tacky plastic advertisements on every surface, and a deep green color scheme...mattress was sagging and the bathroom was unattractive. Bathroom amenities were non-existent. I got one tiny bar of soap the whole 7 days I was there.	
Feb 28 2005	Simple and Reasonable	My wife, our 2 children and I stayed at the Holiday Inn Kensington for a week around new year. It was one of the few hotels I could find in central London that has rooms with two double beds, and the rate (117 pound including GST) is reasonable for London. Exorbitant anywhere else for what is is, but reasonable for London.Our room was cosy but quite adequate. It overlooked the park to the North so we were spared any noise from Cromwell Road and enjoyed a nice view of an old church and grounds. The bathroom could do with retiling but it was clean and a good size and even had a speaker so that I could listen to the TV news while shaving!We didn't eat in the hotel restaurant. Breakfast was about 12 pound each and the thought of spending $100 before we'd even set foot outside the hotel was too much. The supermarket across the road has a good selection of cereals, fruit, pastries, yoghurt, fruit juice, etc. Beware of the &quot;cheap&quot; Italian restaurants 100 metres down the road. One of them had some small rolls on the table when we arrived and we were charged a pound each for not having told the waitress to remove them. When we asked for water they brought 4 small bottles at 2 pound each. Read the small print on the menus!The hotel location cannot be beaten. We jumped the tube at Heathrow, alighted at Cromwell Road without having had to change trains, and then simply walked 40 metres to the hotel. For getting around London you could hardly be better located.All in all I was very happy with this hotel.	
Feb 23 2005	Excellent room.Excellent service.Great location	February 23rd.2005.Spent four nights here last weekend.Perfectly situated directly opposite Gloucester Rd. tube station on main 74 bus route to Oxford St/Baker St.Bars, restaurants,coffee shops and food stores within steps of hotel.Classy modern hotel in typical Chelsea building.Occupied duplex suite with spiral staircase to upper floor king sized bedroom.Amazingly large accomodation for central London in this price range.Despite artic temperatures in London, the hotel was cosy.Discovered the window latch was broken and we could not open window.On report, the faulty lock was immediately replaced and we were provided with a fan to cool separate areas of the suite! Great service..congratulations to the excellent front office and maintenance staff. We will always choose this hotel on our future bi-annual trips to London and have already recommended it to friends.	
Feb 8 2005	Well worth considering	Minor problems failed to stop us enjoying our three-night stay in a very competently-run hotel which we would consider in the future.  The hotel is in an excellent location, within two minutes' walk from Gloucester Road tube station, with notably convenient shopping and a foreign currency exchange with very good rates. Check-in for our three night stay at the start of January 2005 was polite. Although we had paid for a double room at check-in they offered us a choice of either a smoking king-size room immediately or a non-smoking king-size room in an hour. I suspect this was due to being a Priority Club member and having specified a preference for king beds.  We decided to wait for the non-smoking room and visited a prominent Internet cafe very near Victoria station to pass the time. Unfortunately my partner had her wallet stolen. We cannot blame the hotel for this, even though it did ruin our day. Calling card (0800, &quot;free&quot;) calls are not free from the hotel room, though the charge to your bill is relatively reasonable at 40p.  The room was a decent size, with a long desk down one side, a minibar, a round table, a selection of news magazines and two chairs. The bathroom was typically sized - that is, small - but the amenities were fine and the shower was excellent. The bed was indeed king sized, a single soft mattress, and one of the best British beds we've slept in. Breakfast was decent; our rate (ninety pounds per night including tax) included breakfast and they didn't charge us for the room service, even though it was not clear either way whether there would be a charge or not. Cleanliness was entirely fine.  The entertainment was better than in most British hotels: a selection of channels approximately equal to the Freeview service at no charge, plus 4 hours' internet and computer games for eight pounds. There was a little sticker shock at that price - a phone box outside will give you 15 minutes for one pound, and Internet cafes are cheaper still - but even if you aren't going to use two hours, being able to surf the 'net indoors in your pyjamas is well worth a premium rate. The Internet access is displayed on the TV using a slightly backwards browser and less-than-wonderfully-crisp fonts, but it's certainly adequate overall.  On the downside, the room is quite long and thin and the long bed stretches across it to the point that you would like an extra six or twelve inches' walkway between the bed and the immovable desk on the opposite wall. When you're carrying a laden breakfast tray, it's rather more precarious a gap to squeeze through than you'ld like. Additionally, the staff did not seem completely familiar with the details of either what their room service should have been or what it was in practice; while the menu lists an impressive selection of ice creams and sorbets, the actual choice bore little resemblance and we weren't sure that they actually delivered what we ordered. Either that or we just can't tell blackcurrant from plum.  These are incidental downsides, though; the price is competitive by London standards, offering respectable value, the location is excellent and we consistently rested well. To me, that adds up to a hotel which is well worth considering for a return visit.	
Jan 11 2005	Good reliable place to stay	Just returned from a week in London - stayed at the Holiday Inn Kensington. As a Priority Club platinium member, I was automatically upgraded to an Executive Bedroom at no extra charge. Normally that upgrade would cost 20 pounds per night. There is a similarly priced upgrade available for something called an Oversize Bedroom and for an additional 40 pounds per night a suite is available. The Executive Bedroom was the size of a typical American hotel room - I assume the &quot;regular&quot; room would be smaller. The bathroom was quite large for a European hotel. Based on reading earlier reviews, I did request and receive a room on the garden side of the hotel. The hotel is on a main thoroghfare that is quite busy in the morning, so a garden side room is definitely something you should try and get.As noted by several earlier reviews, the heating system was a BIG problem. The room was extremely hot. I complained and got a run around. First I was told the AC would be repaired. It wasn't. Second attempt at repair also failed. When I insisted that the maintenance person come to the room, the story changed - now the AC system was allegedly off in the entire building! I was offered a fan and that did help. I wasn't able to open the window as the mechanism was broken and that too couldn't seem to be repaired.On the plus side, the location is great! There's a Tube station across the street plus a Starbucks, a great patisserie and a number of decent restaurants within walking distance (stay away from the Garfunkel's however).I'm returning to London in April and will probably stay here again - though I will be emailing the manager and Priority Club about the heating problems.	
Jan 6 2005	Loved the Holiday Inn Kensington	My 15 year old son, husband and I recently spent 5 nights over Christmas at this hotel! What a wonderul stay we had. We even received a Christmas present on Christmas eve! Absolutely would stay there again!	
Dec 18 2004	Close to piccadilly line and central london	I stayed here this past week for three nights with my parents and we were very happy with the hotel. Everything was very clean, the room was what we expected (not European standards, very American) and all the staff we encountered was very friendly and helpful.Only problem we encounted was the heating/cooling system in the room. Our room was extremely warm the entire time, despite trying to adjust the air system. As it was winter, we just opened the window.Most importantly for us was the location...my mother is slightly handicapped and has trouble walking, and this hotel is only about 1/2 block from the tube station. (Piccadilly line which goes direct to Covent garden, Piccadilly Circus, Leister Square in less than 10 minutes direct...also goes to Heathrow the other direction).I would recommend this hotel to anyone who wants to have a very safe and friendly neighborhood and quick access to the center of London.	
Nov 24 2004	Holiday Inn Kensington 20-22 Nov 2004	My family and i have just spent 2 nights at this hotel. We had booked a family room and got a standard sized room with 2 double beds. The room was clean but was dingy and dark feeling. The bathroom was also clean but needed updating- ie the taps were rusty,the tile grouting grey etc. Location wise for us it was great- within walking distance of the Natural History and Science museums as well as Harrods...which were the places we had planned to &quot;do&quot;. Breakfast was good, lots of choice hot and cold. Dinner on the saturday was fine- the food was edible but not the best i have had- the service was slow even though there were 7 empty tables and we were told that they &quot;only had 2 chefs on duty&quot;- not our problem as guests !! Our puddings took ages but the manager did offer us free coffee so he did try!We decided to eat there again on the sunday for many reasons, one was that kids eat free, the other was that the kids were tired and we thought they could go up to the rom once they had eaten to allow my husband and myself half hour as a couple ! I ordered the Bacon and Avocado Ceaser salad...it was AWFUL...the dressing was so full of vinegar that each mouthfull of salad just tasted of vinegar, i complained and was told by the waitress that &quot; this is the dressing he always uses&quot; i told her a was a trained chef and that it was not a ceaser dressing. she took my plate away and it was soon brought back by the manager who argued that it was correct- his tone was dreadful and i actually had to leave the table as i was so upset. Eventually i changed the dish for the cold salmon with home made chunky chips . the salmon was fine but the chips were undercooked in the middle- we decided to sign the bill and leave as the meal and evening had been spoilt.Basically i would stay here again if i upgraded my room and didnt eat in the Garden Restaurant. There is an ASK and a Garfunkles opposite so we would use those even if we had tired kids!	
Oct 18 2004	Great location good room- dont forget to add VAT.	We stayed at the Holiday Inn for 4 nights about two weeks ago and were very happy. We checked in late and then checked out early due to our air movements through LHR, but there were no problems &amp; the staff were very helpful &amp; courteous.As we were able to get an early bird rate off the internet it was only a standard room, but very comfortable and most importantly - quiet. The only thing to remember with internet bookings is to add the VAT of 17.5% to the advertised room rate- but even allowing for that, we still paid well under the standard tariff. As others have noted the location is excellent with the Gloucester Road Tube station 2 minutes walk away, as well as cafes, patisserie, supermarket and bars as well!. If we are back in London we will stay there again.	
Oct 16 2004	Americans expect too much????	We stayed at the Holiday Inn Kensington for 5 nights in early August. The reason I chose this hotel was because it's OFFICIAL website said it had Air Conditioning in all the rooms. The A/C did not cool our room for our entire stay. I reported the lack of A/C to the front desk the first day and they said they were working on restoring it. (The ice machine was not working on our floor either.) Temperatures were in the high 80's with a high humidity. We were not able to sleep. I reported the problem to the management the every day. I was assured it would be working soon. The A/C never cooled our room. We &quot;suffered: for 5 nights. We DID NOT pack up and move to another hotel because we had PREPAID for the room for the entire stay. The HOLIDAY INN policy states in the official website that if &quot;there is a problem with your stay, you will be reimbursed.&quot; I wrote to the manager and Holiday Inn when I returned to the States. I explained carefully the problems I encountered at the Kensington Holiday Inn. I received a surly letter in return stating that &quot;Americans expected too much and our stay would not be reimbursed.&quot; The official Kensington Holiday Inn website NOW states there is A/C in public areas only. This is a change that took place AFTER our stay! PLEASE BE AWARE that this HOLIDAY INN does not stand by HOLIDAY INN POLICY. Gee, I wonder if the Kensington Hotel has heat in the winter.....?????	
Sep 27 2004	Basic but Functional	Stayed overnight last Sat 18th September 2004Certainly not the ritz but then again your not paying for the Ritz ! Perfect for families, no problem for 2 adults + 3 kids in 1 room which isnt that easy to get at times. Leisure facilites pretty poor, jacuzzi + steam room out of action.Buffet Breakfast was excellent !!!All in all youd select this hotel for affordable clean accomodation with excellent location and a great breakfast anything else look elsewhere.Be sure to book on the holiday inn website for best rates	
Sep 7 2004	Great Place to Stay When Travelling With a Family	We just returned September 3, 2004 from a 3 week holiday in the UK, spending 4 days in London. Our booking was last minute. We were travelling with our two daughters, 16 and 20, finding it difficult in London to find accommodation for 4 adults last minute. I am sure I looked at every hotel in London on the internet. I was lucky to find the Holiday Inn, Kensington through recommendations from Trip Advisor and at an amazing price for the 4 of us. It fit all of our needs. We were not dissappointed. The room was the size we are use to in North America, quite large, with two double beds. A large bathroom with a great shower, lots of hot water and black granite floor. I asked for a room overlooking the garden and was granted my request. It was exceptionally quiet. We thought we were the only ones staying in the hotel! The hotel is right across the street from the tube, making travel around London very easy. Just up the street from the hotel is a Sainsbury grocery store, which is quite large. There is yet another grocery store in the tube station and another being built across the street. There is an internet cafe just around the corner, restaurants, etc., all within walking distance. But what makes the hotel most appealing is the location...away from the crowds of London, but with easy access to them!I would definitely stay again.	
Sep 5 2004	excellent choice	just got back from a trip to london...the hotel is in a great location across the street from the tube and a mini shopping center with restaurants a supermarket.very clean hotel with a great service, updated and well kept.try to get a room facing the garden .very good breakfest.it was a good choice for a stay with 2 kids in the room.we will go back next time.	
Sep 1 2004	Loved The Hotel	We stayed at the hotel for 4 nights in August, 2004. The hotel is in a great location and on the tube line.The rooms are large North American style rooms, rather than the smaller European rooms that are usually found in London. The hotel is very clean, is air conditioned and is very quiet. We managed to get a rate which included a very nice buffet breakfast.	
Aug 12 2004	Had a great time..	Just returned from a weekend in London where my daughter (6) and I stayed at the Holiday Inn Kensington. It was out first away together so I didn't want to be dealing with any hassles regarding the hotel and I must say the need never arose. The staff were friendly and helpful. I had requested a family (2 twin beds) room with a view overlooking the garden at the rear of the hotel (which is a joy itself) and was very happy that my requests had been met. The room was sizeable with all the necessary requirements and nicely furnished. It's obviously a family orientated hotel with as many kids as adults in residence and that in itself was a winning point for me.I would easily recommend this hotel to anyone with children staying in London and most definitely come back to stay again.	
Jul 21 2004	Great location comfortable hotel	This is a nice hotel with a great location. Don't confuse this hotel at 100 Cromwell Rd with the one down the street at 97 Cromwell (HI Forum). The other one is 27 stories with one ice machine. This one is a boutique hotel and has an ice machine on every floor (obviously important to me).Ask for a room facing the garden which will be quieter and a lovely view.The location is ideal. Within walking distance of Kensington Palace and the Victoria &amp; Albert. Directly across the street from the Gloucester Road tube station (served by the Circle, District and Piccadilly lines). Tons of restaurants within one block ranging from the Burger King to extremely elegant, a laundry within a block, two internet cafes within a block, a gift shop with a full Post Office is next door, a Waitrose (grocery store) is directly across the street, a Boots (drug store) is directly across the street, a 24 hour small grocer is within a block.Rooms are comfortable and can be spacious. I've found the best rates are deals offered on the Holiday Inn website. I've paid as little as 80 pounds, this is a moderately priced hotel for London if you book on the web site. Walk-ins pay 225 pounds. The TV is pretty dreadful, only gets about 12 stations and most of the time nothing worth watching on TV. There's a bar and a pub in the hotel. Concierge is pretty useless.Beds are soft but they have backboards if you ask for them. Safes in room that you set your own code for. The hairdryer is in the desk drawer and is definitely lowpowered. There's a clothespress in the room but they will send up an iron and ironing board when requested. Tea/coffee maker in room.If you travel with a computer you can check it at the front desk and they will hold it in the back office which only the staff have access to.	
Jul 10 2004	Good Transition to European Hotels	This hotel was a great transition to Europe. The room was large enough for three to be very confortable. Very convenient - only a block from the tube stop. The only strange part was most of the staff was French, not English.	
Jun 27 2004	Exceeded Expectations...Wonderful!	We're a family of five, and were thrilled to find a room that would accomodate all of us (with a rollaway). Upon check-in, we felt genuinely welcomed, and the desk clerk actually spent several minutes with us giving us advice about how to plan our sightseeing. Upon reaching our room, we were pleasantly surprised. I thought that we'd be shoehorned in, but the room was actually quite large for a European hotel. The bath was clean, and was large as well, although I do agreed with others about the mile-high tub. Our room also had french doors that allowed for plenty of ventilation, and gave a nice view of the back garden. And the location, less that a 5 minute walk from the Tube station, could not have been better. We did eat breakfast at the hotel every morning of our 4-night stay since it was included in our 99 GBP/night rate. We found it to be consistantly good. There was plenty of fresh fruit and pastries, as well as the traditional eggs, bacon, sausage, cold cereal, etc. Actually, since we had an additional person in our room, we should have paid for one of us each morning. But the staff never billed us and, when asked, told us that it was not a problem. We also ordered room service a couple of times, and found the service quick and the food to be good and not horribly overpriced (relatively speaking, of course!).Overall, I felt that we got a great value for our money. We've not always been thrilled with the Holiday Inn chain in the US, but we were very glad that we chose this hotel. Highly Recommended!	
Jun 25 2004	Pleasant Stay at Holiday Inn Kensington	My stay at the Holiday Inn Kensington June 12 to 16th was very pleasant overall. Except for the intial delay in getting my room. I had requested early checkin. However, upon arriving at the hotel at approximately 12 noon, I was informed by the desk clerk (the only not so pleasant member of the staff that I dealt with) that my room was not ready. No problem, I left my bags with the concierge (very friendly and accommodating) and went to have lunch. Upon my return at 2PM I was informed my room was still not ready. When I asked how this could be if checkin was at 2PM (according to Holiday Inn's website) I was informed by the desk clerk that checkin was &quot;from 2PM&quot; and that he didn't know when my room would be ready. I was not happy but I wasn't going to let that spoil my vacation so I went off sightseeing by the time I returned (almost midnight ) my room was ready. The room was nice and clean, a little small but comfortable double beds and roomy bathroom. The A/C worked pretty well despite hot weather. Had ice machine just down the hall. Only other problem was that despite 3 people in the room, each day the housekeeper only left 2 towels. Each day I had to request additional towels. Great places to eat near hotel, The Patisserie for breakfast and Pizza Piazza for Italian were two of my favorites. Waitrose across the street is a great market. 	
Jun 20 2004	Wonderful service........	My wife and I with our 18 and 21 year old children stayed at the Kensington Holiday Inn June 12-18. Upon arrival at 2 p.m. we were told our room wasn't ready and were asked to return in one hour. When we returned and the room still wasn't ready they immediately upgraded our room to a two level suite that was prepared. The rooms were terrific, the kids slept downstairs and we were upstairs. The staff quickly responded to our requests for a roll away bed, an iron and bowls for breakfast. The hotel has a small gym area with a good selection of free weights. There also is a sauna and a spa that we used several times, especially after walking the steps at the Eiffel tower. The hotel cafe serves an excellent grilled chicken sandwich with fries, cole slaw and coke for 5 GBP. The other reviews are accurate reference easy access to the tube, grocery store etc... (the best grocery store is Sainsbury two blocks up Cromwell). There are many restaurants nearby (Lonestar steakhouse that plays country music.....) an internet cafe and laundry mat are two blocks down the street, and an ATM is at the intersection. The hotel staff was outstanding, even though we may have seemed like the &quot;Griswolds&quot; at times they answered any of our questions. As a side note all the pubs quit serving at 11. The hotel bar serves until 1......our experience at this hotel was all positive and we will reccomend it to our friends 	
Jun 19 2004	Enjoyed Our Stay	We stayed at the Holiday Inn London-Kensington, 100 Cromwell Road (not to be confused with the Forum) from June 9th to the 16th and I was very pleased with it. Our room had French doors which opened and overlooked the garden at the back of the hotel. The size of the room was adequate and, apparently, if our travel agent is to be believed, this was one of the few hotels in London that could accomodate 3 people. The room itself was very nice and well-maintained, although our housekeeper never seemed to grasp the fact that there were 3 of us in the room, in spite of the 3 toothbrushes on display in the bathroom, so we were always short a glass and short on the coffee/tea supplies, but we never bothered to complain. By the way, if you're American and love your coffee, be aware that you'll be drinking instant coffee with milk--not cream--most places that you dine. Horrible! Anyway, back to the hotel: the bathtub stood about one foot above the floor and was difficult to climb out of--dont' know how I would have managed it if I were a senior citizen/pensioner. But, there was instant hot water and the AC worked just fine--we had to use our room &quot;key&quot; to operate the electricity in the room. I was surprised to find that wash cloths were provided, but I recommend bringing your own soap and shampoo. The squeeze bottle of combination body wash/shampoo in the shower stall was just not cutting the mustard. Breakfast was not included in our price for the room (which was 99 BP/night) and we did have breakfast there one morning at a cost of about $60.00, (or 13.00 BP per person--darned exchange rate!) so, needless to say, we did not return. No complaint about the breakfast itself, but it was just too dear. Fortunately, there are many places to eat nearby and a Waitrose grocery store directly across the street from the hotel. The Glouster Road tube station is also directly across the road, so this hotel is perfectly situated and the area is very safe and rather posh--the buildings on Cromwell Road reminded me of &quot;Upstairs, Downstairs&quot;. Finally, the staff were very courteous and the concierge answered our questions adequately. Would I stay here again? Absolutely!!	
