	Very nice would certainly revisit	I visited this hotel for 7 nights this November, and I was very pleased with the service that we received relative to the good price that we paid for our stay. The hotel is in a relatively central location, just minutes away from the tube. The room was basic but had whatever was necessary to make our stay a good one, cleaned and having fresh towels provided on a daily basis. Breakfast was a good one, with fresh fruit being really fresh, whilst the hotel environment and staff were extremely helpful. This hotel is ideal for anyone looking for a centrally located budget hotel in london for a very good price, and we'd recommend this hotel to anyone.	
Apr 29 2005	Would definitely go back to the Westminster Bayswater	My two sisters and I stayed at the Westminister Hotel, 16 Leinster Square, Bayswater when we went to London last week for 2 nights from Dublin. We booked online and stayed in a triple room which was bright, spacious, smoke-free, warm with very comfortable beds - 1 double bed plus 2 single beds. There were 3 wardrobes in the room and a normal sized bathroom. Everything was very clean which was important to us and the hotel staff provided bottled water with the tea/coffee making facilities (well, we had to ask for our water as it was advertised on their website). The continental breakfast was really lovely, plentiful and served in a big breakfast room. One of my sisters is a vegan and the staff kindly stored her dairy free milk int the fridge near reception! If you come in after a couple of drinks remember to open the window or turn down your radiator as the room can get quite warm at night! Bayswater &amp; Queensway Tube Stations are a 10 minute stroll away and just around the corner from the hotel is a beautiful organic store which sells everything including freshly cooked take-away organic food. We will definitely stay at the Westminster Hotel again and would recommend it to anyone. Price worked out at about Eur56 per person per night incl. breakfast - perfect!	
Mar 12 2005	ok	This hotel was just ok for me. Particularly, the room was too small and there was a strange odour coming from the bathroom, I reckon. This smell was not pleasant at all. Also, the floor kept cracking so when my neighbour from the upper floor got up in the morning I couldn't sleep no longer. One more problem was that housekeepers kept breaking into the room in the early morning and were making loud noise during their cleaning. So this hotel is very average and I'll try to find something else next time.	
Mar 3 2005 	Fairly basic but ok	My room was a single, and as such really quite small, but clean and with everything you would expect for the price and the star rating. The radiator was on full and didn't seem to be able to be turned off so I had to open the window all night but otherwise it's fine for a night's stay as with my trip, though perhaps not so good if you are staying longer and want the hotel to be a memorable feature of your holiday. Nevertheless the staff were friendly, the complimentary breakfast ok, the bed comfortable and the location safe and close to the tube and a variety of restaurants.	
Feb 10 2005	Recommended	The westminster hotel was excellent for the price. Our twin room was large and bright, although the bathroom was quite small. The staff were really friendly and the breakfast was more than adequate. Lots to choose from and you can eat as much as you want! The only disadvantage I found was the distance from a tube station. I had to get a taxi to and from Paddington station to get around London. Other than that the location was nice, in a quiet street with lots of shops in walking distance. I would definately stay here again. 	
Feb 9 2005	Good Value London Hotel	Stayed here in Feb 2005. Good and quiet location, 15 minute walk to Paddington, 5 minutes to Bayswater Tube Stop. Tiny room, but it was clean, the bed was comfy and it had just been decorated. Breakfast was adequate, we had the continental breakfast included in the price and we paid an additional £3 each to also have a fried breakfast. Staff were indiffernt. However as we payed £61 for the two of us, can't really complain. 	
Feb 6 2005	A Nice Place to Stay	I spent a weekend in July at the Westminster and had a lovely stay. I shared a room with two friends, and our triple was a nice size. The linens were fresh and the room was well kept. The bathroom, while small, was clean. As someone else commented, the toilets didn't always flush on the first try, but I found this to be pretty common with toilets all over the UK... they really do just work differently than American toilets. Breakfast was much better than I expected with several tasty options instead of the typical toast-and-jam &quot;continental breakfast&quot; I've had at other UK hotels. The staff were polite and helpful in giving us directions and helping us plan outings around town. The location is great too, as the hotel is on a quiet street only a short walk away from a variety of restaurants and shops. The only inconvenience we encountered was that the elevator only goes up to the fourth floor, and we had a room on the fifth. It was a bit of a hassle to drag our luggage up and down that extra flight of stairs, and the elevators were either slow or not working at all. Besides that, it was a great stay and I would recommend the Westminster to anyone looking for a decent, not-overly-priced place to stay in London.	
Dec 19 2004	Surely not the best but affordable	It is not too easy to find a Hotel in London which you can afford and it should be clean. The Westminster is. The rooms are small, very old houses, connected, the view to the yard backside is absolutely awful, close your eyes before, then the curtains. The bathroom was pretty clean, white tiles, spacy, really !! The warm water appeared after a &quot;quarter of an hour&quot;, the walk to the room was with a lot of different levels on the floor, don't drink and walk. We had 2 rooms, one for my mum, and this room was terrible small, one single small bed, even problems to store the luggage.The breakfast was pretty good, OK, not fully cooked, but you can order for about 3 pds. more, it was a buffet, continental, very well equipped.This is not the Hilton, but here you can stay for a week, and not only for one day for the same rate. The way to the tube is about 5-10 minutes walk, the area is very busy, just steps away from the hotel, but the hotel itself was very calm, even the adjoining youth hostel didn't bother us.If we would stay again there ?? I think so, if it will not decrease in quality.	
Dec 8 2004	Westminster Hotel	Good priced hotel with a nice location. The room was a bit shaby and needed some repair, but was clean and everything worked.	
Dec 5 2004	Great Value for Money	Having read and heard of so many horror stories about 2 and 3-star hotels in London, we chose this hotel because of the good above comments we read about it. We were not disappointed, and had a great stay. The hotel was well-located, service-oriented, with spacious and cozy rooms. Guests were a combination of UK-business men, young American and European adults. We have not seen what other hotels in this category look like in London, but we felt that we got great value for money with this one.	
Jul 6 2004	Good value		
Jun 17 2004	Enjoyed the stay		
Mar 26 2004	Loved it - Perfect for student travelers		
Dec 10 2003	Give this one a miss		
Oct 23 2003	good breakfast		
Jul 30 2003	small but cute		
May 21 2003	Definitely tourist class hotel		
Mar 4 2003	Theme hotel		
Nov 16 2009	Muy bueno		
Nov 9 2009 	Buona base di partenza per visitare Londra		
Oct 20 2009 	Trevlig personal på lungt hotell med turiststandard.		
Sep 20 2009 	Hôtel pas mal bien situé mais un peu cher pour ce qu'il est réellement		
Aug 12 2009 	Buon hotel a basso budget		
Jul 22 2009 	Accogliente		
May 29 2009 	Bon rapport qualité/prix et quartier calme et sympa		
May 17 2009 	Buon rapporto qualità prezzo hotel carino e comodo		
Apr 19 2009 	Buena ubicación y mejor limpieza		
Mar 31 2009 	bella sorpresa		
Mar 17 2009	Mauvaise expérience à LONDRES		
Mar 11 2009 	Excelente relación calidad-precio y limpieza		
Feb 25 2009 	Tipico Inglese		
Feb 8 2009 	Hotel en maravilloso barrio de londres		
Feb 5 2009 	hotel très bon rapport qualité prix		
Dec 26 2008 	Très bon rapport qualité/prix		
Oct 31 2008 	umi - perfecto		
Oct 23 2008 	Alles perfekt!		
Mar 30 2008 	Más ventajas que inconvenientes		
Mar 5 2008 	Génial !		
Jan 17 2008 	Non male		
