	after-pains	not customer-oriented hotelvery low service levelboor reception	
Feb 28 2006	Yet another great stay!	This is the second time I have stayed at the Holiday Inn Kensington Forum. The rooms are a standard European size (small) but they are kept spotlessly clean and the hotel couldn't be in a better location. It was incredibly busy while we were there but the walls are so well insulated we would have never known how full it was until we went down to the lobby. There are cabs waiting there at all times, which is quite helpful if you have a very early or late flight out. If you take the tube from Heathrow Airport, it is one tube ride with no change of lines. It couldn't be easier to get there and is right in the middle of a fantastic neighborhood which is within walking distance to the Natural History Musuem, Victoria and Albert Museum and Harrods. We did a bit more exploring of the neighborhood and found some fantasic restaurants. I will certainly stay there every time I go to London.	
Feb 28 2006	Good modern hotel	Had an overnight stay at the Kensington Forum. We have stayed there previously and it was again up to standard. Our room on the third floor was too near the road and a little noisy. The hotel is efficient and check in and check out were clockwork. Parking is a little steep at £25 a night but it is central London. Breakfast was fine, big choice and well cooked. We walked straight in but 30 minutes later the queue was huge. Room was pleasantly furnished and clean. As a previous reviewer states, it is popular with airline staff and has a cosmopolitan feel. One criticism is the prices in the bar. The bar is pleasant and like a typical pub but a bottle of cheap rose plonk weighed in at £15.95p - over the top as we weren't even eating. We normally stay across the road at the Millennium Gloucester and book a Club Room. There is little difference in the price and when we return to London in three weeks I have booked the Millennium in preference to the Forum. All in all a pleasant overnight stay in a good quality modern hotel.	
Feb 15 2006	All the Worlds a Stage here !	My wife and I stayed at this hotel between Feb 11 and 14th on a Full English breakfast rate. We enjoyed our stay very much. The Kensington Holiday Inn Forum is a busy bustling hotel - and must not be confused with the much smaller HOLIDAY INN across the road ,opposite Gloucester Road Underground Station ! Our room on the 18th floor overlooked Central London. Sadly the weather was not at its best to give clear views but at night it was possible to make out the London Eye - well worth a trip on this !! - Big Ben Clock Tower, and St. Pauls Cathedral. The room was kept scrupulously clean and tidy by the cheerful staff. But one criticism was that the lavatory flush was inefficient. You had to press the central knob vigourously, sometimes twice or three times to clear everything. Frustrating, when you might be in a hurry to go out.Breakfast was served on the first floor. You had to queue and present your check in card which showed what type of breakfast you were entitled to. You were given a coloured token indicating the designated breakfast which you had to show on your table - no cheating therefore !! The range of food available would have satirfied anyone, all well cooked and efficiently replenished. The staff worked hard to clear the tables - with 1000 breakfasts to handel each morning this was no mean feat.But why was the Japanese section not labelled in Japanese script !?All the world seemed to be present. It was like being 'abroad' in London ! On Saturday evening a wonderful display of West Indian bling was on show as couples attended the twice weekly jazz session.We also noticed that airline staff stayed here: always a good sign.Outside taxis were always available whilst the Left Luggage staff were efficient in storing luggage (free).We had one evening meal in the ground floor restaurant, well cooked again, but the service was very slow. Only one chef appeared to be on duty at 6 pm. With less than 12 customers present it took more than 35 minutes to be served. So ensure you arrive well before you want to leave for your evening show !Would we stay here again ? Yes. For $400 for three nights it was good value for your money.	
Jan 21 2006	Excellant Hotel	Just got back from a two day break here (Thurs -Sat). It was my first time in London and couldn't have picked a better hotel! We booked through (-), and it was only £79 per night room rate.Its situated right around the corner from Gloucester Road tube station (on the central line). Hotel lobby is very impressive and I was immediately dealt with by probably the most helpful and efficient staff I have ever had the pleasure of meeting.The rooms are great - exactly what you would expect from a chain hotel - appointed excellantly and spotlessly clean.Breakfast was really good, but on Saturday the queue was huge! So either get up early or be prepared!The location of the hotel was brilliant - really nice area. As we were two women travelling on our own we didn't feel at all threatened in any of the local bars or indeed the hotel bar.The only downside I would say is that the hotel bar itself is quite expensive - we paid £9.15 for a glass of wine and a vodka and coke. Although this was about the same price as the local bars etc. it was above average for London itself.All in all I would definitly recommend this hotel to anyone wanting a pleasant stay in London, in a nice area, at a good price!	
Jan 8 2006	Perfect position	We just came back from London.We stayed in Holiday Inn Kensington Forum and I am glad that we did.I have stayed in another holiday inn hotel in London in the past but I must say that this was the best for a lot of reasons.I found a very good rate in secret hotels in ---- with continental breakfast.It was only 90 Euros per night during Christmas period.The position of the hotel is great.Just next to Gloucester Road tube station.We had a very good twin standard smoking room on the 10th floor,not very big but a have seen smaller ones,very clean with a free morning newspaper, with iron and ironboard and with a european outlet so that we could charge our mobile phones.I have read some reviews about the lifts but do not believe them.With 7 speedy lifts it is rather strange to wait for more than a few seconds.The English breakfast was not included in our rate and it costed 15 Pounds.But the continental breakfast was great and as I hate English breakfast it did not matter at all.There is also an ATM machine at the lobby of the hotel and a few taxis that always wait at the entrance of the hotel.The check in was very quick.But If you want to book a theater ticket do not do it through the hotel.I was told that they would provide you only the expensive ones and they would charge you even more.I always buy tickets in advance through ticketmaster.	
Jan 2 2006	Merely adequate	Despite the rave reviews posted by other patrons, we found this hotel to be merely adequate. Most of our complaints are related to the staff: the few times a concierge was actually at the desk, our simple questions about London were either not answered (they could not recommend a good Asian restaurant) or answered incorrectly (we were advised to go up to the top floor of the hotel for the best view of the New Years' fireworks--for those of you who don't know, the fireworks are on the Thames, so this advice was clearly and comically wrong!) The employees at the desk could not even locate the hotel on the map they supplied, let alone help us navigate the city. There was never any evidence that the maid did anything in our room other than shut off the heat each day, which was rather annoying (also, our shampoo was not replaced, and there was mold in the electric kettle when we tried to use it, which was really, really gross). Finally, the hotel did nothing to inform us about a transit strike on the tube and when we heard about it on our own and asked the concierge for help with getting to the airport, he advised taking a cab service for 50 pounds plus banking holiday surcharge--we luckily found a cheaper alternative by ourselves. Still, if you're just looking for a cheap place to lay your head, the Holiday Inn Kensington Forum is a great location...just don't plan on any &quot;extras&quot; like having your trash can emptied on a regular basis.	
Dec 26 2005	Excellent	We stayed for 3 nights at the Kensington Forum and found it to be well located for sightseeing.Our room was large in size and clean and well kept.Breakfast was well organised with an excellent variety.I have already recommended this hotel to several people.An excellent base for a trip to London!	
Dec 23 2005 	Love staying here!	I go to London quite frequently and I will only stay at the Holiday Inn Keningston Forum. I made the mistake of staying in other hotels. You get excellent value for money in a 4 star hotel. Gym facilities are fantastic as well as hotel amenities. It is very close to the tube for easy commuting access. I highly recommend staying here.	
Dec 10 2005 	Nice find in Kensington	I stayed here for one night in December 2005 paying £86 a night having booked through the Priority Club website. I booked a standard room but got my upgrade to an executive room.Other reviewers have mentioned that the rooms are small. I would agree that they are very compact, but fine for one person. My room was clean and well furnished, with a a comfortable 5ft bed. I was on the 5th floor (there are over 20 I believe). My only gripe about the room was that the hot water was not very hot. My room had the usual exec features of the bathrobe and slippers and as a Priority Club Platinum member, my gift was a half bottle of wine, which was just what was needed after a hard day.I didn't sample any of the food options but there are several outlets just around the hotel. I would definitely look at staying here again if in the area and the rate was right. As usual, the Holiday Inn has done the basics very well. Comfy bed, large clean towels and a nicely furnished room.	
Dec 6 2005 	No rice - only noodles!	Can you believe this!? I asked if I could have rice instead of noodles in the day's 'special' - and was refused! The reason? They were too busy (There were about 15 people in the restaurant...)The cold tap in the basin in my bathroom was smeared with toothpaste which went all over your hands when you turned the tap on. And why are we bombarded with requests to view pornography every time we turn on the television set? This hotel has many good features but needs to smarten up its act if it is to impress this traveller...	
Nov 30 2005	Just got Back	Overall the trip was nice. The hotel was much better than the Thistle Victoria in which I stayed last time. I checked in early without a problem. The Gloucester road Tube is about 1 block away on the Picadilly, Circle and District lines. Very convienient to hop on the tube and head out. Cabs are usually waiting downstairs for you. Concierge was ok, though my first day the gentleman was not very helpful. And there is one blonde french girl who works the front desk who is to die for :) I'd definitely stay here again, as I frequent London quite often.	
Nov 23 2005	More than adequate	My wife and I stayed at the Holiday Inn Kensington Forum in September of 2004, and I found it to be an excellent value (unlike pretty much everything else in London). I think we paid something like $150 a night, which is pretty darn cheap for London nowadays. Our room was small by U.S. standards, but it had been recently refurbished (clean, modern, lots of blond wood) and the bathroom was quite nice. The location is fantastic--you're literally around the corner from the Tube station; there's a Sainsbury's supermarket right above the aforesaid Tube station (which has a hot foods counter that I wish we'd discovered earlier on in our trip--I'd much rather pay 2 pounds for some Sainsbury's chicken tikka than 10 pounds for a mediocre meal in one of London's many mediocre restaurants); and the neighborhood is stunningly beautiful (it's just down the road from the Natural History Museum and in the midst of what must be gazillion dollar homes/flats). If you can get a decent deal on the Kensington Forum, I'd certainly recommend it.	
Nov 21 2005	Another Very Pleasant Stay	Just spent 7 nights at the Holiday Inn London Kensington Forum. We have stayed here several times before. As the other comments point out, rooms are generally small, but the level of comfort is high as rooms are modern and rooms have been updated recently. We were upgraded to a suite, which provided a superior level of comfort and lots of room.Another plus is its location - convenient to the tube, museums, shops, etc.Although pricey by US standards, this hotel is moderately priced by Londond standards. We have paid more at other hotels for rooms that are shabby and uncomfortable and inconveniently located.	
Nov 10 2005	It's the location	This was our second stay stay at this hotel based on it's location. It is very convienent to the Underground, restaurants, stores, etc. I would stay here again, but the rooms have become too small for our taste. Two things to note. You no longer need a room key to access the elevator and the business center does not open until 8:00am. If you're comfortable with tight quarters this would be a good choice for most anyone.	
Nov 6 2005	great location /well run	We stayed 5 nights on a b+b basis Hotel huge - 900 rooms Buffet breakfast good for a buffet This is a well run hotel with a great location for the metro  Rooms a bit on the small side but I would stay again	
Oct 25 2005	Wonderful hotel	I truly enjoyed my stay in London Oct 19-24. The best part of my trip was the hotel. My room was very clean and the tube was close by. Checking in and out was quick and easy. There are plenty of restaurants and grocery stores close by. I would definitely recommend the hotel and I plan to stay here on my next visit to London.	
Oct 10 2005 	Great Hotel	Stayed at this hotel on Oct 5th 2005 for one night. Check-in was fast. Room was clean, bright. The location is also good because it is literally 150 footsteps (I counted for this review) from Gloucester Road Underground Station. Word of advise. If you are arriving via Gloucester Road Underground Station, turn right after exiting the station and right again up the street at the Baileys Hotel.Breakfast next morning was fine, but we had to wait a while for it to be served. There was a mix-up with my order. You can have any type of breakfast and as much as you like.I now have a hotel I will use again as a base in London for future visits.	
Oct 7 2005	Great Location good value	I have stayed in a few hotels in London while touring but it would be difficult to find a better location in London for the tourist class who is looking for value, efficiency and cleanliness. The tube is right around the corner, the neighborhood is clean and safe and the hotel has all the things you would expect from Holiday Inn. The included breakfeast was a plus and I noticed the wi fi folks using the free service in the lobby.The only minor complaint was the fact that the business center with its computers for those of us without laptops is only open 9-5. Hello, what tourist is in the hotel at that hour?I would and will return.	
Oct 2 2005	Lovely place convient situated	This hotel is just a two minute walk away from Gloucester Road Station from where you not only get into to the town centre (5 stops) and the South Kensington shopping and museum area (1 to 2 stops) but to Heathrow Airport (many stops) as well. The hotel was obviously newly refurbished and the room I got was very nice furnished. However, the room was not very large but one does not expect to get a large room in London. The minibar system was quite interesting as the bill is charged as soon as an item is taken out. So, you have to be careful and should only take what you indeed want to drink.The huge coffe bar in the lobby is quite nice and offers drinks and food at good prices.As I had a terrible hangover when I stayed there I can not write anything about the breakfast.Staff was very nice as they always are at Holiday Inns.Would stay there again.	
Sep 30 2005 	but. . . some problems	I have stayed at this hotel for two weeks each two times this year on business. The location and American standards (like washclothes) are nice touches. The first time (april) my stay was fine. . a few problems that were all responded to quickly. I noticed on my last stay that the quality of service was very diminished. There were a few persons at the reception that were down right rude. One man in particular who was wearing a training badge and indeed needed more training or perhaps just let go. After getting off a red-eye flight from the states, i recognize that i can be pretty sensentive, but a few of my colleuges who checked in a different day commented on this man too. I made all efforts to avoid this man and all else at reception was fine.  The biggest problem that was affecting everyone in the hotel was the elevator system. Every day it seemed a different card reader was broken. This means that you are not able to call another elevator until someone calls that elevator up because they wont operate without a card reader. it was really rediculas!! During my last stay there was an incident where a chain from a necklace disappeared. I am sure it was an accident because i left it laid out on a cloth napkin (so i could find it again) and the napkin had been taken. I found the pendant for the necklace lodged in a crack where it must have landed when the room was cleaned. Besides that the last time nothing was worth noting. This time however, My housekeeper constantly left dishes in my room that it was clear i was finished with (a dirty plate inside an icebucket) and neglected to replace the furnished glasses a few times. She would make up the bed but leave it away from the wall, like she was too lazy to shove it back in the right spot. She also took the key for the gym I had in the door a few times (once it was replaced a few days later but the other time it never was) Wierd!! My room itself was a little worn and torn--I was in a non-smoking room and my comforter had cigarette burns on it. This was never replaced, despite me reporting it. In addition, one day the bed was made up with ripped sheets!!! i dont know if my expectations are too high to expect better for 200$ a night!!! The carpet also had a bubble in it that i was constantly tripping over.Last thing. It is nice that they have wi-fi in the lobby, but it is extremly crowded there and if you dont have a computer, the business center is only open business hours (arent we at work then?) so if you have to use the computer after business hours and didnt bring your own, you have to find an internet cafe. . i really dont see why they cant open it on request?So like most places I would say most of my bad experiences are due to a few bad apples. I know i will probably stay here again and i really hope they step it up at the Forum!!!	
Sep 28 2005	Enjoyed the HI Kensington Forum	My husband and I stayed for 4 nights and had no issues. Upon arrival, we upgraded to the executive double, which was worth it. The hotel is clean and the staff helpful and friendly. The hotel was centrally located with the Gloucester Road tube stop just a few blocks away. They have a luggage room, which is great if you are arriving early or need to leave your luggage after checking out. The only thing that was different was that you need to use your key card to access all levels in the lift and to turn on the lights/air in the room.	
Sep 25 2005	very happy	we stayed for 10 nights. Myself &amp; my husband, my elderly mother &amp; my husbands parents (3 rooms). We were on the 20th floor &amp; very happy with the rooms &amp; the service. We had an english breakfast included each day, the breakfast staff were very friendly &amp; the selection was fine.Our only problem was that my credit card was accidently charged 3 times, with the holding deposit, should have only been a swipe, which put me over my limit &amp; took me a couple of phone calls to Australia &amp; the police station (which wasted the best part of a day as we thought it was credit card fraud)to sort out the problem. The hotel apoligised &amp; refunded me the money, just something to be aware of, but could happen anywhere.We were still very happy &amp; would stay again. Great location. Friendly staff &amp; very clean.	
Sep 25 2005	Brilliant	We have just stayed in the Kensington Forum and have to say that it is the best hotel we have stayed in in London for the price. We booked using the vouchers found in the Yorkshire Post and paid £60 a night for a double room with breakfast. An amazing deal for London. The hotel is about 100 yds from th Gloucester Road tube which is on the Piccadilly line ( straight route from Kings cross).We were checked in by a friendly and efficient member of staff. The room was small but very clean and modern. It had everything we neeeded.After a short queue for breakfast we enjoyed an excellent buffet style English breakfast. Although the dining room was very busy it didnt seem like a cattle market. I cannot recommend highly enough this hotel. I have stayed in London many times and paid the full range of prices for a room. I can say that every time I have been disappointed with either the value, standards, cleanliness,service of the hotel. not this time. We will certainly be back.	
Sep 22 2005	Awsome Hotel!!!!!!!	My cousin and I (2 single girls) stayed at this hotel for a week on spring break in March of 2005. We loved it. The location was perfect, just a minute from the Gloucester Rd. tube station. We were easily able to navigate the city from this location. 98% of the concierges were perfect, always pleasant and extremely helpful. The grocery store was quite convenient for people like us with limited funds. Our room was neat, clean and an adequate size. The mattresses were a bit too soft, but everything else was just great. I would stay here again and again and always recommend it to others. This was truly an awsome experience.	
Sep 13 2005	Great Value	I stayed at the Holiday Inn Kensington Forum for 3 nights during the third week of august 2005. Standard room was VERY clean and seemed new or newly renovated. The room was small however, and space is tight for two people. Hotel is conveniently located near the gloucester road tube stop and is in an upscale part of the city. Some of the front desk and wait staff were from continental europe. No one was rude to me, but many of the staff are cold, or distant. The best part of this hotel is it's value. London is a very expensive city. The hotel is clean, modern, and in an excellent location. Perfect for those who are visiting London on a budget.	
Sep 11 2005	Great location	Our one night stay was arranged by the cruise line so I can't comment on the price. The room was small but included all amenities. Plus, it was truly a non-smoking room, not one that had been &quot;freshened.&quot; It was our first experience with a elevator that required the room card before taking the guests to the appropriate floor.The continental breakfast was okay. But we would definitely stay again because of the hotel's location. It was so easy to get around since the Gloucester Rd. tube station was a short walk. A terrific Waitrose grocery store was across the street , a Tesco Express and Burger King nearby. The Delhi Brasserie restaurant recommended by the hotel's concierge was a short walk, the food delicious and reasonable.	
Sep 10 2005	Excellent	I just can not say enough good things about this hotel. Check in and out was a breeze. Room was a nice size,clean and modern.The staff was always friendly and helpful.Probably one of the best bargains in central London!!!!!	
Aug 31 2005	Solid well run hotel	I stayed at the hotel for a night in August during a lay over in London. I was given a double room. As a single person, I found the room size adequate, though not spacious. For 2 peple with luggage, it would have been cramped. Aside from that, the location is great and the furnishings were modern and very comfortable. The hotel is right around the corner from a tube station, so it's convenient for travelling around the city. The food was good and the service was very good. It's a &quot;purpose built&quot; hotel, which means it doesn't suffer from the poor renovation standards you sometimes encounter in some older London hotels that used to be private homes. For the price, I'd say this is one of the best bargains going and, with the caveat about the room size, I would recommend the hotel highly.	
Aug 27 2005	Absolutely Loved This Place	This was by far the best place we stayed in London. I guess the Kensington Close was next and the worst was the Grosvenor Kensington.Our room actually had enough room to turn around ..the bathroom was clean and had a few ammenities. We actually had face cloths.We arrived at noon and check in was suppose to be at 2p.m. they found a room for us right away. The consierge was very helpful. There was a huge breakfast buffet but we didn't eat there because it was somewhat expensive..if I remember correctly around 11 pounds for the continental and for the whole thing about 14 pounds ..a little high for breakfast for us. They also had a bar area and dining area directly off the lobby. There was a fitness center...everything was immaculate.Very good ..we will definitely stay there again....close to shopping and the underground ..restaurants were close and a laundromat was also close by.	
Aug 23 2005	Excellent location and service	I stayed here with my family on Aug 18-Aug 21. The location is excellent, just a short walk from the Gloucester Road tube station and in a lovely neighborhood. We arrived before the official check in time but were immediately given our rooms. Rooms were comfortable, roomy and clean. Concierge was very helpful; we didnt take the English breakfast but the downstairs bar offers croissants and Starbucks coffee and the service was very nice. The hotel seems to be the hotel of choice for flight crews passing through London; you can take that as a sign of a decent, dependable hotel that is not too (by London standards) expensive. I would not hesitate to stay here again. A very good value for the price.	
Aug 23 2005	Functional and Efficient	This is a massive hotel which caters for everyone from business people, to tour groups, to airline crew. Service was efficient but far from personal, how could it be when the place was as a large as it was! Executive room was clean and of a reasonable size, however the bathroom was one of the smallest I have ever seen. Overall an above average hotel based on location and price (GBP 45 inc tax) but not one for a romantic get-away!	
Jul 24 2005	Nice	I really liked this hotel. This was my second trip to London and I wanted to stay in the same neighborhood but also wanted to give my wallet a rest.This was my first stay at this hotel. It met all my expectations - very clean room w/pleasing modern decor, above average housekeeping services, accomodating staff. The room was also very roomy. The hotel was also more upscale than I expected for a HOLIDAY INN. I will defintely stay here again.	
Jul 17 2005	Great hotel great location !	Got this at a great price via priceline and at first was worried about Holiday Inn- as usually don't care too much for this chain in the U.S. - this hotel, however, far exceeded my expectations - it was cleaner than all other hotels I stayed at in London, with a good size room, lovely bathroom.Location is fantastic - both on bus line and underground, with many useful stores on Gloucester Rd. The views from the higher rooms are just fantastic and the male desk person who checked me in was very nice and gave me a room on a high floor.The two things I disliked were the somewhat unfriendly German female staff (as determined by the flags on their lapels) I dealt with- very brusque and certainly not rude, but just not very helpful or friendly - referring most of my simple questions to others, and even acting like I should not be bothering them with the queries -and the smoke on the first floor due to the bar area. These were minor issues, considering how great the room was.Additionally, one other problem was that room service was very very inefficient - requesting a menu to be brought to the room took 45 minutes and the guy actually had the audacity to suggest he read it to me over the phone instead of sending one up, after I had to call three times.I don't consider these problems big deals, however, becuase the positives of this hotel were numerous and I had a great stay!	
Jul 10 2005	Good basic hotel	This is a good basic hotel which has a terrific location. The Gloucester underground station is just around the corner and within easy walking distance. Additionally, there are numerous restaurants everywhere ranging from fast food to upscale. The hotel concierge desk is very helpful. The rooms are nice but beware the room refrigerator. The unit in my room seemed to run endlessly and was quite noisy, particularly during the early morning hours. Additionally, the refrigerators are computerized and just removing an item to look at it will automatically result in a charge to your room bill. If you don't believe me, just read the warning sticker on the inside of the refrigerator door. Check-in time is 2PM and the hotel won't bend an inch. We arrived from Heathrow at 1:50 and were forced to sit in the lobby for 10 minutes before they would give us the room.	
Jun 28 2005	Quite nice for a Holiday Inn	My partner and I stayed at Kensington Forum from June 20-23, 2005 and found it to be better than adequate. Yes, the room was smaller than we Americans are used to and expect, but was about average in size for European hotels. The room was very clean, and the beds were comfortable. I'll admit that it was a bit confusing at first to have to use the room key to turn on the lights and select a floor on the elevator, but it wasn't a big imposition - again it was just different from what Americans expect. The continental breakfast was fine - with lots of fresh pastries, dry cereals, juices, etc., and the full English breakfast buffet looked good, too. If I were inclined to huge breakfasts, I would have indulged.The least adequate aspect was the fitness center - it was smallish and didn't provide the kind of exercise equipment that a hotel of that sort should offer. The best part: The concierge - whose name was Gladstone - was great. He was very knowledgeable about restaurants, gave great advice on getting tickets for shows, gave flawless directions. We tipped him fairly handsomely because he was extraordinarily helpful.Oh - and a great location. Just a block from the Tube station.	
Jun 26 2005	Amazing location!	Stayed at the HILK (what a great acronym) for 4 days in May 2005. I'll give you a brief rundown on the pluses and minuses:Great:- checked us in at 11 am after a transatlantic flight- room larger than average, compared to our continental Europe travel- location, location, location ... just a few moments from the Gloucester Road underground station, which means super-easy access to Heathrow much of Zone One- concierge very helpful with providing directions - air-conditioned!Not-so-great:- price ... but we felt we did quite well for London at $200 CDN- phone calls ... local calls VERY expensive, even to landlinesWould I stay again? For sure, but I would work a little harder (Priceline, etc) on finding a better deal.	
Jun 21 2005	Good hotel	We really enjoyed our stay at the Kensington Forum in February. The rooms were spotless and comfortable, as were the bathrooms. The location is right next to the Picadilly line tube stop, so it is very convenient to get around town and also to the airport. There are also several restaurants and pubs nearby, as well as a shopping center and grocery store where you can by snacks and drinks. We ate the buffet breakfast several mornings and it was good - though after a few days, we were somewhat bored of it and skipped it for pastries at coffee and tea shops around town. If you want to be in the heart of London by all of the action, this is really not the place to stay. All in all, we had a nice time at this hotel.	
Jun 9 2005	Free WiFi Internet in the Lobby	I didn't stay here, but came here everyday during my stay in London. They have free wireless internet access in the lobby. (My hotel wanted to charge me 8 pounds a day.) The lobby was smoky, but the internet access was fast and free. They also have a number of power outlets available.	
Jun 9 2005	excellent stay	My girlfriend and I stayed at this hotel for 3 nights in early May. We arrived at the hotel after a long and sleepless overnight flight at 8:30 am and were relieved to find our room ready. I guess with 900+ rooms one had to be available. High up on the 19th floor great view, window that opened and more than 10 tv channels. Concierge and front desk staff were helpful with directions, tours and eatng out. No major complaints about this hotel except the cigarette smoke in the hotel pub, hard to eat a meal if your not used to smoke.Great location, grocery store open 24 hours within 5 mins walk and friendly international staff, will stay here again.	
Jun 5 2005	Great location - but executive room not worth it!	We enjoyed our trip to London - and the location for the Holiday Inn Kensington Forum was terrific. Only a couple of minute walk to the Gloucester tube, and very close to a Waitrose, Sainsburys, post office, laundromat (I mostly brought clothes for hand-washing, but my husband didn't - and for the clothes for 4 days, it was about $30.00 total to wash at landromat - London is expensive!)The staff at the hotel wasn't anything to write home about, especially after our lovely stay at the Kempinski airport hotel in Munich. We got in about 9am to the Holiday Inn, and the room wasn't ready yet (I didn't expect it to be, but I also think that because there are so few executive rooms, that is part of the reason why we didn't get into the room until closer to noon). We were on our honeymoon, and I got a good deal on Travelocity so I ended up splurging on an executive room - it sounded more pampering. I didn't care about the room size, but it said it included bathrobes, chocolate, orange juice, mineral water, etc. We paid about $45 more a night for the upgrade.The room was adequately sized - there are only two of us, so we weren't looking for much. The bathroom is small, but well equipped. However, this is what the &quot;free chocolate, orange juice, mineral water&quot; entailed: we could each have one can of orange juice out of the minibar each day. Same with a small bottle of water. And the chocolate? We could share the one kit-kat in the mini-bar, when they remembered to put one in. THIS is what should be put in their ads, because I'd never have upgraded. There was one bathrobe. Supposedly there was supposed to be a pillow menu, I never saw one. I read on their site that internet was free, but the business center was closed the first couple of days when we were there - and there were prices posted. I used the internet cafe down the street (20 minutes for a pound).I do recommend the hotel - it was clean, excellent location, there was ice on the top floor along with one microwave, etc. I'd stay there again. But I wouldn't splurge on the executive room - it isn't worth it! We could have bought a ton of chocolate, orange juice, even had a few meals for what we spent upgrading.	
Jun 4 2005	Good value	Although in the States, I would never stay in a Holiday Inn, I was pleasantly surprised with the HI Kensington Forum. Right off of the Piccadilly and Circle tube lines, the location is excellent. We got a special on American Airlines' website for $1300 for a 7 night stay. Considering the horrible exchange rate GBP/USD at the time we were in London, I believe the price was fair. The room was normal size for a European hotel and we were pleasantly surprised to have free wireless internet in the hotel lobby. Breakfast was included in the room and we utilized it each morning, as the hotel restaurant was adequate. Continental breakfast was cereal, croissants, yogurt, and fruit. There was also a more expensive English breakfast with many hot foods which was included in some room prices. All in all, if I went to London and needed a reasonably priced hotel, I would stay again. The neighborhood is residential, there is a Tesco and a Starbucks a block from the hotel, and the hotel itself was a high 3 star establishment.	
Jun 2 2005	Thinking of staying at the HIKF? Here's lots of details	Based on reviews from this site, my friend and I booked 9 nights at the HIKF (May 21-30) through Priceline. When I was researching hotels I found lots of helpful information scattered among the posts, so I’m going to try to pull together the kind of information I wish I had found in one post. We flew into Gatwick and took the Gatwick Express to Victoria station, then a taxi to the hotel. It was 7.80 pounds going to the hotel from Victoria Station, but 10 pounds going back. I’m pretty sure the driver took the most direct route from the hotel, so not sure why the difference in price. Traffic was not an issue either time, but the cheaper one was a Saturday…no idea if that mattered. We arrived around 9am and were able to check in immediately to room 1403. Standard room (two twin beds) with a view of the London Eye out the window. Check in was fast and efficient, and the lobby is very clean and modern. Lots of places to sit. Gift shop and concierge desk there also. We did see quite a few airline pilots/flight attendants getting off a bus coming into the hotel each morning. You need your room key to active the elevator, which is a nice security touch, but the readers in one elevator in particular (the one closest to the lobby) were very sensitive and didn’t always work. Your room key is also necessary to turn on the electricity, which some people here have complained about. That was no big deal at all – you unlock the door and stick a room key in the slot just inside the door. Done! At least you never have to worry about losing your key this way! There was a small refrigerator in the room with a space marked “for personal use” that held about 6 cans of soda. The only annoying thing about the mini-bar is that if you jiggle any of the items already in there, they get added to your bill, although housekeeping always reversed the charges after checking the room. There is a placard there warning that if you move the items you may be charged. The frig doesn’t keep items cold enough for food safety – it’s merely to slightly chill. The bathroom was spotless and clearly recently renovated. We had two large towels, two hand towels, and two washcloths daily. A tiny bar of bar soap is provided, but there are also dispensers of soap near the sink, and in the tub. Warning! it’s a big step to get into the tub and it was extremely slippery. I had to use the rubber bath mat or risk breaking my neck. Water pressure was great, and there was always plenty of hot water. There is an electrical outlet on the desk that works with U.S. appliances – a big plus! We used my friend’s hair dryer with no adaptor or converter necessary. The room also came with a small hair dryer tucked under the desk. There was an iron and board in the room. No safe. Very little drawer space, and the closet is small but there were plenty of hangers. Beds were comfortable, although I did request a second pillow after the first night. Instead of a top sheet there’s a sheet-covered duvet/comforter, which was…well, comfortable! There are individual temperature controls in the room, which was great. The first part of our trip we had the window open but by Friday the temp was 85, and we ran the air conditioning. The view from the windows was fun (Victoria and Albert museum, with the London Eye in the distance, as I mentioned) but the windows were unfortunately extremely dirty on the outside. There was a coffee maker in the room which neither of us used. Room service will bring a bucket of ice any time, or there’s a machine on the 25th floor. We were never disturbed by housekeeping – the one day I came back early and was actually in the room during the day, they didn’t come until 4pm. That was a little later than I would have liked. We bought groceries from the grocery store around the corner (Waitrose) which was open until….I wanna say 9pm each night, and from 12-6 on Sunday. Mostly snacks for the room, soda, and stuff for breakfast. The apple yum-yums were particularly good. Since we did breakfast in the room each morning I can’t comment on the hotel’s spread. We did have dinner in the restaurant the first night, which was very good, and the waiter was particularly entertaining. On two other nights we ate in the Tavern (great fish n chips), which is the bar attached to the hotel (past the elevators). The Gloucester Road tube stop is a block from the hotel. It serves the Circle, District, and Piccadilly lines, which will get you to most of the touristy things with little or no switching necessary. Across from the tube stop is a Tesso/Tesco (name?) drug store open 24 hours. Burger King and KFC are also there. There’s a cute pub with outside seating called the Stanhope Arms, and a little further down is Black and Blue (with torches outside) where we had a very nice dinner one night. Steak dinners for two people, plus a couple glasses of wine and dessert came to about 37 pounds, as I recall. If you’re contemplating taking any tours with Premium Tours (we did three!), they have a pickup site at the Millennium Gloucester hotel, which is right across from the Holiday Inn. It was also the first drop off point in the evening. Much more convenient than getting ourselves to the Victoria Coach Station (which, regardless of what anyone tells you, is NOT that close to Victoria Station. It’s at least 3 blocks, as we found one day when we were running to get from one to the other, so give yourself time to get there)I would stay at the HIKF again without hesitation. The neighborhood was pretty, there were good stores, it felt safe, the hotel was clean, etc.	
