	ubiquitous large hotel but excellent value for money	Rooms were a decent size, very clean and very quiet. Excellent location and good value for money.	
Dec 21 2004	Victoria Park Plaza London	I work in Victoria, London and have decided to treat my Girlfriend and get her to join me over Christmas 2004.I have just finished visiting all of the big hotels in the area and checked out the rooms and facilities in every one. I can guarantee you this is by far the best hotel. You will also not save much by using the internet bookers, the best price I found was £101pn for the standard (superior) room on the web, but the hotel secured me £150 for a suite with seperate living area, beroom and large bathroom with bath and seperate walk in shower, which I must say is gorgeous. Decor throughout in all rooms is good, so if you do book via a web site don't worry about receiving an inferior room as is often the case in London.The hotel is sitated within minutes walk of 2 theatres, Victoria Main line, Tube and Bus stations, 10minutes walk to Buckingham Palace, 5mins tube ride to Oxford St, Regent St, Bond St etc for shopping and ideally located for Parliment and the wheel.The only downside of this hotel is that is has no pool, the Hesperia Hotel just around the corner does, well it's about 10m long (no jokes!) but this hotel is in the middle of a refurb, some rooms are good some are VERY poor, plus it costs more. Take your chances. If your staying in Victoria, stay in the Plaza, even if your strctching yourself, at least you'll be safe in the knowledge that you've got a decent, clean hotel.	
Dec 12 2004	Definitely a great place to stay	My son and I stayed at the Victoria Park Plaza from Dec. 4 through Dec. 10, 2004, and thoroughly enjoyed every part of our stay. The hotel is an excellent location, within walking distance of many of the primary London attractions, as well as being a very short walk to Victoria Station. The staff was extremely helpful and friendly--Dan the concierge is mentioned in another review, and we found him in particular to be extremely helpful and knowledgable. I did take advantage of the &quot;executive special&quot; for an additional 25 GBP per day and felt that it was a good deal--full breakfast, free wine and beer in the executive suite in the evening, plus (supposedly) a larger room--I would have to say I doubt that the latter was actually true, but we had an extremely nice room, so perhaps it was--small by U.S. standards, but typical for London. This is a very busy hotel that appears to have a sizable following among English and other European business clientele--my son and I especially enjoyed having a beer in the lobby bar in the evening and watching all the activity. It is a great place to stay at a very reasonable rate.	
Dec 5 2004	Clean and Convenient but BYO Supplies!	The hotel was clean and in a very convenient central location (literally around the corner from Victoria Station). We did seem to have a problem with supplies though. Stayed in a double room (2 twin-sized beds) and were given no washcloths, about four towels daily - barely enough for 2 showers, a hand towel and bath mat and we had to ask for toilet paper and tissues even after Housekeeping had serviced our room. Once, the Housekeeping staff even refolded our dirty towels and left them behind rather than replace them with new ones! Also, had a problem with a/c. London was experiencing unusually warm weather during our stay and room was very warm. Couldn't seem to cool the room down. Wound up opening the window all night for cool air. Concierge service was excellent and very helpful. Room service prices were outrageous though(ie. 5.50BP for a bowl of ice cream?!) and desk staff tried to talk us into a &quot;special&quot; rate when we checked in whereby if we paid an extra 25BP/day (almost 50USD), we, both guests, would get breakfast included. This is a ridiculous amount to pay for 2 people for breakfast/day so we declined. Save your money: There are plenty of cheap places to eat at Victoria Station and a small market down the street if you want fresh muffins, etc. for breakfast.	
Dec 5 2004	Perfect location and friendly staff	My friend and I just returned from a week at the Victoria Park Plaza and we had a wonderful time! The hotel was within walking distance to so many big attractions (London eye, Westminster Abbey, Buckingham Palace) as well as the tube, grocery stores, restaurants and a cheap internet cafe. We felt the front desk staff was extremely friendly and went out of their way to make us feel welcome. Also the concierge Dan was wonderful in getting us theater tickets and reserving our afternoon tea. The room itself was clean and quiet. We felt we were very lucky to have booked this hotel and I would defintely stay here again.	
Nov 2 2004	Lovely London Experience!	We spent four nights at the Victoria Park Plaza hotel for our first trip to London and it was excellent. Not only was the quality of the hotel excellent but the location was just perfect! We left the hotel at 6 AM on the day that we were coming home and at 6:10 AM we were on the Gatwick Express train to go back to the airport. The close proximity to Victoria Station made it a snap to travel via train and the &quot;tube&quot;. We had the full breakfast buffet each morning and it was very well done. We will definitely return!	
Nov 2 2004	Excellent choice!	My mom &amp; I stayed at this hotel on two separate occasions during our visit to London in October. I have lived in London so I am very aware of the different standards compared to North America. I have also stayed in a number of hotels in London so I know what is out there. More often than not the hotels are not as great as they claim, sometimes the tiny rooms are so small that there is no space to put your suitcase, sometimes the bathrooms are so cramped that you can barely shut the door, and usually the decor/walls/paint/beddding are falling apart. This is not the case for the Victoria Park Plaza. I read the reviews for many months before staying here and researched everywhere else &amp; I assure you that it would be a good choice considering it is London. It is the best hotel I have stayed at in London. London as a whole is overpriced and you cannot expect the same standards as North America. Keeping this in mind, this hotel is a great choice. The hotel is in a fantastic location, good breakfast, standard American size rooms, no problems checking in early, friendly staff (although none seemed to be British), and the bathroom is incredible with glass counters, huge bathtub &amp; neat shower. The towel supply is sufficient for 2 people contrary to what you may have read by other reviewers. I would love to stay here again but without a web deal it may be too pricy.	
Oct 21 2004	Thank you Trip Advisor!	This was the best find! close to the Station..2 blk.walk. Tastefully appointed, good size rooms, above average bath and a real plus... closeline, iron and ironing board. My only wish is that they allow RESERVE for non-smokers! A class hotel and a great price.	
Oct 20 2004	Location Location	We recently stayed at the Victoria Park Plaza in Sept. of this year. We booked our hotel room through Trafalgar Tours. This hotel has it all. Very clean spacious rooms. All of the hotel staff were friendly and courteous. It was a very quiet hotel and we heard no outside street noise at all. Best of all was the location. We were very close to Victoria Station where we were able to take the tube or buses to anywhere in London. Maps of London were posted outside of Victoria Station which enabled us to find the right bus to where we wished to go. This hotel is also located very close to Victoria Coach Station if you wish to travel by coach to areas outside of London. Buchingham Palace is also in walking distance of the Victoria Park Plaza.Another plu s about staying at the Victoria Park Plaza is its close proximity to the Sainsbury Food Market. Before coming to London we had heard horror stories about how expensive it was to eat in London. We discovered Sainsburys was only about one block from the Vi ctoria Park Plaza. At Sainsburys we purchased our main evening meal at their deli style counter. Hot chicken, ribs or pizza were some of the items available plus a salad bar area where you could choose from a wide variety of items. The store also carrie d a good selection of wine and beer. We were able to eat very cheaply at this market.Through Trafalgar Tours the room rate for my husband and myself to stay in Victoria Park Plaza was $250.00 per night. This was a most reasonable rate for London. We ch ecked out other hotels in the area and they were more costly, older with narrow halls and some had no elevator just steep steps to another floor.We would definatly stay at the Victoria Park Plaza next time we are in London. We had a very enjoyable experience in London and a lot of it was due to the fact we stayed at the Victoria Park Plaza.	
Oct 18 2004	Love it and high recommend it!!!	What a different feeling after 4 nights of smelly hotel in Paris. This one delivers exactly what it promised. Rather new and high-tech look hotel. Big room, big bed and the room have virtually all you need. After the bad taste in Paris, this one got my approval. I fully am recommending this hotel. It located near Victoria Station. Very convenient but their staff are rather inexperience. So be mindful on that. One incident, they sent away my airport bus shuttle without me because they thought the driver came to pick up someone who is not their guest. But they remedy quickily by complimented a cab for me to airport. Very very professional. So go for it and hopefully their management style remain no change or better.	
Oct 10 2004	Great Find!	We just returned from London and stayed at two different hotels. The first was twice the price of the Park Plaza and not nearly as nice. We arrived around 9am and our room was available. And it had a king sized bed! Room size was like your typical US major chain. Location was great. Close to the tube. Great Italian restaurant up the road across from the Apollo theatre. Breakfast was just ok and overpriced, but no more so than other hotels. With the web deals available, this is someplace we would definately stay again and tell our friends about.	
Oct 10 2004	Enjoyed Our Stay	Stayed at Victoria Park Plaza for eight nights in September/October 2004. Modern chrome and glass business hotel. Little atmosphere, but clean and efficient. Room was like mid price American motel.Pluses: Location. 1 block to Victoria Railway Station (underground) 2 blocks to Victoria Coach Station (tour busses). Concierge very helpful and didn't have his hand out for every little piece of advice. Found three good restaurants within two blocks-seafood, grilled chicken, Chinese. And there are other choices. Also Sainsbury's supermarket one block away.Minuses: (not very serious) Continental breakfast in lobby restaurant was adequate-no more. They offer a 4 pound upgrade to full English breakfast. Pass on the upgrade unless you like that stuff--most Americans would not. On site restaurant expensive and, well, they prepared the breakfast. Internet cafe one block--but it was dirty, scary and the equipment didn't work. Never did get my daily in room newspaper, though I asked twice. Note: Although the address is in Vauxhall Bridge Road, the entrance is on the other side of the building on Wilton Road--one block west.	
Oct 2 2004	Try the apartments	My wife, my baby son and I stayed here in a 1BR apt for 9 days. This hotel has 2 floors of apts on the top. Given that most London hotels offer small rooms and any room with 2 beds is typically stocked with twin beds, this was a much better set up. We had a full kitchen w/ fridge, microwave, dishwasher, and stove. We had 1.5 baths, 2 TVs and over 600 sq ft. They were also kind enough to bring up a pack and play crib. This price is what was comparable to many other 2 bed rooms in business hotels - so we felt it was a much better deal. Many others have already commented how convenient the location is. You can access trains, buses and the Tube at Victoria Station. The only thing that wasn't good was that the hotel only has 2 settings for climate control - AC or heat and until they've made a complete changeover (ie, every room changes from AC to heat in the late fall), you're stuck. It was cold in London in late Sept but only cool air came out. The hotel offered us space heaters instead. Anyone w/ small kids should consider the apt route and this place was just fine for that.	
Oct 2 2004	Ask for a key to the Executive Suite	Checked in at 7:30 a.m. Rooms ready!Great location near Victoria Station for tubes and trains. The Gatwick Express pulls in within walking distance to the hotel with your luggage (no cabs needed). This is a very good location for London sightseeing trips because of easy access to the Tube. I have been to London three times, and I highly recommend this hotel for location as well as other amenities.For Europe, a very nice sized room. American style. Excellent value; booked on Expedia.They upgraded us and our friends to &quot;executive&quot; rooms, which were very nice. We had a Queen size (not just full) bed, small couch, electric kettle for instant coffee and tea, plenty of closet space, drawers, hair dryer, iron, nice TV, big shower, etc. We were on Floor 2. Though facing a busy street, the window was very thick and noise proof. If you have stayed in a London or other Euro hotel, you know that this is impressive, though about standard for a decent U.S. hotel.Our friends got a room on Floor 1 with a key to the Executive Room that is on that floor. This was a BIG COUP! FREE hot breakfast (eggs, sausages, cereal, juice, toast, etc.) with waitress, pot of coffee or tea, some free beer in the evening, free internet and free papers. We all enjoyed it a great deal. (They let us in on their pass key.) Beg or bribe your way into a Executive Room pass key!I would definitely stay there again, especially if I could finagle that Executive Room key.	
Sep 29 2004	Victoria Park Plaza an exceptional hotel	My wife and I just returned from a 7 night stay at the Victoria Park Plaza. Our experiance could not have been better. The location of this hotel is ideal in Westminster, 5 minutes walk from the Victoria underground station. In Victoria station there is a large mall with a floor of restarunts all reasonably priced. A pub 1/2 block from the hotel between Victoria station and the hotel offers lively atmosphere ang good prices.Sainsburry supermarket is 2 minutes walk. The hotel itself is very clean and modern. The room we enjoyed for 7 nights was an executive level room on floor two. It featured an honest king sized bed plenty of storage, nice sitting area and large bathroom with both a separate tub and walk in shower. The decor is brittish modern with lots of glass and stainless accents. The room was very clean and well appointed with free safe, iron, complimentary coffee and tea, and of course a very overpriced mini bar. With our room we had full use of the executive lounge which included a FULL breakfast buffet although the selection was the same everyday. At night the lounge offered free beer and wine as well as soft drinks and snacks. We recieved the executive room upgrade for $30 american per day, in our minds this was worth it to get a hot breakfast drinks, and a king sized bed. We paid with tax $1525 for 7 nights september 17-23. When we visit London again we will make every effort to book this property again.	
Sep 28 2004	Classy Hotel with Style	We stayed at this excellent hotel because we were able to negotiate a great rate on the internet. The room contained a king size bed and all the amenities required. The included breakfast needs work though - the buffet choices never varied from day-to-day, and the quality of the hot food was disappointing. Desk staff were wonderful, as were most of the restaurant staff with the exception of one or two young women with disdainful attitudes to all customers. Victoria Station is close by, and it is easy walking from this hotel to many of London's attractions. We would definitely stay at this stylish hotel again providing we were able to obtain similar rates - and would happily recommend the hotel to anyone. Impressive!	
Sep 27 2004	Victory at Victoria	We just came back after staying at the Victoria Park Plaza for 4 nights. I thought the rooms were excellent, very modern and extremely tasteful. The bathroom was great, since it included both a tub and separate shower. The design of the shower, although very modern, allowed some leakage under the shower door which was a little problem, but not a major one. Location is excellent, a short walk to Victoria Station and the tube.Staff was extremely courteous and even got us a room early when we arrived. Very nice bar in lobby with interesting artwork everywhere. I would definitely stay here again....and the price was extremely reasonable for London. Too bad the rest of London wasn't so reasonable!	
Sep 17 2004	September 2004 stay	We stayed here for 4 nights the middle of Sept. Our first trip to London. Room was fine but we had to ask for extra towels. For a 4 star hotel towels were small and of poor quality. Staff was helpful and friendly. Location central to most tourist spots and tube a short walk away. Drinks and breakfast were overpriced. We would stay there again.	
Sep 17 2004	Good for the price I guess	Stayed here on my honeymoon at the end of March/beginning of April. Booked through an online travel sight as part of an air and hotel package. The price was right, paid about $100US for the room. They had no problems with an early check in of about 9am. I had requested a King bed room. I was given a upgrade to an &quot;executive room&quot;, but it had two single/twin beds. After being given two other rooms without King beds the two single beds were pushed together to make a King. The breakfast in the executive lounge was good, along with the free drinks in the afternoon. Great location! About like the average Hampton Inn in America as far as room size goes.	
Sep 16 2004	we stayed for 7 nights great hotel in a great location would reccomend to anyone	we stayed for 7 nights, it was realy great, ina terrific location 3 minutes from metro and trains, 10minutes from the palace, and 3 minutes from two live shows and restrauants	
Sep 6 2004	Awesome Stay - Very convenient	We stayed at this hotel in late July for 4 nights and we just loved it. We were in London after 2 weeks touring Southern England. This has to be one of the nicest hotels we have ever stayed in. Very clean, staff were friendly but not pushy or overbearing. The room is very nice...bed extremely comfortable, clean, modern bathroom. Great location (especially if you are coming in from Gatwick as the Express comes into Victoria Station a mere 3 minutes walk). You can also pick up taxis from the stand at Victoria Stn. although this is extremely busy at rush hour. While staying here we were able to walk to Big Ben, Westminster Abbey, London Eye, Buckingham Palace etc. There are also quite a few theatres around this area. Food places in the area tend to be a bit boring and are mostly chains but hop the tube and within minutes you are in more interesting areas like Covent Garden or Leicester Square. Stay here if you have the chance for sure!	
Sep 4 2004	Perfect in more ways than one	A friend and I traveled to London in March, 2004. After staying in overpriced, cramped hotel rooms in Paris and other parts of London , I was so relieved and happy to be at a hotel that was clean, comfortable, roomy, trendy, and well-located. The service from the staff was above average, and I have recommended this hotel to a few friends. It is by no means the Ritz, however, it is moderately priced and offers more than you pay for compared to other hotels in London.	
Aug 30 2004	Towels are like golddust	The rooms in the Victoria Park Plaza are spacious by London standards. The staff are pleasant, but certainly did not display the exceptional qualities highlighted by some of your reviewers. In the final analysis, however, I accept that such evaluations of consumer service are essentially subjective.I paid £145 sterling (inclusive of taxes but exclusive of breakfast) a night for my room in the Victoria Park Plaza. Given the room rate, I found it surprising to discover that the towels for the bathrooms are like golddust and that - instead of supplying me with fresh towels on the second day of my stay (the 25th of August) - the staff simply folded the old, slightly damp towels and replaced them on the towel rack. I know of many more reasonably priced hotels in which consumers are at least given the option of requesting clean towels every day. The billing policy operated by the Victoria Park Plaza is out of kilter with that employed by several hotels. Usually, when I buy goods and services in London, I am billed in Sterling and my bank or credit card company converts the Sterling bill into Euro and this is reflected on my credit card invoice. The Victoria Park Plaza took it upon themselves to convert my Sterling bill into Euro and to bill my credit card company in Euro. This would have been fine if they had given me a favourable rate of exchange. But the rate of exchange used by the Victoria Park Plaza was less than competitive in the light of prevailing exchange rates. My warning to consumers from Euroland and the U.S.A. is that they should not be prepared to allow the hotel to convert Sterling bills into their local currencies unless they are satisfied that they are receiving a competitive exchange rate deal from the Victoria Park Plaza. In conclusion, the hotel is conveniently located, five minutes walk away from the Victoria underground and railway station. All in all, 'average' would be the fairest description I could attach to this hotel.	
Aug 22 2004	Value Location	Two rooms for a recent four night family visit. Both were clean and everything functioned properly. The location is excellent of course and the staff were friendly and helpful. Several nearby pubs (try The Elusive Camel) make the location even more desirable. Good value.	
Aug 20 2004	fab a dab a doos	excellent value,friendly and very helpful staff, beautiful rooms, with airconditioning. restaurant excellent, no complaints from any of our party of five. Will be returning at a later date thats for sure. thank you all for a very enjoyable stay at your hotel. yours sincerely mr K G O'Neill	
Aug 17 2004	Good Location - Helpful Staff	We flew into Gatwick and took the train directly to Victoria Station. It was wonderful that the hotel was only a 5 minute walk since we had flown overnight. They were kind enough to give us a room at 8 in the morning. We changed and headed out for the day, trying to avoid jet lag. Came back to the hotel at 8 in the evening and the room was like a sauna - After a half an hour of trying to get someone to come and look at the air conditioning they upgraded us to a mini-suite. New room was wonderful.Next morning left to catch a cruise ship in Southampton and again within 5 minutes we were at the Coach station with buses directly to the pier- Extremely convenient.Hotel is relatively new and very clean	
Aug 15 2004	Friendly	Stayed here for two nights in September, 2003, which is, granted, far from high season. The location, two or three blocks from Victoria Station (and within walking distance of many of your standard London must-sees), is excellent particularly if you are planning to make heavy use of the tube; Victoria is on three very key lines (hotels near South Kensington/Earl's Court are also good this way). The rooms are nothing special, about the standard of a four star American hotel. The staff was very friendly. Worth it, particularly at the USD 125 we paid through hotels.	
Aug 10 2004	Great staff Great location Great hotel	We just returned from a wonderful week in London for our 25th Anniversary. (July 31-Aug. 7). WE enjoyed our stay at the hotel and the staff was very helpful helping us to get around and excellent restaurants. We were locat by either easy to walk to or easy access by the subway. If we ever get a chanceto return we will definately be staying here again.	
Aug 10 2004	Simply Grand!	We had the pleasure of staying at the hotel over Christmas and New Years and had excellent service. We arrived very late on Christmas Eve and the kitchen stayed open and made a special meal for us. Unheard of in London! The rooms were grand in comparison to most and the staff very helpful. We will be staying again	
Aug 10 2004	Love the Hotel Excellent value for money	The hotel was great. Excellent location just 2 mins from Victoria underground station. The restaurant serves great food and the coffee shop in the hotel serves great coffee and sandwiches.Pricewise i got a great deal for what i wanted. The room was big and was cleaned daily. The TV has plenty of channels to watch and the staff were really nice. I will definetely go back and strongly recommend it to business travellers.	
Aug 10 2004	the victoria park plaza is the best location in london	We chose the Victoria park plaza in london because of its location, and we chose the right one. you can actucally walk to Buckingham palace, and the magnificent Westminster abbey, and many other attractions also. It is also just a two block walk from the victoria tube station, and the golden tour bus line which we booked 4 tours from.the people at the front desk were very helpful, at any hour of the night, and they even let us check in at 800 am. the rooms were nice, and comfortable, and the lifts worked fine. The only part I did not like was the restaurant, but there are many restaurants within a couple of blocks , so thats ok , on a scale of 1=10 this gets a solid 8. we will stay here if we go back to London, a Great city.	
Aug 9 2004	Not worth it	Stayed July 2004. This hotel is very over rated. It is at best a 2 star hotel. The rooms are very small, there is constant porno on the tv and when asked the staff to block the porno, was given another porno channel instead. There is no coffee in the room and in fact u have to cross the street to find any. The rooms are not cleaned properly unless u complain and towels are guarded like gold, beds are changed only when asked. I would not stay here again, for the price, not worth it.	
Aug 1 2004	Excellent for London	Stayed 29-31 July 2004 due to a fabulous deal via lastminute.co.uk. The hotel was spacious and modern, much better than any other London hotel i have experienced. Handy for the tube and a five minute stroll down to the Tate gallery on the banks of the Thames. We got the continental breakfast included which was priced at £13 pppn full english was an extra £4... a bit steep.. but hey it's London!! Most of the staff seem to be foreigners working overseas.. i read some reviews of guests having problems with staff but not in my case, everyone i spoke to was friendly and polite I would definately stay here again next time i am London	
Jul 26 2004	really nice	We got a reservation through Travelocity, which was a lot less expensive than through Expedia--we don't know why because usually it is the opposite. The hotel is very well located (near Victoria Station). In addition, the staff was nice and attentive.The breakfast prices (full or continental) were quite a bit expensive. But the room was nice and comfortable, large for European standards, and clean. We would go back to and recommend this hotel.	
Jul 22 2004	Fantastic Hotel...Can't wait to go back!!!	We stayed at the Victoria Park Plaza from July 11-16, 2004. The hotel is beautiful and the staff is amazingly helpful. The room is surprisingly large and the bathroom is great. The continental breakfast consisted of breads, cereals, fruits, and cheeses. It was more than enough so we didn't feel the need to upgrade to the full breakfast. We had dinner one night in the hotel restaurant. The food was fantastic, but a bit pricey. (isn't everything in London pricey?) The location near Victoria station is perfect. The tube makes it so easy to get around. I can't say enough positive things about this hotel. I will definitely stay in this hotel on my next trip to London.	
Jul 22 2004	Wonderful Hotel	My family of 5 spent four nights at the Victoria Park Plaza in June. The location was ideal for tourists - an easy walk to Buckingham Palace, Westminster Abbey and Parliament. It is also literally around the corner from Victoria Station...so all of London is easily accessible from either the train or the tube. The hotel itself is attractive, clean and extremely comfortable. My family does quite a bit of travelling and we rank the Victoria Park Plaza beds at the very top of our favorite list! Rooms are well-equipped and modern. The staff was very helpful and accomodating. Our request for a cot (our 3 children shared a room) was met instantly. Staffers also directed us to various restaurants and tourist sites and were extremely helpful and courteous. All in all, we were very pleased with this hotel and plan to stay there again the next time we're in London.	
Jul 21 2004	Victoria Park Plaza	We stayed at the Victoria Park Plaza from June 30-July 3/04. It was a perfect location for us as we wanted to be near the Victoria Coach Station to board the bus to Harwich. The tube and bus station is about a three minute walk. Our room was very clean, a nice size with a king bed, and modern by North American standards. They had newspapers available to read, very helpful concierge. There is also an internet cafe just down the street across from Victoria Station. If you turn left outside the hotel there are a few great reasonable restaurants and a fabulous grocery store.	
Jul 15 2004	We loved the Victoria Park Plaza	My wife and I stayed at the hotel for 8 nights in June and July before and after a cruise. It was all that we had hoped for from all the positive reviews we read on tripadvisor. The room was excellent and quiet on both stays. The bathroom was spotlessly clean with a wonderful tub and shower. If you want washcloths, just leave a note for housekeeping because they are not automatically supplied with the towels. The higher the floor the less chance of hearing any outside traffic. We were on the 7th floor before the cruise and on the 4th floor after the cruise and both rooms were equally wonderful. There is a safe in the closet which is large enough to hold a laptop. The location was also the best we could have hoped for. It was a five minute walk to the tube at Victoria Station and convenient to a supermarket, just down the street from the main entrance. An internet cafe that only charged one pound for 35 minutes is across from Victoria Station and a great inexpensive pub which is also called a freehouse is just up the street from the hotel. The staff at the front desk were friendly and helpful with any questions that we had. We never ate in the restaurant which seemed to be very overpriced. but a small coffee shop just off the lobby was very good for early morning coffee. We would definitely stay here again on any trip to London.	
Jul 14 2004	Great great great hotel	just got back from this fantastic hotel &amp; have already told 5 friends they must stay here.anything negative you've read on this website about this place is total trash. anything positive you've read is the absolute truth. the location,staff,amenities,bed,bathroom,surroundings everything is top shelf. i can't say enough good things about this place. we were thrilled. there is no other hotel i'd stay at when in london. it was GREAT!! DO IT!!	
Jul 12 2004	Great location good for the money	Loved Victoria Park Plaza - very modern, clean, friendly staff, except for the bartender. Very close to Buckingham palace - on a quiet street, yet near all the major attractions. Highly recommend when they are running specials and have rates below $150/night.	
Jul 11 2004	best deal in London great new addition to a great city	Great new hotel. A true find in London. we got the internet special rate, and were so pleasantly surprized to check in to this modern and wonderfully located hotel. The bathroom and shower is an experience, and the nice little touches like the coffee service, the mirrors with steam proof areas, the huge king size bed, and the comforter coverlet were all appreciated. Also appreciated was the friendly and informative staff. LOVED the little coffee barista on the lobby level, and the seats outside...not usual for hotels in big cities. Try the new super, super market that opened a hop and a skip away from the hotel. Also a hop and a skip is some of the major sights in London (Westchester Cathedral and Abbey, Parliment, Big Ben, The London EYE, the Tate, ect)..We are looking forward to our next stay in London, and our next stay at this fine hotel	
Jul 8 2004	Will Go Back!!	My husband and I stayed here in late June, 2004 and were thrilled. To begin, the location was amazing. We flew into Heathrow Airport and took the Heathrow Express to Victoria Station. It was about a 2 minute walk to the hotel which was great! On the first day we were there we were jet-lagged and wanted to take a “small” walk. On this small walk we were able to get to Big Ben, Parliament, the Millenium Eye, and Buckingham Palace. Not bad for a leisurely stroll! On our second day I took another “stroll” while my husband was still sleeping and walked to beautiful Hyde Park (to see the new memorial to Princess Diana) and Harrod’s. Next, the room was of decent size and very clean, with a safe and iron. The bed was extremely comfortable. The room was very quiet and air-conditioned which was nice because it was quite warm while we were there. The bathroom was clean and modern. The only thing that through me for a loop was that there was only a partial shower door so I did get some water on the floor during my first shower! An elderly person would probably have had trouble entering the tub as the walls were high. The hotel staff was very helpful and friendly. I had read some reviews on this site saying that the staff was “cold” or “rude” and I found that to be far from true. There was certainly no one who came running over to offer up information but everyone was very animated when we approached them and asked a question. We asked several times for directions and they were always very clear and detailed. We asked twice for recommendations on restaurants. Both times they took the time to question us back about our specific likes/dislikes/etc. and provided great recommendations. One staffer stopped short of asking us how much we were looking to spend and phrased the question “what were you hoping to wear to the restaurant tonight” which I got a kick out of! We ate one quick meal at the hotel bar which was adequate food but over-priced. The breakfast menu was over-priced as well, and we didn’t even attempt to eat it. The little café attached to the hotel was quite good though for a quick sandwich, fruit smoothie, or gourmet coffee. I highly recommend it. The hotel fitness room was also adequate. It had several machines and free weights and was clean and spread out. Every time I used it, I was alone so that was nice!I would certainly stay here again!	
Jul 6 2004	Great value	My husband and I booked 4 nights at the Victoria Park Plaza over the Internet. We were a little suspicious of the very low rate but were thrilled to discover a very comfortable, clean and quiet hotel room in a terrific location. The room was large; the king-sized bed was quite comfortable. The bathroom was clean and modern. Staff was helpful and friendly. We'll definitely go back!	
Jul 5 2004	Not so good after all	Good location, but a few faults...As expected, the rooms were modern and stylish, especially the bathroom which was clean and spacious. I expected a few quirks though. The minibar was locked as expected and I did not bother to ask the front desk at all after reading about the attempts by other travellers. I tried to boil water using the in-room kettle but found it very dirty. Housekeeping wasn't very helpful in helping to change for a new one. The housekeeping service wasn't thorough enough. I had to leave notes for the housekeeping to look at certain areas. The worst was the last day when the concierge informed me of the wrong airport terminal from where I was supposed to depart from. Front-dest staff weren't very friendly to Asians and rather laid-back.	
Jul 2 2004	I will certainly stay here again!!	My husband and I stayed here in late May-early June, 2004 and were very pleased. Choosing my headline to say that I will certainly stay here again is (in my opinion) the most accurate way to describe how much I enjoyed my stay because he thinks I am too picky! He had booked a hotel in London that TripAdvisor users were not kind to and I promptly cancelled that reservation and booked at the VPP. I am so glad that I did!First of all, we flew in to Gatwick Airport and took the Gatwick Express to Victoria Station. We were happy to see just how close the hotel was to the station...not just because we were carrying luggage, but every time we went out for the day, we took the tube. Victoria Station has 2 tube lines, the District and the Circle to get you around the city, or to another tube line. On a slow day, it took us about 5 minutes to walk there. The location could not have been better! (note there are a lot of good restaurants in Victoria Station, too!)Next, the hotel itself. The concierge guys were so helpful and friendly. They knew the area and even were concerned about helping us save $$$--we wanted to use the internet service in the hotel's business center...they sent us down about a block by Victoria Station to a little internet cafe that was so much more economical. Great way to keep in touch with home at about 2 pounds for about an hour of internet time. They could have kept their mouth shut to pay them 8 pounds for 15 minutes. When employees help me out that way, I give my thumbs up to them. And finally, the room. I was concerned...after reading other hotel reviews about how small London hotel rooms are, the bathrooms...but not a problem here! Plenty of room for us and a nice sized bathroom. Always kept very clean. The room has a safe and iron, as well as a US (and other countries') outlets. The bed was extremely comfortable. We would even rank it up there with the &quot;Heavenly&quot; bed at the Westin or Sheraton. The rooms were also very quiet and we faced the main street. Could not hear the other guests in the hall way, either.I cannot speak for the food at the hotel...we went to the small store across the street from the main entrance for snacks/drinks and ate at restaurants around and in Victoria Station. If you are in London for a week, make sure you buy a weekly tube pass for the best deal. The hotel is in walking distance to Buckingham, Parliament, etc....though bring good walking shoes, the best way to get around is to walk!As I started off, I would certainly stay here again and I have told many of my friends and collegues that are planning London trips to stay here.	
Jul 1 2004	Above average	Our 3-night stay at the Victoria Park Plaza was good, but short of great. The room was a perfect size, despite our expectations for a typically small &quot;European&quot; room. The bathroom was outstanding, so no complaints there. The location, as previously mentioned, couldn't get any better. Just a few annoyances made the stay less than spectacular -- a noisy pub across the street (not the fault of the hotel mgmt, of course) and a rather &quot;stiff&quot; staff, personality-wise. I suppose it could be chalked up to an American expecting a British person to be chatty... but it would have been nice to see a smile once in awhile. Anyway, overall, a very good experience, and definitely worth the money (found a great rate on the Park Plaza website).	
Jul 1 2004 	Excellent hotel!	I stayed for 6 nights recently and found it to be one of the best hotels I've stayed at in the UK. The front staff was very nice and helpful. The room was clean and modern (something very hard to find in Europe) with frosted glass bathroom doors, new furniture and a room safe which is so handy with passports, cash, airline tickets and all.I had read some complaints from previous reviews about the staff, pillows, towels, etc., but found no problems with any of these. My room was on the 6th floor with views of the London Eye and Big Ben.Being a short distance to Victoria Station was perfect for touring and it was an easy walk to beautiful Hyde Park.This hotel is great!	
Jul 1 2004	Great Location	Stayed at this hotel for four nights and found it to be in the best location. We walked everywhere. The rooms were clean, comfortable and nicely decorated, and the reception and concierge very friendly and helpful. Would definitely stay here again. It was great.	
