	Don't stress just book it- it's fine!	I stayed up until 1:30 a.m. one night, stressing about hotels (and their cost !) and especially worrying about the reviews on this place and whether I could find a more affordable, more centrally located, nicer hotel in London. I wish I had gone to bed earlier in the night, because the hotel was fine. It wasn't grand- simple, small, clean and a place to sleep. But it wasn't awful, either. Would I book here again? Yeah, probably if the price was right. However, I wouldn't go out of my way to book here either. LOCATION- I wouldn't say it was &quot;centrally&quot; located- maybe walkable to Kensington Palace, but that's about it. However, it is just about a 7 minute walk to two different tube stops (the district, central and cirlce lines), so that's really all that matters in London. BREAKFAST- We purchased through Veneer and breakfast was NOT included in our price- it would've been an extra 8 pounds. So, instead, we stopped at the Spar near the tube stop and purchased some bananas and cereal bars. Much cheaper and allowed us to get going at our own pace. SIZE/AMENITIES- We stayed in room 37. It was small- if you're American, imagine a typical guest bedroom with bath. However, I personally don't care about having a large room 'cause we are active and siteseeing. Rooms included a nice large hair dryer, shirt press, hot water pot with instant coffee and tea, large closet with safe. The TV did not have cable, only about 5 stations or so... again, doesn't matter to us, but might to others.BATHROOM- Decent sized, with deep tub. Really bad shower pressure. Tile was loose on the floor. Included lots of counter space and a towel warmer. STAFF- Always seemed nice enough. No problems, but they didn't go out of their way to be super kind or anything, either. They did let us leave our bags in the &quot;luggage area&quot; when we arrived VERY early in the a.m. before our check in time. The luggage area was really just open shelves. It worried my hubby at first because we were the first to put our belongings there, but when we got back later that evening, the luggage shelves were full and noone had tampered with our luggage. NEIGHBORHOOD- The street where the Tube exit/entrance is was a bustling area with lots of food and shopping. Some of the restaurants were obviously more geared toward tourists, but there were a few unique spots, including some authentic Chinese and Mediterranean. There's also an indoor mall, marked with a big &quot;W&quot; on the outside near the Bayswater Tube station and I also noticed a few consignment shops, which I was discovered too late to visit. So... if you're up late reading this and super worried about the accomodations... just book it!	
Jan 3 2007	Really nice clean hotel	We stayed at this hotel for three nights. Overall we had a very pleasant stay.Yes the room was small, but that's Londen so you can't complain about that. It was really clean and comforable. The bathroom was quite new and really nice. Privet safe in our room.Breakfast was good, though the breakfast room was quite small. The staff was very helpfull and polite. Though they couldn't always answer our question (about travel or the city). We absolutly got what we paid for. People who are complaining, you get what you pay for. You want more, pay more.I would definitly recommend this hotel to tourists. I would go here again.	
Dec 24 2006 	What to expect	During our stay the lift worked only 2 of the 4 days we were there. They did offer an apology letter; however, denied any financial compensation for the grueling experience of lifting or banging 50lb luggage up and down 3 flights of stairs. Yes, the location was good and convenient to the tube. The rooms: Very small but clean. Breakfast: Get there early because the items served best cold remain on the serving table from open to close without any attempt to keep the items cold. (Warm Yogurt was not appealing). Maid service was good. Overall this was an &quot;Okay&quot; experience but if you want to make your stay special...try a better option.	
Oct 9 2006 	Good Economy Hotel	We recommend Room 29 at this hotel. My husband and I stayed there for 6 pleasant nights. The staff were friendly, the room clean and quiet (at the back of the hotel on the 3rd floor). The complimentary breakfast was similar to what we normally eat at home - toast, cereal, yogurt, tea. The room was tiny, but we expected that from reading about European hotels. The bath was clean and modern. The lift worked fine, contrary to other reports. Only problem was that the a/c sometimes blew hot air. We solved the problem by opening the window for fresh air. No bugs. We'll book here again for the great value and close proximity to 2 tube stations. Also highly recommend the Bella Italia restaurant on nearby Queensway.	
Sep 29 2006 	YUCK!!! NIGHTMARE!! UNACCEPTABLE!	I'd booked this hotel last X'mas (DEC 2005) for my family vacation via Travelocity.com, it was so damp awful. I'd checked the reviews and their website. I'd actually paid a bit more to change my org. hotel for locations. The fotos from their site are so damp nice, classic and english feel. It was the worst nightmare I've ever had. First, they gave us a triple room (my husband, my son and I) with 3 single bed and each bed had the nasty, gloss bedsheet covered it. Not to mention the smell, scary coffeemaker, horrible bathroom scence, celling, some web-cobs I swear! It said 3-star from travelocity, but I think it is not even in a hostel standard. Pity! For the price I paid for I think I should deserve much better.I ran to the front desk to complaint about it. Eventually, they said there's a room much smaller available. It was a lot better from the basement room but still not even in 3-star standard. With my 6-yr-old son with us after the 6-hr flight from JFK we agreed to take this. Do not expect anything good for the free breakfast, it was fair of what you pay for. with extra $5 pounds you get an english breakfast but they basically put everything on a plate with very bad presentation. Trust me that you wouldn't want to eat it when you see it. I don't understand why people said they loved this hotel and will be backed. My husband and I hated it!	
Sep 14 2006 	Surprisingly Delightful	After seeing quite a few negitave reviews of the hotel and having a first-hand knowledge in tacky European hotels, I became very hesitant when booking. However in the end I crossed my fingers and went through with it, arriving in London on September 7th, around noon time. Upon stepping into the quaint lobby, I was welcomed by a polite and very helpful staff. The room was small (as the norm in Europe), but very clean and rather cozy. The bathroom was good in size and clean. The shower had plenty of hot water and nice pressure. The location of the hotel is excellent, with two Tube stations a couple of minutes away in walking distance, along with a food store, internet cafe and the beautiful Kensington Park. You could spend a whole day alone just walking around Notting Hill viewing all that it has to offer.The only gripe that I had with the hotel, was the shower nozzle's height (if you are over 6'1 like me, you'll have to crouch in order to get under it). Other than that, I was overall happy with my experience at the Byron Hotel. If you plan to travel to London, I would suggest staying at a hotel very much like this. It has the English atmosphere to it, and is nesteled in such a lovely location. I was on the third floor, room number 27. Ask for it. You won't be let down.	
Sep 9 2006 	A good-value stay	I read so many adverse comments in TripAdvisor that I once considered cancelling my booking at the Byron Hotel. (I was not aware of the comments when I booked the hotel through Princeline.) But the experience turned out to be much better than my expectation. I can say it's a good value booking - at less than GBP70 a night during the bank holidays at end August. When I arrived I told the reception that I would not take a room in the basement. The staff was very polite and replied that they had upgraded my booking to a twin room, so it's spacious enough for a single traveller like me. It's Room 15, &quot;detached&quot; somehow from others. Hence, it's exceptionally quiet! The air-conditioning functioned well, though I'm not sure whether it is adequate for mid summer. I had very good sleep during my 3-night stay there.About breakfast, I knew beforehand that it's a continental one. But I could still find ham and cheese and conflake, on top of bread. Also some canned fruit, not fresh one - but you're not paying for a buffer breakfast, right? I rarely used the lift because I like walking. But I witnessed many people using the lift to come for breakfast. I can say it's at normal condition.One thing I like most is the bathroom. It's newly renovated, clean and bright, with strong and heat shower.	
Aug 16 2006 	YUCK!	I stayed at the Byron for one night with my girlfriends. The location is OK - but would prefer to be in Kensington for the price (we paid about $200 per night for a twin room). In summary - the rooms are dingy- definitely stay on the 2nd or 3rd floors. We took a look at the rooms that were available and the basement rooms are awful! And have a strange odor. There is trash outside and cobwebs throughout. The staff is not very helpful - and breakfast is not worth getting out of bed. The elevator is one of the scariest contraptions I have ever ridden in - after one ride I only used it to send my bags down when I left. The Byron claims to have air conditioning - I think our A/C pumped out heat - and mold! I am glad it wasn't hot in London when we were there.I will never stay here again.Oh - when we left the front desk called a taxi for us. They would not call a black taxi, so we were stuck with their friends. For a comparison - the black taxi from Heathrow cost 50 pounds. The friend's taxi to the car rental agency (5-7 minutes away) cost 50 pounds. Go figure!Definitely stay away from the Byron	
Jul 30 2006 	It Was Bearable	The Byron Hotel is a cheap hotel in London, and that means you're going to be staying in the equivalent of a cheap hotel in any major city. In other words, don't translate the pounds into dollars; instead, think what kind of hotel you'd get for $70-$100 in New York City: that's what it is (well, maybe a little better). The rooms are very basic (my single was tiny, with room for a bed and a desk, with a TV attached to a fixed pole extending from the wall, and the bathroom had a shower, no tub), but if you're planning to be out sightseeing all day, that's fine. The staff are very friendly. On the other hand, there are some big drawbacks: the breakfast is pretty poor. It's a basic continental breakfast -- toast, cereal, cold cuts, and fruit cocktail -- but the fruit cocktail is right out of a can, the cold cuts are clearly out of a package, and the toast is almost always BARELY toasted. In addition, they can be slapdash: I had to tell the desk twice that there was a (small) rip in my sheets before they'd fix it, and, although three friends who called had no trouble getting through several times, at one point a friend called and they told her I'd never checked in! Finally, while I can't speak for other rooms, mine was so small that I couldn't really get comfortable in it unless I was asleep. There was no real room to sit, and the TV/bed set-up made it awkward to sit on the bed and watch TV.So my sum-up would be: if you're travelling on a strict budget , plan to be out most of the day and evening, and don't mind a genuinely budget hotel, the Byron is bearable. But if you can afford twenty or thirty pounds more a night, you should go for somewhere twenty or thirty pounds' worth of better. Oh, and one more thing: while I was there, some Americans arrived who had made the mistake of thinking you could sleep three people in a double room. In England, a double room (or twin room) means two twin beds. If you want a triple, you need to ask for a triple. And DO NOT order the English breakfast. Eight pounds for eggs and bacon is a rip-off, and you can walk to many restaurants in the area and get a real English breakfast (eggs, bacon, sausage, toast, grilled tomato, and maybe baked beans) for less.	
Jul 17 2006 	beware the basement!	Went here with a work colleague- the idea being it was a good location for getting around Kensington, Notting Hill etc. My advice is this area is a bit run down and there are nicer hotels nearer to these locations. We expected a decent hotel for the four star rating- warning- it is definitely not a four star, especially not in the basement rooms. my single room was large, had twin beds, new furniture and a decent, clean, though small, bathroom. Unfortunately- it also had single glazed sash windows letting in noise from a street 3 feet away and a lift right next to the room which kept me awake all night. My colleague got the worst deal- her room was tiny, dark, looked onto a brick wall 2 feet away, bathroom tiling in need of repair, no air-conditioning and the finishing touch- the lift motor just through the wall next to her head- again- not a wink of sleep to be had. The corridors of the hotel are small and dated and the 'lounge' was not the least welcoming- very sparsely furnished and i didn't see anyone use it. The 'best' bit about the whole thing however, was breakfast- a frankly awful experience- I've had better at a 2 star in Hungary. Two cereals, tinned fruit cocktail, rolls,cheese and chopped pork-just not up to scratch- the breakfast room itself was in need of redecoration and a good clean and the foreign student staff were unhelpful and clueless it seemed. There was the option of paying £7:50 for a cooked breakfast but i fancied my chances better at the local Starbucks, which is exactly where we went.Overall- expect a budget-type stay for above average type money and go out for breakfast.	
Jun 25 2006	No way was this a 4 star hotel!	Personally I wouldn’t stay in this hotel again. Don't get me wrong, the price was good and the location was good... but the room was so small that I felt claustrophobic.There is one lift (and it doesn’t seem over used because we never had to wait long for the lift)… When we went into the room, there was the bed (which was small and narrow) and a small bedside table. There was a tv (attached to the wall as there wasn’t space for a table) which was very dated and could only get 2 channels and to get to the left side of the bed you had to duck when walking under the tv. The wardrobe was a good size and there was a dresser).The bathroom was a real disappointment, the shower was large but there was no bath! The tap on the sink was loose (and I mean properly loose so that when you turned it, it felt as if it may come off in your hands). The other thing was my towel had a 10 inch rip in it – you wonder how this could go unnoticed when the room is made up for guests!Breakfast was included (continental) – I actually thought it was a full English but it wasn’t. The reason I was confused was on the website the booking terms advise:“The room rates shown are inclusive of English / Continental Breakfast, VAT and Service.”I felt that meant traditional English or continental breakfast. The full English breakfast was an additional £8 each and I am glad we didn’t pay for it… it was just eggs and bacon.The continental breakfast was ok but not great. It was processed cheese slices and processed ham, muesli, cornflakes, tinned peaches in syrup, tinned fruit cocktail in syrup –both remind me of the tins you can get from the budget range in supermarkets for about 6p!!! Also there nice tasting yoghurts and toast with butter and jams… (and fruit juice and coffee).Now… a compliment of the breakfast, at least when the toast came out it was warm… and I was quite happy with jam on toast!I have read other peoples reviews and some one said they had a flat screen tv and a nice bath – so there a variety of rooms and so I guess when you pay only £83 a night in London you can’t expect the best room! But when you are supposedly in a 4* hotel you expect it to be a lot better than it was!	
Jun 19 2006	What Air Conditioning??	My family and I recently stayed at the Byron Hotel for 9 nights on our first trip to London. We booked the room on the internet and were specifically looking for a hotel that offered air conditioning and included a continental breakfast.Our triple room was cramped, but clean, and was located on the 5th floor. The air conditioning consisted of an antiquated vent which, on occasion, produced a few puffs of barely cool air. My travel alarm clock has a built in thermometer which consistently registered our tiny room's temperature at a sweltering 85 degrees!! As a result, we were forced to keep the two unscreened windows open day and night and take our chances with insects as well as with the noise from the youth hostel directly across the street.The continental breakfast was also a huge disappointment. Dry toast and cereal were the daily fare. One morning, my husband ordered eggs and bacon (which were overcooked and raw, respectively) to the tune of 8 pounds, or approximately 16 US dollars!My final complaint about the Byron was regarding the housekeeping service. We found that not only were our sheets never changed (my daughter's hidden socks proved that), but that our soiled bath towels, which we had left in a pile on the bathroom floor, were simply folded and re-hung on the rack!Had this been an economical hotel, I would have been more likely to overlook some of these shortcomings for the sake of saving money. But, at over $200 per night, I felt hugely disappointed and as a result, would definitely NOT give them my business again.	
May 19 2006	loved staying at hotel	i staed at bryon hotel i found it comfortable surroundings and staff very pleasent i would stay there again	
May 15 2006	Better than I thought	after reading some other reviews about how small and cramped the rooms were I was a little worried, but was plesantly surprised. The rooms are smaller than American hotels but how much time are you going to be in it? We certainly had more than enough room to move around in. We had our own bath, and air conditioning, a nice flat screen tv, and most importantly, the room was clean, I mean spotless! The staff was helpful and was able to answer our questions. I would stay there again.	
Apr 2 2006	Should be "The BEWARE" Hotel!	Booked this hotel via internet and photos of Superior triple room looked too good to be true. My husband and a good friend checked into this hotel for our &quot;Superior&quot; room. We were given a key to a room on the basement level. The wallpaper was literally falling off the walls on this ground level floor. Our room consisted of 3 twin beds and each bed had nasty bedspreads (years old!) and each bed 'sunk in' in the middle and had pillows no thicker than pancakes! The crowning glory of this room??? The light was NOT on a nightstand, but on the FLOOR!!!! Oh, yes! The bathroom was no larger than a closet and the light fixture in there? A bulb with a string to pull to turn it on! We called to complain about this &quot;Superior&quot; room and were told they would change us. We ended up on the front desk floor in the very back. Our view? Graffti on a concrete wall. The bathroom was even SMALLER than the previous one. There was a double bed and a twin bed, each with faded, dirty bedspreads and the carpeting could have just as well been painted on the floor, it was so thin! We were tired and wanted to cry. We ended up across the street at the Central Park West Hotel, which was not much better, but at least the rooms were not as dreary. We just lost the one night's room fee. When we informed the front desk staff we would not be staying, they seemed not to care; didn't even bother to ask why. AVOID THIS DUMP AT ALL COSTS.	
Dec 21 2005 	Breakfast A Joke	I had booked this hotel through a German hotel reservations site. I paid 70 GBP for a double including continental breakfast per room per night.This rate is fairly OK given the location and the proximity to Bayswater shops and to Whiteley's shopping centre. However the breakfast was a total fluke: continental breakfast consisted of dry toast, cheese and ham along with cereal. An interesting fact was that other hotel guests who had booked English breakfast received scrambled eggs, bacon and sausages while we would have had to pay extra for this. A total joke and not acceptable at all!!! The breakfast staff was incompetent, unfriendly and did not attend to our needs.The room was generally OK for UK standards. Carpets were a bit soggy and the beds too hard (but that's a matter of opinion).The door lock to our room didn't work, we enquired about fixing but this had not been accomplished during our three night stay!!Wouldn't stay there again!!! If it's just the location you're after, Queensborough Tce is FULL of hotels and if you just go there and enquire about a rate, you'll get a good deal plus be able to preview the room you'll have.	
Dec 7 2005	Thoroughly enjoyed The Byron	My wife and I wanted to find a place that was close to Hyde Park and tube stations, having never been to London. Hyde Park is literally a three minute walk from the steps of The Byron.The area is safe and a bustling street with many shops is just one block west. The street that The Byron on was nice and quiet. As we were warned prior to visiting, expect some of the lesser expensive hotels to be &quot;different&quot; than the States. There were many subtle differences, all of which we enjoyed. The room was a bit cramped and old, but it added to the romanticism of our vacation. And after all, a London vacation isn't about spending time in your hotel room. The staff was friendly and helpful.We considered it a perfect place to stay. Affordable and located in a beautifully scenic area.	
Jul 26 2005	Nice little place in London	I liked this place. First, the positives:big, american style bathrooms, clean, tiled, efficientfriendly staff (they even cut us a deal on an extra room)affordablenice neighborhood, near the Bayswater subway station and Kensington park, lots of good restaurants (and affordable ones for my teen, like Subway, Pizza Hut, McDonalds, KFC)good housekeeping staff, my room was actually cleanednow the negatives:iffy air conditioningtwo block walk to the tube station and food (not a big deal unless you are already tired from a long day of Londoning)non fitted sheets	
Jul 7 2005	Very pleasant - good value for money	I stayed at the Byron Hotel for just one night and had no problems at all. I got a special internet deal of £65 per night, which was good value.The decor of the hotel is very nice. The room was clean and well maintained, although a little small for a double. The shower was particularly good - very spacious and good water pressure. I found the staff very polite and helpful, and they let us leave our luggage there after we checked out (however, the luggage was just left in a corridoor which perhaps wasn't the safest of places!). It would have been nice to have a full English breakfast included in the price, but I found that the free continental breakfast was more than enough to fill you up - plenty of toast, cereal, juice, tea/coffee etc. For the room price we paid this was fine.Overall, I think we definitely got our money's worth. However, I probably wouldn't have paid the full room price, and would have expected more if I was paying £100+. But if you can find a good deal, then I recommend the Byron Hotel as a basic but charming bed and breakfast which is ideally located near Central London.	
Jun 12 2005	Pretty Good!	I wasn't thrilled about the price for a triple (100 pounds - about 200 US dollars per night), but we came to the Byron mid week after leaving a pretty gross hotel which was charging 80 pounds a night. I was pleased with the Byron's customer service (for instance, they allowed us to check in a couple of hours early by expediting the cleaning of our room knowing that we had come from another hotel with our luggage).The room was small, but very clean as was the bathroom. Only complaints were low water pressure in the shower and young drunk hostelers across the street yelling all night (just one night). I read complaints on tripadviser about the breakfast food, but I thought the &quot;free&quot; continental breakfast was fine - toast, juice, coffee. Sure, ideally I would have liked pastries and more cereal selection (corn flakes, granola), but was glad to have something to avoid $4 coffees and $4 pastries from Starbucks.I'm not sure how well this hotel compares against others in the 100 pound range, but knowing that London is extremely expensive, I thought this was a pretty decent deal. I'd come here again.	
Oct 10 2004	A big disappointment	The Byron Hotel should not be rated as a 3-star hotel. When I booked my room online, I was told that a &quot;full English breakfast&quot; was included in the price. My first morning, I was given nothing but toast and cereal and told that anything else would cost 5 pounds extra. I inquired at the front desk, expecting that the problem would be fixed and I would receive the full breakfast that had been promised. I received only a disinterested shrug--no offer to give me what I had been told I was paying for, no apology, not even an explanation of why I was misinformed. They just didn't care. That was bad enough, but as the week went on I found the other problems at the Byron to much more troubling. The beds were uncomfortable and the mattresses and pillows so old and worn as to be almost non-existent. The toilet paper is of such a cheap brand that it actually emits an unpleasant odor. Have you ever heard of toilet paper actually smelling bad on the roll and stinking up the bathroom? Even beyond that, housekeeping had a habit of not leaving a new roll of paper in the bathroom when the old one was almost out, so that I would have run out of paper in the night had I not noticed and called the front desk for more before going to bed. Finally, on my first morning I used a cup and left a lipstick mark on it. After housekeeping came through, the cup with the mark on it was still there; it had neither been washed nor replaced. Even after specifically asking for a new cup, the dirty, used one remained in the room all week. I can only hope that it was Only one woman who works there seems to know anything about London, and she only worked 3 out of the 7 days I was there and only in the mornings. The rest of the time, I was left with people who couldn't give me basic directions or answer general questions. Do not stay at the Byron. I plan to return to London soon, and I certainly won't be staying there again.	
May 22 2004	You Can Do Better	We read the reviews of the Byron Hotel before we stayed there, and were still disappointed. We have just returned from a four-night stay. While the hotel was clean, had a very helpful front-desk staff, and is in a very desirable and attractive location (just one-half block from Hyde Park and within a very short walk of two Tube stations), this does not make up for a number of shortcomings. First, our room (#16) was very small, though I was told it was one of the larger double rooms. It did have a very modern and spacious bathroom with excellent water pressure and plenty of hot water. However, the mattress was uncomfortably lumpy and was the cause of some lost sleep. And don't get me started on the rug. The second biggest shortcoming was the breakfast experience. The complimentary continental breakfast consisted of cold cereal and canned, syrupy fruit. Both the coffee and tea were tasteless. All this served in a small and crowded breakfast area which was usually very noisy. The Byron is only inexpensive by London standards. We think you should be getting more for your money. It is unlikely that we will stay there again. 	
May 17 2004	Good deal for the money	I bought a package deal for myself and my family through Virgin Atlantic that combined airfare, transfers, and hotel. I chose the Byron based on price and research. (Note: this was February 2002.)Although the Byron is not in the center of London, it is near two Tube stops, this makes it easy to get around - but get a Zone One Tube pass or you will bleed money getting around.The hotel was older, but comfortable. The facilities were clean. The breakfast was very good - cooked to order, nicely done, and good portions. I was pleased with the staff as well - they were nice and friendly. I got a separate room for my kids (the rooms were smallish compared to American hotels, but typical for much of Europe). So don't count on crowding a ton of people in one room.Bottom line: I would stay there again. I refer my friends to the Byron.	
Apr 28 2004	cost/performance ratio very good	I booked this hotel one hour before my trip started and I can´t complain about anything. I booked this hotel via a internet platform and could get a real nice budget price.The location was great (2 underground stations nearby), the rooms were silent, very tiny (as normal in London), clean and the staff was friendly.Our price included traditional breakfast that was o.k. und sufficient. I also liked the shower, that offered enough space, a good water-jet and a good temperature regulation ==&gt; AND BELIEVE ME THIS IS NOT UK STANDARD.So nothing negative to say about this hotel. Would stay there again...	
Apr 2 2004	Bad Bad Byron!	Talk about a flophouse! The room was beyond tiny and very worn, the bathroom hosted a variety of mold species, public areas were neglected and the staff was incredibly rude. On top of all this, upon checkout the clerk charged us a $70 differential for the English breakfast (which sucked, incidentally)claiming our rate had included only the Continental breakfast. Even though I presented written evidence to the contrary, we were still charged the difference and management has not responded to my faxes and phone calls. Hello, Visa--I'd like to dispute a charge! Anyway, this place is a dump and anyone willing to search on the Net a bit can find a much better value. Do yourself a favor and look elsewhere.	
Mar 6 2004	a hideaway of convenience....	'Cozy' in the European sense! Friendly staff, decent continental breakfast, option for a true English breakfast for 5 pounds, clean towels, quiet on the back side of the building, 'safe' neighborhood, very close to 4 tube stations, shopping, restaurants, Notting Hill, Portabello Market and Hyde Park. Rooms are typical European, meaning a bit smaller than what you may find in the US and the bathroom was freezing cold, but would definitely recommend the hotel for a budget. Its not the Ritz, but its affordable, convenient and decent!!!	
Mar 3 2004	We were very pleased with it		
Feb 24 2004	Well um it's a good location		
Feb 15 2004	A Delightful Stay		
Feb 14 2004	A terrific place to stay		
Dec 16 2003	Stayed for a month - plan on staying again		
Oct 26 2003	Dirty and run-down		
Sep 29 2003	I'd stay again		
Jul 16 2003	You get what you pay for?		
May 31 2003	Great location!		
Nov 9 2009 	Petit hotel sympa		
Nov 9 2009 	très bon rapport qualité prix		
Sep 29 2009 	Bon rapport qualité prix		
Aug 27 2009 	gentilissimi....		
Aug 19 2009 	Pessimo hotel		
Aug 2 2009 	Bien situé !		
Jul 30 2009 	Joli hotel bien situé idéal pour prendre Londres d'assaut!		
Jul 14 2009 	Troppe delusioni nonostante la buona presentazione TripAdvisor		
May 2 2009 	Vacances reussies a Londres		
Apr 23 2009 	una gran bella sistemazione		
Feb 23 2009 	Gran relacion calidad-precio		
Feb 12 2009 	Très bien		
Jan 18 2009 	Hôtel très confortable et douillet		
Jan 6 2009 	hotel très convenable dans un quartier calme		
Nov 16 2008 	Très bon hôtel		
Oct 5 2008 	Wohlfühlhotel in zentraler Lage		
Aug 25 2008 	Un agradable y pintoresco hotel		
Aug 25 2008 	Estoy encantada con el Byron Hotel		
Jul 31 2008 	Byron: Perfetta ubicazione		
Jul 30 2008 	Byron: Buena relación calidad-precio		
Jul 22 2008 	Limpio cómodo y bien situado		
Jul 15 2008 	Quanto e' comodo il Byron hotel		
Jul 11 2008 	Perfecto para visitar Londres		
May 1 2008 	Hotel muy bien situado renovado y con encanto.		
Mar 14 2008 	Sehr schönes und gemütliches Hotel		
Nov 13 2007 	Bon hotel a Londres		
Jul 22 2007 	Lager super Zimmer top!!		
Apr 30 2007 	Weiterempfehlen!		
