	Great location	Have just returned from three days at the Holiday Inn Bloomsbury from Nov 27th. We could not fault the hotel. We had room 429 right opposite the lift and had no problems sleeping on any of our three nights there. location is great, Euston Station is only 10 mins walk away, so messing with taxi's when you arrive or leave. Lots of places to eat within walking distance, make sure you take a walk into the Bunswick shopping centre right by the hotel, really nice in there and lots of good places to eat. We ate at Giraffe and Strada which we could not fault. Would highly recommend using the Big Bus Company tours to get around, you pick up the bus on the main road buy the hotel, it drops you at Trafalgar Square where you can collect the other buses to different attractions, brilliant way to get around, 48 hr pass for the two of us cost £50 and we well had are moneys worth [one ten minute taxi ride back from the strand cost us £10 and that was around 10pm so when the traffic is busy I'm sure the price would be a lot higher. To sum up great location, great breakfast, nice staff, would highly recommend.	
Jan 8 2007 	Perfect	Had a great stay. Room for wife and myself was perfect. There was a love seat in room for taking a break, bathroom large enough to do your business, hairdryer in room plugged into wall near vanity mirror, not bathroom. Small refrigerator in room. Very clean and good daily maid service. Hotel restaurant and adjacent Irish Pub looked nice and had people in them but we did not try. Russell Square Tube directly behind hotel (one block...make right out of hotel lobby, right again on Marchmont Street and in 2 minutes you are there. Small shopping complex across street called New Brunswick shopping centre (walk through a walkway tunnel located to the right and accross the street of the hotel main entrance). That had a large supermarket, shops including: clothing, sweets, pharmacies, Starbucks, etc. We really have no complaints at all about the hotel and is better than some Holiday Inns in the states. One minor problem, that can happen in any hotel, was the fire alarm went off at 1:30 AM. Everyone had to evacuate and was a false alarm. Fire company came, cleared the building and we were back in 15 minutes later. It was too minor to complain about, and what would they do...better safe than sorry.	
Dec 29 2006 	Something better may exist out there on the same price...	Date: 29 December 2006Reviewer: A tripAdvisor Member, GreeceThe booking by this hotel was made by my travel agent, included in a 4 day holiday package.Except the ideal location of the hotel, which was next to the Russel Square underground station, all other services of the hotel where found below avergage.The so-called twin room was very narrow, even making it difficult to move from one side of the room to the other. The hotel semmed to be very old, at least 30 years, with many problems, such as defective windows. The breakfast area was very small compared to the size of the hotel, which resulted to big queues in order to have breakfast every morning.	
Dec 18 2006 	Above Average - Bright Friendly Clean and ideal for what we wanted	I spent a night here 16 December whilst visiting London, taking my mother to see a show in the West End. My usual business trips are to the City and I always find London hotel rooms small and not value for money. On the other hand, our twin room was bright, clean, spacious with all mod cons. Helpful staff. Excellent breakfasts, and a handy range of bars and transport options. I'd love their cleaners to come and clean my bathroom - the tiles in the bathroom were sparkling clean! Great value and exactly what we wanted - I'd be back!	
Dec 16 2006 	Needs a Refurb	I stayed at this hotel for one night in December 06 and it reminded me why I don't stay over in London more often.The positive about this hotel is the location which is right next to Russell Square underground station ( use the lifts not the 175 steps down to the platforms) and that it is within walking distance of attractions including Covent Garden.The check in was fine and I had no real reasons for complaint during my brief stay.The rooms and non public areas of the hotel are however in dire need of some refurbishment. My room on the 2nd floor overlooked the generators in the middle of the hotel and looked like it had been decorated and tiled about 30 years ago! It was reasonably equipped and everything was in working order.My point is that it was small and felt unwelcolming.This hotel is ok for a brief stopover but don't expect the quality and special touches that make a good holiday hotel.I left feeling very glad that my company had paid for the accomodation.	
Dec 12 2006 	No problems	Stayed here for 3 nights with a number of business colleagues, having also stayed for a night last year. Our rooms all varied in size, but the smallest was still fine for one person - it would have been too small for a couple. The airconditioning seemed to be switched off centrally, which was not ideal as the rooms were rather warm. This was not a problem after the first night as it was possible to leave the windows open and turn off the radiators during the day so that in the evening the rooms were comfortable for sleeping. Good breakfasts, comfortable beds and reasonably pleasant staff (by London standards). Good value if you get a deal.	
Nov 22 2006 	very convenient base for london	We stayed in London for 3 nights and simply needed a clean, comfortable place to sleep. This holiday inn fulfilled our needs perfectly. The bed was comfy, the shower had powerful pressure. Breakfast was not included, but there's a 24-hour tesco right behind the hotel where we stocked up on juice, rolls, etc. Teabags, kettle are provided and replenished daily. Also, Russel Square tube station is right behind the hotel, which is very convenient. The staff were friendly and efficient. The room was little more than matchbox-sized, but it was clean and comfy, and for this price in central london was good value.	
Nov 12 2006 	Good Hotel on a budget	The hotel was very close to the Tube station and on a great line.Our room was tight but was fine for a family with 2 small children.Shower had great water pressure and we never heard any noise at night from the hotel. The breakfast was included and was great for a family and included fresh fruit, made to order eggs, pastries, etc. We booked with Holiday Inn but keep checking better specials on their site to include Tower of London tickets or the British zoo. Hotel was very close to the British Museum. Staff was nice but no extra touches (did'nt expect anything special from the hotel). Buy an Oyster card for travelling on the Tube. It saved us a fortune, got have price tickets on the London Eye, only 1 pounds extra to go to Heathrow, and used it multiple times a day.	
Nov 11 2006 	Lovely Hotel Great Location!!	I found this hotel at the last minute before Mum and I left Australia for London, we stayed in the hotel for around a week and got a great deal for the room. We had never been overseas before and were pleasantly surprised with the quality of the hotel. Every morning we would stroll downstairs to the breakfast room for a wonderful full english self service buffet. The room was large and always full of people, but the hotel managed to keep the food coming. Each morning our rooms were serviced and cleaned. We stayed on level 4 of 6 and in a twin room. The hotel is one street away from russell square tube and is easily accessed via the hop-on-hop-off bus companies. I strongly recommend these buses if your a tourist as they let you see the sites in a guided tour. The hotel has an irish pub downstairs and it serves a small variety of food throughout the day, the restaurant has a selection of healthy meals for dinner and of course there is room service! We had plenty of room for our bags and could hang our jackets in the cupboard. There is a laundry service, hair dryer and all the usuall amenities you would find in a hotel. I would not advise anyone to catch a cab from the airport (heathrow) to the hotel as it set us back 70pound! We caught the Hotel Link Bus. Very cheap and helpful. If i was going back to london i would stay here again and suggest it to my friends. Very Happy with the Hotel and its service.	
Oct 22 2006 	Never Again!	The only good aspect of the Holiday Inn in Bloomsbury, London, England is that it is just around the corner from the Russell Square tube station and the one-way journey from Terminal 4 at Heathrow is one hour away and costs 4 pounds.It has the definite feeling of an American chain albeit staffed by charming Polish employees. The rooms are littered with pieces of paper advertising various Holiday Inn products, but when you want writing paper or the time breakfast is served, it is nowhere to be found. Soulless and very noisy and frantic on the weekend with fun-loving bodies on cheap packages! We were kept awake on a Saturday night/ Sunday morning (1:30 am to 6:15 am!!!) by the partying antics of a few couples who seemed to be swoppingaround rooms. If you book into a much more expensive executive room, perhaps you are spared this?The full English breakfast was good but served in a fast food atmosphere.Next time we will stay in the dignified old Russell Hotel.	
Oct 4 2006 	Great location and well priced hotel	I have stayed at this hotel many times over the years, and have always had a pretty good experience here on the whole when compared with many other hotels in London in the same price range. The hotel is very reasonably priced when booked directly through their website.The staff are courteous (there's always the odd exception in any hotel!!), the car park is conveniently located under the hotel which is more than can be said for most London hotels and the breakfast is always good, and no more pricey than other hotels. The location is great, a pleasant 10 - 15 minute walk to Covent Garden with plenty going on in the surrounding areas. I have tried many other hotels in London and as I only ever use the hotel as a place to park the car, a central base to get to Theatreland and a bed for the night, I have always found it to be the best all rounder (given the price).	
Sep 24 2006 	Wonderful location thank goodness for Tesco!	We (family of four, two kids under 12) stayed at this hotel for 2 nights in August/06, en route to Europe. The best thing going for it is it's location across the street from the Russell Square tube station. We took the tube from Heathrow, with our luggage, and managed to schlep it across the street and down a bit to the hotel without too much of a problem.There is a 24 hr supermarket called Tesco across the street as well, and we bought most of our food from there. Because there was a fridge in the room, we were able to stock it without incurring the outrageous prices in restaurants in London. The Hotel itself was okay, the lobby was nicer than the other floors. Our room had a queen bed and a double pull out sofa, but when it was made up as a bed, you had no where to stand! The room really was very small, but it did sleep all four of us which a lot of European rooms won't do. The rate we got was not that cheap by North American standards but I am told we got a good deal for London!At any rate, since we were in the room only to change and sleep, it was okay. What it really has going for it is the location with the Tube station and the Tesco so nearby. Also, if you get a decent rate, I would recommend it without hesitation.	
Aug 31 2006 	Living out of a suitcase	Just preparing for future trip and checked reviews. When we stayed here through Virgin Vacations Holiday Inn must have just taken over. No problems except there were no dressers or shelves to unpack clothes. Had to live out of suitcase. When I complained to Desk they said all rooms were like that. I wonder if things have changed?	
Aug 31 2006 	Great hotel great location!	We had a very pleasant stay at this hotel in early August, 2006. You can't beat the location with the Russel Square underground (a VERY easy commute to Heathrow) and a 24-hour well-stocked Tesco grocery around the corner. It's a short walk to numerous &quot;tourist attractions&quot; and many pubs in the Theater District. We had two rooms which were both very clean, well-supplied and showed no signs of wear and tear. The staff were very friendly and helpful with the numerous questions we asked of them. We had no complaints.I totally agree with all the points of the last review. This is a Holiday Inn folks - and a very nice one at that!	
Aug 22 2006	Great Value and Location	Did you ever notice that when someone feels slighted (real or imagined) by a staff person, that slight colors their entire review from the cleanliness of the room to the furnishings. This is a Holiday Inn, it's not The Ritz. We've stayed here three times and have been more than pleased. The location can't be beat, the rooms although small (this is London, not Detroit) are furnished well, the beds are comfortable, the bathroom spotless, and the a/c works fine. I have never had a problem at check-in or with the bill. The staff from desk clerks to housekeepers have always been pleasant and helpful. I am amazed by some of the poor reviews. If you don't have the money, don't eat breakfast at the hotel. There is a mini-mart steps from the hotel where you can purchase oj, milk, cereal, etc which keeps well in the room fridge. The rooms also have coffee and tea makers. No room delivery of the newspaper? Instead of harassing a poor housekeeper (no wonder your room wasn't serviced properly), get off your butt and go down to the lobby where three different London dailies are available for free.Finally, there seem to be a number of bad reviews of the hotel that stem from problems with the hotel restaurant (food,service, or both). You stay at a Holiday Inn to sleep and perhaps take a late afternoon nap. The fact that anyone would go to London and eat dinner at a Holiday Inn boggles the mind. Are people really that lazy that they would go to London and not research places to go out for a good, reasonably priced meal in lieu of a meal at a Holiday Inn. If you don't want to spend a fortune and have a good meal for a lot cheaper than the hotel restaurant, go to an Indian restaurant, or Pizza Express (NOT Pizza Hut), or Ask Italian restaurant, or Mr. Kong's in China Town, or get dim sum at the Royal China on Queensway. But be forewarned: You'll actually have to go outside.	
Aug 20 2006	Not brilliant	The check in is efficient but alarm bells should have rung when there weredifferent people complainimng whenever I went through the lobby.Hotel was clean and adequate.Rooms are very very small, as are the bathrooms. You really have to squeeze pasteverything . During the night it was noisy from outside air conditioning unitsand also internal doors banging.Car parking is good under the hotel but the going rate for London about £17.00per day.Beware when booking the price quoted does not include taxes, which I thinkHoliday inn have only recently began doing, having used them for years this isthe first time I have had this but on checking the confirmation email and website it does say it but can be missed.Plenty of eating places on Russell Square and Southampton Row, covenient fortube.Probably would not use this hotel again.	
Jul 24 2006 	What a disappointment!	When we were browsing for hotels online, this seemed like the perfect location. Many hotels (or bread and breakfasts) in London don't have bathrooms in the room, are cramped, and don't offer many of the facilities this hotel offers on location (restaurant, baggage check, etc.). Also, reviews seemed to be very complimentary regarding the staff and housekeeping. We booked our stay for 20 days, well in advance, and figured we'd have nothing to worry about.Although the room itself was generally as stated, we instantly saw problems with our stay. A free breakfast was clearly listed in the hotel accomodations (we booked through American Express Travel, and we brought the printout with us for evidence, though we are now aware that not all bookings come with this offer). As poor college students, my brother and I couldn't afford to eat out for every meal, so we tried to take advantage of the offer. Each time we went down to breakfast, we were turned away and had to speak to a manager, who would constantly assure us that the issue would be or had been taken care of, and would usher us back in to the restaurant. By the end of our stay, we had 7 breakfast charges (at a whopping 52 pounds EACH TRIP!!!) on our bill, although every duty manager assured us that the issue was resolved. Even after speaking to the general manager of the hotel, we still didn't receive a satisfactory solution until the night before we left.Service continued to be a problem throughout our stay. Housekeepers, unwilling to deliver simple items like the newspaper, would give us haughty rebukes and in one instance actually hung up on us! Items that were promised with the room wound up not being included (many of these toiletries the plaque in the bathroom insisted we take advantage of). Although we are generally neat people and try to cause as little hassle for the staff as possible, we often found the rooms unvaccuumed, the towels sticky, and beds stained. On one occasion, after returning from a meeting with a manager, we found 2 housekeepers in our room with the door closed (as a general rule, this hotel seems to insist upon ONE housekeeper per room, with the door OPEN). Nothing turned up missing or stolen, but the run-in was very unsettling to return to.In each instance, we tried to let our complaints known as politely and frankly as possible. We did NOT place any unnecessary demands upon the staff, though with each complaint, managers seemed to be holding more of a grudge against us. The office phone number of the general manager was actually WITHHELD from us by a duty manager who must have inferred we were calling to complain about him, as we had experienced the most trouble (and hostility) from him. By the end of our stay, the entire managerial staff knew who we were and would interrupt us before we could say a word (even when we weren't trying to find them!). Our complaint doesn't lie with the small issues; we realize that mistakes happen and no one is perfect. However, we found the staff to be extremely rude and condescending, and very unwilling to rectify an issue. It wasn't until our meeting with the general manager that we were satisfied, and even then the gen. man. took a break from our discussion, apparently in order to phone the duty manager in question to confirm the story. After the phone call, we were told that our problems (especially concerning the breakfast, which we would NOT have continued to visit if we knew for one moment that the price wouldn't be waived) had already been discussed with us, and that nothing could be done to remove it from the bill (eventually we showed enough evidence to prove the contrary). Our hotel stay was extremely trying, and wasn't worth the hassle (especially considering the price!). The location is wonderful, but you're bound to find a better hotel in a similar area for less money and hopefully less stress.	
Jul 21 2006	My bed had fleas	Four words sum up this hotel:My Bed Had Fleas.'Nuff said	
Jul 21 2006	Very satisfactory	Very enjoyable stay at a clean well run hotel. Rooms are small but functional, air conditioning was working beautifully (we just happened to be in London during the hottest spell ever recorded). The location couldn't be more convenient to Russell Square tube station (1 minute walk), which is on the picadilly line (~1hr from Heathrow) and 2 or 3 stops from Covent Garden. Theatreland is a pleasent 20-30 minute walk from the hotel or accessible by tube.The buffet breakfast was well laid out, and plentiful, the staff were very helpful and even provided free newspapers during breakfast. They had no problems holding our baggage for 5 hours the day we left, so all in all I would very much recommend it.	
Jun 18 2006 	Much Improved	I have stayed at this hotel a number times over the years as my employers had an account with Forte Posthouse. The location is great, just round the corner from Russell Sq. tube with Euston and Kings Cross stations a short walk away. But I didn't like the bedrooms.That has all changed since Holiday Inns have spent time and money on redecorating and upgrading the bedrooms. Gone is the dark furniture and the strange prints on the walls deck plans of sailing ships in a central London hotel?) and in there place is light wood furniture and bright decor. The rooms look a lot nicer, it's just a shame they are all a bit smaller than one usually expects from a Holiday Inn. But I will definately stay here again.	
May 27 2006	Enjoyable stay well located	I stayed here early May 2006 - my first time in London. Although I arrived before the 1400 check-in time, I was allocated a room straight away.The hotel is well situated - being very close to Russell Square tube - convenient as it is on the Piccadilly line - which takes you to Heathrow Airport. And believe me, you don't want to be changing trains on the tube if you have luggage - as many stations don't have escalators or lifts.I found the check-in staff a little cold and clinical, but I only had to deal with them twice. The bar staff are fantastic and very friendly. As for Callaghan's, I've been to more genuine &quot;Irish&quot; pubs in Sydney! However, the beer is good, and the bar food is OK too. There are quite a few eating and drinking options nearby, so explore beyond the hotel.My room was on the 1st floor, and I found it quiet and comfortable. The rooms have wooden panel doors which you can close so you don't get the morning light and it also reduces street noise.My only complaint would be that I ordered a taxi for a Monday morning at 0400 - to get to Victoria Station to get the Gatwick Express for a short visit to Poland. My taxi arrived late, and the night staff didn't seem too bothered about it - even though I'd ordered it the night before, and I ended up missing the 0430 Gatwick Express and had to wait until 0500 for the next train.This was a small blight on their copybook, however, I would definitely stay here again.	
May 21 2006	Pleasantly surprised; wonderful stay!	I stayed at the Holiday Inn Bloomsbury for a week in late May/early June 2005. I didn't realize the expense of this hotel because I'd received a nice package deal through Priceline. While the exterior of the building looks fairly basic and box-like, I found the rooms inside to be fairly large for European standards, with a cozy, comfortable double bed and fairly spacious bathroom with both shower &amp; tub. However, bring your own washcloths as the hotel does not provide them. And FYI--the English call washcloths &quot;flannels&quot; should you need to request or purchase these somewhere. The property was kept clean and the cleaning staff, though few spoke good English, were always courteous and thorough in their cleaning.The views from the rooms are not spectacular, but I was only there to sleep and bathe because I came to the city to tour. When I first arrived, I was given a room on the inner side of the hotel, looking out on the interior rooftops of the hotel. I requested an external view and was moved, but I wish I hadn't because I could sometimes hear a bit of noise from the street below (I was on the 3rd floor). Mind you, the noise was mainly from occasional ambulances, and the noise wasn't a constant bother.The area around the building has a few good restaurants and pubs. The Russell Square tube station is directly across the street from the rear of the hotel, and this proved to be very convenient. A small grocery store is also right there, so I would stop there on my way to the hotel each evening to buy snacks and drinks for the evening. The hotel room had a mini-bar fridge that was emptied but still in operation so I used that to keep my drinks chilled. If I could get a good deal on the room, I would definitely stay here again. It's convenient, safe, clean, and comfortable.	
May 10 2006 	The evening was better than the morning	Cost £106 for one night, double bed single occupancy, room only.PROS:Room clean, spacious, well appointed.Good size bed and bath.Beer cheaper than at home in 'Callaghans Bar' (£2.45 a pint of Guinness).Bar food (steak for me) good value for the area (£9.95, correctly cooked, all the trimmings).Front office staff exhibting grace under pressure (arrived at a very busy time).I stayed for business, but close to many tourist attractionsBUTAlarm function on TV failed.Early morning call never happened.Newspaper not delivered.Waited 15 minutes for breakfast coffee.Breakfast not good value (£14.95 for okay buffet breakfast)	
Apr 23 2006	Good Vakue	Booked online and got it for £65 per night weekend rate for two of us, breakfast included. The room was small, but looked recently decorated. The buffet breakfast was great. Russel Square tube is only a couple of minutes away and the area is quite nice. Covent Garden is only two tube stops away.I've paid more than this a few times for worse rooms, in worse locations in London.	
Apr 19 2006	Great location - Nice place to stay	We had a 3-day city trip to London in January 2006.We booked the Holliday-Inn Bloomsbury through theirwebsite which was quite convenient.The location of the hotel fantastic, in a quite area, nearby the tube station Russel Square from where you can reach all attractions within a few minutes.The room was in the typical Holliday-Inn style, which is clean with all comfort you need, but rather small.We did not take breakfast in the hotel because this was not included in the price and was too expensive (18 £ per person).We had a good breakfast in the neighbourhood for8 £ only.It was a nice stay at a correct price (for London).We would really recomend this hotel if you are looking for a decent hotel at a location not too farfrom the main attractions.	
Apr 16 2006	Good value and centrally located	My friend and I stayed at this hotel for 6 nights and enjoyed our stay here. Having stayed in other hotels in Europe, we found the room to be bigger than what we expected. The room and bathroom were clean. The shower provided good water pressure and plenty of hot water. We had booked a non-smoking room with a double bed to take advantage of an internet special, but when we arrived we asked if we could have 2 twin beds instead. The hotel was able to grant us our request. The staff was helpful and able to assist us with whatever we needed i.e. booking a shuttle to the airport, restaurant recommendations, etc. The location of the hotel was great. It is right around the corner from the Russell Square tube stop and within walking distance of Oxford Street, and Covent Garden/Leicester Square. There is a Tesco grocery store around the corner across from the tube station as well as another grocery store half a block down. There are two internet cafes, 2 post offices and restaurants within a block or two of the hotel. The only problem that we encountered during our stay was the noise first thing in the morning from the construction across the street. Also, our breakfast was not included in the price of our room and we ended up eating breakfast the morning that we arrived. We felt the breakfast was a bit overpriced after we figured out what it cost in U.S. $$. Otherwise, we had a pleasant stay at this hotel and would recommend it to others.	
Mar 28 2006	Nice hotel in London	We got a discounted rate through Priceline and it was a great bargain. The staff were friendly, and accommodated our request for a twin-bedded, non-smoking room. The room looked like it had been newly refurbished. There was a slight oversight in that there was only one wine glass (we could have asked for two, had we any wine), but it was real crystal. The bathroom was fine. Amenities could have been improved a bit, as the soap is available from a dispenser and is to be used for hands, face, body, and hair. If this is important to you, bring your own.The location is very convenient, near the Russell Square tube on the Piccadilly Line, near many buses, and walkable to numerous museums and even Camden Market on one end and Covent Garden on the other, if you want. The Tesco Express grocery store around the corner is open 24 hours per day, and the Boots pharmacy is across the street if you need it. I would definitely be happy to stay here again. Everything went smoothly during our stay, and I have nothing of significance to complain about.	
Mar 20 2006	excellent hotel	stayed at the holiday inn bloomsbury for one night and found all the other reviews very helpful when making my choice.I agree with all the reviews regarding the hotel, friendly helpful staff, very good location for all sightseeing, very good breakfast, rooms very clean, we asked for extra milk and was given a jug full of milk. irish bar very good with good menu relativly cheap.We booked through ---- and paid £79 for one night's stay. Along with the voucher we also recieved a leaflet which had discount for various attractions in london. We found this most useful, 2 for the price of one for the London Dungeon and the British War Musuem which we enjoyed especially due to the fact it saved us over £24 from normal admission prices.	
Mar 20 2006	Worst Hotel I have stayed in the UK	If you like souless, 70's built hotels with views over the courtyard that house air-conditioning units then this place is for you. We had a &quot;basic&quot; room that could have been a bad advert for MFI. Previous reviews mention refurbishment but the place looked tarnished. Breakfast was a fine line between Full English Breakfast or Greasy Joe's cafe ! They boast about the pillow menu but when I asked for No.4 as replacement they told me they had none left.Pros.The room was clean enough.The cleaning maids are nice and friendly.The location is handy for the Tube.Having a Tesco's around the corner was handy.	
Mar 3 2006 	Make sure you check your bill	First the good news. Location is great, short walk away from Russell Square tube. 10 or so minute walk to Kings Cross. Tesco Metro (supermarket) opposite the tube station so all your needs looked after.Check in============OK. They have a special desk for Priority Club members. The lady at the desk was more interested in the person who was on the phone. Not much warmth or engagement with me.Double checked that I had got the room I had booked as I didn't want to end up in a smoking room.I have stayed at this hotel in several different rooms. My Platinum Priority Club card has never resulted in a room upgrade, so I tend to avoid staying here, unless I happen to need to be in this part of town.The Room=============As I didn't want to rely on my Platinum Card I had booked an Exec room and it was well worth the small amount extra.Some of the other rooms I have stayed in have been clean, but frayed at the edges, with paint chipped off the walls/doors.However, my Exec Rooms was nicely done and seem to have been better maintained. This one was on the first floor and was on one of the quiet side streets.Decent size and clean, mini bar and tea and coffee facilities in the room.The bed==============Comfortable, pillow selection always good at HI. Nice duvet.The bathroom==================Decent size, clean, nice shower. Plenty of towels.The gym==============There is access to the Fitness First gym which is just across the road from the hotel. This is a full service gym with all facilities other than a pool.Food and bars=================Can't comment on these as I didn't use them.The bill=============I had booked the hotel using InterCon's website. I use this all the time and very rarely are their issues with prepaid rates. One the odd time it has happened it has been a genuine mix up and the hotel have sorted it out no problem.Not this hotel!The hotel have billed me twice, once for the pre-paid and then again at check out. Two emails to the hotel to resolve this went unanswered.A call to the hotel to get it sorted resulted in &quot;we have only billed you once&quot;. Extremely poor service and no attempt to resolve it at their end. I had hoped it would be straight forward to resolve direct with the hotel. However, sadly, it was not to be. American Express on the other hand were excellent, saw that the hotel had put through two charges and have reversed it.So, please if you do stay here, it will be ok, but check the bill and don't expect any help if there is a problem!	
Feb 25 2006	nice hotel	good clean hotel we stayed with the kids they had a pull out sofa bed , the room and bathroom were clean and a good size . breakfast very nice with a large choice would stay again	
Jan 13 2006	Unexpectedly Impressed by the Holiday Inn Bloomsbury	Having read some mediocre reviews here, I was a little uneasy about the one night we had reserved (via Priceline) for two rooms. It being my mother's 60th birthday, I had called the hotel in advance to confirm room requests and was assisted by a very helpful young woman who pre-assigned our adjacent requested room types. Check-in was smooth; even though we were hours early, one of our rooms was ready so we could leave our bags and go off, happily knowing our other room would be ready upon our return. No mention was made of Priceline as our method of reservation/payment – as is often the case with other hotel chains – and we were treated very well by all staff. We spent some time relaxing on a sofa in an extension of the lobby that was spacious and calm. The rooms were fairly standard (i.e. not overly spacious) 3* London hotel rooms, but were spotlessly clean, as were the well-equipped bathrooms (complete with 'Dove' soap / shower cleanser). In all, given the competitive price we paid, the very convenient location (steps from Russell Square tube and a 24-hour Tesco grocery shop) and a decent range of eating places within walking distance, I cannot speak highly enough of this hotel.	
Jan 1 2006	Nice Find	I stayed 4 days at the Holiday Inn Bloomsbury and have no complaints. The room I had was large by English standards. The room was clean and my room was quiet except for the elevator as I had a room near the elevator. It wasn't enough of an issue for me to request a room change. I ate breakfast at the restaurant and it was good but not cheap. The price for the breakfast was about 13 Pounds Sterling which I found average for London hotels. I found a good number of restaurants a couple Tesco's within easy walking distance. I ate at Hasan Raja on Southampton Row and enjoyed the meal. The park at nearby Russell Square was a nice find. It was also a close walk to the British Museum and the Charles Dickens mueum from the hotel.	
Sep 17 2005	its a holiday inn people...	stayed here in Sept for 4 nights and was &quot;upgraded&quot; to an executive suite... room was small but clean (housekeeping came even if you had a do not disturb sign on the door) bring an alarm clock because the wake up call only works half the time.Pretty authentic British pub in the hotel but don't eat in the hotel restaurant - it is terrible and overpriced!! definitely not a 4 star hotel but it was convenient to the underground (1/2 block) and within walking distance of Covent Garden(theatre district) and Picidilly Circus (Times Square of London) Tried all the Indian food restaurants on the same block (3) as the hotel and they were all great (Chowki was the best of the 3) be prepared for sticker shock if you are from the US because the pound is worth 2x the dollar right now...everything is priced comparitively to the dollar but in pounds so just double the price...	
Sep 16 2005	You will enjoy your stay here great location to all the sites	I was at this hotel for 14 days (August 27-September-10) and enjoyed each and every day there. It is close to every attractions, Big Ben, W.Abbey, London Tower, B. Museum and others. It was basically about 15 minutes or so on the tube for locations on other parts of the tube, but the trains came quickly, so the ride could be less time on them. As far as the hotel itself:The people at the reception desk was very helpful with the exception to one or two of them that did not know what they were doing. If I needed anything I would go to the lady Joann who helped me or if it was during the night, a man named Henry. Breakfast at this hotel is 15 pounds and I was okay with that for about 2 days. The breakfast was fresh and very tasty. Dinner at Callahans, a pub in the hotel was fantastic with juicy and well cooked hamburgers, great tasting bangers and mash and also their pasta dishes were good. You can even take your drink up to your room or away from the hotel to the outside picnic area with no questions as to what you are doing with the drink away from the bar. Stay away from the NACHOS, they were not good. There is a grocery store nearby (TESCO), if you would prefer to eat great tasting cold sandwiches and the store is 24 hours. The location is across the street from the RUSSELL station and a short walking distance to the hotel. If you are looking for a good housekeeper who changes your linen every single day and fluff your pillows, dust and vacuum, not to mention keep your bathroom stocked with towels and clean each day, make sure you get a floor with Olive (female) as the housekeeper. The other ones were truly lazy and you would have to beg them to change your sheet or hide the current so that they would not have a choice but to put a new one on. One more thing, if you need an ironing board or something from the restaurant the employees are happy to bring it to you and very quickly. The staff is helpful in getting you where you need to be and recommend things to you. After 10:00pm, the elevators shut down so that you have to use your access badge to get it and that made me feel very safe. You will enjoy this hotel. I will be staying there again in March of 2006. Cheers!!!	
Aug 20 2005	Very pleasant stay	I, my wife, and our 16 year old son stayed at the Holiday Inn Bloomsbury for 5 nights recently - a very pleasant stay. We paid 90 pounds for a room with a double bed and a double-size convertible couch (It was surprisingly difficult to find hotels with 2 doubles beds in London). This included full breakfasts each day. The room was rather small (as expected) but in good condition and very clean and included a small refrigerator. The breakfasts were good. It is only 1 block from the Russell Square Tube station (which had just reopened after the bombing) and easy walking distance to the British Museum. We would definitely stay there again. There were no surprises on the bill, other than a 1.5 pound charge to access our USA-direct number.	
Aug 9 2005	Nice hotel and locatin	After reading some of these reviews, I was reluctant to stay here. I was pleasantly surprised. The hotel is nothing special, and the room we had was small, but it was more than adequate. The location was great unless you want to be in the directly heart of the touristy part of London. We loved the residential neighborhood and the little restaurants nearby. It was about a 20 minute walk to the West End theaters, and the Russell Square station of the underground was only a block away (but it was closed when we stayed there because of the terrorist bombings). Overall, a nice place and good location.	
Jul 11 2005	Excellent Hotel	For London this is a very nice Hotel, I go to London a lot on business and most Hotels, even big chains are horrible, this used to be a Trust House Forte Posthouse, its now a Holiday Inn and had a total refurb, it wasnt that bad before, compared with others. I use it all the time and would take my family there. Its in Bloomsbury which is a safe area, by British Museum. It has underground car park. Its just around the corner from Russell Square Underground station on the Piccadily line and 15 minutes walk from Euston Mainline station.	
Jun 28 2005	A Terrible Stay in a Good Location	This was one of the most infuriating hotel experiences I have ever had. The hotel lobby looks nice, but not nearly nice enough to make up for everything else the hotel lacks. Our room was small and located above what seemed to be London's Noisiest Street. My sleep was disrupted (and I am a deep sleeper) almost every night because of the voices, cars, and loading trucks coming from outside. Housekeeping did the bare minimum, not even bothering to supply us with additional bathroom tissue when we were almost through our last roll (afterwards that's when the kleenex came in handy). The worst part of all was that we asked for a wake-up call for 6am and they failed to give us one, causing us to nearly miss our flight to Barcelona that morning. The hotel staff had little reaction to this error on their part and they were far from apologetic. Despite its good location, I would never consider staying at this hotel again.	
Jun 23 2005	A great hotel!	The Holiday Inn Bloomsbury was a fantastic hotel. It was clean, located close to the Russell Square Tube station (on the same line as Heathrow airport) and it was close to many major attractions. The staff were friendly and helpful. There is also a great pub called &quot;Goose&quot; across the street. The food and drinks were cheap (about 3 pounds for a burger, fries, and a beer). I would recommend this hotel to anyone!	
