	Quiet clean and modern.	We loved our stay and found the hotel to be very clean and relaxing. We actually lounged in the lobby and read from their collection of travel guide books. The front desk staff was happy to assist us with snail mail, restaurants, and anything else we needed. The breakfast was of a great variety and the staff tending to the buffet were readily available to supply whatever we needed. We stayed on the back side of the building and had no noise and a comfortable bed. The rooms were a decent size for Europe. Also the location was three blocks north of a major metro stop and Hyde Park.	
Jun 4 2007	Great hotel!	My husband and I stayed here in February of this year. Overall, the hotel was pretty much perfect. The only downside would probably be the room size, but that was not an impediment to enjoying our vacation!LOCATION - the hotel is located near Marble Arch just off of Oxford Street. My husband and I are somewhat conflicted about the location, but in the end, we think it was a good choice. The hotel, although located just off Oxford Street, is a good walk (short tube ride) from the real heart of the City, Bond Street, Picadilly Circus, etc. On the other hand, it is centrally located if you consider that Notting Hill, Knightsbridge, etc. are to the west and southwest of the hotel and Hyde Park is just at your feet. Admittingly, we spent most of our time to the east and southeast, so being closer to that area (say Mayfair) would have worked out better. That being said, the hotel is NOT in a bad location. My husband and I walked just about everywhere, so the location was suitable.PUBLIC TRANSPORTATION - the hotel is located a short walk (about 3-4 blocks) from the Marble Arch station on the Central Line. While convenient, the Central line is not the MOST convenient line to be on. We did quite a bit of transferring. Not a huge deal, just something to consider.ROOM - definitely small, but that's to be expected in London. My husband and I didn't stay in the room very much at all, we basically used it as a sleeping base, so a small room didn't matter much to us. If we anticipated staying in the room a lot (who does that in London), then it may have been a problem.RATE - we paid 85 pounds per night excluding taxes. Total, we paid 300 pounds for 3 nights, including taxes which equals about $197 per night USD. While not generally cheap, definitely the best value for the city we were in! The location was good, the hotel was brand new and clean and it included a free breakfast which was a bonus.BREAKFAST - breakfast was good. it included eggs, sausages, beans, cheese, cereal, juices, etc.GETTING TO THE HOTEL - we flew into Heathrow and took the 15 minute Heathrow Express ride (29 pounds one way, each person) to Paddington Station (runs every 15 minutes) and then from Paddington Station, we took a taxi to the hotel. Paddington Station is only a mile from the hotel, so the taxi fare was minimal. Between my husband and I and the taxi ride, the cost of transportation was about 65 pounds. This is probably about equivalent to taking a taxi directly from the airport, but it was a lot faster. The tube would have been the cheapest route, but likewise would have taken a while and with luggage, would not be ideal.INTERNET - there is one computer with internet access in the downstairs common area. We never had a problem getting on to use the computer. We also brought our laptop since there is free wireless internet in the rooms.SERVICE - everyone was very nice and helpful during our entire stay.ALL IN ALL - an excellent choice for our stay. We had a wonderful time in London and the hotel was perfect for our needs.	
May 29 2007 	a top class small hotel	As someone who has stayed in hotels in London regularly over the last 10-15 years this was definitely one of the better ones. As an all round experience I could not fault the standard of accommodation, the decor, the breakfasts or the friendliness/helpfulness of the staff. The hotel's location is excellent; only 5 mins walk from Marble Arch tube station and less than that from the Edgeware road restaurants &amp; bars. Our rooms were well proportioned, comfortable and very clean with air conditioning that worked (not always the case in London). We also had 3 great night's sleep - uninterrupted by street noise -this is something special where hotels in London re concerned.I would strongly recommend this hotel to anyone and will definitely be back.	
May 13 2007 	Boutique style at a great price!	This little hotel offers boutique style at a great price, and a very convenient location just off Oxford Street to top that. My room was quite small and slightly impractical (nowhere to hang your towels and no safe) but these little lapses or imperfections are easily overlooked due to the utterly charming nature of the property itself and the staff that runs it. The breakfast, although very simple, is served with care and good service. It really feels as if you are staying as a guest in a London townhouse rather than a hotel. A very sympathetic and relatively stylish haven in Central London. I strongly recommend.	
Apr 25 2007 	Great value	We stayed only 1 night at Sumner but we really liked it a lot. Location is perfect, hotel staff is kind and polite. We stayed in a king double. The bed was extremely comfortable, duvet and pillows just like at home. Entering the hotel you can already feel how tidy and neat it is. The bathroom is spacious and amenities are good also.	
Apr 23 2007 	Will stay there again!	I have stayed at the Sumner Hotel twice now and found it to be a great value! It is clean w/lovey decor and a nice breakfast. The location is great for dinners out in Marylebone or a walk though Hyde Park to Notting Hill. And close to the Tube which is great too. The staff was very friendly and helpful. I read a previous review where someone complained about the mini bar only having water. I think this is the funniest thing to complain about. Within a 3 minute walk of the hotel, there is a darling Italian market and other conveniences. Mini bars just allow you to spend money on overpriced items!	
Apr 15 2007 	This is a fantastic Hotel	My husband and I stayed at this hotel for three nights in April '07. We really liked it a lot! The location is great, very centrally located within London, and just about three blocks to the Marble Arch tube station, which is located on the Central Line. Its also just about four blocks to Hyde Park. It is a small hotel, located in what appears to be a renovated townhouse, and you almost feel more like you are staying in a little apartment rather than a hotel (but the rooms are hotel rooms, with a little fridge). The front desk staff were very nice and accomodating. The room was also very nice and sizable, with a flat screen tv, and a desk, along with a mini fridge. The bathrooms also look like they were recently re-done with a nice marble sink, however our room did only have a shower (no tub), I dont know if other rooms have tubs. They also have a nice breakfast included as well, with eggs and toast and beans and cheeses and meats and cereal... basically everything you'd want to start you on your day. Essentially this hotel is an excellent, pretty, well located hotel and we both enjoyed staying here immensly.	
Apr 11 2007 	Great location	Really nice small hotel, chic B&amp;B. Well located near to marble Arch. Good value for short stay.	
Apr 5 2007 	Great Deal	Excellent customer service at a great price! Townhouse small hotel, like a B &amp; B, very modern and clean. Good-sized room with dreamy beds. Central heating made it too hot in the room, but the window opens. My room was quiet and at the back; the front rooms were noisy due to pedestrians walking by . Breakfast included, but the menu is the same every day (not a fan of bacon and baked beans). Tea/coffee 24/7 for only 1.5 pounds. I spent under 900 pounds for 8 days. Ride from LGW (Gatwick) by hired taxi from hotel was 85 pounds. Suggest going through Heathrow, which is closer and cheaper. Walking distance to Oxford St shopping, Marble Arch, and Hyde Park. Staff was very solicitous and always cheerful.	
Mar 26 2007 	The reviews helped	Like other travelers I booked this hotel from the reviews. Not knowing much about areas in London, we chose the Hotel Sumner because it had everything we needed. The hotel is on a quiet side street, only three blocks from the Marble Arch Metro station. Just like other reviews, the hotel was clean, well run with a friendly staff. The desk clerks help us quite a bit on things to do around London. The lobby has a nice lounge area with free internet. The moring breakfast was typical of England, with tomatos, eggs, and baked beans, and normal assortment of juice and coffee, toast. They do have an elevator but there are a few steps up to some rooms. We did not need the help but the clerk was willing. The only one concern was the proximity to local resturants. There are a few near Edgeware Road but most seem to be Middle Eastern cuisine. So a bit limited in the dining area. Otherwise this was a great hotel for a out of the hub area of London.	
Mar 20 2007 	Cool Gem @ Marble Arch	Booked this property based on tripadvisor reviews - so thanks!! Contacted the property directly and got an excellent rate, inclusive of breakfast and 24-hr in-room BB internet access, which was crucial for us. We stayed at Sunborn Yacht &amp; Riverbank Park Plaza too during this trip to London, so price-value &amp; location wise, the Sumner was the best compared to the other two. Location: Marble Arch station was 2 easy blocks away, with lots of convenience stores, a few shops, and restaurants along the way. Hyde Park entrance across the road from tube stop. Relatively quiet area.Property: unassuming townhouse entrance off street, in clean, neat, residential type setting. Lots of diplomat cars and liveries on street.Room: 2nd floor (elevator &amp; stair access), very quiet. Narrow hallway made luggage manouevering difficult. Complimentary chocolates on bed, every day. Bed was actually (2) firm twins and management was very responsive to our request to 'join' them up (with a fitted sheet) into a dbl. Clean, crisp sheets, comfortable therm setting, able to open windows, good sound proofing. 32&quot; flat panel TV, perfect distance from bed, above fireplace. Bathroom: spartan and minimalist. The handheld shower was near impossible to turn on once it got wet from the shower head above - slippery and tight. Water pressure was excellent, temp great. Towels were thick and absorbent, usual Gilcrest &amp; Soames toilettries provided. Very narrow counter area - not enough for both our toiletry kits. Staff: friendly, responsive. Good service in the breakfast room.Breakfast: standard continental &amp; english brekkie items provided in small, clean, modern eating area, 8 -10am. Staff was very kind in accomodating us even when we came down at 9:55am.The hotel has a wonderful, cozy sitting area: large living room, soft lighting, with newish furniture, lots of magazines and papers and a common area computer. Whitewashed and colourful walls contrast with dark wood floors, plush velvet and leather furniture and modern, abstract art displays. We are returning to London in April/May and intend to stay here again for our business &amp; personal trip.	
Mar 19 2007 	Nice and spacious	We stayed at the Sumner Hotel juz last Tues night, and apart from a few minor problems, we were quite pleased with the hotel. It looks like a normal residence from the outside but once inside, the atmosphere was really peaceful and classy.Location was great, and we took a long walk in the evening from Leicester Sq back to the hotel which took abt an hour. It was tiring but nice and warm.The room 200 looks pretty much like the pics on the hotel's website, except that we were in the basement room(because I requested a room with bathtub) right opp the breakfast room, so it can get noisy in the mornings with the breakfast room door open. It wasn't a big problem for us since we checked out the next day. Bed was really comfy, room was spacious,although it would be much nicer if they had put a couch in the room instead of a sofa bed. Juz a note: the room was quite stuffy and warm, and the air-con wasn't working, so make sure tat it's working or u will hv to open the windows in the summer.Bathroom was simple and right size for us, only quip was the toilet roll holder fell off and my hubby's hand got cut on it.In all, we would definitely stay there again, and choose one of the higher floor rooms.	
Mar 6 2007 	The best we have seen in London	Our experience of hotels in London has until now been quite bad. But it has changed now.Due to:Good location very near Oxford Street.Very very nice newly renovated clean rooms (not very bit though).Two rooms chosen for our family according to our requirements that fitted us perfectly.Very nice staff.The breakfast was not huge but still one of the better we have experienced. Attentive and thoughtful.When in London next time we will return!	
Feb 22 2007 	'So' recommend The Sumner	I have spent the last 20 years in staying in London hotels for both business and pleasure. It is such a refreshing change to have found a Hotel that has 'True London' character with all the refinements that go with 5* luxury.The decor is so opulent, the fixtures and fittings are the best I have seen anywhere. And as for breakfast...I want breakfast in that room every day...it is so refreshing &amp; vibrant....!You can't even find a better location. It is so convenient for all Public Transport, but there are so many car parking spaces available all the time. Amazing for such a central area.What makes this place even better are the staff. I cannot thank them enough every time I stay.This is the only Hotel I will use when in London. The only problem I can see, is it's just so good, hence becoming so popular, I might not always get in...!!!I normally refrain from recommending any accommodation to people as I never know what their expectations are. However, I have recommended this to so many now and everyone has said it has been superb.Many thanks.	
Feb 20 2007 	Sumner Hotel is in a great location	We went to London for the first time for a 3 day stay and chose this hotel based on a recommendation from a friend. The location was perfect for catching transportation (buses, tube) to all of London's main central attractions. Some of them were even within a short 15-20 minute walk! The hotel was very clean and the rooms well maintained. The rooms were a fair size (especially by European standards) and quiet for the most part. Breakfast was served every morning and each guest had several items from which to choose.The staff was excellent is addressing any need we had and contacted a taxi so that we could get back to the airport on time. I would definitely stay at this property again.	
Feb 15 2007	perfect place...	I felt like home. The best thing for me apart from the beatiful decoration, the lovely room, the nice bathroom, the kindness of the staff, was that when you arrived at the hotel you didn't feel like you were in the middle of such a big city like London. It's a perfect place to relax and enjoy London. Thanks again.	
Feb 14 2007 	High Tech 	This is a cool hotel. It marries high tech with style. Lifts to the rooms (almost no heaving luggage up narrow stairs), no keys to juggle (its a card system that is placed in front of a sensor), flat screen TV. Excellent location 3 min away from the marble arch tube and oxford street shopping. The service is genuinely friendly and competent, and the decor tasteful. They speedily located a manicurist for me along oxford street despite being busy. Its modern-victorian, sort of old style with a twist. Many lovely and unique spaces in the lobby and lounge that one can relax in , with internet access, a selection of books, a fireplace and view of the street. Good microspace creation manipulating light.I suspect the windows are soundproof, coz my room was totally silent! The bed was kingsize and very good, I slept like a baby. The bed must be something because I sleep on Simmons at home.I would recommend it highly :)	
Jan 24 2007 	Super comfortable bed!	I stayed at the Sumner for two nights on a business trip after reading the reviews carefully. The last time I stayed in London I picked a similar townhouse in Paddington and paid £85 - I had to choose between a tiny, quiet room at the back but reeking of smoke, or a tiny, quiet room at the front which was extremely noisy. So I suffered the noise and vowed at that point that next time in the city a quiet night would be worth around £100.I paid £116 per night at the Sumner including breakfast. When I arrived, I was delighted - a smart facade, the quickest check in I've ever experienced and a room which surpassed my expectations. Super comfortable bed, pristine and spacious shower, perfectly tuned flat screen TV, mini fridge.With many of these townhouse hotels, the breakfast room is in the basement with no natural light, but they had made an effort here with the decor to make it feel bright.I have no laptop but a great plus is the free internet access in the lounge - and I was able to print off a few pages for free which I collected in the reception, much appreciated.The only thing I missed was a coffee making facility in the room, it would have been the cherry on the cake. If the management ever read the reviews - save on the chocs on the bed and invest in a few kettles.If I have to stay in that area of London again I'll go back to the Sumner and can certainly recommend it to others!	
Jan 14 2007	We were disappointed	We'd always wanted to stay at the Sumner in S. Kensington but it was sold before we had the chance. We were happy to see it in a new (albeit not as desirable) location - the reviews here were good and the hotel looked lovely on the website. However, we were fairly disappointed.The decor is relentlessly modern - looks lovely, and everything is new, but it's not very practical. The chair in our room was so low it was a challenge to get out of it. The bed platform took a big chunk out of my shin in the middle of the night - lots of blood and I now have a scar - as it's got sharp corners that are unprotected by a mattress. We had a King bed, but since it would have been a design sin to have a king duvet (I guess it would spoil the aesthetic to have the duvet hang over the edges of the mattress) to stay covered you have to stay closer to the middle of the bed, thus defeating the point of a king - to sprawl out in a big bed.The toilet was positioned so that if you didn't sit far back, you'd burn your knees on the radiator which was directly opposite in a tiny space.Great chunks of sloppy caulking in the shower will result in some major mildew growth down the road, and the towel rail will almost certainly start pulling out of the tile wall.The ceilings are lovely and high with very nice moldings and are painted a lovely soft warm grey. As I say, everything at this writing is still nice and new.Breakfast was really good one day (great sausages) and not so good the next (rock hard eggs and weiners instead of sausages! We joked about eating weiners and beans for breaky).Something which really ticked me off was the lack of a bath in our room. I need to have a bathtub and so I had emailed the hotel a few times to confirm that our room would have a bath and shower. We even booked a higher category room to ensure we'd get a bath, and I have the replies saying of course our assigned room had a bath. Yet the room we were assigned on check in had no bath. When I brought this up with the woman on duty, she said she was sorry but this was the only room they had available. NOT IMPRESSIVE. The room did have a lovely big shower with all sorts of nooks and crannies (which served no purpose other than to look cool), and the overhead shower head was very nice, but I was not satisfied.We did not feel the hotel's location is that great. The nearest tube station is Marble Arch. It's close, but it's not a convenient stop as it only has the Central Line - so be prepared to transfer a lot. If you plan to spend lots of time on Oxford Street then the hotel is well-located for that, and there are some nice small pubs close by. The area has many, many small cheap hotels and B&amp;Bs in it.If you like the Marylebone village area for shops and restaurants, it's within walking distance. We got a pretty good price for this hotel, and it wasn't a totally bad experience, but it was disappointing. We go to London every couple of years. We'll definitely return to the city but we will not return to The Sumner.	
Jan 10 2007 	Lovely New Year's Eve in London	Booked this hotel on strength of reviews on this site.Hotel is located just off the Edgware Road and a short walk to Oxford Street, Selfridges, Hyde Park etc.The hotel is in a fairly quiet street. it is 2 converted town houses combined to form a hotel of 20 rooms so a nice size, not too big. The decor and furnishings are very modern, clean but welcoming. The lounge downstairs was ideal for a pre New Year's Eve drink -take your own there is no bar!We went with my wife's sister and husband who are used to the finest hotels around the world and they were very impressed. My sister in law described it as &quot;a country house hotel in the city&quot; which sums it up very well.We had booked deluxe rooms but i am sure the standard ones would be fine. Room wa slarge with lovely decor. The bed has to be the most comfortable ever in a hotel and after a heavy night it was a real struggle to get up.Breakfast was OK. Some hot food plus fruit, breads, etc buffet style.Staff were very helpful and polite.Overall, highly recommended.(For New Year's Eve we ate at Rodizio a Brazilian restaurant in Bayswater. Great fun and good value. Try it but get a table downstairs it was just too hot upstairs as this is where they chargrill all the lovely meat.	
Jan 6 2007 	splendid oasis within the city!	Joined my daughter and her friend at the end of their 3 month European adventure, which they spent in hostels and &quot;low-budget&quot; properties. Knowing that London starts at expensive and goes to outrageous, I tried to find a nicely located hotel with at least a 3 star rating (the Sumner is 4 star) and didn't break the bank. This place met, and exceeded, our requirements, not to mention our expectations!We spent 4 nights here after a rather disappointing 3 night stay in a budget property (more like a hostel so we could accommodate an additional friend for the first part of our visit). Our first impression was &quot;WOW!&quot;, as the lobby/living room is certainly an oasis in the very hectic, crowded city. The staff was quite gracious and professional even before we arrived, as they corresponded with me and made various reservations, etc. prior to our stay. They certainly didn't disappoint in any of their assistance. Check-in was a breeze.Our room, large by European standards, was scented of lavendar as we opended the door. The bathroom, though small, was adequate for three women. The beds were remarkably comfortable, as was the living room furniture. The breakfast was delightful, differing slightly every morning, and served with a smile. And free internet helped the girls catch up with friends and email before heading back to the US.Over all, the Sumner was a splendid way to see London, close to shopping, sightseeing, and dining. I will return and recommend this hotel to all family and friends. Enjoy!(PS: the hotel reserved a car for our early morning trip to Heathrow and it was $50 for all of us; and they came to our door, loaded the luggage, and dropped us at our gate! What a deal! Will definitely do this again!)	
Jan 6 2007 	Perfect hotel	We'll stay here on every trip! The hotel is in a great location, close to Oxford Square and a tube station. It was SO clean and simply decorated, plenty of room and super comfy duvets. Very quiet too. The staff made the trip for us. They were so nice and helpful. We wanted to stay another night but they were booked. They actually helped us find another hotel. (The Darlington was horrible compared to The Sumner, big disappointment). They also helped us with coach reservations to Canterbury even after we'd checked out. They couldn't have been nicer. They also put an internet booster in the stairwell so that I could get good wireless access in our room. Breakfast was great too and filled us up for a good part of the day, saving us money in this expensive city!The hotel made our stay!	
Jan 2 2007 	Luxury and Location for a Great Price	I've been to London 3 times in 2006, and stayed at 3 different hotels each time. The Sumner Hotel was my most recent stay. For the price (100-150 pounds), the Sumner is an excellent hotel. It's not the best hotel I've stayted at, but this price range is the hardest price range to find a decent hotel in London.The Sumner has nice rooms, a great location, friendly staff and an excellent breakfast.The Room:I stayed in a &quot;deluxe&quot; room, which is now called the Superior King, for 140 pounds a night including breakfast. The room was quite large for London (the 12 foot high ceilings helped) with a king sized bed, a small desk, a small refridgerator, a flat screen tv on mounted on the wall, a wicker bench and an armoire. The decor was modern and minimalistic. Not my taste exactly, but it was nice nonetheless. The room lacked a dresser, so unless all of your clothes hang, you pretty much are living out of your bag.The bathroom was small but functional. The bathroom only had a shower stall that was a tight fit for one, but it also had a great shower massager! The room and bathroom were very clean overall. My biggest complaint about the room is that the room (on the 2nd floor) faced the street, and every single noise outside could be heard rather clearly. It's not that bad since Upper Berkeley (pronounced BARK-lee) is a remote, generally quiet street.The big plus about the Sumner is the free wireless internet. London hotels generally charge 10-20 pounds for in-room internet access, which is not a nominal fee considering the weakness of the dollar. So this is a bug plus if you are travelling with laptop in tow. However, if you're travelling on business (like me), this is not the best place to be as their is no business center with printer/fax/copy capabilities (although I am sure could get that done by the staff if you needed). They do have a generally-available PC with internet access; this too is a plus as most hotels will charge a few pounds for 30 minutes access to a PC with internet.Breakfast:If you are a fan of strong coffee and English breakfast (runny eggs and some kind of meat - generally sausage), then you will be a fan of the Sumner's breakfast. Personally, I thought it was fantastic. They also have fresh fruit, yogurt, cereal, oatmeal and pastries. It's a great way to start the day. I am not sure how much extra the rate is with breakfast included, but it was worth it to me.Location:The Sumner is two blocks due north of Marble Arch station, which is at the tail end of the shopping district along Oxford Street. Selfridge's and Marks&amp;Spencer are within walking distance (or a quick bus ride), and Bond Street is walk-able as well. Marble Arch is on the Central Line, which is convenient if you are focusing on Central London. If you are going anywhere else, you'll need to transfer (not a big deal, but not as convenient as some other stations).The Sumner is also a 5 mintue cab ride (about 10 pounds) from Waterloo train station, so if you take the Heathrow Express to Waterloo and then a cab to the Sumner, it'll take you about 45 minutes and cost you about 25 pounds (this is a bargain and it's quick).The one downside to the hotel is that the area around Marble Arch severely lacks decent restaurants - even if you're looking for a quick bite or something casual - the choices are very limited. Staff:This is a boutique hotel and has more of a family-owned feel to it. I did not interact with the staff very much, but they were very friendly and helpful with the few things I did need. Overall:The Sumner Hotel is a great hotel for the price - it has nice, large, clean rooms and is in a good location convenient to most of Central London. You really can't get such luxury and location for under 150 pounds in London. However, if you can afford a few pounds more, I highly recommend the Park City Hotel (in the 150-200 pound range). It's in a better location and more luxurious for the price. My other stay this year in London was the Renaissance Chancery Court, which is absolutely fabulous, if you can afford the 300 pound/night room fare.My final word on the Sumner is that you can't go wrong if you stay here. Are there better places to stay? Absolutely, but the Sumner is rare in that it offers a great, luxurious place to stay at an incredibly affordable price.	
Jan 2 2007 	Nice hotel	As we spend 2 nights in London for New Year's Eve, and based on the writing about this hotel, we choosed the Sumner as we like to try new hotels in London.As said, aera is nice and safe. Hotel is only 5-7 minutes away from Marble Arch tube station and Oxford Street. Hyde Park isn't far as well. Try the good (but pricey) Indian restaurant &quot;La Porte des Indes&quot;.Room was big and clean, with a nice LCD TV which is almost normal for a new 4* hotel in London. The only thing is that we had a room facing the hotel and which was noisy because it hasn't really soundproofed windows. Traffic there can be heavy.Nice staff. Breakfast was too early (8 till 9.30 am!!). We didn't try. I really think you can get a better hotel for the price in London. Happy New Year!	
Dec 23 2006 	nice hotel great location	My husband &amp; I (from Chicago) stayed at Sumner for 4 nights. Being near Edgeware Road, Marble Arch and Oxford Street, this location is wonderful. The Bond Str. and Marble Arch tube stations are nearby and beautiful neighborhoods are steps from the door. We've stayed in London a number of times, at fancier places (including Browns and The Langham), and this is definitely one we'll go back to in the future.The room was big, the service pleasant and breakfast adequate enough to get you through the morning. Highly recommended.	
Dec 23 2006 	9980% score !!	Just returned from the Sumner, we stayed there just for one night. Looking for a nice hotel we finally booked this hotel based on previous revieuws. We booked it directly on the sumner-website, (discount, final total amount was Epound 116!!) the smaller room.The space between the end of the bed and the wall is not very wide, but wide enough to walk. Room is 100% clean and wonderfull decorated, it is exactly like the pictures! Provided with a large wardrobe, good bed (it's higher than normal, lenght of the bed is ok; husband is 6.2 feet no problem), clean carpet. (I always hate it when there are strange stains on floors in hotel rooms). Nice and clean linnen. Bathroom is adequate with a very nice shower ! Minor thing was the temperature; too hot!! Which was easily altered by changing the airco and opening a window. Another small minor thing was the breakfast-room; it's pretty small but no one had to wait to be seated. But these two issues are the only negative points about the hotel. Hotel is located in a very nice and save location. Staff is indeed very friendly; they checked our flight (Heathrow fog) and we were allowed to leave our suitcase behind in the hotel the next day, for a couple of hours. Everything with a sincere smile.We will definitely return here !	
Dec 13 2006 	Stunning!	I stayed at The Sumner in December 2006 and it's a perfect little hotel! The room was spotlessly clean, the bed was very comfortable, breakfast was great ... they serve hot cross buns at Christmas time: superb!!!How many times have you stayed in a hotel and from about 7am, every door in the place starts banging making it impossible to sleep? Well, at The Sumner, every door is fitted with a clever little device which gently and quietly shuts the door. It's little details like that which make this hotel stand out from the competition.I wholeheartedly recommend the hotel.	
Dec 2 2006 	Very Good Hotel For The Money	Stayed here for 4 nights and found it to be a very good hotel for the money. I do think that it would in fact be hard to beat for the money. The hotel is close to The Marble Arch tube stop which would not be my first choice in London but it was relatively close to theatre, Harrod’s and Chelsea which having been to London before was what I came for this time. Also being Marble Arch the restaurants were alittle cheaper than in other areas which the few times we ate in the area was nice.The hotel has a very nice parlor or sitting room with a computer and free internet. The computer will print out documents to the nearby front desk printer and there is no charge. The sitting room also has a sofa and several chairs and guide books to London. It is right at street level facing the street so you see people walking by and cars which I enjoyed. There is also a gas fireplace in the sitting room which makes it very pleasant. We had tea and biscuits served to us a few nights in the sitting room for a very nominal fee which was very very nice.We had the king bedded (larger) room facing the street. Everything about the room was quite nice…….comfy bed, decent pillows, very clean and flat screen tv. The tv was in an odd spot, on the wall to the right of the bed, which made watching it a bit of a strain. The chairs in the room were not terribly comfortable. I would take exception with a previous reviewers comment that there were only 2 items in the mini bar in that it is not actually a mini bar. Rather it is a refrigerator for guest use in which they provide one flat and one fizzy water I believe at no charge. Diagonally across the street is a grocery store, which always seemed to be open, where you can buy whatever you want, at decent prices, and put it in the refrigerator. There is no gym however there are two Marriot’s nearby where you can use their facilities for a fee (the older one at Marble Arch has better facilities as it has been redone) although at both hotels they didn’t charge me……it seemed to be more trouble to the staff than it was worth.I do agree that the walls are very thin between the rooms and that would be my only major criticism. We could hear the guests next door using the toilet which was somewhat of an annoyance. When there were loud guests in the room next door we heard more. I would not recommend this hotel for younger people who might want to stay out late and go clubbing and then sleep in the next day….you’ll disturb people coming in late at night and I do think it might be difficult to sleep in although we did sleep from 11AM to 5PM one day because of jet lag with not much trouble.A full breakfast at this price was a nice addition. I have had better hotel breakfasts but also worse and for the money I thought this breakfast was quite nice……eggs, meat, cheese, cereals, juice, coffee, tea, cumber slices, scones, muffins. A very friendly staff and guests made this quite a nice stay. From the moment I called the hotel from Los Angeles with help with finding the best Indian Restaurant in town that we would enjoy (top food with friendly service and relatively informal) I knew I made the right choice. That restaurant was Chutney Mary’s by the way which we really enjoyed.I would probably return to this hotel if it continues to offer such good rates. There is a lot to be said for the small boutique hotels in my book, where there are friendly staffs and nice communal rooms. However if the rates rose by a fair amount I would be tempted to check out some choices in Covent Garden and the Kensington area.	
Nov 29 2006 	Good experience	The Sumner was more or less as I expected, which is a good thing. The hotel is clean, decently located (close to Marble Arch tube), relatively spacious (as far as London goes) and has a great staff. The price was very good as well.The only outright negative was the too-thin walls/ceiling, making it hard to sleep in (if that's your choice). I wasn't a big fan of the breakfast, but others seemed to enjoy it. The wireless internet could have worked a little better in the room, but the fact that it was free entirely made up for it.	
Nov 29 2006 	New favorite hotel in London	I booked this hotel online and expected a nice place, but the Sumner was a fantastic new find. The rooms were comfortable and stylishly decorated, the bathrooms were modern, the beds extremely comfortable, the breakfast very tasty and the location is great. Would stay here again definitely and totally recommend. I would say you can't get better for the money for a boutique hotel in London right now.	
Nov 28 2006 	A very comfortable stay	A lovely five night stay at the Sumner. Prompt service, nice breakfast, good sized room, contemporary furnishings, everything very clean, very tasteful. A sedate boutique hotel with nice detailing. Easy walk to tube stop, to Hyde Park and to shopping in Marylebone village. One watchout...my partner and I were first in a room on the basement level. The room was huge (even had a nonworking fireplace) if somewhat underfurnished. However, the bed was right under the first floor drawing room and computer table, so lots of walking and chair moving overhead late at night. The next morning,the hotel gladly moved us to a top floor room. It was a little smaller, but quieter and still very comfortable. Would definetely stay at the Sumner again.	
Nov 28 2006 	Great boutique hotel	I agree with other recent reviews. The hotel was gorgoues and very London! The rooms everything you needed. They were modern, comfortable, spotlessly clean and the staff were incredibly helpful. The breakfast room was very sweet too. My only comment would be that a twin room is just a king bed split into two, not two doubles as I thought it would be.The pub two doors away was fantastic and it was great to be able to have a quick beer or dinner by yourself in a genuine London pub 30 seconds from the hotels front door. I highly recommend this hotel.	
Nov 20 2006 	Very nice not perfect	Did only stay for one night, so my experience is limited. Positiv; Location is good for al the touristy places and Hyde Park which is great anyway. The decor is quite nice if not that cool. Big bed! Quite ok bathroom. Free internet. Very helpfull and nice concierge...Negative: The minibar contented only 2 bottles of water, that's it! I thought this was a mistake but when I called the consierge he confermed that was normal. Not a big thing, but I wanted a coke... Internet worked very slow if at all (wifi). Bed was very big, but not very good. The bathroom is small for the price.All in all I liked the place, especially the ¨living room¨. But after reading all these amazing reviews I was a little dissapointed.	
Nov 17 2006 	a pleasant discovery in London jungle	I stayed at Hotel Sumner four nights on business travel. Find a decent and not very expensive accommodation in central London is not an easy job. I read some reviews on Trip Advisor and then I chose to try the Sumner thanks to its location, two minutes' walk from Marble Arch tube station. And I did not regret of my choice. The hotel has a cozy, familiar atmosphere since you step into. Enjoy the sitting room giving on to the street. It's really pleasant.My room (Queen Double Room for single use) was clean, well equipped, with LCD screen, and surprisingly silent. Bathroom is clean and functional. The receptionists are friendly and ready to help you with information (there is also a list of suggested restaurants on a desk), as well as the lady serving breakfast which is situated below groundfloor. Breakfast is not very English as you may expect but it is totally enough (especially for an Italian), with cereals, pastry, toast and scrambled eggs. Pastries were not fresh. But nobody is perfect. I recommend the Sumner Hotel for a short or long stay in this crazy fascinating city	
Nov 9 2006 	The Sumner is excellent!	I just got back from a trip to London, and loved the Sumner. The staff is extremely efficient and courteous (and make good restaurant reccommendations), and the hotel itself is pretty much brand new and everything you could ask for for 99 pounds a night. The rooms and bathrooms are a decent size - and everything is sparkling. The beds are extremely comfortable -which maybe isnt such a good thing - since it made it harder to actually get up! Ha. ha. Each room has a plasma TV with digital cable which also made it hard to leave the room as TV in the UK is quite addicting. The shower was a nice size and had great water pressure - and yes, there are Gilchrist and Soames soaps and shampoos in a cute little basket in each room!The breakfast room is modern and adorable, and the English breakfast that was included was definitely enough to fill you up.The lounge is comfortable, and has a computer for your use, and almost every London guidebook that is out there....and as for location, you can't beat Marble Arch - and The Sumner is literally a 3 minute walk from the Marble Arch tube station...and Hyde Park!I would definitely reccommend staying at the Sumner, and I would gladly stay there again - as I almost was sad to leave! It really is a perfect little hotel.	
