	Great value very convenient helpful staff hearty breakfast	We were there for 2 days and returned for another 7. Location couldn't be more convenient as it's a 5 minute walk to the Gloucester Street tube station with Picadilly, Circle, and District lines. Good, reasonable restaurants nearby and a grocery store at Gloucester and Cromwell. Staff was very nice and helpful. Breakfast is great. They call it continental, but it includes eggs, bacon or sausage, baked beans, toast, sweet rolls, cheese, meats, juice, etc. Only thing missing was fresh fruit. We stayed in two different rooms, both of which were quite nice. Really liked having the refrigerator. They have two non-smoking floors if you request ahead. Didn't try wifi but there are computers with internet access in the lobby, 1 GBP for 20 minutes. I guess we like crisp sheets and firm beds because we found everything very comfortable and clean.	
Nov 29 2004	Don't even think about staying here.....	Not only is this hotel depressing in its lack of upkeep, it is the most &quot;nickel and dime-ing&quot; place I have ever stayed. Extra charges exist for everything and there is no flexibility whatsoever even when the charges are precipitated by hotel problems. With all the hotel choices in London there's no reason to stay at a place so dogmatic it cares more about its policies than its guests. In addition, the room was just plain depressing: holes in the blankets, a ripped mattress, ripped wallpaper, and small.	
Nov 20 2004	Shoebox Sized Rooms Closets..What Closets? Nice Front Desk People.	Old London Townhomes that were strung together to create a &quot;hotel&quot;. First let me say that I know room sizes are smaller than US, but this was over the top. We stayed in what was advertised as a triple. It had three beds and that was the only thing that remotely resembled anything &quot;triple&quot;. Beds were old and you could feel springs through the mattress. On our last day, Rude pushy maids entered the room early, checkout was 11:00 am, they were barging into room at 9:00 AM. And they wouldn't take a hint.The closet was tiny, barely enough space for one persons clothing, let alone three.The bathroom was tiny. Clearly the owner of the place renovated and remodeled with the intent of getting or should I say.. Wringing every buck out of the building. You basically are put in to a room that is a single, with three beds. If the room had 300 sq. ft., that was a lot. We booked this place via internet, and all I can say is: check the space before you commit. Overpriced. That said, the front desk staff, and concierge were pleasant, professional, and accomodatiing. In no way should the negatives reflect on these good people. English breakfast was good. Regarding coffee, there's a Starbucks about two blocks away across from the Gloucester Street Tube Entrance, and another one(closer) in the Sainsbury's Grocery Store up the street.	
Nov 2 2004	Park International Hotel--Worth the cost	The Park International Hotel, London, is on Crowell Rd. in the Borough of Kensington and Chelsea. It is a decent 3-star, no more, no less; however, it's location and the people who work the front desk, coupled with the low cost make it true value for money.It's only 1.5 blocks from the Gloucester Rd. tube stop through which 3 lines run, and about 3 blocks from the V&amp;A, Natural History, and Science Museums. A few blocks in another direction brings you to Kensington High Street and Kensington Park and Palace. Within 2 blocks are numerous restaurants, 2 large and 1 small supermarket, 2 internet cafes, a post office, a laundromat, and more than one ATM machine. Rooms are neat and clean, though nothing special. But add all this to the helpful, friendly front desk personnel and the concierge and you've got a recipe for success. I'll definitely return my next trip to London	
Oct 10 2004	Had a great experience (with teen kids) would do it gain	We (two parents, two kids ages 14 &amp; 11) stayed at this hotel in late July for two nights. We found the hotel through the tourist help desk at Stansted airport. It was relatively painless to get there from Stansted, and it was wonderfully easy getting to Heathrow on our way back.Our first impact was positive as the person helping us took the time to show us several rooms, so we got to pick one on the fourth floor. We had to get a rollaway for our 11-yr-old, and yes, it did get a bit tight, but after all this is London so what do you expect for an amazingly low price? The rooms were clean, the staff was extremely helpful and friendly. The breakfast wasn't exceptional but was included in the price and again we are talking London here. We had Thai across the street one night and loved it. Aside from the Gloucester St. station nearby, you can walk in 10min or so to all the museums, Kensington Garden and also to South Kensington.I have stayed at other places in London (and all over Europe and the US) and this was definitely one of the best experiences I had for the money. I will definitely go back there if I am in London again. I guess based on some other reviews I'll ask not to be put in the basement...	
Oct 10 2004	Nice enough but AWESOME location	My family and I stayed there in August of '04. I booked it through Expedia, and didn't get the kind of room I would have liked. (It was kind of a lower level room) We were told that with Expedia, what you get is what you get. The hotel was full, and couldn't move us. The staff were very nice. The room was very clean, (and quiet) as was the rest of the hotel. The best part was the location! S. Kensington is a great &quot;residential&quot; neighborhood, obviously on the upscale side. The Gloucster Road tube station was 1 1/2 blocks away, and we were walking distance to Kensington Palace. All in all, it was nice. Maybe calling the great staff to book a room would have been a better idea, though!	
Oct 2 2004	Excellent Value/Price ratio	Stayed here Sept 29th - Oct 1stIf you are traveling as a short-time tourist, alone (meaning that you dont have to impress anyone) and with budget in mind this MUST be your choice. Clean rooms (have a single in level 5) for approx 40-45 pounds top per night. You'll save a lot using the tube (LHR is 7 or 8 stations away and no transfer between lines is required).Walking distance is Harrods, Hyde Park, Chelsea and using the tub (Gloucester Road), any place in London.Ask for a non-basement room and book using their website to receive breakfast	
Oct 1 2004	Actually a 2-star hotel by American Standards	Room was tiny, especially for a triple (2 double beds). Everything was crammed into every available space - mini fridge was so close to the desk chair that you would accidently open the fridge even time you pulled out the chair. No one could pass when someone was seated at the chair. Bathroom was even smaller and not well ventilated with a smell of stink feet. Low water pressure, even though we were on the second floor. Nastiest thing was mildew on the bathroom ceiling. Hostess at the breakfast buffet was rude and acted like she didn't speak English.	
Sep 27 2004	Excellent Place To Stay	This hotel was a wonderful place to stay. The location was the best, especially with the option of taking the tube straight from Heathrow---saved a lot of money on hotel/airport transfers. The King Leisure room was large (for British standards), the bed very comfortable, and the airconditionning was much appreciated as we were there during a heatwave in early September. The best price can definitely be found on the hotel website itself --which also if booked on their site guaranteed us breakfast--which was quite good. The location was fantastic for touring all of London. The Gloucester Road Tube station is on 3 different lines so it couldn't be easier. It is also very easy to get around from this hotel on the bus. The area of Kensington was lovely to walk around in the evenings--a lovely short walk to Kensington High Street and the Palace.	
Sep 18 2004	great location and good room immentities	My friend and I spent 9 days at this hotel in July 2004 and were very pleased with what we got. If I had a complaint, it was that the staff weren't the most knowledgable about the surrounding areas and also, we had a problem as we booked it through Travelocity and were told that breakfast was included but was then told by the hotel that no, it wasn't and no one offered to call Travelocity to try and fix the matter. But that aside, the hotel is in an EXCELLENT location! There are restaurants, pharmacy and grocery store all around and it's only a couple of blocks from the tube station. Plus, this is a great tube station! I've been to London 3 times total now and this is one of the best because not only does it have a lift (which comes in great handy if you have lots of luggage as we did) but it's got three lines coming into it so you don't have to transfer as much PLUS it's on the line that goes directly to Heathrow so it saves you money on airport to hotel transfers. As for the rooms, they were average sized for London but what was wonderful is that they all have central air conditioning which we needed as my friend is asthmatic and despite popular belief, London can get VERY humid in the summer. We also loved the fact that every room has a refrigerator which really came in handy. I would very much recommend this hotel to anyone and as I am expecting to return to London at least 2 more times, it will definately be on booking list!	
Sep 12 2004	Good location rest is CRAP!	The location is nice, with easy access to subway and dining, and the room had AC. However....when I booked via Expedia it did NOT mention that breakfast was not included in price, and that the room (single) was in the BASEMENT! Granted, there was a small window, but the room was so small, that there was no room to but my travel bag! Had to stow it in the bathroom if I wanted to move around, get dressed etc. The bed was utter crap, and I had red marks om my back from the springs when I woke up in the morning. (!) Ah, and yes, the room vibrated everytime the nearby subway passed underneath.The bathroom had no towels when I arrived, took 2 hrs to get some, and the advertised safe in the room was broken.Make sure to hang the &quot;do not disturb&quot; sign on the door when you go too slep, because a cleaner locked herself in at 06:30 one morning!!!!!!Go somewhere else, at least if you want a one bed room, you risk ending up in the &quot;toomb&quot; I slept in!	
Aug 31 2004	Very comfortable Superb location	We stayed at the Park International for 4 nights in July of 2003 and found it to be an exceptional value for the money. We arrived several hours before check-in time, but the staff accomodated us after a brief wait. The room was very comfortable and clean with great extras, even a fridge! With a Sainsbury's up the road and tonnes of quality restaurants nearby, there were plenty of meal options. The late-night internet cafe across the road was reasonably priced and so convenient! Close to shopping, tube stations, museums and much more!	
Aug 20 2004	Park International London	My wife and I visited London in early May ('04) and stayed at the Park International. It was a very nice small hotel in a great part of town. Close to the tube (3 blocks). and not far (8-10 blocks) to many museums. The staff was very helpful and friendly even though the hotel was very busy when we arrived. There were several nice pubs and restaurants near the tube so find a place to eat was not difficult. We booked a ride to Gatwick through the hotel thinking we would be riding a bus all the way to the airport. We found out that the bus only took us to Victoria station where we were given train tickets. We were met at the airport but, it would have not been much harder to have done it all ourselves and saved a few pounds.	
Aug 18 2004	Find something else	Stayed at the Park Int'l in early August, 2004. Location is great so if thats all you care about, this place is ok. We did not get the room setup we were promised and the clerk was indifferent and uncaring, so we needed a rollaway bed that was horrible. The double bed was uncomfortable. The room was so noisy from the street noise that we may as well have moved the beds onto the sidewalk. The hotel was clean and nice but who cares if you cant get a decent nights sleep. Skip the continental breakfast, its all cardboard. While we were checking out, another couple was checking in and fighting with the clerks because they couldnt get the room setup they were promised, so their kids couldnt be next to the parents room - again the clerk could care less. Dont expect any help with travel or sightseeing plans because they act like you are bothering them. Location is great but thats it for this place.	
Aug 13 2004	Great Value 	I stayed in room 211. This was a quad room facing the street. The room was clean and the staff was very friendly. The staff was always willing to help.The location is very good. It is just a few blocks down from the Gloucester Road station. (This is in zone 1 not 2 as mentioned in another posting.) The neighborhood is quiet and safe.We are starting to plan our next years trip and we will be staying here again.	
Aug 12 2004	Hotel website beat Expedia	We stayed at the Park the first two weekends in July (3-5, and 8-11). Although the rooms were not exciting, they were clean and surprisingly quiet. The location so close to Gloucester tube was the biggest plus. It was easy to take the tube right from Heathrow. One weekend had been booked through Expedia and we did not have breakfast, very overpriced if you buy it anyway. The room was acceptable though cramped, and the AC did drip noticeably. The second weekend was booked through the hotel website . Because we were repeat customers when we returned to London we were upgraded to a larger room and bath. Cost through the hotel was less than Expedia. All things considered we would stay at the Park again. We want location, safety, and we got that.	
Aug 12 2004	I didn't like it here. Find another place	I didn't like this place. My room was in the basement. Getting to the room was a challenge. The halls are very small and narrow. The room itself was ok, but could be cleaner. It's 3 blocks away from the Tube station, which is in Zone 2. The staff wasn't very friendly. They were having some computer problems when I got there. I had to wait for them to take care of their problems. I didn't mind that. The staff just looked stressed out. I won't stay here again.	
Aug 11 2004	It's not THAT bad!	I stayed at Park International in July for 2 nights, on a business trip. I stayed at a &quot;single&quot; room and it was tiny. It was quite amazing how they could fit a bed, minifridge, desk, chair, and a TV in such a small space! On the upside, the hotel and the room was very clean, the staff very friendly, and the breakfast quite fulfilling. It is also in a very nice and scenic neighborhood, Kensington. If you are staying for 1-2 nights, and just need a place to stay, it is okay. However, I don't know how they got the 3-star hotel rating. It is basically the equivalent of an American Econolodge, or Motel 6, and there's nothing wrong with that. But calling it a 3-star hotel may raise bookers' expectations too much.	
Aug 9 2004	Convenient location	We stayed here July 4-8, 2004. Having stayed in several tiny rooms (booked as triples) in several cities, we were pleasantly surprised to find a relatively spacious, clean room. Not as finely furnished as the Hilton Olympia, but much larger and half the price. Great access to the tube system, groceries and restaurants. Book through the hotel website - we got a good price, breakfast included and no hassels at checkin.	
Aug 5 2004	Location location location - and decent hotel too	My husband and I stayed here for four nights and thought it was quite nice. The location is fantastic, right next to a tube station and within easy walking distance of the Natural History Museum, Victoria and Albert, Hyde Park, Kensington Park, Harrods, two groceries, and a lot of good restaurants and pubs. The hotel certainly isn't an attraction in and of itself, but the staff are competent and leave you pretty much alone. Our room was fairly small but had a fridge and a large TV and a big bathroom with a great shower (lots of hot water). No complimentary breakfast for us (we booked through Travelocity), but with a hotpot in the room and a grocery 2 blocks away we had no trouble getting good cheap breakfasts. Our room faced an alley and was very quiet. We would definitely stay there again, especially if we could get another great deal on the price.	
Jul 18 2004	Very nice	My husband and I really enjoyed this hotel. We came to it after being in a 3-star hotel in Paris. The room was much larger than the one in Paris and just seemed nicer. The room itself and bathroom were kept very clean. The AC was great and it had a big TV that got great reception and alot of channels.The location is great. It is a block from the Gloucester Rd. station which hooks up with 3 different Underground lines so it made it very easy for us to travel all over London. There were also many different restaurants around the hotel including a grocery store. We booked through Expedia so did not receive the free breakfast. At the metro stop there is a little mall and you can get breakfast there for cheaper by going to the little coffee shop (which we did) or Garfunkel's. You could also just pick something up in the grocery store.We did have trouble with the 3-prong outlet after purchasing a european converter. Since this was our first time to London, I don't know if this is common or not. We had to go across the street and buy another little plug changer from the travel store for 5 pounds. I had gone to the desk and asked if they had one.If someone from the hotel reads this, buy some converters and let people use them. Also, try to soundproof the rooms a little better both from the outside and from other rooms.I would return to this hotel if visiting London again. The location is fabulous and we really enjoyed our stay.	
Jul 17 2004	Small but great location	Our stay from 08 July-15 July 2004, Our room was very small but we learned to move around it. No dressers for clothes storage so we left our things in our luggage and the refridgerator was in the closet. It did not have a freezer compartment. The room was very clean. The bathroom was sparkling. Each day our room was cleaned and it looked great when we returned at the end of the day. The outside noise was minimal. We stayed on the first floor. The staff was very friendly and helpful. They were always eager and willing to answer our questions and point us in the right direction for our days adventure. The hotel was very clean and each morning a person was even cleaning the front steps. Yes, it is older but the portions of the hotel we saw were nice. The location of this hotel was fantastic. Only 2 blocks from the tube, a bus stop across the street and 2 grocery stores with in a 2 minute walk. Everything you need is within reach.We enjoyed ourselves and did book our trip thru Expedia. The only downside is that the complimentary breakfast is only included if you book your room directly with them. Oh well!!We plan to return next year and plan on staying here again.	
Jul 16 2004	never again unless homeless!	Stayed in two rooms. The first one was a double room so I could move around but was at the basement. No sunlight. The second one was on the second floor and was a single room. The room was so tiny that I had to store my one piece of luggage in the closet. Otherwise I wasn't able to reach the door without jumping over it! No exagurations! Staff helpful but a bit &quot;over&quot; friendly! The kettles in both rooms were rusty so I didn't have the stomach for any tea/coffee. Breakfast was decent though! Never ask them to call a cab; it's double the regular price. Find your own on the street.	
Jul 15 2004	Beware!!!!!!!!!!!	Beware!!!!! Small.. no... shoebox sized rooms, do not book thru Expedia or you will get hosed. Many of the staff unfriendly, not a three star hotel.... maybe 2. They promise things and do not follow through. Only decent rooms are on the 5th and 6th floors. Also, no standard adaptors only three prongs work. Decent location. If you are over 5' 10&quot; you will be uncomforatble and will have trouble with the shower. Try Ryders down the street.	
Jul 6 2004	Unfriendly 	This place was hor-riblay! We stayed there from July 2- July 5. Where to begin? First, we got to the hotel a little after noon and were told we could not check in until 2pm. Fair enough. Did all the paper work first, so that when we did come back to go into the room, we would have all that behind us. When we returned to the hotel, a very unfriendly blondish woman at the front desk (not English) could not find our paperwork anywhere and kept us waiting for 5 minutes without apologizing.When we got to the room we were very disappointed. The tub was disgusting and there were broken tiles. The linoleum on the bathroom floor was also warped. Plus, the shower did not have any cold water. We had to take uncomfortably hot showers all 3 nights we were there. The only good thing about the room was the A/C and the big TV (with snowy reception by the way). We asked them for an extra blanket and after over an hour of waiting, we called the front desk again and finally got it. The same thing happened to a friend of mine who stayed there when he asked for an iron. They made him wait 1.5 hours for it. His room was very tiny as well and the A/C dripped non-stop. They also would not let him check-in 15 minutes early and when we asked them to hold our bags for us after we checked out so we could eat breakfast, they charged us 1 pound a bag. Never in my life have I had to pay a hotel to stow my bags! We would not go back to this hotel again. Believe me, we have stayed in 5 star as well as 3 star hotels and this place is not worth staying in, even if you do get a somewhat reasonable price. Not only were the rooms below a 3 star level, the staff is incompetent and unfriendly. 3 thumbs down!!!!	
Jun 27 2004	Customer is always wrong at Park International	I stayed with three other friends at this hotel from May 31st to June 2nd, 2004. The staff was terrible. No smiles or greetings bode ominous portent for what was to come. Despite our pleas, they could not check us in early (around 9 AM). They did stow our luggage for us. We were told to check in only after prescribed check-in time(2 PM). We had two rooms reserved through Expedia.com. Apparently, if you book through Expedia, you get the worst treatment. The guy at front desk admitted that he could not give us any preferences since we booked through Expedia.com.  We had request two rooms, one with a queen size bed and another with two single beds. Well too bad, since they had no desire to accomodate us. Also, we had requested the rooms be close to each other. Too bad again ! Both rooms cost the same, however, one room was twice the size of the other. Very puzzling. What we were told is that the smaller room was the &quot;Standard Double&quot;. Wow. Very tiny for two people. While on vacation, who wants fussing right? The space wasn't the issue, the attitude definitely was ! Very unfriendly staff with a &quot;I don't care &quot; attitude. All because we booked through Expedia ?I would not recommed this hotel at all. If you want a cheap hotel, go for Hotel Regent Palace, which not only has a friendlier staff but also a magnificent location.	
Jun 12 2004	Great Location Very Good Room	We stayed here for a week from June 3-10, 2004, and I chose this hotel based on reviews on this website. We had a very nice room -- kingsize bed, 5th floor on the backside so it was very quiet. The room was extremely clean and I asked for a non-smoking room and got it. I booked directly with the hotel so breakfast was included in the rate and I'd recommend doing that. And take your e-mail confimation regarding rate, etc., with you just in case. The location is great -- just 2 blocks from the Gloucester tube stop and there are restaurants, pubs etc. in the surrounding blocks. The front desk staff was very nice. We would stay here again. (However, I would be hesitant to use &quot;Hotel Link&quot; to get to the airports in time! We ran so late that we had to leave a day later.)	
May 22 2004	I Shall Return	My stay at the Park International was for five nights during May and June of 2002. The staff washelpful and friendly. I observed them dealing politely with some &quot;ugly Americans&quot; making unreasonable demands and was impressed with how they handled the situation. The room was small, but clean, quiet and safe which is exactly what I need when traveling alone. There were extra amenities adding an extra touch to my stay. Breakfast was a variety of good food, buffet style and not on paper plates. The neighborhood was interesting and safe. Gloucester Road tube station was only a short walk away. I would definitely stay here again.	
May 17 2004	A Word of Caution...	We just returned from a five night stay at the Park International. The hotel is comparable to an older Hampton Inn. We booked a Deluxe King Room through Orbitz, which was advertised as &quot;recently remodeled.&quot; The room we were given was on the first floor facing Cromwell Road. It was extremely noisy, very cramped and more than a little worn around the edges. We went back to the front desk to confirm that we were given a &quot;Deluxe&quot; room. They assured us it was, but we asked for something less noisy. We were moved to Room 310 which was much nicer, but could not have been remodeled anytime within the last five years. A word of caution if you've booked a pre-paid reservation, make sure you bring your confirmation with you. The front desk staff insisted that our reservation was not pre-paid because Orbitz booked through the hotel's website. We had the same conversation with the same staff member when we checked in and again when we checked out. In both instances, a manager was standing within earshot of the conversation, but did not get involved until I asked to speak with a manager. Both times, the manager took one look at the paperwork and conceded that the reservation was indeed pre-paid. The fact that I had to prove my reservation was pre-paid twice during the course of one stay is a little shady. I would not stay here again for that reason.	
May 14 2004	Nice hotel great location	We stayed there April 3rd -8th and then again April 11th - 14th. The very first night we arrived, we were put into a small, cramped room that looked like it was in the basement. We could barely get our luggage in there. Although it was quiet, as we asked for, it was very dark. We asked to be moved, and we decided to upgrade. The person at the front desk assured us that the basement room was the better room, but I wasn't convinced. The lady at the desk then stepped in and gave us room 310. It had one of the nicest, softest hotel beds I've ever stayed in. The bed was right next to the door so we heard a lot of noise, but we were away from the street, so no traffic noise which was nice. The last part of our trip was April 11th - 14th. Room 310 was booked so we got Room 410. This room was quiet a bit of space for London standards. All room had a refrigerator. Room 410 had a bed as hard a rock, but it was away from the door, so it was very quiet. Off the street as well. I did have to put my blankets underneath me because the bed was so hard, but that's the only compliant that I had. The location of the hotel couldn't be better. It's across the street from Sainsbury's grocery, a laundromat, as well as a cyber cafe. It's also 3 blocks from the Glouchester Square stop. Perfect for trips to downtown twice a day. A couple of nice and inexpensive restaurants nearby as well. I would stay there again. Everything was very clean!	
Apr 23 2004	Personality plus at Park International	What a wonderful hotel. We stayed there for our 10th wedding anniversary because of the price and were very impressed. The hotel had such a nice personality. The decor and atmosphere of the hotel gave us a true London welcome and the staff was so receptive and friendly. We enjoyed the great location to shops and activities a lot. But most of all we could not believe the price. We were not expecting anything real special since we had booked at one of the less expensive hotels but we knew once we checked in we had a real bargain. Thank you so much to the management and staff for making our stay so memorable and enjoyable. We will definitely stay there again.	
Apr 22 2004	Lovely hotel with superb location	I will highly recommend the Park International Hotel to anyone. From the minute I walked into the lobby I knew this was a great choice. The interior design is beautiful and the staff are professional and accomodating. My room was spotless and very comfortable. We had breakfast each morning at the hotel. Why not? It was delicious and convenient. If you are looking for a hotel that is centrally located, very clean and has a lovely atmosphere - then search no more. The Park Hotel deserves an excellent rating.	
Apr 22 2004	Recommended-Consistently Good	I've stayed at the Park International Hotel at least ten times over the past four years and am always pleased with both the rooms and the service. Staff always go out of their way to be friendly and helpful. Breakfast is consistently good; rooms are clean and well appointed. Together with those important things, the great location in South Kensington next to the Gloucester Rd. tube and the reasonable prices mean I'll keep staying, and also highly recommend it to everyone going to London.	
Apr 21 2004	Great value and service	Unbelievable location with service to match. We originally only planned to stay for 3 nights but enjoyed the hotel and amenities so much that after speaking to management we agreed to stay the remaining two nights of our holiday with the Park International hotel. The convenience to the tube station and local shopping fare make it great but the value for the quality make it outstanding. We will definitely stay again on our return trip to London this fall. Don't change a thing. Thank you.	
Apr 18 2004	Rat in the Room	The room was cramped, but clean. I can't believe that we stayed at the same hotel as the other reviews. Any request we had was always met with an astonished, &quot;No one has ever asked that before.&quot; Toilet paper?One evening I was having problems with the internet connection and couldn't get back to the main page with the help number. I called down to the front desk to see if they had it. I was met with extreme defensiveness. &quot;No one has ever complained about the internet before.&quot; me - &quot;I just want the telephone number on the start-up screen.&quot; them - &quot; Just do it again.&quot; me - &quot; I can't. That's why I want the telephone number.&quot; them- &quot;No one has ever had this problem.&quot; ...  Oh well. The next request was for an adapter. No luck. We asked about a bus trip and a sightseeing question - no idea. Finally we nicknamed the front desk - The No Service Group and gave up.Until.... the rat in the room. I screamed as the rat ran about for a while. I called the front desk. Surprise - &quot;No one has ever had a rat in their room.&quot; Finally the rat ran out under the door. When the front desk person finally arrived 25 minutes later, he said that if the rate came back that my husband could take care of it. Thank god it was the last night. I didn't sleep and couldn't wait to leave.That's not all. They overcharged us on telephone calls. The room had one rate, but the desk clerk help up another sheet of paper. He said &quot; See right here.&quot; We gave up.DON&quot;T STAY HERE UNLESS YOU WANT TO STUDY THE RATS.	
Apr 14 2004	Great location wonderful staff fantastic choice!!!	I stayed here for four nights from April 3rd to the 7th before traveling to Paris. Park International Hotel is in a safe and wonderful location, easily accessible to just about anywherein London via the Tube (Glousester Rd.Station). Our room was pretty big relatively speaking and immaculate! The staff are fantastic...on the first evening I thought there was something wrong with the TV remote (turns out I just didn't know how to use a Britain remote!) and one of the staff was up in my room almost immediately to fix it. The staff is also very knowledgeable about directions to popular areas and landmarks in London. Breakfast was more than adequate and a great way to start the day for a tourist. I would definitely stay here again!!!	
Apr 14 2004	A wonderful staff!	This was the first time I had been to London. This hotel came with the package. Although it has no restaurant, there are two across the street. The rooms were clean and comfortable.The staff was fantastic, more then making up for the fact there was not a restaurant right there.I actually missed them when I left. I would definately reccommend this hotel to a friend.	
Apr 9 2004	Park International Was Great	Based on the good reviews we had read on this site my wife and I booked into the Park International for nine nights from March 30 until April 8. We were not the least disappointed. Getting to the hotel from Heathrow was a snap using the Picadilly tube line and getting off at Gloucester Road. Its excellent location made it easy to tour London by public transportation. The staff was super, the breakfast more than adequate and our room was clean and comfortable. I would stay again and have no qualms in recommending the Park International.	
Mar 27 2004	Loved It!	I am just back from a vacation to London with my Mom. We were so nervous about booking sight unseen. No worries here! The hotel is excellent. The staff was pleasant. The hotel is clean. My mom is a diabetic and the breakfast met her standards (dry cereal, dried fruits, pastries, deli meat, cheese, breads, canned (tin) fruit and juices. If you are looking for a customized omelet then stay at the hotel and walk down to the street to one of the many eateries.The neighborhood is excellent. You are on 3 lines and only 2 blocks from the tube station. I will be staying here again. It met all of my needs.	
Mar 24 2004	Highly Recommended	I just returned from a week in London and was very happy with my stay at the Park International. The hotel is in a great location - 2 minute walk from the tube! I had a single leisure room. It was small but very clean and comfortable...plenty of room for me. I had no problem with the shower - hot water and plenty of pressure. The breakfast was good and not served on paper plates as one other reviewer claimed. The hotel staff was helpful in many ways...directions, calling a cab to return to the airport, etc. London is an expensive city to stay in and the Park Int'l is a moderatly priced hotel that is well worth it. I highly recommend staying at this hotel. When I return to London I will be staying again. Hope this helps!	
Mar 22 2004	Super Location	We took advantage of super low roundtrip fares on British Airways and spent a week in London from the 4th to the 12th of March. This place is in a wonderful neighborhood, on the bus line, super close to the tube station, post office, internet cafe, restaurants, a large grocery store and small drug store. The rooms are small but clean and the beds were comfortable. Yes, the shower was hot and plenty of pressure (no flow restrictors in this place!). Breakfast was simple but filling and the front desk staff were very helpful. Our refrigerator didn't work when we first checked in and literally minutes after we called down to report it the maintenance man was at our door with another mini-fridge. I don't think you could find a better value in that wonderful neighborhood. There was a towering Holiday in one block away, but the prices were much, much higher. I would recommend this hotel and I would stay there again.	
Feb 21 2004	Honeymooned in London and stayed here! Happy!	If you are looking for a place to kick back, relax, and get waited on, this is not it. This hotel is perfect for travelers who need a nice, clean place to sleep and shower while spending most of their time out of the hotel. Upscale neighborhood. Courteous staff. Fresh continental breakfast...yes, served on paper plates (as mentioned in one of the other reviews here). If that is a big problem then there are plenty of hotels that will charge you double and serve you on nice flatware or china. Walls are thin, but the same is true for many Euro hotels. Internet caf? across the street. Gloucester Road tube only 2 blocks away and gets you everywhere. Again...not a hotel for the traveler who needs to be babied, but totally adequate and recommended.	
Feb 20 2004	Tremendous reservations...	The only thing that saves the Park Int'l from decrepitude is whomever cares enough to keep the place running. This person clearly does not work behind the front desk. I found one helpful individual there during my 3-day stay over Valentine's weekend. The rest ranged from uninterested to downright unpleasant. Fyrthermore, it appeared that some renovations had taken place. However, these were not finished in my room. They simply pushed the bed in front of the wall to hide dangling electrical wires and unpainted drywall. Luckily, the housekeeping staff is on the ball. The place was clean enough. Breakfast is not worth whatever they charge. Go to one of the local cafes...at least the neighborhood is fantastic.I would not stay here again, especially since there are so many better hotels in the area, esp. for the price.	
Feb 6 2004	A great value hotel - excellent location	The Park Hotel is good value for money. It has a fantastic location (2 minutes from Gloucester Road tube). The rooms weren't huge but were very clean. The bed was comfortable, the shower fabulously powerful and there was plenty of wardrobe/luggage space. The only mildly negative points were that the staff were a bit disinterested and the breakfast (if you have to pay) is on the steep side. But I would definitely go back again.	
Feb 4 2004	The most for your money!	The Park International has a website, and is located minutes from central LONDON in Kensington, on Cromwell, a upper class feeling safe neighborhood. Don't use the hotel internet too much, right across the street is an Internet cafe' 30&quot; for $1 GBP...less if you are a student.The hotel is one block from the tube and minutes away from anywhere you want to go! The Tube is the best transportation I have experienced, better than Paris Metro and NY Subway, faster and easier to use, cameras all over, felt safe. Get pass to cover all of the days you will be there...cheaper this way, get it for all zones.The rooms are rather small. Most refurbished. Breakfast included and very nice. The staff especially, Shawnhen, David and Sasha are very helpful. BOOK ON LINE FOR REDUCED RATES!Store luggage here, while you travel to other countries. Amazingly you won't need much to wear..go to Rick Steve's site to see what to packe. Have Fun!Sherry	
Jan 31 2004	large room 70's atmosphere	i stayed there last week for a night. the check-in wasn't a pleasant experience, with the gentlemen behind the front being very rude. he treated me as if i was maybe some hole in the wall, which made me want to cancel my reservation all together. the room was spacious, at least in london terms, but it seemed very old, and the floor creaked. the bath seems to have been rennovated, but the sink had cracks all over the place, which made me want to use it without turning on the lights. all in all, it had a very 70's like atmosphere. the room that i stayed in did not face cromwell road, which made it very quiet. given the price of the room and the location of the hotel, i guess it's worth the money. the room can very much use a makeover.	
Jan 29 2004	Park International -- Excellent Location	The location is excellent -- just a few blocks from the tube station and in a very safe part of town. I'd stay here again for the location alone. The single rooms are tiny, but very clean and well kept. I upgraded to a double and thought it was well worth the extra money. The bed was far more comfortable and there was actually room to open my suitcase and still have a place to stand. The staff is quite helpful. The main detraction: super thin walls. Was awoken by sneezes, snores and more. Not for light sleepers. I would stay here again -- with earplugs, just in case.	
Jan 26 2004	Not good.	Okay, I'm not entirely sure where all these other nice reviews are coming from, and maybe I haven't seen what other hotels in London are like, but I have to believe its gets better than this. MUCH better. The reception area was decent, and it did have internet access, but the room itself was substandard. The room was small (even by European standards) and the bed was perhaps the worst I have ever slept in. I was in one of the standard rooms, so maybe the other ones are better..who knows. I did only pay around $100 USD a night, which at least makes it somewhat palatable I guess. Location was ok (its South Kensington, about 300 yards or so to the nearest tube). My recommendation is to find something else.	
Jan 14 2004	Nice Hotel Helpful Staff	Very much enjoyed my stay at the Park International. The building itself is fairly old, but the rooms and facilities are very well done and modern. Compared to other hotels that I have stayed throughout Europe the rooms were very spacious.The staff was also very helpful, especially the reservation staff. They went out of their way to help correct a mistake that was made in my original booking.Would definately stay there again.	
