	Almost Perfect...	I was in London on 21-24.11.2009. We stayed in Premier inn which is situated in center of London (50m from London Eye and Big Ben). They have unconventional reception which is very good (you can check-in on check-in machine if you want to, so there is no waiting). We have reserved twin bedroom but we have got a extra large bedroom with one double bed and one bed extra!!! Great!!! Room was perfect. Extra clean with nice and clean bathroom, flat TV, hairdrayer, cofee machine...Breakfast is so good that I can't describe... Full english buffet breakfast... planty of everthing... no more words... One and one only thing which has not been OK is that shampoo in our bedroom stayed empty for all three days. Definetly I'm going again in Premier inn...	
Aug 9 2007 	Very good location	We only stayed one night as it was part of a tour and it's really close to Waterloo (Eurostar ) train station. Check in and out were fine. Room was pretty big and the usual Travel Inn standard - good shower. Breakfast was fine, but layout of food not great as youi had to fight past people queueing for hot food to get juice - minor gripe. Really good location and next door to the Star Wars exhibition which my son thoroughly enjoyed.	
Aug 7 2007 	Clean functional hotel	Stayed here for one night and the hotel is in a great location. Behind the London Eye, Saatchi gallery and Aquarium. with the Houses of Parliament across the Thames.Waterloo station is a 5 to 10 minute walk or you are close to the Waterloo pier where you can take boat trips (or if you are attending a concert at the O2 arena get a shuttle boat straight to the O2) .We paid £99 for the night and with the Premier Inn that equated to a clean, comfortable room. Maybe they are characterless but if you want character in the centre of London you need to pay for it. We also took an option and paid for the &quot;All you can eat &quot; breakfast - which was fine but the serving area for breakfast is a bit small and gets very crowded as you have to queue.I would stay here again and I would recommend it - seems to be very popular with families because of the large family room and the kids eating free at breakfast.	
Aug 1 2007 	Great location value for money and friendly staff	Travelling as a family of 4 (kids aged 4 and 8) we spent 2 nights at this hotel. I dont think you could wish for a better location for exploring London. The Eye is around the corner, changing of the guard a short walk through St James Park etc. The service was super efficient and the rooms clean and comfortable. The breakfast was good, although the eggs could have been made of plastic. All the staff we met were really friendly. At 99 a room i think this was excellent value for money.	
Aug 1 2007 	Utilitarian hotel	My wife I stayed at this hotel in July 07. Here's a rundown....The good-It is centrally located, right next to the London Eye, right across the Thames from Big Ben/Parliament and Westminster Abbey. Two tube stops are close by. Plenty to eat close by. It is easy to get anywhere in the city from this hotel. It was clean and safe and convenient.The bad-Holy moly, I know &quot;affordable London accomodations&quot; is an oxymoron, but man, this is probably the most expensive city in the world to visit, literally. OK so that's not the fault of this hotel, but for 109 quid a night, it would be nice to at least be offered a small continental breakfast...at least a croissant and some juice. Also, apparently, if you want a room with a view, you have to request that when you book. We had to ask for a topsheet to the bed. No computer in the hotel to use the internet.Not bad, not great. I'd probably stay here again unless I found something cheaper, and I'd look for cheaper next time I visit London.	
Jul 28 2007	Fantastic situation!	We Stayed at this Hotel three times during our travels in Europe and really recommend it. It is in the old County Hall building beside the London Eye and Westminster Bridge and a short walk to either Waterloo or Westminster Stations. It is also a short walk to almost anywhere in central London. The price was reasonable for London and the rooms a good size and very comfortable. The staff were always very friendly and helpful. We would definately stay there again.	
Jul 23 2007 	I cannot think of a better place to stay in London	I found this hotel on trip advisor and booked it on the travel lodge web siteMy two daughters aged 23 and 25 went with meWe could not fault the hotelExcellent location, rooms, price, service and food!!!	
Jul 21 2007 	Wonderful hotel	We wanted to be close to the Eurostar so we booked this hotel. We were! The staff was exceptional, meals were fantastic! Our view was of Big Ben and Parliment.The rooms were exceptionally clean.	
Jul 21 2007 	Best Stay Ever	Stayed here from the 16th july to the 20th july with my wife and three children 9,7 and 9months.I have been to london many times over this past 20 years and i have never enjoyed my holidays like this one.It is all down to premier travel inn county hall.The family rooms are large and kept spotless by excellent friendly staff.Check-inn was painless and hassle free by more friendly staff.Breakfast was excellent and great value @ £7.50 each all u can eat ,my children ate free u12 and it set us up for the day ahead.Location couldnt be beaten for £99 prpn big ben,london eye,london aquarium and waterloo station all within 3min walk.Grocery shop and starbucks straight across the street,taxis are available all the time,just turn left when you come out of the hotel 50 yds.So if you are looking for a hotel for london look no further,this one has it all. The rooms might be basic but the rest of the hotel qualities makes up for it.LOVED IT.	
Jul 20 2007	Fantastic!!!!!	We spent 2 nights at Premier Tavel Inn in London, County Hall. What a treat. This hotel is stunning. It is clean, in a wonderful location (behind the London eye and opposite Big Ben) Breakfast was super with a wide selection of food. We would definately stay there again. Worth every cent!!	
Jul 19 2007 	Wonderful Premier Travel Inn - County Hall	Our family stayed in two rooms in this hotel for four nights in July. Our only problem was that the rooms were on different floors but aside from that everything was excellent. Our rooms were big in comparison to most hotels and were very clean with a maid service every morning. The staff were the most friendly I have ever experienced in a hotel with every one of them going out of their way to greet us and help in any way they could.Breakfast might be considered expensive by some but the unlimited amount that a person could eat set us up for the day and turned into very good value.Location is excellent with lots to do within a very short distance from the hotel. There are underground stations at Westminister, Embankment (just over the river) and Waterloo (about 100 yards away) and an excellent London bus (red buses) service at the end of the street (a great way to see the local area!) as well as the various tour bus stops.	
Jul 19 2007 	Perfect location and good value - Comfortable	Let me begin by saying that hotels in Europe are generally lots smaller than the US- we are really spoiled here. Given that, the rooms at this hotel were very roomy and comfortable and larger than typical european hotels. Granted this is not luxury but it is very good. We stayed here twice - at the beginning of our European trip and after and received 2 drastically different rooms.The first 3 nights, the bed was comfortable and roomy. They have very basic ammenities. Bathroom has a large tub with excellent water pressure. No aircon but it was rainy while we were here so we didn't need it. Dim lighting but again comfortable, mmaculate and clean! The service was great - staff helpful. They do need a concierge to help with luggage and directions. Location can not be beat. Seriously a 30 second walk to the London Eye and adjacent park and 2 minute walk to Waterloo Station (we wheeled 2 LARGE pieces of luggage with no problem to catch the Eurostar Chunnel to Paris) but really everything is walkable like the National Gallery, Trafalgar Square for movies and stuff, Shakespeare Globe, Tate Modern, Parliament and Big Ben plus those double decker tour buses. There is also a boat right under the eye to take you down the Thames. Our view the first few nights was of the alley - ask for a water view. Most importantly there was a starbucks directly across with also good noodles at Ned's Noodles and a convenience store for water and such. Do not eat at the all you can eat chinese restaurant next to the aquarium in the building unless you want to be nauseous for the rest of the day! Ideally a fridge would have been nice to keep some water and fruit in.Now our last 2 nights there.... We had a totally different room Room #200 if you can get it. It was HUGE! I could have literally done a cartwheel and still had room! The lighting was bright and the room more modern, the bathroom was updated - I'm thiking this is probably a family room because you could fit in another pullout. The large window view was overlooking the London Eye. Seriously a totally different room as earlier but again still incredibly comfortable, quiet and clean. The pictures show the different rooms.The business station was EXPENSIVE for internet and the food there was blah. Walk along the boardwalk and eat somewhere decent and cheaper however be forewarned that the dollar is double to the pound and London is just expensive! Overall a great deal and we are definately coming back to this hotel - we paid about 125 pounds per night which is an excellent deal!	
Jul 8 2007 	Best Location in London!	Families traveling to London - this is the best location in town. Beautiful view of the Thames, adjacent to the London Eye and easy access by tube and bus to any place you want to go. My husband and I traveled with our two 18 year old children so we needed two rooms - a little pricey this time of year (99 pounds per room per night) but the rooms were spacious with comfortable beds, fans, heated towel racks and big bathrooms. When we booked the only thing available was smoking rooms but the person at central booking told me to ask to be switched when we arrived. We got there around 11 am after flying all night and were greeted by Katie who was &quot;Inn&quot; training and cheerfully switched us to non-smoking rooms. All the staff were cheerful and helpful and the hotel was immaculate. My older brothers who have spent a lot of time in London made me paranoid about picking a bad location too far away from everything. One brother said we were on the wrong side of the river - he was wrong! We walked out each morning to a view of Parliament and could hit Westminster Abbey with a stone. At the corner of the building was a bus stop with buses every two minutes to Trafalgar Square, Picadilly Circus and Oxford Circus and there was a Starbucks across the street! The hotel is also halfway between Waterloo Station (where international trains depart from as well as the train we took on our day trip to Windsor) and Westminster underground station. A hint about arriving - it's hard to find the County Hall building from Waterloo Station when you first arrive because the station is so big with so many doors and you can't see the London Eye because the buildings are in the way. A few days into our visit we came across other travelers who were lost while trying to find their way to the County Hall building dragging their luggage. Get off the tube at Westminster Station and come out the Westminster Pier exit. Walk across Westminster Bridge and the big beautiful building at the foot of the bridge is County Hall. Walk past the entrance to the Marriott and turn left onto Belvidere Street. The entrance to the hotel is about 2/3 down the building. We can't wait to go back to London and we will stay here again!	
Jul 5 2007 	great service	Second time staying at this hotel.managed to find me a room at short notice. Great service from all the staff.Rooms are basic but first class location.Will go back without hesitation for my next short stay in London.	
Jul 3 2007 	Dependable but plain	I am currently staying at this hotel for two nights and have a room on the 2nd floor facing another building so not really an insipring view. Did not realise that there were views over the river or would have asked for one!!Reception was efficient and pleasant. Room is quite dull but very clean. No airco but since it has been raining and under 20C for the entire time not an issue really.Loaction as said before is good and within 5 mins walk to Westminster etc. Also close to Waterloo station but I would say also you could use Westminster tube station just across the river. If you ever get lost just head towards the London Eye.Feet sore tonight as we had to wait in line for over an hour to get into Madamme Tussauds so perhaps pre-booking the tickets would have been a better idea. Also ended up waiting 1 1/2 hours for the cast of the latest Harry Potter movie to come out from the premier!! (For my 14yr old daughter, not me you understand).Anyway back to the hotel. Would recommend it if you can get it at the normal £99 (I paid £130 per night incl breakfast, daughter ate free) as this is a good rate for central London. Agree with the previous poster about the wi-fi though. £15 per day is too steep. I am writing this after connecting to some kind souls unsecured network for free. Mind you I have had to type it on the window ledge!!	
Jul 2 2007 	Great value for families	This Inn is a great value for families. We had a huge room with double bed and 2 singles, plus lots of floor space. The location is great for London Eye. Waterloo station, tube stations, or Westminster sights. Walking across the Thames on the Westminster Bridge at night toward lighted Parliament and Big Ben is a great sight. The Jubilee Park right next to the hotel has lots of space for kids to run and play. Both the Westminster and Waterloo metro stations are close and with the tube system you can get anywhere in London in a fairly short time from this location. Across the street from the hotel there is a small convenience store, a good mediterrean restaurant, and a Starbucks. This south bank area is undergoing much renovation so will probably improve greatly in available restaurants, etc. There is a crepery and a pizza place a short walk along the river at Gabriel's Wharf. This is not a luxury hotel by any means, but if you need a family room at a decent price in London, it is a great find. Rooms are clean and very comfortable. They may get hot in the summer as there is no AC, but this was not a problem in early June when we were there. Two things lacking are a refrigerator and a safe in the rooms. Safe deposit box is advertised on the website, but only available at the front desk. There are no laundry facilities at the hotel but staff directed us to a neighborhood laundry that was a fairly short walk away through some dirty streets. On our walk to the laundromat Saturday morning we found a street market with very reasonable prices on fresh fruit. Again a fridge in our room could have saved us money on food as eating out is costly in London. Breakfast at the hotel is fairly expensive, but bountiful. For hotel guests, a child under 15 gets free breakfast buffet with a paying adult so this is a pretty good value if you have young teens. As mentioned by the previous reviewer, the internet access in the hotel restaurant is totally outrageous--around 50 cents/minute. Wish I'd have known about access at Ned's Noodle house. If traveling to London again with kids, I'd definitely consider this hotel.	
Jun 20 2007 	Great bargain and location	As everyone else has pointed out, this is a fabulous location near the recently renovated Royal Festival Hall on the South Bank -- close to everything and to all sorts of transportation options. The hotel is a bit spartan on the amenities (terrible dim lighting, no alarm clock, barely any toiletries) but the staff is pleasant, the rooms are clean and (for London) almost spacious, and there's not a lot of neighborhood noise at night. Note for Internet users: The WiFi service offered by the hotel is outrageously expensive. As an alternative, pop across the street to Ned's Noodle Box, buy a beer and sit at a table there -- Ned's WiFi hotspot is free.	
Jun 19 2007 	Good location for the west end or Waterloo	We stayed here the night before travelling out to Disney in Paris.The hotel has a great location, right next to the London eye.The downside is the rooms are very small, There was no air con in our room and the breakfast was extra.Its not that great value but if you only want a bed for the night close to the busy west end then this is for you.A short walk over the bridge gets you to the tourist area of London.Its 5 mins walk to waterloo so great for the Eurostar.Phil Cambs.	
Jun 11 2007 	Unexciting but dependable	Have stayed here over 20 times in past couple of years, but first time I've reviewed. This is a very reliable bet for a central location in London at a good price. Rooms are boring and can be hot and noisy with aircon from adjoining buildings (ask for a river view if you can). But they are clean and I've yet to find anything not working. Front desk service and response to customers is generally very good for this standard of hotel and I've always found plenty of staff around to help. The bar/restaurant is soulless and can be smoky - but this should change when new law comes in. Food nothing much, but you can wander along South Bank to restaurants/pubs down there. So, good for a night or two at max if you want to be close to London Eye or Parliament but not for a special break.	
Jun 9 2007 	The right place to stay	We stayed here because we were arriving at Waterloo on Eurostar, and we simply walked across the road when our train arrived.Having done that we found that it is a great location. You can hear Big Ben, and spit on the London Eye if you wanted to (but why would you?)Easy access to buses and the Tube. And lovely to walk the bridges at night. I even went to church at Westminster Abbey on Sunday morning (really boring...and I am a priest!!).All the Premier Inns offer very similar standard and quite reasonable price. This one has the advantage of the great location,m and takes the worry out of where to stay in London.Why London hotels don't have fridges I don't know, but very few seem to have them, and this one was no different. We left stuff we wanted to keep cool on the window ledge!!	
Jun 4 2007 	Location Location Location	My 18 year old son and I shared a triple room for 5 nights in May and it was perfect. I booked online and was pleased with the prompt response to my inquiries.The room was large enough for us and the explosion that comes from a teenagers bag.From the minute we checked in - Hollie at reception was friendly and helpful, the room itself was spacious, clean , comfy with a decent bathroom and great shower head. The location was great - across the road from Waterloo station which worked well coming in from Heathrow - and even better leaving with the Eurostar for Paris.County Hall is a wonderful historic building that houses several other attractions and a Marriott. Its situated on the Thames next to the London Eye. The area is very scenic and quiet at night. There is a starbucks across the street which made for a nice start in the morning. You can walk to Trafalgar, Leicster and Soho or along the river all the way to the southbank area.I travel frequently for business and pleasure and have high standards when it comes to hotels. London is one of the most expensive cities in the world and for 98 pounds a night - Im sure you cannot beat the location, room size and quality in London.	
Jun 4 2007	Great Location	Our family of five spent three days in London. Three kids, 9, 14 and 16. This was a great location as you could walk to many sites, catch one of the tour buses next to the Hotel, or stroll along the river and people watch. We were told we had to take two rooms, which made it rather expensive as I couldn't locate anything other than the rack rate of 99 pounds per night per room. But the rooms were clean and large. In fact, I think we could have easily squeezed the five of us into a single family room. Though that presents other issues.The staff wasn't particularly memorable, and the breakfast was adequate.But at night, outside the hotel on the boardwalk under the Eye of London and looking across Westminster Bridge to Parliament and Big Ben all lit up, I have to say, location is everything.	
Jun 3 2007 	Outstanding Stay	First stay in the Premier Inn County Hall, London and I cannot recommend this hotel enough.We arrived an hour early and we were allowed to to get into the room early. Reception staff was friendly and helpful and nothing was to much trouble.My wife, 2 children and I stayed in a family room which was clean to a high standard ,plenty of space for us all. All the staff gave a friendly hello which made you feel welcome.The breakfast was £7.50 each adult and out children eat free, it was a serve yourself and as much as you want and our children eat free. The food was a very high standard and delicious.Dinner at the hotel was also delicious and highly recommended.Hotel is a stone throw away from the London eye and views of the Thames.This hotel is a wonderful , safe, clean and friendly place to stay in London.	
Jun 1 2007 	Nice bargain	Stayed over Easter break with my wife and 2 children. Very basic, bare bones hotel, but pretty much as expected. Room was clean and quiet. Our &quot;family&quot; room consisted of a double bed, a day bed, and a mattress on the floor, however. Not quite what I expected from the &quot;family&quot; room. Staff was uniformly friendly but not very informed about the area. We were given the wrong address to a theatre and almost missed our show! Overall, reasonable place for a family trip primarily because of the cost and location.	
May 31 2007 	What more do you need	Having stayed here before, this was our first choice for a return visit to London. Arrived at 1.30 on Sunday afternoon of the Bank Holiday weekend and our rooms were ready and we were able to check in straight away. The receptionist was very friendly and dealt with our arrival most efficiently.We had 3 rooms in total and as requested, they were all close together. The rooms may be simple, but they are more than adequate and as always, very clean.As we are not big breakfast eaters, we did not have breakfast in the hotel which, at £7.50 a head is excellent value for London, especially as children eat for free. However, we had breakfast bagels at the bagel shop opposite the hotel entraance which was just what we wanted.We only stayed for one night, but our train home wasn't until 7 in the evening. The hotel were more than happy to look after our bags (all five of them) for the day and we collected them on the way to the station.Oh yes, and there is the location, has anyone mentioned that yet ? Within easy reach of both Westminster underground and Waterloo station. Right next to the London Eye, and more specifically for our trip, the Star Wars Exhibition at County Hall and within walking distance (when the weather is OK) of the West End - cross the river by Hungerford Bridge.Unless I was looking specifically for luxury, the County Hall PTI would always be my first choice of hotel in London.	
May 31 2007	Great for families	I can’t fault the staff they were all very happy and friendly. Breakfast was a bargain at £7.50 per adult, eat as much as you like and kids eat free! Evening meal was very reasonably priced too.There are quite a few little restaurants nearby also.Room was very spacious compared to other family rooms I have stayed in with a double bed, single bed and sofa bed. The rooms were quiet because all the windows were sound proofed, so we were not disturbed by any outside noise.Very convenient location just around the corner from the London Eye with tube station only a few minutes walks away.	
May 31 2007 	Fantastic location but noisy room	We have just stayed for three nights at the Premier Travel Inn . ProsThe location cannot be beaten, right next to the London Eye in the north end of County Hall. It is a short walk across the bridge to Westminster and a short tube ride from all of the main sights. Westminster Pier is opposite and Waterloo Pier is under the Eye for the fantastic boat tours to Greenwich (well worth doing). The Big Bus tour goes from the other end of County Hall in front of the Marriot.We were able to check in on arriving at about midday and staff were very helpful and friendly. It seems very flexible and there is a room to leave your luggage after you check out so you can keep exploring on your final day. It was £99 per night which is good for central LondonBreakfast is buffet style and the food is good, there is also a bagel shop opposite the entrance which was good but they always seem to be running out of ingredients there.ConsOur room was facing into an inner courtyard which was very dirty and semi-derelict looking. It was where they unloaded supplies for the hotels every morning from about 7am or even earlier. I cannot stress how loud this was. On the Monday it was not too bad so we decided to stay but on Tues and Weds it was awful - as loud as a rock band or bad thunder. We were getting up early so did not ask to move rooms but you will not be able to lie in here. We were in room 365.The lifts were also a real problem in the morning - only two out of three were working and there were always long queues for these. There were no stairs which is wierd. Overall - brilliant location but ask for a room overlooking the green and Eye.	
May 31 2007 	Great place for families	This is an excellent option for families visiting the capital. The rooms are clean, quiet and a very good size. The location is superb - 5 minutes walk to Waterloo tube, or 10 minutes walk to Trafalgar Square. In the shadow of the London eye, this is a great place for a short stop in London, and fantastic value. We stayed for 2 nights with our 2 children (10 &amp; 7) and could not fault anything. We took the 'all you can eat' breakfast which was £7.50 per person but the children ate for free. Again, the food was lovely, good choice and I cannot fault it. It will be my number one choice for future stays in London.	
May 30 2007	Wouldn't stay anywhere else in London	Have stayed here 3 times now and have already booked again for the summer. Fabulous location, nice building, clean and friendly. Nice bar and restaurant. Great value for money- always my first choice when staying over in London.	
May 29 2007 	A perfect Hotel!	We have 3 small children, and need a large hotel room, which is hard to find in Europe! A friend recommended the chain, and I was LUCKY to get a room at the County Hall. Absolutely Fantastic! First, the location is right next to the London Eye, next to Westminster Bridge. The family room is LARGE and CLEAN, and a GREAT Price! The bathroom was immaculate. The breakfast was a deal....I've paid twice as much at other hotel chains. The staff was incredibly helpful and friendly. An all around great experience.I will definitely check this hotel chain first in my future hotel searches. And I will definitely stay at this location on any futue trips to London.	
May 25 2007 	Best Deal in Town!	My family (2 adults + 2 teenagers) stayed here in 2006 on our way to Paris via The Eurostar. The Eurostar leaves from Waterloo station which is basically across the street! We arrived at had dinner, slept, washed, ate breakfast and across the street off to Paris, with no worries, no problems. Service was super! Rooms we basic, but we had a tv &amp; a clean ensuite! If you have time go outside and see Big Ben lite up at night. Beautiful!!! We are staying there again next month.	
May 19 2007 	The reviews are right!	The best location. It is very basic but very clean! Again location, location, location. The shower was awesome water power and temp. When you book ask for the jubilee garden view-we did not know that so we did not have any kind of a view and they told us to do it at booking. Book early for the best rate. we stayed a Sunday nite and got a London Eye ride and cruise tix for free.	
May 11 2007 	Very pleased	This was our first trip to London and we had a 3 night stay at this hotel over the Bank Holiday weekend. The staff were friendly and helpful and our room was very clean and spacious. We had asked for a room with a view of the gardens and 405 didn't disappoint. We had breakfast at the hotel just the once and while it may be a little overpriced at £7.50, there was plenty of choice and the quality was good. Children get to eat free. The location is excellent, the London Eye and County Hall attractions are on the doorstep. We did lots of walking and made use of the tube links at Waterloo Station, which is less than 5 minutes away.We would recommend the hotel and will stay next time we visit London.	
May 8 2007 	Perfect place to stay in London	Just returned from a hen weekend and stayed at this hotel for 2 nights. No problems at all the thing that impressed me was1 The staff are very friendly and polite.2 large clean rooms and bar area.3 Central location with lovely view of the London eye and also the thames. I have stayed in may Hotels stuck in the middle of busy streets but this was so nice with the lovely walks  you could have and views also very central for Covent Garden.Did not have the breakfast and would not eat much to justify7.50 but all around the hotel lovely places to eat for breakfast.I will return to this hotel as good value for money.	
May 3 2007 	Couldn't ask for more	We stayed for four nights in late April 2007, it was absolutely fantastic. We wanted somewhere central and we couldn't have done better in that regard. Two tube stations and one major train station within a five minute walk, right next to the London Eye and easy walking distance to so many of the attractions. We were able to pop back during the day to change clothes or drop off purchases. The room was huge, we booked a room with two twins and got a room with a queen and one twin, tons of room for our suitcases, a wardrobe, desk, chair, TV, kettle, tea, everything you'd need. All for £99 a night, amazing. Almost forgot, there was a fan too, which I'm sure would be helpful on the warmer nights. I was impressed with how they've done the windows, the original window which are probably drafty and let in noise are still in place, however, they've placed a second window just inside that protects you from drafts and noise, you can open both windows to get some fresh air.The bathroom was great, nice size tub, wonderful shower with plenty of hot water. There was a heated towel rack which I'm sure is nice in the winter. Everything was spotlessly clean.The breakfast is a bit pricy, we only had it once, but there are a lot of little shops, coffee bars, restaurants very close by so you have lots of options. There's internet access in the restaurant but it's a bit pricy at 25p a minute, but also very handy. Just a couple of minor inconveniences, while there are lifts to every floor, in order to get to the lobby and the lifts from the street you have to go up about 10-12 stairs, which with a heavy bag was a bit of a trial but totally unnoticed otherwise. Also, on our last morning, right about 8am, just as we were leaving for the airport there was a fire alarm, we all trooped down the stairs and gathered outside the building. It was a false alarm and we were ushered in quickly and managed to make our Gatwick Express train on time.I will definitely stay here again and will be recommending it to anyone traveling to London. It's not luxury, but if you are looking for clean, safe and central It's a great value!	
May 2 2007 	Just what we were looking for	This hotel is VERY central. It's affordable, clean, the staff are very good. It was just what we were looking for.We didn't have the breakfast as it was £7.50 each, for an all you can eat buffet, but seeing as we're not big eaters, we just went to the cafe round the corner and paid for what we wanted.The london eye is literally round the corner!	
Apr 28 2007 	Amazing spot!	Booked just one night at the hotel in April one the eve of the London Marathon. Chose it specifically for its position as my husband needed a base near the finish after running those 26 miles. We were not disappointed! It sits next to the London Eye - so close you feel can almost touch it from some rooms (5 mins walk to Waterloo or Westminster Tube stop). Check in was good, the room was clean with all the usuals, TV, hairdryer, etc. Bathroom was also clean with plenty of towels, soap etc. Its certainly not the place to vist if its luxury you're after. Premier Lodge's are simple..... but then what else do you need from a room in London? Breakfast was very effiicient, lots of choice, good quality food. OK - £7.50 is not cheap but you can eat as much as you want for that price. Lots of good restaurants / cafes outside so all in all the hotel has everything to offer..Only gripe was paying £125 per night against usual published rate of £99. This was due to the marathon which I feel is unfair for all those running such an event for charity!	
Apr 20 2007 	Good value great location	We spent 3 nights here and were quite happy. The room was clean and , especially for London, spacious. The staff were helpful and the breakfast good, although a little overpriced. The location is excellent with several resteraunts and 3 tube stations within a few minutes walk. It was surprisingly quiet even though we could see the London Eye from our window. It is a shame they have to have heavy springs on the bathroom doors (to keep them shut as the steam can set off the smoke alarm).Overall very good value for the money and much better than others at the same price. We will be staying there again.	
Apr 17 2007 	Good value on CLEAN accommodation	I am a fan of Premier Travel Inns...I love how clean they are! This one was no exception.Not the prettiest room (quite basic-no frills) but by London standards...HUGE!!! It was a triple (one queen bed and a twin). Very nicely soundproofed also, we didn't hear a peep from inside or out. Street outside is closed to normal traffic also so that cuts down on noise. We found the beds quite comfortable and got great sleep there. I wasn't thrilled with the bathroom. Small and narrow tub, everytime you stood in there to shower you had to stand like you were riding a surfboard! Also, the bathroom door had to remain shut all the time (and it gets very steamed up in there). As the light switch is on the outside of the bathroom you would have to switch it on, then open the door to enter. This was somewhat problematic as light would then shine on someone's face at night, disturbing their sleep. The light switch on the outside isn't unique to this hotel, apparently this must be code in London. Hairdryers not in bath either but out at desk. Bring your own facecloths (aka &quot;flannels&quot;) as majority of London hotels do not provide them. This hotel was a bit skimpy with towels anyway. But if you request more they will bring them without a quarrel.We did have a call to front desk about something not working in our room (hairdryer was overheating) and they were up in a flash to replace it. So perfect service there...Front desk upon check-in rates very high for friendly helpfullness!It's really one of the best deals in London for the money. I would stay here again in a heartbeat. Quite convenient location, right behind the London Eye and close to Waterloo Station and Westminster Bridge and tube station. Very secure also, I felt very safe there.Try it!	
Apr 17 2007	Clean neat spacious rooms	The rooms and restaurant are reasonable value for money. Rooms are clean, neat, quite and well proportioned. It is possible to get some rooms which have a view of the London Eye (you might have to lean out of the window to see the Eye!) This is one of my favourite hotels to stay in when I visit the South Bank of London. Its next to the London Eye and 2 mins from Waterloo station. Because its off the main road the hotel tends to be fairly quite. I could not get a deal on the fixed priced rooms! Staff are pleasant. The bedroom doors tend to slam shut loudly.	
Apr 10 2007 	Brilliant Location	I've stayed here twice and would stay here again. For the price and location I don't feel it can be beaten.The service received from the reception staff was very friendly and helpful and the buffet breakfast at £7.50 each (with kids under 16 eating free) is excellent value for central London.The first time I stayed here our family room was huge! With amazing views of the Thames and London Eye. My two kids loved it and being walking distance of so many places to see and visit is a huge bonus.My second stay (this Easter weekend) was just as good although initally we were put in a very small dark room (room 261) which absolutely stank of smoke. We rang Reception immediately and they said come back down we'll move you right now. No quibble. They explained smoking rooms are only on the 5th floor but immediately gave us another one (room 257) and alerted all staff not to place anyone into 261until it had been properly aired and smoke free.We asked for more refereshments in the room (tea &amp; coffee sachets are provided ) and I was given a whole bag more including more packets of biscuits.All in all it's a hotel I have no hesitancy in recommending to anyone who wants a good but very reasonable hotel in central London.For further information we found a great place to park for just £10 for 24hours in Upper Marsh which was only 3-5 minutes walk from the hotel which I would also recommend.	
Apr 10 2007	Great hotel with kids!	We stayed at the Premier Travel Inn in County Hall in London for three nights at the end of March this year. It was wonderfully quiet for sleeping in in the morning with jet lag - especially for our kids. We stayed in a family suite with a large double bed and two singles. The bathroom was great - power shower.Breakfast was very good too. And they did not stick firmly to ending breakfast time at 10:30am, which worked for us too. They made us feel that they would keep breakfast open as long as we were still eating.The location cannot be beaten - right by the London eye, which is illuminated in different colors each night. And there is a great Pizza Express two blocks away. Again great for kids as we sometimes ate dinner at 9p.m at night!We plan to start all our trips to the UK with a couple of nights at the Premier Travel Inn!	
Mar 31 2007	Handy central London hotel	Stayed here last week while in London on business and really couldn't fault it. Room was quiet, clean and comfortable and staff were very pleasant. Didn't try the breakfast - went across the road to Starbucks instead.	
Mar 28 2007 	a great place	My daughter and I just came back from our London trip. We stayed in the hotel for 5 nights. Our room was very big. The location cannot be better with this price. We would stay there again. We used the Westminster Underground station more than the Waterloo. Although the latter is a little closer, walking past the County Hall building, across the Westminster Bridge, and toward the Big Ben is a lot of fun.The hotel's breakfast has plenty of choices. Kids under 16 eat free, adding a good value for me. Don't forget to ask for a bowl of porridge from a waiter/waitress.We tried two eating places across the street of the hotel entrance. The Nerds noodle place is good value, but the taste is not the best. The Italian restaurant and bar (Cucino? I may have remember the name wrong) has better food. The Pattini is warm and tasty. Its raspbery cheese cake is delicious and light.	
Mar 28 2007 	Location location location!	This hotel is all about location. It is otherwise quite a bland chain hotel with nothing special or fancy about it. But the location is absolutely perfect, staff is friendly and helpful and even the breakfast is quite good value - for London. You get what you pay for - and a grand location on top of that. For some reason, and even although this hotel is far more simple than the hotels I normally use, I would still definitely go back. What they do they do well, and what they don't you don't really necessarily need. Thumbs up!	
Mar 20 2007 	Great Value for London	We stayed at the Premier Travel Inn for three nights in the begining of March. As far as London hotels goes, this was great value for money as the rooms were spacious and clean - although a bit basic. The location was fantastic and couldnt be beat!!! I would recommend this hotel to anyone travelling to London for sightseeing or who just wants to be central. We booked directly with the hotel and we had no problem with check in or rate - infact, when we arrived after our overnight flight, the hotel was able to check us into our room at 0830 in the morning - which was great after an all night flight!!! Would stay here again.	
Mar 13 2007	Great Value; Great Location	In late NOV 2006, my wife and I treated our grandchildren to a trip to London. We had been to London before, so we knew where we wanted to be for &quot;tourist&quot; activities, but we did not know the downtown hotels. We used four rooms at the Premier Travel Inn-County Hall, and it was terrific. The rooms were fairly priced and comfortable. Everyone slept well, and the Breakfast Room was a huge convenience-a bit pricey, but excellent for breakfast and day-planning. The hotel is one block from Waterloo Sta., so we used the train to Hampton Court, Hastings and Windsor Castle. We could walk to Westminster Abbey and Buckingham Palace. And, the LONDON EYE is about 400 feet away. Inexpensive eats are also nearby.Everyone was very pleased with the trip and accomodations.	
