	RUDE STAFF REPULSIVE ROOM. NO CUSTOMER SERVICE. AVOID AT ALL COSTS. WORSE THAN A HOSTEL	This hotel has the rudest person in a customer service based job that I have ever had the misfortune to encounter. She lied, she accused me of lying, she was obnoxious and completely incapable of working in a hotel reception. No people skills and quite clearly no ability to deal with a genuine complaint. In our brief time at the hotel I hoverheard 4 seperate people making complaints about the facilities.We had booked 3 double rooms for a family break, as we were travelling seperately the others in the party arrived before my partner and I and had booked in. When we arrived we were told by the 'receptionist' that they did not have any double rooms left and that we would be in a tripple, she said that if we came down before 12pm the follwing day we could change our room to a double, we reluctantly accepted this, and made our way to the tripple room. The room was not what we would have expected from a travelodge (see photos). The bathroom was dirty and had dirty towels that had not been removed, there was a hole in the bathrooms door, the grout around the bath and sink was grubby, there was dry rot in the skirting and a disgusting brown build up of something unidentified around the join between the toilet and tiles, we had no soap, the plastic disposable cups had clearly been used by the guests before us (toothpaste stains etc) The dressing table/desk had no chair, there were what looked like brown liquid stains all over the walls from top to bottom (god knows what happened in that room?!?!) there were what looked like either vomit or hot chocolate stains down the side of the tv unit and finaly there was mould around the window. DISGUSTING. AVOID AT ALL COSTS. THE PHOTOS POSTED BY OTHER REVIEWERS ARE NOT REPRESENTATIVE OF ALL THE ROOMS IN THE HOTEL. ONLY SOME OF THE FLOORS HAVE RENOVATED ROOMS.As suggested the night before we went to reception to ask for our room to be changed, The receptionsist (a different one) said that this was fine and told us to pack our bags in preparation for the move. We were told to come back in the afternoon and our double room would be ready. When we returned the original rude receptionist was back on duty- to cut a very long story short - our double room was not available, she denied that the person we spoke to in the morning even existed, then when countered about it she said the woman didn't work there!!!! She denied that she had told us when we checked in that we could swap rooms, and basically accused me of lying and making it all up. The hotel was overbooked so our option was to stay in the room we had or to find another hotel. It appeared to be ok for the hotel to give someone else the double room we had booked and paid for before arrival but she refised point blank to give us a double room that someone else had not yet booked into even although it meant splitting up a party of 6 . In the end two of us had to move to another hotel. She arranged for us to be picked up by taxi and moved to another travelodge. As it turned out the taxi was unmarked and the driver dropped us off 10mins away from the travelodge. We had no idea where we were going and had to hail a black cab to take us there. When we got to the second hotel they had no record of us being moved! We had to wait an hour before the deputy manager was able to give us a room. He had to sort out the mess. I am not fussy, I expect a room of the standard that is being paid for, we paid £59 per night (room only), cheap by London standards. I was not expecting a palace but I was expecting to get a double room, get a clean room and have staff treat me with a bit of respect and dignity as a paying customer.	
Oct 6 2006 	Lucky Break?!	Reading other reviews surprised me somewhat, as I had a good experience.I have to say I am not a Travelodge fan. I find many of their hotels to be claustrophobic and tatty.This (for me) was a good hotel and presented very good value for money in the cntre of London.Unlike others my room was clean, although there was an issue with the vent in the room it didn't spoil the stay.I ate in the hotel in the evening - again quite passable and not horrendously priced. I also opted for the &quot;all you can eat&quot; breakfast buffet which provides more than enough opportunity to fill yourself up for the day.Every reviewer will have had their own experience - mine was ok - but I can understand others due to my own experiences of Travelodges elsewhere in the UK!	
Oct 6 2006 	One word for you - cockroaches!	London hotel prices are generally extortionate, and so it is great that Travelodge do rooms for £70 per night. However, ours was in need of some attention. Fair play to the room attendants, it was clean. But there was wallpaper peeling off, the carpets were worn, the windows mouldy and the air-conditioning didn't work so it was always boiling hot, even in October. But I can forgive most things, even the less than helpful attitude of the staff. I can't forgive the cockroaches scuttling across the foyer, only a matter of feet from the cafe. DISGUSTING. Is it a good deal for the money? Probably. But I've stayed at other Travelodges in London - do yourselves a favour and pick one of the others.	
Oct 3 2006	The group dimension	Arriving in a hotel with a bus has a strange effect on you. All of a sudden you are no longer a person let alone an individual. From now on you are a group. Travellodge has created a new dimension to this word. Basically in this dimension you do not exist, or at least not in a visual way. For travellodge this group dimension has some advantages. It seems perfectly ok to put 150 persons in a room suited for 85. Standing in line for no bread, no cups, no yoghurt and so on is perfectly acceptable in this Travellodge dimension. Although the room was ok but noisy, and the device that could have been the air-conditioning was only adding decibels to the street noise, the overall impression during our 3 nights stay was one of perfect neglect. If I am ever to return from the group dimension, en start being a person again, I will for sure avoid this hotel. The trip to London, no thanks to the hotel, however was absolutely magnificent.	
Sep 24 2006 	Worst Hotel Ever	This hotel was so bad we could not stay and left after 30 minutes!My girlfriend and I were given a room on the 6th floor and it was absolutely disgusting! The bathroom was smelly, carpets filthy, bed cover, carpet, wallpaper and curtains torn.We were then moved to a refurbished room on the 1st floor however the room was stifling and the window did not open. There was airconditioning but it made such a loud buzzing noise that it would be impossible to sleep.Stay away - even for £26 per night, it is not worth it!	
Sep 17 2006 	Good room for the price	We stayed here for 1 night after booking on the website, 2 twin rooms for £26 each. We had non-smoking rooms, clean tidy, looked newly decorated. We had room 301 and 303. They were near the lift so some noise but we were tired so straight to sleep. The Hotel is about a 10 min walk from Kings Cross Thameslink, come out of the station and turn right and carry on down the road. Looking at the reviews, I'm not sure if we have all stayed in the same hotel, maybe the other reviews are for smoking rooms, which I always find are at a poorer standand that non-smoking. Small bathroom, but it has all you need, really hot water and a fierce shower!!	
Sep 3 2006 	Bad rooms good rooms bed bugs...	I worked for a language school and they use this hotel for their students hence as the students' chaperone I was to stay there too. I've seen many rooms in this hotel - both my own and student's. Rooms are both good - it used to be a 4* hotel at least 30 years ago and there are signs of this - and bad - again because it was 4* at least 30 years ago some rooms - especially on the 5th floor is severely in need of gutting out to remove the mould patches, flaky paint, ceiling cracks and dirt... Some beds are comfy, some you would think would be more suited to being hammock rather than bed by definition. My room in the last night anyone can possibly make me stay in that hotel was infested with bed bugs. The staff made an error with the rooms and my single room was finally found after a long &quot;look around&quot; for it.I woke up the next day face and ears all over my body to my toes covered in bed bug bites (confirmed by pharmacist, doctor and apologetic travelodge staff). Travelodge staff told me I'd been given a room which was not meant to be used due to the infestion and it was a terrible mistake. I was told they minimise disturbance - i.e. cut costs - by only employing pest control every 3 months.They refunded 60 GBP and 7 GBP for antihistamines and I'm still waiting for a call 6 weeks later from the manager to apologise for their mistake, having given the duty manager all my contact details and was promised a call, and was told that they're very common in the UK and she had heard of a lot of cases since she had come to England working in Travelodge. Having done some reading on bed bugs, they actually migrate to surrounding rooms if they do not feed after a few months, so I would suggest that maybe the frequent number of cases is simply that the bed bugs are migrating to other rooms since the rooms are only treated every 3 months.For me apart from being unsightly, the itching was unbearable and that evening some of them turned into blisters - though the bites were already pretty horrendous as each bite was a red area around 3cm squared and swollen, hard and white in the centre. I went to a doctor and was given stronger antihistamines and steroid cream and no more turned into blisters.They finally calmed down after around 7 days during which I was too itchy and sleep deprived to work (the psychotic effects of literally being eaten alive are severe). 6 weeks later the red patches where the bugs bit are still there and people have asked if it is ecsema - and it's not from itching - I avoided the massive urge to itch, and even the bites that I could not reach to itch if i had itched look the same.To summarise, I would avoid this hotel at all costs, the staff were not very helpful or cooperative - when they messed up the booking tried to accuse the company of not booking enough rooms. they lost 30 packed lunches between 6 and 7am, which turned up that afternoon - because the reception staff on the morning shift did not speak english. Many of the rooms are shoddy, the service in the restaurant is abysmal (2 hours for quiet lunchtime for a party of 15)... Get a good room at a good rate and you're very lucky with a proper bargain, get a terrible room and end up scarred from bites, or get a poor room and get a hammock with mould patches...	
Sep 1 2006 	Awful check in!	Stayed in the hotel over the bank holiday weekend with my partner. When we eventually arrived (hotel was quite a way from the train station) the three couples in front of us at check in were all sent away to other travelodges in the area due to their bookings being messed up. Not a good sign!When we got served the gentleman serving us told us there were no doubles left as we had booked (three months previously) so I guess our double had been given out to a higher paying customer. We got given a card for a twin room on the 5th Floor only to find there were a couple already 'occupying' our room! After marching back down to reception we were given half of our money back and given a family room instead.The room was fine, carpet very dirty so take slippers, and the bathroom was TINY, but overall fine for a quick stay. During the night the fire alarms went off twice, once at midnight and once at 5:45am so not a great first nights sleep but the following nights were uninterupted. Area wasn't as bad as I was told so if you are looking for a cheap night in London this place will do, just be prepared to walk to all the main attractions!	
Aug 30 2006 	Adequate but...	We stayed at the Royal Scot for two nights. And really, you can't complain for 26 pounds a night. However, I'd advise one to carefully check out the shower as soon as you are booked. The shower in our room had no hot water; however, it had an adequate supply for a bath. The plumbing looked like it needed an overhaul. My son's room across the hall had a useless shower too - the taps were complicated and non-functioning - until we raised a complaint. His were fixed; ours I guess needed more extensive work. To their credit, they did offer to switch our rooms if the work was not done, but as we only had one more night to go, we decided to grin and bear it.Another thing to consider is location; it was a tad further away from King's Cross station than we would have liked when lugging suitcases. And the lobby / lounge is really smokey. We didn't have our breakfast there, although it's an option; we found a nice little restaurant called The Other Side with a great full English Breakfast for under 4 pounds.Otherwise the desk staff was pleasant under incredibly busy circumstances (and uncooperative computers!). It's an okay place for basic accommodation I think.	
Aug 28 2006 	Great for a night on the town.	We had a two night stay at this travelodge over the August bank holiday weekend. It is a typical Travelodge- an acceptable clean hotel room if all you want is somewhere to sleep for the night whilst seeing the sights in London. Book early for just £26.00 per night.It is evidently a &quot;high volume&quot; hotel and as a consequence some of the fixtures and fittings were a little worn, however it was perfectly clean. In some of the rooms, the air conditioning doesn't work properly, so if you are staying over a hot night make sure you check this out.This hotel has Wireless internet access throughout the hotel (£5.00 for 1 hour and £14.99 for 24 hours), although there is an internet cafe over the road who will let you have an Internet fix for a very reasonable 99p per hour.The area that the hotel is situated in is not the choicest, however it is perfectly safe and there are a couple of chip shops and kebab houses over the road from the hotel. The two local pubs on the walk down to Kings Cross (about 10 minutes) are perfectly fine and worth a visit for a nightcap.	
Aug 23 2006 	An awful place	This had to be the worst hotel experience I've ever had.We were booked in for one night and the first room we were given had a distinctly dilapidated feel with paint flaking off the walls and cigarette burns in the carpet and curtains.And it was small...very small.So we trooped back down to reception and got them to move us, which they did, to a room which was the same size but slightly better appointed.Unfortunately we couldn't open the window properly and in the middle of a summer heatwave with no air-con it was like an oven. So we left the door open and hoped that the air-flow would gradually cool the place down.It didn't.At around 3:00am I'd had enough and left my wife and daughter in the room, deciding I'd be better off sleeping in the car!Our visit also coincided with a crowd of Italian kids staying there who were not only noisy but monopolised the one and only set of lifts from the reception to the various floors of the hotel. There was no staircase as an alternative so if you wanted to leave your floor at the wrong time you spent 10 minutes waiting for a lift that wasn't packed to the gunnels with chattering teenagers.We skipped breakfast and fled.	
Aug 6 2006 	Clean Comfortable Cold AC - Great Value!	We moved to this Travelodge after checking out of a nightmare hotel a day early. Their website promised clean, modern rooms that are consistent throughout the chain, and we were not dissapointed. They provide clean duvets instead of the traditional nasty polyester hotel bedspread and scary brown blanket. The hallways were sweltering, which had us concerned, but when we opened our room we were greeted with a blast of very cold air! We actually had to turn the AC down a bit even though London was in the middle of a record-breaking heatwave. Our room was on the back of the hotel, and it was very quiet despite being in the busy King's Cross area. I slept like a baby for the first time during our whole vacation.The Travelodge chain has a very no-frills philosophy, so you won't find any hairdyers or toiletries other than soap, but at 66 GBP (normally 75 GBP, we booked last minute) it was a really fantastic value! And their website makes it very easy to book rooms.	
Aug 3 2006	Great clean basic accomodation	The room is full of little placards telling you how missing services (no minibar, no room service, no little shampoo bottles etc.) are saving you money. Really, I didn't miss anything. A clean room, with tv, tea and coffee, towels, soap, hanging space -- what more do you need? The bed was comfy but strangely bouncy, and the room was a little warm -- but my stay was during a heatwave, I don't imagine this would usually be a problem. We had to stand in line a little while to check-in (one of the ways they are saving money is by working their staff hard!) but checking out was as simple as dropping our room keys through a slot. The location is fairly good -- it's a 7 to 10 minute walk to Kings Cross station with excellent tube and rail connections. The area is 'slightly dodgy' but fine -- ok to walk through at night but walk briskly and don't stop to say hello. It's handy for Bloomsbury and the British museum. Good choice for the price.	
Aug 1 2006	clean and value for money	Looking at Tripadvisor and the varied review for Travelodge at Kings Cross London, it would seem like people were describing two different hotels - and I think they are. There are two at Kings Cross, the listed building by the station and the multi story office looking building a few streets away, called Kings Cross Royal Scot which this review is about.I have stayed in several Travelodge over the year, the most common being Docklands. The Royal Scot one in central London was excellent in comparison to Docklands. It was very clean, the room decor spotless. As the hotel is next to the main road this building was fully double glazed, but you couldnt open the windows, so Air Con was provided in my room. The room was shower only bathroom but again was spotlessly clean. I paid £26 for the night on their advance internet deals and was very pleased. The reception staff were friendly and helpfull, I was really surprised how good it was compared to Docklands lodge.	
Jun 22 2006	GOOD HOTEL IF ON CHEAP RATE	Well me and my girlfriend stayed here for 4 nights and found the hotel to be quite nice.Ok not 5 star luxury.. but for 26 quid a night we cant complain.I wouldnt pay the full amount per night.. but if you grab yourself a bargain supersaver then its well worth it.Its close to Kings Cross Thameslink station which is handy for getting to any part of central london.The area around the hotel was ok. Some nice takeaways and a corner shop right opposite the hotel.. which was handy for cheap alcohol and soft drinks !! Overall was a good stay for the money	
Jun 5 2006	Typical travelodge - no complaints	Stopped here last Friday, easy to find from Kings cross. Arrived 6.30pm check in was quick - was given room 410, a double overlooking the carpark away from the road so nice and quiet. Comfy bed, compact bathroom - shower unit a little rusty but worked fine. Plenty of storage and the usual Travelodge tv, kettle etc...Did notice a lot of mildew on the bathroom ceiling but this didnt effect me in any way.Didnt hear my neighbours but the wall/door to the room must be very thin as i could hear people talking walking past in the corridor! I slept well as I had spent the day travelling/walking/sightseeing - light sleepers might not sleep too well?The bar and reception area are clean and bright - i didnt use the bar and never eat at Travelodges as im vegan so go to the juice bars for breakfast! there are a number of cafes on the route to Kings cross that do cooked breakfasts. I got cold drinks from the off licence opposite (open til 11pm) Travelodge staff were friendly and helpful.I found the area to be quiet - felt safe as a single female traveller.I wouldnt pay the full amount for this hotel - but the £26 rate is very good value for London so at that price I am sure Il return.	
Jun 1 2006	Horrible Hotel	This trip was for myself and a group of friends for our birthday. However, it was not a good hotel at all. The windows are restricted, air conditioning does not operate, bathrooms are really small and no ventilation in the bathrooms. Overall we did not spend the night in the Travelodge. Please think twice it you wish to stay at the Travelodge Kings Cross Royal Scot.	
May 31 2006	Great time!	Travelling up I was bit nervous about staying in a Travelodge in the centre of London. But luckily I had no reason to be nervous. The first impressions of the hotel are very good. The reception area and bar/restaurant are very modern and look very classy! We stayed on floor four of six but that was no problem because there are 3 lifts in the hotel. Location is brilliant you are about a five minute walk away from the Kings Cross station (Underground). There are a few nice restaurants alongside the hotel... I recommend the Matertranio... Very nice! Or if you’re just after a take away there’s a KFC and McDonalds just around the corner.The staff were very friendly offering as much advice as they could; the barmaid was a laugh and always had a smile on her face!The hotel rooms are ample, a nice size, TV, shower etc all you really need for a city break. We had a room next to the road and did not have a problem with traffic noise!All in all for 26 pound a night you are getting more than a good deal... I would pay 60 + to go back. I am already looking forward to going back!Go for it! You'll have a smashing time! LONDON is brilliant.	
May 21 2006	Excellent Budget Choice	Myself and my partner stayed at this hotel for 3 nights at the beginning of May. After reading the review regarding the rat, I was very tempted not to go, but we had booked through the travelodge website and got the £26 per night rate, so if we cancelled we could not get our money back. When we got there I was so glad that we had given it a go!Following advice from a previous review, we exited Kings Cross Station by the Thames Link exit and it was less than a 10 min walk to the hotel. Check in was quick and trouble free. Our room was in the millenium section and I'm not sure if it was newer than some rooms or had been refurbished but it was really nice. I admit I did check under the bed for a rat but there was no need!The walls must have been very thick as we heard no noise at all from other guests. My only slight complaint would be the traffic noise in the morning, but we were up early so it did not affect us. The room was clean, as was the bathroom and it was definitley the best Travelodge I have stayed in. They do serve breakfast but we opted to try out a nearby cafe (The Station Cafe I think it was called) where you got a full breakfast with tea and toast for £4.00.For the price of £26 a room per night in London, this hotel was an absolute bargain with the added bonus that the Kings Cross station has links to nearly all the tube lines, so you had a direct route to wherever you wanted to go. I would definitely book to stay there again.	
May 15 2006	Excellent value	The hotel can be booked on the web for £26 if that tariff is available. The reception area is new and check in was fast and efficient. The room was clean and quiet. This is my third stay here and each time has been good. I have however had breakfast at a cafe of my choosing.	
May 3 2006	Very Good Budget Choice	We stayed at the Travelodge Islington, now called the Travelodge Kings Cross Royal Scot, on two separate occasions: April 16-19 and April 25-28. We had booked at the 26 pound per night rate that can be found on the Travelodge website. The regular rates through their website range from 60-70 pounds. The 26 pound rate is outstanding value for the room and amenities, as well as location of this hotel, and it would be hard to find a better room for the regular rates.We had rooms 203 and 206 for our two stays. Both had an ensuite bathroom with a tub-shower unit, twin beds, a TV with basic channels and with the option to purchase further channels (which we did not do). There is a phone that requires a credit card swipe for use--we did not use the phone as we had a mobile phone. The beds are covered with duvets, and the duvet covers as well as the bedsheets are changed daily. There were extra pillows in the cupboard. We received a large bath towel each as well as a smaller towel. As is typical in British hotels, there were no washcloths. Room 206 overlooked the inner courtyard, which contains parking spaces. Though we had the window open, we found the room to be incredibly quiet as was the hotel generally. Room 203 overlooked Vernon Rise (or Road, I so not remember). There was a double window, and with the windows shut there was no street noise. Vernon Rise has almost no traffic. We could see King's Cross Road and Penton Rise from our window, but could not hear the traffic.The hotel is a purpose built structure of 1960s or so architecture. The lobby of the hotel is new and comfortable and is attached to the bar/restaurant. There was no smoking in the looby or the restaurant, though people smoked on the stoop outside. Check-in was quick and easy on both occasions. We arrived an hour ahead of the check-in time on our first stay but received a room right away. There is no baggage check in the hotel, so it is wise to double-check room availability if you intend to arrive early. Otherwise, King's Cross Station offers baggage check. We tried the bar, which was pleasant enough, and the restaurant menu looked reasonable--one could eat a simple meal there, but there are pubs and restaurants nearby that look good too. Once through the lobby, we found our rooms by taking one of three elevators. The elevators are small and we could not figure out how to use the stairs to get to the lobby, so there was the odd delay in getting off our floor at busy times. The elevators work fine but are a bit scratched up. The second floor hallways look a bit worn but look quite decent all in all.The rooms were clean and reasonably maintained. Some of the woodwork was scratched and in places the wallpaper was loose. The bathrooms were clean, though could have used a more thorough dusting. There was a touch of mildew in one of the tubs, but the other was spotless. There was a large heating and cooling unit on the wall, which we did not use.The hotel is an easy ten minute walk from King's Cross rail station. We walked down Pentonville Road to King's Cross Road, which we followe right to the hotel. We also exited King's Cross Tube station through the Thames Link station (just follow the signs for Thames Link), which exits right on King's Cross Road making the walk a bit easier. We also accessed the hotel from one of the bus stops on Pentonville Road (second stop from King's Cross station), and went down Weston street--a mere 3 minutes or so to the hotel. Alternatively, the hotel is about a 15 minute walk from Angel tube down beautiful leafy streets. A number of buses pass close to the hotel, and the 63 goes right by. The area in general felt very safe. The street in front of the hotel is busy-ish, but behind are nice residential streets that receive almost no traffic. The park in Percy Circus right behind the hotel is quite lovely.Overall, for the 26 pound price we found a bargain, I don't think there is a better deal to be found for the money. Yes, there are a few rough edges here and there but I found them to be no more than what I have experienced for 100 pounds in other London hotels. So, the regular rates are quite reasonable too. If you book here expecting a five star hotel, then this is not the place for you. If you book expecting value for what you pay, and a clean quiet hotel, then you will be satisfied. I noted on check-in that one patron wanted a room change, which was speedily accomplished. I know there are negative reviews below, but I honestly have to say that we were very pleased with the hotel. We got more than we expected and the price was quite palatable.	
Apr 20 2006	not bad at all!!!!!	Having read some reviews on this page, I was a bit concerned of what exactly to expect from the hotel room and specially from the area, considered by some of my London acquaintances as &quot;sort of rough&quot;. But I must say I was very pleased with what I found (specially having seen some pictures posted here) the room was nice looking and very clean, comfy bed, good shower, a small electric keetle, tea and coffee available. only problem: some guests (all brits!) were very loud, arriving late in the night with a big noise... I didnt have breakfast there (found it a bit too expensive and besides, was not soo keen on having a GBP 6.50 all-you-can eat brakfast, but many people have it... there are 2 supermarkets close to it (a tesco at caledonian str.) and several small shops where you can have a nice breakfast too..... as for the area, king's cross is not that horror some people have told me, but I must say the only time I walked around in the night was when I left the hotel, so maybe I was lucky.... another good thing, is that it is quite central, with buses to many tourist attractins in the city (if you have time to a bus ride - otherwise you can take the tube, a 10 minute walk from the hotel). PS: The hotel has a new name: it is TRAVELODGE LONDON KING'S CROSS ROYAL ASCOT	
Apr 17 2006	Honestly not that bad!	Having booked the Travelodge Islington (or Royal Scott as it is now known) for 5 nights I was panicking having read some of the reviews on this site.The truth is that this hotel is absolutely fine as a base and somewhere to rest your head. I stayed here with my husband and 7 year old son and we all found it to be clean and handy to the tube station at Kings Cross from where you can get anywhere you need to go.Had I paid the full room rate I may not have been so impressed but we paid the special rate of £26 for the room per night so the fact that it was clean was enough for me!!The hotel is quite noisy - the doors automatically slam and it's a bit shabby with the carpets a bit threadbare in places etc but truthfully it was totally fine so long as you don't plan to spend too much time in it.As for the reviews slating the place I can only think that they must have paid a higher rate for their room than we did........!	
Apr 2 2006 	A minimum standard should be set!	I cannot agree more with the comments from the construction worker who took some pictures of the hotel room. They are the best evidence.As previously posted in this forum, I stayed in room 527 which has a rat and then moved to 53x which was freezeing. Staff were either poorly trained/ worked overtime/ lack of support (i.e. lack of staff).I have to say they offer very cheap rates but only in advance and on-line directly. The walk-in rate is £65 (which is not cheap) and if you book with an agent or something, you will definitely not be getting that type of cheap rate.It is definitely an embarassment - the entrance and dinner area look nice - but as soon as you walk towards the lift/ corridor, you see the reality. Yes in some ways one can't complain more if you only pay £26 and get a room and a clean bed to stay for the night, but if you are not paying the cheapest rate, then think twice before booking it - especially during winter time as the old-aged heater do not work, and also check-in early so there are spare rooms available should yours have rats/ flooding in the bathroom.It is not simply a coat of paint that is required... but a total refurbishment. I don;t understand how they think they can get away with this poor condition and poor customer service.	
Mar 31 2006	a word of caution	Being a contruction worker, and work away from home most of the year i have stopped in a lot of budget hotels in my time. This hotel is the most untidy grubby hotel i have ever stopped in. You could imagine my wife's face, when she opened the door to our room after telling her for weeks that i would never take her and the kids (3 and 2yrs) to a dump, as she had her doubts as it was only £26 per night.The beds where clean and that was the last of the good points on the room. There was mould in the bathroom, on the windows, the ceiling. We had a electric fan heater for heating, there was holes in walls where pictures should of been, and The wallpaper was falling off above the windows. i think i will leave my photos to do the talking as iam getting very mad just thinking about this place.i hope my photos put a picture to simalar reveiws to mine. p.s where the people staying here who gave raving reveiws of this hotel staying there in the 60's as i guess this was the last time it was modernised	
Mar 30 2006	Excellent value	After reading the reports of this hotel I didn't know what to think. They were so varying. Anyway I'd got it on an offer for £10 a night 27- 29th March. We arrived about 4pm and was greeted by a nice receptionist. I asked for a quiet room as several reports said the hotel was noisy at the front, so she said she'd see what she could do. She said she'd put us in a &quot;millenium&quot; room on the 2nd floor (Room 2001). It was sited at the side of the hotel and was really quiet. Loads of wardrobe and drawer space, not that we had much luggage. The heating worked and the shower etc. Yes it was strange - still no pillowcases! The pillow covers were clean but I still put a towel over it just in case. We used the restaurant on the site £6.50 for an all you could eat breakfast which we thought was good value. Yes you could get a breakfast cheaper across the road but by the time you added toast and coffee to it wasn't really cheap. Plus there was coissants yoghurt, fruit cereals etc juice as well. We ate in the hotel one evening which was fine but had a lovely italian meal in a resautant called &quot;casa Mamma&quot; near to Kings cross station on Grays Inn Road. Main course, wine and coffee £30 for 2 which we thought was good value as it was really nice. They were even turning away people by 7.30 - not bad for a Monday night. Anyway all in all we had an uneventful stay and speak as you find I would stay there again - particularly if I could stay for £10 a night!	
Mar 20 2006 	Free RATS with cheap rates -NEVER AGAIN !!	With rats as your neighbour - NEVER AGAIN!!!Travelodge offers very attractive rates for hotels in central london from as little as £26 if you book on line early in advance. But you will have to pay for it somewhere.I stayed for 2 nights in January 2006 (not consecutively). The first night was ok although the room was old - given the price I paid, I couldn't complain more. But there was definitely an attitude probelm among the staff and most of them didn't give a damn about anything. While i was checking in, there was another couple panicking in the lobby as water was leaking in their bathroom - it was more like flooding to be precise. However, the staff &quot;in-charge&quot; was on the phone and so in the 10 minutes + that I took to check-in, nobody did anything and the water continued to flood.I got the impression that &quot;changing rooms&quot; was very common in that hotel and the staff were very used to it. They believe that as long as the room is changed, it will be fine - there's nothing to panic or to apologise about.I can confirm this when i stayed for the second night. I chose the same room as it was a quiet room. At about 1am, I saw a shadow in my room and then I realised it was a RAT!!!!!!!! It escaped to a hole in between the wall and the floor!!!!!!It was absolutely disguisting!!! I phoned up the reception to report this and requested to change room (bear in mind you cannot phone up the reception from the telephone in your room e.g press 0.... you can only call from you mobile if you have their reception number in advance). It was after 1am and in my pajamas and I was told to collect another key from the reception. No apologies whatsoever... I told the guy that I was in my pajamas and given I had to check out the new room, it would be better for him to bring up the key and show me that room first before I decided to accept it. I had to persuade him to do this. When this staff turned up, all he was interested in was whether it was a rat or a mouse. He didn't apologise. In addition to that, the old-aged radiator/ air cooler (at least 20 years old) doesn't work. The rat room had a new moveable radiator (something i use at home) but the other room which i moved to later hasn't got one- so after moving from the rat room, I was very cold for the rest of the night.I have stayed in various Travelodge for 4 times in between Oct 05 to Jan 06. Once I was offered some uncooked food (uncooked sausages) in Worcester Travelodge as the staff was in a rush so that he can watch the X-Factor final; woken up by cleaning staff before 9am in Covent Garden Travelodge although there was a sign outside my door clearly said &quot;Do not Disturb&quot;. I thought those are minor but with the rat in Islington Travelodge, this left me with no option but to put this on-line to let everyone know.Do you know why for most Travelodges in their offical web site only the external pictures are shown? (i.e. no bedroom pictures?) It is because the condition is appauling. I am not saying it is not clean but they are like hotels that have not had any refurbishment for over 20 years. You would be lucky if you have a new radiator in your room as all the old ones do not work.I chose to stay in Travelodge for the obvious reason because it was cheap to purchase on-line in advance. But after 4 stays and with 3 ridiculous experiences, there is no way I would stay another night with Travelodge again.One final note is that I phoned up Travelodge head office trying to find out which Travelodge in London was new (i.e. at least refurbished over the last 2-3 years) so that there's less likely to get a hole in the wall... I was told that Islington was new!!!!!! Can you believe that!!!! Yes the reception and the canteen are but certainly not any of the rooms/ corridor....Never again	
Mar 11 2006	great stay at travelodge islington	We have just returned home after staying 5 days. The room we had was a little small, but not for London.It was very clean and the bed was very comfortable and clean, which is all you want after a busy day sightseeing!The shower was great and the room was nice and warm.All the staff at reception and in the restaurant were very helpful and friendly. The breakfast was very good value.It is a good walk from the tube but buses pass the door.It was very busy at the weekend, we had to wait for several coachloads of students to leave the restaurant before we could get a table, and the noise at night was sometimes too much. But this is a budget hotel and popular with the overseas student parties. This did not spoil our break at all, and we are both retired people used more to a quiet life!!We would certainly use tis hotel again, it was great value for money.	
Mar 6 2006	Travelodge at its worst!!	I have stayed in many Travelodges up and down the UK and this one is defiantly one of the worst !!On arrival to London, i rang the Travelodge helpline to ask them for further directions to Travelodge Islington!! 3 TIMES the helpline directed me to Kingscross travel inn, the only person who gave me correct directions was the lady at Travelodge Kings Cross - and also if you try and ring Islington Travelodge direct - they connect you to Warrington.After a walk of 1hr 30mins (that should have been 15mins walk maximum) - walked into a very busy, disorganised reception!! I work in a hotel in the Peak District and i have never quite experienced anything like this:The hotel steps were littered with, takeaway papers, cigarette butts and beer cans (very welcoming) - reception was staffed with 2 members of staff - while around 50 people tried to check in.After a long wait and a very rude, over worked reception lady, i was directed to my room on the first floor and advised to use the lifts, of which the hotel has 3 - the first lift does not stop on the 1st floor, the second lift does not stop at reception and the 3rd lift was stuck on the 4th floor. We took the stairs and after watching several people climb out of the lifts during our stay by forcing the doors open - i would advise the stairs to anyone who stays!!The room itself was clean and everything that you would expect from Travelodge i have no complaints here. Although the window was 7 foot from the ground and consisted of a slit about 2 foot wide!! but after all we were in a city, this wasn't really a problem.Sunday morning came, 7am the fire alarm sounded, it stopped after 30 seconds so my partner and i stayed in our room, but, i counted a total of at least 20 times that the alarm sounded between 7am - 10am that morning, not only do i consider this to be extremley dangerous as everyone ignored the alarm - it was also extremely annoying!!!I left London feeling disappointed with Travelodge, they obviously are making cut backs to be able to afford their £26 room offers, but this should not be at the customers expense!! i will not stay again and i have written to Travelodge and i await a repsonse.....One very disappointed customer.	
