	Excellent location disappointing hotel service	I stayed in this hotel as a solo traveller, I was visiting various friends in London, The location of this hotel was excellent, right next door to warren street station, &amp; within a 5 min walk of Euston &amp; Euston Square. Unfortunately warren street was closed for maintenance for the weekend, but Euston square is a 2 min walk. On first impressions I thought the hotel was reasonable value for money. But that night my single room which was small &amp; perfectly adequate for me was Freezing! I turned the thermostat up in the room, did not work, there was a huge window which had a blind but the cold draught could be felt. I was so cold that I could not sleep properly, in the morning I reported it to reception who seemed very flustered with the people coming &amp; going. I went for breakfast &amp; had to wait 20mins to get a table, with the lady seating me saying it's busy this morning, but do they not realise how many guests are coming for breakfast. The breakfast was lovely great &amp; prompt tea&amp; toast. I presumed that the heating had been fixed due to the card in my room that night saying the problem I reported had been sorted, but again that night was freezing, but after getting kitted up in my jumper &amp; leggings as well as PJs things where warmer &amp; a better nights sleep. I also had a note in my room asking me to go to breakfast later as it was too busy, between 9-10am.The hotel was very clean &amp; staff where friendly enough, I just expected a better service from a 4 star hotel. I will admit I didn't complain again about the cold room or about the breakfast queue, I just got on with it, but just found it disappointing as I've stayed in hostels, tents etc &amp; payed for a better hotel as a treat, it didn't help as it rained very hard the 2nd night I was there, with the streets flooded &amp; it was soooo cold, so it made the hotel room more noticable.Location wise this hotel cannot be faulted, I would stay again if it was cheaper, &amp; with thermals of course!	
Jan 20 2006 	Strange Hotel	When I first arrived the hotel, they put me in a room that was quite large. It was long and the bed was in a sunken area with the headboard by the window. It was a little weird, I am used to the conventional headboard against the wall. I noticed that the room did not have a lock from inside. you know, one of those chain lock thing. London is pretty safe, plus there is a regular lock. But after agonizing over it for 10 minutes, I realized that I will not be able to rest peacefully. So I asked to get the room changed. They were a little resistant at first whick I did not appreciate. But I got a new room in the end. The new room was much smaller but that's par for London. The room was very clean. You don't get to have a closet for your suitcase, just a hanging bar about 1' wide. The good news is my room had a huge flat screen TV hanging on the wall. If you are in London for business, and do not plan to spend any extra time in the room, this is fine.	
Jan 12 2006	Clean 	I stayed here three nights in late December. From Waterloo (Eurostar) station, cab fare to the hotel was £9, including tip – from Victoria (Gatwick Express), it would be about the same, perhaps a pound less. In selecting this hotel, my three top criteria were location, Internet access, and a clean room. With these, the Radisson Edwardian Grafton scores highly.There are plenty of restaurants nearby and plenty of coffee shops (for those of you who can't live without your Starbucks, it’s five short blocks south). A Sainsbury's Central (i.e. supermarket) is across the street. Across another street (the hotel is on the corner) is the Warren Street tube station, which serves two very useful lines, Victoria and Northern. There’s a McDonald’s next door, notable only because it’s open late.Broadband Internet access, via a wi-fi connection provided by Radisson (meaning not by a third party like T-Mobile), is free. This is among the great benefits of this hotel, as it is not uncommon for London hotels to charge you an outrageous £15/day to be connected. Who knows how long this will last, but while it does, it’s a real advantage.There were a few complaints worth mentioning.Check-in is slow. Check-out is even slower. Unless you don’t mind waiting in line, I would recommend either checking out via your television or well before the morning exodus.THE ROOMS ARE SMALL! I had a single, but I was able to peek at a double as well. Mine, I estimate, was 17' x 12', including the bathroom. It takes some getting used to, that's for sure, but for a short stay, I was able to adjust.The rooms, however, are clean and well-appointed with good, modern bathrooms. There were ample electrical outlets, with both UK and US sockets. As this hotel was recently refurbished, it is without question more deserving of a much higher Trip Advisor rating than 382.My conclusion: If you can get a good rate and put up with living in a well-appointed closet, I would strongly recommend this hotel. The location provides quick and direct access to the more touristy areas of the city (Green Park, Oxford Circus, Leicester Square, Charing Cross, Victoria, Waterloo), and the conveniences you want nearby you will easily find. I’m giving this hotel four stars only because it’s in London. In the USA or Asia, three would be more appropriate.	
Nov 29 2005	I liked it!	I booked this hotel on a special offer through lastminute.com as they use this hotel for &quot;unnamed&quot; last minute getaways although it can be easy to work out which hotel they are. And I liked it, the rooms are modern with everything you need. I have stayed at a number of 4 star hotels in London and most are good. I had a high floor atteh back which was quiet. I left a pair of shoes there and they soon shipped them back to me with no fuss.One bad thing was the quality of an expensive cocktail at the bar. It was disgusting and so I sent it back. I suppose if I had paid premium rate for this I may have been less impressed.	
Nov 28 2005	Give the Grafton a miss	The single room occupied was extremely small. In central London that is perhaps not so unusual but the room was shabby and dirty-balls of dust flew out of the wardrobe. Nothing seemed to work. The shower (there was no bath) dribbled water, the plug was jammed in the sink and the remote control of the television did not work. Nobody came to give us a bill in the bar and we were met with rudeness when we tried to pay. My travelling companion's room remained uncleaned at 3.15 in the afternoon.	
Nov 9 2005	Hotel rooms are terrible.	Hotel rooms are terrible.When I came there I got room nr. 132 it was so small that I could not breath or even open my suitecase. The room had starircase in it which made it rather funny. I complained and I was told that I only could get room where smoking was permitted. But after awhile the girl told me she had another on 4th floor no 418. She showed it to me and I said ok. There was no offer of helping with the bags. Me and my husband came there satisfied and the first thing I did was going to the toilet and found out I could not flush it. When my husband was ringing down to complain I found dirty mens underwere in the cupboard. They told us they would fix the toilet. Ok so we went out and had a good day.When we arrived in the evening nothing had been fixed. We complained and were next moved to room nr. 420. There I wanted to open the window and asked the man that gave us the room how I should open it. I said it was broken and he sent somebody to fix it after awhile. It opened but then I coould not close it, but I let it be. There was no sorry said from the staff and nobody offered to upgrade a little.Be careful of this hotel, don´t go there.Sigríður Friðriksdóttir	
Nov 6 2005	A Dissappointment	I know now that the Grafton is geared more for the business traveler and my husband and I were on a vacation, but having stated that is was a big dissappointment. First is says it is the West End, and it really isn't. It was a good ten minute taxi ride from anything that I pictured as the West End. Then I looked at the online pictures of the hotel and didn't realize that they retouched the picture to remove the McDonald's that is right underneath it. So the first the you see when you arrive is the Golden Arches. Our room was at the end of what seemed like an endless maze of hallways, but it was clean, though a bit small. In at least three places was warnings that you were not remove anything from the room, and how much it would cost you if you did. I understand stating in one place, but it silly how I was reminded that it would cost me 89 pounds if I took a bathrobe and the hotel didn't bother to put them in our room. Then when we used the hotel internet the next morning, only two of the five computers were working and hotel staff seemed unable or uneducated in how to get them running again. All in all a very disappointing hotel. Only thing good I can say is that check out was a breeze, I did it all from the TV in my room. Maybe a great business hotel but not for the vacationer.	
Nov 4 2005	Good Location thats it!	This hotel has a good location, right next to Warren St. tube station, so easy to travel around.The hotel itself is not up to much. Our room was tiny, the smallest hotel room i have ever seen, so small that you could not walk around the d/bed. The bathroom was only big enough for one person. The mini-bar had a sign saying that it was interactive??? If any item was moved, yes moved, you were automatically billed for it!!!The service was poor, the barman was simply rude. He didn't even make eye contact when taking an order. The price of drinks was expensive and to top it all there was a service charge for them, not on I felt when you are ordering from the bar.Also staff were arguing with one another in full view of guests.I guess you stay here for the location, not the service or value.	
Nov 1 2005	not worth the money	stayed 2 nights tiny little room tiny 4 ft double bed wash hand basin cracked for £220 not including breakfast was not worth it would not recommend it to anyone, and would not stay there again,	
Oct 23 2005 	Good location nice room awful service never again!	I should have known what sort of place this would be from the moment that I booked. &quot;Dee room rate ees eighty point five greet breetish poounds the night&quot;.This is one of those hotels that trades on its location and a little expenditure on rooms, but claws it all back by employing an almost exclusively foreign workforce who seem to have little experience or interest in looking after paying guests.The location is great for Marylebone and Tottenham Court Road, two minutes from Warren St. tube station and easy access to most parts of London. The rooms, like other Radisson Edwardian hotels have a plush feel but are small, awkward to move around in and at times, cluttered. However, having gone from a pre-emptory check-in I then spent 15 minutes in the lifts going up and down to anywhere but my floor until another guest saved me by mentioning that I had to insert my key card into the lift button console to be able to select a floor - provided someone further up hadn't hit the call button before you'd finished trying to get you card in and out of slot. It would have been nice if someone would have bothered to mention it on check-in.My room was small but nicely furnished (all modern brown leather with heavy duty white stitching) but I had to call someone out to get the TV to work. Eventually in frustration at waiting I had a go myself and after messing around on the floor behind the mini-bar for a while I found that it wasn't plugged in. However, even once I'd got a picture, I had to flick through pages of advertisements for hotel services and porn films before I could view the BBC news.I tried to iron a shirt but the iron wouldn't work and a call to reception was again ignored until I rang again. Eventually an African lady called from room service and in very badly broken English explained that there was a button under the ironing board that neeeded to be pushed to operate the iron.Having gone out and come back in I again tried to watch TV but only got a &quot;message waiting&quot; screen that would not disappear no matter how many buttons you pressed. After three calls and 30 minutes waiting for assistance I told the night manager that I was off to bed now and that I'd expect a 50% discount, to which he blithely agreed.Unsurprisingly, on checking-out no discount appeared and the receptionist had no knolwedge of any discount and to make matters worse, the room cost a lot more than expected. Why? They don't quote rates inclusive of VAT - are they the only people in the UK to still do that? This might be a decent hotel if you'd stayed there three or four times before but almost everything has some odd hidden trick that it's an immensely frustrating place to visit as if it's all be designed for the convenience of the staff rather than the guests. All in all it felt like a bit of a rip-off.	
Sep 27 2005	Great location; small room; delayed check-in (unimpressed)	Quite a pleasant hotel. Unbeatable location, almost next to Warren Street Tube station, with access to the Victoria and Northern Lines. Our corner double room was very small, faced the 'courtyard' (not a pleasant view, but it was quiet!). Bed only a 4 foot 6 double, but comfortable. Bathroom small but nice. Staff were pleasant. My only complaint is that check-in was advertised as 2 pm, but when we turned up at 2.25 we were told the room would not be ready for another half an hour (unless we wanted a smoking room, which we were told would smell strongly of smoke). This upset our tight schedule, as we had to return to the hotel to check in later. Staff were apologetic, but the hotel needs to get its act together. Why clean all the smoking rooms first??	
Sep 26 2005	Quiet at the back	I spent six months at this hotel as it was my firms prefered choice. Mostly the hotel is average but clean its biggest down fall are the rooms at the front of the building. Having no double glazing the noise that intruded each and every night was enough to keep me awake. Upon booking the staff seemed determined to place customers into these front rooms and it took a bit of haggeling to get them to release the rooms at the back. My biggest complaint was lost items. On three occasions I left valuables in the room on a Friday only to be told on a Monday when checking in that the cleaners did not find the items in the room. Maybe this is the norm for London hotels or any large city hotel but it does not make it acceptable. Second complaint concerns the bathrooms, although adquate most of the rooms I stayed in had no seal in the shower/bath. Therefore after every shower one needed to dry the bathroom floor. The staff were always friendly. The location is great. Just install some double glazing.	
Sep 16 2005 	Better than average	I just stayed here for one night and a day for a training course. The room was small but well fitted and everything worked. It can be noisy, but I find that earplugs solve that problem. The service was surprisingly good, from the front door onwards and the restaurant and conference staff could not have been more helpful. I was very surprised to find such service at this price in London.	
Aug 22 2005 	Great Hotel	Stayed here on a business trip and it exceeded my expectations. Sleek, boutique-like rooms (small side, but that's expected in London!). VERY comfortable bed and nice bathroom. Also highly impressed by the free internet room on the lower level. About 8 computers free to guests 24 hours a day. The bar staff was very nice and made us some fantastic mojitos. Locaion is great-- just blocks from some hip restaurants and right next to an underground station. Will definitely stay again!	
Aug 19 2005	Loved the Radisson Edwardian Grafton Hotel	This hotel is wonderful. The staff is very pleasant, helpful, knowledgeable and friendly. The rooms are excellent, clean and beautiful. When walking down the halls the housekeeping staff is so nice and friendly. I noticed the housekeeping staff dusting the tops of the door jams and tops of the picture frames on the walls, so thorough! The location is superb, about a 10 second walk to the Warren Street tube stop. It is also walking distance to anything you may need or want. We liked this hotel so much we went back and stayed another night.	
Jul 7 2005	Pleasantly Surprised	Having stayed in various large busy London Hotels was surprised by the Grafton with regard to cleanliness,quietness (had an 'inside' room) and very pleasant and well trained staff.The room decor certainly does not appeal to us, neither did the hard chairs in the bedroom. Bed was comfortable but would not like to stay during a warm spell as room air conditioning seemed inadequate and was quite noisy!But all in all it surpassed our expectations.	
Jun 27 2005 	beware grafton st. side of hotel...	Booked a business room, got in, small room, as others have commented. agree with &quot;tatty&quot; as another description.Booked business for the included wireless. Guess what? no wireless signal at all on that side of the hotel.Kept calling the concierge either to get it fixed - they couldn't - or get moved to a room that could.There were no other no-smoking rooms available in that grade of room. I suggested that they upgrade me, then, to whatever the next class of room was so i could get to work. This was not possible. I suggested that they discount my room rate (also noisy as all get out on the first floor on that side of the hotel with bizarre floor to ceiling strip windows).The concierge disappeared from the phone saying he'd call back with &quot;something&quot; - after 15mins, i called again - had to go to a meeting - he said he was looking for a room for me and would be back in two minutes - ten minutes later called again: look, i'm sure you're very busy and it's nice of you to be trying to find a solution, but i'm really running late now...He's on his way up he says. Ten minutes after that i say, we'll sort this out later i have to go...my colleague is coming up right now to show you to another room, a suite. Ok. if not here in two minutes i'm out the door and we can deal with this later.The suite, on another side of the hotel looking out on totem court is lovely. really nice and the wireless actually works. so who can complain?well, this is one of the hottest days in london and the AC is not working - it's just the fan. I bring this to the person's attention who's taken us to the suite - yes today the engineers are working on it.The next day, still just fan, no ac. Call the reception. Tell them there's no AC. also the safe is locked, can you open it? 45 mins later, no one up to open safe - that would be fine if they told you it would be 45 -but they say &quot;he'll be right up&quot;. What does &quot;right up&quot; mean?Anyway, was repeatedly told that the AC was working. IT had been fixed. Guess it was all in my head - and in the head of the cleaning staff who openned all the windows because it was stifling.So, if you can stay in the suite, it's a fabulous hotel. Plainly that's what one other reviewer thought who was upgraded right away to the suite. IF you're a regular punter, the rooms are tiny and tatty; if you're at the next level, with business the rooms are still tiny and tatty and the wireless may not work. expect delays if you need to move. The concierge did find a solution to my problem - at least the wireless one, if not the AC - and it was one of the nicest hotel rooms i've stayed in. really lovely. but it took repeated requests for service, and not much back on the communication side to keep the customer informed of what was going on. On the high side, unlike some of the other reviewers, perhaps they've improved the breakfasts, because the food was good: the mushrooms were fresh, the grapefruit slices tasty, it would be nice to have cereal options that are not all with sugar (oatmeal anyone?), but soymilk was offered as a beverage or cereal &quot;milk&quot; - and that's a welcome first in my experience.I've stayed at the Edwardian by the British Museum. The rooms are better - though not bigger, and the dining room smaller, more modern and the food good. If i had to chose between the two, i'd go with the other one, but the location of the Grafton is ideal if your work takes you to that end of town. right by a tube station and many buses. a real mix. Some staff seemed knowledgeable if a tad taciturn; others seemed out of it; others definitely were working through some english as a second language issues. and as another reviewer pointed out, there are only 5 tv stations, and even in the suite the reception was surprisingly fuzzy.If you've got cash to burn, or have a special occaision coming up tho, and want to be in london, book the suite directly - the one on the second floor - you won't be disappointed. But as other reviewers have said, if you're in a regular or business room, the only real plus is the location.	
Jun 20 2005	I recommend the Grafton Hotel	The pro's far outweigh the cons at this hotel. I have stayed in 3 room types at this hotel - a standard double, a deluxe King and a Suite. All were above average when it comes to London Hotels. The Warren St tube station is right next door, so convenient to everything. We also saw We Will Rock You at the Dominion Theatre which is very close. The rooms were clean and the staff were OK. The Suite was magnificent. Of the 5 computers in the Business Center, only one was ever working. We reported it every night were were there (so 5 times total) but the others were never fixed and the staff couldn't have cared less. The breakfast was magnificent, and we always ate big and didn't need lunch. The only thing that I feel really needs work at this hotel is new carpets throughout. The carpets in the corridors and rooms all had wear, tear, and small stains.	
Jun 1 2005	Good Location Okay Room Bad Everything Else	I would not stay here again. The check-in staff was great but the rest of the staff was rude and we almost missed our plane because of them not recording our wake-up call. The room was okay but nothing special, the bar closes early and the staff only wants to help you if you want to spend some money with them. We were treated very poorly on check-out. There are better places to stay in London. We booked through a third party website and though everything was taken care of but they piled on charges on top on what we had already paid and would not take them off even when we showed the reciept. Maybe we were there on a bad couple of days for them.	
May 30 2005 	Very rude managerial staff	Most staff are courteous. But the lady manager who attended to my call for laundry was very rude. It was a Saturday (21st May) when I called for laundry. She showed up, pulled my laundry open to scatter everything across my bed. Then she demanded that I personally count every article of garments in front of her with a rude, commanding tone.Certainly this is the most awful I have ever experienced in a hotel that charges UK 1.4 pounds to clean a pair of socks.Furthermore, they did not respond to my complaint.	
May 23 2005 	A Good Deal?	I managed to get a good deal through lastminute.com, 2 deluxe king size rooms for £118 each.We had requested an early check in and were able to get into our rooms by 1.30pm. The hotel staff were welcoming and checked us in efficiently although my friend and I did not have our credit cards swiped at the time (this was to become a problem!)Our rooms were quite good (they did differ), a bit dark but well appointed, (don't expect a view, I overlooked the centre square with all the machinery etc. and my friend had opaque windows and no view at all). The rooms were nicely decorated and had huge comfortable beds with great bed linen &amp; pillows. The bathroom had good sized towels and flannels with all the amenities I could ask for, shower cap, emery boards, cotton buds, cotton wool, body lotion &amp; hair &amp; body wash, hooks for wash kits &amp; dressing gowns and shelves for when you were in the bath/shower. My room had a 2 seater sofa and a desk area with modem point &amp; double plug socket. There was a remote controlled TV which I think was on the wrong side of the room as anyone on the one side of the bed would not easily have been able to watch TV in bed.There was an iron, ironing board and a hairdryer + a wardrobe that had lights that came on when you opened the doors. Air conditioning was also available. One word of warning don't pack the slippers they cost £30 a pair and the cost of the bath robe was something like £85, so be warned.Restaurant was light &amp; modern, evening menu gave a fair choice and the main courses and the buttered vegetables we chose were excellent. The same could not be said for the cheese platter, we decided to share and were presented with one plate with approx. 12 cheese biscuits on + 3 small pieces of cheese (nothing like the selection offered on the menu) and one very thin sliver of celery (which was hidden under all the biscuits) + 1 empty plate. We requested more celery and grapes, the grapes finally materialised but no more celery, the cost for this poor choice was £7 not good value for money at all. Our problem came when we asked to charge this to our rooms as they would not do this, as we had not been authorised so my friend had to go back to the room to get her credit card and pay for the meals &amp; drinks.Room was relatively quiet once people settled, but one of my curtain blinds did not work properly and let in a chunk of light which woke me far earlier than I wanted. There were tea &amp; coffee making facilities and a mini bar in the room if I had wanted to avail myself of them.Breakfast cost £15 and had a good choice of foods, including the usual fresh fruit, cereal and bread products, this was good value and the staff were very helpful and polite.Would I stay there again, Yes if I could get it a good price, it's very convenient for Warren Street tube station and not far to walk to the main shopping areas.	
May 4 2005	Good hotel great location.	My wife and I stayed here for only one night to see We Will Rock You at the Dominion. Even though we were only staying for one night we were made to feel welcome and given a room at the quieter rear section of the hotel. After reading previous reviews on this site we were slightly apprehensive as to what were about to be given, but what we found was a very well decorated room (small by US standards but average for London) which was very clean which had a large marble bathroom with modern fixtures and fittings. After the show we used the very well appointed bar and the curteous staff never let a glass get empty. Next morning we sat down to a full english breakfast in Astons restaurant, so called as it is the original meeting place of the Aston Martin owners club, the meal was as you would expect and served in excellent surroundings. Anyone wanting a Hotel that is within a five minute walk to Oxford street and the same to the Dominion theatre that is clean and beautifully decorated need not look any further, I have to say the critics on this site must have previously stayed at the big house at the end of the Mall (buckingham palace).	
Apr 28 2005	Fine Hotel - good location	My wife and I stayed at the 'Edwardian Grafton' hotel for three nights between 21st and 23rd March 2005 to celebrate her 40th birthday. We were extremely pleased with our room ( upgraded to a suite ). The decor was modern and clean with imposing dark wood wardrobes and headboard complemented by a 2 seater black leather setee and glass table and chairs.This was all set off against an impressive mahogany coloured wooden ( or wood effect ) floor. The bathroom was considerably larger than average with a very handy double 'walk in' shower, bath and large trough-like sink - ideal for two people to use at the same time.While we didn't use the bar or have an evening meal during our stay, we found the buffet breakfast to be as good as you could expect.The location itself was extremely convenient. Simply turn right after emerging from Warren St. station and it's about 40 metres away on the right. Euston station itself is only one stop away which means you can quickly hook up with other underground lines.I can't understand some of the negative feedback I've seen on this site regarding this hotel. All I can think of is these people must be used to standards more suited to the Sultan of Brunai. I've stayed in many hotels in London through business etc. and, for the price this has got to be one of the best.	
Mar 1 2005	Only use on expenses	Stayed one night end of Feb 2005. +The place is ok - if its for one night and you're on your own.Right next to warren st tube station. And tesco express. and mcdonalds.great bar arealol at the price list in the room for its contents - eg £300 for the bed throw (Next £30), £40 for the basic travel kettle-Fixed shower - hateful. Fixed soap/ shamppo on the wall - also hateful - having to STAND up when in the bath to get a handful of soap.Standard room very small.I'm glad I wasnt paying (my company were paying £100 a night).	
Jan 29 2005	Disappointed with the Radisson	Given the price and reputation of this hotel chain, I was very disappointed. Room was tiny, and the badly designed bathroom made it difficult to get in/out of the bath. The breakfast was lousy, raw mushrooms and uncooked tomatoes along with watered down orange juice and dirty glasses. There are better hotels in London at better prices.	
Jan 11 2005	Gloomy	It's OK for a night but i am glad that it was a booking for which I wasn't paying.The reception area is utterly devoid of anything resembling comfort and as there are no seats they certainly don't encourage you to loiter. The bar and restaurant are clean but lacking any form of charm and the 'strip' lighting in the latter gives it all the ambience of a canteen in a Soviet tractor factory.My room was clean and comfortable but extremely small. They provide an iron and an ironing board and they are attached to each other by a cable. One can try folding the whole affair away while the iron is still hot but it isn't advisable as the blisters on my hand will testify. If you let the whole affair cool down you find yourself having to squeeze past it in the pitifully small amount of space that is left.The shower cubicle was miniscule and the fixed head shower angled so that in order to test the temperature you had to keep the door closed with just sufficient space to put your hand inside and risk a scalding.Overall the place lacks any form of charm and is clearly geared to getting you in nd out as quickly as possible. For a short business stay it's OK but not for a leisure stay.It's getting tatty a well!!!!!!	
Jan 6 2005 	Good Hotel-Great Bar	Stayed for one night on business - had booked a deluxe room and was upgradedfree of charge to a corner Suite, beautifully furnished, comfortable bed and absolutely huge. More windows than I have ever seen in a hotel room. Road noise could be heard but was ok. Bar servive was fast and friendly, check in pretty quick. Not stayed here before and have not seen the standrad rooms but first impressions mean I would return.	
Jan 4 2005	Very good Location Plenty of Extra facilities in Room	The problem with most reviews in Tripadvisor is that we do not know the price paid by the reviewer for the hotel room hence the difference in expectation. I for one found the hotel to be simply unbelievable for the price I paid for. Through lastminute I was offered a double room for £65 per nite without breakfast. Stayed from 1 Jan 05 for 2 nitesLocation.1 minute walk from Warren St. Underground station (Northern Line, One station away from Oxford Circus). I suppose you can walk to Oxford Circus since its just one station away but I didn't try. There is a Tesco just a few shops away and Sainsbury directly opposite. There is direct buses to Kingscross and Euston train station which is both about 5 minutes away. RoomRoom was adequately sized and comes with small table + 2 chairs, dressing area, TV (BBC+Foreign Channel+PayTV+Eurosports), Luggage Stand, Wardrobe, HairDryer, Trouser Press, Ironing board. Nicely furnished with a comfortable bed. The quality of furnishing is definitely much better than most 3 stars + supposedly 4 stars hotel. I like to have cold drinks every night and it was great that there was a free ice machine at my level (should be in every floor) with some plastic containers which you could fill up and bring to the room.Coffee/Tea making facility. There is a small fridge which charges automaticallly when you take the things out. OthersInternet was supposedly free in the Business Centre and it is opened 24 hours a day but I didn't have the opportunity to check it out. There is a gym as well. The restaurant, The Aston, is apparently a well known restaurant and you need to reserve tables to for it. There is a few newspapers available from the concierge desk for free every day. They also keep your luggage for you once checked out if you are not due to go home yet. Overall the price I paid for was even cheaper than the prices I used to pay for 3 stars hotel in London. Rack rate was slightly over £200 a night, but nobody pays rack rate anymore I suppose.	
Dec 31 2004	OK for a short stay	Stayed here December 2004. Room was comfortable, small, but fine for one person. Room service food was good quality, but expensive London prices. Location OK if you want Oxford Street shops, but I prefer Knightsbridge. There is a small but adequate gym. Good value for the internet rate I paid.	
Nov 5 2004	Not! for Vacationers	The Radisson Edwardian Grafton is not, I repeat NOT a place to stay if you are on vacation. You could live through one or two nights on business but you definetly do not want to stay there on vacation. First off, the location. It is not as near to Regents Park as you're led to believe. That's a good 6 blocks away. This hotel reminded me of being right on Times Square, except there is not one good restaurant within walking distance. Seriously, not one. It's on a very busy and noisy road. There is effectively no lobby to meet in. So you have to meet in your room or in the bar with all its smoke. As the web site pictures show, Radisson did try well to renovate the property, but it does not look like the pictures anymore. It's already run down again, and the maintenance is terrible. We got a 130 Euro rate each for two standard rooms off the internet with breakfast. We got in a little early, so I tipped the front desk clerk $20 to make sure we got decent rooms. She upgraded us to deluxe rooms. One room for our daughter was OK, but we had to move from ours after one night. The mattrress was horrible, the A/C was ineffective, then there was this rubed up electrical system where to turn on a light in the bathroom, you had to turn on a spotlight right over the bed where the other person was sleeping. The 130 volt AC plug didn't work. Forget internet connections. There is no provision for high speed or broadband in the rooms and dial up didn't work either . You have to go down to the Business Center in the basement where there are about 6 PC's of which generally 4 were working. Then you had to wait in line to find one with a working internet connection down there, then wrestle the ethernet connection from it. The place is dirty. Really filthy. The carpets, particularly in the hallways were badly stained, and after 6 nights there, no one was working to clean them. We moved after the first night, and it took us looking at 4 others to find one that we could accept. However, even after all that the hallway on the fifth (top) floor had an incredibly foul mildew smell. The people there, concierges, wait staff were all very nice and they tried to make it right. We got credit for our first night in one room. It wasn't their fault the place was run down. Breakfast was typically British. Cold runny eggs, raw bacon, cold toast, and some coldcuts with contents that look toxic. We love London. But we have yet to find a place that is decent for around $200/night. You either get a place like this, or have to spend at least twice that amount to get someplace nice. But I would still tell anyone I know to avoid this place.	
Nov 3 2004	Good Location and standard	Highly recommended hotel with helpful concierge, well appointed rooms and good food.	
Oct 5 2004	Good choice	We stayed at the Grafton on a recent business trip to London. The hotel consists of two building. We stayed in the older building. The rooms are spacious and very quiet. We enjoyed our stay and I can recommend this as a good choice.	
Sep 25 2004	Impersonal Pomp	I stayed in this Hotel at the beginning of August for four nights. As someone who has worked in hospitality for the past 7 years i know what to expect from Hotels. I currently work in the Top Hotel in NI. Check in was fast, efficient and the lady was pleseant. The room was disappointingly small and faced the back where the constant drone from the a/c could be clearly heard from the room. Concierge staff were like planks of wood quite frankly, rude, abrupt and seem to think that they are the most important people in the Hotel, i think not!! Almost had to tap them to get attention. Over all could be a nice Hotel but lacking in basic staff training and needing a vast make over!	
Sep 20 2004	Very nice hotel!!	I stayed in this hotel for one night when I went to see We Will Rock You at the Dominion Theatre. Had a really good night, the show was excellent and I would definitely recommend going to see that and then staying in the Grafton.The hotel itself was really nice, I don't know what all the complaints are about on the other reviews! It was very modern and chic, but comfortable at the same time. When we checked in we were told that our two rooms that we had booked had been upgraded to deluxe rooms, compliments of the hotel. That was a nice suprise! The room was pretty small, but it was ok, I didnt need it to be any bigger, I was only staying for one night after all. The bed was very comfortable, I had a lovely sleep that night! I was also very impressed that we had bathrobes and slippers in our room! The breakfast was nice in the morning, a buffet so help yourself but waitress brought over tea/coffee and toast, restaurant was nice. Overall an impressive hotel. I would definitely stay in a Radisson hotel again.	
Aug 14 2004	Room no bigger than a shoebox	This is the second time we have stayed at the grafton after reading good reviews at trip advisor. The first time we were upgraded to a suite. Not massive but big for London.We booked again for 1 night in August. The room was 10x7 and was then cut off on an angle. My wife actually became claustraphoic. Would have been OK if you are paying £50 a night but not acceptable at nearly £100.The bathroom was nearly as big. Was clean and functional. Would not stay there again.	
Aug 5 2004	Getting tatty rapidly	We stayed two times at this hotel, the first time was spring 2003, the second time was januari 2004. We came back because the first time was a comfort stay. Next stay one gets used to the hotel so it wasn't someting verry special. The first room they gave us did not satisfy me, so we decided to upgrade. That room was a little bit better (bigger/nicer view) but it wasn't verry clean (big mould underneath the wash-stand) and the hotel is getting tatty verry rapidly. Staff did there best and were friendly and you have an undergroundstation at the corner. Conclusion : Ok but noting special, not sure I would stay here again.	
Aug 3 2004	Great stay at Grafton	We stayed at the Grafton for the first time. We had a very good time. Hotel staff were very pleasant and friendly. We had a double room with a king size bed. The linen was crisp and clean. Bathroom was marble and fresh towels every day. Breakfast was excellent, plenty of choice. I would recomend this hotel to friends and family. We stayed 29.7.04 to 01.8.04.	
Jul 30 2004	Great Rate Grafton	We spent 7 nights at the Grafton with our grandson in June. Had a triple room, and they turned the sofabed into a wonderful double bed especially for him. We had a terrific king bed - great for Europe! Bathroom marble &amp; granite. Breakfast &amp; vat tax included in the rate. Excellent location - 1/2 block to the underground: Warren Street Station. We'd definitely stay there again.	
Jul 19 2004 	Dr from Midlands	Hotel was clean, and rooms were nicely decorated, not up to usa size, but we are not in the states.Bathrooms were normal size, how much space do you need !!!!! nice recently refurbished in marble, all new fittings.bar pricey, but nicely decorated.good location for warren street tube.if you get a good price under 80 gbp per room per nite then stay, its good value for london.easiest way to get around is to cab it!! or tube	
Jul 16 2004	What is all the moaning about????????	My god why all this moaning and groaning? Yawnnn! There is absolutely nothing wrong with this Hotel, ok it may not be the 4 star hotel that the Americans and Canadians are saying they are used to, fine if you don't like it go and find another one! Simple isn't it? We found the staff helpful enough, no real problem with them at all. The meals were acceptable and I am sorry to disappoint but the rooms were nice, comfortably furnished and clean. We stayed on a combined hotel and theatre break which was very enjoyable.The room service was punctual and polite. ok maybe the staff are a bit surly, but remember you are in London and not at an Orlando theme park!Has for being paid poorly, I don't think so. It is London not Leeds.	
