	Great hotel quiet location ideal for weekend away!	We stayed at the Apex for a weekend in November based on the reviews from this site. We were not disappointed. We stayed in a King Deluxe room on the first floor and the room was HUGE! The bathroom had a large bath and a walk in shower.My only gripe was that the pillows were terrible! The standard ones are feather so I would suggest ordering extra or foam ones for a more comfortable night.The room was VERY quiet for London as we could only hear the wind in the trees of the small square opposite our window. It is within 3 minutes walk of Tower Hill tube station, which will take you to Embankment which is only a 5 minute walk from Leicester Square etc. Ideal for Tower of London as it is just across the road. We didn't have any food in the hotel as there was a pub just around the block that did full English breakfasts for £3.99 which was OK for us. There is also a pizza place, noodle bar and various other eateries within a 5 minute walk. I would also suggest walking over Tower Bridge and walking towards London Bridger on the South Bank as there were a multitude of places there.All in all a fab weekend at a fab price.	
Sep 8 2008 	great hotel	Really nice hotel. Convenient location just a few minutes walk from the tube. The room was really clean with a really comfy bed and a great bathroom with seperate bath and shower. Nice and quiet too. No complaints at all.	
Sep 6 2008 	Loved It! An oasis in the centre of London	Booked this hotel for a long weekend in July and had a fantastic time. The rooms were lovely and well equiped with a fantastic huge bathroom and TV with DVD player. We were booked in for room only but ate from the bar menu the night we arrived and the food was great. The bar has a open fronted terrace looking onto a lovely little square and it is hard to believe you are in the centre of London as it is a lovely place to sit and have some food / a drink after a hard days sightseeing. The hotel itself is situated in the business district of the city and the area is quiet at the weekend but the tower bridge tube station is literally a two minute walk away and will take you straight into the buzz of the city.	
Sep 1 2008 	Gem of a hotel	Loved this hotel. There are not many hotels in London that will live up to expectations but this one did. The hotel is spotless, the rooms modern and very comfortable. The staff were all friendly and the buffet breakfast was excellent. We appreciated the generous amount of toiletries in the bathroom and the large walk in shower. The hotel is in a great location as it is in a quiet street yet just a short walk to Tower Hill tube station and the Tower of London etc. I would stay in this hotel again.	
Aug 31 2008 	Apex experience	Really enjoyed our stay.Hotel well situated. Near transport.Lots of tasteful and imaginative touches.Very pleasant and helpful staff.Reasonable price.	
Aug 29 2008 	Bargain for the weekend	Once again we had an excellent stay at this top quality hotel.This hotel does very good rates on the weekend - less than £100 per night - for what is essetially a top quality business hotel during the week.Therefore you are getting top notch service, reasonably spacious and elegantly furnished rooms and a superb location near the Tower of London.Breakfast is extra, but getting pankcakes, waffles or eggs benedict for a leisurely in room breakfast is the extra indulgence that can make the weekend a real treat.I like the location, a few pubs and sites nearby, but to get into town the Tower Hill tube in a few minutes away and taxis to the West End etc are reasonably inexpensive and easy to find...	
Aug 28 2008 	Another glowing review for the Apex.	I stayed at the Apex in a City King room (just the standard category) just for a stopover en route, and it was everything I'd hoped it would be from all the excellent reviews on TripAdvisor.I loved the location- just a minute or two from the Tower Hill Tube station in a very business-oriented neighbourhood that was both very safe and very quiet at night, and fairly bustling with men and women in smart suits during the day. When I arrived at the hotel, backpack-laden and fresh from three months in Africa and southern Europe (and therefore no doubt looking a bit dodgy), I was still treated with extreme politeness and friendliness as I checked in. Every staff member I encountered at the front desk made a real effort to ask me how my trip had been and things like that...I felt very welcome despite my extremely casual clothing and overall state of disrepair.My room had no view, as is pretty usual in London, but it was spotlessly clean and compact, with good-quality bed linens, a flatscreen television and DVD player, and lovely bathroom with a tub and separate walk-in shower (as well as a subtle speaker in the ceiling that could be turned on to play the sound from the TV, DVD, or radio.) Bathroom toiletries were all large (125 ml) and included conditioner, not just shampoo, which I was very pleased with. The hotel's complimentary DVD library is a fantastic bonus too if you're looking for a quiet night in.I ordered room service for both dinner and breakfast (too exhausted to leave the hotel...) and both times I was served by more incredibly polite staff members. The food itself was well-prepared and well-presented by the onsite Addenum restaurant, and delivered while very hot and obviously direct from the kitchens. Decent wine selection and a varied menu, too...most definitely above average room service dining.Overall, I found the Apex to be wonderful value- reasonable rates for central London and a really great property.	
Aug 27 2008 	Possibly one of London's Finest	We (myself and significant other) stayed here for a weekend in January to celebrate an anniversary.I had been searching high and low to find a decent hotel with a half-decent location in London that was affordable since October. This was a tall order, but the Apex City of London far exceeded our expectations.The hotel is in a converted office building (pretty standard for where it's located), and is a stone's throw away from the Tower Hill tube station - getting there is incredibly easy, just don't do what I did and misjudge the distance from the tube to the hotel and walk right past it! Checking in was not a hassle at all, and the reception staff were extremely friendly (we arrived at 10PM) and were happy to help with any queries, their concierge service was also spot-on.To say that the hotel is clean is an understatement, it sparkles - there's a spotless finish to everything, even the rubber duck that they state in the room book that you can keep (I think they know that people would take it anyway!). The rooms have a very clean, crisp modern décor and are rather large in comparison to other London hotels I have stayed in.The hotel itself has a prime location for tourists - a 5 minute walk brings you face-to-face with Tower bridge and the Tower of London, as well as a dock for the Thames Clipper.	
Aug 21 2008 	Modern bright hotel	The hotel is right by the Tower of London and a great place to stay, especially if you plan to see this attraction. The nearest tube station is a couple of mintutes walk &amp; as it's on the District line other attractions are never far away. If you want to stretch your legs you are right by the Thames - It takes about 20-30 mins to walk by the river to the London Eye, (as we discovered one night when the tube line was down!)The hotel is lovely - very clean and modern, friendly staff, great rooms. We were upgraded on arrival, which is always a bonus too! I thoroughly recommend it but I cannot comment on the bar or restaurant as we did not use them - but they looked nice!The Tower area is very quiet on a weekend, but there are some nice pubs near by (eg &quot;The Hung, Drawn and Quartered&quot; - dont let the name put you off its a very friendly pub!) and there are restaurants near by too. It was quiet, but had everything we needed and the tube makes everything else so near anyway in London.Eg of a perfect weeekend in London - Arrive Friday, check in to your nice (Apex) Hotel, then head to Covent Garden for dinner and a show. Saturday, do the Tower of London (Make sure you do the Yeoman tour, as they are full of knowledge and jokes!) then after go to the pub for a great British footie match and a few pints with the locals, then onwards for a curry. Tempted?!I would definately stay here again and think the value for money was excellent.	
Aug 19 2008 	A Great Find!	I was discouraged by the high cost of lodgings in London where our 3 week stay in UK would end, so Apex was quite a find. Not only was it reasonably priced and well located near the Tower Bridge underground, but it was slick, spotless, roomy and felt very upscale. Their cafe was always disappointing, but I'm not sure London is known for its dining experiences. There's a great pizza place not far, and there you'll find great Italian fare. But the hotel itself was terrific and I'd go back there in a heartbeat.	
Aug 18 2008 	Excellent value for money	Stayed for just one night in transit at this hotel and was suitably impressed. Rooms are not huge but a good size and incredibly clean and tidy. Staff were friendly and helpful. All in all, a great experience and considering some of the other options in London, this was excellent value for the price.	
Aug 16 2008 	Great getaway weekend	Booked this hotel for a Theatre weekend for myself and my partner and also for a ruby wedding anniversary present for my parents. We had previuosly stayed at the Apex City Hotel in Edinburgh and on the strength of that stay which was excellent decided to stay here. It didn't disappoint. Room was large and very comfortable and included a sofa in front of the tv which made a change from sitting on the bed to watch TV. Excellent large powerful showers and nice accessories. The Rubber duck is a nice touch, our Edinburgh duck has a little friend now.View out of the window wasn't great.... overlooked the office block at the back but i wasn't there to gawp out the window so it wasn't a big deal.One small criticism.........was looking forward to a couple of nice cold pints of lager after coming in from the theatre but they'd only gone and ran out!!!!All in all a great stay and thoroughly recommended.	
Aug 14 2008 	A perfect stay at this gem of a hotel! A* Service.	There is no doubt that the Apex City of London hotel is one of the nicest hotels I have stayed in. It’s small enough to feel personal and ‘boutiquey’ but large enough to provide you with all the luxury extras you could hope for. From the moment we checked in – greeted by smiling staff, I knew it was going to be great. We were treated wonderfully by reception staff, even getting upgraded to a lovely deluxe room. The room itself was gorgeous – big, airy and spacious. It had everything you could possibly need for a few nights away, bathrobes, lovely smelling toiletries, mineral water and snacks, CD player/DVD/TV, squishy sofa with magazines and newspapers and a wonderfully large comfy bed!! We had the room service breakfast on our last morning – they had such a wide range of delicious things, it was hard to choose what to have! It arrived exactly when we had specified and was really fresh and tasty. We also had cocktails in the bar one evening, which was lovely – an extensive list and again, friendly helpful bar attender. Being a musical addict, I stay in London quite regularly and have never come across a hotel as good as the Apex - especially at such a good rate! It is worth every penny. As we stayed on a weekend where the underground service was really poor (half the stations closed!) we had every reason to be grumpy - but the second we walked through the door of the hotel we were reminded that there was at least one great element to our trip!! I will absolutely be staying in this hotel again on my next visit and encourage everyone else to do the same!!	
Aug 12 2008 	Unexpected surprise combination accommodation quality of service and food	I have stayed at this hotel with my son during the weekend of 8 August 2008.The reviews were perfect already. This hotel is indeed truly perfect. The combination of the quality of the service, very kind, helpful and service minded staff make it worthwhile to return to this hotel. Very good tube connection 2 minutes from the hotel. And the quality of the breakfast/dinner/room service is very good.Will definitely stay here again and recommend the hotel to others.	
Aug 12 2008 	Attention to detail attentive staff	We booked a room as part of a package which included admission to a London exhibition and were very pleased we did. A first class room with great attention paid to the small details and friendly, attentive staff made this a very pleasurable part of our weekend in London. Located close to the Tower, it's worth crossing the bridge on foot and strolling down the Queen's Walk (?) to the Globe. Also recommended is using the quicker river taxis as a tube alternative.	
Aug 11 2008 	Style and class at the Apex	Check out the Apex. Reasonably priced within a very short distance of Tower Hill tube and Tower Bridge. The hotel is modern and classy and the rooms fantastic. Great thought has been given to customer comfort and the staff are really friendly. Definitely a hit with us and well worth a visit.	
Aug 11 2008 	Excellent hotel	Stayed here with my wife for a weekend and we were very happy with what we found. i booked based on reviews here and found it to exceed my expectations. My expectations for a hotel are receptive staff, efficiency at reception, and a good nights sleep. All these were met but the room was far better than the price suggests, the service was generally above the level that i would have expected and the location was great.I would definitely recommend this hotel to friends or family. I will stay here again if in London.	
Aug 11 2008 	Loved the Location	I booked direct with the hotel after reading reviews, we wanted something central but modern paid £100 for double room only. Check in was easy. Room was No 413 and no views just office blocks, cant open windows either and the air con was soo noisey we had to turn off but woke up boiling hot. The room was really clean and bathroom was lovely one of the only hotels ive actually had a bath in and shower was powerful. All mod cons and small fridge was handy for bottles of wine.	
Aug 8 2008 	A really friendly hotel	We booked this hotel as a 'mystery' hotel on Lastminute for a weekend break, paying £102 for a room on a Saturday night.It's in a great location, tucked away but easy walking distance to the Tower.It's obviously geared up for business travellers, but at weekends they seem to try really hard to fill the rooms with the likes of us. The reception staff were friendly and gave us a voucher for two drinks in the bar and 50% off in the restaurant. It almost seemed a bit desperate actually, but we didn't get a chance to use them as we had already arranged to go out. I'd have been quite happy to eat there though - it looked fine.The rooms were modern and plush, clean and had plenty of nice little touches such as free mineral water and even a rubber duck to take home!I'd happily go back, preferably at the Lastminute mystery rate!	
Aug 6 2008 	Brilliant	ExcellentWe first saw this hotel in Edinburgh and heard good things about it, so wanted to try the one in London. Checking in was simple, they looked after our bags until our room was ready. The first room was by the lift which has a loud speaking floor announcer in it, so best to avoid rooms near the lifts.We were moved to a better, quieter room with no fuss. We had a back room with no special view but you get the traffic noise if you have one at the front.The room was clean and well decorated, and even had a fridge! Very useful in the very hot weather we had that day. The air con was good too, essential in the heat of July in London! There is a separate shower and a bath. There weren't enough hanging rails for the towels tho. The duck is lovely addition and you can take it with you as a souvenir.We had an evening meal in the hotel and it was excellent. Good choice of wines and cocktails.Breakfast was lovely, had all the continental variety you would expect. For anyone who wanted to have a full breakfast, they had a Scottish (Braveheart) breakfast including haggis!Highly recommended for anyone wanting good value and style in the City of London.	
Aug 1 2008 	A gem in a sea of mediocrity	Finding fault with this hotel is really in the realm of the picky. The bathroom was silly, with the lighting only illuminating half your face, and no towel rails handy for the shower. The window is see through as well...draw the blind unless you really want to entertain the builders and office workers outside. Wardrobe space is tight for two - the ironing board fills up half of it. The phones fall apart when you try to use them; all the usual &quot;Philip Stark, eat your heart out&quot; stuff that we don't need and will be passe in a year. For the rest, the staff are exceptional, the food is terrific, the location is unmatched (pop in the church next door and say hello to Sam Pepys) and it is spotlessly clean - i.e. it pressed all my buttons, Pricey during the week (although you can enjoy eavesdropping on City bankers worrying about their jobs) but a steal at the weekend. In this part of town, it's really a toss-up between the Swissotel and the Apex, but the Swissotel is in desperate need of an upgrade so the Apex is a clear winner, despite the Swissotel river views.	
Jul 29 2008 	Another great stay!	We stayed here for two nights on a weekend package that included continental breakfast. We arrived early to ask if we could store our bags but were told that a room was available for us and that we'd been upgraded! We were also given two drinks vouchers for the hotel bar.The room was great - very clean, larger than a standard room with a sofa, huge comfy bed, bathrobes and slippers and a lovely bathroom with a deep bath and separate walk in shower. Toiletries are very good quality - they smell nice and are in decent sized bottles.Breakfast was good - continental breakfast is a help yourself buffet with cereals, yoghurt, fresh fruit, bread and pastries, meats and cheese so there's plenty to fill you up. Tea, coffee and toast is served at your table and we found the waiting staff to be friendly and helpful.There's free wireless Internet in the hotel although the signal was a bit weak in our room. There was a cable for Internet access though, and that worked fine.We were able to leave our bags in the hotel's storage area when we checked out, which is really helpful.This was the second time we've stayed at the Apex and both visits have been enjoyable. It's my favourite London hotel by far!	
Jul 28 2008 	Stylish London Hotel with excellent all-round service.	Excellent proffesional service by all employee's in the hotel, from the reception to the bar. Rooms spotlessly clean with spacious bathroom. Good selection of tv channels available including sport and movies. This hotel is a gem, a real find which i will be returning to stay in the next time I'm in London.	
Jul 25 2008 	Excellent value around the corner from the Tower of London	The Apex City of London is a find, just a few minutes walk to Tower Bridge tube station, Tower Pier, and the Tower of London. Our rooms were spacious, spotless, and beautifully decorated. Staff were gracious and helpful. Excellent value.	
Jul 24 2008 	Great Location - generally good hotel	Stayed in the hotel for two nights. The location is excellent, offering greta views of Tower Bridge but also very handy to the Tube. Hotel is clean with modern decoration. Our room was good, although a little on the small side and we were overlooking the back of an offoce block. Shower was massive, although the room was lacking the little extras that make a good hotel a very good hotel. Breakfast was good.Overall a good hotel, although I have stayed in better in London for around the same price.	
Jul 23 2008 	Excellent Boutique Hotel	Excellent Hotel with very friendly and helpful staff, the rooms were excellent, large, modern and extremely cleanwith everything that you could wish for.Excellent Location, perfect for strolls down the embankment, try to find the More London address by the mayors office for excellent night time views of Tower Bridge.Highly recommended will stay there again and you get a free rubber Duck!!!!	
Jul 21 2008 	Faultless	Friendly helpful staff, a nice room, excellent breakfast and a very good price - this is a great London hotel.Location is a tad out of the way, but excellence of everything else made up for it. Tower Hill tube is a couple of minutes walk away anyway, and maximum half an hour by taxi gets you to the West End.Reception staff and concierge were all exceptionally charming and well-informed. Room was of reasonable size, bed was huge and very comfortable. Bathroom very nice, decent shower, nice upscale toiletries and liked the free bath duck. Decor clean and modern.Will definitely be back.	
Jul 20 2008 	Hello Ducky!	A great place to stay in London, quiet, yet near to the tube stations to get around easily. It is right by the Tower, and the river, we walked along the path near the river, as it was a nice day. A great shame about there being engineering works the day we booked in, but there you are!The room was spacious, and had a relaxed atmosphere. My freind and I had a room with a huge shower, and bath! As my freind said, 'I had to run round in the shower to get wet'! The bath was enormous, just one criticism was the safety bath mat, that moved and I didn't feel very safe getting out.The toiletries were of good quality, and generous sizes. We LOVED the duck placed on the edge of the bath, a great touch!The illuminated room numbers outside each room were really helpful, especially when trying to find our way back to our room after a night out!The staff were very freindly and helpful, sometimes it can feel intimidating in some hotels, but everyone was professional as well as freindly and looked after one of our senior party members, very well.The food was reasonably priced, and very tasty, we had breakfasts, and I thought the room service menus were reasonable too.We had a look at the gym facilities, but didn't go in to use the equipment!I would agree that it may not suit families very well, but we ranged from aged 50-80 in our party, and we still think of London as a different world from where we all come from (Ooop North). We all enjoyed staying, and having some luxury and a great way of starting and ending our recent holiday.Thank you to all the staff, and I would like the owners/and'or managers to know they have a great team of people working there.	
Jul 16 2008 	Great Hotel	Great hotel. Large room with 32&quot; flat sceen TV, love seat and a king size bed. Large bathroom with large tub and a shower big enough for a few friends. Room is modern and VERY, VERY clean.If you use the provided robe and slippers, you'll get a clean one the next day. The bed linen was replaced every day. The staff is very quick to meet your needs.The hotel is near the Tower of London and does require a ride on the Tube or a bus to get to central London but with an all day ticket is no problem. Both the tube and the bus are a short walk from the hotel as is the Fenchurch railway station.I would recommend this hotel to everyone except those with small children.	
Jul 15 2008 	Lovely hotel in good location	This was a lovely hotel located very close to a tube station. It was ideal for visiting the tower of london and there were a few places to eat nearby. It was quiet and peaceful. The toiletries were good and there were free rental DVD's.	
Jul 14 2008	Great place to stay	Fantastic hotel, fabulous service and excellent rooms!We were lucky enough to obtain a room upgrade when checking in and this made our 10th wedding anniversary stay very special indeed. The room was spacious and incredibly clean, the staff were friendly and helpful and overall I have no complaints at all!We would definitely stay again and wouldn't hesitate to recommend to our friends and family	
Jul 14 2008 	Great hotel for a budget traveler	When I booked this hotel, it was #1 on tripadvisor...not sure why it's dropped to #6! This hotel is mainly suited for the business traveler which is why it's located in the business district. My husband and I went to London for a weekend getaway, and loved the hotel. We stayed in a basic room for around 90 pounds per night. The room itself was small, but the bed was a King, and we had room to walk around. There is a flat screen t.v. on the wall with a dvd player, but remember it only plays the UK region. We happened to have a U.S. movie and it didn't work. The bathroom is HUGE for European standards. What impressed me the most (and I know this is probably insignificant to most readers) is that they had shampoo AND conditioner! All other countries only give you shampoo, which is frustrating when you don't want to pack your own products for weekend trips. The design of the room is incredibly nice for the price and this hotel could probably charge a lot more and still get as many reservations.The hotel is also next to the Tower Hill tube stop. This was great for the first day, but the city closed the Circle and District lines for the rest of the weekend! This was very upsetting because we had to walk 20 minutes to the next station and after walking around the city all weekend, the last thing you want to do is walk 20 minutes to a tube stop. Of course we were stubborn and did not take a taxi....we were using Dollars! So check with transportation before booking a hotel next to a tube stop if you plan to take the tube most of your stay. Apparently they close several major lines frequently on the weekends for work.Summary: If you want to stay in a nice, trendy hotel and not spend over 100 pounds per night, this is the place for you.	
Jul 9 2008 	Very nice but not for families	We stayed at the Apex for one night (had a flight out of Gatwick the next morning). This hotel caters to business travelers primarily and is in/near a business district. However, you can walk to the Tower of London and London Bridge from the hotel. As it caters to business clientele, the hotel is very well kept. However, I would not recommend the hotel for families on extended stays. As you walk through the hallways, it is eerily quiet and you could imagine the business folks locked in their rooms busy at work. So, we tried to keep our little ones quiet. BUT, the room was immaculate. We had a king-sized bed, love-seat, bathroom with tub and huge shower stall and a business desk. The room was quite large by European standards and the rate was just over 100 GBP/night. So, for one night, it was a great deal and we thoroughly enjoyed the spaciousness of the room as it was our last night in London and an 8+ hour Transatlantic flight awaited us the next day. Therefore, it was nice to be able to spread out a bit. When staying in hotels, cleanliness is near the top of my list and the APEX did not disappoint. As I said, it is just not suited for families.	
Jul 9 2008 	A fantastic stay in the APEX!!!!	My partner and I stayed in the Apex in the City hotel for the weekend and very much enjoyed the experience.The hotel staff were extremely efficient and professional and we were able to check in quickly and easily. We were lucky enough to have an upgraded room for our stay, the room was extremely spacious with very clean and modern decor. Luxury toilettries were provided in the bathroom - along with the complimentary APEX rubber duck! We were also given a voucher to claim a free cocktail in the hotel bar that evening - a nice welcoming touch.The hotel is perfectly located by Tower Bridge and 5 mins walk from Tower Hill tube station. At night you can walk (10 mins) to St Katherine's Docks for bars and restaurants, some of which are open for breakfast if it is not included in your rate.I will definitely stay at this hotel again and wouldn't hesitate to recommend it.	
Jul 8 2008 	great hotel	I stayed at the apex hotel for only one night but wished that it had been longer!The room was on the 7th floor and had a great view taking in landmarks such as the tower of london, tower bridge and the swiss re tower. The room itself was fantastic, immaculate, modern and chic. It consisted of a bathroom, living room area, bedroom and veranda. The rooms were spacious (unlike many other hotel rooms i've been in) and stocked with everything i needed to enjoy my stay. The staff were great and very helpful, I especially liked the complimentary cocktails on arrival (they were delicious). I have already recommended this hotel to my friends and would definately keep apex in mind for any future trips.	
Jul 7 2008 	Loved the Apex City Of London Hotel	Booked the Apex City of London Hotel for 2 nights based on the reviews on Tripadvisor. I was not disappointed. This is the nicest hotel I've stayed in in London to date. The best points of this hotel are the staff, the rooms and the proximity to the tube station. The staff in this hotel were more than helpfull with all our requests.I will be staying here again.	
Jul 1 2008 	luv a duck	On arriving at the apex city of london at 11.55 am on friday 27th june thinking we could leave our luggage before the 2 oclock check in time in the hotel and come back later, we went to the reception, we where greeted with a big smile from the staff and asked our names and was told our room was ready to go in to wow what service. On entering our room on the second floor we gasped at the size of the bed, all the facilities you would need on your stay was in there, nice flat lcd tv on wall dvd player on glass shelf alarm clock radio on entering the bathroom nice power shower and separate bath what i thought was a light dimmer switch on the wall was in fact a volume control for the sound for the tv for whatever channel you where happening to be watching . you are catered for every eventuality in your room .oh yes the duck was in the bathroom. breakfast was excellent nothing too much trouble for the staff on your beck and call for anything you need ,well it is exactly what it says on the tin you will not be dissapointed with this hotel we will be back fully recomended to all our friends, short walk for underground tower hill ,very quiet over the weekend not a soul about . Mr&amp;Mrs Oldfield	
Jun 27 2008 	Once again amzing	This is our second stay within the year. This time for a special occasion and we bought along 11 other people with us. aged from mid tenties to lat sixties. Everyone member of our group had a wonderful time and loved the hotel. The location is one of the best, a short walk and you are on the river, in the other direction it's less than five minutes to the tube and a short journey into the centre of town.The rooms maybe on the small side, but they are perfectly formed and I still swear they have the best hotel bathrooms ever.The staff are all of the highest standard and make you feel like a true guest without fake smiles and non of the fake chit-chat that some hotels train their staff to speak.I can't wait to stay again and I would recomend this hotel to everyone.	
Jun 24 2008 	Reeeealy nice rooms	This was the nicest hotel room i've stayed in for a while..The location is quite decent as well.	
Jun 22 2008 	Really Impressive Value For Money	My daughter and I spent two nights at the Apex last week. We had been looking for a decent, convenient cost-effective hotel in the center of London. After checking TripAdvisor we decided to try the Apex. We weren't sorry! Being just a five minute walk from the Tower Hill tube station, it was a breeze to get to the Tower of London early in the morning and beat the crowd. The room decor was modern and new (including flat screen TV), the climate control worked great, and free wifi was a bonus. There was no free breakfast (it cost GBP 13.50) but the price was right nevertheless. I would definitely stay there again.	
Jun 22 2008 	Great hotel in the city	My partner and I stayed at the Apex on Saturday 21st June for 1 night, paying £111 for a superior king room.We checked in at 1.30pm and were quickly and efficiently assigned room 618 on the 6th floor. Check-in was super efficient and friendly.The room itself was extremely nice, with good quality linens, gourmet coffee, big tv and dvd player, fridge, air-con etc. The quality of the fixtures/fittings were excellent.The bathroom was pretty special. A huge, spottlessly clean bath with a complimentary rubber duck was waiting, along with some good quality toiletries which were massive in size. There was also a large seperate walk-in shower which was excellent. This hotel really excells in its attention to detail. Surround sound in the bathroom which meant you could listen to the tv, heated mirror which prevented the glass from steaming up etc, really sets this hotel apart from many of the others I have stayed in London, especially in the city area.I absolutely loved that local calls were free from your room, as well as a huge selection of dvds from reception which could be borrowed for a small returnable deposit.Staff were excellent, efficient and friendly, especially the reception staff.Perhaps my only one negative comment would be that we had went downstairs to the bar for a quiet drink but found a football match playing on the tv. I can only assume that since the bar area was quiet, the football match was for the benefit of the bar staff.That aside, our stay was fabulous and I am looking forward to staying there again. It would definitely be my number 1 choice and would recommend to my family and friends in an instant.Well done Apex hotel and its staff!!	
Jun 20 2008 	Very nice Apex	Stayed at Apex for 2 nights in January 2008, and on the overall, we had a very good stay.Location is good though not central, but tube is only 5 min. walk away and will bring you anywhere you need. Tower of London also 5 min. away, and the City is worth a visit for both contemporary architecture and old neighbourhood lovers.The positives are the staff, always very friendly. Hotel is very contemporary chic, sleek design, although not cold. We had a Deluxe room on the corner of the building with 3 windows on 2 walls overlooking the City (5th floor) ... Lovely view at night ! Room very spacious (king size bed, sofa, coffee table, big closets, desk area, nice decoration items), bathroom also big (tub, separate walk-in shower). Much more space than what you usually get in London for that price, it really had a little &quot;my own studio&quot; feeling attached to it. All amenities such as kettle, tea, coffee, iron, ironing board, very nice closets with lots of shelves, hangers, drawers, nice toiletries and lovely Apex rubber duck in the bathroom. TV and DVD player, nice selection of DVD's avaialble for free at the reception. The big plus, the small fridge in the room. Not a minibar, a fridge, empty, where you can store your wine and food from M&amp;S to have it at hand for a cosy aperitif after a long day before hitting the town again !On a less positive note, the cleaning, though OK on the overall, was not perfect: dust on all frames, on the bedside lamps .. nothing dirty, but giving it an odd impression for a 4 star ... Also we could hear a lot of noise from water running even in the middle of the night (?), the airco system was also quite noisy and always blew cold, even if you put it on 25 ° ... Cannot comment on bar, restaurant or room service as we always ate outside or brought everything back with us from M&amp;S (5 minutes walk).So all in all, I definitely recommend Apex for the room space, the nice decor, the real &quot;chic&quot; atmosphere and elegant feeling of it.	
Jun 17 2008 	Fantastic Hotel	We thoroughly enjoyed our stay in the Apex. The rooms were spotless and larger than the average London hotel. Staff were very friendly and the food was delicious. I am already looking forward to returning.	
Jun 16 2008 	Loved the Apex	This hotel is very modern and stylish, has everything you could want for a luxurious stay.The bath is enormous as is the walk in shower and the complimentary toiletries, bathrobes and slippers just topped it all off.The beds are very comfortable with crisp white sheets.Nothing was too much trouble for the staff and we found everyone to be very helpful.On the downside the hotel is not in the best situation for a weekend away as the majority of what is around about it at the weekend closes as it is mostly used by the business men and women during the week.However Tower hill tube station is a 2 minute walk so everything is accessible and the Original Tour bookings are across the road as is the bus stop for it.We did have a lovely meal at the tapas restaurant across from the Tower of london which is about a 2 minute walk from the hotel, would highly recommend.Would not reccommend the Wetherspoons (which is right around the corner) for anything other than a drink.	
Jun 10 2008 	Smashin hotel great location	Stayed here for two nights and it was an absolute pleasure. The hotel is located only 2 minutes from Tower Hill tube station making it very easy to get around London.The rooms were nicely decorated (modern) with a great shower and lovely toiletries. Even had a cute rubber duck!The bed was nice and comfy and the air conditioning meant a good nights sleep even though it was really mild.Some nice bars and restaurants nearby too.Only problem we had was finding something to eat after coming back from the foo fighters gig - everything shut by midnight!	
Jun 9 2008 	Couldn't ask for more.......	Excellent value (at London prices) for a luxury stay. Initially disappointed having failed to barter a full English breakfast into the price of saying but couldn’t have been more impressed with the quality, service and above all else, the continental breakfast included in the price! Awesome!	
Jun 6 2008 	Great Hotel - We Loved It	The Apex City is a good business hotel which we found perfect for a weekend in London. The City is quiet in the weekend, but the hotel is easily accessible by the Underground. The staff was very friendly and the room both comfortable and clean. All in all a very nice stay, and we will surely come to this hotel for our next visit to London.	
Jun 4 2008 	Great staff and location	Excellent hotel in a quite location beside Tower Hill Tube Station.The staff were very pleasant and helpful and in particular the dining room staff. The accomadation was clean, modern and bright. Eating here was a delight .I would recommend this hotel to any tourist visiting London for it's ease of access to London's underground and The Tower of London	
Jun 2 2008 	Clean bright and modern	Checking in was great, room ready early. Room very nice and clean with lovely toiletries; although it has to be said that we were much too hot despite using air conditioning. Bed comfortable, nice crisp, white bedding. Staff very helpful and friendly, especially young chap at reception who gave us maps and directions, could not have been more helpful.We had choice of cooked and continental breakfast. Good choice of fruits, breads, meats, fish, juices. I am a vegetarian and on first day asked for vegetarian breakfast which when arrived, consisted of tomato, one mushroom, 2 tablespoons baked beans and very small potato cake. This was just normal breakfast without meat but a minute portion. Think they could have given me few more mushrooms and tomatoes and beans to compensate; not very veggie friendly! On second day, waiter got very confused by veggie breakfast and offered us a pancake, which we accepted. Unfortunately when it arrived it was covered with bacon so waiter removed bacon but was unable to remove bacon fat so unable to eat pancake!!! Very nice hotel with very nice staff, lovely clean and fresh but combined with theatre tickets (was in a package) was very costly and room looked right at a brick wall. Would have expected better view for the money.Little bit more difficult to get around from this location than, say, if you were staying at Covent Garden or Oxford Street and this wasnt helped by the fact that there was severe disruption on circle line on the saturday night and on the sunday some stations and lines disrupted because of engineering works (although this was not the fault of the hotel). Just look at map to see if this location suits your needs.	
