	Great neighbourhood classic hotel	Overall satisfied, the lobby makes you feel in an expensive hotel. The room is perfect, however walls are thin, the neighbours kept knocking on the wall for any small noise from our room. The hotel is huge, and in the morning the breakfast area is totally crowded - the breakfast selection is quite ok.	
Jul 28 2005	Not outstanding but acceptable	I stayed at the Millennium Gloucester July 20-25, 2005 as a single female traveling alone. When I arrived around 10 am, I was told that my room was not yet available and was asked to just sit down while staff checked on it. No one ever got back to me, and I had to ask several times about it. Once I mentioned that I had a British Airways Holidays voucher, they immediately found a room for me and the room number appeared to change at that point. I was pleasantly surprised at the size of my room since I was expecting a tiny single. The room had a queen bed and was about the size and appearance of a typical U.S. Holiday Inn-type room. The bathroom and bedroom looked fairly clean, although there were stains (blood and others) on the underside of the bedspread - yuck! The hotel is supposedly air-conditioned, but I was uncomfortable even when the thermostat was on the highest setting. The room was also very dimly lit and there was only one trash can, which was tiny. The hairdryer, which didn't have much power, was attached to the inside of the desk drawer and was awkward to use. However, the heated towel rack was a nice touch. Although the concierge desk was usually helpful, I did receive some very incorrect information about the availability of the Tube on the day of the attempted bombing (July 21). There were also charges on my bill for phone connections in the amount of 5 pounds, but they were taken off - with great hesitation - by hotel staff. I would rate the front desk staff as mediocre. Be sure to check your account daily, which is conveniently available through the television in the room. There's also a great way to order a wake-up call through the television. The real positives to this hotel are the location near the Gloucester Tube station (although some of the Tube remains shut down), a wonderful grocery store (Waitrose) nearby that serves good prepared food and sandwiches, a Boots pharmacy nearby, a stop for the Big Bus sightseeing bus nearby, and telephone booths and a bank with an ATM nearby. I felt safe here as a female traveling alone. Overall, this is an &quot;average&quot; hotel, certainly not 4 stars, but generally acceptable. I would stay here again, I guess, if only for the location.	
Jul 25 2005	Loved the Millennium Gloucester	I was VERY pleased with my stay here at the Millennium Gloucester! The location was AWESOME! We were only a few feet from the Gloucester tube stop on the Circle and District lines. There are also some really nice restaurants also a few feet away: a couple of authentic English pubs (one with a really great &quot;two for 8.99&quot; mid-afternoon lunch specials) and Italian eateries nearby. There is also a restaurant in the hotel, and a Tesco nearby, which is open 24-hours and has fresh fruit, pre-packaged meals, bottled water and other snacks.The rooms have individually controlled air conditioning, a safe, a mini bar (which I knew better than to touch), a wake-up alarm on the television, an iron and towel warmer. Further, each room is furnished with a terry cloth robe. The room was a pretty good size, especially for a European room. No arguments here.The hotel staff was *very* helpful. I happened to have left my empty purse behind when I traveled to Paris for four days. However, when I got back, my purse had been recovered from the room and the Security Staff was very professional about returning it to me (with all contents in tact) in a manner that ensured that I was the rightful owner. The concierge was also very helpful, hailing us a taxi or carrying our bags for us when needed. The only downfall is that the charge for internet access was pretty high: 12 pounds/hour or 24 pounds per day (or something crazy like that).Initially, I wasn't scheduled to stay in this hotel on my one-day return from my four-day trip to Paris. However, I cancelled my stay at another hotel and opted for this hotel instead. I would DEFINITELY stay at this hotel again. In fact, I think this will be *the* hotel at which I stay ANY time I'm in London. Highly recommended!	
Jul 24 2005	Location 	The location is great, just around the corner from the Tube. The lobby was lovely when we walked in (albeit smoky), but upstairs needs a major overhaul. We had requested adjoining rooms (I have 2 young children), but the connecting door was locked and it took 3 calls and over an hour until someone came to open it (it was after midnight by this time.) The air conditioning did not work in my room, but did in my childrens' - with the connecting door opened, it wasn't too bad. But their unit leaked outside the bathroom door - the carpet was soaked and that's what probably accounted for the musty smell in the room (in fact, it smelled pretty must throughout all the corridors). Mattresses were OK, but pillows were flat as pancakes. Also, TV cable TV kept on going out on us. The honor bar must have a sensor on it. We had opened it, but never took anything from it. Nonetheless, we had charges on our bill for things we never drank (but the front desk did take them off.) However, despite the negative points, the location and price ($99/night through Priceline) were really great.	
Jul 19 2005	Perfect Location	After reading all of the reviews I was expecting the worst. Upon arrival my fears subsided. The lobby was beautiful and the staff was very helpful.The room itself was nice, a little small but it did the job. We did not have the dirty carpet or the torn wallpaper. The air-conditioner did not work all that great but we just opened the windows and asked for a fan. There was a room safe in the closet, a trouser press and an iron. Our blow dryer for some reason was located in the desk drawer and you could not remove it from the drawer so I had to blow dry my hair next to the desk. Our coffee maker was located in the tv cabinet. One thing that everyone was correct about is the mini-bar. BEWARE! I opened it for about 5 seconds just to see how cold it was in the fridge and I was charged 13 pounds. They did take it off my bill without any problems. You should check your room bill on the tv screen before you check out. Ice will cost you 1.50 pounds, not including the tip for bringing it up to you. We never made an outside phone call from the room, we bought a phone card and used the pay phone right outside the hotel. Even toll free calls from the room will do some serious monetary damage. It's all in their room information folder on the desk, I'd advise everyone to read it. Those were my only problems with the hotel. The concierge was very informative and helpful. Now the positives. When you exit the hotel lobby turn left, walk to the street and turn right. Walk towards the end of the street and you will see everything you will possibly need during your stay. To your left is the tube station and just beyond that is a little shopping arcade that has a fantastic grocery store called Waitrose. It opens at 8am and if you want really cold drinks this is the place to go. Directly across the street is a great pub, Burger King, KFC and Tesco. This Tesco is open 24 hours and is like a 7-ll. If you see a Tesco when you are out and about and want a super cheap lunch they have good sandwiches. The only problem is that their drinks are kept in an open fridge and so they are not cold, just above room temp is more like it. Also there is a Starbucks and La Patissere(sp). Next to the pub, Stanhope Arms, is the bus stop. The tour bus called the Big Bus tour, it's a brown tour bus, stops there also. They sell tickets to The Tower of London, The London Dungeon and a couple of other places. If you plan on visiting these places buy them here and you won't have to stand in line. Our stay at the Millennium Gloucester was fantastic, other than the mini-bar incident, I would recommend this hotel.	
Jul 8 2005	Only Thing Good Thing I Can Say About the Hotel is Good Location !	The best location for a tube stop, but the worse decor in London. The carpet was dirty, plain and simple nasty. I could not walk on it in my bare feet. The a/c was barely cool. The wall around the a/c vent was black from dirt. The hotel staff was as bad as the carpet, very nasty.	
Jul 4 2005	Misleading arrogant and not very knowledgeable stuff	We booked Millennium Gloucester Hotel via priceline for about half of the official published rate. When we arrived to the Millennium hotel (at 2 pm; they just started check-in), the manager on duty said that their hotel was overbooked. She refused to accommodate us and said that she had arranged an alternative accommodation in another nice hotel. In the reality, when we came to that other hotel, we found a dirty, smelly, run-down establishment. We called back the Millennium and said that we would not stay in that other hotel. They said that they would find another hotel for us and call us back. They never did. Finally, we came back to the Millennium and requested accommodation there. Nobody at the hotel apologized that we had lost three hours of our time and our first day in London was simply ruined. We were finally accommodated in a “Club” room.This is not a 4 1/2-star hotel as they claim. In general, the stuff is arrogant and not very knowledgeable and friendly. The rooms and especially bathrooms are very small. Everything is extremely overpriced (phone calls: 1 min to the US is ~$5.00, one hour of Internet use is ~$15.00 etc.). However, the location is convenient (near the tube). The hotel is O.K. for a short stay in London provided one pays half of their official room rate or less.	
Jun 28 2005 	Great Location	Unfortunately, upon our arrival we found room type we had reserved was not available. The hotel staff told us this problem happened often and were quick to blame the tour company. Based on reviews from others we anticipated this possibility and simply complained over and over until the manager became involved and located appropriate rooms for us. Sooo, the first day was not pleasant, but once the room issue had been resolved, everything was great. The staff was very accomodating and the rooms were very well maintained. Best thing about this hotel is the location. The Underground stop is only a few feet away.	
Jun 18 2005	Great location bit pricey but nice	London was the first stop of our honeymoon and after reading the reviews on this site, we made a reservation through Travelocity.We arrived into the hotel (9.30am) and were told that our room was still being cleaned up so we went down the road for breakfast. The hotel is just across the road from the Gloucester St Tube and was veyr handy. When we finally managed to check in we found the room of a good size (for london hotels) and clean bathroom and carpets. There were many tourists in the hotel which didn't faze us. We thoroughly liked the hotel due to its location and cleanliness. It's more of a business/tourist hotel, not for honeymooners but will stay there again.	
Jun 12 2005	Be aware!!	Be aware....I purchased three nights through Priceline....the rate was very good for London...BUT, this hotel is not 4-star...(more like 2-star)...the carpet in the halls was worn and patched...the wallpaper was torn....the walk to my room took 5 minutes...the room was furnished like a 2-star hotel. If you do book here, make sure you are in the &quot;newer part of the hotel&quot;...with your room number being in the lower numbers (below 50...like in room #350)...this will assure that you have a decent room that is not in dire need of refurnishing. The hotel staff is OK....but be careful where they place you in the hotel. I would not stay here again...location was good, but that is the only thing this hotel has to its credit.	
Jun 12 2005	Decent hotel if you get a good price	First off this is a great tourist hotel if you can get a good price. We booked through priceline and paid around $87 per night after the Priceline fee. We were pleasently suprised to be able to check in early (9:30 am) after our flight. Our room was at the far end of the hall, but found that the room was VERY quiet.The location couldn't be better. It took less that 2 minutes to walk to the Gloucester Road tube station, and there are plenty of reasonable (for London) places to eat. The carpets are a bit worn, but still not bad for the area. We stayed in two different Hotels in London on a previous visit and this one was far better than either of the previous places.	
Jun 12 2005	Good location bad bed	This hotel has a GREAT location. You really cannot ask for a better place to stay as a tourist. It is across the street from a grocery store, Starbucks, KFC, Burger King and Tube stop. This cannot be underestimated when you are tired and homesick. It also has great security and a very nice lobby and amenities. However, the budget rooms have pretty dirty carpet, bad lighting, and the world's MOST UNCOMFORTABLE bed. I got it on priceline for about $80 per night, so it was a real bargain. We asked for extra blankets and put them under the sheet, so that made the bed nice and soft. I have to say that I was a little put off when we checked in. They tried to get us to sign up for an expensive breakfast and room upgrade ($60 per night) and looked down their noses when we said no. Over all though, it was fine! The location was so good, it made up for the rest.	
Jun 9 2005	Awsome hotel in a great area!	My wife and I loved our stay in this hotel. It was in the absolute perfect location for a trip to London. The rooms were very large with a large bathroom. From what I have heard this is hard to find in London. The location was a 3 minute tube ride to Victoria and within walking distance to the Science museum and the Natural history museum. The tube stop is right across the street! Also, there were many good cheap dining options near the hotel and a few good pubs. There was even a grocery store right across the street to buy snacks and water. Overall we loved our stay in this hotel. True, the carpets are pretty worn but that did not bother us at all. We requested an early check in and our room was available right away early in the morning when we got in from Gatwick. We even had a 110 volt plug in our room to charge my ipod! When we go back to London we are staying here every time. You can also get a great deal on priceline for this hotel that can not be matched anywhere in London for what you get and the location. WE HAD A GREAT STAY AND A WONDERFUL TRIP TO LONDON!	
Jun 6 2005 	Regular rooms NOT 3-4 star quality	As I knew beforehand from the reviews here, there is a major difference between the club-level and regular rooms. The regular rooms are NOT anything like 3-4 star quality. They seriously need to be refurbished: the carpets are disgusting, there are cigarette burns in the duvets, etc. The lobby is posh and there are always fancy cars waiting outside, but you will definitely feel like you're in an ultra cheap hotel once you get to your floor.	
Jun 6 2005 	Average hotel reasonable price	There is a huge difference between the standard and club rooms. The former have scratchy blankets and dodgy electrics – all the lights went out when I plugged my laptop in. The club rooms are pleaseant but the sign of a good hotel is one that puts you in a readily accessible room when you check in late. Getting a room at the end of two very long corridors at 11pm did not endear this hotel to me.	
May 25 2005	Not bad but really awful carpets.	We stayed here for several days and the hotel is about what you would expect except that the carpets are truly awful and I don't just mean the hallways but the actual rooms. We were genuinely afriad to walk on them for fear of a dread disease. The hote is a little rundown in places like the hallways where the wallpaper is torn and worn but really it is not a bad place if you get a good deal. I paid about $135 USD per night but had to pay about 119 British Pounds when I extended our stay by one day. There is a great little place next to the Gloucester Road tube station called Liaisons that serves great sandwichs and coffee and they are very friendly.	
May 23 2005	Pluses and Minuses	First the good news - the hotel has a great location, literally steps from the Gloucester Road subway station. Heathrow is a subway ride away on the Piccadilly line. I never took a taxi the entire time I was in London. Secondly, if you get a Millenium Club Level room, it is a decent size (i.e. size of typical American hotel room). The bad news - the customer service is bad. The people behind the front desk - who seemed very young - were pretty useless. Also, beware - the 'extras' will kill you. The internet access in the room was either 8gbps an hour or 20 for the day (something like $15 an hour or $40 US for the whole day - which is outrageous). Any dialing of an 800 number from the room - including using the nice cheap international calling cards you can buy - will cost about $5 a connection. If they could charge you to breathe, I think they would. Also, mysterious charges appeared on the bill. I was at the desk complaining about a mini-bar charge on my bill - which was clearly not correct since I didn't even KNOW there was a minibar in the room. Right behind me was a woman erroneously charged for champagne from her mini-bar. I'd have to debate going back because of these things . . .	
May 20 2005	Decent but not great	I paid for a &quot;Club&quot; room which included breakfast, the room was okay, roomy but dated, bed was okay, bathroom decent. I never went for the free breakfast. I choose this hotel because of location in South Kensington. A great location, all within a few steps from hotel are an ATM (HSBC), Grocery Store (Waitrose), drug store (Boots), Starbucks and Burger King. Not too far from Harrods and Chelsea (5-8 pounds taxi ride). A favorite pub of mine, the Stanhope is across the street, supposedly Jack the Ripper drank here! A great Indian restaurant in the Montana Hotel which is close by which I highly recommend, 3rd time eating there in 4 years, good. The pasta restaurant, forgot name, next to Waitrose and Boots is good too. The Millennium Gloucester is decent, I would have thought my room would be nicer since &quot;Club&quot; floor, it was okay, so don't expect much, make sure to get a good rate (this hotel offers good rates that vary all the time on Expedia), staff and concierge were good, this is a hotel to choose for location and value, not perks.	
May 20 2005	A splended time was had by all.	We just returned from our 6 night London vacation (May 13-18 2005).The staff of the Millennium Gloucester Hotel was always friendly and accommodating. We arrived very early in the morning so I do not fault the hotel for not having our room available. Their stated check in time is 2pm. We were allowed to check in and had the concierge take our luggage, so we were free to explore London right from the start. The public areas of this hotel are beautiful. It really lacked nothing. My personal gripe was that it was extremely smoky due to the fact that it's legal for people to smoke in public areas and restaurants in the UK... and the English take full advantage of that. Coming from the USA, I was surprised how much the British smoked. Be forewarned that it's the exception to find a restaurant with a separate smoking area. I found Pubs to be almost unbearably smokey. But I degress, aside from the lobby of the Millennium Gloucester Hotel being extremely smokey at different times of the day, it was beautiful, and we got the non-smoking room we had requested.The room was larger than I had expected, it was on par with any good hotel room in the US. We had a &quot;standard&quot; room with one double bed. Since I had read some reviews that claimed rooms had everything from bugs to toilets which did not flush, I didn't know what to expect. Thankfully, our room had neither affliction. The only surprise was that the room's carpet was very badly stained, and should have been replaced a long time ago. It was really out of place, given how nice the rest of the room was. The room did not have an alarm clock, so be sure to pack a travel clock. You could program the TV to wake you up. I guess I'm old fashioned.The bathroom was roomy and well lit, it was finished in white ceramic tile and rich brown marble. The heated towel bar was a nice treat. The bath towels were actually &quot;bath sheets&quot; which was also very nice. The bathtub might have been a challenge for an elderly person or a person with limited mobility because the sides were at least 2 feet tall. There were large handles attached to the wall to help get in and out of the tub. The shower had very good water pressure.Both shampoo and bath lotion were provided, something that's becoming a rarity in some hotels in the USA. We thought it was a little funny that there was a phone in the bathroom, but the hairdryer was firmly attached inside a desk draw which was in the main part of the room, and not simply wall mounted in the bathroom.There wasn't any ventilation or window in the bathroom, and I noticed there was some paint peeling on the ceiling. As far as location goes, the Millennium Gloucester Hotel can't be beat. It's right across from the Gloucester Road tube station in a very nice section of town. The trains run often, making all of London AND Heathrow Airport easily accessible. There are also city busses running on Gloucester Road.There are many restaurants, coffee shops and convenience stores, as well as two grocery stores (which carry a nice selection of beer, wine and spirits) in walking distance from the hotel. The hotel room had a stocked courtesy refrigerator which must have a sensor built in. If you take out an item you'll be automatically charged. I've read horror stories about being charged in error for food. I am glad to report that we bought food at the grocery store and kept it in the room's fidge and did not get charged. Check out was a breeze, no glitches whatsoever. If it wasn't for the badly stained carpet, I would have rated this hotel as &quot;Excellent&quot;.	
May 19 2005	Beware!	My husband and I booked our stay at the Millennium Gloucester through Priceline at $100 per night. We were happy with this booking and looked forward to staying at the hotel.When we arrived at the hotel we found a courteous bellman who took our luggage and gave us a receipt which was to be given to the front desk when we checked in. The hotel lobby was attractively furnished, though very smokey. At the desk we encountered staff that was likewise courteous and professional. They did not have our room ready when we first arrived at the hotel (we arrived at about 1:30 in the afternoon), but a room was ready for us by 3:00pm (normal check-in time). The room was on the first floor of the hotel and was somewhat small, but well-equipped and attractively decorated. Our bed was a king-size bed, which was a pleasant surprise, and our bathroom boasted a very large bathtub/shower. Less pleasant were the orange stains on the carpet and the warping of the wallpaper due to water damage. These issues were easily overlooked, however, as I did not expect the hotel to give a Priceline customer one of its better rooms. However, we could not overlook the fact that NONE of the lamps in the room were working. I made a quick call to housekeeping who did send someone by, though this meant that my husband and I could not take our desperately needed showers as the room was full of people trying to figure out the lamp problem and, for some strange reason, replacing items in our (very expensive) minibar. After the initial hubub (it turned out that water leaking from a second floor toilet was shorting out the wiring in our room), we were finally able to shower, dress, and leave the room to explore our neighborhood. We found that the hotel was in an EXCELLENT location for tourists: We were quite literally across the street from the Gloucester Road tube stop, there were two grocery stores right next to and across the street from the tube stop. There was also a bank, a travel supply store, and a wide variety of restaurants and pubs within a one-block radius of the hotel. The hotel also boasted several restaurants, a bar, a business center, and other facilities.We were very satisfied with our choice of lodging until a few days after our arrival. We were out in Hampstead when I went to an ATM to withdraw some cash. My request was rejected and a bit of investigation showed that there were no funds available in my account! We immediately made our way back to the hotel and after several phone calls I realized that the hotel had frozen *twice* the amount of money that they were supposed on my card when I checked in!As you may know, most hotels request a credit/debit card when you check into the hotel in order to cover any incidental charges (i.e. phone, restaurant, etc). The hotel will then &quot;freeze&quot; funds on your account so that the hotel can be assured of collecting these funds when you check out. Knowing this, I had contacted the hotel well before our arrival to find out how much they would be freezing. I was told that they would freeze 50 pounds per night. Given the current exchange rate, this would come in at a little less than $700 for the trip, which was no problem for us. However, the hotel clerk, for some reason, froze 100 pounds per night, which, as you can imagine, took out a serious chunk of our budget!When I complained to the hotel staff, they at first couldn't see what the problem was. Finally they agreed to reverse the errant charges, but told me that it would take 5 business days for the charges to go through. I explained that this was unacceptable as we were only in town for a week. I communicated with my bank, and my bank was willing to release the hold if the hotel would fax my bank with instructions to do so. After a bit of wrangling, the hotel did fax my bank. However, the hotel never apologized for their serious error, nor did they ever offer any sort of compensation or an offer of assistance if the funds were not going to be released quickly.I have to concur with many of the reviewers here when I note that the Millenium Gloucester has many things to recommend it as a place to stay, but that its staff and management are completely unconcerned with their customers should a problem arise. We will not be staying at this hotel again.	
May 19 2005	Customer Service = Awful	I've been to London many times and this is by far the worst hotel i've stayed at. The Front Desk staff leaves a lot to be desired. Perhaps some training in customer service would do them some good!!! Also pls keep in mind that the check-in is at 1pm so make sure you time your flights accordingly b/c you'll have a difficult time checking in early. One positive is that the hotel is literally hotel right next to the Tube. Hope this helps!	
May 18 2005 	Careful with hidden charges	The hotel is fine if you get a decent rate. Like mentioned by other reviewers, convenient location next to three tube lines.However, if you are on a budget you have to be extremely careful with hidden charges. When I checked out I was charged 22.50 UK pounds for one 6 minute local phone call- this is equivalent to $43 US dollars!!! Apparently this was because although it was local, it was to a cell phone. I had looked for the rates in the room and couldn't fined them, so I didn't make any long distance calls, but I figured a short local call would be OK. I complained, and was given a courtesy discount, so it came to $33. I should note that the exact same call from a Hilton was 4.23 UK pounds (˜$8.40). I also complained about this upon my return by email, and the general manager was kind enough to reply, but he just wrote that that they have the &quot;privilege to offer our valuable guests more flexibility and a best available rate for the room night, rather than discounted other facilities, such as telephone or laundry charges.&quot; I don't consider 4 pounds for a local phone call (at the Hilton) a &quot;discount&quot;, but I do consider 23 pounds for the same call a rip-off. As a sidenote, the breakfast is extremely expensive (about 18 pounds per person), and there is a great little bakery around the corner, so its not worth it.	
May 17 2005	Clean modern good location	This hotel looks nice. It's modern and clean. The location is very good. Our main disappointment was that when we called to make a special room request (our second time), the person on the phone said that the hotel does not allow for more than 2 people per room. This ended up being incorrect information and a complete lie (because the hotel does in fact have rooms with 3 beds and so forth), but caused us a GREAT deal of stress. We were halfway around the world and did not know what to do. Well, fortunately, my husband called and spoke to the General Manager of the hotel. He said that we are in fact allowed to stay (2 adults, 2 young children). We were relieved. When we arrived to the hotel, they could not give us a room with two separate beds, but promised us that we would get such a room (a family room) the very next day. Well, the very next day, that did not happen. We were frustrated. It was on the third night of our stay, that we were finally able to sleep comfortably with a little more space. But we were still happy. The hotel was good, clean, and had a nice, convenient location. At least they didn't charge us extra for two separate beds, unlike the Hilton Metropole. That was quite tacky and greedy on their part. We really hated the smoky lobby area. But we hate that about Europe overall. Have they never heard of second-hand smoke?	
May 16 2005	Good Value; Half block from tube	For budget travellers, this is a really good deal for the money for the location. The Gloucester tube is only a half block away.Americans should keep in mind that hotels are run differently in Europe and the UK. They spend all their money on the lobby. Therefore the lobby looks like a typical American 4 star, but the rooms are more like 2 stars. Nothing terrible, just nothing fancy and plenty of wear and tear on the carpets and furnishings. Even so, you certainly can't beat the location for the price!!!! You will find yourself grateful that you are so close to a tube, particularly when you have luggage in tow!!!!I also found the staff to be courteous and accomodating as well.	
May 13 2005	Top Hotel	Fantastic Service, Warm welcome. You should try the Club Service for £116.- Staff very professionnal, and more particularly the receptionists.Room very comfortable , High Speed Internet much appreciated.	
May 10 2005	Very content budget traveler	My partner and I were fortunate to land the MG on a Priceline bid of $80/night for a week. A real steal! I notified them in advance that we would be checking in a few hours early, and they not only had our room ready, but had upgraded us (for free!) to a club-level room. I encourage you to politely ask for an upgrade when you check-in! It can’t hurt, and it seems like others have been successful in this, too. In addition to the spacious rooms and separate elevators, club-level guests have access to a quiet lounge with newspapers, cappuccino, tea selection, and fruit throughout the day, as well as bubbly at around 6pm. Breakfast in there was only for club members, which we were not. Still, we found it a perfect spot to relax before heading out for the evening. The room was lovely, except for a considerable mold problem in the bathroom which I discovered after showering on arrival. Blech! After housekeeping took a look, they were quick to switch us to another club-level room, moving our luggage for us while we were out seeing the city. We were very happy with the service, especially the eager-to-help concierge on duty in the afternoons and evenings. My guess is those who criticized the service at this hotel were, themselves, probably less than gracious.Carpeting and furniture just a wee bit shabby (but at $80/night, who’s got a right to complain?!), but the bed was wonderfully comfortable, with crisp linens. There was a bidet in the first bathroom, if you get into that part of European travel. And, although they’re rarely found in British hotels, our bathroom had washcloths. Woo hoo! If you’re a budget traveler like me, I can recommend the following in the neighborhood: almond croissants at Tesco (89p!), espresso and email at Coffee Republic, late night take-away from PizzaOrganic, and dinner and beer at the Drayton Arms pub or La Brasserie (both on Old Brompton).Finally, it can be a little confusing to find the hotel the first time when getting off the Tube. Exit the Gloucester Road Station; face right and cross the street toward the Millennium Bailey’s Hotel; turn right and walk about a 1/2 block to the hotel entrance, which looks like a carport entrance, but does have a small sign.	
May 6 2005	Location is ideal	The hotel is situated in a very safe neighborhood. Ideal location, walk out of the hotel, board a bus, go on the tube or walk to restaurants, grocery stores, coffee shops, internet cafe, drug store. Advise getting a pass for bus &amp; tube, a real money saver. Service was good, rooms were clean and modern. Some of the reviews I read made me a little wary of staying there. Carpet was NOT threadbare, nor was the hotel any different from any hotels in the U.S. that have a high volume business. For anyone who has stayed in Euopean Hotels this is definitely many steps above. Breakfast according to the menu was expensive but it was included in our travel package. I would stay there again even traveling without a tour group. Advise drinking across the street ans drinks are expensive as they are at any hotel bar.	
May 6 2005	Good solid 4* hotel	I booked this hotel via priceline (GBP 62 inc tax and service charge) six months in advance of staying there so that my partner and I could stay in town after seeing Kylie at Earls Court. We arrived at 1pm, an hour before check in and getting a room wasn't a problem. I enquired about an upgrade to the Club Floor and was offered this for GBP 30. For this you get access to the Club Lounge with unlimited, tea, coffee and fruit; a free glass of champagne in either the bar or the Club Lounge; and complimentary breakfast in the Lounge which includes some hot items as well as the traditional continental offerings. And of course the upgraded room itself. It seemed like a good deal so I went for it. On checking in I noticed that they had entered me on their system as Mr &amp; Mrs despite me not advising them of any such thing, indeed as a gay man with a male partner of seven years I was a little affronted by this. I asked the check in clerk to change this, however Mr &amp; Mrs continued to show up on the TV, on the bar bill, on the final bill - not very impressive. Other than this everything was fine. The room was spacious and decorated in a modern style, obviously recently remodelled, though they clearly hadn't got round to doing the bathroom which appeared a little tired. The rest of the hotel was in good shape and all the staff we encountered were friendly. The bar was expensive (as usual) and got quite crowded so getting a table could be problematic if there are large groups staying. Overall I'd certainly recommend this hotel for a visit to London as it is excellently placed with the tube station just minutes from the front door, and you can often get a room for a good price either through priceline or any number of regular hotel websites. Highly recommended.	
May 5 2005	Don't use the phone!!!!!	My friends and I booked three rooms, as we were going to see CREAM perform at the Royal Albert Hall and this hotel is within walking distance of that lovely venue.PLUSES: As others point out, its just a couple of hundred yards from the Gloucester Road station on the Picadilly, Circle and District lines of the tube. This is a big time and money saver if you're flying into Heathrow. You can get to the hotel (almost the doorstep) for 4.80 pounds. Not Bad.The lobby is spacious and fairly elegant. The rooms are ok. Clean, etc. Bathroom is large and no hot water problems or anything of that sort. Minibars are well stocked but expensive. Use the shops and pubs just down the street instead.MINUSES:There is no air conditioning (my room had a fan/heat control only). Temperature outside was 60s/70s Farenheit, but the room was pretty uncomfortable. Think long and hard before booking in the middle of summer.For some reason, housekeeping didn't provide face cloths (wash cloths to us Yanks). Another minor annoyance. My friends who were traveling with me did get them. Maybe the housekeeping on the fourth floor is hostile to Americans???? BIG MINUS:I called a friend who lives in London to hook up for some drinks. I called his cell phone (figuring it would be cheaper to make local calls from the hotel than &quot;roaming&quot; internationally on my cell phone.) Boy was I wrong. A SEVEN MINUTE CALL to my friends local cell phone cost me 26.25 POUNDS. At current exchange rates, that's USD 50!!!!!!! I know hotels have been known to charge exhorbitantly for long distance and so forth, but this is an out and out rip off.Caveat Emptor.	
May 3 2005	Sorry we have overbooked!!!!!!	My partner and I had booked TWO months in advance one evening stay with this so called 4 star hotel, as we were going to see Kylie in Earls Court that saturday evening and it was my partners 30th Birthday, so all in all a lovely weekend had been planned. After arrival at the reception desk, we were then greeted with the Assistant Front of House Manager who informed us that the hotel had been overbooked and that they were carting us off to their sister Hotel in Mayfair! No empathy shown whatsoever! He admitted that it was due to a larger group paying more money! His general attitude was tough ----. I had spoken with Reservations three times since by booking with them for various reasons, and not once did they inform me that they would be shipping us off to Mayfair (miles away from Earls Court). The last time I spoke with them was the day before arrival, but no message was given to me about the situation. We then turned up at the Millennium Mayfair. We checked in and went to our room. There was drilling going on above us, we had two sugars one coffe and one teabag, we had to wait just under an hour for housekeeping to bring us an ashtray and then on the Saturday night when we got in we were kept awake by the singer in their pub downstairs!I am writing a letter of complaint to them, but going by their attitude at the Millennium Gloucester Hotel I am not expecting miracles. After reading all these other poor people who have experienced what we did I am also going to Watchdog, as this is just not on! We had to spend money out of our purse for extra travelling costs and food, as I had also booked a table for two in a restaurant around the Gloucester Road area which had to be cancelled due to them moving us and all through no fault of our own, but down to this hotel group being greedy and wanting to take as much money as possible. This hotel groups company ethics are just disgusting!!! I would not even treat an animal the way they treated us. So all in all ruined my partners 30th Brithday and has caused us both distress!!!DO NOT GO - DO NOT EVEN RISK IT!!!!!!	
May 2 2005	Okay but certainly nothing special	Like a previous poster on here, got this hotel as an anonymous deal through lastminute. When we arrived at Gloucester Road station, it literally took us one minute to get to the hotel and on entering the hotel were both very impressed. Beautiful reception, reasonably friendly staff. However the rooms were dissapointing, certainly on the first floor where we were staying. According to staff we heard talking in the lobby the first floor rooms were where the bus tours stayed and unfortunately although we booked independently, we got allocated a room there too.Wallpaper torn, carpet dirty, dirty windows that didn't open and the bathroom looked very tired with broken handles on bath, chipped surfaces, etc... If we had been staying there for more than one night we would have requested another room however it was just a place to stopover on route to our main holiday and the room although tired and dated was clean enough.The good things - lovely area, very close to tube station, plenty of local shops, bars and restaurants. I guess you get what you pay for and with that in mind £69 was cheap for a hotel room in a nice area of London. Last time we had a stopover we also stayed in Kensington in Harrington Hall (also a cheap deal) and although the reception isn't half as grand as the Millenium Gloucester, the rooms there are first class!	
Apr 29 2005	Great if you get it cheap	My brother and I stayed here on a Friday night in March. We had booked tickets for the Comedy Store in Leicester Square and needed a cheap convenient place to stay. We looked on Lastminute and found the Millenium Gloucester for just £54 that same night. At that price you couldn't go wrong. The hotel is conveniently located near Gloucester Road tube station and it took only 15 minutes to get from Leicester Square to our hotel room. The hotel is huge and impersonal and when we got there full of airline pilots and crew. The staff were friendly enough, if not a little apathetic, perhaps in light of how little we paid? The room (a twin) was comfortably furnished with a clean and spacious bathroom. There was a mini bar and trouser press, etc, though I advise against the mini bar as it's one of the most expensive I've ever seen. I would have been disapointed if I had spent £100 + on the room but for the price we got it for it was perfect. Keep a lookout for last-minute deals and you could grab yourself a bargain hotel room with easy access to central London.	
