	Great hotel great location lacking on breakfast"	I went there with a group from school and it was a really nice experience. The rooms where really nice and everything was to our service. Local pubs and restaurants around the hotel made the stay even better. But from a grade 1-10, 10 being the best and 1 the worst, the breakfast buffet at the hotel was like a 6. After the first day eating there, the following morning all I ate was toast and coffee. The food overral wasnt that good, but besides that a very beutiful hotel.	
Dec 11 2005	Great London choice	Took 2 rooms here for my family. It was an excellent choice. Three best things: location, location, location. Access to the tube, busses and taxis (i.e., all of London) could not be better. The recent renovations result in a classic English hotel with modern conveniences. Wonderful buffet breakfast. Interestingly, we rented 2 double rooms and they varied considerably in size - altho even the smaller one was a decent size for a European hotel. But the bathroom in the larger one was almost twice the size as in the smaller - and both rooms were the same price. So you may want to ask for another room if the one assigned seems small. Everything worked fine and was clean and fresh.Only complaint was the concierge, who was a complete waste. Had almost no knowledge of the area (couldn't recommend a local Thai restaurant when there was a good one 2 blocks away); he was much more interested in sending you to restaurants with a referral card. Can you say &quot;kickback&quot;?? He gave us directions one day and actually sent us the wrong way. They need to replace him. The doorman, though, is quite nice and knowledgeable. Ask him any questions instead. Cheers!	
Dec 9 2005	Will Return!	I note that the reviews of the Russell have improved along with the pace of the renovations!It was pleasant to stay in an English hotel and not an international depersonalised chain. Our fifth floor room was small but comfortable and had everything we needed for a stay of six nights. The linen and towels were clean and the beds comfortable. The plumbing was a bit sluggish which is not surprising in an old building. (I wonder how the baths drain in Buck Palace)Our excellent European buffet breakfast was included in our package and we ate enough (healthy food!) to keep us going all day! The restaurant staff was mostly Eastern European and were very pleasant, but my favourite was a middle-aged woman from Donegal who is a native Gaelic speaker. We did not have occasion to use the bar or restaurant, but I am told they are good ( and London is expensive!) Tesco is just around the corner and we picked up snacks there if we were hungry or needed bottled water.Another reason that we would return to the Russell is that it is so convenient to everything! If you want to skimp on phone calls and e-mail, there are kiosks across the road. There is the tube, bus stops, Tesco, the PO , banks, good souvenir shops, London University and just about anything a traveller would need minutes away.The old Victorian stairs are great exercise though the lifts are efficient!I am sure if your room were not satisfactory, you could get a room change. The staff were very friendly. But then we wanted an English hotel not a Marriott or a Hilton replete with gangs of trans- Atlantic tourist families.	
Nov 6 2005	Great for the price	We stayed here 3 times and will stay here again the next time in London. We did get great deals all 3 times, and perhaps that contibutes to our positive review. Our stay in the Queen Victoria Suite for 90 pounds per night was the best. 4 poster bed, balcony, windowed breakfast nook sitting area, and superb service. We were quite happy. The other 2 times were in renovated rooms for under $100 per night. Very happy with those rooms as well. Right above the Russell square Tube, and one train from Heathrow was convenient. Beautiful marble lobby is a nice introduction.	
Sep 25 2005 	Bad attitude	I booked a non-smoking double at the Russell, Thursday 22nd Sept. On checking in at 20:45, I found that the room allocated was a tiny single. On returning to reception, the friendly and pleasant receptionist, with whom I had dealt with on 2 previous visits checked my confirmation e-mail and a surly male receptionist &quot;took over&quot;. He took 10 minutes to check the computer system, and then informed me there were no non-smoking double rooms left. (so why did they allow me to book one in the first place?) I then said I did not mind a smoking room, and asked politely for a complimentary upgrade as it was their mistake, it was nearly 9pm and I had been kept waiting around for some time. He condescendingly said a complimentary upgrade was out of the question, if I wanted to upgrade it would cost me £70. His manner and attitude were both appalling. I can only assume that as the booking had been made through an agency at a cheap rate, I deserved substandard service. I accepted the smoking double on the third floor. On arrival I can now see that he had allocated this one out of spite. The room was very small, the gap between the table and the bed was about 12 inches. But the bathroom was so tiny! The basin was about 10 inches by 4 inches, and the bath was about half the size of a normal bath, totally inadequate. I have stayed here on 2 occasions previously, after a slight hiccough on the first stay I was given a complimentary upgrade for the second stay, which was absolutely first class, maybe my expectations for this stay were too high. I have always found the staff to be pleasant and helpful in the past, and a credit to the Russell, but this surly, unpleasant and condescending man is certainly the exception to the rule. I think in future I will ask my company to remove the Russell from their list of accommodation.	
Sep 15 2005	A perfectly ok hotel	I just got back from Europe. I think Russell Hotel is a fine place to stay. Our first assigned room had a broken air condition. They switched us immediately upon reporting the problem. Both rooms were nice and clean. The breakfast that was included in the room rate were the best I encountered in all the 3-star hotels we stayed during the entire trip. The concierge was very helpful and made calls for me whenever needed. Very good location - convenient and quiet location.	
Sep 14 2005	not so bad when you get a deal	HiDespite modernisation not really in keeping with age of building-decor in rooms and bathrooms trendy and smart. Try and get a room in the front with a balcony. I paid £52 on Superbreak for a single room with breakfast! Can't complain as beautiful grand Victorian Building with majestic dining room and bar. If you get a deal go for it-you won't find any better in this area.	
Sep 2 2005 	Do not stay here! You have been warned...	This is quite honestly the worst hotel that I've ever stayed in. And I stay in a lot of hotels for work, so that's really saying something. This is proof, if it were needed, that a star rating really isn't much to go by.I had the pleasure of a week's incarceration at this hotel, since all my favourite places were booked. From the outside, this huge Victorian building looks wonderful, with a great location in Bloomsbury. You step inside to a magnificent marble entrance and then you look for reception and see the worst type of &quot;modernisation&quot; has hit the poor hotel hard, with suspended ceilings and hideous furniture totally not in keeping with the hotel's background and former majesty.My room was located on the sixth floor and was, I can only assume, an old servant's bedroom. It was tiny. And it was a smoking room, even though I had specifically requested a non-smoking room. I phoned reception and asked to be moved. They refused. Then I threatened to leave and miraculously a room became free.So, I moved to the second floor. A much larger room but it did seem dark. It turned out that the &quot;windows&quot; were fake as it was an inward-facing room and had no natural light. It was also right by a generator and really noisy. I couldn't be bothered to complain again.Next day, I went down to breakfast really early. Breakfast is ok but just the usual London stuff. Lots of waiters doing nothing and avoiding eye contact, so you have to grab one if you want so much as a cup of tea. As I left, I saw the most phenomenal queue - if you do want the breakfast then go early!I put a few things in the laundry and contacted reception to have it collected and left my room at 8am. When I returned in the evening, there was no sign of my laundry. I phoned reception: they didn't know where it was. Then they suggested that I hadn't got it in by 9am and therefore it wouldn't be back until the next day. I protested that I'd phoned them before 8am and they'd had plenty of time to collect it. They kept saying they'd phone me back but they didn't and I had to keep chasing them. Finally, after about two hours and five phone calls, the manager phoned me to say that he'd found my laundry dumped in the basement somewhere and unwashed! Finally, when I checked out, I asked the concierge to get me a taxi. He refused: &quot;You can go and get one on the street&quot;, he said. Call yourselves a four star hotel? I appreciate that things can go wrong in any hotel but it's how they're dealt with that matters. The service I received was appalling and not so much as an apology. I have since spoken to several people I work with who have had similar experiences and our firm has stopped using them. Don't say I didn't warn you!	
Jul 22 2005	it'll do	I was a little worried about staying here after the previous review on this site!But all in all there wasn't much to complain about-distinctly average.The marble staircase was impressive but the lack of air conditioning in the reception, bar and restaurant made it uncomfortable in the hot weather.Having just been refurbished the carpets, wallpaper etc in the coridoors was very good but unfortunately this didn't extend into the standard bedrooms. The room furnishings were outdated and the bed uncomfy. The bathroom was clean and the shower of a good standard and most importantly on such a hot weekend the air conditioning worked.I felt the guest service was a little poor. The concierge gave me incorrect information about the London Eye and on trying to ring reception from the room I ended up ranging up on two occasions	
Jun 25 2005	sub-standard standard rooms	Having great memories of Russell Hotel I decided to stay there again.Rooms have been refurbished and now have individual AC, a must when London has a June heatwave. Not knowing differences between standard,ambassador, executive. I booked standard online.The standard rooms vary widely. They can be truly awful to acceptable.The individual AC's may or may not work. My husband spent 15 minutes cleaning out the air intake filter so the poor AC machine could work better and not sound like a jet aircraft on take off. Our standard double was the size of a single, the mattress was old and lumpy, the bed smashed against the wall. We looked out onto metal repair scaffolding and repairmen. My husband called it the prison cell. After two days we were able to upgrade to Ambassador class with a comfy King Bed overlooking the park. Major improvement, well worth the additional expense. We celebrated by ordering the $40pp in room breakfast which was okay and prompt. Other mornings we ate in the cheaper cafe in the park now that park is so clean and tidy. My advice is to book early and don't book standard. Also if your room has a problem, be firm, ignore them when they say they have no other room available and ask to see guest services. Our upgrade room was on a smoking floor but had not been smoked in so it was fine.	
Jun 21 2005	Enjoyable stay	I had a really lovely time at the Russell Hotel. The refurbishment is almost complete, the room was spacious, the bed very comfortable and the service at reception was excellent.On the minus-side breakfast was pretty dismal (and over priced) with the cooked food kept in a buffet-style container which was lukewarm and the supper menu also very expensive. However there is a little cafe in the park in the square which did a lovely breakfast and the situation was fantastically close to a variety of restaurants off Tottenham Court Rd.There were flaws but I really enjoyed my stay and if you search on the internet you will pick up some good deals like I did.	
May 25 2005	nicely refurbished but pricey!	I stayed at this hotel 5 years ago and it was quite faded and shabby, but I have stayed for two short breaks over the past month and there has been a considerable refurbishment. It is a beautiful looking hotel with a great marble staircase. I have stayed in a standard and executive room, both of which were very pleasant with good facilities, excellent sized bathrooms, and comfortable beds. My only criticisms are that the door locking systems (card keys) are old and I have had trouble getting in my room, the water temperature was a problem (too cool) and it is expensive!. However, it is easy walking distance to the British Museum, Oxford Street, Covent Garden, and Tottenham Court Road. Russell Square tube is just around the corner so it is easy to get around. There are quite a few good pubs locally, try the Firkin pub on Coram Street which has good beer at reasonable prices.	
May 17 2005	Just Overnight	For just a one night stay in London you need everything to be in easy reach and the Hotel Russell is in the perfect location. Just one stop on the Piccadilly Line from Kings Cross Station and two stops to Convent Garden. Central line easy to access for Oxford Circus. The staff in the hotel were efficient and friendly with a well organised team. Luggage can be left in a locked room prior to check in and also after you have checked out and waiting to travel home at no extra cost. Staying in a twin room there was ample space, beds comfortable, although bathroom a little on the small side. The view from the window was a shame as scaffolding erected all over the back of the hotel but these renovations cannot be helped. The hotel bar is priced very high luckily we only went in after arriving back from a show (four drinks £26) and if you are having a mixer drink stipulate single or double! Breakfast was excellent full chioce in buffett style continental and full english served in the large airey restaurant. I would recommend the hotel for a short stay only as quite pricey but great on location.	
Apr 13 2005	Comfortable convenient friendly staff	I recently stayed at the Hotel Russell with three girlfriends. We were very comfortable in our newly renovated rooms, with balcony views of Russell Square, fluffy duvets, immaculate bathrooms with rainhead showers and lots of space. Pleasant staff and lovely public areas. We did not eat breakfast because it wasn't included in our reasonable rate. There are plenty of places to eat nearby. I would definitely stay again.	
Apr 5 2005	Trying Hard but not There Yet	Like other reviewers, I had wanted to stay in the Russell Hotel previously. I was awed by the exterior, but at the time, my budget didn't permit. With the weakening of the dollar and a gradual climb in what I'm willing to pay for a hotel, the Russell Hotel became comparable to other London options, so we took the plunge. We paid $153/night for a deluxe contemporary room through United Vacations, and given the mixed reviews for the hotel, I was a bit apprehensive. Overall, we did not have a bad stay. We think the room was a good value for this price, but the hotel still has some flaws. It is hard to say at this point whether we would return to the Russell for our next visit or chance another hotel in the Bloomsbury/Holborn area.The public spaces of the hotel are indeed very nice. The amazing marble lobby with blindingly bright crystal chandeliers and wide staircase is very impressive. The conference rooms and restaurant have been restored and are elegant with elaborate plasterwork, mirrors, and marble. The wood-paneled bar is exactly what you expect in a Victorian hotel, with comfortable well-worn leather chairs. In contrast, reception is starkly modern with pale blue walls, and the elevators have art deco mirrors. Food and drink are quite expensive, but as mentioned by others, dining and drinking options nearby are numerous.Reception was eager and pleasant. We got a complimentary upgrade from a queen-sized bed to a king-sized bed on the 7th floor. When we stepped out of the elevator, we were bathed in modern squares of pale blue lighting for the pale blue halls. Our room was one of the newly-remodeled contemporary ones, and its size was impressive. In addition to the enormous bed, there was a good three feet of space on all sides of the bed in addition to the TV stand and two arm chairs at the foot. There was a glass and wood partition at the head of the bed, and this partitioned off a work area that provided a desk, telephone, internet connection, and storage shelf. Other amenities included an iron and ironing board behind a full-length mirrored panel, a smallish but adequate armoire, a refrigerator with complimentary bottles of still and sparkling water, tea-making stuff, and an in-room safe. This was by far the largest room we had ever had in London. Everything was blond wood, pale blue/white paint, and glass. The bathroom was also very modern with a large glassed-in shower, heated chrome towel rack, a freestanding basin on a granite-topped table with shelf, and a generous shelf across the entire length of the bathroom for putting your stuff. The bed was very comfortable and there were high-quality sheets, towels, and toiletries. The room was clean, and housekeeping did a good job of tidying and replenishing each day. We truly enjoyed relaxing in the room each afternoon over a cup of tea and a comfortable place to sleep each night.Sadly, the remodeling work done has not been of the highest quality. Towel hooks in the bathroom had already pulled free from the wall. The carpeting in the doorway was already stained. The floor beneath the carpeting was very uneven and creaked. Electrical plates were fastened askew. The preliminary work for a flat-panel plasma television on the wall facing the bed left an exposed electrical junction box. We noticed these things over time, and while they really didn’t affect the comfort of the room, we felt regret that the hotel’s efforts were being undermined by shoddy worksmanship.Given all the comforts of the room, and in spite of some inferior worksmanship, you are probably wondering what has made us undecided about returning. It boils down to plumbing. In a room, I really only want three things: a comfortable and clean bed, enough room to put out my things, and good plumbing. Without these three, all the space and high-threadcount sheets don’t mean much. Essentially, the sink and shower had problems with cold water. Hot water came out in abundance and with good pressure. This was fine for using the sink, but this was a major problem for the shower. One got a good jet of water going, but the lack of cold water meant the water was scaldingly hot. Lowering the jet of water such that the cold and hot balanced properly resulted in an enthusiastic sprinkle. We were able to shower and wash our hair, but it was frustrating to achieve the right setting for the shower morning after morning. I called down about the problem, and workers came through three times to work on the plumbing. Sadly, I suspect the problems go beyond anything a worker can do in a single room to the overall plumbing of the hotel. In the overall scheme of the universe, it seems quite petty to complain about a merely tolerable shower each morning, but when it comes to hotel reviews, it’s not so minor.So there you have it. The hotel is obviously trying very hard and has done some things very well. The public spaces are great. Our room layout, the space, and the amenities were great. However, the plumbing problem is a major one (and mentioned by other reviewers), and given some of the poor worksmanship in the remodel, I suspect the rooms will not hold up well over time. Given the beauty of the hotel, I want it to do well, so I hope that should I return, these problems will be addressed.	
Mar 27 2005	Mixed experiences	I've stayed in this hotel on 3 occasions and had very mixed experiences. Essentially it all comes down to the refurbishments (big time refurbishments). If you get one of the newly decorated rooms you'll be quite happy. If you get one of the older ones - you'll be very disappointed.	
Mar 23 2005	Money well spent ??	The hotel is just towards the end of a large refurbishment - the literature in the hotel says that they have done 180 of the rooms, so it would make sense to ask for/book one of those.We had one last weekend and it will be nice, when finished ! It didnt appear to have been &quot;run in&quot; or tested so we had plumbing problems with the loo, the basin and also the shower (no bath in the bathroom we had - altho they didnt tell us that when reserving) and it didnt seem as tho they had finished painting it - very patchy and not touched up. It wasnt a large room, but I've had smaller in London and we could access both sides of the bed - however, it was a &quot;regular&quot; double - there would have been no room for a queen or king size bed.Super location - 30 seconds to the tube station and just 10 min walk from Covent Garden so eating out wouldnt be a problem. The hotel sits proudly overlooking Russell Square and that is a delight to have a quick wander around to get some fresh air or a brisk walk.Breakfast was &quot;ok&quot; but I've had several better cold spreads both in London and outside, and was an extortionate cost if not included in your rate(£17/18 per person).The public areas are the big attraction of the hotel -a super lobby with graceful staircase and sparkling chandeliers. There is a restaurant and clubby bar too that could offer every bit as much charm, yet somehow dont quite seem to. Meanwhile, there are some very odd, modern bits (Reception and the lifts were notable examples ) that didnt really fit in with the traditional style of the building. It's an old building with a grand history and it's had some money spent on it. But I concluded really that the money only just brings it up to scratch, rather than exceeding any expectations. If you've never stayed in a grand traditional London hotel before and you get a decent room here you'll probably walk away satisfied, but I reckon you (and London) could do better.	
Mar 21 2005	Take your own snacks!	We have wanted to stay at the Hotel Russell for many years, being attracted by it's magnificent Victorian exterior. The inside did not disappoint: a magnificent lobby with well-restored mosaic and splendid staircases, a &quot;gentleman's club&quot;-style bar with comfy leather chairs, a clean and comfortable room. However, the bar needed comfy chairs to cushion the shock of their prices! These were ripoff even for central London: a small beer was £4 and a glass of ordinary Italian wine £5 ( I can buy the same brand for £3 a bottle). We were hungry, but the bar menu prices were astronomical. The last time I paid this much for alcohol was in Iceland! Having booked online, we were surprised to find that breakfast was not included in our room tarriff: this was nowhere made clear on our confirmation.I would advise anyone who wants to stay at the Hotel Russell to take their own snacks! Better still, 100 yards down the road is an excellent and authentic Italian Restaurant, Il Fornell, with friendly staff and reasonable prices.	
Feb 19 2005	I feel like I stayed at a different hotel than everyone else here!	I was at the Russell for 2 nights in February 2005 and I think they have been taking everyone's comments here to heart. It has recently been purchased by a new company who are doing a huge restoration project at the moment. Personally, I would have preferred to have known that the hallway outside my room was something of a construction zone during the day BEFORE I booked, but the good news is that the room itself was beautiful. New furniture, sumptuously decorated, spacious and a huge and beautiful bathroom with an extremely deep clawfoot tub. We were lucky enough to get a room with a view of Russell Square, and though some might complain of the traffic noise, if you live in a large city anywhere else in the world you have to admit there's really no helping hearing sirens downtown!The staff seem to have cleaned up their act, too. Reception staff were friendly and knowledgeable and when we phoned down for a sewing kit and bottle opener a very nice and professional person was at our door within five minutes. I also take exception to the person who claimed that there were no good restaurants in the vicinity. My boyfriend and I celebrated our anniversary at a very fancy Indian restaurant 2 blocks from the hotel and had a wonderful time. The food was fantastic. And come on, it's London! You're never more than 2 underground stops away from some of the best food in the world. Take my word for it -- the Russell Hotel is getting better.	
Feb 9 2005	Don't get an economy room	You'd be better off staying in a hostel at the local university than getting an economy room. The decor was depressing, carpet stained, ceiling had major water marks, bed damp and old, bathroom covered in mildew, the hallways were seeped in stank, and no air conditioning. The rooms probably haven't been renovated since the 50's.  I was trying to be prudent about cost savings by booking here (cheap room for a 4 star!) but the cheaper rooms here equate to more of a 1 star/cheap motel. Go get a nice 2-3 star room somewhere else.  Location-wise, as everybody has pointed out, the Russell is fantastic. Close to tubes, British Museum, Russell Square, and the University. 	
Feb 8 2005	Quite nice	After reading some of these reviews, I have to admitt that I was a bit apprehensive about staying at the Russell. I can now assure you that it is a lovely hotel. The architecture in the lobby is quite impressive, the rooms are all renovated, modern and clean and the bar is quite cozy. I am a US businesswoman who is traveling alone and am quite at ease at the Russell. The rooms are a bit small, but I have no problem with that. On the other hand, the bathrooms are quite large.	
Jan 24 2005	It was disgusting	Having paid 120 pounds sterling for a room in a four star hotel we were very disappointed. The room was small, the furniture dirty, the linen was dirty and there was a huge damp patch on the ceiling.Would not recommend this hotel to anyone.	
Dec 14 2004	Area is no problem! Just a quick bus ride to trafalgar sq. Loved the Brit Mus	In March 2004, we stayed in the same area at a wonderful little B&amp;B (50bp). I have no desire to share the name. Anyway, most of the great tourist spots are but a short bus ride away. And, the grocery stores nearby supplied everything we needed for picnics that saved us big money &amp; avoided the fat foods at restaurants. I even purchased soy milk for cereal at the attractive breakfasts, just as I do at home.While we did lots more than visit the British Museum, I must say that we really enjoyed it. I returned to the Rosetta Stone several times and with the help of cram sheet was able finally to translate some of it.We enjoyed being across the street from the U of London campus as well. Two weeks in London and a three day trip out to the boonies cost about 2k US Dollars.	
Dec 14 2004	architectural white elephant	Having stayed at Hotel Russell twice, it further strengthened my belief that London hotel owners, in general, have a total disregard for guests; we're like a never-ending flow of pigeons, no reason for aspiring to excellence. My first room was so shabby and dreary at Russell that I expected to hear WWII air raid sirens. The second, so ultra-modern, but ridiculously small, that it was the only reason for the flat-screen plasma T.V.; lack of space for a postcard. Room service was simply an unreasonable request. They were resentful and hostile of any request. Honestly, of all my London stays, the only sane and accommodating stay was at Royal Court Apartments, Paddington. Everyone else was either harried, frazzled, worn-about-the-edges or indifferent.	
Dec 12 2004	Dreary	We had a standard room on the 6th floor booked for 7 nights in conjunction with a British Airways flight from Boston in November. Wish we had stayed somewhere more pleasant. Just a very dreary, tired hotel with nothing special - even the full breakfasts were never varied. Staff has little training in making guests feel welcome. Worst part was no good restaurants nearby. Also quite a walk from theaters. If you are going to spend all your time in British Museum, may be O K but otherwise, find an accomodation nearer the livlier parts of London.	
Nov 29 2004	Very Tired	Poor old thing is my feeling about the Russell. The halls were very dreary with peeling paint and battered firedoors. Our room was both small and tired even though we were paying quite a high price for the room. The restaurant and bar were both closed for renovation during our three night stay in early November 2004. The room where we had breakfast, some of the staff and the quality of the food at breakfast were excellent. Additional note is that one of the lifts at the Russell Square Underground station will be closed for many months. There is a nasty crowded wait for a lift.	
Nov 19 2004	Very basic room for such a grand looking place	I stayed at the Russell in October 2004. It is a grand looking hotel in a great central location. If you like jogging, Russell Square is a nice place to run around. The service was polite and the people friendly. Alas, the rooms were quite basic. The bathrooms are basic (albeit very clean) and the decor has seen better days - I noticed damp spots and peeling wallpaper in mine. I was very pleased to check out!	
Nov 19 2004	old quaint...and a dump!!!!!	the short of it...the public areas a very nice. The rooms, however, stink. The bed in our room was clearly older than we were. You literally sank 8 to 12 inches into the worn springs and mattress. The rooms are small and dank. If you'll looking for a place to stay where you can relax and deal with jet lag, plan your touring, etc this is not it. If all you need is a flop house and the price is right then perhaps the russell is o.k.The location is prime...very close to the BM, UCL, etc.But I would not stay here again. There is a reason why Le Meridian dumped this place!	
Oct 14 2004	Good location will be v nice when renovation complete	Stayed for two nights October 2004 in a standard room on 6th floor. It did have air conditionning. The room was small but very comfortable, the bathroon cramped. Much of the hotel was closed off for renovation at the time, including public rooms.The staff were friendly and helpful, the dining room was great. Excellent location but no traditional draught beer in the bar.	
Oct 12 2004	Magnificent Victorian 4-star	Stayed at the Russell a few nights ago, and I am overall pleased. I loved the Victorian buildning with the impressive facade and the beautiful, old world interiour. The Fitzroy Doll's restaurant on the entrance floor had just been reopened and I had a very nice dinner there. My single room was quite small, but clean and proper and didn't lack anything that a four-star should offer. The staff was nice and helpful, and I believe that the hotel's future looks brighter now that it's not owned by the international chain anymore. The new owners seems to care more about restoring the original splendour than flirting with the hip 25-year-old dot-com executives (like installing PlayStation and plasma TVs in the rooms). The location is excellent for those who wants to visit British Museum, and also Covent Garden and Oxford Street. The tube station is just around the corner. The official rating is four stars, but I paid a lot less by comparing prices on the internet - probably I only paid for three stars! I will probably stay at the Russell on my next visit to London.	
Oct 12 2004	Great if you select the right room	We stay 6 night from Spetember 24 2004.WE have ordered via British Airways web site(Refurbished doule rom ,including Full english breakfeast).The first night we got a room viewing the backyard.Very very noisy.All hotel engines work all night so it was very dificult to sleep.The second day ,upon my request we have been moved to another giving to the Front.The room was bigger ,clean and very confortable.The Bathroom is completely renovated.WE have a very very plaisant stay.The breakfeast is all what you need.The stuff (specially the guys at the reception) are very helpfull.I had some problems with orders I made via internet (theatres,sightseeing).They open for me the business centre and gave me access to the internet,make some phone call to try to solve my problem even it they don't have to do.The Underground station is just under the cornerI recommend and I will be back	
Sep 15 2004	Awful!!!	Horrible experience - thank god I managed to escape to another hotel 3 hours after arrival on Sept 6 '04. The Russell is being re-furbished, so no AC, very hot and uncomfortable, tiny rooms, broken light fixtures, telephone that could not get an overseas line, strange set ups. My &quot;upgrade&quot; was to a &quot;double&quot; room on the 8th floor: take the elevator up to 7th floor, then walk around a narrow hallway, and climb 2 narrow stairways to the 8th floor to the room (bags and all!). The room had NO WINDOWS, only 2 iterally small holes close to the dome like ceiling. If felt like a cave! The nice porter recommended another hotel (and called on my behalf) so although it was already close to midnight after a long day traveling from NY, I took a cab across town and checked into an incredible (although much more expensive) hotel, where I loved every detail and every minute of my stay.	
Aug 23 2004	No value for money	Our experience was nothing short of terrible.Although we were apparently upgraded from an economy to a normal room, the situation was unberable.The room was very hot, and only had a view of the ugly back yard, where some builder were working, so there was also a high noiselevel in the room.No AC (off cource) so we simply had to keep the windows open to the noise. The refurbishings had not been mentioned when we booked the room.The most annoying thing however, was the lack of warm water in the bathroom, and the drains were only fixed on our second day because I complained.The staff told us that they would try to give us another room, but it never happened.So now I have the task of trying to get my money back from this, I my opinion, very lousy hotel.A nice looking entrance and hall, just isn´t good enough, and because I have tried quite a few hotels in London, even some of the basic discount hotels, I can say that Russel Hotel is the worst value for money.	
Aug 14 2004	Make sure what type of room you are getting...	I stayed here for 6 nights in October 2002. We had an economy (i.e. unrenovated) room for less than $100 per night through Expedia. I knew what we were getting, and it wasn't actually as bad as I feared. The public areas (lobby and grand staircase) are gorgeous. The room itself was good sized for London. It came with decent (but older) furnishings, a bigger TV and a nicer tea set than I expected. True, the paint and wallpaper were peeling in some places, the carpet wellworn, the bathroom tile chipped, and closet door a bit shaky. Russell Square itself is lovely, and the location is ideal. It was a good, fair deal for the price. The renovated rooms are undoubtedly much nicer, but they cost at least twice as much. If you want a safe, comfortable place to sleep while you see London, this place fits the bill.	
Aug 13 2004	Great location great staff	This hotel is elegant and the staff were all polite, helpful, and refined. The furnishings in the public space are unique and lovely enough that I photographed them. The exterior is quite grand. The location right next to the British Museum, in walking distance to several nice neighborhoods including the theatre district and next to the metro and pretty near the train stations makes it ideal.I took a single room, and it was functional and well-supplied, but tiny. The same goes for the bathroom -- tiny, all the fixtures looked new and the shower worked well and didn't flood the floor, as is common in European bathrooms. The bed was like a dorm cot but I slept well, and I the windows faced Russell square and they opened. Although on a busy street, it was quiet enough at night to sleep with them open.I paid about $200 including taxes for a tiny room, but in London at high season and with a great location, this was a good deal (the dollar was also very weak when I went).	
Aug 9 2004	This faded beauty still gives pleasure!	We saw the Russell Hotel online and were immediately captivated by its architectural detailing. Upon arrivalwe noticed the rug in the front hall was a bit worn and felt some trepidation about our decision. However, the staff was charming and helpful. Our room was a delightful surprise.It was large, nicely decorated, and clean, with tall windows facing beautiful Russell Square. It felt like home immediately. Even though our room faced onto the street the park helped to keep the noise to a minimum. We slept well even with our windows open. The bathroom appeared newly remodeled. All white tile and modern with a heated towel rack. The first day we backed into it after showering much to our surprise. The only problem we encountered was that the air conditioning didn't seem to work in our room. But the weather was cool so it wasn't really needed. The Hotel is located in the Bloomsbury area of London and is nicely out of the fray. Always a pleasure to return to every night.	
Aug 4 2004	Not so happy anniversary	Have just found this website and felt I needed to write about my stay at the hotel back in March 2000. We had booked a week in London to celebrate our 10th wedding anniversary.The 1st room was very dull and the window looked directly onto a brick wall which was so near that we could touch it. There were holes in the bed linen. We complained and were moved to another room which had a better view but the standard of the room still left much to be desired. The mould in the bathroom, the hole in the carpet and on the bedclothes again. The windows in both rooms were also very dirty. This really overshadowed what should have been a happy time for us. Pictures of the bedrooms that we saw prior to booking were of luxury rooms but it was not pointed out to us that these came at an extra cost.In it's defence the breakfast on offer was second to none and the variety of fresh fruit, nuts, baked breads and pastries, yogurt, fruit juices, cereals and of course the full english fry up was amazing.Also to be fair we did complain when we returned home and the manager made an offer for us to come back and stay in one of the luxury rooms for 2 nights at a minimal cost. We accepted this offer and all was perfect.It just goes to show that looking at some of the comments about the older, budget rooms they are still there (even though there was much publicity about the hotel being renovated at a vast cost), still in a very poor condition and still not been highlighted as the room you are likely to get 4 years on from when we had this problem.If you are considering booking this hotel I strongly suggest you check exactly what type of room you are getting, a modern upgraded one or one of the older ones that leaves a lot to be desired.	
Aug 3 2004	Great experience in classic hotel	We stayed at the Russell Hotel in mid-July and had a wonderful time. The room (6th floor, not the cheapest room) was a good size and very clean and the bathroom was very modern and pleasant. The hotel has a very nice bar off the lobby which is a good stop after a long day of sightseeing. Very courteous staff and beautiful seating area. The restaurant had very good food and helpful staff. The hotel is in a great location. The British Museum is a few blocks away, and the theater district is within walking distance as well. It is convenient to the Underground - which we used to go everywhere, including to and from the airport. It only took 45 minutes to Heathrow and was the cheapest method of getting there. Russell Square park is across the street and the cafe is a good way to start the day, planning your tourist destinations. The overall hotel staff was friendly and knowledgable. We would definitely stay there again if we are lucky enough to return to London. Great city, great hotel.	
Jul 24 2004	Stark difference between economy rooms and other rooms	The Hotel Russell's economy rooms are shabby and old. The room I stayed in had holes in the carpet and shower curtain that hadn't been cleaned in I-don't-want-to-know-how-long-ago. The shower did not drain and my friend had to wait at least a good half hour to shower after me. The hallways were dark and often dank with even some electrical wiring hanging from the ceiling. After several complaints about the room we thought we were receiving (the photos from Expedia and the hotel's own website were nothing close to what we got), we were moved to an upper floor on our final night. Needless to say, it was much nicer with a huge, fully modernized bathroom with huge shower stall and a claw footed tub. For an economy room, I would not recommend this place. If you have some money to spend, definitely pay more and book a room on at least the 4th floor.	
