	On the slide	This hotel is on the way down. We have been going for several years and it started off as a great value find. Time passes and standards slip. Dirty towels, disinterested staff, no staff on Reception...no sense of Service	
Mar 5 2006	As good as the reviews I read in Trip Advisor	My two children and I stayed in Jurys Inn Chelsea for two nights during the February school mid-term break. I had reviewed quite a number of hotels throughout London prior to making a booking, and the location and price, £65 per night, added to the great reviews in Trip Advisor, helped in making the final decision of where to stay in London.The hotel was very clean and very comfortable, and the staff very friendly and helpful. Breakfast wasn't included in the price, but having heeded other travellers reviews about the breakfast, we ate elsewhere. We had had a snack on arrival, and the quality and standard wasn't great.Getting to the hotel was quite easy, taking a tube to either Earls Court followed by a C3 bus directly to the hotel, or as we did during our stay, we walked the 12 mins or so to Fulham Broadway and got the tube from there. I would certainly recommend this hotel for price and location when choosing somewhere to stay in London.	
Feb 5 2006	Good	I was in Jury's Inn Chelsea 4 nights (28/01 until 1/02). I booked it in a web and the final price of all stay was 335 Euro including continental breakfast, paying a little more you get the English breakfast,it offers the tipical hot foods. The continental breakfast was good, but there wasn't a lot choices.The room was good for the price, the bed it's very comfortable for me. The windows isolate well the noise from outside, the Tv was a Phillips 21 inches but only was tunned a few UK channels. Like the last review, the options to move to center of london are limited but for me the best option it's get a London Bus Pas. At 50 meters of hotel there are the C3 and de 391, for reach the center of London you can stop at the junction of Lot's Road/King's Cross and then catch the bus number 11(Westmister Abbey/Trafalgar Square) or stop in Fulham Road and catch the bus number 14(Kensington/Hyde Park Corner/ Picadilly Circus).No more, sorry for my english level, I have to improve it.	
Feb 5 2006	Very Happy with BA's deal!	We were very happy with the Jury's Inn. We stayed there as part of a deal with BA. The room was large, spacious and CLEAN. The bathroom was huge and nice (no bathtub though) especially for the price.The staff were very helpful, even while waiting on very large groups that were staying there and they made sure to assist the individual traveler. We arrived very late one night and due to the phone system (not wanting to initate a call from my room) and no phone card, they let us &quot;quickly&quot; call the states to tell relatives we were there and safe.The only negative thing I have to report is the location. Due to the exchange rate we were looking to save money and had to walk from the tube stop to the hotel....which is about 15 to 20 min (one night it poured and of course no taxis in site). There are also no traditional pubs close by, although there is a pub in the hotel.I would definitely stay here again if watching my budget! Especially b/c most reviews of London hotels describe small, dirty rooms and this was the exact opposite!	
Jan 31 2006	Nice Hotel Enjoyed Our Stay	We were 3 adults sharing a room a weekend in Jan. The hotel was very clean and the staff I found to be friendly. It is in a very nice, upscale neighborhood, but it is distant from everything. You can catch a cab (about £8 from Earl's Court Tube) or catch the 391 to Fulham Broadway or C3 to Earl's Court Tube. The bus is not difficult, but we did opt for cabs our first two days. Kings Road has some very nice resturants (we ate at Ed's, because we couldn't agree on anything else). There were ice machines on every floor and the bathroom was super clean. Plus there were enough towels for all of us. Overall, it was good!	
Jan 16 2006 	Regular visitor	I regularly stay at the jurys in Chelsea for work purposes and always have a pleaseant stay. Rooms are a good size and always clean whilst the customer service is impeccable- I came to the reception one evening looking particularly tired and the receptionist made me a hot chocolate! Can get a bit noisy however, so I would be inclined to recommend earplugs. Apparently there is a cafe in the new St George's development across the road which does a very nice (cheap) breakfast.	
Dec 27 2005	Enjoyable	We, my mate and I have stayed here a few times now. From the front desk to the maids everyone is very nice and helpful. We always get a room on an upper floor with a great view. Living in the desert of Arizona I love the interesting things one sees when one looks out the window. The hotel it self is clean and modern with nice rooms to relax in. The bar is great for a beer or wine at the end of the day. I would not reccomend it for the food though, terrible hahahhaha. Oh well. We have had breakfast a few times in the restaurant and it is not the best one can find, but ok if one does not want to forage. Some feel the location is too remote from the actual city center. I do not mind this at all as we can walk a variety of ways to the tube and see some great neighborhoods and some wonderful shops. Two bus lines stop right out front of the hotel. One to Broadway Fulham and one to Earls Court at which one can join the tube. So if you are not one who has to have everything at ones door step this is a great place to stay. We have directed family and freinds to stay here, they all loved it.	
Dec 6 2005	Great Bargain!!	Jurys Inn Chelsea was excellent for the price. I reserved the room at 59.00 pounds a night. Myself and two brothers stayed in a room for five nights. The staff was very pleasant and helpful. We found it easy to get to the heart of London by taking the C3 bus to either Clapham Junction or Earl's Court for easy access to the Underground. The room was clean and food from the restaurant was tasty but pricey. Our view was the construction of some very pricey condos being built. The hotel was surprisingly close to the Thames River. We'd stay again.	
Dec 1 2005	Highly Recommended	My mother, brother and myself stayed at the Jury Inn in Chelsea for 3 nights a couple of weeks ago. I thought the hotel was excellent. The room was spacious and clean and the staff were very friendly and helpful when we asked for directions. It was a 10-15 walk to the Fulham Broadway tube station but this did not bother us at all, there is frequent buses for those who prefer not to walk. From the tube it was just about another 10 mins to get into the centre of London. The only downside was the price of breakfast which was £9.50 but with the rooms being so cheap this does not add to much in the total cost of staying there. I would definately use this hotel for my next trip to London.	
Oct 31 2005	Highly Recommend	This hotel was great value and quality for the cost. Highly recommend. Room was excellent – we had 1 double bed and 1 single bed. Bedspreads, blankets, pillows and sheets were very clean. In addition, bathroom was very clean too. Mattresses appeared to be newer as they were very comfortable. Halls were quiet at night, very relaxing. We did not wake up in time for the breakfast in the morning, so I can not comment on that. Bar in the lobby was great for a glass of wine before bed. A minor drawback for some travelers is its located a little bit away from the Tube stop – but it is easy to walk from the hotel (cute neighborhood and shops along the way – very safe) and you can get anywhere in London via the Tube.	
Oct 16 2005	Decent place	My husband and I took advantage of British Airways' promotion on airfare and hotel. We got 2 free nights here. They were both nice to accommodate us and switch our days to our first and last day of vacation. The hotel itself is very new and modern.Our room was clean and spacious for two. The adjoining pub and restaurant were adequate. However, it is situated on the outskirts of everything. You have to walk 10-15 minutes to the Fulham-Broadway tube station. Not great when you are toting luggage. The bus was sporadic and was not as easy to figure out as the subway. We basically used the hotel to launch our vacation out and back into town. I would stay more central to town if I was sightseeing London. The buses stopped running at midnight and you had go to Earl's Court on Saturday to catch the Wimbledon line. WE discovered that after wasting an hour at Westminister. It seems to be a nice hotel but not recommended for central London travel unless you are willing to walk and commute. I believe I read that a tube station was proposed nearby for December 2005. I would confirm that before booking. I did like this hotel and location was the only factor.Oh yeah, we ate at a restaurant outside the Fulham Broadway station. Please pass by TGI Friday and head to El Metro at 10-12 Effie rd.It's right at the top of the intersections after you walk out of the station. It is Spanish food but had a menu to please all. Good band and atmosphere. Save some fish for the local black kitty with the blue collar. He/she seemed quite happy with my menu choice. I was too. Lots of people walking around this area,many single women so it seemed like a safe area.	
Oct 11 2005	Nice hotel shame about the walk!	I stayed at the Jury's Inn last weekend. It was very good value for money and the hotel was modern and very clean. The only down side is that it is a good 15 minute walk from the nearest tube station (Fulham Broadway) which becomes a bit wearing.	
Sep 20 2005 	Wonderful customer service!	We stayed here 3 nights and were so impressed with the staff. They went out of their way to make our stay comfortable. The hotel is quite nice, if a bit out of the way. But a short walk brings you to Kings Road which offers lovely shops and restaurants. The tube stop was about a 10 walk and buses drop off right at the front of the hotel. When the Imperial Wharf development is completed this will be a real destination area. The Chelsea Football Club is close to the hotel and is a great place to buy souvenirs. While in the area go to the Chelsea Bun Diner a few blocks away-great breakfasts! As the sign on the tube stop says &quot;life begins at Fulham Broadway&quot;	
Sep 11 2005	This felt like the middle of nowhere ...	Jury's Inn Chelsea is a new hotel and although very clean, the room was fairly tiny. When checking in, I asked for an upper floor (for the view) but when I added that it had to be a smoking room, was told that smokers were relegated to the 2nd floor only. For this reason alone, I would not stay here again. Other than that, as soon as the neighborhood development catches up, it will be a very nice place, however, as of right now (Sept. 2005), one has to walk at least 15 minutes to the nearest pub! The Thames is very close by (although, as I mentioned, from the 2nd floor, I could not see it from my bedroom window!) Don't bother hanging the &quot;Do Not Disturb&quot; sign on your doorknob, by the way, as housekeeping will indeed disturb you, no matter what. Although I only paid 49 pounds per night at Jury's, I still wasn't happy with it because it didn't even feel like I was in London, due to the remote location. Access to civilization was obtainable via bus or tube but to me, one of the charms of London (like New York) is that everything is (usually) right outside your door with no need for public transportation. I would not stay here again, due (mainly) to the poor treatment of smokers, tiny rooms and its out-of-the-way location.	
Sep 9 2005	Excellent value hotel	I just returned home to Dublin after spending 5 nights in the Jurys Inn Chelsea with my parents. We got a triple room for 60 pound which we all thought was excellent value. The room were very modern, clean, well appointed and spacious. We made several requests to housekeeping and reception during our stay which were all accommodated quickly and without fuss. The hotel itself was very pleasant, bright and modern. The bar was very open and had a large plasma screen. We did eat in the bar once for lunch and it was only ok. You could get something better in Fulham or Earl's Court.As Imperial Road was closed, we ended up catching the C3 bus to Earls Court tube station most days, and it was then a short tube ride to the city. We also walked to Fulham Broadway station occassionally which took about 15mins. All trains and buses were very regular (every 10mins or so).On our last day, we had a late flight and so we were able to get a late checkout of 2pm. They also stored our bags for the rest of the day. Getting to the hotel from Heathrow was very easy and only takes 37mins to Earls Court. Just get the Picadilly Line direct to Earls Court station. This costs 2.10pound for an adult. You can then catch the C3 bus from Earls Court road to the hotel for 1.20pound (about 10mins). Overall we had a great time in this hotel and would definately return.	
Aug 14 2005	Great Value	I stayed at Jury's Inn Chelsea based on the reviews I read on Trip Advisor and I'm glad I did. I got a great deal of 50 pounds per night. It is in a nice residential area of Fulham which made me feel like a local. I stayed for two weeks - from 1-12 August. My goal was to spend most of the time in Central London and just have a place to sleep. The hotel was wonderful. The beds are very comfortable and I slept very well. There wasn't much traffic outside so it was very quiet. The room was kept very clean. I only ate there twice so I can't comment on the food, but the breakfast is a buffet style for 9.50 pounds. There's a bus that runs along Imperial Road #391 which wasn't running due to a water main break, but there's another bus around the corner, #C3. I only used it once because it was raining. I walked to Fulham Broadway station every other day. It's about 15 minutes but it's a very nice walk. I did get lost on the way there the first day. If you follow the directions on the hotel websie, just remember when you get out of the Tube to cross the street at TGI Fridays. The first road to the left there is Harwood Road. Fulham Broadway also has a Starbucks in the mall there, which is where I ate breakfast every morning. There's a Boots (pharmacy) and a Sainsbury (grocery store) there as well. It was also an easy commute to Heathrow Airport and both Fulham Broadway and Earl's Court stations have elevators/lifts. I took some photos by the hotel for your reference. All in all I had a wonderful trip and if I go back to London, I will stay there again.	
Aug 2 2005	Great Hotel - Great Value	My wife and I stayed at this hotel for 4 nights from 18-22 July and got a great internet rate of £49 per night. The room was big and bright (one wall was all glass) and had A/C. The staff were very pleasant and helpful. Check-in, check-out and a request for an iron &amp; ironing board were quickly dealt with. It’s a (safe &amp; flat) 10 min walk to Fulham Broadway tube and bars/restaurants. It has a large bar which like most hotel bars is a but soulless but at least it stays open till 1.30am if you really need a final drink before turning in. We had our car with us and secure car parking is available 5 mins walk away and cost us £94. It’s expensive but still cheaper than parking rates in the centre of London. Tip: the parking payment machines only accept cash so make sure you have plenty before going to your car! The hotel is very handy for Stamford Bridge (15 mins walk) if you are ever lucky enough to get a ticket for a Chelsea match. If I had to take my car into London I would definitely use the hotel again.	
Jul 24 2005	Wonderful Hotel	Our family stayed at the Jury's Inn Chelsea for three nights, July 13-16, 2005. It is clean, new and the staff very helpful. There are no special soaps or shower caps and such in the bathrooms, but there is a coffee maker and hair dryer in the room. The rooms were spacious, and the air conditioning a life saver as it was sweltering hot when we were there. The walk to the Fulham Broadway tube station is pleasant, whether day or night, and only takes about 12 minutes at a normal walking pace. If you prefer the bus, it is outside of the hotel and takes about 20 minutes to get to Earl's Court tube station. We highly recommend this hotel and will definitely stay there in the future. The area itself is one of the up and coming districts of London.	
Jun 27 2005	Fab Hotel-Great Value	I stayed at this hotel from the 24th-26th June with my girlfriend on a short trip away. As we arrived early our room was unavailable so the hotel took in our bags which let us free to do what ever we wanted. The staff were very friendly although some were of foreign nationality and were not as welcoming as others. The room was very spacious and very clean. The cleaners completley cleaned our room when we were out and replaced all the towels which may be normal in all hotels but they were very efficient. We only left for about an hour and when we came back our room was completely spotless. As it was very hot in London the Air Con in our room was very useful. We were originally booked to stay in a different hotel but after reading reviews for the hotel on this site im glad I changed. The 15 minute walk to the tube station is only a nuiscance when you are carrying suitcases. Its a nice area to walk along and if you are only carrying normal shopping bags you dont even feel the time pass. There is a bus stop bout 30secs away from the hotel if your not up for walking which will bring you to the front door of the tube station. The hotel facilitated us for a late check out which was very handy and they stored or bags again until we were ready to get out flight. I didnt try the breakfast but the prices seem to be reasonable for both breakfast and dinner. All in all this is a very nice hotel. I will definately be staying here again when I return to london.	
Jun 26 2005	Good value but only book it if you like walking!	We stayed at the hotel in June 2005 for four nights. The hotel was clean and the room was spacious with a nice bathroom and lots of towels.It was good value compared with many hotels I looked at.However, it is a good 15 minute walk from Fulham Broadway tube station (and I am not a slow walker).You can catch a bus from the hotel to the tube station (and back), bus no. 391 passes the hotel, it costs £1.20 single. You can pay on the bus. The buses run frequently, about every 15 minutes, even in the evening. If you get a one-day or three-day travel card from the tube station, this covers bus travel too. I would recommend buying a travel card.When you are getting the tube back to Fulham Broadway, I would recommend getting any District Line train and getting off at Earl's Court if it is not going to Wimbledon, you then maximise your chances of getting the train you want, as the District Line splits into several different directions. (This may sound confusing but if you look at an Underground map you'll see what I mean!)Fulham Broadway Underground Station has a newly built shopping centre with many restaurants and a cinema complex, also a Starbucks and a Sainsburys, so it is very convenient to eat there or buy food to eat later.	
Jun 12 2005	4 star-Cheap rates	We stayed at the Jury's Inn Chelsea early June 2005. We booked through their web site and got a great deal. The rooms were clean and nicely furnished. I would rate this a 4 star. The only problem was location. It quite a walk to the subway. Breakfast downstairs was a little confusing. 9 quid for the continental breakfast and 12 for the complete breakfast with eggs. There were buses nearby but of course you can't use them until you already have a ticket. All things considered even if you take a cab from the subway back to the hotel and visa versa it is still a good value.	
May 23 2005	Good hotel - but check the location	We had a short stay here in early May. It is a very attractive, modern hotel with pleasant, airy rooms, and is in a residential area. However, do not be fooled by the address - it is in Fulham, not in Chelsea, and it is a good 15 walk from Fulham Broadway tube station (get directions from the hotel before you leave home, or you might get lost like we did!); a taxi back from the theatre at 11pm one night cost us £25 plus tip - so what you save on the cost of the hotel you might well end up spending on transport.The food in the bar is good and is reasonably priced; breakfast is okay and not expensive at £9 a head. Staff were helpful and polite, apart from when we checked in and the staff member answered the phone 3 times while trying to find our room on her computer.Overall this is a good, reasonably priced hotel, but it takes time and money to get into central London from here.	
May 9 2005	Disappointing on a Match Night	Oh dear. Before you stay at the Jury's Inn, Chelsea, check whether Chelsea FC are playing at home at Stamford Bridge football ground. Unfortunately, I had booked to stay here with my young niece (due to the good reviews I had read here) but the hotel was absolutely heaving with Chelsea supporters singing and chanting. It was basically like being on the terraces. We tried to eat in the restaurant and actually had trouble hearing the waitress above all the chanting in the bar 50 feet away. I don't know how much the hotel is at fault here - I don't know if they actually aim to sell to the football crowds or if they can't control the situation - I felt really aggrieved, though, to be stuck in that situation without warning. There were a few other problems as well. The restaurant just suddenly decided to close for half an hour mid-evening because they said they were busy. The bar was out of the question because of the football supporters so we were stuck hungry and stranded for a while. I had to ask for the manager and then after ten minutes they seated us. The bedroom was noisy for various reasons (for one, it was over the bar!). I had booked a twin room, but no such thing exists in this hotel - you just get a camp bed in the room for your second bed. My niece sat down on this and it promptly tipped over backwards (it was broken) so we had to put the mattress on the floor for her to sleep. In the morning, the breakfast was mainly OK but there was no butter (only margarine) and the coffee was instant. I can hardly remember ever being given instant coffee at a B-and-B let alone a three-star hotel. I'm really surprised that I had such a bad experience when most of the other reviews on this site are so good. I can only assume the hotel was having an 'off day'. There were some pluses so I really ought to make those clear to be fair to the hotel. The room was large, and well equipped apart from the lack of a proper second bed. The bathroom was huge. I also have to say that the whole place was absolutely spotless - I've seldom seen such a clean hotel - which does count for a lot. Also, the staff were all pleasant enough. We only paid 70 GBP for a twin room with breakfast, which I know is very cheap by London standards, but I really wouldn't stay here again unless I knew that it wasn't a match night.	
Apr 28 2005	Loved it!!!	I stayed at the Jurys Inn for 2 weeks and it was great! My husband and I stayed there for 2 weeks for our honeymoon. It was perfectly located in a beautiful upscale residential area - away from the hustle and bustle tourist areas. It was clean, and the staff very accomodating. We made ourselves very at home there!	
Apr 5 2005	Great Value	Stayed here the first day/night after traveling for half a day. Excellent value for how reasonably priced they are - very comfortable and in general a very accomodating staff. Location is lacking though - 15 minute walk to the Fulham/Broadway Tube station (Zone 2) but there are bus stations within a 5 minute walk if you want to go that route. Area near the Tube station is pretty lively with many pubs, restaurants, internet cafes, etc. Area surrounding the hotel is very industrial. An okay walk during the day to/from the Tube, but a little eerie at night. Very comfortable room - each room has individual a/c/heat control. Our room had a huge bathroom and lots of space in the main room. They have ice/water machines in the hallways if you're scared of drinking the London tap water. Breakfast was kind of expensive, but since there didn't seem to be any other options nearby and had to get to the airport, we were stuck. I guess there are plans for building a Tube station closer to the hotel, which would increase the chances we'd stay here again. We also stayed at Jurys Inn in Galway and Limerick - overall we've a good impression of this chain.	
Apr 2 2005	Two Thumbs Up!	It's hard to find fault with a brand new hotel that has all the amenities, including a wonderful continental breakfast. The atmosphere reminds me of a giant IKEA ... very modern in furnishings and architecture. We too were allowed into our room early (before 10:30 am) even though it wasn't ready for us when we arrived. We only had to wait in the lobby for about 20 minutes before we were given the keys. We didn't find the location bothersome at all, in fact it's very quiet around the hotel with very light traffic. We did walk to the Fulham Broadway tube station a few times, but found that hopping the C3 bus right outside the hotel got us to Earl's Court tube station in about 5 minutes (very handy at night). PS - We got 2 nights here as part of our British Airways air package also. Made the cost of the plane tickets well worth it.	
Apr 2 2005	EXCELLENT IN EVERY WAY!!	What a SUPERB hotel! Stayed for a long weekend in Mid March 05 and I cannot praise the hotel OR the staff highly enough. I am a disabled lady - not needing a wheelchair - but restricted in mobility and using a stick. The staff here were both attentive, helpful, pleasant - one even offered to go to the shop for me - 10 minutes away - and with the ok of the manager on duty when they discovered there was something I wanted which they couldnt supply!!! How often would you be offered THAT level of service and attention? The room was spotless...329..a corner room with a lovely big window. The bathroom was ideal - plenty of room and a lovely low bath! Nothing was too much trouble at this hotel... I was fortunate enough to be picked up by friends each day from the hotel and so did not have any travel arrangements to make but on the occasion when I needed a taxi to the station, again, the hotel did everythign and were VERY efficient! I booked through lastminute which went INCREDIBLY smoothly with everything done and waiting for me on arrival and a permitted late check in which was also MOST helpful and incredibly efficient! The only thing I could say which might improve anything here, was that apparently, if I had booked it through visitlondon.com, it would have been about the same price, but would haveincluded full breakfast too and no credit card charge. Please...book this hotel with confidence...SPOTLESSLY clean and an EXCELLENT staff!	
Mar 30 2005	Good value if the location suits you	We had two &quot;free&quot; nights at Jurys Inn Chelsea as part of a British Airways special. They gave us our room before noon which was nice - having arrived at Heathrow at 7:00am. We must have been upgraded from a standard room for it was large with a 10 foot bow window on the 5th floor overlooking a tiny bit of the Thames. The rest of the view was of the very busy construction of a major development on adjacent Chelsea Wharf. When this is finished sometime next year there will be many more amenities next door. The area was once quite seedy with a major gas works nearby. It is becoming very posh with yacht basin and expensive condos.The location is still unknown to taxi drivers so download a map of the area to save a lot of blind searching. The location is not a problem if you know how to get around in London. The best value in the whole city is to go up a few blocks to King's Road and take the No.11 bus to Liverpool Street Station. It takes you past the Parliament Buildings, St-Paul's Cathedral and many of the most popular sights - all for £1. Starting from Chelsea you should be able to get the top front seat on a double-decker. You are a two minute walk from a water taxi which will take you to Westminster and from there you can get a boat to Greenwich or up to Kew. We went down to Greenwich for the first time and the riverside was very interesting and Greenwich Park is large, beautiful and free.The hotel is very clean and new. They provide the best complimentary continental breakfast we have experienced. The so-called pub has all the charm of a McDonalds complete with monster television but has good beer. The fish and chips served in the pub was fishsticks - 'orrible! A cheeseburger in the restaurant is £10 but that's London and no one goes there for the food!	
Mar 28 2005	Excellent Hotel	We stayed in Jurys Innn Chelsea for three nights (Mar 17-20, 2005) &amp; found it magnificent. When you stay a Jurys Hotel/Inn you are guaranteed quality. Our room was on the 6th floor with great views of London. As the hotel is only newly opened it is in pristine condition. The room itself is tastefully decorated, has a great bathroom &amp; everything you would expect from a modern hotel. From browsing previous posts on this site with regards to the location of the hotel I would like to give my opinion on the subject. The nearest tube station (Fulham Broadway) is a nice short 10min walk from the hotel. As the weather in London was unseasonalbly good (20c mid-March) it seemed only a stone's throw away. A tube into central London (Oxford Circus) takes approx 10-15min. The general area is mainly residential, settled &amp; quiet &amp; extremely safe. You are never going to have a perfectly located hotel close to all the attractions in any city. At night when we ventured into the West End to socialise we took a cab home with cost £20.With London being such a big city I firmly believe Jurys Inn to be a great value option &amp; would heartily recommend it to anyone thinking of visiting London in the not to distant future. You will not be dissapointed! P.S. For a great restaurant try 1492 Latin Fusion in nearby Fulham (404 North End Road).	
Mar 13 2005	A hidden gem	I just returned from a six night stay at the Jurys Inn Chelsea. We had a fantastic stay and would definitely stay there again. Our room was ready when we arrived early (an unexpected treat) and the room was better than I had expected. I had read the hotel rooms in London were tiny, but this one was actually a bit bigger than I had imagined. The coffee/tea in the room was great after a long day, and after mastering &quot;hairdryer in drawer&quot; styling technique, that was OK too. There were plenty of pillows and towels (not quality towels though) and the beds were pretty comfortable. The rooms were very quiet and we had a nice view of the Thames (though off to the left a bit.) The bathrooms were great, again not huge but well laid out and great water pressure in the shower (once I figured out the adjustments). The continental breakfast was good and the restaurant meal we had was great (and not expensive for Chelsea area). The staff were very friendly and helpful, very attentive and smiling. Much has been written about the location, being too far out, inconvenient, etc. Well I loved where the hotel is located. After a busy day in the heart of London, it was relaxing to come &quot;home&quot; to our quiet little section of the city. The bus to Earl's Court was right out front and in the morning only took about 5 - 7 mins.(about 15-20 in the eve). We walked to two fantastic restaurants on the King's Road (Chutney Mary &amp; Jim Thompson's); an easy walk (10-15 mins.) With the new train station arriving and Imperial Wharf and Chelsea Harbor building up, this hotel won't be a bargain for long. Enjoy it while it's a hidden gem!	
Feb 1 2005	Would stay there again.	Stayed there January 05. A newer hotel that I would equate with a newer motel 6 in the US. The room was a spacious corner room but the bath was rather small although it was a full 3 piece bath. The room price included a basic continental breakfast however for 3 pounds you can have a full breakfast which I did while my wife had the continental breakfast. We were satisfied with the food. The most complaints about this hotel is the distance from the tube station. We timed it and it was a 15 minute walk and we felt safe at night. The next day we took the bus which was easy and cost 1.20 pounds. The bus made the tube station easily accessible so the location became a moot issue. The hotel bar was nice and drinks fairly priced (for London). I would see no reason not to stay there again. Very pleasant and helpful staff.	
Jan 20 2005	Great Hotel! - Location Not an Issue for Us	My wife and I recently spent 6 days at the Jury’s Inn Chelsea in London. We had a special offer of 2 free nights through British Airways in connection with the Detroit-London tickets we had purchased, and this was one of the 5 hotels we could choose from. Initially we were a little worried about the comments that other reviewers had made about the distance from the London Underground. Once there, however, we found this to not be a problem at all, and were very pleased overall with the hotel.The hotel itself is quite new, and modern in style. All the amenities are of very high quality and in fine working order. The hotel staff are all generally quite helpful and accommodating. I cannot vouch for whether they were knowledgeable about London, as I did not question them too much on such issues. I should note that in particular, they were quite helpful in accommodating us for an early check-in almost 4 hours before the regular check-in time, although we did travel in January, a typically slow travel time. We were grateful for that after not being able to sleep too much on our overnight transatlantic flight and arriving in London at 6:30am.The room itself was on the small end by American standards, but is probably relatively large for the UK. The bathroom and room amenities, such as the TV, phone, climate control, were all new, of a high quality, and in fine working condition. The room and bathroom was clean, and the housekeeping did a fine job of keeping it that way. Noise was never and issue. There is a restaurant and bar in the hotel, and a complimentary Continental breakfast was included each morning, and was substantial enough for our needs. If it is not, an upgrade to a Full English breakfast is available too. A downside to the hotel is that aside from these facilities, there aren’t any others within a few minutes walking distance, although that will probably change during the development of the Imperial Wharf area.There has been much comment on the distance of the hotel from public transport. We did not find this to be an issue. The Fulham Broadway Underground station is a pleasant 10-minute walk away and can easily be walked regularly. The neighborhood seemed quite safe, even when we walked home once after midnight. In addition, the 391 Bus Stop is a 2-minute walk away, and runs relatively frequently. Even on Sundays, the bus runs every 10 minutes (every 15 minutes, later in the evening), so the wait is never long. The walk is about as quick as the bus when you consider the waiting time, but the bus might be preferable if it is raining. In hindsight, I do not consider the location of the hotel to be an issue at all. The Tube is quite close, and once you are on, everything in London is in easy reach. We either took the bus, the tube or walked the whole 6 days. We did not need a taxi once, even when we stayed out late at night. Also, in and around the Fulham Broadway station there are many fine pubs, restaurants, banks, shops, and a supermarket. The location of the hotel will improve even more soon, as an Imperial Wharf Tube station is proposed, and I believe it might open as early as mid-2005, but that timing should be confirmed with Transport for London. This station is going to be just around the corner from Jury’s Inn Chelsea. We did not really have any complaints about the hotel, but a few minor details to note are as follows. The addition of an iron and ironing board in the room, and moving the hair dryer from the desk by the TV to the bathroom would be appreciated. Maps of the local area in the hotel guide would have been helpful. There is a payphone in the lobby, but it set up such that toll free calls cannot be made, so I was unable to use the prepaid calling card I had to make calls – the charges from the room phone were unreasonably high, as it usually the case for hotel phones. All minor issues.We certainly recommend this hotel without reservations to anyone in London for a short stay, be it for business or leisure. I would not hesitate to stay there again if we were in London, as we were pleasantly surprised by our stay.	
Dec 20 2004	Clean quiet but a way off track	I stay in hotels most week nights so I review this one from some experience.Room - excellent. New, clean , fresh, quiet .. its only 8 months old so its what I would expect.Restaurant - light , airy, nightly specials, food a good quality, very limited menu however. Not for cosy 1-2-1's. Staff adequate.Reception - very helpful.Breakfast - they never took my room number so I had 3 free breakfasts !. Staff lacking in morning. Good traditional spread.Location - near lovely Chelsea harbour .. but about 800yds from nearest pubs; restaurants; shops. Tube is 1.5 miles away. Taxi is £20 to west end. Its actually refreshing to be away from the hustle and bustle. IMHO	
Nov 24 2004	Nice but inconveniently located	My husband and I stayed here our last night in London for our honeymoon in early October. We had stayed the first part at the Copthorne Tara, which was older but much more convenient for mass transportation and resturants, shops, etc. We arrived back in London from two days in Edinburgh and were disappointed in how far the tube station was from the hotel. We had to take a cab, since no one at the tube station seemed to know which bus we needed. We ran into the same problem the next morning upon checkout--we had an early flight and couldn't take the bus so we called for a cab. He took us back to the Fulham Broadway tube station, which was not yet open. We had to have him drive us all the way to Victoria station to catch the train to Gatwick. It's not a cheap ride.On the bright side, the Jurys Inn Chelsea was obviously brand new, with a modern color scheme and furnishings, updated bathrooms and comfortable beds. The staff was exceptionally nice; we chatted with the lady at the desk for a few minutes about our travels and she congratulated us on our wedding, etc. She was very personable and made us feel welcome. Our room was comfortable and quiet. We didn't hear any noise from other rooms and got our 5 a.m. wake-up call with no problem.Overall, if you've planned your trip to the last detail and need to be in the Chelsea area specifically, the hotel is great. If you're winging it like we were and prefer to be more central and walking distance to the tube, I'd stay in Kensington.	
Nov 9 2004	Ok but the location is the problem	I stayed here recently mostly because it was cheap.PROS:Cheap priceClean and relatively newHigh speed internet accessQuiet areaLarge bathroomNice bedsCentral AirconditioningCONS:The air conditoning unit gave an audible click whenever it started or stopped. I didn't notice it much when I was sleeping. Occassionaly it would just stop though.The shower curtain would not go all the way around because the metal rail holding it had to taped at the joint. This was not an issue for because I am short person, but it might be for a larger person. Also, the shower head is VERY high up, I almost had to stand on my toes to reach it.High speed internet access costs 7 pounds for 1 hour or 15 pounds for 24 hours. Luckily they had not worked out the billing so I wasn't charged, but conversion for the dollar is not good and that is approximately $30 per day.The location to the tube is just awful. If you are by yourself, don't bother using the tube if you have more than two large suitcases. Taxi to and from heathrow is between 40-50 pounds, not cheap but more convient.If you have a family or are couple, and visiting for toursim don't stay here. Stay at central london location, even if it is a little more pricier. The walk to and from Fulham is just very annoying. The bus service is not always easy to wait for.Also, there is nothing around the hotel except residential buildings. No shops, bard, restaraunts, post office, etc.Do not get me wrong this hotel is very nice, but for the tourist just not worth it.	
