	Small dusty noisy and bad service	My husband and i stayed here for one night only and that was enough. I know this may sound harsh but we have never been so disapointed with a hotel. I boasted to my family about staying in a 4* hotel but had to admit on my return that there wasn't much to boast about. The room was tiny, you have to walk around it sideways apart from the bathroom which i must say was the only good point especially the way the water ran out of the tap but i must stress this was the only good point. It was dusty because of the continued refurbishment that was happening. I know many peopke have taken this into account but the work should be finished if it's going to cause disruption fot the guests. The next pitfall parking, this is something we specifically looked for and it suggested that parking is available for guests but it didn't state as long as you are willing to pay £40 a night. Last but not least breakfast, after entering the dining room and waiting 10 minutes for them to clear a table which we subsequently cleared ourselves, we then waited 10 minutes for some clean plates but forgot to ask for clean cups at the same time which took another 5 minutes to get. After eventually sitting down to breakfast which wasn't very nice we then heard a funny noise followed by two of the guests unplugging the warming hubs as it sounded as though it was about to blow up. We shortlly checked out after this. We responded to the review on their website and were offered an apology and a free upgrade to a clubroom on our next stay if we paid for a double standard room. Which i personally thought was a bit of a joke!!!! The other point we found was after entering our debit card details online we were then asked to pay for the hotel when we got there as it didn't take the money out from the online booking which on top of everything else was a little irritating!!!!!	
Jul 2 2005	The Inverness Court Adventure	Inverness Court Hotel, what can I say? A very interesting site in a good location, but as a hotel...? It was built by King Edward for Lilly Langtree with lavish wood carvings, beautiful outdoor stonework, and stained glass windows but the royalty stops at the creaky elevator. The rooms were parcelled out on the smallest possible scale. It was like staying in a closet. The beds were not comfortable though the linens seemed clean. The bathroom was amazingly small and you had to be an accomplished gymnast and contortionist to take a shower without turning the floor into a duck pond. The general decor was neo-classical dinge.Though it was summer, I am convinced that the heat was turned on. The hall was hot and the public toilet near the dining room was a sauna. Totally unusable. The dining room was only good if you sat next to an open window. The help was friendly but clueless. A girl in reception lost an incoming phone call to me. Harry, the assistant manager from Cyprus was a very nice person who gave us some good tips. They also have nice hard candies at the desk.Breakfast was continental. The juice was passable. The rolls were OK. The croissants ran the gamut from microwaved to inedibility to pretty good. The add-ons to semi-English breakfast were also pretty good. Bacon and eggs or sausage and eggs for 2.50 additional. A breakfast like that kept us going til the afternoon. The second night we ate dinner at the hotel because we were too tired to go out to Queensway. Only two of the many tables were set for dinner. We had to rouse the Spanish waiter(cook?) from his evening newspaper and convince him we wanted dinner. Even he couldn't believe that someone actually wanted to eat there! My wife had roast beef and I had roast lamb. My plate of lamb looked exactly like my wife's plate of beef and tasted suspiciously the same though the waiter swore it was lamb. The food was was the best that comes out of a can! And of course the room was insufferably hot.The location was good, 5 minutes walk to the Bayswater tube station. (Beware of long lines at the beginning of off-peak time at the station.) Queensway, a 3 minute walk from the hotel has more mediocre restaurants per square inch than any other place I've seen. We ate at a bad Chinese restaurant (recommended by hotel people) the first night and didn't get too adventurous after that. One morning we beefed up our continental breakfast with an egg McMuffin, a cheaper alternative than the in-house add-ons.My overall impression of the hotel: we were able to put up with it because London is such a cool place and we only slept there. It's no resort hotel, just a crash pad with the trappings of Fawlty Towers. Only John Cleese was missing! A more interesting hotel at that price is probably difficult to find but abandon all your hopes of comfort at the door. May the Force be with you!	
Jun 28 2005	don't stay here for longer than you need to!	We had a room on the 8th floor, for one night only recently, and thank goodness it was only for one night. The room was tiny, the bathroom can only be entered sideways. That bathroom - in fact the entire hotel - needs a thorough cleaning and modernisation. The room itself was just about adequate, and as we were both shattered, the fact we had two twin beds was bearable; certainly don't plan a romantic weekend in this one. The TV was tiny and antiquated and had only three - obviously terrestrial - channels. The lift felt cramped and unsafe, the garderobe (luggage room) was minded by an asleep off-duty barman, and a cockroach met us as we came out of our room.On the plus side, the check out is a very sociable 12 noon, and late check outs are available at a price. Breakfast - continental - is provided in the price which once again was acceptable for the location at £60 for the night, although as we didn't get up for it I can't comment on the food! The hotel's location is another positive point, between Bayswater tube station and Kensington Gardens so it's handy for exploring.We were both rather shocked to discover that this hotel is on many tour itineries for Spanish speaking countries; we'd certainly not want to be staying in this hotel's Spanish or Latin American equivalent.	
May 28 2005 	Great staff - Great location - poor quality rooms	I chose the Inverness Court mainly for location and price. The staff were most helpful but in this day and age there is no excuse for poorly decorated, cramped and uncomfortable accomodation. My room was on two levels with a small staircase.The shower room and toilet on the lower floor was tiny, narrow and just about adequate.Forget toiletaries and hair dryers - this was basic. The beds were uncomfortable and the TV was not working properly.There were damp patches on the wall and the hygiene levels were just about passable. The breakfast was dreadful. On the plus side the location is excellent and the staff very pleasant but in my opinion it should be closed and completely refurbished. This is typical of some older hotels you find around Bayswater, Paddington and Kings Cross. For just a little more you will find internationally acceptable standards in more modern properties. I will not stay in this hotel again.Overall a sub standard property.	
May 8 2005	I'm glad	I'm glad! I returned May 7.The location is wonderful. The staff was very friendly. My room was small but comfortable and clean. The roll were delicious.I'm glad!	
Apr 4 2005	1950 Youth Hostel with victorian lobby	We were attracted on a previous stay in London by the Victorian look of the premises, plus very good location close to Queensway Underground station and Hyde Park.Sure the reception rooms and staircase do worth the visit. But the old house if not haunted (?) is in great need of care and works. And alas the 120+ rooms take place in an adjacent building (fifties ?) where you have to struggle with shower, separate cold and hot water... and no hairdryer. No more tea/ coffee facilities. General sadness when you are there.Even if as french citizens we are used to smaller rooms than in the US, at Inverness Court they are truly undersized, as are the doors, TV set etc.And in the almost OK breakfast room the glasses are very small. Before drinking the &quot;fruit&quot; (?) juices, ridiculously small, you think. Happily small after tasting, you are sure ! Even in no-star hotels in continental Europe, &quot;continental breakfasts&quot; are better in every point of view.And an english breakfast here would be expensive, if not dangerous. Nobody tries, anyway ! Phone calls are also far from cheap.All in all, not too bad for an obsolete 1950 youth Hostel.	
Mar 5 2005	You Get Value	We returned March 3. We were hesitant to go to the hotel after reading all the negative reviews and were given a chance to change hotels. We are glad that we did not change hotels. The location is great. It is close to two different subway lines--which was important when one was closed the day we arrived rolling our carryon luggage about. The subway from Heathrow is about $7.50 US and takes about an hour. We suggest getting an all-zone pass like we did so you can use it all day (about $11US). The staff was kind and stored our luggage in the bar and allowed us to register, but had to wait until after 2:00 to get a room. We had a train pass and had no trouble checking in at 7:00pm on the 8th floor. Yes, only one elevator worked, but we rarely used it because our room was next to the wide staircase which is all handcarved and carpeted. The staff gave us anything we requested. The room was big enough and we had a full-size bathroom. Hotwater was hard to come by. We were charging our camera in the hall for two days until we asked about an outlet. You had to move the bed to get to it. There are no tea/coffee pots in the rooms (as stated on their website). I did hear a man ask the frontdesk for a hairdyer and he got one for a deposit fee. The breakfast was fine. The rolls were delicious. We paid $50US per room per night in a package deal. What do you expect for that?	
Mar 5 2005	We Liked It	We stayed in this hotel during our very first trip to London. Found it old and charming. Sure the rooms are small, the bathroom was smaller, but then all rooms in London are on the small side. Had a nice view out the window and were on the 6th floor. lobby is cool, staff were all eastern Europeans. breakfast could have been better but wasn't awful either. I feel I adapt fine to where I'm going, I love London and hotels are going to be different wherever you go. Location is superb, and I agree with the reviewer from Indiana who mentioned the pizza place. We have eaten there many times since during our six trips to London. Nice hotel, though it is for some reason no longer being used by Virgin Atlantic vacations. We Stayed there five years ago, things may have changed for the worse.	
Feb 21 2005	I would stay here again.	Having read the reviews on this site I was worried about what I would find when my friend &amp; I arrived Feb. 6 for a 6 night stay. I was pleasantly surprised. The staff was very friendly and extremely helpful. (Amazing how good manners get returned). Yes our room was small, but it was the same size as the room my mother and I shared four months earlier at a hotel outside of London which was much more expensive than this one. The location is excellant. One block to the tube, or a bus. The day we arrived we couldn't check in until 3 pm so after leaving our bags in the bar, we walked across to Kensington Park and saw the palace. As for food the continental breaskfast was basic - rolls, juice, coffee and tea, enough to get you started. We ate dinner there one night which was ok. Most meals were eaten on the next street, where there was American fast food, 2 pubs, Italian, Chinese, Vietnamese, Indian and Moroccan food. There were several grocery shops, pharmacies and even a mall with movie theaters. The hotel was old, but beautiful, and full of history. My friend and I enjoyed our stay here and I would love to go back to London and stay at the Inverness Court Hotel again.	
Feb 20 2005	Great hotel for the price you pay	After reading the reviews from this website, me and my girlfriend were horrified because we have already paid for the stay.When we arrived, we were pleasently surprised with the hotel. All the previous reviews agreed with the beauty of the building. The living rooms and the bar are very cosy, but a closer look notices lack of care.The hotel staff were always very friendly and we had the luck of being on the 3rd floor, because we didn't need to use the elevator, we only needed to climb a few stairs.The hallways on the room floors were very narrow, the rooms were small and the bathroom tiny. All of these were perfectly clean.The breakfast is too simple. Just tea, coffee or orange juice with some croissants or bread.In conclusion, this is a great hotel for the price you pay and it is perfect for a few days in the city.	
Feb 18 2005	Not as bad as they say......	I too was a little freightened by the reviews I'd read here, but I was pleasantly surprised to find a very clean room and bathroom in a charming little old hotel. Certainly the room was not as large as we would expect to find in the states, but it was acceptable. Now the bathroom was another matter....it WAS tiny, a large person would find it totally unusable, but we simply found it funny. You could sit on the toliet and your legs were under the sink. We had plenty of hot water and our room was well heated, to the point we left the window open during our stay. The bed was a little lumpy, but not so bad that it was uncomfortable. We saw no mold in the bathroom, nor cockroaches, mice or any other vermin during our stay.The lobby area IS beautiful and did not seem dingy or dirty to me. It IS old but I found it to be quite interesting. They were putting up the Christmas tree when we were there (late November 2004) and it was lovely to see the lights on it through the beautiful front windows at night.The staff was either friendly or cold, but never really rude, although not one of the staff I encountered was english and they all spoke with very heavy, hard to understand accents. It is odd they make you turn in your room key everytime you leave. There was only one working elevator and as mentioned before, it always seemed to stop on one floor although no one had rung for it....maybe the hotel is a bit haunted?The location couldn't be beat, a few doors down from Hyde Park and Kensington Palace/Gardens. Around the corner was the Queensway tube station. We felt very safe walking around this area, even coming back late at night there seemed to be quite a few people still out on the streets. Just around the corner was a very good pizza joint, seems to be a chain in London that was just like eating pizza back in the states, good to know if you're traveling with teenagers or young children. For what we paid (as part of a package it worked out to about $20 US a night) what more could you ask for? Besides, you shouldn't be spending that much time in your hotel room anyway, there is so much to see and do in London.	
Feb 5 2005	dirty 	My husband and I checked in 29/10/04, the outside should have been an indicater as to what lay inside. The receptionist was very polite and having registered i requested on iron, the lead was cut in 6 places(i have the pictures)we prceeded to our room which was on the 10th floor(the elevater only went to the 9th so we had to take the stairs to the 10th) Our room can only be discribed as a store cupboard. It was filthy dirty, from the bedspread to the walls to the carpet. The curtains were falling off the windows, the wooden window sills were rotton, the tv did not work, the shower dribbles water. We were late checking in and needed to get to a show in London so we did not complain. We never slept a wink, our room was beside the elevator controls. Breakfast was a disgrace, (tea/coffee and stale rolls) there was also a liquid that resembled orange juice but in was like orange cordial.I did complain that morning and asked to be moved only to be told there were no other rooms available, although the receptionist did have a rooming list with allocated rooms for that day, I pointed this out to her she still refused to change our room until another receptionist heard the commotion. This girl said if we packed our bags and brought them to reception she would have another room ready on our return that evening. Well, on our return we were given the key to room 601, this was slightly cleaner than our last room but I can not understand how these tiny rooms can be allocated.My overall opinion was never to return to this hotel.	
Jan 25 2005	Pleasantly Surprised	After reading your reviews a few days before our trip, let's just say we arrived with a great deal of trepidation. What a wonderful surprise awaited us! Arrived early in the a.m. from the US and put our luggage with everyone else in the bar/theater area. It was monitored and locked when no one was there and we felt perfectly safe leaving things. The staff was from the Ukraine, Russia, Poland, Spain and other countries. All very personable and smiling. Perhaps if guests used smiles and pleasant tones they'd be treated the same way we were? We enjoyed talking with everyone and they went overboard to see that we were happy. In fact, when we discovered on the second night that the TV didn't work properly, Julian, a delightful young man, packed and moved us to another room! Beds were certainly long enough for my 6'2&quot; 250 lb. husband (we had twins) and we found them very comfortable (and I have back problems if the bed is not good). Floor creaked, but we didn't hear our neighbors. Bathroom was small but no smaller than hundreds of others in Europe. Both elevators worked (but stopped on 6th floor on most trips - my theory: it was Lily Langtree not wanting folks to go above her original house). Both rooms we were in had full working outlets and were exceptionally clean. In all, we would recommend it to friends and would certainly stay there again. Above all else, it was beautiful and historical, centrally located, quiet, friendly, and very clean. We stayed for five nights and were very happy. We travel a lot and I am a meeting planner so look at hotels all the time. My feeling is that each of us gets back what we project - so lighten up people and stop being such spoiled Americans. You'll enjoy travels in Europe much more.	
Jan 13 2005	Inverness Court Needs Renovation	O.K. - So I read the reviews and still decided to take my chances with this hotel. I was mortified that it even ranked with three stars. In my opinion this is a one star hotel. I admit that this must have been quite a place many years ago but the place has got to be redone especially the bathrooms.Yes - the exterior of the building and the dark wood interior of the lobby and lounge are not bad at all. The breakfast room must have been redone recently because it looks totally updated. Evidence of disrepair on the other floors is everywhereMy room - There was no room in the closet (broom closet size I swear) to put luggage. The bed (twin and the room had enough space left over to walk back and forth). Double rooms were not much bigger. There was no remote as TV was operated from switch which was part of the head board - but 4 channels were offered which meant that you would have to get up and change channels, volume, etc. The bathroom - no separation of shower, sink and toilet - so when you took a shower water ran across and covered the floor completely - that was insane. The bathroom was the smallest I have ever seen anywhere in the world. I travel a lot and have stayed in a number of 3 star hotels, this was unbelievable. The front desk staff, trying their best and not all that bad but information received would depend on who you spoke to and when. No hotel information directory in room. A notice on inside of door read - depress button on lock for extra security but that feature was not accessible. Every time I would pass by the front desk there was a dispute with guests and staff and the staff obviously were frustrated. This is not ever a good situation in the hospitality industry.Unfortunately for the Inverness Court, guests comfort is what is most important and this is where they need to really really improve. In my opinion this will only happen with a major renovation. Then it would be a great place.	
Dec 9 2004	Beautiful old Hotel	My girlfriend and I just spend four fantastic days at the Inverness Court Hotel. Before we went I had visited this site and read some of the reviews about the hotel. Needless to say I was a little skeptics about it from reading all the bad reviews, but I was VERY pleasantly surprised. The hotel was very near to the Bayswater underground station and right next to Hide Park. From the outside it is a tall, slim and very sweet looking hotel. Going in, the first thing that meets you is the lobby. I must admit I was breath taken. It is so beautiful. Old wooden furniture with red leather, red carpet, green walls. All very, very atmospheric. The staff was very kind and helpful always ready to answer all your questions with a smile. We were a little early, so our room wasn’t ready, but there was no problem in leaving out luggage in the bar while we went sightseeing. As with the lobby the lounge, bar and main staircase were all breathtakingly beautiful. I've never seen anything like it, not that I've stayed at many hotels, but this for me was perfect. Our room was small, but it was fine for us. I mean we had a small bathroom and a double bed, a closet and a small TV and that was all we needed. There were no signs what so ever of neither rats nor roaches, I don’t know where people get that from. The room was very clean and nice. There was hot and cold water, although the hot water was more like lukewarm in the evening. There are two elevators. One was out of order so the other was in use almost all the time. But this wasn’t really a problem cause we just took the stairs, witch is as I said so beautiful that it was almost a joy using. We only had breakfast, but that was very nice. There was a nice buffet with coffee, the, juice, water, butter, croissants, buns, marmalades. One day we had eggs, sausages and bacon, it was good and when we asked if we could get a tomato with it the waiter was very nice and got it for us even though it wasn’t part of the meal.I don’t understand all the bad reviews and don't let you self get intimidated by it. All I can say is we were VERY pleased with our stay here and I'd recommend to all my friends and I wouldn’t think twice about staying there again.	
Dec 8 2004	Trust me...Do not stay at Inverness!!!	Honestly, if I could give the Inverness Court a lower rating then &quot;terrible&quot; on this review I would! First of all the front desk staff was EXTREMELY rude, arrogant from the minute we walked in. On top of that NO greeting whatsoever. Plus they personally insulted me to my face the first day! The lobby is incredibly tacky and unkept. If they actually restored and took care of those walls, carpets, furniture, that lobby would be a gorgeous Victorian treasure. Instead it looks like a shabby rusty abandoned ghost house. The halls in the hotel are extremely narrow and reeck of manure. Out of 2 lifts (elevators) one was out of order our entire stay and the other one only worked by going all theway &quot;up&quot; first...even if you had to go down. Plus, they took forever to open and close and get to their destination. You can only walk in the bathroom sideways and sit on the toilet with the sink in your lap. NO WAY can you do anything in the bathroom like getting ready unless you dont mind standing in the tub (if you are lucky enough to have one...or else you just get a stand up shower) or sit on the toilet. NO STANDING SPACE in the bathroom!!!!! Every female's nightmare. You can hear everything in any part of the hotel through those walls. We were put in a room(BEWARE: Room 506) that couldn't be any bigger than 7ft x 9ft with 2 smaller-then-twin beds and a bathroom! ABSOLUTELY NO walking space within the entire room, NO space for luggage. One bed had an extremely sharp bed spring sticking out. And NO access to any outlets!!! For someone who has things to charge (i.e. camara, computer, mobile phone, etc.) this can create a huge problem. Went down to ask if any other rooms were available, I was yelled at with they were fully booked, nothing she could do, and what did I want her to do comments. As I waited a few moments for the manager, she uttered in her HORRIBLE English accent ,&quot; ugggh...Americans... I have head-th-ache.&quot; Instead of screaming at her I kept my cool and just complained about everything to the manager in private. He ordered to put us in another room (Room #615) Which was exactly like room 506, except now we had some sort of a desk (which we used to put our luggage). The power outlet hidden in the corner behind the desk didn't work our entire stay!  I don't mind the size of the rooms, hall, in general the place is an extreme dump! The service overall was absolutely horrible considering they don't even speak fluent English! And I wouldn't recommend this place to my worst enemy!!! I've stayed in places where they charge by the hour, which it doesn't get any worse then that (i.e. Motel 8, Thunderbird Motel), but by far...the Inverness made those places look and feel like The Ritz Carlton!!! If you like to be treated like garbage and stay in pig barn then stay here...if you expect at least some standards for your money then I advise you to pay an extra few pounds and stay somewhere else! I swear!!!	
Dec 8 2004	Stay somewhere else!	After deciding to take advantage of a great deal though a travel agent we made our way to London from Nov 27-Dec 2nd. I was expecting the rooms to be let's say 'compact.'When we arrived, they took our luggage and put it in the bar along with other people who had arrived early. After repeatedly asking for our room, they finally had a room available. The staff was very unaware of how this hotel apparently functioned. They were EXTREAMLY RUDE to the guests, including myself, who stayed there. Making our way up to our room, the lifts didn't exactly work, per say. You had to push the down button to get an elevator to go up and when you got in the elevator, it was like picking a number out of a hat to figure out what floor you'd be let off on. When getting in our room, the room, was about the size of a small American bathroom. There were two twin beds in the room, with mattresses that were about 3 inches thin, with SHARP springs sticking into your body as you lay on them. Not to mention the fact that I’m about 5’10 and my half of my legs and feet were hanging off of the little beds. The middle of the mattresses was FLAT as were the down pillows in the room that had about 7 feathers in them. There is no room to put your suitcases; we had to pile them on top of the desk.Our first room had no outlets, so I had no way to charge my video camera among other things that needed to be charged. We had to change rooms, because we needed an outlet. When they moved us, they moved us to another room in which the one outlet did not work. They would do nothing to accommodate the lack of power. We would take the stairs another floor, because all of the outlets on our floor didn't work, and sit in the hallway charging our things that needed to be charged. Employees of the hotel saw is in the hallway and offered to 'look into’ the lack of power in our rooms, yet they actually did nothing.The bathrooms are horrible! The sink blocks the door, so you have to turn sideways and exhale to get in(and I’m not a fat person). There is nowhere to put anything in the bathroom. If you sit on the toilet, you have the sink in your lap(LIERALLY). After taking a shower, you have to leave the bathroom and try to find some space in your room to dry off. We had a closet, but nothing fit in there! The door was probably about 8 inches wide. There was no way to put two suitcases in there. The walls were about a half of an inch thick and you could hear EVERYTHING, from conversations in every language to people using the bathroom through out the WHOLE FLOOR! They must have been made out of cardboard. The hotel itself was nice, yet very old. I it needs a desperate restoration. It's very worn out. The 'main staircase' is adorned with wonderful woodwork and frescos, yet that doesn't say much about the rooms. The breakfast was good. They had croissants and juices. Not bad.All in all, if you're looking for a hotel that has 'decent' accommodations this place, unfortunately isn't it. I only didn't review this hotel as horrible because of the nice staircase. It almost gave the hotel character.	
Dec 2 2004	Miserable Accomodations	Having just returned from a seven-night stay (November 2004) at the Inverness Court, I must give warning to travelers who are considering staying here. I have stayed in many comfortable London budget hotels, but this budget hotel was horrific. The tiny rooms, partitioned with paper-thin walls, were so noisy that I had to change rooms twice, once to get away from the loud elevator and again to get away from the street noise. When I turned on the bathroom light, roaches scurried across the floor. Consequently, when I returned from my trip, I left my luggage outside in the yard and open to allow any roaches that may have crawled in to escape.The lobby was shabby and tacky beyond belief. Underneath the lobby's brutally bright chandeliers were the cheapest, tackiest plastic plants that I have ever seen. Dust covered the &quot;plants.&quot; The fabric chairs were worn and dirty, and the &quot;theatre&quot; bar next door was drab and sterile-no atmosphere whatsoever. The miserable management has no imagination. They will take your money; that's all.	
Dec 2 2004	A Scam - do not go to Inverness Court!	Inverness Court is a beautiful old building with a gracious lobby and ornate bar, but that is all is has going for it. The staff is unbelieveably rude. They did not have hair dryers available, even though the website claimed they did, and would not reimburse me when I had to go buy one. The staff did not know how much the bus cost, how to get to or from the airport, or other basic information. They were incredibly rude - they sat smoking at the front desk while people carried their own bags. The elevator was broken. The window in our room would not open. The water in the shower was boiling hot and the cold water would not come on. But, by far, the worst part was the beds. They are like cots from WWI. They did not have bed pads and you could feel sharp coils coming through as you slept. And, they beds and pillows reeked of urine. I can' t understand why both of the twin beds in our room smelled like urine, but the stentch was strong and unbearable. The hotel is well located - but that's about it. We got the feeling that there was no manager in charge - just a bunch of 18 year old Eastern Europeans running a scam. Be careful.	
Nov 29 2004	Don't be scared off...	Okay, the good points:The hotel and ESPECIALLY the room was CLEAN; Room was on the small side, but manageable . No idea about some of these past horrible reports on this site. Location is EXCELLENT, just off Hyde Park and very close to 2 different metro stations. Charming hotel lobby and lounge, though it's getting tired and smells smokey (tho everyone over there seems to smoke). Hotel staff cordial and polite, tho this is not a full service hotel with any overly useful consierge service.The bad points:Since it's so old, certain expectations of the building should be noted: one elevator worked but you never knew what floor you'd go to, floors creak loudly (so you had better not be a light sleeper or at least hope your upstairs neighbor is on your schedule), the bar and restaurant are almost always deserted by both staff and guests; The most activity is during the free breakfast (juice, tea, coffee, rolls, croissants - or purchase other dishes). Our worst meal in London was dinner at the hotel: the Chef had to be called down to the restaurant, tho we had seen a menu with many items he tried to give us the spaghetti, then we insisted on the menu items we had seen posted. My friend's Welsh Rarebit &amp; medalions of pork with wine reduction sauce was actually toast with melted cheese slices and over cooked - probably leftover - chops. My pate &amp; roast lamb in mint sauce was actually toast with liverwurst spread and thin slices of lamb. We both had the same brown gravy on our meat and boiled potatoes and carrots. NOT worth the $20 US dollars we spent in addition to having to ask for beverages.All in all, well worth the $80 - $90 US dollars per night we paid. Just don't eat or drink there and expect not to get a lot of sleep if you get the creaky neighbor.	
Nov 29 2004	Beautiful Victorian gone wrong...	Upon arrival, the old victorian looked interesting, almost comparable to the Shining. What looked to be original artwork in the lounge and the bar, big wooden staircase and big marble fireplace in the lobby. The location of the hotel was very convenient to the tube, restarants and shopping and in walking distance to kensington gardens. In hopes of being greeted by a nice british accent that I traveled all that way to hear, I was immediately disappointed to hear an accent of eastern european descent  After checking in we took the one working elevator, the other one was probably still out from the october visit from another review, and found our very small room. The size of the room did not concern me but the condition of the bathroom did. Mold was in the shower and all over the ceiling, the shower curtain rod was rusted and no ventilation caused moisture tinted with rust to form on the ceiling and then drip down onto whatever you had sitting out, ie. your toothbrush... On the second day of our trip we were informed in a very nasty way by Audrey (the front desk attendant) that we needed to check our key at the front desk every time we left the hotel. This strikes me as odd to HAVE to leave the key so the staff knows when you are there and not. I am a traveler who chooses not to have my room serviced during my stay. In total disregard to the &quot;do not disturb&quot; sign hung on our door at all times the staff entered our room every day (they knew we werent there because our key was at the front) and made the bed. Going back to the broken elevator, in the mornings, on the way to the continental breakfast that wasnt too bad, just plain, the single elevator that stopped at the 6th floor every time you rode it for no reason at all, was tied up by the staff and their mounds of sheets or cleaning supplies. After waiting 10 minutes you resorted to the climb down 8 flights to the dining room. And yes, the elevator only goes as high as the 9th floor and if you are that unfortunate person with big luggage going to the 10th floor the staff will not help you up the stairs, as I witnessed by another guest. My last disappointment, which is not critical, just odd, is that the hotel bar was opened very irregular hours. Some days opened all day, sometimes it was closed for a few hours and one day it was closed all day, yet the bartender was there. The reason we were given was &quot;Just because.&quot;I have made it home from my trip in one piece and I was greatful for a clean shower. If I hadnt paid in full before the trip began I think I would have followed the other reviewers to a different hotel.	
Nov 29 2004	What a nightmare ! Horrible	Do not stay here. Staff is unfriendly,unhelpful and dont know the definition of customer service nor hospitality. Rooms were beyond small (2 people cant move about at the same time). A 12 inch tv that had almost no reception other than 2 channels. Bathroom was filty (mold growing in shower) as was the rest of the room. If you sit on the toilet your knees almost hit the sink. I cant even explain how small the bathroom was ! The bar hours in the hotel are inconsistent. They open and close whenever they please. Sometimes they dont open up at all. Breakfast consists of stale croissants,rolls, juice and coffee. I reccomend that you sleep on the street. Youre better off.	
Nov 23 2004	Very nice hotel perfect location great value for the money!	I stayed at the Inverness Court Hotel in November of 2004 and I was very nervous about staying there, due to the horrifiying reviews other travelers had given the hotel, but I decided to give it a try, and I am glad I did! It is a lovely hotel the lobby is georgeous and the location is key! It's right across the street from beautiful Hyde Park and a tube and bus station is 2 seconds away! I stayed in a single room, which was nice and clean! The bathroom is small, but at least you get your own and again it is clean! The elevator is a little slow, but the days your not lugging your luggage just use the steps, because the views on the ceilings are to die for! The free breakfast is a wonderful array of croissants! Overall it's a nice hotel, and you can't beat the price!	
Nov 17 2004	Can't be beat for atmosphere and location	I feel like a fool for having been misled by negative TripAdvisor reviews of this place I read before my trip, so am now compelled to write of my own experience. I'd booked into the Inverness Court as part of a package deal, then read some really hair-raising reviews here. I was getting ready to travel with my 15-year-old daughter, and wanted to make certain we would be in an okay place; the reviews made it sound like some awful cross between a sour-smelling bordello and a mecca for junkies. So I gave up my deposit, and we booked somewhere else -- that cost twice as much, and was perfectly okay, but dull. I wanted to see what I'd turned down, though, and we looked it up on our last day in London. It was the coolest place we'd seen during our entire week -- and located exactly one block from Hyde Park, the Queensway tube stop, every Bayswater bus, the tour buses as well. The best and easiest location imaginable. And with the handsomest, most in-period, high-Victorian facade in the neighborhood. Yes, a little threadbare in spots -- but the real deal, with cascades of leaded and decorated windows, a white and gold jewel-box of a theater-bar, perfectly nice rooms and baths, and what I found to be an extremely amenable staff, who welcomed us to look around and linger.  Why do most people seem to be looking for a Motel 6? My daughter was ecstatic over the Hogwartsian qualities of the place, and didn't want to ever leave the Wm Morris-patterned armchairs in the paneled lobby. It was the closest we came to &quot;membership&quot; in a Victorian club, and just visiting became a highpoint of our trip. Wish to heck we'd stayed there the whole week, per first plan!!!!	
Nov 3 2004	yuk	We stayed in that place for 3 nights last October. we checked in shortly before midnight and were given the wrong bedroom : double bed instead of twin beds. The staff was not cooperative, spoke poor English and never offered any help. But the tablecloth was very dirty and the same large stains remained for the whole stay. The bedroom was small and very dirty. The bedspread was filthy. We covered the bed with our coats in order not to sit on the bedspread. The pillows and the carpeting were very dirty too. We covered the pillowcases with clothes in order not to feel them. We never walked with bare feet, not even on the bathroom floor.We were very disappointed. If we had not paid for the whole stay in advance, we would have left immediately but we could not afford looking for another place as we had already paid approximately £200.Breakfast was good, we had plenty to eat : croissants, rolls, etc and the food was fresh. The hotel is very well-situated and close to shops, restaurants and two tube stations. But it is not a place to be recommended. Should be inspected thoroughly by officials.	
Oct 27 2004	Do not stay here!	After reading the reviews prior to going on this trip, they surpassed my fears. The place was terrible!Our room was on the 10th floor--the elevator only went to the 9th. The room was filthy. Window was rotten and hard to open--some rooms didn't have a window that would have provided an escape had there been a fire. Some fire doors on some of the floors were padlocked closed. That was scary! The bedspread was so dirty I didn't even want to put my suitcase on it. Slept on my travel pillow since all kinds of stuff came out of the pillow when I tried to fluff it. TV was either porn or soccer, no remote; no working telephone. Had to pay 5 pounds to borrow a hair dryer (they did return it when I returned the hair dryer). The breakfast was disgusting. Once we realized we could order just scrambled eggs and bacon, not too bad. Continually ran out of coffee and tea. Elevator stopped working the second day there so we had to walk up 10 flights. The best part was getting moved to another hotel that was clean and had a nice bathroom. Someone needs to condemn the place or do a major renovation. Should not be open to the public. Worse than terrible. DO NOT STAY HERE. SCARY PLACE.	
Oct 14 2004	Don't Stay There	Staff was very friendly, couteous and helpful, but that was where hospitality stopped. Room was extremely small, mold on ceiling above the shower, extremely noisy at night, with an actual gunfight on our third night outside. Intoxicated groups kicking and banging on doors at 3:00 AM. Only one elevator worked-never saw anyone working on the other one. Continental breakfast was NOT a continental breakfast-consisted of breads, juice, coffee, and tea-no meats, cheeses, or fruits-was told I could get that if I paid $15 more. About equivalent to a family shelter room in the U.S., definitely not worth the $130 per night.	
