	Who gave this hotel 4 Stars ??	I have just spent Saturday night at this hotel, and must say it was a big mistake.A West End show, romantic dinner and a night in a great area of London was spoilt by this Hotel.Although all of the staff were very pleasant and helpful, the room was very tired / antiquated bathroom / pathetic toiletries / dirty windows / tatty net curtains / filthy window runners / no mini bar (in a 4 star London hotel ??) breakfast was awful (which the hotel tried to charge me for, after I had prepaid on B &amp; B terms / bad stains on the carpet / very basic bed and pillows - just a very miserable room.I am not sure about Health and Safety regulations, but if ever there was a fire in the corridor outside the room I stayed in , the occupants would perish as the windows could not be opened at all- they were secured by means of obvious screws into the window frames. It's hotels like this that can give London a bad name - the room was two star at best - do not stay here expecting 4 star !	
Oct 7 2005	hot rooms	I booked this through priceline (it was the first time I had done this) then reading the reviews on the Copthorne Tara, it was with trepidation when I checked in. Check-in a bit slow, we had a concert to go to, but my room was very clean and air-conditioned, although it could not be said for my sister and her daughter as their air-conditioning was not working so they spent a very uncomfortable night there. Overall, I would give this hotel an above average rating. But my sister a terrible one.	
Oct 4 2005	Adequate and clean	We stayed at this hotel for one night on a layover in London. It is in an upscale neighborhood, about a 40 pound cab ride from Heathrow Airport. The room was adequate, and the hotel personnel were very nice (they even let us check in early). The continental breakfast, included in the room rate, was the best we have seen, including fresh fruit and a couple of very nice rolls. Overall a clean facility in a very good part of town.	
Sep 26 2005	OUTRAGEOUS service 	Booked thru Priceline never knew we needed addinal room for my 3 year &amp; 10 year old kids in LONDON!. During booking nowhere does it ask for number of kids etc, so during check in were made to wait for 2 hrs to see one manager after the other &amp; go over our SAGA of trying to have a family vacation in london.Finally they agreed to let us check in with two addional rooms(two families with kids) for 600 ponds addional(which was an perfect example of making good of the situation. We had to split us as my 3 year old would not sleep in adjacent noisy room, tuned out to be a 1000 pounds waste for 2 families for 3 nights.Staff were very unfriendly &amp; would do nothing to help or ease the checkin.No room for addional roll on beds or crib so if you plan to stay there with even one baby who is month old BOOK 2 ROOMS &amp; Sleep seperately$@^%!&amp;^@^	
Sep 26 2005	Not bad at the price	Room was bit small, but OK. Given the prices in London, we got a great deal. Our room was on the 11th floor, lower floors do have some &quot;tube&quot; noise. Very convienent to two tube stations. Continental breakfast was Ok, but nothing to write home about. We signed up for the upgrade (which probably got us a better floor). It had Internet access which runs more than 20 dollars per day or 6 and hour ( I think) included for free along with access to a &quot;club&quot; room for breakfast (nice) and drinks (not worth the trip).	
Sep 25 2005	Pretty good choice	We stayed at the Copthorne Tara from 9/18 - 9/23 and found it to be a very good choice. The hotel is very attractive inside and for the price we paid - the room was fine. My only problem at all was the room had a musty smell, but we just opened the window every day before we left and aired it out. Thankfully we did not get any critters in the room. The hotel does need to address this. Other than that, the room was nice and clean. After reading comments on bugs, I did a pretty good inspection and found none. We did not eat at the hotel so no comments there. We loved the location best of all. After riding around London zones 1 and 2, we liked our location better than any other. There is a shortcut to the tube which we used at all times of the day and night and felt very safe - ask the concierge for directions - really easy. Overall - a good experience!!	
Sep 13 2005	Stains and mold but manager was great...	When we arrived (12noon) it was raining and we were asked to wait until our room was finished (3pm). I instinctively asked if there were any railway tracks nearby and found that we were next to them. We complained to the manager (Sarah) who promptly moved us to a high floor the same side.When we arrived at the room the sheets were poorly dressed to the bed, the skirting sheet was too long. Then the fun started...The quilt cover had dried blood stains - we requested House keeping to change, they came back with another piece of dirty linen. On the third cover we noticed large blood stains on the duvet together with what appeared to be urine marks. The bathroom also had mold in the corners which could be a health hazard. House keeping were cordial and apologetic but we snapped and Sarah moved us to the Millennium Mayfair which was great.What makes this worse is that Priceline advertises this as a 4 start hotel.	
Sep 10 2005 	Filthiest room ever probably a health hazard	Thick dirt &amp; dust under heating/conditioning unit; room edges uncleaned obviously for ages; likewise other surfaces - recipe for bed bugs &amp; goodness knows what else. Many uncleaned marks on the carpet. Window falling apart so was screwed shut (think that's true of all rooms). Bathroom dirty; peeling paint; fake marble panels peeling and the gaps collecting yellow gunge; limescale everywhere on fittings; showerhead disintegrating; scalding hot water. Cleaners use bathroom towels to clean the bathroom floor. Apparently all the standard rooms look like this according to management. Reception area and other areas look quite good though the bench seat in the bar collapsed when sat on. Breakfast staff seem terrified of someone, probably the unsmiling lady who seats you. Often long q's (lines) waiting to be seated.We have travelled extensively over many years - this is the filthiest place in which we have had the misfortune to stay. Who on earth could give such conditions any stars ? Probably needs a shut down period to sanitize/sort the rooms out. Well worn, tatty furniture &amp; carpets. Total embarrassment to anyone British - hope visitors do not think we Brits find such squalor acceptable.	
Aug 31 2005 	Reliable and comfortable but expensive	I've stayed here several times (usually on expenses although I've paid to stay there once) and it's a very comfortable, well-appointed well-run, although somewhat 'soulless' hotel. The rooms are large, the furniture and decor bland and moderately luxurious (with very well-appointed bathrooms), the staff are polite and courteous, and everything just seems to work.Discreet, efficient and characterless - somewhere to use as a comfortable base for a London trip rather than somewhere to arouse any strong feelings. Very much lives up to its 4* billing.	
Aug 31 2005	If bed bugs damp and dirt are your thing stay here!	Stayed here for 2 nights and couldn't wait to check out! Had a great time in london but this Hotel was the pitts. It is very old and dated from the outside, a real eyesore. I had a room at the back of the hotel overlooking the train tracks which didn't really bother me too much. The room itself stank of mould and damp and the bathroom was even worse, the shower curtain clearly hadn't been washed in ages and had a really sour smell to it.I think the fact that you couldn't open the windows had something to do with this as there was no natural air in the room (I hate rooms with sealed windows). However, in it's defense the aircon was quite powerful but I hate aircon too and I have now got a sore throat and cold as a result!We also found bed bugs on the second night and moved rooms at midnight, the Manager was very apologetic and moved us to an upgraded room which wasn't much different to the standard room, just a different colour scheme and a better view. I did get the room through Priceline and it was a good deal but in future I would rather pay more and stay somewhere decent, I felt really dirty and itchy whilst staying here and all my clothes smelt of damp when I got back home, not nice!	
Aug 25 2005	Good choice	My husband and I had a very quick layover in London one night on our way back to NY from France and stayed at this nice hotel on the suggestion of a co-worker. The hotel was clean, comfy, fine bathroom and had a nice lobby. The location is good, close to the tube and all around a very good hotel. I would highly recommend it. There was one thing I want to bring up and that is that they can not guarantee a non-smoking or smoking room. I wanted a non-smoking room and when I went to check in, they told me (even though I had a reservation) that the only room available was smoking. I pitched a fit because I can't stand smoke or the stale smell it leaves behind, but I had no choice because they were full that night. To my pleasant surprise, the room didn't smell like smoke at all, and it was fine. One side note on a good restaurant. We needed a place to eat late that night and the concierge told us that everything was closed (it was after 11pm). We went out looking anyway and found a great Lebanese restaurant right across from the tube station. It was excellent and they stay open until 2am.	
Aug 19 2005	Great location 	The best thing this hotel has going for it is its location. Super close to the tube station and within walking distance of lots of shops, restaurants and pubs.First impression from the outside is not great; it is kind of dated-looking and not in a quaint sort of way! Inside is nice and more modern-looking. We had booked through Priceline and got a great deal on the rate, but at check-in we got a bit of run-around and were told that they could not guarantee non-smoking rooms (&quot;especially when reservations are booked through internet offers&quot; What???) and they suggested we upgrade from a standard room to a more expensive one. We refused to do this, and they miraculously came through with a n/s standard double as we had originally specified. So beware if they try to coerce you into an upgrade due to issues with availability.We were very satisfied with the room itself. Although not extremely plush, it appeared to have been recently renovated and had newer carpeting and the furniture was not overly worn. The room was clean and of a decent size with handy amenities such as coffee/tea service, fridge, blow dryer and ironing board. Our room did face the train tracks, but surprisingly it was not too loud, so no problem there.We ate one dinner at the hotel, and it was OK but nothing great. Also stopped at the hotel bar once; ditto the above plus overpriced compared to local pubs.We would stay there again (especially if we could get that great pricing again!) - to sum up, it was a clean &amp; decent place with a great location.	
Aug 17 2005	Good Location - Fair price	Hotel is in good location for sites and transport.Bedroom was ample size but in need of some re-decoration - although it was clean. Communal areas (e.g. lobby, halls etc) in better condition - so by the time you got to the bedroom it was abit disappointing.Bar staff were abit off-hand and over charged us for drinks (my husband only noticed when repeating same order).Continental breakfast is very overpriced and not very good. We went to the Muffin Man tea shop just round the corner and had a lovely cooked breakfast - the price for 3 breakfasts was the same as one continental at the hotel.Would stay there again as price, location and cleanliness was fine - just nothing special	
Aug 16 2005	Rooms were bog standard	For the price I suppose it was just about ok - expected a bit more. The rooms were bog standard, the breakfast was bad except for the juices and fruit, the shower was excellent but the bathroom was tiny - would not go again but was fit for the price just about.	
Aug 5 2005	4 Stars location 2 Stars Room 3 Stars Overall	Stayed 7 nights from July 23-30 2005Rate: $100+tax.Location: Perfect, Mark and Spencer, Somerfield, Restaurants, shops, even Macdonald's, all there once you walk 150m out to Kensington high street.Transport: kensington High street Tube is on the street, however, the circle line was not available during our stay because of the incident. You could also take the Tube to/fro the airport, and this is convenient and most inexpensive GBP4(Adult) way to the airport. Mini cab is GBP35, Taxi is probably GBP60 to the airport.Room: Resonable, about 12-13sqm + toilet, and quiet, or you could upgrade to 11-12th floor by paying GBP25-35/night, then B/F will be included, and a better room. The furniture in the room is heavily worn down, making the room looks more like Days Inn (highway/express version) and not Copthrone. While it is a non smoking room, but apparently it is not a non-smoking room. A empty small fridge for all your shopping, handy. Overall not so satisfied with the room.Internet: Sorry, I have to laugh...No internet connection in the room, you have to go to the lobby to get connected. GBP8/hr, GBP10/3hrs, GBP22/24 hrs, but this hours is continuous, so unless you could sit in the lobby whole night, I am not sure how is is done. Tel connection is GBP2.5 per call (0800 number)Vicinity: Near to Kesington Palace, and Hyde Park, no complain.Service: Good, friendly, helpful.Food: Have not eaten a meal in the hotel, there are a lot of choices on High Street.	
Aug 1 2005	Very Pleased	We stayed at the Copthorne Tara from June 19-June 26. I was a little worried because of past reviews, but found an excellent deal through Londontown. We were quite pleased. I emailed the hotel ahead of time to specify a non-smoking room and early check in. We arrived at 1:00 and our room was already available. The check-in desk was not that busy, however we did notice that at times it was swamped. A lot of tour groups stay here. We did not have any problems with noise outside or from other guests. Our room faced the street, not the tube. You can't beat the location. Muffin Man is great, and we highly recommend! We found the staff at the hotel to be very accomodating and friendly. The only &quot;problem&quot; we had, which we knew in advance, was the sink. The hot water and the cold water come out on separate ends of the sink. This makes having warm water a little difficult! It was ok though and the shower was nice, great pressure. Overall we were VERY pleased and would highly recommend to anyone visiting London. Cheers!	
Jul 25 2005	Thin walls...	The best part about the hotel was the location. It is perfectly located - the tube station is one block away.The room was fine, but seemed a bit on the old side. I paid $105 on priceline for 4 nights. My biggest complaint was the very thin walls. I could hear the conversations word for word of my neighbors. And, one night I barely slept because of the fighting couple next door. I called the front desk but they didn't seem to do anything.The concierge(s) are great and they are there 24 hours. Jimmy helped me tremendously! Not sure if I would stay there again because of the thin walls.	
Jul 23 2005	Good Location	I stayed here for 5 nights during July. The rooms are nice and spacious, reasonably clean and air-conditioned. Very close to the tube station and in a nice quiet area.The only complaint would be any noise that can be heard from adjoining rooms, you can easliy hear people talking and even snoring!	
Jul 20 2005	Great Location Nice Hotel	After reading a lot of reviews on this site, I was very sceptical about this hotel as we are used to 5 star posh resort hotels. My boyfriend and I stayed at Tara from July 2-6. We got it at around 135$ a night through Priceline. Let me tell you, first impressions arent always right. From the outside, the hotel looks outdated, but once we had entered, we saw marble floors with lots of chandeleers. Our room was very clean and by European standards a normal size. We arrived @ 1 pm but were told that our room will be ready @ 3, and it was. The hotel is updated on the inside. Nice elevators, hall, business center, gift shop. There is another hotel right next door which offers the use of its facilities for 10 pounds a person. There you can find a gym, very large pool, jacuzzi, wet and dry saunas. After a day of walking around and site seing, nothing felt better than a jacuzzi!Kensington area is great, lots of stores and restaurants, and not as touristy as Picadili or Mayfair. The tube is 2 blocks away and great breakfast place called Muffin Man is down the block, where we stoped every morning prior to our full day of site seing. Overall, we were VERY pleased with Tara hotel. Great location and cleanliness. One thing that bothered me a bit is that the sink in the bathroom leaked a bit at night and there was a separate faucet for Hot and Cold water in the bathroom sink. Other than that, it was great!	
Jul 5 2005	Good Location 	We stayed at the Copthorne Tara for six nights and were pleased with its location, cleanliness and amenities. Although check-in was a bit rough (lots of guests checking in and a clerk who seemed to be new), the staff were very accomodating overall and tried to make our stay pleasant. Because we booked through Priceline, we felt like we got a great deal!	
Jun 28 2005	Copthorne Tara....Kensington Area	Good bang for the buck, in a good area of London. We stayed 2 nights, June 10 &amp; 11. I booked thru Londontown[-] with continental breakfast. We were worried about the noise from the 'tube station' near the rear of the building, but it never bothered us whatsoever. The rooms were large and clean. The location is close to the tube and Big Bus tour stops, with lots of small rstaurants amd pubs within walking distance.For London, no complaints whatsoever.Take the walk (turn right) along Kensington Rd. You can take in the local parks and sites for an afternoon without heading to downtown Westminister.At the subway station there is a Marks &amp; Spensers store, where you can grab wine, beer, munchies etc. etc.Dano	
Jun 28 2005	No complaints....	We had a room at the Copthorne Tara for 4 nights while in London. Even though we faced the underground, the noise was not an issue at all. Rooms were neat though not spectacular, and the location near the underground station is a real plus. Breakfast was very good, but I agree with those who say that you should make sure it is covered in your room rate. It is very pricey.If I go back to London, I would stay at the Copthorne again.	
Jun 23 2005	Good hotel great location	I stayed at this hotel June 4-8, 2005. It's definitely not a 4-star property but it is certainly acceptable as long as you get a special room rate via the internet or elsewhere. Make sure that your room rate includes breakfast, because their meals are expensive. Breakfast was an extensive all-you-can-eat buffet of cereal, juices, fruit, breads, cheese and the proverbial ham. The hotel is a short walk to High Street Kensington Tube station and the many shops and restaurants located in the area. There is a laundromat located a few blocks from the hotel on Cromwell Road that we took advantage of as well. I would definitely stay there again.	
Jun 19 2005	Hated This Place. Four Stars? No Way	My wife and I stayed at the Copthorne Tara for three nights in London. At first, before we arrived in London, we were quite pleased with our hotel location. It is on Kensington High Street, so the shopping is pretty nice. More importantly, it is adjacent to a subway station, which made getting around London a lot easier. They also rated themselves as a four star hotel. When I think of four star hotels, I think of places like the Four Seasons, perhaps a Ritz-Carlton, an Intercontinental, etc. Well, I guess the Copthorne's owners have a vastly different idea than I mine. First of all, the exterior and the lobby of the hotel are UGLY. It reminds me of being in the 1970's, ie., the decor was never updated from the original construction. I have stayed in hotels that were ugly on the outside but were very nice on the inside where it counts, the rooms. That was not meant to be the case at the Copthorne. The check-in process took a while. The clerks were none too friendly. It was more of the attitude that the customers and guests were getting in the way. OK, we could deal with that. But when we entered the rooms, were we in for a surprise. It looked like the inside of a Motel 6 or a dorm room. I have nothing against Motel 6's, but I know what I am getting for the price when I stay at Motel 6. I didn't expect that for a hotel that bills itself as being &quot;four stars&quot;. For example--cheap modular furniture (like in the dorms). Lumpy uncomfortable beds. But we could accept all this grudingly except the service really ticked us off. We had a dripping bathtub spigot. It kept dripping and dripping. It got pretty annoying at night. We called the front desk, they said they would send a maintenance guy over. This was at 11PM after my wife and I made a trans-Atlantic trip. We were really tired. I asked for another room. No way. Maintenance man first. He came and wanted to basically take the damned fixture apart. At night!!! My wife was exhausted and I told him to come back the next day. The next day my wife and I went sightseeing and when we came back, we saw some results of the work, dirt etc. We took showers and lo and behold, the drip came back. We called the clerk again. They couldn't do anything. And we just decided to give up. We were so ticked off that we started to look for another hotel in London but since we were only going to stay one more night, we decided it was not worth the trouble to move our luggage again.	
Jun 12 2005	Good Hotel Great Location	We stayed at the Copthorne Tara from May 22 to May 31, 2005. We booked it through Priceline and were a little afraid because of some of the reviews. However, this hotel is a very good choice, especially if you are on a budget. It was very clean and the whole staff (including the consierge) was very friendly to me and my family. Since we booked through Priceline, which only goes by double occupancy, we had to e-mail the hotel to make other arrangements. This went very smoothly and they provided us with a family room (two connecting rooms) for a 10 pound supplement per night. The hotel is located in a very nice area. It is extremely close (about 3 minute walk through the alleyway and 4 minutes on the street) to the High Street Kensington tube station, which is extremely convenient. Kensington Gardens/Palace is also extremely close. The bathroom was good except for the two separate hot and cold water in the sink but since we had a connecting room that had a mixed faucet it was okay. The shower was very strong but it could be regulated slightly. The water temperature was great. Also, we were on the first floor on the train track side but we could hardly hear the trains at all. If we made no noise and tried to listen for them was the only time we heard them. I never heard anything through the walls until our last night when a rowdy young bunch stayed next door (but that could probably be said about any place). I would not recommend eating in the hotel for breakfast (at Brasserie) unless you have it complemetary to your stay. It is VERY over priced for what is offered. There is a cafe with Internet that is slightly overpriced but the people who work there are extremely nice and the food is pretty good. Outside of the hotel, I would recommend Pret A Manger if you like organic salads and sandwiches. The Thai Terrace is a good restaurant too but can be expensive. We ate at the Muffin Man a few times and it wasn't that bad. Overall, this hotel was in a great location and allowed us to have a great vacation.	
Jun 9 2005	Good location average hotel would stay there again	We enjoyed this hotel. It was pretty clean, the room was fairly large for Europe. No safe in the room. The concierge was not very helpful and I learned not to ask for anything from them. The rest of the staff was very friendly though. There is a tube station only a block away, a Boots (sandwiches, drinks, bandaids, etc.) next to the tube station. A block further is a grocery store where we bought canned drinks for the refrigerator in our room. The Big Bus Tour has a stop only about 2.5 blocks away. I got a good price ($80 US), loved the location, and liked the room, I would stay there again.	
Jun 7 2005 	Friendly Hotel in a fantastic location	We travel to London often on business and found this hotel through their own website, as we have stayed at other Copthorne hotels before. The location was just what we needed - it is off High Street Kensington so quiet at night but on the high street their are plenty of shops, bars and cafes with lots of variety. It is only 2 minutes from the underground station or from the high street you can take a bus straight into Oxford Street or Piccadilly (great for getting to the theatre district). On a warm day it is lovely being so close to Kensington Gardens and Hyde Park for some fresh air and to get away from the crowds.At the hotel we found the service excellent and very helpful for booking tickets to the theatre. We had booked a connoisseur bedroom on the top floor which has breathtaking views over London and includes access to their Club Lounge. We had breakfast their in the morning which was all freshly baked and prepared and drinks their in the evening also.The broadband access in our bedroom was also very handy for work.Overall I wouldnt hesitate to stay here again.	
Jun 1 2005	Great Location very overated hotel	I stayed here for three days May 25-28, 2005. The location is great, very close to Kensington High Street shops and the nearby parks and museums. Lots of shopping and inexpensive food options nearby, bought breakfast at Marks and Spenser most days. The hotel staff was very helpful in confimring my room request prior to my arrival, by email. I had requested a non-smoking room facing west on a high floor. Perhaps it was difficult fulfilling these requests, but open checking in at 10 am I waited almost 5 hours until I was assigned a room. I complained numerous times only to be told that check in isn't guaranteed until 3 pm. I have never had to wait this long when checking in early in Europe. They did however satisfy my room requests.The room however, was very old and outdated There were two black metal chairs that looked to be about 30 years old, very unpleasant. The bathroom was ugly with a shower that was almost impossible to regulate the water's temperature. The bed was a double with a duvet cover, but the bed was old and uneven and the linens and pillows of very low quality. No turn down service was offerd. I ordered ice from room service one night since there was no ice machine and was charged 2.20 pounds ($4) for this! After this I just went down to the bar and got two glasses of ice if I needed them. The TV had only a few channels. The hotel has a bar and two restaurants and an internet cafe, but no other ammenities. There is no gym or pool.Overall, very disappointing alhtough the staff tries their best to be helpful. This is not a 4 star hotel, probably not even a three star hotel.	
May 25 2005 	Would stay again.....	....... if the price were right. I paid £70 for a night and for this price in London I thought it was pretty good.Huge place and my room was a mile from the lift but had a pleasant view across to to the Royal Albert Hall. Check-in was the best I have experienced lately after having booked with an online agency although, I had booked a double but was allocated a twin and could only change to a smoking room, but it wasn't too bad.Kensington is a lovely place to stay after being at work in the City for the day and the room was nice and quiet in contrast to the more businessy hotels at Euston.If I were to suggest anything to the hotel it would be that an on-site leisure centre though should be a must for this size of hotel (835 rooms I believe).I would recommend the Copthorne if the price is right. I got the price by booking a &quot;top secret&quot; deal where you only find out what hotel it is when you've paid. The trick to finding out which is which is to sort them by distance from a certain spot and then compare the descriptions, which are crudely anonymised.	
May 23 2005	Great Location	I recently stayed here for 3 nights with my 14 year old daughter, who was on her first trip to London. The location was as terrific as promised in prior reviews, couple of minutes walk to Kensington High Street station. The area was upscale and quite safe to walk back in the late evening.We arrived early afternoon and were very pleased to find that we could have our room right away (1.30pm). The room was a good size with 2 twin beds, hairdryer, iron, coffee/tea service, and the fridge was a FANTASTIC bonus for my daughter who can be a bit fussy about food. We took advantage of the nearby Marks and Spencers food hall and cafes for several meals and snacks. The bathroom was clean, lots of hot water and a good, strong shower head! Our room faced over the Tube tracks but we didn't notice any noise, most nights we came back exhausted and slept like logs anyway. The staff was pleasant and helpful. I would definitely recommend this hotel to friends, and would stay here again.	
May 4 2005 	Just perfect!	It was really one of the greatest hotels I 've ever seen lately. Perfect spot, great lobby and large, clean and beautiful decorated rooms. Food variety was limited, but we didn't matter. It was so nice to be there... The price is very good, it does worth the money you pay. We just loved it. I strongly reccomend it, especially if you have booked for a good price via internet. And I promise you. You won't believe in your eyes...	
May 2 2005	Honeymooner's Delight	My new husband and I stayed at the Copthorne Tara Hotel in Kensington from April 6 to April 13, 2005. We felt confident booking this hotel by reading these reviews and doing our homework about this hotel and others. We thoroughly enjoyed our stay and highly recommend this hotel to anyone visiting London. The consierege was extremely helpful and friendly in arranging tours and giving wonderful tips on sights to see. For upgrading to the connesiour, you will receive a wonderful complementary contintental breakfast each morning with drinks and snacks each evening in a beautiful designated area. You are served toast and beverages by friendly servers while also having a very nice buffet to choose from. During this relaxing time, you also have the option to view a large screen television as well as newspapers and free internet access. It was a home away from home for us. Our last day was a sad one but it was a honeymoon to remember and we thank the Copthorne Tara for making it memorable for us.	
Apr 29 2005	Not so great	This was a reasonable hotel but it was certainly nothing special and in fact my boyfriend and I were quite disappointed. It was advertised as a four star hotel but I saw nothing that would put it above a three star, and indeed I've stayed in nicer two stars. The rooms were quite small, the bed was tiny, the furnishings were the sort of thing you would find in a travelodge and the bathroom had cracked tiles and wasn't the cleanest place. I got a bargain, so I was not moved to complain, but the asking price for rooms here is £225 and it was certainly not worth paying even half that. If you're staying in town on business and just need somewhere to lay your head then this will do just fine, but otherwise I'd suggest spending a little bit more, or going a little further afield and finding something more impressive.	
Apr 27 2005	It was fine -- impersonal but not a dump.	We stayed at the Copthorne Tara for three nights mid-week in April 2005. We booked the hotel through Priceline for $88 a night and were able to get a double bed in a non-smoking room without a problem. The best thing about the hotel was its location -- just three short blocks from the High Street Kensington tube stop. It was also very close to shopping, dining (if you like Indian, try Utsav on High Street) and a cash machine. The hotel itself was fine -- the lobby was nice, and the concierge was knowledgeable and helped us figure out how to get discount theater tickets. But our room was just okay -- it was very large and clean, but looked like it had been mistreated a bit by prior guests -- there were black marks on the walls, scratches on the furniture, etc. etc. Also, the pillows were the flattest and hardest I have ever experienced -- sleeping was a bit uncomfortable. Our room faced the front parking lot, so we didn't have problems with noise from the tube.	
Apr 24 2005	unbeatable value for price	My husband and I have traveled throughout Europe on a mid-sized budget and found the Copthorne to be an excellent deal considering the expensive nature of the Kensington area. It is truly amazing that we found such a great price for a large room in such a perfect location. We will certainly return (with the help of Priceline) again.We booked at the Copthorne via Priceline with a bid of $80/night for a 4 star hotel (with taxes the total was around $100/night). It appears that many others on tripadvisor have booked there with similar bids... in fact my parents recently bid for late April with the exact bid and were also offered a room there.The location is excellent. There is a &quot;secret&quot; route from the tube station that takes 3-5 minutes to walk to the hotel (hint: walk left towards the pharmacy after exiting the tube gates; follow the alley exit to the left). It is a 10 minute walk from Kensington Gardens. There is a &quot;Muffin Man&quot; restaurant a little over a block away which provides reasonably priced breakfasts. We also tried the Thai restaurant at the same intersection and found the prices to be reasonable, food good by US standards, and the decor very charming. However, we bought most breakfasts at the bakery at the Marks and Spencer nearby.The lobby is clean and updated. The fact that the hotel is used by several airlines for their flight attendants is reassuring. They tried to offer us a room with two twin beds, despite our having called to reserve a double bed. However, they gave us our desired room with minimal resistance. We would recommend calling them after bidding on priceline to request non-smoking, double bed, etc and obtaining a new confirmation number.We were on the 2nd floor facing the tracks. We did hear the trains (sounded like distant thunder), but were rarely in our room. The noise was not excessive by any means and did not keep us awake. It was actually very calming, like a distant storm in the summer. There were no traffic noises whatsoever (as opposed to most other hotels in London). There was a pretty park just across the tracks that our room looked out over. The room's decor was simple and outdated, but sufficient and clean. The size of the room was certainly generous by London standards with a double bed, two chairs, table, and desk (it compared to 3 star hotels in the US). The mattress was not the greatest, but again it was still a great deal for the money. There was a nice-sized tv with cable, a fridge, portable coffee pot with teacups, and hair dryer. There was no in-room safe, but we kept our luggage locked and did not have a problem. I believe that they have a safe at the front desk if needed. The bathroom was clean with an older but well-running shower. Yes, there are two knobs for the sink and shower. However, anyone who complains about this has not traveled enough in Europe. We invite you to embrace the quaint charm of it all! Isn't that why we travel in the first place?!We did not eat at the restaurant, as there are so many other places in the city with cheaper food at similar quality. In summary, this is an excellent deal for the money if you use priceline. Those who complain about the service or decor need to try other hotels in London at the same price ($100/night with tax); they will then be thrilled to be staying at the Copthorne. It is not romantic or elegant, but would still be fine for singles or couples on a budget who want a clean room for a London getaway. We will certainly attempt to stay there via Priceline on our next trip.	
Apr 23 2005	Comfortable hotel Great value	We stayed at the Copthorne Tara this week and found it quite comfortable. The room was the largest of the London hotels where we stayed, and there was plenty of space for our luggage and for us. The room was clean and attractive. The hotel looks a little grungy from the outside, but we were pleased as soon as we saw the shiny lobby. The location was excellent. The hotel is a 5-minute walk from the Kensington Tara tube stop, along with a lot of shops, cafes, and restaurants. Hyde Park is very close, as well, so we were able to take a nice long walk in the morning. We felt very safe walking around in that area at night.We took advantage of the theater ticket service in the lobby. The man is only there during business hours, but he saved us a trip to Leicester Square, and got us 1/2 price tickets for Fame. There's also a pay Internet kiosk in the lobby. My only complaint was the overwhelming heat in the room. The room has a massive air conditioning/heater unit, which didn't cool us off. I don't hold this against the hotel too much, as we didn't complain until late night, at which point we didn't want maintenance coming up. I suspect this is not a typical problem for the Copthorne.The bathroom was larger than some of the other hotels where we've stayed. It looked a little worn around the edges, but was still clean and comfortable. The hotel breakfast was too expensive, so we ate at the Cafe Nero down the street.I'd happily stay at the Copthorne again next time.	
Apr 19 2005	Copthorne Tara a practical solution to where to stay in London.	I just returned from 5 nights in London at the Copthorne Tara Hotel. The hotel is large and the rooms, while not large by American standards, are perfectly comfortable. The rooms are clean and the hotel is well kept. Ask for a room in the front of the hotel; the rear gets alot of noise from the underground station nearby. The hotel is conveniently located about two blocks from the Kensington High Street underground station. Crews from several airlines stay at this hotel. Also many tour groups. Some of the people manning the concierge desk were very helpful; others were not. The hotel restaurant is OK and it is convenient if it is late or the weather is inclement, but the service is indifferent. If you are arriving early, do let the hotel know of your early arrival. I arrived early and was informed that the rooms would not be available until 3. I checked back several times but was always told, without the clerk even checking, that they were unavailable. This indifference also seems to carry over into maintenance. Our heat was not working: instead of trying to fix it, the hotel provided an electric heater for our 5 day visit. While these incidents were annoying, I would still stay at the Copthorne Tara again. It is hard to find a well located comfortable hotel in London. As long as one does not expect 4 star &quot;luxury&quot; or charm, the hotel is a good choice if you are staying in London more than a day or two. Look for some good discounts provided by some internet web sites.	
Apr 15 2005	Good hotel nice location	I stayed at the Copthorne during this past week, and was generally pleased with my stay. It is by no means a luxurious hotel, but served my purposes well and was a fine place to return to at the end of a long day. My room was on the seventh floor, overlooking the road leading to the hotel. If you are sensitive to noise from the Tube, be sure to request the front side of the hotel as I never heard any trains. The staff were pleasant and very helpful, from the first day to check-out. I did not eat breakfast in the hotel because there are plenty of cheaper options nearby including Caffe Nero for coffee, fresh fruit, and muffins. Plus Marks &amp; Spencer has a terrific selection of food, and you may also pick up sandwiches at Pret A Manger or Boots in the Tube stop. For a quick dinner, stop at Wagamama on Kensington High Street, near Next and Top Shop. The Copthorne's location is great, and is within easy walking distance of Kensington Palace, the wonderful V&amp;A, and Harrod's. Other than the musty smell in the hotel's hallway and my saggy bed, my only gripe is that the High Street Kensington Tube stop is on the District/Circle lines, and we had to change lines nearly each time we rode the Tube in order to reach our destination. It was not a huge hassle, so I would stay at the Copthorne again because of the location and reasonable rates.	
Apr 10 2005 	I like the Malaysian/Singaporean cuisine!	I have stayed at the Copthorne Tara twice now. I stay on business. I have found on both occasssions, the hotel to be efficient and rooms comfortable.Working to late and then ordering room service for dinner, I have found the service to be friendly and swift. I particularly like the idea that the hotel clearly is the place where Malaysian Airlines staff staywhen they break journey. There is a Malaysian/Singapore menu list for room service which is great. I would use this very central hotel again when in London and like others have said, breakfast is good too.	
