	This is a 3 star hotel	I booked for 2 rooms through superbreak and was very disappointed with the dated room and especially the bathroom. My friends room was even worse with very dodgy electrics and although the tv was reported it didn't work no one acturally went to fix it.We had to ask for soap which you would think would be provided! and the shower curtain rail was placed above your head, so when you had a shower it stuck to your body!The bar was very expensive with 4 drinks costing £18! however the restaurant was very good and helpful staff.When we went down for breakfast the queues were horrendous, waithing a good 20 minutes! although breakfast itself was ok.No way is this a 4 star hotel! I will not be staying here again.	
Jun 8 2006	Love Love Love	I absolutely loved Thistle Euston and everything it had to offer. I stayed here with my two cousins in London for five nights. Not too expensive, because we booked with Cosmos. The room was comfy and cozy, and the porters made us feel right at home. Be sure to ask for Herbert, Michael, and Willem (guy who looks like Tin-Tin). They gave exceptional service and even gave us a lot of information on where to go around London. Would definitely stay there again. Only one bad thing, the food sucked, but we usually missed breakfast being that we woke up at 12 pm.	
Jun 6 2006	Not As Good As Usual	We stayed at Thistle Euston for 6 nights late May and early June. We booked the hotel through AAVacations as we always do. This time we could only book an executive suite as there were no supior rooms available. We paid quite a bit extra for the executive suite.Upon check in we requested a room on the third floor overlooking the park (it is nice and quiet there). We have stayed at this hotel several times - 2 times a year and have always had a room on the 3rd floor, park view. This time we were sent to a room on the 3rd floor that was smaller than the rooms we had previously booked as a standard room. I immediately went to check in and was shown 3 other rooms on the same floor. Two of the three were superior rooms and one was an executive suite. Needless to say I chose the executive suite as that was what we paid for. The room was nice and clean as usual and we had full English breakfast which varried from day to day. Only one of the two tiny elevators was in service most of the time. Each day there were several tour busses with hundreds of suitcases to be taken to rooms. Waiting for elevator was a constant problem - expecially when we went to check out. We were late because of the elevator situation. We requested a taxi to take us to Paddington Station (about 10 minutes away). When their car arrived the driver was reluctant to quote us a price. After insisting on a price he told us 25GBP, Outrageous! We took the underground from Euston Square and arrived at Paddington in plenty of time to get the Heathrow Express. We will be returning in November and I will give the Thistle Euston one more chance.	
Jun 3 2006	It's not worth to go there	There is no reason to stay in this hotel for this price! I had a room in the first floor. OK, nicely furnished. But the room is so soggy that you can smell the mildow. Or is it the rubish under the carpet?And the doors! The doors slam automaticly. While I was there, a group of Russian tourist came in at 3 a.m.. No chance of sleeping until the last one on my floor checked in. To point it out: it's not the fault of the tourist, it is the fault of the hotel, installing doors that slam automaticly so hard, that the building &quot;shakes&quot;. Here is my advice: stay away from this hotel, until you like grubby, soggy and loud places. There is a Ibis and a Novotel nearby. And I am sure, that for £ 150 you get better rooms there.	
May 31 2006	Better than expected	Surprised how nice this hotel was after reading reviews. Business quality hotel right next to tube. Beds extremely comfortable and plenty of amenities in the room including iron and board. Clean and pleasant stay. If cheap enough would book again. Didn't eat here so cannot comment.	
May 13 2006	Many pros but some cons	Stayed for 2 nights at the Thistle Euston. I thought the hotel was slightly above average given the price I got on priceline, 80 USD per night including taxes. However, the rack rate for the room was somewhere in the neighbourhood of 200 USD per night and would have been totally unacceptable to have paid. I will briefly go over the pros and the cons.Pros:-Very close to Euston Station, a quick tube ride to the central london attractions, and many food outlets in the station-Very nice lobby area and hallways-Beautifully done bathrooms-Nicely decorated roomsCons:-TV could only get about 6 channels that wasnt pay TV-Bed was the worst I have ever slept on, hurt spine when I sat down, and felt like I was sleeping on a slab of concrete. Checked the matress and was made in 1994-Floors in room and hallways were creeky, and unlevel. I got the impression that the carpet was layed down on top of rubbish -Poor view from the room of an old abandoned warehouse and the train yard-Very old windows with paint flaking offDon't know if I would stay here again. Even for 80 USD per night, it seemed like a bad deal for even London.	
May 9 2006	Try the other Thistles	It takes a bit of time to realise why you don't like this hotel but that's because it is a mix of things, the location is poor unless you like seedy parts of London, the room I had wasn't overly clean (the middle of the floor was well vacumned, the sides weren't), the staff seemed to see guests as an inconvenience, the bar was full of loud drunks, the plumbing had two settings cold, and colder and if you are going to have rooms looking over a light well don't dump stuff in it. I've found most Thistle hotels I've stayed in good but this one was really a shock.	
Apr 26 2006	Great Value 	My husband &amp; I stayed at the Thistle Euston , late March for 6 days booked via an AA air package- flight, hotel, with full English breakfast . Last year we had booked the same room overlooking the Euston train station. We love the Thistle. Considering our week US dollar compared to the British pound, this is a terrific value. The room was spotless, beds were comfortable, duvet comforter &amp; covers, a personal welcome announcement on the TV, bathroom towel warmer. The staff was extremely friendly. When we arrived early Thursday morning, they allowed us to check into our room. It felt great to rest &amp; shower. Full English breakfast was amazing. I normally never eat much but could not resist their delicious fresh yogart w/ mango &amp; berry sauces. My husband loved the bangers &amp; Danish bacon with poached eggs, tomatoes, cold cut assortment &amp; brown toast. Delicious fresh coffe was always served in large pots. Thanks Thistle Euston,. We'll be back!	
Apr 21 2006	Not a great hotel for the price	I expected much better from this hotel for the price you pay but was very disappointed. The room I booked was supposed to be an executive room but was small and pokey. Not very comfortable for business travellers, and service was very slow. Wouldnt stay here again.	
Apr 12 2006 	more than acceptable business hotel	We got a really good mid-week deal direct with the hotel for four deluxe rooms and breakfast. The hotel was clean and modern with light and very spacious rooms that were well equpied and smart. The double bed was the best I've slept in for years.The lobby was professionally run and staff were polite and welcoming. Breakfast was nothing special but more than adequate. The hotel was minutes from Euston and I personally did not feel uncomfortable in the area.I was irritated by the fact that the minibar key has to be requested from reception but this is a minor niggle.However be advised that we had booked a meeting room facility to present to a client. For the sum of £200 for the morning we got a bedroom with a fold-up bed. At one point we thought we would have to use a bedsheet draped over the wall in lieu of a projector screen but one was fetched.All in all the best Thistle I have stayed in.	
Apr 11 2006	OK if you get a cheap deal otherwise forget it	I booked one night via lastminute for an unnamed 4 star hotel, which turned out to be 3 star. For the price I paid it was adequate. The bathroom was a bit dirty, there was only lukewarm water left for a shower in the morning and the hairdrier didn't work. Otherwise it was a reasonable size room with a comfortable bed in a handy if not picturesque location.	
Apr 8 2006	Great Room for the Price	My daughter and I stayed at the Thistle as part of a European tour. We expected a tourist grade room, but were pleasently surprised by the size and cleanliness of the room. The location is close to both the train station and bus stops. It made it very easy to sightsee in London. I would stay there again.	
Mar 26 2006 	Nothing special but the bed was comfortable and Internet access was great	I believe they had recently rolled out Internet access when I stayed and that was the reason I did book a room there. I think it was 10£ for 24hrs access. Anyways, the room I was assigned had problems with the Internet access. I was moved to a larger room without asking. (I just needed access to work) The connection was quite fast uploading/downloading. The bed was very comfortable and room service was great even at 3am. (I believe it was 3:00am...it was late/early)Both rooms were very clean. Included breakfast was typical and I was able to enjoy some American Football on the tele in the hotel bar. Mmmm...bacon crisps &amp; Boddingtons.I believe I stayed for a week. Quick access to Euston Station, less than 100M if I remember right. It's also an easy walk to the British Museum. I would stay there again.	
Mar 21 2006 	Actually quite good!	Stayed for 1 night on business. Arriving at Euston station, the hotel is very convenient (although the short walk up Cardington Street late at night might be slightly unnerving for some).I'd booked a single room (company policy) and was asked at reception if I minded a twin room instead! No, I didn't mind...The room was quite small and the view terribly uninspiring. But it was well equipped and very clean. There's quite a lot of chrome everywhere and polished marble in the bathroom which I thought was quite nice.Breakfast was good (I resisted the temptation to have it delivered to the room but it's nice to have the option).Throughout,the staff was friendly and efficient and the brief stay was a breeze, to be honest. Nothing truly outstanding but comfort levels are higher than your bog-standard, economy hotel.I would recommend for travellers arriving or departing through Euston Station who are looking for that &quot;little bit more&quot; than just a bed and shelter for the night!	
Mar 9 2006	Don't bother!	I stayed here with my partner for a long weekend and I can hardly remember any positives about this hotel. The rooms were extremely dated and it was very expensive for what it was. The location was quite far from the shopping area of London (so wear comfortable shoes if you want to walk!). I found the staff very unfriendly and unaccomodating. It is not a safe area to walk in the evening, especially women on their own. The bar is really shabby as well, reminded me of an old peoples home. You will be able to find much better hotels for the price this hotel asks. On a more positive note, the lobby area is nice and make sure you ask for a free map of London if you are visitor to the area.	
Jan 29 2006	Adequate nothing special	We stayed here for a couple nights back in November and didn't think much of it. There is a subway nearby which is nice, but the rooms are awfully cramped with virtually no room to move around. It was clean, but not really comfortable. Our room was especially cold during November and unfortunately the heater did not work.There are some affordable Indian/Pakistani restaurants nearby that are walking distance, but most everything you will want to see in London requires you get on the subway or call a taxi. The staff were cordial and polite. If I had to come back to London again I would definitely pick a more centrallly located hotel.	
Jan 5 2006	Great place for the price!	My first visit to London, I was worried about staying at the Thistle after I had read some reviews. Overall our room was clean, good size and we had no major complaints. Check in was easy, they let us check in early with no problem, upgraded our room and check out was also a breeze. Two of the porters were great!!! Helpful info, good recommendations for restaurants, tourism info etc. The restaraunt was closed for lunch and dinner and the bar food wasn't great but the food in London isn't great overall so this was no big deal to us. The location was good b/c it was a short walk to two different underground stations. For the deal we got on this hotel, we were Very pleased!!! Don't believe all the negative reviews...the beds were comfortable, rooms were spotless and didn't smell, service was good....book it and enjoy...we did!!! The red haired porter who looks like Clay Aiken was very helpful and another tall man with dark hair, I think his name was Danny....both great!!!!!	
Dec 19 2005 	Truly awful	Billed as a see when you pay 4* by Lastminute (making me very skeptical of using LM again) this hotel was by no means that. I would say 2+, if. My room was pokey, which is familiar for London rooms, but more to the point REALLY DIRTY. Stains on carpet, bed, mould on the bath grout - the sort of place you wouldn't dream of walking barefoot in.Moreover - i discovered when leaving my room morning after first night, the door didn't actually lock ...You could push it open without a key card! The housekeeper was walking by, and seemed shocked and said she would sort it out. She seemed really nice and I was in a mad hurry so I left her to it. It meant my stuff was left in the room free for anyone to wander in and take if they realised, but I trusted her to solve it and luckily there was a safe so my passport, laptop etc were secure. However, I came back that night to discover it had not been fixed, and I had the clear sense from the very disinterested reception staff encountered the previous day that there was no point in bothering trying to do any more about it. I told them again at reception the next day as I checked out, and they barely shrugged.My sleep was not eased by the fact that even the inside door latch did not hold the door secure had an intruder wanted to have a go. Nor by the fact that my room was on the second floor looking out on the street - the noise all night was incredible - what seems like a more or less deserted street turns out to be some kind of depot which trucks seemed to have enormous difficulty accessing, meaning endless maneauvers and the noise of reverse indicators through the night.And one last thing, while handy for Euston, the hotel is a five minute walk down a not great road, and at night I would not be particularly happy walking there as a lone female.Give this one a wide bearth - and don't trust last minute ratings either if this is a yardstick	
Dec 7 2005	Personality-free office block hotel but with a comfy bed.	Booked lastminute, and stayed for only one night as my Wife and I made a weekend of our visit to watch England play Samoa at Rugby.We had a room upgrade free of charge, which was nice and unexpected, but even our upgraded room was just a box with a big, comfy bed in it. I travel a lot on business, and I am starting to wonder just how useful an indicator the 'star' rating system is. Four star facilities maybe but hardly a four star experience.Bar was expensive and not on SINGLE native English speaker did we encounter during our stay.The buffet breakfast was expensive and rubbish, the tiny restaurant was overwhelmed by Sunday morning breakfasters.For under £75 its a decent and convenient place to kip in London, but I'd go for breakfast at a cafe in Euston Station next time I think and save £20.	
Dec 2 2005 	I'd stay here again - nothing special but OK	It was the first time I'd stayed at the Thistle. I arrived at Euston quite late, so very convenient instead of going off the train onto the tube.Check in was friendly and efficient, room was clean and comfortable and as warm or cold as I wanted it, which is always a bonus. Iron and ironing board in room (two actually...) a good touch. Not a very good range of TV channels.Didn't try the bar or restaurant.Breakfast was the average hotel breakfast with nothing to complain about or write home about either.Check out was OK for me as I was charging the room to the company, but I couldn't get a receipt as their systems were down. I don't kow how this affected other guests.In short, a good place to stay if you are arriving late at Euston. Nothing to be scared of, but nothing exceptional either.As someone else said - your average business hotel.	
Nov 21 2005	What an awful kip	Booked this through wotif - usually a great site. Rated 4 star. Who rates these things ? The reception was renovated and the check in efficent but that was it . The rest of the hotel is a dump. I did not specify smoking or non smoking so I got a smoking. It stank. When I complained to the unengaged manager he said that as it was a smoking room I should expect it to stink. So I asked was that also the case for ------ rooms. (ie ones with bathrooms)He said &quot;dont use word like that to me&quot;.Any way the room was tiny, the curtains torn, the room noisy and past its sell by date. The hotel consisted of long long long corridors.My credit cards were stolen (not at hotel). I rang the reception, no answer, I rang the porter, no answer. I hit the emergency number on the phone - answered after a long ring, by someone who could not speak English. Got a taxi to my brothers for assistance.This hotel would get two stars anywhere else.Avoid - dump.	
Oct 30 2005 	All depends on how much you pay	My &quot;above average&quot; rating is due to the excellent value for money which one can get at week-ends by booking through the &quot;highlifebreaks&quot; website, a subsidiary of Thistle Hotels, I suppose. I pre-paid (not refundable) £39.50 (full English breakfast included - worth £12.95 if paid for separately) for a very quiet, clean (but very small) single room overlooking the park on a recent Friday night. Quiet at night, that is, since I can confirm that maids knock on your door at 8:00 sharp if you have omitted to display the &quot;please do not disturb&quot; notice on your door.The blue-rinse brigade, present in large numbers in the evening, prepares you for the worst as far as breakfast queues next morning are concerned, but I was immediately given a table and offered coffee by friendly staff that spoke good English - something uncommon in London hotels.The general environment is admittedly depressing, but at the price the room, facilities and breakfast offer unbeatable value in Zone 1 London.At the mid-week &quot;rack rate&quot; of some £172 without breakfast (+£12.95) for a standard single room, the hotel would of course be the usual London rip-off. But at £39.50 per night including the excellent English breakfast, I would unhesitatingly go there again.	
Oct 12 2005	Last minute bargain	Booked last minute, for a central 4 star hotel unnamed, think I got a 3 star side street hotel overlooking the station, but it was clean and comfortable and easy for train and tube connections. The staff were very helpful allowing us to book in early and leave our luggage when booking out. (Travel lodge hotels we have used will not allow this we have had to pay and queue for left luggage at the station before).Our room was long and narrow but nicely decorated, liked the idea of ironing board and iron as standard.The bathroom was small but adequate, the shower hot but the bath towels were tiny - large hand towels size only. Suggest you take your own!	
Oct 6 2005	Needs a review or space for improvement	A bargain if booked online through the usual late booking websites - a four star hotel in WC1 that will give you change from £75 a night at the time of writing. However, it's no place for the leisure visitor; the cleaning staff start work at 8am, shouting along the corridors, so a lie-in is unlikely. The room I was in was pleasant and a reasonable size for central London, but somewhat outdated in decor, an impression that spread to the public areas, so the place is probably due an overhaul. Local facilities are also sparse, with the (excellent) curry houses on Drummond Street and Euston railway station the only options very close by, and the hotel itself on a street behind the railway station that I would think twice about walking down alone late at night. So while I felt my stay represented good value, it didn't justify a four star rating by any criteria, although it's nothing that a bit of thought over the requirements of the balance sheet couldn't fix.	
Oct 5 2005 	Ask for an Upgrade	I booked this hotel through an internet company where you didn't find out until after that it was the thistle. All I knew was that it was in Euston but that it was 4 star I paid £75. Once I found out I went on trip advisor to look at reviews and panic set in so i was expecting the worst and moaned to my partner. He rang up to tell them I was traveling on my own and could he pay to upgrade me. They upgraded me for free into an amazing room 260 I think which was massive and an executive room. Had dinner in the restaurant the food was very tasty and well presented but the restaurant decor is quite something (you really have to see it to believe how awful). The staff were all foreign and seemed most to be in training but very friendly and helpful, one kept giving me breadrolls even when I was on my desert bless. I didn't have breakfast and went and grabbed something at Euston after reading someone elses comment. So all in all prob spent under £90.	
Oct 3 2005 	A standard businessman's hotel	As a fairly regular visitor to the Thisle Euston, but a recent convert to the information of TripAdvisor, this review covers many visits to the hotel over the last couple of years.The hotel is fairly standard among those that cater for the travelling business-person who simply needs a bed for the night inbetween meetings or travel.The rooms are generally a little on the small side but perfectly serviceable and clean, the hotel is arranged in a square around a service area, if you get a room overlooking the service area then you may get some noise from the air conditioning plant. Generally the rooms do not have air conditionning, but more on that down below. This sometimes means that in summer the room is like a sauna, but if you open the window can't sleep due to the plant noise.The restaurant is nothing to write home about but is good value (£14.99 for two courses) and is open late until 10:30 ideal if you have arrived late. The breakfast is always good with a selection of cerials, toast, pastries, meats, cheeses and fruits as well as the standard cooked fayre.My major grumble came a couple of months ago when I turned up at the hotel fairly late after stumbling off a train from 'oop north to be told that they were overbooked and I'd been transferred to the Thistle Barbican. I cannot fault the attitude of the staff, I was offered a drink in the bar while they called a taxi and was told that the Barbican was expecting me with an upgraded room.Following this episode, I wrote to the Thistle complaining and was promised an &quot;executive room&quot; on my next visit. This opportunity came last week and a got an opportunity to see how the other half live... The room was 2/3 times larger than a standard room with a king size bed and a living area with 2 chairs and a sofa bed, there was air conditioning (finally got to see what all of that noisy plant feeds) and the room overlooked the quiet park to the side of the hotel. Apart from that everything was the same, but the difference that the air con made was amazing.I only ever use this hotel for overnight stays and it is perfectly adequate, however I'm not sure how my views would change if I had to stay here for much longer.	
Sep 22 2005 	I wouldn't stay here again !	Stayed here for 4 nights and wished I'd gone elsewhere !The check-in staff spoke poor English which drew the whole process out.The decor in the public areas is OK, but as soon as you get away to the bedroom sections it was a different story. Very tired and tatty indeed.The bedroom was fairly pokey, although this is not uncommon in London hotels. The bed had clearly seen better days (many years ago) - how difficult is it for a hotel to offer its guests a decent nights sleep ?I never bothered with breakfast - there were queues like you wouldn't believe each morning.Check on Friday morning out was blighted by there only being 2 staff on duty and lonnnnng queues.4 stars ? Certainly not ! Spend your money elsewhere...	
Jul 25 2005	Old room Noisy maids - More 2-3* experience for us!	I suppose for the under ninety pound Internet price we paid for the room we can't complain too much. The hotel is in a transport-covenient and relatively quiet part of the north side of central London. We've done a fair few Internet bookings now however and expect a 4* room to at least be newly decorated. I think we were unlucky in that we got a ground floor room in an old, rear part of the hotel. This is nothing like the clean modern front and reception everyone else seems to have experienced! In this case we thought &quot;c'mon they could at least have updated the decor since the 70's!&quot;. Although everything was clean, the bathroom was poorly tiled and the shower is a museum piece (it felt like some dodgy poor motel) and the furniture and decor seems like it hasn't been changed since Abba hit the charts, including the matress and the wallpaper and fittings.We would have appreciated it if there had been some value in maintaining this 'timeless' decor but I'm afraid we failed to see it. Also the room maids couldn't stop shouting down the corridor at each other in the morning - aren't guests entitled to some peace and quiet too?!!The Ibis next door looks far more modern from the outside - better luck next time eh!	
Jun 6 2005	Great for price!!	Not a luxurious hotel, but a very good price and good neighborhood. You don't have to be worried about the location here. Not very close to sights (aside from the British Museum), but the transportation is great - so it's a non-issue.	
May 22 2005	Marred by bad service	I booked the Thistle Euston based on some good previous reviews and a good last minute price. I was hoping that this 4 star hotel would live up to its reputation, but unfortunately all I encountered was problems. For a start, we waited about 15 minutes to actually check in as there was only one person working reception in the middle of the day. Two other staff waited around doing nothing. We had booked a double room, only to find when we got there, they had just pushed two single beds together. Not to be daunted, we decided to make the best of it, but there were just more problems.The bathroom had two towels and no face cloths. For a supposed 4 star hotel, I don't know how they managed it. Their guest services directory boasted that fresh milk was available free of charge, but when I ordered some all that the housekeeping staff brought was the horrible UHT stuff. She seemed to have no knowledge that fresh milk was even available. Even upon check out, the service was less than pleasant. When I asked for a receipt of my stay, the man at reception stated he wouldn't print one out and that because I'd booked through an agent, I'd need to get in contact with them. When I pointed out that even though I had booked through an agent, there was no way of them knowing that I had actually stayed in the hotel, he just shrugged his shoulders and said he couldn't help.The rooms were clean and pleasant and the location was excellent, but I would never stay at this hotel again because of the service.	
May 20 2005	4 Stars? No way!	We were &quot;upgraded&quot; to the Thistle Euston after booking for the more modest 3-star Bloomsbury Park as part of a midweek theatre break. I really wish I had said no!We lost an hour of our trip getting checked in -- the front of house computers should have been skipped years ago, probably 486s -- and crashed several times trying to book us in.The first &quot;superior&quot; room we were given was so small you could only get one person at either side of the double bed, and you could sit on the toilet and brush your teeth at the same time!We complained and were given a bigger room, though still only average sized. The bathroom smelled strongly of bleach -- I daren't ask them why -- and the shower head sprayed water around the room rather than at you. The restaurant was also disappointing - the breakfast food was of high quality and hot, but you didn't get a spoon to stir your coffee with, or a plate to put your toast on. The butter was also congealed and unappetising.However in the hotel's favour the staff were very good, the front of house manager dealing with our complaints swiftly and fairly, so well done to them for that.Unfortunately London still has problems with hotel standards that compare unfavourably with other major cities I have stayed in (eg New York and Sydney) which is sad to admit as a Brit.If you can spare a little extra I would recommend the Thistle London Bridge which has lovely views, is more conveniently placed and is better maintained. For the same price you could stay at the Hilton Islington which is still well placed and is clean and modern.If you do decide the book the Euston then I hope you have a better time than us, and enjoy the beautiful city.	
Apr 30 2005	Good value at Euston	Hotel is conveniently located next to Euston Station (BritRail) and Euston Underground. Rooms and public areas have a gleaming new look; very polished looking and restful. Rooms are immaculate, clean, sparkling bathroom with black granite counters, white tiles, towel warmer, etc. Some rooms overlook a small but beautiful park. Area felt safe to walk all hours. Euston tube a few stops from Leicester Square and Covent Garden. Close to British Library and internet cafes. Continental breakfast was ok - no yogurt or cheese as promised, but lots of cereal, juice, rolls, jellies and canned fruit. English breakfast looked ok but did not purchase this.	
Apr 29 2005	Definitely stay here again.	Would definitely stay here again. The hotel was situated just a 15 minute walk from Kings Cross Railway Station, we managed the walk quite easily with our suitecases. Adjacent to the hotel is an entrance to Euston Railway station and adjoining underground, it couln't be handier. The hotel itself is at the end of a very quiet street, though only minutes from bars and restaurants. It has recently undergone refurbishment in a contemporary style. The rooms are modern, comfortable, and have all the amenities expected such as cable tv, tea &amp; coffee making facilities, bathroom toiletries, a trouser press and internet access. Breakfast was very good, food top class, and plenty of it, only drawback was the queue into the restaurant, everyone seemed to want to eat at the same time, but worth it when you did manage to get a table, which is alocated to you when you reach the front of the queue. We had a glass of wine on the first night in the hotel bar, very expensive six pounds a glass, though they were large, so we didn't bother drinking there after that. The reception staff were extremely pleasant and helpful when we arrived, and they offered us the use of luggage storage on the day we checked out. Though we used the underground station during the evening, it is a lovely walk from the hotel into central London passing several small parks on the way.	
Apr 28 2005	Excellent location	Stayed here as part of a Northwest Airlines package. the hotel has a great location, near several Underground lines. The British museum is within walking distance. The staff was friendly and helpful. The included continental breakfast was adequate although they did not have any rolls or bagels one day. The room was large enough and very clean, the water pressure in the shower was great. I would definetely stay here again.	
Apr 26 2005 	Mediocre not great area not great staff	I stayed here on business last year as it was close to Northern Line.I was shocked by the size of the room so asked if they had anything else. I had a look at three further rooms and they were the same so I stayed with the cupboard I had been assigned.I went for a walk in the evening (early spring so dark early), but didn't venture far as there were a lot of people hanging around the streets, and broken glass in the car spaces along the road (never a good sign). I wouldn't recommend you venture outside alone at night.Hotel is handy for Tottenham Court Road so there is a variety of restaurants to get you out of the hotel one!Would recommend hotel if you get a good deal, otherwise, try somewhere else	
Apr 18 2005	Great Place---Great Value	We stayed here on our trip to London for 5 nights. It's a great place because it's just down the road from the train station. Rooms were clean and comfy and average size. The bathrooms were really nice with great water pressure. This was a great value for a London hotel. Since it was close to Euston station (which is on one of the bigger tube lines) it was a good location. We never heard the train at night. It's kind of in a business area so at night it's pretty much dead. I'm sure a hotel this nice would have been MUCH higher had it been in another part of London. The buffet style breakfast was really tasty with fresh fruit, cereal and traditional English food. There's a nice bar downstairs, a small giftshop with cheap phone cards and other tourist items (yes, they were cheaper than on main streets in London). Also, there were elevators which is somewhat rare for London. All in all it's great for anyone not wanting to have to spend an obscene amout of money for a nice, clean room.	
Apr 7 2005	Loved this hotel!	My husband and I visited the Thistle Euston on our first trip to London. Although the room was small it was lovely, nicely appointed, and looked out on a little park. Hotel staff were very helpful; housekeeping was adequate, although we could have done with more towels. The food in the hotel was excellent. We were on an American Airlines package trip and at first scoffed at the idea of eating in the hotel to take advantage of the &quot;two for one&quot;before 7 p.m. What a mistake in judgement. The cuisine was excellent, service outstanding. As a matter of fact, we enjoyed eating there more then we did at other restaurants, and not just because of the price break! The only complaint we had was our mattress. It was something out of the Tower of London torture chamber. After two nights, we did complain to the desk and they immediately offered to change it. The new one wasn't much better, but the staff response was excellent. The hotel location is so convenient. All in all, I would recommend it to anyone who wants to stay in a very nice hotel with great service and food at a reasonable price. We loved it. When we return to London next year, we are staying there again.	
Mar 24 2005	Good value clean and comfortable	My husband and I just returned from a six night stay (March 2005) at the Thistle Euston and found it to be a good, clean hotel with friendly staff. The rooms were small, but adequate and it was a quiet location. We chose the Thistle because it was near where my daughter was studying at Regent's College; It was also well situated for the train and subway stations. Just a word of caution: I booked our stay through Expedia and breakfast was not included in the price. While others here have raved about it -- we ate at the hotel only once. At 15 pounds for a continental breakfast for two (that's juice, coffee, toast and cereal for $30 U.S.) it wasn't a good value. There are many other less expensive options in the area, including nearby Puccino's cafe, which was fun. Overall, I would rate the Thistle Euston as an excellent 3+star hotel. If you are looking for reasonably priced, clean, and conveniently located accommodations, this hotel fits the bill.	
Mar 23 2005	Bad experience	Stayed at the Euston Thistle as part of a group of 10 on a business trip. The rooms were very small. Had to walk side step to pass the front of the bed as it was pratically touching the wall. No sound proofing so slept in and missed breakfast! Although this was a blessing in disguise. Everyone who ate breakfast fell ill that day - 8 people of the 10. Meeting was cancelled. Would avoid like the plague.	
Mar 21 2005	so close to euston station	There were 5 in our group, and we had 2 rooms.We stayed for 3 nights, rooms lovely and clean, there was 3 in our room and we all had plenty of space. Dining room for dinner was slow and my salmon was undercooked, but staff were very apologetic,and offered free drinks because of this. Very long queues for breakfast, but breakfast was enjoyable and we always had plenty, to keep you going till lunch. Staff were very helpful and by the end of our stay we had shown the bar staff how to make hot whiskeys the irish way! we would go back again and it was first visit to london for my uncle who is 80 and he really enjoyed it&lt;and so did my mom.	
Mar 7 2005	Not a bad deal	I decided to stay here as part of an air-flight package through American Airlines. I clearly wasn't the only one to think the advertised rate was a good deal as check-in turned out to be quite a crowded affair with many folks from the same flight arriving at roughly the same time. I noted similar conjestion on other mornings. The hotel is not in the most picturesque locale but it it is very close to Euston station which makes it a prime location for both business travelers and tourists. The downstairs restaurant can fill up quickly at breakfast and my party had to wait for a table both mornings we ventured in. The rooms were standard - nothing fancy but clean with basic amenities. I wouldn't pay full rate here but it would certainly be a good option if you can find a discount.	
Feb 26 2005 	Good for a business traveller	I got the room through lastminute for £93 a night for a standard double room (instead of the hotel charge on £180). I travel for business quite often, and the room I got was of good quality for a business traveller (e.g. contains bathroom with a bath), but there was no view (the view gives on other rooms). I found the broadband charges quite expensive (£0.50 by minute with a maximum charge of £15 for 24 hours).The location of the hotel is excellent, only few minutes walk from Euston station and underground.	
Jan 20 2005	Great location	Stayed for a few nights in December. Hotel is in a fantastic location for buses, subway and cheap food. The hotel room was well-fitted out and bigger than what I thought a London hotel room would be. Tea, coffee and hot chocolate facilities were provided in the room. Staff were great and there is a small gift shop in the lobby. Definitely would stay there again.Julie, Australia	
Jan 7 2005	BLAAAHHHH	Going to keep this short. London is awesome, this hotel is not! Got there on te 31st, New Years Eve, and found there were no double rooms available and were placed into two single rooms instead. After I phoned American Airlines Vacations and told them to fix the problem my room was upgraded for the rest of the trip but alas, no heat in that upgrade. No heat in January in London is not good. The room was big and te bathroom was also good but still doesnt matter if the room is freezing. After three days of complaints finally got a space heater. Concierge was awful and the room service was inconsistent at best. Will never stay there again. I would rather skip a vaction next year and save my money so that I can stay at the Ritz. Simply not worth my money. Again - London is awesome, the Thistle Euston is not.	
Dec 13 2004	Thieves	Staff attempted to double charge me for my Executive suite room, and only after I told them to go ahead and do that, I would simply adjust from back home (USA) did they realilze they were not going to be aboe to cheat me and stopped the scam. The rooms are very noisy, w/o beneifit of soundproofing between rooms, and the hotel staff are generally rude. My room was one of the 36 executives, so one would expect that for a room with a 221 pound rate, the service would be at least good. The free buffet is worth exactly what it coste. AVOID THIS ENTIRE CHAIN.	
Nov 30 2004	5 Star Treatment	This is a great 3 star hotel. You get the 5 star treatment from everyone - starting at check-in. Although our preferred room was not available the first night we were made comfortable in a substitute room. The next day while we were out sightseeing our luggage was transferred to our requested room. No hassle! The rooms are very clean, the breakfast was great and the best part is the convenience to Euston station and the tube. We have stayed at the Thistle Euston before on three occassions and would definately recommend it to everyone.	
Nov 13 2004	Nice place good location	Me and 2 of my friends stayed at the Thistle Euston in October. It was a nice hotel, they had a bar, free breakfast in the am, and the room service was excellent. Nice location, being right by Euston Station. We walked all the way to Big Ben and the Palace in no time, slowly shopping along the way. One thing, if you have 3 people, get a second room, we were pretty squished with three. All in all, a decent place to stay.	
Oct 20 2004	Evaluation of the Thistle Euston London ENgland	We were there Oct 7-13 2004.The rooms were very nice, well appointed and spotlessly clean. The hotel staff was very helpful in giving directions and getting tours.The location is not the best as it is out of the way except for the British Museum. There are few resaurants in the immediate area except for ones serving Indian food. It is close to good transportation so getting around was not difficult.We found the included breakfast both continental and full english, poor.	
