	FAB-U-LOUS	Excellent value hotel in great location. Called myself and negotiated great rate for bed and breakfast. Good size room (studio) with large bathroom. Clean and comfortable. Very good food especially the room service curry!! All the staff we came into contact with were helpful, efficient and friendly. It only took 15 minutes to walk to the Eye along the river passed the Houses of Parliament so great location. Was very pleased with this hotel and would stay again.	
Oct 11 2006	Nice!!!!	Once again the Riverbank Park Plaza was a perfect choice in London. Good service and a big great room with a view to kill for.. Second time at the property and I will come back!	
Oct 2 2006 	Great Value Great Hotel	We booked the Riverbank as it was close to our dinner engagement, didn't expect much, just wanted a bed for the night.How pleased we were to have that view! Looking East along the Thames, London Eye to right, Westminster Palace to left, stunning!!!We paid £139 for room, parking and breakfast - although I think they got that a bit wrong, they do seem to have their fair share of new people at the front desk.A bottle of champagne (Perrier Jouet) only £40 at the bar - Chino Latino - the bar snack menu is superb and good value.Don't bother with club lounge on 11th floor, if you must, then check it out before you pay, it's not worth it!When I go back I'll do a deal on the parking with the doorman - Stephen - as most people were slipping cash to him rather than paying the £26/day fee.Highly recommended.	
Sep 25 2006 	Serious staff issues	The front desk staff at this hotel are the worst I have come across in many years. The initial person I approached upon arrival flat out refused to check me in (despite having nothing to do), telling me I had to see her colleague at the other end of the desk, who had a queue of people waiting in front of her. Both women were rude with questionable English-language skills. The whole check-in procedure was unnecessarily lengthy and inefficient. Check-out was painfully slow as well and was carried out with no hint of customer-facing friendliness, no questions as to whether the stay was alright, no smiles, nothing, as if it was all too much of a bother for them. The actual room (away from the train tracks) was fine, nice sleek bathroom, comfortable beds etc. The location is excellent, 5 min walk to Vauxhall tube. It's reasonable value for money paid. However the whole enterprise is seriously let down by the utterly incapable and inefficient staff. There are better options in this part of town at the same price.	
Sep 17 2006	Nice Hotel mediocre location 	The hotel was clean &amp; located in what seemed to be a safe and reasonably convenient area for sightseeing (near Parliament &amp; Westminister Cathedral). To prevent the room from smelling like mildew always leave the air conditioning on. From the American perspective, I did'nt think communication would be as difficult as it turned out to be; English obviously was not the primary language of most of the hotel staff (or for many of the service workers in London for that matter). Another nit is the food available in London. While the hotel room service was timely and the room service staff were polite, it's advisable to ask what is included in the selections (a club sandwich included cajun chicken, mustard &amp; a fried egg). The salads, while not plentiful, were not bad (only one, unfamilar dressing was available) and the chicken was acceptable, but all the beef related products had an unusual taste (possibly due to grass fed vs corn fed cows). In addition to not being satisfying, the food was expensive. Also, be advised that EVERYTHING in London seems to close by six PM.	
Sep 15 2006 	Hotel 4 star the staff 2 star	The building is beautiful, but most room do not face the river. The front desk was staffed with trainees that needed help.The bus boys are the concierge they are helpful but not professional with giving help about town. The room maid did not replace a tissue box when she was left an empty one (she removed it). The breakfast is a joke, high price and poorly cooked. There is a food store just to the right as you go out the door. Location is very good, you can walk to many things or take a bus across the street.	
Sep 13 2006	Fantastic view	Stayed in one of the rooms with a view over the river thame, fantastic. Great ambience and friendly staff and very funky main bar as well. Will definately come back again.	
Sep 12 2006 	Very Nice Hotel	We stayed in this hotel for two nights, once at the beginning of our trip to France/Belgium, and once at the end. We chose the hotel because of it's proximity to Waterloo Station and the Eurostar. The first night was a &quot;getaway&quot; package which included breakfast and a bottle of wine for something like 89 pounds, while the second night was a AAA rate of 79 pounds with no breakfast.The hotel is very new and quite nice! The staff was friendly and the check-in/check-out process was smooth and expedient. The hotel (including the bar/restaurant) itself has a very modern, &quot;chic&quot; feel to it.Our room seemed relatively spacious for European standards, we had room for our luggage (two big suitcases), and there was a desk next the bed and a very small sitting area. The flat screen TV was nice and offered a fair number of channels. The bed was very comfortable and both of our rooms were VERY quiet. I'm a light sleeper to begin with and normally wear earplugs when traveling, but I didn't have to in this hotel. I had read some of the reviews which stated that the rooms facing the train tracks may be noisly, so I requested rooms that did not face them. Both of our rooms face the interior of the hotel (windows looked onto other rooms with a small &quot;atrium&quot; open to the sky for light) and were very quiet, so I was pleasantly surprised.There are virtually no restaurants/hotels in immediate proximity, and the closest tube station (Vauxhall) is about a 5-10 minute walk. However, this was ok for us. It's right across the street from the Thames, and just a short ways down from Parliament, so the view at night is very nice!We walked to/from Waterloo station, about 15 minutes, along the river at night and felt relatively safe (warranted or not). You basically walk towards the London Eye, then head away from the river a block to Waterloo. It's a nice, scenic walk on the river.Overall, a very nice hotel and a reasonable price for London. If you want something clean and modern, and don't mind walking to get to restaurants, this is a great hotel with a nice view!	
Sep 10 2006 	One night at the RIverbank	Got this hotel on Priceline for $150 including taxes (but no breakfast) for one night based on proximity to Victoria station for our early morning trip to Gatwick. Our room was very clean and spacious. The bedding and pillows were exceptionally comfortable. Hotel was filled with tour groups and it was a little noisy in the evening and the line to check out in the morning was really long. Pretty setting, but not as convenient to Underground and smaller neighborhood restaurants as other hotels we've stayed in.	
Sep 8 2006	Good Value But Not Impressive Hotel	This hotel is well situated - a 15 minute walk from Waterloo station. It also is very affordable for London and the rooms are very modern, clean and comfortable. The rooms also have very nice new washrooms. The basic rooms are what you would expect from a higher end hotel.In all honesty, I think you get more than you pay for with these rooms. I paid about 115 pounds for a standard room.My criticism of the hotel is the check-in and check-out staff are very slow and give off a snootiness that one would expect at the Ritz. The problem here, however, is that this hotel isn't the Ritz and you get the distinct feeling they don't really care about you.I specifically asked if they could please give me a room that was away from the train tracks that run passed the back of the hotel. Given that I had a basic room, they could have said &quot;no sorry we can't do that with your room.&quot; But instead, they said &quot;sure no problem&quot; and then proceeded to give me a room right by the train tracks. If a hotel tells me they are going to do something for me, I expect it to be done. I was exhausted and only staying overnight so I left the issue alone. Also, there is nobody in front of the hotel (at least not that I saw) to help with luggage or hail taxis for you. In addition, once I found a doorman and asked for a taxi to which he replied &quot;oh the hotel has a VIP car service that we offer and our driver is right over here and he'll take you there right away.&quot; I declined initially as I thought it would be quite expensive and all I needed was a basic taxi. The doorman said &quot;no please take our VIP car - it's the same as a taxi except it's here right now and no need to wait for a taxi.&quot; I figured this was the Park Plaza so if they said they offer this comparable taxi service than I was comfortable in believing them. Not surprisingly, it turns out they charged me about 50% more than a taxi - charged me a seemingly random flat rate - no taxi meter in the car. Given that I asked for a taxi and they told me this service was the same thing, I was not impressed that they tried to take me for a ride of a different kind. It was only a few extra pounds that they charged me, but I planned on complaining to management upon my return. Too bad the counter was so busy - I again gave up and just accepted it but I'm not impressed with this hotel's service. But it is a good deal for the room you get.	
Sep 7 2006 	Lovely hotel shame about the view!!	Excellent service, courteous staff, lovely rooms.Breakfast was exellent, with lots of choice.5-10 minutes walk away from Westminster bridge.Had a room over the railway line initially but was moved to a quieter room the next day, an upgraded room too with bath and walk in shower!! Would definately stay here again.Excellent base for exploring London.Shame there was no view of the Thames but wasn't really expecting one, not without paying the £50.00 per night supplement!!!Overall very good.	
Aug 28 2006 	Good for me but.........	I recently stayed at this hotel in a River View Excecutive Room which had fantastic views of Big Ben, Houses of Parliment, London Eye and also the river. The room was fantastic and the view even better- must be one of the best &quot;Rooms with a view&quot; in London.The hotel is only a short walk from Vauxhall tube and there is a garage very close to the hotel with an off license which sells wine, beer and spirits a lot cheaper than using the mini barHad a meal in Hotel Restaurant, Chino Latino - excellent food and cocktails but very expensive. Breakfast is OK served buffet style.Now comes my gripe. Reception staff and checking in and out proceedures are poor. They took my credit card details and insisted that I pre -signed for an extra £25 a day for extras which would be adjusted up or down at checkout. First time I have experienced this. This proceedure was causing chaos at check in with other people. My room was assigned but was not ready. When I returned to the hotel after the theatre my key was presented by reception staff. I then found the key would not open my assigned room- trudging back down to reception it took some time to find out they had put some other people in my room and reassigned a different room of the same catorgary to me whilst I was out!On checkout it took numerous attempts, and a great deal of time to get the bill correct. I have never come across so many people complaining about room types, incorrect rates and poor service at checkout - quite amazing. Most of these people were asking to speak to the Duty Manager as they were frustrated, as I was, with the reception staff.This is a very good hotel that is being spoilt by poor reception service and proceedures, A lot of it is down to training and administration proceedures but it needs sorting and quickly as it will affect the reputation of a good hotel	
Aug 28 2006 	4 star hotel 2 star service	Stayed for two nights having booked through the hotel website. Firstly, the standard (though they call them superior) room was excellent. Nice decor, clean bathroom with bath and seperate shower, comfy bed and pillows, large lcd tv with dvd player. Location was fine - only 10-15 mins walk to the London eye then another 10 mins to Trafalgar Square. However, housekeeping was appauling. Firstly, we rang down on four occasions to get tea, coffee, sugar etc .. restocked as this was not topped up. Secondly, piles of laundry were left in the corridor for 24 hours +. Breakfast, by any standards was poor. Not a great selection, not very well cooked and not very hot! £13 for continental or £17 for full english is a bit of a rip off! Lastly, though it says about some rooms with river views on the website, we were told that no superior rooms have river views (unless you pay a £25 upgrade). Overall a 4 star hotel but 2 star service .. thus an inbetween 3 star review.	
Aug 21 2006	brilliant	Great hotel, good location, friendly helpful staffdefinately use again	
Aug 16 2006 	Modern comfortable hotel	I booked this as a last minute city break so was nicely surpised on arrival at the standard of the hotel for the price we had paid. The room we were allocated was not at the front of the hotel sadly :o( - (in fact I'm not quite sure where it was)!! Not at the back facing the railway lines anyway (thank goodness as it was very noisy in the corridors at the windows that looked onto these). We looked into other rooms within the hotel but it was quiet. Plenty of fast lifts with hardly any waiting to get you wherever you need to go in the building.The rooms are fantastic, clean and spacious, very modern up to the minute with detail and content as was the bathroom. The bed was so comfortable as soon as you lay down on the mountain of incredibly soft pillows it was hard not to drift off. They have everything you would need to enjoy your stay, choice of several TV channels, internet access, pay to view movies etc etc. Tea/ coffee making facilities, hairdryer, hangers, safe, notepaper and other little surprises like travel sewing kit, an iron and board - not a steam iron so make sure your clothes are packed well ironed so it's only travel creases you need to get rid off. Room was cleaned/made up on a daily basis at times that were convenient to us.Breakfast was plentiful no matter what time you arrive - served buffet style with something for everyones taste.5-10 minute walk to Vauxhall Train Station and 5-10 min walk to the London Eye in opposite direction with great views of Big Ben and Houses of Parliment on the way.Excellent choice of hotel if you want to be somewhere quiet but close enough to the city.Only one minor complaint - it was a trainee who I spoke to at the check-in desk and I think she could have made more of an effort as she was my first contact (being a trainee I would have expected more enthusiasm and maybe a smile) but I'm sure the management are in control of that - the rest of the staff were so polite and helpful, we couldn't fault them in any way.Overall lovely stay.	
Aug 11 2006 	nice hotel bad location	my husband i stayed at the riverbank park plaza for one night. the hotel is very new and modern, and the room was spacious as was the bathroom. however, we had a horrible view of train tracks and a parking garage (?) so make sure you request a room with a view if you plan on staying here. the lady who checked us in was a bit snooty (you'd think someone who is in traning would be friendlier) but otherwise everyone else seemed nice. my biggest complaint is the location of this hotel. my husband and i arrived at our hotel from heathrow via the tube and it was quite a walk from the vauxhall tube station. it's true that you have a great view of westminster and big ben from the front of the hotel but i would not recommend this hotel for tourists (esp first-timers) soley because of the location. you'd waste too much time getting from one place to the other.there were a lot of businessmen at the hotel and that's probably who it's best suited for.	
Aug 7 2006 	Excellent for Business	I was really impressed with the value for this hotel. It's very modern, high tech, has satellite LCD TV and beautiful artwork in the rooms. The room service was good, the staff was very good, location is near a lot of the major sites. A big plus for me is that there was a little grocery / convenience store next door. I had breakfast included in my rate and the breakfast had a good selection.Though it's primarily a business hotel, I'd be happy to bring my family there.	
Aug 5 2006 	Loved this hotel!	I got a great rate through an online travel site. We were only scheduled to be there for one night in early July, but as soon as we saw the hotel, we booked it for our return trip to London the following weekend. They even gave us the same discounted rate for the following weekend- about $129/night including breakfast (excluding taxes). The hotel was clean, modern, and well-decorated. The rooms were large and comfortable and the bathrooms were also large, spotless, and modern. The location was great- only a 10-minute walk to the Vauxhall underground station. The staff was generally very professional and helpful. The only problem we had was with the concierge staff through whom we booked a day trip to Stonehenge. Although the hotel appears to have a relationship with one of the tour companies, the concierge didn't seem very knowledgeable about the tour company or the trips it offered. We booked the trip anyway for the next day, our last day in London. Unfortunately, the shuttle provided by the tour company left the hotel before the scheduled departure time and when we asked if that was our bus, the concierge told us it was not our bus. Well, it was and the bus left without us! The concierge that morning, who barely spoke English, had our names and should have made sure the bus didn't leave without us. Instead, he told the driver that we weren't there, even though we were in the lobby waiting! When we asked a second time about the bus, we were told that that was our bus. Then he told us to take a taxi to Victoria Station at our expense. We went to Victoria train station, only to learn that the tour buses departed from Victoria Coach station a couple blocks away. We missed our bus and never got to see Stonehenge thanks to the concierge with limited English proficiency.	
Jul 30 2006 	Loved the unscheduled wake up call at 5.45 a.m	It's a shame we couldn't give it a 0. The riverview room we booked was given to VIPs (nice to see that all customers are treated equally)... despite the hotel promising us a river view room on 3 occasions.Furthermore, we asked numerous times for our mini-bar to be opened. Each time we were promised that our mini-bar would be opened electronically. It was never opened.Finally, we were woken up on our final morning (my birthday, as it happens) at 5.45 a.m (unscheduled) by hotel security saying there was a 'Fire alert' in our room. There was no such alert but most annoyingly there was no word of apology for waking us up.A real shame. I can't believe that people are giving this hotel either 4 or 5 out of 5 when we were constantly dismayed by the level of service.	
Jul 29 2006	it was enjoyable.	I stayed at the Park Plaza hotel in London for one night only.I enjoyed my stay, it was in a fine location and had wonderfull views and luxurious rooms. On the negative side I believed that if the hotel had had another resterant it would have been even better. 4/5	
Jul 28 2006	Great hotel if you like walking a bit	The hotel is new and very contemporary. It is very nice, the interior designers did a great job. I had read other Trip Advisor's reviews, so I asked for a &quot;not too nosy&quot; room at the front desk when we arrived. They offered me an upgrade package (50 U$s extra per night includes breakfast and a welcome tray, etc.). Althought I didn't accepted it, the lgirl at the front desk gave us a side room (it wasn't riverview, but it was far from the noisy train tracks at the back). The hotel was really full, so she gave us the handicapped room, that they reserved for disabled passengers.The room was big and comfortable. It has a nice desk, a king size bed, nice decoration, and a good plasma TV. It is real that it takes 5 minutes to understand how to use it, but if you call the front desk, they send you immediatelt somebody who explain it.I have a problem with the safe, and they send me a security clerk very soon too. You really feel very nice treated in this hotel. I read other reviewers complaining about the 50 u$s deposit that they charge when you arrive. The gril at the fornt desk explained it very clear, and they really don't charge your credit card. The other complain was about the automatic charge when you pick something up at the minibar. There is a big sign in the door that explains that, and a fair empty space to acommodate our own groceries, so we had no complain.There is a good grocery store next to the hotel, where you can buy pastries, milk, yoghurt , sandwiches and yummy middle eastern food, in case you are in a low budget. (Eating in London is VERY expensive, believe me).Just one complain: Wi-Fi in the room has a poor signal, and it costs 19 u$s per day! We lost the connection all the time! (The better place to use my laptop was sitting on the toilet!). Althought the nearest tube station (Vauxhall) was 6 blocks walking to the west), I recommend you to enjoy the walk to Westminster station instead. It is 10 blocks to the East, but wyou will enjoy the lovely view of the Big Ben and the Parliament across the Thames River (why you are going to London if you don't want to enjoy that incredible sightseeing?)Last but not least: buy a one day roundtrip ticket in any boat cruise line. Circle line has a hop on-hop off ticket for just 14 u$s (just 5 extra bucks than the tube daily ticket, but you will enjoy sailing across the Thames instead of going underground). You can visit St Paul Cathedral, Tate Modern, Shakespeare' Globe Theatre, Tower of London, Tower bridge and many other attractions in that single day using the boats.	
Jul 27 2006	Good Hotel	I was rewarded this room through Priceline for 134USD plus tax. It was a good deal. The room was very nice and clean. The man at the front desk couldn't answer any questions but he was training. We had a very early train leaving from Waterloo and the hotel is only a 12 min walk to the train station. It is close enough to walk to most of the main attractions. I would stay here again if I got it for less than 150USD.	
Jul 25 2006 	At Last a True 4 *	From the moment we checked in until we checked out everything was perfect. The staff were helpful and polite, the room was a delight and spotlessly clean ( it was just a pity we couldn’t have had a river view) and the meal we had in The Club Lounge on Saturday evening was delicious and expertly served. Breakfast the next morning, although very busy, was dealt with in a clam efficient manner by the restaurant staff and to wait was a minor inconvenience.We had booked on a Summer Saver Rate which was excellent value and we weren’t made to feel we were second class guests (as had happened at SAS Portman Raddison only a few weeks ago). At last we have found a hotel we feel confident to return to again and again and are desperately trying to find a date when we can come back.	
Jul 9 2006 	Posh hotel boring neighbourhood	I stayed in this big hotel for work reasons for one night in June. I attended a big conference, so there were many 'business people' staying. I got the impression that this is the case a lot, especially during the week. It makes the hotel less personal, but I don't mind that. The hotel has got very nicely decorated and spacious rooms. The bathroom was beautiful with black marble and also very spacious. It had a bath and seperate shower. My room faced another part of the building and was very quiet. There was a multifunctional telly, you could watch your own dvd's and use the internet on it (5 pounds per day). Although it was a very good hotel, I had booked another hotel for the other two nights that I was staying in London, because I prefer to stay in area's with local shops and restaurants and there are hardly any in the area of the hotel, It's not really a residential neighourhood. Also I thought the hotel is too far away from a underground station (10 minutes to Waterloo station). But if you want a good, convenient hotel that is close to some of the sightseeings of London, I would recommend this hotel (don't know about the price though, but can imagine they do good deals in the weekend. It's worth checking).	
Jul 7 2006	Good and not so good	I stayed a the Riverbank in late June 06. It is new, clean and smart. The only down side is all the rooms facing the rail line are noisy until 12pm and start again at 5am. Trains passed by every 10 to 15 minutes and you can hear them.Even the excecutive suite where we stayed is on the back facing the line and the receptionist said that all the suites are facing the back.To move to the front where the river view and House of Parliament is located they ask for an extra 88 dollars per night. They won't budged even down size to an ordinary room presumably so that they can keep all the front rooms for the 88 dollars up grade.The nearest underground is 10 minutes walk away. Not too bad actually.Taxis are expensive in London. Everywhere you go it cost 15 dollars minimum upwards.If you can be sure to get the front river view rooms then it is a good hotel. When you do get a good rate on some web sites then it is an excellent value for money.Breakfast is not included and expensive. There are a few nice coffee bars 5 minutes away towards the subway at a far cheaper price with good patisery.	
Jun 25 2006	great view and service	Beautifully designed rooms. Easy access to Internet. Great breakfast and dinner. Excellent service. Great view over Big Ben and The Parliament. Short walking distance to the Vauxhall Station with fast transports. Also walking distance to the London Eye. Overall a very pleasant stay, which we can highly recommend.	
Jun 21 2006	waterloo train line park plaza	This hotel has one major problem, a good numbef of the rooms do not face the riverside as the name suggests, unfortunately they face directly on to the Waterloo Railway main line.This has the effect of giving rooms facing that way, an intolerable noise level until late in the night, and restarting very early in the morning. This ruined oour break away from our young children, and as the hotel uses the riverside to its advantage in both name and description, gets a thumbs down from me	
Jun 16 2006	Modern great amenities great price	I booked a room at the hotel for a long weekend. I took the train from Paris. The hotel is about a 20 minute walk from Waterloo station...a nice little stroll along the Thames. The hotel is new and the decor is modern chic. Lots of business travelers here. My room was great. Roomy and well appointed--big, fluffy bed, flat screen tv, dvd player, usual mini bar stuff and a combo plug at the desk. You can use either the British outlet, the Euro outlet or the US outlet. No adaptor needed. Only one Euro outlet and one US outlet, but a nice feature. I used the Euro outlet to plug in my mobile phone charger (phone purchased in France), the British outlet for the hotel hairdryer and the US outlet for my hot rollers while I got ready to go out for a night on the town. The bathroom was wonderful. Big and luxurious. Full sized bath tub and separate shower. I had just walked ALL OVER Paris and my feet were killing me. I had put up with a really small bathroom in Paris, so I felt like I had died and gone to heaven. I got a fantatsic deal on this hotel via one of the online travel sites. I liked the hotel and would stay here again. No doubt about it.	
Jun 13 2006 	London in a day...	This was one of the craziest trips I have ever been on. I volunteered to mule an important package to the UK as it was the fastest, cheapest and most reliable way to get this parcel to the UK. I flew from Toronto to London and back to Toronto in forty-one hours.I delivered the parcel to a downtown location and spent the day seeing sites by foot. I pulled into an internet cafe in The West End and searched online for the best deal on London hotels. I like modern and clean. I found this hotel on a popular hotel wholesaler for $200 CAD including tax. That's about £75. I was astonished by the price, the location, the ammenities and the entire package. I booked in realtime and flagged a taxi to cross the river and head to the hotel. I was very pleased by the lobby decor, the St. Germain-esque music in the lobby. The swanky lounge. The check-in attendant had difficulty locating my reseravtion and was then astonished by the rate I had prepaid. He had the manager come to confirm. He wwas aware of the promotion and pleasantly welcomed me to the hotel. I got to the room and it was so clean and comfortable. It took me almost five minutes to determine that the key to the room also engages the power to the lights and television. This is obviously to prevent guests from leaving the lights on while out of their room.The washroom looked virgin. I would have plated and eaten a meal from the sink. The glass doors on the shower look like a nightmare for the housekeepers. I can see a great deal of Windex glass shine being used for the cleaning of these units. The flat screen television was beyond my capability. I was also too tired to use it. I plugged my noteboook into the desk/workstation. I love a hotel that has a dataport and not just wi-fi internet. The power supply was global. There were AC sockets for all international plugs. I brought a converter, but it was a nice touch that I have not encountered elsewhere.My colleagues travel to London often. They stay in Hyde Park at one of the three Hiltons. I told them all about the hotel that I had the pleasure to stay at and they have all vowed to give it a go on their next visit to the city.Great view of The River Thames, Big Ben and Parliament. Could not offer a higher recommendation. I would expect a view of the hotel next door unles you are paying for the higher or top tier of rooms though.TTFN	
Jun 12 2006	Great Modern 	I stayed at the Riverbank Park Plaza after a horrible night at the Grange Holburn. Both hotels were the same price but the differences were like night and day. The Riverbank Park Plaza is bright, clean, comfortable, and very modern; the staff were very knowledgeable and hospitable. The bathroom was large with a lounging tub and separate shower. Room service were very polite and efficient. The room had a flat screen tv and available internet service. We didn't get one of those rooms with a view - our view was of the other hotel rooms but we're not complaining. Just make sure you ask for a room with a view if you really want one. There is a bank and a grocery store next door for convenience and the train tube is just a 5 min walk away. I would definitely stay here again!	
Jun 9 2006 	If at first you don't succeed.....ask for another room	I wish that I could rate this hotel solely on the staff. They were some of the most professional I have encountered on my many trips, however, this property has a major flaw. The entire back side of the hotel sits directly over train tracks. The trains run from dawn to past mid-night. Some of the rooms at acturally trackside. On the lower floors, you can literally look inside the cars as they pass. Our first room was on the 3rd floor and we were face to face with each passing train. It would have been impossible to sleep in that room. We did switch, with no problems, to a higher floor on the same side of the building, and it was tolerable. The hotel boasts that its main feature is an awesome view of Parliment, etc. If that is what you want and expect, make sure you reserve a room on the front side. But beware, everyone wants it too and they sell out fast. I probably would not stay at this hotel again unless I was taking an early train in the AM and needed the convenience of being close to the station. I should also add that the hotel was near both bus and tube stops(Vauxhall) and had a very good latin/Asian fusion restaurant in the lobby.	
Jun 8 2006	Nice and clean Hotel	My girlfreind and I spend a weekend at Riverbank Park Plaza Hotel, and what a nice time.. The room was clean and especially the bathroom and bed was fine.. The Hotel is located nearby the city and Big Ben is about 10 min walk..	
Jun 7 2006	Great deal	Spotted an offer for the Riverbank Plaza on Travelzoo after searching the internet for an affordable central London hotel. Got a great rate of 79 pounds a night plus taxes with access to the executive floor facilities. Our room was large by any standard, with a flat tv, lovely decor and unbeatable view of houses of Parliament across the river. The location enabled us to walk the riverbank and cross the bridge to the major tourist sites. The bus also came by the hotel. The nearest subway was under repair at the time. The executive floor included a breakfast buffet and a happy hour with beer, wine, soft drinks, coffee, tea and snacks. The staff was helpful and friendly throughout. The bed was very comfortable. I would recommend this hotel, especially if you don't mind walking a few blocks or taking a bus to get to some tourism sites. We stayed over Easter weekend and were able to attend services at Westminister Abbey on Easter by being so close.	
Jun 3 2006	Lovely...	During a stay in April 2006, we truly found the Park Plaza a great base to see London, particularly if you are going to be getting around mostly on foot. While the Vauxhall station is only a 10 minute walk away, Lambeth Bridge is right up the block to take you over to Big Ben, Parliament, Westminster, etc. The neighborhood seemed safe and the riverwalk is nice and quiet. The hotel had a modern feel to it with an Asian twist. Through a special offer, we paid less than we would have at most other London hotels and received an Executive Room and free drinks and breakfast each day. The room did not have much of a view, but it was very quiet and clean. The bathroom was very modern as well, and the gift basket on the dresser was a nice touch when we arrived. The hotel seemed pretty well soundproofed, and the railroad tracks are not directly behind the hotel. However, I suppose very light sleepers that happen to get rooms on that side of the hotel could be disturbed. However, some noise is going to be an issue at just about any hotel you stay in for an urban environment such as London.	
May 22 2006 	Clean but thats about it.	This was my second visit in 3 months on both occassions the room was very small and overlooking the railway which is runing from 5am until 12 midnight. On my first visit the fire alarm went off but not on my floor the 10th, we were able to use the lift and the staff seemed indifferent to the obvious safety issues. There were no instructions on the rear of the bedroom door advising the escape route. On my second visit we were given a room normally reserved for people with a disabillity, the bathroom was poorly laid out with no towel rails, a shaving mirror to low to be of any use and the kettle provided didnt fit under the tap and had to be filled via the glass! Bathrooms have no shaving sockets, and the wordrobe had no provision to hang an evening dress.Food ok and it is clean - but thats about all.	
May 18 2006	Great swank hip with a great big bed	Spent the night at this wonderful, trendy hotel. It was so great that my wife and I stayed in and ate at the Club Lounge and ordered breakfast in. Great room with all the trimmings, internet , big bed with lots of pillows, attentive staff and a great location. We pinched ourselves with delight. Big marble bathroom, sparkling fixtures. I would rate this hotel as an A+ and we would love to come again and stay a little longer.	
May 15 2006	Great hotel!	I stayed at the Riverbank Park Plaza when I was in London for business last week. I really liked it! I found it very contemporary, clean, friendly and service minded staff. My room had a great view of London, a big bed and big pillows that gives you a luxurious feeling. I would definately stay there the next time I'm in London. Also try the restaurant, it blends in perfectly with the hotel and the food was excellent, contempary asian. Probably among the best restaurants I have visit.	
May 8 2006	Modern design good hotel	Stayed at the Riverbank Park Plaza overnight on a weekend as part of a theatre package trip. Good, clean &amp; modern hotel with helpful staff.Had a twin room on the second floor - at the side of the hotel so found it pretty quiet. Room was a good size. Beds were comfy and the room had all the facilities you need - tea &amp; coffee; mini bar; hairdryer; iron &amp; ironing board; safe; LCD TV. Bathroom was an excellent size, had a bath and a separate shower cubicle and was impeccably clean . Had our buffet style breakfast in a room on the 1st floor with a view of the Thames and the Houses of Parliament.Location wise - not in central London but on the Albert Embankment opposite the Tate Britain. If you are happy to get on the tube (nearest tube station is Vauxhall) or catch a taxi you’ll soon find you are no time away from all the main London sights.Our party of 15 ate in the hotel’s restaurant in the night - Chino Latino. Restaurant has a modern stylish design. Excellent food (Asian cuisine) and service, although it’s slightly pricey.Overall, I’d stay at this hotel again.	
May 1 2006	more than we expected	great hotel. lovely residents bar, staff were a pleasure and prices were more than reasonable for a hotel of this quality especially in london (£3.50 for a pint of lager).location was perfect. 5 mins to tube, bus right outside hoel and £5 in taxi to oxford st.staff could have had better english, but hey it wasn't going to spoil our break!	
May 1 2006	Great Hotel. Great Views	We stayed for one night. We found the staff helpful and accomodating, especially the concierge, Dan. The food in the restaurant was delicious and the waiting staff very professional and friendly. I particualrly enjoyed the breakfast. I would certainly stay here again.	
Apr 26 2006	Impersonal - ok for business trip	Booked this hotel on the sunday afternoon and I was staying at the hotel on the monday, arrived at the hotel to be told I wasn't booked in. Unforunately my room was on the &quot;train side&quot; it was very noisy there was no river view as promised on the website. for the amount of money I paid I was disappointed.The room was nice, in a contemporary kind of way, and very clean, it was all just a bit impersonal. Got connected to the Wi-Fi but was very slow, and I gave up in the end.Breakfast the next morning was standard hotel fare, nothing exceptional, was just ok......If you are going on a business trip and your company is paying this would be fine, however if you are going on holiday i wouldn't really recommened this hotel.	
Apr 25 2006	Great location modern but lacking a 'loca' touch?	Stayed at this hotel with friends last weekend. Great location for us as we prefer to be out of the busier West End. A lovely walk along the Southbank is within easy reach, past the Eye etc. Also handy for Covent Garden &amp; theatres on The Strand, just £6 in a taxi. Journeyed by taxi too from Paddington as only £15 which we thought worth it for 4 with luggage.Rooms were v smart, above average size &amp; lovely, large modern bathrooms. We were on the side of the hotel so could hear the trains but nothing to disturb us! Breakfast was average, v friendly B'fast room mgr but food could have been hotter &amp; toaster quicker &amp;/or not in the middle of the self-service area so that a queue was always forming!Reception staff were friendly &amp; tried to help but they all struggled with English (in London?!) eg Our friends reported that their room's air conditioning was not working &amp; someone brought up 4 bottles of hair conditioner!! Would stay here again as only paid £81 pr rm pr night inc breakfast &amp; complimentary drink so v good value.	
Apr 23 2006	Nice suites but avoid the train side	Hotel's double rooms are for a max. of 2 people, so booked an executive suite for wife, young son and me over Easter weekend. Suite was 131 GBP per night inclusive of VAT, breakfast and cocktail hour in executive lounge. Two room suite was clean, comfortable and spacious; breakfast was very good and we enjoyed complementary wine and snacks in the evening in the lounge. Our side of the hotel fronted on the busy train tracks to Waterloo station and the trains were noisy, but stopped running between 11 pm and 5 am weekdays (6 am weekend). Hotel is intended to be a modern, &quot;minimalist&quot; style, so lots of stark walls and black everywhere, but we'd gladly stay there again at the price we paid. Hotel restaurant is a high end asian/latin &quot;fusion&quot; place above our family price range. Local restaurants that do takeaway are just five minutes walk away. Although away from the heart of touristy London, we thought this was a great location overall. Vauxhall Tube stop is 5-7 minute walk, and London buses picked up across street. Short cab ride from Waterloo station.	
