	Why go anywhere else?	A recent two night weekend break started with great excitement when we entered our room 510, stunning room, clean, well equipped with lovely balcony views, (even if there was a lot of scaffolding to see - I guess that's to be expected thou - and it certainly didn't dissolve any of our pleasure) we could see the Post Office Tower and in the opposite direction the London Eye. The hotel staff were polite and friendly throughout our stay, although one waitress was a bit short with us at the bar but then seemed to come round more friendly when she realised we were actually guests at the hotel! and service at breakfast could be improved as I'm sure table service at this level shouldn't include leaning over us to place or collect items! But the concierge came up trumps on our first morning with a letter for my wife containing two surprise tickets for the theatre (yes - I set it up and yes - she was thrilled!!!!) We really enjoyed our evenings in the lounge and library where we indulged in many wonderful cocktails although I would have liked the bar even more had it stayed open later than 12.30 (despite an honesty bar). The hotel is in a great location and just a few minutes walk to Chinatown or Piccadilly and even at night felt perfectly safe. Expensive? yes. Worth it? as a special treat certainly, in fact currently considering re-booking for another show next February. In answer to my title question - I know there must be other hotels of this quality but why take the risk!! One last tip - use the City of Westminster car park at Newport Place in Chinatown, it may smell a bit but it's secure and good value if you book online plus it's 5-6 minutes walk to the hotel.	
Sep 2 2007	Stylish fun and so luxurious - the Soho Hotel	Just stayed at the magnificent Soho Hotel as a treat for our 8th wedding anniversary. We live in London, but still wanted somewhere fab to escape to without a long drive, and settled on this hotel. We were so excited, and were not dissappointed. The sitting room is very stylish - a huge room with huge furniture, beautifully designed, every detail thought of. We loved the honesty bar - such an array of choice, everything you could wish for. Games for you to play - chess even, try this after a glass of champagne - a challenge!! The bar was wonderful - we had a cocktail or two of course! The bedrooms are just awesome to use an Americanism! The bed was the most comfortable ever. We had a juniour suite - flat screen, huge bathroom, huge room, sofa, 3 chairs, curtains that block our all daylight. Just perfect in every way. Minibar - again stocked with the best of everything, candles, perfume...even a thong if you had forgotton yours!! The 2 screening rooms in the basement are stunning, Sunday films at 3pm - what a great idea! I would recommend this hotel in every way. I have nothing negative to say at all, breakfast was a treat also. A life experience to remember!	
Aug 22 2007 	Fantastic hotel definitely worth a stay	After reading the reviews on here, we decided to book this hotel for a 2 night weekend break. And we weren't disappointed. It manages to have a very cosmopolitan, individual, upmarket feel, but not in the least bit stuffy. The staff were very pleasant, helpful and efficient. We had a junior suite which was a really good size. Extremely comfortable and spotlessly clean.Breakfast was good - great choice and quick service. We ate in the restaurant one night too, which was also very good.The location is different, right in the heart of Soho, but its good to get away from all the touristy spots and there are some excellent bars and restaurants to choose from. The Soho Hotel will be hard to beat and not sure I would want to stay anywhere else next time we visit London.	
Aug 19 2007 	Hip and Very Cool	As other reviewers have stated, the Soho Hotel is incredibly upscale and cosmopolitan without being pretentious. The decor is fun and whimsical, especially the two drawing rooms and the restaurant/bar. We had a lovely double room that had ample space to lounge in. Overall it was very comfortable and chic.The reception staff is friendly and helpful and they go out of their way to help. The concierge was good, but we were expecting more from a hotel of this caliber. When asked about theater recommendations and music venues in the area, they seemed at a loss for suggestions, which was disappointing, particularly for a hotel in the theater district. Also, upon checking out, we noticed that they had significantly overcharged us for internet usage and laundry services. They took care of it, however, and all was settled.The location can't be beat--I walked to most places I wanted to visit and when it was too far, I found nearby tube stops. Definitely a prime hotel for visiting London.	
Aug 18 2007 	Relaxed 	From the moment we arrived, we felt that we were valued as customers. All members of staff were extremely helpful, friendly and made you feel very welcome to the hotel. It was noticeable that they all enjoyed working at this particular hotel.We found this hotel to be extremely comfortable without being overwhelming, as one may find in some larger hotels. There is a relaxed friendly atmosphere, whilst the surroundings are classy and elegant. The lounges had a feeling of intimacy; people were laid-back and relaxing with their feet up and you felt that you were in someone’s country home for the week-end. As the hotel is right in the heart of Soho, it probably has this lovely friendly feeling, because of the association with the media/film industries.There is some much attention to detail. The flower/plant arrangements were all beautifully arranged and fresh. Whenever seats in the lounge were vacated, a member of staff would clear the table of glasses/crockery and plump up the cushions on the sofas. Nothing was too much trouble for them.We felt that this was the most relaxing and friendly hotel we have stayed in and that this is due to not only the beautiful surroundings, but also to top-class staff from the front desk right through to the behind the scenes people. We felt so well cared for. Well done – it was a fantastic stay.David &amp; Anne Watson	
Aug 16 2007 	Great Hotel	It was our first stay at The soho Hotel, and we stayed in a Junior Suite. The room was really spacious, and decorated to a very high standard. The bathroom again was huge and really user friendly, all marble etc.. I was a bit disappointed with the lobby area, but the lounge &amp; Library rooms were nice.The thing that lets this hotel down is the service unfortunately. We never got what we asked for, Ie- we ordered Freshly squeezed juices in our room before breakfast, but it took several phone calls and complaints to actually get them, the tea we ordered, never arrived, Breakfast was incredibly slow, 40 mins to get a bowl of porridge, no toast being offered even though it was included.(although breakfast is very very good here) Its a real shame, as this aspect really lets the hotel down. The location is fantastic, we walked to the Theatres every night and it was an easy walk to both Regent St and Covent Garden &amp; Leicester Square.If they improve the staff training and maybe employ a few more English speaking staff it has the makings to be a top hotel, however our teenage daughter was in heaven, with all the Celeb spotting!	
Aug 9 2007 	Once again a wonderful stay.	The Soho has definitely become our favorite hotel in London. The quality of the staff, it’s modern, well appointed rooms, the good location close to Trafalgar Square and several Underground stations, continue to make for a perfect stay when we are in London. We one day plan to stay in the nearby, recently opened Firmdale, but with each perfect stay at the Soho, changing locations just because seem pointless. We love the Soho!	
Aug 8 2007	Loved the Soho	We stayed 6 nights at the Soho in early July. We had a wonderful experience. The staff gave us great restaurants and treated us as if we were the most important guest they had. The location was fun as there was alsways something happenning. The room was beautiful and very comfortable. This is the place to stay in London. Concierge staff was great.	
Aug 7 2007 	Very Good At The SOHO	Having recently spent 2 nights at the SOHO i can only say good things we stayed in a junior suite which was both spacious and very modern looking and clean The bathroom was large and very luxurious with granite tiles and worktopsThe breakfast and the evening meal we had were both very goodThe breakfast was included as part of the weekend rate although i think if you stay in the week it is extra. The evening meal was expensive although no dearer than other london hotels we have stayed inThe staff were all very helpful without being over the topGenerally we was very happy and would stay here again when we visit london again	
Jul 30 2007 	Great Stay in Soho	We are just back from a great stay in this beautiful hotel.Upon arrival we were upgraded from our Luxury Jnr to a deluxe Junior suite which was very nice.The suite was very tastefully furnished.With many styles mixed but all complementing each other from the furniture to the bed covers,it was a very large room going on London standards.The location is just off Dean street in the heart of Soho,even at the weekends sitting/sleeping in your room you could be forgiven to think you were in a country hotel as its so quite and just perfect for the sunday ly-in as no early morning rubbish/ glass trucks outside.We dined in the hotel on Saturday night,with no reservation and just after 9pm they managed to get us a table in Refuel.Good menu/food &amp; service.The spa has 2 very good treatment rooms and are quite reasonably priced and offered great service.The guest are all able to use 2 fab drawing rooms with the larger housing the Honesty bar (residents bar),which gives a very personal &amp; homely feeling to the hotel itself.The staff were so attentive,especailly the front office reservations team both day &amp; night.All in all well worth the room rates,great location still with peace &amp; quite and upon my next stay in London l certainly will be staying there from now on.Honestly l dont think any other hotel lives up the Soho hotel in the London area.Congrats to the Kemps who design &amp; own the various Firmdale properties.	
Jul 18 2007	a very special wedding anniversary	i surprised my wife by taking her to stay at the Soho for our first wedding anniversary and it was the most amazing hotel we have ever stayed in. we were upgraded on arrival to the most luxurious suite i have ever been in and they sent up a comlimentary bottle of champagne before we went out for dinner.it could not have been better and thank you to everyone there who made it such a special weekend. we will be back. Alex London	
Jul 8 2007	THE BEST London has to offer. . .	The Soho Hotel is just fantastic! I have never stayed in a metropolitan hotel where the staff was more helpful--and they didn't seem to be looking for a tip--they just seemed to be genuinely enjoying their jobs and hoping you enjoyed your stay and their city! It was incredible. . .I'm well traveled. . .I've stayed in a lot of great hotels. . .this is one of the best! The staff offered us a lot of unsolicited help--very generous, very kind and still, very hip.The rooms are totally quiet. . .spacious and attractive, well-appointed, well-lit and pristine. The restaurant (for breakfast) was yummy. . .popular after work--active in the evening and still the guest rooms are silent.Great location for the theater district. . .easy to get around London by tube and bus. . .There's no hotel I can recommend more highly in London.	
Jun 18 2007 	Best birthday ever @ The Soho Hotel!	My boyfriend surprised me by booking a 1 night stay at this hotel and I couldn't believe it..I had the best stay and all of the staff made me feel so special on my birthday..the manager even wrote us a note congratulating me on my birthday! The room was FABULOUS I cried when I arrived! DEFINATLEY worth the money and I will make it a tradition from now on to spend my birthdays there but this time I am not going to leave the hotel for a night out in London.. I will stay in and get room service or use the bar or restaurant! Great!!!	
May 27 2007 	One of the prettiest hotel I've ever stayed	The Soho Hotel, was just beautiful. The hotel is trendy with celebrities in the lobby. The staff went out of the way to make dinner reservations an book my horseback ride through Hyde park. The room was amazing. It had a art and fashion flare . . Flat screen tv, beautiful sitting room , It was like staying at your own flat. The bedding was clean and comfortable. They brought me extra down pillows. As you arrive the bring you complimentary tea and cookies. I loved that.  The only negative , was the shower was a little small, so its hard to shave my legs. But there is a large tub to take a bubble bath after shopping in all the trendy shops that where walking distance. I like to get facials , but I would not recommend using the spa at the hotel. Bliss is 100 times better. I didn't use the gym on this trip , but I did notice they had a nice one. This hotel rates as one of my favorites. Maybe it was because I was having such a fun trip , but the glamorous hotel, was nice to come home to after dancing the night away. I didn't feel uncomfortable coming in at 6-am after clubbing all night. . It was not a stuffy hotel, Just very elegant. When I go on vacation I really enjoy myself.	
May 23 2007 	Perfect Stay	I stayed at the Soho hotel and what an amazing hotel. The decor is modern but homely, the staff are professional and friendly and it is a perfect location.I would recomend this hotel for both business and pleasure and will definately be returning.	
Apr 10 2007	Great boutique hotel	Boutique hotel in a hip location, but with outstanding service and beautiful rooms: exceptional by London standards.	
Apr 9 2007 	perfect easter break	We just came back from 3 days at this wonderful hotel.The hotel:We liked the style of this hotel very much. We prefer more minimalistic designs ourselves, but thought that the very special design of the Soho Hotel worked out very well.The staff is friendly and would do anything to ensure that you have a wonderful stay. Can't beat the location - close to Oxford Street, Covent Garden and of course Soho is great for eating and drinking...The room:We stayed in a junior suite on the 4th floor, with big windows, allowing plenty of light and views of rooftops and roof gardens. The room was huge - double bed, sofa, tables and a reading chair, and lots of storage and floor space, which was nice as we were staying with our 6 year old daughter (plenty of space for her to play and the extra bed for her did not take any space from the design of the room).The bathroom was spacious and had a shower and tub and very nice products from Miller Harris. We also loved the dvd - not that we were in London to watch dvds, but it was great for our daughter to have a break during the afternoon - snuggle up in the wonderful big bed with some sweets and watch Narnia before going out to dinner. The hotel has lots of dvds that you can borrow. Other great things: Perfect lighting, radios from Kloss and flat screen tv from Loewe.Of course, this is Soho which means that there are many restaurants and cafes, which have air shafts and aircons and they do make noise. But the windows are really sound proof and even though I am a light sleeper and all those humming sounds really annoy me I had no troublesleeping. There are no street noises at all, because the hotel is in the back of a small street off Dean Street.Restaurant:We had breakfast included in our rate, meaning that we could choose what we liked on the menu, and if the bill was over 20 pounds each we'd have to pay extra. My husband liked the &quot;Healthy Breakfast&quot;, my daughter and I just had the continental, which was great - I'm not into anything fancy in the morning, I just like some granola and a cup of coffee. But I have to add that I recently stayed at the other Firmdale location in Covent Garden, and I prefer their breakfast over the Soho. Everything in Soho was sweet - fruit, muffins, croissants, muesli. It was delicious, but I missed some cheese and bread. But the last morning I just asked for it and immediately got it, so not really complaining at all...We had dinner in the restaurant the first night of our stay, and it was okay, nothing exceptional. The three course offer is good, but there are so many other restaurants in Soho, so I guess that we would not eat at the hotel the next time we stay here. In all we had a wonderful stay at the Soho Hotel. The hotel is very stylish and not what you would call a typical family place to stay, but we had a great time and will definitely come back - or try the new Firmdale location at Haymarket.	
Apr 1 2007 	Exceptional!	Stayed at the Soho for a business meeting over 3 days. It is pretty fantastic and will be even better when they ban smoking in the restaurant (supposedly by July 2007). The location is great - in the middle of everything. But the most impressive is the design. It's great style but approachable. This hotel is part of the Firmdale luxubry boutique hotels and so far I've seen 3 of them...and all of them are great. It is the perfect balance of great design but not over the top, impeccable service but not in-your-face, big enough to be a hotel but not B&amp;B type of feeling. It's just right.	
Mar 11 2007 	Perfection every time	Another faultless stay at the Soho Hotel. They manage to get it right every time. Fantastic service, beautiful room, wonderful cocktails. Our favourite big (ish) hotel in the world and one we return to again and again (and we live in London!) - perfection.	
Mar 10 2007	Botero Class	Hi. I am Azmi and my partner, Richard and I stayed 3 nights at the Soho and we thought it must have been the most exclusive and classy hotel. Rooms are so poshly and intimately designed and equipped with fabulous amenities. Perfect for romance. The drawing room makes you feel at home with a touch of style. And the Botero cat just puts the hotel in a class of its own.. Well done Soho!!	
Mar 8 2007	Luxury in London	Stayed at the Soho for 8 days starting late February and ending the beginning of this month. From start to finish the service and accomodations were top notch. The manager met us upon arrival, check was painless and actually pleasant - even with jet lag. We were early so they sat us in the library and brought us coffee and biscuits. The room was spacious and well appointed, as was the case with the whole facility. The location can't be beat and there's not a thing the staff weren't helpful with.Refuel, the restaurant was actually a great deal comparably speaking with a pre-fixe 3 course meal of 19.95. And, despite the discount price, the food was among the best meals we had in London. The bar is always busy with a trendy group of revelers. The hotel is pricier than other options but remember - cheap is expensive. Will definitely stay here again.	
Feb 13 2007 	Top Class Property	Booking:I booked over the telephone and I was very impressed with the friendly, down to earth manner of the reservations staff. Email confirmation arrived immediately. I had to make an alteration to our booking the day before our stay which was accommodated without any trouble at all.Check In:On arrival we received a free upgrade and was offered a tour of the facilities which was a nice touch although we declined as we'd had a long trip and were exhausted.Location:Fabulously situated just off Dean Street tucked away just enough to not get caught up in hussle and bussle but close enough to the bars/restaurants etc of Soho and 5 minute walk from Covent Garden.Common Areas:The giant cat in the lobby is very eye catching - love it or hate it. Richly coloured murals decorate plain walls. Very classy and individual.Rooms:Very spacious, light, airy and beautifully decorated. We had more room than we knew what to do with! We were on the second floor and had no problem at all with noise although we stayed on a weekend. A guy we got chatting to who was also staying on this floor and had been all week complained about the level of road noise.Bar:Superb. Very lively from early evening with friendly bar staff. Very diverse crowd. Great for people watching. Not as many lady lurkers or guys of a certain age looking for a good time than Long Bar @ Sanderson. Recommended whether you're staying in the hotel or not.Spa:Never got time, grrr.Breakfast:She tried, bless her..... need I say more?Concierge:Arranged our dinner bookings without a hitch but did seem a bit cold when approached for directions. A bit of sense of humour wouldn't go amiss, however if they got the job done so we'll let them off. Perhaps they were having an off day.Price:Less than some other hotels in the same category. Drinks not as ridiculous as some places. I have to say that this is the best hotel (in my opinion) that I have ever visited in London. Although the decor may not be as jaw-dropping as the Sanderson, it has a lot more class and a feel of luxury to it. The level of service also leaves competitors far behind. I have booked to visit this hotel again and will continue to stay here as long as the standards remain as high as on this visit.	
Feb 1 2007 	spacious rooms	we stayed here the first of october for a week. Since we were celebrating a special anniversary we were upgraded to a jr. suite. What a lovely, spacious room it was too. Plus, shortly after we arrived in our room a complimentary bottle of champagne and a bowl of gourmet olives was delivered to us. It was absolutely perfect. The hotel is in a great location also. Really close to shopping on oxford street and close enough to walk to covent gardens. We weren't crazy about the restaurant after a breakfast there but did have &quot;snacks&quot; from room service, which was fine. I only have 2 complaints and they are minimal. We didn't like any of the restaurants that the concierge recommended. In fact, we walked out of several places be cause we we the only people there and they didn't look very clean either. We got the feeling they (concierge &amp; restaurant) were working together. Usually at night we would stop at the honor bar for 2 glasses of ice to take to our room- quicker than room service and there was usually some employee(same one always) who would watch us like we were stealing something.Like you don't mind paying their high room rates but not a couple of bucks for a coke if you wanted. He just made us feel uncomfortable every night. But, all in all, we would stay there again because it really is a gorgeous hotel in a great location.	
Feb 1 2007 	Superb	This is a superb hotel in the heart of London. The room was amazing, the staff were helpful, and the bathroom was sublime. You couldn't choose a better hotel.	
Jan 30 2007 	Great Location	Overall had a good experience, service was excellent ,. Restaurant food was only ok . Room service much better .Internet charges are 33 pence per minute , it should be free in a 5 star hotel ! not this crazy price. I complained and price was reduced by 50% , still too expensive.	
Jan 24 2007 	A gem in the heart of London	Beautiful rooms, excellent staff, super resturant. We stayed 2 nights over New Year, including New Years eve which was wonderful. We ate in the resturant on NY eve where the meal was from a set menu and excellent. The place was buzzing that night but the staff were so proffessional, still nothing was too much trouble. For location you could not better, we walked everywhere after our car was 'magically' stored for us!It was very quiet on NY day and we found out that the resturant was closed that evening, which was fine as we ate out at a super Thai locally, but wish we had been told this when booking.The lounge is very welcoming and the decor beautifully refreshing. This is not a hotel for children though, although we saw some being made most welcome, it is more for couples and friends. We will definately be going back and I would be most happy to stay at the Soho on my own as the staff really do care about individuals.	
Jan 14 2007 	You may not want to leave your room...	Well, I missed my flight at CDG- Paris, and since the French happily proclaimed that it would be 2 weeks before I could get a flight back to LA, I decided to book it across the channel and check out London while I waited for a flight out of Heathrow. This was my first visit to London, and I really wasn't even aware that they didn't take euros, which really ticked off the taxi driver. Anyway, upon arriving at the hotel, the baggage people came right out and scooped up my luggage, to the taxi guy's dismay, since he was hoping to use my luggage for ransom until i changed euros to pounds. The brisk service I got at the hotel though seemed to calm the taxi guy down until I was able to pay him off..To be honest, I picked this hotel because of its location, and also because I thought I had scored quite the deal at $250 per night for a 5 star hotel. Well, my pipe dream soon ended when I discovered that the price was listed in british pounds, which made it closer to $490 per night, I decided to stay anyway, and I'm very glad I did- in fact, I was so impressed, I stayed 3 more nights. The hotel was incredibly quiet, and remarkably decorated. I especially loved the &quot;gym&quot; which was stocked with unusually fine equipment and nice touches, like beautiful leather boxing goves. The rooms are so pleasant that I had to force myself to go outside. The entire hotel staff was extremely nice and seemed very genuine. I didn't find anything pretentious here at all. The location is unbeatable- check out the SOHO theater while you're in the area. It's a playhouse that features up and coming talent, and it was quite a pleasant discovery.	
Jan 13 2007 	Best hotel in London. Fab!	Stayed at this hotel last weekend and absolutely loved it. Really stylish. I have stayed at many 4 and 5 star hotels in London and this is the best by far. Great location. Superb service. Great lounges and rooms. Booked by a Mr and Mrs Smith Hotel voucher which means I even got a complimentary bottle of Champagne. Will definitely visit again.	
Jan 12 2007	Very impressive.	This hotel delivered all I'd hoped for and more. Location: it is on a very quiet, somewhat obscure side street just around the corner from some of the most bustling streets in the city. It is an easy walk to shopping, museums, and more especially to all the main west end theatres, and it was quite easy to get a taxi.Service: every staff member I came into contact with was delightful. From housekeeping to room service, concierge to desk staff, everyone was cheerful, helpful, and sincere. This was a breath of relief because this balance of luxury and design in a hotel can sometimes come packaged with either stuffy or haughty service - which is not the case at this hotel!Ambience: this hotel somehow managed to establish an easy balance between traditional luxury and elegance on the one hand, and chic, playful art and design on the other. Our room (a jr. suite) was incredibly spacious, luxuriously appointed, bright, and imaginatively decorated. It felt more like an upscale flat than a hotel.The food in the restaurant and by room service is not bad (the tapas are the best choice), but there are so many great and affordable restaurants just at your doorstep that it is not really in issue.I would recommend this hotel and absolutely stay here again.	
Jan 9 2007 	The Soho	The Soho Hotel is without doubt a lovely hotel - we have stayed in some of the best hotels in the World, and as a small boutique hotel, this ranks amongst the best......We stayed here on the day before New Years EVe and New Years Eve itself.The staff are really friendly and cant do enough to help and the Junior suite we stayed in was plush, roomy (by London Standards) and immaculately clean. A bed side lamp exploded (the bulb) which gave my wife quite a start - but this could have happened any where......Bar prices are a bit steep even by London standards. The one aspect of our stay which spoilt the trip and which would stop me giving the Soho 5 / 5 was the restaurant. We ate in the Hotel Restaurant on the first night of our stay.......the menu looked promising. We ate with 2 friends and I have to say it was pretty awful. The &quot;diver caught&quot; scallops had grit in them (therefore likely to have been dredged rather than hand caught) and were tough and over cooked. The Main Course was Goats Cheese Ravioli which arrived as two enormous parcels of Goats Cheese, which was over powering. The Restaurant changed the dishes without hesitation, but made no real attempt to make amends.........The bill came to around £400 for what was a distinctly average to poor meal.......Would we stay at the Soho again - Yes definitely without thinking twiceWould we have dinner there again ? Probably not - For passing interest, just around the corner in Wardour Street there is a fabulous new little Scandinavian cafe which has opened in December. Everything is organic and the food and coffeee is great! Cut through to Wardour Street and turn right towards Regent Street - its on the right after about 250 yds!!.	
Jan 8 2007 	Wonderful Place for a Wedding Reception	My husband and I had our wedding reception at the Soho Hotel on the 29th September and we can not thank the staff enough for the most amazing time we had during the reception and our three night stay. We arrived the day before the wedding and a bottle of champagne was promptly sent up to our room. The room was very large, extremely comfortable and had a balcony with views over the entrance of the hotel and the London skyline. This is probably the best hotel and hotel room we have ever stayed in. My husband stayed elsewhere the night before the wedding so was unlucky to only experience 2 full nights! My parents and brother also stayed in the hotel and although their rooms were not as big and did not have a view I think they found them comfortable, but a little expensive. We definitely had a much better room for only a comparitively small amount of extra money.The day of the wedding the hotel helped us with chilling champagne which we took with us for our red double decker bus tour after the ceremony and by the time the bus dropped us off at the hotel after the wedding and tour the Library room was ready for our one hour booking, complete with bar staff to attend with drinks. We had 23 people altogether at the wedding and reception. After drinks and speeches in the Library we went downstairs for a meal in the swirl room. Apart from providing a seating plan and flowers I had left the room set up to the hotel and I was totally blown away with how beautiful it all looked. The meal was enjoyed and praised by everyone and the staff were very helpful and were happy for us to roam about the basement level as there were no other functions on that night. Photo opportunitites in the two screening rooms could not be missed!A friend summed up the wedding as being very stylish and that was largely due to the Soho Hotel. The best thing is that we now have an excuse to come back every year! (Although I am also keen to try out the new Haymarket hotel this year too).We couldn't recommend the hotel enough for a stay or for a small party, function or wedding reception!	
Jan 1 2007 	Beautiful hotel	I always prefer small hotels, so called a botique hotel for their quietness (no kids running round in the lobby and the lounge).We booked the cheapest room which was Superior Room on their website, but the room was a big compared to other 5 star hotel rooms and extremely well equiped, especially the bathroom. The facilities were superb, could not find any faults. Attention to the details is the phrase I would use for the room. I can not imagine staying at any other 5 star hotel apart from the Firmdale Hotels. The only problem was the breakfast. It was a bit confusing to receive an itemised bill at the end of the meal as the English Breakfast was already included in the rate. We just ignored it and it was ok.	
Dec 19 2006 	another great firmdale hotel	Having stayed at the Covent Garden Hotel we tried to book again. Unfortunately it was fully booked, fortunately we found out it was part of a small select group of hotels. If you like smaller, independent, dare I say it homely type hotels, then this group fits the bill. Homely in that the service is excellent and friendly, not at all pompous and independently decorated, so not all like a chain. Having spent many nights staying in hotels for business it takes something special for another night in a hotel to feel special.On the downside when we arrived (4pm Sunday) our room wasn't available but we were offered complimentary drinks in the bar while we waited. We chose instead to have a quick sprint around Soho and got a call on my mobile from reception saying we had been upgraded and our room was available.Our luggage was in our room and a bottle of champagne on its way! A great example of how to turn an issue into a result.We had room service that night and the food was excellent and delivered in a timely manner. The room was large with a fabulous bathroom, a choice of 100 DVD's and a great mini bar. We had breakfast in our room which was delivered precisely on time with perfecty cooked eggs and plenty of hot toast.The library/lounge with the small (honesty bar) and board games accentautes the cosy feeling of the place. We stayed two nights and the concierge/doorman were great and very helpful.Next year they open a new hotel in Haymarket and we will be booking as soon as it is open. This hotel group is the perfect tonic for hotel weary residents.	
Dec 12 2006	Great experience!	My boyfriend and I had to book at the last minute for a nights stay in London - we chose the Soho Hotel on recommendation and their staffs helpfulness when calling.We had a brilliant stay and the whole experience was relaxing and enjoyable - I wish we could have stayed longer.The service was excellent and we indulged ourselves with their afternoon tea which was delicious. The concierge organised our parking, congestion charges and London cabbie about town - nothing seemed to be too much trouble for them - even my too heavy luggage!Our room, Double Deluxe, was spacious with an enormous and very comfortable bed. The rain shower was like a massage and all the finishing touches were well received.Breakfast in bed capped off a fantastic stay!	
Dec 4 2006 	Simply perfect - but get breakfast in bed!	We stayed for a surprise brithday for my nother this weekend. My parents for 2 nights in a deluxe junior suite (they were upgraded as soon as the hotel heard it was a birthday celebrateion) and myself and brother in standard double rooms for 1 night.This is a wonderful hotel, tucked in the centre of Soho, with amazing design, excellent service (most of the time see below) and impeccable rooms.All of the rooms were perfect, huge, spacious, well appointed, lots of toiletries, hairdryer, shoe shine, flat screen tv - you name it it's there. The beds were huge, very comfy and the cutains proper blackout!I would highly recommend this hotel but would suggest you have breakfast in your room rather than in the restaurant. We had a terrible experience on the Sunday morning (too annoying to go into) which blighted what was a fantastic stay, I would suggest that with room service you will not have this problem!This is the second Firmdale hotel we have stayed at (Pelham also) and whilst expensive they are well worth it.	
Nov 26 2006 	Absolutely superb	My husband and I spent 2 nights in a Junior Suite for a break away from the kids. We always stay in 5 star hotels and this was one of the best we have stayed in, the main reason being - the service. The staff are superb, they remembered our names, welcomed us with a smile, were always friendly and extremely helpful. Best of all was the Head Concierge, Sandro, who went out of his way for us, getting long sold out tickets to a top show and recommending and booking all the latest London restaurants for us to try.The suite was large and comfortable with a sitting area and big bed. The bathroom was a little outdated in decor but very large and kept spotlessly clean. The public areas are beautifully and quirkily decorated making it a very trendy yet exceptionally cosy place to stay. The majority of clients appear to be celebrities or media types and yet we never felt intimidated or out of place, even though we are thirty something parents of three!Breakfast at the Refuel restaurant within the hotel was disappointing, with little choice at the small buffet, but as it was included in our rate we didn't mind. It might be better to stay on a room only rate and have breakfast elsewhere, although again, the service was exceptional.The only thing lacking was tea and coffee making facilities in the room. If you order hot drinks at night, they charge you a £3 room rate. But, as others have written here, you do get offered complimentary milk and cookies when you come in at night, PLUS free water was by our bed which I thought was veyr thoughtful.All in all, I would highly recommend this hotel as we felt very looked after and made to feel special by all the staff, relaxing in a lovely environment. My husband also tried a massage in their spa downstairs which he said was excellent (and he is quite particular about massages).It is expensive, you can't get away from that, but we felt it was worth the money. Plus, the location is great, right in the centre of Soho, near all the theatres and fantastic restaurants. We loved it.	
Oct 17 2006 	Could try a bit harder!!!!	We stayed here for two nights a couple of weeks ago. It was our second visit [so we must have been relatively impressed first time around] and our third at a Firmdale [because we had previously stayed at The Covent Garden Hotel, which did we like but, stylistically, much prefer The Soho].I booked the room over the phone and gave my credit card details to cover the cost of two nights [about £1k] because my partner was travelling ahead of me and I didn't want him to have to be bothered with having to use his card to have to pay [he would usually know that by having to use his card he would end up paying for the treat, which wasn't the point].It turned out that when he arrived he was required to present his credit card [not for identification purposes, which would have been fine] but for it to be swiped and debited. He didn't complain because [knowing me like he does he just thought &quot;oh here we go again&quot;]. I arrived 2 or 3 hours later to be told that he had had to use his card. So, being determined that just this once I would pay, and assuming that my card had not already been debited, despite my instructions, I presented my card.As events eventually revealed, my card HAD been debited before either of us arrived [I think that it was £1100.00]. His card was then debited on his arrival, and then on my arrival my card was debited again, this time for £1300!!!. That though did not cause the cancellation of my original debit of £1100 nor the cancellation of his debit [I assume it was £1100, or perhaps it was £1300].Anyway, off we go out to supper that night, somewhere nice and with guests. My card, the only one I was carrying then &quot;bounced&quot; because there was over £1k missing!!! Fortunately my partner had one of his cards with him and he paid. This was not a good start! Obviously the hotel were not going to overcharge us BUT they had reserved over £3.5k of our credit for a two night stay. So BEWARE!!!!Anyway, our room, Junior Suite was really lovely, perfect in every way. A nice touch was that when we returned from supper on the Friday we were offered complimentary bed time milk and cookies.Breakfast is a unique affair in Refuel.Am I wrong, but when you have an English breakfast in a smart hotel at £21.00 aren't you entitled to have some cereal and or fruit from the buffet? Not here you aren't. I had two Weetabix and a slug of milk, and was told that that meant that I was having the &quot;Refuel&quot; breakfast which would cost over £30, although, eventually I was only charged £21, but I didn't have any Weetabix on the Sunday because it's nice but not £10+ nice.These kind of details dim the shine on what should be a faultless hotel, and it is lovely, very stylish, generally welcoming, but it could do better if only they tried just that little bit harder.Shame really because I love the look and like the location and I want to rave about the place, but I have to be honest and so I have.Would we stay again? Probably yes.	
