	5 star staff	After travelling for 13 hours from a trip abroad i decided to stay in London for the night. I looked online for a hotel near Angel station and this one was the nicest one i could see in my price range. I arrived at the hotel at 10:15 am with the intention of just dropping off my case as i was well before check in time. After mentioning to the staff that i have just been on an 13 hour flight they found me a room and let me check in so i could get some rest and freshen up. I felt they went that bit extra which made my day. The room was lovely, very spacious and clean. It had everything i need and was very comfortable at a very reasonable price.	
Aug 14 2006 	Good location good hotel	When I booked the hotel I looked up some information to see if this was worth the money or not. I came to this website, and with the positive reviews here I had a good feeling to go to this hotel.We travelled with Eurostar, and booked the journey with the hotel coming to a € 300 for 4 nights each (2 persons). We arrived very early, it was very simple to get to the hotel, it's close to the Angel tube station. I think it's in a 3/4 minute walk in a slow tempo.We had to wait till 2 o' clock to check in, they offered to keep our lugage in the storage room and they gave us 2 smartsave street maps (which has a retail price of £2,95) for free and indicated where we could walk and shop in the surrounding area.Also, with these maps you get a code which can save you 20% in a few restaurants and attractions. (I recommend Bella Italia)You have a small street behind the hotel with a market, a little shopping centre and lots and lots of restaurants. So it was a great location to stay. You even have a gaming arcade across the tube station.Clean and big rooms with airconditioning, friendly people. ANd you also have an ice-machine on every floor, but I didn't know that until the last evening.Too bad there's isn't a little refrigerator in the room.Also, with my reservation, I didn't have all-in. So no breakfast for me, and at the price of £ 9,50 per person for a full english breakfast I didn't have the heart to spend that much on a breakfast. If you want a cheap and good breakfast, you can go to the street behind the hotel I mentioned earlier and get your breakfast there.	
Aug 2 2006	Great experience	On a former trip to London, I stayed in a hotel 10 paces from Victoria Station, so I was a little disappointed when I saw the location of the Jurys Islington. But as another reviewer has stated, the hotel is a short walk from the Angel tube station and we found that most convenient. Also, just a short walk from the front doors leads to a great variey of resturants and shops so it turned out to be a great location after all!We arrived a little early (11:00 a.m.) and were told we had an hour's wait for our room. However, 10 minutes later, the front desk rep took the time to find us in the lobby and gave us the good news that our room was ready. In our room, I found that my suitcase had been locked with no keys attached to the handle as they were when I checked the baggage. I called the front desk and within 10 minutes, a very friendly member of the maintenance team was at my door and got the lock off. Great customer service!The room was a good size with a double and single bed. The linens were clean and the beds were comfortable. The bathroom was a little lacking in space for toiletries by the sink, but the tub/shower was large and roomy. Our tour obviously did not purchase the full breakfast, because the lady working the buffet literally barked at me when I took a spoonful of beans, asking for my coupon. Feeling like a fool, I spooned the beans back into the bin. What we ended up with was prepackaged cheese, butter, rolls, cereal, milk, and very watered down juice. Wholly adequate to get the day started.As with every European hotel in which I've stayed, the television is very limited. Granted you are not spending much time in your room, but don't expect to come to your room after a day out and find any familiar programming. Kind of strange in this day of satellites, etc. With the exception of an inebriated guest who wandered the halls in his underwear and finally ended up sleeping in the hall outside our door (the front desk staff did a great job corralling this guy and getting him back to his room), we really had a good stay here. I would definately recommed it to family, friends, and business associates.	
Jul 4 2006	I'd Stay Here Again	My daughter and I stayed here for the last 3 nights of our Trafalgar tour. The hotel is clean, the food is good, the staff is courteous and helpful, and the rooms are big, clean, and comfortable (compared to the really small rooms in the hotels in Italy). The hotel is near the Angel entrance to the Tube and you can walk to small shops and restaurants. On my next trip to London, I would definitely stay at the Jurys Islington.	
Jun 21 2006	Clean 	My boyfriend &amp; I stayed at this hotel for one night as we were going to a party nearby. We booked it for just £39 for the room (not each) through a well-known last minute website. At such a budget price I had some reservations, but as we were just going to sleep there after the party, I figured I could tolerate most hovels for a few hours. In actual fact I was very pleasantly surprised- although the rooms are not what I'd describe as luxurious, they were very new and comfortable. The decor was fairly plain and inoffensive, and the rooms were really immaculately clean. It is definitely a grade up from your typical 'travel-motel' with a smart &amp; comfortable lobby where we relaxed for a little while after checking out. The bathroom has a tiny bath, but an excellent shower, the room was air conditioned &amp; had a tv, hairdryer and the usual things you would expect. There was a single bed &amp; a double bed, (both had hard mattresses- which I find the most comfy) so it could be incredibly cheap if there were three of you sharing. The hotel is set back from a fairly busy road, but this wouldn't be a problem if you request a room at the back of the hotel, or just shut the windows and have the air-con on in summer. I have paid a lot more money to stay at other similar hotel chains outside of london, and they proved to be nowhere near as clean or pleasant as this. The deal didn't include breakfast but we went to a great turkish cafe round the back of the hotel to the left of chapel market where a full breakfast with a drink was around £5.	
Jun 13 2006	Service leaves a lot to be desired	We booked into Jurys Inn on Friday evening and the room was fine - nothing special but clean and more than adequate. Our window looked out on the yard at the back of the hotel but it was quite quiet. On Saturday morning at 7am I heard voices that sounded quite loud - it turned out that other guests were given a key to our room and were in our hallway, they scurried off apologising in broken english and when I rang reception they couldn't find our booking on the system but apologised. As a result of this mix up our room wasn't serviced that day. I rang reception for towels and an hour later there was still no sign so I had to track down housekeeping myself. Also when they cancelled the Japanese guests keys they cancelled ours and as we were in and out at seperate times each time we came in our keys weren't working as they would cancel them all and only provide us with one new key. When we went for breakfast we were informed that there was only one person staying in the room, which reception confirmed. I had to get them to take out our booking confirmation that listed us both and again a short apology was all we received. On the whole the hotel is nice and we love the location, there are some lovely shops and bars around Islington, but because the service was so bad we wouldn't stay there again.	
May 26 2006	Amongst the best deals in London	Was in London last week for 3 nights. Due to the very last minute nature of the trip and highly limited hotel availability all across central London for this week, I stayed in a different hotel each night. The Jurys Inn Islington was the best of the three and, at 69 GBP, it was less than half the price I paid for the hotel for the first night (which was a pretty decent hotel to begin with). The hotel was immaculate, the rooms were above average in terms of space (for European hotels), clean, and just seemed fresh. The room colors were a little loud, but that's hardly a giant complaint. Decent restaurant onsite, friendly bar too. Dozens of pubs and restaurants all within a 2 block radius. About a 4 minute walk to Angel Tube.	
Apr 27 2006	Very nice place	Stayed here on bank holiday a couple of weeks ago. Booked the room directly from their website and got the excellent last minute price of £39 (total) - was very pleased with this.Hotel is very close to Angel tube stop (few minutes walk) and has a bus stop literally 30 seconds from the hotel too - so great if you've had a night out and don't fancy trying to flag down a black cab or are prepared to get an &quot;illegal&quot; cab either.Hotel reception and decor was very nice and modern looking - I was expecting somehing &quot;shabby&quot; for what I paid. Room was pleasant also, fairly decent size for the 3 of us. Large double sized bed and large sofa bed too that could easily sleep 2. Shower/bath was nice size too, with what must have been the most powerful shower I have ever experienced! Very nice.The only down side was when I checked in, and I'm sure many others have experienced the same thing. Because I booked the room only a few hours before we arrived, the booking was not showing up for some reason. This was quickly remedied after about 5 minutes or so. Overall, I would definitely stay here again. Be sure to check out their website on the day you intend to stay as you can get very, very good prices.	
Mar 16 2006	excellent in every way	I stayed here in March this year and was very impressed with the price £39 for a triple!! off a late website and the quality of staff and rooms. The staff could not have been more helpful if they had tried. well done	
Mar 13 2006	somewhere to crash	Four of us stayed here on a saturday night in November when we travelled down to a friend's 30th birthday party. The hotel was really well positioned, walking distance (although up hill!) from Kings Cross, really reasonable (I think we paid abut £35 a head for one nght, room only). Jury's Inn are functional and clean hotels, perfect for somewhere to recover from your hangover that wont break the back. I'd recommend this place if you're on a budget, so many London hotels are disappointing but this one does what it says on the tin.	
Mar 4 2006	Good value for the money helpful staff	Over Thanksgiving vacation I and my yound daughter travelled to London to visit family. We chose Jury's Inn based on the favorable reviews and were not disapointed.O.k, this is not a luxury hotel and by American standards, the rooms are small and without lavish amenities.However, the profesionalism and attititude of the staff more than made up for this. The front desk saff were extremely helpful and allowed us to check in in the morning after a night flight from the States. This was a huge perk to me as my daughter was exhausted.The location is honestly a little challenging. There are no little shops within easy walking distance, or at least we didn'r find any.This wasn't a problem though as public transportation is frequent and takes you right into central London. As I know London well, staying at this slightly out of the way hotel was fine. But for first time visiters, it might be easier to stay somewhere a little more central.	
Nov 26 2005	Lovely Hotel Good Location	Stayed for 2 nights last weekend with my mother, sister and brother. Check in was fine. We asked if we could have adjoining rooms as we were a family and this didnt seem to be a problem at all. Rooms were fairly large, In one room we had a double bed &amp; Single bed and other room had double bed and a fold out sofa so plenty of room for us. We paid for continental breakfast when booking however no hassle with upgrading to full english if you want. But be warned, continental breakfast is 7.50 and full english is 9.50 however when upgrading it costs 2.50. I know it only 50p but it was not displayed anywhere, just the prices of the breakfasts themselves. Breakfast was fantastic. Anything you could think of was available and the food was delicious. Location was brilliant, Angel tube station literally a 5 min walk. Very handy. There is no room service in this hotel however we rang down on our second night and ordered food from the bar and they ring back when it is ready to be collected. This food was very tatsy also. Check out was quick, we paid our bill (for breakfast upgrades &amp; food) by cash. Upon checking my creditcard bill online this week I noticed that the hotel still had a hold of Euro113 on my card even though I paid everything up in cash. I had to contact the hotel and ask them to remove this. It was only taken off yesterday, 5 days after leaving the hotel. I had stayed at this hotel previously and thats why I picked this hotel again. I think next time though I might try somewhere else.	
Nov 19 2005	Great Hotel Great location	Got a great bargain on this hotel from Last minute £80 for Friday and Saturday night. Clean and spacious room with spare bed good power shower and the room was cleaned to a high standard during our stay. Helpful staff large restaurant available and a great pub within the hotel which stays open late at weekends. The best thing for me was the location 5 mins from the Angel Tube 10 mins walk to Kings Cross and a great choice of restaurants pubs and shops in Islington. Will definately stay here when in London again.	
Nov 8 2005 	over expensive for a hard mattress	Far too expensive for a very, very hard mattress (I thought we were sleeping on the bed base) and right above your bed is the fire sensor with 2 red flashing lights (not indicating a flat battery). The furnishings appear to be fairly new, as was the carpet which we thought was probably responsible for the odd smell. However, the windows do open sufficiently to give the room a good airing. Also, it's another hotel with a wide gap between the bottom of the room doors and the floors despite there being a hook outside for newspaper delivery.There are ice machines on most floors and, a big plus, machines selling cold bottles of mineral water.The staff were very helpful and pleasant but some of them had very limited English. Suggest you take something to cover the flashing lights &amp; to block the door gap.Well located for the tube, buses and a short taxi ride from Kings Cross Station.	
Sep 5 2005	excellent value	We stayed for 2 nights, great hotel,new and modern with nice rooms, good airconditioning.Breakfast was very good . We had a bar meal one night in the hotel pub which was nice and good value again. 5 mins walk to the angel tube station or the no 38 and 19 bus which takes you through to picadilly circus, takes about 15/20 mins.Would stay again and highly recomend this hotel.	
Jun 7 2005	Great value for the money	We stayed at the Jury's Inn Chelsea early June 2005. We booked through their web site and got a great deal. The rooms were clean and nicely furnished. I would rate this a 4 star. The only problem was location. It quite a walk to the subway. Breakfast downstairs was a little confusing. 9 quid for the continental breakfast and 12 for the complete breakfast with eggs. There were buses nearby but of course you can't use them until you already have a ticket. All things considered even if you take a cab from the subway back to the hotel and visa versa it is still a good value.	
Jun 5 2005	Comfortable and cheap but watch your credit card	We booked this over the internet, had a few moments a check-in with a trainee on the desk, but the room was large and comfortable for my husband, myself and small child. Problems came on checking the credit card bill afterwards - to be found we had been charged twice! (They had booked us into two rooms) - Getting the money back was like pulling teeth but occurred in the end (but with no apology).Would stay there again but would be *very* careful about how many people got to touch our card and check the credit card statement carefully afterwards.	
Apr 4 2005	Worst hotel experience ever	I use hotels extensively and this is the worst experience I have ever had. I turned up on a Saturday evening with my room prepaid to be told there was no room for me as they had overbooked. I could, they said, go to a substandard hotel in a nasty area.That left me, female, with heavy luggage, on a Saturday night, left alone to find accommodation.I would storngly advise against booking because there is no customer service ethos or feeling of responsibility for customers.	
Mar 21 2005 	Islington Jury's Inn	Contrary to previous post, I thought one of the best things about this hotel was the neighborhood it was in. Close to the Angel tube stop, the neighborhood had it's own shops and scene going on, as well as a number of restaurants, pubs, and even a movie theater. A 5 min walk got you transport anywhere and everywhere.Rooms were average, no great shakes, but not awful. And the hotel pub stays open til 1:30, which is not common.	
Mar 18 2005 	Eh....more like a glorified motel	I checked into the jury's inn Islgington for business purposes. The lobby was nice enough (no gourgeous, but basic and nice), but the rooms were like glorified dorm rooms from college - but with prettier color paint on the walls. They were drab and small, very very basic with no ammenities. The bathrooms were the nicest part, but they so drastically didn't match the rest of the room - since the rest of the room was so basic. Was more like a pension than a hotel. The bed was very uncomfortable and small, with sheets that felt like sandpaper. The hotel was loud, with paper thin walls. This was not a hotel that I would pay my own money for, let a lone my company's. I checked out after one night. I later found out that it is not the best part of town. I would not recommend this hotel to anyone who is expecting more than a 2 star hotel. I would compare this to a 2-3 star hotel in the states - not quite a holiday inn, maybe more like a motel with a fancy bathroom.	
Mar 16 2005 	Great business trip	Stayed on a recent business trip, staff very attentive, and the attached pub a nice touch as well. Just a pity no ice machines on the landings	
Mar 10 2005	Great place		
Mar 6 2005	fantastic!!!!		
Nov 9 2004	Comfortable Clean and Friendly (and that's only the reviewer)		
Oct 20 2004	Great Stay		
Sep 25 2004	Very pleasant		
Aug 22 2004	Comfortable clean and pub closes at 1:30am		
Jul 22 2004	Decent hotel in a good location		
Apr 27 2004	Loved it so much!!!!!		
Mar 2 2004	Great rates for a great hotel!		
Aug 23 2003	Excellent central location		
Nov 26 2009	fantastico		
Oct 14 2009 	Tres bon hotel!		
Sep 6 2009 	Buena relación calidad-precio		
Aug 25 2009	Es muy buen hotel		
Aug 20 2009	Divertimento in economia a Londra e un grazie a Mario dagli amici Siciliani!!!		
Aug 19 2009 	un albergo pulito a londra? è possibile		
Aug 15 2009 	super quartier et proche de st pancras		
Aug 14 2009 	Valeur sûr		
Apr 2 2009 	Ottimo sotto tutti i punti di vista		
Jun 20 2008 	Muy recomendable.		
Nov 16 2007 	De lo mejor de la ciudad		
