	Amazing view! Great location! Friendly service!	Stayed over in this hotel before heading off to Paris on the Eurostar for our honeymoon! I'll be honest - we were on a bit of a budget and this was the cheapest 4* hotel I could find within walking distance of St Pancras - I was not expecting much at all. The staff were very friendly when we checked in, and the hotel was very clean and well presented. Our bed was HUGE and very comfortable indeed, BUT THE REALLY AMAZING THING WAS THE VIEW!!! We were on the 14th floor with a direct view out over the London Eye. The way that the hotel is organised means that pretty much all of the rooms have brilliant views out over London, we had not booked a special room or been upgraded at all. Excellent value for money - and a wonderful start to a wonderful holiday!	
Oct 11 2006 	Very Good	Hotel prices are high in London.But this was good value for the money.	
Oct 9 2006 	Modern Chain Hotel but Does the Trick	LOCATION: Right in-between the Euston and King's Cross/St. Pancras stations. A 3-4 minute walk to either. It's an hour ride on the Picadilly line to/from Heathrow. A few bus lines stop only a few feet from the entrance to the hotel as well. And, there are a lot of restaurants (though not award-winning) nearby, including a Pizza Express, McDonald's, a pub, a convenience store, etc.ROOMS: Modern and what you'd expect of a 4-star international chain hotel. Flat screen TV with a wide range of channels, modern bathroom and shower, working air conditioning, and comfortable beds. Pretty clean, though I did see a few loose hairs in the bathroom.STAFF: Efficient, helpful, and friendly. I checked into my room in less than 4 minutes!INTERNET: Consistent with most international chains, internet's available but not free.NOISE: Not a problem. I didn't hear street noise nor noise from other guests on my floor.	
Oct 1 2006 	Modern Designed Hotel	Really modern hotel on the Euston Road in between Kings Cross and Euston. Got a really good price through priceline. Bedroom is modern, large comfortable beds, flat screen tv and also a glass sink in the bathroom. Didn't eat at the restaurant, as looked very pricey. Excellent check in and out. Would definitely stay again	
Sep 28 2006 	Great Value Great Hotel	I spent hours poring over reviews while planning a 10-day trip to England. I stayed at Novotel, Euston only one night as sort of a stopover between Dorset and heading up to Northern England. I came back to London for five days later in my trip and stayed in a different hotel, but regretted not having booked my entire London stay here. The hotel is clean, modern, quiet, comfortable, and while I found the area in the immediate vicinity of the hotel of little interest, it is in an excellent, central spot for exploring London or it's surrounding areas by tube or train. I also happened to have a picture postcard view of the British Library from my window. The staff were super friendly and helpful and the hotel has a generally sophisticated but unstuffy vibe.	
Sep 26 2006 	Excellent location	I stayed here overnight on two separate occasions for business meetings. It is in an excellent location between Kings Cross &amp; Euston stations, and on several bus routes. The rooms are clean, comfortable and have reasonable facilities, including tea/coffee &amp; kettle. The staff are professional and personable. The hotel faces the very busy Euston Road, but sound-proofing is excellent.As a lone female, I felt completely comfortable and secure.The price given location and quality of room was very good. I prefer hotels with a bit more character, but would happily stay there again on business.	
Sep 26 2006	I stayed here and loved it.	After arriving in London from Spain, we very tired and had not slept well for the previous 8 days (Spain's hotel beds were very uncomfortable and at one night I just slept on the floor). Before going up to our rooms, we (2 young men) decided we would meet in the lobby in 1 hour for dinner. Once in the room, I showered and then lay down on the bed for a few minutes of rest before going to meet my friend. I was pleasantly surprised how comfortable the bed and the room was. I could even change the room temperature and fan settings for my own personal comfort zone. It was so comfortable; I had decided to stay in for the night and thought to call my friend….when the phone rang. My friend also loved his room and decided to stay in for the night as well. Wonderful rooms, very clean.Hotel food was good, but not outstanding. They could enlarge their food selections - I do not eat meat. Breakfast at 14 pounds ($26), was a little pricey for just a typical English breakfast. Bar service was slow at first (barman was busy flirting with a couple of pretty young ladies – and who could blame him). However, after a slow start, he kept our orders coming. When we went back for the next 6 days that we stayed, we never had a problem with service. Definitely would recommend this hotel….in fact, I have. California Kid.	
Sep 25 2006 	Didn't want to leave	Clean, fresh, pleasant in every way, great views, good breakfast, good air-conditioning, comfortable	
Sep 25 2006 	No-Novotel	I booked a single room at the Novotel, Euston Rd, London, for a Saturday night (23/9/06). I prepaid in advance via my credit card, and accepted their booking condition which specified that the booking could not under any circumstances be cancelled. I thus regarded myself as having a firm contract with the hotel. Apparently Novotel does not feel itself obliged to respect contracts! I was phoned by the hotel at 6 p.m. that evening, and told that they had a subsequent booking by a group, and that they intended to re-house me in the Novotel near Tower Bridge (the other side of London). Since my primary reason for booking the hotel was to be near a party that I was to attend near Euston that night, I found this excuse to be lame and entirely unsatisfactory. After making a lot of fuss, Novotel eventually found me a hotel fairly near &amp; paid for it &amp; also for the taxi to my event. But the cost of the room there was less than what I had paid in advance to Novotel. It caused me a great deal of anxiety &amp; also inconvenience -- especially since the phone call only came through 10 minutes before I was due to leave to get the train for London.I regard this as a breach of contract. That a hotel feels it can cancel a single woman traveller with such notice is completely unacceptable. Although I had been intending to try out this hotel and consider whether I would use it on a regular basis, I will now never willingly use Novotel again. I thus would warn single travellers--especially women and those with disabilities--from relying on bookings made with this hotel.	
Sep 15 2006	great hotel great location - would stay again	Stayed in the Novotel Euston London for a long weekend in September 2006.The hotel ist very easy to reach via tube and has a straight-through connection with the tube from Heathrow airport.All tourist attractions are easy to reach aswell.The room was clean &amp; well equipped; even modern for London standards.. Nothing to complain.The fron-desk was very helpful !!!!Would definitely stay there again ecspecially with a good Priceline rate :-))	
Aug 24 2006 	Great hotel staff and location!	We stayed at Novotel from 2nd to 6th August, 2006.We arrived before check-in time and with a wrong reservation.That wasn’t a problem for the big-smiled lady at the front desk: she found the solution just in seconds and we got a Superior Room With 1 Queensize Bed And Sofa instead the standard double room our travel agency erroneously booked. And no extra charge. (Not so lucky at another hotel, in Paris: we had to take 2 separated rooms and, of course, pay for both!)We payed at check out with Bancotel tickets, €110 per day plus taxes. Any fuss here.The view couldn’t be better: St. Pancras-King’s Cross Station. Being my two children Harry Potter fans, was a plus. And this location was great when arriving from Edinburgh at midnight.The room was HUGE. Modern, clean and well lighted. My only complaint: the glass shower screen and the glass bathroom door described in previous reviews. All you may need was there: the usual things like Coffee/tea maker (with delicious scottish cookies). And others, like trouser press, a shoe polish kit, desk tools (stapler, scissors, rubber, pens….).We’ve enjoyed our stay at the Novotel!	
Aug 2 2006	Divine Beds Lovely room Highly recommended!	We stayed here for one night when we went to see Evita in the West End, it cost £99 for just the room , breakfast would have been £30 extra for two so we didn't bother. The hotel staff were friendly, our room was available for an early check in at 12 and it was absolutely lovely, the beds were divine huge and soft and extremely comfortable. The room and bathroom were immaculate and everything we needed was available, iron, ironing board etc and also a safe if needed. You can get good deals for this hotel if you check out there website and pay upon booking. I would definitely use this hotel again, it is about 7mins walking distance from Euston Station ideally placed for any night or weekend in London.	
Jul 9 2006 	Adequate	Plus points: - Comfortable beds - a big plus, thoughtfully designed rooms (except for the fact that you have to keep vacating the desk chair to let your partner back and forth).- Functioning Orange wi-fi- Handy location- Okay value for London- Very pleasant, helpful front-of-house staffMinus points:- Terribly uncomfortable, worn-out chairs in the bar and foyer- No parking- Mediocre food and restaurant (the Novotel West across town serves vastly better food served by much more competent staff)- Absolutely pathetic cocktail experience: I asked for an Old Fashioned, a basic, classic, easy drink to make (sugar syrup, angustura, ice, Jack Daniels, slice orange, cherry... that's it), but they'd never heard of it, and refused to make it to my instructions because it wasn't on their list. (You can't call yourself a cocktail barman if you can't produce an Old Fashioned. That's just the rules.)Advice:Worth staying at if you need to be in the area but avoid the catering: try the superb Eagle gastro pub just down the road at 159 Farringdon Road EC1R instead. If you like the Novotel experience (and there's much to like) try the Novotel West for onsite parking, and much better restauration.	
Jun 7 2006	Good hotel for the price	We just have stayed 3 nights at Novotel Euston in London in June 2006. I have booked the room directly at Novotel at a good price (?99 incl tax and breakfast for 2). They have a best price garantie and really the best price can be get via their webpage.I have booked a superior double room with a king ed and a sofa, as it was in the same price as the &quot;normal&quot; superior without the sofa. But we have got it without the sofa, and it was a &quot;normal&quot; one, as there was no more space for the sofa. But it was quite bige, so I have not complained. However I have complained for the TV 3 times. There was only 5 channels (no Music channel), at the quality of the picture was so poor, that after a few minutes I have turned it off. Nothing was changed with the TV during the 3 days.Beside those problems, the room was nice, big (according to other hotels in London) and clean. The breakfast was a full breakfast with a good selection. The staff was friendly and helpfull.The hotel is located between King's Cross and Euston Station tube stations, just 3 minutes walk from each and there is bus stop just in front of the hotel. Very easy to reach the city and all the tourist attractions.The hotel has 3 lifts, and the one in the middle is a panorama lift with glass wall. As the hotel has 16 floors, there is a good view from that lift.I recommend this hotel for everyone who are going to stay a few nights in London. It is good international hotel at a fairly good price. If you are ready to pay twice more, you should find better place to stay, but for this price it is good choice.Attila	
Jun 6 2006	Modern and functional	The Novotel London Euston was a pit stop for one night whilst seeing a show in the West End. It was a Priceline property and I was initially a bit disappointed due to it's location, but on reflection for GBP 57 including taxes and being only four stops to the West End on the Northern Line it really couldn't be beaten. On check in I enquired about an upgrade and I was told for GBP 30 I would receive a king size bed, a free newspaper and two free drinks. I said that if they included two free breakfasts they would have a sale, and they agreed! So for a total of GBP 87 we stayed on the 16th floor facing north (quiet!) in a lovely large room with a very nice contemporary bathroom. Breakfast in the morning was a relaxed affair with one of the best buffet selections I have seen in a London hotel. Public areas are modern to the point of being a little cold and impersonal, but compared to some of the older style hotels where dust and dirt seem part of the experience this was a welcome change! Little tip; take the middle lift to the 16th floor, it has a glass wall and the view of the city of London rising up above the surrounding builidngs is a sight to see! All in all highly recommended	
Jun 4 2006	Comfortable stay	Ours was a short stay of 2 nights. The 2 rooms were ready when we arrived at 10:30 am. Both rooms were located on the back side of the hotel which was very quiet. Rooms with twin beds had minimal walking space, but a nice closet. Rooms with a queen bed had more space, accommodating a table and chair. The rooms and bathrooms were clean. Beds gave us a great nights sleep. Staff was quick to grant our request for extra pillows. The hair dryer was located in the closet, near the safe, but reached to a wall mirror outside the bathroom. The tea tray was replaced daily. The halls were quiet and clean. This is a large hotel, but we never had a long wait for the elevator. The center elevator is glass on the exterior of the building and gives you a wonderful view of the area.Ice machines did not work on all floors. Staff offered to send ice up from the bar, when I needed ice. The staff was very professional and helpful. We found the hotel to be close to the tube... Euston Station. There was an abundant of places to eat at the station and on the side streets between the station and hotel, if you did not eat at the hotel. The British Library was located across the side street. The fact that I was a priceline guest was never mentioned. I elected to not give my credit card number to the hotel, and this was not a problem. Check out was quick and professional.We were very satisfied with our stay and would here again.	
Jun 4 2006	A new generation Novotel	They have done it again! The Novotel experiences I am having just seem to get better and the Euston property is a shining example. I received a warm greeting the moment I walked in the door and check in was fuss free. I'm travelling with my elderly father who is coming from a different destination and therefore could arrive before or after me today. The staff knew of this and have assured me they are on the look out and will ensure he reaches the room. And he did. As a flight attendant for an international carrier I spend 120+ of my nights per year in a hotel room. These rooms are fresh, bright and designed with functionality in mind. There is a great work space with perfect lighting (finally a hotel gets it right). The room is spacious with a safe, mini bar, iron, trouser press, well appointed bathroom - all cleaned to perfection! I can be quite critical as a &quot;tripadvisor&quot; however on this occasion I am hard pressed to find anything which has fallen short at this property. I would say it's a hotel you would stay at for business although leisure travellers may also take of advantage of it for accessibility to rail services. I have to give these guys a 10 out of 10 - it's been a great experience!	
May 21 2006	Great Hotel!!	We wanted to stay near Euston station, and picked up a great last minute deal by booking direct with the Novotel. The hotel is fantastic -- clean and modern, with superb rooms. We were upgraded to an 'executive room' so I guess we're biased. But the furniture and decor were all sleek and moden... And I'm sure it would be similar in their regular rooms.We didn't eat at the hotel, but the food did seem rather pricey. There are plenty of other restaurants, coffee bars, etc in the area, so no need to eat at the hotel anyway.The location is a bit 'out of the way' for your average London visitor... But it's perfect for Euston or Kings Cross train connections.We'll definitely stay here again if we need a hotel in the area.	
May 16 2006 	Convenient	Well maintained hotel with a nice restaurant, a side cocktail lounge and a gym. Rooms are clean with the convenience of setting your own wake up calls on the TV.Extremely convenient for transport - roughly equidistant between the main railway stations of Euston and King's Cross &amp; St. Pancreas. Added to that a selection of Tube stations (Euston, Euston Square, King's Cross) and bus stops nearby.Icing on the cake is that the British Library is right outside the front door.Recommended for single travellers, couples, business travellers, general tourists.	
May 5 2006	very good!	Excellent! Nice staff and superb breakfast. We stayed on top floor, great view.We always had to take the tube in Charing Cross, so we don't know much about the neighbourhood.	
Apr 21 2006	Really great business hotel	For business travellers, this a great hotel with a nice restaurant. I stay here quite often, and the rooms are generally large and comfortable. There is also a gym at the hotel.	
Apr 18 2006	Average all the way!	I stayed here for a night in April. I chose the hotel as it offered pretty good value for money (£70 per night). The hotel is fairly nice, a typical Novotel property. On arrival, we were asked if we wanted to upgrade the room to an Executive room for just £30 more (to include 2 drink vouchers at the bar and a free morning newspaper). We declined as the standard room suited us fine for just one night stay. Our room was fairly small, impersonal but all facilities were clean. The bathroom was tiny with the door opening inwards which made moving around in the bathroom difficult. You cannot fault the room but at the same time there was nothing spectacular about it either. The same goes for the hotel. Everything was just &quot;average&quot;. Having said that, being average is not a bad thing; they'll deliver the basics well (clean rooms and some standard of comfort) but you won't get any surprises either. To make the stay more memorable and differentiate from others (especially in London where the competition is tough), I would have suggested that Novotel would offer the room upgrade for free of charge without the extras on-top. I think this would be a great retention tool for customers with very little extra costs for the hotel itself. The hotel didn't seem very busy so I guess this was their way of making the extra few pounds. I'd stay here again, however, I could just as easily pick the Hilton or Marriott (and earn airmiles!).	
Apr 14 2006	Excellent hotel!	Had great time at Novotel, Euston.The reception staff wast friendly and professional, making my check-in and check out easy and pleasant. The room was spcacious and clean:)The concierge department was absolutely excellent, and made my stay in London so much more enjoyable. All in all, my stay in this hotel was great and would definately return.	
Apr 10 2006	great hotel	this is a great hotel,i booked through the novotel web site and got a very good deal.The hotel is well located,has excellent staff and a nice friendly feel about it.Dinner at night was first class £17 for 3 courses in London is good and the food was excellent.Breakfast again very good,overall a first class hotel with no faults during my stay....	
Apr 5 2006	super Novotel	Amazing Novotel! This was a beautifully docorated, well appointed hotel. It's central location and work out facilities were wonderful. I would definitely stay here again!	
Feb 27 2006	No complaints	Having stayed for one night this weekend I was pleasantly surprised. Booked via Novotel’s web site at their lowest restricted rate, this was a good deal. I was upgraded to the 15th “Executive” level, a nice surprise. I only found out when I got to my room, it was not mentioned when I checked in, this seemed a wasted opportunity to make the transaction a little different instead of the operational necessity. If it was mentioned I would have shown my appreciation and gratitude to the clerk. The room was nice. It was nicely decorated although if you are not familiar with this hotel chain then think “fashionably “minimalist” or “functional” depending on which way you look at it! It doesn’t look particularly cheap but you can tell that cost was an option (the same could be said for people who want to stay here so no complaints). Very clean hotel throughout. I have stayed in much nicer hotels but they have cost a lot more as one would expect. A very nice bathroom, a bit small although adequate, a nice big bathtub all looking fairly new. The bed was not at all comfortable, it was large and new but the mattress was not of a good quality (you can tell that they have cuts in this area) to be honest because of this reason alone I was glad that I only stayed for one night. I would stay again if I got the same rate but for no longer than one night. Tourists do be aaware that this is in a very busy area and although I was on the top floor and there was not as much traffic due to the weekend, the noise was still audible, any lower down and it would have caused a problem. There are major building works in this area due to both extensive modernisation of King’s Cross station (10 mins walk) and the roads surrounding the station including the one's directly outside the hotel.	
Feb 15 2006	FAB NOVOTEL...............LOVED IT!!	Have just stayed at the Novotel Euston at the weekend. Was a little concerned when I heard that the hotel was in a very busy area on the main Euston Road. This all faded on the very short walk from Euston tube. Yes it is busy but no bother at all. From the minute we walked into the hotel for our 1 night stay we were made to feel so welcome. Although check in is 2pm our room was ready for us on arrival at 10.30am. The room was v. clean and comfortable with very little noise from elsewhere. We had tickets for football at Arsenal and show tickets for West End in the evening. Travelling on the tube from Euston was great as all areas were easy to get to. We had paid for breakfast on the Sunday morning, and as it was buffet style this was fab, with a great choice of what to have and as much as you wanted. Overall we found the service, facilites and location of the Novotel ideal and have already booked again for a weekend stay in April.	
Feb 14 2006	Sludge Tour MkII	Yes, it was that time again. This time last year I wrote a review on the same hotel and it was interesting to go back to see if there were any improvements.From what I can remember of last year's review I mentioned the very poor breakfast and the fact we were bundled away into the basement because we were on a coach tour. The food itself (then) was very bland and very cold so I am pleased to report that in 2006 there was a noticeable improvement...both in the food, which was wonderful and hot and the fact we were in the proper Mirrors Restaurant rather than in the basement. Well chuffed!For some reason the Americans seem to think that the rooms in this particular hotel are small...well they are not...for an English hotel at any rate. In my opinion there was lots of room to move around and the bed was better than the Luxor in Las Vegas because of the fabulous, firm pillows. Very good. Had a proper quilt rather than blankets as well. Spotless too as was the whole of the hotel in fact. Plenty of storage space but you have to hunt for the tea/coffee making facility as it is hidden on a pull-out shelf from the top drawer under the television! Took me a while finding the hairdryer too, which is stuck onto the inside of the main wardrobe. Didn't use it though because the rooms are very warm. There is a thermostat to control the temperature but it seems to be hot whatever you do. I ended up switching it off!The bathroom was adequate for its size. The bath is deep so take care getting out of it, although there is a rail to help in this regard. The bath itself is self-clean and I WANT ONE because it's brilliant!! In our room there wasn't much space for toiletries so bear that in mind if you take lots of smellies!There is a mini-bar and room service but we used neither although my fiancee said that the diet coke on the list was cheaper than over the bar. Strange!I should imagine that most people would go out for something to eat rather than eat in the hotel, although I was told it was about £16 for a 3-course meal in there. I noticed it has a rosette award from the AA, which is nice! If you insist on snacking make sure you buy before 11pm as the price shoots up big-time (£25 in fact for a couple of drinks and a sandwich)!!!! Sludge insists he bought it just before 11pm but he was rather inebriated at the time..so maybe the staff were taking advantage of him, I don't know!Please do not buy ANYTHING from that shop run by an ethnic chap over the road. He short-changed my fiancee big-time so buy something only if you are desperate. There are plenty of shops in nearby Euston station (Kings Cross nearby as well) so I suggest you go in there.We used the tube to get to the Leyton Orient v Carlisle Utd game. I think it was £3.50 return which isn't bad...and Carlisle drew, which was a great result as we usually lose on Sludge Tours!A word of warning if you drink bitter, it really is very bad in London. It made some of the hardened drinkers in the party quite ill so please drink it in small amounts (yeh, right) if you can! I am a lager drinker and German lager is very hard to find, unfortunately but I did find some Holsten Export in the pub down the road opposite rather than the main road.Speaking of the main road...yes it is busy but it is in the centre of London, the major city of England so I think road noise is to be expected. Certainly didn't bother me.All in all a wonderful stay during the weekend before Valentine's Day. Will we go back for the 3rd year in a row?Probably! :-)	
Jan 18 2006	Nice Novotel !	I stayed one night at the Novotel London Euston one week ago. I booked the room via Priceline and got a terrific rate (around 80$ inc. taxes).At this price, that's a terrific value.This Novotel is a new generation Novotel and I can say it is above the Novotel average.My room was in a corner on third floor : large and modern, great design and lights, a queen bed a, big sofa, a desk with Internet connection, plug adaptator, two windows giving two directions view, and a nice bathroom. We loved this room !The staff (at the desk and the concierge) was pretty friendly and helpful. We didn't try restaurant or breakfast.About the location, it is really convenient if you are going to use rail stations like Euston, King's Cross or St Pancras. But this is not very central if you want to visit London. Of course, you can take the Underground very easily at Euston, or King's Cross. On october, I stayed at Radisson Vanderbilt, supposed to be a 4-star hotel like this Novotel. And this Novotel is a thousand feet above the Radisson.	
Dec 31 2005	Great Location!	Just spent 2 nights at the Novotel and wasn't disappointed! Having read so many awful reviews about various London hotels I was prepared to pay a little more as I was confident that the Novotel would be a good choice. I was very impressed with the helpful attitude of all the staff and very grateful when they allowed us to check-in early (we arrived at 09.30!)The rooms were very clean and well-equipped, we also got the high floor room we requested (views are great if you get a high floor). The only slight complaint we had was the soft bed. Not great if you have back trouble!...The breakfast was good (included in the rate we paid)and offered a varied choice.Hotel location is excellent! Just 5 minutes walk to Euston station for rail, bus and underground connections. I would definitely recommend this hotel!	
Dec 12 2005	Great value for price	Just returned home from a great weekend spent in the London Novotel Euston. Really great location for train arrivals from the north. No more than 5 minutes walk from either Kings Cross or Euston mainline and underground stations.The room was very comfortable, large for a modern hotel, well designed with good quality fittings. Large bathroom with separate walk-in shower. (Towels rather small!) We had a room on 15th floor with great views to the north. Very quite - no traffic noise and no sound from adjacent rooms or hallway.One of the best breakfast buffets I have had in a four star hotel - great strong coffee too! Very friendly staff who could not have been more helpful.Only downside - cost of the wi-fi connection. EUR10 for 24 hours seemed high. (Maybe it just seemed expensive because we have just returned from Sweden where every hotel in which we stayed offered FREE wi-fi!)Good hotel to which we will certainly return next time we are in London. Walking times - Oxford Circus/Regent St is about 30 minutes, Trafalgar Square - 40 mins.	
Oct 13 2005	I LOVED This place!	I arrived at the Novotel late. because of a change in flight and the wonderful staff didn't mind and held on to my room and were very accomidating when I arrived at 12:30 AM. I absolutely loved this place and pray I can stay there again. Rooms were very modern, clean and very very nice.Beautiful bathroom. In a great location though, streets could be noisy. Had a terrific English fry up in the restaurant one morning and a drink in the bar one evening. Hotel is close to Kings Cross station and there's lots to do nearby. British Library across street. You got a free paper every morning and there was an ice machine on each floor. This hotel was amazing. I really can't stay enough. I stayed at this hotel as part of my Cosmos trip to Europe. If you have any questions about this hotel or Cosmos Vacations, please email me and let me know. My email is SaraM1976@aol.com Thanks!	
Sep 27 2005	Excellent Service	Me and my wife really enjoyed our stay at novotel euston, we stayed for 4 nights, our room was clean and comfortable and we were really impressed with the staff especially the concierge who were polite and most helpful.we look forward to our next visit.	
Sep 21 2005	Well-priced central hotel	Stayed here last weekend for a rate of £114.15 per night including breakfast. That was quite reasonable for London and the breakfast was excellent (although probably not worth £15 a head if staying room only). Our room was a bit small, twin room on the ninth floor, which surprised me because when I'd stayed here once before on business I thought the room was very big. Obviously not all of them are! However the room was at the back of the hotel so we didn't notice any problems with noise as some other people have said. For some reason I thought when booking that the hotel had a swimming pool. It doesn't but the exercise suite and sauna/steam room are spacious and well-equipped.Staff all very friendly and helpful, I didn't have any problems during my stay. Overall well worth the money.	
Sep 17 2005	Very good indeed	We stayed for 7 nights at this hotel. Seemed to be oriented towards the business traveller, although my wife and I were on a holiday. We fitted in, no worries at all.The hotel is about a block and a half fom Kings Cross St Pancras railway/tube station. It was very convenent. Euston tube station and bus interchange is also a couple of blocks in the other direction.The service at the hotel was good (no complaints) and the room was clean and well presented. I found the bar meals to be good value but the meals in the restaurant, 'Mirrors', were overpriced in my opinion. A few decent restaurants nearby, along with some other eating options at Kings Cross St Pancras Station.Thumbs up from me.	
Aug 20 2005	Nice place bring earplugs	I stayed 5 nights in 2 rooms at the Novotel Euston with my family on vacation. We took a double and a triple, booked online for 99 GBP per room per night including breakfast. Considering London hotel prices this summer, that's a pretty good deal. The rooms were reasonably spacious and nicely appointed. There were a few issues on check-in: 1: The a/c in the triple (a queen with sleeper sofa) didn't work. The staff's response to this issue was polite but not very helpful, as I was asked to fiddle with the thermostat. After a few more complaints, someone told me that the a/c in that room didn't work and wouldn't be fixed, so we were moved to another room, with a great view on the 14th floor. 2: The sleeper sofa in the 14th floor room was broken, but one complaint and it was fixed (or replaced?) promptly.My chief complaint, however, is noise. Euston road is busy day and night, and even with the windows closed, it still sounds like they're open. Several nights, we could even hear (loud) conversations in the street from the 14th floor, at 2 in the morning. There's a lot of sirens, too. They need double-paning on those windows...or something. Bring earplugs if you want a good night's sleep. The glass bathrooms are odd, and not terribly functional. As other reviewers have noted, you have to carefully close and/or position the shower doors and panels to avoid a flood, which is probably why the bathrooms have floor drains. But there's plenty of water pressure, and the shower itself felt great.The staff was generally friendly, although sometimes their command of English wasn't the best (many are foreign-born, it seems). The English breakfast buffet was full-on, lots of choices and very tasty. One other caveat if you're from the US: On checkout, without asking me, they did me a &quot;favor&quot;, and ran the transaction though my credit card in US Dollars, at a less-than favorable exchange rate (3%). If you're smart, you're using a card that only charges 1%, and you're better off having them process the transaction in pounds. Unfortunately I didn't notice until after we'd left (it was early in the AM). I believe that if you see this before you sign, you can request that they process the bill in GBP, and refuse to sign until they do. Otherwise, if you're like me, you've just given the hotel a $50 tip.	
Jul 3 2005	Great rooms nice location	The room was very good for the $$ and the complimentary breakfast was outstanding. Right across from British Library, go see the Magna Carta and other amasing documents. A tad far from the BIG attractions, but tube station is less than a block away. Staff helpful..a major surprise in London.	
Jun 1 2005 	Comfortable and Convenient	I regularly travel to London on business and rarely spend much time in the hotel room. Normally I stay at The Caesar since the prices are so low and it is definitely a bargain for London. This past April I spent a little more money and stayed at the Novotel Euston - it was a great experience. The staff were very friendly, I ate dinner in the restaurant and had the breakfast buffet every morning and it was very tasty. The hotel is clean, seems safe and not far from the City, a short walk to the tube. I was in a room with a comfortable single bed, the bathroom was spacious and clean. The gym is also pleasant with a view over the neighborhood and sun deck (whatever sun there is in London). The walls are not completely sound-proof so I could hear my neighbors at times but overall it was a very good experience. Their wake-up call service needs improvement (they missed 2 wake-up calls) so I suggest using an alternative method like the TV alarm. I've stayed all over London and this was definitely worth the expedia price.	
Mar 16 2005	Great location	Actually booked it thru priceline and paid &lt;$100 US a night for March 2005. A great deal. Is located near Kings Cross station allowing subway access throughout London and train access throughout England. Otherwise, the area is fairly quiet with some retail and limited site seing. Staff was wonderful and a pleasure to deal with. Rooms were clean and spacious. For our first time in London, this made for a great time. As long as you don't mind NOT being in the heart of all the action, this is a great place.	
Mar 15 2005	Good Value	Large, modern hotel located within minutes of King's Cross and Euston stations - excellent base to get anywhere quickly. While this area has quite a bad reputation, the hotel is located on the (very) busy Euston Road and is quite safe. We stayed from Mar 12-14 on an excellent deal direct from the hotel's website - £89 per night, which is great for a good hotel in central London. Staff were very friendly and we were delighted to be informed on arrival that we had been upgraded to an 'executive' room. Room was fairly large, with a massive, comfortable bed, modern furniture etc. Bathroom was a good size, with a glass sink (uncracked!) and bath/shower. Shower was wonderfully powerful and I hardly wanted to leave it! Room was on tenth floor with great views. Corridors were very quiet (even though the hotel was full). Breakfast was your usual (included in our rate - NOT worth paying £15 extra for!). Lobby area is very open and the bar is pleasant, albeit more of a continuation of the lobby than a bar proper. Negatives - As mentioned, the Euston Rd (which we overlooked) is very busy, with large volumes of traffic 24 hrs a day leading to quite a bit of noise. This was exasperated by the fact that we couldn't fully shut the window (in their defence, we didn't inform staff); if staying again, I would ask for a room at the back. The air conditioning was a joke, with hot air spewing out no matter how low we set the temp (we just turned it off, although some heat still came out); the room really was uncomfortably hot at times (again, we didn't mention it to staff).Despite these drawbacks, we felt that the hotel was well worth the money paid (for London anyway), although we wouldn't be so keen to pay the rack rates!	
Mar 13 2005	Clean Modern Hotel Bad Night's Sleep	I stayed at this hotel on the 11-12 March, and it was a pretty clean nice looking hotel from the main lobby appearance. Everything was fantastic, including the room.However, there were a few problems:1. Bed was broken and the staff didn't seem to care - I had back pains the next day2. The shower door didn't close properly splashing water everywhere!3. They tried to charge me for breakfast when I didn't eat any! The hotel's attitude is: Let's see if we can charge 'em anyway.But as far as hotels go, if I had gotten a good hotel room, this definitely would have been a 3 star hotel (sorry, for 4 stars, they'd better not charge me for something I didn't eat!).NB: Keep in mind that for the past few years (and probably for the next few), there will be construction around the hotel as King's Cross Train Station is under renovation. It's been like this for the past 5 years.	
Mar 11 2005 	Good location nice modern clean room good view	This hotel is very nice if you get a deluxe room on one of the upper floors - the views over London are great. The location of the hotel is excellent if you have business in Bloomsbury or wish to visit the various academic institutions. The bed was very comfortable and the room bright and, most importantly, very clean. One exception to this is the light coloured carpet, which shows up an array of stains! Another picky criticism is the awful quality of TV reception (with little choice of channels) - a four-star business hotel should be doing better!! As usual, room service is exorbitantly overpriced but a Marks and Spencer food store is located very near at Euston Station. The price of the hotel rooms are average for a nice 4 star hotel, however, don't pay the rack rates.	
Feb 15 2005	Good Location 	Stayed here a couple of times in December 2004 and Jan 2005. On both Occasions we were pleasantly suprised at the quality of the rooms and service. The rooms were clean and newly decorated, bathroom was also very clean and modern.Overall a good value hotel, great location between KK and Euston.	
Jan 31 2005	Great Hotel; OK Location	Stayed here with my girlfriend in December and had a great stay. The upsides were nice staff, big room(for london), nice furnishings, warm comfortable bed, decent rate, and proximity to the tube. Downsides were things of interest within walking distance, lack of activity at night, and small bathrooms. I recommend if you are not afraid to use public transportation to get to the sights and excitement	
