	Excellent Hotel in a great location	After much research I chose to stay at the K&amp;K while in London on business and sightseeing and I was not disappointed. The location is roughly 150 yards from the Earl's Court tube station. I relied heavily on mass transportation on this trip. The ExCel convention center is a bit of a trip and takes a little over an hour to reach but the South Kensington area is so much nice than the area around ExCel. I also used the train system for a number of trips to meet with clients. The connections into Victoria and several other stations were all very easy from the Earl's Court tube station.It is quiet. The hotel is a block off the main drag. In addition, you can get a room that overlooks a courtyard. There was minimal noise from the city or from within the hotel.The room was small (typical for Europe) but well designed. The internet was free (although they do not have wifi to all rooms so you may need to connect via cable).The bed was comfortable and the bedding new.The bath is well designed with plenty of light.The staff was very attentive. We were on their case early as a package had not arrived as scheduled. They dealt with our concerns professionally and notified us promptly when it arrived. When they learned that we were also scheduled to stay at a sister hotel in Paris they phoned ahead, confirming our reservation and ensuring that we were well cared for. A class act!I really enjoy the hotel location. There are a wide range of restaurants just a few feet from the hotel. We did not use the restaurant at the hotel but it looked clean and was very active in the mornings.I will stay at this at the Hotel George again.	
Aug 24 2005	Almost but no gold star!	I really didn't want to give the hotel such a low rating, because there were so many things that were right with it. The one thing wrong was a major problem. After exhaustive research (I obviously missed somebody's comments somewhere in this wide, wide universe of Internet chatter), I booked the K+K George Hotel, just around the corner from the Earls Court tube station. Great location, although London is HUGE (even by Texas-sized measurements), it suited our needs since the tube was practically in our back yard. Designated as a 4 star, it was definitely nice enough. The price was within budget and the staff most helpful. Other than a cot, or &quot;camp bed&quot;, for the third person in the room - how bad is that?, the very big short-coming, which is grossly misrepresented in their list of room amenities, is that there is NO air conditioning! I would not have booked it for the middle of July had I known the truth. My definition of &quot;air conditioning&quot; is different than theirs. By Texas standards, &quot;air conditioning&quot; means a room has independent control over the temperature of the air exiting the small vent in the room, which can be manually changed to something less than room (and outside) temperature. Yes, I asked housekeeping to check into it. They did and pronounced it as not having enough power behind it (?). Whatever was done, nothing changed. It really makes a difference when you've been out sightseeing all day and are ready to come back to your room, have a shower and relax in an environment which is cooler than what it is on the outside. Yes, I would stay there during cooler months, but never, ever, during the warmer ones. They really should be careful as to how their rooms are described. As for the second leg of our trip, we stayed at the Stillorgan Park Hotel in Dublin, which I've rated elsewhere, and it had genuine, chilled-air air conditioning. They obviously use the same dictionary in Dublin as we do in Dallas! Hurray for the Irish!	
Aug 23 2005	Great Hotel for the Cost!	August 23/05 - We just returned from a 2 week trip to Europe ending in London. The service in this hotel is absolutely wonderful! The front desk staff were very attentive and responded immediately to all our requests. There is a lovely garden at the back of the hotel where guests can sit and enjoy a cup of tea. We had a standard triple room with 3 beds. The room was small but very clean and comfortable. The bathroom was quite modern and the room had adequate central air conditioning. Internet access is free at the hotel. If you need an adaptor the hotel will supply you with one, ask at the front desk. The location is fantastic. The hotel is located in a quiet street far away to allow you peace and quiet after a hectic day sightseeing but close enough to all amenities. You can walk to the subway (tube) which will take you just about anywhere in London. If you wish to do your own laundry there is a small laundromat on the main street a couple minutes from the hotel. The hotel is also very close to numerous restaurants and supermarkets. If you feel like eating out, ask at the front desk for suggestions for great restaurants, the hotel staff will willingly assist you. If you need tickets for the theatre (you must go to the theatre in London!) or for the London Eye, London Dungeon, Bus Tour etc. please go to any of the tourist information centres, they will give you the best prices and you will avoid long line ups at ticket outlets. There is no service charge at the info centres. Also, if you are a family buy a family day pass for the tube it is much much cheaper! The hotel room cost us Cdn$221.00 per night. Great rate, great hotel. I would definitely stay there again!	
Aug 22 2005	Good place to stay--would return	Safe neighborhood, net access was a plus, room was adequate. Bathtub was nice for soaking sore feet after walking all over London! Tube access close (Earl's Ct. station), lots of restaurants nearby. Only complaints: pillows were flat and bed was a bit hard. Breakfast was too expensive, we just bought our own and kept it cool in the minibar.	
Aug 21 2005	Nice hotel -- modern amenities very comfortable	We liked this hotel a lot. It is within 2 blocks of the underground, and within walking distance of several places to eat. A slightly longer walk will take you to a major shopping district. The hotel staff is friendly and knowledgeable. The rooms are clean and the showers are great. If you didn't bring a laptop, you can sit down at the computer in the lobby. Although not really close to any major tourist sites, it is not too far from Hyde Park. Breakfast is expensive (about $20) but the hotel offers breakfast for the second person at half price. A menu with sandwiches, snacks, and desserts is available most times of day in the bar, and the food is good (we were winding down after a week of heavy traveling and wanted to stay close).	
Aug 18 2005	Small but very nice	We used TripAdvisor to plan our honeymoon, and we weren't disappointed. We found the K+K on this website to be the first hotel ranked in the London section under $200 a night, so we booked 4 nights there.It was a great place to spend a few days. The rooms are small, but hey, this is London right? We didn't spend much time in the hotel anyway so that was fine. They don't have much in the way of &quot;extras,&quot; but the one thing we really appreciated was the FREE internet in the room or downstairs in the lobby at a terminal. We stayed at the Four Seasons in Paris, and would have had to have paid 22 Euro per day for internet in our room. I really liked being able to use my laptop to look up restaurants, check email and find Sports scores (besides Cricket and Soccer!). Why don't more hotels include free internet? If they have the ethernet in place, it really doesn't cost them anything to have it turned on, do they have to charge? My wife needed to check some stuff online as well, and was waiting to use the terminal in the lobby, when one of the women who worked there told her about the &quot;Executive Lounge&quot; downstairs that had a computer with a printer. We snuck downstairs, which is I suppose reserved for business members, and found a nice comfortable place with couches, TV, and a computer. I can't believe I'm telling you this, since it was one of our favorite little secrets, but we hung out more down there then we did in our room, since the room was a bit small... hee hee... don't tell anyone else about it, or else it'll be packed!The rooms were smallish, but very contemporary, clean and well equipped. Bathrooms were more than adequate. Very well kept and clean.One of the reviewers ahead of me complained about 12 British Pounds for their buffet breakfast. They gave us a coupon for 2 breakfasts for 18 pounds. We ate there the first day, and liked it, though $30 for breakfast is sort of a lot, but it was an all you can eat affair, with a pretty good selection. Actually in London you have to abandon your sense of what money should buy. We spent easily spent $50-100 on most of our decent meals for 2. We spent $50 on Chinese food for 2. Being from San Francisco, and being Chinese American, spending $50 on regular Chinese food is a bit of a crime. In San Francisco, $50 can buy you a pretty excellent meal for 2, $100 should buy you dinner at one of our better restaurants, and that's San Francisco, not exactly a cheap place to eat by most standards!The neighborhood around the K+K is great, very cute houses and other small hotels. There were other hotels in the area that were cheaper, but they looked a little outdated and dirty. The K+K was by far the nicest. It's 2 blocks from the Underground, with convenient connections to anywhere in London. Lots of places to eat, lots of ethnic places. We tried Benjy's across the street, a greasy spoon, food was so-so... well, at least we were full for under 10 GBP. There's an Austrailian Pub on the corner, plenty of Curry houses, a &quot;Tex mex&quot; sort of place, some Chinese places. We ate at Mr. Wing's Chinese food place about 5 blocks away down Earl's Court Street, food was actually pretty good. The workers were excited about speaking Chinese with us and hung out and talked with us while waited for our food, which was sort of fun. But again, that meal, which was tasty and a nice break from some other stuff you might come across in London, was 25 pounds, which in USD$ is just way too much for mu shu pork, black-bean chicken and noodles. But then again, 25 pounds for dinner is pretty average. At Earl's court there were lots of places with plates for under 10 pounds so you could eat pretty reasonably.Overall, a very nice stay. Only reason I rate it 4 instead of 5 is that I save a 5 rating for hotels that really blow my mind with more facillities. But the K+K is a great place to stay, nothing fancy, but a bed, a bathroom, decent service, a good neighborhood, and free internet, at a decent price.	
Aug 9 2005	Staying in a neighborhood	The K and K Hotel George has a nice location in a quiet neighborhood which always felt safe. The rooms were clean and comfortable though small. The bathroom was modern and always had hot water and good pressure in the shower. The staff were concientious about cleaning and providing any needed services. The entire staff appears to be from former Soviet Block countries and while lovely and helpful with good English speaking skills do not know much about the city. The bed was very comfortable but the cot for our child was quite hard, she took to calling it &quot;the stone&quot;.The breakfast was lovely but quite expensive (12pounds per person which is currently about 20 dollars, 60 dollars for a family of three!). Several folks we met had expected it to be included in their room rate and it was not, make sure you double check this, I think it was either Expedia or Travelocity that said it was included and the hotel would not accomodate the folks with free breakfast because they said it was the fault of the travel website. I got a lot of groceries for breakfast and lunch at the Marks and Spencer food mart near the tube station. They had very nice baked goods and prepared salads and juice etc for reasonable (by London standards) prices.I would say the only downside was that we were there during the second bombing incident and were reluctant to use the tube, and the taxis from that area to the rest of the city are quite expensive. If you plan to use the tube the location is wonderfully convenient.	
Aug 8 2005	Really nice hotel and location	My husband, mother-in-law and I stayed in the K+K for four nights in one of their triple bedrooms. So let's get the complaints out of the way: perhaps the doubles are more spacious, but the three of us were pretty cramped in the triple. The double bed is well sized but the third bed is a little small so it won't do for anybody taller than 5' 6&quot;. My husband who's 6' 2&quot; found the showerhead to be low. Also, the glass door of the shower only went halfway so you inevitably get water on the floor. But that's about it. The hotel and our room &amp; bathroom were immaculate and tastefully decorated. The beds were comfortable and the linens and towels were clean and high-end. The air conditioning was very sufficient for our needs, but it wasn't really that hot while we were there. We had a laptop with us and the free wireless in the room was really sweet. It's a little patchy but hey, it's free wireless! Contrary to what some of the other posts said, the service was really nice and really helpful. The wake-up calls were on time (no clocks in the bedroom), they set up a taxi for us, and were very helpful about suggestions to restaurants in the area.The hotel offers buffet breakfast, but if it's not already included in your rate then it's really pricey at 12 GBP. Fortunately, the hotel is within easy walking distance of some really excellent and well priced restaurants (for London) on Earl's Court Road. For breakfast, there's Benji's a sort of British diner that serves a British breakfast of eggs/beans/toast for 3.30 GBP. A couple doors down is Benkito's that does really good coffee and also has an English breakfast for about 3.80 GBP. For dinner, Mazala Zone, an Indian restaurant, really rocks. Really authentic Indian food (much better than what you get in the States) in a nice atmosphere at really good prices.And of course, Earl's Court station on the Picadilly line is very convenient to the hotel and very convenient to get to from the airport (it serves Heathrow directly). The hotel is a little bit further out in West London so you can expect to ride the subway for 15-20 minutes to get places.All in all, a very pleasant experience. Aside from the room size, which is expected for London, a very highly recommended hotel.	
Aug 3 2005	Great hotel	Stayed at the K+K George Hotel in South Kensington June 17-29, 2005 on the recommendations of many Trip Advisor reviewers. We loved the hotel. It had undergone a complete refurbishing about a year earlier so the rooms and amenities were updated and new. The rooms are about what you would expect for London - smallish, but quite comfortable. The bathroom was spotless, well lit with all the amenities available, including hair dryer, a 5x magnifying mirror, towel warmer. In summary, clean and spotless. However, bring your own shampoo and conditioner if you ae fussy about what you use.The only room glitch appears to be the air conditioning - ours worked perfectly but we heard other rooms were not so lucky. However, management moved another couple once they were made aware of the problem. A major glitch during our stay was the elevator - one stopped and refused to move off from the second floor, so we decided to walk. However, it appeared to be fixed quickly and had no problems during the rest of our stay.Location wise, the hotel is very close to the Earls Court tube just inside zone 1 which is perfect for those with a weekly zone 1 pass. The neighbourhood was quiet; the inside garden was lovely. Close by there was a Starbucks for the regular morning caffeine fix although the hotel provided free tea and coffee in the lobby. While slightly inconvenient compared to hotels located closer to London, say in Leicester Square, the quality more than made up for the location. There is also a supermarket close by to Earls Court for groceries, like water, juices, fruits.The hotel provided free internet via a common computer in the lobby - it was quite busy but people were generally courteous about usage. For those in desparate need, there is a second computer in the business lounge downstairs which many people did not know about.Overall,I rate this hotel tops for the price we paid (we booked through Expedia which gave a good price for the quality). We highly recommend this hotel and would stay at it again in a flash.	
Jul 27 2005	Awesome!	My husband, myself and my 10 year old son stayed at the K&amp;K for 5 nights last month and we loved it! As so many reviews have noted, the location was perfect. Extremely close to everything needed....most especially the tube station, Earl's Court...close to everything, yet on a very quiet and safe little residential street that welcomes one back from a long day touring and the like. Our room was exceptionally clean, and bright. The beds were comfortable and longer than most I have experienced in Europe (we are a very tall family). The breakfast was a smash hit with all of us and the garden is perfect for afternoon tea or to enjoy while writting out post cards to folks back home.We will be back to this hotel on our next visit!!	
Jul 25 2005	Great hotel very modern awesome bar area	This is a great hotel in a nice area of London outside the city center. Very near the Earl's Court tube stop -- less than a two-minute walk. Takes maybe 20 minutes to get to the major attractions -- not bad at all. Maybe 40 minutes by tube from Heathrow.It is safe to walk all around the area and is not that far from Harrod's, Kensington, etc. (we walked a lot due to the bombings). Great pubs, takeaways, Starbucks, and restaurants are only one block away.The location is ideal -- it is set off a major road (Earl's Court Road) but you cannot hear a thing. I was impressed at the solitude it seemed to provide in one of the world's largest cities.The staff was helpful getting taxis and on checkout, etc. The bar staff was &quot;iffy&quot; -- one bartender (a very nice, young Polish woman whose name escapes me) was excellent and very nice to talk with. However, the man (foreign guy) who worked the bar while we were there was rude at times -- not overtly, but just short with us a time or two (for no reason that we could tell). We tipped well and were not loud so who knows what the deal was. Wasn't really bad enough for me to complain to the management though.The rooms are small (typical of London hotels) but the bedding is incredible. TV is good and there is free wireless access throughout the hotel and a free computer to use in the lobby. Free tea and coffee each morning + a nice buffet if that's your thing (although it's pricey and I suggest hitting one of the many groceries on the main road for pastries instead).Also, there is a nice, relaxing garden area where you can eat and drink. It's a good feature of the hotel.I would stay here again without any issues. Highly recommended.	
Jul 24 2005	Would recommend to friends	We were pleased with our selection of this hotel after reading the reviews on this site. It was a two minute walk to the Earl's Court tube station, the room was small, but clean and comfortable (air-conditioned), nice bathroom, quiet for the most part with the exception of a fire-alarm that went off twice during our 5 night stay there (once at 3:30 AM). The explanation at the front desk the next morning was that the fire alarm was set off by someone taking a very hot shower - this explanation was not followed by an apology, but was delivered in a defensive manner. There is a lovely garden in the back, and excellent internet access. Breakfast is 12 pounds per person, but there are quite a few restaurants in the nighborhood for a cheaper breakfast, including Starbuck's and McDonalds.	
Jul 22 2005	exceeded expectations!	We found a great rate 198 pounds for two rooms. I expected to deal with low water pressure and something funky. I was very pleased to find all the good things other reviewers have said.The great things were:showervery large and fresh buffet breakfastfree internet and printing access (2 computers)clean, clean, cleanquiet location but close to everythingvery nice duvets and beddingFYI We had both street and garden rooms, both were very quiet. Double rooms are much smaller than twin rooms. (two beds pushed together)Much of the staff were not from London and therefore would not know as much about London but are happy to give you maps etc..Earls Court will take you straight to Heathrow and we did so with three children. Very easy and about $50.00 less than taking a cab and faster.Holland Park, Notting Hill and Kensington are very close. West End is easy to get to. Earls Court and South Kensington are a bit hectic, so we generally steer clear of them for meals other than McDonalds.I have stayed at luxury hotels, rented homes, etc...in London, but with kids and the breakfast, this hotel is a great alternative.	
Jul 21 2005	Recommended	Nice hotel in a good location. Clean, good service and no surprises. The 12 pound breakfast is quite overpriced but several reasonably-priced restaurants are very close by. We would recommend Masala Zone if you like Indian food. Nando's down the street has bottomless pop (which we found to be a rarity in most of europe)!!! Earls Court tube station is an easy 5 minute walk. Note: the rack rate was nearly double what we paid through Travelocity.	
Jul 8 2005	Great Value	My family stayed here for 5 nights after reading the reviews about the hotel. We booked two rooms next to each other and received a great rate of 98 pounds per night. I would echo a recent posting in that the hotel itself is fabulous, with clean rooms, an excellent breakfast, a relaxing garden, and a nice little bar area to unwind after a day of sightseeing. The staff, though, is not up to that level. While they try to appear friendly, they are not very knowledgable about the area and more efficient than helpful. They did, however, give us a nice informal Tapas restaurant recommendation in the area that is perfect for families looking for a relatively inexpensive (for London) and tasty meal. The rooms were adequate in size and were pretty soundproof. We stayed on the first floor in a room overlooking the garden. Earls Court tube stop is convenient, although buses are a little harder to get to. It is convenient to walk to the Natural History and Science Museums as well as the V&amp;A, but there is not much around the hotel area itself. All in all a very nice hotel that is worth staying at to be able to spend your money on an extra show in the West End.	
Jul 7 2005	OK - Great for Price -	We stayed at the K &amp; K based on the reviews here so I wanted to contribute. We got a great rate thru Travelocity which did not include the breakfast. That was OK since we were usually off early to go somewhere and there are lots of places on Earls Court Rd to get coffee and something else.Here are the good points:- hotel is very contemporary and clean.- although room is very small, it was comfortable.- bathroom was very clean - shower excellent- location is very good - very close to tube stop which is still zone 1. (see other comment below)- room was very quiet - we were facing the back.Some areas for improvement:- staff can be a bit cold. If you are looking for real concierge services, this hotel will not meet your expectations. For example, they were very reluctant to call and make dinner reservations for us.- we found the bed to be very hard - pillows were great though- no clock in the room - wake up calls are iffy - sometimes they called and sometimes they didn't. So if you need to be somewhere (like back to the airport to catch your plane - Bring your own alarm clock.- although location is good, it is not in the center of things and sometimes, that woudl have been more helpful. There were days when we shlepped all day and had to go all the way back to Earls Court to change before dinner and then back out again to the theater, etc.Overall, this hotel was fine. We might stay there again but would probably prefer something a bit more upscale. But for the money, you can't beat it.Just realize that it is not a luxury property.	
Jun 30 2005	Highly Recommend	The K &amp; K George Hotel met, actually exceeded my expections. The rooms were very clean, and larger than I expected for London. The bathroom was great, about the same size as those in US hotels, and everything was very clean. My room rate included the buffet breakfast which was very nice. The hotel is German owned. Some of the staff were prehaps a little cold, but others were very professtional and helpful. My one complaint was that when we asked them to call us a taxi for the theater, they called a van service, and we ended up paying 50% more than the regular taxi we took back to the hotel. If you ask them to get a taxi for you, specify exactly what you want. The location is very pretty and close to a street with stores and casual restaurants. A cute restaurant, NANDO'S, is very close by and has great roast chicken, grilled corn, and would be good for children - check it out. The Earl's Court tube is very close. Plan to get a 3 or 6 day tube pass, you will save a lot of money.	
Jun 27 2005	Loved the hotel but not the staff	My family stayed at the K &amp; K George Hotel in London after reading the wonderful reviews on Tripadvisor. There were some slight problems with our booking through Travelocity, but they were fairly easily resolved. The hotel far exceeded my expectations for a London hotel. The room for 3 was a decent size, very modern with a nice size bathroom, and had all the amenities we needed. My feeling at the hotel was the problem. The entire hotel staff were German, almost exclusively, and many of the clients were German. I felt we were somewhat looked down upon from the staff. Maybe it is just the German demeanor, but I did not feel any warmth or genuine helpfulness from the staff as I did in the other cities we had travelled to for the past 2 weeks. My whole family, 5 of us, felt the same way. Obviously, from the reviews on this website, most people did not feel this. We definitely did. Also, I prefer to be closer to the Kensington area as opposed to Earl's Court.	
Jun 25 2005	Perfect Stay	We had a great stay at this hotel. The rooms are small but that is too be expected in Europe. I hear too many people comment ont he size of rooms... they are small but I would take it over a holiday inn any day. The location is perfect... on a small quiet street 2 blocks form the Earls Court tube station, close to chic Kennsington.We needed to hire a car to pick up my grandmother and the front desk took care off all the arrangememnts.I would stay there again	
Jun 23 2005	Very highly recommended!	Just returned from staying at the George for 3 nights, and would definitely stay here again.Location was perfect, as mentioned in other reviews- very close to Tube (Piccadilly Line is direct to Leicester Square and takes about 30 mins) and lots of restaurants and pubs around the corner aswell as convenience stores where we stocked up on snacks and bottled water - much needed in the extreme heat of the last few days!Our room was on the fourth floor, and was a good size, and light and airy. The air conditioning was excellent apart from one random night when it was roasting in the room, however that may have been down to our sunstroke rather than faulty air con! The room was spotless and modern, with a desk, table and chair, mini-bar and TV. The bathroom was small but again spotless, shower was good and there were plenty of towels and toiletries to use.Breakfast was lovely, buffet-style with anything you could possibly want for breakfast available! Also it was served until 11am which is quite late compared to other hotels I have stayed at in the past. Will definitely be looking this place up again next time I visit London!	
Jun 21 2005	Very happy with the K	We just returned from London last week, having stayed at the K&amp;K George. We were pleased with the room---not huge, but we did have a desk and our bed was quite comfortable. Our room was on the street side, but it was very quiet. Our ac worked just fine, but it was not hot at night while we were there. I had been warned to take washcloths, that London hotels don't supply them, but fresh towels and washcloths were provided daily. The staff was helpful and responsive. (Our hairdryer didn't work, so they went out and got another one and they were helpful about providing directions to places. They also replaced our feather pillows with hypo-allergenic ones as we requested.) The bathroom had great water pressure and temperature and good lighting. Nando's was a good place to eat nearby. There is a good little grocery story (Sainsbury's) one block over, great for water, munchies, etc. with reasonable prices. The tube station is just a few minutes walk away through a pleasant area, so that you can get anywhere you want to go. We would definitely stay there again.	
Jun 21 2005	Great Hotel Perfect Location!	Stayed at the Hotel George in early June. This was our second trip to London and it far exceeded our expectations. By London standards, room was good size (means a little on the small side but comfortable) with bathroom with shower/tub. Awesome buffet breakfast is available, including eggs, bacon, sausage, fruit, cereal, coffee, juice...Staff was friendly &amp; helpful, great garden in back, tube stop just around the corner...	
Jun 17 2005	Just as Expected. A very good hotel.	We have just returned from a 3 day stay at K+K Hotel George. We have read all the reviews on this site and agree that the hotel is a good value and would stay again. We truly enjoyed this hotel.I will sum our thoughs:-very convenient location if you want to use the tube as your main mode of transportation. Earl's Court is a good starting point to get anywhere in the city.-The street is truly quiet as mentioned on previous reviews. Earl's Court is quite busy, but as you walk toward the hotel, you notice the change.-The hotel lobby is bright, clean, and easily accessible. Desk service is efficent. We usually do not require much from the hotel staff, but the few things we did ask help with were handled wonderfully.-Computer with free internet access is readily accessible in the lobby and available whenever we needed it. There is another downstairs in the lounge. Very quiet.-The lift is indeed small, but sounds like all lifts in London are small. There are two and they are bright and clean. You may need separate lifts if you have more than one bag per person, but stairs are available as well.-We had a double room on the third floor next to the lift. We could sometimes hear the lift arrive, so if you are sensitive, may want to request other location. -our double room did not have a desk, but understand from other reviews that you may be able to request one with and have a bigger room. -room was clean, quiet, view of garden, small as I have heard all hotel rooms in London are. Bathroom shined it was so clean. Better than expected! Our strategy was to have one up at a time in the morning getting ready. Meant that we were not in each other's way in the small room and that I got to sleep a bit longer. Room temp was comfortable, and we didn't hear neighbors. The two individual duvets folded on the bed were odd to my experience and I did not get a chance to find out why they were like that. The shower was a treat. Hot and great pressure. -Breakfast was great as mentioned before. Good service. -If decor is an important part of your hotel experience, please look at the hotel photos. They are quite accurate as to the interior furnishings. It is very simple, bright and light in my opinion. The decor suited what we were looking for in this trip, but it is a matter of personal taste. -we did not spend much time in the hotel;we were out at 8 and back after 10, so the location not right next to the major sites was not an issue at all. -We did not spend any real time in Earl's Court, but other reviews mention good restaurants. We were in need of Chemist and other toiletries which were right next to the tube station.-if we wanted a truly &quot;British Hotel&quot; experience and the close proximity to the center of London, K+K would not be our choice, but our wallets would be a bit more empty. Our trip to London was wonderful and our hotel choice was great.	
Jun 14 2005	Service and value	The K + K Geoge Hotel was a great value, had nice amenities and as nice and helpful a staff as could be hoped for. The food was excellent and the garden a very pleasant place to relax. The tube stop and bus are most convenient and even though the hotel is not in the center of the tourist area, it is easy to get around from its location. If you don't mind some walking or riding the tube, it is a great place to stay. The A/C is not great but adequate if not too hot outside. PE	
Jun 13 2005	Good hotel for the price	Having read the reviews for the Hotel George over the past several months, I decided to book our 5 day stay here. As previously stated, the hotel is in a good location in Earl's Court and very convienent to the Earl's Court Underground. Our room was adequate for the 3 of us, the carpet a little worn and the beds not the most comfortable. The bathroom was clean and stocked with thick, large bath towels and facecloths and the usual shampoo/shower gel/soap. I didn't find the rooms noisy...maybe there was no one on either side of us at the time. My only complaint would be the room was hot at night and the fan didn't really cool it and with 3 of us and 5 pieces of luggage, there was no place to get it out of the way. The breakfast which was included in our cost was great...lots to eat and good selection of hot and cold items. We were out and about most of the day, so we generally ate dinner at restaurants nearby and 2 I would recommend (they were pricey...but I found London to be so anyway) would be the Masala Zone...great curries and decent portions (about 6 to 8 pounds per meal)...and Bistro Benito..(meals about 7 to 9 pounds)...a great Italian place within a block or two of the hotel (as is Masala Zone)....the portions here were large and very yummy! All in all, I would stay at the Hotel George again because of location, area and price.	
Jun 12 2005	Convenient 	The K+K is on a quiet side street in a neighborhood of boutique hotels and residences. Our rooms were tiny but the ceilings are high and we had huge, sunny windows overlooking the hotel's little park. The walls are thin -I could literally talk to my sister through the wall of our connecting rooms without using the telephone and without raising my voice - and yet I wasn't disturbed by noise either night of our 2-night stay. The elevators are the tiniest I've ever seen - not for claustrophobics - only 2 or 3 people can fit into them at a time. I took the stairs! The hotel is only 3 minutes from Earl's Court Underground station- very convenient - we made it back from Covent Garden after the theatre in 30 minutes flat. Family-run cafes and fast-food places are just a block away. The staff is courteous, but you shouldn't expect concierge-level service. We wanted help with theatre tickets and were told to go to Leicester Square and deal with it ourselves (which was a hot, crowded, 20-minute ride on the tube). We were satisfied with our stay.	
Jun 9 2005	Absolutely perfect!	This hotel is absolutely perfect! As previously mentioned, the hotel is perfectly located close to the tube. Once you arrive at the hotel, you will find the staff to be polite and of great assistance. The entrance is classy, which then leads on to a warm cosy bar. Despite rooms in London being generally small, my partner and I found the size to be quite reasonable, with all ammenties you would require in a hotel. The shower/bath is great! However, the best the hotel had to offer was the breakfast - a range of hot and cold food, extremely fresh and filling. The waiters are also extremely helpful. I would highly recommend this hotel!!!	
Jun 6 2005	Great location and friendly staff.	My wife and I just got back from two weeks in Europe, one of which was spent at the K + K Hotel George. Location was terrific. Yes, it was located right around the corner, literally, from the Earl's Court station (which let you go anywhere in London w/ the District and Circle Lines) but it was just 2 blocks away from a bustling, noisy street but Templeton was virtually silent most of the time. The Somerfield grocery store next to the McDonalds was a great find too. We stopped there everyday for bottled water and snack foods before and after we would head out for the day. Back to the hotel...the rooms were smaller than I remember European rooms being but they were clean and the A/C worked (thank goodness since it was 90degrees Farenheit!). The lobby/bar got a bit smokey at night but that was fine b/c we just walked out to the back gardens and enjoyed the cool breeze. The staff was very helpful, although not very warm. They booked cabs and got directions to restaurants that we had tagged to eat at during our stay. Also, for some reason, they could not reach our room for our wake-up calls in the morning. We could dial out but they could not reach us. So, every morning, a staff member would come by and knock on our door until we woke up. Very nice of them to do that. We were in room 201, had a well lit room with three big windows that opened up to Templeton.Aside from the Somerfields, we did not eat near the hotel, however, if you are looking for some recommendations, here they are:Darius - Persian food. Some of the best I ever had and inexpensive. Kind of a pain to get to by the Tube (Royal Oak) but not so bad if you don't mind walking a bit before and after your meal.Chutney Mary - Indian Food. Delicious and just two tube stops away (Fulham Broadway). It is about a 15 min. walk from the tube stop to the restaurant but it is worth it as well. BlueBird Cafe - Continental Cuisine. Very trendy and hip place near Chutney Mary. This is in Chelsea on King's Road. Lots of cool shops, restaurants, and bars. A bit pricey but excellent atmosphere and food. Beaufort House - 1/2 a block from BlueBird Cafe. Great place for drinks. Anyway, we did a lot while we were in London and were glad to have a safe place like the K + K to come back to each night. Will post some pics soon. Anyone planning a trip and looking for feedback, feel free to email me @ eujung@mindspring.com.	
May 24 2005	Only 1 negative...	Hubby and I stayed at Hotel George May 6-15. Fourth trip to London. Very happy with location. Flew into Heathrow and took Picadilly line(Blue Line) to Earl's Court. As this underground is very deep there are elevators to the surface...result...no stairs to deal with with your luggage between LHR and the front door of the hotel where you find 6 stairs. Very handy as long as you can rolly your bags through the airport and on cobblestones. Tube fare was 4 pds sterling per person. Hotel located 2 very short London blocks from Earl's Court. Just exit station turn left, take first left and then first right onto Templeton. Easy peasy. Many eating choices including Subway and McD's. Nando's chicken and Benkito's very good choices. You'll pass McD's on your way to the tube as is Starbucks, Nando's is right on the corner, Benkito's in right through the Mews(little alley/street) across from the hotel. Also several currency exchanges very close. Easy tube access on Picadilly and District Lines to everywhere. Tube Tip...many diff ticket types offered. If you're a tourist consider the Zone 1-2 unlimited 1 day pass. Very easy to use and much cheaper than buying as you go. Ladies, just don't let the magnet on your purse erase it! Only down side to hotel was thin walls...could here the neighbors talking, snoring, could hear their alarm clock etc. Otherwise, great choice. Mattresses could be better, but everything else clean, new, down duvet/pillows, etc. Free internet access in lobby and downstairs business center. Buffet breakfast great way to start the day...lots of choices, fruit to go, etc. Eating in the garden in nice weather very plesant option.Would stay there again...like it better than Royal Horseguards(Nov 2004) although that location can't be beat!	
May 22 2005	Loved the K+K! Great for kids!	We stayed at the K+K after reading great reviews here so thought we better share our feedback (especially after ready a couple of neutral recent reviews).My husband, 4 year old son and I stayed at the K+K last week for 3 nights and while slightly pricey (but not really for London), we were very pleased with what we got especially compared to London hotels from prior visits.Here's what we saw as the hotels key features:LOCATION! Earl's court subway handy for all lines. Also very handy to bank machines, convenience and grocery stores and it's on a nice quiet street.For Kids: For the fussy eaters, it's handy to have a McDonald's &amp; Burger King, and a great back garden for running some of their energy off. We also booked directly and got a rate of #115 for a triple room. (Children stay free but I couldn't manage to ensure a bed for my son without phoning the hotel. They were extremely polite and helpful on a short call I made to reserve and later extend our stay.)Breakfast: A great variety and was included in our room rate. Child-friendly and parent-friendly foods.Room: To me it was large by typical London standards. The bathroom was small but adequate and clean with a shower and bath and free shower gel, shampoo. (No flannels/face cloths so I did appreciate the tips to bring our own.) I'm allergic to feathers and they replaced them with allergenic pillows quite quickly.Free computer with Internet access in lobby: I managed to send some emails, check for information easily without having to bring my own computer.Overall, we couldn't have asked for anything more! Very pleased with our K+K experience and would recommend it to anyone looking for a nice hotel in London!	
