	overpriced/overrated	We booked a theatre package which recommended this ( 4 Star hotel !) My sisters &amp; myself were looking forward to a relaxing birthday celebration.The first thing was one of our rooms was still not ready at 4pm then we discovered one was considerably smaller &amp; very dark we asked for another room but were told there were no more to be had. we could not get a seat or meal in the hotel on Saturday as there are no facilities for paying guests over the general public the only thing we were told to do was order room service ! considering the overpriced rate of this hotel we wondered what facilities we were paying for. Breakfast was good but we were kept waiting for a table each morning &amp; the dinning room was very cold, on complaining we were ignored..staff we very abrupt and rude On our last day we tried to get a meal before leaving only to be told they had run out of food &amp; the kitchen was closed ! we have travelled &amp; lived abroad for several years &amp; I can honestly say this is the most dismissive disorganised overpriced hotel we have had the misfortune to stay in . because they have a captive audience due to location (which is very good),pride in a job well done along with standards &amp; quality are sadly lacking (watch out for the same standard reply from the hotel)	
Apr 4 2007 	Great location so-so hotel	This was my second stay at the hotel. The location can hardly be bettered and this makes up for a lot. Staff are friendly and helpful. The rooms are small but have the necessary stuff; cleanliness isn't bad for London. The bed was awful, the mattress was worn out and the frame sticks out beyond the mattress- in a smallish room we found it clumsy and kept banging legs on it. Smell of damp in room, heating hard to control. Windows opposite require curtains to be closed for privacy. Room service was uninspiring and expensive. Pricing at London average, i.e. expensive compared to just about everywhere else. Just see it as a place to sleep when doing the West End and it's not a bad choice.	
Mar 29 2007 	Good location but the rooms aren't great	I stayed in this hotel for a week in Feb 07 and found my room very mediocre. The double room I had was very small - think shoebox, the air com did not work and I had to step over the toilet to get into the bath, where the shower was.The room was a single at best - definately not a double.	
Mar 6 2007 	Fab great stay	we booked into this hotel as a one night treat to see the sights of London.*perfectly situated*Really nice/helpful staffWe were a family of 4 and had a room with a king size bed (though it was much larger than the king size bed we have at home!) a sofa bed and a cot. The room was WELL equipped and the bed linen crisp and spotless. The room service was excellent, as were all the staff we had contact with....they could not do enough for us.....I was quite surprised as we had children and you don't expect to be treated so well. we had a fantastic stay. Would go back, for sure.	
Feb 21 2007 	Mountbatten	This is an incredible location. If you've come to London for theater this is the place to stay. It is literally right at Seven Dials. You can walk just about anywhere from here.The hotel itself is a very good 4 star hotel. Yes, the rooms are tiny - even the &quot;deluxe&quot; ones. But the rooms are nicely done and the bathroom is also small but very nice. The staff was outstanding. They were extremely helpful and courteous. Stay out of the bar, though. Drinks are very expensive and the service sucks.All in all - the Mountbatten is a terrific place to stay for London theater goers.	
Jan 8 2007 	Great Location	We stayed here on a Friday night, as we had lunch booked in Mayfair the next day.The location of the hotel certainly can't be faulted. If you're looking to visit a theatre, go shopping or just experience some of the nicer bits of the West End then this is an excellent place to stay.For our visit the reception staff were polite, efficient and friendly and so was the concierge desk. We had a standard room and it was fairly small, but this is to be expected in London in this age of building. The decor was smart and everywhere was clean and well presented.The bar/dining area was clearly a place that non-residents used and the views of Seven Dials are superb.For the &lt;£100 we paid this certainly represented good value. No need to pay for breakfast either - there are plenty of other places nearby.	
Jan 6 2007 	Good hotel in excellent location	Have just returned from a great 2 night stay in London. Everything about the hotel was good. Very clean rooms, friendly staff, good breakfast. Will be coming back soon. Have stayed here several times in the past and its always been good value for London. Cannot understand why so many other reviewers were disappointed.	
Jan 5 2007 	Location Location Location	I agree, the location of this hotel is it's greatest asset. We've stayed there a number of times now and this last visit was much less satisfactory than previous stays. The room we had was tiny and really claustrophobic and we had problems with the shower but the concierge arranged for it to be fixed immediately. We've had bigger rooms for the same price so not sure what happened this time. The bar is extortionately priced and the service is awful. Expect to wait for your drink. For the prices being charged you don't expect your order to be considered an inconvenience to the bar staff. Having said all of this the hotel is worth staying in for the location alone - it's so central.	
Jan 2 2007 	Great location but otherwise pretty average	This hotel is in a great location, being less than 5 minutes from Covent Garden and 10 minutes to Picadilly Circus. It has an attractive entrance and reception area.Despite the glossy look though I wouldn't give it any more than a luke warm review. Rooms are tiny, smaller even than you would expect in London and it is the high end of prices. Breakfast is not included and the cost is ridiculous, particularly when you can walk to a whole range of excellent small cafes within 5 minutes or less and have a great breakfast for half the price.Staff are professional and polite, although we felt lacked any real warmth. You certainly wouldn't feel at home in this hotel.The bar is a nice place to watch London life go by, but drinks are as expensive as you would expect in a hotel in this location and service again is a little inpersonal - again, best to go out and find a good atmospheric bar in my view.If I were you I would book into a small more personal hotel.	
Jan 1 2007 	fantastic	this was a very last minute decision to stay in central London on new year's eve and I was expecting the normal irritations - problem with booking, unfriendly staff, tiny room, noisy etc. Am delighted to say I experienced NONE of this at the Radisson Edwardian! I arrived late afternoon and the reception/check in staff were friendly and efficient. My room was lovely - a big single bed by anyone's standards, a furry comforter which was very comforting, good size clean bathroom and huge heavy drapes which helped to shut out the city noise and the wind/rain. After an hour or so of checking in I got a call from reception to ask me if everything was OK and did I need anything - I thought that was particularly impressive especially as they looked busy on new year's eve. I checked out equally quickly and I have to say I'll be recommending this hotel to everyone. Thank you for a lovely stay.	
Dec 31 2006 	Not bad for central London	Don't be put off by some of the poor reviews, this hotel isn't that bad and has one of the best locations in covent garden. We stayed from 29th-31st December, double room on the 3rd floor. The rooms are small but when staying in central London you have to ask yourself how long you intend to stay in your hotel room!. The hotel is right in the middle of the theatre district with most shows within 10minutes walk we saw Mary Poppins (5 mins walk) and The Lion King (10 mins walk), coupled with being only 5 minutes from the tube stations at either covent garden or leicester square you can't go wrong if you want a decent hotel in a great location.Providing you don't pay full price the hotel is excellent value, shop around on the internet and you should be able to get a room B&amp;B for between £105 and £125 per night.	
Dec 23 2006 	Don't bother	The one thing that the hotel can do nothing about is its only strength - its locationWe booked at the last minute and booked an upgraded room. When we checked in (at the second attempt - when we first turned up they did not have our booking), the room was little more than a converted cupboard - we could not even lay our small cases on the floor. The ceiling was low and the aircon/heating oppresively loud. The &quot;curtain&quot; harldy kept out any light.When we pointed out the mistake, reception thought of a thousand excuses not to sort it out (maybe we could move to another Radisson, for example, but not just yet their computers were down and woudl take hours ot fix!).London is a huge tourist city, and that is why this place survives, it does not care that people will not return, as Heathrow will provide it with a constant source of new punters.Avoid	
Nov 23 2006 	Disaster	Stayed overnight in this hotel mid week. Excellent central location although offered a twin room when paid for a deluxe. Was up on the 7th floor and was annoyed all night by the noise of a large generator. Ear plugs are a must!The breakfast offered was excellent and there is a nice bar within the hotel (although vodka is overpriced and over-iced).	
Nov 21 2006	Beware of Overcharging!!!	I am a frequent traveller and have stayed in the Mountbatten many times due to its excellent location. What I dont like is the constant attempt to overcharge. I recently stayed in a Standard Room and paid the amount that is normally charged for a Suite or a Deluxe Room. Please make sure that you are getting the room and the value you are paying for.	
Nov 13 2006 	Liked it a lot	Selected this particular hotel because of its location. Situated 5 Mins walk from Leicester Sq its an ideal base for seeing the sights and theatreland. The rooms are quite small yet well appointed and very clean, many thanks to Fatima for our room service. Check in and out was swift, and all staff were very polite and pleasantwell worth a visit	
Oct 12 2006	honeymoon sight seeing	An excellent base for sight seeing everywhere theatres etc. within a short walk. Staff were friendly beyond the call of duty. Would certainly stay again. Highly recommended	
Sep 23 2006 	Had a Great Time!	I spent a long weekend in London over the Labor Day weekend wiih my sister giving her some brotherly support (breakup, tears, etc., etc.) and wanted to find a place near Covent Garden &amp; SoHo; I correctly thought that a lively 'hood might cheer her up. Boy, did I choose correctly! The Mountbatten is in the PERFECT neighborhood (Seven Dials) for shopping, theater, music, dance, museums, restaurants....so near Covent Garden, Leicester Square and the afore-mentioned SoHo that we hardly used the Underground or taxis. The neighborhood itself is charming and funky, and reminded me somewhat of my own neighborhood of Chelsea in NYC. My room was comfortable (the bed was great, the bath was clean and served its purpose) and while on the small side, as another reviewer pointed out, one doesn't spend all that much time in one's room during a trip to London, so the fact that it wasn't cavernous was not a problem with me. It was immaculate, housekeeping cleaned the room everyday (including Sunday, which surprised me,) the newspapers placed outside the door everyday were greatly appreciated (you'd be surprised how many establishments do not bother with this amenity nowadays) and at an average of $290.00 per night for central London, I was very pleased.I did not eat in the hotel's restaurant, but did have drinks in the lobby bar, and the staff were attentive, pleasant and friendly, as were the concierge and front-desk personnel.Unless there had been major changes subsequent to the recent negative reviewers' stays, I really can't understand why they had such unpleasant experiences. My stay was great, and I'd definately return.	
Sep 5 2006 	We'd Stay Again - Brilliant Location	We booked this on londontown.com it was a secret hotel booking, I must admit when the name was confirmed I was worried given the amount of poor reviews in here but I needn't have worried. Great Location, clean &amp; modern, yes rooms &amp; bathrooms are small to be expected in central london &amp; in London your out most of the time anyway. (de-luxe rooms may be bigger but for the extra expense is it worth it!)We paid £95 a night Tax included which given london hotel prices is great, you could pay the same for a crappy 2 star. ?Having said that I wouldn't pay £200 a night for it.We also did a pre check in on-line on the raddison website which was great we requested an early check-in, a room on a higher floor and a quiet room and all needs were met, our room keys were ready on arrival and it took 2 mins to complete check in. Breakfast not included was £18 obviously we didn't have the breakfast! There's tons of nice places locally in Soho, Govent Garden etc and its far more enjoyable to get out of the hotel to breakfast, we had lovely food for £15 in total for 2.In summary don't pay full wack for it, book on-line deals, eat out for breakfast and you can't go too far wrong with this hotel.	
Jul 13 2006	loved the hotel	location is absolutely great u cant beat it.We stayed at this hotel me and the wife for our anniversary and within minutes of our arrival a bottle of wine was sent to the room compliments of the hotel (nice touch). The room was lovely albeit small but hey it was comfortable.Concierge were very helpful.breakfast was good unfortunately we were busy eating out did not sample the dinner.	
Jul 7 2006	Superb Location...Falls Short on Service	This was the second time we stayed at the Radisson Edwardian Mountbatten Hotel. In June 2005, we had a small, but well-appointed room on an upper floor. Sadly, the air conditioning could not keep up with the heat wave and we sweltered all night. Despite this failing, and the $70 breakfast, we returned to give the hotel a second chance. This was based on the fabulous location of the hotel - right in the heart of Covent Garden and within walking distance of 2 tube stops and the theatre district. This June we spent another 4 nights at the hotel. Our request for a room on an upper floor was met, once again. The room was a bit larger, but similar in size to a hotel room in NYC -- small, but efficient space utilization and decorated in a minimalist style. The bathroom was lovely -- strong shower, heated towel bar, a small but efficient layout. Where were the wash cloths? What about the toilet paper? Each afternoon when we returned from sightseeing we had to make a call to the front desk. Each night our requests were met efficiently. However, this became a bit of a joke, i.e. &quot;what will be missing tonight?&quot; -- and somewhat of a nuisance. It appears that there isn't any quality control in the housekeeping department. The amenities in the bathroom were not replenished when needed. Also, we noticed that the concierge was not always on duty and there wasn't a doorman - no one to welcome us. A few times we wanted suggestions for restaurants (last year we had an excellent concierge who provided fabulous suggestions) and no one was at the desk. Was the concierge doubling as the doorman and was he down the block hailing taxi's? One only knows... The hotel seemed to have slipped in this regard.Yes, we would return, due to the great location. We walked to most of our destinations and took the tube several times. There is an excellent coffee shop across the street - the Monmouth Coffee Shop - which is the best cappucino and latte we've ever had. Also, we would check out the Covent Garden Hotel which is next door. Although the &quot;rack rate&quot; is high, we've heard from other travelers that they offer deals, bringing the price in line with the the Radisson Edwardian Mountbatten.	
May 31 2006	Would not recommend this hotel	Me and my husband visited the Mountbatten Hotel for our aniversary in May this year. I am not a big complainer but when I pay £200.00 for a room for 1 night I at least expect it to be clean. There were stains on the carpets, it smelt strongly of cigarettes in fact the whole hotel did. The throws and cushions on the beds had stains on and smelt like they had not been washed in months. We called reception and after some time we were put into another suite. This was just as bad. Cold and smelt and the bathroom bin everytime you opened it it smelt of cigarettes. We did not complain again and just wished we had left that night and saved ourselves some money. We left the hotel first thing on Sunday morning. I would not recommend this hotel. Maybe for location but definelty not for being clean.	
Apr 29 2006 	Great location not so great hotel	I stayed at the Radisson over a long weekend in April while doing some sightseeing in London. On the plus side, you can't beat the location -- minutes from Covent Garden, Leicester Square, and all of the West End theaters.Unfortunately, that's where the positives end. I've visited London many times and I can honestly say that the Radisson had the smallest rooms I'd ever seen. I literally could not leave my suitcase open and have room to move. The room was dark, with one small window overlooking a concrete courtyard. The shower dripped constantly. And the bathroom was tiny. Housekeeping only cleaned my room two of the four days I was there. The hotel room doors automatically slam if you let them close on their own, so I was awakened at 7:30 by the constantly slamming doors each morning.I don't consider myself a critical person when it comes to travel and certainly am aware that hotel standards are different around the world. But there are so many other wonderful hotels in London that I would never recommend this one to anyone. Do yourself a favor and stay somewhere else. This one was very disappointing.	
Apr 19 2006	it's a goodie	This is a very good quality hotel in a top location. It is walking distance for Covent Garden, Soho, Leicester Square, Trafalgar Square, St James's Park, the Strand, etc. The Ivy is 2 minutes round the corner. There's a reliable French restaurant over the road. Monmouth Street is quiet, there are good quality shops and cafes on your doorstep. There seem to be some good discounted prices available for the hotel. It's a goodie.I stayed in March for 3 nights, thoroughly enjoyed my visit, and (with a choice of any London hotel) have just booked a return visit. I have tried most of the premium hotels in this corner of London. This one is more relaxing and straightforward than St Martin's Lane Hotel or the Howard Hotel, and easier to get into and less expensive than the Covent Garden Hotel (which is super, but becoming a bit too well known). The hotel restaurant does a strong breakfast (not included) - I did fruit and croissants one day and haddock and poached eggs freshly prepared the next. It also doubles as well-to-do but-with-it wine bar.The road was still up in Monmouth Street when I stayed, but I didn't see any mice!	
Mar 7 2006 	A very good experience for London	I was a bit sceptical after some less than wonderful experiences at other Radisson Edwardian offerings in London, but chose it on the recommendation of a colleague at work. The staff were universally very good and attentive. The room on the 3rd floor was of an excellent size for London, well decorated and spotlessly clean. The air conditioning and heating actually responded to the controls and was not over noisy. Breakfast good. The area is superb with lots of choice for places to eat and very central. Would be my first choice for the money in the area.	
Feb 4 2006	Great location - They try very hard - but...	We stayed in late-January for a long weekend. This was our second visit to the hotel as we really like the location. However.... The first room - a deluxe - on the 6th floor was very close to the roof mounted AC system - we had Concord on our head for a night! Then we were moved to a Suite - OK BUT. The window in the bedroom did not fit - it was very cold outside and it was getting inside - amazing what can be done with a towel!!! This still didn't cure the poor heating system - additional electric heaters were supplied - unfortunately this only brought out the smell of the fresh paint!!! Just can't seem to win.But all in all - the staff did as much as they could - it's a shame that the top management don't spend time in the rooms then maybe they would give their staff the tools to do the job right. Overall verdict Good location, fantastic staff attitude, rather pricy, will we go back ? We'll see.	
Jan 30 2006	The mice really keep your room warmer!	The Radisson Covent Garden has location going for it. Since my partner can only walk short distances, Covent Garden was a perfect place, and this hotel is in the middle of it all.The rooms look exactly like the pictures on-line. When you see them in person they are much smaller and look tired. The bed is on a platform (remember dorm living?) about 1 ft from the floor. We paid almost $300 US per night for 4 nights the week leading up to Christmas. The first night we spotted a mouse charging about the room, so we called the manager who put us in another room, then finally a nicer suite (after 2 members of staff chased Mickey all over the room ;) We met other American families whose rooms had been moved for mice as well. They say the mice infusion is since Monmouth was repaired (as youll read in other reviews)makes sense to me. The general feel was quite old and tired, and the included breakfast was ok- if you don't mind English tranditional oils based hot breakfast. Despite all this, the room was comfortable, we were in the BEST location and the concierge is one of the best in town. Having said all of that I won't be staying again. Value for $ was not there for me.	
Jan 30 2006	Nice Hotel	My boyfriend and I arrived on a Friday morning and were checked in immediately by the frosty receptionist. The room she had assigned us was the same size as an average dogbox. The room was so small and dark I think I would have died if I had to stay there all weekend. I requested a different room but I made sure I asked the other receptionist who was really nice. She brought us to a much bigger room, over twice the size and it had really nice views and big en-suite. Hotel was nicely decorated, but the lift was unbelievably slow and was extrememly small (max 2people). The frosty receptionist also tried to get us to go to 'The Ivy' for dinner on Saturday night. This is the most expensive place for dinner in London although lunch prices are not too bad and I was disappointed that she did not show more initiative to direct us elsewhere, saying that it was the only place she knew of. Hotel bar was quite good, really busy and great atmosphere. Otherwise hotel was in a really central location- 5mins to Leicester Sq/ Covent Garden/ Chinatown and 10 mins to Piccadilly Circus. I would probably not stay here again, hotel was unmemorable and staff average.	
Jan 15 2006	Nice city centre hotel with excellent location	Stayed for 2 nights for theatre/shopping/nightlife break. This was perfectly located for all of the above. Quite classy, gorgeous breakfast although it did get busy with a short wait on Saturday morning. Nice trendy bar (bit pricey but not for what it was) with trade from the street. The noise from the corridors was a bit much at times as the rooms were not brilliantly insulated but not a major problem. Nice black out curtains allowing a good lie in!!!Would definitely stay again due to the location and cleanliness.	
Sep 20 2005	Nice but expensive	We stayed at the Radisson Mountbatten Hotel in August, 2005. We originally had reservations with friends at the Radisson Vanderbilt hotel but just as our friends were about to receive their room key, the staff realized we were together so they ushered us into a seating area to tell us there were no rooms available. They proceeded to lie about construction and remodeling going on, so they had to transfer us to another hotel. Even though our friends made their reservations months ago, and we just made our reservations the day before, they said they did not have rooms available. As they quickly escorted us out to cabs, I asked to speak to the manager. The two desks clerks just looked at me blankly, and mumbled there wasn’t a manager. The original desk clerk came back in and I explained to him that I knew they lied and there wasn’t any remodeling or construction going on, And because of a sign posted in the lobby, my best guess was they gave our rooms away to a Tour Group. The clerk did not deny lying, but assured me the other hotel staff would accommodate us for our inconvenience. Honestly, it felt like we were being discriminated against because we didn’t look like upper-class royalty. Though they said they were upgrading our hotel, they did not. We were taken to the Radisson Berkshire, and dropped off in some alley with graffiti on the walls. This was NO upgrade. After much discussion with this staff, we were moved the Radisson Mountbatten.This hotel turned out to be very, very nice. However, the lobby was ugly with terribly worn out couches, and road construction out front. The rooms were super small, but they were beautifully decorated. Even the bathroom was elegant with floor to ceiling marble. There were even TV speakers in the bathroom. The shower set up was rather funky as it was designed to get water all over the floor—it was just a half shower door. The lovely, big, soft towels were super nice but a shame to clean up the floor with.The location was excellent in our opinion. Just a short walk to Trafalgar Square. There were plenty of restaurants, pubs, cafes in close proximity. It felt like we were out of the hustle and bustle of nosey city life. I doubt that we would stay here again given that we had such a bad experience with the other Radisson staff, and the fact that it is a REALLY expensive hotel. The breakfast alone was £30 ($60 US).	
Aug 24 2005	Loved this hotel!!	Just a quick review. We loved this hotel. It is in a perfect location - in the center of Covent Garden, Seven Dials. Our room was updated to a suite when we arrived (nice surprise) - bed was excellent. All you need - lots of hot water with good shower pressure...clean...pretty...comfortable. Breakfast was included in our stay - delicious! Be sure to check out the different packages and prices.Would stay here again. Lovely.	
Aug 24 2005 	Great location and not much else	The one good thing about this hotel is the location; lots of what you'll want to be near as a tourist in Central London is within a 10-15 minute walk. Other than that, the hotel left lots to be desired, especially if you're on business.I was assigned a tiny, tiny room; enough space for a bed, and a wall table and chair. I had gone to London for a business meeting, but given that it was a long weekend in the U.S., I stayed an extra day to enjoy my favorite city in the world. Unfortunately, I caught a foot infection on the next to last day and was confined to my room for most of the afternoon and all night. The tv offerings were slim--5 or 6 British channels, 5 or 6 foreign channels and not much else. The &quot;business center&quot; consists of a computer in the lobby which anyone can access. (In other words, wait for 20 minutes while the 15 year old on vacation w/mum plays with this e-mail.) The bed, though, was very comfortable.The Mountbatten is acceptable; it won't kill you to stay there, but there are better London hotels at this level and price range.	
Aug 23 2005	A good hotel but...	We stayed at this hotel at the beginning of August, in a superior upgrade room, and on the whole, it was good value. The hotel is very close to Covent Garden and its many shops, so there were lots of places to eat out and shop, though at night, young people seemed to congregate around Seven Dials roundabout in large groups. The rooms were very clean and the decor was pleasant - though the fake fur beadspreads were a little strange. No bath mat was available though, for my disabled mother, who found the bath area a little too slippy. We found service in the restaurant to be prompt and the breakfast was generally tasty, although a small niggle was the preference of the chef for serving cold hard boiled eggs. The major problem with the hotel was the fact that the whole of the street outside the hotel, Monmouth Street, was dug up for the laying of a new water main, so taxis found access difficult. We ended up carrying our luggage to the next street, and due to the one way system, taxi fares were higher since they could not go down Monmouth Street from Shaftesbury Avenue.A good hotel, but.....	
Aug 5 2005	Excellent Value for London	While admittedly not a fan of the Radisson chain of hotels - all my previous Radisson experiences have been disappointing - I have to say that my recent experience at the Mountbatten was a pleasant surprise.My business trip to London was only a few days and I needed to be within walking distance of an office in the Covent Garden area. The Mountbatten is very centrally located at Seven Dials which is within walking distance of all the major sites; Soho, Picadilly Circus, Leicester Square, Regent Street.Also there are numerous pubs and nice restaurants near the hotel.After reading the reviews on Trip Advisor, I booked a &quot;business&quot; room at the Mountbatten. The business room was slightly larger and included a King Size bed, sofa, coffee table, and desk. The tv was smallish for the size of the room. I paid a rate of 145 pounds per night including breakfast. The room size was bigger than average for London. The bathroom was quite nice although a rather strange shower set up in the tub - no curtain - just a glass half-screen which meant a rather messy experience when showering with water spraying everywhere.The hotel breakfast served a buffet English breakfast. The food was good and the service for coffee and toast was very efficient and nice. My only complaints about this hotel are regarding the fitness center and the lifts. The fitness center consists of 2 rather aging treadmills, a set of ancient free weights and 1 other cardio machine. The center is tucked away in the basement and is secured through a passcode - remember to ask for the code before venturing to the basement. Also the treadmills would stop after 15 minutes of running. There are 2 lifts in the hotel. During my stay 1 lift or the other was out of service the entire time. In the morning it was better to walk down the stairs.Overall, I'd recommend the Mountbatten as an excellent value, clean room, good food and very central location.	
Aug 5 2005	Great location shame about the room!	Just back from two nights at the Mountbatten, booked as a Mystery Hotel on lastminute.com. Was disappointed when my booking confirmation told me it was a Radisson hotel as Id read such mediocre reviews. On arrival my disappointment was affirmed as we were given a box of a room with a view across a narrow street to an office block. Furthermore we then had to ask for the bed sheets to be changed as they were ripped and also had enormous difficulty opening and closing the plug in the sink as it was constantly jammed. A very helpful chambermaid supplied us with a pencil which was the perfect tool for the task! Just little niggly complaints but enough to taint our stay. Otherwise the hotel was satisfactory at around £100 per night. Didnt pay extra for the breakfast as ate a great fry up in nearby cafe for £3.50. Im sure the inhouse breakfast was considerably more expensive. All in all nothing special, but a great location close to Covent Garden made it acceptable.	
Jul 22 2005	If it is not OK you still have to pay	I have stayed at the Radisson Mountbatten for a couple of times in recent years, and at different room levels and seasons with a mixed bag of experiences:Rooms: Standard rooms are generally too small for comfort. Couples should go for a business class room or a suite to get more space. Some suites are located in the corner of the building and offer a nice view of Seven Dials. A bigger room may be complimentary or obtained against an upgrade fee.Breakfast: After four years, the hotel is still struggling to implement a proper procedure to record the hotel guest’s room number at breakfast. This means you may be asked the same tedious question about what room you are in several times during breakfast. Similarly, different members of staff may ask you the same question about whether you want English breakfast. At first, this appears polite and friendly, but on inspection it becomes tedious and unprofessional.Concierge: Always very helpful and friendly.Room service: Generally delivers quality food within reasonable time. However, a room service order that went completely astray during a recent visit and the hotel’s unwillingness to offer a full refund (although Radisson claims if it is not OK, you should not pay) convinced me to stay somewhere else at my next visit to London.	
Jul 10 2005 	A Class Act	We spent two stays of two days apiece on two consecutive weeks in the Radisson Seven Dials in July 2005, and found it to be as nailed-on a good hotel experience as you'll get in London.Both times we booked a Deluxe room. The first stay we had a room on the second floor, which was well-appointed and equipped, and certainly comparable to our expectations of a 4* hotel in size and facilities. Nice touches included very comfortable robes, mood lighting and a speaker in the modern, marble-clad bathroom.The second stay we were upgraded to a junior suite on the sixth floor, which, aside from the extra space (a lounge area with sofa and table) was comparable in 'luxury'. Both rooms were quiet and free of traffic noise, although neither had a 'tourist' view - it was street and buildings all the way.One key and welcome aspect was wireless internet in all rooms, which worked 100% of the time, at great speeds, and totally free. This meant we could plan our travel around the capital at our leisure without mountains of books and guides.Breakfast in the Dial restaurant was excellent by usual standards - with choice for all major Western visitors - be it English breakfast, meats and cheeses, fruits, pastries or even pancakes and maple syrup! The staff were attentive and polite throughout, and the lengths gone by the concierge to hail taxis and arrange transport even south of the river was welcome.The location of the hotel really cannot be bettered. Seven Dials is a wonderful spot, with Soho literally two minutes walk away, Covent Garden the same, and the shopping paradise of Neal Street and Longacre surrounding the hotel. The Covent Garden tube is likewise right next to the hotel, but even walking, Oxford Circus shopping is only twenty minutes away.I can highly recommend the Radisson Mountbatten. Considering you pay a premium price for accommodation there, it delivers on all accounts and in no way do i feel that we paid for anything more than we got. Value for money is not often associated with the upper end of London hotels, but we felt that we got great value from the Radisson.	
May 20 2005	Stellar Experience at the Mountbatten	Just returned from a five night stay at the Mountbatten. I cannot say enough good things about the experience at this hotel. The reviews I have read here were rather mixed, but our experience was spot on stellar. The staff was young, but highly professional, quite personable, promptly attentive without being intrusive, and very knowledgeable. The concierge and Albert, the head of housekeeping, personally went above and beyond to assist me on several occasions. The facilities were spotless and elegant. There was free internet access at a desk at one end of the lobby, quite convenient for quick email checks and looking up tourist info. Breakfast was included with our room. The hotel's Dial restaurant offered an excellent breakfast buffet with fresh fruit, cheeses and two kinds of smoked salmon (!), assorted breads and other items, and the full English, or parts of it, made to order. We didn't eat other meals there, so I can't opine on lunch or dinner. The Dial restaurant is surrounded by picture windows allowing views of busy Seven Dials. Great people watching. There is the very popular Dial bar at one end of the restaurant, quite trendy and absolutely buzzing with activity in the evenings. The decor is quite unfussy, clean-lined, and comfortably chic. I'd call it contemporary infused with traditional elements. We had a suite (!) on the seventh floor, which I can highly recommend. Our suite had a king platform bed with an oversized leather headboard. There was a nice sitting area with love seat and two leather chairs, glass cocktail and end tables, TV and Bose Radio/CD player. In one corner was a built in desk (with power strip for converting plug in devices) which we used as a bar. There was a long walk in closet with full length mirror, safe, mini fridge, built in wood shelving, and plenty of room for hanging clothes along one whole long side of the closet. Lovely thick robes hang in the closet, and slippers are also provided there. Linens are luxury, towels quite thick and very nice. The bath was Italian marble and chrome, with a double trough sink, and a nice long deep tub with a hand held shower wand (quite nice for shampooing in the bath). There was a separate shower with steam feature, and a heated towel rack. Two windows, one in the bathroom, could be opened a couple of inches. The view was of buildings and rooftops.I really can't comment on other room types, as I did not see them. The Mountbatten is near Leichester Square, Trafalgar Square and Soho, as well as Covent Garden. There is more to do within a ten to fifteen minute walk in any direction than can be done on the typical vacation. In Covent Garden alone, there are theatres, museums, restaurants, Covent Garden Market area with abundant shopping and street performers, the Opera House, the Transport Museum, etc., etc. For example, on our last night in London, we went to see The Producers and dined afterwards at Maggiore's, both easily walkable from the hotel. And of course, the Covent Garden tube station makes getting anywhere in Central London a snap.The location is unbeatable, the service superb, the facilities and decor top notch. What's not to love?	
Jan 25 2005 	The price exceeds the quality	In order to find a new place to stay in London (as the wonderful West Street hotel is closing down), I checked the standard douple room at this hotel. The room was plain and very, very small (but the bathroom was nice), and not in accordance with the lobby, and even less with the very high prices of this hotel. I would not put my money in this hotel.	
Jan 23 2005	Spectacularly Average!	Found this Hotel on line. Looked really really good and had some really impressive reviews. So I booked it for my weekend in London. The staff were efficient on check-in ... certainly not overtly friendly. But the room was a real disappointment ... a far cry from the pictures on the website. It was really a single room with a double bed and really very cramped. Luckily the weather was dry and we were not staying in very much over the weekend. Finally on check out, the same impersonal efficiency was in evidence with no one asking how we had found the hotel. For all the money we spent, it was spectacularly average!	
Jan 15 2005	unbeatable location excellent staff		
Nov 30 2004 	Busy location secure stylish hotel - shame about the bug		
Oct 4 2004	Great staff 		
Aug 31 2004	A Very Pleasant Surprise		
Jun 17 2004	Good location nice room a little pricey		
May 2 2004	Great Location Good Little Hotel		
Apr 29 2004	Thoroughly 'nice' and 'ok'		
Mar 15 2004	Great Hotel with a great location		
Jan 21 2004	Needs some improvement		
May 3 2003	A very good experience all around		
Nov 16 2009 	Lage perfekt sonst aber gar nix...		
Aug 21 2009 	Très bon hôtel Radisson au coeur de Londres (Covent Garden / Soho)		
Jul 30 2009 	Parfait!		
Jul 17 2009 	Satisfaite		
Jun 13 2009 	??????????????????????		
Dec 11 2008 	Ubicación inmejorable relación calidad precio mejorable.		
Aug 25 2008 	Perfekte Lage		
Nov 17 2007 	Super city Hotel		
