	Clean and well located	London is an expensive city, especially when it comes to hotels / accomodation. I was looking for something very simple, quiet , clean and affordable where to spend a week in London.That's what Windor House is.For £38 / 40.00 a day I got a very clean room with shower (not en-suite) and a simple breakfast (enough to start a day).Ok, no TV, no telephone, no internet, but if there was a tv set, for example, I would spend my nights seeing tv, &quot;ruinning&quot; the day after !So, it is not a place to stay during the day but a quite and clean place where to keep your things and sleep. Earl's Court tube station is really just around the corner, making it easy to go everywhere.If you want to take food to the hotel, the kitchen is open to guests and there is a Marks &amp; Spencers &quot;Simply Food&quot; shop 50 meters far from the hotel.Two internet shops are really nearby.I recommend Windor House : good value for the price !And friendly people too.But if you are looking for real luxury, go to ... the House of Windsors (call Beth or Phil).André Acker, from Rio de Janeiro, Brasil	
Feb 7 2006	Run as far as you can away from this hotel!	I have lived in Europe for several years, and have had many, many opportunities to experience hotels here- good and not so good. That being said, this was the WORST hotel I have ever stayed at in my life ANYWHERE! This was my 2nd visit to London and I booked a &quot;family room&quot; at this hotel for a 3 nights with my mother in law, my 3 kids, plus my niece and nephew. The first thing we noticed about the hotel was the funk-a-licious smell- which was a cross between Chinese food and feet. There is no reception desk, only a table and a chair in the entryway. When I made the reservation, they were very particular about asking when we would arrive, yet when we got there (about an hour later than I had told them), our room was not even ready. They said we would have to leave our bags in the hall for the day. (yeah right!)  I asked to see the room even though it was not ready and he showed us to the door directly behind his chair. At first glance the room looked ok, though very shabby. It was still messy from the previous occupants, but otherwise it appeared clean. There were 6 single beds arranged around the room. The bathroom had beige and brown linoleum that looked like it had been installed when linoleum was invented. There was an old stained and chipped tub with a drippy tap and a plug connected to a chain but no shower. I asked about the “new” shower that was advertised on the website. He said that our room did not have one, but he had another smaller family room with a shower that he could show us. The second room had five twin beds crammed into it. We ended up pushing three of them together and I shared that with my two daughters and my niece. My mother in law got a bed and my son and nephew (both 7) shared a twin bed. Even though we had opted to sacrifice a bit of space to have a shower it wasn't even worth it.The bathroom was so ridiculously small that you could shower and brush your teeth at the same time. Your knees touched the door when you sat on the toilet-- if you were lucky enough not to fly off the broken toilet seat into the shower when you sat down. When seated, you could touch the walls on either side. When we showered the entire floor of the bathroom flooded because the shower was the same level as the floor. The towels which were tiny, scratchy and smelled sour when wet. If they washed them between guests, they must not use hot water or detergent. We ended up drying ourselves with our pajamas each morning. There was a sign at the entryway that read which read “No noise, especially before or after 10 and please do not sit on the steps because the neighbors complain”. This courtesy is apparently not shared by the neighbors, and my crew, who believe it or not are really quite well behaved children, were reprimanded for laughing too loudly as we prepared to leave the first morning because it was before 10 am. Luckily, the first day there we found a wonderful grocery called Marks and Spencers, just on the corner. This would prove to be our salvation because we discovered the next morning that breakfast consisted of hard, stale toast, coffee, a half box of corn flakes and a soft boiled egg- one per person. In fact when my 7 year old son asked one of the kitchen staff for another egg, he was very rudely told &quot;only one egg per person&quot;, although they did eventually bring him another one. After eating I took all the kids upstairs to get ready to go out, leaving my mother in law and my 4 year old downstairs to finish eating. After about 20 minutes, we wondered where they were and went to look for them We met them on the stairs coming up. They had been locked in the breakfast room with the rest of the diners because breakfast was &quot;officially over&quot; and they did not want anyone else to come into the breakfast room trying to eat!As I said, the discovery of the Marks and Spencers was our saving grace. After that first morning we skipped breakfast at the hotel and I spent about £25 each morning buying juice, muffins and fruit as well as some amazing sandwiches for our lunches. Thankfully we spent 90% of our time out and about London. In all fairness, the beds were clean and this is a very cheap hotel for London, but I would NEVER EVER stay at this hotel again. I guess this is one case where you really do get what you pay for!	
Jan 16 2006	Absolutely horrible!!!!!!!!!!!	We stayed at this hotel for 11 nights, so we had a chance to really get to know this place.As the previous reviewer said, the breakfast consisted on tea or coffee, toast, and a boiled egg. Every day. One night, we decided to cook our own meal at night in their kitchen and opened a cupboard looking for salt. We found three silver serving dishes that had been used earlier during breakfast for serving jelly and butter. Guess what?? They still had the jelly and butter on them. This was around 8pm at night. They were hidden inside of the cupboard! And we saw it there again the next night.The walls between rooms are made from cardboard, or so it seems. You can hear every single word that the neighbors say. Including the lone guy that showed up at 2am with a girl, --- and then left a few hrs later. We asked the hotel staff whether they had checked out. They were confused, saying that HE had checked out very early this morning. Ok, not our business, but see what I mean by flimsy walls?And there is the night that someone accidently dropped a liter of Coke onto another guest when they went into the 'garden'. And the night we had to go to the staff to get them to ask the next set of 'neighbors' to stop yelling at each other at 3am.And there was the group of elderly people from Virginia on the upper floor above us. They had paid for their rooms, and after about 2 days, were asked to leave because of scheduled maintenance in their rooms. The elderly people had to quickly find other accommodations. They were very upset. I don't blame them. Also, their heat didn't work, nor did ours.In short, don't expect to get any sleep. The noise is louder than the subway station trains behind the hotel. And don't expect a good breakfast. We didn't see anything other than toast and a boiled egg in the 12 days/11 nights that we stayed there except for the 2 days that we decided to go to Burger King. If we hadn't paid for the full time up front, we would have left and found another place to stay. It was that horrible.	
Nov 10 2005	We were very satisfied and we'll be back.	We have just checked Trip Advisor and WE stayed in December 2004 - 10th - 20th and actually remember the reviewers who posted the previous comments - 3 guests from Johannesburg whom we met briefly as we think they had the room next to us! We don't recognize their comments AT ALL. My family - (3 adults and 2 teenagers) also had a ground floor room - with a gleaming clean ensuite and both the room facilities and the rest of the Hotel were neat, clean and welcoming. The Staff were very kind. Really good value at around £75 per each night with a cereals/eggs/toast breakfast. The breakfast room was cheerful with plaid tablecloths and opens out onto a large garden at the back. This was a great no-frills base for Christmas Shopping and easy access to the attractions and is just right for families. Older guests may want more in terms of room service etc. but then they have to PAY a lot more. We were very satisfied and we'll be back.The Fraser Family from Scotland	
Nov 4 2005	Great hotel for students	I have stayed with a group of students at this hotel for a few years in a row.Staff has always been very helpful, the rates are affordable, breakfast is ok, location is ideal. Good e-mail contact with the hotel.In other words ideal for school groups.Peter Lammerding	
Oct 18 2005	What A Rip-Off!!!	This hotel is proof that you should not believe everything you read on the internet! We stayed here in December 2004, 3 people (1 female, 2 male) for 3 nights on a bed and breakfast basis and this is my observation:1: We booked a en-suite room, but we got a room with shower and basin, but the toilet was in the hallway.2: The shower we had was so small you couldn't close the door behind you, so if you dropped the soap - no way of getting it back unles you step out of the shower - both men could'nt even close the doors once inside the shower.3: There was no &quot;garden&quot; as claimed and our room viewed over the kitchen's rubbish bins.4: Breakfast was NOT what we expected:We got a HUGE plate of old, hard toast, one boiled egg and a Jug of Coffee, this all happened downstairs in the &quot;dungeon&quot; a.k.a - breakfast room. Atleast we were not the only one's who felt done-in - the breakfast room was filled with disatisfied faces.On the plus side: There is a Burger King very close to the hotel, so rather have breakfast there. The &quot;hotel&quot; is very close to Earls Court Station &amp; rooms were clean.I WILL NEVER, NEVER, NEVER RECOMMEND TO ANYONE, NOT EVEN A MOTHER-IN-LAW!	
Jul 14 2005	Comfortable Clean 	NOt the Cheapest in the area, and by far not the most expensive hotel.I stayed there with my family - 3 kids, 3, 6 and 10 years old, recently over the Whitson Bank Holiday weekend.Location was EXCELLENT, just around the corner from a tube station.The room was clean, well laid out and was just waht we need ed for a couple of days stay, it wasn't huge, but if you want that, pay double your money and stay in the Holiday Inn.The staff were friendly and helpfull with local directions, guidance.I liked the do it yourself kitchen in the morning, and the very cosmopolitan feel to the place, we had Chinese cooks, sat next to people from Canada and Australia for our first bfast, then Germany, France and Oz on the second day...the kids were very impressed with the different accents!We would go back again!	
Jul 12 2005	We stay there each February and are very happy!	My sister and I stay there each February when visiting London and find the Windsor House Hotel a very convenient place to stay with clean facilities and very friendly service. Breakfast is great too and will go back there anytime again.Thanks to all the staff of Windsor House for making our stay there so great!!	
Jul 10 2005	Clean comfortable ideal location hotel.	My partner and myself stayed at this hotel july 2005.It is cheap, clean, beds comfortable, showers excellent, hot running water at all times, staff very polite and helpful. Towel change and bed made every morning. You have use of the garden and patio which was great for us to sit and read morning papers with a coffee. Breakfast is cereal, eggs, toast, jam, marmalade, and unlimited tea and coffee. You can use the kitchen between 9A.M. AND 10.30P.M. which is great for people on a budget or with children. You can store your drinks and things in the fridge (NOTHING WENT MISSING). It is in the first road next to Earls Court train station which is great for travelling to see all the london (TRAVEL TICKETS £4.60 AN ADULT FOR UNLIMITED ALL-DAY-TRAVEL).We would recommend this hotel to anybody!!!!!! Especially those with children. We have stayed at world famous hotels and never been treated or enjoyed our time as much as this.WE WILL BE STAYING THERE AGAIN.Amanda and Robert	
Jul 5 2005	clean but thats all i can say good	My wife and I stayed there for 3 nights early june 05. I have been to many countries and am no stranger to &quot;culture shock&quot;. When booked, yes it was well stated that this was a budget hotel and it certainly lives up to its name of such. Let me say first that it is extremely clean and close to subway which was nice (though noisy). No question about it. Our email stated that we would be on the first or second floor, when we got there we were in the loft with the pidgeons. Makes me wonder how many people who are not 18 year olds have had heart attacks on those narrow steps up 8 flights of stairs. We arrived after the banks were closed and in between the time we arrived and 9am the next morning we were asked no less than 4 times for full payment. I offered to pay with credit card and was told that cash was only accepted.The only thing the staff didnt do was hold my wife hostage until it was paid at 9am when the bank opened. As for the breakfast, i'm again well versed in english and continental cuisine but out of 3 days we had an egg ONCE. This was due to the fact that they had a gas leak and they had no cooking facilities...and hense for 1/2 our visit no hot water for even a shower.the gas workers repairing said it was in the building but in an email from the owner (who we never did meet) said it was out in the street, who to believe. The staff did not seem anxious to allow us to use the kitchen when we asked if we could warm up some chicken from the deli next door. They said the stove was gas (which was off) and the owner said in an email that the stove was operational. If thats the case why no eggs then?? Can they not do anything but boil them?? I would not recommend this hotel nor stay there again.	
Jun 15 2005	good hotel friendly staff	We have stayed in the Windsor House Hotel with 2 schoolgroups for the 3rd year in succesion. The rooms are not very big, but they are very clean and not very expensive. The hotel is very close to underground station Earls Court. The staff is super friendly and nice to talk to. I had some very good conversations over there! See you next year!	
Jun 12 2005	Great Budget Hotel Just Expected	Originally booked as a family of 5, but husband didn't make the trip, so family of four 1 adult, 15 year old and 11 year old twins. Travelling from Florida. We had a family room with a double bed, and three single beds. The way that the room was set up worked well. Three beds in a row (not too much room between them, but ok) and one single bed off to the side of the room. The room was clean, the bathroom was small, but in the room, and served it's purpose well!We arrived at the hotel at about 10am, and sat in the back garden for just a few minutes while they finished getting our room ready. We were able to go up to the room and freshen up before hitting the tourist scene!We had great communication with the hotel, via email and phone. Mrs. Jan Wardle was most accomodating in her emails, and made every effort to inform us that they are a budget property, clean and safe, which is exactly what we found.We did not eat the breakfast which was included, most mornings we went to Benjy's on Earl's Court Road, which does a great breakfast.I would highly recommend this hotel to anyone on a budget, looking for a good, clean and safe place to stay. Very convenient to the Earl's Court Tube station. Would be happy to answer any specific questions, email luvbucs@hotmail.com. Please include Windsor House in subject so I don't delete it! If you're expecting the Ritz, you'll be disappointed. If you read their description, and pay attention to their emails, you'll be pleasantly surprised!	
Jun 9 2005	Teacher opinion	I have visited London with a group of 45 children. We stayed at Windsor House Hotel for 4 nights having a good time. Rooms were ok for the price we paid.Moderate but clean and safe. We used kitchen to prepare meals for children. To be honest the kitchen is not big enough for 45 children but if you speak to a receptionist he can arrange everything.In our case they devided the group in 3 and put some tables outside in the garden (small!) Children enjoyed having meals very much. We safed a lot of money.Moreover the hotel is in a good location! But you must be very careful when you park your coach.It is much better to use the coach park at huge Tesco than in the street. I recommend this hotel for groups and individuals.	
May 16 2005	Simple Clean Neat	London, UK, May 15th, 2005Two Parents, Two children 4 and 7, London on limited funds. Booking accomodations in London, especially from overseas, can be a harrying experience. After having looked at many websites and failing to find a room for a family of four for much under 125 pounds ($300 CDN) a night, we were happy to locate the Windsor House Hotel in Earls Court. We paid 77 pounds for each night of a two night stay. The hotel is a short walk to the Natutral History Museum, a must for travellers with kids (hey, and museums are FREE in London!). The hotel is right around the corner from the Earls Court Tube station, the neighbourhood is funky enough (though it depressingly hosts a Burger King and KFC) and the hotel staff were helpful. The room, which featured a modest shower stall and loo, was clean and neat, and the bed linens were all pressed. This is not deluxe accomodation -you can skip the included breakfast of an egg and toast with tea and coffee (and you can afford to) unless you want to meet other guests. The hotel itself was quiet. Communication via email was efficient and prompt. We would book again. Just wish I could afford to go back.....sigh.....	
May 15 2005 	We were very happy!	We spent 6 nights at the Windsor House Hotel in April 2005 with a group of 15 pupils (aged 12) and we were very happy with out stay. The Hotel was just as described in their reply letters to our enquiries - clean and comfortable, without luxuries – and we do recommend this Hotel. It was ideal for us in that the children were allocated large 5 bedded rooms and we the teachers had a single room plus a double room. The rooms were bright, comfortable and clean - goods beds and bedding and good showers and toilets too. We requested towel changes every two days and received them We could ask for no more. The Hotel allowed us to use their kitchen for preparing packed lunches for the children and for making teas and this was very helpful as we saved on our budget. The Hotel gave us understandable noise rules on arrival and we complied with these as they also had older couples staying at the same time and families with children. We met other guests during our stay as the dining room and garden areas are very friendly and people were saying that the Hotel was a simple and ideal base for their London stay – due to good standards and location. We agree wholeheartedly. The hotel also showed us its guest book which contained positive reviews, spanning many years, from families from the UK and world wide. The staff were also very kind. One of the children left a much loved Toy behind and we received it by post within 4 days, with a kind note, without even notifying the Hotel of our loss ! We think that happy guests don’t often bother to write reviews - it’s just the odd unhappy guest who should probably have ‘stayed home’ who shares his negativity with the world at large ! We decided to put this right ! Friends of ours have stayed since – 2 adults and 2 children – in May for 3 nights and they also had an excellent stay	
May 1 2005 	not what was promised	We spent 10 days at the Windsor House Hotel with a class of 12 a-level students from Sweden. We paid a deposit and were promised rooms with en suite except for one which would have a toilet outside the room and a shower in the room. When we arrived we all got the wrong rooms. The teacher´s room had no toilet, the boys had to go down one floor for the toilet and shower, the girls had to cross the corridor for both. They were very rude and after many complaints moved the girls after three days. The boys and teachers had to stay where they were for the whole time. The students´towels were never changed. The last day we were told that they should have asked for clean towels!! The &quot;double&quot; bed for teachers was two singles put together with single sheets across ways, which meant a gap half-way down!! They put the teachers on the top floor and some students on the bottom floor. When some of the girls could not sleep at 11.0 p.m. because the man in charge was talking so loudly on the phone they went out and asked him to be quiet but he just said,&quot;this is a public area&quot; and it states in &quot;their rules&quot; that you should be quiet on the stairs and corridors after 10.0p.m.I would never recommend this hotel or stay there again. I was embarrassed to call this an English hotel. After reading many other tourists´comments about this hotel I am surprised that it is still a registered hotel and can continue working as such.	
May 1 2005	Earls Court Area	Located in a seedy area of London 5 feet from the tube station. It was very noisy, a terrible breakfast, tiny rooms and a bathroom fit for a 6 year old it was so small! You can take a shower, brush your teeth and piss in the toilet from one location! It was rated 3 stars, but I would rate it only 2 at best.	
Aug 13 2004	Just as stated on website/e-mails	We stayed at the Windsor House Hotel for three nights at the end of July 2004. We are a family of 5. We were nervous as what to expect after reading the reviews on tripadvisor.com. We were happy with the Windsor House Hotel, it was exactly as they stated on their website, and through e-mails. They are a budget hotel, but very clean and the staff is helpful and friendly. We have stayed in many places in Europe and the UK and this was exactly as we expected. Hotels and accomidations are rated differently then in America. I read the other reviews and I think most were expecting something else, maybe not understanding exactly what a budget hotel in the UK is. This hotel is clean, and we felt very safe here. It is in an excellent location if you are riding the rube. I can tell you the bathroom is the size of a cruise ship bathroom, but at least the bathroom was in our room and not down the hall. The beds were comfortable and were covered with two wool blankets made in Scotland. Our room was cleaned and bed made every day. Breakfast was the same every day; corn flakes, toast, a soft-hard boiled egg, tea and coffee. In a review stated above someone was complaining about the hot soft boiled egg. This is a traditional breakfast item for those in Europe. It tastes quite good spread on toast. I would be happy to answer any questions someone might have about this hotel. I would recommend it if you want to save money, and have a good location. pirokp@comcast.net	
Aug 9 2004	Thank you Windsor House Hotel in London for a delightful stay. 6 August 2004	We stayed at the Windsor House Hotel for 8 nights in July, with my wife and 4 lively children and thought it was just perfect for families on a budget - especially as we were able to prepare light meals in the hotel kitchen for the children – one of whom suffers with food allergies – so that restaurants can often be problematic. The Windsor House Hotel responded to our enquiry promptly and kindly and told us right away that they provided simple B&amp;B only – clean but without frills or luxuries and they not only met but exceeded our expectations. We arrived early – before guest check out - pretty exhausted and were met so very kindly on reception and offered tea and relaxation in the very pretty and well kept walled garden – so we started to relax right away. They got our room ready rapidly and we could see straight away that it was sparkling clean and fresh. Big airy windows (on a hot July morning) – pristine white curtains, neat paintwork, spotlessly clean linen and blankets, with cheery plaid wool spreads over the beds – woven especially in the Scottish Highlands – as they later told us – and clean carpets (important for the children) and with a really neat ensuite basin/shower/toilet – not huge, but private, inside the room and fresh, well maintained and clean. We showered right away with plenty of hot water and huge clean towels and felt better and ready to sightsee. Our daily breakfast was cereals and soft boiled eggs and toast for the children – non-allergenic (perfect) served kindly and with attention by the breakfast personnel who told us we could eat as much as we needed – just ask them.The kitchen was spotless – with a cooker and hob and 2 fridges and lots of pots and pans and plates etc – not flashy – but all in good order and we found the staff cleaning it several times during the day and evening. The patio and garden were a huge bonus for us as the children could play there safely while we rested up occasionally. The desk staff couldn’t do enough for us. The Windsor House Hotel was perfect for family guests – though does have stairs to rooms – no elevator/lift – so you need to be active. But they told us this too at the time of booking.DO stay there if you want a simple B&amp;B Hotel – budget standard – no frills – clean rooms, hot showers, kind and friendly staff and great attention to housekeeping PLUS - very fair room rates - our room cost us around Pounds 80 per night in all for a family of 6! We checked out a few other hotels which did not come close to what we had – and in fact single rooms cost around Pounds 60 per night and looked nowhere near as clean. We recommend the Windsor House Hotel, wholeheartedly – as long as your needs are simple, good, clean no frills B&amp;B and you are active. For extras such as room service, lounges, bars, elevators it may not be your ‘cup of tea’ – but it sure was ours. The Farrants.	
Jul 23 2004	Cheap Yes! but NOT as advertised	Definitely an inexpensive place to stay but don't expect what they advertise. They advertise that they accept all major credit cards but this is for deposit only. You are expected to pay cash when you arrrive for your entire stay. We had requested a room with 4 beds 3 months prior to our scheduled arrival date and when we arrived we were given 2 bedrooms on different floors. We were travelling with children. They tried to convince us that we were given something more valuable than what we paid for when, in fact, they had booked the 4 bedded room longer which went into our reservation. The one bathroom was a combination toilet shower. Felt like a porta potty. You could honestly shower while on the toilet. The shower trickled water alternating between scalding hot and freezing cold. The breakfast was as advertised egg and toast however we were not expecting a cold hard boiled egg with cool toast (tasted stale). Then 2 days in they said we could have the room we originally were supposed to get and that they would move our cases. We came back after a day in the town and found out we had been moved to a completely different hotel &quot; The Lord Jim&quot; Just a little better then the hotel we were originally in. This was not the type of B&amp;B we were expecting. If you want Cheap go here. On the plus it is very convenient to the Tube and shops.	
Jul 13 2004	Visiting London to see the sites and not the room	The hotel met our expectations which was a clean bed with an ensuite and close to a tube and grocery store. The room had five beds and some small dressers (however, we live out of the suitcases). The ensuite bathroom is small (you can shower on the toilet) and met our needs with a hot shower every morning. The grocery store was opened to midnight and we bought items as needed. We used the kitchen facilities and the cookware reminded me of my camping pots. There is no microwave on site and we were able to cook on the stovetop and oven. There is no elevator and luckily we were on first floor. The windows are single glazed and we could sometimes hear the noises of Saturday night streetlife (Sunday was quiet or we were too exhausted to hear). I would recommended to stay here for a family of five as sometimes it is difficult to find a basic room for a cheap price.	
Jul 6 2004	Convenient to the Earl's Court Tube Station		
Jul 3 2004	The Windsor House of Horrors		
Jun 17 2004	Not friendly as advertised		
Jun 9 2004	Not the best experience		
Mar 25 2004	The Windsor House Hotel - what a dump!!!		
Feb 26 2004	Spooky experience		
Feb 10 2004	a qreat young hostel friendly and quite cheap. 5 STARS		
Dec 17 2003	Good cheap hotel		
Aug 7 2003	This was the perfect place for us!		
Jul 7 2003	Windsor Not So Regal		
Nov 5 2009 	Parfait pour étudiants		
Oct 31 2009 	Bel posto		
Oct 27 2009 	Propre et très bien situé		
Oct 14 2009 	Kurzaufenthalt		
Sep 22 2009 	3 jours au windsor house hotel		
Sep 15 2009 	Solo por dinero		
Aug 31 2009 	Einfache Unterkunft in günstiger Lage		
Aug 11 2009 	Heads or Tails - Pile ou Face		
Jul 28 2009 	Perfecto para solo ir a dormir		
Jul 17 2009 	Lo que allí llaman un dos estrellas...		
May 19 2009 	Attenzione non pagate con carte di credito		
May 4 2009 	Fa davvero schifo		
Apr 26 2009 	Su baza es la ubicacion ... y ya esta		
Apr 24 2009 	Zentral günstig einfach ausgestattet sauber		
Mar 31 2009 	Tolles Hotel für wenig Geld		
Jan 17 2009 	Bon rapport qualité / prix		
Dec 10 2008 	Il Windsor House? Prezzi imbattibili e posizione perfetta		
Nov 16 2008 	Correspond aux infos annoncées		
Nov 14 2008	das windsor house hotel hat ein gutes preis-leistungsverhältnis		
Jun 14 2008 	Windsor House		
May 8 2008 	Servizi minimi ma decenti		
Sep 10 2007 	Me sentí engañada		
Aug 27 2007 	Tolles günstiges Hotel für London-Besucher!!!		
Jul 20 2007 	Per chi si accontenta...		
Jul 17 2007 	mini salle de bain		
May 12 2007 	Posizione perfetta		
Apr 17 2007 	Sehr Zentral / Etwas Jugendherbergsmäßig		
Mar 23 2007 	Das Windsor ist eine Zumutung!		
