	ok hotel	Clean, comfortable. We chose the area for the O2 arena, although it is about 7 minutes walk from Waterloo. For sightseeing, it is a good area. Rooms very comfortable, although we were woken on Saturday morning at 08:40 by house cleaners to see if our room was ready to be cleaned! (it was a bit early)!. Check in/out fairly fast, although loads of people. Breakfast good. Major problems with elevators. Only 3 for the whole hotel. Luckily we were on the 3rd floor and did the staircase, otherwise you could be 1/2 hour waiting for lift. Staff very professional. As in many London hotels,didn't like the fact that you had to pay for internet access.	
Jun 9 2008 	Great hotel in great location	Excellent hotel. Great location for all tourist sites. Brand new. Got upgraded to a junior suite on check in which was brilliant. Beautiful room overlooking London Eye. Bathroom was fab. Absolutely no complaints. Would definitley recommend staying here.	
Jun 9 2008 	It's a serviced apartment not really a hotel	The County Hall is, truth be known, a gem. It's just not really a hotel. So, on entering, you'll find a disinterested front desk looking rather surly. Allessandra, in particular, has a sour expression and unfortunate tone of voice that implies you're not worth a jot of her time. Which is a shame, she's probably a lovely girl. Once you've got past this...and have stopped looking for the faults in the lift service (come on guys...you can wait 5 minutes...don't be so impatient) you'll enter a rather plush world. The beauty of this 'hotel' is that it gives you space. Loads of it. Your bedroom section is at the front and near the door. It has a giant wardrobe, free hanging hangers and a loose, yes loose hairdryer! It's lovely to be trusted not to steal! A small kitchenette separates the bedroom from your lounge - flooded with light and spacious. Kids even get a full double pullout here, offering mum and dad privacy. 2 LCD TV's offer a great range of entertainment throughout with music on demand. The furnishings are of a really good quality. The bathroom door may cause some embarrassment if you are not with a partner - they're frosted glass. The shower is darned good, though it did sound like we had a pet camel in there with us - the drainage was randomly noisy and brayed at us during the night. The facilities in your little kitchen are pretty good - nice microwave, little fridge not related to mini-bar and loads of storage. It would be good to have a teatowel and a bin though. In summary - if you're independent...like high quality furnishings (the bed is firm...not a concrete slab incidentally..again a little too pampered?) ... a fabulous location with instant access to the South Bank and don't care that you've got fairly ordinary toiletries, and non-existent service you will LOVE IT HERE. If not - choose a traditional hotel. This simply isn't one. Oh and it's only £100 on lastminute...not bad eh?	
Jun 8 2008 	Not A Walk In The Park	The absolute worst hotel experience in years.As background I spend as much as twentynights a month on the road. I decided to stay at the new Park Plaza County Hall in London due to a few factors. 1)An early AM meeting the next day2)Proximity to the meeting location3)The need to evaluate the property for a potential future large group (250 or so rooms needed) event4)A rather pleasant stay some months back at their sister property not far away.5)My corporate apartment would not be ready until the next dayWhat a mistake. The only thing that went smooth was the check-in process and the nice upgrade from a regular room to a one bedroom suite which is a two room box with a kitchette in the middle.Here were the issues1)The Internet in the room was not working using the wired connection. The service company could not provide a solution as I use a Mac Book and they are not Mac oriented.2)The hotel was out of wireless vouchers. I had to beg the service company to provide me MAC address access, which they eventually did, and charged me for.3)The Internet speeds were less than 30k down and 10 k up. Emails took two minutes or more to send each. The service company told me they had an 8 meg DSL line download and 1.5 upload for a 400 room hotel. Given current take rates at 50% for Internet use even at a 25 percent load that would be 80k max down load and 15 k per person upload...Call it no better than dial up. The next morning I was told a router had been replaced the week before (I arrived on Wednesday). Why was it still not fixed?4)The phone by the bed did not work. To answer a wake up call meant going to the next room.5)Cell service in the sleeping area did not work. That meant going into the living room area to make or receive calls. Not good for a person like me who relies on being reached and able to make calls.6)The morning of my departure two of the three main elevators and at least one of the other two tower elevators were down. I was told by the Managing Director a part was on order.7) Room noise for light sleepers is not good as you can hear hallway noise in the bedroom area which is just by the doorway,This hotel is so mismanaged operationally that the weak excuse of “we just opened” but really that was February.Sorry, but for a business traveler, this is not the place to saty.	
Jun 7 2008 	Above average hotel near waterloo	I have just returned from a mid week stay at this hotel for business. It is a very convenient 5 minute walk from Waterloo Station, which was ideal for me. The room was great with views of County Hall and the London Eye - I would imagine that it would not be so great staying at the front of the hotel, which overlooks an area where there is a large building project. My room had a small kitchen area, complete with microwave and refrigerator and good quality cutlery. The breakfast was buffet style with a good selection. Usual problem with london hotels is the wait for the lift in the morning, but there are additional guest lifts near the stairs, which I found much quicker. The staff were all very friendly and seemed eager to please and efficient. Overall a very positive experience and I will definitely stay again	
Jun 7 2008 	Not A 4 Star Hotel!	In my opinion, this location IS NOT a 4 star hotel. As others have indicated, we also encountered a very hard bed (like plywood) and the lack of a/c. Our room stayed around 80 degress even after reporting to the front desk. The toiletries (soap &amp; shampoo) were very limited and lower quality, had to ask for additional from the front desk!. Staff seemd to have a laid back attitude, not very receptive to our needs or issues we had with the hotel. The design of the bathroom was quite unusual -completely open room with no seperation from the shower (we did not have a bathtub) water sprayed everywhere!. Our reservation was for a &quot;regular room&quot;. We were assigned a room with a view of the inside of the hotel. The room also overlooked the hallway to other rooms. Because of the design, other guests could see directly into our room as they were walking down the hall. Shut the curtains = very dark and HOT room! So much for requesting a room with a view of the river! AGAIN, THIS IS NOT A 4 STAR HOTEL. Loved London, but would NOT stay here again.	
Jun 6 2008 	Debited Credit Card Twice (as did Plaza Riverbank 4 weeks earlier) !!!!	Stayed at Park Plaza Riverbank 4 weeks ago; not that good BUT credit card debited TWICE; found out days later.Stayed at Park Plaza County Hall 4 June; they debited my card TWICE also, even after I told them what had happened at other hotel and manager stood beside me on check-out assuring me that I would not be charged twice.This is now with my company travel manager and I have spoken with Trading Standards (local council) and such a practice is not appreciated by them.Hotel itself is new with very nice, excellent sized and equipped rooms BUT it is still in &quot;shakedown&quot; with many problems.No air conditioning in many rooms; stifling. No safe in room; one was fitted, didn't open in morning making me late for business meeting. Very very noisy in room due to banging doors in corridor and loud bells in lift. Only one out of three main lifts working in morning. Breakfast appalling; worst ever in London; poor choice; toast not toasted; coffee cold; orange juice warm.	
Jun 2 2008 	Hotel ok but has a couple of issues	Ok, just got back from 3 nights at this hotel. We had a &quot;studio&quot; room which was very modern, especially the bathroom. But, the problem with the room was the extremely hard bed! The bed was a mattress on top of a platform and did not have a mattress pad. My back hurt very badly due to hard bed. Second problem was air conditioner would not get cold. We called to report problem, and after second call they finally sent someone up who left saying that he could control it from main computer and would set it to 70 degrees but it never got more than about 80 degrees in the room. The elevators were slow but we found an elevator in the back that was never used and therefore we didn't have to deal with the slow elevators. Otherwise, room size for London was great. Staff was very pleasant. Not too many choices in restaurants within walking distance. View of construction site was depressing.	
May 30 2008 	Incompetence	Stayed in this brand new well appointed hotel. Bath didn't work. Informed reception twice during a 2 day stay. It was never fixed. Minibar was locked and couldn't be opened by spendthrift girlfriend. Despite psoting do not disturb we were woken 3 times on Saturday morning. Once to give us a menu for the minibar which we couldn' t open!We used the express checkout but the receipt i received was incorrect. Despite 4 letters to the hotel subsequently they have sent us 3 further incorrect receipts!!!Moral of the story, lovely hotel, however, don't expect a lie in, bath, drink or correct paperwork!. Manager informed us in a letter that it was a bit much to expect bath to work!	
May 23 2008 	Good potential minor problems need to be resolved	Fairly swift check-in followed by ten minute wait for a lift to my room on the 9th floor. Room (a studio) very spacious with seperate sitting area, kitchenette and large bathroom. Arrived very late so tried to grab a cold drink from the minbar to discover it was jammed shut. Reported the problem straight away, but it still had not be fixed when I left two days later. On my second night the fire alarm sounded at 4AM, 6AM and 6:10AM - not amused as apparently these false alarms are frequent (indeed it had gone off earlier the previous evening) Service in the bar was good, and the room service breakfasts excellent. The wait for a lift in the morning averaged 15 minutes - they seem to have pressed some service elevators into use to try and relieve this problem.Overall this hotel has great potential but they need to sort out some minor service issues and the fire alarm system!	
May 17 2008 	Good hotel but for minor issues...	I really liked this hotel with its modern decor, and would have given it five if it wasnt for a few minor issues.The hotel is new, very close to London Waterloo, and was chosen due to its location as I was here on business close by. For tourists, however, it is close to the London Eye and the South Bank Centre as well as Royal Festival Hall.The few minor issues included having to change room three times when I first checked in as I didnt like the first twin room, where two single beds were put together, didnt like the alternative offered which was the size of shoe box and looked out on a basement, and was eventually upgraded for tfree to what I think was a studio which included a sitting area, and a mini kitchette. I really liked this room especially the music on demand within the television entertainment unit. The other big issue was, however, the fact that when the lifts did work, and that wasnt aways, they were exceedingly slow, in fact too slow.The hotel was exceptionally clean, all the staff were helpful, didnt eat in the hotel other than breakfast which was fine. The hotel also has leisure facilities which again I didnt have time to enjoy so I cannot comment on what they were like.I wouldnt hesitate to recommend this hotel.	
May 17 2008 	Good rooms : not so good public areas	Stayed here on business recently. Room was good, not huge but with very neat little separate sitting and sleeping areas which would allow a person/child to sleep whilst other people watched tv/read etc. Also came with a dinky kitchen type area with, sink, kettle, microwave, plates, cutlery etc which would be ideal for bringing back a ready meal or preparing a cold snack if on holiday and wanting to reduce costs. Waterloo station with a good Marks and Spencer Food hall is a couple of minutes away.However the public and conference areas where nothing special at all albeit clean and new. Slow lifts, air conditoning needed to be ramped up a bit,	
May 10 2008 	High Rise	Stayed here for two nights recently and I could not warm to the hotel.It is very big,lots of glass so you are looking out on the building site across the road from both the bar and breakfast room.Reception staff are helpful and efficent, breakfast room staff not so helpful .The breakfast was poor by comparison with any of the dozen or so other London Hotels I stayed in .The room was small and the A/C poor too.	
Apr 29 2008 	great location staff	just got back april 27th 2008.the hotel has a great location to the undergroundand ,parliament square as well as the london eye. the breakfast staff was fanastic as was the helpful doormen marc and gary. breakfast had a nice variety. the rooms are clean and well kept. the only bad thing was the rooms are quite warm, the a/c is not the best. had to change rooms due to the heat of my 1st room. they upgraded us to a higher floor where the a/c was better. the view of the room faced the thames including the london eye, parliament , and big ben. the staff couldnt have been nicer. i would DEFINITELY return.	
Apr 28 2008 	Very good hotel in city center location	I have just returned from a weekend break in London and here is what I can say about Park Plaza County Hall:My mum and I have arrived at London Euston railway station at 12pm and got to the hotel by underground around 25 minutes later-the nearest tube station is Lambeth North,around 5 minutes walk from the hotel. We were checked in right away,even though you're suppose to wait until 14pm The room was on the 12th floor-we had booked a twin one,it was certainly spacious for London standards,with little kitchenette in the hall,equipped with microwave,kettle,dishes,washing up liquid,kitchen towel,wine and water glasses,ice bucket (ice is available from machines placed in the corridor) and also ironing board and iron.The bathroom had a bath and a shower,toiletries were quite good quality.We had a view over the Waterloo station and you could also see the Houses of Parliament. Don't come near the window if you suffer from vertigo though! Oh,just one more thing-the window covers the whole one wall.You have to be patient with the lifts,the hotel has 398 rooms so you always have to wait few minutes as there are only 3 lifts available plus one broke down on the first day.We had breakfast included in our room rate,it was served in the Spectrum restaurant,was suppose to be 'English breakfast' but the choice was much wider and you could have both Continental and English. Nice pastries,juices,fruits and much more. Self service=eat to your heart content. Previous reviews about hordes of people queuing up for breakfast a bit exaggerated in my opinion-if you have diva demands stay at the Ritz. This is a middle class 4 star hotel.Staff very helpful and polite. When rang up housekeeping to ask for extra tea&amp;coffee got them within 5 minutes.Location-on the doorstep of the London Eye. Will go back.	
Apr 28 2008 	Good Location Modern Hotel	The Park Plaza Hotel County Hall is located behind the Marriott County Hall Hotel (and it's cheaper - we paid £118 room only per night) and is a stone's throw from the London Eye, the South Bank and the Old Vic Theatre and seeing as we wanted to sample all three of these attractions, it was ideal. It's also right next to Waterloo Station so is brilliant for quick tube connections.On arrival we were given directions to a reasonably priced car park (for London) £18.50 per 24 hours. It was conveniently close and secure.The Hotel itself is very new and we were given an upgrade from a Superior Double Room to a Studio as there wasn't a double room available at the time. The Studio was room 722 on the 7th Floor and the front door overlooked the main atrium - so if you don't like heights - don't look over the balcony as vertigo can set in. Personally, I was fine with it and admired the atrium design. The restaurant is located at the bottom of the atrium, so I can imagine if you were on one of the lower floors then noise could be a problem but on the 7th floor upwards, it was very quiet. Also outside the front of the hotel is a building site, but again, as the studios have the bedrooms located on the atrium side and the double glazing is substantial, noise was not an issue. The studio was very contemporary and well equipped with a large shower and bath, a large, comfortable bed, a good sized living area, 2 tv's and a kitchenette comprising of fridge, microwave, sink and worktop. The hotel bar is a pleasant place to have a drink, but we didn't have breakfast or dinner so cannot comment on the hotel food. The staff are pleasant and helpful and I would definitely stay in this hotel again in the future.	
Apr 28 2008	Great Hotel a real treat for London!	If you want something a bit different for a stay in London then try the County Hall Park Plaza. We booked a standard room but were upgraded upon checkin to a Executive Studio Room - it was lovely - we had a separate living room and sleeping area - both had plasma tvs and we also had a kitchenette with sink, microwave, kettle, fridge and coffee maker. The decor was bang up to date and the view was superbI have stayed in a few hotels in London and this was by far the nicest one. It is only 2minutes walk from Waterloo station and you can see the London Eye from the hotel.Well worth a visit	
Apr 27 2008 	Mostly Very Good Experience	I made my reservation several months ago at a special promotional rate offered through Travelzoo.com. The offer included a full breakfast every morning, with a welcome drink on arrival and 20% discount in the hotel's Spectrum restaurant. I had notified them that we would be arriving quite late, and our check-in was smooth. I inquired about the drink and discount, and the clerk asked his manager about it. The manager claimed not to know anything about those features of the promotion, even though I pointed out to him that the confirmation email which detailed it came from the Park Plaza itself, not from Travelzoo. He said he would contact Travelzoo to find out more, but when asked about it later he said he never heard back from them. So, no drinks or food discount, but those were not deal-breakers (Ido wonder how hard he tried to contact them, however).I had some concerns because of cautionary reviews from earlier guests, but I think many of the problems mentioned have been worked on. Except for one morning and afternoon out of our eight-day stay, all three elevators were in good working order. The beds could be described as hard (I would call them firm) but since we prefer that (soft beds are murder on our backs) we slept quite well. Noise from the corridor was not a problem, but I usually sleep with earplugs when traveling so that undoubtably helped.The bathroom was great; a deep tub and separate stall shower and giant thick towels. The shelf holding the towels was at the appropriate height for a professional basketball player, which I am not, so I had to climb on the edge of the tub to reach them. The bathroom surfaces are all marble, white porcelain and chrome. I would say that if you are a fan of antiques and chintz, you will not enjoy this hotel. It's very design-driven, with a lot of mid-century modern type furniture -- all clean lines with no overstuffed armchairs in sight.The rooms had ample storage for a week's worth of clothes for a family of four (I also must mention that although the hotel will do your laundry for the expected high prices, they have self-service washers and dryers -- free of charge -- for guests' use; you just have to buy your own detergent, which is easy enough to do at the local stores) We also liked having the refrigerator and microwave in the kitchen area and space to store snacks.The breakfast buffet was unchanging, but there were enough items on offer that we didn't get bored and the food was pretty good. We didn't eat any other meals at the hotel so I can't comment on them.Aside from the unhelpful manager the first night, I found the reception staff to be very amenable and willing to offer assistance. Koby, Luke, and Gianluca were particularly gracious, although there were many other nice staffers whose names I didn't get.The hotel is in a terrific location -- minutes from Waterloo station and within easy walking distance to dozens of attractions. But if what you want is a cozy residential neighborhood, look elsewhere -- there are plenty of other choices for that.	
Apr 27 2008 	Nothing like it's siblings!	Thought I'd break the habit of a lifetime and actually write a review myself instead of just reading them.Booked this hotel a couple of months in advance and got a pretty good rate as it was brand new and maybe struggling to fill the rooms. I stayed there for one night last night and actually got upgraded, as I have done in the past with Park Plaza hotels when booking direct with their site.This hotel, from what I gather opened in Feb 08 but still has some massive teething problems. The staff range from the annoyingly over-enthusiastic to the frighteningly serious. What struck me first was that the lobby area is far too small for a hotel with 340 rooms and had odd pillars so that the 10 mins I spent queuing got really confusing and stressful - not helped by 'smiley greeting man' who repeatedly told everyone to have a great day when he would be better emplyed actually serving behind reception. The lifts are shocking; again only three for 300+ rooms - seemed to stop on every floor on the way up and down, no air conditioning in those. But those are just the little annoyances, we haven't got to the actual room yet!Firstly, mine was really really noisy - right next to the laundry store where 'towel-guy' thought it was fine to slam the door continually for about 4 hours at a rate of about 1 slam per 20 seconds - I was actually amazed that was even possible - but such was his dedication to keeping me from a mid morning nap. I also had an ice machine outside the door, and did I mention the lifts 'ping' really loudly. I've always wondered what the point of that was.Here's a feature you won't find in many hotels... hot and cold taps dispensing the exact same water - hot. Zero cold water available in either the kitchenette sink or the bathroom (which I'm sure breaks some law or other for a hotel). Maybe you're supposed to get some ice and wait for it to melt? I don't know.The air con was I think just a non-functional knob on the wall so when I woke up gasping with dehydration in the middle of the night I was forced to raid the minibar for a mini bottle of coke - then there was no bottle opener to be found. Since I'd already been charged the £2.50 for the 150ml bottle simply by picking it out of the fridge, I felt angry enough to prise it open with a key. Incidentally, the hotel added the 17.5% VAT to the charge for the coke, making it staggeringly more than £20 (or $40) per litre - is this a world record?The sofa (as mentioned by other reviewers was I think made of some type of softened concrete - the same kind they'd used for the bed. There were wires hanging all around the TV, internet connections, phone, lamps etc.I really geniunely like Park Plaza hotels, they're very clean, usually no-nonsense and efficient, but not this one. Despite looking forward to seeing it in it's new state.Sorry, but this gets a huge thumbs down from me, and it even prompted me to write this first review - I'll try to be more positive in future. But here's the thing with hotels, it's always the little elements that either make or break a stay. They really shouldn't open up new hotels unless they're trying hard to get those little things right. And quite frankly, if they're still not right after 4 months then they should close until things are patched up.If any staff are reading this, please note I would have much preferred to have told you about all these problems but a) nobody answered the phone when I called reception for the bottle opener, b) 'towel-guy' didn't speak English and c) Nobody asked me if I'd enjoyed my stay - and anyway by the time I was checking out I was soap issed-off about the £3 charge for the tiny tiny coke that I just wanted to get out of the stuffy reception into some fresh air. I won't be back I'm afraid.	
Apr 20 2008	Noisy	Check in was speedy and the staff very friendly. However, i had booked a twin room but on entering the room the beds were so close together we might as well of had a double. the view was in to the hotel over looking the bar &amp; restaurant which was very noisy and i had to ring reception at 01:45 to complain about the noise from the bar!!	
Apr 10 2008 	Great Location and Amenities -- Hard Bed	My husband and I spent 10 days at the end of March at the new Park Plaza County Hall which just opened in February. It is in a super location next to Waterloo Station and Westminster Bridge. They didn't have the type of room we had booked three months earlier, but generously upgraded us to a fabulous &quot;studio&quot;, which is really a suite. It had a bedroom with flatscreen TV, vanity, and closet; a nicely appointed kitchenette; a luxurious marble bathroom with bath and shower; and a sitting area with sofa, easy chairs, desk, and a second, larger flatscreen TV, all overlooking Waterloo station and NE London. PROBLEMS: (1) the suite is entered through the bedroom, with the living area at the back, so that the bedroom gets noise from the corridor and is less private; (2) at least one of the three elevators was broken the entire time we were there; (3) the bed was hard as a rock -- very uncomfortable; (4) there was no alarm clock; (5) the room's temperature control was unmarked and did not seem to work; (6) the plumbing in the shower was stylish, but confusing; and (7) the shower door did not seal, so the bathroom floor stayed wet. Despite all this, staying in a spacious suite was worth the problems, except for the rock hard bed which made it impossible to get a good night's sleep. (The cost of our stay averaged only $240 per night, so it was a good deal financially.)	
Apr 10 2008 	Lovely rooms	I stayed here with two friends on a Saturday in April 2008. All in all we found the hotel to be really good, with just a couple of exceptions.Check inCheck in was painfully slow - there was quite a big queue and several hotel employees behind the desk who appeared to be doing nothing! We had booked a studio room through Lastminute.com for the three of us. However, the room we had been allocated was a standard double - they soon sorted this for us.Our roomOne bedroom studio with separate lounge and sofabed. The room was great - very stylish and perfectly comfortable. The shower was good and the beds not too hard, not too soft - just right. The TVs in the room (there were two) had a free music on demand service - great fun for when were getting ready to go out. We were quite close to the lifts, but this didn't disturb us at all - in fact the room was very quiet.ServicesWe didn't eat in the restaurant, so can't coment on that, although it did look very nice. The bar closed at about 2am even though it was full - this upset more than a few guests. Drinks were expensive, but we expected that. We did order room service - just sandwiches and snacks - no problems there.LiftsThe lifts are really slow - we were on the 10th floor so had no other option than to use them.NearbyLocation is very good and very handy for Westminter and Waterloo. There are a few cafes and small shops nearby. Because we had the kitchenette in our room, we went to the local M&amp;S simply food and brought our meals back.I would definately recommend this hotel, especially if there are three of you wanting to share a room - not many hotels seem to offer this.	
Apr 2 2008 	Fantastic Stay	Stayed here on a recent work trip. I got a great deal through the top secret collection on last minute and was very pleased with my choice. When travelling I much prefer deign led or boutique hotels but I can’t normally get this in London on our company budget so staying here was a real treat. Modern design, brand new rooms with excellent facilities. I did not have a suite but my room was on the ninth floor and had spectacular views over Big Ben, the Houses of Parliament and the London eye. Please note that some of the suites have an internal view.The location is very convenient right night door to Waterloo station and within walking distance of all of Southbank and Westminster’s attractions. The staff were very friendly and helpful. I would stay here again on business or pleasure.	
Apr 1 2008 	Great Suite Room for a Family	Our family stayed there Mar 13-19 and enjoyed our stay very much. Great location - a couple of blocks from the Eye and a 5 min walk to the Waterloo tube. There was contruction going on right across from us but it didn't bother us since we were out all day sightseeing.The staff was very friendly and they always tried to help you with your question or issue though some were better at it than others. The room was very nicely furnished (and new) and a good size for a small family (max 2 adults and 2 young kids). The separate sitting area with a sofa bed and flat screen tv was perfect for our 12 yr old and the bedroom area was nicely appointed as well. Though I would've reversed the floor plan so the sitting area would be first as you walked in and the bedroom area would be further in where the large window (and natural light) was. The counter area with the microwave, hot water kettle, and minibar were wonderful! However, we couldn't get the internet to work on our in-room tv. The staff gave us an IT support number to call and they said they couldn't help us and we had someone come up to our room to check and he couldn't figure it out either. The bathroom was very stylish and not too small like other European bathrooms I've seen - the basin was a little shallow and it took a few minutes to figure out how to operate the two different shower heads. All in all, a great bathroom!We had breakfast included with our stay and it was a very good buffet breakfast - great variety and they even made omelets to order! It was usually very crowded for breakfast and it was hard sometimes to get coffee/tea refills. The hotel did set up an overflow breakfast room though it was on a different floor but it offered most of the same breakfast items. Agree with other reviewers that the elevators are the one area that needs to be worked out. It took a while to catch one during the busy hours so we ended up going down 5 flights of stairs several times during our stay. Would definitely stay in this hotel again assuming I was able to get a reasonable rate like we did this time.	
Apr 1 2008 	Good family option in central London	It's inevitably difficult to find reasonable accomodation for a family of four at a reasonable price in Central London, so I was pleasantly surprised to find a suite at this new hotel for £135 per night (Room only, plus VAT - hotel website). The location is excellent. You can walk over Westminster bridge to Parliament Square in 10 minutes or over the Hungerford footbridge to Charing Cross and Trafalgar Square in 15 minutes. Also of course, Waterloo station, the London Eye and the South Bank are only a couple of minutes away. As described in the other reviews, the hotel is ultra modern and check in was quick, friendly and efficient. We'd asked for an early check in and a room on the upper floors with a view and both were granted without fuss. Our suite, on the 12th floor, had a small double bedroom area, a corridor with a kitchenette and superb bathroom and a living area with a sofa bed for the kids. You're probably wondering why I haven't given this hotel five stars. Well, as reported elsewhere, there are still several teething problems.  Our biggest problem was the beds. Both the double bed and the sofa bed are on the smallish side, but we found both to be over hard. In particular, the sofa bed was probably less comfortable than the floor and we ended up piling as many pillows as possible on top and the children slept on that arrangement.  Second problem was the housekeeping service. We called the housekeeping number several times and they never answered. The only way to get through was to call front desk and they dealt with the request. Once you do that, the service is pretty quick, but not at all efficient. We asked for bedlinen for the sofabed and they provided sheets and duvet but only one pillow. We asked for four sets of towels every day and every day got two sets. It became routine to pick up the phone every day and call front desk to get two extra sets of towels. The ultra modern expresso machine didn't work and it took them two days to fix. They kept removing the soap from the bathroom. They only provide cups, plates and utensils for two people. They expect you to wash up (of course) but there is no brush, cloth or tea towel to wash up with. We got our soap and our kitchen stuff in the end, and all these were relatively minor irritants, but an irritation nonetheless. Third problem was that we took a bottle of cola from the mini bar and attempted to open it on the &quot;built in&quot; opener. Unfortunately the &quot;built in&quot; opener wasn't, and all the cola spilt out into the drawers. Again, only a minor inconvenience, but the irritation was that the lady at the front desk insisted that we pay for the drink. She seemed to think that there was no way to reverse the charge once it automatically gets added to your bill.  We must have stayed at the same time as the previous reviewer as we were also disturbed twice by the fire alarm at 08.00 and 11pm. My concern here is that the emergeny exits and stairs are not clearly marked and there could be big problems in the event of a real emergency.  Finally, also as previously mentioned, there are only three lifts and there are still teething problems with them. If one lift is out of order, even temporarily, at peak times, you can be in for a long wait. As we were able to prepare our own breakfast in the room and there are several alternative breakfast cafes in the area, we never used the restaurant, but the bar area was very cosy. There is an excellent fitness centre in the basement, all brand new equipment as well as a sauna and steam room. All in all, still good value for the money. The bathroom in particular, was one of the best I can remember of any hotels I've stayed in. However, there are still too many problems to give top marks. Three out of five may be a little harsh. Perhaps if they hadn't charged me for that cola......	
Mar 30 2008 	Great New Hotel	We stayed for a week in Mid March and we were a little wary first because it was a brand new hotel and reviews on here IDed the hotel as having 'teething problems'To our suprise though, everything was almost perfect at County Hall Park Plaza. Upon arrival we were greeted by friendly staff who were willing to go out of their way to accomodate our needs. They even allowed us to get to our room much earlier than the check in time - because they saw that we had just come from a late night flight and were exhausted. Until the room was ready - they stored our bags for us in a locked room and provided us with tagged receipts for the bags.When we got to the room, it was really everything we expected - just a little smaller than some of the photos on here reveal. We were booked with a double - so we had no lounge area. But we had a great view overlooking Waterloo station and train tracks on the 11th Floor. We could even see the Houses of Parliament from the window. As for the room, there was a great kitchenette - although the space of the mini-fridge was limited because the mini bar took up most of it - and we couldnt figure how to even open it. The microwave was a bit confusing but worked out fine once we understood how to work it. The beds were very comfortable - for the double, they were two mattresses next to each other on some kind of frame. Lots of space for wardrobe and storage. The TV was as expected - digital flatpanel. Most of the channels were just the networks that were on Freeview along with a couple of music and news channels. But good news for international visitors - they had a huge selection of German, French, Greek, and Italian channels availible. There was also radio available on the TV along with internet radio and playlists that the hotel made.The bathroom was great. The toilet was the only real problem - where it would be stuck on the flush mode - but was easily fixed by pressing the flush button lightly. The glass sliding door however, gave little privacy and also had a tendency to fall off its track on the bottom. The glass shower was great - had a rain head and another nozzle that could be adjusted and moved. The bath was also spacious.We only really used concierge once - and that was because my cell phone charger would not work with our US to UK wall adaptor. They were nicely able to charge my Nokia phone with their universal charger. As promised it was charged, and stored properly and availible for pickup later that evening.The meals were decent. We only really did breakfast and one night of room service at the hotel. Except for easter sunday, when it was really packed, we were able to have the full english breakfast buffet (even though we were put down for continental) - The full english breakfast was full of great food: eggs, bacon, ham, beans, toast, fruit, pasteries, cereal, and much more - served with coffee, tea, or an assortment of juices. All very delicious, fresh, and served hot. When we got room service, it was fast and delicious high quality food - and was pretty reasonable in terms of price for hotel room service.Overall hotel negatives - I would say the lifts are a little slow - usually took between 5 and 7 minutes to go down in the mornings when there was a lot of traffic. But thats only because there are 3 in the main atrium. There are however some elevators located near the stairs in the corners of the building - but I'm not sure if they are for guests. We also had the fire alarm go off twice during our stay - one was very early easter morning. this was due to 'guest actions' The first time, we trecked down the 14 total flights of stairs to the ground - and were told that we did not have to evacuate. The second time (the same day), we just stayed in the room and the alarm shut off after 3 minutes or so.There were so many more positive aspects however, and we were quite pleased with our experience and stay at County Hall Park Plaza. I would definitely come back next time I travel to London.	
Mar 28 2008 	Good upper mid market hotel	I work occasionally in Central London and am always amazed at a) the size of rooms normally found b) the exorbitant cost per night. As a result when I heard that the Park Plaza had opened (1st Feb 08) a new hotel I was keen to try it out. Generally speaking I found it to be good quality at reasonable price (if on the high side). However, there are still a few teething problems as mentioned by other reviewers. That said these were very few and generally speaking my stay was very pleasant and quiet. I also had a meal in the restaurant, which was good with the staff being extremely polite and friendly. What improvements would I like to see, small issues such as the lifts stopping at the correct floor. (I had to take the stairs down 7 floors as the lifts constantly bypassed this landing).Would I go back? Yes definately.	
