	stay somewhere else	We spent 2 weekend nights at the London Guards and could not wait to leave. The receptionist barely spoke to us when we checked in..we had to ask about breakfast times, check out etc. and were given one word answers. We stayed in a quad room that smelled like my grandmothers attic. Luckily our next hotel in Edinburgh had laundry facilites because our clothes all smelled musty. My daughter fell badly on a wet floor coming downstairs one morning (no signs posting it was wet) and the 3 employees who were watching didn't say a word or try to help. Unbelievable. The Lancaster Gate tube stop was also shut down so it wasn't even convenient. The breakfast was sufficient and the servers were polite. This is about the only positive thing I can say about this hotel. There are too many other options in London to stay at this hotel.	
Jan 14 2005	Good room good location good price. Simply good.	Me and my girlfriend stayed at the London Guard for three knights and where very pleased with our stay there.The rooms were clean and so was the bathroom (taken in mind that this isn’t a totally new building and it’s not Hilton). Our room looked very much as the rooms in the photos displayed on there page.The last time I visited London I stayed in a much more expensive hotel and it was horrible. So I wasn’t sure what to expect from a hotel for this price.It’s not super fancy but it suites people who want a nice, clean, cheep hotel close to the city centre. I would strongly recommend the hotel to anyone travelling to London.	
Jan 7 2005	Nice hotel great location good price	I was worried about staying at this hotel, since I had a bad experience with another privately-owned townhouse converted to hotel. But I was very pleasantly surprised. The hotel is located just three blocks from Lancaster gate tube near the north-central part of Hyde Park. It is also with in walking distance of Paddington Station. They have a lift (elevator). The room was very spacious with a desk, wardrobe, safe, refrigerator and tea kettle. The bath was clean and had a nice large tub and shower (and even a medicine cabinet and a hairdryer). Only continential breakfast is included. I couldn't have been happier for the price we apid was the cheapest in our 3 week stay and one of the better budget hotels i have stayed at anywhere. I would suggest booking your own taxis as they hired an unmetered private car that tried to overcharge me and was a very poor driver that ran red lights.	
Nov 7 2004	Good location funny bathroom smell	the outside and lobby are very pretty. There is a PC in the lobby that provides very cheap Internet access to check your emails. It is in a good and safe location, right by a tube stop and the park. I thought the room was a typical (small bed/bathroom) European 3 star. We had an interesting 2-story, 2 room, 2 bed room even though we only needed one bed. The bathroom and towels had a very funky smell. My husband did not like it, but I thought it was worth what we paid for the location and quality. A little &quot;secret&quot; - there is a very surreal Russian-run bar down in the basement. You have to check this out.	
Sep 25 2004	Very smelly	Rooms smelled of filthy cigarette smoke. When asked for a non smoking room was told that I was in it! Room was lovely and street was very quiet. Great location, but smelly room made it difficult to sleep.	
Aug 30 2004	Great Value	We thoroughly enjoyed our stay at this hotel. We had a last minute booking for a twin room and ended up with a family room - plenty of space to spread out! It was perfectly situated for seeing the sights. Also the breakfast seemed perfectly adequate to us and the staff were very friendly and helpful. Only small niggle was the plumbing. The shower was rather antiquated and when running a bath one morning, the cold water came out of the bath tap and the hot out of the shower! For the price we paid it was great value - if you want luxury pay luxury prices! This is an old building not a modern &quot;box&quot;. We would happily go back	
Aug 24 2004	excellent value	Just returned from two night stay. Hotel very clean, staff pleasant, triple room very spacious. The area although a few minutes out of london was very pleasant and close to tube. We found two nice pubs for food and drinks and two nice restaurants. Minus point bar/restaurant closed in hotel, but I would return and recommend the hotel.	
Aug 20 2004	A good place to stay	Enjoyed very much our stay in airconditioned well equiped ensuite room for bargain price. The breakfest was not as good - for extras you should pay.	
Aug 18 2004	great value	We stayed at the London Guards hotel for two weeks in August, 2004. We were thrilled with our large, clean, air-conditioned room. The hot water ran out a couple of times and once the maid made an executive decision about what was &quot;rubbish,&quot; and needed to be thrown away...but otherwise our visit was stress-free and very pleasant. The (included) continental breakfast is orange and/or grapefruit juice; dry cereal ; toast, croissants and rolls; coffee or tea. One could order off the menu (an expensive option) if one needed a more substantial start to the day. Since there are refrigerators in the rooms, you could have a handy stash of yogurt and other snacks. This was my 10th trip to London and I have never returned to a hotel (including a Hilton and a Sheraton), but I would definitely return to the London Guards......I think it is an excellent value. The location is convenient to shopping, restaurants, and public transportation. If you like to walk, it is literally steps from beautiful Hyde Park.	
Jun 18 2004	great staff	The staff was terrific..solved the A/C problems, set up a private car back to the airport for us, helped with directions and places to change money. I would stay there again. Also good location..near Hyde Park and tube stations. 	
Jun 15 2004	The place has a lot of potential.	We stayed at the London Guards in June, 2004. First the positive - the maids did a great job keeping our room clean. The sheets, floor and bathroom was always clean. The room was also very quiet. Unfortunately, it appears that repairs are not a high priority. I.E., the ice-maker was not working during our entire 7 day stay. The shower was held up with duct tape, and the couch in our room was tattered and stained. And finally, upon arrival, we caught the Heathrow Express, then hailed a cab from Paddington Station to our hotel...the cost for the cab was 4 pounds. We asked the concierge to arrange for a cab to take us to Paddington Station to catch the Heathrow Express for our return home. Instead of a cab, they arranged for a &quot;mini-van&quot; to take us to the airport. The van was smaller than the cab and we were charged 13 pounds for the same trip.	
Apr 12 2004	Love this hotel!	I'm puzzled by the negative reviews I see here. I stayed at the London Guards in December 2003 and found it just wonderful. The rooms were clean and the bathroom was pristine with a great shower. The room itself was HUGE, the ceilings were high and you could lie on the bed and gaze out the window which was particularly nice on rainy mornings. I was on an upper floor and it was quiet and just lovely. The best things are that there is a fridge AND air conditioning but best of all, the bathroom is sort of off by itself, off the entrance to the room (inside the room, of course) but separated from the room by 2 doors. I don't know about you, but I like the privacy this allows. The internet service downstairs is cheap and the staff is very cheerful, even in the wee hours of the morning! The bed was comfy and this hotel has a nice quirkyness about it, full of secret passageways and odd angles. It took me 10 minutes to find my way downstairs the first time I stayed there! lol I love this place and for the money...come on people, let's not be sooo critical. If you want the quality of the Savoy, you can stay at the Savoy.	
Apr 7 2004	Quality is Slipping	I just returned from a week long stay at the London Guards. This was my third stay at the hotel and I was disappointed with the decline in the overall condition of the facility. The bed coverings were dirty, the rooms were not well cleaned, we ran out of hot water several mornings, the elevator floor was warping, and the wallpaper was peeling off the wall. The staff was very helpful, however, and allowed me to move to a more suitable room when one became available. I love the location and staff of the hotel but am not sure that I will return unless the room rate is extremely favorable!	
Mar 11 2004	Unhelpful staff	I was in London with 2 American friends and had to change hotels as the original booked was not good! We went on-line and found this, unfortunately... On arrival, the guy at reception was not at all helpful and then told us that although we had booked a triple room we actually had a double with an extra single bed. One of those situations where you know it will take so long to find another hotel and only a short trip etc etc so we agreed to take it. The room was small but OK -the windows rattled the whole nights - and there was no heating in the very cold bathroom. We only had one key and that nights two of us went to theatre while our friend recovered from her flight. The receptionist was most put out that we asked him to open the door - he thought we should wake her up! Dont go - find another, friendlier hotel!	
Mar 2 2004	Saty away	I did not sleep at all, beds way too hard. Rooms tiny. Brakfast is just a lite snack, you are better off at a vending machine. Attraction are way too far. STAY AWAY	
Jan 12 2004	Dreadful		
Jan 7 2004	Clean And Quiet		
Dec 16 2003	good value good location		
Jul 23 2003	Great Location but...		
Jul 1 2003	Would go back!		
Jun 6 2003	London Guards disappointment		
Oct 8 2009 	Tranquillo e ben collegato		
Sep 14 2009 	Très bien		
Sep 13 2009 	Für City Trip beste Wahl		
Sep 3 2009 	Albergo ideale per visitare Londra		
Aug 31 2009 	Il peggior servizio mai avuto!		
Aug 23 2009 	Calidad y precio no se corresponden		
Aug 21 2009 	Bon Hotel		
Jul 28 2009 	Empfehlenswert		
Jul 14 2009 	Volveria a ir sin dudarlo		
Jun 28 2009 	ottimo		
Jun 26 2009 	ottimo hotel		
Jun 14 2009 	pulito e centralissimo		
Jan 11 2009 	Indische Gastwirtschaft		
Nov 2 2008 	Bon rapport Qualité/prix		
Oct 28 2008 	Comodo e essenziale		
Oct 6 2008 	Das Hotel London Guards ist emfehlenswert!		
Sep 7 2008 	Furchtbar dreckig!		
Aug 23 2008 	Céntrico zona tranquila y buena relación calidad/precio.		
May 13 2008 	Parfait pour visiter.		
Feb 17 2008 	Awful		
Jan 4 2008 	Encantador		
Dec 16 2007	Hôtel de charme dans un quartier résidentiel face à Hyde Park		
Dec 11 2007 	Nada de lujos pero muy buen situado		
Dec 6 2007 	ha rispettato le aspettative		
Sep 28 2007 	E` andato tutto bene		
Jun 22 2007 	excelentemente bien ubicadolas habitaciones son comodas el baño esta bien		
Sep 7 2006	Bien dans l'ensemble malgré certains points à améliorer.		
Aug 24 2006	tranquilidad y muy malo y escaso café		
