	Great service top class cleanliness and and central location	Stayed at the Imperial midweek for a couple of days in November. Perfect location for visiting any part of London's West End, we were going to the theatre and shopping. Hotel reception cosy and relaxing. Staff were superb ( repeat superb) throughout, always hepful and polite. Twin room on third floor overlooking courtyard was large and had good quality lighting rather than the 40 watt bulbs provided by other hotels.Breakfast of hot and cold food ( all you can eat buffet) served to about 10 am, staff come around with tea and coffee which stops the buffet area getting clogged up.Very clean hotel and we would definitely stay here again. by the way the rooms are not air conditioned but you do not need that in London anyway.	
Mar 13 2006 	Nice hotel would stay again.	Having parked the car in the underground car park, we looked for the entrance to the Hotel. Signage was very poor, though we did eventually find a door marked &quot;Entrance to Hotel&quot;. On going through this door we were faced with steps up to the hotel. Had I been a wheelchair user, there was no indication as to an accessible entrance. On arriving in a reception area, we attempted to check in, only to find that we were in the reception area of the President Hotel, rather than the Imperial. The President and the Imperial are in adjoining buildings. Having been directed to the Imperial. We checked in. Check in was efficient and the receptionist friendly and helpful, as was the porter, who advised us what time we needed to leave to get to the show we were seeing on time, and arranged a taxi for us.We had booked one double room, and one single room. Past reviewers had said that the rooms were small. Though we found them perfectly adequate for our one night stay. The room and bathroom were clean and tidy with plenty of hot water, though the bathroom could do with some updating. There is no air conditioning in the rooms, though as we visited in March this was not a problem. Though the temperature of the room when I first entered was very warm 24c. There is no way to control the heat other than to open the windows. The room I had faced court yard, and there was some noise from the Air conditioning of the building below. The tea and coffee making facilities are rather mean, two sachets of unbranded tea and coffee, powdered milk, sugar and two plastic spoons, it would have been nice to have a wider choice of beverage, and UHT milk. The room had a direct dial telephone, modem point, Trouser press, TV and Radio. The head board has a control panel which controls the lights, the TV and the radio. Speakers for the radio are built into the headboard, and a speaker is also installed in the bathroom, so you can listen while you bathe. The bed linen was clean and white, always a good sign in a hotel, as dark linen can hide a multitude of sins. Food was available in the night and day bar on the ground floor up until 2am, the food quality was good, and provided good value for money. On the first floor of the hotel is the Emperor Bar, we never saw this open, we were only staying one night, and arrived back at the hotel after it had shut. But you could sit there during the day, and enjoy views over Russell square. The imperial is in a rather ugly 1970's building, but the interior is clean and well cared for, the carpets and furnishings are clean and in good condition. The hotel would benefit from air conditioning in the rooms, or at least room thermostats, and the aluminium windows replacing with modern double glazed units	
Feb 6 2006	Adequate Hotel - Perfect location	Ask for a front room on the eighth floor: the view is worth the price of the room alone: you can see the NW London skyline from the BT tower, through the British Museum to the London Eye and, below, leafy Russell Square, the largest square in London. The location is ideal for the West End theatres, Soho, the British Museum and, because you can get the Piccadilly line at Russell Square tube station, the museums at South Kensington. The room are clean and perfectly adequate, although (nasty shock) the in-room bar was not stocked. The public areas of the hotel are a little dated, adopting a brown-panelled mock-baronial theme, and the smell of cigarette smoke lingering in the lobby may alarm North Americans (although proposed legislation is likely to outlaw smoking in such areas within a year or two). The breakfast buffet, rarely good in any hotel, is ok (with some reservations about the egg dishes). Unless you demand Sheraton, Four Seasons standards of accommodation, this hotel does the job. I would return.	
Feb 2 2006	Good Location	The Imperial hotel is just around the corner from the Russel Square tube station, which lets you easily get around London. We only stayed for one night with a tour group. The rooms were small but seemed relatively clean. Not luxury, a fairly good value for something in central London. Would stay here again next time.	
Feb 1 2006	Good Location Good price.	Me and 2 friends stayed here on New Yrs Eve, got a very reasonable rate direct through their website.The Hotel is within short walking distance to Russell Square tube station, and abit further to Holburn tube. Our night out venue was The New Connaught Rooms, Covent Garden - which we walked to &amp; from, took about 15mins.The room had 3 single beds which is abit of a novelty because usually in a triple room you just get 1 double and 1 single. The size was decent and everything worked. The bathroom and toilet was seperate which was nice - although no locks on either.The fire alarm went off just as we was leaving, we ended up getting locked in the fire escape staircase as the fire door on the ground floor appeared to be locked - needless to say it scared us half to death!! We got out when 1 of my friends managed to use her nails to grip on to a bolt to open one of the fire exit doors - when we mentioned our 'near death experience' to reception she couldnt have cared less if she tried and mumbled something about getting someone to have a look at it. Apart from this incident - nothing to complain about the hotel, it served a purpose!	
Oct 22 2005	Good value	This hotel offers good value and is in a great location. I stayed there in September 2005, sharing a twin room with my mother. I was a bit concerned having read some of the reviews of the hotel before I went but would stay there again because of its amenities and location (noting, however, previous comments that double rooms are small).While the hotel is a bit dated, and the room was not air-conditioned, the hotel has lifts and our twin room was clean, of a good size and had the bonus of a toilet and bidet separate to the shower and bath. It also had two separate closets for hanging clothes, drawers, a TV, fridge and tea/coffee making facilities. In fact, it looked just like the photo in the brochure (but no mini bar as advertised). Ice could be obtained from the modern bar on the premises, which also served meals and provided room service. Our room faced Russell Square and had a lovely outlook but did suffer from traffic noise - however nothing that earplugs didn't fix. Ask for a room facing the courtyard if noise is a problem. A full hot and cold buffet breakfast was included, and while certainly not the best I have ever had, contained enough variety to satisfy most needs. Service from staff was a bit mixed - seemed to be a lot of younger foreigners on working holidays - but no worse than other places in London and Europe. But the best thing about the hotel was the location - opposite lovely Russell Square, near the British Museum and close to a tube station on the Picadilly Line (easy access into the centre of town - Picadilly Circus, Leicester Square and theatres). There were lots of amenities close by also - restaurants, pubs, hairdresser, Tesco Express. It is also close to a &quot;Big Bus Tour&quot; stop (which I would thoroughly recommend - hop on/hop off pass valid for 48 hours and including a short river cruise). It depends what you are looking for in a hotel. The Imperial is certainly not luxurious but I have stayed in other hotels in London where I have had to drag my bag up flights of winding, narrow stairs or that have been billed as four star but have not had enough room to swing myself let alone the proverbial cat. While remembering that London is not cheap, if you are looking for a moderate hotel in a good location then the Imperial offers good value.	
Sep 18 2005	Hotel adequate but great breakfast buffet	Stayed there last night (17 September 2005) as we were attending a dinner function in the hotel. Room was small, but clean and comfortable.The website advertises that each room has satellite tv, but the only extra channels available were a French one and a German one - not the usual Sky selection that you expect in the UK.A slight grumble was that my wife and I felt cold in the room at night - we rang the front desk to ask where the temperature control was located, only to be told that &quot;the heating doesn't come on until October&quot;!The breakfast (included within the rate of £98 for a double room) was very good.	
Jul 21 2005	Imperial Hotel Nice	Stayed at the Imperial for 5 nights after the London Bombings. Rooms are small and could be updated ... but that didn't bother us. Great views of London directly over Russell Square. Hair Dryer didn't work, but when you're on vacation who cares about your hair! Breakfast is ok, but would recommend going out for breakfast. Staff was very nice and helpful with maps and info on London. We kept our luggage there while we went to Paris, and everything was secure. I will stay there again.	
Jun 21 2005	Imperial is good	The rooms at the Imperial are small as compared to the usual American hotel rooms but this is a very nice European hotel. It is old but it is off the street a nice distance and there is not a problem with street noise. We found the hotel very clean and very well staffed. We think this is an excellent value in London.	
May 25 2005	Great Hotel Near British Museum for Students and Budget		
Apr 24 2005	Great Budget Hotel		
Apr 3 2005	regular to nice		
Mar 26 2005	Don't stay here--you'll be disappointed		
Dec 28 2004	A Good Value and Excellent Location		
Dec 1 2004	Thin walls and windows		
Sep 30 2004	great value and location		
Apr 9 2004	good value for London prices and excellent full breakfast		
Mar 21 2004	Double bed incredibly small		
Dec 28 2002	Tiny but comfy		
Nov 23 2009 	Molto buono per gli standard di Londra		
Oct 25 2009 	Hotel muy bien situado		
Sep 29 2009 	?????		
Sep 21 2009 	En recepción son lamentables		
Sep 16 2009 	Hotel muy viejo		
Aug 4 2009 	para volver		
Jul 19 2009 	Correcto muy buena ubicación		
May 18 2009 	hotel muy mediocre		
Mar 20 2009 	Très sale hôtel/ Puces trouvées dans les chambres		
Feb 17 2009 	mi estancia en imperial hotel		
Jan 2 2009 	Buen hotel calidad/precio		
Nov 25 2008 	Pas mal		
Oct 22 2008 	Hôtel industriel		
Sep 25 2008 	Buen hotel para ser de 3 estrellas		
Jul 20 2008 	hotel recomendado		
Jun 6 2008 	Correct sans être plus		
Jan 7 2008	excelente situacion		
Dec 9 2007 	OttimoOttimo		
Jun 2 2007	Imperial hotel funzionale e pratico		
Mar 5 2007 	Tranquilo y limpio.		
