	Beautiful hotel shame about complacent staff	The Mayfair Hotel is stunning-great location, very clean and tidy and uber trendy.Barely a week goes by without photos of one celebrity or another seen going in or coming out of this popular hotel.Therefore, I expected alot more from this hotel.We arrived later on in the day, when reception was relatively quiet, however the gentleman behind the desk was surly, moody and didn't look remotely bothered to attend to us when we approached the desk. He made no eye contact with us whatsoever and didn't even greet us.After he gave us our room key he walked away without telling us where our room was,how to get there etc....I was at least expecting him to ask us if we wanted a newspaper in the morning, or if we needed help with our luggage (of which we had a very large suitcase), but I was very disappointed by his whole demeanour and couldn't believe this was a 5 star hotel I was checking in to. However, once we got to the room I was delighted.Large, clean, with a king size bed and marble bathroom, this more than made up for the rude reception staff. However, at 8am the following morning, we were woken by a knock at the door! It was the housekeeping staff wanting to make up the room! At 8am! We couldn't believe it, especially as we had gone there to relax for the weekend and catch up on our sleep.I was shocked later in the day after returning to the hotel at 4pm to discover our room hadn't been made up, despite housekeeping being so eager to do it at 8am! When we confronted the front desk about it, surprise surprise they just shrugged their shoulders and didn't really see what the problem was. We had breakfast in the bar on our first morning as the restaurant was too busy. The staff were very polite and attentive, however we still had to wait 40 minutes for our breakfast, which we ordered off the a la carte breakfast menu, which I felt wa too long, especially as it was only a bowl of porridge that I ordered.All this being said, the hotel does have alot of excellent qualities. The bar is fantastic and there is always a lively atmosphere in there no matter what time of day.The spa is outstanding and the food in the Amba grill is delicious (I would recommend the cod!).It is also one of the cleanest hotels I have ever stayed in.When booking a room, asking for one that doesn't overlook the front of the hotel as we were kept awake through the night by people leaving various bars/nightclubs in the area.	
Nov 6 2006 	Very Trendy	Had a great stay here, very trending bar, seems the place to meet on a Friday evening. Great location just a short walk up to Piccadilly and The Ritz, booked via Lastminute.com top secret hotels - so paid very little for a fantastic room, the biggest I've ever stayed in. Had to be moved as the first room was close to the last of the building work - but this should be over very soon. There was scaffolding across the window, but didn't spoil anything, I don't stay in hotels to look out of the window especially in London, too much to do. We didn't get breakfast in the rate we paid but for £4 you can get a fantastic full English round the corner at Katies, head towards Berkeley Square. Would definately recommend a stay here. I also recommend using lastminute for a great deal.	
Nov 6 2006 	Location is key	Location is fantastic. During the week that price may be a bit steep but the weekend rate is quite competitive. Hotel staff was extremely helpful – when I was unpacking, I found that something had leaked onto my dress shirt that I wanted to wear that night. I explained the situation and they took care of everything and it all worked out beautifully. The bathroom was the best part … yes, there was a flush mounted flat screen TV in there. I would also highly recommend Nobu restaurant – it’s a trendy Japanese place that is right around the corner from the hotel.	
Nov 3 2006 	The scaffolding is still up	Previous writers have complained about the noise. Well, despite what they tell you, you will still find people walking on the scaffolds outside your room (mine was on the third floor) and as there are no net curtains, you have to pull the blinds in the daytime, which is no fun for a smallish room which has cost me over 350 pounds for the night, breakfast included.The pillows are terrible and you have a hard time getting a soft one from roomservice (which you will have trouble getting as there is no list of the phone numbers). The TV has neither CNBC nor Bloomberg, the shaving mirror and hairdryer are in the wrong place. Bathtub very slippery and water not strong enough in the shower, and there is a smell of the drains in the room. The breakfast room is too small and the fried eggs come completely dried out.Anything good at this place? Yes - the bed is very comfortable, the lighting for reading in bed is good, the staff at reception are friendly and the location could not be better, Green Park tube station only two minutes on foot.I came here because my usual hotel was full up (the Chesterfield in Mayfair) but will NEVER return.	
Nov 3 2006	FABULOUS!!!!!	The refurbishment is now complete and the results are stunning. This is an Uber-Cool hotel in possibly the best location in London. Its near EVERYTHING you want to see, however, its in a quiet street, set back from Picadilly. So you get the fabulous location without the noise.The interior is glossy, luxurious and incredibly cool. Check out the fantastic bar and lobby area. Breakfast in the restaurant is a must - delicious coffee, pastries and preserves in a very elegant setting. If you are a &quot;foodie&quot; there is a whole array of London's top eateries within an easy walk - Nobu is only accross the road!Finally, I must mention the world class Spa in this hotel. Ice-chip fountain, mud body wraps, massage and the best pedicure in London. What more can I say?	
Nov 2 2006 	5 star room 2 star service	Booked de-luxe room via Late Rooms for wedding anniversary at £200+ per night. Nice large room and comfortable large bed. Mini bar empty, despite room information stating replenished daily, as they have changed system to room service i.e. with service charge. No water in room, even though stated in room information that it would be in the fridge. Cleaner did not clean bathroom surface of toothpaste marks. We put towels back on towel rack after use, except 1 dirty one. Cleaner did not replace this and moved it from bath to a heap by the sink. Bar looked wonderful and planned to go there when we returned from Saturday evening out. Sadly closed at 11.00pm and is closed all day Sunday. We left Monday morning.They tried to charge us £9.99 for audio / internet , which we did not use at all.	
Oct 31 2006 	Noisy!!	I've just returned from a 3 night stay at the May Fair, which I booked through lastminute.com for 99 pounds a night. The location of the hotel is great, right beside the Green Park tube station and just off Piccadilly. The room was fine, modern and clean. However, on the first morning we were woken at 8am by two builders having a conversation right outside our window on the third floor. Then the hammering started! I nearly lost the plot. We had been told nothing at check-in about construction work. We complained at reception, noticing that several other guests were doing the same thing. We were all told that, in order to be moved to a quieter room, we would have to pay an extra 119 pounds per night! One poor man, who was in a family room with his children, just walked away in shock. The reception staff tried to tell us that building work didn't start until 8.30. We told them that it was 8am, but they weren't having any of it. My husband absolutely refused to pay any extra money, and insisted that we be moved to a quieter room. Eventually (and reluctantly) they gave us a room at the front of the hotel. If you can't sleep in a room that you have paid for, a hotel should provide good customer service by moving you, without quibble and charge. If that had happened, we would have been pleased with our stay and would probably stay at this hotel again. However, I have a serious problem with a hotel trying to charge you for this simple request. We were not looking for a better or better room, and the one we received was the very same as the one we were moved from, so why the charge? Should the offer have read &quot;99 pounds per night if you don't mind being woken at 8am to the noise of banging and drilling?&quot;. Overall, despite the nice features of the hotel, our stay was tainted because of this incident.	
Oct 16 2006 	It is so LOUD. The construction is AWFUL	I have never in my life had so much noise while I was trying to sleep. The Hotel would be nice but it was under construction - whatever they tell you is NOT TRUE - they are still doing construction. They booked me in a room next door to the construction noise which was so loud (especially the chainsaw) that stuff was rattling on the table in my room. Then some workers walked in on me in my room by accident and then they set the fire alarm off. When they moved me to a new room I still heard the noise. They do construction on SATURDAYS and SUNDAYS too! They start at 8am!Please be careful - I don't want anyone to experience what I experienced.	
Oct 15 2006 	Great location	Booked via Last minute.com as a Secret Hotel (you can guess it by the detail they give you ) Fantastic hotel , just finishing a £70m refit so the rooms and public areas are all new and very modern.Great value at £99 and 2 mins walk from Green Park Tube .No complaints - would recommend.	
Oct 11 2006	Fashionable	The refurbishment gives this hotel a luxurious feel. The room was very attractive and comfortable, although it is true, as other reviewers noted, that the attention to design comes at the expense of some practical requirements, such as a clock and an accessible bureau. (Mine was black and squeezed into the unlighted closet, making it impossible to see where to open the drawers). The staff was helpful and the atmosphere lively, but without excessive noise. Internet access in the business center was free and immediate. With an ideal location and competitive pricing, this was a good choice.	
Oct 9 2006	Beware of building work	I just spent one night at this hotel to celebrate a friend's upcoming wedding.The hotel's common areas are fine. The rooms are a little impersonal and painted an unpleasant shade of brown.The staff were friendly and efficient.My main complaint was being woken up at 8am, by extremely loud building work taking place on the floor above. We had not been made aware that renovations were ongoing at check-in. When we spoke to the duty manager she explained that staff never know where building work will be occuring and so are unable to ensure that guests are not placed in nearby rooms.She eventually agreed to give us a 50% reduction on the room rate. We were grateful for this, but felt frustrated that we had forgone a lie-in and had wasted 30 minutes sorting it out.	
Sep 9 2006 	Excellent location very good hotel with some caveats	We stayed at the Radisson Mayfair at the end of Augst for a few nights. We were two adults and two children and had a very large room. There were two full bathrooms and large very comfortable beds. The look of the room is modern and cool. As others have noted, the hotel has been completely renovated and it appears those renovations are just about done. Although there was scaffolding on some of the building, including outside our room, we saw no internal construction and did not notice any ongoing work. I imagine everything will be finished shortly. Although the hotel wants to position itself as a full five star property, it falls a bit short. The rooms have most every ammenity, including flat screen TVs, etc.,but in some small and obvious respects, they fall short. There is one tiny garbage can, in the bathroom, and it was likely designed by someone who never used one. Although there were excellent bath products, they were bolted to the wall. No bars of soap, no shampoo you could move around. There was a very clever small TV above the bathtub but, it didn't work. When we called for service the hotel repair man said all the bathtub TVs were giving problems and may never work. There was no clock in the room (other than a tiny LED screen on a phone). How do you design a 5 star hotel and not include a clock? When we called down for one, the response was &quot;we don't have any.&quot; Huh? They promised they would search for one and, sure enough, an hour or two later up came a small Timex like travel clock, tik tock tick tock all night long. A true five star hotel would have the clock in the first place - or go out and purchase one across the street.The location of the hotel is excellent. One short block from the Ritz, a short walk to Buckingham Palace, and a couple blocks from Piccadily. There is much within just a few blocks. Service at the concierge was very good. The front desk was good but a bit scattered at times. The lobby is modern and cool but, not the most inviting for sitting and watching the world go by. Breakfast at the hotel, included for two of us, was excellent. Great croissant, juice, coffee, eggs, etc. Yet, the price for the breakfasts that weren't included was outrageous. Twenty two pounds or so. In sum, if returning to London we would look again at the Mafair. Much would depend on price - and the price we paid wasn't very cheap. I was told by the hotel that, in the next few months they aim to raise substantially their prices. All &quot;deluxe&quot; hotels in London are expensive and, if this one can be had at a good bit less than some other top hotels than I would go for it. On that point, we found all of London exorbitantly expensive, at every turn. Taxis, bottled water in restaurants, salads, wine, desserts and everything else. Yes, we knew that going in but, it is still something when you see it in black and white. And, we live in NYC and are used to high prices. Yet, in retrospect, I do not think we really got value for money. The food in London was nothing to get excited about yet the prices were equal to the top of the bracket for any international city. While London offers much, so do many other cities in the world.	
Aug 26 2006 	Poor Choice	The new management of this hotel has opted for trendy and the fancy new-age look does nothing but annoy. The architect who designed this place and its rooms must hate people. No bureau in room at all. No side table. No lamp on room telephone table so impossible to see to jot down info. Other room lamps are placed so high on wall that they do not shed appropriate light. Only liquid soap in bathroom and bottle is bolted to the walls making it impossible to reach while sitting in the incredibly narrow tub. No wakeup alarm equipment. Tiny wastebsket and step- on can in bathroom. Non-welcoming lobby. And the air-conditioning in the restaurant is placed so that those seated on banquettes around the room get drafts down their neck. What a pity! The hotel localtion is superb. This could have been a great hotel.	
Aug 1 2006 	Watch out for the Air Con!	Stayed in the Radisson Edwardian for two of the hottest days and nights in London.Probably wouldn't go back at full price (slightly too corporate without being 'special') but the room was lovely, clean, refurbished and the fridge worked (unlike some other reviews). However, the Air Conditioning shut off at quater past midnight each night. Completely unnacceptable as it was so warm. Maybe they thought everyone would be asleep! Thankfully it was sorted after a phonecall to reception and someone arriving to query the 'problem' after half an hour. If you want to stay cool...stay awake...	
Aug 1 2006	great rooms bad service	The Edwardian May Fair rooms are by far one of the best i've seen in london and i've seen alot. great location, contemporary/oriental decor and one of the best places to have breakfast (Amba restaurant in the main loby). now the flip side, their costumer service is bad to say the least. You some times get the feeling that you're actually imposing on their staff. Change (£5-10 in coins) were stolen from my room and when i complained it was to deaf ears. elevators were not working during the first 3weeks of July weeks which was a b... i even had to use the stairs to get to my room on the 7th floor several times. their fire alarm went off 7 times during my stay for no apparent reson. construction ongoing work will wake you up by 8:30am, no excuses made. No swimming pool and their GYM...well its okay. In breif: Great room + great location + poor management.	
Jul 17 2006	Not an acceptable experience	Was very dissatsified with this hotel during my last stay in London. People expect more from Radisson. I was encouraged to send the following letter, along with photos, to management.Dear Sir,I am writing to express my utter dissatisfaction during my stay at the Radisson Edwardian May Fair near Berkeley Square for two days at the end of June. My previous stay in early 2005 on business at this supposedly grand four–star establishment was marred by ongoing construction and constant noise. When I confronted management regarding the problems and poor service, they assured me that construction was obviously temporary and would be completed by early 2006. Thinking I would give Radisson another chance with my business while in London, imagine my dismay when I booked a room again at this hotel and found that renovations were still not complete and very behind schedule. This time I was expecting an environment and service that was worthy of the 188 pounds (nearly $400 per night) room rate, and was pleasantly surprised by the new lobby layout and the efficient staff. That quickly and sadly turned to displeasure when I walked to and entered my corner room on the 7th floor.The following is a list of what I experienced:1) Dirty hallway littered with sheet rock and tools (in the MIDDLE of the hallway blocking access to rooms). 2) No hotel/room/telephone service guide available (how do I call room service, the front desk, etc.)3) No coffee /tea / cups in room (only the pot). Housekeeping took one hour to send up coffee/cream and they were handed to me not on a tray, but in handfuls of packets. 4) No trashcan5) Strong smell of paint to a point where it was most likely unhealthy6) Broken window glass7) No safety box for valuables8) A showerhead that sprayed water in every direction except through the intended nozzles9) Phone that didn’t work (there was a dial tone, but was not able to place call due to too much static)10) Refrigerator with eight loose screws and a dirty plastic bag, but no drinks.11) No newspaper delivered on either day despite being asked which paper I wanted delivered to my room12) Front desk computers were down the first morning when I needed to check an item on my profile. 13) Front desk computers were down again during check-out on the final day, requiring an unsecured payment process.Any one of these by itself would not warrant a letter, but collectively, it shows these problems were not simply overlooked items but rather the result of gross neglect of the most important aspect in the hotel and service industry. This is not an isolated incident, as my two colleagues, also guests on two different floors during the same trip, experienced a variety of other inadequacies as well?(ex. a shower stall with no guard to keep water from flowing directly into the room and soaking the carpet, another shower stall with two showerheads but only one knob). After my two experiences, I must say that I was expecting more from Radisson.Sincerely,	
Jun 30 2006	Okay but give it time.....	We only spent two days there. If you can use the email prebooking, then use it. You want to be as far away from the elevators as possible. We stayed in a deluxe two double bed room. The room itself is huge and so is the bathroom. Only complaints,no free water and the tv needed to be reprogrammed. The main lifts don't work and the other one is the size of a small shower. Subsequently we had to go up to our room in shifts. All in all this will be a nice hotel, however it's taking a long time to get things done. The restaurant is nice and the staff are personable which is rare in London. The food is good too.	
Jun 24 2006	Nice central location modern hotel	Stayed for 4 nights in a junior suite. We had to wait almost for one hour to check in (three rooms in total), probably because we arreiveed late and the man at reservation was totally unexperienced if not a trainee.The room and the bath room were huge and the modern decoration superb. However there had been extensive renovation constructions in one part of the hotel which started at 7.30 in the morning and I asked to get another room the next day. The new room was equally nice.The location of the hotel is very convenient near Picadilly, Buckingham Palace and Oxford Street.Overall a good hotel.	
Jun 20 2006	Poor Customer service	We arrived at 2pm to check in to the hotel, we were told the room was not quite ready yet, and offered a soft drink in the bar, Fine. Half a hour passed and still no word about the room, upon investigation i was informed the room was still being cleaned! 2 hours later we were finally able to check in!.Be warned at the weekend there is a limited menu available, and the bar tender, poor man seemed very harssed and unsure whether the kitchen could mannage bar snacks.After a spending an evening out in the city, we returned to our room, it was the hottest day of the week and neither myself or my friend could get the Air-Con to work. We phoned Reception twice and were told someone would be up to assist us. 3 hours passed and still no help. Unable to open the windows due to the scafolding that lay outside our room, we sweltered the night away.We rang down for Water, as there was none avaible in the room, although the room directory did state each room had mineral water, again no water turned up. Don't even get me started on the refurb and clealiness of the rooms!Upon check out i informed the receptionist of our dificulties, very discreetly i might add, in return all i got was a vacant look and a feeble responce of: Sorry! Here is your Bill.As a manager of a luxery hotel and a guest, i can not believe the lack of customer service, this hotel really needs a shake up.	
Jun 9 2006	smiley staff but incompetent	just arrived yesterday....i have now made three phone calls to the reception desk to request that someone put batteries in my in room safe. Is this asking a lot? At this writing it's still not fixed. Maybe I should just go out and buy my own batteries and fix it myself. Also...I waited til 4 p.m. to get my room which I was told would be worth the wait because of the lovely view out the window. This lovely view is one of scaffolding and construction! So I will just keep the curtain closed. Other than that...the room is nice enough and the business center is free....which is unusual these days. But the service needs to be improved upon. The staff is really friendly but no one can handle anything. They seem perplexed.	
May 28 2006	Luxurious Room	We stayed at this hotel earlier this month and I must admit that after having read some of the previous reviews for this hotel I was a little worried as to what I would find once I got there. Especially as it was booked as a treat for my husband. I need not have worried!Yes, there is building work going on at the moment and scaffolding can be seen, however, upon arrival, we were treated with courtesy and respect. Our room was not ready (although it was nearly 2pm), but we were seated in the restaurant and offered complimentary tea and coffee whilst we waited. By 2pm the room was ready and although the lift is terribly tempremental we were only on the second floor, so it was easy to take the stairs. We were in room 228 which has been refurbished. We paid a little extra because it was a delux double, but it was definately worth it. It is much bigger than other 4 or 5* London hotel rooms and the same goes for the bathroom. It had a separate bath and walk in shower, plus two sinks. There was also tea and coffee making facilities, however, the fridge did not work and there was no complimentary water as stated in the room directory.If you have limited luggage then I would recomend that you carry it yourself to your room. We waited over 15 mins and then when we rang reception, the wrong bags were sent up. Our luggage did arrive though a few minutes later.Breakfast was included in our price, and was nice enough. All in all, a good hotel and I am sure that once the building work is completed the inaccuracies in the service will be rectified. Would stay here again, but probably only for special occasions.	
May 23 2006	With eyes open this is a great deal!	OK - I was a little worried about booking this hotel, particularly having read the previous reviews - until the last one, that is.we were having a special weekend away with friends, and took a risk with the ongoing renovations at this hotel. Here is our experience.Location is fantastic. 2 minutes walk to green park tube station - on the same line as leicester square, convent garden etc. You can also get the jubilee line to waterloo from here. Green park is beautiful, and Buckingham Palace also really close.Checking in was really easy, and we managed ot blag some upgraded rooms as well.Rooms were clean, spacious, and had REALLY comfy beds. Free water in the minibar and luxurious bathrooms.The lift was the most negative thing. Only one of them, and only holds 6 people (actually only 3-4 if there is luggage involved), but the stairs are not that onerous.We didn't try the bar or the restaurant - preferring to head into the crowds and explore.All in all, this was a bargain hotel. Yes, there are renovations, but they are remarkably well hidden. All the interior workings are hidden behind temporary walls painted the same colour as the regular wall - quite subtle. Comfortable rooms, and fantastic location.Okay, it's not a 5* hotel at the moment, but it is pretty close, and for £100 a night, a real bargain!	
May 22 2006	Ripped off! Should not be 5 star	At £500 room only for a 2 night stay in this Hotel I feel more than a little stung.I was not advised when booking this hotel that it was in the middle of a refurb so was not happy to be paying £500 to stay in a building site.Our newly refurbished room had stained bedding, stained carpets, chipped marble in the bathroom. The decor finishing leaves a lot to be desired! The fridge was not cool enough to store babies food which was a big problem. When I asked reception about this I was told this was down to the refurb - not sure why?A relaxing stay in London it was not! Fire Alarms going off every 2 hours through the night made for fun with a small baby.We couldn't open our curtains at all in the room unless we wanted a builder staring right in at us.The lift scenario is ridiculous (take note if going with prams and wheelchairs) there is only one lift that goes to the ground floor (two more go from the 1st floor upwards!?!?). This one lift is just big enough for a pram and one person to squeeze in with it.We waited more than 15 minutes to try and get the lift down from our 5th floor to the ground floor. In the end I had to walk down to the ground floor get in the lift and prevent anyone else on the other floors from getting in just so we could get downstairs. Utterly ridiculous. Staff are friendly although slow at responding to housekeeping neglections. For example I called ahead on the morning of our check-in to double check that the cot would be ready in our room. When we arrived at night with a very tired baby we were disappointed to see no cot. We had to wait for a further half an hour for them to find it, then we had to put it up ourselves as no-one had a clue what to do with it. Refreshments in the room were not restocked either.Not sure what the decor is about. A bizarre mix of oriental, asian and western contemporary. Looks like a hurried attempt to modernise.The only thing going for this hotel is its location.Not sure how it qualifies for its 5 star status?	
May 15 2006	£99- What a bargin!!!	I am so glad I didnt read the reviews on here before booking. It would have stoped me booking the biggest bargin ever. £99 off Last minute. I am quite appauled at all the bad reviews - if you can show me another hotel the centre of London with such an impressive room for under £100 then I will eat my words. I often book last minute hotels on London and usually can only get a 4* for that price, where the rooms are all pretty much of a muchness. However walking into this room - my jaw dropped! The most comfy bed ever. huge walk in shower with the biggest shower head. lovely products. amazing deep stand alone bath. bang and oulsen TV, huge room. what more can you ask for!! Yes there was signs of building work and the lift is inconvenient but I found the staff pleasent, the bar staff pleasent. and the decor amazing. Also Nobu berkley is only across the road - yum!If you were not aware of the building work before you went I could understand some getting upset but come on, if you want a 5 Star hotel with no building work then pay the £300 price tag. Well done radission and thanks for an amazing weekend!	
May 9 2006	Our thoughts!	My boyfriend and myself wanted a nice weekend away to London. We booked this hotel through Lastminute. The hotel on the website looked amazing as an up and coming newly refurbished hotel in Mayfair London. We arrived and were greated by a nice lady on reception who gave us our room number and showed us to our room. We did however notice that there was building work being done... everywhere. This did not bother us to much. We got to our room, we have to say we were very disapointed. Being the nosy person i am i inspected the room. There was a hole in our wall where the windows had not been fitted correctly and the bath was dirty. We telephoned reception, and they said they would call us back, with an alternative. Half an hour later, we finally went down to reception, where we were greated by a rude lady! I told her about the problem, she then moved us to another room. The room was huge.The bed was huge and very comfortable. We decided to have a nosy around the hotel. The bars were shut, which was a pain!! We ended up going to Funky Buddahs across the road.. a whole group of wannabes!! (but thats another story) We never had breakfast in the hotel, as we were not even offered the choice, we would of probably paid aswell! However starbucks is not far round the corner!  On our last day we decided to book into the spa, this was amazing! We had a rainforrest shower and a couples mud bath. My skin was so soft, after days of having it. The relaxation room was heaven, however we could hear the tubes going past! This did make us giggle, maybe they need some music to be played. It was lush though. I was very relaxed! One thing we noticed that people waited for a tip, which was mad, as we would of probably giving one anyway. I did not like the pressure of it!! The best thing about this hotel is probably the room service we ordered at 3.00am it cost us £35.00 but it was worth it, and great fun! Dont think we would stay here again, been there done that one!!	
Apr 23 2006	Disappointed with hotel on this our second stay	Stayed at the R/E Mayfair Saturday 22nd April - we stayed here 14 months ago whilst an earlier stage of the renovation work was underway. Had a fab, HUGE room then.Booked the £99 lastminute deal and had read recent guests' reviews - a good thing we knew where the hotel was from our previous visit as otherwise it would be hard to find under the scaffolding &amp; boarding outside ground floor. Reception staff courteous and smooth check-in. We were given Room 203 - this room should not be a hotel room, it is a peculiar shape, hard to walk around the bed because of angle of wall - it is away from most rooms, and seems to be surrounded by hotel storage cupboard - we even had a vacuum cleaner outside our room for duration of stay, would not expect this in a 5* hotel. There is no dressing table in this room, to dry your hair because of the position of the hairdryer in a draw you have to stand infront of the wardrobe using the mirror on the door - this really is quite poor because the lighting in that area of room is very dim.Bathroom - bath tap half way up the wall - inconvenient. The extendable vanity mirror in the bathroom is at a very peculiar, low height - seems badly planned. The May Fair Bar (cocktail bar) was shut Saturday night (no explanation as to why), so we went to the Amba Bar - £19.45 for two vodka and tonics - expensive even by Mayfair prices??? The bar staff not friendly, had to wipe crumbs off of the lounge seating before we sat on it - would expect this to have been checked and done already by staff.The complimentary paper did not arrive this morning which we'd booked with Reception on check-in (maybe because they they forgot about us in this hidden away room), and, there were no complimentary biscuits/chocolates in the room with coffee/tea tray - very surprising and poor for a five star hotel.Will not return here again but use other Top Secret hotels - have had some excellent hotels via lastminute - think the Radisson Edwardian Mayfair is overpriced.	
Apr 19 2006	The best value I ever had in London !	I wanted to write this review as soon as I came back of London in order to tell the all truth about this hotel. I was really upset of all the reviews about it ! Whe I saw all the reviews here, I told myself that I will probably have the worst stay in London of my life (and I have ever been in london more than 20 times, that means more than 20 different hotels).And I must say that it was allmost the best deal I ever have !Therefore, my goal is to put your mind at ease if, like me, you booked this hotel through lastminute (you can have deals from £100 a night !) and after reading the others review, you start to think that you will enter in a worst place than the haunted mansion at Disneyland !Then, lets go !YES, there is Major building worksYES, the staff may seems unattentive or whateverBut we must all have in mind that, due to the refurbishment we all had great deals on this hotel.First of all, there is one word : LOCATION !Location is perfect, we are here at the middle of everything ! The tube is just one minute from the hotel and if you come from Heathrow Airport, take the picaddilly line ! You will be there in less than 45 mns ! No need to take the otherpriced and uneasy Heathrow Express...OK, its not very nice to enter in a building completely wrapped in scaffolding but it is easy to find as soon as you know that it is the only scaffolded building in the area ;-)But as soon as you enter in the hotel (great doorman by the way), you can only count on the &quot;wouahou&quot; factor ! Everything is luxury and opulent ! All the common area are based upon a orientalist theme with great buddhas and magnificent original artwork. You ave an enormous real baccarat chandelier that must cost an enormous amount too !The reception is very stylish with managers a little bit cool, to be honest, but very attentive if you have a problem. I can easily understand that they can be cold if everybody who comes there annoy them about the refurbishment ! It is not their fault.Upon checkin I had a little problem because they did not upgraded me as they should have done due to my Radisson Gold Card. There wasn't junior suite anymore they said...So I discovered my Deluxe king room (£125 per night). Very spacious for london standards with a magnificent bathroom with both tube and walk in shower ! The best was the Bang &amp; Olufsen TV with a nice entertainment program even though the number of channel is very limitedYes, another point very usefull : the complimentary wireless internet access in the room ! Very usefull...And, the better for the end : I had a marvelous view other the near square. I was on the 5th floor and no sign of scaffolding from my window.In one word : perfect !Very minimalistic but perfect.The next day, when I came back to see if an upgrade was available (they had forgotten me), after a little bit arguying, they final me found me an junior suite on the 1rst floor.And, then, it was even more &quot;wouahou&quot; ! Never seen such an opulent room with B&amp;O Huge Flatscreen (!!!), original oriental artwork, and everything you can count of a 5 star hotel. The room was more than huge and the bathroom was the best I ever had in my life with philippe starck amenities, a flatscreen tv and a &quot;rain&quot; like shower.I could speak for hours of this room ! So nice.Only bad point : the view was on scaffolding.But who cares ! I was obn my room to sleep, not to see the view !So, it was the best room I ever had in London (and I ever had suites in Le Meridien or other Radisson hotels), but it is definitely the hipest one I had.And regarding its price, it was a real bargain !!!Sure that when the refurbishment will be finished, the prices won't be the same.So my advice is that this is a fabulous offer for a 5 star in the heart of fashionable mayfair and that you must think first that when we are in a room we do not look outside but INSIDE !So this is a real bargain !	
Apr 10 2006	A real disaster - building works AND the most awful staff!	What a disaster! Major building worksHotel almost impossible to find under all the scafolding. Room totally devoid of natural light - when we lifted the blinds, our room was directly onto scaffolding and builders and dirt - couldn't leave windows open because of the filthy and noisy atmosphere outside.The staffThe staff, bar one concierge, were unattentive, surly, and not at all what I would expect from any service personnel.I was particularly upset when our room service arrived 1 1/2 hours after ordering - during that time I rang reception, house keeping and concierge, only to be left unanswered or passed onto somebody else who either hung up or did not answer the call at all.To add insult, the staff forgot to ask to sign for our room service and so returned at 3am, sometime later, when we were fast asleep. We were woken by his banging and buzzing the door!The icing on the cake was that I was really sick not long after eating the food that had been delivered.ComplaintWe naturally made the manager aware of the problems we had encountered during our stay. He too was disinterested and unperplexed by our outrage.What a waste of time and money - would never go back or ever recommend the hotel to anyone we know.	
Mar 29 2006 	Stay away till the works are over	The location is great, no denial about that. You would, however, have som hard time finding the place - it's completely wrapped in scaffolding, so you would not see any signs of the hotel.Rooms are rather nice - in that ultra-modern minimalist design. However, it's not much to my personal liking - I find this style to be interesting to look at but not very comfortable to use.Bathrooms are of Philipp Stark - and again, the same remark about design - interesting to look at, inconvenient to use. In my case, the bathroom (better say, shower room), also served as a huge walk-in closet. An interesting idea, but then prepare to see your clothes a bit damp - there is no other place to put them.Also the showers (there were 2!) are walk-in, with no separation of shower floor area, from the rest of the ablution suit. As a result, you'd end up with a pool of water in the whole shower-room/walk-in closet.Well, these are designer quirks.However, the worst part is construction - all you see from your windows is some rusty tubes, dusty planks, torn plastic and lots of rubble on those planks - like cigarette butts, smashed coffee cups etc. The work does start at 7 am sharp and you hear it well.It's not only outside - you can hear circular saws inside the building, dust flies around, there is a heavy smell of paint etc.There is an Ethernet socket in the room, but while I was there, it did not work. Wiring is in place, and you get some IP packets, but there are some server problem, as I could figure out from diagnostic messages. Ditto for Wi-Fi.Front-desk staff is cleary tired of complaints and requests for a room where all these construction symptoms are not so apparent - so they just seem to have given up long time ago and sulk.Breakfast - nothing to write about. I had it in room.Limited choice, so-so bread basket...Well, summing it all up - if you are a leisure traveller, coming for a weekend, want to stay central and are keen to see what a five-star hotel room looks like - give it a try, if you find a good rate. Otherwise stay away. At least, until November, when the construction would be supposedly over, but probably you'd have to give it few additional months to get that depression feel out of the hotel staff.	
