	Glorious public spaces but worn out rooms	We stayed at Claridge's for a weekend in November in a suite, which we were told had recently been 'refurbished'. The bedroom and living room, although both very large for central London, were rather worn out with vintage curtains and some chipped paint and tired carpets - fine generally, but not at £1,200 per night! The service standards are good, probably amongst the best in town, and the lobby is one of the most glamorous. For us, though, the room was a big let-down. Brown furniture, cheap pictures and very old fashioned lights and so on. It reminded me just how chic The Connaught now is, albeit with rooms which are a fraction of the size.	
Feb 25 2007 	Just once stay here!	If you need to stay anywhere in London please stay at Claridges.I arranged for my girlfriend (now fiance) to be picked up from Heathrow and driven straight there where upon I proposed on the balcony over looking the foyer. The Art Deco room was fantastic and so authentic. The staff could not have been more helpful and attentive without getting under your feet. I could not have wished to have been treated any better.It is a little on the expensive side but totally worth it.	
Feb 8 2007 	The best!!!	Okay it is expensive but hey what a great hotel and worth every cent for that special occasion!! As a special treat our family of five took advantage of the hotel's pre Christmas offer of two rooms for the price of one. When we arrived we were upgraded to a suite of rooms - two large bedrooms and a large siiting/lounge/dining room. At first we felt a little embarrassed about it all but we quickly got into the mood and made the most of it. All the rooms were spotless as were the wonderful bathrooms. The bathrooms were the size of some bedrooms we have stayed in in other European hotels. The general decor is olde world and that is the way it should be!! We loved it.The location is great and all the staff were excellent. One of my shirts disappeared from the room (probably picked up by the cleaning staff by mistake with the dirty linen) and the hotel had no hesitaion in reimbursing me the cost. We only had two minor problems with the hotel:1- The bar is to small and full of cigarette smoke. It was impossible to stay in there and we left straightaway. I was assured by the manager that it will be non smoking some time this year when new laws come in.2- The cost of the high tea was HIGH!! We tried it for the experience and enjoyed it. Having three hungry children was no problem and we were given extra sandwiches/cakes. The Marco Polo jam and tea was fantastic.The waitresse's were great and very friendly.It was a holiday experience our family will remember for a while and the wife and I cannot wait to get back (without the kids).	
Dec 11 2006 	Superb - but not perfect	The hotel creates an excellent first impression, the door staff and porters are friendly and could not be more helpful. Luggage is taken from your car and arrives in your room quickly and with a minimum of fuss. The room was excellent, spacious, comfortable and well appointed. I have read criticism on this site that the rooms and corridors are dated! This misses the point. The charm of the hotel is that it is a reminder of a more elegant age. Certain things have developed the patina of age but are no worse for that. if you want a modern up to the minute hotel then don't go to Clariges. If you want to see old fashioned style, courtesy and luxury the this is the place.It is often difficult to get a seat in either the Fumoir or the Bar because they are popular with non-residents and this can be annoying, staff do their best to accomodate where they can.I ate at Gordon Ramsay and was not impressed, not by the cold, solid and rather tasteless block masquerading as foie gras, nor by the impossibly pompous waiter explaining how i should eat cheese - at £370 for two i will eat it how i like!For a great meal at a (slightly) more reasonable price try the reading room - i prefered it to Ramsay but that may just be presonal taste.I would advise anyone to go, try it and try not to think about the bill - a superb hotel all round	
Nov 19 2006	The Quality Option	You have to pay through the nose for a stay here but whether you're minted or have a few squids spare, this has to be the London choice. Quality service from word go and quality food. You may need a bit of pre-planning though to get a table at Ramsay's although they pretty much always have a last-minute spare table. Contact the hotel directly and ask for a deal - you may be pleasantly surprised.........Quality	
Nov 18 2006 	Made me smile all day long	Loved it!!! From the minute we walked in, to when we saw our room, a Superior King with huge bedroom, huge bathroom with a 6ft+ long bath, separate dressing room, art deco surroundings, sumptious towels everywhere, wonderful bathrobes... ooo could I have taken these home? It put a huge smile on our faces. Evening dinner at Gordon Ramsey's was superb. I checked out all the reviews on Tripadvisor of several London hotels before booking and plumped for Claridges as I wanted dinner at GR's. My advice; book it, you won't regret it. We loved it &amp; can't wait to go back. Be informed, hotel price didn't include VAT or service chg, valet parking was simple, friendly &amp; convenient but £50pn, congestion chg kicks in at 6.30, internet is £20 pd. Maids are amazing, tidied our room even when we were at dinner &amp; folded, put everything away for us... we were in a mad dash. And check-in staff are excellent. Summary:- faultless, wonderful, want to live at Claridges!	
Nov 9 2006 	Good but not the best	Claridge's is ranked alongside any other London 5-star hotel you care to name, but is it really up there with the best ?On arriving at 2.45 pm our room was not going to be ready for an hour. On pointing out that we were booked for afternoon tea at 3.30 and wanted to change, we were offered a free upgrade and a 15 minute wait, which we accepted. There are not really enough seats in the smallish foyer for such a wait.The doormen and concierge staff were excellent.The room and bathroom were excellent, but the walls to adjoining rooms were paper thin and we were woken at 6.30am by next door running a shower.Tea in the Reading Room was flawess.On returning from a show we thought we would have a late drink. Claridge's bar is small, crowded, noisy, very dark and above all smokey. We walked in and straight out again -- nobody welcomed us or approached us. Awful bar. So we sat in the foyer lounge for 7/8 minutes hoping to be served with a drink, but although a few staff were buzzing about with trays nobody came to serve us so we gave up.Room service breakfast was expensive but excellent.Checking out was okay but the computer was down and they could not provide a copy of the bill (it will be sent on).Altogether a nice stay in a genuine 5 star hotel. But service is a bit patchy, and not always particularly friendly. In our view, both the Savoy and the Dorchester have the edge on Claridges.	
Oct 26 2006 	An amazing experience	We stayed at Claridges for the first night of our honeymoon on a Claridges &quot;Honeymoon Package&quot;.From the first moment we arrived at the hotel we experienced fantastic service. Our bags were taken from us as we got out of the cab and taken directly to our room whilst we checked in. The check-in was very relaxed and we were given an upgrade as we were celebrating our honeymoon which was a wonderful surprise (especially on a Saturday night). The gentleman who checked us in then took us to our room via a very comfortable trip in the lift on a sofa accompanied by an attendant.The room was very spacious and could be described as 'oldy worldy'. It was explained to us that most of the famous people who stay at Claridges tend to say in the more traditional rooms rather than the art deco rooms, which I enquired about.The rooms are full of antique furniture, quirky ornaments and it certainly feels very lived in. It almost like staying in someones house, with trophies in the cabinets and crests on the wall!As we had booked the honeymoon package, we arrived to a beautiful arrangement of red roses, delicious chocolates, fresh fruit and chilled champagne. We were also given two very fluffy and comfortable Claridges robes to take home. (As we were on our way to Mauritius they travelled the 12,000 mile round trip with us!)We had booked dinner in Gordon Ramsays restaurant and had a drink in the small bar before eating. Here you will find a very relaxed and comfortable area to have a pre-dinner drink. Dinner was out of this world and was made all the more enjoyable by the appearance of Mr Ramsay himself in the restaurant. The service is second to none and it really made our night one to remember. After dinner we we were presented with a plate with the words 'Congratulations' written in chocolate and sorbet adorned with candles...a lovely touch.Breakfast is again an enjoyable experience, as you can take in the true splendor of the hotel entrance. It is conducted in a very traditionally english way...just as it should be!I would recommend Claridges to anyone for a special treat and we hope to visit again soon.	
Oct 18 2006	Just the best	I stayed in Claridge's at the end of September for 2 nights. It was a year since my last visit. I had forgotten just how magical it is. As soon as I arrived, everything was taken in charge. The staff are without parallel - friendly and efficient but in a completely understated way. The reception manager (who is really exceptional) made me feel like a long lost friend. I was upgraded to a stunning art deco suite. But you don't have to stay in a suite to savour the unique atmosphere. In my experience, all their rooms are stylish and quite individual. The food is delicious and the location is perfect. It's somewhere to which you'll want to return - again and again.	
Oct 17 2006 	Amazing Hotel the best location in London	Every year we go to London and stay at the Claridges. The beds are beautiful and the showers are spectacular. Seeing the same staff is welcoming. I always get the reservations I want before I arrive with the best theatre seats. My choice will always be this hotel. It is expensive but there is something very special about sitting in the bar sipping on a glass of champagne. The shopping in this are is amazing with Bond St and Regent within walking distance. There are alot of hotels but this one is very special.	
Oct 10 2006 	The best hotel in the world!	If you ever get the chance, please please please go to Claridges! We went recently for our silver wedding anniversary and from the moment we walked in, I thought I'd died and gone to heaven. We were upgraded to a beautiful one-bedroom suite, the best I've ever seen. This had a vast bedroom, huge sitting room, separate dressing room, massive marble bathroom and a second, separate loo. Every single member of staff was welcoming and made our stay so special, particularly Keith on reception. We were a bit nervous in advance that it might be snobby, and we were so obviously 'out-of-towners' there for a special occasion, but not a bit of it. I have never felt so pampered in my life. The reviews on here which say it is dated are just so wrong; it is old-fashioned, yes, but in the grand, luxurious type of way, but still modern enough to have flat screen TVs etc. Service is out of this world. We ate at Gordon Ramsay's, which, again, was superb, an experience in itself.If you ever get the chance to go, even just once, grab it with both hands, we had the best weekend of our lives!	
Oct 9 2006 	The most wonderful experience	We have stayed in 5 star hotels before, but Claridges beats them all. Our one-bedroomed suite was large and extremely comfortable, the service in all departments was fast and efficient, from check-in to departure. We were made to feel welcome and special. The atmosphere in the hotel is tranquil, very relaxing and not at all snobbish. A delightful experience from start to finish and one we hope to repeat in the near future.	
Sep 20 2006 	Best Scones and Jam I have tasted!	Review about afternoon tea only....Claridges was very nice. The décor was impressive with a black marble floor and a sweeping staircase on entrance. It was also good that the Foyer was directly ahead so no getting lost. The toilets were also good with a woman pouring water into the bowl and then handing you a towel. I went for my birthday - with a group of 6 ladies for 3pm on the 16th September. The only let down was that they said that the largest table that they have is for 6, so I couldn’t book a table of more than 6 online so ended up booking 2 tables, as they said they couldn’t split the group or guarantee tables near each other (even though I asked this several times). However, when I reached there they were very accommodating to transfer us to a larger table (which fitted 8) which I thought was very nice and cancelled my 2nd table. The sandwiches were finger sized and you could ask for as much as you wanted. There was enough of a variety to satisfy each person. The desserts are delicious - the scones arrived warm and the jam was out of this world! You can choose from a selection of 14 different teas. We asked for seconds! It is amazing that you can get full on tea and cakes. Everyone enjoyed themselves and had a nice time which is what matters! I would definitely come back - but only if someone else was paying!Claridges has just recently increased their prices from £28.50 to £30.50 plus 10% service charge after 3pm. I would say that the service charge should be waived at all times since the cost of the tea is as expensive as it is.	
Sep 11 2006 	Disappointing	First impression was good: uniformed doormen, splendid ground floor (Foyer, Reading Room, Gordon Ramsay, bars).The hallways and the bedroom (Deluxe, facing the ugly courtyard) were very dated, and things like superior towels and bathrobes cannot make up for that. Breakfast was basic and poor value for money.The spa is adequate (good fitness machines, no saunas) but, again, in a dated decor.The level of service was good but nothing special and not particularly welcoming.My overall impression is that the hotel is resting on its reputation and can get away with high prices for this reason. I recently read that the Connaught and the Savoy will close for major renovations. Perhaps Claridge's should consider doing the same to bring the building up to five stars.	
Aug 24 2006 	Wonderful Hotel!	We stayed at Claridges July 23 through July 26. When we got there they upgraded us to a junior suite! What a surprise and what a treat! The room was huge (see pictures)! The service was fine. We only asked for help with the downstairs internet (it's cheaper in your room and way cheaper elsewhere). There was a bowl of fruit in our room which they resupplied at least once during our stay. The tea was wonderful and they gave you seconds (unlike the Palace Hotel Tea in S.F.). We did not go to the bar because of time and we did not go to the restaurants other than for tea. Beware of the bathtub filling up fast. It can overflow! Whoops. Some smoke came into our non-smoking room on the last night. Don't know where it came from as we had the windows closed. We should have mentioned it to the desk for future visitors but we were running late. This hotel was a wonderful start to our 25 day Europe trip.	
Aug 18 2006	Update on review dated 6 Aug 2006	As an update to the review that I wrote on 6 August 2006 (titled &quot;Appalling customer service&quot;) I have written to Claridges to complain, and have now received sincere apologies. The Manager of Claridges has asked my parents to return to Claridges in order to allow him to make amends.I feel that my complaints have been taken very seriously and that the management will endeavour to ensure that our experiences are not repeated. Clearly the reputation of the hotel is very important to them.	
Aug 16 2006 	One of my Favorites	This is one of my favorite hotels in the world. I stay here whenever I am in London. Service, standards of upkeep, rooms are what I compare everyone else too. Yes, the Ritz down the street is wonderful. And the George V in Paris is another great hotel...but Claridges is Claridges. Breakfast, tea, cocktails, the Clardidges Bar and Macanudo Bar and dinner are all wondeful experiences. The sister hotels (Connaught and Savoy) are great also, but the rooms are too small or the hotel is too busy, like the Ritz.If you can afford it, stay here at least once.	
Jul 29 2006 	When I die I want to go to Claridge's!	WOW! where to start?I booked my room through the Claridge's website, and when I arrived I was upgraded to a one bedroom suite! It was enormous--this was the best birthday present I could have asked for.The staff are so pleasant and well trained. The food downstairs in the bar is delicious and the room service was excellent. I also got to see Elvis Costello and Diana Krall walking around, and also some news anchor man from CNN was cracking jokes with me inside the elevator. Amazing experience!	
Jun 19 2006	lovely stay	such a beautiful hotel! the location is perfect... within walking distance of oxford st. but not amidst all of its chaos. the service was great, although they were quite overwhelmed when i stayed there... nevertheless they were all very friendly. there was however one exception... their concierge! he was rude, condescending, and seemed reluctant to even TRY to accomodate me. was very disappointed with that, especially at such a fine establishment.their reservations staff, however, was very accomodating during the process and fulfilled my requests graciously.housekeeping was impeccable and friendly.my suite was lovely, incredibly spacious, and well kept, although the televisions could have been improved upon (hardly any channels and most of them were fuzzy).room service was delicious though... definitely worth a try if you can afford it,.and ABSOLUTELY go to afternoon tea! the service was absolutely flawless and the food was amazing... the salon was gorgeous and a real treat after an exhausting day of shopping!	
Mar 8 2006 	Absolutely Wonderful	Just got back from a 4 night stay at Claridges. We loved this hotel - absolutely beautiful and impeccable service. The staff cannot do enough for you. We will definitely be back!!!	
Feb 13 2006	Unsurpassable Service	My wife and I spent a night at Claridges to celebrate our wedding anniversary and had lunch in the Gordon Ramseys restaurant there - wonderful. We loved the friendleness of the staff, and the service was second to none. We had a beautiful superior king room which was very spacious and quiet, with a large bathroom, the deepest bath we have ever had, and a shower rose the size of a dinner plate! Well worth every penny.	
Jan 26 2006	Lovely Hotel!	What a lovely hotel! Our room was just as pictured on website. It was extremely clean, had a fabulous bathroom and was very roomy. Champagne and a fruit plate were waiting in our room upon arrival and the fruit plate was replenished on day 3. Not sure if this is standard or what. Service was friendly, although be prepared to spend your money; London is not inexpensive! We found a delicious cafe around the corner (turn right when exiting hotel, take first alley on right) and ate breakfast there instead of in the hotel. Bar is great atmosphere, restaurant very good. (Didn't try Gordon Ramsey's as I did not prefer the menu.) Very close to Bond St. shopping as well as Bond St. tube.	
Jan 21 2006	Nearly Perfect	Claridge's Hotel is one of my favorite hotels in the world. Walking into the wonderful lobby is like walking into a Fred Astaire film---black and white marble tiles, sweeping staircase, a giant fireplace always lit. The location of the hotel is wonderful and you are a short walk away from the best museums and great stores. The staff are almost always friendly and efficient. If you want to go to the theater, they will find the tickets. The rooms here are hit or miss. Don't be shy about asking to see another room upon check-in. The Victorian style suites have aged much better than the art deco ones, which often seem raffish and even cheap.	
Jan 8 2006	Lustrous splendour in Mayfair	To describe this hotel in terms of its features and amenities doesn’t capture the experience of staying there. It’s a bit like staying in a movie that is swirling all around you. The public areas are a combination of Art Deco and Georgian country house that work beautifully. Have a drink and watch the procession of the great and good into and out of Gordon Ramsay, a drop dead gorgeous room. The bar is a Deco gem and remarkably popular with pretty people after work. Walk out of the hotel in the evening and look at the line up of Bentleys and Rolls Royces in attendance at a function in one of the ballrooms.Have a seat on the sofa in the elevator while the attendant whisks you to your floor. Or, ascend that famous staircase to what seems like another world. The swirl of the public areas is left behind and suddenly the walls are the colour of light butter, and the hallways the width of an interstate. All is hushed and quiet. The room, the cheapest in the house, was exactly as it appeared on the hotel’s website about a year ago: first rate linens, a superbly comfortable mattress, surprisingly bright considering that it faced the courtyard, drapery that would be fitting in the most elegant home, and a desk and armoire that I wanted to spirit out of the hotel. The bathroom was approximately 100 square feet and was outfitted with what appeared to be an entire quarry of Carrera marble lit by no fewer than eight halogen spotlights. Floris soaps and toiletries were in sufficient sizes and quantities that could make great souvenirs. Closet space was generous and well lit.And the service! Silken, friendly and discreet, it was more akin to a private club than a hotel. Before you run to make a reservation, bear in mind that this property is not perfect. It wasn’t clear if the air conditioning in the room actually worked. In the two instances in which the silken service was less than silken it was abrupt bordering on rude. There was a discrepancy between the price of the room as reserved on tablethotels and the record that the hotel received. Luggage was misplaced both on check-in and checkout. If that dissuades you from staying there, all the better, as it means there will be room for me on my next visit.	
Jan 4 2006 	About What I Expected - Above Avg. Beautiful lobby	Stayed at Claridges Dec. 11 - 16, 2006. Rooms (had to change rooms during stay because I extended stay 2 nights and my original room was not available the entire stay) were nice, a bit &quot;dated&quot; and great if you like the &quot;old stuffy grandma&quot; look. Personally, I prefer more modern type surroundings, but it worked and certainly is nothing to complain about. The shower rainhead is INCREDIBLE in the bathroom. King bed is the typical 2 European twins pushed together so the crack in the middle is a bit bothersome if you manage to fall into it constantly like I did. TV very small and the views in both rooms were into the center courtyard of the hotel so no street view...just the inner walls of the hotel. Had dinner in Gordon Ramseys....$400 for 2 with a bottle of wine. Would not do that again....classy but overrated. Food in the lobby restaurant just as good. The lobby itself and general public areas were SPOTLESS and just absolutely beautiful. The chandelier in the restaurant is stunning and unique. So, overall no complaints but next time would try something more &quot;modern&quot; (Four Seasons/Sanderson, etc.)..after 5 nights at Claridges I felt old and ready to checkout to get back to some excitement, and I am 44....so younger people would definitely not be too thrilled. Oh, VERY expensive....so, be prepared.	
Dec 4 2005	A grand dame of London	Just got back from Thanksgiving in London, travelling with my wife and 3 year old. While the exchange rate is lousy, Claridge's certainly isn't!Truly a fabulous old-school hotel. From the furnishings to an actual elevator operator, it was like a blast from the past. (In fact, the whole experience reminded me of the St. Regis in NYC)Our room was outstanding. We had booked a deluxe king, but when we showed up with our son, they gave us a &quot;family accomidation&quot; at no extra cost. This gave our son his own separate bedroom, which was great. The bathrooms are very traditional - upscale from the 1940's...Fabulous.Service was outstanding, no complaints.Breakfast and tea were superb. We were pleasantly surprised to find the most of our meals in London were excellent. In fact, the only one we didn't like a much was Gordon Ramsey's (in the hotel).The service and presentation were good, we just didn't care for the actual food. We also didn't appreciate the 38 (?) pound seating charge for the 3 year old. All he had was an appetizer, and they still charged him the difference...It didn't mention this on the menu, but we dealt with it.Beyond the call of duty: My wife left the passports locked in the room safe, and Claridge's put them in a Taxi and sent them to the airport for us.We will stay there again.	
Nov 6 2005	Super service	We just had dinner last night. We were extremely late and arrived after last orders due to no cabs in the West End for half an hour. The staff made no fuss at all and gave us a tremendous meal, even unexpectedly bringing a birthday cake and singing happy birthday upon finding out what our occasion was about. The photos of Winston and the Queen in the foyer sum the place up.	
Oct 18 2005	Not a great start GREAT finish	Arrived 4:30PM for room. Booked a superior room. My information says room to be ready by 4.Room not ready. Would we like to go out on the town, take a walk, wait? Wait is fine.My very tired bride, very tired. Find a small sofa, order a glass of champagne, and wait. And wait. Wife, a sleep. Another glass, then another. Checked on by staff. We are trying our best with your room. My response, &quot;My wife (still hard to say that as we are just now husband and wife) looks fine. Please, take your time, we will be here when you are ready for us.&quot; (I can hear upset and angry words coming from check in area from multiple people. Some one is coming unhinged, some one else is losing their grip.)Checked on again, wife still asleep. &quot;In a few moments.&quot; He says. &quot;It sounds as if you have a lot on your hands, please take your time. We are fine.&quot; I say. My wifes head on my lap. Sound asleep. I'm very close to doing the same. It has been a great, but long day. Ponder asking for the manager, but that feeling passes. What good would that do? Finally after 2 or 3 hours, or was it 3 or 4 drinks, the same gentleman asks if I would like to wake my wife and go to our rooms. Rooms??Well to say my bride had tears in her eyes at the site of the room would be true. To say that I did, would be close. It was an apartment. Private interior hallways, a bedroom to die for, and the bathroom is still etched in memory. A sitting room, oh how marvelous. I could not wait for room service.The fine staff had had a challenging issue with the &quot;Marquis&quot; and his retinue. He stated that our upgrade was only fitting to our patience with his staff.Five nights. Perfect in everyway. Tip: Be kind. Dress nicely. Drink Champagne in the hotel lobby. Never ever come unhinged, or lose your grip.	
Sep 7 2005	Excellent hotel wonderful location	My husband and I recently stayed at Claridge's for 5 nights. We loved the hotel. We were upgraded to a suite and it was a nice size and well appointed. The service was excellent, until our departure. We booked our room on-line at a great rate which we confirmed via email with the hotel prior to our arrival and again at check-in. However, upon our departure, the hotel attempted to charge us a higher rate than our confirmed rate, and treated us as though they were doing us a favor to honor the confirmed rate. In fact, until I produced the print-out of my confirmation, they refused to honor the rate. They did eventually agree that we were correct about the rate but the experience tainted an otherwise wonderful stay at Claridge's. If you book on-line, make sure that you print out your confirmation and take it with you.	
Aug 14 2005	Anything you like sir?!	FABULOUS. This is the very best 5 star hotel ever. I cannot fault anything. From arriving to leaving. The art deco building is beautiful. Staff are wonderful. Nothing is too much trouble. Perfection at its best.	
Jul 27 2005	Total Perfection	We stayed at Claridge's for five nights in July and at least once a day commented on how perfect everything was. The art deco design and decor of the building itself is stunning and in no ways stuffy or old fashioned. The service from the moment you pull up to the hotel is flawless (and once a doorman, or any member of staff, knows your name, they never forget it).This was our second stay and this time our room did not face the street. I asked if it was possible to get a room facing the street and we were immediately whisked to a street-facing room that was perfect - spacious bath with huge rain showerhead and extra-long tub, large, comfy bed with pristine linens, lots of closet space and an overall welcoming feeling.The food was incredible whether breakfast from room service or lunch in the bar (the 'fish fingers and chips' is beautifully presented, long pieces of salmon and white fish in an airy tempura batter served with traditional 'chips'). Gordon Ramsay at Claridge's takes dining to a whole new level - flawless, unobtrusive servers that are knowledgeable, friendly and helpful. While the food is superb and formal, the atmosphere is lively, fun and comfortable - a perfect combination.The bar is always busy and fun - great for people watching. The concierge service is excellent - we secured front row tickets for 'As You Like It' a few hours before the performance and third row centre for 'The Home Place' with a day's notice. The location can't be beat for shopping and getting around.Claridge's lives up to its incredible reputation as one of the most magical hotels in the world and we are already looking forward to our next visit.	
Jul 11 2005	Pure Opulence	Not often can you use the term perfect but in this case no other word will do. Claridges makes you feel that you are the only person staying in the hotel and treats you with the respect and loyalty regardless of who you are and where you have come from but manages makes you leave feeling that you really are special.I often felt quite guilty that I should not have been so pampered and looked after but then it's not the sort of experience you would want or receive everyday so I thought lets just enjoy, relax and appreciate the grandness and opulence that Claridges delivers on all levels.It is very easy to get caught up in the history and the elegance of what I believe is the 1920's art deco ambience, I could easily imagine all the famous faces that have graced Claridges through the years walking through the wonderful swing doors. The aristocracy unwinding in the smoking room, the wild but sophisticated parties in the Claridges Bar and the grand entrances made by the rich and famous allow you to be totally in awe of this hotel.We were lucky enough to reserve a table in Mr Ramsey's, which finished our stay off in spectacular fashion. Again the service was impeccable and the food was to die for, although we did not sit down until 9.15pm, the complimentary champagne started us off a treat, maybe a bit too well.I have to say although perfection does come with a price tag, the staff were still genuine in their eagerness to satisfy every need, which was exceeded everytime.	
Jul 9 2005 	Overrated by a long shot	I had a 12-night business stay booked at Claridge's and I checked out after the first night and moved to another hotel. I wouldn't say there is anything especially wrong with the room I had, but it was very small, very cold, and filled with rickety old furniture which wobbled every time I touched anything. Sure, it may have been authentic 19th century blah-blah-blah pieces, but frankly if you're trying to work and the table wobbles every time you touch it, what's the point?Other than the furniture I found the room a bit dingy, and the other furnishings (drapes, wallpaper, bedding) were not what I would expect of a 5-star hotel. I got the distinct feeling that Claridge's is resting on its laurels as a grand hotel of days gone by. On the plus side, I did have the very eerie sense that at any minute the two little girls on tricycles from The Shining were going to ride around the corner at any minute! It's a bit old and creepy in that way, which personally I liked. I just didn't like the small poorly appointed room.I have been told by colleagues that there are distinct areas of the hotel (perhaps floors or wings?) which are much nicer than others. For whatever reason despite an booked stay of almost two weeks they put me in a very dumpy room. Thank goodness The Berkeley had space for me!Also the area is decidedly dead on weekends and evenings. It's quite near New Bond Street so there is plenty of good shopping during business hours, but after hours it's a bit desolate. A stay closer to Park Lane and Picadilly or in Knighstbridge might be more fun for leisure travellers.	
Jun 25 2005	Superb	I stayed at this wonderful hotel for three nights in May. It was pricey but worth it. The deluxe bedroom was furnished in an art deco style with just a trace of faded grandeur. The bathroom was excellent with a great shower and deep bath. The communal areas are great and a late night cigar and brandy in the Macanudo fumoir was a perfect end to a good evening.	
Jun 6 2005	Juist a fe slips but good all the same	We stayed one night in a Deluxe room as a birthday treat. The main reason for syating a the hotel was the desire to dine at Gordon Ramsays at Claridges and despite atempting to book the table 7 weeks in advance, the only dining time offered to us was 1045 PM. I suggested that this was too late and had been looking forward to the experience at dining there and staying at the hotel. The person taking the reastaurant booking then said that as a resident, I could be offered my chosen time (7.30pm). !!!!Rooms was spacious and had beautiful old world art deco fittings even if the bed spread colouring clashed with the other decor and looked rather chintzy. Generally service was good.Let downs wereCalled for trouser press valet but this did not arriveNo trouser press in roomIn room brochure referred to steam room in the spa but this did not exist when I went up there for a freshen up.All told the offering for what you pay is appropriate and we did feel well looked after. However, some slippage results in a 4 out of 5 mark	
Apr 27 2005	My Home away from Home in London	Always consistent, not stuffy, yet perfect. Lovely rooms with to die for bath and shower. Friendly staff that always remeber the smallest details. Not stuffy, i've walked through the lobby in work out clothes after a run and had a welcome as if I was Prince Charles. The bar is great as is the food. No better in London!	
Mar 19 2005	art deco gem	I stayed at Claridge's for my 50th birthday in 2003. I had high expectations which were NOT disappointed. It was the thrill of a lifetime. The staff was courteous and attentive and more to the point unobtrusive. The Savoy group had either maintained or brought the rooms back to their art deco splendour. And the shower was to die for. Worth every penny and then some. Raves all round.	
Nov 7 2004	You say tamato I say tomato	I always find it unusual when i read such differing views on hotels like this. Having said such, I have myself stayed at 5 star hotels that have had rave reviews on this site and I just didnt get it.howevr on this occasion I have just returned from a three night stay at Claridges and found it to be superb. I thought that they had got the balance just right. The staff were neither snobby or groveling, but were straigt there to deal polietly with any request. The room was quiet, large and well kitted. I really have no fault at all.	
Oct 25 2004	Afternoon tea	I had afternoon tea at Claridges on Saturday with friends. After reading the reviews here I was not sure if it would live up to expectations but it totally surpassed them. The food was excellent, delicious sandwiches that were replenished when we scoffed them! Then freshly baked scones with jam and clotted cream and the prettiest cakes you have ever seen, all presented on a silver cake stand. The selection of tea was amazing and the waiter was happy to advise when it was all a bit much for us! The amount of food surprised me too. It was very generous and we were unable to finish everything given to us. The service was superb, very attentive yet very relaxing. The whole experience was surprisingly laid back - I was a little nervous as I am not used to such posh places and the whole thing is designed to put you at your ease - no snobbery at all! Unlike another reviewer I was happy with the relaxed dress code. Although I saw no one wearing jeans everyone was fairly casually dressed and in my opinion this added to the relaxed atmosphere. I'd thoroughly recommend this to anyone wanting a bit of affordable luxury in London. I found it to be excellent value for money (£35 for tea with champagne).	
Oct 13 2004	Treated like royalty ONLY if you are royalty		
Sep 17 2004	Service with a Smile		
Aug 30 2004	Outstanding Service at Claridge's		
Aug 1 2004	Wonderful		
Apr 19 2004	Afternoon tea...wonderful delightful		
Nov 21 2003	Afternoon tea		
Nov 11 2003	How the mighty have fallen		
Oct 16 2003	Wonderful		
Sep 3 2003	Claridges - an English tradition		
May 5 2003	Grand London Hotel		
Oct 22 2009 	Semplicemente il migliore!		
Aug 12 2009 	???????????		
Apr 12 2009 	demasiado lujoso		
Feb 5 2009	??????		
Jan 16 2009 	Delusione Quasi Totale		
Sep 9 2008 	????????????????		
