	Works for Me	This is trip #5 to London for me in the past 3 years and out of all 5 hotels in which I have stayed, I feel the Strand Palace works the best for me. Booked a package through Air Canada Vacations and got a very reasonable rate including breakfast. I was assigned a standard single room which was small like so most London hotel rooms in this price range, but it was clean, comfortable, functional and home for 8 days and nights. No complaints at all. Location is great with an easy walk to central London attrractions and the hotel is within a 5 minute walk to 4 tube stations (Embankment, Charing Cross, Temple and Covent Garden). Lots of cheap and fast eats handy as well as some great dining and theatres. The hotel breakfast was pretty standard English breakfast fare served fresh and hot. Seemed that a there was only a wait on weekends. Hotel staff was friendly and helpful and the doormen on the Strand were very welcoming. Overall the hotel rates well for value for price. I would stay here again.	
May 6 2008 	Just OK	We stayed at the Strand Palace in late April 2008. The hotel itself is lovely and the service is excellent. Our room was adequate - it was always clean and comfortable. The walls to the room are paper thin, though - I could hear someone snoring in another room! Also, the windows don't open so it was stuffy and quite hot. They do provide a nice fan that is pretty quiet, so this helped a lot. We also got a room that looked right over the Strand itself, so it was noisy. We didn't do anything to change it, though, so I can't complain about that!We ate at the hotel once for breakfast and once for dinner. Both were excellent, although dinner was quite expensive for what you got. We also had drinks in two of the bars on site. Excellent service and a great selection at both, and the prices are in line with other places in London.The location of this hotel was great. It is very close to many attractions, and also to Covent Garden and Charing Cross underground stations. There are many different restaurants within easy walking distance, as well as many theatres and some shopping.I believe that many of my negatives on this hotel have more to do with my being used to North American hotels rather than anything this hotel actually lacked. Remember to bring your own clock for the room :)	
Apr 26 2008 	Quirky old-fashioned great location	I had a meeting (starting very early) at Kings College the next day so decided to come down to London the night before and stay locally. The Strand Palace is (as the name suggests) convenient for the area. A number of colleagues had stayed at the hotel before and recommended the location, so I decided to give it a try.Pros:+ great location, 5 minutes to my meeting, a few minutes from Tube and rail stations, 5 minutes to Trafalgar Square; lots of restuarants in the area+ bed was quite comfortable+ staff were professional and helpful; check-in and check-out were quick and easy+ room was generally quiet+ the building layout is fascinating: it seems to be laid out in a number of quadrangles, and you can make what seems like an impossible number of right turns down hallways to find your room. It's all quite logical but quirky.Cons:- the hotel is rather faded in many places now (the lobby is quite up to date). My room was clean and tidy, and everything worked, but it has seen better days- ventilation in my room was a bit quirky. My window opened up into a private atrium area where I could get fresh air, but even with the window wide the room was a bit too warm for my liking- the hotel is big and busy and there were loads of people checking out when I had to leave: be prepared for a little bit of a wait.Overall, I had a satisfactory stay -- nothing to complain about, but no great reason to go back.	
Apr 20 2008 	I am split 50/50!!!	After viewing and reviewing all the reviews on this website I was satisfied before I left that this was going to be a great hotel. Yes in many ways it was. Yes everything people had to say about it was true. Thin walls, stuffy inside rooms, continuous noise outside going on all hours, continuous noise from inside going on at all hours. However, the area surrounding the hotel was an extreme highlight. Convent Garden was a bustling place to be. You name it and it was virtually right outside the door. Tesco, Cafe Nero and Leon are on the same block across the street and supplied you with refreshments and other vital supplies needed to nourish your body after a busy day of sight seeing. If you are going to see a show you don't have far to go and many restaurants along The Strand and in Convent Garden offer value priced Pre Theatre Meals. I was traveling alone and booked a simple single room. Room was small, bathroom was large and I had a great view of an office outside my window. I would have died in the summer heat in this room. Windows only open up a few inches due to safety concerns and with tall buildings surrounding the area you don't get a breath of fresh air. However, if you are as busy as I was and hardly in your room you will probably survive. Keep that in mind. As a foodie I was also disappointed that I failed to think about getting a room with a small fridge. I picked up food throughout the day to nibble on before I headed off in the mornings and before going to see some shows. It would have been nice to keep the cheese, fruit and other items cool. Side Note. Anyone who loves food must go to Borough Market. Amazing cheese, meat pies and great nibbles at Cranberry. Back to review. So yes I am still split 50/50. I would have been more in favor if I hadn't have had better experiences in Paris and Brussels with my hotel rooms in these respected cities. Bottom line. Hotel was clean, close to all sorts of sights and sounds, check out was a breeze and staff were great. Side Note #2. If you want an easy way to get from Heathrow to any hotel check out Dot 2 Dot. You meet at there stand in Heathrow. They drive you and no more than 2 other groups to their hotel. Don't have to worry about fighting crowds on the Tube, Train or Bus. After a long flight nice to sit back, relax and enjoy a drive into the city. Plus you may end up with a free tour and guide as you drive along. Can't remember the name of the fellow that drove me but he was pointing out many sights along the way and was extremely helpful. They charge per trip or round trip for around 30 pounds. Well worth it if you don't want to fight crowds and relax. Enjoy your time in London. I know I did.	
Apr 10 2008 	A superb base for theatre land	My daughter and I stayed here for three nights on a theatre break. It was a superb location for central London and we had a really lovely big room (ok we were at the front on The Strand and it was noisy but what can you expect for Londons West End??!!) And very well priced for location.The room was clean, and bright, lovely big beds, and everything you could possibly want at hand. Great location if you are doing the theatre thing, this was our second visit and I suspect there is a lot of refurbishment going on within the rooms as this year our room was far superior to the previos visit. I can thoroughly recommend this hotel to anyone visiting London. Breakfast was good - most of these big hotels have rubbish food at breakfast but not the Strand Palace. Bus stops outside, taxis plentiful at all times of the day and night - 10/10 for this visit. Will be booking again for next year!	
Apr 8 2008	An Honest Opinion	My stay at this hotel has two sides to it, the worst night I have ever stayed in a hotel, and a great night, all in the same hotel within two days but a massive change to my experience.After reading negative reviews on the standard rooms, I had telephoned before the stay and asked to be upgraded to the club rooms at an extra cost of £30 per night. When I booked in to the hotel I was told there were no club rooms available on that night so I stayed in a standard room. Now I am not made of money I just thought this would be nicer as it was a surprise theatre trip for my girlfriend, but after checking in (which was fine with good service) I started seeing what people were saying about the non refurbished side being run down. My hotel room was clean but very old looking with a bathroom door that had no lock so you could not keep the door closed. I knew we were going to a club room the next night so I thought don’t complain just let them know in the morning, but at midnight we were woken up by a lot of teenagers running riot around the corridors screaming and shouting. We were placed right in the middle of a large school trip that decided to party until 4-30 in the morning, which i thought was a huge oversight when deciding where to room us. So after complaining in the morning we were moved to a large club room which was like being in a completely different hotel, it was decorated nicely, normal pillow instead of stuffy feather ones and just had a nice feel about it compared to the other one that you just wanted to turn around and walk out of.The restaurant was superb, and with two nice restaurants, there was no need to look for anywhere else to eat, along with a comfortable bar where we managed to get food at 11 on return form the show as they serve right up to 1amThe breakfast was again superb with everything you want to have for a breakfast and masses of it as wellThe staff were friendly and were quick to sort out my complaintThe location could not be beaten, as this was walking distance to most theatres, 5 minutes to Covent gardens, 10 to the palace and Trafalgar square.Overall, the moral is this hotel is a very nice hotel providing you stay in a club room and not standard!	
Apr 3 2008 	The strand is bland	The hotel is central for theatre land which is great and the lobby is clean and modern check in was fine breakfast was good the staff were helpful.Now here comes the but ...the room was terrible! It was hot and stuffy with no airconditioning I dread to think what a summer evening would be like.The bathroom was grubby with cracked tiles holes where fittings should have been no extraction and last decorated about 1980.If the bed had been a ship I would say it listed badly to port seeming to sag at the head end, one side was also against the wall.The walls are paper thin and the rooms seem to be conected by the wardrobes so the American couple in the room next to us kept us awake constanly talking and going in and out of their wardrobe! There is no way this is a three star hotel and if a good nights sleep is essential for you then give it a miss.	
Apr 1 2008	Enjoyable stay at the Strand Palace Hotel	We have just returned from a weekend break in London staying at the Strand Palace Hotel. I booked this hotel mainly because of the good price I got from roomsnet.com and was pleasantly surprised with the standard of the hotel.It was an excellent location right next to Covent Garden and very close to the Lion King which was an excellent show.The rooms look like they've been refurbished and were very comfortable, obviously not massive but this is London and I've stayed in some pretty small rooms before. It had everything we needed. We had breakfast included and thought it was also very good, it was a buffet which had everything you could want for an English breakfast, normally at these sorts of buffets the food can get cold as it has been sitting there a while, however as breakfast was quite busy the food was being constantly replenished and so was hot and very fresh.We ate out in Covent Garden on the Saturday night at Palm Court Brasserie and this was an excellent meal - I would definitely recommend it if you want something a bit special but not too pricey (3 course meal with wine cost £70 for 2 people). Although there are loads of places to eat around the hotel, TGI Fridays is very close by if more your kind of thing.On Sunday we took a walk through Covent Garden, up to Leicester Square, Piccadilly Circus, up Regent Street to Oxford Circus, stopping in Carnaby Street for a drink. I was surprised how close these attractions were.I would definitely stay at the Strand Palace Hotel next time I'm in London.	
Mar 30 2008 	Good price Amazing Location Decent Accomodations	I am from the USA and I stayed here for about 10 days prior to Christmas 2007. My stay was very comfortable. The room was small, but nice. Not quite as modern as an American sheraton, marriot or hilton, but definitely a lot nicer than other European hotels i've seen. The room was very clean. When I got there and realized there was a problem with my telephone, a serviceman came immediately and fixed it. The bed was comfortable. Maid service was just fine, and the bathroom was tiny but very very nice and super clean.The location is EXCELLENT and all cabs in the city know where this hotel is, so you don't have to try and tell them. If you are looking for a cheap meal, about 1 block away on the same side of Strand, is a great baguette place, where you can pick up a sandwich for 1.50 pounds (about 3 USD). CHEAP for London. The sandwiches were very filling and good!Overall, if you are on a budget- you can't go wrong at the Strand, at least from my experience.	
Mar 29 2008 	be careful with which room you get	I have stayed at the hotel several times for work in the past, however I have just returned from a three night break with my wife.The Hotel could not be better positioned, and has all the services you require.My advice though is be wary if you get room 500. (dont know if the numbering is the same on all floors) as it is situated opposite the lifts, before you go through the doors. Everytime the lift stops you can hear the bing bong, and in addition not everyone is a quiet as I try to be when they are coming out, or waiting for the lifts. A big thankyou to the American family, who at four am were shouting at each other trying to find their rooms, hope they had a better sleep once they found it than I did.	
Mar 29 2008 	Excellent Location - But Ask For A Quiet Room	I accompanied my Husband on a business trip, &amp; this was the Hotel which we were booked into.The Staff on reception are very helpful and professional, and we were pleased with our room, which was very clean and spacious. (I think it was a club). The bed was quite large and very comfortable. There was a flat screen T.V. and ample refreshment facilities. As seems the norm, there was not a lot of wardrobe space.We had dinner in the Hotel, which was good but limited choice - a 2 or 3 course cavery or 2 or 3 course a la carte carvery. (With vegetarian option). It was good value for money, and tasty, but the restaurant was almost empty.The main problem is that our room faced the Strand opposite the Savoy. It seemed exciting at first, but there was constant, and mean CONSTANT traffic noise going on. Even with earplugs I could still hear it. If you are like me, a light sleeper, then PLEASE ask if you can have a quiet room. I know this is central London, but I thought it would have been tripled glazed or something.Breakfast was chaotic with a self serve hot buffet. We had a slight wait, but it was nothing like the queue which formed behind us. When you have this set up, you have the usual jostling around and impatient people leaning across you. Perhaps it is a quicker turnover than waitress service. There is only one toasting grill. I was lucky, No one was there when I went. However, the woman behind me grabbed at least six slices of bread to toast, so heaven help the person waiting behind her.On the positive side, it is a clean Hotel with friendly staff and perfectly situated for Theatreland. I would stay here again, as long as I could be guaranteed minimum noise disturbance.	
Mar 28 2008 	Great Central Location in the middle of Theatre Land	A friend and I spent 3 nights in the Strand Palace Hotel. For me, it's top selling point is its central location. It's only a few minutes walk from Embankment and Covent Garden Tube Station and also Charing Cross Rail Station. It's also slap bang in the middle of Theatre Land with many of London's top shows only a few yards away. There's also plenty of restaurants around and the Open Top Bus Tour stop is only around the corner. Staff were friendly and efficient. Although my room wasn't as plush as the lobby would convey, it was spotlessly clean and had everything I needed. The breakfast buffet was very good indeed. Top marks to the wonderful concierge who arranged tickets and gave good advice as to shows etc. Overall, I was very happy with my stay and found the hotel to be reasonably priced, considering its central location. This hotel would be ideal for someone staying on their own, as it's in such a bustling location and you can walk back from the theatre quite safely.	
Mar 27 2008 	Strand Palace Hotel is Perfect!!!!	I am just home from staying at this hotel as had tickets for Grease &amp; Dirty Dancing. I cant fault this hotel on anything. From the great &amp; helpful communication from Kevina at reservations to the welcome from Geoff the doorman - the room was lovely - spotlessly clean. The breakfast was amazing also. A buffet with just about everything you could ask for - yum yum!!!It was a two minute walk to the Aldwych Theatre and a twenty minute walk to the Piccaddily theatre for Grease. There are tons of theatres around it. Its honestly a perfect location even just for the sightseeing as a ten minute walk and you are down facing the London Eye.Dont let any bad reviews put you off this hotel as its perfect.	
Mar 27 2008 	Brilliant Location	We stayed at the Strand Palace in February for two nights. We flew into Standstead and the hotel web site gave us perfect directions as to how to get from the Covent Garden station to the hotel (approx 4 min walk). The hotel itself was a lot larger than i expected. Check in was quick and there are a number of bars and restaurants. We had breakfast included in our stay and the breakfast was lovely. Buffet style and plenty of everything. The purpose of our trip was to see Joseph in the West End. The hotel could not have been closer to the theatre. If you stood outside the hotel you could see the sign for Joseph. The hotel is also ideal if you want to browse around Covent Garden and is very near Trafalgar Square. The only down side to this hotel was that the rooms are small but if you are like us and not planning to spend much time in the rooms this hotel is perfect. Also very near some nice restaurants and bars. Would definitely stay here again if going back to London.	
Mar 26 2008 	It was Ok	The Strand Palace is in a great location being right in the West end , ideal for theatres and sightseeing in general.I was disappointed when I discovered my room bore absolutely no resemblance to the nice bedroom pictures on their website.My room, a singe room had one of those shaky unstable tiny single beds jammed into one corner of the room.I would not have stayed in the hotel if I knew what my bedroom looked like in advance.Breakfast was great despite the long queues on the Saturday morning. The staff all were all fantastic and gave a great impression of the hotel.Hotel is overpriced but I suppose can sell itself based on its fantastic location.	
Mar 23 2008	Excellent Location	Stayed for one night only, but would stay here again. The hotel is located on the strand about 5 minutes from the embankment tube station. I found the hotel and facilities fine, I stayed in a room on the 6th floor, which was fine. The hotel I found was a little dated in parts but overhaul a nice hotel and the location is perfect. Just remember to make a note of your room number when going out, because the hall ways are like mazes and after a few beers, you might find yourself wandering around looking for that hotel room.	
Mar 17 2008 	Enjoyed	having read the reviews we were very sceptical about booking this hotel - but the room we were given was very large with a super kingsize double bed - the room was very clean. The burffet breakfast had a good choice and we ate in the carvery on the second night which was also very good. the hotel was clean, the staff were ok	
Mar 15 2008 	Brilliant location!	Hotel was lovely and central. Staff friendly and helpful. The club room was clean and reasonable sized but we were dissapointed as it was our anniversary and we requested a room with a nice view overlooking the front of the hotel but we got one at the back over looking a power generator! We were woken at 8.15am with the maid entering our room for housekeeping...don't know who got the bigger shock her or us lol. Apart from that if your looking for a reasonably priced London hotel close to the theatres then this hotel fits the bill and i'd definately stay again.	
Mar 13 2008 	Depends what your'e looking for	I stayed at The Strand Palace hotel for 4 nights. I went on business and the room was already booked for me, so I did not choose the hotel myself. I found it to be better than average, but don't expect grand things from this place. My room was actually pretty nice, I must have been in one of the refurbished rooms with new furniture, etc. The space was adequate for one person, and two could be fairly comfortable. The bathrooms were average-sized and clean. I will say that it is very, very noisy... the outer walls must be paper-thin because I could hear all the street noise (I was on the second floor, so perhaps choosing something on a higher floor would be quieter). The only place they forgot to invest in seems to be the hallways and stairways as both are extremely out-of-date looking with brass railing and worn-out, stained carpets. The breakfast is decent- plenty of choices, including a &quot;to-go-breakfast&quot; for those of us on the run. The location is good, within walking distance of Trafalgar square, and pretty much in the heart of the theater district. One annoying thing was that when I went to the reception to ask for a converter for my hairdryer I was informed that I must purchase one for 6 pounds, about $12! This is a bit ridiculous as pretty much any other hotel would have them on loan...Also, it is a large hotel with many, many guest, so there were lines at times like check-in and check-out. There is not much &quot;personal attention&quot; here. Overall, I think it was probably priced pretty good (I was not paying) and it would be fine for a business traveller or young tourist with little demand for luxury.	
Mar 11 2008 	Not a palace but good value	I think it's amusing that some people expect luxury when booking a value priced hotel. The Strand is a no-frills hotel in a fantastic location. It's clean and safe and cheap by London standards. My room was perfectly quiet. You will have to pay extra for things like wireless and luggage storage.I wouldn't recommend the baths for anyone who's unstable on their feet. You have to step up and over into the bath and the same when you get out onto a slippery floor!	
Mar 9 2008	AVOID!!!!	This is the worst hotel I have ever stayed in. It only looks good at the reception areas, everywhere above it looks spooky, as a cheap, worn out hostel. Location: makes it impossible to sleep at night. It is noisy, noisy and noisy.Inside: Decor old, some places being renovated, instead of a lift- empty hole, rooms doors as it broken into 100 hundred times. The hotel has got restaurants open to the public and ticket booking place, thus plenty of weird looking people in the reception areas, which are connected to room floors. General feeling of being unsafe.At night I could hear all conversations of my neighbours as if they were coming from the middle of my head. This acoustic effect was in fact quite interesting, as I was wondering how on earth it was possible.Reception: staff reciting nice formulas, but when I asked second time to be moved to another room, the lady got 'a bit angry'... I would have moved somewhere else, but it was too late to search. Please, avoid. There are one hundred better places in London.	
Mar 6 2008 	A Decent Place	Expected much less after reading some of the reviews but was quite pleased upon arrival and even more pleased with room. Room was clean, good size bed and a large bathroom. As expected in European hotels no bath cloths were provided but otherwise all other bath amenities were present. Lobby was quite nice and location was perfect being close to subway and to Covent Garden as well as major theaters. Rates were very good for London. Good choice.	
Mar 4 2008 	What A Letdown!!!!	I booked the Strand Palace for a 2 night weekend stay in Feb/Mar 2008. Having read the hotel's website, it stated that it had undergone a multi-million pound refurbishment. I therefore emailed the hotel in advance and requested a room in the refurbished area of the hotel. I received an email from the reservation manager stating that although I had booked a Standard Single, she had requested a Club Single, but that this could not be guaranteed.On arrival at check-in there was a delay. Having presented my details and the email to the receptionist, he went away for several minutes before returning and allocating me ROOM 782.On entering the room, I was totally amazed!!!! it seemed like I was entering a linen cupboard it was so minute!!!. It was furnished with tatty furniture and was badly in need of redecoration. The bathroom was small, grimey and the plughole was full of hair and soapscum!I went to reception to state that this in no way replicated their website. I was told if I wanted a Club Room it would cost another £30 per night. (I was not requesting a Club Room...but a room like those that were advertised as a Standard Single). I was asked if I would like to speak to the Reservations Manager who had previously emailed me. She said that it was up to Reception staff to allocate rooms. The receptionist asked what sort of room I would like and I stated one like their advert on the website.I was then allocated ROOM 569.This room was bigger and the walls had recently been repainted. However the bathroom looked dirty and the shower head was encrusted with lime and grime. Later that evening I noticed that room was getting cold and turned up the radiator, only to find it was not working. I rang housekeeping who said &quot;Oh you will need a portable electric heater then&quot;.Having gone out for the evening, I returned to find an old and battered dimplex heater (see pix). The heater control knob was missing and the appliance did not have the statutory portable appliance test certificate!!!!On going to bed, I went into the bathroom and discovered there was no glass to brush my teeth. I rang housekeeping and 15 minutes later a porter arrived with 2 glasses.The following morning I wrote a note to the housekeeping department asking that the heating be repaired and if not that the heater be replaced with one that would meet statutory electrical appliance requirements. I handed this to the reception staff.On returning to the hotel at 4.30, no-one had been to look at the radiator or replace the faulty portable appliance. I telelphoned Housekeeping .The Housekeeper said &quot;I'll see what I can do&quot;.The porter then brought a suitable appliance.On checking out of the hotel I wished to leave my luggage .....BEWARE&gt;&gt;&gt;there is a notice inside the room stating that there is a charge of £2 PER ITEM per day!!!!The staff at the hotel (both housekeeping and reception)seemed very lax and totally disinterested in the guests.Having spoken to other guests, they also had grievances which were causing them frustration.Book this hotel with caution...there are better places in London!!!!NB pix are of the bigger room (569)ALSO Reception told me its only the CLUB ROOMS that are refurbished!!!	
Mar 4 2008 	Excellent experience	There is no need to say something more about hotel location - Strand ! Ok, hotel can be in a better condition in general, but - it is 3 stars hotel and for this grade hotel is more than good. My experience is excellent ! After the 8 days in this hotel I can say: Staff - friendly, efficient, professional, ....., all the best ! Breakfast - usually queue but solved very soon, no waiting more that 10 minutes, was not problem for me. Very good selection of food and drinks. Room - Club twin room - above the average , very clean, tasteful, bathroom large enough and good. Bottled water for free :-) Room service - once ordered breakfast in the room, on time, high quality and quantity, professional serviceReception - usually queue but no long waiting, staff very professional and kind. Concierge - the best one !! Kind, helpful, efficient , ....., always with the smile for you ! I think that I said all.I was with my sister in London, had business and pleasure time and for all our needs we found in Strand Palace hotel excellent accommodation to feel ourselves like at home, but at the same time treated like a guest. We appreciate very much staff in this hotel, all of them are very busy, sometimes seem tired but always ready to listen you, to help you, to have a smile for you, from the first touch on check-in to the end on check -out and help of the concierge with taxi and suitcases , we can say only all the best about the Strand Palace hotel, service and staff. Next time this hotel will be our choice again despite the prices which we wish to be some lower :-) .	
Feb 21 2008 	great locationefficient and friendly staff	I had a very pleasant stay at the Strand. Front desk staff members were very friendly and answered all question.Everything in the room was clean and all appliances worked and there even was a waterkettle with tea/coffee/biscuit selection in the room!Central London location allowed me to walk to the attractions e.g. the British Museum, the Embankment.I look forward to future stays at the hotel.	
Feb 17 2008 	Not a palace by a long shot!!!	Just returned from a 2 night stay at the Strand Palace Hotel and can honestly say we will not be returning.After a long journey and a cold walk, we arrived at the hotel early evening. The check in was swift, and I liked that we were given a choice about which floor we would like, and whether we wanted a quiet room. We went to our room which was situated on the 8th floor, and faced the back of the hotel. After struggling for at least 5 mins to open the door we were annoyed, but got more annoyed when we saw the size of the room - it was like a shoe box!! We used the bathroom only to discover that the toilet did not flush. On our way out, we contacted reception about the problem, and we were assured it would be dealt with immediately. Two hours later we returned to reception to ask if the problem had been sorted. The receptionist was extremely rude, and said very sarcastically, that if we had reported it then of course it had been sorted. We went to our room only to find that the problem had not been sorted at all, extremely cross by this stage we contacted reception on the phone. Again, extremely rude receptionist who said she already knew about the problem and that maintenance were on their way. About 10 mins later, maintenance turned up, initially he was arrogant, huffing and puffing, but after speaking with him he admitted that reception had only just contacted him about the problem, not 2 hours before when we first reported it. The man also showed us that another member of staff had already tried to fix the toilet using a carrier bag!! He organised us to move rooms, and third time lucky we found a bigger room - only to find that again, the toilet handle was dodgy and took a few attempts for it to flush!! Nightmare!! As we were so tired by this point we decided to stay in the room. Other things we noticed were stains on the curtains, outdated furnishings, wallpaper ripping, cracks down the walls and holes in the doors.Overall, extremely awful value for money - the only positive point was the location.	
Feb 12 2008 	Good Value Great Location	I stayed at the Strand Palace for one night in Jan. 2008. The location is great, and I don't think anyone is going to argue with that. The outside of the hotel is grand, but I was a bit disappointed that interior renovations have covered up any evidence of the historic nature of the building. But that's a small nitpick. The service was good overall. We arrived before check in time (from the Tube) carrying our baggage. It was no trouble checking in early, and they didn't even say anything about it. Our room was spacious and seemed to be designed &quot;modern&quot; to 1995 standards, but it was fine. The bathroom was very clean and nicer than I expected. The bed was comfortable and the climate control was perfect. Our room came with a free breakfast, but we did not get to try it because of the one thing that was upsetting about our stay. We had asked for a 7 a.m. wake up call, and we did not receive it, so we woke up more than 2 hours late. This is the 2nd time this has happened to me in London, ironically. Overall, the location in the middle of Theatreland and the West End and the reasonable prices made thisa pretty good stay. I would recommend it for someone who doesn't want to pay higher prices at newer hotels in the area.	
Feb 12 2008 	Fantastic Location	Fantastic location for a weekend break as it is within easy walking distance to majority of theatres and tourist attractions. The rooms are small but why would you be spending time in your room in the centre of London??!! Breakfast was great and the staff were friendly. Would definitely stay here again - if only for the location!	
Feb 11 2008 	Great location	We just returned from a weekend in london.The hotel is great if you are planning to go to a west end show.We went to Joseph which was on the same street as the hotel.Check in was very quick and the lobby is nice but the rooms are basis.we got two twin room ,one of which was at the front of the hotel .this room was bigger and brighter then the room I was in towards the back.Overall would stay here again for the great location but would ask for a room towards the front of the hotel	
Feb 10 2008	Room lottery.	We've stayed here three times in the last year alone, mainly for its position. An easy walk to Covent Garden, Trafalgar Square, Leicester Square and Theatreland. Location wise it's ideal. What we've noticed is that room standard is not.....standard! We've stayed in a club room on each of the last four visits. Some rooms are much bigger than others, some are plusher, some are bright, some downright gloomy. It appears to be a lottery! We usually weekend, so we're not in the room much, but it could be an issue!Cooked breakfast is buffet and a good standard.	
Feb 7 2008 	Awful simply awful	I booked this hotel for it's wi-fi capability on a business trip. What a mistake! When I got to my tiny, tiny room, I checked the TV menu for laptop wifi capability and it said it was not accessable at this time. The reception staff, concierge and luggage people weren't helpful in the least; they kept insisting I was wrong; horrible customer service. I have never been so poorly treated by hotel staff. Don't stay here. A hostel would be better. The bathroom is spacious but for the price of a superior single club room I'd have done better in a Holiday Inn.	
Feb 7 2008	Great price for location	This hotel was average. The breakfast was pretty good and the service was great. All the staff were friendly and the rooms were clean. I would recommend asking for the quiet side of the hotel when making a booking, because the front is on Stand and very noisy. The rates are very reasonable for the location.	
Feb 6 2008 	Will Not Be Going Back!	I stayed at the Strand for a girlie weekend.The location is great. Close to Covent Garden. A short walk to Oxford Street and within easy reach of the main attractions of London.On arrival our rooms were not ready. We were told we could leave our luggage at the hotel for free (usually it costs £2).On returning to the hotel to book in, we had to wait in a queue. This seemed to be a regular thing at this hotel.We were asked for a card authorisation. Nothing strange in that, but we were limited to which cards they could take and then we were asked to sign the slips. I have never been asked to sign anywhere in the World.Our rooms were booked to be together, but were all on different floors. This was corrected after some confusion.The corridors were a bit shabby with patches in the carpet.My room was small but adequate. the furniture was scratched and worn. The towels smelt of burning.The heating was not working (this was February). The bedding was insufficient for the time of year. Obviously I was quite cold during the night.We were all disturbed by noise in the corridors.We were glad that we were not having breakfast at the hotel. We would have had to wait all day! The queues were out into the foyer.On checking out we were told that all the phones were being worked on and that we would have to pay by cash or they would take our card details and send us the receipts. After having been asked to sign once, we were reluctant to leave any details with the hotel for fear of card fraud. We also asked for the authorisation slips to be returned to us. This caused consternation and we were then informed that we should never have been asked to sign them in the first place!!All in all a very disappointing stay. I have no intention of returning.	
Feb 1 2008 	Awesome Location	My mother and I stayed here while vacationing in London for a week in 2005. It was great to be so close to so much. The eye, covent garden, Westminster Abby, Trafalgar square... and so much more. I would highly recommend this hotel for those that are looking for a modestly price room in the midst of all the action.	
Feb 1 2008 	Great location	The strand palace is in a perfect location for everything. We walked to the tower of london, the london eye and the london dungeons from this hotel. Also a lot of the good theatre shows are around here to. We upgraded to a club room and thought it was very good. perfect for a short stay. there are also some nice (not expensive) places to get some food. would definately stay here again.	
Jan 29 2008 	Great Location - Nice Club Room	I had a nice club room in this hotel. It was small but nicely decorated - contemporary/modern. It was also a quiet room overlooking the courtyard. I had heard some rooms were quite noisy but mine was perfect. The bathroom was large though a little tired compared to the room.I felt the room service prices were outrageous for a 3 star hotel. I know you always pay over the odds, but this was ridiculous. £10 for a sandwich! Even on expenses, it is the principle of the matter!There were large queues every time I went to reception which was a pain (especially as I had to queue each day to pick up my pass ffor the Virgin gym over the road as apparently they had run out of passes.....and they had to call them....though one day, I got a pass straight away - there appeared to be a lack of communication between staff there) The gym by the way was very good. Think you only get the daily passes with a club room, but worth a visit. I am an LA Fitness member and this particular Virgin Gym far exceeded my expectations.Without a doubt the best thing about this hotel is the location. Only a couple of minutes walk from Charing Cross/Embankment stations. Very close to the River, Covent Garden and all the theatres you could possibly need. (Shame I was there to work!)	
Jan 28 2008 	A great hotel	A great hotel in a great location. I stayed there with friends for a weekend and we were all glad we had chosen to stay there. It is so handy for shops, restaurants and theatres. I had a slight problem on the first night when i was going to bed and discovered some dubious looking stains on the duvet cover. I telephoned reception and a very apologetic duty manager brought a fresh duvet to the room. Apart from that our stay was fine. The staff were nice and friendly and the food in the Carvery was excellent. The bar prices were a bit steep, even for central London, but we just drank a bit more slowly! I would definitely stay there again.	
Jan 28 2008 	A bit small	Another business trip and another hotel in London. Just before Christmas and the hotel was full of people there for Christmas dances while I was there to work.I was in a single room and yet again it was the pokiest room in the place. The room was cold and there was no way to turn the heating on in the bedroom so I had to keep the bathroom door open all night to try and get some heat from the heated towel rail!The room was small and laid out so that it was impossible to watch the TV as it faced across the very narrow room at the opposite end from the bed. The only way to watch it would have been to sit 6 inches away from it!I had to pay for Wi-fi - £12 for 24 hours access but at least the service and connection was good so apart from having to pay I have no complaints about that.Thankfully the partygoers didn't wake me in the middle of the night but that may have been due to me wearing earplugs. It couldn't be said for the cleaner at denial am who opened and shut the cupboard door outside my room...Breakfast wasn't very good. It was included in my room deal and I noticed that if you were paying for it seperately you got whisked away to another part of the resturant where the food did look better. Some of the breakfast items were luke warm to say the least and it was the strangest scrambled egg I have ever tasted. A bit like warm egg mayonnaise.I'd go back if I had to but I'd rather try somewhere else.	
Jan 25 2008 	Does what it says on the Tin	This was our 3rd stay at the Strand Palace. This hotel has an ideal location. It is on the Strand, just down from Trafalgar Square. It is easy to walk to theatres restaurants ,attractions etc. The tube station is also just down the road.Make no mistake this is no trendy boutique hotel. It is large, functional very busy efficient 3* commercial hotel.If possible get a club room they are far superior for little more providing you can get a deal. We had a direct offer Club double for £99 Breakfast included. Even with the club room space is tight, but its OK - the full wooden shutters kept out noise and light.So if you want to stay over in the city and want a great location with at a competitive price I recommend it. We do not stay anywhere else when in London	
