	Small but satisfying	After reading some of the negative reviews on this website, we decided to upgrade as we arrived at the hotel. The upgrading from standard double en-suite to executive double en-suite cost us £15 a night, and it was well worth the money. We were explained that the standard rooms were very small, with room little more than the bed. When upgrading we got a small, but rather nicely furnished bedroom, with a high double bed (with wooden carvings India style), with room underneath to stack the suitcases. There was a TV, a big Indian wardrobe, and a desk. Big windows facing Trebovir Road. The bathroom was small, but nice with tiled walls and nice equipment, and clean (!). The first morning the breakfast room was full, so we decided to have breakfast in a local cafe instead, but the next two mornings we ate at the hotel. Breakfast was good and plenty: rolls, bread for toasts, croissants, muesli, fruit, cheese, coffee, tea, juice, milk......Service was also good. Our room was not ready when we arrived so we left our luggage in the foyer, and on return, the luggage hade been placed in our room. The next morning we discovered that the electric kettle was not clean (probably some earlier guests have been warming milk or something in it) and when we pointed that out, the kettle was changed immediately.Some of the other reviewers complain about the room size. I quite agree, everything in this hotel is very tiny. The web side photos are almost real size photos! Tine reception, tiny rooms, narrow staircases, but if you're not planning to spend much time at the hotel, it serves your needs. The location is very convenient: 1 min from Earls Court underground station..	
Mar 6 2006	Very good relation of quality-service-price!	The Mayflower hotel is a great option when travelling to London. Friendly staff, good service, my room was clean and correct sized, clean towels each day, self heating in the room, big windows with very good light, good continental breakfast, one minute walk from the Ear’s Court station, very nice neighbourhood. And which is most important talking about London, it has a very good relation of quality-service-price.	
Jan 24 2006	What a surprise	After having read previous reviews which weren't very complimentary my friend and I were a little bit worried, this soon faded on entering the hotel, lovely reception area, friendly staff. Our room was rather small but adequate, clean towels were provided each day. Continental breakfast was delicious, selection of cereals, fresh fruit etc. We would definitely stay there again, if you want luxurious spacious rooms then maybe this isn't the hotel for you, but how long do you spend in them, not long if you want to see the sights of London. We were more than satisfied and can't understand the bad reviews from previous guests.	
Jan 21 2006	A Good Choice in Earl's Court	The Mayflower is a terrific value in a city of expensive hotels. My room was clean and pleasant, the service was excellent, and the staff were friendly and helpful. The continental breakfast was also fine -- I don't know why people are complaining about this: with cereals, fruit, juices, yogurt, cheese, coffee and tea provided, what else do you need? The hotel has a nice visual style to it, which makes it more than just another Earl's Court rooming house. The proximity to the Underground station means you can get to Central London in about 20 minutes. (One thing: the rooms in the back actually overlook the station, so you hear the trains pulling in and out. I came to find the sound soothing, but I can see how it might bother some people.) If you're traveling on a budget but want a pleasant hotel, I would definitely recommend The Mayflower.	
Jan 18 2006	LOVED MY STAY!	Mayflower Hotel has clean, smart and well appointed rooms. Breakfast is wonderful, staff go out of their way to be very helpful. Thanks for such a great and friendly service!	
Dec 17 2005	Cramped and poor value	There is a superficial appearance of luxury but it ended in reception.I booked one of their “executive” rooms and was informed by the receptionist that it was one of their finest. The room itself was tiny with poor lighting and there was literally no space to put a suitcase. The wardrobe had a bulb missing from an integral lighting unit leaving exposed connections and indeed in the hallway there were electrical wires hanging from the ceiling. The bathroom, whilst pleasantly fitted, was also tiny with poor lighting and a loo roll holder which was loosely fitted to the wall and so badly positioned as to obstruct access to the loo. The shower was extremely poor and if turned from a fine spray simply dribbled out in a stream. No tissues were provided and the three small containers of bathroom products were not replenished for our second night. There were no towel rails – hardly surprising I suppose given the size of the room.The walls between the rooms were paper thin resulting in us hearing details of the conversation in the adjacent room (which had obviously been subdivided from the room we had). Breakfast turned out to be an extremely poor “Continental” breakfast which included orange juice which tasted watered down and tea and coffee from flasks. On the second morning the milk provided was sour. The service is “self service” to the point where there is no service at all, as even the cutlery had to be collected with the food. Finally, the hotel advertised itself as having Egyptian cotton sheets and Merino wool blankets. Neither was true – indeed the blankets were made of nylon!!We did not complain at the time as it was apparent that such a complaint would not have been well received and as the hotel was full there would have been no opportunity of changing rooms even supposing some rooms are better. I have stayed at many London hotels which had larger rooms than this at similar prices.Overall this was a highly disappointing experience and despite the convenient location I would not stay again	
Dec 16 2005	A good stay	I had stayed in this hotel back in 2002 when the hotel was been renovated, i was living in London at the time but my flat had some problems. Anyway, our room was amazing, i cant remember on which floor we were though. Needless to say that upon reading the reviews i was quite scared to go back. So i made a call to the hotel. I needed 4 rooms and i told them to check this website....upon arrival, the hotel had a fresh look. It was great. The girl in the reception was nice and polite. She gave us the 4 rooms which i went to check first. They were indeed quite small but decorated with taste. Having lived in London for 4 years and having studying hotel management etc i know that this hotel is above average, in terms of price especially. I did hear a lot of complain for people arriving at the hotel and waiting for their room..But it all turned out for the best, the manager though needs to be more friendly and more polite, as well as the other older man working there.It is very clean as well which is a MUST, especially in London...p.s the girl told me the manager had checked this website there were no comments from him of course...	
Dec 10 2005 	one of the cleanest hotels i have ever been.	the mayflower hotel have a very pretty Reception comparing to others.The staff was very kind and helfull. the room that I stayed-in was very clean and pretty but the size of the room wasn't very big, but i would definitely recomande the hotel.	
Dec 8 2005	Never again	It was not good from the get go. The room was tiny and noticed that instead of an actual double bed, it was just two singles put together. The room had not even been decorated properly because i could still see the seal used on the floor edges. One member of staff lost our key. After reassuring her we didnt still have it, she would'nt admit responsibilty and blamed us. DO NOT waste your money and time!	
Nov 28 2005	Adequate	My 11yr old son and I were booked into Twenty Nevern Sq (sister hotel) but on arrival, were directed to the Mayflower due to 'refurbishment&quot;. It was with some intrepidation we entered, as I was already aware of the unfavourable reviews on here. However, I have to say the room was small but clean and well stocked with toiletries, towels etc. The 2 double beds were like iron and I was disappointed not to have a bath to soak my weary bones in! Nor did I appreciate the noisy neighbour with booming voice at 6am! Otherwise it was average for the money- £89 on laterooms	
Nov 14 2005	Horrible	Tiny, dirty rooms. Noisy street, noisy tube line in rear. Rude staff. It would be cleaner and quieter to sleep on a bench in Hyde Park.	
Oct 20 2005	What a disappointment	Unfortunately England never fails to disappoint and boy were we disappointed with The Mayflower Hotel. We are 4 seasoned lady travellers who take our leisure time very seriously - we pride ourselves on researching our destinations and our places to stay and between us we have been extremely fortunate to have experienced most types of accommodation, from huts on the beach through to 7 star establishments. We are well aware of trick photography and artistic licence with the written word and therefore expect smaller rooms and less sumptuous soft furnishings than advertised - but The Mayflower Hotel really did mis-sell itself this last weekend. We were advised to take an Apartment - this being considered most suited to our needs - so we did. We read Johanssens and other reviews (unfortunately not Trip Advisor)and were looking forward to a new hotel and a new area of London. The Apartment was not connected to the hotel either structurally or by telephone line, it was located in a separate building, 5 minutes walk away - a building that was old, tatty and housing private apartments. The staircases were filthy dirty, stank of urine and littered with childrens toys. The Apartment in no way whatsoever resembled the advertising for The Mayflower Hotel - it was old fashioned, very dirty and a complete shock after having entered the reception of the hotel.Maybe the hotel is not misselling, but actually employing a very clever marketing campaign - our cries of horror were immediately placated by offering us 2 family rooms in the main hotel. Our initial reaction was &quot;wonderful, exactly what we ordered&quot; but unfortunately after a few hours we became aware that the rooms were noisy, grubby (poorly laundered linen) very badly ventilated (1 window that would not stay open) and very, very small to house a family of 4. The lighting was inadequate for anyone wishing to apply make up and the toilet in one of our rooms so small that a large bottom would easily get stuck! Had we entered these rooms first, again we would have complained, but compared to the Apartment, they were wonderful. So, are the hotel aware of this - do they offer you a poor room first, so the replacement always looks better? We heard 3 other sets of guests complain also about their rooms and again, they were immediately placated with replacements - how does a small hotel find so many alternatives?The main hotel and the staff were nice and the breakfast a pleasant surprise (fresh fruit, cheese, salads, etc - although they did run out of bread!)but they should not continue to offer such utterly shoddy accommodation to paying guests who are clearly expecting something very, very different	
Oct 17 2005	Everyone beware!	We returned from our short sojourn at the Mayflower in a state of shock! Foreign visitors take note. We are four ladies who had reserved a luxury apartment for two nights after reading an excellent review in Conde Naste &quot;Traveller&quot; magazine. To say it was disgusting is an understatement, and we believe that the &quot;flats&quot; would be closed by the Environmental Health Agency were they aware how shockingly filthy they were. The flats in question were not next door to the Mayflower Hotel, as some would appear to be, but a good five minute walk away past Earls Court Tube station. The entrance, and four flights of unlit stairs, stunk of stale urine. There were filthy food stained carpets full of cigarette burns in the actual flat. The beds had covers that were fit only for decorators dustsheets. The beds were not full length and resembled &quot;camp beds&quot;. There was no phone, no towels - we didn't hang around longer than a few minutes as the stench was overwhelming. Subsequent to our threatening them with the Public Health Officer we were placed in two &quot;family rooms&quot; (why are there always spare rooms when purportedly, intially, they are full?). These were very noisy, (underground announcers who love the sound of their own voice) cramped and generally not what one would expect in Johannsens guide and recommended by Conde Naste - just Cheap and Nasty would be better. For foreign visitors who may arrive after a long flight the above scenario would be a nightmare. Take some advice from us, unless you have a particular fondness for pungent toilet smells and filth, stay elsewhere.	
Aug 12 2005	Nightmare at the Mayflower Avoid At All Cost	The lobby of the hotel seems clean and modern, but don't be fooled. I booked a room at the Mayflower, in Earls Court, three months in advance. The rooms at the front of the hotel face a busy street that is noisy all night from various clubs and bars. The rooms at the rear are adjacent to the tube line, so a train rattles past every fifteen minutes while you &quot;try&quot; to sleep. The staff is very rude and not the least bit helpful. When I asked the front desk clerk to call me a taxi, she called an unlicensed and illegal cab that charged me 10 GBP ($19) to travel less than a mile. Sheets and towels were not changed for 3 days. The breakfast consited of stale corn flakes and warm milk. Save yourself the misery and stay somewhere else	
Aug 9 2005	Terrible disappointment	Staying this hotel after it was recommended in the famous &quot;Time Out&quot; guide was an awful experience. I am shocked it was listed in that book, and makes me question all their recommendations. Let's start with the noise. then the tiny bathroom and no air conditioning. The fan sounded las loud as a car engine. On the plus side, breakfast was decent. The staff tried hard and were very friendly. But they did not know the neighborhood, had never eaten at the local restaurant on the corner, etc.. The hotel was made up of rooms created by carving up a larger set of rooms. They definately cut them way too small. No amount of design in the small lobby can make the rooms bigger or nicer. And the noise from the street went on 24 hrs a day. A terrible choice in the summer or if you are entering London with jet-lag. I would never stay at this hotel again, and I would never stay in the Earls Court section of London again. A very depressed economic neighborhood with a high density immigrant population. Not my cup of tea for a vacation.	
Aug 3 2005	Oh my!	I reserved this hotel through a reputable website after many sleepless nights reviewing London hotels. As we had visited London previously, we knew their rooms had alot to be desired (unless you wanted to pay $400-500./nt), so after reading what I thought were pretty decent reviews, I booked it. The room (their so-called triple) was to be for 2 adults and a child and for 4-nights. We were told by the Mayflower and the website that the hotel had recently gone through a refurbishment, ie: wood floors, wood blinds, marble bathroom, flat screen cable TV, etc... it was even mentioned in Conde Naste latest international directory. Any normal person would think... Great! Needless to say, what I was told, was not what I received. Upon check-in we were greeted with - &quot;We have upgraded you to a suite.&quot; Wow, we thought... but after seeing their idea of a suite, we clearly were on the wrong page. My 12-yr old was appalled and made my first day in London absolutely awful by complaining constantly. The suite was on of their apartments next door. Clearly just a flat. The woodwork was filthy, the curtains wrinkled, a dinky 13&quot; TV, and a shower that didn't work, unless you sat in the tub holding the handle. My son slept, not in a twin bed, but in an end table in which the top flipped up and the bed rolled out. YUK!! I woke up the next morning at 4:00am and went outside and rang the doorbell to reception to vent - and got absolutely nowhere. Since this was during Live 8, our choice was to tough it out or pay oodles - we decided to tough it out, since we were not staying long (thank G-d!!) I did though email the website from the hotel lobby complaining and they did say they would look into it, and they have. The pisser is that the Mayflower said that they offered me a room in the hotel and that I chose the apartment. We just received our photos of this room and am now sending them to the websites London office to use as fuel.Thank goodness this was our last trip to London.	
Jul 13 2005	Lovely hotel	My husband and I really didn't know what to expect when we arrived at the Mayflower Hotel in London after reading the widely contrasting reviews on TripAdvisor. Since we were a bit paranoid, we asked to see our room BEFORE we paid (the woman at the desk was quite happy to show it to us). It was very nicely decorated and spotlessly clean. Yes, the hotel backs onto the Earl's Court Tube Station. But the Tube doesn't run in the middle of the night. The only noise that bothered us came from inconsiderate guests who thought it was okay to stand outside our room and chat at 11:30 pm. Yes, the rooms are not exactly spacious by North-American-Chain-Hotel standards, but if you're travelling light, there's more than enough room for a couple of small suitcases and the other assorted stuff you accumulate when you're travelling. Plus, how much time are you planning to spend in your hotel room? It's really only a place to sleep. The bathroom was on the small side, but the shower had excellent water pressure, with soap and shampoo provided.Breakfast was wonderful. After a week of greasy, luke-warm Scottish Breakfasts in Edinburgh, we were so happy to find fresh fruit, cereal, yogurt, fresh rolls, cheese and vegetables in the beautifully-decorated Breakfast Room. The desk staff were very pleasant and helpful, every time we went to ask them something. If I am ever in London again, I will stay at the Mayflower, and would not hesitate to recommend it.	
Jun 7 2005	Mixed Feelings	My wife and i stayed at the Mayflower for 8 nights and all in all it was okay. The apartment that we rented was good value for money and had been newly renovated. For the amount that we saved in dining out it was well worth it. The bathroom was clean and had all new fixtures, yet small. Strangely though, the shower had no shower curtain hence, water onto to the bathroom floor. I asked the staff about a curtain and they replied nicely that it was how the shower was meant to be????? The appliances in the kitchen was new and very modern. The bedroom was extremely small but again it is London! One big complaint that we had though was the quality of mattress they gave to us which was actually two single matresses pushed together making one queen size bed. One of the mattrasses was very worn and lower then the other. Despite this, the apartment is very neatly decorated and we enjoyed ourselves. Anyway who spends all of their time in an apartment whilst in London????????Make sure to check out the chinese restaurant on Earl's Court road called the &quot;Red Dragon&quot;. It is two minutes from the hotel. They served the best chinese i have ever tasted.	
Jun 6 2005	Great location - TINY room!	I agree with much that has been written already. In its favour the hotel is really close to Earl's Court tube and the reception areas are stylish, BUT - the room was incredibly small. We booked a triple - a double and a single bed for a child. By the time the three of us were in the room with our bags you literally struggled to get around. The beds turned out to be two three-quarter beds - so I had to sleep with our son as there was not enough room for two adults in one bed. I went immediately to reception and asked to be moved but was told the hotel was full - we'd been asked to pay on arrival and so I didn't even have the option of moving to another hotel! The noise of the tube is a problem in rooms at the rear of the hotel and as the air conditioning consists of overhead fans, if it's a warm night, as it was for us, the option is to be cool and lie awake because of the fan noise, or try to sleep in the heat - windows had such a limited opening as to allow little air in. Personally I will not stay at the Mayflower again. Pictures bore little resemblance to the room we were given, but ultimately it was the size of the room that was the main gripe. It's very difficult to get across in a review how difficult it made our stay. Thank goodness we were only there one night! Claustrophobics beware!	
Jun 5 2005	clean but tiny room	The location was very close to the tube station, in fact so close that our room on the ground floor was illuminated by the light from the top of the tube shed. The room was stuffy and warm, and the bathroom tiny. The toilet was wedged in a corner between the shower and the sink. Not the place to stay if you are claustrophobic or larger sized. The two double beds (we stayed in a triple) were pushed up against the walls, so you could only get out on one side. The staff was minimally helpful, in fact it became a joke with our family for me to say &quot;I'll ask at the desk&quot; and then not be able to get an answer, or understand the answer given. Breakfast was okay, but by 8:00 am mostly gone. But they would gladly offer you some toast if everything else was depleted.	
May 30 2005	Such a gorgeous hotel!	I stayed at the Mayflower from the 20th to the 25th April and it was really gorgeous! I can't understand how can people write such crap reviews about it: I had a twin room, which was not so small, nice decoration, every comfort. The bathroom was the most impressive part of the room: it was rather big, with a walk-in shower, completely renovated. This hotel really looked like being of a higher star rate than it has been given. The breakfast room was stylish and cosy, too, and breakfast had a good choice, it was really not necessary to ask for a cooked meal. I would recommend this charming boutique hotel to everybody going to London!	
May 28 2005	Good (not great) Hotel	Let me begin by saying that I am rather easy to please. With that said, I can fully understand both the negative and positive reviews on here. It's all a matter of perception and what we come to expect from a hotel upon check in. The rooms were small, although that is something I've come to expect when traveling in Europe. Other than a coffee stained bed spread the room was very clean and comfortable. I didn't complain about the bed spread because most hotels generally don't wash them very often. It's gross, but unfortunately true. Simply in most cases you are unaware of it. My advice is to remove them whenever you stay in a hotel. The staff was friendly and helpful. The continental breakfast was a delicious way to start the day. The location (right next to the Earls Court Tube Station) was great. Basically, this is a hotel for anyone who plans to spend a lot of time outside of the hotel. As a vacationer it met my needs, but did not exceed them. I would definately return for another stay.	
May 16 2005	Neat but cramped room	Together with my wife and daugther we stayed at the hotel. Our room had two small double beds and little room left to move about. The bathroom was good, except for the lack of hooks/railings for the towels.I expect the rooms at the back to become very hot in summer. There is only a fan on the ceiling to move the air about.Breakfast was continental style (rolls, croissants, coffee, tea, juice, milk, cereals, butter, jam, cheese, etc.) and served in a modern style lounge in the basement. For us it was fine.The staff was friendly and acted adequately when required.If the room had been a little bit larger it would have received a higher rating.	
Apr 30 2005	Was scared after reading reviews but apartment was GREAT!	After reading reviews here I was really nervous about our stay at the Mayflower Apartments. All I can figure is that many of the people offering reviews either visited before the apartments were renovated, or visited during a busy season and ended up in a less desirable apartment.Like you'll read on the Mayflower's website, the apartments are undergoing renovation. Our apartment (a 2 bedroom on the ground floor) looked just like the pictures on the website. The doors were the sliding wood doors with the sqaure windows, the bathroom fixtures were modern and clean. The kitchen had a small refrigerator, oven/range, washer/dryer combo, toaster, coffee maker, utensils and dishes, cups, cooking pans -- all that our group of 5 needed. The apartment we were in had 11 foot ceilings, and a bay window in one bedroom. The apartment was clean, especially the bathrooms.The apartment building is actually about 2 doors down from the front office. You have to have a key (the staff provided our group with 2), or have to be buzzed in from your room to enter the building.There was an issue with one toilet in one bathroom -- it had to be pumped to flush. But this must be a pretty common problem in the UK, because we've seen similar problems in other hotels all over the country. I did read one review that described the couches as too dirty to sit on. I have to admit -- the brown fabric on them really does look scary. But after some inspection, we discovered that the fabric just has some sort of nap that makes it look grungy. The room came with extra bedding, and you could cover them if you are nervous. We slept 5 comfortably in the 2 bedroom apartment (which had 2 folding cots --with real mattresses), 2 per bedroom and one on a cot in the living room. We would have had to move some furniture to get both cots in the living room. One bedroom has a queen bed, and the other room has two twin beds. Mattresses and pillows were below average.The location of this hotel could not be better. It's about 1/2 a block from the Earl's Court tube station. Earls' Court Road has lots of little shops and restaurants, including some little grocery stores where we bought food, paper towels, dish soap, and laundry soap. It's about a 20 minute walk to the High Street Kensington that has tons and tons of fun shops. The hotel and apartment are on a quiet street considering how busy Earl's Court road is, and the nearby park is a good place to get away from the city.The hotel does not have wireless internet access. Uur cell phone plan gets free data (regardless of area), and we were able to get a strong enough signal to use it to access the internet. There are nearby internet cafe's but we didn't use them.The daytime hotel staff were helpful and competent, but the red-eye desk gal should have been working at McDonald's down the street.Our group was not seeking luxury accomodations, as some are that stay in the hotel. The apartment was much better than we expected, especially given the reviews here. The apartment was not luxurious, but it was a darn sight better than tourist class and budget class accomodations. I'd class it as a moderate rating.I am planning to bring my children to London in the future, and we plan to stay at the Mayflower again because of the location and convenience of the apartment and living room for a group. We saved a ton of money on the ridiculously high London dining prices by staying in the apartment and eating in for breakfast and dinner. Staying in an apartment was cheaper for us than staying in a tourist class hotel. I'd recommend this apartment very highly, especially for the budget concious traveller who doesn't want to stay at the bottom of the barrel. We felt the Mayflower was an excellent value ($$-wise and location-wise) for our group.	
Apr 26 2005	Expensive...but poor!	My wife and I stayed here on 23rd April and although the room was nice it was very small and cramped. A single room really with a double bed in it. We were wakened around 5am with a banging thumping noise coming from somewhere in the walls or attic, I think it was a water tank or boiler or something like that, and it lasted for about 30seconds. Then it did this every 20mins or so until about 7.15am.We went down for breakfast at 9.10am (served between 8-10) and were amazed that if you wanted a cooked breakfast you had to pay extra. All that was available was juice,cereal and cheese and tomatoes. There wasn't any croissants left either. And the room was £89 and said inc. breakfast.We made our views known to the management on check-out but were treated to a &quot;better luck next time&quot; answer to which I replied &quot; No there will not be a next time, not at this hotel anyway&quot;.Not Recommended. Mr Gerry Swan, Jersey, Channel Islands.	
Apr 25 2005	Bait and Switch	How can one hotel have such a mix of reviews? Mystery solved - this hotel does a major bait and switch - the photos of rooms on the website are not at all representative of those which we were given. The twin room we were given was in a totally different world from anything on the website. It was so small that we literally took the bedspreads to the front desk since there was not place to put them in the room and have any space left to walk. The beds were so close together that we could not walk between them. Parakeets in the lounge chattered so loudly that we could hear them through two sets of doors. The good news is the location - one short block from the Earls Court underground. The bad news is that the underground trains run directly behind the hotel. It would have been helpful to run the fan in our room to drown out the noises, but the fan switch was broken. Although a new switch was installed, it resulted in running the fan at only one speed and that was such high speed that I feared the fan would come loose from the ceiling. After two nights in this room, I was shown a larger room which I was told was like the one for which we could pay an extra 20 pounds a night. The room was quite lovely and spacious. The one we actually got (only after paying the extra charge in advance) was smaller than the one I had been show. At least it was further away from the parakeets and the trains. The handle for the bathroom door fell off the minute we touched it and the door to the room was so hard to unlock that we had to ask for help from the desk clerk to open it. Those two problems were solved the next morning, but only after being told by the manager that we were the only people who had ever complained. Perhaps trip advisor should send him copies of the other reviews. So if you do decide to take advantage of the convenient location of this hotel, please be forewarned that the website photos are of rooms that are definitely not representative of most in the hotel and definitely do not expect the twin rooms to be suitable for two adults. In fairness, I could not give a rating of terrible because the beds were excellent, the bathrooms spotless, the breakfast room accurately shown in the photos, and most of the staff (manager excepted) pleasant and eager to help.	
Apr 23 2005	Going back to the Mayflower soon	Strange how one hotel can get such varying reviews. I stayed here in January with a group of friends. We stayed in the triple and quadruple rooms, which were large (for London) and stylishly renovated, with lovely bathrooms, nice linens, and a CD player. Our room looked out over the Earls Court Tube station, which made it a little noisy during the day, but nothing unbearable. Staff was very helpful and friendly. Overall it was great value for money, and I'm planning to go back soon. I did see one double room, and it was small, but not unusually so. Sounds like the apartments are to be avoided.	
Mar 13 2005	Mayflower is cramped and service is bad	My husband and I recently stayed at the Mayflower for two nights. We found the room to be very small and stuffy. We also noticed that instead of a marble bathroom, which the Mayflower advertises, the bathroom is tiled with ceramic tiles that have a marble appearance - not that I really care - just odd. On our first day, the breakfast room was so full when we came down at about 8.00 that we had to wait for a table, and then we waited for over 30 minutes for someone to take our order before leaving. We didn't go down to breakfast the second day.	
Mar 3 2005 	To be avoided	Like others I was offered an 'upgrade' to an apartment on my arrival as the rest of the hotel was full.The apartment was a short walk away, no problem. But as soon as I has looked around it I decided not to stay there for various reasonsIt was dirty, sahbby with thread bare capretsThe beds were very narrow, and only 8inches apart, butted up against the wall - something I can't stand, particularly in a narrow single.There was no remote for the 15 year old tellyBut the worst thing was the timer clock in the kitchen kept making a claking sound all the time.I went back to the hotel proper and complained, basicly refused tostay there, eventually they agreed to put me up in their sister hotel, which they claimed was also a AA 4 Diamond, of course when I got there it wasn't.My impression is that the mayflower is quite nice - but only if you get to stay in the main hotel, and that they overbook people into these shabby aparments at willAvoid the lottery - book somewhere else	
Feb 14 2005	Nice time at the Mayflower	We stayed at the Mayflower in June 2004 and found it to be quite charming and our room though small, was clean and overall a fun experience. The staff was a bit surly, but it is a large city and that isn't anything to be surprised about. The price is quite fair and the proximity to the Earl's Court Tube station is suberb.	
Jan 27 2005	Enjoyed Our Stay	We truly enjoyed our stay at the Mayflower Hotel. We found the staff to be very helpful and friendly. The hotel is close to the tube, restaurants, and shops. We always felt safe in the area. Our room was very clean and large with 3 beds, a nice marbled bathroom, and hardwood flooring. We would definitely stay at the Mayflower again.	
Jan 20 2005	The Best!!!	My boyfriend and I stayed in the Mayflower last November and we just loved that sweet little hotel. We stayed in room 37 which wasn't too big but spacious enough for us and our shopping... It was marvellous to lodge in such a clean, newly renovated hotel in such a perfect location.We will return this May when we will be on our HONEYMOON!	
Nov 26 2004	Nightmare	The Mayfower was terrible! We stayed in the apartments and they were discusting and dirty. The floors were dirty the sheets looked like they'd never been cleaned and the bathrooms werre so small you couldn't even turn around in them. On top of that, shower did not work properly and no one came to fix it. The sevice was less than pathetic. I would prefer to sleep at the worst Motel 6 in New Jersey, it would seem like the Ritz, before I return to the Mayflower. AVOID IT at all costs!!!!	
Oct 23 2004	best hotel in london that ive stayed at	this hotel was very nice, and very close to the earls court tube station, right around the corner. yes you can hear the trains but i didnt care about that and it didnt bother me. the room was very very nice, had a full size bed, wood floors and a very nice design inside of the room. had a good fan above the bed and a heater in the room. i like the one touch controls that you were able to operate from the bed. the pillows and bed was super nice as well. i had to admit i got scared when i went into the elevator that can only hold one person and the hallways inside the hotel was very small i thought to myself damn this is gonna suck but when i opened my door to my room i was in 24 by the way i went back downstairs and told the staff i was very happy. ive stayed in hotels in london that cost 200 bucks a night, like the gloucester and bailys and this hotel topped them. only thing the hotel lacked was a mini bar where i could store cold drinks and no ice machine in the hotel like you find in bigger chains or american hotels. but over all this hotel simply rocked and i will stay here again and at 52 pounds a night you cant beat it	
Sep 28 2004	Newly Renovated	My family and I stayed at two different hotels during our trip to London in August and booked through the internet. The first hotel was clean, but sorely in need of a makeover. Then, we stayed at the Mayflower. All's I can say is Wow! Both hotels were equal in price and location (Earls Court), but what a difference! You can take the Tube on one line from Heathrow Airport and not switch lines which was a plus. Once off the Tube, the Mayflower is a short two minute walk literally! We exited the Tube, took a left and the first left to the street the Mayflower was on. We walked into the lobby and immediately knew we found a nice place. There was a small bar/internet area off the Lobby which was nice. My favorite was the flowing contained waterfall in the lobby. Very chic! Our room had two double beds and was tastefully decorated in a modern art deco design. My favorite part of the room was the bathroom with the natural tiled walk in shower with no door. That's how big it was! It reminded me of the outdoor showers you find in the Caribbean only indoors. The tile was gorgeous! The bathroom amenities were all modern and CLEAN!! Breakfast was included in the price and served in a nice room in the basement of the hotel. I was very impressed with this place and the area (Earls Court). Earls Court in general has many quaint restaurants to the right of the Tube. Actually, the area reminds me of Greenwich Village in NYC. If you walk to the right of the Tube station, you see the area is being developed into a really nice upscale area. I would definitely recommend this hotel and area. It's quick to get to the center of town by Tube, and nice to be outside of the hustle and bustle of the city. It's like it's own little &quot;village&quot; inside the city. Highly recommend the Mayflower for the price!!	
Aug 30 2004	Wonderful Experience at the Mayflower	My husband and I stayed at the Mayflower Hotel in October 2003. Our room was large (by London standards), very clean, with hardwood floors and a modern bathroom w/marble flooring and a large shower. The Mayflower Hotel was also reasonably priced, compared to other hotels, and it has a great location (short walk to the Earl's Court Station and an Internet Cafe). We did not experience any of the noise from the Tube station as described in other reviews. We did, however, have a bit of street noise, which is to be expected in a large city. The continental breakfast was nice, but the service was a bit slow. I would not hesitate to recommend this hotel to anyone who may be visiting London in the future. I know we will be staying there again on our next visit to London.	
Aug 16 2004	Postage Stamp rooms; great service	They tried to put us in the basement, but were kind enough to move us when requested (basement rooms are too warm). Rooms the size of postage stamps- my husband and I (slim people) could not manoeveur around the room without climbing on the bed. However, room was very clean- squeaky clean- and location was terrific- although Earl's Court Station is QUITE loud Monday through Friday. Weekend it is not bad at all. The staff were really terrific- helpful and friendly. When we left, the lady at the front desk gave us her card and told us she'd take care of us &quot;next time.&quot; We'll probably take her up on it.	
Aug 15 2004	Seriously lacking service!	I recently stayed at this hotel and have to rate it the worst for service I've ever received in London. I booked two seperate stays, the first for 2 nights and the second for 4 nights. While at first glance the hotel has the &quot;wow&quot; factor, and the price is reasonable, this is completely offset by the surly and rude mannered staff. The few requests I made were met with indifference and always &quot;No&quot;. No late check out available, No fan available for the room, No early breakfast allowed (15mins before normal start time..).. I give up, if you want service stay some where else.. there are a lot of decent hotels in the area.	
Jul 12 2004	Fine for London	A great experience for our first time in London (but not UK). Rooms are small but clean; but then for the rates you pay in London, I guess its acceptable. Breakfast is also acceptable but the limitation in space and staff resulted in slow service.If you're a light sleeper, I guess you won't be able to go to bed before midnight due to the trains running on the rear of the building.Despite the above, recommended if you're on a tight budget but who isn't if you're in London...	
Jun 15 2004	beware of the apartments	We stayed at the Mayflower hotel for one night in June 2004. We were directed there by the sister hotel (Twenty Nevern Square), which was full that night. We had been promised an &quot;upgrade&quot; to an apartment to make up for the inconvenience, but this turned out to be a downgrade with a capital D. The apartments don't look like anything you see on the hotel's website and our apartment didn't even have a phone, nor a hairdryer, nor two towels per person. A sofa was of dubious cleanliness (I wouldn't have touched it), and all the rooms had elements that were clearly new (the doors) or clearly very worn (the carpets, the curtains, the sofa, the chairs). We did not enjoy our stay at all and were glad it was only for a night. I guess the rooms at the hotel are of much better quality. 	
Jun 14 2004	Enjoyed our stay	The hotel is very centrally located in a nice area just a short walk from Earls Court Tube station which is on the Picadilly line. The hotel is bright and appears to be newly decorated in a contemporary style. The staff are friendly. The rooms are small but adequate if you don't plan on spending alot of time in the room. They are very clean and the bathrooms are very nice. The continental breakfast is good but the service is not great, during our three night stay the tables were never set for us for breakfast and we felt like we were always following the waitress around asking for something that we needed. Overall a very pleasant stay and I would most definitely recommend this hotel to anyone.	
