	Simple hotel good location	Overall the hotel provided exactly what we needed - a base for a 2-day sighting seeing trip around London. The location was good since it was right near the Earl's Court Station that allowed us to get everywhere we wanted to go. Otherwise there was not much near the hotel.The room was actually bigger than anticipated. It was very basic though. Only negative was that the one women at the desk wasn't helpful at all with any of our questions. Would recommend for a basic sightseeing stay.	
May 24 2005	You can stay at much better places for similar money.	Stayed here for one night in May 2005 when attending a concert at the nearby Earls Court arena.POSITIVES:Location - 1 minutes walk to Earls Court tube station. 2 minutes to Earls Court Arena.Cleanliness - Both the room and the bed were clean.Staff - Friendly and helpful.NEGATIVES:No Air-Conditioning - the room was impossibly hot. What made it worse was the window wouldn't stay open unless I propped it open with the telephone directory.Overall condition of Hotel - I think the hotel can be described as a little bit tatty. The marble floor in reception was cracked. The carpet in the corridors was faded and ill-fitting. The paintwork and decor was overdue an overhaul (woodchip wall paper for example - this is not the 70's anymore!). 1 inch gap below room door meant light from the corridor illuminated the room all night.OVERALL VERDICT: There are much better hotels in London for this price - I paid £88GBP for one night. This is not very expensive for London, but if you shop around you'll find some of the major hotel chains offering genuine 4* rooms for this price.	
Oct 11 2004	Great for the price	I've stayed at this hotel twice. The rooms are a little older, but were decent for the money paid. The location was perfect, a 3 min walk to the tube station. Some rooms in the hotel are large, and some are small. All in all, not bad for a tourist class hotel.	
Aug 19 2004	Awful location filthy rooms	We stayed at Barkston Gardens in the first week of August. it was so bad we went looking for an alternative for the next night despite the fact we had prepaid. We had 2 rooms, for 2 nights, both were filthy, in one room the toilet wouldn't flush, the noise was incredible, even the kids complained! The street outside was covered in vomit and broken beer bottles my 9yo daughter was verbally sexually harassed as we walked passed the pub and was so frightened she wouldn't open the window on her room despite the hot weather! Location might be alright if you're into bars and pubs but not for a family. my biggest gripe was the fact they gave their adddress as Kensington as it is an entirely different type of neighbourhood	
Mar 23 2004	Great Location	Location was truly the best part of this hotel. Earl's court tube station literally right around the corner. The room we had was another story. Great bathroom, large, full tub, great shower w/ shower curtain. Rug was stained in multiple places and the beds were the most uncomfortable I have ever slept on. The beds were also very noisy. Walls are paper thin, so if you have a noisy neighbor....we brought earplugs. Continental breakfast was included in our rate. Adequate breakfast, skip the coffee and go for the tea. Waitstaff was mixed, not overly friendly, but good enough. Eating area, lobby, etc were very clean. Local papers provided in the lobby along with a lot of tour papers, and sightseeing booklets. Front desk staff was great. Coffee/tea maker is room was nice. They provide you with little packets of tea, coffee, sugar, etc. Skip the coffee here too. Pub at the end of the street was loud and rude people. Waitstaff very unfriendly. Lots of other places to go for food.	
Mar 19 2004	I've stayed her 5 times I like it	I have stayed here 5 times in the past 3 years and I like the hotel staff is nice, breakfast is pretty good, but that isnt the most important thing to me, but the coffee is terrible, we usually walk down the street to Coffee republic or Costa coffee and get some good coffee. We have stayed in 2 dif kind of rooms, reg double room and family room with 2 double beds and a fold out couch and liked them both. Bathrooms were large for Europe and I love the Earls Court location. I have stayed at 3 other hotels in the area. The Burns, The Oxford and the Rushmore and I like this best. Good Restaurants around here also. Try Dinos right next to tube on Earls Ct RD.	
Jan 21 2004	Great location good value		
Jan 11 2004	Surprisingly Pleased.......		
Dec 4 2003	Never again!		
Nov 30 2003	Location is it's best feature		
Nov 15 2003	Filthy Terrible Experience		
Oct 13 2003	Quaint and very convenient		
Sep 9 2003	Great English Breakfast		
Aug 28 2003	Good service and great location		
Jul 8 2003	Convenience Location		
Jan 16 2003	Beautiful private park across the street		
Jan 16 2003	Très bon rapport qualité-prix!		
Jan 16 2003	Earl's Court??????????		
Nov 9 2009 	Molto carino....scricchiolante		
Nov 6 2009 	????????		
Nov 6 2009 	Buon rapporto qualità/prezzo		
Oct 22 2009 	consigliato ma.............		
Oct 15 2009 	Incubo "mouse"		
Oct 9 2009 	Très beau séjour		
Sep 24 2009 	Hotel correcto te dan lo que pagas		
Sep 23 2009 	non vale quanto costa		
Sep 21 2009 	bien placé		
Sep 4 2009 	Super Lage winzige Betten		
Aug 26 2009 	Tout à fait convenable dans l'ensemble		
Aug 26 2009 	Un hotel muy bueno y bien situado y a precio razonable.		
Aug 20 2009 	horrible		
Aug 2 2009 	Guter Durchschnitt günstige Lage		
Jul 29 2009 	Bon rapport qualité/Prix		
Jul 15 2009 	???Earl's Court ??????????????		
Jul 1 2009 	Ottima posizione		
Jun 11 2009 	Emplacement idéal et confort à Londres		
Jun 2 2009 	Conveniente rapporto qualità/prezzo		
May 17 2009 	hotel très bien placé		
May 10 2009 	Un scarso 3stelle		
Mar 30 2009 	buon hotel		
Mar 30 2009 	Ottimo rapporto qualità-prezzo		
Feb 25 2009 	?????????!!		
Jan 15 2009 	non economico ma semplicemente il prezzo giusto per un ostello con camere doppie		
Jan 8 2009 	Hotel bien placé mais.....		
Jan 7 2009 	nie wieder		
Jan 3 2009 	Mica male!		
Jan 2 2009 	Ottima posizione		
Dec 18 2008 	Buena relación calidad precio.Recomendable		
Nov 25 2008 	Non consigliabile		
Nov 5 2008 	très bon hotel		
Oct 31 2008 	super hotel		
Oct 28 2008 	Abgewohnt und immer kalt		
Oct 22 2008 	consigliato!		
Sep 2 2008 	Esperienza positiva		
Sep 2 2008 	Buon rapporto qualità/prezzo		
Aug 18 2008 	Très convenable pour Londres		
Aug 1 2008 	No lo recomendaría a nadie		
May 30 2008 	ottima sorpresa		
Mar 29 2008	Buena opcion para visitar Londres		
Mar 7 2008	Ottimo Hotel		
Jan 13 2008 	Hotel da dimenticare		
Jan 2 2008 	No era lo que mes esperaba		
Nov 30 2007 	comodo e confortevole		
Apr 23 2007 	Un hotel muy correcto		
Feb 12 2007 	Londra a prezzi ragionevoli		
Mar 31 2006	Esperabamos más		
