	love this place	Great hotel, staff lovely, great gym and food is cool. Not cheap.	
Nov 7 2005	Not what we hoped	We stayed in this hotel to get away from it all for one weekend, get some rest and because we thought it would be fun to stay in a hotel in our hometown. We did the booking online. Found the hotel quick easily. The immediate surroundings of the hotel are not great but the most important is inside we thought! We checked in and went to our room. The room was really cold, the sofa and bed throw were stained, the mini bar fridge was leaking and did not contained what was listed on the menu placed by it, one of the towel was also badly stained and some of the sample product had already been used and put back with a third of the bottle missing. We were moved to another room. We had checked in for 3 nights and in the morning of the second day we found an invoice that had been slipped under our door in the night mentionning the quick check out option available to us. When we went to reception, no apologies were made nor explaination given - they just said it was a mistake and ripped the invoice. On the first day, we came back in the evening to find that the room window was open and if you really wanted to you could easily have climbed in from outside!! Breakfast was not impressive either, neither for us or for other people around us who shared their comments. Finally the noise inside the hotel and outside was quite terribly - from the room we got moved to (which was also an upgrade) we were actually facing a car and coach park! The hotel was so noisy that on the last night we had to phone reception at 00.45 in the morning to complain.	
Oct 25 2005	Good service but interesting area	Stayed at K West last weekend for 1 night as going to Shepherds Bush Empire. Did a search of the internet before booking and got a good deal - so worth looking looking around before booking.Arrived at 10.30am expecting to have to just leave our bag and come back later to get our room, but was told that they would upgrade our room and that there was one available immediately - brilliant. Room was well designed and a good boutique/modern style without being over the top.Can't agree with others about the staff as they were all really helpful and friendly.Slight gripe about the car parking - it costs c£36 to park your car next to the hotel in their car park - yes it is on website and yes I could have gone by train but still it seems a bit excessive. The hotel is only about 300 yards from Shepherds Bush tube station but the road you walk along to get to it is a bit &quot;shady&quot; - interesting characters going in and out of a pub up the road, police standing guard by a house, another house with industrial strength looking metal shutters.	
Oct 21 2005 	hated it a rip off	We stayed 5 days- booked this hotel because we were on a budget. The surrounding area is very seedy- I would avoid it if you are female and traveling alone. I hotel is extremely run down, with small rooms and dirty bathrooms- but that's not the worst part- we made three phone calls - two to the US for about 5-10 minutes each and a local call- all while using a callng card and got a bill totaling almost 300 pounds at the end of our trip. The staff is rude. Avoid this place if you can	
Oct 13 2005	A great bargain and Experience	A great bargain. The room was very big and the staff was very attentive and friendly. We didn't have a lot of time to explore the hotel facilities, but we had a great time there. Fantastic English breakfast!!! Thanks to Tablet Hotels, the website we booked our hotel stay through, our vacation was a success. We used three of their hotels during our recent trip to Italy by car. It's really fantastic that they focus heavily on providing great customer service which was such an important factor in determining whether our precious 14 days of vacation would be a failure or a success. It’s good to know that someone is looking out for us!	
Sep 27 2005	Nice Design Too Youthful Service	The site looks like a former school house from the outside, but they've done a nice job making the rooms very boutique-y, modern and affordable. Though I did get the 60 dollar upsell (30 pounds) once I showed up to go to an executive room -- it was worth it to have a dining table in the room and I will say the addition of Aveda beauty care products for toiletries was cool. Oh yeah, reminder the british have no TV channels, but the room was comfy enough I decided to stay in that night, and have room service. We were on our way back from Turkey to the US, and this was our stay over night before return.I'm a young guy, but the staff most of them couldn't have been over 23, even the desk staff, so I guess that's why you are paying less for more of a room. A very Eastern European staff right off the boat / train, and one member didn't even know how to get to Holland Road, which is the next street over. So be aware - I know UK service is already weak, but this takes it to a new level. So overall nice rooms -- and affordable in this day of the weak dollar. Right off the tube, so that's convient. But Travel and Leisure's description of it being hip swank spot, a la South Beach, is way off. I don't think any cool London-er would ever step in here, but I could be wrong.Overall, It's a modern designed budget hotel, with a spa below on the basement level. But it's young staff, and lack of true character (again, it's a former school house or office building, or something industrial) make it a shy of what I would put down true 4 or 5 star Trip Advisor rating.I would recommend it on price and looks. That's about it.	
Sep 22 2005	Rooms=A+; however staff could use an upgrade	My husband and I stayed at the K West during the final days of our honeymoon. We had spent 3 days prior in an apartment and the final two days in the K West. It was certainly a nice change from residential living. The hotel is very modern, but sticks out a bit since it's situated in a residental area. The hotel is smaller, 5 floors, with 30-40 rooms on each floor. I enjoyed our accomodations immensely! Our room was situated on the 1st floor (the lobby is on #3) at the rear of the property. At first I wasn't too crazy about the floor selection, but once we got inside our room, I didn't want to leave. The room is not set up like a typical hotel room--it is more wide, than deep than what I usually expect. The room had a large bathroom with walk-in shower stall, terrycloth towels and waffle-weave robes. Our room featured a mini-bar/fridge (that can lock), tea maker, ample sized closet, trouser press. In addition, there was an oversized desk, a living-room sized sofa, coffee table, king size bed, two nightstands, TV/DVD/VCR/CD Player. And, nothing felt crammed in this room. There was lots of natural light that poured into the windows and light fixtures all around the room. The only downfall, there wasn't a bureau or area to place our bags/toiletires out (other than the closet). The spa is located in the lower level of the hotel, on the 1st floor (where we stayed). Also, their fitness facility is there, too. We didn't visit the spa or gym, and found some of the prices for spa services to be a little bit over our range. The hotel lobby doubles as the bar and the hotel's restaurant sits above the bar. With the exception of the woman who assisted us at check-in, the staff left something to be desired. Their level of helpfulness teetered between annoyed and just barely enough. The feel of the bar/restaurant area is modern, hip and very metrosexual. The bar spins techno and house music (loudly) in the evenings, and it seems to be a popular for the younger set in the area. That said, we didn't hear any noise--other than guests in the hallway--from the lobby area.Re: the helpfulness of the staff:We aren't the type of guests that call the front desk for requests--with the exception of a wakeup call or taxi, but even doing that seemed to annoy the staff at K West. (I would give them a 2 out of 5 rating)Location:The Shepherd's Bush tube stop (Central Line) is a 4-block walk--very doable. There are other restaurants, bars, coffee shops and a small shopping (mall) area right near the tube stop. The tube ride is about 5-6 stops away from the major sights.All in all, if you don't require staff members to help you that often, but want to stay in a beautiful, spacious and costly room, then stay at the K West. I think you may find a comparable hotel with a more accomodating staff closer to central London and possibly at a lesser cost.	
Aug 22 2005	Stop Your Bloody Moaning!!!!	My wife and I stayed here as part of a Theatre weekend. We looked on the tube map and thought it would be a long way from the centre of the city, this was not the case. From the outside it has an industrial look about it but once inside it was a chic mimimalist haven away from the London clutter. We paid for a deluxe room but upon arival we were upgraded to an executive room. This was very spacious and well thought out with pretty much everything you could need.The only downside was that there was a private function going on (probably the reason for our upgrade!) but once in the room it was inaudible.As for location, the hotel is 300yds from Shepherds Bush tube which is on the Central line which takes you right into the heart of the city in 15 minutes. This is a thoroughly modern approach to hotels so if minimalist or trendy is not your thing or if you are expecting to walk to the sights from your front door, give it a miss. If on the other hand you like things simple but funky, and like to be well treated by inobtrusive staff, give it a go.P.S. Your mother wouldn't like it!!!!!	
Aug 2 2005	Really Posh...but the rooms were just "ok"	I stayed at the K-West based on a recommendation from a colleague. Unfortunately, since I was there on business, I didn't have much time to take advantage of the spa :-( The K-West hotel was pretty nice. The decor was modern and simple, and room service arrived promptly. The other nice thing about the hotel was that they had a large gym (at least much larger than the flimsy closet called a &quot;fitness centre&quot; at the Radisson Sussex). After walking through the lobby, I was expecting the bedrooms to look like the photos on the website. I had a deluxe room with a couch but no plasma tv. The room was large, but the bathroom...just didn't seem very clean. Additionally, the tv was tiny. It reminded me of the tv that our family used to have when I was 6 years old (before we had a color tv!). It's really tiny. But, if this doesn't matter to you, then it shouldn't be a big deal.I took the tube from Shepherd's Bush into Central London every day. I didn't mind the ride, but I had colleagues stay at the hotel and THEY did mind. So, if you don't want to have to pay approx 20 GBP per cab ride back to the hotel after a night in Central London, then K-West is for you. However, if you're going to stay in the Shepherd's Bush area, then I highly recommend the hotel. I _do_ suggest that you make sure you get a room with a cleaner bathroom though.	
Jul 2 2005	Wow!!!!!!!!!!!!!!!	What a find!!! We stayed for 2 nights in this gem within the estate and couldn't have asked for more. The bar was stylish and the drinks cost a fortune - worth every penny though. The room was taken up by the bed but we were lucky to have a view of a real quaint old english wall. I reckon it must have been 30 years old!! We didn't have time to use the spa but it sounds delightful. We'll be back and that's for sure.	
Jun 26 2005	My favourite hotel	From the outside it looked awful, but when you step inside, it's quite a different story. Chic, minimalist and modern - an oasis of calm from the outside hubbub. The staff on the front desk are efficient and friendly. The room (deluxe) was quite a treat. Decorated to impeccable standards, you couldn't fail to be impressed. The room was enormous; a good thing too considering the size of the bed, which was 10 foot in width! Included were flatscreen tv, cd and dvd player. The bar is lively and trendy, and the included breakfast was wonderful. I didn't buy any spa treatments, however I did use the spa room where you melt away in tranquility. I would highly recommend this hotel to anyone who likes a chic and minimalist look, together will high quality standards and service.	
Jun 22 2005	Nice hotel shame about the location	Stayed here at the special weekend rate in a standard double room which was spacious with a nice size bathroom. The decor is minimalist verging on dull. There was a comfortable king size bed &amp; seating area. Used the gym which was very good for a hotel with a cardiovascular section &amp; weights in a separate room. The continental options for breakfast were very good with range of fresh juices, fruit , yoghurt, cereals &amp; toast. The cooked breakfast wasn't so great. There is a pleasant bar downstairs which did get a bit rowdy after midnight. The location is not good at all, very near Shepherds Bush Green-even though it's only minutes from the Central Line, I didn't feel that safe walking around.	
May 4 2005	Very Nice Hotel Location not great	I have given this hotel a 3 star rating. I loved the design and our room was fantastic. We were also able to book in at 10am instead of 2pm so we had somewhere to leave our bags. In my opinion you will either Love or Hate this hotel. You will either find things tacky or cutting edge in design.The location is not great however it is still only 2 mins walk from the tube.I would probably not go and visit again but only becaue of the location.	
Apr 25 2005	Enjoyed our stay Nice hotel	Stayed at the k west for 3 nights. The outside looks ok, very nice in the dark, has lights that change colour through the class. Very impressive. Although it is in a strange location, in the middle of a sort of housing estate, its not that hard to find. It is 5mins walk from shepherds bush tube station which is on the central line and easy to get into central london. The room was a nice size, something that i noticed was that the hotel and the room was very very clean. Clean bathroom, clean sheets on the beds.I was however a little disspointed with the size of the tele! It says on there website a widescreen tv, its hardly a widescreen tv, its about a 14-16inch one. Overall, a nice hotel but nothing special.	
Apr 18 2005	Wicked Trendy Hotel	Stayed at the K-West, very lovely and trendy Hotel, pleasant staff, stunning rooms. You must try the K-West Burger its delightful..!	
Mar 31 2005	Highly overpriced rundown hotel with bad location.	I recently came home from a three day disappointing stay at K West. London was great, but the hotel was a downer. Based on my experience I will advise the reader to consider it twice before you book. I booked the room through internet, mostly because of the stars (4) and because of the photos of the hotel, however compared with other hotels I can hardly believe that K West is more than a 2 and half star hotel, at highest three. If you go to London for just a few days the location is far from ideal. - You will have to use taxi, bus or the tube to come to major attractions or to the centre (The tube is a 5 min. walk from the hotel, but it takes approx. 20 minutes to get to the centre and 45 min. by bus). Add to this, that the hotel is located in a rather grey and boring neighborhood. Yes, there is a mall there, but nothing of interest for tourists or even locals;-) Our hotel room had view to a fabric or some kind of office building. I had a very strong feeling of living in a fabric area in middle of nowhere. The rooms:We stayed in an executive suit. There is nothing special with these rooms (the style was fancy some years ago, but now it is mostly worn down and looks a bit shabby). It doesn’t seem like they have done anything with the rooms since they opened. The madras was very hard and uncomfortable, compared with other hotels I have stayed at in Europe and USA. If you still thinking about booking a room at K West I strongly advise you to NOT book a family room, or a room for three (The extra madras is more like torture instrument than a madras, not even children can sleep on this kind of madras).The bathroom was a little bit better, but not clean. The roof in the bathroom seemed like it was on its way down, but all in all it was worn down.The staff:Seems ineffective, or to be a bit kind, maybe they had too much to do? Most of them were friendly, but we had some really unpleasant experiences while checking out. - The staff had wrongly added a huge phone bill on my room, and I had to put much efford into convincing them that it was not my phone bill. This was a very upsetting experience and the receptionist was acting rude and unprofessional (I even had to check the phone number on the internet myself to prove for them that the phone call was made by themselves). Even after that they had understood that it was their own phone call, the receptionist was to proud make any real apology.Spa:I was not able to use it because it closes before 20.00 (also the gym close early). If you travel with teenager or children you should be aware that “children” under 18 are not allowed inside the spa.Breakfast: Chaotic experience, but friendly staff. We had to wait for a half hour to get some toast the first day. However, if you only order muffins and croissants etc. it goes smoothly K Lounge: I didn't use the bar or the restaurant at K, but that was the only part of the hotel that looked fancy and stylishConclusion: Highly overpriced rundown hotel, with bad location. My advice: Stay away, you can do much better for the same price in London!	
Mar 30 2005	K West Hotel+Spa - our view	Read all posts here and booked for K West for 2 nights over Easter. We paid £82 per night for a standard room which was a good size, had a great bed/bathroom and was well designed. We had room 506 which overlooked the garden - pretty quiet although you may be able to hear noisy people in the corridors like we did on one occasion at 2am! The reception is on level 3 and the spa on level 1 and gym on 2 so try to get a room well away from all this i.e. room number &gt; 499.Key card system for rooms/gym etc seems a bit hit and miss whether it works or not. On the morning we were due to check out we went to breakfast and found we had had our keycards deactivated prematurely - a bit annoying.Breakfast - continental style one taken in lounge reception area - at times this is chaotic but coffee/pastries/juice all of very good quality. I quite liked the setup but I think older people might not ;-)Staff - checkin and reception not bad but not quick either. Staff generally quite young but helpful/happy enough even when they could not find our booking on arrival (hotelpronto was the booking agent).Spa + gyms - well equipped and felt quite luxurious, particularly as we thought the hotel wasn't too expensive (food IS though). Gym has rowers, bikes, steppers and small free wieghts/machine weights area. Spa reception staff very helpful/polite. Jacuzzi not working because of high chlorine levels - I went in for 5 mins anyway and was fine. Sauna and steam room too. Again nice contemporary decor. Treatments start at about £40 to about £70 for say a 55 min massage. Some more expensive 'packages' available e.g. facials, wraps etc.Neighboorhood - 2 min walk from Shepherds bush tube (Central line zone2 which was fine) and a complex of fast(ish) food places/cinema/local shops. The area here is a bit grotty but walk the other way i.e. turn left out of K West and its progessively nice to the point where after 15 mins you are at Holland Park which is swanky. Women might be a little intimidated walking round at night on their own but this is definately not that bad an area.Overall - for what we paid I would recommend the place and stay again. For the price - you can stay in some quite tired places but this was modern and upbeat with good facilities. This place added nicely to our 3 day stay in London.	
Mar 30 2005	laptop stolen	The hotel it self is good compared to other hotels in london. You pay for it though, as it is one of the mroe expensive ones there. You can get a good rate on a few internet booking sites though. I had checked my laptop bag into the hotel and received a claim ticket. Upon return to claim it, the bag had been stolen. They had given my bag to someone else. Police were called and the issue is currently under investigation along with a lawsuit that will be drawn up. My laptop was stolen, along with an MP3 player, a book and various other things that were in the case. Beware of the safety of your items!!	
Mar 21 2005	Hip Hotel!	I had read good and bad things about this hotel but can honestly say me and my friends were happy with it. Upon arrival we were greeted by a busy reception, the reception is in the same hall as the K-Lounge bar. There are 3 receptionists there were all busy but we were dealt with reasonably quick. As I had booked quite a large party they kindly upgraded my room to the Embassy Suite which I was over the moon about.The room itself was a good size, check out the details on their website. The bathroom was the best with the Aveda products in there and the trendy fittings. Only strange thing was the glass practically see through door which is a bit embarressing if you are sharing a room with a mate rather than a partner!The spa is quite small, has a jacuzzi, 2 steam rooms and a sauna. It's not all that but was ok for us just to pop in. We didn't have any treatments due to not having enough time. There is a resturant called the Kanteen but we eat out in the evening, I had a nose though and it looked very smart. We didn't return to the hotel till the early hours but the bar was still buzzing with people, it's a very young, hip kind of hotel. We only had the continental brekkie the following morning which was quite a casual affair - pastries, toast croissents etc but was fine.All in all I thought the hotel was good and would recommend it and stay again. The staff were pretty attentive and may come across a bit blunt being all foreign but were actually on the ball.	
Mar 15 2005	Chic hotel	We stayed at the K West in April 2004. The hotel is very chic and modern. The rooms are very roomy and bathroom was surprisingly big. The bathtub had a trackless door, which I thought was a nice touch. When speaking to other travelers in London, we felt quite lucky to be staying at the KWest as the other hotel rooms in London were tiny and the bathrooms were dingy. Since the KWest is fairly new, everything was clean.The staff at the KWest in general were nice. Be aware if you order a bucket of ice, they will charge you 2 GBP. I was quite shocked when I got the bill. Also, any calls made local or international (even with phone card) will be charged to your room. Basically, everytime you dial your phone, you will be charged a fee. If you have a phone card, I suggest you use a pay phone outside instead. The KWest had a bar which we ended up going to practically every night. They played lounge music and it was a &quot;chill&quot; type of atmosphere. I saw some locals coming to have some drinks. It's a nice crowd. If you decide to eat there, try the grilled chicken panini...it was great!They also have 2 computers with internet connection (free of charge), which we often used when we booked trips to the outskirts. The only negative thing I have to say about the KWest is their location. Located at Shepherd's Bush, it was not within walking distance to the attractions. We ended up taking the tube everywhere. We did, however, get accustomed to the tube by our 2nd day. Their rail system is excellent. Their trains are color coded and they are very clean. We felt very comfortable taking the trains at night however, walking back to the hotel was quite scary. I wouldnt advise that to anyone who's going alone. We are going back to London April 2005 and we decided to stay at the Royal Garden Hotel instead since we want to be closer to the attractions.	
Mar 13 2005	First impressions last	When you see the place, you think there has been some terrible mistake. It's an ugly building at the end of a residential road. Once you go through the doors, it's painfully chic. Very nice. Very swish, a lot of people wearing fancy french loafers and having important coversations in public places (probably media PAs). Rooms are big, restful. Bathrooms are very nice. Avoid breakfast unless you pay for it upstairs (£££). The 'continental' breakfast is served in the bar and is difficult to eat as tables are low, unless you want to try and look cool and just pick at it. It consists of croissant and cakes. Personally, I need a good start to the day so I gave it a miss. A bit out of town too, but the price fairly reflects this. I got the impression that the staff were used to dealing with media types (the trying variety) and they had been broken down by their sass and attitude. I felt sorry for them. They were crushed and I doubt anyone works there for a long time. It reflects in the service. It lacks a heart.	
Feb 24 2005	From 4.5 stars to 2	I stayed here 3 years ago--the place was recommended by a friend who works at the BBC. They had just done a major facelift and everything was bright and shiny and new and I had a great time--my only quibble was the annoying glass half-door in the shower that allowed the bathroom to be flooded. When I paid the K West a return visit earlier this month I was sorry to see that it had not aged gracefully. The bathroom could have been cleaner--it looked like there was residue from someone's toothbrushing spray left on the rough tumbled stone tiles above the sink and housekeeping had missed a few odds and ends on the nubby weave of the carpet. I couldn't help noticing that the previously clear sealant on the tub surround had turned yellow and a strip of veneer had peeled away from the bathtub cladding and was drooping onto the floor, no doubt because of the moisture control issues in there. Also, the knob for one of the headboard-mounted reading lamps was missing and the whole unit was sliding around scratching the finish. This may sound really nitpicky but when you market yourself as a design hotel and choose this kind of high-maintenance design scheme, when it isn't immaculate, it just looks shabby. The lobby area and bar did look good, however. The service was generally good but has become uneven (staff members from North America were the best, not surprisingly. The concept of customer service is still pretty different on the other side of the Atlantic, and not just in hotels and restaurants--get used to it!) There was a big event in the hotel the night I arrived, for the Brit Awards, I think, which may explain why I had to hunt down my room service breakfast the next day and why I had to call 3 times before I got an iron that worked, but hotels are supposed to be able to handle these things and not offer a bunch of excuses. I should say that everyone was polite and did try to be helpful and I wasn't charged for that breakfast which was yummy once it arrived, and the spa is quite nice though I had a lot of business and didn't have the time for it. I don't have a problem with the neighborhood--boho-chic Notting Hill has its rough edges too, and I'd rather walk down Bush Green than All Saint's Road at midnight for sure! And it's really not far away from Central London--a fifteen-minute tube ride at most, and nearby Holland Park has lots of interesting shops and restaurants. All in all, I wouldn't steer someone away from the K West--it's still a good deal for the money, but I would no longer enthusiastically recommend it either. If you do go, get an even-numbered room on one of the top two floors--the views are definitely better.	
Feb 8 2005	Very Chic great experience	I loved this hotel. We stayed here after Wimbledon was over and just loved it. The rooms were great and the hotel was quite hip and happening. The front desk staff is a little too full of themselves though, as if they were the reason we were coming to be there and ready to ask for their autographs. But when you get past that, for the money it was the best. Also, it's a bit out of the way as well, when the cabbie was taking us there, after a while we thought we were being kidnapped! But as a place to stay in its category and price range, it's great. 	
Jan 24 2005	Definitely not about to return	With all the hype, I had expected something quite different from this hotel.The room (single) was of clostrophobic dimensions, very averagely furnished, and located directly on street level with a view on a dark alley (i.e. not possible to open windows).As the Spa was on the same floor, there was a stench of humidity in the air, as well as moisture stains all over the (endlessly long) hallways.The personnel came across as bored and unconcerned.The whole place appeared in serious need of renovation.Gave me the creeps - just wanted to get out as fast as possible in the morning (and Shepherds Bush is not exactly the place you want to hang out in London...)	
Jan 3 2005	OK Room Terrible Service	Room was OK, clean lines but this expected given the styling.Stayed for 2 nights, had to be moved on the 1st evening due to 'rodent type' noises from above the room. Hotel staff claim this was rain - there is no doubt the noises we not that of trickling water !!Terrible service from all staff in particular the duty manager, would not recommend going to a friend or colleague.Location was OK if you accept a bus (£4), taxi (£20) or tube (£5) return journey to Picadilly Circus.Initial impressions of hotel are poor - external styling could do with a make over.	
Dec 16 2004	Loved it!	First off, here are directions to this hotel from the SHEPHARD'S BUSH TUBE STOP: As you exit the tube station turn right and cross the street. There's a shopping mall right in front of you. Turn left at the front of the mall. You'll see a ramp on your right just after the pub-head down that ramp. The road splits--stay to the right and walk down the street. You'll see the hotel in the left-hand side.I loved this hotel. It was very convenient to all the tube lines. The shopping mall has a grocery store inside, movie theatre and restaurants all at your front steps. The shower was awesome and I loved the bed...very comfy. The only complaint I have is that there wasn't an alarm clock in my room and when ever my husband tried to call me from the United States, he got their voicemail. I definitely recommend this hotel. Oh yea, and the neighborhood wasn't at all sketchy as some other reviewers have stated. LONDON ROCKS!	
Nov 25 2004	Good Rooms	Looking for a great room, this is the place, as previously highlighted, very strange on the eye when you pull up but when you walk in you know you are at the right place....reception was slow, would have walked away if I had just walked off the street looking for a room, nothing wrong with the staff just very slow, the general feel of the hotel was good, didn't go to the Spa but felt it should have been bigger because of the hype, anyway all in all to crash in a bed for the night in a good room this was great, if I was stuck there though not sure it would have been as good, breakfast was as also described in other reviews, chaos...needs a better system. Hopefully this has changed now as I stayed there a few months back. Worth a visit but get out and about don't book it thinking you will want to stay in the hotel for two days.	
Nov 15 2004	OK Fun Bar but overall disappointed	Stayed with friends weekend Nov 13th. Very mixed feelings about the stay. Anytime spent in the bar was fun, with fairly good service and a great atmosphere; rock stars milling around which made a good buzzy atmosphere. Rooms were average - design was ok but nothing special - typical clean lines of modern 'trendy' hotel. The room was badly designed eg no mirrors, hardly any sockets, lighting poor.We ordered room service breakfast and it arrived wrong twice - after complaining we didnt pay, but ruined our relaxed morning.Spa was biggest disappointment - corridor was dirty with floor and walls in disrepair, showers were dirty, steam room had such noisy machinery that it was impossible to relax. Sauna was good, as was jacuzzi but not as good as my local gym!We got a deal on the room but drinks and food were very very expensive.I wouldn't rush back except for convenient location and unless I got a very good deal - dont have any great expectations of wonderful design, service or 'spa'.	
Nov 7 2004	staff r terrible	Hiya, went for a lovely weekend away but all i got from this hotel was grief. Staff not helpful, especially the bar staff-wouldnt recommend-not worth the money-gutted and annoyed with this hotel, plus u dont even get shampoe-its stupid!!!	
Oct 28 2004	Light hearted fun in Shepherds Bush	Booked a deluxe room as surprise treat for my boyfriend. As it was midweek, we were only after a quiet evening, using their spa facilites and then retreating to our room with room service and dvd.Spa was very relaxing, you can wander straight down in lift in dressing gowns provided. I'm not a huge fan of jacuzzis but it was pleasantly decked out in dark mosaics and they have 2 great steam rooms, one lemon the other eucalyptus and a good sauna. We only saw 3 other people that evening. The bed was truly enormous, although I found their 'hypoallergenic' duvets quite lumpy and heavy. The TV was in quite a strange position, whereby it couldn't be watched comfortably from the bed or the sitting area. As we never got round to watching our dvd, it didn't prove to be a problem!We didn't bother with the bar or restaurant - it is all very formulaic in design and a touch on the clinical side. Room service - stick to the simple like burgers - my thai green curry was watery and a bit of waste of money at £16 and the fruit salad a seemed a little tired. But service was prompt and courteous.	
Oct 27 2004	Style triumphs over substance	Stayed at the hotel last week and wasn't as bowled over as I expected to be from some of the earlier reviews. It's nicely decked out in the usual designer style. The studio room was an adequate size with a nice, big bed. However, the desk staff (although perfectly friendly) were not that helpful and there was an air of boredom pervading reception. The location of the hotel is a little odd - whilst handy enough for central London with the Central line station pretty close - its at the end of a residental street which you reach through a kind of dodgy alleyway. Breakfast is terribly chic but ridiculously expensive. Although we had a perfectly fine stay here I wouldn't rate it as a top place to stay in London. Stay at MyHotel in Bloomsbury instead.	
Oct 26 2004	very modern hotel	my saturday night stay here was a great present from by sister for me and my boyfriend. we had the hideaway pakage inc,duluxe room with widescreen tv, dvd player, cd player and playstation.well we checked in at 2pm only to find that the playstations we're all out and we couldnt have one although we had booked it, there was a very small selection of dvds and cds too choose from its ok if your a big fan of 007 they had loads of them. I was very impresed by the decor, all along the corridor there are small tv screens in the walls, and there is free internet access in a nice quiet area.The room was great, extreamly big bed and the room was very clean. the jacuzzi and saunas very good although there wasnt much space and there was a lot of people. We ordered a full english breakfast in bed and it was amazing a lot more than we we're expecting. All in all it was a lovely stay, the staff are all very plesent and the price was nothing out of the ordinary, i would definatly visit again.	
Oct 18 2004	Disappointed	After having such a good weekend in London it seems a shame that the only thing to spoil it was having the feeling that someones trying to rip you off. And that's how I felt during my stay at K-West. It started when we got in the room and browsed the breakfast menu £20 for a full English. Top tip, there is a great little cafe just down the road that has a great little menu. I then made my way to the bar and ordered a beer. A 10% service charge was added to the price of the drink. I don't mind tipping bar staff, but not for every drink. When I queried this, the barman told me that if I didn't pay the service it would be taken out of his wages. It worked out that it was actually cheaper to drink from the mini bar than go down to the bar, which incidently was closed one day for a private party.The room itself was very nice indeed. It certainly was a deluxe king size, with a bed big enough for four of five people. It's just a shame that the cleaning staff neglected to clean it properly. As for the spa, it was nice to a point. It's great if there is just a few of you in there, but once the numbers get up past 8, the place feels a little crowded. On the whole I would say that they could do better, though the location was ideal for our purposes.	
Oct 5 2004	BAD Experience. Unprofessional messy hotel. Avoid at all cost.	My partner and I stayed at the K West on 1st &amp; 2nd Oct 04. I was meant to be a surprise weekend for my partner's birthday. I want to give my partner a relaxed weekend, so I chose K West due to the spa. Instead of destressing ourselves, the hotel staff did their best to stress us out.I emailed the hotel prior arrival confirming the reservation, requesting non-smoking room, etc. The email I got back from them was saying I've booked an entry level room and I can upgrade the room to deluxe for £30+VAT per night. I replied and rejected the offer as I thought a standard room would be sufficient. On the day of arrival. My partner and I stood in front to the check-in desk to fill in the form. The receptionist asked if I want to upgrade the room for £30. I was put off by it as I felt that they're so keen to sell you upgrades all the time. Also, I've mentioned it's a surprise weekend for my partner, I don't think it's appropriate to ask such question in front of my partner.The standard room was ok apart from a bit dark. The room amenities were a bit on the stingy side. No shower gel in the bathroom. So I called reception (I had to wait for about 2 mins before somebody picked up the phone) to request some shower gel and disposable slippers. The receptionist told me the slippers are £2 each. So I said I don't want them.I complained to the duty manager Meena saying I wasn't impressed by the receptionist checking us in asking if we wanted to upgrade, and the cost of slippers. She didn't sound all that interested and &quot;lectured&quot; me that all London hotels do the same. Apparently K West has this policy they have to ask every single person who check in if they want to upgrade, etc. All London hotel has that policy?! THAT IS NOT THE CASE MEENA!!! I stayed at other London hip hotels many many times over the years, including Sanderson, St Martins Lane, MyHotel and many other London 4 &amp; 5 star hotels. Never once been asked that. Furthermore, I worked for Sheraton, Holiday Inn and Thistle Hotels. It's never a policy to ask every single guest on check-in if they want to upgrade.The room included continental breakfast. It's a complete chaos. There are about 8 tables and 3 staff to serve all the guests who is having continental breakfast. It's a self-service type and most of the time you have to clean your own table (if you're lucky enough to even get a filthy table). Also, just one person smokes will fill the who area with cigarette smell. Very off putting.I asked for a late check out at the reception. The receptionist told me they'll charge £10 per hour after 12pm if I want to check out after that. This hotel is incredible, all they care is how to get more money in an unprofessional manner. I'm sure all business want more money from their customers, but surely there are more subtle ways to achieving and not having to put people off.The spa on the other hand is good. Clean and well maintained. K West has definitely spoiled my weekend. Avoid at all cost.	
Oct 1 2004	Modern  a nice hotel	Great 4-night stay here recently. Interior is very impressive with clean modern lines. Bar is nice, but could use a couple of draught beers. Didn't eat at the restaurant or use the spa, though the cardio and resistance rooms looked nice. Good selection of pastries, fruits, &amp; cereals for breakfast, as well as a friendly and accomodating staff. Standard double room was very nice...plenty of space, nice bathroom, &amp; comfy bed. My only complaint is that our room was near the back of the hotel, which was a very long walk down the corridor and overlooked the train tracks. Train noise was not really a problem, though. Great convenient location near Shepherd's Bush Tube Station in a quiet neighborhood. Very reasonable price for what you get, especially in London. I would definitely stay here agian!	
