	Terrific Hotel-very pleased	I saw some of the reviews here and was somewhat afraid of what I would find, but what a nice hotel at a great value! Really a good neighborhood near the Kilburn Park tube stop and a short bus ride to central London on the 16 bus. Friendly staff, great breakfast, nice room, nice health club, what more could you want. Practical shopping district up from the hotel, with grocery store, Starbucks, pharmacy and restaurants. Eggy the concierge was very helpful. I would highly recommend this Marriott, and I travel alot and stay with the chain almost excusively.	
Jun 12 2006 	teriffic place to stay	Over the years I have stayed many times in four different Marriott hotels in London on business trips. This hotel is really a great value as far as staying in &quot;central&quot; London is concerned. First of all, it's one of the lowest priced Marriott hotels (if not the lowest) in London. Second, it's only a few tube stops from major London destinations. Even better is the fact that you can come into London on the Heathrow Express, hop on the Bakerloo tube line at Paddington and three stops later (Kilburn Park) you're within a 5 minute walk to the hotel (no transfers). The neighborhood is fine with several restaurants and a supermarket very close. The staff were very friendly. The breakfast was excellent. The room was certainly up to Marriott standards. Overall I will absolutely continue to stay here when I need to work / visit central London.	
Jun 11 2006	Fine nothing special	Got this hotel at $100 per night on Priceline and think that's about right. The hotel is fine, the public areas are much nicer than the rooms though. The lobby and bar are bright, airy and trendy.The rooms I felt were small, ours was dark though it overlooked the courtyard. There wasn't enough room to comfortably store our luggage. Bathroom was small and with a shower attached to the bath. The shower was okay but not of the standard I'd expect from an American chain hotel.Staff were friendly and 5 min walk to tube was handy, even if you had to go through one of London's less nice districts to get there. 5 mins in the other direction from the hotel is Abbey Road and it's amazing how different the area felt after just a short walk	
May 30 2006	Marriott Maida Vale "Great Fit!"	Traveled with my husband and four children under age 13 and this hotel was a great value, convenient location with quality service. If you want to step out your door and shop or go to a park, then pay the price and stay elsewhere. However, if you have any travel saavy at all, this location fits the bill. Five minute walk to the Bakerloo tube line (Kilburn Park Station), which gets you to Paddington (4min) or Waterloo (12min) stations without transferring. Everyplace else is usually only one transfer away. There is a Tesco Express one block away and that's where we grabbed continental breakfast every morning and snacks in the evening to offset the exhorbitent lunch and dinner food bills for our party of six throughout London. The Marriott has continental breakfast included in some of their room prices, but we opted out of that upgrade. We were able to manage connecting rooms, which was a prerequisite for staying in London, as well. There is a small restaurant/shopping area tucked in a residential neighborhood about an eight minute walk away. We had excellent meals at both the Indian/Persian cuisine and Italian locales. We didn't try the Spanish restaurant but were assured by the helpful concierge desk personnel that it was also a good choice. We had fine meals at both the restaurant and cafe onsite too. We ignored the pool as it did not meet the requirements of seeing and doing only what you cannot typically do in the states, so I have no comment. The business center was useful for e-mail and preprinting boarding passes for our return home. We had no problems getting taxi-vans when we needed door to door service and wanted to ride together. Overall, if you are prepared to visit a major metropolitan city and not confine yourself to only the tourist trap neighborhoods, you will be pleasantly surprised with the Marriott Maida Vale.	
Feb 23 2006 	Loved the fresh and funky bar and also their exec lounge!	What a fantastic hotel! Theres something special there, and you can feel it with all the staff. Really modern interior, staff were great, attended my every needs, only 10 minutes from central London, yet the best value for money out of all the Marriotts!	
Oct 18 2005	Nice but in a weird spot	This is pretty nice hotel with big rooms and a friendly staff, its just in a neighborhood with nothing similar nearby. It really is pretty convenient, though, just a few blocks from the Kilborn Park underground station, whichis on the Bakerloo line, which is very handy(Oxford and Picadilly Circus, Chancery and Waterloo and Paddington stops) Plenty of little stores, a bank and supermarket a few blocks away, not a scary neighborhood at all, itsjust in a big city.	
Sep 27 2005	Nothing wrong with this Hotel	After reading reviews on the Marriott Maida Vale I was somewhat reluctant to reserve a room for our stay in London through Ba Holidays Sept. 11-13 but I did and have NO regrets.Coming from urban city living ourselves we had no problems. While the walk to the underground was several blocks away from the hotel we found it to be similar as other areas we have visited and are used to walking. I recommend to pack light if you don't book an escorted tour through Europe. The location is further out which is why it is so affordable but very easy to get around with the public transit system. We felt safe and did not have any issues with the neighborhood as it is a major city LONDON and should have a diverse culture. The hotel staff was very friendly and efficient at checkin and we received the room type requested. The hot breakfast buffet was above average and they continued to fill items and keep things fresh. There are plenty of cafes and mini markets in the area to get anything you need. The down bed from top to bottom was the best I have ever slept in and it was hard to get out. The room was large in size and very clean more than comfortable especially for Europe standards. I had no problem getting my wireless notebook to get a connection which was the only time throughtout our European vacation.	
Sep 12 2005	Poorest Hotel in London	This is the worst hotel I have ever stayed at. The airconditioners do not work properly. The staff unlocked the windows when in the middle of the night the room was over 90*. The windows do not have screens, so the room filled with bugs. We all had severe bites, including my 1 year old grandson. The staff was rude and uncaring. Maid service was very poor. Each day we had to call the desk upon returning to the room because clean towels were not given.	
Aug 19 2005	Liked the Marriott!	I really liked this hotel! The service was excellent and the ammenities were great! I loved the room, very comfortable and clean. The only problem is that it is a 5 minute walk to a tube station. Also, it is pretty far from touristy spots, we had to get transportantion to go anywhere worthwhile. The street it is on had restraunts and stores so you were not completely abandoned, however if you are looking to discover London you may want a more central hotel.	
Jul 4 2005 	Good but odd location	This hotel was great once inside (the rooms were nice, too, a bit cosy but nice). The King beds have linens that are a tad smaller than needed. If you are travelling with a partner, remember this--you might not have enough blanket coverage for both of you. Also, we'd intended on using the health spa for some much needed R&amp;R. However, the pool and spa were closed for some reason and the only massage therapist had broken her ankle. Figures! Next time we return to London we'll be staying elsewhere. Again, this is not a bad hotel at all. It just isn't that great either. If you think you are saving money by staying here, think again: the location is really out in the boondocks. Cab fare getting into the heart of London will add up (so much so you'd have been better off getting a slightly more expensive room in-town so you could walk everywhere).	
May 30 2005	Very Nice Hotel	Just returned from four nights at this hotel and I was more than satisfied. The standard room was spacious, clean and very comfortable. Lots of nice pillows on the king size bed and thick towels and great pressure in the shower. The in-room safe is my favorite amenity and the refrigerator (not mini-bar) was handy too. The quiet yet efficient air conditioning was great too as we had a very hot day. I am sorry so many folks have been complaining about the neighborhood. Sure, it's not Knightsbridge or Sloane Square but it's a fine working class neighborhood with lots of hard working immigrants trying to make a decent living. It's also super convenient as there are real shops and supermarkets such as Sainsbury's and Marks &amp; Spencer just up the road. Great for stocking the refrigerator! I walked around day and night alone with no problems whatsoever. Even got off the night bus at 1AM and walked up to the Doner Kebab shop for a late night snack. Nice people everywhere. It's also very convenient as bus 16 and 98 run every few minutes 24 hours a day. Bus 16 goes to Victoria and 98 runs down Edware Road and the length of Oxford St. to Holborn. Connections to everywhere are a snap if you pick up a LT Central bus map. It's really sad that so many folks have been critical of this hotel because of the immigrant population. Having lived my life in big cities in the US I can tell you I feel so much safer and relaxed in Kilburn Park! This hotel is highly recommended. I will definitely return.	
May 29 2005 	Stayed here for best part of 8 months in 2 years.	I have stayed at this hotel for over 100 nights in the last 2 years on business in London, primarily chosen for it's competitive price and location for transport etc.Room service improved this year since January, and is now passable, whereas previously I encountered some weird offerings. Check-in staff are friendly and efficient and generally perform well, apart from the odd Exec Lounge card not being activated.Exec lounge is smaller than others I have been in, and the range of fayre is somewhat limited by comparison.Bar food is OK, though I noticed the choice had been reduced in recent weeks. Italian restaurant is a little overpriced for what is received. Breakfast buffet is good. Laundry service is normally very good.Taxis are £12-15 in to the west end and vice versa. London City airport, (LCY), is a £40 black cab ride away. Wouldn't recommend walking around Kilburn area after 10pm if carrying laptop etc. Walking from Regent's Park via Lord's is OK though.	
May 24 2005	Just Okay	My wife and I spent our honeymoon in this hotel. We were first disappointed with the room size, it seemed very cramped. The staff that could actually speak english were great but room service was not so good. The location was good to have a quiet vacation but don't turn right walking out of the hotels main entrance, the setting transforms to a run down/under construction bad area. However if you walk left, you will find it peaceful. The tube was about a mile walk, not too bad. Oh, dont book a cab with the hotel if to the airport. It runs about 65 pounds when you can get a regular cab for about 30 pounds.	
Apr 3 2005	Located on the border of one of London's worst districts!	This hotel is no where near central London, or the major attractions, but the brochures, etc. claim that it is. It is not really in the district &quot;Maida Vale&quot; either - It is more on the border of Kilburn, an extremely run down, high-crime area - Not somewhere you would want to go out, unless you wanted to purchase some cocaine. It would be fine, as long as you did not turn in one directon when exiting the hotel! As usual, the name aspires to a better area, which the actual hotel is not located in. The rooms, leisure club etc. are fine, but i would not recommend staying here if you are a tourist who wants to be close to the main tourist and shopping areas. It is the same with the Regent's Park Marriott - It claims to be very centrally located, but is not.	
Apr 1 2005	Okay	We stayed at the Marriott Maida Vale for 3 nights because we received 2 free nights from British Airways. The hotel was fine. Rooms were Marriott typical, the staff was friendly, and the breakfast buffet was quite good. The location of the hotel is not very convenient for tourists, however. We ended up spending a lot of time on the Underground. On the bright side, we got to see where &quot;real&quot; Londoners live. The hotel is located in a typical working class neighborhood.	
Feb 14 2005	Very Nice Place	My wife and I stayed at the Marriott London Maida Vale for two nights in Jan 2005 with our two children, aged 9 months and 2 1/2 years. The room we had was very clean and a decent size for our needs. The baby crib (or &quot;baby cot&quot; as they call them in London and Paris) was already set up for our baby in the room when we got there. We had two double-sized beds that were comfortable. Their pillows tended to be a bit thick and hard. I didn't use them, but I'm rather particular about my pillows anyways.  The bathroom was pretty spacious and very clean. The tub for the shower was very high off the ground, as was the case for every hotel we stayed in on our trip (2 in London, 2 in Paris). The water pressure for the shower was fine, but for the toilet it might have been a bit too much...seemed like they were really intent on getting everything down! Make sure you close the toilet lid before you flush!  The hotel staff in the lobby was friendly but didn't always seem to know the area well. When I asked where I could buy baby food and bottled water, they suggested any of the little stores along the street after you take a right out of the hotel. None of the tiny little stores have anything baby-related. Mark's &amp; Spencer's Food store was at least good for the water although they did not have baby food either. It turned out that Sainsbury's Food store, which was only a couple more minutes up the street past Mark's &amp; Spencer's, had what I wanted.  We also asked if there was a small cafe or restaurant nearby that served eggs, toast, sausage, and so on for breakfast. They sent us to Caffe Nero, an Italian coffee company which according to its website is the &quot;largest independent coffee retailer in the UK&quot; (yes, Starbucks has LOTS of competition in London!). They had good coffee, tasty pastries, and mediocre sandwiches in plastic triangle cartons, but you certainly can not get an egg breakfast there. Plus that, it was incredibly smoky. We found a very good place on the same side of the street as Caffe Nero (opposite side of street from hotel) and it was much closer to the hotel. I forget the name, but it's easy to spot as you're walking. Just take a right out of the hotel lobby, walk a few minutes, and cross the main street to get to it.  Also, there's an ATM cash machine up the street from the hotel, on the same side of the street as the hotel. Again, take a right out of the lobby and just walk a few minutes.  At this hotel, we were about a 15-minute tube ride away from most of the interesting, touristy areas of London. The nearest tube stop to the hotel is about a 5-10 minute walk through streets that are not too busy. The area seems safe, even at night. We learned from the taxi driver who drove us to our next hotel that Maida Vale is known for its very expensive real estate, so you would not expect a lot of sketchy characters around.  Although it was a little bit out of the way, we stayed here because we were able to get a discounted price for the room. It was definitely worth it given that we would have paid a minimum of 2 times more (probably closer to 3 times more) for any other hotel this nice.  Overall, it was a very nice experience and well worth the money. 	
Feb 13 2005	Marriott Maida Vale... Marriott Kilburn more like!	I stay in this hotel regularly when working in London so was compelled to write this review. There were many great things about the Marriott Maida Vale that always make my stays there pleasurable:  o Reception / Concierge - The staff are consistently cheerful, attentive, and very helpful. The concierge is an excellent source of information and goes out of the way to make your life easy.  o Spaciousness - Great size rooms, usually with two double beds.  o Decor - Comfortable furnishings, well decorated, comfy beds and pillows. Good lighting which is controllable from the bed. The bathrooms are always very clean, well-equipped, and spacious (good use of marble!).  o Food / Drink - There's a great Italian restaurant in the hotel where you can get pizzas baked in a proper wood stove etc., you pay hotel prices but the food and wine is always good. Breakfast is served on a mezzanine above the Italian restaurant and has a great selection of fruit, pastries, cereals, and English/American hot yummy stuff. The bar is typically overpriced but is a good as a meeting place or for a night-cap.  o Location - Outside of the congestion charging zone, &lt;5 minute walk to a tube station, close to Maida Vale and Little Venice - both with some great restaurants, and only half a mile from the Abbey Road studios (for the obligatory photo!)  And now to the bad point....  o Location - Calling this the Marriott Maida Vale is stretching the imagination a bit, the nearest tube is Kilburn on the Bakerloo line taking a good 20 minutes to get into Piccadilly Circus etc. And Kilburn is not the most celubrious of areas, although it butts up to Maida Vale it is not the kind of place you feel safe walking back to in the dark carrying a laptop bag etc! If you are traveling there during peak hours you're fine, but if you are coming back late at night on your own then get a taxi.  Location aside, this is a great value hotel offering comfortable rooms away from the hustle and bustle of the West End but close enough to pop into town for dinner etc. 	
Dec 20 2004	Second time lucky	I've stayed in this property twice, as it's convenient for the city centre and just outside the congestion zone if you're driving there. Also overnight parking is £20, which is cheap for London.The hotel is situated in Maida Vale, not London's most upmarket neighbourhood but an interesting one certainly and at the end of the bustling Edgware Road. The city centre is a ten to fifteen minute cab ride away or there's a tube station a couple of minutes' walk from the hotel entrance.The hotel itself is fairly pleasant. There is a stylish Italian restaurant that doubles up for breakfast and a bar that gets pretty busy with merry hotel guests at night. The bar staff are friendly, but took nearly fifteen minutes to prepare a cocktail and a glass of red wine on our first night. As we had a restaurant table booked in town, we had to leave before they arrived, something that the waiter didn't seem best pleased about when we returned with the same order a few hours later!The rooms are standard Marriott so neutral decor, good cleanliness, with a nicely fully-tiled bathroom are the order of the day. My room was on the executive floor, which gives you access to the lounge with free drinks, hot nibbles at teatime and a healthy option breakfast. That said, I couldn't actually differentiate my executive room from the standard room I stayed in last time.The hotel also has access to the Living Well gym and pool next door. Beware that this involves a long walk through the hotel, into the lift, through the adjoining apartments and down more stairs, and then more again into the slightly grubby changing room. The gym itself was busy, and the small pool had a fitness class in progress when we arrived. Solubrious it isn't.Breakfast is buffet-style and comprehensive, and you can eat yourself silly. I didn't find the staff particularly attentive and both days I ate there I wasn't offered coffee or tea upon sitting down, or had my bowls and plates cleared when moving onto a second course. In summary, handy for the city, pleasant staff who could tighten up a little on the service front and an 'interesting' neighbourhood. You could do much worse.	
Nov 9 2004	disappointed to say the least compared to other marriotts	I am comparing this to other Marriotts in London when I give this review.I got the room requested however I was truly disappointed when I actually got to the room. What was supposed to be a 1 bedroom suite was a bedroom and a tiny!! livingroom with old dirty furniture made for small people.This was supposed to be a &quot;weekend treat&quot; for us but that was no treat. I then went downstairs and complained and said that this certainly was not up to scratch. Well, we were given another room which was better for £100 MORE!!! and that was at a discounted rate.Anyway, without harping on I can say that the rooms and suites are NOT renovated and most have dirty furniture, the room service is without a doubt substandard. The staff speaks very bad english (even though it's in London) and compared to other MArriotts in London (at better locations) this is not even near the same level that they demonstrate!!!I am so disappointed and being a marriott member I am appaled that they even put their name to this one, particularly as I have visited some other ones here.Further the location for those who don't know london is outside the city centre and a taxi from the centre in the evening if you can find one will cost you anything from £12 and up.	
Nov 7 2004	Great Value and a Satisfying Stay	The rooms were spotless, had great water pressure, attentive staff, easy check in and check out and very well decorated. Location could be a little better, but it's not terrible. Great value for the money. We got this hotel on priceline for $100.00 usd per night and we were extremely satisfied.	
Nov 7 2004	Great high quality lower cost London hotel	We stayed at the Marriott Maida Vale for 5 nights in November 2004 and found the hotel excellent. Our room was large by European standards, and the bathroom more so. The only thing missing is a minibar/fridge, but there is an ice machine in the hall.We found all the staff very helpful and polite. The buffet breakfast was expensive (£17 pp), but we had it included in our room rate, and found a great choice of hot and cold food. Or, there is a nice cafe up the street. While on first impressions the surrounding neighbourhood does not look too flash, we found some great restaurants close by and had no problem walking around at night including, to and from the tube station.I would recommend this hotel to anyone wanting a high quality less expensive hotel in London.	
Aug 20 2004	Good hotel	We enjoyed our stay at the Maida Vale in August. However, one of the primary reasons we stay there was because it had a pool and we had two children. The pool, which is in an adjacent health club, only allows children to swim until 6 p.m. weekdays and 8 p.m. weekends. There is also a 15-person limit in the pool, which is about 4 feet deep throughout. On several days, our children were disappointed not to be able to swim after a long day of sightseeing.Otherwise, the hotel is close to the Kilburn Park underground stop on the Bakerloo line. There are several grocery stores nearby, as well as smaller retailers who sell food, candy, beer, etc.It was a good value for the money.	
Jul 16 2004	Great Hotel !	This is a great hotel at a great price, I think my rate was £85. Very large rooms for a London hotel. Very clean and extremely quiet. Great beds. Good water pressure and good hot water. Helpful and friendly staff (had to stay longer on short notice and had to change rooms). Large gym attached which i did not have time to use this trip. 5 mins walk to kilburn park tube station on bakerloo line. Take Heathrow express to paddington (£13) and catch cab (approx £7) - couldn't be easier. I would definitely stay here again.	
Jun 18 2004	A good Hotel but not Great	The location was nice, but not ideal. But just a brief bus ride from the Marble Arch and all the bus tours. I love feather pillows, and they had plenty of them. They staff was helpful and courteous, and helped us a great deal with cabs, locations, and visitor tips. Oh, by the way, I got this Hotel on Priceline for $75 dollars, that's right, dollars, not Pounds Sterling per night. The cab ride from Heathrow cost about as much as the room. I strongly suggest hiring a private car for 35 pounds or take the Heathrow Express for 16 pounds, and take a brief cab ride (or bus) to the Hotel.	
May 25 2004	Nice Marriott - good value for the money	We spent four nights here in April/May. This was a very nice typical Marriott. A modern hotel so not the &quot;charm&quot; of some of the English Marriotts which were re-births of old hotels - but the hotel had every amenity. The rooms were nice size and the beds comfortable. There was very very extensive fitness center available to hotel guests. The Italian Restaurant and the small casual bar both had excellent food. We found the desk staff and the concierge staff to be helpful and pleasant. The neighborhood immediately around the hotel was fine, although we did not find the area around the underground to be very pleasant (North of the hotel). As long as you stayed south of the hotel, the area was great. I would recommend the buses which run right outside the hotel, rather than going through a less desirable area to get to the underground. We got a very good rate for what we thought was a very nice hotel.	
Apr 26 2004	Poor desk clerks sketchy neighborhood good restaurant	Booked through Marriott in the States, our rooms were completely different than specified. I had to go through a ridiculous conversation with the very same clerk who had confirmed my rooms, not 14 hours before -- &quot;didn't remember&quot; what we had discussed. Not a good neighborhood! However, the one bright spot is the Italian restaurant in the hotel. I would never stay here again!	
Apr 26 2004 	What a Marriott Should Be	For my two-week business trip to London, the Marriott Maida Vale was all I could have asked for and more. The staff was friendly, helpful, and knowledgeable. The room was spacious, comfortable, and well-appointed with high-speed internet, a desk, chair, table, armchair, king-sized bed, two night stands, room safe, television, mini-refrigerator, and plenty of ambient and task lighting. The bathroom bordered on luxurious, with a generous tub, taupe and green marble tile on the walls and floor, and thick, thirsty towels. Room service always arrived within 20 minutes, and the meals were delicious. The elevators were fast. London is a hectic place and the Maida Vale, which is easily located near the Underground (5 minute walk in a safe neighborhood), was an oasis where I could either relax or get additional work completed at the end of a busy workday. Caveat, however, London is expensive. Very expensive. After you get over the sticker shock -- London prices make New York City look reasonable and affordable -- enjoy a beautiful room in a beautiful, easily-accessible hotel.	
Apr 14 2004	Nice Marriott	Typical Marriott. Rooms were clean, standard size, comfortable and included all the amenities. Breakfast left a lot to be desired. We experienced no problems during check-in/out. It is conveniently located next an Underground stop.	
Mar 31 2004	Great Hotel	The Marriott Hotel Maida Vale was wonderful. We had enjoyed our stay. March 25 to 30, 2004. Located about three city blocks from the tube stop, and right on the bus line it was a very great location. Abbey Road Studios is close by. Several good pubs including THE RED LION are right there. The neighborhood is a older and not as clean looking as others we were in, but very friendly. There is a security guard that stands in the lobby. He was very kind and answered our questions abouth the area. My 13 year old daughter and I were traveling alone and we felt safe coming in late from the theater.There is good shopping in the area, with a discount clothing store and a Mark and Spencers for food. Our room had a small refrigerator that worked great for soda, cheese and sandwiches.We LOVED the beds. Great sleeping. My daugther was trying to figure out how to get them home. Our room was quiet and overlooked the side street. The curtains closed so the room was very dark to sleep late. There is a pool, sauna and workout facility for your use.We found our room on visitlondon and got a great rate which included breakfast each morning. It was a full breakfast with a great selection. The beakfast would have been expensive if not included in our room.We will stay here again. If just for the BEDS alone.	
Mar 25 2004	Disappointing		
Jan 22 2004	Good value for money		
Jan 17 2004	disappointing experience at maida vale		
Jan 13 2004	Marriott Maida Vale: awful check out bring with you confirmation of rates		
Dec 20 2003	Good hotel for the price-area ok too		
Oct 17 2003	Good		
Jun 22 2003	Not too convenient		
Jun 21 2003	Terrific Hotel in London!		
May 22 2003	Hidden gem!		
Jan 19 2003	very nice stay...		
Jul 18 2009 	Hôtel avec très bon rapport qualité/prix à Londres		
May 13 2009 	Prisvärt		
Mar 30 2009 	offerta disattesa		
Mar 8 2009 	superbe hotel		
Aug 30 2008 	Una opción muy razonable		
