	perfect	I was part of a group of 4 couples stayed in this hotel and would recommend it highly.The rooms were a very good size and the location could not have been better less than 5 mins walk to oxford street and bond st tube station.lots of restaurants within walking distance.Staff in hotel were very helpfull and gave us lots of recommendations for restaurants shopping ,sightseeing etc.The hotel had a very relaxed atmosphere away from the hustle and bustle .	
Jun 5 2006	Loved it!	I stayed at this hotel at the bank holiday weekend and loved it! I read bad reviews on here after I had booked it so I emailed the manager. He reassured me that the hotel had undergone new management and all had worked hard to improve the hotel and promised allocation of a refurbished room. He continued to assist me with questions I later emailed to him and was a big help.Upon arrival at the hotel there was a few minutes wait for our room so we were offered a complimentary drink in the bar. When we got to our room there was a bottle of champagne for us as it was my husband’s birthday. Both of these gestures were really appreciated.We were very impressed with our room. It was decorated lovely, very clean and surprisingly big. We had two single beds put together to make a large king. There was also a sitting area, mini bar, tea coffee facilities and a view out to Grosvenor Square.I thought the whole hotel was decorated to a high standard and I found most of the staff to be very friendly and helpful.For its excellent location and yet very reasonable price this hotel cannot be faulted. Maybe just make sure you ask for a room overlooking the square!	
May 31 2006	A Tale of Two Hotels -- part I	Just returned from a wonderful, 8-night visit to London. My husband and I were traveling with his parents and this trip was his mother’s first to Europe, so a special occasion indeed. Not being as savvy of travelers as ourselves, we decided to handle hotel reservations -- we are familiar with just how expensive hotels can be in London and wanted to make sure we had comfortable and convenient accommodations. We’ve used Priceline during past visits to London and knew we could get a great place for a fraction of the cost. We had to split our stay because Priceline didn’t seem to have inventory for 8 straight nights for 2 rooms. For the first three nights, we stayed at the Millennium London Mayfair. We were a little disappointed at first, having stayed in the Thistle Charing Cross during our last visit to London, we were very spoiled with the location – not to mention, the reviews of the Millennium are quite mixed.Upon arrival (at 11am) we were told that one room was ready and the other would not be available until 2pm. We decided to let the parents take the available room since we knew they wanted to change and get rested. The room was average size (although my mother in law called it small – not used to Eurpoean hotels!) with 2 single beds and located on the 6th floor in a very quite area of the hotel. The bathroom was spacious, with large, thick towels, a towel warmer and an array of nice amenities including a shoehorn, sewing kit, q-tips and cotton balls. There were two robes in the closet as well as slippers, a trouser press, iron and loads of room. My husband was impressed by the wide screen HDTV, (not to be confused with a plasma), and there were plenty of channels to choose from. There was also a mini bar, a selection of complimentary teas and a hairdryer (located next to the mirror over the desk with a rather short cord). Overall, the room was comfortable and tastefully decorated… a little worn around the edges, but nothing worth noting. At 2pm, my husband and I were able to check in and were given a King room on the first floor. We were shocked when we opened the door to see the size of the room! It was enormous, even by American standards! There was a sofa, 2 chairs, coffee table, and small cushioned bench. The bathroom was also HUGE, complete with a shower and a tub, plenty of counter space (granite btw), a towel warmer, and the same amenities listed in the aforementioned paragraph. What was interesting is that this room did not include robes or slippers and did not have a mini bar. There was a note mentioning that the two bottled waters next to the complimentary teas were free since the room did not have a mini bar. The view from the window was directed at an interior air conditioning unit – no biggie. We felt guilty having such luxurious and spacious accommodations and decided we would switch with the parents. They graciously accepted the offer!Overall, I give this hotel an 8.75 out of 10. The lobby is large and inviting with plenty of seating. The entire staff was friendly, helpful and accommodating. The bed and room was comfortable and the shower had the best water pressure I have ever experienced in Europe! The location is in a quiet area just a short walk from Oxford, Bond and Regent Streets, but far enough away that you feel a little secluded from the hustle and bustle. We found a great little café for breakfast -- Truc Vert… just a short walk from the hotel – between Grosvenor Square and Oxford Street. We also had a few late night drinks in hotel bars -- the Brian Turner, a hip little place with great service, as well as in the Pine Room, where we had a (late night) sandwich and a few beers. Friendly staff, decent prices. I apologize for the length of this review, but wanted to be as thorough as possible. Having paid $160 on Priceline, I consider this hotel a tremendous value. We were actually a little disappointed that we had to switch for the remaining 5 nights of our stay! For “PART II” of my London hotel review, please see my post under the Thistle Charing Cross for information on how these two properties compare.	
May 30 2006	Lovely Hotel Great Location	My wife and I stayed at this hotel for a couple of nights recently. My wife checked in first and I was going to meet her an hour or so later. To my dismay I got a call from from from her after she had checked in to tell me how awful, miserable and depressing the bedroom was. I was quite surprised because the hotel had generally got some good reviews on tripadvisor.com although my expectations are never particularly high for London hotels unless you stay in a 5* place and pay a lot of money. Anyway, I arrived at the room myself and my wife wasn't far wrong. The room was on the first floor and the window opened up to a brick wall with an air conditioning duct running the length of it. The room also had a very stale smell in the air, the carpet was threadbare and the bathroom was very dated. Basically it was desperately in need of some modernisartion. Anyway, no problem I thought so I went to reception to see if I could find a better room. The lady at reception could not have been more friendly and accomodating and promptly moved me in to a room on the 3rd floor (#317) which she told me was fully refurbished. What a difference. The room overlooked Grosvenor Square so you could see trees, grass and sky ! Everything was new (including the bathroom) and a total contrast to the first room we were given. So if you stay here request a refurbished room and don't be fobbed off with a tatty first floor unrefurbished room. Once the room was sorted everything else during out stay was perfect. The staff were polite; we had a fairly good dinner in Brian Turners Restaurant (food is OK but quite pricey for what it is) and slept brilliantly. The hotel is in an excellent and quiet location. So all in all I would fully recommend this hotel and it only falls short of 5/5 because all the rooms have not been refurbished.	
May 29 2006	Beware other reviews: good location and value!	We just got back from a 2 night stay there over the Bank Holiday and are pleased to be another satisfied customer to contradict the other appalling / harsh reviews. The room was fine: linen was all clean, deco was up-to-date, all facilities worked fine, power shower was fabulous, service was obliging. In short, everything you would expect from a 3-4* hotel.We got our room for a good rate off Priceline... it seems like the Millennium chain also do many deals with airlines and travel agents which would make them worthwhile. I did however find the bar prices a bit over the top... they were 4* prices but I find the standard rooms more like 3.5*.In its defence though, the location in Mayfair is wonderful. You couldn't really ask for a better location (quiet square as opposed to being on Oxford Street). Also, despite our room being bargain rate, the staff were happy to oblige us by giving us a double room (as opposed to the twin we were given).	
May 29 2006	Impressive service and location	First of all, the location is excellent for visitors to London. It's a short walk to Oxford Street (for public transport and mainstream shopping), to Hyde Park and to Bond Street. I was travelling with an elderly relative, so it was ideal to have so much on the doorstep including a big leafy square to sit in, and the lovely, quiet Mayfair streets and gardens to wander around. I've stayed in plenty of acclaimed hotels around the world, and think that the staff here were probably amongst the most helpful and friendly, often stopping to chat and very keen to fix any minor problems without making us feel as if it was any trouble. The whole stay was a feel-good experience. I'd made some requests in advance and they'd been noted, despite me being a cheapskate Priceliner. We had rooms overlooking Grosvenor Square and, as requested, not too far from the lift. They were on the small side compared to other rooms on the floorplan, but fine for our purposes with plenty of storage space. The desk was more antique-style than the rest of the furnishings and looked &quot;well-used&quot; but I felt it was OK to have some character in the room alongside the more modern furniture. Maybe the feel-good factor was influencing me there! The room was clean and well-stocked. There was space in the mini-bar to store some of our own bits and pieces. The TV was wide-screen with a good choice of international channels. I didn't use the pay-TV or anything else so can't comment on that. Broadband internet access in the room was £20 for 24 hours, £5 for 4 hours...that seemed pretty expensive to me but I don't often stay in London hotels (as a local resident) so don't know how it compares. It didn't appear on my bill and when I pointed that out it was waived anyway. There is wireless access in the business centre and free access in the club rooms. The safe in my room wasn't big enough to hold my older-style laptop; the first time I've come across that problem. Beds were nicely furnished and comfortable, and the rooms were quiet with no sound from adjoining rooms even though the hotel seemed very busy. There was hardly any street noise, especially at night. The windows were double-glazed but could be opened wide. The AC and heating seemed fine.The shower was incredibly powerful, and the heated towel rails were a good touch especially as we got drenched outside and needed to dry out some clothes.The exterior, public areas and corridors all looked good. Check-in and out was efficient; although the queues at check-out seemed a bit disorganised they were dealt with quickly. We didn't need a disabled room but found the disabled lift at the back a useful way to help my relative avoid using the ground floor stairs. Food is expensive - but then it's a Mayfair hotel. I found the prices at Brian Turner's restaurant similar to other nearby Mayfair hotels (or less, compared to somewhere like the Connaught just around the corner). We only breakfasted there once, as a treat, and the service and choice of food was excellent....staff offered to carry our plates from the buffet to the table while we carried on loading up, or were happy to fetch our choices themselves. We were told that when the celebrity chef is around he's happy to talk to customers. There was a pub, The Audley, with good food just around the back of the hotel, and plenty of little cafes and restaurants on nearby North Audley Street. The food hall at Selfridges was good for picnic food, as was M&amp;S, with plenty of cheaper options nearby too.I feel we did extremely well for the price we paid on Priceline, and I would be happy to return and pay more if necessary. I felt there was a real sense of pride about the place.	
May 29 2006	Great upscale hotel!	My husband and I booked a 3-night stay at the Millenium-Mayfair via Hotwire. We were very very happy with our choice! We checked in very late, and were given a &quot;slightly larger&quot; room by the check-in staff. No view (it was a back room on a low floor), but I didn't expect a fabulous room given the rate. The room was extremely luxe &amp; very very comfortable - definitely a 4+ star hotel (and I'm very very picky). We went downstairs and ate in the Pine Bar in the lobby the first night - it's a great spot if you're jetlagged, since it's open past 1am! Piano bar, lots of people smoking - yes, it really &quot;acclimates&quot; you to England very quickly. The hotel is in a good location - Mayfair/Grosvenor location, central to walking around London but it does get pretty quiet at night. I would definitely stay there again if I could!	
May 2 2006 	Stay Away!	Very very poor!!! Stay away at all costs!?!Rooms are cramped and in dire need of refurbishment. Window had a huge crack and room was constantly cold, when I complained they gave me extra blackets and a heater and didn't consider moving me to another room!To top that off an item of jewelery went missing from my room and manager dismissed my claim without investigation!?!	
Apr 23 2006	As I was walking 'round Grosvenor Square...	My wife and I stayed at the Millenium Mayfair Hotel for 1 night in March 2006. The night we stayed was our last night in Europe, before flying back to the States the next morning. Check in was fine, and we were pleasantly surprised that our room (#167) was larger than average for a London hotel. We had a view of the courtyard, where the taxi drop-off is located, and not a view of Grosvenor Square which would have been preferred. The bathroom was a little bit small, but big enough to get around, and the shower pressure wasn’t horrible. The biggest problem with our stay at the Millenium Mayfair was the noise coming from the courtyard. Maybe we just had the worst room location in the entire hotel, but we were literally right above the entrance way for cars. It was quite noisy outside all night with every arrival or departure that pulled in. Also that area seems to be used for trash removal, delivery trucks, and folks who like to walk outside and drag noisy barrels on the cobblestones. Also, the Millenium Mayfair advertises “satellite TV”. Perhaps my American definition of satellite TV is different from Europe, as compared to US standards it was a joke. We only rec’d about 15 channels, which normally I wouldn’t care about, but I was looking forward to a quiet night in the room, vegged out in front of some good telly watching. I also thought the hotel was a bit shabby for the price paid. The carpeting was in disrepair, and the décor looked straight out of 1955. There were some good things to say about the MM. The bed and comforters were extremely comfortable, and the breakfast spread (included in our rate) was very nice – the best we had in Europe. The location is very quiet. The closest tube stop is about 10 minutes away, but I liked that we were sort of isolated from the hustle and bustle of London, but still very close to all the main sights. And we didn't see 1 scarlet begonia in Grosvenor Square.	
Apr 14 2006	We loved this hotel!!!	My mother, two sisters, teenage daughter, 20 year old niece and I all stayed here the week after Christmas. We were so excited when we saw the location and the hotel!! The rooms were lovely and quite large in comparison to some of the other hotels my mother had stayed at in London. The staff was great. We loved the piano bar and the waiters and bartenders could not have been nicer. The piano player is terrific and it was a great place to end the evening after a day of sightseeing. Paul, the concierge helped us tremendously when we were seeking a good restaurant within walking distance and had some questions about bus tours of London, etc... The continental breakfast was included and we couldn't believe the variety offered. We can not say enough nice things about our stay there and I am so suprised by some of the negative reviews. I would recommend this hotel to anyone and believe me I am extremely picky.	
Apr 13 2006	Nice hotel for business travelers	I stayed in this hotel with my teenage daughter on her Spring Break from school for 6 nights. I selected it for its location, rooms, executive level, and services (laundry, concierge). We paid 172 pounds per night for a deluxe room on the executive floor. For this we got a sitting area and continental breakfast. I'd thought there was a dedicated concierge too, but I could be wrong - and I never saw that. Or perhaps the person attending the breakfast/snack/cocktail room also served as a concierge.Centrally located on Grosvenor Square which housed a beautiful park in the front of the hotel. It's just east of Park Lane, walk to Hyde Park in 2 minutes. We walked to Harrods, about 30 minutes. Quick walk to Bond Street Tube station (also Green Park).Many restaurants in walking distance. Cab from Heathrow was 56.00 pounds plus tip (eh, we had a lot of luggage). Checked in after midnight and were able to order room service (24 hours). Because we were so busy, we had room service several times. Always prompt, adequate to good-nothing to write home about. We used the laundry service twice and they were also good as well as prompt. We didn't use the bar, or eat in the restaurant (it seemed to be closed every time we wanted to eat). Had minor problems with key not working both in executive lounge and room - but they were quickly fixed. Room was very nice. Large, two closets, mini bar and hot water for tea/coffee. Twin beds, sofa, 2 chairs, coffee table. Bathroom was VERY nice with bidet and towel warmer, plenty of towels and toiletries that were restocked adequately. Bellman was very nice, doorman equally so. Taxi queue behind the hotel (even at 5:30am!). Front desk was very helpful with currency exchange, questions. Executive lounge had only sweets in the evening. I thought that was very odd for a cocktail hour. Perhaps I missed other hors d'oeuvres...as we only went once. The breakfast there was good though. Very tasty croissants and a coffee maker I wanted to take home in my suitcase (cocoa, espresso, latte, filter coffee all at the touch of a finger!). The best part was the concierge. We knew we'd need their help a lot and one in particular really delivered. I can't believe I never got his name so I could mention him. They were ALL good. But he was exceptional. He arranged several things for us and it was such a lovely change of pace to the typical service one gets so often these days. He was always overly enthusiastic about getting us what we wanted, even though I was ill and had a bit of a tough trip. I did think the hotel was really more for business travelers (I'm sure that's their target market), but I got everything I wanted while there. I have nothing negative to say at all. I would probably NOT spring for executive level again. We wanted it as a convenience factor for breakfast - and we DID use it, but it probably wasn't worth the difference in cost ONLY due to the exchange rate. It's a very typical increase as compared to the regular room rate...but of course that's doubled with the current US dollar conversion.	
Mar 21 2006 	Tired Old Heap	What a great location - Too bad it's stuck with this low rent hotel - Rooms are dingy, mine was missing a tv (&quot;stolen&quot; according to the front desk) - Bar service is surly, not British in the least, with totally overpriced drinks and soggy food - The &quot;gym&quot; has one rickety treadmill - Only good part was the club lounge whose manager and employees were all very nice and helpful - Bottom line: This is not Claridges but of course neither is the price	
Feb 25 2006	Loved the hotel	We booked two of the refurbished rooms facing the park opposite the hotel. And l am amazed at the negative reviews. I LOVED this hotel, amazing location, the largest room l have seen in London hotels with a large 3 piece suite and desk and the largest bed. Service was prompt and friendly. But most of all its close to everything. All easily walked in a matter of minutes. So all l can say is if you want an exceptional room book the refurbished 35sqm rooms and you will have the best experience.	
Feb 22 2006 	Forget to provide proper B	The hotel looks great and it's location is magnificent. But they seem to focus on the outside and forget the basic functions of a hotel: a good bed, breakfast and bath.My worst problem was that my room was hot and the window didn't open properly. Standing on a chair, using cutlery as a tool, I finally managed to open it 10 cm. I saw that the windows of other rooms were wide open, so it might have been a specific problem for my room.The showerhead was fixed to the wall. This might save them some cleaning, but it's impractical for removing soap from the body.I had booked bed-only on Millenium Hotels own website (without being aware of it). They ask GBP 16.50 for a breakfast which is outragious, so I had to go elsewhere.	
Jan 6 2006	Great Hotel!!	I stayed at the Mayfair with a friend to celebrate New Years Eve 2005. This was my fifth trip to London (although her first), and the hotel was great. Breakfast was better than the continental breakfasts I had at the other hotels I stayed in, with quite a good variety, including eggs, bacon and sausage. Our room was surprisingly spacious (most of the other Hotels I had stayed in had very small rooms), and was very clean. The bathroom could have been a little more updated, but again was clean and suited all purposes. The location is excellent, within easy walking distance of Park Avenue, Oxford Street and Regent Street. I would absolutely stay at this hotel again!!	
Dec 29 2005	It was mediocre	We stayed at this hotel because of the wonderful location (which it is), however, the hotel was having problems when we were there. They were doing construction on our floor so it was really dusty and noisy. Also, the air conditioner broker and the window in our room was broken so it was unbearably hot. We felt like we were stuck in a sauna. My fiance managed to jam a knife to prop the window open which helped a little. The hotel apologized but there was nothing they could do. They couldn't switch us to another room either because there was a conference. We spent a little over $200 each night and it definitely was not worth it. I probably won't come back to this hotel, even though the area it is in is so great.	
Dec 15 2005 	Stay somewhere else	This hotel will disappoint you, unless you have the lowest of expectations or little idea of value for money. I have stayed there on more than 2 occasions, in the vain attempt to give it a try – but the reality is that it is a tired, old hotel in desperate need of help – albeit in a good location. Bathrooms are old, showers poor, most rooms tainted with old cigarette smoke, and most with a frightening air-conditioning system which seems to be designed for sleep prevention. Breakfasts poor (and expensive), bar miserable and middle-aged. London is not an easy place to find value for money when it comes to accommodation, but this is not it. Spend about £25 extra and stay at the Metropolitan would be my advice.	
Dec 12 2005 	Central location - fine hotel possibly a little shabby around the edges	I stayed at the Millennium Mayfair for business.On arrival I made it to the lobby (no-one helped with my luggage though) and checked in. My room was a very large suite and I was pleasantly surprised by the grandeur.However, there was a constant 'knocking' sound coming from the bathroom - like hot water pipes knocking against each other. I went back to reception, who immediately changed my room for another - with the minimum of fuss.The next room was great - the decor was of high standard and tradtional english style. The bathroom was adequate - clean - however it felt a little tired and shabby.The room service breakfast was great (I never go down to breakfast when I'm on business) - proper, fresh cafetiere of coffee (no instant coffee here!), fresh flaky croissants and lovely toast and bread.My only gripe would be that the restaurant wasn't open on a Sunday night - I embarrassed myself by trying to get into it - and that the only food available is the room service menu, either served in the bar or your room.All in all, I'd be happy to stay at the Millennium Mayfair again when booking through priceline. I'm sure if you're a tourist though, you may want something slightly grander for the money.	
Dec 10 2005	Maybe I was not lucky...	... BUT my bathroom had a water leak : dark water soaked from the tilled floor (disgusting), MOREOVER there was a wedding party in the hotel on the Saturday night : the walls were vibrating until 2AM and TO FINISH, there were some labour working on early Monday morning in the room next to mine.Otherwise, the hotel is very well placed and the bedroom was nice.	
Oct 15 2005	nice hotel but questionable practices...	Well let me be fair and start by saying that this hotel is very nice, clean and was exceptional for the price. location is fabulous within walking distance from all of the bond street shopping and bond street tube stop which makes for easy access to all tourist attractions as well as to the airports.However...when we arrived VERY late at night around midnight we were informed that the room we had PREPAID for about 3 months ago was not available. In fact, the entire hotel was booked and they apologized and said they would move us to a &quot;sister&quot; hotel in Knightsbridge. Of course, since I had prepaid for a room in Mayfair we did not agree to this plan. I insisted that they put us up in a four star hotel in the area which was what we paid for. After getting about one step away from furious these people finally agreed to put us up in the nearby Marriott hotel. He said he had to go confirm this with his superior, but when he returned he stated that a suite had &quot;all of the sudden&quot; become available. It seemed to me they didn't want to pay for the Marriott and coughed up a suite for us which was what made their level of honesty a bit questionable for me. Overall, though the hotel was nice, clean, and located in an ideal place for doing the tourist thing. I probably wouldn't stay here again though just because of how we were treated upon arrival.	
Oct 7 2005	Loved the Location Loved the Service	We were actually here on a trip with a large group for the company I work for. The room was not as large as we would have liked, but who spends time in it anyway?? The queen size bed was extremely comfortable and soft, and we slept great-that's all we cared about! The room was tastefully decorated and had a great view of Grosvenor Square. The location of this hotel is unbeatable-so close to Oxford and Bond Streets, Piccadilly, and Buckingham Palace is about a half mile away. We even walked back to the hotel after seeing a show on Saturday night in the West End, and it only took us 30 minutes- and we felt SAFE.The best thing about this hotel was the service- Nic, Paul, Frederick- the concierges- and also the barstaff was fabulous. Even the maids were friendly and had your room cleaned by the time you got back from breakfast. Nic is the go-to guy for restaurant reservations, cabs, any London info and any hotspots. Everyone went above and beyond to accomodate us. Remember that getting cabs and restaurant reservations are tough on the weekends. Sunday evenings are especially tough to get a cab because not too many of them are out-so let the staff know when you want a cab early! Go to the Audley Pub for drinks and lunch and to the Richoux for breakfast, tea or dessert. One more thing- we did not have a hair dryer in our bathroom. Some rooms did, some didn't. Bring your own-I do anyway- and they have the 3-prong plug in the room. We also had an iron and ironing board. Like that's what I want to be doing- but we did use it.Enjoy your stay there and don't be overly critical- it's a great place!	
Oct 6 2005	Posh!	I don't think I have ever stayed in a hotel this posh before! The room was huge with a sitting area, flat screen TV, king bed and great desk/working area. The bathroom was marble and had a real bathtub! Internet access was in the room via ethernet cable and costs 5 quid for 4 hours, the breakfast was outstanding in quality of choice and taste. Very helpful staff at the desk as well. I was here on a company trip, with the price there was no way I could have stayed here on my own (company rate was 130 pounds per night, tax additional). Only gripe would be that is was a longer than advertised walk to the Bond Street station (and less direct). Otherwise I could not give any negative feedback!	
Sep 13 2005	Very comfy	We were moved from the dreadful Copthorne Tara and felt immediately more at ease. The manager showed us to our room linen and bed were great, it smelled clean and fresh view was great and the staff were discreet and helpful. Despite the AC being broken, the lift not working and them not transferring our stay completely I still loved my stay!!	
Sep 3 2005	Good enough	We stayed four nights for 100 USD per night, courtesy of priceline. Given the bargain basement price, we were satisfied with what we got - clean, comfortable, spacious (for london) rooms with decent and tasteful decor. That said, the hallway - carpeting and doorframes were pretty beat up. The walls had more than the usual acceptable amount of scuffing and our window had a taped-up crack in it. The electrical outlets for our computer didn't work, either. When we called to ask about it, the desk said, &quot;they're old, they don't work.&quot; The hotel just needs some TLC from people who care. It is undergoing a renovation, so it will be interesting to see how it cleans up ... but then, that probably means we won't be getting in for 100 USD in the future.	
Jul 6 2005	Satisfactory low 4* hotel near to shopping 	Stayed here for three nights in mid June 2005 in a standard double room. Very friendly and helpful staff. Hotel was moderately tired. It’s like a well-maintained 5 years old car with minor dents and scratches but functional if you know what I mean. The hotel was designed with 3 lifts but 1 was “permanently” out of service leaving only 2. The wait for a lift during the morning “peak” period could be long. Air conditioner was noisy but worked very well during the 32°C+ heat wave. Room size was about average and was clean and tidy. Bathroom amenities were very basic. Location is okay, about 10~15 minutes’ walk at leisurely pace to the Bond Street tube station and Oxford Street. Not exactly close but within walking distance. Green Park tube station is about 20~25 minutes’ walk. There is a SPAR convenience store just around the corner from the hotel as well as a post office about 5~10 minutes’ walk towards Regent Street. My room rate did not include any meal and the breakfast buffet was £17.5. I did not try any of the restaurants at the hotel. There were many other restaurants nearby, especially towards Oxford Street. This is a good low 4* hotel and shall stay here again if the room rate is competitive.	
Jul 4 2005	It was great wonderful room	Stayed whilst attending a wedding with the reception just round the corner. Therefore chose the hotel due to loaction. What an excellent suprise, the large room was spotless with a huge King bed, sofa, coffee table and chairs along with complementary fruit etc.Bathroom had good quality fittings and everything we needed. Did we just get lucky? Don't know but ask for room 414 it was great and overlooks the park.We did not use the resturants, bars or room service they all apeared pricy but probably what to expect in this part of London.Shop around on the internet for the best rate, we paid £99. I think this represented excellent value for money.	
Jun 13 2005	Spoil yourself	14 of us chose this hotel for the trooping the colour weekend on June 11th.Some of our crowd had never been to London before!So you can only imagine their faces as we entered Grosvenor Square and saw the fabulous facade of the hotel.The rooms were very nice indeed.a few minor details could be pointed out that could be improved upon,but that would be being too picky.After a few drinks around the Mayfair area of Shepherd market,we meandered back to the &quot;Pine bar&quot; at the hotel.If you stay there,make a point of getting to know &quot;Derek&quot; the fabulous resident pianist.We requested all manner of tunes.From Elton John,to Andy Williams.from ballads to rock and roll...........He never failed to come up with the goods.He learned all our names and it was a pleasure to spend time around his piano.Great hotel.Impressive location.Helpful staff.We'll definitely be back.One tremendous weekend.&quot;Double thumbs up&quot;	
May 23 2005	This hotel is FAB!!!	This hotel is great, the staff are very helpful and polite.The room was lovely with view overlooking the park.Drinks are a little pricy but it is to be expected.Great location with Oxford Street on a few mins walk away.Would go back to this hotel without qustion!!	
May 12 2005	Thought it was great!	I stayed at the hotel last weekend for my birthday and first trip to London, and must say both me and my boyfriend loved it! We were quite impressed with the room, it was above average and we had a huge widescreen tele too. The location of the hotel was lovely, there was a little park in the middle of the square and because the weather was so nice it was lovely to sit and have a picnic! We didnt actually shop or eat around Mayfair as we wanted to travel round but we seen plenty of options! The staff seemed friendly enough too. There was only two little problems really and that was that the room tended to get very warm on the night and also the maid decided to hoover the room next to us at 8.00 am on a Sunday morning, she made lots of noise and seemed to be clanging about! The nearest tube is Bond Street, and its only a 5 minute stroll. I definitely recommend this hotel if you want somewhere centrally located to all the sites and enjoy a more peaceful area.	
May 8 2005	Good hotel in a great location	We stayed at this hotel principally for the location but were pleased at the room and service offered from this hotel.As my wife was running the London Marathon we looked for a hotel near to the Jubilee Line, but away from the hustle-and-bustle of London to ensure my wife got a good night's sleep. The hotel is on Grosvenor Square - very close to the American Embassy. Grosvenor is 5 minutes walk from both Oxford Street and Picadilly.We mentioned the marathon to reception when we checked in and they upgraded us to a room on their executive floor, 7. The room was lovely and well appointed.Yes the hotel restaurant is pricey - its Head Chef is Brian Turner, who is a well recognised English celeb chef. But who really eats in Hotel restaurants? Go for a walK to South Audley Street and you will find fantastic Italian, English, Fish and Chinese restaurants all within a short walk.You will no doubt find better hotels elsewhere in London but I really love the area and would return to the hotel.	
Apr 26 2005	Absolutely atrocious customer service.	We got transferred to this hotel after our original hotel gave our room away to another guest who had decided to prolong their stay. (That's a completely different rant, especially considering the fact that we had paid for our room in advance.) Because of this, we were told we would get an upgraded room at the Mayfair, but our room ended up being a smoking room with two twin beds when our original reservation had been for a double bed in a non-smoking room. Additionally, the shower didn't work, and there was a cigarette burn in the bedsheet. The staff had absolutely no empathy for us whatsoever. They were incredibly dismissive and condescending. And wait -- it gets even better: When we asked the concierge for a restaurant recommendation, he at first suggested the very high-priced hotel restaurant. Of course, this was out of our budget, so we asked him for another suggestion. He actually had the nerve to recommend McDonald's. I kid you not.	
Apr 25 2005	fulfilled our expectations	We booked for a one night stay at this hotel with lastminute. We got a good rate and then having checked reviews on trip advisor we were worried we had made a mistake. Thankfully this was not the case. On check in we were given a huge room with a kingsize bed. Our room was spotlessly clean and the service we received was excellent.The area is so quiet we almost forgot we were in london, the temperature in the room was just right .The bathroom was very luxurious. All in all we had a most comfortable stay and will definately return to this hotel on our next visit to London.	
Apr 22 2005 	Stay Away	Left a large note on the bed to point out that the sheet had been stained before use. Asked for a clean sheet. This was ignored. Lodged a complaint with the hotel at checkout. Have received no reply or apology in over two weeks. I will stear clear of this hotel chain. They do not deserve your business. I am about to write a complimentary review of another London hotel.	
Apr 9 2005	Terrible place ----avoid--- 	Check in at at 14.00 room available at...15.50 ! No apologies, no empathy, no explanation, nothing ! Visit from a chamber person who...did not knock the door ! Manager, Indian looking person, very unkind, avoiding eye contact, excuses, excuses, excuses, somebody was late, it is not our fault.Pricy brekfast after a long queue. Very loud piano bar open till 3 o'clock full of drunk non-residents and doggy looking ladies.Millennium Mayfair - N E V E R A G A I N !	
Mar 25 2005 	Shabby and dingy	I stayed at this Hotel from March 6 -10 2005. I chose it based on the reviews/price/location. The location for me was the best part of the stay: walking distance between Oxford and Bond Streets. The room was spacious but worn and spotted. The bathroom was in need of rennovation, but it was clean. Some of the towels had a musty smell. The corridors had blue stains on the carpet, and sometimes redolent of a nursing home. The buffet breakfast was costly, limited in selection, and mediocre. Likewise the food served in the hotel, other than in Turners highly regarded restaurant, was substandard and disappointing. The staff was courteous and professional. At the bar, I overheard other guests complaining about their shabby rooms and dingy hallways. I am returning to London very soon, but not to this hotel.	
Mar 20 2005	Nice	Nice but not at rack rate. We paid £70 per night. For this ok value although tube stations are 10 mins walk away.Staff helpful.	
Mar 2 2005	brill place especially the Concierge	A bit delayed but had a fantastic weekend break at the Millennium Mayfairrooms were lovely big especially for London. had breakfast and dinner which were both superb in Turners. The highlight for me was the ConciergeNick/Paul/Micheal and Fredrick. All four have a high knowledge of London and all very chatty and friendly, nothing was not to much trouble. I book theatre tickets and a Sightseeing tour trough them and had great seats and the tour was great.I would definelty go back again.Many thanks Millennium keep up the Good Work.	
Jan 30 2005	Wonderful Service At The Millennium Mayfair	My husband and I celebrated our 8th wedding anniversary in London during October 2004 and were so pleased that the Millennium Mayfair exceeded our expectations in every way!The service was impeccable. Our room was spacious, beautifully furnished (even fresh flowers), and very comfortable.The concierge, Nick, was a tremendous help to us. His recommendations for dining were excellent and his assistance with the coordination of transportation from/to the airport was just perfect. The rest of the staff, including the ladies on the club floor and in the business center were always professional, friendly and helpful. The entire staff at the Millennium Mayfair made our first visit to London a truly memorable experience and we thank them!The Mayfair is located in a beautiful part of London, with wonderful shops and dining within walking distance. We will ALWAYS recommend this hotel to anyone traveling to London.	
Jan 27 2005	Fantastic! +++++++ hotel	Stayed here with my family between 22-25th of Januar 2005 for the third time all together. As always service and the hotel was superb. We got a very spaciuos room and it was perfect since we were travelling with our son of almost two years old (that need space for playing with toys etc).Clean and modern room, I would rate it as a 5-star hotel. Compared to other hotels in London we stayed with, this hotels is certaintly the best one. Close to Oxford streets and tubes (less than 5 minutes walk) and with a beautiful park just outside the hotel makes the hotel both central and calm.We give our best recommendation to this hotel. Will stay again, again and again!	
