	By far surpasses ANY hotel that I've ever stayed at!	I had the great fortune of staying at the Intercontinental Park Lane Hotel, London, over the last 2 days. I was there for a Medical Conference, and my stay at the hotel (as well as the cost of the conference) were paid for by Abbott Pharmaceuticals (as a 'Thank You' to me for helping to produce a drug protocol). The Conference was being held at ExCel; this is 10 stops on DLR and another 5 on underground - so I left the Conference grumbling at the distance that I had to travel to get to the hotel! Well .... I would have travelled twice the distance for this hotel! I arrived at Reception at about 7pm, there was no horrible queue for check-in, and I was met by a smiling face from the lady who booked me in. She made absolutely no reference to the fact that I was being given a luxury suite - just simply gave me my room (suite) key, informed me that it was on the 1st floor and then asked if I required anyone to carry my bags. I declined the offer of a carrier (my bags aren't posh, so I didn't want to be embarrassed!) and took myself up in the lift. I have to say, I did wonder why the door said 'Spa Intercontinental' when I got there, but was so exhausted that I just threw my body through the door. As I opened the door I expected to see exactly what one finds in every other hotel - a bed close to the door, a tray near the door with a kettle, and a trouser press etc. But ..oh no. What actually greeted me as I opened the door was opulence!! Shining black tile floors, gleaming wooden doors. I put the light on, still not sure what I was looking at, saw that there was a door in front of me, assumed that the door to the left was the bedspace - but, again ... no ! It was a stunning walk-in wardrobe, with bar-area prior! There was a loo as large as a standard downstairs toilet-area at the 1st closed door. And then .... I opened the heavy double-doors that were facing me, to find the most ENORMOUS bedroom, beautiful bed, curved sofa at one end, chaisse-longue at the other. Glass finishings everywhere, and, just when I thought I'd seen it all, another door to a HUGE bathroom with illuminated Spa, wet room with rainforest shower and another loo! The view from both windows were of ParkLane Picadilly and Hyde Park (where they had a splendid German Xmas Market!) One of my main reasons for writing this review is that I have stayed in lots of places in my lifetime; I've been to stunning 5-star hotels in SWitzerland when skiing, and all across Europe, the Americas and the wider world. All hotels have professed to probably what they aspire to, but none have quite delivered, in my opinion, what they profess. The Intercontinental seems to play the descriptions down! I know that I wasn't expecting an opulent stay (was only on a 3-day conference for work after all!) so my expectation was fairly low; however, since I've returned home I cannot find a description of the Spa suite on any website! The room, incidentally, is No 106. I really was so very lucky to have it, as I believe that the Pharm Co had over-subscribed, therefore this was an upgrade. However, it seemed to me that the wonderful staff took enormous pride in ensuring that I had a stay which matched my luxury stay thereafter! There wasn't a grumpy face amongst them! The lovely ladies who offered 'turn down', the very cheerful Kimberley who sorted out my extra night - (!) Yes, I stayed on and the hotel staff saw to it that I remained where I was ! I was HUGELY impressed with the night security man, John. I had an unfortunate temporary 'loss' of my handbag in the bar one evening and he was there like a shot, despite there having been no incidents at the hotel before. He scrutinised the CCTV and found my bag for me; all the while remembering to be the perfect gentlemen (he DID tell me that he is ex-military; - however I think his impeccable manners are a credit to his personality, rather than to his military background, as well as to the hotel) Oh, by the way, the bag was only mislaid - by me of course!Finally, on Wed 25th Nov, and after my beautifully relaxing illuminated Jacuzzi in my bathroom, it came to my ever-so-reluctant check out , and I could not believe that the lovely lady behind the desk (wish I'd got her name - I think she is French) not only offered to help me carry my bags outside, but also insisted on leaving her post to come outside and walk me to the end of the road where she could show me the Tube Station! Never before have I had such care and attention and yet, as I say, have stayed in high quality hotels all my life, generally for skiing and leisure.I am highly impressed by this wonderful place and would give my eye-tooth to return one day. However, sadly, don't think I'd ever be able to stay in the Spa Suite, room 106 again! So all I have are my memories!Thank you Intercontinental Park Lane for your unmatchable hospitality. I would love it if you could put some pictures of 106 on your site, as it , and your great staff, really does you proud!Kind regardsLouanne McCabeWinchesterHampshireUK	
Dec 27 2007	Location good service not so good	Stayed here for one night in early December, while in London to see the Sound of Music and the Tutankhamun exhibition. The location near Hyde Park suited our travel plans, especially as it bucketed down with rain most of the time we were there, so the closeness to the tube was helpful.I'd booked online with Octopus Travel and became concerned at check-in (at around 5.30) as it was looking like they had no rooms. I mentioned we were going to see a show, and the receptionist said 'So you'll need somewhere to get changed then - I'll talk to our room allocator (not her words, but I can't remember the term she used!) to see if we can find you a room'.A room was eventually forthcoming, which was fine - clean, tidy and with all the amenities we expected, however we were near the lift lobby, and one of the lifts was squeaking, creaking and groaning all night when in use - when the hotel were advised of this on check-out, they simply said 'Thank you so much for letting us know' - not even an apology! Breakfast was included in our rate, and the food was very good, almost everything you could think of was available - but the service left much to be desired. We had to ask for tea, coffee and toast on several occasions, and no dishes were cleared from the table despite them piling up on one side, so much so that the waiter bringing milk (which hadn't been brought with the tea) struggled to find space for it, yet still ignored the pile of dishes!Overall a nice hotel, but the service needs improving....	
Dec 23 2007 	London Luxury	This hotel situated right by Hyde Park is a great place to stay (especially this time of year with Winter Wonderland in Hyde Park!!) The location is great and the hotel itself is well...what you would expect for a five star! Some may say rooms are small. I beg to differ, they were actually a great size, as this is London and space it at a prime. I was more than satisfied by the space.The Staff were not snooty as they are in most hotel of this calibre and they were ready to help with absolutely anything at all. The breakfast is AMAZING!!!!! Go for the Full shebang and get the full English which included continental. It gets delivered to your room on a table (pulls out to full size!!!) with Italian Linen and enough food to keep you going for a long While!!!!! And so prompt I ordered for 9 and at 9 they knocked on the door! Impressed!Bathroom was good with Elemis products, smallish but as I said...Its London. Lovely massive tub! I would recommend for business people as its not a cosy family hotel. Its a chic London , upmarket hotel	
Dec 11 2007 	Great stay would recommend	Overall I really enjoyed my stay at the Intercontinental. Its location is key, and the recent refurb was well done. We used Kayak and had a great rate for the area (but certainly not cheap), and I’d definitely stay there again.A pleasant surprise was Theo Randall’s restaurant downstairs. We hadn’t planned on dining there and were lucky to find a seat on a nearly fully booked Saturday night, but were very happy with our meal. The meal was pricey (160 quid… about $360 US), but it showed up a celebrity chef’s Knightsbridge restaurant. While this may have been a few menu choices, I was impressed overall.A negative to the hotel was the incredible price of room service and anything above an beyond our discounted room rate. While I know this is Mayfair, I had cheaper drinks at Nobu (9 drinks for 85 quid) on Berkeley Street than I did in our own room. We only ordered room service once because the prices were just too much to justify for the luxury of staying in.Pros: Location, Theo Randall’s, Service was impeccable.Negative: It’s Mayfair, but wow… $35 US for a small Pizza?	
Nov 26 2007 	great hotel	I arrived at the hotel at 10.30am , and my room was unavailable since the hotel was fully booked the night before. I was invited to use the club lounge until the room was ready . The new club lounge is decorated in a contempoary style in keeping with the new look of the hotel, and was most comfortable - I enjoyed a good breakfast - very nice range on view.My room was s park facing room decorated in English tradional style - large and comfortable. Nice bathroom with excellent Elemis toiletries which were replaced daily . I had booked a deluxe room which was upgraded to an executive room as I am a member of their ambassador club . The only downside was the shower in the bath instead of a separate shower.The hotel is very close to Hyde park underground station on the picadilly line , and is convenient for shopping in Mayfair,Knightsbridge and Oxford street .	
Nov 14 2007 	Good location and very stylish...	This hotel is very stylish and eveything looks brand spanking new following the recent renovation. It's a shame this hotel is in such a monstrosity of a building -- other ***** hotels definetely have a more romantic feell to them as you walk into the lobby.Quality of service was excellent.The hotel is located in a pretty good position with Picadilly, Mayfair and Oxford Street all within walking distance. It's just a shame about all the homeless people in the Hyde Park corner subway which you should probably avoid at night, if only for the smell (I suppose it helps you to keep it real as you're walking back to your luxury room).TIPS: 1) Instead of going to the bar in this hotel go to the top floor bar at the Park Lane hilton next door for what is one of the best views in London and very good cocktails too.2) Request a exterior room-- we were stuck with a room on the inside of the building and had non-existent views other than the activities of other guests!	
Oct 19 2007 	Location is the key!	We stayed at Intercontinental on our recent business trip to London. If I were to travel on my own account, this place would be way too high above my league, but I would recommend this place to anybody who is up for some luxurious experience, and the greatest location to get around London. Everything about this hotel is clean and modern. The staff are all &quot;well-trained&quot; for your assistance (although I cannot really say they had personal-touch in their friendliness). I loved our room - great bedding and the bathroom facility (two powerful shower heads, a big clean tub), fluffy towels, robes and pillows... however do make sure that you request for a room with a view. The building is U-shaped and all we get when we look out of the window was other faces doing the same on the opposite side of the building! It is worth some extra pounds for the access to the 7th floor lounge, where you can have some nibblies and drinks from breakfast to the after-dinner hours while appreciating the view of the Green Park.	
Oct 11 2007 	Fantastic refurbishment	We stayed here for the weekend from Oct 5th to the 7th for my birthday, along with a visit to the chefs table at Claridges.I was greeted warmly by the front desk staff most of whom wished me happy birthday - and due to ambassador status was upgraded to a studio suite.The rooms are on the small side, but the refurbishment has been a great success - the bathroom and especially the shower is fantastic, and the beds are simply HUGE! Flat screen TVs and bose stereo systems are a nice touch.Breakfast can't be faulted - one of the widest choices of foodstuffs I've seen in a hotel breakfast, and all of tip top quality.And the location is good, walking distance to Green Park, Mayfair and Hyde Park - with both Hyde Park and Green Park tube stations close by.We'd certainly stay here again.	
Oct 1 2007 	Great Hotel	On my most recent pass through London I booked a stay at the Intercontinental because I was bored with the place across the street. This property has just been renovated and surely nipping closely at it's more expensive neighbor. The Intercontinental is a great business or leisure hotel in a excellent location. The Guest Rooms are fairly traditional with my standards met or exceeded. I loved the Lobby and Lounge decor both in the day and also at night when we were fortunate enough to enjoy a DJ playing music for a private party. Food quality and presentation was excellent-our request for a off the menu Mezze platter was accomodated at an odd hour in the Lounge. We also enjoyed well too many creative fruit drinks one evening. The bar staff has got to be one of the most talented in London. Add in the Spa (and treatments), Gym, and amazing Room Service choices. A fantastic property and excellent value all around.	
Sep 26 2007 	Great stay	I booked the Intercontinental for a Saturday evening stay. I chose this hotel for various reasons; it’s been recently renovated and I was curious to see it, the reviews were good, I’m an Ambassador in their loyalty programme and it was very handy for where we were dining that evening. We arrived at the hotel around noon. The receptionist greeted me very warmly and was superb. She was Italian with a strong accent and I am Scottish; despite living in London for years I retain a strong Glasgow accent. This meant that our most effective form of communication was to smile and nod at each other which we did with great gusto and her radiant smile made me feel very welcome. Picking up on the accent she asked how my journey had been. When I told her it had not been difficult as I had only come from Clapham and hence it had taken around 20 minutes that also seemed to perplex;She was utterly charming, asked lots of questions I didn’t always understand and I replied with answers she didn’t so we bumbled along famously. She made a big play of being an Ambassador and told me as a result of this she had upgraded my room. Despite being there before check-in time, the room was ready and I was escorted to the lift. I could not fault the check in process. In actual fact, I could fault very little in the hotel. I was upgraded to a Junior Suite. It was not huge (I’m not convinced it was a Junior Suite) but no matter it was a lovely room looking directly over Hyde Park Corner, and despite that the sound proofing was excellent. The bed was immense and very comfortable. It felt and smelt brand new and was immaculately clean. The bathroom was a typical decent hotel bathroom in mirrors and granite, good quality toiletries though and an amazing shower. The fixed shower head (there was another one at the side) was the size of a dinner plate and the water cascaded out so no turning around or manoeuvring around to get all of me wet!There was a good choice for breakfast usual fare ranging from light and healthy smoothies and fruit to breakfast to the components of the full English variety all of a very decent quality. The breakfast room aka “The Cooks Café” was also very pleasant and contemporary.I was irked (no fault of the hotel) by the guest at the next table who entered the dining room like she was walking onto a yacht………. I would not say she had “presence” but knew how to create it. She was either a serial complainer or she owns the hotel; every staff member in the dining room talked to her at some point and every guest breakfasting there heard her. Intriguing and irritating.In summary I had a great stay at the Intercontinental and will definitely stay there again!	
Sep 25 2007 	Great Revamp Service lets this beautiful hotel down	We stayed in this hotel for two nights, just for a leisure weekend. The remodelling is great, the hotel was clean, beauitifully decorated and the rooms are not to bad for London. I stayed in a Studio Suite, it was only about the size of an average hotel room outside of London but it had a sofa!.The Service badly let this hotel down. The staff are not rude, but the service was not warm and the staff were simply 'functional'. I simply didn't get the feeling that anybody wanted to help. The Concierge was the worst I have ever expereince. On four occassions did we try to organise a cab - four time we ended up walking to the end of the street and hailing a cab.As much as the hotel was great on the eye and yes the beds are very comfortable, I really did feel a cog in a machine and not a guest.	
Sep 20 2007	Intercontinental - Good as Usual	Location Perfect. Walking distance to all areas. Clean comfortable rooms. Great service and dining. The only complaint is that they don't have a convienent store to buy certain necessities.	
Aug 24 2007 	Very Good Central London Hotel	My wife and I stayed at the Interconti recently during an overnight stop in the Capital.I have to say I saw and experienced absolutely nothing that would prevent me from booking into this hotel again. Room (Inner Courtyard) was well equipped, quiet and comfortable. Bar facilities were good, service was prompt, accurate and curteous.Unfortunately didnt get to try out the restaurant or the Spa facilities, as time was against us.Overall though, thoroughly reccomended and I wouldnt hesitate to book it again.	
Aug 7 2007	Disappointing!	Taking the Piccadily Line from Terminal 1 to Hyde Park Corner in 33 minutes was impressive timing a feat which most likely will not happen again!Just a few minutes walk from the tube station one cannot argue about the excellent location of this hotel. Near Oxford Street, Knightsbridge, Hyde Park, Piccadily Circus and Mayfair.The entrance of the hotel is not very welcoming. The moment one passes through the door one encounters three steps to go down to the reception. Not very practical with all one's luggage.The lobby is quite small ( but one has to work with what one has ) and fairly plain.As our room was not ready yet we proceeded to the Cook Book café to have a spot of lunch. Lunch had buffet style options and We went for the market buffet which has all kinds of salad options and additions like, buffalo mozzarella, grilled aubergine.One can also opt for a hot dish which is prepared in the show kitchen. Desserts are also presented buffet style and the pecan pie pud was scrumptious.Service was excellent, very helpful and accommodating. Yes prices are London 5 * prices but hey that's how it goes. Receptionist showed up after 15 minutes with the key cards and after a two hour lunch we went to the second floor were we noticed right away building ( of new rooms ) going on.Having reserved an Executive room we were disappointed the moment we opened the door. It certainly was a broom closet. On top of that we are both Ambassadors so should have gotten a studio suite. Reception informed me that we were downgraded ( which was not mentioned at check in ) and I immediately asked for the Duty manager. The DM was the same person who had checked us in and apologized for her &quot;mistake&quot;( Just trying it on really. If I had not complained they had gotten away with it ) and promised to move us next day to one bed suite as now nothing availableOnce I got back my companion told me that a person ( not recognisable as IC staff ) had entered the room and had quickly retreated. Odd and not a very secure feeling. I contacted DM again and a Security Officer would do a key lock reading. We figured it had been a builder making a mistake of entering the wrong room.We also noticed the sound system was not accounted for in the room. I called DM again and she said an engineer would come over to install the Bose Wave clock radio/cd player. Oh dear it was one of those stays......Engineer was in and out of the room several times and meanwhile we also noticed a not so clean room: desk chair had still ( builders ) white dust on it, floor was covered in white threads, tiles covered in white residue, a piece of plastic still on the bathroom floor. Again DM time.. The assistant Executive Housekeeper showed up and he agreed with the state of the room. Admitting room had come online only a few hours ago.We were certainly fed up now and I conveyed to him it was time we got moved. Within 10 minutes the Front Office Manager called and said that a guest had 'unexpectedly&quot;checked out of a 1 bed suite so we could move.We didn't shed a tear when we left our Classic English chintzy broom closet with hardly any storage space. Reception said it was an Exec but I find it hard to believe.Suite 762 was much better obviously. Living room with couch,coffee table, dining table and chairs, desk and a flat screen tv.The bedroom was also equipped with flat screen and Bose Wave. The cupboard was in a awkward space and hanging space was very tight but enough drawers.Bathroom had a bath tub with quick filling water supply ( although this works much quicker at Amstel IC ) and a smallish walk in shower ( no comparison to German IC's )Balcony was facing the Four Seasons.The style of the room was a mish mash of contemporary and classic. Designer must have been on a bender the night before.To make amends we also received a nice bottle of Chablis and a hours treatment at the Spa.Breakfast was fine not as sumptuous as other IC's but pleasant.Staff once again was excellent and we were happy we had opted for an inclusive rate as buying brekkie separately is £ 29 per person.As this IC has a spa run by Elemis we severely missed a sauna, steam room and pool. They only have a work out room equipped with Techno Gym equipment. The Club Lounge ( a whopping £ 94 ) is not worth it. Ok they have 4 kinds of champagne but the food presentations are meagre. We encountered more smaller problems: requested newspapers not delivered, external calls not connected as we showed checked out in their system, printers in business centre not working, receptionist helping me while chewing food, grubby bathrobe in Spa and no loo paper in Spa toilet.When we checked out errors on our bill of course.I would need quite a lot of convincing to stay at this hotel again. I must have been unlucky.	
Aug 5 2007 	great view 	This hotel is well located and the staff are pleasant to deal with. The concierge personnel were particularly helpful. Our King Executive room was very comfortable with a wonderful view of Apsley House and Hyde Park. It could have been bigger but this was London and not the United States. It was hot and the air conditioning unit was the most efficient we have ever experienced in Europe.We stayed in London for two weekend nights at the beginning of August and booked a breakfast inclusive package in a Smoking Executive King Room on the intercontinental.com website. The website indicated to us, although we later found out differently on reading throughly the printed details, that everything was confirmed.As Ambassador Priority Club members one benefit is a room upgrade with this hotel group. Disappointingly, for the first time with Intercontinental, this hotel was unable to honour this as we were told the hotel was full. Instead we were given a small reduction in our booked room rate. This was understandable, but we were surprised when we got to our room and requested an ashtray that there was no record of our request and this room was designated non-smoking. The hotel was full so it was impossible to move us to anything better than a smaller room with a wonderful (sic) inner courtyard view. As our stay was short we decided to remain where we were and occasionally smoke outside the front hotel entrance thanks to the recent nanny state UK legislation. Intercontinental have a responsibility to ensure if they cannot provide the accomodation requested in a customer's website profile it is clearly shown before bookings are confirmed. We find Hilton do this very well!The inclusive buffet breakfast was good and there was great service from the cooked to order breakfast bar. My wife said it was the best ice-coffee she has had served in Europe. It is debatable though if we would have been prepared to pay £50 plus service for two if it had not been included in this rate. Overall an enjoyable stay. The hotel is close to all the West end tourist sites, Harrods, Kensington, Oxford Street. and is a wonderful base for exploring.Just make sure all your special requests are agreed before your arrival and that you book an inclusive breakfast rate..	
Jun 21 2007 	Lovely hotel	This is really a 5 stars hotel that I deeply enjoyed. Great location at walking distance of many attraction points in London, truly welcoming staff, nice clean rooms and good food.	
Jun 18 2007	Loved the hotel!	Had I known how great this hotel was beforehand, I would have stayed here my entire stay in London instead of changing hotels. Great service &amp; great room.	
Jun 13 2007 	Much better than the previous IC London!	My wife and I stayed here for one night in June '07. We had a one Bedroom Suite on the eighth floor and whilst it wasn't the largest suite around, it was certainly well fitted out. The Lounge had a working area with desk and chair, a sofa and easy chair and B&amp;O TV. The Bedroom also had another B&amp;O TV and Bose Wave Radio/CD. The Bathroom was a nice size and had a separate shower and bathtub. The Bedroom and Lounge both had terrific views over Hyde Park.Room service breakfast was fine. Everything was cooked as requested and presented to the usual IC high standards.Had drinks in the Lobby Lounge and service and quality were very good.The hotel has a much more modern feel now that it has been refurbished. The main entrance is much more grand than it once was. This makes for a great base whilst in London.	
Jun 4 2007 	Beautiful hotel superb service	I'm sure the reviewer who said to ignore the comments made before the refurb was correct ... we stayed here this weekend (2/3 Jun) and the hotel was exceptional. We had a Mayfair Room which was very spacious with a B&amp;O flat screen TV and a Bose sound system, the bed was sooooo comfortable and the pillows were amazing. The bathroom was quite small but beautifully decorated and equipped - big bath and a massive shower head which was like standing under a waterfall :o)The staff were extremely polite and attentive, and anticipated our every needs. The complimentary fruit and drink was a lovely touch on the first night (PriorityClub Ambassador) and we felt like valued guests even in such a large hotel.The location was also spot on, right outside Hyde Park Corner tube station with plenty of buses passing right outside if that's your preferred method of transport. I would not hesitate for one second to book again as we had a fabulous stay. Well done Intercontinental!	
Jun 3 2007	A superb hotel	We only stayed one night - but thought the hotel was superb. Staff friendly and attentive - room spotless; and all the benefits of my Platinum status in Priority Club were honoured and more. Highly recommended, with one small exception - the breakfast is very expensive, but plenty of places nearby to fulfill your early morning eating!	
May 28 2007 	MIxed reviews	Staff was very friendly and helpful especially in the lobby food area and rooms were quite spacious. In May 2007 when I stayed at the Intercontinenal in London I had a Jr. suite in which the air circulation system in the bedroom was not wokring. When the maitainance man arrived, tool belt full, he spent 10 minutes inspecting the system before telling me he would send someone else up to check it. No one arrived but as it was late I left it till the next moring when I spoke with the front desk about the problem. They said it would be &quot;Taken care of&quot; but during the three nights not a breath of air emerged from the vents. No contact of any kind was made and when I checked out and told the front desk the system was not working, they thanked me for the info. They had no record of a previous contact from me. Finally, in spite of advertisements, beware of the Italian restaurant at the hotel. When it is empty on a Friday night at 10:00, enough said.	
May 2 2007	Amazing renovated hotel	We stayed at the newly renovated Intercontinental Park Lane while recently in London. The reviews on Trip Advisor did not reflect the quality of the hotel, because most reviews were posted prior to the renovation. It is a fabulous hotel in a very convenient location. There are buses past the hotel to all the places we wanted to see. We were able to walk to Buckingham Palace and see the changing of the guard. It was centrally located so that it was a short taxi ride to each tourist location we wanted to go to. The hotel was beautifully appointed, the beds very comfortable. Eating in the hotel was very very expensive. The are it was located in was safe and we walked from there even at night. It was a fabulous choice for us.	
Apr 11 2007 	disappointing	Delighted by excellent experiences at many other Intercontinental hotels worldwide, including their creme de la creme hotels in Paris, Amsterdam and Hong Kong all of which possess a significant wow factor, we had been looking forward to the re-opening of the Intercontinental in London following its major refurbishment. As things turned out, our stay left us disappointed. First impressions are vital in any walk of life but this hotel failed to make any initial impact on us whatsoever. Nothing can obviously be done about the exterior – an unimposing example of 1960-70 concrete and glass architecture - but once inside it is similarly underwhelming with the term plain being the most appropriate description of the public areas. The lobby area is relatively small for its class, plain in design and lacking ambience with a complete absence of any display of splendour normally associated with hotels in this sector of the market. This made it appear to be in a much lower league than the other Intercontinental Hotels in which we’ve stayed, despite being among the dearest, something which surprised us as we were expecting London to be one of the group’s flagships. The bedroom was attractive enough with quality furnishings and fittings including an upscale sound system and LCD TV but not without its shortcomings. We had an executive room which came with excellent views of Aspley House and Hyde Park but it wasn’t particularly big and one side of the bed was very close to the wardrobe making it a bit of squeeze when hanging things up and when getting in and out of bed. There was only a single easy chair which meant that, with two of us in the room, we had to take it in turns to sit in comfort – not what we wanted after a hard day tramping around town!!! Also the desk was very small compared with other executive rooms which didn’t make it very easy for us to work through the pile of papers that we’d brought with us. Finally the bathroom was small and plain - not for those looking for a bit of luxury when performing their ablutions. When we mentioned these points to the receptionist when checking out, she suggested that we book a junior suite for our future stays. A fair point, perhaps, but on the other hand it would have been a reasonable expectation for rooms costing UK£300 per night to be of a sufficient standard to comfortably work and relax in. The quality of food at dinner at Theo Randall’s was excellent as we would have expected – the calamari was the best we’d ever tasted - but like the lobby area, the décor was fairly plain so perhaps not ideal for those who enjoy dining in more lavish surroundings. When we first arrived at 7.30, there was a high staff to diner ratio which meant that our glasses were topped up by at least half a dozen different servers in the first 15 minutes but as the restaurant filled up they became less attentive though service levels remained excellent. Breakfast was served in the Cookbook Cafe which was plainly furnished like the other public areas of the hotel making it more like a burger bar in appearance. It was table service with limited variety and we ended up waiting over 30 minutes for it to be served. For its price – from memory we think that it was £25 each – and the small size of the portions, it must have been the worst value in town, which together with unprofessional service made a bad start to the day for us. We understand that there is to be a move towards a buffet style breakfasts in the near future which hopefully will bring about improvements. The best thing about the London Intercontinental is its location. Situated directly opposite two Royal Parks on the junction of Park Lane with Piccadilly, it is prime real estate within easy reach of the attractions of the Mayfair, West End, Knightsbridge and Kensington with the tube and bus stops nearby for those not wanting to walk or catch a cab. All in all, however, we have stayed at far better hotels in central London in the same price range or less and our advice to anyone valuing decent sized bedrooms and bathrooms in opulent surroundings is to check out other hotels before making a booking.	
Mar 28 2007	Nearly Perfect	Stayed in a Royal Park Room for 3 nights.Pros: Flat screen tv, Marble bathroom with rain shower, unbelievable view of the Duke of Wellington's house &amp; Hyde Park, well appointed furnishings and comfortable bed.Negatives: Room on the smaller side and the service was not necessarily exceptional.Overall I highly recommend this hotel for anyone making a visit to London. Its no Dorchester, but still way above places like the Hilton or Sheraton on Park Lane.	
Mar 25 2007 	Top Class service even though it's not quite finished!	We had booked two nights in a Royal Park Exec room but on arrival at 1430 the room type was unavailable. We were offered a holding room on the 8th floor which was quite pleasant but a bit on the small side and were advised that we would be contacted when our own room was ready but after waiting 4 hours we decided just to stay put and move next day. The hotel does not yet have it's full room inventory and they seem to be constantly juggling things.We used both an &quot;Inner Court&quot; and &quot;Royal Park Executive&quot; room during our two night stay and found both to have extremely comfortable beds and amenities such as B&amp;O TV and BOSE wave radio/cd. The Exec room was larger with an armoir and marble floored entrance area. The bathrooms contained Elemis toiletries and the exec room hard a large &quot;rain&quot; shower over the bath rather than a separate cubicle.Breakfast was included in our rate so we took this in the &quot;Cookbook&quot; Cafe one morning and had room service the next. Both were well presented and offered high quality items (eggs are cooked to order in the cafe) although I don't think I would stomach paying £67 for room service breakfast (for 2) had it not been included.The public areas of the hotel are very well appointed with lots of nice flowers. The bar area offers a sudued atmosphere in which to enjoy some of it's extensive offerings.We felt very well looked after at the Hotel and were sent a bottle of chilled Champagne on the Sat night (for the inconvienience). The staff are competent, proffesional and extremely courteous so we're looking forward to a return visit when the Spa &amp; Lounge facilities are ready.	
Mar 20 2007 	Absolutely perfect	Just spent a weekend at the intercontinental, London. It was heaven. The staff in these hotels are always amazingly helpful and pleasant. Being under 30 people don't often feel that you should be entitled to a little bit or luxury or occasionally respect, but here is a true gem.The location couldn't be better, with easy access to some serious shopping activity or a multitude of greenery all around. Can't ask for much more than that in the city.The hotels just undergone a £80 million refurb and its doen it justice. Te rooms ahev a classic decor with a great contemporary feel including bose sound system and wall mounted bang-olfsen tv. We got upgraded to a superior room which had an enormous bed and loads of room to boot. Breakfast great with all you could want. I've heard that the restaurant theo randall is superb with innovative and exciting menus, but alas dit not manage to dine here on this occasion.This is great for everyone who wants a little bit of heaven at a bit of a price. We got one night free which made it reasonable for us!! If you are gonna stay here, join the 'priority club' scheme. Its free, and if you're like me and enjoy little thoughtful 'extras' its worth it!Have fun x	
Mar 18 2007 	Excellent Service and Room	Stayed in a Royal Park room for one night, with a wonderful view across Green Park towards the London Eye &amp; Big Ben. The hotel still isn't quite finished (not all rooms ready and Spa is not open), but what is there is superb. Excellent service from all staff, particularly in the bar/Cookbook Cafe. The room was a reasonable size for London although not huge. However, you could see the quality of the furnishings, bathroom fittings, Bose sound system, etc. There was an good rain shower over the bath.Breakfast was superb - best orange juice I've ever had, and good buffet selection plus chef on hand to cook omlettes, fried eggs and waffles. Probably worthwhile including in the price of the room as not cheap otherwise. Prices in the bar were similarly expensive (£5 for beer, £6.50 for glass of wine + 12.5% optional service charge) but probably expected for a hotel of this quality in central London.	
Jan 3 2007 	Fantastic Service in Fantastic Hotel	We have just returned from a fantastic 2 night stay, including New Years Eve. We had used the hotel a few times before the refurbishment, and were interested to see the change. And we were very impressed! It's just a shame that all of the suites, the Spa and the Club Lounge are yet to open. Our room was quite small, but had a bit of character and had a great balcony overlooking the London Eye and Big Ben. The bed (as per all Intercon's) was fantastic. The Bang &amp; Olufsen TV was also a nice touch, and the mini bar was well stocked. The bathroom wasn't massive, but was sufficient in size, with a great shower.We didn't eat in the hotel, but the drinks we had in the bar were great (including the free champers on NYE thanks to the lack of Club lounge) , and the service was amazing at all times from every member of staff.Definitly worth a stay...and we had no problems getting a cab, even at 9.30pm on New Years Eve! We'll be staying here again!	
Jan 3 2007 	New Year Celebration	My wife and I along with my sister and her husband spent three nights in the hotel over the New Year holiday, I knew when booking that the Hotel was still being re furbished.I was fortunate enough to be offered a very good room rate inclusive of breakfast for inner court rooms, these rooms are of a small to reasonable size for London and are obviously new, try and avoid room 721 if you go, we asked to be moved because of the noise from the service lift next door.The Staff and the reception/public areas were very very good we were treated very well and my room complaint was handled with no issues.The location of the Hotel is superb and for sure is the big plus point.Overall we really enjoyed our stay, five star London Hotels are expensive this Hotel being no exception, we would return.	
