	A refuge from the awful weather	We stayed at this hotel for the same reasons a lot of other travellers do - it was conveniently located above the train station. The hotle was very moderately priced, and seemed even more of a bargain after what we paid for in New York.Our room had recently been refurbished and was lovely. The bed was spectacularly comfortable and we had the best sleep of the whole trip. Unlike others, I thought the room was definitely large enough. The view was nice. We had room service which was ok, and drinks in the lounge downstairs that were good quality, reasonably priced and accompanied by great service and snacks. It surprises me that there was no free wifi, but that it had to be paid for, whereas the 2* hotel in New York was able to provide it.The location was ok, and we were able to find some good restaurants and used the metro system with ease. I would definitely recommend.	
May 27 2006	Fine	Like the previous posters said, this hotel is perfunctory....service is fine, lobby is nice, rooms are small but clean, not memorable. Location is great, right under the Central Station, which made it convenient for us to get to Quebec City, near metro lines and close to Rue de Catherine and walkable to Old Montreal. By the way, there is a gym in the hotel, I used it and it was very nice. No gift shop to speak of, so if you need a little something, you had to go out for it (I never use minibars, think it is one of the worlds biggest ripoffs).I ate at the Montrealis in the hotel, and have to say both the food &amp; service were wondeful, that was my experience.Would I go back, no, but if you are looking for an excellent location you can't top this. If I ever go back to Montreal, I will stay in the old section.	
May 26 2006 	surprise! a Grand Hotel that's grand	My wife and I splurged on a Junior Suite and it was worth the extra cost. The hotel people were wonderful, especially the concierges and the waiters at the more-than coffee shop, the Montrealais. Location is super. On rainy days there are kilometers of underground shopping easily reached (adjacent to) the hotel; the train station is also &quot;attached.&quot; And on sunny days the Frederick Law Olmstead-designed Mont Royal Park, gem of the city, is 12 or 13 minutes away (uphill) by foot. Other fine dining relatively close (on dry days) including the incomparable Toque! as is Old Montreal with all of its delights.	
May 7 2006	Six stars!	This was without doubt the finest hotel experience of my life. I stayed for two nights at a discounted rate, was allowed to check in to my room at 8am after arriving off an overnight train, and was given a room on the 21st floor overlooking the Marie-Reine-du-Monde Cathedral. The room was as big as a suite, and as luxurious. The piano bar was a highlight, and the restaurant was great. The staff were genuinely friendly, professional and couldn't do enough to help. Definitely recommended.	
May 7 2006	A great monolithic block!	We stayed here (Family of 4) to visit relatives. This hotel is right in the middle of downtown, close to Old Montreal. If you are looking for one of those old, historical Fairmonts, you will be dissapointed. If you are looking for a clean, modern luxury hotel, you will not.The exterior is a monolithic block, as a previous reviewer pointed out. The lobby had a nice lounge area where you could just sit on the big fancy couches and talk all you like, even be served afternoon tea. The Queeny is directly linked to the huge Underground City and a subwyt station. (The Underground City is a huge mall for those of you who don't know.) The restuarant Montrealalis didn't have great food but the service was superb, as with the rest of the hotel's staff. They went above and beyond to make our stay better. The room was a little on the small side, but it was tolerable. The room apeared to be clean, but you got the sense that it was dusty and had'nt been used for a long time. It was nothing special. The internet wasn't free, though most hotels now have it for free. The bathroom was huge, with all the amenaties you could need. We would defenatly stay here again.	
May 6 2006	A Wonderful Stay	Stayed at the Fairmont Queen Elizabeth April 20-26 and then again from May 4-6. The rooms are small, but are very clean. The staff are excellent to deal with. They are polite and helpfull at all times. Rue St. Catherine is only a few blocks away. You can walk to Crescent Street and it's a short Metro ride to Old Montreal and Rue St Deni. I would reccommend this hotel to anyone. Make sure you ask about a corporate rate. We stayed for $131.00 (Canadian).	
Apr 27 2006	Okay hotel - decent service tiny rooms	This is a perfectlly acceptable 4 star business hotel. The rooms are very small - almost all of them are the same size, too. That said, the rooms are perfectly comfortable, with a good bed, lights that work, a tiny but functional bathroom and the usual amenties. The high speed internet worked well, which was a relief as I had lots of work to do. The service was good enough, but nothing special. Turndown service is available only upon request, and when I requested it nothing happened. Perfectly happy here, but will look for something more memorable next time I'm in town. I like boutique hotels, but often shy away from them because they often don' t have things I need - like a gym and reliable high speed internet access. Next time, I'll try the Gault.	
Apr 19 2006	Okay but not memorable	My stay at the Queen Elizabeth was fine. Not outstanding, not memorable, but fine.On the plus side, staff were incredibly helpful and professional. I was impressed with everyone I dealt with.The interior of the hotel is mediocre. The exterior is a great 1950s international style design, but the lobby is an odd pastiche of various design styles, with lots of hotel cliches thrown in. Given the history of the place, and the fact that it was once THE place to stay in Montreal, it is a shame that they didn't have a high-caliber design team do something spectacular or original with the interior. Similarly, the rooms were fine, but nothing to write home about.The Queen Elizabeth meet expectations, but did not exceed them. A hotel of this caliber and history ought to do more than perfunctorily fill the role of forgetable big city hotel. There are so many great hotels in this city, all of which offer their guests a unique and memorable stay, so I can't imagine that I would bother staying at the QE again. They didn't do anything wrong, but they did nothing to entice me back.	
Apr 11 2006 	Bring your earplugs. . .	I stayed 4 nights at this hotel for a oonference during the last weekend in March. The hotel staff is welcoming and professional, and the decor in the meeting rooms was very good--a cut above the usual. But. . . It is nice to be able to sleep in your hotel room. Mine had paper-thin walls. (It was a large queen room on the 20th floor.) The first morning while I was reading the newspaper, I heard very distinctly, apparently next to my ear, &quot;A Polish Good Morning!&quot; It was the man in the room next door making a phone call. One hears every syllable of even quiet conversations through the wall. I slept with the radio on (it was pre-tuned to a classical station, set at low-volume--I think the hotel is aware of this wall problem) to drown out all the noise.  A more minor gripe: The quality of the linens was not what one would expect in a four star hotel--an old buff blanket, pilled and ragged, was wrapped inside the sheet.  Nice features: The bed itself was comfortable. The Fairmont teas are excellent--some are supplied near the coffeemaker and I was able to purchase some in the lobby gift shop, too. The shuttle bus from the airport not only drops off at the hotel door but picks up there without requiring prior reservations. The underground food courts are convenient and affordable, and it was good to have an alternative to the costly food in the hotel. The subway system (underground) is easy to use, clean, and safe, and it is right under the hotel, as is the Central rail station. The distance to the Old Town (several miles)is a bit of a drawback to someone at a QE-based conference--as it is hard to slip out for much more than an hour or two. (The Old Town itself is not as compact as I'd hoped it would be, so it was hard to see much in a short time.) The hotel itself is located in the downtown area, which is not distinctive looking. In the hotel, I had dinner in the Montrealer Bistro, where the service was verrrrry sllllooowww and the food rather costly and fancy (&quot;bistro&quot; is a misnomer) but good. Drinks in the bar were expensive but outstanding--great ambiance there.  In all, this hotel has some attractive features (particularly the nicely designed public spaces). But when traveling on business, getting one's rest is important, and the room (for 3 of the 4 nights) was as noisy a room as I've ever had in a hotel, for a rather high cost. The elevators were not working at mid-day for two of the conference days (there was also a power outage on my floor one day)--a serious inconvenience when one's room is on the 20th floor. So. . .I probably will stay elsewhere if I return to Montreal.	
Mar 7 2006	Perfect Service at an Excellent Hotel	Well - in a nut shell this was the best hotel ever to have stayed in. I do a lot of travel with business and have not come across such good service before in a city hotel(perhaps I'm unlucky!). We stayed in a Fairmont room - which have recently been done up. Very comfartbale, excellent bed - slight down side - the TV and combine fridge cabinet kinda dominates the room.On the wrong side of town from the good things to see, the Fairmont is in the Downtown commercial district of Montreal - that said this is overcome with a pair of comfy shoes (and coat in winter) and the use of the tube system.	
Nov 21 2005	Great hotel	From the outside it looks rather small and tranquile, but once on the inside it booms with life! I stayed in the Gold rooms so I can only talk for the service in relation to that area. The concierge was very friendly, the lounge is nice and clean while having very good/courteous service. The rooms are not very big but they have what you need. I enjoyed the complimentary coffee and water bottle. The cherry on the sunday was that beautiful elevator reserved for Gold club rooms, it's made out of glass and is transparent on all sides making it so pretty to go up or down floors. Pool and gym are very nice also. I recommend strongly.	
Nov 11 2005	Stay at one of the amazing boutique hotels	The Fairmont is pretty but when I go back, I will stay at Le Saint Sulpice or Hotel Nelligan. There are too many amazing boutique hotels in Montreal to waste your time here. Firstly, the rooms are incredibly small. The bathroom is a closet. I will say on a good note, the staff is excellent. I met three or four concierges here and they were all excellent.Not bad but I did expect more.	
Sep 28 2005	What housekeeping?	The hotel is well-located.Our room was small but fine.However, our king-sized bed had a full-sized blanket on it stretched width wise. I called housekeeping the next morning and requested a king-sized blanket and was told it would be taken care of. It wasn't. We had to pull out the spare blanket, also full, and overlap them. The maid then continued to make up the bed that way for the remainder of our stay.The blankets were of very poor quality to boot.Then, when the maid refreshed the bathroom, she didn't replace the wash clothes.	
Sep 10 2005	Outstanding renovation for a classic hotel	I recently stayed at the Queen Elizabeth and was amazed at the recent renovation to this Montreal landmark. I had stayed there years ago and the property was becoming a bit tired. Not so today! The rooms, lobby, Beaver club restaurant were all outstanding with tasteful style and overall great service. The staff was attentive and caring. I was very impressed with the style of of room and certainly the hotel location. The food in Room Service and for breakfast were excellent. We made a special occasion to go the acclaimed Beaver Club and we were not let down. Gourmet dining with unsurpassed service. Incredible food quality. Overall the hotel was impressive for its service, style, location, staff attitude and services. Great health club. I recommend to everyone. You will not be let down. This is a famous hotel with years of history that is now very tastefully decorated with very well trained staff.	
Sep 1 2005 	Quite good	Stayed there for four nights in August'05 on a business trip. One major problem (and basically the only real problem) was that sound proofing is way below average. At least it was on my &quot;normal room&quot;, might be different in suites etc. Hotel is built in the 50s and you can hear it! For example traffic noise from 11 floors below could be very well heard, not to mention screaming teenagers from the room next to mine... Room was quite spacious and clean, clearly that was updated a couple of years ago. Situation is ideal, hundreds of stores, restaurants, bars are within walking distance. Also Molson Centre (or whatever it is called nowadays) is very close, for hockey fans. One thing though, I'm suprised that some reviewer said that hotel lobby is special. To me, there was absolutely nothing special there, a very typical one floor high hall without anything particular to see.	
Aug 19 2005	Excellent Hotel	Stayed 2 nights with family of 5 and had a Jr. Suite and standard room. Rooms are a little small. Service was excellent from check-in to Check-out. Pool was a little small for the kids, but all and all a great Hotel.	
Aug 17 2005	Nice but not worth the price	The Fairmont Queen Elizabeth was a lovely hotel. The Lobby was out of this world. The hotel is an excellent location nearby to almost everything you need, even the nightlife. However the rooms were disappointing they were clean but very small and certainly not worth the amount we paid. In fact we paid considerably less in Ottawa for a 3* hotel and it was far more luxurious than the Fairmont. Service was friendly but they allocated us a room that was already occupied. They did allocate us another room after we had disturbed the current occupant and then kindly charged us for the service a day or so after we checked out of the hotel. Again they did refund the charge after we complained. A nice hotel but I'm sure there are others of the same standard that are more value for money and less hassle in Montreal.	
Aug 7 2005	Great Hotel and Location	Centrally located on Rene Levesque Bl. and right atop the train and shopping underground. Breakfast was an easy pleasure by taking the hotel elevator all the way down. Endless wonderful, coffee and pastry shops as far as the eye could see. Staff was always friendly and courteous. Room was clean and quiet with a great view. Somewhat small but large enough for 2. Parking garage staff was always friendly and never had to wait for our car. Montreal is a great city and the Queen Elizabeth Hotel is a great venue from which to explore the city.	
Jul 8 2005	Decent hotel	For those of you who don't know, this hotel is a Montreal landmark that has been there for more than 35 years, it was a CN Hotel managed by Hilton for a long time, Fairmont took it over within the last 5 years. The location of the hotel is very convenient for walking around downtown and old Montreal. The hotel is not particularly attractive from the outside. I understand that 2/3rds of the floors have been updated and those rooms cost more. I stayed in an older room which was ok, not great, bed was comfortable, bathroom was fine and clean, very nice view of the large church adjacent. Depending on the rate you can get, this is a good choice of hotel. There are some new boutique style hotels in Old Monteal that are very nice, but pricy. Also, this hotel is very convenient to the underground city and central train station and metro stations, you don't have to go outside at all if you don't want to. I ate at the Beaver Club restaurant in the hotel, it was one of the best meals I have ever had and I have eaten at some very nice places. The fixed price 6 course meal paired with regional wines was absolutely fantastic, with impeccable service, incredible local ingredients were used mostly and I cannot praise the Beaver club enough, absolutely first class, you cannot get better food anywhere. Prices are high, but for a treat, well worth it.	
Jul 7 2005	Lots of problems.	I've never stayed at a Fairmont property before, but have admired many from afar (Empress Hotel in Victoria, Chateau Lake Louise, Banff Springs, Palliser in Calgary, Frontenac in Quebec City, Hotel Vancouver). I was genuinely looking forward to my four night stay at the Queen Elizabeth, and imagined luxurious accomodations and pleasant, courteous staff.How wrong I was.When we arrived in the evening around 8pm by car, no one was there to greet us, help us unload our vehicle or even hold open the door as we struggled to bring our luggage in. The inside was very dated (looked to be trapped in the late 50s/early 60s), the outside is a monolithic block (definitely not the &quot;historical&quot; or unique look of other properties) and definitely not up to the standards of their other properties. When we got to the room, not only did it resemble the interior decoration of a Super 8 motel, we also discovered that they had given us two double beds and not the single queen that I had confirmed during my reservation. When I went downstairs to see what had happened, the agent tried to blame the error on me and said that I &quot;probably forgot to request it&quot; -- not even an apology. But these were mere trivialities to what was to come.Our first morning the electricity was out. Instead of being polite about it, the staff felt compelled to blast this information at 7:30am over their loudspeaker/intercom (again no apologies). If you were asleep, you wouldn't be after that! Not to mention that you couldn't even get ready for the day since you couldn't see a thing -- and we had to walk down sixteen flights of stairs to get outside. On our third day, the cleaning staff went on strike. Not that we knew about it until we came back from a long day to find that our room was still not cleaned and wondered why. I called downstairs to see what was going on, and was forced to sit on hold for over ten minutes. When I inquired why our room had not been cleaned, the woman snapped, &quot;I know it has not been cleaned&quot; and with further pressing, said that the cleaning staff was on strike and there was nothing they could do except maybe &quot;send some clean towels up.&quot; When I suggested that maybe they could proactively give their guest a heads up, she claimed that they did not know about it in advance. (Funny, I thought the crux of most strikes rest on the fact that they make it known that they will be going on strike unless certain conditions or demands are met).The concierge continuously had long lines, and their information/knowledge was very poor -- when we asked for dining recommendations at 8:30pm, they seemed baffled by thinking up such &quot;late night&quot; dining options. They were stumped by other fairly easy questions as well. We also did not receive our newspaper the first morning, and the remainder of days we did not receive the newspaper we had requested. Normally I would overlook trivialities like that, but everything else was such a terrible experience that this was a cherry on top.I consider myself well-travelled and have stayed at many kinds of hotels in many countries, but this ranks in the Top 5 Worst Experiences. I will not be staying at this, or any other Fairmont property in the future.p.s. The location of the Queen Elizabeth is not nearly as great as it seems. You have to wind through a number of bizarre tunnels and staircases to get to the train station/Metro that it sits on top of. The Marriott and Sheraton nearby are much more accessible. Also the valet service is very awkward. You have to take an elevator to the main floor, transfer, then either take the stairs/escalator or another elevator to reach it. Very annoying if you have any suitcases or are carrying anything heavy.	
Jul 5 2005	Avoid in general especially on Grand Prix weekend	We booked an expensive trip to Montreal for the Formula 1 Grand Prix. As its just about impossible to find a decent hotel in the city on Grand Prix weekend, we chose from a list provided by the race organisers. The QE looked the classiest hotel so we took up the offer at CAD 532 per night with a three night mininum. We were checked in to a tiny room with the smallest bathroom I've ever seen in a hotel of any class. The decor was Seventies style and the wear and tear seemed to confirm this as the period of installation. It was the middle of a heatwave (mid-eighty degrees) and our air conditioner failed to produce any cold air at all leaving us to fan ourselves for most of the night. Our in-bath shower head didn't work and every flush of the toilet flooded the bathroom. After the second night we were told that we would be moved to an &quot;upgraded&quot; room. This was a room of the same pokey size with the same tiny bathroom but the decor was new and fairly pleasant, though this air con also failed to produce anything resembling cold air so another night in a sauna. There were some positives: check-in and out was very smooth for a busy weekend, and room service was excellent - fast, a full menu, some guidance from the person taking the order (&quot;no need for a side salad sir, it already comes with one&quot;), but, for a hotel claiming a five star rating and chargingover CAD 500 a night, there seems no reason to gamble on being booked into one of tacky unrefurbed rooms. Even the post refurb rooms, and particularly the bathrooms are way smaller than one will find at most other hotels in the city.	
May 12 2005	wrong room???? but lovely	When we got there we got to our room tried from a long trip (we call them road trips this one we travled from Georgia to Montreal)we saw there were ash trys in the bathroom! so i thought the french people love to smoke! So i tallked to the front desk and they said they messed up (expedia dident) so we got a room smaller by a foot in another side fo the hotel but the view was MUCH better.The Breakfast Buffet is to die for with butler like peropl with the best hot tea ever, and it is connected underground to everything! al in al it was the best hotel iv'e ever stayed at i would defently suggest it, My son loved it!!P.S. the picture is ot the view in our second room	
Apr 3 2005	Perfect Location!	This was our first trip to Montreal for a quick getaway. The location of the Fairmont could not be better. Underground access to the train and the underground city. The airport shuttle left us right in front of the hotel. Shopping, restaurants and tours were in comfortable walking distance. The staff was extremely pleasant, accomodating and knowledgeable. The interior, elegantly decorated. If you want elegance, service, access and convenience, the Fairmont Queen Elizabeth is the place to stay!	
Mar 24 2005	Good experience	We just returned from our first trip to Montreal, and our experience at Fairmont The Queen Elizabeth was overall quite positive. The staff (with the exception of one grumpy maid) was unfailingly polite and helpful. Three days into our stay, we requested a room change as we had some talkative, night-owl neighbors, and an even nicer room was found for us immediately even though the hotel was sold out. For location, this hotel cannot be beat. Directly beneath is the fabulous Underground City, the central train station, the Metro, and links to just about anywhere you want to go in the city. We liked the hotel restaurants, but also enjoyed the many less pricey dining opportunities in the Underground City. We would definitely stay at this hotel again.	
Mar 19 2005	Not in good weather	If you will be in Montreal in the worst weather then the Fairmont Queen Elizabeth is a good choice because of your connection to the undergound city. You can walk all over town without showing your face in the brutal Montreal winter. Otherwise the QE has awful service, housekeeping is a shambles and has a pretty bad attitude. THe room is nothing special though some have nice enough views. Ours had a view of the church next door which was very nice. The food in the main restaurant is atrocious for Montreal where even the little holes in the wall can ussually serve up a good meal. We had coupons for the breakfast buffet and it was not very good at all. No comparison to Hotel de la Montaign or Hotel Vogue. We were there for three nights and there was a plastic coffee stirrer on the carpet near our room for all 3 days.	
Feb 16 2005	loved the Queen Elizabeth!	Stayed at the Fairmont in Montreal in January and had a great time! The service was excellent and the rooms (although a little small) were fabulous! The concierge, Joel was very helpful and really went the extra mile for us! I would recommend this hotel to anyone on business or if you simply want to be in the middle of it all.	
Feb 11 2005	Very comfortable and great location	I usually stay in the old city but, for business, this location was much more convenient. I was only recommended to this hotel because of its locatation really. Admittedly I stayed in the Gold section but I was really comfortable and can only speak very highly of Eric, the manager there. My room was lovely and my entire stay was great. Perfect for a lady travelling alone. 	
Jan 26 2005	The Queen E is still noting to write home about	I read some of the recent reviews which indicated that the Queen Elizabeth was rising like a phoenix from the ashes of some pretty rough years. Well, it's not there yet.I'm in a suite - admittedly, a JUNIOR suite, but it's TINY. I'm not a big guy (around 5' 10&quot; and 160 pounds) but some of the corners are tought to navigate and the bathroom is really snug.The room is fine, no huge complaints, but I've had MUCH nicer standard rooms at several other Montreal hotels.My advice: go to Hotel Vogue or Le Germain for a great place at what is still a reasonable rate.	
Jan 26 2005	Excellent service 	The Queen Elizabeth is one of Montreal's gems. The hotel is well located down town with easy walking to shops &amp; restaurants. A tunnel connects to the train station &amp; the underground shopping. Dinner at the Beaver Club restaurant is a treat &amp; I can't say enough about the service we received there. I will deffinately return to the Queen Elizabeth.	
Jan 20 2005	Great location for winter shopping	We went to the Fairmont Queen Elizabeth December 2003 and greatly appreciated your stay. We were looking to do some serious shopping and the location couldn't be better.The hotel is linked to all of the underground links that allows you to walk to the different building without ever going outside. That was a major convinience and allowed us to leave the boots-gloves-coat in the hotel room and walk to many of the shoping centers on bldv Ste-Catherine without suffering from the -20C cold. There was also and art and craft exibit in Place Bonneaventure (and exibith hall) just few blocks from the hotel also accessible using the underground passages.Kids did appreciate the indoor pool, although not exceptional it did allowed to keep them busy while the mother was shopping for the chrismas presents. Just under the hotel is the train station which might be a convenience for many. We used our car and found the hotel parking to be very expensive though.The room wasn't particullary large, but nothing particular to complain though. If room size / conform is key you might find better hotels in montreal though.	
Jan 20 2005	Loved it	We stayed at the Queen Elizabeth over New Year and we loved the hotel. The room was a little bit small but very well furnished and very comfortable. The location was excellent for our sightseeing trips in Montreal. Only critique I have is in order to go to the pool, we had to take the elevator to the main floor, swith elevators and then we came to the pool area. As a fellow guest said &quot; They planned this to maximize embarrassment of all guest&quot;. I would stay at the Fairmont again.	
Jan 6 2005	Gave away our room?!	We were met by a supercilious French-accented woman at the front desk on December 28, 2004, who told us that the discounted rooms were all gone. Instead of paying the $149 of my *guaranteed reservation* -- we were going to have to pay $199. I asked to talk to a manager. The woman walked away and shortly returned, saying we could have a renovated room (usually $199) for $149. I should say so! I've never heard of a hotel trying to raise the rate of a credit-card-guaranteed reservation. Not what I wanted to hear after a nine-hour drive. They say that French speakers look down on English speakers in Montreal. I don't know if this is true, but the woman at the desk made me think so. The room was charming with a separate alcove with a desk. Housekeeping was so fabulous. The spacious room gleamed. Triple sheeting on the beds. Extremely fluffy towels and robes. Elegant toiletries -- generously refreshed. My husband was annoyed that they wanted $13 a day to use the highspeed Internet hookup in the room. I was disappointed that all the rooms for 4 in the hotel had double beds. Queen beds are so much more comfortable. Otherwise, the room was very, very nice.We ate at the Montrealaise in the Queen Elizabeth. The food was pretty good, but the service was escargot-paced. The waiter (I don't think he understood us very well -- another French speaker) almost never came back to our table. Never refilled my coffee cup. Didn't try to explain the salad bar or show us where to find plates. I would never go back there -- especially with the amazing Marche only a block or two away in the underground shopping mall.	
Dec 27 2004	Very Nice Stay...	Pleasantly surprised with Queen Elizabeth, had stayed there 5 years ago with mixed thoughts. After hearing about their renovations decided to try again with great results. Beautiful room, with beautiful view and great value for under $200.	
Nov 5 2004	Fantastic!	My fiance and I stayed at the Queen Elizabeth in December 2002, and we were married in the local Court House during our stay. The staff found out about our wedding and provided us with complimentary champagne and strawberries dipped in chocolate!. They were all so friendly and the hotel absolutely stunning - we loved it so much we are going back in April 2005.	
Sep 29 2004	Back at the Top of Montreal's Hotels	The Queen E. has gotten a wonderful makeover that should put it at the top of Montreal's hotel options once again.This property has been redecorated and the results are quite impressive. From the lobby to the rooms, decor and design are elegant and furnishings are in mint condition. The staff all have a renewed enthusiasm for their work, ranging from more friendly attitudes at the front desk to improved cleaning of rooms, etc. And the Beaver Club remains one of Canada's best restaurants.	
Sep 12 2004	All in All a great stay!	My husband and I just returned from a trip to Montreal. We stayed at the Queen Elizabeth on September 6 and 7. We found the hotel to be very nice. We did not find the lobby dark as one review stated. It was fascinating to walk from the hotel to the underground tunnel to explore the many shops and restaurants without ever going outside. Also, a very short walk to St Catherine Street where there are many outside cafes and shops. We had a room on the top floor with a king size bed, a couch, and a spectacular view of the city. The room was quite spacious, although, if I have one negative, it would be the small bathroom, but, the room and view made up for it. One night we ate at the Beaver Club and it was an awesome dining experience, one, I do not believe I will have again for a long time. The lounge was very nice as well, with a piano player and very nice ambiance to sit and have a nightcap. Most of the hotel staff was very helpful and friendly, especially the concierge, except for one bad apple the day we left. The bellhop that came to get our bags was very rude. He brought our bags down to the lobby (so he told us he would do) and we went for breakfast. After breakfast, when we asked about our luggage the lobby staff told us the bellman must have taken our bags down to the parking garage because they were not left in the lobby. However, when asked,the parking garage attendant did not have our bags and had to find out where they were. The rude bellhop eventually arrived with our bags. When my husband gave him a $2.00 tip (one toonie) he just stood there with his hand out looking for more, and, when we did not oblige, and he observed me handing the parking attendant a $5.00 bill for his help, the bellman made several faces and comments in french. After arriving at our new destination, Quebec, I realized that a souvenir that I had purchased in Montreal (a $50 hat I bought for my mother) was missing. We called the Queen Elizabeth, and, they did return our call, but, told us that they had checked with lost and found and the maid staff and the hat was not found(My husband thinks the bellman took it). The other criticism I would make is, (and as other reviews have noted), there is a fire alarm that goes off every night with a recording that tells you they are checking an internal alarm, there is no need to leave your room and please stand by. Minutes later the alarm goes off again and they tell you everything is clear. This happened at 12:30 a.m. the first night and 3:00 a.m. the second night. It was very annoying to say the least. However, all in all it was a great stay, and, I would stay there again.	
Aug 19 2004	Incredible and a lot of Fun!	My husband and I just stayed at the Fairmont Queen Elizabeth this past weekend (August 14) and thought it was fabulous! We got a great rate by going directly to the Fairmont website and choosing &quot;Fairmont Supersaver&quot; as an option - which meant that we had to pay in advance/could not cancel. This hotel has the BEST location - it is right in the heart of downtown Montreal (in middle of all the action!). Without leaving the hotel - the elevator can take you to the subway, the VIA train station and is also connected via underground to every mall, food options, the Marché resturant etc. and more! To tell you the truth, we did not enjoy the hustle and bustle of downtown Montreal 24-7 so we retreated to our hotel/room often and enjoyed the facilities - nice heated pool, scented steam room!! and huge exercise facilities (bigger than my regular gym). Above all that, it was so exciting acting like little kids trying to discover all the places we could get to underground without ever having to go outside. Since our room was a supersaver ($140 CAD on a weekend!!) it wasn't huge - but they made good use of the space and it was renovated and decorated nicely. We didn't have a great view - but who cares? I would highly recommend this hotel to anyone who is going to Montreal and is looking for a nice place to stay in the heart of downtown (the 2 star Travelodge which was much farther away was charging more!!). Good luck and ENJOY!!	
Aug 19 2004	Treated like a Queen	We spent 6 days at the Queen Elizabeth. What a wonderful hotel! Our room on the 5th floor was spacious, room service was quick, hot, and delicious. When our travel agent failed to warn us a reservation was needed for the Sunday brunch we thought we would be disappointed. Although they were &quot;booked solid&quot; they found room for our party of four. The concierge, Robert was very helpful and suggested a resturant &quot;Gibby's&quot; that was one of the best I have ever eaten in.	
Aug 9 2004	Great location and friendly staff	The Fairmont in Montreal is recently renovated and located right downtown near the best shopping. I had a view on the adjacent cathedral and Sunlife building which was fabulous. I stayed on Fairmont Gold and was treated as royalty. It's like a boutique hotel inside the big hotel. Our room was modern with a great marble bathroom I wish I had at home. The concierges were very friendly, helpful and their advice was priceless. We had dinner in the hotel's Beaver Club and had the best experience. We rarely find service like that anymore and the food was exceptional. It was a treat but well worth it. The hotel also has a nice pool and gym club to unwind.	
Jul 28 2004	Montreal Canada... OK quiet.	Montreal was ok, thanks to the Jazz Festival that was going on. We took a rafting trip and it was fun also.We stayed at the Queen Elizabeth, it was in my scale of 1-5 a 3. Was told to besure and go to Old Town, but it was just a tourist trap, more shops of the same stuff and that was just about it , besides resturant alley!The trip was Ok and no really bad experiences .Pam Urania	
Jul 27 2004	Great service but less than appealing room for the price.	I have stayed at other Fairmont city properties, most recently in San Francisco and San Jose (California), so I had some high expectations. The Queen Elizabeth in Montreal did not come close. The lobby was dark. The front desk staff always seemed to be stressed (even at 4AM). The rooms (I had guests in several rooms) were VERY SMALL in comparison to the BIG room rate. What does make this Fairmont property live up to the Fairmont reputation were the courteous doormen, cheerful phone personnel, and pleasant room attendants (I called for extra towels constantly). In summary: Location is great (underground train station is two levels below the hotel). Pleasant staff and great service (the front desk staff just needs to be a little less anxious). Rooms too small for the price.	
Jul 15 2004	Great Location	My family stayed at the Fairmont Queen Elizabeth for a vacation, as suggested by our travel agent. We could not have been more pleased with the hotel. Although there were fancier hotels in the area, we were impressed with the friendly staff and elegant accomodations. The exercise room, free for guests, had a large selection of equipment and was very clean. The location was also perfect-- Our hotel was connected with the Metro and a short walk from all the sites we were interested in seeing during the trip.	
May 19 2004	Magnifique!	Contrary to the bad reviews I've read, our experience at the Fairmont Queen Elizabeth was great. Bear in mind that this is a 1950s-era hotel with quite a history. John Lennon and Yoko Ono staged their second famous week-long &quot;bed-in&quot; on May 26, 1969 in suite 1738-40-42. Granted that some parts of this enormous building need a spot of upkeep, the service, at least during our stay, was gracious in the Fairmont tradition. Our one-bedroom executive suite on the 10th floor was beautifully decorated in a continental, yet modern motif, with warm wood furniture and black marble bathrooms with chrome fixtures. From the suite's cleanliness and the condition of the furniture, I suspect it had been renovated recently. The king bed was wonderful...but the food was fantastic! We used room service twice (try the filet mignon); the breakfast buffet in the Montrealais restaurant was delicious too, especially the croissants and freshly baked breads. The best part of this hotel for us was its location. You can walk directly from the lower level into the Place Ville-Marie underground shopping mall, and from there, you can walk into a series of interconnecting malls that span the center of the city. Also, the proximity to Marie-Reine-Du-Monde Cathedral is great -- all in all, this place is the ideal French Canadian experience in the heart of Montreal. 	
Apr 24 2004	Needs TLC!	The Queen Elizabeth is not what we were expecting. We were expecting a 5 star beautiful city hotel, and instead we found a hotel that needed loads of renovations. We had a room in the old section and it looked like the bedding and the carpet were out of the 1970's. It was dissappointing. But its location is good, but not worth the money spent.	
Mar 29 2004	Needs work to become the place again	 As one who has stayed over in the city many times, I have to agree with those who say that the decor strikes one as being out of the 1970s. The Queen has been supplanted by the Lowes Vogue or the Delta as the place to be in the city. The rooms aren't particularly big for a luxury hotel. The one plus to this place is a large pool and a nicely equiped gym. Like all those others, expect to spend C$75/day on top of the listed price for the taxes, parking and whatnot. If you aren't addicted to five star service and want the real Montreal experience, I'd prefer the Chateau d'Argoat to all of them. 	
Mar 25 2004	Disappointingly outdated hotel. Reasonable location.	This hotel was a disappointment. After staying at two other fairly nice Fairmont hotels in Canada (Vancouver and Edmonton), I was quite disappointed with this one. The hotel is large and is conveniently located (on top of the train station), but it looks very outdated, not Victorian outdated but 70's outdated. Not at all what we expected of a Fairmont. It was not bad, bad but I wouldn't stay here again if I have a choice.	
Feb 16 2004	Great hotel worth the money	Comparable in price to the Sheraton, Mariott and Hilton, but much better accommodations, service and location. I tried them all and keep coming back to the Queen E. Newly renovated and better than ever. Compared to hotel prices in NYC they are a bargain!! Don't get me wrong this is not a discount hotel, but no more expensive than others in it's caliber.	
