	Great location OK hotel	Location is ideal, right in the Old Town and close to great streets of restuarants, museums and so on. The hotel is old but well kept. Out suite was small and the view was of a brick wall, but we did get a bargain deal. I'd come here again, much more character than the more modern hotels near McGill.	
Aug 24 2005 	A very comfortable and friendly Old Montreal hotel	Stayed at the Springhill August 19-21. Studio suite was very clean and not lacking any important amenites. Breakfast provided in room rate was more ample and with greater selection than I expected. Staff at front desk and in the breakfast room were friendly, courteous and helpful. If you enjoy Old Montreal, this is a great location. The other hotels in the are tend to be very expensive &quot;boutique&quot; hotels like the Gault, St. James and Place D'Armes, very charming renovations of Old Montreal buildiings BUT at two to three times the price and up compared to the Springhill.The major drawback of the Springhill is the distance to attractions, dining etc. outside of Old Montreal. It is almost exactly midway between two Metro (subway) stations meaning that it's not particularly close to either and Old Montreal is a bit remote from many of the other parts of Montreal of interest to visitors. As a former Montrealer, I had no problem navigating around to other parts of the city and knew what distances to expect but visitors not familiar with the city and expecting to get everywhere walking might find this a drawback.In summary, if you are looking for decent quality, clean and friendly palce with reasonable rates, the Springhill is well recommended.	
Aug 5 2005	Great location but overall disappointed	The main plus point of the Springhill Suites has to be the location - it's perfect for the summer months, although perhaps a little far from the metro for the winter. Other plus points are the charming staff, free breakfast and free internet.But I was disappointed with the room I had for myself and my two teenagers. I had, after reading Tripadavisor, requested a higher room with a view. This request was acknowledged but not fulifilled, instead we were allocated a dreary first floor room - no view, dark and frankly a bit depressing with wallpaper falling off the wall above the sink. It was value for money but I would find it hard to be very positively recommend.	
Jul 27 2005	Perfect location perfect hotel	Just returned from MontrealWe stayed at the Marriot, Spring Hill, in Old MontrealIt is the perfect locationoff on a side street and 2 blocks from the water and all the cafes/restaurants/stores.There is even a McDonalds, 2 blocks away.We had a suite with a living room area and a balcony!Everything was immaculate.Breakfast included in price of hotelwhich was $180 CanadianMontreal requires a lot of walking and is the perfect spot for couples/adults. A lot history to learn about.	
Jul 19 2005	we liked this hotel BUT...	We had a really nice 4 day stay at the hotel, it is in a great location, very central to many many things. The room was spacious and clean, and the inclusive breakfast was surprisingly substantial, and quite good. Our only complaint was while the staff was unfailingly polite and attentive, 2 separate desk clerks gave us TERRIBLE directions. One sent us to a metro stop many miles from our destination (there were several that would have been more convenient), another gave incomplete and inaccurate directions to a restaurant that we spent a good 45 minutes trying to locate, only to find that it was closed on Sundays.	
Jul 17 2005	Fantastic location on quiet street in the heart of Old Montreal	The Springhill Suites Montreal couldn't be in a better location. The hotel was easy to find, with signage on both ends of the street. The street itself was quiet but only a minute or so walk to many restaurants all over Old Montreal - the Chez Suzette Creperie at the corner was incredible! We stocked up on bottled water and some snacks at the convenience store on the corner as well. Tons of souvenir shops, galleries, and of course the famous Notre Dame cathedral are in a few minutes walk. The breakfast was decent - typical Springhill selection. We stayed here for 6 nights, so we tried some of the area restaurants for breakfast on a few of the nights - Eggspectation is a perfect spot for breakfast. The Metro is about a 7-10 minute walk and provides easy access to all points on the island of Montreal. The hotel itself was clean and staff was generally pretty friendly. Highly recommend!	
Jul 17 2005	Great for families 	Springhill Suites has a great location and excellent value for the money. Ambiance? Not much, but for a family or a business traveler, it has much to recommend it. Very clean and neat, with a little kitchenette, and a free, fabulous breakfast. Our 14-yr. old – who’s a good 6’ tall -- slept reasonably well on the twin sleeper sofa. Laundry facilities and a small pool w/hot tub are nice touches. We had some annoyances that were never resolved – one of our two wall-unit air conditioners roared like a jet engine, and while they came immediately to work on it, nothing changed, so we just used the other A/C on high, and it all worked out. The staff was friendly and very courteous. Our requests for light bulbs and extra pillows were handled quickly and cheerfully. We travel a lot, and this was one of the best hotels we've visited in a while. We would definitely stay here again.	
Jul 13 2005	Great!	This was our third stay in Montreal, the first at the Springhill Suites. Having been forewarned that it might be hard to find, I had the kids watching carefully and we found it on the first approach with no problem whatsoever. The streets on either side (the hotel is connected to a restaurant so there are two entrances) were narrow but quaint. Our view was of an office building which I guess you have to expect in a city. If it was important to me, I might have requested another room with a view but it wasn't a priority. If you're the type who has to have a view, make sure you request it. I was most nervous about parking b/c on our last trip, it was a nightmare. Last time when we got to our hotel, a virtual riot occurred on the busy street b/c woman wanted to wait for us to unload in the 15 minutes zone. Then, when we left we couldn't find one of our cars and no one would help us. It was pretty weird walking around an underground parking garage for 20 minutes looking for our car. Anyway, I was a little nervous about the parking thing when I pulled up to the Springhill Suites. But the attendant directed us off the quiet side street right into the garage. Then he gave us a ticket and said we would need it when we wanted the car, no problem. They got us a luggage cart and we were on our way. We didn't use the car but did need a couple of things left in it and they located it immediately. On checkout, the front desk called and the car was brought up to the door immediately. I was both relieved and impressed. The parking attendants were courteous, happy and friendly. The front desk staff was helpful and friendly. They treated the teenagers who were with me very well when they asked questions about getting one place or another. That meant a lot b/c they wanted to do things on their own. Breakfast was great, lots to choose from, eggs, cereal, yogurt, breads, danish, waffles, and more and the coffee was good. Didn't use the pool but the teen boys used the gym which was small but had enough equipment in good working order that they didn't complain. Location was terrific, a two minute walk to many restaurants and small shops, ice cream, crepes, souvenirs, pubs, historic buildings, churches, etc. A small grocery on the corner had beer, etc. (no takeout beer after 11 pm) and also an exchange and ATM. Metro was a couple blocks away, not too bad. I relied on the reviews here and prior Marriott experiences and I am glad I did. We had a great stay. Internet access was free and flawless, the kids liked being to im their friends and we were able to use the internet to figure out things to do, how to get there, etc. Every staff member I encountered was friendly, happy and courteous. Room was huge, when you walk in there's a small kitchenette, desk and chair, to your left, then to your right another chair and fold out couch. Then, a room divider wall and two double beds and a closet. There were two tvs and a clock radio. I'll try to add photos when I get them. One more thing, it is much quieter at this hotel than it is downtown in terms of traffic, pedestrians etc. but there is plenty of action just steps away.	
Jul 4 2005	Springhill Suites was amazing	Stayed: Jun 30 - July 3The hotel itself is really nice. The service was great, the free breakfast was amazing (eggs, sausages, taters, waffles, etc) and the service was excellent. The only complaint that I had was the balcony. Our balcony faced an office building so there really wasn't much of a view but we did enjoy lounging out on it during the night.I really thought the staff there was exceptional. They catered to your every needs and were extremely polite.Even though the location was hard to find (We had two taxi drivers that had a lot of problems looking for it) it was in a nice secluded area, away from all the noise in old montreal.Overall I give this hotel 2 thumbs up. Perfect for couples, families and groups.	
Jun 29 2005	Comfortable and quiet	We visited June 27 and 28 2005. Directions on website not so clear. Hotel is on a street that looks like an alley. No cobblestone street. Parking listed as valet, but we were told to park ourselves, but still charged valet rate. Hotel refused to correct on bill. Pool extremely small, and my bathtub was bigger than the hot tub. Regardless staff were extremely pleasant. Suites were small, but pleasant. Clean!!!! Our room 401 was bigger than most and it had a balconey at least 25ft by 10 ft. A beautiful view of the river. Ask for this room you won't regret it. Hotel was peaceful we never heard a door slam or people talking. We walked everywhere and had no problems. Don't forget to ask for a corner room with a balcony You'll love it.	
Jun 29 2005	Good value	My wife, 2 kids, and I spent 2 nights at this hotel 6/21-6/23/05. Our room was clean and comfortable-2 double beds plus an additional fold-out couch. The staff were all very courteous,helpful, and bilingual. The hotel is within walking distance of Old Montreal and to the Metro which makes it very easy to get around. I think it is a good hotel for a reasonable price. Breakfast is included,as well, and was fun because the kids could make their own waffles in the self-serve waffle irons. We would definitely stay here again.	
Jun 27 2005	Nice Accommodations 	We spent 6 nights in the Springhill Marriott's Studio Suite which was our second choice because we requested a smoking room. The Deluxe Suite was not available to smokers. I was pleasantly surprised with the suite. It had a king bed, a bureau with a TV on top that swiveled so that it could be seen from either the bed or the couch area. There was also a desk with a comfortable chair. Beside the small couch there was an easy chair. The kitchenette was small, but there was a sink, microwave oven with a couple of paper plates &amp; plastic utensils inside, &amp; a fridge. There was a coffeemaker &amp; a supply of coffee, tea, sugar. You could also get creamers from the breakfast room on the Mezzanine. There was a newspaper at our door during the week. The room was very clean. Ice was available on the floor above our room. The breakfast which was included with the price of the room was much more extensive than any other free buffet I had gotten at other hotels. There were even boxes so you could take items back to your room. There were 3 different juices, 2 different coffees plus decaffeinated &amp; hot chocolate. There were scrambled eggs, sausage patties, potatoes, hard boiled eggs, 2 waffle makers that cook the waffles in just a couple of minutes. There is a machine to toast the bagels, English muffins, &amp; raisin bread. There were muffins (fruit &amp; other types) &amp; also pastries. There were cereals, milk, bananas, apples &amp; oranges. A big savings for families.Turn left when you leave the hotel &amp; on the next block is one of the main shopping &amp; dining streets of Old Montreal (Rue St. Paul E.) &amp; it is just a block or two away from Place Jacques Cartier with it's many outdoor cafe's, street vendors &amp; street entertainment. The Waterfront is within walking distance. Turn right when you leave the hotel &amp; on the corner is a small restaurant (on Rue Notre Dame) where we had a regular breakfast, O.J., fried eggs, bacon, ham or sausage &amp; home fries for a very reasonable price. Notre Dame Cathedral is nearby. We took a 3 hour tour of the city &amp; then went back to places that were of interest to us. We did get to the Casino &amp; to the Biodome &amp; of course, Downtown Montreal. We enjoyed having appetizer's &amp; cocktails at Chez Brandy's which is part of Le Keg Restaurant on Rue St. Paul E. No need for checkout since our bill was slipped under the door during the night. Just leave the keys in the room when you leave. The front desk was helpful in calling for our Airport transportation. I thought this hotel was an excellent value especially for families.	
Jun 14 2005	Incredibly attentive staff	We stayed at the Springhill Suites Montreal for 4 nights from June 9 - 13 for the Montreal Grand Prix. The staff was so helpful and friendly. We have been coming to Montreal for the Grand Prix for the past 10 years. This is the first time we stayed at the Springhill Suites. Breakfast was included in the rate. I have never seen such a breakfast - many types of coffee and tea, numerous cereals, &quot;make your own&quot; waffles, eggs - scrambled and hard boiled, sausages, all types of breads, bagels and sweet rolls, fresh juices - an extensive array!Our room had a king sized bed, a kitchenette, a &quot;hide a bed&quot; and was very quiet. The metro stop was three blocks away - very handy for going to the Grand Prix.The staff was the most pleasant I have ever encountered. When we left the hotel for the race on Sunday, they were handing out snacks and water to take with you - a new and very welcomed experience. It was this attention to detail and extra caring that made our stay here very enjoyable.	
Jun 8 2005	Great place to stay	Just got back from a 2 night stay following our cruise. The rooms were very roomy and clean. The place was perfectly located in Old Montreal. As I had never been to Montreal before the front desk staff was very helpful in giving me information on the surrounding attractions. Breakfast was great! We received an early check-in and requested a late checkout and got it with no problems. When going to the airport I told the front desk staff I needed a taxi that took credit cards. He got on the phone immediately and called a cab for us. I highly recommend this property.	
May 21 2005	Springhill Suites Old Montreal Great location for Cirque fans	We just returned from a 4 night stay at the Springhill Suites in the Old Town of Montreal. Great place, great staff, great location with many choices of resturants all around, shopping, and just walking thru the cobble stoned streets. We went to see the new Cirque du Soleil show, and for cirque fans, this is the place to stay. Just a 5 minute walk to the show. Clean, spacious rooms.	
Apr 21 2005	Wonderful Stay at a Old-Montreal hotel	We had a great time at the SpringHill Suites. The staff was very helpful and the hotel was clean and efficiant. The price of the hotel was exceptional for Old Montreal and the amenities were great. The pool was and unexpected bonus and the morning breakfast was a great start to the day. This hotel is perfect for exploring the city and is a quick ride to downtown while in the heart of the Old City.	
Mar 16 2005	The Perfect Place to Stay in Montreal During the Summer	I stayed at the Spring Hill Suites in Old Montreal, last summer, during the Grand Prix Week-end, and it was nothing but perfect. We were going to the Grand Prix site early each morning, but our day always started with the breakfast they serve on the mezzanine, they go all out, they have fresh fruit salad, Montreal bagels, waffles, cereals, eggs....it really gives your day a good jump start. Then, after the race when we arrived in the late afternoon we would walk through Place Jacques-Cartier where everyone is enjoying themselves, and clowns and artists gather. You have no other choice but to go back to your hotel with a big smile on your face...Especially if Schumacher won the race!!! And when your there, you just throw yourself on the sofa and realize that your room was perfectly cleaned and you feel like a king. You can have a swim, exercise, I mean there's no need going anywhere else, it really is the perfect place to stay in Montreal during the summer. Plus, there are many many restaurants just step away, and some of them are amazing, try l'Épicier, the food is perfect. The staff at the Spring Hill Suites is very friendly and they make you feel like home. I don't even have my tickets to this years Grand Prix, but my room is already booked!!!	
Jan 31 2005	great hotel	We just returned from a 2 night stay, and had a wonderful time. Good points about this hotel are: 1) great staff....very accomodating 2) the rooms were very clean and spacious for the 2 of us 3) There was alot more on the free breakfast than I figured....eggs, sausage, oatmeal, muffins, pastry, cereal.....etc 4) It is right in the heart of Old Montreal, which is beautiful. Top-notch restaurants are 1/2 block away on St Paul. The only bad things about our experience weren't really anything to do with the hotel. 1)It wasn't as close to the Metro as we had hoped...its about a 5-6 block walk. The walk would be beautiful in the summer time, but it was below 0 F and the wind was blowing. 2)Like any big city...the original price of the hotel isn't bad, but you start adding for the parking and taxes and it realy adds up. Montreal is not a cheap city for hotels. 3)This was my first time in Montreal, and I did have some trouble finding this place. It is tucked away on a street that you wouldnt think could have a hotel on it. Old Montreal isnt that big, so we found it in a couple of minutes. All in all, the stay at the hotel was more than we had hoped for, and would recommend it to anyone.	
Dec 7 2004	Great Service and a very nice hotel	I stayed here for seven nights Nov/Dec 2004. The staff really made the difference at this hotel, they were friendly, welcoming and also knowledgeable. We were going to Quebec city for 3 nights by train but decided to stay in Montreal as there was so much to do and see. The front desk suggested a day tour by bus which was very good and helped me book it. The rooms were large and warm! a must in the winter. The kitchen was a helpful bonus as we could make tea in the morning. The room was kept spotlessly clean. The breakfast was adequate and there always seemed to be coffee and hot water on the mezzanine level. All in all I found this hotel to be very impressive and this was really complemented by a great team of staff especially on the front desk.	
Nov 30 2004	A Well Run Marriott Property!	I stayed at the Springhill Suites Old Montreal in November 2004. On checkin, the night auditor was very friendly and accomodating, we were in our room within minutes. This brisk checkin was appreciated, because we had a 7 hour car ride due to traffic and weather! The rooms were spacious and comfortable, as well as quiet. the king size room I was in had a Kitchenette with a sink, microwave and minifridge. There was a pullout couch with a coffee table, a recliner, and a TV. The bathroom was large as well, and everything was VERY clean and new. Comfortable king size bed. The included breakfast is nice, the atmosphere of the mezzanine level is always busy with guests, but still relaxed and quiet. A great way to start the day! I did not use the spa or the restaraunt, nor did I order room service. The front desk staff was always friendly and accomodating throughout my stay. One instance where I was supplied with excellent customer service is when I asked the front desk to switch out all the lightbulbs in the room with 45 watt bulbs, because the 100 watt bulbs were much too bright for my taste. After making this request at the desk, an engineer switched the bulbs 45 minutes later! I have not had an opportunity to stay at the Full Service Chateau Champlain Marriott, but this property has made an astounding impression on me. Great rooms, great rate, free internet and breakfast, and an impeccable front desk staff. This property is also atypical for a Springhill suites, as they have a restaraunt, room service, and a spa all connected to the hotel. You get most of the services of a full service hotel without the added surcharge on your room rate, which is a really great deal. Mor like a full service hotel than a moderately priced quality business hotel. On Checkout, the desk staff split my folio between me and my friend effortlessly, correctly charging both of our credit cards. Also, the parking attendants were very patient when I lost my parking stub - twice! A great hotel!	
Aug 23 2004	Stay here for the location - surely not for the hotel	I stayed here for 2 nights in August. Overall, the location is great and would be the only reason I would choose to stay here again. Aside from the location, the rooms are nice enough - microwave and fridge included.However, the noise from garbage trucks outside our room woke my family up at 6am in the morning. The sheets were not only old, but had holes in it. The front counter staff is nice enough but did not make us feel welcome - more of an intrusion on their already busy day. I had to argue about a $2 difference in the room rate, and at the end, I gave up because it just wasn't worth it.We moved after the 2nd night to the Hilton Bonaventure - what a difference...but alas, that's a different story.	
Jul 17 2004	Fantastic	Made reservations for our honeymoon based on reviews. It did not disappoint. The rooms were spacious and clean, the staff way above average, and the free breakfast was excellent. The location is ideal, just a short walk to almost anywhere. When we requested a late check-out the answer was &quot;No problem.&quot; We will go back.	
Jul 14 2004	Good location price staff room		
Jul 7 2004	WONDERFUL		
Jun 23 2004	Can't wait to give praise!		
Jun 16 2004	SpringHill Suites		
Apr 16 2004	Great hotel		
Apr 11 2004	Better choice than full-service Marriott		
Aug 9 2003	Excellent		
Aug 7 2003	The best kept secret in Montreal!		
Jun 8 2003	Peaceful Perfection		
Jan 28 2003	best hidden secret!!		
Jul 18 2009 	Très bon hôtel mais qui manque un peu de lumière		
Nov 23 2007 	Cocooning au coeur du Vieux-Montréal		
Jun 22 2007	Merveilleux !		
