	Much more than I expected	Traveled by train from QC with my daughter, 7 and 5. Walked across the street from the station. Check-in easy. Room 2139. Average. But it's not the room here.Great location. The pool is great. When you go to swim, there is an inside entry and you swim under a deck to enter the Great White North. [It was cold.] Pony-tailed lifeguard has zero personality, but he is efficient. Girls loved the swim. I froze. Concierge staff is remarkable. 45 minutes before face-off, Roberto got me tickets ($220) 7 rows off the ice from a scalper. I paid him and picked up the tickets in a nearby gas station.Thanksgiving? American? Concierge booked us at Globe. Incredible.The restaurant. Had breakfast one day. Expensive. But friendly. Good. Waiter made a recommendation for the girls for that day.Problems?Returned one day -- door ajar. Maid had not shut it. Nothing taken. Reasonably secure.Bar is good too for a drink. Arrived. Wife out of sorts and sent her for a cocktail. She was much better.A great location. Very non-Hilton. Very personable. Unique.I used points so I only paid for what I spent, but it was good. Very good. Better than expected for a Hilton. And if you have kids and its the winter, the pool is a gem. A class of French-speaking children watched one afternoon as we swam. They all wanted to jump into the steamy outdoor pool.And I'm a runner. Old Montreal is a short run. A long walk.	
Mar 2 2006	Despite other's negative reviews always satisfied with the Bonaventure	I must rise in defense of the Hotel Bonaventure. Let me preface these comments by saying that we are regular visitors to this wonderful city and in our childless years often stayed at the Ritz Carlton on Sherbrooke because it was supposed to encapsulate the essence of Montreal. The onset of children called for a change of venue (no pearls before the swine) and it was at that time in our lives that the Hilton with its idyllic rooftop swimming pool became our Montreal hotel of choice. Yes, people (others, not me) were swimming this weekend. You change clothes in a small area off the pool and then swim through a short passageway to the outdoors. I have been assured that, with the water temp at 100 degrees, it is all quite comfy. No first hand knowledge but my sources are reliable.The first selling point for the Hilton, ease of access. We drive to Montreal from the U.S. and the expressway over the St. Lawrence River (Autoroute 10) drops us almost on the door step of the Bonaventure...where valet parking is always on hand. Self park is also available in the same underground garage. Perhaps it's the vicissitudes of advancing years but I'm just so happy to be rid of the car that I'll gladly fork over the dough for valet parking and head to our room.When the children could make their own way to the pool and club room, the fact that the hotel and reception, as well as the entire facility, is located seven stories up in the air on the top of an office complex was...from a security point of view...very reassuring. Also, if you get a outside room, the views of the city at night are terrific. The prospects from the garden view rooms looking out on the ornamental pools surrounded with shrubbery and occupied mallard ducks bobbing for food are also quite pleasant in a sort of zen-like way.Now, that the children are off at college and the swimming pool is no longer relevant, we continue to patronize the Hilton. But then, with two kids in college we probably couldn't afford to return to the RitzThis hotel is perfect for visiting Montreal if, like us, you are willing to forgo taxis and travel by Metro. What we lose on valet parking , we make up by only occasionally taking taxis. The Metro and underground Montreal are readily accessible from inside the hotel/office building complex without the necessity of braving Montreal's winter weather...-20 degrees wind chill this weekend. No Metro access at the Ritz...but that may be intentional!This is our 10th or 11th stay at this hotel in just the past 3 years and with our gold Hilton Honors card we do get access to the club lounge which is small and modest, in both its scale and offerings, compared with some other Hiltons. Again, that would not be our reason to stay at this hotel. We have had an occasional upgrade to an executive floor room, which are no higher floor (there are only two levels in the hotel) just further removed from the activity surrounding the lobby, pool, dining and reception areas. My personal experience is that there is difference, but not excessive, between the executive rooms and the standard room. The distinction lies essentially in where the rooms are situated.Having read the reviews complaining about 60's decor, this weekend as we walked through the lobby, I asked my wife if she thought the lobby furnishings seemed &quot;dated&quot;. Her answer was in the affirmative. My opinion: &quot;prosaic&quot; perhaps but not &quot;dated&quot;. Honestly, I really don't spend much time sitting in the lobbies of hotels...except at the Manoir Richelieu in eastern Quebec..where I could spend hours with a book and a coffee looking out at the St. Lawrence River. If we are in Montreal we are either sleeping or out on the town...no long lobby visits...there is just too much to see and do.The beds are comfortable and my wife remarked that the linens have recently improved...no more polyester. Pillows are still pretty hard though but maybe that's a european thing. The rooms are comfortably furnished with a deep, soft, arm chair and foot stool, writing desk and - contrary to some reviews - I must say that, in my experience, they have always been clean. The bathrooms are spotless...although THAT may not have always been the case. I believe that a number of the rooms have been refurbished...so perhaps some of the problems complained of have been rectified.Regarding food and food service: who eats hotel food in Montreal? Cruise St. Denis Street between Sherbrooke and Mount Royal, where you will find meals the equal of any of the top &quot;foodie&quot; destinations on the planet. And when you're stuffed to the gills, waddle to the the nearest Metro station and the train will punctually and conveniently drop you at the door step of your hotel.One minor difficulty. Apparently, there was construction taking place on the upper floors of the office building under the hotel and, off in the distance, we could occasionally hear what sounded like a like a high speed hand drill . One night, however, it seemed like there was a jackhammer beavering away right underneath our room. One call to the front desk and they &quot;sicced&quot; the security people on the construction workers. Peace and serenity followed shortly thereafter.So, back to the beginning: the top three reasons for staying at the Hilton Bonaventure: Location, Location, Location. Now, it should be noted that the Fairmont Queen Elizabeth is right across the street sharing the same Metro stop . Unquestionably, the QE is a higher grade hotel but, then again, there is a significant price differential. Hilton is not chic, nor romantic nor - hosting as it does numerous conventions, parties and weddings - cozy. Just a good hotel with good price at a good location in a great city. We like it and will return.N.B. I do not throw bouquets gratuitously, ie. read my review from last summer.of our stay at the Toronto Hilton.	
Jan 15 2006 	Worst Hotel Ever!!!!	I have to agree with the majority concerning this hotel....it was horrendous! I had originally checked in for 3 days but checked out after the first night. Right from the start the staff was horrible, rude, and weren't experienced by any standard. I think if I stayed at an Econo Lodge I would've found better service and quality! I've stayed at hotels across every major continent and almost 95% of those were either 4/5 star, but this hotel was no where close to being a four star. The carpet was stained in several places, the sheets had holes in it, the decor was tired/overused/dingy and best of all the TV didn't work. Since I came back from my meeting late at night, I didn't discover the problem till late. After calling I was told that no one was available till the morning. The decor of the hotel is very worn and hotel breadspreads were something I figured they have had to have used for at least 5 years now. I complained to the staff politely the next morning but found that they didn't care to rectify the situation. I dont recommend this hotel to anyone and definitely not waste your money in this questionable establishment.	
Dec 26 2005	Not great but not bad	We stayed overnight for a night away from the kids while visiting in-laws. We had a room with a king sized bed--room was pretty plain and bare. No frills there! But it was clean. On two separate occasions I had two different housekeepers let themselves in the room while we were present. Not good! The view from the room was of what I assume were the gardens but it was all snow and the room is below the ground level, so half of the view was below gardens themselves (meaning, no view at all). The front desk staff was very helpful with directions and recommendations for shopping and dining. Common areas were nice and clean--nicer than the rooms. This is definitely NOT a four star hotel, but through Priceline, we got a decent price nonetheless.	
Nov 16 2005	Good enough	Nothing special about this hotel at first appearance but this is where service makes all the difference. All of the staff are not only friendly but anxious to please.Do beware, however, if using the Executive Lounge. Drinks will run you C$6.50 plus tax and you are expected to tip on top of that (self-serve, honor bar -- the attendants will bring you some canapes and count your cocktails).	
Nov 8 2005	Great Convenient Hotel	Excellent hotel, with a great friendly staff. Next to the train station and within waking distance to most of the attractions in Montreal and I am not employed by Hilton. Room was clean and up to date. The pool, though outdoors and in October was very nice with entrance from the indoors.	
Oct 12 2005	I felt like I was in a poorly decorated bomb shelter...	I would only recommend you stay at this hotel if you need a heated pool on a rooftop garden, in almost total isolation (it seems) from the city below. The rooms/hallways are dark and dank, very 60's, clean, but really drab. I wouldn't pay more than $50 to stay here again and even then, I'd try to get out of it. They tried to charge me twice for the expensive internet access (the Holiday Inn I moved to the next time had it for FREE and it was wireless!). I found nothing appealing about this place. Worst of all, is the hike through an empty, strange convention center corridor to get to the little vestibule to get in the elevator to go up to the lobby (entering from the Metro side). If you drive up to the hotel, its a bit better on that side...but still goofy. GOOFY, thats a good word to describe this place. Just avoid it. PS, I did enjoy the neutrogena soaps and Crabtree and Evlyn stuff.....but that cannot be a real reason to return. Can someone explain to me why they put so many little steps up and down in this hotel? Made pulling your suitcase seem like hiking. I better stop...this place just ain't right.	
Sep 26 2005 	This hotel is an just unmitigated disaster	Anyone writing a good review for this hotel must be employed by Hilton. It was the worst hotel experience ever. When we entered our &quot;non-smoking&quot; room it was just full of smoke. The reception admitted that &quot;it was technically a smoking room, but they believed it was adequate for us&quot;. To summarize: Rude staff, bad food, dated rooms and terrible surroundings.	
Sep 16 2005	Good value through priceline	Ok place to stay, pretty lobby, excellent value through priceline, no views to speak of, pool is different..outside heated open all year, no hot tub, nice bar, valet parking service is excellent.	
Sep 13 2005	needs to be rubbed out and started again	This place is so dated it should be pulled down and rebuilt. It is so 60's/70's in style. The concrete structure is laid bare for all to see inside the hotel and gives it a distinctly strange feeling. I could not deal with this nor the fact that the first 20 odd floors were office space. We stayed here in October 2004 on priceline - the price was good but I did not think the hotel merited 4 stars! Some of the staff were down right rude - this is the first hotel in all my years of travelling where I was refused (by a very aggresive french speaking waitress) a glass of milk to take to my room when retiring for the evening after having a couple of drinks in the bar. It was nothing to do with the fact that our french was poor - she was just rude. The room was grubby and tired and most distressing of all, for a female traveller, the door safety chain could eaily be undone from the outside. This meant a room change after some initial disbelief of the problem and then an attitude of well what's the problem anyway! I value my safety, even if is just a slip chain!The food was poor and in the main restaurant the waiting staff couldn't be bothered. All n all a most unenjoyable stay here.	
Aug 20 2005	Outstanding	Albeit a little difficult to find, but the location is perfect! Situated just away from the noisy streets the 3 minute walk to bustling Ste Catherine is acceptable. The hotel amenities and service are outstanding. Staff attitudes are gracious and accommodating. We required a little extra attention to our vehicle - we were met with complete satisfaction wihout any extra charges. Room service - after the posted 23.30 closing - was not an issue for the attentive staff. The hotel feels like a ground floor locale until you peer out your window. The pool and sun-deck offer plenty of play area for teenagers. The layout of the hotel gives an intimate feel with wide hallways, a few steps up and down to each level, and presents an elegant atmosphere. While reading the negative reviews I considered other hotels for this stay, but I am certainly glad I did not change my reservation.	
Aug 13 2005 	Terrible hotel!	I usually stay at Hilton hotels but is this really a Hilton?? Positively the worst hotel experience since I stayed in a one-star hotel in Athens 1977. The staff at Hilton Bonaventure is not very welcoming to put it gently, rooms have not been refurbished for 30 years and are filthy and the breakfast is absolutely nothing to write home about. Situated on top of a completely dead, empty and sometimes a bit scary underground shopping mall. Avoid this hotel.	
Jul 9 2005 	abolutely fabulous	the most amazing hotel we have ever stayed in.its absolutely gorgeous to wake up and look outside to see nothing but this beautiful green landscaped 'forest', complete with ducks and fish.the breakfast buffet was sufficient to keep us satisfied for hours, and the waiters were only too happy to oblige with all and every request.great location-right above underground shopping 'city', and within walking distance to just about anywhere, including the old port, chinatown, and even St. Catherine Street.Next time in Montreal I would not even consider staying anywhere else..[I was sorry to leave]	
Jul 4 2005	Not a 4 star hotel	My husband and I booked the Hilton through Hotwire for my birthday. We were there June 30 to July 2. We checked in around 3:30 after driving around Place Bon Aventure trying to locate the entrance of the hotel. We pulled into the parking lot to find out that we were in the right place.When we arrived at the reception counter the gentleman took forever checking us in. He even had to get some help in doing so. After 15 minutes to check into a room that has been prepaid for, we end up getting a non-smoking room.After getting our correct room we started our adventure. After a long day of walking, we came back to our hotel with the loudest clanking noise you have ever heard. We were thinking it was the air conditioning. I turned it off and the noise was still there. So we called the front desk and was told security would come and check it out. After half an hour of waiting and getting a head ache, my husband went down to reception for answers. They told him the only solution was to switch rooms. So a bell boy was being sent to take us to the new room. The bell boy was nice and he temporarily fixed the noise problem in our current room, but we did not want to take the chance that it could wake us up at 2 am. When we got to our new room, surprise, surprise, we were placed in a non-smoking room. After all the hassles we did not care anymore. We just smoked in there. I apologize to those non-smokers out there who are offended that they end up getting non-smoking rooms that smell smoky, but we had had enough of the crap dished out to us. The hotel rooms and pool was nice, the location was great, just wished that service was a lot more attentive, efficient and organized for a 4 star hotel. The fact that is was a long holiday really did not apply. We were far enough away from all the touristy places and pricey enough that the hotel wasn't even that busy.	
Jun 8 2005	What a great place to stay!!!	We stayed here this past Memorial Day weekend and THIS PLACE WAS AMAZING!!!!!!!!!!!! The hotel itself had an eastern (feng shui) look to and feel to it. It was very inviting and immaculately clean. The staff was EXTREMELY accommodating when we requested to see other rooms so that we could choose one that best suited our fancy. We choose one on the third level overlooking the beautifully serene garden. The room was ample in size and came with the standard amenities one would expect (super comfortable king size bed, mini-bar, TV; recliner, etc) Room service was great and the restaurant food was delicious (averaging about $10 US dollars/ entree). Just be prepared that the restaurant stops serving food at 11pm and last call for drinks is midnight. Nevertheless, everything and everyone that worked there gave the impression of a very high-class hotel.	
May 25 2005	better than average	I have been in Montreal many times over the years and find the Hilton more than just an average hotel. It's not built like your average hotel in the city as it's not a high rise but rather a low rise that's fairly well spread out. Our room was very clean and the bathroom although small was clean and met our needs..plenty of mirrors through out the room. Views are either of the city or the court yard which is beautiful, but remember this is not a high rise. The have an indoor outdoor pool which is heated and allows you to start inside and swim outdoors even in a snow storm. The fitness room is more than adequate. We did not eat in the hotels restaurants as you are within walking distance to downtown and the underground City is right underneath the hotel.. It's a short taxi ride $6C to Old Montreal and the Old Port and very close to just about everything. All in all it's a good place to stay...not overwhelming but nice and all you need for a city where you are not going to spend much time in your room. You can park your own car underneath the hotel for $17C or Valet parking is $24C. Give yourself about 10-15 mins to get the car with the Valet parking. Very easy to find if you come in off the Champlain Bridge and Rte 10 as it turns into Rue University and as you enter the city the Hilton sign is right in front of you.	
May 24 2005 	Good Hotel Good Service	I selected this hotel for its location relative to a Trade Show I was attending for the week. The hotel was nice and the accommodations were fine. The service though, made a great impression on me. The staff was helpful and pleasant to deal with.I was upgraded to the executive floor which came with FREE High Speed Internet. There were no connection problems or special log in procedures to deal with. This was a very nice amenity.The location had very convenient access to both the subway system and railway station. The underground shopping and dining areas were also accessible. The Old Port area of the city was a quick cab ride or nice walk away. The famed Crescent Street is the same, but for safety sake, after dark travel should be by cab. Only a couple of things to keep in mind when selecting this hotel:1.PARKING-Parking anywhere of interest in this city is next to impossible; this goes for the hotel as well. There are 2 choices and neither are cheap. The Self Park is 4 to 6 levels underground with tight turns and tight spaces. There are no signs telling you that they only accept Visa or MasterCard- NO AMEX.2.Once you get to the lobby, there are no more elevators. You will have to manage your luggage up and down stairs, but the stairs are not that steep or high. I was able to do this with no problems with my 1 bag.There is a heated pool, which is nice in the middle of the city.Overall, it was a good hotel and I would stay here again for a Trade Show.	
Apr 12 2005	Better Hotel Then the Reviews Indicate	I was prepared for an average experience based on the past reviews of the Hilton Bonaventure. While we did receive the Priceline room (obstructed view) the check-in and desk service was fine. Our room was large with comfortable king-size bed and pillows. Small bathroom but nice amenities.Concierge was very helpful providing information on Montreal, public transportation and general directions.We did not use the outside pool though people were swimming in the heated pool though only 55 degrees.We also did not eat at any of the restaurants at the Hilton.If you do go, try Le P'tit Plateau restaurant in the Italian district. This small (BYO wine) 15 table restaurant serves southern French food in a casual atmosphere. The food is outstanding from appetizer to dessert.Overall, I would not hesitate to stay at the Hilton again.	
Dec 2 2004 	80's retro hotel	We recently just stayed at the Bonaventure last week - we were there for a sporting event that was being held in the adjacent Convention Center.The hotel is unique in that it is at the top of an office building. In it's hey day - it was probably awesome - they have not put any $$$ in this hotel in years. The first room we were given was a corner alcove suite - it had a bed - a coffee table and and a chair and a armoir with a TV that was impossible to see from the bed. It was stark and missing some furniture.We asked for another room - and were shown a bi-level suite - which in design and square footage was nice, however decor was right out of the 80's - no modern fixtures or amenities. We have stayed in nicer road side motels with nicer furnishings for a 1/3 of the price we were paying. Convenience for location close to casino and convention center - but that's all - the staff in the coffee shop - which is the lobby bar - are awful - you have to beg for service or speak fluent french for any kind of friendly service. The hotel charges are what you expect at Four Seasons or Ritz Carlton - which is fine if everything else goes along with it - they need to put lots of $$$ back into the hotel to really justify the price and 5 star rating. We'd look elsewhere for next year - and probably give up the convenience and take cabs to the convention centre.we'd say the hotel is a 3 star at best with 5 star prices.For what they are charging - they should be seriously kissing up and providing service - drop the attitude!	
Oct 23 2004	avoid at all cost	Worst hotel we have ever stayed at. We were put in a smoking room despite our booking clearly read non-smoking. Upon arrival we even double-checked at the front desk and were assured that the room was indeed non-smoking which turned out not to be the case. The staff is unfriendly and not up to the job. The breakfast had a very small selection of choiches, one of them cooked (not fried) bacon. Stay away and avoid at all cost. There are many much better hotels in Montreal with better locations at the same price.	
Sep 30 2004	Will return for sure	My husband and I and one other couple stayed at the Hilton for four nights (9/19 - 9/23) and could not have been more delighted with this hotel. The staff were wonderful and went out of their way to see that we were looked after. The rooms were very clean and were made up while we were having breakfast. Unfortunately the executive lounge was being remodelled but we were well compensated for it. The gardens were beautiful and well kept. It was hard to belive that we were 18 floors up!! We would certainly stay there again if and when we return to Montreal.	
Sep 1 2004	nice hotel	Nice hotel staff could not have been nicer or more helpful. Room was a little small and could use a decor update, but was clean. The pool and public areas were nice and were clean. We were lucky and had a room away from the construction noise but can see how it would be very disruptive. Would stay here again.	
Aug 30 2004	Bonaventure does not deserve 5* rating	We recently stayed at the Bonaventure for 7 days. I would not consider the Hotel Bonaventure a 5 Star hotel by any means. When we arrived, they would not accept my Hilton Platinum number. Why I do not know. This is the first hotel to refuse a Platinum card. I requested a non smoking room with a short walking distance, preferably an ADS room. Our first room was at the very end of the hotel, a walk of approximately ¾ mile. Our second room was changed to the front of the hotel. There was construction going on in the bulling below. Which we were not informed about when I called the hotel a few days earlier. Our room was above the jack hammering. This was unacceptable. I wanted a change but had to wait until the next day. The Jack hammering started at 10 am lasted until 9 pm. Since we went to the Casino, we came in rather late. We really wanted to sleep. Oh well! Got a room change the next day, this room was acceptable, but dimly lighted, the TV went in and out, and the maid service did not leave any wash clothes. I inquired about that, and the guest information told me that they were short on wash clothes, so it was a hit or miss distribution. I also found the front desk to be rather rude. We did not have a do not disturb sign in the room. I called for one. Did not seem to matter. The do not disturb sign was placed on the door, but we were awakened by a knock at 8 am. So much for sleep. The next afternoon my husband was using the bathroom facilities, and in marches the maid, without knocking. Thank goodness, he had the bathroom door partially closed. Be aware that the breakfast served at the hotel is $40.00 CAD which you do not know until you get the bill. I think that is extremely overpriced. In addition, they are not very helpful with directions. All they ever say is take a taxi. We found out that there is a free Casino bus at night through someone on a tour, not through the hotel. Gray Line tours are great. Make sure you take the all day tour to Quebec City. It is worth the price. Go to Notre Dame Basilica and pay the price for admission. Save the ticket, it will be honored at other times if you want to return. If you happen to be there, on a Sunday from 2-4, the organ is playing and it is exceptional. Oh, the Casino gives the best exchange rates. By the way, we did win, but gave it all back. The important thing is we had fun. We were also quite surprised about the general cost of meals. We ate at Jacques Cartier one night 2 burgers, 2 fries, 2 ice-tea were $39.19 CAD. If I were to do it over again I would stay in the quaint Quebec City, with lots of shops, places to eat and attractions. I would go to Montreal as a day trip.	
Aug 30 2004	Pleasant Stay at the Hilton	My family stayed here Aug 17 through 21. The front desk staff was friendly. We had a lovely room. Very clean. The buffet breakfast was wonderful. (Nice staff) The kids enjoyed the gardens and the pool. It is a perfect hotel for families with children. The concierge was right on in her recommendations of restaurants for families (ranging from quick bites to elegant family-friendly spots.) The location is convenient to the metro and for walking to the Downtown and even old Montreal. Warning: There is construction noise most evenings from about 5 pm until 8:45pm. It didn't effect our stay because we were out for dinner at that time. Overall, a nice stay.	
Aug 23 2004	Well located helpful hotel	I stayed Thursday 19 to Sunday 22 August 2004. The hotel has a wide drive in from Gauchetiere (street) and splendid entrance leading immediately to lifts to the top two floors of the skyscraper. Reaching the hotel from the bus terminal or train station (both serve Dorval Airport) is easy as the hotel is linked to Montreal's extensive underground walkway system. My HH Honors card gave me an upgrade so my room 1338 may have been better than average. It had a huge bed, desk, armchairs and was generally well equipped. Bathroom was on the small size, as the door opening inwards almost touched the WC. Everything was spotless for my arrival and during my stay. Reception staff were friendly and helpful with answering several questions. There is an outdoor heated pool about 15 metres long open from 06.30 every morning. Business Centre closed at weekends: nearest internet access is coin machines in railway station or at Chapters Bookshop. I had one dinner in hotel. A restaurant is closed for refurbishment. The kitchens were under pressure due to a wedding reception and though the service was again friendly, I would rate the food as average only. Overall I would certainly stay again for the hotel's location, friendliness and outdoor pool.	
Aug 11 2004	May not come back!	I recently spent 4 days at the Hilton Bonaventure. The hotel was OK. It did not deserve the 5star rating granted by some websites. The rooms could use some upgrades. The Executive rooms were not any better than the regular rooms. Compared to the Hilton Millenium in New York or the Hilton in Beijing, Hilton Bonaventure was like a Motel 6. The front desk staffs were rude at times. The location is pretty good though. The Executive lounge was closed when I was there. It was supposed to be re-opened during my stay but got indefinitely delayed.	
Aug 7 2004	The room could use some updating	The room I had was small, but had a great view. Your on top of a high-rise directly over train tracks, but no noise. The lighting in the room was really bad, made the rooms decor look worse than it was. The room service was very good. The front desk service was not.It's also rather hard to find, the outside of the building has no big Hilton sign or anything. Just a tiny placard by the front gate. Also, when I was there the 1st floor area was under construction, and the signs to the actual hotel lobby were misleading.	
Jul 26 2004	Hate the service!	We went there 4th of July weekend. I chose Hilton because of its reputation and most importantly it had an outdoor pool. It was definitely an unpleasant experience for us. The receptionist was very unpolite and unhelpful, the room was extremely noisy and after the first night I asked them to change it, at least they were fine with it. The hotel was extremely crowded, probably because of the festival. It was impossible to go into the pool, because of the families with kids (tons of them), they also had a dining area right next to the pool which made the pool area extremely crowded and noisy. Needless to say I had no fun at all. Plus the check out person was really unprofessional and I had to report her. The manager was responsive though. I had one of my worst vacations in a 5 star hotel. The service we received was definitely not even 1 star. I would never go there again.	
Jul 17 2004	Great hotel	Beautiful hotel. Grounds were well kept. Trees and waterfalls give you a feeling you're anyplace but on top of a building in Montreal. Only bad feature was just one restaurant was open and not necessarily at convenient times. My husband is diabetic and we could not find anything open in the immediate vicinity on a Saturday late afternoon. The staff overall were wonderful - except in the restaurant. They could use some &quot;friendly&quot; training.	
Jul 14 2004	Great Weekend at the Hilton	I arranged a trip for 2 couples to go to Montreal for the Canada Day weekend. The jazz festival was on and we had a wonderful time. I have stayed at the Montreal Bonaventure Hilton Hotel many times before and it has never failed to please. Both rooms were clean and quiet. the staff were very friendly, helpful and professional. I would definitely stay here again.	
Jul 12 2004	Nice hotel in a great location	We really liked this hotel, although there were some minor problems with our reservation. However, they quickly resolved them to our satisifaction. Everyone was very friendly and went out of their way to be helpful. The location was great and the pool was really nice. We didn't notice the construction noise that the previous reviewer mentioned.	
Jul 10 2004	Nice 	We booked thru Priceline and were happy to see that we got a 4* Hilton in a good location. The Hilton is in a very convenient part of downtown with nice ammenities. We didn't use the pool, but it looked great. The room was large, bathroom upscale, and the mini bar was big enough to store some bottled water we'd bought during the day.  One BIG downside was the drilling/pounding noise that went on each day when we were in the room from about 6-8pm. After walking for many hours, I was looking forward to some quiet time before heading out for the evening. No chance. When I called the front desk to inquire, they said it was construction going on 17 floors down, that it affected all the rooms of the hotel, and that the construction permit allows them to go until 9pm --which it did each day, giving me quite a headache. The hotel is very nice, but you may want to ask about the status of the construction.	
Jun 30 2004	Hilton Bonaventure was good	The Hilton Bonaventure was a very nice hotel. The management was very friendly, and best of all, we had very nice weather. The hotel was NOT in a &quot;seedy&quot; area, but in the Metro underneath the hotel, a bunch of beggars hung out there. The hotel was not completely Non-Smoking, so some parts smelled bad. The Hilton does offer Non-Smoking rooms, so we took advantage of that. The room service was ok, but they really don't care about taking your plates back to the kitchen to get washed, (If you had room service.) Our plates sat outside our room for two days with caked on food. After talking to the front desk about it several times, nothing happened. The maid was the one who actually called the room service personel to pick it up. The bathroom is very clean and has a wide variety of bathing oils, etc. The shower head is a Grohe, (sp?) and had many nice settings. A nice touch that I LOVED, was that the TV speakers are hooked up to the bathroom too, and you don't have to miss your favorite show's audio. The beds are comfortable, and all of the lights are florescent, so they are energy efficient, and very bright. The only bad thing about the room though, was we had to ask to get the heat turned on, even though it was summer (The AC was on for who knows how long?) The Hilton has a &quot;HotSpot&quot; by the pool area, so if you bring your wireless router card, you are in luck, and you have free internet. If you don't, you can get High Speed Internet for $10.00 a day, and like $5.00 for dial up. The rates may change though, but that is what my rates were. All in all, come to the Hilton Bonaventure, you will have a good time!!!	
Apr 23 2004	Hard to categorize		
Feb 20 2004	Can't be beat!		
Oct 30 2003	Unimpressive		
Oct 20 2003	No guarantee of room		
Sep 19 2003	Hilton Bonaventure A Fine Hotel		
May 26 2003	book the Hilton		
May 26 2003	Les Remparts Parc du Riviere Nord other stuff we loved...		
Jan 23 2003	Enjoyed the Bonaventure		
Oct 20 2002	Bonaventure is Best Bet		
May 25 2002	Business style hotel		
Oct 19 2009 	Expérience très agréable		
Sep 18 2009 	Hotel importante pero bastante gastado		
Sep 10 2009 	Genial		
Aug 26 2009 	Spettacolo		
Jul 26 2009 	Gerne wieder		
