	Fantastic Old Port	We stayed at the Auberge for 3 nights in November. It was a great experience from start to finish. Breakfast was included in the room rate and was sufficient enough to get us started for the day.We were in a room on the 5th floor, the room was great. The only comments are that the in room &quot;jacuzzi&quot; was not much more than a small bath (but the shower is fine!).It was a great base for our stay in Montreal. The Old Port can be a bit touristy, but it's easy enough to find good restaurants for dinner.	
Jul 10 2005	Think twice before staying here!	My family and I stayed at the Auberge for 4 nights beginning June 30th, it was our second time at the hotel since 2 years ago. The services and standards of the hotel have dropped tremendously. Quite disappointing. From the moment of our arrival, the hotels services were in disarray. First, they did not have any bellman to help us with our luggage, we were a family of 4 and were staying in one of their so-called lofts. There were no elevators yet were promised a loft on the first floor. To our surprise, we were 3 floors up! If we would have known, we would never have stayed here. The loft was missing towels and the air condition was not working. Management told us we would have to wait till the next day before it was fixed, it was fixed the day before our departure! For the first 2 days, no one came to clean the room so I made a complaint and the general manager came to make my bed! This should not happen in a good hotel.The staff at the hotel were friendly yet seemed as if they did not want to be there. I asked for some activities for my girls and was told always the same thing....the jazz festival. It was nice but not everyday!!! Recommendations for restaurants were so-so. The staff always chose restaurants that belong to the same owners..as if trained to repeat the same thing. We decided to chose our own restaurants because Montreal is blessed with great restaurants. The staff lacked knowledgable recommendations.We ate at Les Remparts one evening, food was excellent but service was terrible. The staff seemed as if they were all on their first day! Breakfast was very good and morning staff very friendly.All in all, it was not a memorable stay in Montreal. Would I stay there again...NO. Would I recommend it to a friend...sure if I want my friend to waste his money. There are many good hotels in Montreal and this one seems to be lowering their standards.	
Jul 1 2005	Great for Couples but not for small children...	The hotel and rooms are beautiful and it would be a lovely place to stay for a couple but is not to be recommended for travellers with an infant or child.The steps leading up to the hotel are steep and assistance is required with a pushchair. The staff there have no experience of children and no facilities, I asked for a highchair and it only materialised once, so it was a bit of a struggle.We asked for advice on where to go and activities with an infant but staff were clueless. We checked out a day early in the end.Food was average and expensive and wine was astronomical.	
Jun 28 2005	Comfortable historic hotel in Montreal's Old Port	I stayed at Auberge du Vieux Port for four nights over Memorial Day. The hotel is in a lovely stone historical building that was once a saddle company. It overlooks the cobblestone, Rue de la Commune, which is the main drag of the Old Port and is packed with tourists day and night. We were on the third floor and the noise was quite loud, particularly in early afternoon when tour buses would idle outside the hotel waiting for their passengers. Our room had two sets of huge French windows, and while we could have shut them to dampen the noise, the weather was beautiful and it seemed a shame not to have the windows opened wide. The room was of regular size--not as large as I would have liked given the price, but the bathroom was massive and included a two person whirlpool tub and seperate shower. The complementary toiletries were the nicest I've seen and were restocked daily. The complementary breakfast was to die for---melt in your mouth fresh pastries along with a hot item from the menu (the crepes were divine!) and the best hotel coffee I have ever had. Dinner at Les Ramparts in the hotel was a bit stuffy and expensive with somewhat spotty service. There are much less expensive restaurants in the area with better service and comparable quality of food. The hotel staff was very helpful and although English was sometimes an issue, they were never haughty or rude as some other Quebecoix we met during our stay.	
May 12 2005	What a wonderful place!	We loved this hotel. Stayed in a room with a waterfront view (a must) where the tall windows open, letting in fresh air and allowing you to sit at the window, put your feet on the low sill, sip wine, listen to music on the in-room CD, and watch the water and the activity in the waterfront park below. The food in the hotel's restaurant, Les Ramparts, was excellent, and all the hotel staff were friendly and helpful. Everything in Old Montreal is within walking distance. You can't go wrong here. Enjoy!	
May 6 2005	Read me I won't disappoint	I recently stayed at the Auberge du Viex Port with my wife and absolutely adored it. Apart from some noise of the construction of the new bar and lounge, you don't need to worry about that because it was almost finished on our departure, the weekend was perfect! I made our rsvp only a week before and was treated like an old friend by the concierge. I explained to him about my idea for a romantic getaway, and he explained all rates and types of rooms. Because of short notice, I had to switch rooms during our stay. As the concierge explained, not much of a hassle, we prepared our bags in the morning, the valets took our bags and moved everything while we were out. We just picked up the key at the reception when we got back. It gave us a chance to experience both views of the hotel! They both have their own beauty. Anyways, check in was informative and efficient, and when we entered the room, my wife was shocked to see a flower arrangemnet. (concierge's idea!) She fell in love again! That evening, supper was downstairs in their french restaurant, Magnifique! It was wonderful! The concierge also arranged for a horse drawn carriage to pick us up after supper and take a tour of the old city. It was cold!!! But romantic. We had smoked salmon for breakfast, (great menu) included in the rate of the room.Overall the weekend was fabulos, from the service to the room, Thank you Eric, Russ, Hugo,&amp; Brian. Reccommendations 10 x YES!	
Apr 28 2005	Very charming	I stayed here the for 3 nights in one of the queen rooms and it was very charming. The building is old but it has been restored very nicely and keeps its character. The rooms are big, with wood floors and high ceilings and I love how the walls have some exposed brick. You feel like you are in the 1800s when you are staying here. Aside from the rooms, the hotel is rather small - especially the lobby and the service is not great, but it is fine. There is a nice view from the rooftop bar (but I understand it is only open seasonally). The location is fantastic, right on the main street in the Old Port area of Montreal. You can walk to many restaurants and along the river or just stroll around the Old Town. I actually proposed to my wife just outside the hotel. It was very romantic and she loved it. The only drawback is you have to walk several blocks to get to the subway or take a cab to get to downtown Montreal.	
Mar 14 2005	Auberge du Vieux-Port - a very nice place to stay!	Stayed at the Auberge for a couple of days at the start of March on the strength of previous Trip Advisor reviews. Must say I wasn't disappointed. The staff were really friendly and helpful, the room was spacious and we loved the huge bed, wooden floorboards, exposed bricks and beams. The wine and cheese each evening were a nice touch, the breakfast was just right. Perfectly located for exploring the old town and only 10 minutes walk to the metro station. Would recommend a stay.	
Feb 14 2005	Phenomenal Rooms romance romance and romance!	My wife and I drove up from NJ to spend Valentines weekend at the Auberge du Vieux-Port. I found the hotel online and thought I'd take a chance. The hotel's strength is its rooms. We had a king room facing the river and it was absolutely amazing. The room features: a ceiling that is a good 15 or 20ft high w/ huge exposed beams, enormous floor to ceiling windows, and gorgeous wood trim around everything. The bathroom has a stand up shower as well as a large Jacuzzi tub. It really was a perfect room for a romantic weekend. The staff at the Auberge du Vieux-Port was great - very friendly and helpful and in once instance even refused a well-earned tip. They own a few other hotels and restaurants in the area and have an obvious incentive to send you to their other properties when you ask for restaurant advice - just something to keep in mind. Their other properties seemed wonderful as well. You can walk to anything in &quot;Old Montreal&quot;. A taxi downtown will take less than 5 minutes and will cost maybe $8. There are dozens of shops and restaurants within a block or two of the hotel. There is also a fantastic outdoor ice skating rink about 100 yards away. Lastly, there is a restaurant in the basement called something like &quot;Les Remparts&quot; - we bought a package with the hotel that included a 5 course meal at Les Remparts. Wow! We were blown away. It was phenomenal. If you have romance in mind, you will love the Auberge du Vieux-Port. 	
Jan 24 2005	Wonderful but not great location	The hotel, staff, ambience are absolutely wonderful. Fantastic full breakfast. Well worth staying here, unless you are planning to do a lot downtown and use the Metro. The old city is beautiful, lots of great cafes and restaurants, but few shops that are not complete tourist traps. Closest Metro is a 10 minute walk straight uphill. I spent most of the weekend downtown at museums etc. and found the hotel was not conveniently located.	
Dec 31 2004	Excellent Hotel	My wife and I stayed in a street facing room on a top floor overlooking the river. Beautifully appointed room with wireless internet. One of the most confortable beds I have experienced. The staff is extremly conciencious, and the all day car valet for $18 was a real plus (unlimited in and out). The hotels' location makes it very easy to venture out and explore all of Montreal or jump into the car to see the country. Having the restaurant in the basement of hotel made for a convenient and tasteful dining experience. The hotel offers a wine/cheese tasting at 4pm which seemed to work relative to the daily schedule. Overall it was a very pleaseant stay.	
Nov 28 2004	Very good - if you want to stay in Old Montreal	I stayed in one of the lofts at this hotel which provide the space and privacy of your own loft, with the back up of a full service hotel. But be warned, the lofts are in separate buildings to the hotel, and there are no lifts so you will have to walk up a few flights of stairs to get to your loft.There were some minor details in the loft such as a chipped sink and broken desk drawers that the hotel should have identified and dealt with itself. The website also said there would be a DVD player in the room, but there wasn't.Check-in was very efficient. The staff were friendly, but professional. Breakfast was one of the best I've experienced in a hotel, and I wish British hotels (particularly London business hotels) would learn from this.Ultimately, the decision to stay here depends on whether you want to be in Old Montreal. It is an area for tourists rather than locals and you will either find the area very appealing (think French town) or want to avoid the area entirely. For me it was safe and secure and allowed us to walk around the area first thing in the morning before the area becomes very busy with tourists.	
Nov 13 2004	Outstanding	Our two night here with a wonderful Haloween parade were all we wanted and expected. We would return and advise all of our friends to stay a this beautiful hotel with an excellent resturant, and outstand services	
Nov 13 2004	Excellent stay at Auberge du Vieux-Port!	A charming hotel, the Auberge du Vieux Port typifies the warm hospitality you would expect in a small hotel. It was intimate yet private, with first class service and an abundance of amenities. Our tastefully appointed room was spacious, comfy, the perfect place to relax after a long day of sightseeing and shopping. The hotel also houses the Ramparts, one of the best French restos in the town. A true jewel, I highly recommend the hotel to everyone who likes small places.	
Oct 19 2004	Loves Auberge due Vieux-Port Montreal	We spent 3 nights beginning of Oct. at Auberge du Vieux-Port and upon our arrival we knew we chose the right place. They met our taxi and took our bags into this small hotel facing the St. Lawrence, then invited us to go down to their restaurant Ramparts (downstairs) to partake of their evening complimentary wine and cheese for guests (from 5-6 each evening). We needed this..after our long day of travel. While relaxing with our wine, our bags were taken to our room and we 'checked in' after our wine. The rooms (we started first night in a 'loft' room as we arrived on a Sat. and the hotel was full), then moved to the hotel for the next 2 nights. Both rooms were very nice, but the loft wasn't for us ... too many stairs and we like to be situated in the hotel to really enjoy the amenities more easily. The loft, however, would be great for a family as it had a small kitchen and a very large sitting/dining area. The breakfasts were very good -- small buffet of baked goods, fruit, juices, coffee, cereal, plus you can in addition order from the menu. Robes and slippers, stocked bar and old world style furnishings made the rooms/stay so pleasant. The staff were extremely friendly and helpful. We mainly dealt with David at check-in and when changing rooms....and he was very nice and helpful. They volunteered to make any reservations we wanted. We highly recommend this hotel and especially Old Montreal -- if you want a relaxing, romantic and charming experience - surrounded by good restaurants!! (Bonaparts, Pavarotti are a couple. Didn't get a chance to try Ramparts which is in this hotel). We did alot of walking downtown Monreal on St. Catherines and were glad we didn't choose a hotel there -- location to many restaurants good, but the noise.....rap music playing very loudly -- not for us!!	
Oct 17 2004	fabulous quaint friendly staff	we loved our Oct 3, 3 nite stay, get the rooms that overlook the river, high floor, quieter. large rooms, free high speed wireless internet, tasty free breakfast served in their below ground cellar where they also host a daily free wine/cheese hour. attentive staff, and easy walking distance to all sights, we enjoyed tasty Indian and Polish restaurants nearby, with many choices. loved the Botanical Gardens too, but you'll need car. We'd go back...	
Oct 7 2004	Hotel with a 'wow' factor	We spent three nights at the Auberge in September 04. As an old warehouse, the building may look a bit uninspiring from the outside but the interior makes up with bags of character in abundance. The 1st floor room, with exposed brick walls and quality furnishings was quite special. A really comfortable bed fixed our jet lag. Service was excellent and the CD player with a good choice of CD's was a nice touch. Breakfast in Les Remparts was good and wholesome and always served with a smile.The Auberge is well situated in the old town and easy to find, even for us off a plane and the airport shuttle, followed by a metro and a short walk. There are loads of excellent restaurants close by (restaurant du vieux port is recommended)It's hard to criticise the Auberge - and it does not affect the excellent review- but the noise early in the morning from the cobbled street may worry some (we lived with it because the quality of the room was so good). Someone also commented that you couldn't see out of the dirty windows - that was solved by opening the huge windows to give views of the port.All the same, this place is excellent and recommended.	
Aug 26 2004	Three Night Stay in August	My wife and I stayed at the Auberge the first week of August based on the reviews here and the location. We were put in one of the larger rooms on the 5th floor (towards the port) the first night and in one of the rooms on the other side, 5th floor, the next two nights. The rooms were both large and very nice and the views on both sides were nice as well. I sleep soundly so no problems with noise, plus we stayed up late enjoying the city. The beds were very comfy.I do recommend taking one of the horse carriage tours. Our guide pointed out a lot of the sites to see, cool bars, and good restaurants. Unfortunately, we didn't do that until the last night.The location is great, right in the middle of the old city with lots of things to see and do. A short taxi ride gets you to other sites in the city. We had breakfast each morning which was included in the room. Excellent breakfast. Service was good except one morning when one of the help didn't make it to work.Montreal is a great city; three nights is all you need. It's not Paris, but it's less than 1 hour away from NYC.Definitely would recommend the Auberge.	
Aug 4 2004	Picture Perfect	We stayed at the Auberge du Vieux-Port for 3 nights at the end of July and loved it. Our room was on the fifth floor of the main building, and we had no noise problems at all. The staff was always helpful and nice, the food was excellent (try the salads on the Terrasse, if you don't mind the wind), and the room was large and well appointed. Nothing beats a nice jacuzzi after a strenous day dining in cafes and strolling. Overall, a wonderful stay with no compalints. I'd stay there again without hesitation, though from some of the other comments on the site, I'd recommend an upper floor in the main building, like we had. You won't be disappointed.	
Jul 31 2004	Ditto to the Atlanta review!!	We stayed for three nights in July,2004 and had virtually the same feelings as the Atanta reviewer. We were on a lower floor(2) so the noise was a little more apparent, but not bothersome at all. The serbice throughout the hotel was excellent, with special mention to Matthew,DavidChristine, Kyle and Marie.P.s For those non-walkers such as us, the valet parking is well worth the additional expense,	
Jul 29 2004	Very nice but noisy	We stayed in the lofts, which are located about 100 yards from the main hotel. It was huge! Over 1000 sq feet. The outer room had a fireplace and TV, full kitchen with brand new equipment and lovely dining area. The bedroom had a comfortable king- sized bed and a large jacuzzi. The bath was slightly smaller, but had a huge modern shower.There were no elevators, so we had to walk up 3 flights of stairs, but it helped burn off those extra calories from desserts.The staff was very friendly and helpful except for one of the concierge members, who seemed not to know much of the city apart from the &quot;usual&quot; spots. The maid service was good. The breakfasts at the hotel each morning were very nice and there was complimentary wine and cheese each afternoon at 5.My only complaint was the noise. Each morning (including the weekend) there was construction noise, garbage collectors, etc outside. The windows must have been very thin because 3 floors up it was enough to awaken you. Also the ceiling transmitted the walking noises from the people above you (the floors are all hardwood without carpetting)Overall, we'd recommend the Auberge, but if the were to do something about the noise, I'd return in a heart beat.	
Jul 24 2004	Wonderful!	We stayed at the Auberge du Vieux-Port for five nights in July 2004. In a word, it is EXCELLENT! We checked in near midnight and were greeted with a wonderful and charming evening concierge. He served us a welcoming glass of wine and the helped us to our room.Our room was on the top floor overlooking the port! Our room was lovely, maybe French Provincial, and not at all overdone! The hardwood floors were authentic and the room had a slight slope to it, which added to the charm. Our sleigh bed was wonderful too! Two walls were completely brick, and were real building walls. The bathroom came with deluxe soaps, bath salts, etc., and two terry robes and two pairs of slippers. We had generous windows, which opened, with which to look out at the port and hear the sounds outside. When these double paned windows were closed, the room was almost soundproof. Although the terrace restaurant was above us, we never heard it. Neither did we hear the elevator, which was adjacent to our room as well.On Saturday evening, we went up to the terrace and watched fireworks, with matching classical music provided by the auberge. The restaurant in which we ate breakfast is a real treat! It serves both a continental and full breakfast. Some of the continental breakfast offerings were croissants, yogurts, cheeses, nectars and juices, fresh fruits, chocolate pastries, and gourmet granolas. Some of the hot breakfast offerings were French toast and crepes served with real Canadian maple syrup, omelets, Canadian smoked salmon, deep fried bacon, gourmet sausages, wonderful ham, delicious fluffy toast, and seasoned potatoes. Everything was fresh and delicious, hot and cold. Although the auberge is lovely, if you must go outside, the auberge is located in the center of Montreal’s old port (vieux-port). The auberge is convenient to all of the old city, including Notre Dame du Montreal, and you can even walk to downtown within 20 minutes.If you choose to stay in the auberge the whole time, that is fine too. The rooms have a high quality stereo (CD and radio), TV and free wireless Internet. The staff was always courteous and frequently engaged us in conversation. We highly recommend the Auberge du Vieux-Port in Montreal.	
Jul 19 2004	wonderful two-night stay	The main part of the hotel is gorgeous, and our room was large and airy...loved the hardwood floors, stone walls, and jacuzzi! There is some noise from the busy streets below, but we were there mid-week and were not bothered in the least. The hotel staff were unpretentious and friendly, the restaurant provides delicious meals... my partner and I were overall delighted! Highly recommended.	
Jul 15 2004	Excellent	The Auberge is an excellent small hotel,with a very European feel.Rooms are tastefully furnished, windows open to let in street sounds if you like, attentive service, and complimentary full breakfast .	
Jul 13 2004	Excellent Hotel...	I just returned from an excellent stay at this wonderful hotel. &quot;Auberge&quot; means &quot;country inn&quot; in french and that is the feel you'll get when staying here ... even though the hotel is centrally located in the tourist friendly Old Port area of Montreal between cobblestone streets. O.K., so here are my observations. The room was excellent. Very comfortable beds and pillows. The hardwood floor was a nice touch and the room was very clean. In fact, we arrived back to our room early one day and found the maid wet mopping the floor. We also enjoyed the jacuzzi bath. Our room faced Rue St. Paul in the back of the hotel, fourth floor (I requested a quiet room with two beds). For the most part it was quiet with the exception of our first night (a Saturday) ... some club/restaurant, or maybe it was a band at the nearby plaza, was playing music until late (the bars close at 3 a.m.). The hotel is VERY centrally located to everything, including the Metro. No car is necessary to see all of Montreal. Also, the staff were excellent ... always very courteous, helpful, and friendly. And the resturant in the cellar is also excellent. We particularly enjoyed the breakfasts each morning (included in the price) and the dinner we had there was truly wonderful. The bottom line is that if you're visiting Montreal as a tourist destination, stay at this hotel! You will not be disappointed.	
Jul 10 2004	Run! Don't Walk-- Away from this hotel!!!	It may sound romantic but be advised that a stay in this hotel is anything but....unless you like streets jammed shoulder to shoulder with bad b.o. smelling tourists, souvenir shops, overpriced &amp; LOUSY restaurants that prey upon tourists, construction noise, freight train at 4am. hotel lofts are many stairs up, dirty&amp;dusty, miserable maid service, and cockroaches. plus, no amenities. need i say more?	
Jul 7 2004	Hell in auberge lofts and old Montreal!!!!	we had not been to montreal for over a decade and were looking forward to our trip this summer (2004). were we ever disappointed!!!! stay away from the lofts offered by the hotel, even though they look AND SOUND cool in the online photos and in the pitch the hotel will give you when you call. more importantly, DO NOT stay in old montreal -- unless you like tee shirt and souvenir shops and enjoy being surrounded by &quot;millions&quot; of tourists (mainly blue collar canadian familes and their kids), the freight train that rolls through in the predawn hours, bums sleeping on all the park benches, beggars, and the deafening sound of construction. Worse still are the sucker bait restaurants in Old Montreal that offer EXPENSIVE sub par and uninteresting meals -- steak and fish etc. A decade or so ago Old Montreal made for an interesting half-day stroll. but in that decade, the properties have been bought up by shrewd entrepreneurs (greeks) and turned into a Times square of sorts. it will become the vacation from hell if you stay in the hotel's lofts. you must walk up flights of stairs -- tenement-style...maid service is lousy, rooms are dusty, lip imprints on glasses, roaches in the kitchen. They say wireless internet but that's only in the main hotel, not the lofts. Everyone working for the hotel uses the stupid cliche 'no problem&quot; whenever you ask and then BEG for services you normally expect when you stay in a hotel that charges these premium rates. we're shocked by the rave reviews for this hotel and wonder whether management is using shills...because the place is a disaster. montreal is a walking town, which is wonderful. but the last thing you need at the end of the day are several flights of stairs facing you. moreover, by the end of the day you want great restaurants a reasonable walking or cab distance away. this does NOT exist here. unless you want the environment of low class carnival -- old montreal, and horrible accomodations (the lofts) do yourself a favor and stay in a luxury high-rise hotel with all the ameneties close to the higher-class down town shopping areas (sherbrooke, for example) and the better restaurants.ps -- if you are driving from the u.s. DO NOT travel on a canadian or u.s. holiday...we had to wait in a 10 mile back up of cars for THREE HOURS!!! to get through canadian customs.	
Jul 5 2004	Honeymoon Spot	We stayed here for a week on our honeymoon.After looking at several inns on the web we settled on this one. We were not disappointed. The room was very well appointed and clean. The bathroom - with shower and jacuzzi, was a romantic and welcome touch afer long days on walking tours. Great to soak and relax. The breakfasts were excellent and the wine and cheese a nice way to end the day and whet your appetite for dinner out. The staff was friendly and helpful. The room had a CD player, iron/ironing board,TV and mini-fridge too. The huge terry robes were a nice touch.Yes, the rooms can be noisey (at least on the Rue St. Paul side) in the morning w/ deliveries. You're in the city - get over it.However, you can sit in the window seat and listen to street muscians, watch people go by and see the night city lights in this vibrant section of Montreal. Many restaurants are within waking distance, as is the Pavillion Jacque Cartier and the water front. We were there during Celefete and for Canada Day - the beginnning of the Montreal Jazz Festival. Lots to do and see. The inn is close to two metro stations as well. Next time we drive. We can not recommend taking Amtrak. Looking for a romantic pace to stay for your honeymoon? We suggest Auberge du Vieux Port.	
Jun 1 2004	The people location food.....heaven!	Forget the rumors of rude and unfriendly, our long weekend at the Auberge (May 27-30) was wonderful. From the moment the taxi pulled up, we were treated like royalty. Matthew, &amp; Doug (?) were wonderful. The street noise is there, but you wouldn't give up the sunrise over the river for the quiet. Breakfast was huge and delicious--Doris makes sure of that. Old Montreal is full of life and ambience. Truly a wonderful experience. When was the last or first time you bought the pillows when you left? 	
May 25 2004	Most Romantic Stay	I visited Auberge du Vieux-Port in May of 2004. It was a wonderful experience. It’s great to sit at the window with a glass of Champaign and watch people waking in the Old Montreal. Service was exceptional and wine and cheese afternoon break reminded me of Paris. The oversized windows just gave an additional charm to the rustic feeling of the room.	
Mar 5 2004	It was great !	My wife and I stayed at the Auberge du vieux-port for 4 nights. We found the staff to be very friendly and attentive and the breakfasts were great. We also enjoyed the afternoon wine and cheese tastings. We found the room to be very good, the bed was comfortable, the bathroom modern and clean. We had some noise from the street outside (our room faced the street and the roads are cobblestone) but we slept wonderfully. I don't know why the complaint about the lobby in the hotel being small ?? How much time are you going to spend in the lobby?? We also did not get any smell of burnt onions or any other foods from the restaurant. I found the hotel to be very central in Old Montreal, we walked almost everywhere and there is a metro station about 3 blocks away. We had a wonderful dinner at the Mondvie, got a table right by the band and next to a window (without even asking for it). The food was delicious and the band was great. When we go back to Montreal we will stay at the Vieux-port again.	
Dec 31 2003	Run Don't Walk To This Charming Hotel	My husband and I took advantage of Auberge du Vieux-Port Jazz weekend. What a fabulous take this is. The rooms are charming, the staff the most pleasant we have encountered in a long time, the breakfasts (included) sumptuous. But not to be missed is dinner at their famous restaurant - Les Remparts - and dinner and an evening of jazz at their jazz restaurant Modavie. The location is perfect for exploring art galleries, museums, boutiques - all on a winter's day. And to get oriented for those who have never been to this charming area of Montreal, take a horse-drawn carriage ride around the neighborhood. Make your reservations now for a fabulous weekend get-away.	
Nov 29 2003	Simply Marvellous!	Charming, clean and spacious room with antique looking furniture yet equipped with all modern amenities (CD player, safe, jacuzzi, Frette towels and robes...) Staff is very attentive and &quot;real&quot;. Dinner at the restaurant is a must. This little gem lives up to its reputation. Woudn't stay anywhere else in Montreal.	
Nov 22 2003	A Delicious Experience!	The Auberge is wonderful and the restaurant is exceptional-romantic and delicious! We had a wonderful time. Stay here.	
Sep 17 2003	Our experience was tres bien!	A recent visit to Montreal included a stay at this wonderfully warm and friendly establishment.We found the rooms to be comfortable, well furnished and quite beautiful, the views from the open floor to ceiling windows breath taking and the food at Les Ramparts exceptional.The accomodating and extremely friendly staff combined with everything else about this fine establishment, made our visit one to remember.We highly recommend a night at Auberge du Vieux-Port!T.L.	
Aug 15 2003	'a little gem in the heart of old Montreal'	A wonderful discovery in a delightful, vibrant location. Staff were very friendly and courteous at all times and offered helpful advice whenever we asked about local restaurants, etc. This is a small hotel with excellent accomodation and no pretentious staff. Bigggest bathroom and bedroom we had encountered throughout our three week holiday in Canada and we had been to Calgary, Rockies, Vancouver, and Quebec staying in 4/5 star hotels. (So great to have a separate and large shower at last and not one over the bath!) We were on the fifth floor overlooking St Paul's and there was a little noise but the lovely, very comfortable beds ensured a sound night's sleep. Breakfast was good and it was a nice touch to offer wine and cheese late afternoon - much appreciated after a long day out and before the evening stroll and meal. Small but interesting rooftop bar/cafe, with prompt service. Went to the restaurant one of the evenings and had a very pleasant meal with good service. Would definetly return and hopefully have a view of the river next time. Thanks for a memorable and very comfortable three nights!	
Jul 31 2003	A jewel of a hotel close to everything!	The Auberge du Vieux Port is a true jewel of a hotel in the heart of old Montreal and close to everything! I stayed there with my husband on our honeymoon in December in a great water view room with King Bed, double jacuzzi (and a huge bath), exposed brick walls, hardwiood floors, and a super sound system from the in-room CD player. Returned in March with sister and cousin and stayed in a back room with a rollaway. Room was darker and noisy when the bars closed around 3 am but we all loved the location. This was my third time and I will always stay there when I return to Montreal - summer or winter!	
Jul 20 2003	Romantic 	My family recently spent 3 nights at the auberge. We found the hotel to be charming and romantic. The decor was beautiful and the location was great for people who like to wander, window shop and eat at outdoor cafes. The lobby is a bit small (the lobby at the sister Hotel Nelligan is more impressive) but we found the staff to be geniunely helpful and caring. When we inquired about a particular popular restaurant that we had heard of, the desk clerk not only provided us with helpful infomation but she also offered to make our reservation. The room was huge and well appointed. Walking into the room for the first time, we found a modern JVC CD/radio playing classical music. Nice touch! The bathroom had a jacuzzi &amp; a shower and was stocked with a robe and slippers for each of us. There was a complimentary breakfast (buffet &amp; service) as well as afternoon wine &amp; cheese. The room tended to be noisy in the early morning because of deliveries being made at local businesses but overall we highly recommend the auberge without reservation.	
Jul 14 2003	So So Stay at the AUBERGE		
May 21 2003	Simply wonderfull		
May 6 2003	Good But....		
Apr 15 2003	Exceptional		
Feb 9 2003	Great Hotel in the Historical Center		
Feb 1 2003	Most charming hotel		
Nov 14 2002	A very nice old Inn		
Nov 2 2002	Excellent Inn		
Sep 28 2002	Wonderful Stay		
Sep 19 2001	What a great experience		
Oct 8 2009 	Bel hôtel de charme		
Jul 17 2009 	Idéalement situé et offrant tout le confort pour un séjour en famille mais très bruyant.		
