	Great location but that's pretty much it	Right in the middle of downtown, next to a metro station, I couldn't ask for a better location. However the room was nothing special. We had a king bed with pull out couch suite (with a small kitchen). There was nothing blatantly wrong, but it was the little things that showed that this hotel is not a luxury one. The appliances were dated but worked fine. The bathroom was tiny and in need of an update. There were a few little holes in our bedsheets. One power outlet was not working. The list goes on, but none of those things really had an impact on our stay. We did not have to deal with the staff much so I can't comment on their helpfulness.It's a convenient place in a great location for a good price. It worked for us, but don't stay there if you expect luxury	
Apr 24 2007 	Quick and Convenient	The Cantlie Suites was a decent hotel with a convenient location downtown. The room we stayed in was clean and had everything that you may need eg. iron, ironing board, microwave, bar fridge, sink etc. The kitchenette is not that big, so don't plan on cooking extravagant meals, but you can warm up leftovers. When we first arrived, the staff did not seem that welcoming, however, the one front desk lady was very nice and helpful to us afterwards. She recommended a place for us to eat and how to get to the convenient store and upon our return asked us how we enjoyed the restaurant. The one drawback that we found with the hotel is the surcharge for wireless internet. Both my brother and I brought our laptops and we both wanted to access the internet. However, in order for us to both access the internet we had to pay the surcharge of $10 twice. All in all we found the hotel convenient, comfortable, and at a very good price. We would recommend this hotel to others.	
Apr 11 2007 	Horrible! 	AWFUL! They screwed up on my booking the room was terrible and not to mention the staff were rude and unhelpful. The TV in our room wasnt working, the food in the resteraunt was pathetic and gross, the bathroom was never cleaned nor did they remove ANY mold from it, It was very tiny and the door didnt open all the way. They never picked up the recylceing so it sat there and stank up the whole room. They nevr helped me with my luggage as I was struggling with a baby. Instead of removing the money from our account with debit they credited the money into our account instead......which messed up our bank accounts. The door never worked and was a struggle to open it. The front desk staff where phoney and rude. I will NEVER stay there again and I strongly advise anyone else NOT to either.....they will quote you a price on the phone and charge you double when you arrive.What kind of hotel trys to throw a woman and her baby on the street in a middle of a snow storm at 130 in the morning because she dosnt have $2100 instead of the $908 that she was quoted? Pathetic!	
Jan 5 2007 	Nice stay.	Stayed at the Cantlie during the NYE weekend. Got a ridiculously cheap rate (US$85) through orbitz a few days before check-in. The rate was good for a queen bed with sofa bed room. The room itself was spacious and we were located on the 23rd floor. The elevators are &quot;european-ish&quot; small so being on a high floor had its advantages when we were checking out since we got on first and floors below us had to wait for another elevator.The staff was cordial and the concierge did try their best to help us out with scheduled NYE event tickets. We were way too late in the game so it really was our fault for not booking our first choice earlier. Nonetheless, they were ready and willing to help out. Can't mention about the parking because we ended up parking for free on the street right outside. (e.g. Saturday after 6pm is free, Sundays are free, and Monday was free because of New Years Day). Yes, you can hear the water running through the piping at times but it wasn't so bad. The room was clean, bathroom was clean, fridge was quiet and operational, and housekeeping was fine. For US$85/nt during NYE weekend, I cannot complain one bit.Why not give this a 5 star review? It is slightly dated and a renovation would be nice. Other that than, I would stay here again for a good rate since it is very close to Crescent, St. Catherines, and the Subway (Peel).	
Nov 11 2006 	Showing its Wear But You Couldn't get a Flop House for the Price in the U.S.!	We stayed in the two Queen bed mini suite in early November. This property is certainly showing its age, but it was a great deal in a great location! The room was very spacious by urban standards and the kitchenette was very useful. We had some minor problems: the TV remote wouldn't work and there were not enough towels. Each time, a call to the front desk resulted in a hotel employee at our door (on the 18th floor) in less than five minutes. In the case of the TV remote, it could not be fixed so the man brought up a new TV with functioning remote. The maid service was adequate and we had no problem with noise whatsoever. Beds were certainly softer than what we are used to, but we slept very well. We did not eat in the restaurant or order room service since there were so many good restaurants in the area. (N.B. the cab fare to the Plateau area of Montreal--North of Sherbrooke on St. Denis--will get you to great and inexpensive French restaurants and bistros). I read the reviews on Tripadvisor before booking and had some trepidation, but I was quite pleased with this hotel. I would encourage anyone to see what hotel you can book in New York for $300/night (I paid CAD$119 for my room); this comparison will show just how reasonable this hotel is. I would highly recommend it to families and travellers. The Ritz-Carlton is one block West for those who wish (and are willing to pay for) more luxurious digs.	
Oct 9 2006 	Good location lots of annoyances	Recent stay at Le Cantile revealed many truths about previous reviews posted here. Yes, there are some minor to severe annoyances that you must prepare for when staying at this hotel. First, the walls are so thin that you can hear the water pressure when one of your temporary neighbors decides to run the shower. However, this sound does provide some nice ambient noise to cover up other interesting sounds, including: other hotel guest slamming their room doors because all of the doors stick and difficult to close; the maids who incessantly knock on your door every 30 minutes beginning at 9 am on the weekends; the old and rundown refrigerators in your room that rattle and hum all night long; and, how could I forget, the 3:30 am crank calls from a drunken group of high school students staying on a diffierent floor. Other annoyances include the fact that there is practically no parking available. If you drive an SUV, forget it, and prepare to pay upwards of $25CAD per night at a lot down the street. The elevators are nice and cozy, so you get to enjoy the sweet smell of the ladies parfum and whiskey that saturates many of the young American guests. Want A/C or fresh air in your room? Go outside, you are doomed to suffocate in a stuffy room with zero circulation. Other than that, I had a great time here. Got ridiculously bline here and the hotel met our purposes. Enjoy!	
Sep 16 2006 	Great choice	We recently booked this hotel online for a family vacation and it turned out to be a wonderful surprise. We booked an executive suite for for us and one child and another room for some friends. Both rooms were very large, clean and very comfortable. The sleeper sofa in the suite had not be made up so we called the desk and within 15 minutes it was done. The hotel is right in the middle of great restaurants and nightlife and just a block from the underground and the subway. The staff were very attentive and one night as we headed out we were handed an umbrella because they were concerned it might rain. There is only limited parking at the hotel for a fee but staf members directed us to a nearby lot that was cheaper than the hotels. Our only criticism is the very small elevators.	
Sep 5 2006 	A Good Choice	This hotel was a good choice for 3 old friends getting together for a little &quot;girl&quot; time. Since none of us had ever been to Montreal before, we had no frame of reference, but went with our minds open and a good attitude. Upon arriving, we were given our choice of floor and view. The hotel was very busy during our whole stay, however, any and all requests we made were dealt with very quickly by the front desk. In fact, when a somewhat minor issue couldn't be resolved, after a number of employees attempted to remedy the situation, we were given the option of moving to an identical room one floor below us or having our bill discounted. Thanks Sam! Yes, this is an older hotel that is a little worn around the edges. We got what we paid for. A perfectly comfortable, clean suite with a nice view in a lovely, safe neighborhood. The bed linens were crisp and spotless. I am NOT referring to the pullout bed with the sad little blanket. We shrugged that off and took turns sleeping in that thing, complete with the bar in your back. Is there such a thing as a comfortable pullout sofabed? I have yet to meet one. The average bathroom offered plenty of counter space for 3 women and all their paraphranalia. It was clean and everything functioned. No, we didn't do any cooking in the kitchenette. We were on vacation after all! But it was great to have to store drinks and snacks and was perfectly clean. Oh yes, we washed out our cups before leaving and certainly were not concerned about being penalized! The A/C was quiet, as were the other guests, so noise wasn't a problem. Believe me, I hear a pin drop across a room! The rooftop pool/terrace was everything I'd read in other reviews. The pool was actually warmer than the air during our stay but we didn't have much time for lounging/swimming. Same for the fitness room. No time. Room service was delivered in a timely manner. I agree with previous posts that the quality of food is mediocre and better can be had at nearby establishments. Overall, our stay was enjoyable, made all the more by the courteous way we were treated by nearly everyone we interacted with in Montreal and Le Cantlie Hotel. We'll be back Montreal...	
Sep 4 2006 	South Jersey to Montreal Great Time	Went with family 7 (me, wife.mom&amp;dad both 80, sister ,nephew and niece) for 3 days, 2 overnights, great location,clean rooms,great front desk service,answered every question we had gave us a map with every question for any location,let us check in early(4 Hrs) and out late(1Hr)no charge.Parked car for 2 nights took cab or walked,staff would call large van for are group. Montreal is expensive but shop around and ask questions for deals.BioDone great place fun for kids. Will go back to this hotel and will recommend it to friends.	
Aug 29 2006 	Don't Stay Here	Okay, I'll start off being nice. Some of the front desk people are knowledgeable. The hotel is in a lovely area. The bread shop someone mentioned earlier is delightful. The pool has a nice view. But I did not enjoy this hotel and I regret taking my family there. I felt as if this is a hotel being run on a shoestring and that it was not worth the price. Here's why: 1. I was quoted one price on the telephone and promised a discount that they had &quot;no record of&quot; when I got there, and they wouldn't give it to me. Yes, I should have gotten it in writing, and believe me I will next time, but I haven't had a problem with this sort of thing in the past. 2. The rooms were more cramped and the furnishings more dated than they appear in the advertisements. 3. The hallways were dark and the whole place just didn't seem very freshened up. 4. They promised a &quot;European kitchen.&quot; Well, then I feel sorry for people in Europe because what this means apparently is a feeble stove that takes forever to heat up, a toaster that goes straight from raw to flame, a refrigerator that keeps foods barely colder than lukewarm, and the bare minimum of materials with which you could cook (i.e; no microwave, maybe two pots, two spoons, etc.). There was just about nothing in that kitchen--it was a really pathetic and miserly collection of odds and ends. Furthermore, I found the note they add, about how they will add $50 if the kitchen area is not spotless when you leave, intimidating and rude. I was nervous because they hadn't provided a broom or anything like that to sweep up with. I tried cleaning the floor before I left with the one rag they provided, but will it pass their apparently stringent inspection? Who knows.5. Everything there seems second rate. They have ONE ice machine for the whole building. It didn't work. They had two washing machines. and two driers. One washing machine was broken. I spent eight dollars drying clothes, it took all afternoon, and it still didn't work. One of the three tiny elevators stopped working for at least half a day. Basically, staying at this cruddy hotel cast a pall over our experience of this wonderful city. If you want a great time in Montreal, stay somewhere else!!	
Jul 20 2006 	Nice little hideaway	Just got back from a nice 2 day visit to Montreal . We stayed at Le Hotel Cantlie Suites and are very happy we did . Its in a great location close to many nice shops , restaurants and transit system . The room we had was very clean and fairly large , we had a bedroom with 2 double beds and a sitting room with a pull out sofa bed . It also contained a kitchenette (built into a closet) that had a fridge , stove and cook top. We only used the fridge , but it was nice to know if we needed to heat something up we could . The only downside of the room was a somewhat small bathroom , a small TV in the bedroom and no TV in the sitting room .We had our two children aged 10 and 12 with us and they loved the pool on the roof , its not big ( goes from 4 to 8 feet deep) but it cooled them off and it also has a great view of the city being that its on the 28 th floor. The only problem I had was not being able to get a good signal using the hotel wireless Internet (11$ a day extra) and after 3 times calling tech support we finally determined it was being so close to the elevator that the metal was blocking the signal . The hotel gladly removed the charge but we warned if you need wireless Internet get a room away from the elevator shafts . The staff were very help full and the front desk clerks were very happy to give directions and went out of there way to help us in any way possible . Overall I would say this is a very good hotel and would return to it on future trips to Montreal	
Jul 9 2006	This is an upscale place more then what I am use to.	This is an upscale place more then what I am use to. A nice place for an extended visit as the little Kitchenette are very nice Great views from the roof top pool. A little pricy after you figure in parking but it is worth it. Compared to other hotels in that area . The staff was very helpful . We arrived very early in the morning although we couldn’t check in we did park just around the corner in order to be able to see the Canada day parade. After the parade we did get to check in early .Excellent location for tourist and close to metro stop . Not to far to walk to the Jazz fest either. We might do that next year.I would love to stay here again on our next visit to Montreal.	
Jun 17 2006	Excellent Hotel and Staff	I stayed at the Cantlie Suites in Montreal from June 15th-17th. The hotel was very nice i thought for the price of the room.(booked on travelocity.com) the hotel lobby is very nice and the bar is very contemporary. the room is quite large. I left a note and the housekeeper gladely left another set of towels and an extra glass. The front desk staff was very nice and courteous. I read a review before traveling, and yes the older manager in the morning is not as nice as the rest. The hotel has an excellent location. previous reviews complained of expensive parking, but i guess those haven't ever stayed in a hotel in a major city.. In the evening, the front desk staff was very nice with helping me out with directions to great restaurants, and metro stops, and great shopping. And as being 18, they still treated me nice as compared to some 4 and 5 star hotels i've stayed at in the past. The young evening manager and other young female desk clerk answered any question i had about the city. The Hotel Le Cantlie Suites is an excellent place to stay and i have no idea why anyone would disagree.. I guess some people are never happy.. I will definately stay at the Hotel Cantlie again in my future trips to the fabulous city of Montreal.	
Jun 15 2006	Nice clean great location	This was a nice hotel. It was clean and spacious, if the furnishings were a bit outdated, they were still in good shape. We did not have a breakfast included in our rates, so we went out and bought things. With a kitchenette (separate little room / closet, which was nice) we could store things and prepare coffee. We didn't try to cook, though!Locally, there were lots of ethinic and other restaurants, cafes with free wireless internet, and shopping. We walked everywhere in Montreal from this location--we like to walk, but if you need the metro, it's handy too. We parked in the attached lot for about $20 a day. However, we could not get the car and use it--you had to leave it for the duration.It's a good location. One suggestion: I booked this hotel for $120 a night as a last minute deal on the Montreal Tourism website:[--]Click on &quot;Last Minute Deals&quot; from the main page, and you get a lot of nice offers.	
Jun 9 2006	People make the difference	My husband and I travel quiet a bit and were delighted when we found this hotel to stay at in Montreal. The staff at the front desk was very polite and always had a smile on their faces. They were so helpful in directing us to various tourist locations that we were unable to find on our own. We especially liked having breakfast on the secound floor level looking out on to the mountain. The most significant thing we noticed at the hotel was the size of the rooms are much larger than the standard room at most hotels. We once stayed at the Chateau Frontenac in Quebec city and you could not open the entrance door with out hitting the bed. It is such a rarity to find a great location as this within walking distance to many attactions and with generous room sizes that we will defiatley stay at Le Cantlies Suites againt.	
Jun 5 2006	Worst hotel I have ever stayed in	We stayed at Le Hotel Cantlie Suites for one night in June 2006 for a bachelorette party and our bachelorette party weekend away which was for rest and relaxation before the wedding was ruined by our stay at Le Hotel Cantlie Suites. I have never been treated so poorly by hotel staff in my entire life and I have stayed in hotels around the world.When we checked in at 1:15pm our 3 rooms were not ready even though I asked for an early check in. Instead of an apology or an offer to rest in the lobby or upstairs in the lounge, we were told hang out downtown until our rooms were ready. Finally our 3 rooms (2 regular rooms and a large suite) were ready, only minutes later we were told that in actuality only our 2 regular rooms were ready and the large suite wouldn’t be ready until 4 or 5 pm. We decided to kill some time shopping. When we returned I was given the room key to our large suite. I unlocked the door and walked into someone else’s room! Luckily no one was there but all their personal belongings were all over the place. I ran into a hotel staff member and told him my situation and he told me “to work it out with the front desk” as he hopped onto an elevator. When I went back down to the front desk, they snatched the key from me and said I should never have received it and they didn’t know those guests were staying another night (isn’t that their job?) So I was given another large suite 4 floors above the other 2 rooms we have so our guests had to be split up which was not the point of the weekend.When got back in the evening we tried to pull out the couch to sleep and realized it was broken but the front desk was more concerned with charging us the extra person charge than finding us another place to sleep at 5am. Another hotel guest offered his room to us because he felt sorry for the way the hotel staff was treating us. Conveniently, the staff couldn’t find all of the policy documents I signed. The hotel would only send up one cot so one of the girls had to sleep in the broken pull out couch which was folded like a ‘V’. Upon check out, I noticed we were charged for 2 extra guests (even though there was one extra guest) and when I tried to explain what had happened the night before with our broken pull out couch. Sam who was checking out another guest, jumped into the conversation and said due to one noise complain that he received, he may have lost business and was not going to adjust my invoice and he basically told me to shut up. I was so shocked and embarrassed that after all the hotel had put me though: rooms, not ready on time, rooms on different floors, given the key to someone else’s room, broken pull out couch, charged for 2 extra people instead of one; I was the one being scolded. Never once during any of the incidents did I complain or even raise my voice. And never once during all my difficulties with them did they ever apologize.I would recommend that you, your family and your friends never stay at Le Hotel Cantlie Suites. This hotel was the worst I have ever stayed in. The staff is incredibly rude and disorganized and they have a policy of you have to wash your own dishes in your hotel room or you are charged $50. I know past guests have just put the dirty dishes back in the cupboards because I saw dirt and fingerprints on many of our glasses.	
Jun 2 2006	Great Hotel for the Price	We just spent 4 nights at Le Cantlie Suites and I was very relieved after reading some of the reviews here. The staff was very attentive and friendly. The room was very roomy, clean and comfortable. We had a 1 bedroom executive suite (for $209 a night, CAD - great price for what we got!) and yes, the kitchen and bathroom were dated but, they were clean, everything worked and we had such good water pressure in the shower, we had to turn the knob to make half the water run through the tub faucet to keep from being blown away. It was like a fire hose but, I prefer that to a light mist. We traveled with my teenage step-son and it was great to have the seperate bedroom and, it really is seperated. We've stayed in rooms at other hotels where they called it a one bedroom suite but, there was no door to the bedroom, or a glass door and that's not what I consider a suite. Le Cantlie also had the bathroom outside the bedroom which was great so we didn't have any knocks at the door in the middle of the night from the kid needing the bathroom. People looking to use the kitchen for more than keeping beer in the fridge and making coffee in the morning should be aware there are dishes (I don't remember if there were pots &amp; pans) but no salt &amp; pepper or anything like that. They did provide coffee and a couple of coffeemate &amp; sugar packets but that's it.We tried ordering from room service the first night but an hour later, nobody showed up so we decided to go out instead and they had no problem with my canceling the order. I think they were a little embarrassed that it took so long. We left a note asking for extra towels and they always left a full extra set. The rooms were kept spotless and we had nice sheets and towels so, apparently they've updated since the person who said they were in nasty shape stayed there. The pool on the roof was very nice. The water was a little cold but, it was an outside pool, in Canada in May. I didn't swim but my husband did. It's very clean, lots of chairs &amp; chaise lounges and a really pretty view of Mont Royal &amp; the Olympic Stadium. We brought a couple of beers (also cups so it didn't look like beer - they have a no alcohol sign at the pool) and it turned out to be THE place for a BYOB happy hour. I have a feeling it's a policy that's enforced only when they have someone getting rowdy or, people too young to drink up there because just about everyone up there at sunset had a drink in hand. The only thing that would keep me from staying here again is the location. Not that there was anything wrong with it, it was walking distance to lots of very nice restaurants, a great bread &amp; cheese shop on Rue Peel called Au Pain Dore (I loved that place!) and a short walk to the Information &amp; Grey Line bus tour stop BUT, if I came back, I'd like to stay in the old city. It's just so pretty and it was disappointing to have to come back to a real, modern city after spending time in the old city. I have to say it was easy to get back and forth. We walked it once and it took an hour but, we stopped in quite a few shops on the way. We didn't try the metro as they said it was $2.60 a person and with 3 of us, it wasn't much more to take a taxi. We never had a problem getting a cab anywhere in the city. We also lucked out with beautiful weather for Memorial Day weekend.	
Apr 30 2006	a disappointing 4 star	We stayed here for two nights. The postives a big room and good AC. Downside seriously dated bathrooms and kitchenettes, lifts with graffitti scratched into the doors and a general air of needing some money spent. You can see why the balconies are locked off !!I would choose somewhere else for the price	
Mar 22 2006	Disgusted by Le Cantlie	I went with my boyfriend to visit Montreal and stayed at Le Cantlie hotel. The pictures online made the hotel look decent. I thought that since it is a 3-star hotel, it can't be that bad. Well, I was so wrong. I was disgusted by this hotel from the second I walked into the lobby. The lobby wreaked like body odor. The staff was annoyed by our questions. The room was in a poor condition, considering that the maids failed to notice the $1 Canadian coin on the floor. The sheets were ripped and had stains. The shower head was very weak, only mist was coming out. The towels had a huge red lipstick stain on it, but yet it was folded nicely on top of the counter instead of being placed in the laundry machine. I am appalled at what I've experienced at Le Cantlie. I've had better experiences at 2-star hotels. I would never recommend Le Cantlie to anyone. The only good thing was the location being in the heart of downtown. Every other hotel on the same street (Sherbrooke) was much better. Definitely book elsewhere, the few extra dollars are well worth it.	
Jan 23 2006	Wasnt bad I would reccomend	We went to Montreal for my bachelor party this past weekend and I must say after reading the reviews I was a bit skeptical but we went anyways.Noow your saying to yourself a bachelor party stayed there must be a rowdy place,just the opposite everyone has to sign a no party policy for your room and the hotel was very quiet.They upgraded my room for free so my room had a livingroom almost half the size of my apt which was nice gave all 12 guys someplace to gather when they were not in there rooms..They couldnt park our rented van in there garage so it cost us 30 bucks to park it down the street. They did however make us aware of this ahead of time..When we arrived on saturday the 2 gentleman that were working couldnt have been friendlier they helped us with all of our questions and were very nice, i however cant say the same for the 2 ladies that were working when we checked out.They seemed like they could have cared less that we were there and i felt as if they were kinda rude. The rooms were nice the bathroom was small and the showerhead needed major repair but the water pressure was very good so thats a plus.The kitchen was alittle rustic looking but i wasnt there to cook dinner so it was just nice to have a sink and a full size refrigerator and 2 tvs. Overall id stay here again and reccomend people looking for someplace quiet to stay the location is on sherbrook just walk down peel street 2 or 3 blocks and voila ste catherine street..Need i say more...Have fun and i hope this helped anyone whose looking to go.	
Jan 6 2006	Outstanding!	We stayed here for 7 nights over Christmas and everything was absolutely superb. Beautiful foyer, spacious, bright rooms, great bathrooms and exceptionally friendly and helpful staff. Best hotel I have ever experienced in Canada.A+++	
Dec 4 2005	Great stay	Stayed at the Le Cantlie for two days and loved it. The location is great. It is two blocks from St Catherine street, the main shopping area and 4 blocks from Crescent st where there are a lot of bars and nightlife. The Hotel lobby is quite impressive and quite beautiful. The rooms are oversized and provide great views depending on the location of the room. You get either a view of the river, the mountain, or an alley. I had a view of the alley unfortunately, however the size of the room and the amenities made up for that. In the room you will find a good size fridge, kitchen sink, and small stove. There is also plenty of closet space. The bathroom is a bit small but clean and well stocked with shampoos, soaps and plenty of towels. The front desk staff is very helpfull, and answered all my questions. I came up to Montreal to have a good time, not for the hotel. However the hotel added to the experience. I would absolutely stay there again and would recommend it to anyone. Its not the Ritz Carlton but its a very nice hotel and the value is excellent.	
Nov 14 2005	You'll Like It!	Spent several days here with a couple of friends. A few observations as well as comments on earlier reviews. Opinions are subjective of course, but we found this to be a super property. Arrived early, bellman stored luggage. When we returned to check in, before we had finished the process, the same bellman was waiting by the elevator with our luggage. When a request was made for bedding to make up the sofa-bed, housekeeping appeared within 15 minutes and insisted on making up the sofa, despite our protestations we could manage ourselves. The valet parking (where do these folks come from who are surprised to pay for parking at a hotel?) attendants were great. Prompt service, directions as required and usually some very humorous comments. Thanks guys.The rooms were spacious and clean. Dated? I suppose. Certainly not abused or worn. The kitchen? Didn't use it but it seemed serviceable, if small. Elevators? We were on the 17th floor I think. Elevators were always available. Small complaint! Only one TV and that in the bedroom. Not good for three guys wanting to watch different games on the tube.The hotel location is great and, if you haven't spent time in Montreal, so's the city.I plan on using the Le Cantlie Hotel again in a few weeks time. I like this hotel.	
Nov 14 2005	A very good hotel	When we arrived at the hotel, we asked for a room with a view so they gave us one on the 21st floor with a good view of the Mount Royal to the north. The room was spotless. Windows are floor-to-ceiling so there was plenty of daylight in the room. The southern exposure rooms looking out to the river must be even more dramatic.They let us check in about 2 hours before the published check-in time of 4 pm. Staff was very courteous. There are three small elevators in the building and that could be a problem at busy times. The rooms have regular keys as opposed to the card access, so we had to stand in line at checkout to turn in the keys and get the final bill. Parking is underneath the hotel at $C16.95 per night. We had checked around with other hotels and they all charge something extra, so no big deal.The breakfast in the restauant was mediocre and expensive. My recommendation here is to have breakfast at any of the small restaurants on St. Catherine St. for half the cost and better service. We didn't eat at the restaurant for any other meals so I can't comment on them. By the way, restaurants on St. Catherine St. and surrounding areas are an absolute bargain compared to U.S. restaurants. Check the menu prices in the windows before walking in.My only complaint was that the tub drain was slow so I was in ankle deep water at the end of my showers.The location of this hotel is perfect. Walk one block to the north and you are at McGill University and the walkway path up Mount Royal. St. Catherine St. is two blocks to the south. Bell Center is four blocks to the south. Subway entrance is one block away on Peel. Peel is the center of everything in Downtown. Access to the Underground is at Stenza's on the corner of Peel and St. Catherine.We booked the room on Orbitz at $108 per night. For the money and the location, there isn't much to complain about with this hotel. If you want tons of amenities and fine dining, don't stay here.	
Oct 29 2005	Perfect Shopping Location	Recently spent 5 nights at this property.The Hotel is well located in the heart of Sherbroke Street,a busy road in Montreal.The rooms are well appointed and very spacious and cozy.The only problem with hotel is the kitchens they are ancient and run down.Otherwise a nice hotel.	
Oct 16 2005	Very pleased with Le Cantlie	I spent three nights in a studio suite on the 22nd floor. The room was immaculate and tastefully decorated (double bed, couch, desk, armoire, tiny kitchenette (microwave, no stove), bathroom with lots of formica counters). Breakfast was not included. Cost: US $114 through Hotwire. Overall, I was very pleased. The Le Cantlie is in a great location (museums, stores, Metro (Peel station). The staff were responsive and very helpful, even giving me a choice of rooms upon my arrival (which was early). Parking seems expensive (Canadian $16.95 + tax per night), but the garage staff were friendly and helpful. (I had a compact car, so there was no difficulty with an oversize vehicle). I had a lovely river view. I would certainly stay here again.	
Sep 19 2005	Awful! Stay Away! Disrespectful Staff!	I checked in at 4 left by 6 the same day. I booked a room for 3 people. Arrived and asked for a rollaway and they assured me it would be no problem. I come back to the room at 6 and there is no roll away. I asked at the front desk and they said that it was not possible to put a roll away in the room due to the firecode and the only way I could do it was to upgrade my room (for $40) and pay $20 a night for the rollaway. They were later rude, wouldn't appologize for the previous hotels staff misteak of saying a rollaway was allowed and were not willing to negotiate or make me feel comfortable. I later booked at the Days Inn on Guy st which was way cheaper and they had a friendly staff and a larger hotel room! The only Cantile has going for it is the location. STAY AWAY!	
Aug 15 2005	Great Experience!	I stayed here with my family - husband and 3 year old son and my parents stayed in their own room down the hall-for 3 nights. We had 2 queen size beds, a desk, TV and kitchenette. It was perfect! I was very impressed when we walked into the room. It was very roomy and everything - kitchen area, bathroom and room itself - was spotless. My parents had one bed, a smaller kitchenette, desk, armoire with TV, couch and coffee table. They were very pleased with their room also. The location of the hotel is great. We also had trouble parking - their was no room in the hotel parking area for our mini van, so we had to park in the lot across the street for $60. We were not happy about that and should have been informed of this when we checked in. We had parked directly in front of the hotel and would have unloaded our luggage then instead of waiting until we parked. We did have quite a wait for elevators - there are 3 of them - several times. We would definitely go back, despite the negative aspects.	
Aug 14 2005	Not the worst Not the Best	This was not the worst hotel I have ever stayed at, but definitely not the best either. The service from hotel staff was not the friendliest they did not make you feel welcome to their hotel. Our room was okay but I had to call three times to ask them to bring towels and sheets for the sofa bed up to the room. The view from the 15th floor was of a back alley it would have been nice to have a beter view.	
Aug 12 2005	False Advertising	After a long drive from Boston to this hotel, we were told upon arrival by a very unfriendly desk clerk that there was no room for our car in the &quot;valet parking&quot; garage because we had a &quot;high rise&quot; car (we were driving an SUV), for which they had only limited spaces (the website said nothing about this). The desk clerk gave us a list of parking garages in the area, and after a 20 minute search we finally managed to park the car. So the first issue is--don't believe what it says on the website and their advertising about valet parking--expect to just find parking on your own. But this was just the first of our problems. Our &quot;river view&quot; room actually faced an alley and a brick wall. Our Air Conditioner unit first froze our room and then stopped functioning. Maid service was erratic--we left three dirty washclothes on the tub and returned that evening to find them still there and no clean replacents. Of our two coffee cups, one was missing by the second day (and when we reported this to yet another surly desk clerk she only said &quot;Don't worry, you won't be charged for it,&quot; but seemed unconcerned about the fact that we were reduced to drinking coffee out of a water goblet). I will say that the location was nice and the room was fine, but there are plenty of other hotels in the area. For me the most disappointing thing was the attitude of the hotel staff; a few were helpful but most were surly to the point of rudeness. I'd say save your money and stay at the Best Western or a friendly place!	
Aug 4 2005	Not the Ritz but not the Motel Dixie!	After reading some of the reviews on this hotel I was expecting something pretty trashy, but I was pretty satisfied overall. The room I was given was huge...the distance alone from the door to the room proper was over 10 feet. The room held two queen beds, with not the best mattresses in the world, I had a backache after 3 nights, but certainly not impossible. The decor was basic and somewhat tasteful with alot of pseudo/dark colonial style furniture. The kitchenette was immaculately clean and so was the room. The bathroom was pretty huge by Montreal standards, very clean and amply supplied with towels. AC was plentiful and operated quietly. Daily cleaning was finished by 11 am. The only negative things were the parking costs($16.95 a day in the hotel garage), corridors that looked old and dumpy and old fashoned key door locks. But if you're on a budget, these things can be quickly overlooked. The location was super, a quick walk around the corner to the Metro, two blocks to downtown Ste Catherine St. and lots and lots of superb retaurants. The staff was very friendly, but were unable to give me an itemized bill so I could recover my hotel taxes at the border, because I prepaid on Expedia. Go figure. I'd stay here again.	
Aug 2 2005	Not impressed...	The lobby was beautiful but the rooms were poorly decorated. Our 11th floor view was of a back alley and rooftop so that was disappointing. Make sure you request a street view. The pool was pretty but filled with loud children every morning and night. The elevators tested your patience and although the metro was very close and inexpensive, we spent $58 (American dollars) to park our car for three nights in their garage. I've never heard of a hotel charging their own guests to park. It would have been cheaper to park outside the hotel and walk since we didn't use our car once. Not impressed and will not stay there again.	
Jun 21 2005 	Good value and good location	Not wanted to spend $300+ per night at the Ritz Carlton for a conference, I did some research and chose the Le Cantlie two short blocks away. This is a converted apartment building that's been recently renovated. I've had two rooms (more on that later) and, while neither were 5 star, they weren't shabby either. The public areas are very nice.I made my reservation directly through the hotel's web site, then began to bargain. I said I could only afford an exec suite (~600 sq ft) but really wanted a larger 1 bedroom suite (~900 sq ft). I then asked if they could mark my record for a free upgrade if a 1 bedroom was available on arrival. They agreed. A couple of days before arrival, last minute rates started to show up, dropping the exec suite to about $130/night US. I emailed again (Stephane, the reservations manager I believe) to see if they would meet that rate. No problem. So, on arrival, I was given a large 1 bedroom suite for only $130/night US. Proof positive that it pays to be persistent and to be nice to people.My suite has a full living room with queen sleeper, small full kitchen, dining table for 4 and bedroom with 2 queens. Not luxurious, but more than adequate.The only problem I've had was with the wireless internet. My first room on the 25th floor had poor reception that would barely receive email. Apparently, the main router is on the first floor and the access points spread across every other floor do little to bump the signal. When I moved to the 8th floor, service was fine.I would recommend this hotel to all but the most fastidious. It's not luxury, but it is great value.	
Jun 2 2005	Very disappointing dirty and old	This hotel looks like something from the 1980's. It is in serious need for updating. The rooms felt sticky and once we found the used condom under the bed that was it. The location was good but we never felt comfortable. The sofa bed was worn out and you could feel the springs in your back. Do your self a favor and stay someplace else.	
