	Better than expected	I stayed here on a Priceline rate and had good experience. First off, they put me on the 32nd floor with one of the best views of Montreal I've had. (Those of us who are Priceline regulars usually expect something on a low floor with a view of the parking lot.)Second, the bed was fantastic.Third, you are right on top of the Metro.Yes, the room was dated and the lobby seems a bit fuddy-duddy if you're under 40. But overall, I would not mind staying here again.	
Sep 27 2006 	Comfiest bed I ever slept in!	I stayed at the Marriott Chateau Champlain from August 9th-17th while I was attending a conference at the Fairmont nearby. I was really impressed with a number of features of the hotel, namely:Huge, exceptionally comfortable bed - about 9 pillows of different types, a duvet and a mattress topper all added to the comfort.Free wifi - this may come as standard in many North American hotels, but for a Brit used to paying about $10 USD per hour for wifi access in the UK (scandalous!), the free and easy access to the Internet from every room was fantastic.Spacious rooms, separate dressing areas, clean bathroom with power showers, lovely orange and ginger toiletries.Staff were friendly and helpful. The hotel's location was fantastic - within easy walking distance of shops, restaurants, tourist sites. An elevator in the hotel provides direct access to the metro and underground city meaning that you don't even need to step outside in bad weather.Breakfast was good, the waiters were charming.The hotel offered everything I could possibly need for my 10 night stay and I would recommend it to anyone.	
Sep 26 2006 	When hotels were romantic...	My domestic partner and I stayed at the Chateau Champlain for our birthdays (both in September) for 4 nights. We are both originally from Montreal.Romance still works at &quot;the Chateau Champlain&quot;. Ideally located in the very heart of downtown Montreal, it is perfect for shopping as well as for business travelers. The tourist bureau where most sightseeing tours start is located just across the park which faces the hotel. The Chateau Champlain, nicknamed the &quot;cheese grater&quot; by montrealers due to its unique architecture, was originally built for the 1967 World Fair. It is known since then for hosting wedding and graduation receptions mostly. It also caters to business travelers as well as hockey teams and their fans. It is less than 1 block away from the Bell Center and is in the core of the business district. The rooms are small but romantic and funished in the victorian style. I loved the old fashioned dressing area adjacent to the marble bathroom. The ambiance of the room is a bit retro but very classy; I for one liked it for it is different. The beds are super comfortable too. The Chateau Champlain also provides its guest with a private elevator straight to the metro station underneath and its own bridge over the street straight into the park: cool! :-)Well... a picture is worth a thousand words ... so I put a few. Enjoy!	
Sep 25 2006	Excellent hotel highly recommended.	We stayed at this hotel for 5 nights and loved every minute of it. The hotel is in a excellent location, the staff are very helpful and polite, the rooms are very clean and the service is A1. The hotel staff were very kind in giving me a room on the 31st floor and the views were spectactular. The hotel is also directly above the Metro which makes it very convenient for catching the train and walking through the underground system. I highly recommend booking directly through the hotel website as we were able to book all 5 nights for a very reasonable rate. 5 star service for a 3 star price!!! Would definately stay here again!!!!!	
Sep 22 2006 	Positive experience over Labor Day weekend	My husband and I went to Montreal for three nights to celebrate our anniversary and we were pleased with the hotel. The location is truly fantastic -- many of the places we visited were within walking distance and the metro is under the hotel and easy to access. The area felt very safe to us and we were out each night. The staff was polite and helpful. We received a couple of gifts and they were delivered and situated in our room in our absence. I did find that the front desk was a bit understaffed as we had to wait a little too long to check in. As for our room, I agree that the views are excellent. Request a room overlooking Dorchester Square and you'll have a great view of the city! Our bathroom was nice and clean. I found that the rest of the amenities in the room were average and what I expected from a Marriott - clean and satisfactory.	
Sep 4 2006 	Great location	I'll start off by saying that my wife and I are Asian as well and we did not encounter the same problems at the Marriott Chateau Champlain. We were greeted warmly by the bell captain and front desk staff. We received complimentary bottle of water and chocolate after we arrived in our room. Though the room was slightly worn, the view we received was incredible, overlooking the park, toward Mont Royal. The concierge helped us get a reservation for Au Pied de Cochon and gave us tips on Vieux Montreal. The hotel itself is right on top of the Montreal subway and provides easy access to the transportation for exploring the city. I think overall we had good experience there.	
Aug 28 2006 	Discrimination - stay away if you're Asian	My parents and I stayed at Marriott Chateau Champlain for a week in August 2006. The service was terrible and the bell captain ignored us when we needed to order a taxi to the airport. We were one of few Asians who stayed at this hotel and we were badly treated. This hotel service was one of the worst from the Marriott chain and we were greatly disappointed. It was not worth the money. Go somewhere else.	
Aug 19 2006 	The Marriott - swings and roundabouts	Stayed here while at a conference. The best things are the views and the breakfast. The rooms do mostly have great views in various directions over downtown Montreal. The breakfast was excellent value - I had a meeting at the Intercontinental one morning and they charged 50 per cent more for half the selection on the buffet - with helpful and attentive dining room staff. Generally the staff worked hard to offer a pleasant experience. However, the bedrooms do feel a little shabby, although the beds are comfortable and the cleaning is of a high standard. Some of the furniture seems to have seen better days and fittings were begin to need maintenance - the closet doors, for example, didn't fit properly. I don't think this is yet a serious objection but it soon will be. The pool was nice but would soon get crowded - I went at 07:00 because I was waking early with jet lag and it was fine, although a little short to get really good exercise. Location is excellent - everywhere you would want to walk is within 10-15 minutes and there is a Metro station right underneath the hotel. Overall, I thought it was pretty good value, but I would be interested to see what reviewers think next year if there isn't some meaningful refurbishment in the meantime.	
Aug 16 2006 	Great Hotel	I was in Montreal for a bachelor party the last weekend of July 2006. After a bit of comparison shopping, I discovered that this Marriott seemed to offer the best value... cheapest rate for the most amenities.I had a great stay and I think it really does offer fantastic value. The rooms were nice, the beds extremely comfortable, and the room and bathroom were very clean. The hotel was also centrally located and an easy walk to most of the areas where we wanted to go, including Crescent street for bars and Old Montreal for our steak house dinner (as I mentioned we were there for a bachelor party). The only thing that was less than ideal for us is that the hotel pool is indoors and considering we were there at the end of July it would have been much more pleasant lounging by an outdoor pool. But of course, if I were writing this review after a stay at the hotel in January I'm sure I'd be referencing the indoor pool as a major positive.	
Aug 15 2006	Was Fine	The hotel was well-located. The room furnishings were just ok, but the bed (mattress and bedding) was great. Bathroom was adequate, but old-fashioned 60's style closet/dressing area had a nice lighted mirror which made it great for putting on makeup while someone else used the bathroom. Had a direct entrance to the Metro which was quite convenient and was an easy walk to most downtown locations (including the underground). Staff was fine, but although Concierge tried to be helpful, she twice gave us inaccurate directions - one time many miles off. We heard this happened to another guest too.	
Aug 13 2006 	Spectacular views	Every room in this hotel has a spectacular view of this magnificant city! You really can't go wrong staying here in that regard. And, yes, the beds are as comfortable as others have said! In an era of the ever shrinking hotel room, it was a pleasant surprise to have such a good-sized room with a wardrobe area. As well, I echo the comments of others about the convenience of its location for both business and leisure travellers. My criticism is that the rooms are a bit shabby. Ours smelt a stuffy (like old smoke and old carpet, although it was supposedly a non-smoking room). Some of the furniture is was nicked, past its prime; the carpets a little worse for wear. We tried room service on 3 occasions: It's a little expensive for the quality, but it's more than adequate for a hot meal after a long day of work or siteseeing. The creme brulee was disappointing; the mushroom soup and burger are just OK; but the oatmeal with green apples is out of this world yummy!	
Aug 5 2006 	Great Hotel!	The Marriott Chateau Champlain was a great hotel. The concierge and bellboys are very helpful. The rooms all have huge windows that give a great view of the city. The beds are extremely comfortable and the sheets are very soft. The hotel overall was very clean. Dont worry about hvaing to speak french when you got to montreal. No one that i met did not speak english. This hotel was amazing and i woul reccomend it to anyone wanting to stay in montreal. It is within walking distance of most tourist attractions like Rue Ste. Catharine and Old Montreal and the Metro stop in th hotel is very convenient if you want to go to the olympic stadium or biodome.	
Jul 30 2006 	Great place to stay!	This is the perfect location in Montreal. We stayed there for 4 nights. The staff were very friendly and helpful even though the hotel was fully booked. Our room was located on the 12th floor and it was very large and bright and I loved the bay windows that gave you a fantastic view of the city. I was not too impressed with the Gym and swimming pool. They could do with an overhaul. The hotel is centrally located and most areas of interest were within walking distance. The tourism office is less than a 5 minute walk. Old Montreal is about a 15 -20 minute walk. Rue Sainte Catherine is about 5-10 minute walk and McGill University is about a 15-20 minute walk. You can take an elevator which is located behind the concierge desk to the metro and all of the underground shopping areas. The Casino shuttle bus also picks up people from the front of the hotel. I'll stay at this hotel again when I go to Montreal.	
Jul 23 2006 	You could do a lot worse than stay here!	The first thing I have to say about this hotel is that the staff are amongst the friendliest and helpful I've come across. They didn't mind me my practising my bit of &quot;Francais&quot;, even though I'm not great at the language, and reverted to English when they saw I was struggling! The rooms are really nice. The decor is dated in the best possible way, a welcome change to the bland modern decor you get in a lot of places. The beds are wonderfully comfortable and the rooms have a coffee maker, TV, air conditioning and nice big bathrooms with plenty of towels and toiletries. The only gripe I would have is that two small cartons of milk isn't enough for the 4 cups of coffee the machine makes. Apart from this small gripe, I can't fault the Marriott. I was attending a conference in the Sheraton, which is literally around the corner, and the main thoroughfare is only a couple of minutes away. Also, the bus to the airport departs regularly from the front of the hotel (the doorman is helpful with times etc), so all in all it's in an ideal location. Finally, the hotel bar is nice with a nice bar food menu at reasonable prices (for Montreal). So if you're going to Montreal, you could sure do worse than stay at the Marriott! Oh, and don't forget, it's the done thing here to tip the maid between $1 and $2 a day, so be nice, they do a great job!	
Jul 22 2006 	Excellent for the Comedy Festival	My wife and I are just back from spending a &quot;Sweet Deal&quot; in Montreal and attended their wonderful comedy festival, Just for Laughs. We spent 3 nights (3rd night half price) at the Marriott Chateau Champlain and found it well worth the price! From the doorman to the bell boys to the housekeeper, everyone was helpful, bilingual and knowledgeable. The breakfast buffet also included in the sweet deal included many hot and cold items that satisfied us until finding a place for supper. Coupons, shower gel and pamphlets made up a complimentary gift bag. Ice cream was brought to our room on sign in as well!Just for Laughs is an outstanding festival that has something for everybody and we found the hotel was up to our visit! We found this hotel's attention to detail was no &quot;laughing matter&quot; and will be back next year.	
Jul 22 2006	Would Stay Here Again	Loved this hotel. Was a little concerned that I did not speak french, but was NOT a problem after all. Everyone spoke english and had no problems communicating. The room was great - larger than the Sheraton downtown where my friends had stayed. But the best thing about our room was the bed! It was so inviting with all the pillows and comforter. When you lay down on the bed, you just did not want to get up because it was so soft and comfortable. We didn't eat at the restaurant, but ordered room service for breakfast &amp; was very pleased. The one thing we were missing were the slippers &amp; bathrobe that my sister received in her room. Not a big deal though because we only stayed for one night. The lobby was big and &quot;posh&quot; with several stores. The bell man &amp; concierge were very helpfull, even suggesting where and when to visit &quot;tourist&quot; areas. Overall, would definetly come back if next time around.	
Jul 18 2006	Not #1 Hotel in Downtown Montreal But Very Nice	Marriott has done a good job adding plushness to the lobby and beds. This hotel is about 40 years old, so needed some refurbishing. It is worthwhile to ask for a high floor--views from the half-moon shaped windows are superb--beds are great, but for some reason they didn't upgrade the towels to match. There is some odd, amateurish carpentry work in the bathroom and adjoining dressing area which takes away from the feeling of a first-class hotel. However, very clean, nicely furnished, excellent location, well-designed building with good insulation from traffic noise, good service--one of the better large hotels in downtown Montreal, if not the absolute best. We enjoyed a very comfortable stay.	
Jul 9 2006	Nice Hotel Nice Location	While the hotel itself is not the best I've been to, it is decent and its location is excellent. The best part of the hotel by far was the connection it has with the metro and underground mall in Montreal. This was very helpful when getting from one part of the city to another. The rooms were pretty standard. The bed was nice, although it did affect my back a bit but that may be a personal problem. The only really downgrade I would give the room was the shower which changed from cold to very hot and then back to cold every minute or so. This was sort of annoying and perhaps dangerous for smaller children if they don't know how to operate the shower control. All in all, it was a nice hotel and we were able to get an $85 rate which made it even nicer. I maybe would have a different opinion if I had paid in excess of $200.	
Jul 1 2006	Wow! What a hotel!	It is as they always say: &quot;You get what you pay for&quot;. This hotel was expensive, but what a hotel. I normally don't sleep well if I am not in my own bed, but I certainly slept well in the bed at this hotel. The mattresses were really good which you don't often get. The rooms were spotless (I am a very fussy customer when it comes to cleanliness). The staff at the front desk were most helpful. Our car which was parked at valet parking was delivered promptly. We were on a high floor and the view was great. I would definitely stay here again.	
Jun 27 2006	AWESOME!	We really enjoyed our stay at the MArriott Chateau Champlaign. This hotel is very nice and centrally located. The rooms were very accomodating and WOW, what a view! The hotel staff was very friendly in all the areas, from the front desk to the restaurants to the doorman. I do not understand why others have rated this hotel as poor. It is a very classy, comfortable and centrally located hotel. THUMBS UP from our family.	
Jun 13 2006	Central location	I used my Marriott points to stay at the hotel. I was disappointed that as a Silver Member I was not on the concierge level and did not have access to the concierge breakfast. I don't know if it is just this hotel or all Marriott's, but I use to have this access. The hotel is in a central location within a decent walk of most attractions. It is also above a metro station and close to the train station.The restaurant food was good but a bit pricey. We arrived late and ate dinner at 9:00 PM when it was practically empty, but the service from our waitress was really slow. She seemed to disappear for 20 minutes at a time. Having a King size bed is nice, but the comfort is just average. There are stairs to enter the hotel so I am not sure how a handicap person would enter. We had a tough time taking our daughter out of the stroller each time we wanted to exit or enter the hotel. If I did not use my points, I would definitely have stayed at a smaller boutique hotel.	
Jun 11 2006	Comfort and convenience in Montreal	We spent two days at the Chateau Champlain and were very impressed with the accommodations: The room was large, bright and airy, the bed exceptionally comfortable, and the location could not be better: within easy walking distance to the business district, the historic old district, the university and shopping district, as well as direct access to the Underground city. Highly recommended.	
Jun 10 2006 	Good location friendly staff but a bit tired	I stayed in this hotel for a week in May 2006. The rooms were clean and the bed great but a little tired and in need of some paint work. Maintenance was poor as the air con died twice during my trip as did the toilet flush. No seal around the door which lit up the room at night and meant that I felt a part of what ever was going on in the corridor. Staff were friendly and helpful however and things were fixed. Food was of a good standard and room service excellent.	
May 23 2006 	Conveneniet and hospitable	Very nice location with very good views on the side of the building was on (facing Place du Canada). Was able to see some beautiful and not-so-beautiful buildings. The Metro stop underneath the hotel was incredibly, incredibly, incredibly convenient. The Montreal Underground is ultimately very silly and the hotel staff did us a service by not emphasizing it to us. The room was better than the dated Marriott room I have gotten used to. The new Marriott beds and linens were extraordinary. The batroom was a 8 one a scale of 1-10. The showerhead was above my head. The curtain was flimsy though. I really liked the closet/dressing area outside the bath that could be closed off from the rest of the room. The rooms furnishings (desk table, side tables, armoir) were more than adequate. The free wireless, in room internet was a big bonus (other Marriotts take note). The oddly shaped window was huge and gave a spectacular view. I slept with the curtains open a couple of nights to see the lights form the tall buildings and Ste. Catherine. It is a huge hotel with very little in the way of in-hotel dining and entertainment options. Which is good when a hotel is is downtown and on the train line. There was plenty nearby. But sometimes it would have been nice to have a restaurant or bar choice. Considering the hotel has over 30 floors, you would think there would be more than just one small lobby bar. The staff in the bar was great though. Just not much bourbon in Canada. The front desk was great as well. The operator was slow getting to calls though.I really would have enjoyed the hotel more if the Habs were still playing (their season ended a week earlier than my arrival). The arena shares the same Metro stop and the older and more beautiful of the two train stations were between the two buildings. For Americans who are afraid of a language barrier, everyone I met at the hotel spoke English and was friendlly when switching to English from the native tongue. The staff when answering the phone eventually defaulted to English.	
May 18 2006	Chateau Champlain Marriot- Nice Hotel	For our second trip to Montreal in December 2005, we decided to stay at Marriott Chateau Champlain after reading some mixed reviews. The rate was $250 CAD for 2 nights. I have to say I really liked this hotel. The location was great and we had a fantastic view of the city and mountain (you have to request a higher floor and city view). The staff was really friendly. Our package included buffet breakfast, which was good, and a gift on arrival. The room was clean and it was true that the bathroom was dated but NOT as bad as what some critics made it out to be. Our only problem occurred as we arrived back one night, as there was a strong scent of smoke. We called the concierge and they immediately offered another room and upgraded it. I'm glad we chose to stay at this hotel...its view is worth the money alone!	
May 16 2006	Good Hotel. Great Location.	Just stayed at the Chateau Marriott Champlain and had a wonderful time. We were on the 30th floor with a great view of the city. The room decor looked new, and everything was very clean and neat. The location is great, as the hotel is located right on the metro line. It was about a 20 minute walk to the Old Port and about a 10 minute walk to the Golden Mile.Definitely an excellent choice for a weekend in Montreal.	
May 8 2006 	A good experience but not a great one	The hotel could use a bit of an update. The rooms are on the smallish side and the decor needs a refresher. The armoire held a TV, but no dresser to store your clothes. On the plus side, the views are nice and the beds are super comfortable (best sleep I've had at a hotel in a while). The fitness center is adequate (but pool seemed sort of nasty); the hotel staff was courteous; dry cleaning service was prompt and the subway stop at the bottom of the hotel was very convenient. Not a bad experience overall, but I expected a little more for the rate.	
Apr 30 2006	Outstanding	Stayed here for 7 nights in April.........room was great and the view is unreal. If you're planning a trip to Montreal, stay at the Marriott.	
Apr 11 2006	GREAT GREAT GREAT	The Montreal Marriott Chateau Champlain is great! Great location, great staff and great view from the rooms! Everybody took care of us like we were the only customers! The new Marriott Beds are fantastic, with the numerous pilows! The hotel is connected by the underground to the Via Train Station and shopping - you don't even need to go outside!	
Apr 5 2006 	First and last stay here	I just returned home after staying at the Marriott for four nights. I do not recommend this hotel. While the rooms were ok, the service was terrible. I felt that we were treated in a rude, almost disdainful manner by the front desk staff (and manager) and that answering questions or being of service was not in their job description. There were a few pleasant exceptions (Peter, the bell captain, was very nice and helpful), but overall, there were too many mistakes made and an unwillingness to correct the mistakes or problem-solve to find an acceptable solution. The tone was, &quot;like it or lump it&quot;. Oh yes, the plumber who came to fix our toilet was very nice, too--although he couldn't completely fix it, he tried very hard and apologized for the inconvenience. The only good things about the hotel were the convenient location, the accessibility of the Metro from the hotel lobby, the abundance of pillows on the beds, the view of the city from our window, and the breakfast buffet. One server (I didn't get his name) is a waffle expert--he will make you a beautiful, delicious strawberry waffle as part of the buffet if you ask. If you do decide to stay here, make sure you say that you require a guarantee of the type of room you want (don't just request it, tell them that you want a confirmed guarantee) and be specific. Then make them stick to it when you arrive. Be persistent, be firm, and don't back down until you get the type of room you requested. It is exhausting, it is a hassle, but necessary.Also, make sure that if you require a non-smoking room, insist that the housekeeper not smoke in the room while s/he is making up the room. Also, make sure that if you lose something that if you contact lost and found and they say that they don't have it, don't take no for an answer. Contact housekeeping (apparently housekeeping doesn't always turn things into the lost and found) and if you still don't get help, find someone who is willing to go into the housekeeping office to look around for you--that is the only way we finally recovered our car keys. On second thought, if you stay here, just use the valet service for your car--it costs more, but then you'll have fewer hassles all the way around. Finally, if you are in a time crunch, call way ahead of the time you need a bellhop--we waited over 45 minutes for service. There are other hotels in the same general area as the Marriott, and next time I plan on trying one of them. Will I return to the Marriott? No.	
Mar 24 2006	Gorgeous room mixed service reviews	This hotel is quite lovely, with extremely comfortable king size beds, lots of pillows, and great down duvets. Definitely a nice choice for a romantic getaway, business travellers, singles and couples alike. I managed to get a good rate of ~$145 and probably wouldn't spend more than that to stay at this ohtel in the future.As a loyal Marriott rewards member, my upper floor request was granted, and check-in was polite and efficient. The room was beautiful and certainly very well appointed. After searching around for a phone book, I called down to request one be brought to the room, along with some toothpaste. Shortly thereafter, an older gentleman brought toothpaste. I noticed he had no phone book, and he asked me if I was sure that I had not found a phonebook in the room. I said I had checked all cupboards and drawers, and he mentioned that was very odd. He then asked if he could enter the room to check for himself. I found this a bit odd, however allowed him to do so. Sure enough (and much to my dismay), one of the drawers contained a phone book...at the back. When I first opened the drawer to find one, I guess I didn't open it far enough. I felt a little silly and apologized, and the gentleman seemed pleased to have proven me wrong.At any rate, a wonderfully restful sleep, fabulous breakfast brought promptly to my room in the morning at the requested time, and very friendly room service lady, asking if I had had a restful night's sleep.Wonderful check-out agent, however I had anticipated paying with my debit (bank) card, and not my credit card. They don't take bank/cash/debit cards, unfortunately. I did find that quite odd.The concierge was helpful in storing my luggage for the afternoon, despite the doormen who do not step outside to assist you upon arrival, nor open doors. I'm not sure why they stand there at all, then?In conclusion, I loved the room, loved the breakfast service and check-in agents, however the bellmen who do not wish to assist and the gentleman who did not believe I had no phone book in my room did leave a bitter taste in my mouth.But I would stay there again.	
Mar 23 2006	A montreal favorite	We live in Vermont, an easy three hour drive from downtown Montreal, so we have been frequent visitors for the past 15 years or more to various hotels in the downtown area. When the price is right, the Marriott can be a very good deal. We booked under the &quot;Sweet Deal&quot; promotion, which included free buffet breakfast for two. I agree with the reviewer who stated that the service at breakfast was somewhat formal. We found it not to be the waitstaff, but rather the overly formal &quot;host&quot; who seemed to pride himself on intimidating those who entered his domain. We were happy not to see him again on Sunday! Buffet was OK, but not the best.Rooms: When I booked I was told that some rooms were more &quot;deluxe&quot; in furnishings, but all were the same size, not including suites. I believe our room was more deluxe as it did not look at all like the room posted by another tripadvisor member. It actually was quite lovely, with a crisp white duvet, a nice array of 6 pillows and a neckroll, beautiful drapes and new carpeting.(We were on the 18th floor overlooking the park). The bathroom itself was small, but the separate dressing area was nice and made the room seem larger. No robes. There was also the usual table with two armchairs, and a desk with high speed internet that worked fine.The pool and hot tub were nicely heated although very crowded with families and children. No locker area for changing, which I found to be not acceptable for a hotel of this class. Also an attendant nearly ripped the towel off my 6 year old son's shoulders as were leaving the pool area to go back to our room. Without a changing room, how does one return to their room without being soaking wet? This I found to be innapropriate. Hotel-service-respect for guests?? Location: A good location, a new underground connection will allow you to walk underground all the way to Old Port. Great in cold weather. Not too far from Chinatown and St. Catherine. Bell Center right next door has indoor skating, fun to do or just watch.Parking: Self park under hotel, very busy week days, Saturday &amp; Sunday nearly empty. SUV's may not fit, but valet parking is available outside for bigger vehicles. $14.00 self park per day, a good price for downtown.Overall we like this hotel. We do have two or three other properties we prefer for overall service and room size, but if the price is right the Marriott is a good choice.	
Jan 15 2006	Try it for yourself !	We visited 12/26 until 01/01 and what a fantastic stay we had. We were worried having read previous reports that the hotel might disappoint - but absolutely not! The rooms were very comfortable for 3 of us and the view was breathtaking over to Mont Royale. The staff (every one of them) could not have been more helpful and pleasant. The hotel is centrally located and you need never go outside to get anywhere if you so wish. The facilities are first class and the subway is accessed directly from the hotel.We have already recommended this hotel to family and friends, and when we next visit we know exactly where to stay - right here. Try it for yourself and you're in for a treat.	
Jan 7 2006	I can't wait to go back	We stayed the New Year's weekend at the Chateau Champlain. Our room was big, bright, and airy. Also, the large, crescent shaped windows provided us with plenty of sunlight and a magnificent view of Mt. Royale. The hotel staff was pleasant and informative. The Plaza level gym is bigger than most hotel gyms and provided me with the much needed exercise to work off the sumptuous buffet breakfasts I consumed at the hotel restaurant each morning. The hotel is centrally located in downtown Montreal, and we didn't have to leave the hotel to use the Metro trains as there is a subway station directly beneath the hotel.I had a wonderful vacation, and my next trip to Montreal is already booked. Guess which hotel?	
Dec 1 2005	One more well worn hotel	This hotel is in serious need of a face-lift and more staff. It is hard to tell when the rooms were last re-done, but too long ago is part of the answer. There is mildew in the shower, about a dozen coats of paint on all painted surfaces and the wall paper in the bathroom has serious water damage. On the bright side, the wireless Internet access is well above average and free for the first night.It was difficult (read this a 10 minute discussion) to get the non-smoking room I'd reserved, however, the staff did finally seem to find one after I waited in line twice (front desk seemed understaffed for the number of rooms in this hotel). Service in the restaurant is also very slow (although polite); from what I could tell they had 2 servers for the entire venue and lots of impatient customers.It would seem this hotel is just too busy to stop and refurbish, but it certaily needs it.	
Nov 17 2005	What a nice hotel!...	I stayed here for 4 nights in October of 2005. The location is awesome, you don't even have to go outside to catch the metro. The breakfast buffet is very good, although a little expensive. The hotel is also in close proximity to Saint Catherine. The rooms were nice and clean, housekeeping did a great job everyday. All my requests were fulfilled and the staff was very friendly. I enjoyed my stay and I would definitely stay again, I found a great bargain on Expedia.	
Sep 16 2005	Great Views	Great value during &quot;sweet deals&quot;, nice hot tub, views unmatched, a must stay during sweet deals.	
Sep 11 2005 	Disappointed not up to Marriott standards	Spent 3 nights here on business trip. I have a king bed which is very comfortable and the vanity area is very nice for keeping your clothes, luggage, and other stuff out of the way...since the room is not that big. Wi-fi works fine for me.Bathroom is showing its age, leaky tubs with poor water pressure, toilet with stains and LOOSE toilet seat, which had gone unfixed for the duration of the stay despite my informing the clerk the night I checked in. The towels are a mix bag collection of yellow, off-white, white, and some of the above with stains.Service is not what I would expect from a Marriott. Check-in clerk, bell men, and door men were all rude. Check-in clerk rolled her eyes when I asked her to put in my Rewards number into the reservation. How dare I forgot to put it in when I booked the room! I had a late flight leaving so I wanted to leave my bag at the bell desk. Both bell men in morning and afternoon shifts asked me to haul my own bag and put it onto the shelf in the luggage room. The door man was rude when asked how often the shuttle comes by. He screamed 20 minutes and wanted nothing more to do with me. Refused to tell me when the last one was here, told me to just wait at the curb.Definitely NOT worth the $200/night price tag. It's completely 1-star service. Steer clear of this place and try the Delta, Sheraton, or W instead.	
Aug 28 2005	Nice enough but won't return	I stayed at the Marriott Chateau Champlain for 4 nights, after searching to find the most impressive hotel I could afford for my holiday. We usually stay at 4-5 star hotels for our anniversary, so I was expecting a certain level of impressiveness at the Chateau Champlain, which is apparently a four star hotel. Unfortunately I was fairly disappointed.Firstly, in all fairness, I must mention that the staff are excellent. Everyone from the front desk team to the waitstaff to the bellmen to the cleaning maids themselves went out of their way to be friendly and provide top service. I have rarely encountered such remarkable staff in a hotel. There was nothing that they would not do for us. We had only to ask.Furthermore, it is quite convenient to everything. We walked EVERYWHERE with ease, and you can see the Marriott sign high up in the sky to orient yourself and find your way back to the hotel. The Metro is connected to the hotel, which was even better. But after visiting Montreal I noticed that pretty much *any* hotel, *anywhere* in the city was convenient. However, the hotel itself is in need of a major facelift. The showers (and I stayed in two rooms over the 4 days) functioned more like a harshly spraying garden hose than anything else. The worst showers, BAR NONE, that I have ever encountered (even in a 2 star hotel). The bathroom tiles, while clearly genuine marble, looked very old and yellowed. The toilets did not flush well, and a few of the yellowed towels stood out amongst the newer bright-white ones. Maybe this will not matter to you, but a luxurious bathroom is the most important sign, to me, that I have entered a high class hotel.The room itself looks much like a Holiday-Inn type of room. Nothing remarkable, but nothing real to complain about except a few stains on the ceiling and general wear and tear on furniture. The first room I was in lacked a working internet port, and the second room's socket failed half way through my stay when the entire outlet died for no reason that I could discern.All in all, nothing real to complain about, but apart from the service in the hotel we were left severely underwhelmed by the Chateau Champlain and will definitely not return.	
Aug 28 2005	loved the hotel	Just returned from a trip to Montreal,and stayed for 6 days in the MarriottChateau Champlain, very friendley Staff, Did not try the pool, Room was very nice, and private, Breakfast was excellant, Loved the decor of the Hotel, Bar was nice, Food very good.Bar Staff above avarage.Close to shopping,and sights.Overall I was delighted with this hotel.	
Aug 21 2005	Somewhat Dissapointed....	I recently stayed at the Marriott Chateau Champlain for 3 nights. The guy checking us in did the bare minimum to be friendly. Swipe our cards and gave us our keys (we had two rooms) and that was it. The room had some hard usage. The chairs had holes in them. There were spots on the ceilings that looked like water stains. The worst was they have no in-room safe. Most places I stay in have those electronic safes, but nothing here. The beds were ok, nothing special. The pool was small, and the water was cold and hard to get used to. The pool attendant was watching everyone and made me feel uncomfortable. I was very excited about staying there, but the hotel turned out to be more of a 3 star, and thats being generous.	
Aug 18 2005	Very nice but very slow internet	I was very pleased with the hotel; location, room, view, staff, cleanliness was all excellent. The one big dissapointment is the Internet connection. It's nice that it's free but it is SOOOO slow.	
Jul 31 2005	Not bad better options in the area	We stayed here in late July for one night. The location was good with the Bonaventure metro station across the street and Gare Centrale (main train station) nearby. The room was average and not the best value for the price. We preferred the location of the Residence Inn Downtown because it was a better value and a little closer to the many restaurant and shopping options on rue Ste-Catherine Ouest, rue Peel, etc.	
Jul 29 2005	VERY IMPRESSIVE	We found this to be a very good hotel.It was ideally situated to explore both old and new Montreal.Our room was on the 28th floor and afforded a superb view of the city. The room itself was very spacious and spotlessly clean and tidy.Staff were very attentive to our needs, always helpful and informative.If I should return to Montreal i would not hesitate to use this hotel again.	
Jul 5 2005	Nice hotel and location horrible service	This is the third time I have stayed at this hotel in the last 2 years and the second time that I have had issues with them. First problem is they did not honour their offer of 100 Marriott dollars when booking with a VISA card - it took many phone calls and a lot of time (wasted) in order to get what they clearly advertised on their website. Now this time, my reservation indicated one rate, but the hotel charged me another rate ($40 more). I did not have my confirmation email with me, so when I called the Marriott after I got back, I received poor service and the problem still is not resolved after 3 phone calls...not what I would expect from a $200+ per night hotel.That said, the hotel rooms are of decent size, the beds OK, washrooms pretty good. The location is fantastic, about a 3 block walk to St Catherine Street.Dont think Ill be staying again though...the service is brutal.	
