	Excellent Marriott Residence Inn Experience	Fantastic location in downtown Montreal with quick access to all points of interest...culture, shopping, and restaurants. We recommend it highly for anyone interested in visiting Montreal.	
Dec 17 2004	This place is great...	A great location. Very close to the Metro, Crescent St., and underground shopping. The staff are some of the friendliest people that I've encountered on my travels. They are so attentive and knowledgable of the city. They recommended great restaurants and helped us find all the touristy spots! The rooms are very clean. Per other reviews, I didn't feel the studios were small at all. They were very clean and the space well used. Full sized coffee pot too!!! Bathroom size was good too. The breakfast buffet is fantastic and free! This is not your typical cold cereal and a donut type spread. Eggs, beans, sausage, toasts, bagels, waffles, etc. It's a great deal.We'll definately be back in the summer! Kinda chilly there in December.P.S. Merci pour faire notre séjour Julie si agréable!	
Oct 23 2004	Great Location	The staff could not have been more attentive. We got excellent recommendations for dinner, tours and directions. The hotel is located right downtown- close to McGill, St. Catherine's and the Peel T.The bed was a little hard and half of the light blocking curtain was missing so this stay doesn't get a 5. But, really, the front desk was the best I've ever experienced. Definitely would stay there again.	
Sep 11 2004	Pretty nice-would have liked a bigger room	Very nice property with the following caveats.Studio room was rather small and the furniture placement was just wrong.Bathrooms are small and the toilet has to be the tiniest I have ever seen-very uncomfortable.Staff was friendly enough-I just wish they would have upgraded me to a slightly larger room.House keeping was superior.Breakfast room was very nice,as was the terrace.All in all I prefer the Springhill suites in Old Montreal-but that has gotten to be very pricey-often more than the 4 star full service Marriott Chateau Champlain.	
Aug 19 2004	Excellent location - excellent hotel	Mariott's branding can be confusing as the only thing that would designate this a Residence Inn is the inclusion of a kitchen. Nevertheless, this is a fantastic downtown hotel. Just off the main drag, on quiet and appealing Peel Street, but walking distance from all of the interesting sites, restaurants, culture, not to mention easy access to the Metro. Rooms are a bit tight, but sparkling new and comfortable. A real winner here.	
Aug 16 2004	Beat Our Expectations	Family of Five had two rooms across from each other. Both rooms nicely funished with plenty of room. The added feature of the mini kitchen came in handy. Breakfast was more than we expected - hot food !!! The staff was helpful, courteous and fun. The direction library at the front desk was terrific. We'll be back.	
Jun 30 2004	Montreal's best kept secret!	The Residence Inn in downtown Montreal has to be the best place to stay based on price, location and service! My wife, toddler and I just returned from a vacation in Montreal. The daily rate for accomodation at the Inn was very fair in comparision with some of the higher priced hotels and it had everything we needed for convenience i.e. full kitchen and utensils, laundry facilities, etc. The room was clean and up to date with the decor. Most importantly, the staff seemed genuinely friendly and helpful. The free daily hot breakfast was a plus and saved us on having to incurr this morning expense. The Inn was close to the subway system and within walking distance to local landmarks, shopping and restaurants. Merci beaucoup!!	
Jun 29 2004	A nice little city hotel	We selected this hotel for our Montreal stay based upon other reviews on this web page and based on price. We were very happy with our selection.The hotel is very centrally located on Rue Peel with a metro subway station just around the corner. It also has the charm of a small hotel with the conveniences of a much larger one. Our room was very nice for a city hotel -- larger than many with the added convenience of the kitchenette that is pretty complete, lacking only an oven though there was a microwave and stove top. However, we had little need to use it since the hotel provides a very substantial breakfast buffet. We weren't impressed with the weekday afternoon &quot;snacks&quot; -- pretty limited and generic. But the staff were wonderful, the room was immaculate and well cared-for during our stay, and the location really was fabulous. Close enough to the rowdy Rue Crescent to walk there, but on a much quieter street and in a safer area. And contrary to some reviews here, we hardly had any trouble with the limited, small elevators. Even though we were on the top floor of rooms, we still only had to wait for any length of time once in three days.	
Jun 23 2004	Great hotel in a great location.	 We only stayed one night because we were flying out the next day, but from the moment we walked into the place, we knew it would be delightful. The staff that welcomed us were very pleasant and helpful, and they were throughout our stay. Our room was lovely and spacious. When we discovered that pets could also stay at the hotel, we wished that we could get our pets from back home and just stay for the month. There was a lovely basket of tea and coffee as well as a package of microwavable popcorn. Everything was there that a person might need, including a jar of hard candies.  We were given a king room on a smoking floor although we had requested non-smoking. We tried to live with it, but later in the evening, we had to request a different room. They did give us another room on a non-smoking floor, and we enjoyed it.  We especially enjoyed their pool on the top floor. The water was warm and the view of all the tall buildings right from the pool was lovely. We enjoyed it so much that we got up early the next morning and went in again before breakfast.  The breakfast was bountiful, including everything that was needed to make your own Belgium waffles. The breakfast included hot food and cold cereals, as well as fresh fruit. We really enjoyed our comfortable beds, especially the comforters which I think were down-filled. And there were 3 fluffy pillows on each bed. No need to call for another pillow! We regretted that we had to leave so soon. It would have been nice to stay for the free supper with the manager that was being served the next night. I highly recommend this hotel.	
Jun 21 2004	Great stay!		
Apr 4 2004	Great stay		
Mar 15 2004	Excellent hotel		
Jan 8 2004	Great Vacation!		
Oct 17 2003	Just fine		
Sep 9 2003	Good hotel with a few problems		
Aug 9 2003	Very good value Residence Inn-Montreal		
Apr 7 2003	nice place nice price		
Aug 24 2002	Nice Place		
May 28 2002	Excellent value		
May 19 2009 	Attention à votre automobile		
Apr 13 2009 	très central excellent accueil!		
Feb 18 2009 	Situation idéale		
Jan 18 2009 	À choisir absolument		
Dec 23 2008 	Agréable Hôtel		
Nov 19 2008 	Service impeccable; idéalement placé		
May 3 2008 	davvero bello		
