	Pricy Busy and Well Located	We forgot how many times we’ve been to that hotel. The location is very convenient for us.This is not the most peaceful hotel; it’s big and busy, however very well located restaurants, bars, disco, shopping etc. Like most Sheraton Hotel the rooms have been refurbish, and are clean and cozy. The overall service and staff is decent, but not great, and this is not due to a language barrier because we’re fully bilingual. Some of the staff members would require a refresher course on customer relationship.Overnight interior self-serve parking is $20.00, you can park in a nearby exterior parking lot for less than $10.00. For food quality and price venture to local restaurants in the vicinity, the choice and variety is remarkable.M &amp; L D, Ottawa	
Oct 23 2006 	Good hotel but nothing special	We stayed here for one night in October on our way to Quebec City! Had a room on the 24th floor; great view!! Nice and clean!! Only problem - hotels like this just don't leave a mark! They're boring, all look the same and after you leave, you barely remember them!!	
Oct 19 2006	Good value great location	Found a terrific rate for a last-minute weekend getaway at the SPG website. Had had a very nice stay here some years ago and even though some of the shine has worn off this hotel since then, that wasn't really enough to diminish our most recent stay.We drove in from the Boston area and the bellhops, parking valets and front desk staff were all quick and efficient. The lobby has always had that rather urban business hotel look to me-no avant-garde, over-the-top luxurious details, though, on the other hand, it's not all barebone hotel with glaring lights and fake plants. Busy, yet hushed it has a lobby bar that never seemed to be closed no matter how late we returned in the evening.(though don't quote me on that)The room was comfortable and clean. I was afraid that bc of the fabulous rate we'd received that that might translate into an inferior room but the room, linens and furniture all seemed very well-kept. I'm happy to hear the hotel may be receiving some renovations though if this room was an indication, I wonder that they couldn't put it off for a while longer? But, again, perhaps my satisfaction comes from having paid so reasonable a price. We had no problems with housekeeping all wknd.The location is great. We're from a walking city and enjoy other walking cities and though Montreal is fairly large you can still access so many of the city's sights on foot from this hotel-Mont Royal and the Old Port, shopping, restaurants, McGill University and even the &quot;red-light district&quot; if you dare. Montreal has many, many, many fabulous hotels (Nelligan, St. Sulpice, St. Paul and on and on)-especially in that 'boutique' category. For a special weekend, I'd absolutely recommend researching those -but for a quick and comfortable weekend stay in a convenient location, Le Centre Sheraton is a fine choice.	
Oct 17 2006	Loved Le Centre Sheraton	October 2006Never having been to Montreal before, I had a difficult time deciding where to stay in the downtown area, which had been recommended by friends. I decided on Le Centre Sheraton because of TripAdvisor reviews regarding location and service. I was not disappointed. The location is perfect, within walking distance of historic old town, downtown, the various neighborhoods, and the mountains. We walked everywhere.I stayed on the Club Floor with its own concierge and club lounge that included a very extensive continental breakfast, hors d'oeuvres in the evening, and panoramic views. It was a wonderful place to meet and socialize with friends. It also offered free internet access. My room had a panoramic view of the river and the city, was large, and nicely appointed. It was well worth the slightly added expense to stay on the Club Floor.The service was above average. When I did not answer my wake-up call while in the shower, the hotel called a second time, and then sent a bellman up to the room to knock on the door. The hotel staff were very helpful in every respect. The ambiance was a welcoming one. I would certainly stay with them on a future visit. A TripAdvisor member, San Francisco, CA.	
Oct 15 2006	In desperate need of some love 	I'm Preferred Gold, so I stayed on one of the Starwood Preferred floors. If my room is any indication of what they give their best customers, I feel bad for their other guests. I got a great deal on the room through a AAA promotion they're running, but I would be on a letter-writing campaign to corporate if I'd paid anywhere close to retail.While the bed is a comfortable Sheraton Sweet Sleeper, that was the only similarity to my recent stays at other Sheraton brand hotels. The chair was frayed &amp; well-worn, the carpet stained, and the bathroom was dimly lit with poor fluorescent lighting. This hotel is in desperate need of a full rooms renovation.One other point to make: unlike other full-service urban hotels I've stayed in, the security at this hotel is somewhat lacking... especially at night. There is no security personnel stationed to ensure that only hotel guests take the elevators to guest rooms. I had a bizarre encounter with someone knocking on my door at 4:00am in the morning which required me calling security to have resolved.	
Oct 4 2006 	Good and will get better	Stayed here Sept 16-23 and had a great time overall. This hotel is in a great location, within easy walking distance of everything. It's right across the street from Bell Centre, right near St Catherine St with all of its nightlife, tons of great restaurants nearby, etc. And yes, even the adult entertainment that Montreal is known for is right nearby. The hotel is oriented towards business travellers and tourists.Some previous reviews noted that the hotel is in need of renovation. And it is. It's not up to the new Sheraton standards. BUT the good news is that according to the front desk staff, the hotel IS scheduled for renovation in December 2006! So I imagine any nits that have been mentioned will be remedied then.I had a double room on the 11th floor with a great view of St Catherine's St and Mt. Royale. The bed linens, etc, were very nice, although (as a previous poster mentioned) I had one of the double beds that seemed to have an older mattress (squeaky) and one that was newer. The furnishings in the room were nice - not exceptional, but very nice.Yes, the bathroom does need updating, but not THAT much. Here and there the wallpaper seams have seperated from years of steam. And yes, the towels are kind of industrial and not all soft and fluffy, but everything worked just fine. A bonus was the curved shower curtain rod for more room in the shower (I'm a big guy and it was much appreciated). The room is still nice marble.Staff: I had great service from everyone I encountered. They were all very friendly, eager to help and very efficient.Two complaints though:1. The interactive TV system where you could check your bill or order movies only worked 2 of my 7 days there.2. The price of room service. I know, I know. I travel a lot and usually stay in &quot;Westin level&quot; hotels and am used to high prices for room service. But this Sheraton is absolutely outrageous! The night I got in I ordered a burger and fries, another side of fries, and a coke. The total? $42!!!! A regular breakfast can easily cost you $30. Come on guys, that's just outrageous. As a result, I never ordered from them again.Overall I'd definitely stay again, especially after the renovation, but that wouldn't stop me from staying there even before then. Recommended!	
Sep 30 2006 	Great Bed - Rubbish Service	Well, I have never had such bad service at a hotel! I'm afraid this is going to sound like a real moan - but I want to explain what sort of service you can expect here....It all started right from arrival, where we had to sort our luggage ourselves, and at check-in were simply handed a room key and left to work out which floor it was on - with no info about meals, facilities, or the package we had booked - despite there being no queue of people waiting. It wasn't really appropriate, considering the price the hotel charges, and that it's meant to be 4star.The next morning we had the pleasure of cleaning staff holding a loud conversation outside our door at 7.30am... the morning after was better, as it didn't happen until 8am :-)Breakfast was also messed up every day - the check-in man forgot to give us coupons, which meant that we had to leave the table, and queue at the front desk to get them whilst our coffee went cold. Despite having the 'full american' included in our package, we didn't get the same thing on any of the three days we stayed there - items were missing, swapped around, or just forgotten !A phone request to housekeeping for a clean towelling robe (the one provided was dirty) was ignored, despite being promised to arrive in 5 minutes ... What annoyed us the most was that when we mentioned our complaints about service at check-out, the attitude of the member of staff was 'oh well'. So much for the Sheraton promise that 'if you're not happy, we'll sort it or compensate for it' !On the positive side, the room was nice, the bed was huge and very comfy, and there were plenty of fluffy towels. The pool/whirlpool/sauna was also good (and all free). THere is a handy shop in the basement - and the concierge knew a lot about local restaurants / attractions - so I can't fault them:-)Location was quite good - close to the ice hockey centre and downtown shops.Overall - it's OK ... a nice hotel, but shoddy service. Not really worth the 4 stars or the money, in my opinion.	
Sep 27 2006 	Good hotel	Valid 4 star, but slight pain in the backside was that they didn't do the rooms on both mornings of our 3 night stay! We rang from our room the second time to reception - they charged us $1.10CDN for that!! Cheeky, but I couldn't be bothered arguing.Another small thing - we parked our hire car in hotel car park, and when checking out they didn't charge for one night, which I didn't notice until I was trying to leave the carpark and the attendent made out like I was being cheap - they do the bloody carpark stuff in the hotel! Luckily I had cash, otherwise???!!The location is good, Montreal's ok, nice at day, not great at night. Too many beggars, most I've ever seen anywhere. Toronto's better.I would stay here again, we got a great deal on Hotwire (about £62 a night). Perhaps we didn't leave the rooms in time, not sure. But they sent people up and the room and towels were sorted out. The hotel bar is very nice.	
Sep 13 2006	A perfect stay	I arrived at the Sheraton Montreal hotel and was very impressed with my walking in. I checked in without a problem. I walked into my room and the room was very well kept and organized. The stay was so convient to downtown Montreal. Everything was walking distance. The bed was a king size bed and was the best bed i've slept in at a hotel. I ordered room service and room service quality of food was average. The ameneties, especially teh swimming pool was so refreshing. Definately have to use the swimming pool next time. I will definately come back to the Sheraton Montreal.	
Sep 13 2006 	just ordinary	The hotel is what i call ALL LOBBY meaning you get fooled by nice lobby n bar etc but rooms very ordinary. The bathroom sink was cracked and the whole bathroom just needed an upgrade. The bed was just ok not that bad. The location however is just great. I would only recommend this hotel if you get a price of btw 75-90 dollars on priceline it is not worth 135 and up.	
Sep 8 2006 	okay stay needs renovations	Overall okay experience with this hotel. My main complaint is that the hotel needs some renovations. Lobby was nice but when you got to the floors and rooms, there was a different feeling. There were stains on the carpeting in the hallways (and you can tell the carpeting has been there for a long time..atleast that is for the floor i was on). The bathroom seems a bit dated and the ceiling needed to be cleaned because there were stains.We had a room with two double beds. One bed was very comfortable where the other one was a lumpy.Hotel staff was great. They were all nice and very helpful. We paid $18/day for parking.Restaurant food was average. (French onion soup and creme brulee was good but my main course was not that good).This hotel was not my #1 choice when i was booking but i received a good rate for the room so i went with it. If i paid more for the room i think i would have been more disappointed, we got what we paid for.Even though i have my complaints about the hotel, we did have a wonderful trip and the hotel did not spoil my fun. (but i admit that i wish i went with my #1 choice)If i were to visit again i would try another hotel.	
Sep 5 2006 	Great Value in Montreal	This hotel is a great value if you book through Hotwire or Priceline for under $100. The room was clean and efficient, even with a couple of old stains on the carpet. Plus if you get a room on a high floor, the view is rather nice. The location was good since it is close to the Metro stop at the Centre Bell and around the corner from the St. Catherine shopping street. If you're a Habs fan, i recommend you stay at the Sheraton during hockey season since it is across the street from the Centre Bell. Several good restaurants and pubs within a couple of blocks including Ye Old Orchard, McLean's Pub, and Peel Pub. Lots of great nightlife in the area and highly recommend that you make the trek up to McGill University, especially during Frosh Fest. For great tastes of Montreal, consider making your way down to Eggspecation and olive + gourmand in the old part of the city. If you're in the Latin Quarter on St. Denis, be sure to stop at La Brioche Lyonnaise for some of the best patisserie outside of Europe.	
Sep 1 2006 	very tired and needs renovation	Compared to other Sheratons, I thought this one was way below average.The room was a bit rough around the edges and needed an update to the furniture, soft goods, and bathroom.The Sweet Sleeper bed is great, but most hotels have upgraded bedding these days, so this is hardly a big deal.I changed rooms twice to a larger room and still found it small and not fresh.I would go elsewhere next time I'm in town.	
Jul 31 2006	Quite Good!	Le Centre Sheraton is a well upkept and modern hotel. The lobby is modern and classy, with a beautiful skylight/greenhouse that overlooks a Starbucks. The pool is incredibly beautiful, with a wall mural and a very classy feeling. The life guards are relatively attentive, and there is a parrot that occassionally greets you.The rooms are clean and large. Particular rooms have a mini-bar, but be careful! If you so much as even touch a snack, an infared sensor will immediately charge you. Most floors are non- smoking and the higher ones have a superb view. The Sheraton &quot;Sweet Sleeper&quot; bed isn't all that comfortable however, and there was a stain on one of the pillows. The Washroom had dated wallpaper, but it was very clean. Overall the Centre Sheraton is a classy,ambient hotel worth re-visiting.	
Jul 12 2006	Good enough	We booked two rooms on 6/30 as part of our road trip through Priceline for about $110 per room (with processing fee and tax). Prior to the trip, we contacted the hotel to request for King size beds and non-smoking rooms. However, the customer service representative weren't helpful on the phone because we booked the rooms through the priceline. When we checked in, we didn't get the king size beds. The non-smoking rooms the front desk claimed to be smelled like ash tray. So that was the part we weren't too happy about. There were constructions going on at front entrance of the hotel. The room itself is clean and spacious. Swimming pool is basic, nothing fancy. Location is pretty decent. A bit far from the old Montreal (about 20 minutes walk), but one black away from the big shopping street Rue st-Catherine, and maybe 3 blocks away from rue Crescent (plenty of restaurants/clubs).Overall, it's not a bad deal for the price we pay, but I would definitely not pay full price for it.	
Jul 11 2006	Excellent	The hotel was great! The room was big. The beds are very comfy! The view was beautiful, and best of all, the location was excellent! Walking distance to everything! We even walked to old Montreal from the hotel in about 30 min. I had NO complaints about the hotel or the staff. I definetly recommend it!	
Jul 5 2006	Mixed feelings...	I stayed at Le Centre Sheraton for the July 4th weekend (4 nights) and left disappointed. First of all, I've stayed at this hotel a number of times, each time as a result from booking with either a Priceline or Hotwire. My previous visits have all been better than this most recent experience, so take note.My main complaint was that they put me in a smoking room. I don't smoke and never requested a smoking room, but the hotel insisted my reservation was for smoking. And because it was a popular weekend, the hotel was booked and they claimed they could not move me to a non-smoking room. They did offer to send an ionizer to my room, which did effectively nothing to the smell. On my return home, I contacted Hotwire and was told Hotwire cannot guarantee a non-smoking room, so beware if you use Hotwire.Aside from this issue, the room itself was fine except for the bathroom. Although they have begun some renovations to the hotel (the hotel bar is now much better than before) and the rooms (the bedspread was new), they really need to focus on updating the bathrooms.....our tub spout leaked daily, the reserve tank for the toilet overflowed a number of times, the florescent lighting over the sink was half out and the towels were badly in need of a replacement.On the good side, the location is ideal, particularly if you have an event at Centre Bell, and the views from the rooms are excellent. For the $90/night I generally pay through Hotwire/Priceline, I think the hotel is ok, but I highly doubt I'd pay the $200+/night and book direct.	
Jun 10 2006	Couldnt have asked for a better location folks	My wife and I stayed at this hotel over the memorial day weekend, and I must say that this has to be one of the best locations for a hotel in Montreal. We drove from Albany NY on saturday 5/27 ( took over 3 hours at the border crossing), got to the hotel at around 7pm, parked in their underground parking lot for $18 CAD for over 36 hours of parking. Rue St Catherine was a couple of blocks away so was the entrance to the underground city. On Sunday we took the bus tour of Montreal for $18 CAD each which lasted about 3 hours and was worth every penny The Driver dropped us off at the Notre Dame Basillica, took $5 each to get in. From here we walked through Old Montreal and back to the hotel which was about a 15 to 20 minute walk. By the way the tour started at Rue Peel at Dorchester Sq which was also a couple of blocks from the hotel. The room in the hotel was small but sufficient for 2 people, the bathroom was very clean, we were on the 30th floor with a fantastic view of the city. The people at the hotel were very courteous, the bartenders at the lobby bar made some mean vodka tonics. The room itself had a well stocked mini bar but the prices were ridiculous ( $9 for one of those bitty bottles of booze ). We paid $ 187 CAD for the room through AAA and it well worth it. Please email me if anybody has any questions.	
Jun 2 2006	Good location ok rooms	The best part of this hotel is the location, I was able to walk to the main shopping district, the bell centre and even old montreal. I did have to drive to the oympic stadium and the gardens. The hotel itself was nice, same with the rooms. But nothing extraordinary. Also small. very small. the room fit a bed, entertainment/dresser, desk, chair and ottoman. Between them less then a foot of space. however I was really only in my room to sleep and shower. I was out enjoying the beautiful city of montreal. I was only there for the weekend so every chance i got i was out and about...however, if you are planning a lengthy trip and will be spending more time in the room you may want to find a bigger room. Overall i was pleased, if you are looking for a nice clean hotel to relax, and be near by to the locations you want to see, I would recommend, if you know you are the type of person who is more comfortable with space and looking for a at home feel I would not recommend. Hope this helps and enjoy your trip.	
May 16 2006	never stay there	This hotel is tired and is in need of a reno. Our room was so small you practically tripped over the bed when you walked in the room. Smallness aside, the bathroom tap leaked and they charged for everything on top of the room charge. But, the worst was that they did not make up the room. We went out for the afternoon and when we came back at 4pm the room was not done. We spoke to the manager and he assured us our room would be done after we went out at 6pm. We returned at 12:30am and the room was still not done. We called and spoke to the night manager and he said all he could do was move us to another room and give us 500 Sheridan points. Who wants to change rooms at that time of night when you're tired and all your stuff is unpacked and who wants Sheridan points when you never plan to stay at a Sheraton again.	
Apr 24 2006 	not a good value	There's nothing really wrong with this hotel, but I didn't think it was a good value. The rooms were o.k., but the beds were squeaky and the desk lacked a ergonomic chair. The bathrooms were large. But internet connection was expensive ($14.50 a day) and they had the nerve to charge me for the phone calls to technical help when it didn't function properly! They charge extra for most everything--internet, 800 and local phone calls, the newspaper, and parking (and the charges for all are higher than average). One happy exception is that the indoor pool and gym was free and much better than average (the pool is large enough to do laps--that is, if families aren't blocking all the lanes playing with the hotel's supplied beach ball!). If you are attending a conference at the hotel, I'd suggest staying less than a block away at the Best Western Europa.	
Apr 24 2006	Good not Great	We stayed at the Sheraton in Montreal for 3 nights. Nothing exciting, but nothing really wrong either. One big plus - the breakfast and the servers in their restaurant. Everyone was cheerful and helpful and everything we tried for breakfast was delicious. Very accommodating. In fact everyone at the hotel was friendly.	
Mar 24 2006 	Not a great hotel	I stayed several times at this hotel but only because I had a good corporate rate with them. Otherwise I would have stayed elsewhere. I don't think this hotel is particularly good value. It is not as nice as the other Sheraton's I stayed at.I once arrived only to find the lobby deserted -- no bell boy to help with the suitcases and no one behind the counter at the reception. They also managed to loose my laundry once. Rooms could be cleaner too. Noisy A/C.Some reviewers said that this was a good area but I found downtown Montreal dirty and full of beggars and other unsavoury characters.	
Mar 21 2006	Comfortable and convenient	Stayed here for a second time for four nights in February. We got good, quick service for those small needs (new lightbulb, extra blanket). Fantastic views from the upper floors, and very nice swimming pool, at a reasonable rate. Outstanding location and comfortable beds. Rooms are smallish, but adequate and typical for this kind of hotel. Tiny quibble: Last year, the breakfast wasn't particularly good, and the hours didn't work for us. Not a problem with so many good inexpensive restaurants along St. Catherine and elsewhere nearby. Our favorite (even with our picky children) is Basha.	
Feb 21 2006	Great Hotel	Stayed at this hotel in Feb, in town for a hockey game. The location is perfect it is two blocks from the Bell Centre. Hotel is very active, but the rooms are very quiet. Staff was very accomodating. We travelled with our small dog and she was treated very well. Rooms were a fair size, bed was very comfortable with a duvet and lots of pillows. Would stay there again no problem.	
Feb 7 2006	Very Good	Stayed here for 2 nights (Feb. 3-5) and found it to be very nice. Not as nice as Montreal's boutique hotels but pretty good. Everything was clean and the beds were terrific. The 21st floor offered a nice view of the city and Mont Royal. The bar is also very chic and a bit trendy. Our room was ready at noon even though check-in was at 3pm. We self-parked in the garage ($18) .vs $24 for valet. The location was perfect, since we were up for a hockey game. The Bell Centre is basically across the street and Crescent/Bishop streets were about 2 blocks away. If you are into the St. Laurent and St. Denis scene it's a bit of a haul (approx. 10 blocks). Metro stops are close by as is underground access. If you want a great steak, La Queue de Cheval is right next door.We had an issue with the charges on the &quot;express checkout&quot; bill that was left under our door and it was cleared up without a problem at the front desk. I'd definitely stay here again.	
Jan 1 2006	Best New Years Ever!!	I came down to montreal to celebrate New Years and this hotel made my stay most enjoyable. Very friendly staff, great hotel rooms with a big bed which is super warm. The lobby area is great, i ate at the resteraunt which was very yummy and the bar had a great atomosphere and reasonable prices. Next time I am in Montreal I will 100% be staying at the Sheraton Centre.	
Nov 29 2005	Fantastic Hotel Stay	Our stay at the Sheraton was excellent...closest hotel to the Bell Centre, 5 minute walk to the major shopping area. The service was fantastic and the beds were super cozy!! Overall, a wonderful stay! We will definitely stay there again.	
Nov 13 2005	Great hotel in a good location	I've stayed in many different hotels in Montreal (Delta, Inter-Continental, Omni etc) and this is by far my favourite. Every time I come here the service is excellent, I get a room on a high (25 + ) floor, and get good rates - $129CDN with AAA. The rooms are a little on the small side, but well furnished (With those amazing Sweet sleeper beds) and have great views. Even when they gave me a pre-occupied room by mistake (first day with a new computer system) they got it sorted out quickly and had a fruit basket sent up to my room. Location is great, a block from St Catherine St, couple blocks to the Bonaventure Metro. My only gripe is the parking is ridiculously overpriced ($30CDN/night!) and they force u to take valet, which means another couple bucks on top for a tip. I usually park elsewhere and take the metro, helps to avoid Montreal traffic! Overall, I love this hotel and will be returning again and again.	
Oct 26 2005 	Starwood Platinum	Excellent location downtown, can't get much better actually. Rooms and beds to usual standard for this brand but hotel lacks some character.	
Sep 21 2005	Convenient Location But Large Hotel	Just returned from a 2 night stay at the Sheraton Centre Montreal. It is a large hotel with recently renovated, adequately sized rooms, smallish bathrooms and scenic views of the city from the upper floors. It's major asset is its location, 2 blocks from St. Catherine (shopping), 2 blocks from the Peel Blue line station, and 2 blocks from the Bonaventure Orange line station. Adequate service that got the job done but not much more.	
Sep 1 2005	Close to everything in downtown without the hussle and great wonderful beds!	The location is close to everything you want in downtown without the hussle &amp; bustle: the subway, Rue St. Katherine and the underground malls for shopping, McGill, the train station, starbucks, Rue Peel and Rue Sherbrook are all walking distance; there are two rental-car next door, there is a direct bus service to/from the airport and several restaurants around the block with all kind of cuisine! Old Montreal is 10 minutes walking distance which we enjoyed during the day but we took taxis after dark for less than 8 CA dollars.The room was clean and comfortable with the soft Sheraton's signature beds. Plenty of room and great view of Rene-Levesque Blvd. The Bathroom was OK, plenty of towels but in need of a wall covering update. The staff was very nice: quick check-in and we got a nice welcome gift as part of the fare-package we found in the Casino de Montreal website (50% discount on third night plus full breakfast each day). This deal was not posted on the hotel's website so I higly recommend to check it. The concierge was very helpful recomending restaurants, bars and &quot;scenes&quot;. The staff at the breakfast restaurant was quick and attentive and breakfast was plenty of options if you watch your diet.The indoor pool is a nice feature after all the walking we did so we used it every day along with the jacuzzi to relax before dinner. There is a &quot;very small&quot; fitness facility with just the basic features.If you want a great downtown location with the expected Sheraton's features under $199 a day with full breakfast included (check the fare for this add-on) this is the place. I will be back if value/quality/location is what I want.	
Aug 10 2005	LOVE THE BED!	Every Labor Day weekend, my husband and I stay at this hotel.We have a very enjoyable time. The hotel is walking distance to the subway and to the busy downtown areas (St. Catherine St., Cresent Street, McGill). We just love it.It is an extremely clean and impressive hotel. The lobby is to die for with its marble. Just gorgeous. The staff is accommodating when it comes to everything.	
Aug 3 2005	Great hotel love the beds!	I stayed at Le Centre Sheraton over the July 30th weekend with a few of my friends and it was great. We got an amazing corporate rate for the rooms, $117 plus taxes.Check-in was fast and efficient, and the hotel itself is quite nice. Location is great for shopping along St. Catherines and Sherbrooke, but a little bit far from Old Montreal (Vieux port) and the St. Laurent/St. Denis area. However, when you're in Montreal, do as the Montrealers do-- you walk everywhere!!Sheraton has great beds (I've been to a few and they are all soooo nice) and a billion pillows. They even have express checkout, you dont need to go to the front desk to check out at all!I'll definitely stay here again.	
Jul 18 2005	Great location!	Stayed here with my husband Saturday July 16/05. Check in was smooth, staff very accommodating &amp; efficient. One note: you will need to pay extra to have your car parked - it is $20 CA / night. We asked for a room with a view and ended up on the 25th floor overlooking the entire city, which was great!!! The room was clean and very nice, average in size. 27&quot; television in armoire. The beds (very important!) are wonderful..absolutely plush and comfortable and clean! Had a great night's sleep there. We ordered a movie which was a new release and it was $10.99 CA (an added bonus was the fact that we got to preview all of the movies before ordering one) Complimentary coffee and in-room safe. 2 bottles of complimentary water. Washroom was nice. Location was great too - hotel is one block from St. Catherine's street, which is where you will find lots of shopping! Some really good deals on the street too, many international names you will recognize. (ie/ Mexx, Esprit, etc.) This hotel is right downtown, so you are close to many things. We went to lunch at a place on St. Catherine's street called Reuben's and it was great! Lots of items on the menu - toasted club sandwiches with 3-4 inches high of shaved meats, great pizzas, etc. etc. I would go there again for sure. The only problem we had with this hotel was that we started hearing buzzing noises about 6 am, these noises came and went. It disrupted our sleep..we told the clerk at check-out and she gave us 30% off for our pains. We were very happy with this. This was a really great hotel, it was clean, comfortable and perfectly located.	
Jun 23 2005	Enjoyable Stay	Stayed at Le Centre Sheraton this past month and really enjoyed it fully. Location was very good as it was close to downtown and the metro system for other outlying areas. The concierge staff was extremely helpful with recommendations along with helping us to book tickets for a casino show. Also a must is to order in breakfast one morning from room service which was delicious and reasonably priced, complete with fresh flowers. Finally at a price of $98 on hotwire per night I cannot wait to get back up there for the Comedy Fest next month.	
Jun 18 2005 	It's not bad compared to other hotels in Montreal	The &quot;4 star&quot; rating was given only because the other hotels in its vicinity are comparatively worse. As noted by other people, the location is very good, 1 block away from St Catherine's. However, there are a lot of strip joints close by so may be a bit uncomfortable if you have small children. But, there are a lot of restaurant choices so that evens it out.I got a nice corner room and the coffee maker wasn't in the bathroom. There's an in-room safe. The HVAC is not central but one of those outside jobs. I was definitely surprised by that.Reception/concierge was very helpful, no problems encountered. Maybe because I'm SPG Gold? All-in-all, I would come back.	
Apr 29 2005	Good location	This was a good enough hotel in a good central location. Room on Club floor was OK and the Club Lounge was beautiful. Parking was exploitative. The most disappointing thing is Montreal - a city seemingly caught in a timewarp. All the buildings are 60s in design and the streets seemed to be covered with beggars and junkies. Shopping was good but will not return.	
Mar 18 2005	Not as per expectation	We went to Montreal for 4 days in Feb 2005. The Le Centre Shereton is averege hotel. The rooms are not that spacious and not classy compared to the 'W' hotel. Paying 135 $ per night or above I would say is a killer especially when they charge $$ for parking your car also..	
Feb 27 2005	Bring Your Kids and Your Dog!!	This hotel was clean, the people were friendly and helpful (especially concierge) pool was wonderful! The rooms were average. We selected this hotel because we wanted a pool for the kids and we wanted to bring our family pet. A black lab. All in all, we were not disappointed. We got a great rate $149.00 CA and an extended checkout of 4:00pm so we had two full days of fun and did not need to spend the extra $ to stay a second night. We booked through the Sheraton web site. There is a park two blocks away to walk your dog so it was somewhat convenient but cold. The dog was welcomed by staff and guests! The kids loved the pool. It was clean and warm and the hot tub was an added +. Open till 10:00 so there was plenty of time for fun. Outside ice skating in Old Montreal was the highlight of the weekend. What a blast!! You can rent skates and there is a large park that you can skate on. (if you go in the winter w/children, don't miss it). $40 CA for the whole family with rentals and parking. If you have a baby bring the stroller. They let you ice skate and push the stroller on the ice. Fantastic!! For lunch we highly recommend the Forgot Cafe and Bistro on St. Paul in Old Montreal. It is a sweet French bistro with wonderful food and old time atmosphere. It was our second trip there and we truly enjoyed everything. Owners are usually present over seeing perfection and although there is no &quot;kids menu&quot; we found they do cater to children. (chef prepared plain pasta for my daughter) Their presentation of desert is awesome!! If you want to experience a quaint French bistro with children give it a try. Lunch will run around $80 CA for a family of four. Sheraton's location was convenient and we would defenitally stay again.	
Jan 22 2005 	Big Deal	I stayed here for 5 nights in early January, having come to Montreal on business. The hotel is a little beaten up, needing some renovation in guest rooms. I say rooms because they had to move me to a new room based on internet access issues- an issue I had to figure out because the internet access 1-800 help desk could not figure out why I could not sign on- 2.5 hours later I tried the busines center and was able to get on line, thus I moved to a new room. The gym is pretty good, could use some newer cardio equipment. Gym was packed by 6:10 a.m. each day, so maybe they should expand it. Staff for the most part was very nice and professional.	
Dec 7 2004 	Just OK	I found this place to be clean and efficient, with generic big hotel touches in the lobby and room. Checkin was smooth and the staff seemed nice. My room was on the 29th floor and, while it was on a sort of corner, had a view of only parking lots and the street. My rate was not terrific, but it was a very convenient location to my business destination. It is close to St. Catherine Street, but be aware that the part of that street it's closest to, as well as the side street that you'd walk along, seem to be the strip club district. Fine if that's your thing, but if you're bringing kids you might want to take a more circuitous route. The room itself felt pretty dated, with old-fashioned curtains in the room (and the same pattern on the shower curtain) and quaint wallpaper in the bathroom. The bathroom was large, but had a strange marble plank floor that was extremely cold. Pack slippers. The closet was mostly occupied by a safe on a pedestal that made it impossible to hang anything longer than a man's dress shirt in the center of the closet. I had room to fit my coat along the side of it, but a second coat wouldn't have fit. The coffee maker is in the bathroom--it's as far as possible from the toilet but still might invoke an &quot;Eww&quot; response if you're at all squeamish. I'm not sure why this is--there would have been plenty of room on top of the minibar if they had moved all of the fliers advertising their internet service and the Starwood Preferred Guest program. There was a complimentary bottle of water, which was nice. Be aware also that hotel taxes are quite high (16.5%), though the exchange rate with U.S. dollars is still pretty good.	
Nov 27 2004	All about the beds...	We stayed at Le Centre Sheraton in late summer as we received an excellent deal ($109) and the location is within walking distance of almost anything in downtown Montreal.The check-in was efficient and the staff were very friendly. (We even got a free disposable camera as part of the AAA rate - great since we'd forgotten our camera!) We had requested a higher floor room and were checked into the 24th floor with a great view of the mountain. It was on a corner, the only downside with that is that the windows are smaller - but the bathroom, while older, was immaculate and large. The beds are amazing, however - the Sheraton Sweet Sleeper is extremely comfortable - after a long adventurous drive from Toronto (don't ask!) it was great to arrive and relax in these beds, lots of pillows, soft duvet, comfortable matress. Amazing.One advisory about parking - the parking in the hotel was something like $20 a night - there's a large lot across the street in front of the Molson Centre that charged only $5 a day - only downside, we had to go back and pay for each of the three days, however with the cost savings, it was no big deal. I suggest you do this rather than get ripped off by the hotel.Overall, a great hotel, a little 80s-ish in design but very comfortable and friendly despite its large size. Enjoy your stay.	
Nov 21 2004	Just so-so you can do better elsewhere!	This is mainly a business/convention hotel. Lots of convention rooms here and hordes of people in suits. Cavernous feel, no personal attention, and smaller-than-average rooms (only 275 sq ft - yikes!). Also, many of the halls have stained carpets. On the plus side, it's close to the Bell Center and the Ste Catherine shopping street, but it's much further from Old Montreal than other hotels. So I do not like the location, except it's good for IBM because it's right across the street when I go there for work. Nevertheless, I never stay at this hotel anymore when I travel for work, despite the convenience of it being across the street from IBM, because there are so many other better hotels I've stayed in. Instead try one of the boutique hotels in Old Montreal, or if you want a big downtown hotel, I believe that the Chateau Champlain and the Fairmont are better choices than this Sheraton. I think the chateau has a slightly better rate usually too. I will stay here if my other preferred choices are not available. I pay $120/night at the Sheraton. For that price it's okay.	
