	WOW!!	Great hotel! Stayed there with my wife for one night, got a great deal from the hotel. Amazing location, great staff. The bed was amazing and the pool and gym was also stacked with many machines and a great view while working out. The hotel staff is very very helpful, my wife forgot a pair of jeans and the mailed them back to us for free. I've never seen so much of an effort from any staff.Can't wait to stay again.	
Jul 17 2008 	best hotel in america	stay anywhere else in chicago and you'll be making a mistake. pick a category and this hotel has it knocked. there was nothing to complain about. loved every minute of it. the room was outstanding and the service was even better. they are the best and treat everyone like a celebrity. way to go donald, you rule.	
Jul 12 2008 	Extrordinary Hotel	The Trump Hotel Chicago is amazing! Our room was more like an elegant condominium rather than a hotel room. The fully equipped kitchenette was a nice touch. The health club is out of this world with high-end equipment. For some reason, cell phone service was very poor in this building...many of my collegues had the same issue.This is THE hotel to stay in when visiting Chicago.	
Jul 11 2008 	Great hotel great location	My wife, 3 month old son, and i stayed at the Trump for 3 nights. It shouldn't make any difference, but the building is still under construction. This didn't impact the hotel at all other than the scaffolding outside the building. No noise or other inconvenience. I've stayed in only a few other really high end hotels and this was definitely the best. The staff was very friendly and greeted my son by name several times. The room was huge (600sf) and had all sorts of neat &quot;extras&quot; (42&quot; LCD tv, tv build into the bathroom mirror, fully stocked kitchenette with very nice items, Bose clock-radio with iPod dock, electric curtains), very comfortable bed. Bath products are top notch. My wife said &quot;this is the first hotel I've been where I wasn't skeeved out about the sheets and never saw a single hair in the bathroom.&quot; The only complaints, and you have to take them in reference to the hotel being 5 star, are that there were some marks on the walls as if luggage had rubbed, and the turn down service never returned one day and had to be called the 2nd day. Minor issues for sure, but if you're talking about a 5 star hotel, that's a high standard. I'd definitely recommend it, but I also have to say we got a very good price of about $300 per night. I don't think I'd pay the usual rate of $450 or more per night for ANY hotel.	
Jul 10 2008 	Loved the hotel HATED THE RACIST DOORMAN.	We recently stayed at the Trump hotel in June. I am originally from Chicago, and we wanted to visit our family who live further north, on Lake Shore Drive. We got a river view suite, and I think it was about $500.00 a night.I have to say the hotel is STUNNING!!!!!! Our initial room was great, but noisy (there is still ongoing construction). The front desk at the Trump obliged in giving us a new room, and it was breathtaking. Everything is very modern and new (and in keeping with the sleek modernity that you would see at hotels like the Mercer in NYC--sleek, but not overwhelming or intimidating). The room had the BEST Chicago view--Navy Pier and the Chicago River and it was mostly unobstructed and endless. And a real bonus was that the windows open just a bit--we are sticklers for fresh air. That allowed just enough air in without there being a hazard for those of you with small children.The room (one bedroom apartment?) was clean, and roomy and had everything you could want (we had a suite that had two full baths with absolute top of the line fixtures--amenities like a television in the mirror (I want that for home!), marble showers AND separate baths. There was a full kitchen with top of the line appliances (Miele dishwasher, for example, and also free Nespresso), which would be a real bonus for families for children.Speaking of children, when we notified the hotel that we would have a baby visiting us for the day, they immediately put not only a great crib in our room, but a high chair, a diaper genie and soap and lotion, etc. for the baby. We really appreciated that gesture.The swimming pool is also great for kids, and they are very friendly there and will provide swimming noodles and amenities for those with small children. Adjacent to the swimming pool (btw with a breathtaking view), the Spa/Fitness room is absolutely top of the line--brand new and plentiful equipment, Pilates classes, and fresh water (fruit infused and bottled. The last day we were there they replaced the bottled water with Trump Ice water, which had a picture of Donald Trump on it. We thought it very funny!). It is so neat to exercise in a great location (high up overlooking all of Chicago).The restaurant, however, is a work in progress. The staff was not yet fully trained, the water tasted like chlorine (and they kept trying to fill my glass with it, even though we had bottled water), and the menu was HORRIBLY expensive ($50.00 for an entree), but not inspired. We actually had a hard time trying to figure out what to order, because nothing sounded interesting enough to pay for. Before we were finished, it was clear they wanted us to leave, and started to fold linens in our vicinity, which seems strange when you are paying $400.00 for dinner. But the view is great.However, the fact that I liked the hotel as much as I did makes me sad to continue this review and end up only giving this hotel 3 stars. The first incident that blew our minds was what will be known in our family as the &quot;racist doorman incident&quot;. On the early afternoon of Friday, June 20th, it began to rain, just as my family stopped by to pick us up for lunch. Earlier in the day, I had gone out and it had rained, and I asked for an umbrella at the first counter where the doorpersons are stationed. They happily obliged (one person was a nice older African American woman with braids). I returned the umbrella as we came in, and thought nothing of it.At about 1p.m., however, when I asked for two umbrellas (we were now a motley group of 4 toddlers, and 6 adults without an umbrella amongst us), the same woman manning the door attempted to go behind the desk and retrieve them, but the man behind the counter, looked at us, stopped her, and said, “We are all out of umbrellas. If you need an umbrella, you will have to go up to your room to get one.” Fair enough. We understood that if it was raining, umbrellas may be in limited supply. My husband went upstairs to get an umbrella. But in the meantime, the same man behind the counter took out all these new umbrellas and started unwrapping them! They were there all along!What was more HUMILIATING was that he came from behind the counter, and gave an umbrella each to two white women who hadn’t even left the lobby, and HADN'T EVEN ASKED FOR THEM YET! I was shocked, but I was actually more humiliated. Both my 4 year old daughter and my 65 year old mother asked me why the man said there were no more umbrellas, when clearly there were. How could I tell my daughter there were no more umbrellas for people like us?! Did he not like us because we were the wrong color, or because he didn't think we were worthy of the hotel? I have my suspicions, but don't you think that was awful??!? At least the African American co-worker, who was clearly embarrassed, then proceeded to go behind the counter and give us all umbrellas. But he really ruined my day and I felt really low. I thought about why he would do such a thing in front of my family all day.That same day, at 8:30 I went down to ReBar, their signature bar (that they tout as serving exotic cocktails) for a quick cocktail with my sister. I felt we were both dressed well (she was in a summer dress and I was in a pucci dress). When we sat down, a waitress came to us and said, &quot;I'm sorry, but this table is bottle service only after 9:00pm). My sister responded that it was only 8:30. The waitress served us, but you could tell she wasn't happy about it. I can tell you that we looked like everyone else in the bar (the bar, btw, skews middle-aged and distinctly suburban; I definitely was one of the younger people there). My sister, who already had the &quot;umbrella&quot; incident, started talking about how she felt uncomfortable being there, and so as soon as the drink came, we took it upstairs. But the kicker is that my husband and myself came back an hour and half later, and guess what? The couple now sitting in the same seats we had earlier occupied was just drinking simple cocktails!!!! Where was the bottle service?!?!? Beats me.Initially, I was willing to believe that these two incidents were an aberration and that there is no pattern. No one wants to accuse a hotel of something like casual racism in this day and age. But after speaking with the manager, I am not so sure. They say all behaviors emanate from the top, and if this is the case, I have to say the manager could do a better job at dispelling my suspicions.When I wrote the manager about this, both he (T. Colm O’Callaghan) and his assistant manager (Jerome) tried repeatedly to contact me. I assumed that they were contacting me to apologize, but what actually ended up happening is that Mr. O'Callaghan at first apologized, and then tried to intimate that I had misread the situation. He kept trying to tell me that what happened didn't happen!!!! He said they simply ran out of umbrellas! HELLO??!! I was there!!! They NEVER ran out of umbrellas, the guy just didn't want to give us the umbrellas he had! He kept trying to spin it as a misunderstanding, but this guy just didn't want to waste his dwindling resources (umbrellas) on the likes of us.As for the bar incident, he said that certain areas have bottle service after a certain hour. But when I told him that hour hadn't been reached (she didn't want to serve us at 8:30pm because she said bottle service starts at 9), and when I came back an hour and half later, the people now sitting at the same seats were just having cocktails, he didn't want to talk about it. Weird. Instead of diffusing the situation, he made me feel as if he didn't want to hear what really happened, and that he thought I was a silly deluded person.So in the end, this hotel gets 3 stars: 5 stars for the hotel, amenities (spa/swimming pool/fitness center), view and most of the staff, and one or none for the racist doorman, waitress (?), and pretty insensitive manager. The restaurant was also not so great.	
Jul 10 2008 	Good new hotel on Gold Coast	Great new hotel. Service is first class. Room was very large with a full kitchen. We loved the espresso coffee machine. Enjoyed beverages at Rebar. Bathroom amenities were great and loved the in mirror HD TV. I do prefer totally separate shower and tub but this was a nice design. Comparing to Park Hyatt, we do prefer the Hyatt instead although not taking anything against Trump. It is a great new addition to the luxury hotels in Downtown Chicago.	
Jul 8 2008 	Warning - theft from room - protect your property	Our stay at Trump Chicago started off as one of our favourite Chicago experiences. The room was fantastic and the front line staff exceptional. We were so pleased with the hotel and its facilities that after our second day, we decided we would like to make this our &quot;go to&quot; hotel in Chicago. This all changed on our third day. While getting ready for dinner, my wife realized that she could not find her new designer shoes that she brought along. She knew exactly where she had left them the night before, however, after a very thorough search, they failed to turn up. We contacted the front desk, and while at dinner, the room was checked again by hotel staff and security without success, and it was determined that her shoes were &quot;removed&quot; from the room while we were out earlier that day.Although you might think that this in itself was enough to turn us off the hotel, it was how the managment handled (or lack of) the situation. We were told that we would be contacted by the &quot;Director of Front Office&quot; the following morning and he was in a postion to resolve this matter. We waited most of the next morning to be contacted by Paul &quot;S&quot;, and after leaving 3 messages for him we were informed by security that he was &quot;too busy to deal with this situation&quot;. OK...lets get this straight - the Manager of a five star hotel is too busy to deal with the theft of a guests personal belongings from the room? Are you serious? Motel 6 offers better trained managers (I've never really stayed at Motel 6), and we have yet to hear from anyone regarding this matter.The Trump Hotel offers guests a fantastic experience and its design and dedication of the front line staff need to be noted. The management however is an embarrasment to the Trump name and should get the &quot;YOUR FIRED!&quot;	
Jul 7 2008 	Excellent splurge weekend	After a two-night stay at the Trump to celebrate a special occasion, my wife and I now have a new favorite hotel for our getaways from the suburbs to downtown Chicago. Over the years we've tried a lot of the major hotels...the Four Seasons, Peninsula, Park Hyatt, Ritz, Sofitel, Drake, and others...and while they're all nice, we think the Trump has the most going for it. First of all, the location is perfect: just a block off of the Magnificent Mile, an easy few blocks to the center of the Loop or to River North galleries and nightlife, and a very nice stroll to Millennium Park or the lakefront. It's in the middle of everything but still above most of the city noise (two sides of the building are more or less bordered by water). The views of the lake, river, and/or city are unbeatable.Everyone we encountered on the staff was friendly, hospitable, and surprisingly unpretentious...including at the top-notch restaurant Sixteen. For such a classy property, the snoot factor was really low which made it all the more relaxing.And our room was extremely comfortable. Lots of elbow room, high ceilings, huge windows, a great bed, and unbelievably, every room has at least a small kitchen; ours had a fridge/freezer/ice maker, sink, dishwasher, microwave, and cooktop. Our bellman said that some guests actually do bring in food and cook in, a touch of home that we did not take advantage of but if we had kids with us that kitchen could have come in very handy.Although the building construction is continuing way above the hotel space, you really couldn't tell; the only things that gave it away were the scaffolding over the front entrance and the occasional lifting or lowering of building materials way up on the ~90th floor. (At one point we saw a construction Porta Potty being hoisted past our 20th floor window which was a little disconcerting, but that's it.)We had a perfect getaway and will definitely look forward to returning to the Trump. But for now it's back to real life...	
Jul 6 2008 	Best location in Chicago	I wanted to try this new luxury property in Chicago. I've stayed at the Peninsula, the Four Seasons, and the Park Hyatt (and other lesser rated properties) and I was looking forward to comparing the Trump to these fine accommodations.First, the good. Location, location, location! By far the best feature of the hotel is its scenic perch on the river, close to the Michigan Avenue scene AND the loop stuff like Millenium Park and the Art Institute. Right now it is a bit tough to find and walk around because of ongoing construction, but this should be no problem when it is finished.Second, even the standard rooms are huge. I was on the 24th floor in a 'city view' deluxe room. The view was forgettable, but the quality of the interior was impressive. I especially liked the high end ktichenette with a microwave, SubZero fridge, Meile stove, etc. There are even cooking utensils, pans, and dishes!Now, the not so good. Even though the room is large and luxurious, I found it a bit sterile. The slate color scheme should be brightened up a bit with a dash of red roses or something else to break up the slate monotony. The duvet on the bed was very thick and the a/c didn't seem to work so well so it was a bit stuffy. I took a tour of the spa and fitness center, but didn't partake of any service or activity. I had no meals at the hotel either.The one downside of my stay was the construction noise that started early in the morning. I know that I paid a soft opening rate of $347 because of the construction, but I had hoped that there would be a minimal amount of noise. Not so -- they were pumping concrete up to the 90th floor and there was a 5 second interval pounding in the core of the hotel that did not stop. When I checked out, I told the front desk person about this, and she apologized. I actually checked out early because the pounding was so annoying.All in all, the Trump is a fine choice for Chicago, but if you are looking for lavish, extensive public areas and a bit of warmth in the guest rooms, I'd suggest the Four Seasons or Peninsula.	
Jun 23 2008	Wonderful Hotel!	My husband and I just stayed 3 nights at the Trump International and as many have said, it did NOT disappoint. Although the first room we were in had quite a bit of construction noise, I asked if there were anything else, and they immediately moved us to the opposite side of the hotel where we had a wonderful river view. We had a Deluxe river room which was lovely. My husband said that he was &quot;in trouble&quot; because I was so spoiled by the ammenities and service, that I will never be satisfied with a &quot;regular&quot; hotel again. The staff were wonderful. Unobtrusive but able to quickly answer any question we had. They ALWAYS had doors open for us when we were coming and going. One thing that set this hotel apart was that we always felt that we were given individual service as opposed to &quot;what's best for the masses&quot;.Can't wait to return! I hope we can afford it after it is completed!	
Jun 15 2008 	Trump Tower - Chicago's best hotel ?	We have just completed our third stay Trump and felt compelled to pass along our highest praises for this exciting addition to Chicago's hotel scene - The staff at Trump are very professional and friendly you would think the hotel had been open for years then you look up and see the cranes still working on the upper floors - The construction is not an issue but it will be great when they are able to open the outdoor areas of the restaurant and river walk - Anyway for us who have stayed numerous times at the Penninsula and the 4 Seasons we now have a new favorite hotel in Chicago , it.s just more fun @ Trump . Great job to the management and all employees that make this such an exciting new hotel - I can't wait for all the finishing touches to be completed at which time I think universal praise will place Trump at the top of the list for luxury hotels in Chicago !!!	
Jun 14 2008 	Weekend without children	We stayed at the hotel for a weekend - leaving the kids behind at home so we were just looking for a nice relaxing weekend.The hotel was great. I was expecting over the top luxury but instead found it very understated and modern.Besides the scaffolding at the entrance there is no other evidence of construction.Contrary to some of the other reviewers opinion I found the staff very attentive and courteous. They're not in your face, but they're there if you need something.I am about 6 months pregnant and I was asked if there was anything they could do to help me with any cravings to just give them a call.The rooms are huge and very convenient. Wonderful shower, wonderful bed, the kitchenette is helpful.The concierge was helpful and was even able to get us last minute tickets to shows (albeit at a very inflated price)Room service however was very disappointing. I didn't order the 1000$ Trump dinner menu (yes, 1000$!) but the food I ordered twice was well below average.Location of the hotel was great. It's walking distance to almost everything and the building is so tall that even with my bad sense of direction I could always find my way back.There's also a wonderful restaurant called Vermilion just a 1 minute walk from the hotel.	
Jun 13 2008 	The Trump didn't disappoint	When you're paying the kind of rates that are charged at a hotel of this caliber you expect a certain level of quality and service. The Trump didn't disappoint in either area. We stayed here to celebrate my husband's birthday for 2 fabulous days in what is literally an apartment that is arguably located in one of the best areas of the city. We walked to Navy Pier, the Lake, and Michigan Ave. shopping to name a few city hot spots. Because the Trump sits on a bend in the Chicago River it has a fantastic vantage point. We had a suite with floor to ceiling windows that showcased a view of the river and Lake Michigan. Unfortunately, the building's upper floors were still under construction during our stay and the windows were in need of a wash. However, other than the dirty windows and a little water dripping off the overhead construction scaffolding set up at the hotel's entrance, we were never disturbed by the construction. The accomodations are top of the line everything. Good linens, very comfortable bed and robes and slippers are provided. I like this touch. The suites have a full kitchen that comes complete with espresso maker, hot water kettle (I drink tea and really appreciated this extra), dishes, glassware, silverware, pots and pans, a full refrigerator, dishwasher etc. The suite we reserved had a dining table that seated 8 and a large, comfortable living room with flat panel TV, Bose Ipod docking station and a desk/work area with unlimited free internet. We felt like we were staying at a friend's very luxurious apartment. The bedroom was separate from the living area with its own bath complete with waterfall tub, separate rain shower and two sinks. There was also a powder room located off the living area. This was great for our needs because we had guests come up to our suite after we hosted a small party in the Grand Salon, one of the Trump's banquet rooms. Our private party experience also went beyond my expectations. The Grand Salon has a modern zen elegance, the food was simply gourmet all the way, the service was impeccable and there was that amazing view again. The event planner was professional and handled the smallest details efficiently. The only small disappointment was the bartender. He didn't seem to know how to mix certain drinks, but this could have been a result of the bar only being stocked with certain liquors. We didn't take advantage of the spa, but did use the fitness center which was also top of the line. The treadmills actually had aromatherapy fans! Overall I would definitely recommend this hotel, especially for a special occasion. It certainly made our celebration more memorable.	
Jun 11 2008 	Loved the Trump	I brought my daughter to the Trump to celebrate her 19th birthday. She was in for a surprise because she thought we were staying at the Hyatt. I let the hotel know it was her birthday and upon check in, they wished her a Happy Birthday. We had a standard room but it was beautiful and modern. We had a nice city view and loved the mini kitchen. We also loved the espresso machine! After getting settled into our room, as we were putting things away, room service showed up with a small birthday cake that was a raspberry mouse-very nice touch! We did a lot of sightseeing for three days and although the weather was not that great, we loved being able to just walk around on Michigan Avenue, take the free trolley over to Navy Pier and catching cabs here and there. We went to Cafe Babareba the first night and loved it (great flavored sangria), saw Blue Man Group (for the 3rd time but still loved it), shopped on Michigan Avenue (very convenient to the hotel), had lunch at Giordanos and one day on the 95th floor of the John Hancock building, had dinner at N9ne (maybe a little overrated but ok), and went to the Field Museum. After shopping on Saturday, we did go to the pool area and loved it! Aside from a beautiful view and lovely, serene setting, they have the Kohler shower you see on TV with all of the body sprays that even has different colored settings. We also enjoyed the steam and dry saunas, and they even have a small bathing suit water extractor - very cool! We went to Rebar one evening and I enjoyed a raspberry champagne while she enjoyed being in a trendy setting for a bit.All in all we loved our stay there. We saw a family pull up in a rolls royce, and tourists in jeans and t-shirts and I think everyone was treated the same which was refreshing considering some high end places have employees that act as if they're better than some of the guests! Everyone was super friendly from the front desk staff to the doormen.We'll look forward to staying here again!	
Jun 9 2008 	The hotel is amazing even the least expensive room is spectacular	Even though the hotel is still under construction, besides some work to the hotel drive in area, I did not notice any noise or construction traffic. The reception area is modern and very Trump, and as soon as I stepped out of our sedan we were immediately treated &quot;as royalty.&quot; Our bags were swooped up and our room keys quickly distributed.We had a Deluxe King City View room on the 23rd floor. I believe that this is the smallest and cheapest of the rooms. But as soon as we opened the room to the door, we were blown away. The view to the city is unprecedented, and every detail of the room is upgraded even compared to a luxury hotel. The bathrooms are huge, deep soaking tubs lay adjacent to a rain showerhead and shower area all enclosed in semi-frameless glass doors. THERE IS EVEN A FLAT SCREEN TV IN THE BATHROOM MIRROR!The room was amazing! Simply Spectacular!My wife and I also tried out the Trump Spa, we both booked 90 minute Trump Massages. They were the best massages that we both have ever received. I highly recommend the Trump Massage. And arrive a little early so you can enjoy the other Spa amenities and the relaxing lounge area.The location is also perfect, right in downtown just a few blocks from the best shopping in Chicago.I highly recommend this hotel and I hope that the rates do not go up too much once construction finishes so that I can come back for my next trip to Chicago.	
Jun 9 2008 	Awesome	From when you check in to when you check out you will be treated like Donald himself.Visited Chicago for a weekend in April. Weather was perfect and the hotel could not have been any better. We got upgraded to a suite over looking the river and the lake. They are still building the upper floors but you would not have known unless you looked up. The spa is a great experience. Just the pool and shower alone is worth the short elevator ride.Sixteen is the best meal I have had in a long time. I highly suggest the tasting menu. Worth every penny.	
Jun 2 2008 	Crisp and Modern Reasuringly Nonpretentious HUGE ROOMS!	Booked a room at the Chicago Trump on Valentine's Day. The hotel hadn't officially opened yet, and so scored a great rate on the grand deluxe 1-bedroom suite. To be honest I really wanted to hate this hotel, but upon my night's stay I have to admit that it is instantly competitive with Chicago’s finest five-star properties. The lobby is small and, check-in was quite pleasant. Readily available employees everywhere you look, but nonintrusive at the same time. Decor is very pleasant- very minimalist and modern, and everywhere you look there are panoramic views of the Chicago skyline, river and lake Michigan. Suite was HUGE. 1,000+ SQ feet, could have entertained 60-70 easily. Floor to ceiling windows with fabulous views (see pix) and great full kitchen with everything you’d need to make five-star meal (they actually offer in-room chef service). Recommend both Sixteen and ReBar for views and food that compete with other fine dining establishments as well as hotel bars. Can’t wait for Sixteen’s patio to open summer of 2009.	
May 27 2008 	Hoped for more at this high end Trump Hotel	My husband and I stayed at Trump for our 5th wedding anniversary this past weekend. I had high expectations, however many of them were not met based on the ratings of the hotel. We live in the suburbs of Chicago and are well traveled. The Pro's:Location is fabulous; especially if you are not from Chicago you can walk to just about everything and the cab rides are short if you prefer to take one.The room is gorgeous! The bed is one of the best we've ever stayed in and the mini-full kitchen was great for heating up our left overs the next day. We found the amenities to be well thought out and well appointed. Plus the touches like framed photos in the room were very chic and homey at the same time.You will never find a better bathrobe in your life. They accommodated our bikes which we drove in with to do a biking event and kept safely down near the security office. No problems.The Con's:We booked an elaborate VIP spa package; the massages were about a 6/10 in quality (but that is subjective, I'm sure) and the fancy baths that were drawn for us could have cooked a lobster they were so hot. I had to run ice cold water in it for 5 minutes straight to make it manageable - and for $550 for this treatment, I didn't expect to have to draw my own bath. Very disappointing.The service was...cool. No one was rude or impolite, but as I mentioned before we stayed for 2 nights in a deluxe room for our 5 year anniversary and despite wanting to know the special reason for our stay when we booked the room, they did nothing with this information. For touting this level of service, we were both disappointed that no effort was made to go above and beyond. Faulty charges were on our room with little to apologize or compensate for us catching the $160 error.Overall, I won't be running back to spend this kind of cash at this facility. The restaurant at Sixteen is stunning, although we did not dine there. The excitement of being at a Trump facility left something to be desired, as we expected more from this high class hotel.	
May 27 2008 	Will definitely be back	Stayed at the Tump Tower over holiday weekend. I traveled with my husband and my 8 month old son. Absolutely loved the property - the rooms are spacious and the kitchenette is indispensable when traveling with a young child. Staff was extremely accommodating especially at the restaurant Sixteen. Whether in town for business or pleasure, I will stay here again given the property's perfect location, spacious rooms and excellent service.	
May 27 2008 	Perfect for children!	We just returned from a weekend stay with our 2 year old for our 10th wedding anniversary. The hotel was the perfect luxury accomodations that you would expect. Complimentary champagne and chocolate strawberries were waiting for us in our room. The hotel staff was completely attentive and every little detail was covered when it came to our child. The room was equipped with a real crib, diaper genie, high chair, baby bath products ( including rubber duckies) and a stuffed animal for him to keep. For us adults, the extra large suite allowed us to have our own space while traveling with a toddler. The pool was great also with swim diapers and baby toys. The restaurant was gorgeous and completely accomodating. There is a little cosmetic disadvantage with the construction still going on above and the street noise was not completely filtered but it was worth it. Perfect stay with no complaints.	
May 20 2008 	Great Hotel but Weak Service	Great new hotel in Chicago, my first time there. I have to say that the rooms are big and nice interior but the hotel service really lacks. Not what you expect from a five star hotel, most staff not very friendly and for some reason alot of staff dont know basic information about anything. The best part of the stay was though when the concierge booked us a restaurant which has been closed for 4 months, really funny to get to the place and there is nothing there. Otherwise a really good stay, hope the service improves.	
May 20 2008 	The best hotel in Chicago?	After having stayed in this great hotel I am not surpised that all the reviews for it are so good. Our room was huge with great views. The service was excellent. To summarise, a really wonderfull hotel which is of an equal standard of the 4 Seasons.	
May 19 2008 	Pretty Great	Had an incredible stay this week.The hotel is almost complete with construction and Is absolutely beautiful.Upon check in we had requested and booked adjoining rooms.We were shown to the room and It wasnt adjoining.We had even asked them at the desk to confirm this and It still wasnt correct.However the bellman was so professional and offered us to sit in the room and offered to make us coffee while we waited for the desk to find our correct rooms.The rooms were located and simply perfect.The rooms are very modern and HUGE.They each have mini sub zero and miele dishwasher(not sure why anyone needs this,but Its great)The room also had a super easy espresso machines for a quick cup in the mornings.The bathrooms are awesome and my favorite part.The typical TV in mirror that you see at most upscale hotels these days(finally put one in at home)The shower and bathtub is side by side behind a glass wall.The lighting and drapes are all controlled electonically and easy to operate.The flat screen TV didnt work and the maintenence dept. came directly up with a new TV and were efficient and and quick with the installation.The staff is well trained and always greet you with a &quot;Welcome back&quot;each time you return.I booked a massage a was a bit disappointed.A female should always have another female show her around the spa.With that in mind,I checked in for the massage and had a very nice man show me to the door of the ladies locker room and went away.I was alone in the locker and didnt have a robe in my locker and had to get completely dressed to go back to the desk to ask where to get the robe.It was a little eerie in the locker because I was completely alone with NOBODY around. Ater a mediocre massage I was shown back to the door of the locker room.When walking back to the showers I had to weave around a group of people being given a tour of the spa,with the group of business people in suits.Those of you people who get massages understand how you look after the treatment.I felt very uncomfortable. I dont know maybe thats just me.The hotel is amazing and you wont be disappointed.Go soon before It stays booked year round as It surely will.	
Apr 18 2008 	This Place is Awesome!	I stayed at Chicao's newest luxury hotel in March, and was absolutely blown away. Not being a huge Donald Trump fan, I was sketical until the moment I walked in the lobby, when I knew this place was special.Although the 93 story building was not yet complete, the Hotel had just opened, as it occupies only the bottom (now completed) 30 floors.From the staff at check in, to the 600 + sqft standard rooms, everything was first class all the way...ever seen a Sub-Zero mini-fridge? All fine Italian furniture, Bose CD player on nightstand, IPOD doc, flat screen TV's, including one in the bathroom mirror!Also full kitchens with Milet stove, dishwasher, even plates, forks, and knives...and I was in a standard room! The views of the river, and lake are nothing short of spectacular, and as a frequent visitor to Chicago, I can say with some authority that there is no hotel in the Chicago with views like this, and no upscale hotel with all the modern ammentities this one has...and did I mention the rooms are huge!The rates are still low considering, until construction is complete in 2009, and I definitely felt like I was getting a great deal, even though I was still paying $300 a night...the rates supposed to go to $500 a night soon, so make sure to take advantage of Chicago's newest gem, with the best location in the city!	
Apr 15 2008 	An amazing experience!	I had the pleasure of staying here for a weekend in April - after a weeks training outside Chicago. It was a truly enjoyable experience. I stayed in a double room with a kichen (inc dishwasher, fridge freezer, coffee machine etc) on the 27th floor overlooking the river. The views were spectacular and the room very spacious. Room facilities included a large bathroom (inc TV in the mirror), luxurious bathrobes, Plasma tv, iPod docking station, comfortable bed, desk with stationery supplies, and beautiful interior design.Customer service in the hotel was excellent. Overall the staff were friendly, approachable and professional. I would recommend a visit to the spa on the 14th floor where I enjoyed the Trump Classic Massage. Also the restaurant '16' on the 16th floor served delicious food (the sampliing menu is recommended) with wonderful views.	
Mar 25 2008 	You have to do this	I had the opportunity to stay at the Trump for the evening of the 9th of Feburary. We were on the 17th floor with a standard room. The Room layout is great we had several people in the room to celebrate my Niece's birthday. We had a King Size bed with a sleeper sofa. Not everyone spent the night but at one point we had 5 grown woman and 2 toddlers in the room and never felt cramped. There was a 2 burner electric stove along with a dishwasher and sub zero mini fridge. The bathroom is the best there is a soaking tub that is out of this world. There is a television recessed into the mirror that you can view from the tub. The bathroom amenites are top notch. They offer slippers and an umbrella in your hall closet and the closet in the bedroom is huge by most hotel standards.The bed was so comfortable and even the sofa bed was not bad. The room had a flat screen tv and a huge dresser that can double as a buffet when you are serving guests. They have an awsome array of serving pieces in the kitchenette. The staff is wonderful, we laughed that we never opened a door for ourselves. The staff is well trained and show pride in their work. I think everyone we encountered really enjoyed their job. They had a sense of pride to being working at such a great hotel.The only drawbacks we found were that the walls are flat paint and when the little ones touched the walls they left some prints. Also in the kichen area there is flat paint and as people reheat food or cook this could be a future problem. The pans are truely gourmet and if you do not have oil there is a huge sticking factor.The room was not as child friendly as other places, but this is the TRUMP so move the objects of art to a higher location.We will be back....if you can splurge a little go for a one bedroom suite. You get a full HUGE bedroom, 2 bathrooms and a full kitchen with a living room.	
