	Good downtown business hotel	Great location, reasonable conference rates, small but clean &amp; tidy rooms, free wireless at a business hotel! Convenient to Blue Line Jackson station	
Mar 25 2006	Great value	The Club Quarters Chicago (Central Loop) was quite chic. It was close to the museams and millennium park, but far from the bars and clubs. The rooms were standard size and had either two twin beds or one queen. My only complant is that they don't provide any blankets, so bring your warm pjs!	
Mar 25 2006	Clean and convenient!	Stayed here for the first time, arriving on St. Patrick's Day. Our room was very clean. Very easy to access from the highway and a great location to walk to downtown sites. Food and service at the adjacent pub were fine. We took advantage of the self-park which was $19 a day and only about a 5 minute walk from the hotel. The parking structure was very well lit and relatively secure. Just a few steps away from the spot on LaSalle which many will recognize from seeing Brian DePalma's &quot;The Untouchables&quot;!	
Mar 21 2006 	Doesn't get better than this.	This was the second time we stayed at this hotel.The first time, we stayed for one night and the room was small. Our recent stay was for 8 nights and I think we were given a larger room because of the length of the stay. The room was a good size with a queen bed, desk and sitting chair.Drawer space was less than I needed, but I brought extra hangers and used the closet. The room was very clean without any wear. Hotel halls were clean. Carpet was not worn. There was a supply closet in the hall with extra blankets, pillows, ironing board and iron. Staff was friendly and very helpful with information. Doormen were quick to help in and out of taxis and were knowledgable about the area. FREE internet service in the lobby and on the third floor. Lobby was very cozy with TV and fireplace. Coffee in the morning. Patrons were a cross section of business people and international travelers. Because the hotel is located in the Loop, it is very quiet on the weekends. There is a restuarant/bar attached to the hotel, a coffee shop a block away for informal meals and a 7-eleven across the street for snacks. Starbucks is next door. We are business travelers and have seen it all. This hotel is highly recommended and is a keeper. For us, it is the only place to stay while in Chicago, plus.....the price is right!!!	
Mar 20 2006	Okay for what you pay for	The Club Quarters is in a great location. The parking was very expensive for the two nights my Dad and I stayed there. We felt safe around the area at night. The Elephant and Castle was a nice pub but the food was a little overpriced for what it was. I was not happy when we requested two beds and only got a queen. I called the front desk and they wanted me to pay 30 dollars more a night for the suite, which would give us a queen bed and a sleeper sofa. Apparently, our check-in at 7pm was too late to get the two-bed room we requested. Our room had the bed and a desk chair and that was it for seating. We didn't spend a whole lot of time in the room so it didn't matter too much anyways, but it was still quite annoying they wanted to charge us more. I found the climate control to be either too hot or too cold and our room smelled of cigarettes. Overall, it was okay, you get what you pay for, and if you have the need for two beds, check-in early.	
Mar 3 2006	Happy with the quarters	Club Quarters in the Loop was just fine for a single traveler. I paid $ 75 thru priceline. clean and convenient to the trains.	
Mar 1 2006	Excellent stay	We spent Friday and Saturday night at CQ Chicago and it was great. Terrific location and wonderful service from a very helpful staff. Valet parking is only $33 and they are prompt to retrieve your car. As mentioned in other reviews, the rooms are quite small but clean and efficient.	
Oct 15 2005	Perfect location affordable price.	We stayed at CQ last February. The room was very clean though small. Do not expect Ritz-Carlton type service- CQ is very laid back. We loved the location-very close to Mag mile, CI of Art and many nice restaurants. We had a nice view of Chicago. The doormen helped to get a cab at any time. We'd go back to CQ if they keep their prices reasonable.	
Oct 7 2005	Great Location and Value!	My boyfriend and I booked this hotel on priceline which if haven't tried before can be a bit of a gamble. But we lucked out. The location was great. We walked to many local attractions (sears tower, art institute, museum campus etc.) and we were just a couple of blocks from the train and popular bus routes. The rooms are definately outfitted for the business traveler but for us just in town for three days to sight see was more than sufficient. The rooms were pretty small but unless you plan on spending a lot of time in your room..... The staff was really helpful for getting on the right bus route and holding our luggage after check out. Starbucks was just around the corner, slightly disappointed that Starbucks wasn't open on Sunday, but we are from seattle, so a little more dependent than chicago folk I would definately stay in a club quarters again. happy travels!	
Oct 4 2005	Great Location	This is not a family oriented hotel. Unless you are going to book a separate room for your kids, go elsewhere if that is what you are looking for. Simply put the rooms are small and that is because the hotel is designed for business travelers: not families with small kids. My wife and I stayed at the Club Quarters Hotel, Wacker Drive, the weekend of 10-1-05. We were drawn to it because of the price (125.00 nite) and its location, which is spectacular. The hotel overlooks the Chicago River and is at the intersection of Wacker and Michigan Ave. It is within easy walking distance of Water Tower Place, The Art Institute, Navy Pier, Millenium Park, and State Street. As noted, our room was small. It included one double bed, one small window, one small desk, one desk chair and a small bath. Storage for our luggage was barely adequate. The bathroom came with a nice shower but no tub. The hotel lobby was pretty with a art deco staircase and a comfortable waiting area sporting a TV and complimentary newspapers to read. There is an unpretentious and very enjoyable cafe/bar off the hotel lobby called the Bella Bucino.The food at Bella Bucino was very good ($21.00 for a small pizza for two and a couple of iced teas) and was friendly and laid back. Breakfast is served and is reasonable for the area. Ditto for the excellent martinis' that the bar serves. We really enjoyed the al fresco dining. The views from the outdoor tables are spectacular. In the evening the bar had a jazz combo performing and if the Ron Bailey Trio is there when you stay, make sure you catch them. They are the real deal. Better yet, there was no cover charge. We found parking with free in and out privilages directly adjacent to the hotel on the east side for $25.00 a night. The staff of the hotel were extremely accomodating. Our room was cleaned promptly. Carpet, walls and bath fixtures were in tip top condition.The restaurant and bar staff were also gracious. They made sure that our meal came out quickly so that we could make our evening theater on time and they offered dead on suggestions for dining in the area.All in all a great value for what you get as long as you understand that if you want to stay in your room and watch TV mtd. on a wall, you are either going to do it while laying on your bed or sitting in a desk chair.	
Sep 27 2005	Dependable	I last stayed in this hotel four years ago and was afraid I'd find it in worse shape. I'm pleased to report that this was not the case. The owners seem to have done a good job maintaining it.For the price, it's hard to beat this hotel. I stayed during a September weekend, when it seemed every other decent hotel was sold out. All of the hotels in CQ's price range made me nervous (read the reviews of them on this website.) So I was glad to have a dependable place to stay.One reviewer said the area was deserted at night and on weekends, but I didn't find this to be the case at all. The Loop now has many good hotels, and the theater and retail scene is very lively. If you want to visit the Art Institute, Millennium Park, shop at Marshall Fields, or see a show at the Goodman Theater, this place is very well located. It's also convenient to Midway Airport (home of Southwest Airlines) because you can take the Orange Line to Wabash/Adams, three blocks away. However, if you want to spend all your time around the Gold Coast, Lincoln Park, and the northern reaches of Michigan Ave., you're better off staying in a hotel further north.My room was small (when the closet door was open, you couldn't get into the bathroom!), but it was adequate for a single traveler. The greater issue for me was the noise. This is not a well soundproofed hotel, and it was made worse by inconsiderate guests who came in late and shouted to one another down the hallways. I used earplugs my second night there, and that solved the problem.Look, if price were no object, I'd stay at the Peninsula. But since it is, I'm glad that something like CQ is within my budget.	
Sep 15 2005	Adequate Self Service hotel	Went to Chicago with a friend of mine for a shopping weekend. Since there was a big convention in town, options were slim but hotwire offered the best price. We needed a room with 2 beds - which the hotel website indicates are limited. Reading other reviews on the '2 bed rooms' I was a little nervous. Called the morning of arrival and had no problem aquiring one. Staff at the desk were very courteous. The room and the beds were just fine - I'm 5'9, HWP and had no trouble with the size of either (my friend is tall as well). Love the English Pub. I would rate it above average except for one thing. This is a &quot;self service&quot; hotel and it showed - if you need an iron, you need to go get it in the &quot;guest service closet&quot; down the hall. After the 1st nights stay, our room was not totally cleaned, I'm guessing because we left 1 towel on the rack (indicating &quot;I'll use it again&quot;). The beds were made and new soap was delivered, but the coffee machine and mugs weren't cleaned, no new pack of coffee, and all the towels were strewn about as we had left them. It's as if they left half way through the job. On day 2, we put everything on the floor including the coffee pot and things got done! :) If it wasn't for that, I'd give this place a 4.	
Sep 6 2005	Classy - Met expectations...	CQ was just as I suspected after reading the reviews. The hotel lobby is simple and classy and very cozy. There are plenty of soft couches, chairs, and a large TV just for lounging around. Also - 2 computers to use whenever you wish....good computers. Fast. Our room was on the 3rd floor, was comfortable, and not nearly as small as some reviewers stated. In fact, it was a &quot;Queen&quot; but was much larger than your standard Queen. The box spring was simply two twins put together, but the mattress on top was decently firm (but not too firm) and the pillows and comforter were nice. The decor was decent - nice dark cherry wood desk with fridge and clean and nice microwave. Although the TV was smaller than most hotel rooms, we didn't care as we weren't planning on spending much time in the room. The bathroom was fine and I actually did prefer the non-tub shower which was bigger than your typical stand-up. It was very clean and nicely kept. Only two beefs with the room.....1 - the towels are sub-par at best and 2 - the air conditioner was very loud and didn't seem to condition or cool the air as much as we would have liked. But - we were comfortable enough not to complain. The restaurant is very nice - the breakfast is decent too. The hotel is located close to EVERYTHING, including very easy access to the &quot;L.&quot; Here's the deal on the parking: Valet is 33 bucks a night, but just down the street you can park overnight at a lower rate. The thing that CQ doesn't tell you though is that you need to get your parking ticket validated to get the lower rate. Would have been nice to know! Great experience overall at a very low rate (70/night)!	
Sep 6 2005	Good stay	We stayed at this hotel this weekend after priceline.com accepted our bid of $75/night. We were very pleased with our 3-night stay. The room was small (skinny), but it was plenty of room for just the two of us. The bed was very comfortable, we liked that the air conditioning was on a thermostat and we really enjoyed having a little kitchen for us to store our leftover deep-dish pizza to enjoy on the way to the airport. The location was convenient to a lot of tourist sights, though it was very deserted at night and on the weekend. The hotel is just a block away from the blue line, which goes all the way to O'hare. We also enjoyed having free wireless internet. The hotel is nothing special, but it was cheap, clean and convenient.	
Aug 29 2005	An overpriced hotel with better alternatives just around the corner	We stayed at this hotel to attend a nearby conference -- it was the official recommended conference hotel and we booked on this basis, opting for a room upgrade to a suite at $150 per night. The experience has been terrible -- I am writing this review on the second to last night after yet another example of CQ's terrible attitude to customer service. Tonight, having returned at 10pm from a wonderful but long day out we dropped into the hotel restaurant to enquire about late food. We were told that service was available until 11pm and on that basis went up to our room for a quick change, returning to the restaurant at 10.30, in plenty of time, or so we thought, for our food. To our dismay we were then told that there would be no food service and in fact that the bar/restaurant was closing early tonight. We were told by restaurant staff that the kitchen sometimes closed early if business was slow. When we complained to the hotel manager a few minutes later we got the most convoluted story as an excuse for closure -- clogged &quot;grease traps&quot; rendering the kitchen a fire hazard, despite the fact that diners continued to dine behind closed doors. I must say that this interaction with the duty manager was most unsatisfactory. He was rude and unhelpful and never attempted to apologise for the problem, let alone own up to the truth behind the closer. I write all of this as an example of the sort of rude and unhelpful staff behaviour that we have witnessed on more than one occassion during the course of the past week.In terms of the room we have -- our upgrade buys us a small dark room with a leaky air conditioning system (which we complained about to no avail) a blocked lavatory and minimal in-room services; for example, we continue to receive a single tea bag each day for our tea and coffee facilities.In my experience this hotel is over-priced and under-performing. The staff need much better basic training, for sure. I wouldn't come again and certainly would not recommend it to others. Try the Crown Plaza, which is just up the street and by all accounts a much better option all around.	
Aug 24 2005	Small? Not to us.	We stayed 4 nights at the Club Quarters, Central Loop, in August 2005, and were concerned about the tiny size of the rooms as reported in Trip Advisor. In fact, we planned to stay one night in the smallest, cheapest room and then move for the rest of our stay (the 3 weekend nights) in a more expensive larger room. But we found the original room perfectly adequate, and cancelled the move to a bigger room. I paced off the space between the bed and the door - about 7 feet by 11 feet, which was all we needed for using the desk, the drawers, the TV. We didn't bring a cat with us so we can't say whether there would have been room to swing one.On the subjective side, the simple wood decor was a relief after staying a few nights in chintz-draped B&amp;Bs. On the practical side we liked the feature of being able to get an extra blanket or some decaf for the coffeemaker from the closet on our floor, rather than calling the front desk for them. The three PCs with internet access and free printing were a real help, as was the coin laundry room. The pub on the first floor had good, reasonably-priced food, and we found it convenient to put the restaurant tab on our hotel account. So we would recommend this hotel highly to anyone looking for a comfortable place to stay in the center of Chicago.	
Aug 23 2005	Unexpected city delight	If you have a chance to stay in the hotel, it's a great value. It offers great amenities and is very conveniently located. Some websites might not post the best pictures, but it seems as though in the recent past, the entire hotel has been remodeled-even the hallways are nice. They have two computers in the main floor guest lounge which are great for printing boarding passes, finding attractions/directions, etc. It's comfortable and the service was prompt and curtious. You could even have exercise equipment delivered to your room if you didn't want to work out in their fitness center. The only negative thing I could mention about the stay was that the water pressure in the shower wasn't that great. But otherwise, this is a fantastic place to stay, and I will be going back.	
Aug 22 2005	Excellent Value Cleanliness Location and Ammenities!	My friend and I stayed at this property over the weekend (Aug 19-21) after booking through priceline.com for under $100/night. While we had our reservation on how good the hotel would be for &lt;$100 in the heart of downtown, we took our chances. Upon arrival and check-in, we were THRILLED with the location, upscale decor, amenities and spotless room! The front desk staff was great as he was more than happy to check our bags until our room was ready so we could go out into the city for the afternoon.The room itself was cozy and small but more than adequate in size for two people. The two twin beds were luxuriously comfortable with superior mattresses; quality, high-thread count sheet and beautiful, heavy comforters, topped of with thick pillows. The cherry wood desk and work area were top quality while the room even featured a standard microwave and mini-fridge. The bathroom was spotless, featuring wonderful soaps, complimentary mouthwash, glass cocktail glasses and a coffee/tea maker. Other amenities that went above-and-beyond our expectations were a shopping service to stock the mini-fridge at REGULAR consumer prices (vs. inflated room service prices), delivery of treadmills or exercise bikes TO YOUR ROOM for working out in private, free WiFi service throughout the property and free PC's and printers to use in the club room on the main level.We'd stay at Club Quarters for future trips to Chicago without question! The downtown location is suberb- 1 block from the Blue Line Jackson stop and 2 blocks from the State Street Red Line stops. You're 6 blocks from the Art Institute and in the heart of the city! OUTSTANDING!	
Aug 7 2005	super little hotel with a great location	Stayed just for one night on the weekend and was pleasantly surprised after reading the reveiws....went with another couple who booked the rooms and they had a suite (small but couch, table, chairs, mini bar &amp; fridge made that our get together room) and we had a standard (small but adequate for two....and a very comfortable bed and although there was only a shower it was huge)....the front desk was responsive, workout room was good size for this small hotel, and the lobby get together area was busy.But the appeal is the location...just a few short blocks to Millenium park and all the city has to offer! We walked to Buckingham fountain, the lake, and Navy Pier....it was a wonderful get away!And the price was right....booked on various sites one room was $100 and one was $84...not bad for the middle of the best city on the planet and for ONLY a saturday stay in the middle of summer!	
Aug 1 2005 	Very satisfied Club Quarters Chicago- Central Loop	Stayed for 4 nights, staff was great, room was clean and a very quiet location. Restaurant staff was excellent and so was the food.	
Jul 29 2005	Excellent all around	My wife and I were doing the tourist thing in Chicago for 3 nights July 24th - 27th. Booked this hotel and it couldn't have turned out much better. Excellent central location downtown. Yeah, if you're going to Chicago to spend a bunch of time in your hotel room, it's going to be small. Plenty of room for the usual hotel stuff, ie sleeping and getting ready to leave.They have computers available for your use for the internet and printing which is an extra bonus. Very fast connection too.The room was clean and well kept, everything was in order. Overall an excellent value.	
Jul 27 2005	Front desk staff didn't deliver	We booked this hotel from Priceline, which was a first for us. We were looking for 3 rooms to accomodate 8 women and having a difficult time, so we offered $100. per night offer and Priceline assigned us to Club Quarters.We were shocked and amazed, but happy!We were celebrating 2 &quot;monumental birthdays&quot; in our group and were told that the 2 rooms w/birthdays would receive a suite and the other room would receive a bottle of wine. (I was in the &quot;other room&quot; and celebrating a birthday, but would only have 1 other person staying w/me; so passed my upgrade to the others in our party.) We took all of our luggage up to our room because it was ready and the other rooms would not be ready until later in the afternoon. (No bell person was available to take care of our luggagge which was kind of surprising!) I was shocked when I opened our door to see the size of the room! We were not planning on spending a lot of time in the room, but being able to move about was close to impossible in this room. It was the teeniest room I have ever seen. I realize this hotel caters to the &quot;business world&quot;, Monday through Friday; but I travel for business and have never seen anything quite so small.Before leaving the hotel, I stopped by the front desk and spoke to Angelo Garcia, who had been so great at helping us earlier, and asked him if there was someway to upgrade my room &amp; I would pay whatever the price was for room change. He advised me to check back when the others got their rooms and he would see what he could do and says he will not charge for the upgrade if he can get an upgrade. I asked for his business card because I believe in letting employers know when someone goes out of their way to make something pleasant for someone else.Cut to the chase, arrive back to the hotel to clean up before we leave for our show and find out that all 3 rooms are the teeny rooms and that Angelo has left for the day and has the next day off. We were told the teeny rooms could not accomodate a roll away, so we are screwed. 3 women in a full size bed is not the way any of us wanted to spend our weekend getaway. They ended up relenting and gave the rooms w/3 people a roll away, but it definitely put a dent in the &quot;fun time&quot; we had planned for our Chicago get away w/no spouses or children. Turns out the hotel was oversold for the night. We met in the lobby (no possiblity of meeting in one of our rooms because of the size) before catching cabs and overheard someone who had booked 2 rooms on Priceline get a refund for 1 room they weren't going to be using that evening. Overselling rooms is common, I realize. Promising people something you have no intention of being able to deliver is just wrong. We went on and had a great weekend despite the rooms. Hotel 71 (which is where we had stayed on our last visit) was hosting NSync's Children's Charity event and we gawked at all of the Stars coming and going! Also, the Corner Bakery, was perfect for all of our breakfast needs, very yummy way to start out the day.Bottom line is sometimes you do get what you pay for! Lesson learned.	
Jul 21 2005 	Great little hotel in a nice location	We stayed at this hotel in both June and July while visiting Chicago. It's a very nice place to stay, and is ideally located between Union Station and Michigan Avenue. Moreover, they have a &quot;Night on the House&quot; program which allows for a free night at any Club Quarters after 2 different stays. Our room -- we somehow ended up with the exact same room both stays -- was a little small, but it met all of our needs. Moreover, reference books, a fridge, and a microwave are included in the room, plus low-cost snacks and beverages can be delivered to you. The soap and shampoo were of good quality, but the mouthwash didn't taste all that great. The shower had a detachable shower head with long cord, so you can get a thorough wash. An office building was right across the street, so the view wasn't all that great, though other parts of the hotel may have better viewpoints. We will happily stay at the Club Quarters during future trips to Chicago.	
Jul 4 2005	A disappointment	I booked this hotel on priceline and assumed the room would be adequate for two people (as guaranteed by priceline). Unfortunately, Club Quarters did a poor job following through on their part of the bargain. The first room I was given barely fit the desk and (one) double bed it contained and worse, it was located directly across the hall from the hotel's only ice machine (which was heavily utilized and therefore quite noisy). My partner and I switched rooms only to spend the night in an equally small (though somewhat quieter) room which again contained one double bed. Although my partner and I are both under 5'3 and have a combined weight of under 250 pounds, we were barely able to move about the room at the same time without bumping into each other. On our second day at Club Quarters, my partner and I requested that we be given a room that would accommodate two people (ie a room that contained a queen, king, or two double beds). Although the woman at the front desk eventually switched us to a room with a queen bed, she was curt and unapologetic. Rather than empathizing with our discomfort and disappointment, she asserted that priceline requested that we be given a single room (a claim that is hard to believe and fully denied by a priceline customer service rep).On the plus side, the hotel is clean and in a great location. Overall, there are plenty of other well-located hotels in the area (Hilton Garden Inn being a prime example) that offer appropriate room and bed sizes, excellent customer service, and affordable prices. Club Quarters may do in a desperate pinch, but otherwise I would avoid it completely.	
Jun 29 2005	Perfect Location Perfect Room	We had a difficult time booking a hotel in Chicago. Most of the hotels were sold out or we could have paid $300-400 per night. We finally found the Club Quarters Hotel and the price was excellent. Also the hotel was in the area of dowtown Chicago that we wanted to stay; close to Michigan Ave, Grant Park, restaurants, shops, etc. We weren't expecting all that much from the hotel because we knew we were getting a good price for a room. Much to our surprise our room was a mini-suite. Not that we spent a lot of time in our room because we were visiting with friends and exploring the city, but it was wonderful to return to a cozy comfortable room. We definitely will stay at the Club Quarters Hotel the next time we are in Chicago.	
Jun 23 2005	Very Nice Hotel..	I haved stayed at this hotel more times then I can count. My hotel of choice is usually the Chicago Hilton and Towers but I cannot afford that much anymore! Yes the rooms are sometimes small, but they have always been clean and well appointed. I like the location..close to everything practically! I like the security of having to use your room key to get in certain parts of the hotel. The resturant is not bad at all..decent price. I have actually stayed there more for pleasure then business! I will most certainly stay there again!!	
May 16 2005	A great value	I was a little leery, given other negative reviews. However, I enjoyed my stay at Club Quarters and would choose them again. We loved the convenience to el stops, bus stops, Grant Park, State Street. The room was small, but comfortable. We requested a quiet, off-street side room and received it.We were close to many of our favorite haunts- Trattoria no. 10 on Dearborn &amp; Washington, Atwood Cafe on State &amp; Washington, Corner Bakery on Michigan &amp; Jackson for a lighter meal, Garrett's Popcorn for the classic Chicago snack on State &amp; Jackson.My only complaints would be that the front desk staff was not knowledgeable about what I consider a tourist &quot;must&quot;- the Chicago Transit Authority multi-day pass. We forgot to order ours online prior to travel &amp; they didn't know where to direct us to buy one. I used to live in downtown Chicago but couldn't readily recall a currency exchange close to the hotel. The front desk proceeded to direct me to an American Express currency exchange but I didn't take that advice. You can buy the multi-day passes at 27 E. Adams- a 2 day pass is $9.00, but they have a whole range. The other minor complaint is the sheet quality- scratchy &amp; definitely not what you'd get in higher-priced hotel, but you get what you pay for. Overall, the place is a great value.	
May 7 2005 	Beds and Room too small!	We booked this room on priceline. We realize that we cannot be guaranteed a bed type. Priceline states all rooms will accommodate two adults...(King, Queen, 2 doubles etc.) Well, what you get is Queen and etc. Etc equals twin beds - that is it. This hotel does not have doubles or Kings we were told. This is fine if you are small. My husband is 6'6&quot; and I am 5'9&quot;. Since our experience is that neither of us have enough room in a queen size bed, we decided to go with the twin. When we get to the room we find VERY SMALL TWIN BEDS. We were there three nights and didn't get much sleep. Beds not long enough or wide enough! These were the smallest twin size beds I've ever seen! We felt as though we were in a ship, as it was an extremely &quot;tight&quot;, compact small room.	
May 5 2005	Great Value and Location	Understand one thing right up front: this is a business traveler's hotel that provides a great value for the money in an extremely convenient location. If you don't get that, then don't waste your time staying here and then complaining. For $100 a night I got a clean, efficient room, helpful staff, close to the train, waterfront and shopping. The adjacent pub, the Elephant and Castle has great atmosphere and good pub food. What I didn't get and didn't need was a pool, fancy restaurant or a large overpriced room.Everything in life is a compromise - if you think you can have it all for $100 a night in downtown Chicago then you're just downright unrealistic. The smart money is on the Club Quarters. Save your money for some of the amazing things that the rest of Chicago has to offer!	
Apr 30 2005	Great weekend deal	This business travelers' &quot;member&quot; chain opens to the public on weekends and slow days. Clean, friendly. Great deal for downtown Chicago. Tiny, non-descript rooms. If value tops comfort. check this out. Nice three block walk to Art Institute. Self-parking discount around the corner; the bellman will direct you.	
Mar 13 2005	Club Quarters is an excellent Business Traveler's Hotel	I am currently staying at the Club Quarters on West Adams in Chicago (3/12 - 3/14). I picked the room up through Hotwire, and am very happy with what I got. The room consists of a queen bed, a very nice desk for laptop computer, 19&quot; color TV, and a small but functional bathroom with shower stall. I believe this hotel is very appropriate for a business traveler, especially with the free high-speed wireless Internet connection which works great in my room. If you are on leisure travel, please understand the things missing in this room, a bathtub &amp; a dresser for your clothes. The room is small and designed for people who enjoy not unpacking. The room is very clean and so is the bathroom. The bed is very comfortable too.The hotel lobby is very small but clean, and it has a &quot;Club Room&quot; where you can sit down and read or play some games. The workout room has two Precor eleptical machines, a couple of bikes, treadmill, and some free weights. It was a lot better than I expected. The Pub connected to the lobby is very nice. Since we arrived the Saturday of the St. Patrick's Day Parade, it was packed and lively.Parking is available on site (valet) for $33/night with in/out, or you can walk a couple of blocks to public parking garages for $19 overnight. I found a spot on the street Saturday night after 6:00 PM and parked for free. Taxis, the elevated train, and bus service are all around this location. You can walk two blocks and pick up the #6 Bus which will take you out to the Field Museum, Aquarium or Planetarium for $1.75. So if you drive or fly in, getting around is very easy. One last thing I really enjoyed was walking two blocks and eating at the Berghoff Restaurant for some very enjoyable German food. Overall, I am very pleased with the Adams Street Club Quarters.	
Mar 8 2005 	Absolutely Loved Club Quarters Chicago	My friend and I absolutely loved Club Quarters Chicago. We stayed for 3 nights and have nothing bad to say about the place. We were a little nervous after reading some online reviews, but were completely impressed. The location is SUPER convenient to the El--the red and blue (O-Hare) lines are about a block away and the orange line (Midway) is about 2 blocks away. The rooms are fairly small, but not the smallest I've ever stayed in and on a vacation you're not in your room much anyways. The room was tastefully decorated with helpful ammenities like microwave and fridge. Someone else commented that the beds don't have blankets, but they're easily available if desired. The staff was WONDERFUL and very helpful with suggestions of places to eat, both nearby and farther away...in fact we took all their suggestions and were pleasantly surprised each time. The pub attached is cute and a wonderful place to end the evening, although it was pretty hopping after work! One of the best pluses to the hotel were the treats provided in the lobby/guest area. Coffee in the mornings, homemade cookies and soda in the afternoon, and water all day long. They also have computers with Internet and printers available 24 hours a day, which is very handy to check-in with the airlines. Overall, we were completely happy and couldn't have imagined a better place to stay--we highly recommend it.	
Mar 6 2005 	A great place!	We just returned from an overnight in downtown Chicago. This is a terrific place to stay-- quiet, perfect location, comfy mattress, nice workstation and helpful staff. The price was right -- especially for downtown. Just a few steps away from the train station, the el, Michigan Ave. We'll be back!	
Mar 2 2005	pleasant	the rooms were cozy and the location was good. close enough to michigan ave, but far enough from the crowds. the wireless connection was weak, however, it worked just fine from my room. the only complaint was that the conceirge was not very helpful.	
Mar 1 2005	OMG - What a dump!	Stay away from this falsely claiming 4-Star Jewel of &quot;The Loop&quot; area!It's 1-Star at best!!!The rooms are tiny, the beds even smaller, so that a 5'11&quot; person can't even keep the feet under the blanket. As soon as you enter the elevator you are being hit by a bad odor coming from some cheap chemical they must use to keep the place &quot;clean&quot;. My room and the corridor leading to it on the fifth floor smelled even worse. The ceiling in my room had water stains and the vent in the bathroom looked like it was mold paradise!!The TV had mostly snow storm picture quality on all channels except for the P-P-V channels. The bed only consisted of a duvet wrapped in a sheet to keep you warm at night, unless you went outside to search for an extra blanket in a special closet available to every guest. I only learnd about this option the next day after almost freezing to death my first night in 25F degree wheather. Fortunately, the HVAC worked well, so I had to crank up the heat in the room instead. My room was not cleaned for 2 days in a row, which - I guess - can happen. What WAS bad about it, though, was that the night clerk tried to make me believe that all rooms usually only get cleaned after check-out. That topped just about everything I experienced during my stay! I have worked in hotels before myself, so I do understand what it takes to upset a guest and make him look for better options next time. I was not the only one from my company staying there over the last few weeks. We've occupied quite a few rooms and nobody returned from the stay with a positive review. CQ for sure lost one of their new corporate accounts after these incidents.	
Dec 2 2004	Perfectly OK	This hotel was just fine. Staff was courteous, the room was nice and clean, and the location is very central. The only problem I had was that the wireless Internet signal was so weak it was basically non-functional in my room on the 5th floor. I had to go to the lobby for it to work. I'd stay here again, just not count on using the Internet in my room.	
Nov 23 2004	Good location small room.	We stayed here on a Friday and a Saturday night, 90$ per each. The clerks were a refreshing change from the sullen, unpleasant individual who checked us in the night before at our other Chicago hotel. I liked the relative security of having to use your keycard in the elevator to get to any floors. The location was superb- a few blocks from tourist-busy Michigan Avenue, right in the Loop district. They have a comfortable room off of the lobby where you can sit down and relax or use their complimentary computer to check email. The rooms and beds were very small but the showerhead was fantastic! Great pressure, even stream, etc. The bathroom was very small but the showerhead made up for the size. Breakfast is not included- you pay 11$ for a shabby all-you-can-eat buffet at the restaurant. Also, no fridge in our room, which would have been nice otherwise.	
Nov 16 2004	Very satisfied with Club Quarters (on Adams)	Just spent Tuesday thru Sat. nights at Club Quarters for a Conference at the Chicago Hilton. Easy walking distance (about ten blocks) and I always felt safe. Room was pleasant, loved the lobby &quot;library.&quot; Had a computer room on my floor (3rd) which was very handy. Loved the big desk space in my room because I had paper work to do every night. Also loved that the tv was NOT the focal point of the room. Probably not the place if you need a lot of room for makeup etc.; minimal shelf space in the bathroom. But so nice to have a shower with a HIGH shower head, since I'm tall. Was unpleasantly surprised that the drug stores in the area aren't open on the weekends -- I'd been buying bananas and yogurt every night to have for breakfast! Staff was pleasant and helpful. Had good fish &amp; chips one night in the pub. A good experience.	
Nov 16 2004	Basic	This is a clean hotel in very good shape and an excellent price for downtown Chicago. The rooms however, while functional, are extremely small and uncomfortable. We had two beds and there was only enough room for 1 foot of separation between the two. There was a noise problem too with the housekeeping staff working at fairly early hours and slaming doors. The rooms are small enough that noise carries too well. On the plus side, there is an excellent English style pub attached, plus the lounge is a nice touch. Overall, if you value simplicity then this place is great, but if its room comfort, this is probably not the right place for you.	
Nov 1 2004	Great Value - Wacker at Michigan location	My husband and I stayed here in December 2002. We stayed at the Wacker/Michigan location (keep in mind that Club Quarters has 2 locations). We LOVED it for the price. It was so much nicer than we anticipated. We paid about $70 for the room. Shopping, restaurants all just a minutes walk away. We got a free continental breakfast too. Room was very small, but who needs more room?	
Oct 31 2004	The reviewers are right with one addition	Spent a September weekend night here and agree with that this does feel very European (small, but usable). The thin walls and door, though, might lead you to a 3am wake-up as the bar folks return home.We paid $119 through priceline. If you can get the room below $80 the location probably makes up for any noise.	
Aug 6 2004	Great place for the money!!	Club Quarters is a great place to stay if you don't want to blow your budget on a hotel. The staff was pretty friendly and recommended a restaurant w/ great jazz a few blocks away. The room was small, but we were not in the room that much. The room came w/ a coffee maker, fridg,microwave, silverware, plates, etc and a bar sink. I went through priceline and paid about $68 a night minus taxes and fees on 4th of July weekend. It was 4 blocks from the Taste of Chicago, so it worked out great. With the great public transportation system in Chicago, you can get anywhere in the city including the ball parks, shopping, Navy Pier, Museums, restaurants, or whatever w/ a short walk to public transportation or cab. They also have plenty of breakfast places within a block to choose from and drug stores so if you need anything, it's around. I would stay there again, because I honestly wouldn't pay $200 to stay around N. Michigan when you are can more ammenities w/out the name brand for a lot less.	
