	Just OK	You can tell they are cutting back. I know times are hard but when you charge $300 you expect fast service. Room service took way too long and I was late for my meeting.	
Jun 29 2005 	Consistently Great!	I often stay at the Drake on business, and I've always had a wonderful stay. The rooms are always clean, comfortable and spacious. The staff is friendly and hospitable. The Palm Court and Coq D'Or bartenders are always friendly and accomodating. You can't beat the location, because it's on Miracle Mile and walking distance from the restaurants on Rush street.	
Jun 27 2005	old fashined elegance	we visited from scotland over memorial weekend and stayed in the hotel for 7 nights. we had an executive room overlooking the lake on the 8th floor. room was a good size, hubby loved the lay-out of the mini-bar, more like a little cocktail bar! disappointed the windows did not open as was advertised.window screens made the windows appear to be dirty. carpet in room was well past its best and appreciated the bathroom slippers as i did not like the idea of walking barefoot on it! lovely old hotel much better than a &quot;chain&quot; hotel. enjoyed the coq d'or bar were lovely food is served. staff all very pleasant. access to executive lounge on the 11th floor well worth the extra cost! they mixed a mean cocktail. staff there got to know you and were pleased to have you pop in for a pre-dinner apperitif. amazing views over the lake give this hotel a big plus factor.would certainly recommend this hotel for its old fashioned image and interesting history.	
Jun 14 2005 	Classic lines with a few wrinkles	RECOMMENDED. I'm only giving this AVG not because anything was wrong, simply that for the money it's an avg stay. As others have commented, this is an older hotel that has been renovated several times. Paint is thick on the wood from many years of service. Ceilings high from years were A/C wasn't invented. Furnishings of good quality but a bit worn. Check-in was prompt. Room was nicely sized, quiet, bathroom was moderately lighted with marble flooring. Basically the hotel is like a well worn shoe. It's certainly in an excellent location so if you get a good deal on the rate, it's worth a stay.	
Jun 13 2005 	Not a place I'd choose to stay	Stayed just 1 night for a business trip on June 8. They were out of King beds so I had the choice of a Queen or 2 Twins. I was told the 2 Twin room had a better view so I took that. I should have asked for the Queen since the &quot;view&quot; of Michigan Ave was really pretty boring, anyway, AND I could only look thru an incredibly dirty window which had a little note on the lock that said it was permanently closed. The bed itself was uncomfortable and lumpy so I hardly slept. The room itself is pretty small and a little dark with outdated carpet and bedspreads. Bathroom is also small and the shower curtain smelled mildewy. Towels very rough. Smelled smoke in my &quot;non-smoking&quot; room. Room is not real soundproof. Could hear lots of doors closing in the hallway at night. Didn't like how everything in the room, including the bottled water and the coffee, was an extra charge. Sure, it's a great location for shopping, but the Westin is 1 door down and they've got heavenly beds!	
Jun 1 2005	Classic Hotel	We stayed at the Drake over Memorial Day weekend and thought it was a nice hotel. The location was excellent. The Oak Street Beach was just across the street and of course it was great being at the start of the Magnificent Mile shopping strip. The view was nice from our room - we had a lake view room on the 5th floor. The staff was friendly enough - especially the bell hops and valets. The concierge was very friendly and helpful also.We felt the room size was much larger than most chain hotels, but like other visitors, we did notice chipped furniture, wornout carpet and a worn bedspread. We also had a slight problem with room cleaniness - when we checked in we realized that someone had used the toilet and didn't even flush! That was unpleasant, but being so late, we just didn't really have the strength to complain and change rooms - though we probably should have. The only other problem we had was strange noises in the hallway, which we realized was due to a service elevator being across from our room. The noises did not happen during the night, so it's not like it kept us awake. Other than that, the shower could use some updating - we started running out of hot water after only 2 showers. We didn't try any of the restaurants located at the Drake, so can not comment on those. Obviously there is plenty of other restaurants in the area within walking distance.I don't mean for this to sound like a terrible review - we really did have a pleasant stay. I think one has to realize that this is an older hotel and appreciate it's historical value and classic beauty.	
May 27 2005	The Drake has still got it	I stayed at the Drake with my fiance the first weekend of May and we loved it. We were very pleased with the service, the hotel's old charm, the quality of the rooms and especially the location.We found the hotel was updated but the authentic feeling was not lost. The room, bathroom &amp; linens were comfortable and inviting.The only problem was the hotel was too close to some of the best stores, Chanel is right in the same building, Gucci and Vuitton are stone thows away, Hermes is just down the street ... very hard on the credit cards.We loved the Drake and Chicago ... would recommend it to anyone who asks.	
May 20 2005	Classic Chicago Hotel	We stayed at the Drake from May 15-17 and liked the hotel very much. The hotel has great history and tradition and displays it very well. Our room was comfortable although the plumbing was a bit old and the a/c a bit noisy. But those were the only minor quibbles we had. The staff is very accomodating and friendly. The room was spacious and the hotel was very quiet. Our king bed was very comfortable and we slept great. The location, at the start of Michigan Ave. is convenient to shopping and great restaurants. The restaurants in the hotel are superb, possibly the best collection in any hotel we've stayed at. We ate at all 3 of them, and liked the Cape Cod Room the best. The bar at Coq D'or is also excellent. We will stay at the Drake again next time we are in Chicago.	
May 16 2005	Don't let these negative people scare you away!	Stayed at the Drake for four nights and had a great experience. If you travel to Chicago, especially in the warm weather months, I can't imagine spending much time in the hotel anyway!! Staff was helpful and polite - although I didn't have many special requests except for a cot which was delivered promptly. The valet staff and doormen were excellent with directions, advice, luggage, etc. Just be sure to call down in advance (15-20 minutes) and your car will be ready to go. Rate was $129 a night prepaid - can't beat that.Great location on North Michigan Avenue! Shopping, Restaurants, Etc.Check-in was fast and painless.Bags were delivered to the room quickly.Valet was $30 / night Room was nice, clean, quiet, and roomy enough for two men.Nice bathroom with lots of room, good water pressure, and hot water.Lots of towels and nice bathrobes.View was nothing special from our room.Construction across the street causes some traffic congestion in front of the hotel.Bottom line: Beautiful hotel with great character and an attentive staff. It is not the Ritz or the Four Seasons, but for the price you can't beat it! There may or may not be a health club, and I can't comment on the food as I never ate there. The Drake is a perfect base camp for a trip to Chicago - hundreds of restaurants, bars, stores, and sites to be had within walking distance.	
Apr 27 2005	Excellent	We spent this past weekend at the Drake and LOVED it! Excellent service all the way around from the front desk to the bellman. We had a deluxe room and was just the right size. We have stayed at other hotels on Michigan Ave and the rooms were alot smaller at the other hotels. The location of the Drake is perfect. We will stay at the Drake the next time in Chicago. We would not think about staying anywhere else.	
Apr 10 2005	Major disappointment	We checked into the Drake the last weekend of March. It was one negative experience after another. Check in person was cold to say the least. Seemed very bored and unwelcoming.When we got to our room we found that it had not been fully cleaned. The bed was made and surfaces were clean however when we went to the mini bar it was dirty and had to been restocked. There were black hand prints on all the doors and stains everywhere. The room was also freezing cold but the thermostat was not working so we called down to reception and asked for the room to be cleaned and the temperature to be adjusted. An hour later, plus three phonecalls someone finally came up. Room was cleaned but apparently nothing could be done about the heating. It had just been switched on and we were told it would take approximately an hour for our room to heat up.The final straw was when the people in the room next of us arrived. They may as well have been sitting in our room we could hear absolutely everything, word for word.Overall a very disappointing experience and definitely not worth the money. What you are paying for here is the prestige of the Drake and unfortunately they do not deem it necessary to invest in anything else!	
Apr 7 2005	a once grand hotel is aging	the drake is still a chicago landmark and in the upper tier of chicago hotels, however the years have taken a toll on this once classic landmark. the lobby, though nice, is dated with carpet that needs to be repaired as well as main floor elevators that are also outdated. subtle things such as the paint in the hallways and the look and feel of room doors and design also need work. Paint is chipping off of the doors, the carpets in many hallways look worn and, in our case, the AC in our room did not work.Perhaps the biggest indictment of the drake is that it simply cannot hold a candle to the four seasons and pennisula hotels in chicago. A stay in either one of those hotels puts the drake to shame. This is important to note because the drake does consider itself to be a hotel of that caliber. While the name still signifies a classic, the Drake hotel has dropped in stature behind a number of other chicago luxury venues.	
Mar 27 2005	Grand Old Hotel	I read prior reviews on this hotel and almost cancelled my res.How glad I am that I did not. This is truly a beautiful hotel,the lobby has all the splendor of a Ritz hotel in Europe...The room and bath were lovely. We were on the 9th floorof the hotel with a fabulous view of the Lake.We loved the Club service and bar on the 11th floor. It hadeverything, including a great view.I will stay there again first chance I get. It is near alot ofbeautiful shops and restaurants....	
Mar 25 2005 	What a trip	I just came back from a week stay at the Drake for a business meeting. I came back to my room the second day to find my room flooded. The pipes had burst and everything in the closet was soaked in brownish type water! This included my hanging clothes, coat, my suitcase, shoes actually everything but the clothes I had on. I was told they would send my clothes to an express cleaners but I did not get them back until after 9:00 am the next morning with my suitcase and shoes still missing. I had to be at a meeting at 8:30 and had nothing to wear but what I had on the day before. I was moved to another room which was noisy because the room next to it had flooded! Finally I was moved into a decent room. I had to go to the front desk numerous times and they insisted my suitcase was in my room and had to bring them up to the room to prove it was not! I feel they were only somewhat sympathetic to what had happened and that I was really just a bother. They did compensate me with a dinner, a breakfast and a movie. And that was only after I insisted because I was stuck in their hotel and could not leave to do anything. I had not coat and it was to cold to go out without out one. It was a very memorable visit.	
Mar 18 2005 	This is a beautifull place!	This hotel is beautifull. The last renovations brought back glamour and magnificience to the grande dame! The staff is exceptional and trully cares unlike other higher end hotels. They will always go above and beyond to make sure you are enjoying your stay! A very unique place to stay!	
Mar 15 2005	A 'tired' beauty	I live in Chicagoland and have always heard that the Drake was the best of the best!! We were disappointed - My husband and I stayed for a weekend last month and the room was tired and rundown. The service was great but the room was dark and dingy....... Not worth the per night rate!!! Definitely needs a facelift.	
Mar 14 2005	A Chicago Monument	The Drake is a place you have to stay in if you want to stay in history. The hotel is an icon of downtown Chicago. When you walk through the revolving doors and up the stairs, you do sense a step back in time. Typical is the 19th century style chandeliers and interior decoration. I love places like that.Going to the rooms, you have the old fashioned elevators with built in couch and the huge wide corridors. This perhaps explains the rather small rooms, as the space used for the corridors didn't leave much over. The bathroom is another antique.This hotel is perfectly located, as you walk a short distance to places like the Hancock Tower, the Chicago river and Michigan Avenue, the Magnificent Mile. This is a great place to walk around and if you want to take in a basketball game, United Center is a 10 minute cab ride away (until you meet the crowds then add another 10).All in all, the Drake is definitely worthwhile if you want to stay in a Chicago landmark.	
Feb 24 2005 	Drake: So-So	I was born and raised in Chicago and though out my life I was told The Drake was the best. I had the opportunity to stay there a few weeks ago. I was some what disappointed. The hotel services were great, but the rundown nature of the rooms (Soiled carpets, chipped furniture, and a general dismal appearance) left me wondering why anyone would stay there. I took into consideration the age of the building. It really needs a remodeling, not to change the character, but just to clean it up. It’s a shame this grand hotel isn't so grand anymore.	
Jan 19 2005	A well-preserved treasure...	Stayed at The Drake with a friend during a bitterly cold MLK weekend. The beautiful lobby was a welcome warm respite from our walking and shopping adventures. The service is quality - the employees seem happy and proud to work there. We received kind greetings from all - the doorman to the restaurant staff and especially the housekeeping staff outside our room. Yes, our room was cozy - we shared a two double bed guest room. It was well-presented and clean. The bathrooms are functional - not spacious, but functional. I venture that some of the less-flattering reviews on here are from some that expect early 20th century charm to be upgraded to 21st century glitz. I'll leave the glitz to Disney. If you stay at this hotel you can be assured that you're visiting a piece of American history. Cherish it.	
Jan 7 2005	Exceeded our expectations!!	After reading some of the previous postings we were very unsure about The Drake, we had planned on staying only one night but extended our stay because of the great service and beautiful room. The front desk extended our stay in the same room at the same rate, booked on expedia with no problems at all. Unlike some of the other reviews, we had no problems with heating or water pressure. The location was fabulous for shopping on Michigan Ave. we were less than 5 minutes away from all of the great shops. Overall I would highly recommend the Drake for both short and long stays in Chicago!	
Jan 2 2005	Hey let's not be so hard on the old dame...	I've noticed that online reviewers tend to be tough on the Drake. I think a lot depends on what your expectations are as you go in. We stayed there for two nights between Christmas and New Year's 2004/05. We chose it mainly on the basis of (1) location (we like to be on the Magnificent Mile) and (2) price (a rate of just $129 per night, found on a SideStep search). This gave us close access to the nice shops and restaurants we wanted to try -- and let us afford them! Yes, the Drake is very, very retro -- almost gloomily so in places. But it's also well-kept, and, at a third of the Peninsula's price (at least when we were there), a good deal. At the reception desk, we held out for a better room, and for a $50 nightly increase, we got a junior suite (very spacious, with a decent view, but the bathroom, though nice, was still small) plus Executive Lounge privileges, which we exploited to the fullest. We're in our late '40s, but given some of what we've been reading in these online reviews, we figured we'd probably seem like young'uns among the Drake's fogy crowd. Not so. We saw lots of young familiies, even 20-somethings. Actually, we felt like we were just about average in age here. Overall, a nice experience.	
Nov 26 2004	Disappointment	The lobby is gorgeous; the location is great, but our room left much to be desired. We had a junior suite overlooking Michigan Ave. The room wasn't big, but it was adequate. The bathroom on the other hand was so small there wasn't room to put a makeup bag on the sink. The dryer was wimpy, but the water pressure in the shower was great. The heater worked once durning our three day visit. The rest of the time our room was uncomfortably cool. The carpet was shabby which gave the room an overall rundown feel. Old world splendor leaves much to be desired.	
Nov 15 2004	Very Average	We were extremely disappointed with our stay this past weekend. Upon check-in, we were greeted by a shoe-box sized room. I understand that with the older downtown hotels, room size varies considerably, however at a rate of $300 / night I at least expect a queen sized bed. The thermostat did not work and the heat never shut-off. In fact, I would estimate our average room temp at 85 for the stay. The shower / tub did not drain properly. The actual tub was knee high with water by the time I finished a 5 minute shower. The building is historic and the location is great, however based on our experience, this is lucky to be a 3 star hotel.	
Oct 21 2004	Major disapppointment	We were hugely disappointed with The Drake. We stayed 3 nights in a junior suite at The Peninsula, but wanted to try the &quot;venerable&quot; Drake Hotel, with its Sinatra/Princess Diana/Heads of State history, and were looking forward to old-fashioned grace and luxury in place of the modern luxury of The Peninsula. Instead we just found the place old and tired. Our &quot;suite&quot; was clean, of course, but a bit of a bowling alley, long and sparsely furnished. Drapes on all six windows constantly fouled and wouldn't open properly, light in mini-bar closet was out and the carpet (and mini-bar itself) was installed so poorly it was embarrassing. Worst of all, however, was the hot water. It took literally 15-20 minutes of running the shower on full hot before the water was slightly warm, same with the bath. Someone appeared both times we complained but their answer was just that &quot;it's an old hotel, sir. Best to just let the water run and let the hotel pay for it till it gets warm.&quot; Practical advice, certainly, but not helpful, and a disgrace in a room for which they charge $515 per night (plus $38 valet parking, plus taxes, etc.) We commented more than once how our one-night stay at a Hampton Suites on the road passing through Ann Arbor MI was superior to The Drake in every way, for less than 20% of the cost.Our &quot;lake view&quot; suite was on the second floor - not much of a lake view from there, through the trees. Save your money and take a city view room, especially with the unco-operative drapes.The service was as good as you would expect, no better, no worse. Reservation staff was friendly and helpful, two concierges were excellent, one was just showing up. As this is written ( a week later), I have received no reply from the hotel to my comments which they invited. The Cape Cod Room restaurant was OK as well, but only as a late-night last-minute choice in a city full of fine restaurants. The &quot;Executive Lounge&quot; on the top floor was OK as well, but not even as big as our room.Unfortunately, The Drake's best days are long behind it (kind of pathetic, the fancy bound history of the hotel they leave in each room, highlighting its past glory that it can only dream of now.) Don't be fooled by the website photos of Princess Diana, etc. - now it's just an old run-down relic. The Drake could take lessons from The Royal York Hotel in Toronto on how to keep a grand old hotel grand. You want to stay in a first-class Chicago hotel, forget The Drake, stay at The Peninsula.	
Oct 11 2004	Not so great...	The hotel is clean and quaint in that it has a lot of history BUT the service is terrible.We called down for items several times and nothing was ever delivered. We were promised a lake front view and got a view of the building across the street. We were promised two queen beds and got ONE queen bed and a cot. Luckily the serviceman got us a second cot. They didn't even bless us with blankets for the cots!Did I mention the service is terrible?I'm sure you could find a less expensive AND friendler place with the same kind of proximity to everything. I wouldn't stay again.	
Sep 30 2004	Only ok.	I took my mom to Chicago for a Christmas concert and shopping and had high hopes that the Drake would be the perfect hotel.Instead, they were changing the carpet in the lobby, so it was in disarray, the service in the cocktail lounge off the lobby was cold at best, the closet in our room had a scary hole (2 ft. x 2 ft) into some air vent exposed. The next morning, our breakfast service was spotty, the food was cold and there were crumbs all over my seat when we arrived. Yick. Other than a great location, I have few other reasons to return.	
Sep 11 2004	ok hotel	Hi all, I stayed at the Drake for 5 days and didnt like it. This is an old hotel with good history as Princess Diana stayed here and other royalties. It was built around 1930s so its old. Apart from that I didnt like the bed...always had a back ache after a night sleep. Room is adequate but the lighting is yellow lights so its kinda eeerie. If you're after an old hotel with european ambiance then its worth a try but if you are looking for more of a modern hotel there are others...I transfered to Wyndham and am happy (no more back aches) about it.	
Sep 9 2004 	POORLY MANAGED!	I hosted a group at the Drake in August. The funny part was that it was 10 people. The hotel staff were very rude with the exception of the valet staff, however I was double billed every day for parking. My group did not receive the correct food that we contracted each day. Nobody was around on the weekend to correct the problem so you were left hanging. I was charged for audio visual items that I never ordered. I complained to management only to receive a letter defending items that were never mentioned in my original letter. Also have left SEVERAL messages for the sales department, almost 30 days later no call back. I would steer very clear of this hotel for any group functions. They are VERY unorganized. The Westin across the street is ten times better.	
Aug 10 2004	Wonderful Place- 8/3/04	My husband and I recently stayed at the Drake for our 2 year anniversary. I could not have asked for a better place to stay. All the staff were extremely helpful and kind. We had a traditional kg. room, and it was very nice and spaceous. We were treated very well and would definately go back again.	
Jul 30 2004	Great Honeymoon at Drake	I reserved a room at the Drake about 2 months in advance and got a great rate through the Drake webpage reservation, other online services did not even come close. Had a lake view. The Hotel is very impressive. The flower arrangement in the foyer is overwhelming. The harpist at the new Drake Brother's Restaurant had us walking around stunned. Easy access to Wrigley via the EL, talk to the consierge, he is very helpful. Free City tram is great, use it, walked to Navy Pier and Hancock.Ate a meal next to the piano bar, requested a song, ordered room service, sent laundry out, free newspaper, let housekeeping turn down-leave you mints, bought the Drake complimentary robes,very nice, expensive but nice. Good lifetime memories. Parked car at hotel for 3 days for $33. Use public transportation, parking is impossible otherwise.Tipping works wonders, gets you extra little niceties from housekeeping and respect. Dress as you please, saw families on vacations and people on business. Going back for our anniversary for sure. Will spend more time on beach, ran out of time.	
Jul 20 2004	Grand as usual	Once again the Drake has spoiled me. This was our third stay at the Drake in as many years and every stay is just as delightful as the one before. This time I got a great deal for a room at $118. I figured for that it would be itty bitty and looking at a roof, but not so. It was very spacious and we did look at another building, but could see the lake to the left of our window. All of the small things are what I appreciate. The marble sink tops, the light fixtures, the huge towels and the textured sheets that are sandwiched around the blanket on the large, comfortable bed. The flowers in the main lobby are always fresh and beautiful. The front desk gal told us if we did'nt like our room, just let her know and they'll arrange for another. They managed to check us in early since we arrived earlier than anticipated. We were in our room by 10 a.m. We sat in the tea room for awhile before check in and that was very relaxing. The bathroom in that tearoom is like no other I've been in. Each stall is like an individual bathroom. The toilet paper and kleenex are always folded to a point no matter where you go. There is some magical fairy that has this job of making them pointed when your not looking. I never want to stay anywhere else when we are in Chicago. The Drake has truly spoiled me!	
Jul 14 2004	Frank Sinatra's favorite!	Magnificent old Hotel. Sinatra's favorite.Staff is great, 4 restaraunts are great, water pressure is outstanding.Offered a $30.00 upgrade to room with sitting area per night. Declined but will take them up on that tomorrow night.Rooms are small, as to be expected in a historic hotel, but I'm sitting here surrounded by thousands of dollars of furnishings, wall work, heavy wooden panelled door, etc.This is a subtle but important note as I sit back and notice things. If I look around my room and ask &quot;could this be a guest room in a Southern Plantation, or Rhode Island Mansion?&quot; my answer is Yes. When I ask that at the Hilton/Hyatt/Marriott, my answer is No.Then I ask myself, &quot;how many days do I have on this planet? how many days do I want to be in a generic box?&quot;Internet is $11.40/day.View: Lake Michigan or City, ask at desk. I took the Lake, and have nothing between me and the lake but one road. No buildings, this hotel is on the lake.Large window says &quot;Caution Do Not Open&quot;, to appease the lawyers living amongst us. I slid the window up 4 feet last night. When was the last time you slid a hotel window up? Especially a new dark stained aluminum double paned window? No screws or restrictors. Gotta like a place that still says &quot;don't do that&quot; but lets you be an American with the choice to do so if you want.Phone system is nice. Set wake up call for 6:30am. Heard it, ignored it, rolled over. Went off a second time, ignored it, rolled over. Security knocked on my door 15 minutes later, &quot;Security, just wanted to make sure you received your wake up call&quot;. I was extremely impressed that they knew part of their job is to make sure I make it to my early meeting!The bar says they served the 2nd drink in Chicago after Prohibition ended.4 internal high end restaraunts.Right on the shopping wonderland known as the Magnificent Mile, across from Bloomindales.If you're tired of generic Hyatt/Hilton/Marriott experiences and want a change, try the Drake.Thanks to BiddingForTravel for allowing me to find out about this hotel!	
Jul 11 2004	our Anniversary	My wife and I stayed here for our 10 th wedding anniversary. We were upgraded to a sweet upon our arrival. The staff was wonderful.On our first night there wich was our anniversary we came back to our room to find a chocolate mousse cake that read happy anniversary!!! This was the most amazing hotel we have ever stayed at. We will definatley be back many years to come!!!!!!	
Jul 7 2004	Heart in the hotel	I like to express my gratitude to the staff of Drake Hotel, which I believe should be credited more than the &quot; famous lobby itself&quot;..The hotel has negative reviews about being an old one , but hey.. it is traditional hotel its not the usual hotel nowadays that is technology wise, the warmth of the hotel collided with the ambiance that I felt to be a royalty just like the service that Marc in the bell desk offered me, though its late at night he still went to wallgreens to buy a contacts cleanser because I forgot one. The clerk in the front desk ws very helpful in giving some alternatives to my room offering such upgrade and the concierge Adi should be taken in account for --reserving us a nice dinner to a very exquisite italian resto..Very good!!!!	
Jun 26 2004	So-so	Attracted by an excellent discounted room rate, we stayed at the Drake and had Thanksgiving dinner there last year. People who pay in full won't get what they pay for.It was fun to be in the lobby of an &quot;older&quot; city hotel as opposed to the bland environment of so many chain establishments. Some Chicago businesses had advertising displays in cabinetlike niches. Uniformed bellhops bustled about. A towering, decorated tree heralded the holiday season along with an electric-train layout. The entire area was nicely paneled, carpeted, and appointed. Too bad we went upstairs.. The &quot;family room&quot; proved to have a good-sized double bed and nothing more for sleeping. (The couch didn't fold out.) Without our having to wait all that long, a surly employee brought up a cot which turned out to have a somewhat lumpy mattress. Fortunately we were only there one night.Space in the room was adequate. The mirror and glass shelves above the minibar provided a nice touch. The bathroom was roomy and clean. Furnishings were OK aside from the lumpy cot and cheesy radio. There was a decent view of Michigan Avenue to be had from the large windows.Dinner was served in a pleasing atmosphere with efficient, swift, and congenial servers. The food, particularly the desserts, was less than spectacular given the cost of the meal. 	
Jun 15 2004	The Hilton sisters better focus on their hotel legacy instead of reality TV	Shock and disappointment is all I have to say about our stay at the Drake. We made a reservation two months in advance for a suite and a king room, we gave our credit card number at the time of our reservation (so that they could immediately charge us for the rooms-which they explained was a necessity so that we could receive their &quot;special&quot; rate -- how many other luxury hotels do you know that resort to charging you up front for a discount?) In good faith, we proceeded and were given a confirmation number. Trusting that the Drake was a reputable hotel with competent staff, we felt assured that our reservation was complete. The evening of our arrival, 9:30 in the evening, we were informed by the desk staff that our reservation had been cancelled. By whom? We had no idea, nor did they. We gave them our confirmation number and it was not accepted. The management was consulted, but refused to speak to us. The help was left to settle the situation. With few options at hand, we were forced to ask for any rooms available. We were given 10'x10' &quot;closets&quot; with views of the roof tops and pigeon poop. Not only were the rooms small, they had bath drains that did not work, complete with extra hair from the last guest to prove it, less than adequate air conditioning, that kept you up at night and sounded like the worst motel unit you have ever experienced, and finally, the towels were like rubbing yourself with dried parsley. We were never contacted by the management during our stay and at check out we were handed a bill that would have equalled ANY stay in the BEST room at a REAL hotel in Chicago. The end of my story is do yourself a favor and stay at the Ritz, the Four Seasons, or ANY other hotel that knows how to treat and respect their client.	
Jun 15 2004	Not so "drake" as Id dreamed...	We were a party of 6, in 3 twin bed rooms from May 29th to June 3rd. 2 rooms were quite OK but the 3rd was so small and facing a wall that we complained and after much begging were given a half lakeview one (3rd floor). It was unusually cold (20º less than normal) but the heating was off and the best they did was giving us very old and not so efficient small heaters. The inroom TV hotel services account gave each day a different and wrong total so we spent every morning half an hour waiting anc complaining to a most untypical Assistant Manager... no french, no spanish speaking. The public rooms are nice but not gorgeous. Best assets: housekkeping maids and buffet breakfast.	
May 22 2004	Upgrade your room....it's worth it!!!	It's very exciting to stay at the Drake!!! The lobby is very grand and you can feel the history as you walk in. The front desk staff is extremely helpful. We stayed for two nights and were disappointed with our room the first night. It was cramped and all we saw out our window was the wall of the neighboring business building. We called the front desk and she had nothing else available at the time but told us to call back the next morning for an upgrade. When we called early the next day, they said they had a Lake view room for $20 more. We decided to go for it and did not regret it one bit. It was on the third floor and had a view of the Lake and the road along the lake. It was very relaxing. It was also a much bigger room. Ordered room service the next morning to sit by our window and enjoy the view. The food was expensive by tasty. It was hard to say good bye to this room.	
May 11 2004	Easter 	It was everything I expected and more. The room was well organized, the food was wonderful, there were serveral staff members to assist with all of my needs, the dessert room was impressive and the desserts were definately home made. I had a wonderful time in a beauftiful room and would highly recommend The Drake	
May 6 2004	Nice but a Bit Disappointing	I stayed here recently for 3 nights and liked the historical charm of the place. Rooms were a bit small and perhaps over furnished, but the high ceilings prevented it from feeling too cramped. I had no problem with the climate control in the room. The hotel is old but it seems to be refurbished and not at all run down. My nits: not obvious that there's an elevator from the street to the lobby check in (steps are daunting if you have luggage), and I couldn't understand why they had such cheap / poor quality radios in the room - really diminishes the place.	
Apr 11 2004	Great Location	Great Location and Great Hotel.... The staff was perfect and the location could not have been better.. The rooms were a little warm, the temp controls did not work that well... ( Opened the window and we were fine) Otherwise, perfect.......	
Apr 5 2004	Enjoyed Our Stay	My wife and I stayed at the Drake in Jan. and enjoyed our stay.The bad: The rooms are on the small side and the temperature controls in our rooms weren't working.The good: Great service, friendly staff, wonderful bar. Clean rooms.	
Mar 30 2004	Beautiful hotel!!	My husband and I stayed at the Drake for our 10yr anniversary. We stayed for 3 days, and the hotel is simply gorgeous. The staff works HARD to exceed your expectations. The hotel is lovely, and has beautiful showcases all through out the area called the &quot;Arcade&quot;. They have these GORGEOUS children's black and white photographs, and some paintings as well. We even used the photographer they have showcased there, and she is just as classy as the Drake. The Drake picked a wonderful choice there.This is a class A hotel. Our room was more than we could ask for. The hotel is pricey, but what can you expect in the Gold Coast?	
Mar 28 2004	Great Hotel great location	Just returned from a 5 day break at The Drake. (13th - 18th March 04) We had a wonderful time. The accommodation was lovely - we had a superior view of Lake Michigan and the Gold Coast which was really beautiful. The general hotel appearance was like something from the 1920's. Sumptuous, with lots of attention to details (like a huge fresh flower display in the magnificent lobby, harpist in the cafe etc). Also, the staff at check-in and in the restaurants and bars (not to forget the room-cleaners) were friendly and efficient. It's location (right on the Magnificent Mile) couldn't be faulted - no wonder so many film-stars and royalty stay there! We would recommend this hotel to anyone who wants a stylish hotel with a glamorous past. Also, I'd like to thank British Airways for a super flight out and back and also thanks for the upgrade!!! Super flight, super hotel, super holiday.	
Mar 13 2004	meet my standards!!!	This might be very opinionated type as i discussed..but the employees not the hotel itself met my standrads and should I say&quot; offered me more than I expected...and I have to paved and recognized them-by doing so,It will give me a comfort of acknowledging the certain individuals that made me and my fiance vacation spree spectacular!!!when the doormanNEIL HANDED MEa ticket he was very generous to direct me in the lobby I was mesmerized that it was so busy and he still have time to show me where it is, I remember the receptionist Lorenzo who was extremely kind to give as a lovely room overlooking the lake (take note without additional cost ) and wish us for a lovely stay,then right after the bell hop guy Marco who informed us evry detail in room , He explained things prompt, we adore the coq d or-loved the concierge tom, who recommends a good dining place..OVERALL I LOVED THE EMPLOYEES!!!WHO OFFER SUCH A ABOVE EXPECTATION	
Mar 8 2004	full of old world charm	Me and my partner stayed at The Drake for 2 nights in September 2003 on a stopover to LA, we had read the mixed reviews and decided to try it out for ourselves. This hotel is fabulous, from the moment we checked in we fell in love with her,ok the bathroom door didn't close but it all added to it's quirky charm. The bedrooms were fine and fresh fruit on every floor was a nice touch. We had a wonderful time and there is nothing quite like having breakfast overlooking Lake Michigan in the Oak Terrace. I would highly recommend The Drake if you want a hotel with a bit of character. We will return to Chicago and certainly stay here again.	
Mar 1 2004	NO that great	The Drake was an okay hotel..very old..I expected mote from this hotel , they need to renovate their rooms...service was great at the hotel..employees are very helpful though I would not stay here again..very disapponted with the rooms..we were given 2 full beds!!!!!!	
Feb 22 2004	Loved the Coq d'Or	I spent a few day at The Drake nad it was wonderful. My room overlooked the lake nad I had access to a special lounge on the top floor that served free drinks all night! I also ate and drank in the Coq d'Or and this bar was the highlight of my trip. Although 70 years old te ambiance and service is second to none. I would highly recommend the Coq d'Or for giant Martinis and great service. The Drake hotel is wonderful...	
Jan 8 2004	What a great hotel	Just stayed 3 nights at the Drake, 25/26/27 December and the whole place was beautifully decorated for Christmas. I had already paid for the room online which was just as well because I arrived at O'hare minus my credit cards!! I contacted the hotel and they agreed to pay for the shuttle from the airport until I could get my cards replaced. The assistant manager (Mario) and his staff were excellent thoughout our stay. Although I cannot comment on the restaurants, the Coq d'or bar had a great atmosphere and the food was good value.....again bar and waiting staff were terrific. One dissapointment was the lack of coffee maker in the room but then again the walk though the hotel to the complimentary drinks every morning was a delight. The hotel is in a great location just minutes from the Hancock building and Michigan Avenue and I would have no hesitation recommending to others.....especially when you can get rooms for as little as $99.00 a night.	
