	Good	Staff is very friendly, rooms are nice with great view of Chicago River and close to House of Blues and Harry Caray's Resaurant, as well, not far from Magnificent Mile. Hallways were dark and elevators a bit scary, but overall great hotel. The bar, Crimson, located in the hotel was not great. The bartenders were nice but the waitresses were like talking to a wall.	
Oct 9 2006 	Great Location - Construction wasn't that bad!	I stayed in room #908 for three nights during a tradeshow at McCormick Place. The concierge Amy was terrific. I had to call her in advance of my trip to make some special transportation arrangements and she was all over my request and contacted me with frequent updates. The front desk was friendly and quick. My room was generously sized with a comfortable king size bed. Yes, there was construction but I didn't find it any more disruptive than regular city noise. In fact, I stayed in my room late one morning to finish a presentation and hardly noticed it. Terrific location with a VTK (Vong's Vietnam Kitchen) next door with fast take out service if you want something good eat but don't want to eat alone or order from room service.	
Oct 1 2006 	Geat Stay Friendly staff	We recently traveled to Chicago for the first time for a weekend getaway. We decided on the House of Blues Hotel because of location and reviews. We also wanted to go to the Gospel Brunch next door on Sunday. The hotel was booked full the night before, but they were still able to let us check in early. The staff was very friendly. The room was very nice and the bed was comfortable. The only downer to the room was the mini bar, which like all mini bars is way overpriced. When you pay that much for a room, they should just give youa bottle of water! The bathroom was fine, but the tub / shower was more of a shower. You would have to work hard to fit into the tub. It was 1/2 to 3/4 size. Everything else was good. The bell station was helpful and kept our bags while we looked around some more on Sunday. We had a great stay.	
Sep 26 2006	Never again	I was very disappointed in my stay here. Staff at the front desk was rude. When I called down for towels it took them 45 minutes to bring them up. The hotel is beautiful but that doesn't make up for the poor service!	
Sep 2 2006 	Good hotel good location	I love this hotel and we stay here often. However, since this is no longer owned by Loews Hotels, it is starting to show signs of wear and some of the amenities are not as plush as the Loews Hotels group.The staff is very accommodating and pleasant. The overall vibe of the hotel radiates 'cool.' It is dark and exotic. The regular rooms are small, the colors are loud, but it all seems to work and very comfortable.The hotel and rooms are spotless and odor free. The bedding is fabulous. The sheets are soft with a feather bed comforter. But as I said earlier starting to show signs of wear. The courtesy items in the bathroom are a nice touch, unexpected good quality, and they also supply q-tips and cotton swabs (left over from the Loews group). The bathrooms are big. Almost as big as the room.The mini bar is packed with everything imaginable, but on the pricey side. Room service is hit or miss on quality of food and expensive. It works if you are hungry and don't want to go out.The river north location is perfect. A short walk to State Street, North Michigan Avenue, theater district, and excellent restaurants. Forget Smith and Wollensky, not worth the high prices.The Kazbar serves up yummy cocktails and bar food. This is a great place to watch for famous people and musicians who may be appearing at the House of Blues concert hall next door. If you aren't a member of House of Blues Foundation room, you should be. The Foundation room private dining room menu and food is GREAT in Chicago.I highly recommend this hotel. One last thing beware of construction going on at the hotel. They are giving it a face lift. Lets hope the rooms are next before it goes down hill.....	
Aug 25 2006 	BEWARE!! CONSTRUCTION!!	We checked into the hotel around 11:30pm after being on the rode for 9 hrs. The front desk was easy to deal with, beautiful lobby. The bellman was great. We had a suite which was $400.00 a night. The room was nice could use a little updating but clean. We then ordered room service which was very good for being so late. Then it was off to bed, the beds were very comfortable, there was a cigarrette hole in the comforter but other then that the linens were clean and the pilows were nice. It seemed we would have a great sleep for are next day 12 hr. drive. WRONG!! We were woken up around 9:00am by the sound of Jackhammers!! Not one but many. They are working on a garage across the street and the noise is loud!! We could not fall asleep!! We did call down to complain and they did make it up to us. But It still did not help that we had such a long drive ahead. If you are going to book a room here be sure you call first and ask if there is still construction going on across the street!!!	
Aug 7 2006	Chicago- great place to visit	The location of the House of Blues Hotel was great- the room was a little small but very clean. When flying into O'Hare Airport I would recommend taking the CTA (the Chicago Subway) to the hotel. For $2.00 you can take the Blue Line to Clark and Lake Street- it takes about 35-40 min but it's alot less than a cab. We went to a Cub game at Wrigley field- great time- would def. recommend seeing a game if possible. Also walk to the Navy pier lots to do, from the Navy pier we took the water taxi to the Sears Tower- $6 ride on the Chicago river to the Sears Tower- we got to our destination while getting a scenic ride down the river. Must go to lunch at FOGO de CHAO (661 N LaSalle ST)- go for lunch b/c its alot less expensive- amazing food- (they give you 15 different types of meat where you can have as much as you want- unlimited sides and salad bar- lunch is $29 per person- dinner $49. Great place!	
Jul 26 2006 	A plus for decor and fun; C minus for service	We stayed at House of Blues in May.The Hotel is fun. The decor is Vegas light, the location is spectacular, and the rooms are big, bright and fun.The service was very mediocre for a Hotel in this price range. We arrived at 3:30 in the afternoon and our room was not ready for nearly 2 more hours. We weren't the only guests in this bind: the lobby was littered with clusters of folks waiting for their keys.The cab line out front was more chaotic than it should have been.	
Jul 19 2006 	Good Location Get a good deal though	I just stayed here with another couple for a long weekend from July 13-16. We arrived early, and the hotel was able to accommodate all of us in two rooms. The place is really funky with a lot of Cajun artwork and funky colors. We got a great flight+hotel deal on Orbitz, because otherwise I would have been mad if I had paid full price. I paid, on average, $170/night.LOCATIONThis hotel is in a GREAT location. It is within walking distance to the Navy Pier (15-20min), Mag Mile (5 blocks), and Pizziera Uno (the original restaurant to do Chicago-style pizza - 4 blocks). It is also only about 3 ½ blocks walk to the Red Line of the El, which is one of the main lines to take you to Wrigley Field, the Chicago Art Museum, Millennium Park, and more. Also, within this hotel, there is a fancy restaurant attached (Bin 36) open for B, L, and D and an upscale bowling alley/martini bar called 10 pin. There’s also the House of Blues for which the hotel is named. This hotel is in the middle of a bunch of other hotels (including the new Trump Hotel which is being constructed) so there is no view of anything except other hotels and parking ramps. Don’t stay here for the view. Stay here for the location.ROOMSThe windows actually open which meant that come outside noise could be heard. However, once we closed the heavy curtains, it was both dark and extremely quiet. The internal walls are thick and we didn’t hear a peep from the party going on across the hallway from us (phew). The rooms are small, however. We had an extremely small room. It was only enough to fit a bed. The television had to be placed on the side desk against the window instead of straight on so don’t plan on watching tv in bed!CRUNCHThere is a Crunch health club attached to the hotel. However, you have to pay $15 per day to use the facilities. There was only ever 1-2 people there every time I looked so they should really open it up to all guests.HANDY TIPS•There is a hairdryer in every room, but it is in the closet, so look for it there.•Call for turn-down service every night for a fun treat•Bin 36 has a coffee bar for a quick java or a muffin. It’s nice when you don’t have the time or money for a full breakfast•Want coffee in your room? Call the front desk. They’ll bring you a coffee maker and coffee free of charge.•The 6th floor of the hotel has a business center for all guests that has a table w/four chairs and internet service. There was never anyone there as far as I can tell and we played board games there.All-in-all, this hotel was not that memorable, but the location was great and I got a good deal so it was worth it.	
Jul 2 2006 	Pricey but thats Chicago	The hotel is located within a short walk of the river, the Magnificent Mile, and a train stop. Like any other big city hotel, the House of Blues is a bit steep. A happy hour for two people ran $62...probably $30 more than expected. Hotel is unique, and the workout area is an independent gym ($16 per day), but it is a full size, full service club. Parking is $34 a day and it can take 15 to 20 minutes for them to retrieve your vehicle. Overall it is a decent hotel, clean and centrally located, but at the price I would look to other options first.	
May 4 2006 	good location and price		
May 3 2006	Loved this place		
Apr 14 2006 	A fun place to stay		
Mar 10 2006 	HOB Hotel is a Must!		
Aug 12 2003	House of Blues Hotel adventure		
May 29 2003	Great hotel!		
May 22 2003	The best deal in Chicago!		
Apr 28 2003	Makin' me Blue		
Nov 9 2002	Don't bother		
Oct 18 2002	Apalling Service and Unsafe Atmosphere		
Jan 6 2009 	molto bello il sax hotel		
