	Excellent Value and friendly professional courteous staff in Great Location.	My wife and I truly enjoyed our recent stay at this Sheraton Hotel. The value for money was outstanding - I know the price we paid is a reflection of the current difficult economic conditions but it really was worth much more money. The room and facilities were very comfortable and became our home during a week of constant activity. We looked forward to coming back to our room every evening, our &quot;island of tranquility&quot;, which overlooked the river and was very quiet. The front desk and housekeeping staff made us feel like special guests every day. We really liked the free internet access in the link café; the complimentary Starbuck's coffee and Tazo Teas are a generous and welcome amenity. Every hotel employee we met was helpful and pleasant. We loved the central location for our stay during Thanksgiving Week and will not hesitate to return to this hotel when the next opportunity presents itself. There is much we could say about the little things that make a stay enjoyable, and it is obvious that staff training and attention to detail as well as the intangibles, &quot;positive attitude, pride and willingness to please the customer&quot; are very evident throughout your facility.	
Aug 10 2005	Chicago Sheraton is Excellent	Sheraton Hotel Chicago was amazing. Wonderful lobby, beautiful room, excellent staff. Breakfast food wasn't all that great, but room service pizza and sandwiches were great. Check-in was quick and pleasant. Location is the best. Hotel right on the Chicago River and a short walk to Navy Pier and Mag Mile. Great amenities like nice shampoos, soaps, etc, pool was great, we were the only ones there, very relaxing sitting on the sundeck too. What a view our room had. Corner room is a great option to ask for. Would definitely stay here again if we were going to Chicago.	
Aug 8 2005	The worst reservation experience I've ever had	I am a frequent biz &amp; leisure traveler, and I was in Chicago for a wedding. I decided at midnight to stay at this hotel, rather than where I had been originally staying. I called to make reservations, but the central reservations line said I had to use the front desk at that hour. The front desk never answered my phone call, so I went back to central reservations and told them they had to work it out. They did, and gave me a reserv &amp; charged my cc. When I got to the hotel, they had no record of my reserv, told me I must've called the wrong hotel, and I should just go to another location. Nope, I've been charged for my reserv at this hotel I said. They told me I had it wrong. Spoke to a manager, who again told me I had it wrong. Why don't you just check, instead of assuming I have it wrong! After an hour (at 1 am) of me complaining, they finally figured out that I had it right all along. They gave me a parlor room (living room of a suite) with rollaway beds for me &amp; my husband (they made no effort to put them together). My keys did not work, which required getting security (they thought I just didn't know how to use a key, but it was again their fault). My suite-mate didn't know about this arrangement, and was woken up &amp; angry. They comped the room, but I would've preferred to pay $200 and not have such an ordeal. I will never stay at any sheraton again, and this hotel makes me sick.	
Aug 7 2005	Great Loaction	The Sheraton is a fantastic hotel. My wife and I stayed on the 29th floor overlooking the Chicago River and Lake Michigan. The view was great.We got a corner room that also had a couch in.The hotel was just a short walk to the Navy Pier and the Magnificant Mile Shopping area. Food at the hotel was great. Service from checking in to maid service was first class. Great Hotel, Great Town, Highly recommend it.	
Aug 2 2005	Good hotel for a great location	Recently stayed there for the weekend and was happy for what I paid ($179/night) for the location. It is very convenient to the Navy Pier, Michigan Ave (shopping) and a decent walk to other attractions. The rooms are good size with the &quot;comfy beds&quot; (a bit too soft for most people but better than other hotels). The decor of the room is old but I did not stay too long in the room so that does not matter. View was great, I looked out onto the river and could see the fireworks from my room. I agree with some of the others that the food at the hotel (in room and restaurants) was pricey. There is a gourmet food store a few blocks away (Fox &amp; Obel I think) that had sandwiches and breakfast food that I brought back to the room.While this was not the best hotel that I have stayed at, I would certainly recommend it.	
Jul 31 2005	The time of my life!!	This was the most wonderful experience! they let us check in early since our train was early- everyone was so politewalking distance to great food and shopping (west egg breakfast-yummy!) even if i was filthy rich i would not stay anywhere else!i thank them so much for the best trip of my life!	
Jul 27 2005	Very Lavish Comfortable	It was a great room with a great view. The comforters were SOO comfortable. I wanted to snuggle all day long. We checked out late with no problem. The room was very clean, spacious bathroom, spacious room. No complaints with room or matress. The lobby and common areas were beautiful! Vaulted ceilings, vallet, bellman, and not so nice staff. I would recommend this hotel to anyone wanting to experience luxury for a decent price in Chicago. Location was right near downtown, great water view, no compaints ont this hotel. I would DEFIENETLY stay agian!!	
Jul 17 2005	Avoid this Terrible hotel!	This hotel is absolute TERRIBLE! Booked the hotel by Hotwire for just below $100 (total) per night. After a long 12 hours drive and with a heavy backpack arrived late at night. I was hope to get a real good rest. But you know what?! They assigned me a room that had not been cleaned: sheets on the floor, glass with lipstick, a whole mess in the room. Okay, may be they got it wrong for one time. I went down to the reception and ask for a clean room. Then I went up again and found that the second room is the same! NO housekeeping what so ever! I gotta go down again (with my heavy backpack and dead tired body) and ask for another room. After all this trouble, finally got a small room that seems to clean. I had to go throught all these trouble just to get a room??!! Poor receptionist, don't even show their apology. The only compensation is a complementary breakfest which still required me to pay for the tips. Very bad experience with this over-prized hotel. It is definitely not a 4 stars hotel. with this kind of service, I don't wanna stay there even for free.	
Jul 10 2005	Nice hotel but bring your retirement funds.....	Very nice hotel as far as location. Can't really be better for experiencing downtown Chicago. Short walk to Navy Pier, Mag Mile, etc.My family and I pulled up and were helped quickly at the curb. I was advised on what to do for parking considering I would need my car later for a trip to Soldier Field for a soccer game. $35 for in and out privalege parking. Pretty high, but that is Chicago.Lobby is beautiful and the front desk staff (there weren't enough of them) were friendly and helpful.We were put on the 25th floor. The rooms are pretty small with two VERY soft, overly soft, insanely soft, beds. Two bottles of water were on the table waiting for us (if we wanted to pay $4 / bottle!), and an in-room refridge filled with stuff (like $4 for a KitKat and such).Sadly, after the soccer game I had had no dinner. It was late and I did not want to walk miles for food. You got it. $18 for a Rueben through room service. When I asked if there was a restaurant in which we could dine rather than use room service I was unable to understand the reply, although I asked her to repeat twice. Hiring people who speak English would help.When we went to bed (you know, the too soft beds) my eldest son and I sweated to death because you sank into the bed so far that heat had no way to escape. If you are a warm body person, you will HATE these beds. The air conditioning was not terribly cool either so it just made it that much worse.We visited the pool which was nice, but crowded (we were told this is an all day long ordeal) The sun Deck is beautiful too. The next morning I decided to take advantage of the incredible workout facilities listed on their website. I planned on running on the treadmill while my wife swam with the kids. (I run every morning on a treadmill at home, so this selling point on their website was a big selling point for ME) I signed my family in to the pool and then went over to the treadmills and started my warm up. I was then approached by a female employee who told me, in no uncertain terms, that I needed to pay to use the workout facilites. $15 to be precise. Incredulous, I asked her to show me where it says that there is a charge. She said, there just is. I checked the website again and it says NOTHING about the extra charges. Essentially, I spent $200 for one night and was KICKED out of the health club.I went back to the room while my wife and kids swam. While reading the paper I got the stench of cigarette smoke from the ventilation system. I am an ex-smoker so this is rather distressing for me. Not sure where it came from, but really don't care either. For $200 a night I expect to not leave my room smelling like I spent the night in a brothel.Long and short of it is that it is a very nice hotel with some nice people working there. Worth $200 / night? No way. Won't do that again. Back to Embassy Suites for us!	
Jun 22 2005	High class hotel in Chicago	I have just returned from a stay (Jun 11-15) in the Sheraton Chicago Hotel &amp; Towers and overall had a very positive experience.This is predominantly a conference orientated hotel and the majority of people staying in it are likely to be attending one, however, this did not in any way affect our stay. At no point were we made to feel in the way because we were leisure visitors. We were checked in quickly and the reception member who dealt with us was able to facilitate our request for a riverview room even though the hotel was heavily booked.Our room was a good size and had incredibly comfortable beds. It was clean and our only complaint would be the poor hairdryer in the bathroom. Sometimes it worked and other times it didn't and we did find this frustrating. Also it was quite weak and took a long time to get your hair dry if it was working.All staff members we came in contact with were very friendly from reception to the bar and those who came to turn down the beds in the evening. The hotel was always busy and I felt this helped give a bit of atmosphere to the place as it is such a large property. The hotel is close by to the bottom of Michigan Avenue (Wrigley Building end) but it didn't take us long to walk anywhere including Navy Pier and it is in a prime location if you are interested in doing a river cruise.Be warned though that the airport shuttle service that picks up from the hotel is most unreliable. We were outside waiting from 5.10pm for a shuttle due at 5.25pm which never appeared. At 5.40pm I went back in and spoke to the concierge who advised it was cheaper and quicker to get a taxi to O'Hare but did ring the company who said they would send one to collect us straight away. At 5.55pm with no sign of the 2nd shuttle or the one the company agreed to send straight away we made the decision to get a taxi to the airport. However, it was definetly not cheaper and cost us $46.00 incl tip, the shuttle would only have been $34!All in all a fine hotel with good staff who made up feel welcome and I wouldn't hesitate to recommend it.	
Jun 14 2005	Ok  but not worth the money	We stayed here for one night, and found it a hotel that concentrates on conferences rather than your normal guest. We found it hard to get a room in the city for that particular night and so we paid above the odds for this - @ $200 for the night. We felt when we checked in that if you weren't with the conference, then why were we staying in the hotel. The guy at the main door didn't even hold it open when you are trying to lug your bags into the lobby, we then had to que for 15-20 minutes just to check in. We were not given any information about the hotel and when I rang down to reception at one stage to find out if there was a business centre in the hotel that I could access the Internet through, I was just short of being asked why didn't I bring my lap-top with me so I could use the Internet access in the room.... !! I found the staff very rude and not helpful at all and would not recommend this hotel for a tourist.	
Jun 12 2005 	Can't be better than this	I have stayed at the Sheraton Chicago Hotel &amp; Towers before as well but I can not believe how tremendously they raised their service level since then. From the doorman to the maid everyone was incredibly helpful. The rooms were spotless and check in process was incredibly fast. I have stayed in 5 star hotels and their staff wouldn't even look at you in the eyes. Staff of Sheraton Chicago Hotel &amp; Towers is the only staff you can experience that. They treat you like a person. I talked to the housekeeping manager in the lobby and he explained the changes they have been going through starting from top to bottom. I was totally amazed with this young man's commitment to the hotel from the way he was talking about it. I would HIGHLY recommend this hotel to the travelers who have been missing the GREAT service.	
Jun 8 2005	Satisfied	This past weekend, my wife and I spent the night at the Sheraton.Overall, we had a positive experience. The towels were soft and the bed was very comfortable. It was the best nights sleep I think I ever had at a hotel.The only downside was the bathroom room floor was not that clean( there were strands of other peoples hair)Besides the bathroom floor, we found the whole stay, --from check-in to check-out a pleasant experience. We would consider staying here again next time we are in Chicago.	
Jun 7 2005	Comfortable stay	We went through hotwire and paid $102 of one night. Excellent deal as the hotel was well located, extremely comfortable and clean and the check in staff were very welcoming!	
Jun 6 2005	Great Room at the Sheraton Tower	Took a quick trip to Chicago this weekend to see Wicked, and wanted a nice hotel without spending too much as it was just an overnight stay. Using Priceline I offered $80 and my stay was accepted by the Sheraton Hotel and Tower. It was a great experience and worth much more than the price I got!We arrived at the hotel at 10:30am thinking we could check our bags with the bellmen as check-in wasn't until 3pm. Talking to the reception desk, we were happily surprised to find that they could actually get us into our room right away despite being 4 1/2 hours early. The room was beautiful, on the 18th floor with a view of Adler Planetarium and the river, and had a king size bed. It was easily one of the largest rooms I've stayed in at a downtown hotel in a major city.We used the concierge twice - once to find a Chipotle for lunch and the other to get to Ginos East for deep-dish pizza. They were slightly off on getting us to Chipotle (we had to go one street further than they thought) but gave us a priority seating voucher for Ginos which cut the wait time in half.A great stay - I would highly recommend it!	
May 13 2005 	Don't Believe the Naysayers	I just returned from a 2-night stay here and could not have been happier. I had a great room with a view that I bought on Priceline for $100 per night. Parking was expensive, but had unlimited ins &amp; outs. I stayed on the non-smoking 26th floor really enjoyed the view. I would stay here again anytime - great location for buisness &amp; pleasure!TW	
May 2 2005	Expected more for the money	Just stayed here for $200/night over the weekend. There was a convention in town so many hotels were booked up and did not have special rates available, so this was the best deal available for a nice hotel. It was just not worth the money! The room was very disappointing.Positives: Bathroom was very clean, water pressure good, shower good. The location is great (you can walk to the loop, the lake, etc.) and the lobby is very nice.Negatives: Bed was uncomfortable, despite all of their bragging about how great the beds are--it was so springy it felt like sleeping on a trampoline. The comforter is so unbelievably heavy that it is too uncomfortable to sleep with (plus did not seem too clean &amp; is made of some microfiber material that feels grungy), but then all you have to sleep with is a sheet (threadbare cotton with holes in it) and a yucky brown thermal blanket. They don't even put a second sheet on top of the blanket to make it more sanitary. Also, the deadbolt has to be closed to activate the heating/cooling system, so you cannot leave the air conditioning on when you leave the room. By the time I got back to the room after a long day out, the room was hot &amp; stuffy. Also, they don't even give shower caps in the bathrooms--it is bare bones minimum with the toiletries.I would not stay here again unless I got some really great rate. I would rather stay in a Days Inn type place, where it's cheap but my expectations would be low, or in a Westin, where I know it would be really clean and have a nice down comforter and be worth the extra money. This hotel was just not clean enough for the money.	
May 2 2005	Nice hotel	This upscale hotel is in a good location in downtown Chicago. It's 2 blocks from the Michigan Ave. shopping district and very close to the lake and Navy Pier entertainment area. Had a few issues with housekeeping but they were resolved once I called. They have a guest service promise that if everything is not perfect, they will try and compensate you for your trouble by offering either Starwood Points, towers access, or free breakfast at the hotel restaurant. Room was a bit pricey ($185/night) but service and decor were very nice. This hotel is mainly a convention hotel but the individual traveler would enjoy it as well.	
Apr 12 2005	just ok	One of the issues that I had with the hotel is the attitude of a guy that gets your luggage, when I appearantly didn't tip him enough he made a rude comment to me, even though all he had to do was walk 2 feet and grab two carry on bags. Not a good way to treat a customer. Second the rooms in the lower tower, floors 7-16 are different than the rooms on floors 17 and higher. The rooms on floors 17 and higher are nicer. They seemed recently renovated. They don't consist of an entertainment center that is difficult to keep open and they have a larger TV. Also the heating system on the higher floor rooms is in the middle of the room and blows air into the middle of the room, not in the corner as it was with our lower lever room which blow the air right into a wall.The location of this hotel is great, you are only two blocks from the Magnificant Mile and four or five blocks from the Navy Pier. Also you are close to bus stops that can take you quickly to the El train. Also the beds are very comfortable.Overall I think this hotel is ok, I probably would have rated it higher if there wasn't such a difference between the rooms. The workers are kind, except for the luggage guy, and the location is great. Not a bad stay for the right price.	
Apr 7 2005	Great Location Great View	We had the opportunity to stay at a few hotels that were rated much better on the list, however chose the Sheraton Towers because of the presence of a pool and proximity to Michigan Ave. and the river. We were very pleased as the staff was very friendly (rare these days). Contrary to other reviews our room was very clean though a bit small for four of us. Our phone was not operating and a request for service was not addressed (fixed it myself). Our view of the river was stunning and comparable to the view from Hotel 71. Lets put it this way, it's a great hotel for a night's stay, but I wouldn't make it my vacation accomodation.	
Apr 5 2005 	Great time	I spent the Easter weekend in Chicago. I was very impressed with the overall looks of the hotel and the great reception I recieved from the staff. The lobby was going thru some renovations that were completed during your stay. The concierge was more than willing to help with any of your questions and even called around town to find a car service for our large party. The only problem that we ran into was the cleaning staff come around very early so put the Do Not Disturb doorhang on your door if you are a late sleeper. The location was ideal for walking to many attraction and the river was right outside our picture window. I would recommend this hotel to my family and close friends.	
Apr 2 2005	Cold showers	First day. two warmer showers late in the day. Call downstairs ,we'll check on it. Next day samething. We all had cold showers ,also with four people we think you would get four towels .wrong three.The pool ran out of towels too. The day we left the lobby was closed try taking your luggage down two sets of escaltors. valet parking is way overpriced.they do have selfparking save yourself $10.00 a night.	
Apr 1 2005	Great stay!	Just spent three nights at the Sheraton Chicago and it was great! The room was large and inviting and the beds and pillows were wonderful! I would certainly visit again!	
Mar 29 2005	Smelly And No Service - Our Stay From 3.24.05-3.27.05	This was my first trip to Chicago and I was told that the Sheraton was a good place to stay. Although the hotel looks nice from the outside and is in a good location, I was extremely displeased with the service. We were not advised that the hotel was going through renovations when we made our reservations--the lobby had a bad stink--its smelled like a mix of paint and vomit. When we got to our room, it did not smell fresh at all, there was a moldly smell in the room. Our TV was fuzzy and the converter did not work properly. We complained and although someone came up to check out the problem with the TV, it was never fixed. We opted one morning to go for the morning buffet that Sheraton offered---the buffet was ok--the eggs were runny and the service was slow. I would not stay here ever again.	
Mar 28 2005	A Good Stay	Overall, a good stay. First, the positives:- Location: Despite what some have said, the location's actually great. A couple of blocks east of Michigan Ave./west of Navy pier, on the Chicago River and next door to the NBC Tower.- Great view from my room (11th floor, looking west along river and Wacker Drive).- Friendliness of Staff- Predictability of large chain hotel: Ease of check-in, check-out; several restaurant options inside hotel; attractive common areas in hotel, etc.- Very good rate ($79 per night excl. tax) for my stay, booked via Starwood website. At that rate, I would be inclined to stay again....and a few negatives:- The charge for use of hotel's workout facility. $10 per day. However, they do offer a $15 for your entire stay option.- The restaurants offer rather standard and bland fare and are overly priced. (Plenty of better options in the neighborhood...I recommend Boardman's Urban Kitchen in the NBC Tower for breakfast).- Some of the furniture in the rooms and the carpeting in the halls were worn and in need of replacement.- I had the world's smallest hotel TV in my room (a 19 or 20 inch Zenith).- Lots of familes and kids in the hotel, so if you're a business traveler, a couple w/out kids or a single leisure traveler, this probably isn't the hotel for you.	
Mar 25 2005 	Acceptable but not great	I stayed here last November for three nights. I decided to write this review when I saw how far down on the list it is for Chicago. I don't think it deserves to be quite so low.This hotel has some strong points: they let me check in at noon, which I consider to be a big plus. The lobby is beautiful, the staff seemed pleasant and professional. The location is quite nice, on the river. My room was quiet, which is very important to me.Now the negatives: I was sort of suprised when I got to my room. I expected something really nice and clean. The room had an overall feeling of not being very clean. There was dust, which is no big deal, but the blanket and pillowcases on one of the beds looked dirty. I really didn't want to change rooms so I just used the other bed and tried not to think about it. The comforters on the bed are too heavy (hot), but the beds are very comfortable.Another negative was a $2 charge every time I used my prepaid calling card in my room. That really added up. I recently stayed at the Courtyard on Ontario Street, and there was no charge for using my calling cardBottom line: I would stay here again if I had a good rate but it wouldn't be my first choice. I think this place is just so big that they don't keep track of the condition of each room.	
Mar 13 2005 	Clean up the room 	The only thing good about this hotel is that I got a good night's sleep (which of course is the most important thing).The hotel didn't seem very clean. The room only amplified that perception. The pool was over-congested (imagine a hotel with capicity for 3500 people and a pool that could fit a max of 10 in it!).So here were the positives:1. Great night's sleep and comfortable bed2. Bell man was helpful when leaving hotel (it's usually the other way around).Negatives:1. Less-than-clean room (hairs all over the place, marks, etc)2. Concierge was very rude and didn't know anything about the city - I eventually decided to make my way on my own and got lost for about 10 minutes3. Operators never answered the phone.4. Light bulbs were not working.5. They gave me the wrong room type from what I had reserved; then said they couldn't put me in another room!6. The Sheraton &quot;promise&quot; was not kept.You might ask why didn't I change rooms. I tried, but they said they had no more. This hotel has 999 rooms; it wouldn't be hard to find another.	
Feb 5 2005	Would stay here again.	This is a very nice hotel. We stayed there in 10/04. Our room had multiple windows and we could see the lake, navy pier, and the downtown area from our room. The bed was kind of strange because the blanket was so heavy that it felt like one of those lead aprons they put on you for an x-ray. The room had a nice sitting area with a loveseat &amp; a couple of chairs. The room was clean, but supplies weren't always stocked every day (i.e. cups, coffee, toiletries, etc.). Location was good, but not great; it was a little bit of a walk to Michigan Avenue or Navy Pier, but it wasn't a big deal. We parked initially at their parking garage, but then went to an underground lot across Columbus Ave (kind of hard to find) that was much cheaper for the rest of the weekend.	
Jan 27 2005	smallest TV ever	Stayed at the Sheraton towers over the weekend in jan 05. The bed was great but the TV was the smallest thing I have seen since junior high(1979). Door on room looked as if someone had tried to break in before and the heater or air doesnt work unless the dead bolt is locked.	
Jan 23 2005	Sheraton Hotel and Towers	I stayed at the hotel for a week in January:-Checkin:-Checked in at 2pm tried to put me in a standard room had booked a tower level room, guest response line took 4 hours and two hours to sort the problem out after a 8 hour flight not very impressive.Hotel Services:-These opened and closed when they like Towers Lounge closed three times during my stay which mean't you could take Breakfast in the Riverside but the staff were not interested in serving you..Business Centre:Opened and closed when it liked.Rooms:-The room was not clean and depended who cleaned your room each day it was very inconsistent.Overall: As a first time visitor to the hotel I was not impressed with the service in the hotel I would definately look at alternatives on my next visit a Good Bed does not make up for a poor stay...	
Jan 3 2005	Peace and quiet abound	We stayed at the Sheraton during Christmas week, 2004. We had a really nice corner room. We have stayed at other, nicer hotels, but noise has always been a problem no matter where we stay. This was truly the quietest hotel that we have ever stayed in. Parking is expensive, but that is the norm in big cities these days. Didn't eat at any of the restaurants, so cannot comment on them. Maid service was wonderful and very accommodating. A very nice stay overall.	
Jan 3 2005	Mediocre Location	My wife and I stayed here for a weekend in Chicago and had an okay experience. The location contrary to other reviews is not very good for a downtown Chicago hotel. Everything is at least a fifteen minute walk which in the winter in Chicago means a taxi ride. The other thing that you should know about this hotel is that they allow smoking everywhere. I don't necessarily mind people smoking but the lobby, the elevator lobbies and any area that was public had tons of people smoking and ashtrays everywhere. The pool/spa/excercise room was not very impressive either. It is accessible by walking through the business center corridor, wondering if you're going the right way and then coming to a pool that is extremely small. There is also no hot tub and the &quot;spa&quot; is a closet with a massage table. The concierge was helpful but the people that answer the &quot;sheraton promise&quot; phone told me that there was nothing they could do about ice being out on two floors. The beds were super comfortable. I think that this is probably a nice business hotel with top of the line conference and meeting facilities but for couples or families you can do MUCH better in downtown Chicago.	
Dec 29 2004	Great	Killer location. Walkable to just about everywhere. Terrific views. Excellent fitness center. Everything that I'd expect from Sheraton's premiere Chicago location.	
Dec 24 2004	Nice hotel terrible staff	Just returned from 3 nights. The hotel is very nice and in a great location. Compared to other hotels in the area, the $75 a night rate from priceline was a great deal. I do however have to say the the staff here was one of the worst I have dealt with in all my travels. I have never seen such a pass the buck, non-caring staff at any hotel I have ever stayed. If location is all you are looking for I would recommend. However, if you are planning on assistance from the staff on any matter I would stay elsewhere.	
Dec 15 2004	Good time for young family	My family stayed here this past weekend. We had a very good experience; Good price (119), great view, very good beds, clean rooms, quiet, quick check-in and out, helpful staff, central location and a an indoor swimming pool with a great view. We will stay there again.	
Dec 14 2004	middle of the road	I procured my room through Hotwire at less than 100 dollars but i cannot complain. I had extra charges to my card through the Restaurant, that took jumping through some hoops to fix, but it was resolved, when i checked in i asked for a higher room with a view and the women gave me a great room on the 33rd floor directly below the executive level with a view of the south loop, the river, the lake and navy pier, what a view for a hundred dollars or so. Take your chances, watch your card after the fact and enoy. Also in response to the high valet charges, park your own car, i stay at hotels in chicago that i cannot actually afford through discount webistes, learn how to park your own car. It may be tough but do reseach and fnd out where is a safer cheaper alternative to park your car, but it pays off.	
Dec 12 2004	Boring but nice	I booked my reservation through Priceline so I shouldn't complain too much. The Sheraton has a lovely walkway along the river and the views of Lake Michigan are nice but there is something missing - charm. The location is also overrated. If you plan to use the CTA's public transportation while in Chicago, I recommend something closer to a train station. Although it looks close to everything on the map, the Sheraton is actually a substantial walk from attractions, shopping, etc.... The room was OK but, again, nothing memorable. The Sheraton probably deserves 3.5 but not four stars.	
Nov 16 2004	Great Location good hotel	I have stayed here twice, most recently last weekend. The rooms on both occasions were clean and rooms. One of the best things about staying here is the beds, they are great, nice big comforters, nice sheets, all very good. I only ate once in the hotel, breakfast and it was good all be it a little bit on the pricey side.The location could not be much better, it is a short walk to all the major attractions, it is pretty much in the middle of Michagen Avenue and Navy Pier. The only negative is the cost of parking, $24 per night, but that is not so much a critisism of the hotel but more a trend of the city. Overall I would defintely recomment this hotel.	
Nov 15 2004	Great Bed	We arrived at around 11am on a Saturday in Nov '04 and didn't expect to be able to check in. The front desk attendant informed me that the room type we requested wasn't available. We were flexible as far as the number of beds, so she checked us in right away. She must have upgraded us, because our room on the 27th floor was huge with a love seat, table w/4 chairs and a GREAT king size bed. We had a view of the city and the pier. Although the room was next to the ice machine room, we heard no noise. We were out and about most of the day, but the hotel was great for a relaxing night.	
Nov 14 2004	Much Better Choices in Chicago Than Here	I stayed at the Sheraton Towers for a few days about two months ago, and having spent a great deal of time in hotels this past year, this was one of the worst. The first room (at already nearly 200.00 per night) I was checked into was a dingy depressing pit without internet access, so after requesting an upgrade, I was given a much more spacious and clean room. But considering the upgrade wasn't complimentary and added another 40.00 a night to the cost of the room, I expected the high speed internet to be complimentary (as it is at much lower priced hotels)--especially considering I had asked for another room WITH internet. Unfortunately, after paying another 40.00 per day just to access the equipment, i then was forced to pay another 15.00 per day to hook up to the web! The linens were clean but nothing spectacular, certainly not the down and fine fabrics that one can find in other similarly rated but exceptionally superior hotels out there. I will hopefully never be forced through circumstance to stay here again. With a little planning, you can book a MUCH better hotel in Chicago.	
Oct 27 2004	Not convincing	I chose this hotel because of its central location. And... location was great. But the hotel desappointed me a little. At first I got a terrible old room. I changed to a renovated one and it was much better but I didn't feel it was worth it.	
Oct 27 2004	Picky Traveler has great stay at Sheraton	&quot;Picky Traveler has great stay at Sheraton&quot; is my title because i wish Trip Advisor reviews included a quick snapshot of the reviewer (i.e. &quot;cheapskate bargain hunter,&quot; &quot;considers Hampton Inn the nicest place ever..&quot; Mine would be &quot;roughing it = anything less than Ritz or 4 Seasons.&quot; :)Well, from check-in to check-out, I was delightfully surprised at the Chicago Hotel &amp; Towers! Both the bell staff and the front desk clerks were oh-so-friendly + helpful. The lobby was spacious &amp; pretty and includes an entrance to Shula's steakhouse. The guest room was sparkling clean, the linens were plush (no slick bedspreads here!), an ample minibar and luckily, our high-rise room overlooked the Chicago River with views of Lake Michigan (join Starwood's Pref Guest program!). For a picky frequent flier, i could not have been happier!	
Oct 25 2004	Great location!	Stayed at Sheraton Chicago Hotel and Towers for two nights last weekend. The location is great and you can walk to places easily. Our room had view of Chicago River, which was pretty nice. Got a great deal through Hotwire but had hard time getting a room with one king size bed. I would suspect that that's one of the downsides that you have if you book through those online bargain sites like Hotwire or Priceline. Staffs were nice and cordial but they look like they were just reading off memorized verses from their employee handbook so I didn't really feel welcome. I was just one of the many guests that visit the hotel. However, I would say that the hotel itself is pretty nice in terms of its amenities and location.	
Oct 1 2004	Don't plan on getting the room you asked for!	I stayed at the Chicago Sheraton over the Labor Day weekend. While the location is wonderful, and the hotel is really nice, I wasn't given the room I had asked for. I called the previous day and asked for 2 rooms with double beds, and I ended up in the Concierge floor with only the living room of a suite. We were given a roll-away bed and the sofabed. Not really my idea of a comfortable holiday weekend! Apparently their idea of making up for the partial suite was free continental breakfast!	
Sep 10 2004	Great location Great Hotel!	I thought the Sheraton Chicago was a great hotel! It is located close to everything, including the new Millennium Park and Navy Pier. I will definately stay there again. The only complaint I have about the hotel is the concierge wasn't as helpful as I would have liked. Overall, I enjoyed my stay very much and will definately revisit!	
Sep 1 2004	not disappointing	My sister and I stayed at the Sheraton, and were not disappointed. Our room was updated, probably recently, and was beautiful. We had great views, and the beds were very comfy. I am very picky about what I sleep on, and everything was excellent in that area! I thought the location was good, we walked everywhere, and felt safe even late at night. I would recommend this hotel and I would stay here again.	
Aug 23 2004	rooms not worth a four star rating...	the sheraton boasts a four star rating, but the room we stayed in was no better than a cheap motel. besides its small size, the fact that our tv had no remote and one of the wall's drywall was partially caved in, the only reason we stayed in the room without demanding a new one was that there were 5 of us staying in it and we fortunately got an online deal for much much less than the normal &quot;going rate&quot; (plus we were only planning on spending a minimal amount of time actually in the room). the lobby is nice and the location does have beautiful views of the river and lake.. but if you're planning on paying the price of a four star hotel and expecting the same quality from its rooms, definitely go across the river to the swisotel.	
Aug 22 2004	Wonderful weekend!	Stayed at the Sheraton Chicago Towers for four nights over a holiday weekend to attend a wedding. The staff, location, service and decor were all impeccable. As friends and family were staying at different hotels, we visited a couple of others...and had guests visit us at the Sheraton. There was absolutely no comparison! The staff was attentive and friendly, making us feel very much at home. The gorgeous view of the river, proximity to Navy Pier and comfortable room really made for a super weekend.I'll be looking for excuses to visit Chicago!	
Aug 19 2004	Average at best	Stayed at the Sheraton Towers for a long weekend with my wife and three children. Location is great, Lobby and main floor amenities are impressive and then you get to your room.I've stayed in roadside, mid-range motels with better rooms. It was dingy, stark, small and below par for a hotel of this class. I'm not sure what other reviewers are accustomed to in accomodations but from the look of things on the site, this hotel has a bad history dating back quite a while. We still had a great time in Chicago but there are MANY more hotels in downtown Chicago that deliver the whole package. The Sheraton does not.	
Aug 12 2004	The Sheraton Was Great!	We booked the Sheraton through Hotwire on short notice. I wish we could have stayed longer. The room was beautiful, the bed was so comfortable I never wanted to leave it, and the location was wonderful, with river and lake views. The Sheraton would be my first choice - always.	
Aug 10 2004	Had a Great Time	My wife and son and I just spent a long weekend in Chicago at the Sheraton Hotel and Towers. Before our trip I had read a few reviews suggesting that this hotel had some problems, but I can report that I saw nothing that would keep me from coming back in the future. The staff were courteous and efficient, and the room was clean (as was the entire facility). We thoroughly enjoyed our stay.	
Aug 9 2004	Great Hotel!	My fiancé stayed here for a quick weekend. We both absolutely loved the hotel. The bad reviews that I have read must come from people who just like to complain about everything and nothing could make them happy. We got a room on the 31st floor and had a wonderful view of the lake and city. The room was not big, but it was clean and the bed was comfortable. The hotel is in a GREAT location, walking distance to Navy Pier and a few blocks away from Michigan Avenue. The food at Shula's restaurant (in the hotel) is ABSOLUTELY WONDERFUL!! Yes, it is pricey, but worth every penny. The staff was nice and attentive.Overall, we have a wonderful stay and will go back again. Don't hesitate!	
