	Pleasant comfortable but unspectacular lodgings	The Westin Chicago River North is a well-run chain establishment centrally located in downtown Chicago. Our room, with a view of the Chicago River, was by no means over-the-top luxurious, but it was well-designed and spacious, with good lighting and comfortable seating. A quiet room and the Westin &quot;Heavenly Bed&quot; made for excellent sleeping conditions for someone who often does not sleep well even in better hotels. Service in the hotel was polite and efficient.What keeps this hotel from receiving a top rating: (1) lack of any &quot;wow&quot; factor: the room, while comfortable, was also generic; (2) no free wi-fi; (3) the food we were served in the banquet rooms (for a wedding) was fairly indifferent in quality, even for banquet food. Still, if the price is right, this hotel can offer a very good deal.	
Dec 12 2005	pleasant getaway	We booked a two-night &quot;Romance Package&quot; to shop and play in Chicago. This included a king bed, river view room, coupons for an American breakfast, a bottle of champagne and strawberries, and a 4 p.m. late-checkout. The room was spacious and the view very nice. Bathroom was also luxurious, with the &quot;heavenly&quot; showerhead. (Just be sure it's set to your liking before you step in! It's powerful.) There were a few minor glitches. The champagne and strawberries we requested never arrived the first night, but we decided to go out to dinner anyway, and so had them sent up the next night. In the morning we found only decaf coffee and one paper cup in the room. There was also no bathrobe in the room. The full American breakfast coupons were worth $10 each and you could select only that from the menu (2 eggs, sausage or bacon, toast, etc.) It was fine but we used the coupons only the first morning - went to brunch at the Palmer House on Sunday instead. It was a pleasant stay and we most liked the late check-out - gave us time to squeeze in more shopping (without having to hassle with packing and retrieving our car right away) before heading home. Staff was quite friendly. We usually stay in a corner room at the Swissotel but tried this just for a change. I like the location of the Swisshotel better, but have always found their staff are pretty chilly.	
Dec 6 2005 	Westin River North Redefines Class	Recently or more truthfully, I am in the middle of what I expected to be a pleasant experience at the Westin River North Hotel in Chicago. I've stayed here numerous times over the past years, even when it was the old Nikko-but it has improved so dramatically over the past year I felt compelled to write. The Front Desk Manager Steve Johnson personally checked me in, maybe because I am a Platinum member I thought, but I saw him pitching in with the overall check-in process which made even a large crowd of people's check in experience as smooth as mine which was during an unhurried period. I used the lobby quite a bit to work as it has internet connectivity as well as my room did, and had a nice loungelike atmosphere. Food and drink were fine, nothing spectacular here but fine nonetheless. But then Mr. Johnson invited me to the SPG lounge on the 19th floor-I think this is reserved for SPG Gold or Platinum members, I'm not sure, but it really made me feel like I was in a Ritz Carlton as opposed to the Westin and it only got better from there. During my stay I was greeted by name by many of the staff ranging from the bellmen Allen and James as well as Mr. Johnson who made my otherwise normally pleasant experience into one that made me feel a VIP from start to finish. Great job Westin and thanks for making me feel like an honored guest and acting in what I way that I can only say redefines the word class.	
Nov 16 2005 	You Can Go Home Again!	My wife and I are Chicagoans currently living in Switzerland, and we stayed at the Westin while on a recent business/visiting family and friends trip back to the Windy City in October 2005.Overall, I really enjoyed this hotel. At check-in we were offered access to the business level (I can't really remember what it's called) for $60/day. I think it gave us unlimited high-speed internet, access to the business level and the fitness room. The business lounge is OK. I guess it's a nice place to unwind, but the food isn't that great, AND they charge you for drinks. I think the price should AT LEAST include a free drink.The positives:The fitness room is excellent. Actually, it has to rank in the top three of fitness rooms I've ever encountered at a hotel.The open-plan bar/lounge area is bustling and loud, and a nice place to meet up with friends/colleagues after work. The rooms are of generous size and the bed and furniture are very comfortable.The staff was very friendly and attentive to our needs.The marble bathroom was a little dark, but pretty well appointed.Our view looking at Marina City and the Chicago River was good (unlike what a previous reviewer experienced). I would probably request a river view in advance. Otherwise you might have a view of a rooftop or a parking lot.The concierge was very helpful and offered brochures-a-plenty when I asked about touristy things.The location of the hotel is very good. You're next to the Chicago River about a 5-7 minute walk from Michigan and Wacker. This is a stop for the double-decker tour bus if you're interested in doing that. Also, there are many restaurants within walking distance (i.e. Harry Carry's is pretty much right across the street). Or, a five-ten minute taxi ride will take you to a plethora of restaurants and sights.Negatives:As mentioned before, I was rather surprised to find that you had to pay for a beer in the business lounge after paying $60/day for the right to go up there in the first place.I found the housekeeping was sub par. Specifically, the room was very dusty. I shouldn't feel the need to dust my hotel room after housekeeping has just cleaned the room. I'm talking about thick dust on the nightstands and dressers.Overall, it was a pleasant stay at an above average (but not 5-star quality) hotel. I found it to be a good value for the money, and I'd recommend it for business travelers and tourists alike.One note: this hotel is NOT on the Magnificent Mile. If you're looking to walk out of your door and experience shopping galore you're better off staying at some hotel on N. Michigan Avenue.	
Nov 5 2005	Very Nice Hotel	We stayed at this Westin property, the evening after the Chicago Marathon. We had booked a room at the Chicago Sheraton Towers, but through some misunderstanding, we could not stay there for our last night in Chicago and and we had to move to the Westin. Well, after a-not-so pleasant stay at the Sheraton, we were pleasantly surprised with the Westin. As soon as the taxi pulled up to the front door, we were greeted by a very cheerful doorman, and our luggage was taken and held aside until we got our room. The receptionist was lukewarm but efficient. Being a Platinum member, we were updated to a club level floor. Room was very nicely appointed, with that wonderful bed and bathroom amenities. Oh, and loved the computer with free internet in the room!I think this hotel's best asset is the Concierge, Bell Staff and Doormen. They are as cheerful as anyone can be and so eager to help (they ought to teach a hospitality course to their sister hotel, the Chicago Sheraton Towers!).The fitness centre is wonderful and the trainer on duty was extremely helpful.Too bad we didn't stay all four nights of our stay at this wonderful place. Highly recommend it.	
Nov 1 2005	A dream came true	Very nice Hotel. Stayed during the World Series fulfilling my father's life dream to watch the Whitesox in a world series. Got upgraded to a Excutive floor room (Gold Member). Service at the executive lounge was very nice and cordial. Very good location, near everything in downtown. Heavenly bed was great.	
Oct 11 2005	Chicago marathon	We stayed at the Westin during the Chicago marathon, and we were very impressed! The check in staff was excellent, even providing us with suggestions for dinner, and also allowing us a late check out for after the race, which allowed us to shower before our long drive home. The rooms were great, and we had a nice view of the Chicago River. The rooms are very spacious, including the bathroom, and the bed was very comfortable. We would definitely stay here again! In fact, we stayed here based on another recommendation, and we're glad we did.	
Oct 3 2005	Nice discreet business hotel	Stayed at this hotel for 3 nights in late Sep. Location is convenient for Michigan Avenue - just 10 mins walk away. It is also good for downtown as the Sears tower is 20 mins walk away. Check in was rapid and smooth. The rooms are nice - decent size, good controllable air conditioning, the standard comfortable Westin bed. Breakfast is quick and reasonable. There is a standard continental breakfast which includes a small buffet with a good selection of fresh fruit, pastries, yogurt and cereals for US$14. There are also hot breakfast selections a la carte. I ordered dinner from room service one evening and it was prompt and the food was actually rather good, which was a pleasant surprise. The concierge was helpful when I asked for help buying chocolates (and I did do as she suggested). There were only 3 minuses, all of which were pretty minor. The telephone in my room had an annoying hum. I did not get an upgrade which I normally do as I have a Starwood Platinum card but there was no explanation or mention of this, and the rooms are susceptible to some traffic noise. Having said all that, I prefer this to both the W Chicago and the W Lakeshore, and intend to stay here next time I am in Chicago.	
Sep 30 2005	Love this hotel except for the Service!	I stay at this hotel a lot. For the most part it is great -- the rooms are nice and spacious, the folks at check in are good, the restaurant is great, the location is awesome, but the service in the lobby is HORRIBLE. For some odd reason, the lobby bar is RUDE and non-attentive. To the point where I don't even like sititng in there. In fact, I travel there with my sales team and they can't stand it any more. Unfortunatley, the experince of the lobby bar area has ruined this hotel for me.	
Aug 29 2005	Great Hotel Poor Service	A friend and I had planned a trip to Chicago to see the Cubs/Marlins game on Saturday the 27th and had reserved a room with two beds for the evening of the 27th. We were arriving in Chicago at 9:30 AM, and called after we landed to inquire about an early check in. We were told that no rooms would be available until the hotels planned no rooms would be ready (even though we had a confirmed reservation) for &quot;at least a few hours&quot;, and that the best they could do was a single and a roll away; they further went on to say that if we had checked in earlier, they may have been able to accomodate us (even though after we called they told us to come for the 3PM check in). We had 6PM dinner plans with other friends, and had to accept what they gave us because we needed to be ready to go out. They made no effort to apologize, nor to make up for their mistake (again, we had a confirmed reservation). Even though the hotel was your typical Westin, I don't think I will be returning.	
Aug 24 2005 	Good room nice service terrible view.	The room was typical Westin, namely very nice furnishings including the heavenly bed, big tub, marble bathroom, etc. It looks like the place was recently renovated because everything was new. The lobby and the bar are great places to meet up with friends and lounge. The concierge was terrific. Her suggestions for restaurants and activities were just what we wanted. One negative was the view which was of the hotel next door. I could sort of see the Chicago river. Very few of the rooms had nice views. Another problem was that the check-in staff didn't seem to honor the Starwood Gold benefits because my upgrade wasn't much of an upgrade. Overall, it's fine but I'm not aching to go back there.	
Jul 22 2005 	A quiet oasis	After a tough day in the airport waiting for my delayed flight, I arrived at the Westin on July 20, 2005. The hotel is modern with a friendly doorman and pleasant staff. The room was extremely clean and comfortable with a lovely bath. It's convenient to great restaurants and the House of Blues. I got a wonderful night's sleep on the Heavenly bed and loved the quiet. I would recommend this hotel.	
Jul 12 2005	Wonderful hotel!	I stayed at the Westin on July 9, 2005. I was planning a bachelorette party in Chicago, so all of the girls and I stayed here. We had a wonderful experience. The lobby is beautiful and very high class. All of the employees were extremely friendly and very helpful. The lady at the front desk let us check in early and made sure we had the river view, which was amazing. Now, I'm a former flight attendant, so I have stayed in about a million different hotels all over the world. This room was very clean and a nice size. The heavenly bed was so comfortable and the heavenly bath with the two shower heads and the bowed out shower curtain rod that provides extra elbow room was wonderful. I didn't want to get out of the shower! So, all in all we had an absolutely wonderful experience here, I definitely recommend it.	
Jul 3 2005	We had a fantastic time.	We stayed at the Westin from June 23-June 28, 2005. The hotel staff provided outstanding service. Allen, was the most helpful and friendliest doorman/bellman in Chicago. The concierge was not the best that we have experienced, but her behavior was not enough to give the hotel a lower rate. We arrived approximately two hours early. The staff was very considerate and call us on my cell phone when the room was ready. The room was very clean and we had an excellent view of the river. The bed and shower were heavenly. The darken drapes provided enough darkness for us to sleep in a little later in the morning. The location is convienent to all areas.	
Jun 22 2005 	Hotel was okay.........	The rooms were quite small, compared to other hotel rooms. They were clean, though. Great location and MOST of the staff was nice.Here is where I had a problem...........went down stairs to ask where could I get 4 plates and 4 forks for us to eat a delivery dinner. One desk attendant looked at the other and said, &quot;go ahead and waive the fee&quot;. I asked what fee. They said that there is normally a $25 fee for use of the hotel plates and flatware and not ordering in the hotel to encourage patrons not to eat outside of the hotel. I was shocked (and my face showed it). I looked at the other desk attendant and he stated, &quot;Well, this IS the Westin&quot; in a VERY arrogant tone.The only restaurant in the hotel was a sushi/VERY upscale restaurant. If the hotel encourages, eating in, QUESTION: WHY does the conceirge recommend SEVERAL delivery places to eat in the hotel room? I guess they were hoping that the Chicago-style pizza place would supply plates and forks. I told the non-arrogant desk attendant, thanks for waiving the fee. I ended up not needed the plates and cancelled the &quot;room order&quot; for the plates.In addition, I was misquoted on cab fare from several of the bell-hops to the airport compared to what the cab driver charged (a LARGE amount difference).	
Jun 4 2005 	The best of the best in Chicago!! Check out the new Westin Workout Rooms!	I frequently stay with Starwood hotels and especially Westins across the world for both business and leisure purposes. However, after staying at the Westin River North in Chicago, I was once again reminded the superiority of Westin in terms of product and service. The Westin River North has truly engaging staff members who are professional, curteous, and friendly! From the doormen, bellmen and concierge to the front desk, everyone is so caring and attentive. And of course, the bed and shower are heavenly as always. During my most recent stay, I had the opportunity to upgrade my room to the new Westin Workout room for only an addional $60. Wow! This was nothing like I've ever experienced before! A treadmill, workout equipment (weights, stability and medicine ball, etc.), fitness library, and a DVD player with workout DVDs were all at the convenience of my hotel room. As a fitness buff who has been thoroughly enjoying Westin's Reebok Westin Workout fitness center, this was a real treat! I most definitely reccommend this property to business and pleasure travelers alike!	
Jun 4 2005 	I found the Perfect hotel	I have been traveling to Chicago for years and just recently found the Perfect hotel. The Westin River North had everything I needed as a business traveler at a great price. From the beginning of the stay the hotel got two thumbs up. Stepping out of the cab I was greeted by the friendliest doorman who assisted me with my luggage. Walking from the front entrance to the checkin desk I thought I was a celebrity with all of the staff members greeting me. I was approached by at least three different employees with a good afternoon or friendly welcome. The front desk was equally as great with the perfect attitude not that I'm too busy to help you attitude. I was even offered an upgraded river view room for an additional $40. I strongly suggest this room with its unbelievable views - the best in the city. Plus this was perfect for me since I was going to be working out of my room this evening and enjoy a great view when I work. As I was being escorted to my room by the bellman, he mentioned to me about the wonderful massage services the hotel offers. It was not long until I made the appointment. This was perfect for $55 I was able to get a Hot Stone Therapy Massage which was the most rejuvenating massage I had in a long time. I will be returning to Chicago next month and guarantee I will be staying at The Westin River North.	
May 31 2005 	Fabulous vacation at the Westin River North!	Wow. What a wonderful experience my husband and I had last weekend at the Westin River North. We chose the hotel because I attended a conference there and the conference room rate was very reasonable. My husband went along with me for some much needed R&amp;R. The Westin RN turned out to be the perfect place to mix business with pleasure. The conference facilities in the riverfront ballroom were outstanding. Even the food provided to attendees was good! The accommodations were exquisite and the service unbelievably good. We inquired about a riverview, but hesitated to pay an extra $40 per night and opted out. However, we were given a room on the southeast side of the hotel that looked out over the river anyway at no additional charge! We could only see two bridges, but were very pleased with our view of the river, Dearborn, and Wacker Drive (including a Memorial Day Parade!). The bed was &quot;heavenly,&quot; as advertised, and the room was much more spacious than we expected for the location. Everything we needed was already in the room, from declicious-smelling toiletries to a corkscrew and wine glasses! My husband got a great massage in the hotel and we were so impressed with the gym we wished we had one as nice back home. Everyone at the hotel was friendly and helpful. The desk staff was personable and gave the feel of a much smaller hotel. The concierge directed us to fabulous restaurants within a few blocks. The location was unbeatable. We walked a few blocks east to catch the architecture boat tour at sunset and saw a great show at the House of Blues across the street. Michigan Avenue, Millenium Park, museums, and the train stop to get to Midway Airport were all an easy walk. If we can get a good deal on the room again, Westin River North will definitely be our first choice hotel for our next trip to Chicago!	
May 20 2005	Great Time At Westin River North	Stayed at this hotel from May 06 - May 08 2005. The hotel itself is in an awesome location, close to all the great areas of Chicago (we walked everywhere we went)!!! The train station to the airport was only 2 blocks over, which saved money on cabfare. The hotel inside is very well kept and stylish. Our room was very clean, contempoary, and comfortable-not to mention pretty big for a hotel room. Our view was awesome of the Chicago River and many bridges that wind through the city. The bathroom had a large tub, and plenty of room (no stand alone shower though).We did try enjoy some drinks at the bar and had breakfast at the hotel. These were our only dissapointments. The bartender was sassy and rude, and the food was way overpriced-and did not even taste that good. There are plenty of good bars and resturants near by (on Clark street), I suggest going there.Overall the hotel was great, service (expept food and beverage) was wonderful as well, which is typical for all STARWOOD hotels I have stayed in. The photos attatched are from our Deluxe River View Room. I would highly recommend.	
May 12 2005 	It must be getting better!	I think things must be getting better. I've sampled several Chicago Hotels as I go there for business often. For a while, I was staying at the Westin down on Michegan Ave., but just decided it was not convenient. The Westin River North is very convenient to everything I'm looking for and I found the staff to be very helpful. It has a nice large lobby to relax in, which I find very nice. The rooms were large (not small) and everything was in order. Mind you, I've only stayed here once, and hopeuflly will not experience any problems. Heading there again in June so I'll let you know, but for now, I'd highly recommed this hotel.	
May 4 2005	beautiful lounge and gardens	we knew nothing about the hotel or the area. We were surprised that we had nothing to complain about. The lobby was nice, the lounge perfect and our room was wonderful, clean, had a view, the bed was as advertised with heavenly sheets and pillows and the coffee was a nice touch. I wish we could have stayed longer.	
Mar 20 2005	Great value and location for a nice hotel.	This is a very nice hotel. I can not complain about anything in regards to this hotel. I was able to get a room at this hotel for a steal, as I got a great rate using Hotwire. If I ever am in Chicago the Westin River North will be the hotel I look at.	
Mar 13 2005	Great Stay!	The Westin River North is a very luxurious hotel. The room views are spectacular looking over the Chicago River. The hotel is in the center of Chicago, near the Merchandise Mart, and the Magnificent Mile. I would deffinatley stay there again. The staff is very helpful, and kind. I would reccomend this to families because it is a short ride to the Shed Aquarium and the Field Museum. Our stay at the Westin was excellent!	
Mar 12 2005	While Not Flawless Had a Very Nice Time	Ended up getting the Westin River North in a ridiculous deal on priceline - $69 for 3/11 - the lowest I've ever read about it going for. Was thrilled with the deal, but wanted to ensure a river-view room, and was willing to pay $40. Called Thursday night when I got the room and was told, because of priceline, they could only see about something like that when I checked in. Friday morning, I thought I'd try again. I didn't have any real &quot;dressy&quot; clothes at hand, and I thought - had a feeling - they wouldn't give me a river view room if I just walked in in casual clothing and tried to reason with the hotel staff. So, I tried calling. The woman said that I could upgrade to a river suite for $50, and I'd also get a free continental breakfast. So, all-in-all, the room would cost $120 before taxes. Still good for the river view rooms, which apparently command a premium of about $50-60 over the regular rooms (I was getting an approximately $230 room for approx. $120). She blocked off the room over the telephone and I was all set. Get there and the front desk staff was okay - not cold, by any means, but that sort of impersonally friendly - &quot;trained&quot; friendly. Anyways, the hotel used to be a Japanese hotel - the Hotel Nikko - and the lobby is heavily Japanese-styled, complete with a lowered restaurant area/sushi bar. The elevators have carved designs in the back of them. There was a very nice gift shop also off to the side. We get up to the 17th floor (20 floors in all - I believe 18,19,20 are business suites/rooms) and walk into the room and there's just a stunning view of the river. The room doesn't seem like a &quot;suite&quot;, really, but it does certainly seem like a large/oversized room. There's a fairly lengthy hallway in the room, and off to the side in the hall is a mid-sized bathroom. You walk out into the room and to one side is a large desk area and the TV, and to the other side is the Westin &quot;Heavenly Bed&quot;. The front of the room, facing the river, was sort of like half of a half circle - there was a nice sitting area and big windows looking out over the river. The nice thing about my room and the room next to it was that it's out a little bit, so you are literally looking down on nothing but river. There's a small walkway in-between the hotel and the river, but if you jumped from the window from my room, you'd hit water. At night, the view up along the river was pretty amazing. We had a big view up West along the river, but also had a pretty nice view East, although not a complete view East like we had looking West. The room next door appeared to have the opposite - big view East, good but not complete view West. We could see the lake through some buildings. The Westin Heavenly Bed was definitely really nice - my finance didn't want to get out of bed - she jokingly wondered if they'd notice if we lugged a bed out the front door. They do sell the mattress in a catalog in the room, however - I think it was something like $1000. Shower had the Westin Heavenly Shower - 2 shower heads. The room was nice and the view was GREAT, but the room didn't have much &quot;personality&quot;. It's obviously a business hotel and not too funky in the rooms, where the Japanese flavor isn't carried over. The bathroom, with black marble tile, had more snap. The TV was also kind of underwelming - it appeared to be a 20 inch Philips that appeared to have been there for a while. Room was clean, though, and not worn in any way. Peeked into some of the other rooms on the floor when the maids were working, and they did not seem quite as big as our room. The hallways were clean and well-lit, and the ice machine was down the way. We went down to the restaurant in the morning to see what the deal was with the continental breakfast. Surprisingly, there weren't too many people there, and the breakfast was set out. it consisted of some pastries/breads/muffins, fruit, cereal and oatmeal. I ended up just having a muffin and a little pastry - fiance had some fruit and said it was fresh and quite good. It was free and the quality was good, but the selection was a bit underwhelming - some eggs would have been nice. We got much more at the Residence Inn in downtown Chicago by Water Tower place, which had a really nice spread laid out for breakfast, including big muffins, bagels, drinks, eggs, meat, cereal and even waffle makers. They didn't give us the breakfast coupon at checkin, so I had to go back down the prior afternoon. The restaurant was quite nice, and peaceful - you can look out at the rock garden (again, appears to be another element carried over from the days where it was the Hotel Nikko) They slipped the bill under the door in the morning and it had the &quot;upgrade&quot; that I did charged twice, only on the bill it was $40, not $50. Since I was up at 5am, I took it downstairs and got it taken care of - so the upgrade was $45 (incl. tax). No big deal, apparently they billed at the time of the upgrade and then someone doing daily billing did it again. Easy to take care of, but reinforces my motto when staying in hotels - always watch your credit card billing. Room service was available, but we decided not to this time. There wasn't anything either of us were interested in - the menu a little bit on the limited side and definitely pricey, with a sandwhich that sounded decent running $13 - there were also some pricier items like Filet Mignon, which was $29. 19% + $2.50 was also added to room service orders. If you walk down the street (Dearborn) there's a Sbarro's pizza, which is terrific - we ate there instead, and there's a White Hen Pantry across the street of Sbarros for snacks/drinks - definitely needed, given that room service soda was something like $3. There are only 4 rooms per floor on the river side of the building. Given that there are a couple of floors with other things besides rooms, I would estimate that there are maybe 60 river rooms in the place. Out of the river rooms, there appear to be two smaller corner rooms on the sides, then the bigger rooms in the middle of the four. The river rooms, if the floors I were on are any indication, end in 24,25,26,27. 25 is the middle room looking West, 26 is the middle room looking East. So, overall, it was nice. The room offered a fantastic view - other hotels offer a river view, but there aren't any like that, where you feel like you're literally over the river - the other hotels have a street in-between the hotel and river. The staff/service was okay - not bad, but not fantastic, either. It was the same way at the Intercontinental in Chicago, while the *** Courtyard Marriott seemed eager to please.	
Mar 9 2005	Reservations nightmare	Definitely pay attention to those previous reviews regarding the management/reservations! I cannot believe the absurdity. I made a reservation via telephone (their direct Chicago number, not the 800 number) for a Friday night stay. I called for the reservation that Fri morning and was happy to get a room. The reservation woman on the phone told me that I could still call and cancel by 3pm that same afternoon. Well, some travel problems arose and I had to cancel. I called back at 2:52 pm and spoke with a different woman, who assured me that my reservation was cancelled and there would be no charge. Sure enough, my credit card bill arrives and there's a big fat charge from the Westin. I called and spoke to a manager, who tried very hard to be nice to me but still failed to give me a refund. He stated their cancellation policy is 24hours notice, and if it's a same-day reservation, then the policy is &quot;non-cancelable.&quot; I informed him this was NOT at ALL what the woman from reservations told me. In fact, WHY would I have called to cancel, if I was aware that the reservation was &quot;non-cancelable&quot;? Furthermore, the record of my phone call is all in their computer, the manager read it to me over the phone. Yet somehow the logic escaped him. He said there was nothing he could do since I didn't have the woman's name. (How many of us actually write down people's names when we're assured that there is no problem? Are we supposed to assume that everyone we talk to is a moron and take their name??)And just for hilarity, this manager told me that he gets calls like mine &quot;all the time.&quot; That means that their reservations people screw things up like this &quot;all the time!&quot; Just like the other reviews said, the manager then made a big show of offering me the courtesy of a gift certificate for a future stay. Firstly, I am so disgusted with this place that I have absolutely no interest in staying there ever again. Secondly, they still are charging ME money for THEIR mistake. I'm furious! I would stay away like the plague. Your money is better spent elsewhere.	
Feb 10 2005	A Great Weekend	We have stayed in many hotels in the Chicagoland area and we fell this Westin is one of the best. The staff is friendly and attentive, the location is great; just north of the Loop and theater district and three blocks off Michigan Avenue. We are Starwood Preferred members aned have never had any trouble with reservations or being upgraded. The staff goes out of their way to make your stay special. 	
Jan 26 2005	Can't hold a reservation: avoid	I am a Starwood Preferred Gold and stay in Westins all over the country very frequently.I showed up to this hotel and despite a confirmed reservation and my status with Starwood, they were unable to give me a room. This is a problem that recurs at this hotel, as you can see from a review written on this site in September: ----To accomodate me, they offered to put me across town in a crappy Sheraton. No dice. Freezing. Midnight. And, I needed to be at the Westin for a conference at 7:30 AM, which is, of course, why I chose it in the first place.James Bristow, the only manager on duty, was not very useful. His only suggestion was that I get a room across the street at the very run-down Hard Rock Hotel. Room cost was one-third of the Westin, which should tell you about the room quality.This is a miserable experience and, apparently, this hotel does it frequently, even to its &quot;preferred&quot; customers.I'd avoid this until the hotel figures out how to honor a confirmed, paid-for reservation.	
Dec 21 2004	Nice Place!	Stayed at this Westin two weeks ago, no problems, no complaints. Very nice place with friendly staff. Extremely clean room &amp; bath. Within walking distance to everything from Water Tower Place north and Buddy Guys south. Or catch a cab waiting right outside on the curb. Didn't get a chance to try the sushi bar. Bin 36 right across street for nice breakfast - and they have a wine &amp; cheese bar. Several nice steakhouses within block or two. And Andy's jazz bar is around the corner - within stumbling distance!	
Nov 26 2004	Nice Stay.	We stayed 3 nights this past Columbus Day Weekend. The check in staff were prompt and professional. I booked this on a travel site and was not treated any differently. I was given an early checkin and a nice room. This hotel has an elegant feel to it and deserves a 4 star rating. Hotel is near public transportation from the airport. Check out was prompt and professional also.	
Nov 26 2004	Pleasant stay! :-)	This was our first stay at the Westin River North, and we were very happy with this 4-star hotel. THE HOTEL:The hotel used to be the Nikko Hotel, so it still contains a Japanese minimalist luxe feel, which I really liked. The lobby itself is smart &amp; elegant in a totally understated way (no garish brass light fixtures or tacky edwardian wallpaper here, thank goodness). The staff was very professional and courteous. I had phoned in several days before arrival and requested a single bed, and they were very incredibly accomodating and professional.THE ROOM:Our room was a non-smoking room on the 17th floor, with a partial view of the Chicago River and the circular &quot;corn cob&quot; towers, which are architecturally quite interesting. The room contained the &quot;heavenly bed&quot;, and it was dreamy with beautiful white bedding. The room itself was spacious with 2 chairs, desk, and TV armoire. The bathroom contained a vanity with beautiful grey marble with black &amp; off-white veining. The marble surrounded the shower/tub and the floors. The only detraction from the bathroom was that the wallpaper was starting to peel in a couple of places....just a minor thing...this could easily be remedied, and should be for a 4-star hotel. The rooms were very well sound-insulated from adjoining rooms, which is something that I really appreciated. Housekeeping was incredibly accomodating and friendly.LOCATION:The hotel is centrally located on the north side of the Chicago River about 4 blocks west of Michigan Ave in the area called &quot;River North&quot;. The hotel is in walking distance to: the shops on Michigan Ave., the fabulous Millenium Park (a must see!), the beautiful architecture of the Loop, and of the red &amp; brown line &quot;El&quot; trains (The El is a great way of getting around the city for places too far to walk.) We parked the car in the surface lot in front of the hotel for $19/night and we just left the car there until we checked out of the hotel. Valet service is available, but is more expensive. (Had we not been doing traveling throughout the mid-west, we would have preferred not even having the car in Chicago) There is a 'average joe' breakfast dive a block north on Clark St. called Sam's, which was a good place to grab a quick bite before heading off exploring the city. (closed Sundays). OVERALL:Considering the great price we paid on priceline($89/night including taxes/fees), and considering the top-notch accomodations &amp; central location, this could not be beat. We were very happy with our stay.Happy Travels!	
Oct 24 2004	Fabulous Stay!	We arrived at approximately 11 A.M. on October 22nd. We had booked through Priceline for $99/night for two nights and weren't sure what to expect. It turned out to be an excellent value. Check-in was very smooth. We requested a king-sized bed, non-smoking because Priceline automatically sets you up with a doubles room. No problems there. We received a room on the 11th floor with a great view of the Chicago River. In the mornings, we were able to see the bridges rise and lower to allow the boats through. We really loved the Asian-themed decor. Very modern, lots of black marble, lots of Asian-inspired artwork. The staff was friendly, courteous, and more than willing to help us find the things we were looking for. Overall, we had a fabulous stay and would definitely stay there again.	
Sep 13 2004	Worst in my life	You will nolt believe it,I made a reservation at this hotel 4 months ago. They accepted the reservation and charged my credit card. They later informed me 3 months later that they have moved me to a lower grade hotel (3.5 star, vs Westin is 4.5 star) This move was made without even checking with me. I called the manager and he told me they do it all the time, if they oversell there hotel (that it seems they do quite often) they move you to a lower grade hotel. And if the customer complains, all they have to do is be nasty. What type of world we are living in to tolerate this.	
Sep 1 2004	Excellent property!!!	I stayed at the Westin River North for just one night in August and I received some of the best service I have ever received.Everyone from the front desk to the maid servicewere attentive and always smiling.The rooms were very spacious and the beds really were &quot;hevenly&quot;.The only complaint was the $35.00 charge for valet parking!I would recommend this hotel to anyone looking for superior service in a great location.	
Aug 24 2004	My favorite Westin	I have stayed here on numerous occasions as well as the the Westin on Michigan. This hotel is definitely nicer. The rooms are bigger and have better views with honor bars that the Michigan property lacks. The public areas are much bigger, the restaurant has great views of the river. Located in the River North area close to dozens of great restaurants and theaters and nightlife. Starwood correctly gives this properry a 4 while the Michigan Westin rates a 3.	
Aug 21 2004	Comfortable but should it be called "Westin?"	Stayed here over the 4th July/Taste of Chicago. This hotel used to be Nikko Hotel, so it still had some Oriental flavor in the decoration. Room was very clean, but small. We paid only $95/night using Hotwire, so for that price, we thought we got a good deal.I have stayed at other Westin hotels, and compare to other Westin hotels, I am not sure if this hotel meets &quot;Westin&quot; branding expectations. I thought Westin is positioned a bit more luxurious than Sheraton, which is not the case with this hotel. I think Westin at Michigan Avenue (I have also stayed there before) was a bit more luxurious.Of course, everyone loves the &quot;heavenly bed,&quot; which I also enjoyed it very much!	
Aug 4 2004	Starting to age.	I've stayed here many times over the years. Ever since Westin bought it, it been very slowly sliding. Not that it's bad, it just isn't that good anymore. Here's my experience. I had requested a high room location. Checked at 3pm and was told by staff member nothing higher than 7th floor was available. She wouldn't even check for any other availablity. Just wanted to get us away from her post. Room is just a little tired. Carpet is stained,light was out in bathroom, air condidtioning is noisy and went from heat to cold, but did keep the room ok. Shower was terrible. Went from hot to cold and back to hot. Told front desk about shower and light. Only light was fixed. I don't think the wall paper has been changed in a decade. Like I said it's just getting old. Location is still great, but I'm looking for a new place to stay. On checkout I relayed the problem with the shower a second time. Got the standard &quot;we're really sorrry but we're not going to offer you any consideration for your inconvenience.&quot; Oh, and they now allow pets. Dog started barking in room next to us in the afternoon. Party in that room apologized and did keep dog quiet. But someone will be in a room when a dog barks at 3am. And turndown service is history. Yeah, after writing this I am definitely going to look for a new place to stay.	
Jul 6 2004	ReLaXaTiOn	I was at comfort with my room. The hotel was very inviting and sleek. The setting was peaceful and it made you feel at home with the lounge space through the doors. Lights were dim to give you that romantic feel. My view was excellent and the beds were insanely comfortable. I only had two hours of sleep, but those 2 hours was the most relaxed hours i can truly say i ever had. I have only one complaint, which is the prices. I understand you are a 4 star hotel but goodness are those prices neccessary! $13 for a hamburger!	
