	Class at a reasonable price	Arrived at this hotel on a cold sunday afternoon and I was greeted by very friendly staff, and free steaming hot chocolate and marshmellows. A great way to warm up the rooms were functional, clean and comfortable. Had a great view, when I return to Chicago I would not hestate to stay here again. The staff were incredibly attentive and polite, business centre free internet access was a big plus.	
Apr 26 2006	Great Hotel	I stayed at the Crowne Plaza Allerton for one night and loved it! The location can not be better! I paid in advance and got a great deal! The staff is very friendly and the check in and check out was really fast. I would definitely recommend it. I did not see any bad things about it.	
Apr 23 2006 	Substandard quality for Crowne Plaza name	Recently stayed at the Allerton Crowne Plaza for a business conference. The hotel is a landmark hotel, which in reality translates into tiny, slow elevators and an excuse to keep re-using hideous fabric from the '70s. Check-in was fine, front desk was courteous. Only complaint was that my request for a king-size bed was ignored, but I was traveling solo, so settled agreeably for a queen. My room was small, but functional and comfortable. I used the internet before noticing a draft --coming from the window with a piece of the frame cut out! The window was completely closed, but the metal frame along the bottom was cut out. In April, it still gets quite chilly at night, so I was not about to take this in stride. In addition, the hotel is in the immediate vicinity of a hospital, so sirens from the ambulances are frequent and all the more noisy with an open window. I have never encountered something like this before, but when I called the front desk to ask for a room change, they seemed unfazed so I guess it's the norm for this hotel. I asked for a room that did not face the heavily trafficked street, but they said none were availalbe. When I switched rooms, I noticed that my new room had a breakfast menu strewn across the bed and one of the glasses had been used. I can only assume that another guest had switched from that room as well. In any case, my new room was substantially better (warmer!) than the old one and I was satisfied. Until I ordered room service. Speedy and courteous delivery, but short on taste. I ordered the french onion soup and lamb. The soup was too salty, lamb was too bland. However, I did enjoy the warm bread and fries. And the cute little bottle of Heinz. Really, it's the little things. My night was otherwise uneventful, and I slept very soundly. The bed was very comfortable, clean, and sleep-inducing. Parting thoughts: If you are looking for a clean place to stay, with a comfortable bed and convenient internet access, and can overlook the renovations in progress, this is the place for you. If you are looking for luxury or are more appearance conscious, look elsewhere - the Peninsula around the corner may be more up your alley.	
Apr 22 2006 	great service small room	Like other reviewers I found the rooms small. However, I was traveling by myself and the bathroom was roomy. The room was very clean and fairly new furnishings. Exercise room was more than I expected. The staff was exceptionally friendly and accomodating. It is just around the corner f/ Michigan Ave., close to Northwestern Hospital. All very convenient. Great place at a reasonable price. I'd stay here again.	
Apr 14 2006	Older Style Ambience	I called in advance to guarentee a King Size Bed - you could get stuck with a double or queen.When we arrived, they upgraded us into a Suite on the 24th floor. The Suite was very nice, spacious, and clean. (about the same size as normal rooms at the doubletree and residence inn). We were very pleased with the upgrade until bedtime - early morning. We thought we were above the gym because there was a lot of noise up above us. We then realized the Elevator motors were above us and really starting moving around 6am when people were awake and going up and down the floors.Positive:Central LocationCute bar Clean Nice RoomValet very quick to get the vehicleDownside:Small WindowsNormal Rooms are very smallLongish wait to go from the ground level to the lobby.Parking = $36	
Mar 14 2006	STAY AT THE ALLERTON!	Do not hesitate to stay at the Crowne Plaza Allerton. The location is superb. The staff went way beyond the call of duty to make our stay enjoyable. My teen daughter and I stayed at the Allerton on a Friday and Saturday night. We arrived at the hotel straight from the airport at about 11:30 am hoping to have our bags held until check-in. Much to my suprise, they had a room ready and not only that they upgraded us to a larger room for free. I reserved through Hotwire at a price of $79.00 per night. The person who checked us in was aware of that and it made no difference that we went through a 3rd party booking. Everyone there treated us like queens the entire stay. The room was clean and comfortable. The bedding was so comfortable. Yes, the rooms are a little small but for the 2 of us it was perfect. I am a very picky traveler and have been known to switch rooms until I am happy. There was no switching or concerns here! The elevator set-up that is mentioned in a few post here, is really not a concern at all. Yes, it's a unique way to get to the lobby, but not a problem at all. The location of the Allerton is ideal for Magnificant Mile. It is right in the middle of the mile. We walked everywhere we needed to go from the hotel. Perfect! Oh, and can't forget to mention, the room service meal we ordered was delicious and was delivered very fast. I can't stress this enough, PLEASE don't hesitate to stay here!	
Mar 13 2006	Small but nice	I stayed at the Crowne Plaza Chicago-Allerton on Friday night. It was a great location to all the clubs and bars. We walked about nine blocks to get to Sound-bar, Y, RiNo, Spyclub, etc.FINDING YOUR WAY AROUND:My friend and I took the subway from O'Hare to the Chicago (Red line) stop and walked about 3 blocks to Michigan Ave. Once on Michigan we began out search for the Crowne Plaza to learn that it is NOT on Michigan Ave technically--the enterance is on Huron. The Nine West shoe store shares the same building and its front is on the Mag Mile. When we entered the Hotel, we learned that check-in is on the THIRD floor using the elevator on the right. If you wanted to go to your room, you had to get on another set of elevators on the third floor. To go to Taps or the lounge, you got on the elevator on the first floor to your left. THE ROOM:Very small. We checked in at 5PM and that's the only avalable room they had. My friend saw it and had a fit, but I didn't care because we didn't spend so much time in it. It had a standard bed (full), a small desk, and a TV on a TV stand. The linens and towels were white and clean. The bathroom was quite nice with marble-ish floors and a see through glass shower. On, the floors are very slippery! The room was very clean and stocked with the following:-Shampoo, conditioner, soap, lotion, and shoe polish-Hair dryer and make-up mirror-On the bed was a linen spray and earplugs-Iron, extra blanket and pillow in the closetSTAFF:Helpful, if not a bit sarcastic. They at least knew how to get around the city. You can also leave your luggage there after check-out to walk around the city.	
Feb 22 2006	Way too small	We tried one of the anonymous low priced-room hotel finders for the first time last weekend. Our room was very narrow and very short. It had a double bed, a hollow end table, a tv/cabinet and a hanging desk with a chair. We had to knee walk across the bed to get to the end table on the other side. The windows didn't fit so the air was frigid. The bathroom had no where for personal items, there was a small sink, no vanity, a toilet, and a shower, no tub. We had been promised no less than a queen sized bed and other standard features. We talked to other guests in the bar and 3 others were staying in the same kind of room. All were paying more than we were so it wasn't just because we were trying to go cheap for the weekend.Entrance to the hotel was ground level, freezing in there. Elevator to either floor 2, restaurant/bar or 3, the lobby/check in/out. Then cross over to elevators going to the guest rooms. Long waits for elevators. The room was nicely appointed but extremely small. When we checked in and were told it was a petite classic I asked what size bed? double. I said we need to have a queen sized bed, we have a confirmation. Ok, queen it is. The bed was a double bed with a queen-sized headboard.	
Feb 22 2006	Loved the Allerton	This was my first trip to Chicago, and if it's yours, please make sure you know where to go once you get off the train. It was very hard to find on foot, since we weren't from there, and most of the people we asked were either tourists themselves, or people that lived there, and weren't friendly. After we finally found the hotel, check-in was a breeze. We went to our room on the 12th floor, opened the door, and came to soon realize that claustrophobia was going to be a problem. The room was absolutely tiny. I felt like I was in a closet. You can barely walk around the bed to get around. That's all it was- a bed, a tiny desk and chair, and an armoire. The bathroom looked very spacious, but I would only recommend this room for someone traveling for business by themselves. I was with my husband for our two year anniversary. We went downstairs to see how much a suite was. First of all, I would recommend everyone using priceline.com and bidding for their rooms. We got ours for $60.00 a night. The upgrade to a suite was $60.00 more a night, but trust me, it was worth it. It was very spacious, two tv's, a couch, and a desk. The hotel staff was very friendly, especially the Concierge. Watch out for the maids though. We had to leave the privacy sign on our door the entire time we were in the room because they would just walk in without any notice. I guess they just assumed it was vacant. I would love to go back to this hotel. Everyone was the best and helped us find the easiest ways around Chicago. Will be back again!	
Feb 21 2006	Overall a Great Experience!	We were awarded this hotel through one of our regular Priceline bids. We've had our share of horrible experiences when bidding for hotels, and after reading some of the reviews on this site, we were prepared for the worst. We were pleasantly suprised, however...Overall, staff was very polite-- even the front desk. Yes, they tried to upsell us a suite upon checkin (which we gently refused). But when we were done, we had a &quot;handicapped&quot; non-smoking room with a king bed and a rollaway for our daughter. An ideal situation for our family of 3..We had plenty of towels, the room was clean, and we never had to wait long for an elevator (and the hotel was completely booked).Yes, the elevators are small, the halls are narrow, and the rooms can be tiny (judging from the fire escape plan [hint-- ask for a handicap room!]). But overall this was a great experience, especially for the price we paid.	
Feb 8 2006 	Traveler Beware!!	Our stay at the Allerton at 701 Michigan Avenue began and ended on a bad note. We ended up paying $63.00 more per night than our reserved &amp; confirmed quote. We were also one queen size bed short of the reservation for six adults which caused major inconvenience. They only gave us linens for two so we ended up tipping someone just to get our first set of towels.The valet parking fees (38.00 per day + tip) and the room occupancy tax (22.95 per day) are NOT included in the room rates quoted. Eventhough I called the day before we got there to confirm the parking and valet fees and any other hidden costs and were told they were all included in our room rate and that we were being given a discount because of our surgery (transplant &amp; recipient)at North Western that week. Nothing I was told over the phone was true including the room rates so my confirmation number was useless. The staff at the desk were very indifferent and even after the surgery removing my kidney and all that that entails...the only thing I can say that made my week in Chicago miserable was the stay at the Crowne Plaza. We have even contacted our lawyer to recover some of our cost. Get anything they say to you over the phone in writing...since their word is no good.	
Nov 14 2005	Allerton. Digged it. Loved it. Repeat	All men aren't created equal, so our opinions will differ. Go to the Allerton, and expect an excellent visit. I have NO complaints.I won a Hotwire bid for $90/night (worth every penny and more) for Friday through Sunday. I arrived around 5pm, the doorman took my bag as I exited the cab, gave me a claim ticket and informed me it would be in my room 10 minutes after checking in; was it? YEP.Check in is on the 3rd floor, and you have to switch elevators to go up to the rooms. Check-in was hassle-free, the staff was very friendly and attentive, this even though the hotel was obviously packed and busy. The elevators are pretty small, by U.S. standards, but you can tell it's an old building, full of character and charm. The small elevators are forgotten when you realize you have 5, extremely fast, elevator cars.The hotel is obviously 'well done', you can tell from the moment you enter through the revolving doors into the bellman's area and up to the lobby. But when I got to my room, on the 6th floor, overlooking Michigan Ave., my suspicions were confirmed. PERFECTION! CHARM! Beautiful. The entire hotel has a very European feel, guest rooms included.The room was small, but delightfully decorated, with a full size bed, a beautiful armoir, and sitting chairs. The bathroom was cozy, had a full size shower fitted with a shower head set high enough for a professional basketball player. What this place lacks in space, it more than makes up for in charm and comfort.It is located right in the middle of the Magnificent Mile shopping area, about 4 blocks from the John Hancock building and Water Tower, there are restaurants on the streets around it. I just can't rave enough about this place. I will definitely stay there again.One thing, I had planned on taking the train from O'hare to the hotel, at some point I must've taken the wrong exit on the red line and hailed a cab, however, when I did walk to the Chicago station, the closest one to the Allerton, I found it to be a walk way longer than I had anticipated, and I only had one carry-on bag (though packed to the max, as I'll be here for 5 days) and a knapsack with my camera and personal belongings. I'm glad I opted for the cab ride. May I suggest getting off the red line at the Clark station, which is completely handicap-accessible, then hailing a cab to the hotel? That ride will set you back a whopping $4.25! If you've got bags to haul, you'll thank me!	
Nov 1 2005	Great Place To Stay	We just returned from a 2 night weekend stay at Crowne Plaza Allerton and had no problems at all. I also had some concerns about our stay after reading all the reviews and now understand that those people must expect a whole lot. I guess if I really looked hard enough, I might could see some issues and something to complain about. I even booked it through hotwire and got a great deal. I still received a king size bed with a great view of Michigan Ave. I can't believe that people complain about going to the 3rd floor to register. Yes, the elevators are small, but so what?? The rooms might have been a little smaller that other hotels, but we were just in and out to sleep and change clothes. The bathroom was well lit and had a great makeup mirror attached to the wall. The front desk was staffed just fine. We had no problems for check in or out. If you have a room booked at this hotel, you will enjoy it unless you are the type of person that complains about everything.	
Oct 31 2005	A Little bit of Europe	After reading the reviews, I was a little hesitant when I found that we'd bid on this hotel on Hotwire and got it for the weekend at $130 a night.We usually stay at 4 star hotels but so many of these were full and there were no deals to be had for this weekend so we took the leap and we were glad we did. Although it's far from perfect in many respects, I have to say that when we walked in and rode up the elevator to the third floor and walked into the lobby, I was reminded of some hotels where we stayed in Europe. Lovely, tall windows and a wide, pleasant seating area with a small reception desk are on the third floor before you take a different elevator up to your room. We arrived early, around 10 am. Sara checked us in and she was very pleasant. She said she didn't have a king bed at that time, but gave us a queen on the 16th floor with a view of Michigan Ave.  Again, the small elevators and small hallways and the very small rooms reminded me of one hotel in particular where we stayed in Paris which just brought back a wave of memories for me. The bed took up most of the room but that was part of the charm for me. There were tall windows that you could open. We opened ours a crack for fresh air and could hear a sax being played on the corner down the street. There was coffee on a small table, a desk, small closet and safe in the tv cabinet. The bathroom had only a shower which is what my husband and I prefer. The bath was clean &amp; provided a small shelf for your toiletries. The hotel also provided a small bag with lavendar spray for your pillows and earplugs and an eyemask with a relaxation CD.  We could see Chicago Place food court out our front window and Michigan Ave. to the beach out the side window. Shades were helpful at night to keep out the light of the busy city but we weren't bothered by the city sounds.  This hotel is close to tons of great restaurants. When we arrived, it was cold and rainy (again reminding me of Paris) so we walked a couple of blocks North (to Superior) and one block East to a little Italian place called Joey Buona's. We had hot bowls of Minestrone and Pasta Fagioli with baked garlic cheese bread dripping with cheese and looked out the cafe curtains as the people walked by with their umbrellas. Everyone in the hotel with the exception of one seemed very personable and willing to help if needed. A paper was delivered to our door each morning.  There are just a few things that the hotel could do to make the stay even better and that would be to keep each room as problem free as possible (little things matter). Our room had a desk light that had a broken outlet, a loose make-up mirror, and a shade that still worked fine but needed to have the bracket holding the rope that worked the shade to be reattached at the bottom. (I did leave a note since I do think the guest should notify the hotel in order for the hotel to attend to these things). Also I would have loved my towels to be larger but I still say the hotel has a charm of it's own.	
Oct 5 2005	so-so	The Allerton Crowne Plaza is in a great location, on the Magnificent Mile with lots of stores and restaurants. The hotel itself, however, is over-priced for what you get (I paid $249/night for a small room with 1 king-sized bed). I stayed there for 2 nights on business and had a non-smoking room that smelled of smoke. The window shade broke the first day (although it was fixed promptly) and the room was directly across from a service elevator that emitted a ringing noise every time it was used (day and night). The room was small and had a shower but no bathtub and only 1 bar of soap to share for the shower and sink.There was free coffee for the coffeemaker, but no tea. I would hope for more that price.	
Sep 30 2005	Not what I was expecting	This was the second time staying, the first was very nice. I work in travel and am often given a nice room for the word of mouth, however this trip the room was tiny compared to the first, it was clean but a little shabby. I was told my parking would be covered by a person in sales and when I came the final day to get the car, I was informed that they no longer did that and I would have to pay. I was not prepared for that but did pay. When I went to the hotel they were no help and basically said I could call when she was in on Monday to see what she could do. I was reimbursed however it was a hassle I was not expecting and no help was offered.It is a good location though.	
Sep 30 2005 	There are many better hotels	Stayed one night on a business trip because most everything else was booked. Had a queen room at $199. It was TINY -- barely enough room to walk around the bed, and there was no way two people couild have used that room. Bed was comfortable but the plumbing was noisy all night long. Bathroom was roomy and well lighted -- quite nice. Only one chair, a straight back desk chair. Hi speed internet at $9.95/day. No newspaper in the morning, front desk was courteous but understaffed -- never more than one person on duty to handel checkins/checkouts, andswer phone, etc.	
Aug 16 2005 	Beware	Beware of bad business policies. I stayed at the hotel in the very small rooms and terrible staff. I was there on business. The company I was working for was supposed to pay. Instead of billing them they billed me 10 months later!!!!!!! Be careful!	
Aug 10 2005	Less than Tip Top	Reviews here are accurate. Great location, iffy everything else. Arrived at check-in to see a small but angry line of people. Friday evening, a line of customers....and one person working the 4-place front desk. I spent the wait trying to figure out what everyone's problem was. Turns out it was my problem, too. Depsite a King bed reservation, they had only double beds availabe. &quot;Anything you can do&quot;? No. Take it or leave it, essentially. The word &quot;KING&quot; on the reservation means nothing. This was a reservation made through the Crowne Plaza website, not a 3rd party. Not a big deal, I was expecting as much based on what I read here, but I'm posting it so the next people know. Room was nice, but small. Once we heard &quot;double&quot; we knew it was going to be tight. By small, I mean that we were re-arranging furniture for better use of space. My face was 6 feet from the door and it felt like I was sleeping in the hallway. One in our group actually got a king room (one out of 3 parties) and that's a nice room between the elevator banks. Judging by the fire escape diagram, most of the rooms look like they're the size ours was. It's an very beautiful, but old building, so if you're used to old buildings...things like water damage around the windows, tiny bugs in the room (no screens on the windows...don't open them unless you want visitors), great water pressure for 90% of the time, interspersed with a) no water pressure or b) a 20-degree change in water temperature. When leaving, the doorman waved us away from the limo we thought we were taking to the airport. &quot;It's For someone else&quot; we're told. Well after 5 mins the driver finally approaches us and we find out that is inded our limo, thanks buddy. There sure seemed to be a lot of hotels in the area, and although this was inexpensive I'm sure you could do better. Pictures attached -- I got a great shot of the hotel from a nearby apartment. I also took pics of the water damage and some streaks were I killed a few bugs on the ceiling. Happy hunting!	
Aug 10 2005	Don't believe you can check in at 3:00 p.m.	Arrived at 5:00 p.m. expecting to check in, shower after 4 hours in a car with broken air conditioning, get dressed up and go to a show and dinner. The lobby was full of people. We were told we could &quot;preregister&quot; for a room that would be available in 1/2 hour to an hour. Grumbling, we wandered around nearby shops. When we came back, we had to wait in line until after seven, and were told our room still wasn't ready. No apologies to anyone, everyone was told rooms &quot;become available&quot; at the 3:00 check-in time listed on the web site. After some phone calls to housekeeping, we were told our room lacked only towels and they could let us in. The man at the counter acted like he was doing us a big favor. When we got to our room, the bed wasn't made and I couldn't tell if the bedding was clean or used. I called housekeeping and had to wait another 1/2 hour before showering so they could come fix the bed. The woman from housekeeping was incredibly nice and apologetic--and she was the only staff we met who was. By the time we were able to get out, it was nearly 8:30 and we had missed any prospect of seeing a show, which was the main reason we decided to come to Chicago for the night. When we left, a man who was next to us in line the second time was just getting his room and he was, understandably, furious. The staff were still acting like it was perfectly ok to be checking someone in that late. The room was small and a little shabby but clean. The bed was fantastic. Not sure if I'll use Priceline again for Chicago because I don't want to get stuck here again.	
Aug 8 2005	A great stay!	We stayed for one night the last Saturday in July. I had booked two rooms through hotwire so I knew what to expect, the smallest rooms in the house. That's par for the course when getting a cheap rate, I wonder if sometimes other reviewers forget that. We arrived early in the afternoon, the bellman were readily available and handled our luggage. Upon going to 3rd floor checkin, the front desk happily obliged to check and see if we could check in early and they were able to get us rooms. Bell service brought our bags up within 5 minutes and were extremely courteous. Elevator waits were 2 minutes or less, and yes you do have to change elevators but it's an older building, thats the way it works in a lot of older dowtown buildings. The rooms were small, but extremely clean. Standard crowne plaza welcome package of eyemask, ear plugs, etc is always a nice touch. Bathroom was very clean and for being small had a great walk in shower with what must have been a 7 foot high shower head, great for taller people who are used to sore backs from showering while traveling. Plus the location is excellent, a quick walk to Michigan Ave and to nearby CTA El stops. Would not hesitate to stay again!	
Jul 31 2005	Very Charming	I just returned from a 3 night girls weekend in Chicago and stayed at the Allerton Crowne Plaza. I have to say that I was a little concerned after reading some of the reviews. I am happy to say that we had a wonderful experience. The valet greeted us in a very friendly manner and was helpful. We checked in at the beautiful 3rd floor foyer and the staff were helpful and attentive. Our room was very clean, not very big but really what do you expect for $115. The location is unbelievable, the best location that I have stayed while in the windy city and I travel there yearly. We called for extra towels twice and they arrived at our door within 5 minutes. We called to have our car pulled out and it was at the front door within minutes. The staff were courteous and helpful with directions and recommendations. The work out room on the 25th floor was very nice. I cannot say enough about my stay. If you are looking for a clean, central location with an affordable price, I highly recommend this hotel. I did not have any problems.	
Jul 27 2005	Great stay at the Allerton	We recently had a wonderful 2 nights at the Allerton. We were somewhat concerned after reading some of the reviews and getting this hotel on priceline ($150) but it turned out to be just fine. When we arrived the valet ($36) was very prompt and the front desk was very courteous. We were assigned a room with a double bed but we asked if we could get a king instead. They did not have a king but gave us a queen on a high floor. The room itself was very clean and a perfect size for the two of us. We found the room to be very clean and quiet. I was worried about the bathroom being too small to accomodate my hair and makeup supplies but it was just fine. The shower was spacious and very clean. We ate at the hotel restaurant for breakfast, it was a little pricey but very tasty. The most we waited for an elevator was 2 min. Overall, this is a very charming hotel with an excellent location, right in the heart of the Magnificent Mile. We would love to stay here again!	
Jul 20 2005 	Not Great!	I'm from Chicago and I go back to visit frequently. I've stayed at various mid-range hotels downtown and this one ranks on the bottom of my list. First off, I was traveling with a female co-worker this time. I booked 4 months in advance and had called several times requesting a room with two beds. I was told I had to make that request at check in. Well, low and behold they only had rooms with one bed. We weren't too happy and when this was mentioned, the guy at check-in seemed flippant and replied, &quot;Well, I can't give you what I don't have.&quot; The hotel and the room were clean but small and this particular room had a nice view of the fire escape. The other issue I had was their elevator system. It's an old building and while the entrance was street level, one has to take an elevator to the third floor to reach the main elevators to the rooms. The elevators are VERY slow and very small. With 23 floors of guests waiting to get upstairs, it's a rat race to get to the elevator first--or be stuck standing there as long as 5 min to get up to your room. All that said, the Allerton's saving grace is it's location--on Michagan Avenue's Magnificant Mile. As a tourist, it's a wonderful area to stay--walking distance to Oak Street Beach at one end and the Chicago river and on to business dist. of downtown at the other. Chicago is a wonderful city to be &quot;out and about&quot; in. If you're only using the Allerton as a place to rest your head, it'll be adequate. For the same price, I much prefer the Palmer House Hilton. It's a couple stops further on the subway but it's beautiful.	
Jul 19 2005	Great Location - but that's it	I stayed at the Allerton on a last-minute business trip. Every hotel in the area was booked solid. For some reason, the Allerton had several rooms available. I arrived very late, 11:30 p.m. to be exact, due to a series of unfortunate events at Chicago O' Hare. Check in took a ridiculously long time. The layout of the hotel is odd - you have to use a series of elevators to get from one area to the next, all of which have strange angles and are tiny. So I got up to my room on the 16th floor and it had not been cleaned at all since the previous occupant had left. The bed was unmade, towels on the floor, the window was open. I dragged my luggage (never saw a bellman) back to the third floor where check-in was and was given a second room, on the 20th floor. My room was larger and seemed nice. On second look there were crackers on the floor by the bed as well as some spare change. There were about 20 little bugs having a party on the ceiling, and the safe - which I didn't touch started beeping the second I got out of the shower. Did I mention that room service closed at 11:00, so no dinner for me. The blanket on the bed was stained with some chocolately looking residue. The room was dirty. I did complain and someone came and picked up the crackers and stopped the safe from beeping. I think the hotel is simply too large for the staff to handle. I wouldn't stay there again.	
Jul 17 2005	Location Location Location--Nothing Else!	This hotel was highly recommended to me by a co-worker. He was right in the sense that the location is great--we were in the center of the action. I have to concentrate on this to forget about my distaste with the front-desk staff and the condition of the rooms. I booked two non-smoking rooms with two double beds and because I had two 14 year olds in one room, I requested adjoining rooms during the reservation, confirmation and arrival. Since I requested early check in--we arrived before noon so the front desk person just gave us one room. I mentioned that we needed two rooms together and his response was &quot;We are overbooked, check with us later&quot;. At this point we felt very thankful that we had a room to change and put our suitcases in. The room had an ackward set-up, very small and not very clean, and a &quot;lovely&quot; view of the parking garage's wall. After having a great lunch at Giordano's, I went back to the front desk, this time I spoke to a female front desk employee that told me if I gave her my credit card she will hold my second a room in the 5th--Did I mention that our first room was in the 6th floor? I checked back in an hour and a different male front desk employee told me that my smoking room on the 11th floor was not ready yet. I asked him what happened to the room on the 5th floor that I gave my credit card for. After a lit bit of perseverance on my part, he found the paper I signed, however, there was NO room available on the 5th floor. After he reminded me (AGAIN!) of the hotel's overbooked situation he said he had a petite suite on the 6th floor with one bed. At this time, we realized this was as close we were going to get to our other room so we took it. I was dissappointed with the staff--I felt they took a &quot;I don't care pill&quot; before coming to work. I made it clear from the very beginning that having two rooms as close as possible was a priority for my family--however I was misled by the reservations staff and ignored by the front desk staff. If a clean and friendly place is a top requirement for you, I will not recommend this hotel. If location if a top requirement for you, go for it! As for me, I will not stay at this hotel again.	
Jul 17 2005	Great location and staff!	This is located on the &quot;Magnificent Mile&quot;. It was close to wonderful shopping and restaurants.We had a suite that quite large and very clean. There was a dead spider on the floor of the bathroom but at least it was dead! The bathroom could have been larger.The hallways and elevators are very cramped but you need to remember you are in a very old building.The elevators are also very slow. We had to wait one time over 20 minutes. I know other reviewers claimed that people were simply not paying attention to the elevators but that was definitely not the case with us.We found the front desk staff to be very courteous. We asked them for directions several times and each time they were kind and showed us a map. The valet workers were great, they also gave wonderful directions and suggestions.I would definitely stay there again. I did see a regular room when I was walking in the hall and was not impressed. Try for a suite if possible.	
Jul 15 2005	Good location but the hotel's a dump	If you are a tourist, this is a great location. That is the only good thing I can say about this place. Check in was very slow. I reserved a nonsmoking room. When I got there, they did not have one, and they did not seem to care very much - so they gave me a smoking room. When I went to the room, it had not been made up and was in disgusting condition. So I came back downstairs and after another 15 minute delay, they gave me another room that had been made up. The room was very small (half the size of a usual hotel room). The bathroom was also very small - so small it is hard to move around in. And it had only one towel in it. The elevators were small and cramped and slow. The room price was $260 a night. (maybe you could get cheaper; I booked on short notice). It was basically Motel 6 quality at Ritz Carlton prices. I would not stay here again. There are a lot of very nice hotels in Chicago in that price range. If you want a MUCH better hotel in the same location, try the Fitzpatrick - a friendly hotel with very nice rooms, good staff and excellent Irish bar in the basement.	
Jul 13 2005	Fantastic Experience	We really enjoyed this hotel. It is in a great location - right in the heart of the Magnificent Mile - easy walking to many shops, landmarks and great restaurants. We found everyone (bellhops, housekeeping, registration) we encountered to be very pleasant and always willing to help. We did not have any situation that required us to interact with management so I don't have an opinion on that. As members of the Priority Club we were upgraded to a mini-suite which had a large king size bed in one room and a sleeper sofa in the other. We had our 2 kids for one night of the stay and the sleeper sofa was a bit small but fine for them. The room was located at the end of the hall so we had views from 3 sides of the building - 2 of which were gorgeous views of the skyline and you could even see the lake. The bathroom was fine - I didn't think it was too small and there was a glass shelf running the length of the bathroom for storing toiletries that was perfectly adequate for us. Also, I think our rate was very good - we booked on the hotel's website and took the internet rate (it has restrictions - such as no cancellation) - it was the most reasonable rate I could find for a hotel in this location. We did have our car and were charged the $36 / night for parking but we were not charged on our last day and we didn't leave until the noon checkout. We did not have any problems dealing with the parking or retrieving our car when we needed it.	
Jul 12 2005	Great location okay hotel	I stayed at the Allerton during the Taste of Chicago for the 4th of July weekend 2005.We must have gotten the smallest single ever made. As soon as we stepped into out hotel room, we were in the bathroom. I had seen my friend's single and it was decent. I booked the room on the hotel's website for about $150 a night and I was not satisfied.I did not try the hotel's restaurant or bar. There is no pool. The good thing about the hotel was that it was located in the middle of the magnificent mile.The next time I visit Chicago, I will not be at the Allerton.	
Jul 7 2005	Beware: WORST Service on the Planet!!	My rating of 1 is extremely generous for the level of service provided to me at the Allerton! If I could render a 0 or a negative rating, I most definitely would. After booking on Hotwire, I called directly to the hotel three times to ensure we had double beds in our rooms, which was confirmed by Allerton staff. When we arrived, the front desk clerk informed us they had booked us for a single room and no more double rooms were available. After expressing our discontent with the manager, he attempted to pacify us with a free breakfast.We had an even more intense and dissatisfying experience with so-called &quot;management&quot; at checkout. In addition, we were charged the $36 fee for valet parking for a night on which our car was supposed to be valeted. However, to our dismay, the car was sitting in front of the hotel (where it was left) in the morning, never having been parked!If you are looking for a nice hotel with great service, the Allerton is definitely NOT the place for you! If you want to waste your money on small rooms, terrible service, rude and extremely incompetent management, and risking the safety of your car, kudos to you...you have come to the right place! Enjoy your disastrous experience!	
Jun 14 2005 	A Train Wreck	Our stay was terrible from start to finish. Check-in was disorganized. Many families and business people waited as a flustered staff attempted to process visitors who had booked weeks and months in advance. Gave us the strangest room I have even been in. Two double beds in a room not much wider than the length of the beds. The bathroom was 5 feet wide and ran the length of the room too. ZERO counter space in the bathroom. Good luck ladies.Lost the valet-checked car we rented upon our chackout -- almost late to the airport due to their frantic search. A understaffed, old, poorly managed hotel.It's location is the only thing keeping it from being torn down.To top it off, it was priced the same as nice hotels. This was not a priceline deal.We will never return.	
May 31 2005	Great Hotel... Very Clean Great Location!!!	Allerton Crowne Plaza Hotel was a very nice hotel. It was in a great location central to everything. It was 2 blocks from the red line to/from the airport, 2 blocks from Hancock Bldg, few blocks from bars/restaurants on Rush St., across the street from bus stop to museums and parks and a short walk to navy pier. The only thing negative I could say about this hotel is that the room was very small and had an odd configuration. We had 4 people and it was cozy... Hotel does not have a pool which could be a deal breaker for some. Overall I would definitely suggest anyone to stay in this hotel. It was very clean and the staff was wonderful. No problems at all with anything. The hotel even let us check in at 8am which saved us being that we had a really early flight.	
Apr 14 2005	OK With My Stay	I stayed at this hotel from April 9 - 12, 2005. When I arrived at approximately 1:00 p.m., I was able to check in early. I also was told that I had been upgraded to a &quot;Junior Suite.&quot; The elevators are small but I never had to wait for one. When I pushed the button, I could immediately hear one coming.I ate at the restaurant a few times and each meal was great. The service was very nice.Everyone that I met that worked at the hotel was nice and always spoke to me.This was my first trip to Chicago and when/if I go back, I will probably stay at this hotel. It is on Michigan Avenue and close to everything. I had no problems at all with this hotel and would enjoy staying there again.	
Apr 11 2005	Perfect for our purpose	Stayed at the Allerton Crowne Plaza this past weekend. We got a rate of $116 on Hotwire. Location of the hotel is awesome - - on the corner of Michigan Ave and Huron. Parking is salty, $36 per night, but there aren't many other choices. Our room was small, but fabulous - - everything extremely clean and like new. The only drawback to this hotel is the lack of a pool. If a pool isn't important, you can't beat the value for a Michigan Avenue stay.	
Apr 5 2005	High Standard in Central Location	This was our secong stay at the Allerton having stayed there about 5 years ago. The Hotel was good then and is still up to the same high standard. Yhe Staff where all extremely helpful from the moment we arrived until we left. The room was excellant and the bathroom worked perfectly. The location of this Hotel is great for shopping and if you get a travel pass you can get the bus to all the tourist locations easily enought. As I said this was my secong stay here and I look forward to many future stays in the future.	
