	GOOD PLACE	It is a very comfortable hotel to enjoy your trips in a very good location	
Mar 25 2006	Greta place to stay in Chicago Downtown!	I just returned from a stay at the Hilton Garden Inn. I booked this room based on the reviews posted on the trip advisor web site. I stayed 4 nights with my college-aged daughter and her friend. This hotel was exactly what I had hoped for. It was centrally located in downtown Chicago, directly across the street from the Grand Street EL station (red line-north). We purchased visitor passes and used the EL extensively. The desk staff was excellent! They gave us 2 bottled waters and a great room with a view. When we mentioned that we had reservations at PF Changs restaurant(at the end of the block), they gave us coupons for a free appetizer. Whenever we asked for directions to a certain loaction, the staff provided us a mapquest map to get to our destination. The price was excellent. All the rooms have a small fridge and microwave and there is access to a business center that has computer terminals and printers. I highly recommend this hotel as a GREAT place to stay in downtown Chicago.	
Mar 23 2006	Just Ok I think Homewood Suites is a better Hilton choice	Just returned. The rooms are clean, small, and just OK. Housekeeping is a weak link. The first day of our stay we returned to the room about 4:30 and no housekeeping. We went downstairs to wait in the lobby. About 5:15 I asked at the front desk where I was told &quot;there is no daily housekeeping unless you call&quot;. That seemed impossible to believe, but I complied by asking for housekeeping every day. (The desk clerk said, &quot;You really want housekeeping every day?&quot;) We are not difficult people, but even a Motel 6 has daily housekeeping for heaven's sake. They then put &quot;a rush&quot; on our room, and 45 minutes later we had clean towels but no clean sheets. We paid $139 and for that price I gave it three stars. Any more than that would be inappropriate. Valet parking is $36 a day, but we needed the &quot;unlimited&quot; aspects of that service. Unfortunately, we forgot to factor that in for a &quot;written in stone&quot; Sunday morning obligation, and were almost late when it took the better part of an hour to get our car. We had called ahead, and the valet boys were too busy counting their tips to go and fetch our vehicle. Finally, one of them asked if we needed help and we said we had called for our car before we left the room. At that point, one of the boys actually stuffed the folding money back into his pocket and went to get our car. Upon leaving, we waited several minutes for the valet boys to pocket their tips before moving a car that made it impossible for us to exit. Not cool.As Hilton Honors members we thought we would receive preference for our request of a &quot;high floor&quot;. Not so. We were originally placed on the 13th floor, and it was only because I asked about a corner room that we were placed on the 19th floor. And there are 23 floors, so that wasn't a &quot;view&quot; room. True, we are only &quot;gold&quot; level not platinum. Even so, 2 bottles of waters seemed like a minimal acknowledgement of our Hilton loyalty. While we were there we walked 50 steps to another Hilton property, the Homewood Suites. I talked to a staff member there who was really open about the property where Honors Gold members are automatically assigned to the 12th floor which we verified as being completely non-smoking and comprised of actual two-room suites which had all the amenities of Hilton Garden(free hot breakfast) plus free cocktails/dinner in the evening Mon.-Thurs.. A better choice if you have the extra $50 a night considering you also get a kitchen and guest laundry. All in all, having stayed at many downtown hotels, Homewood Suites is the best Hilton choice. Embassy Suites down the block has a crowded noisy lobby, minimal room furnishings, and is the most expensive. Hilton Garden Inn while clean and modest, has paper-thin walls and no real acknowledgement of Honors benefits.	
Mar 21 2006	Great Weekend	Just returned from a long weekend with my husband at the Hilton Garden Inn. We had a wondeful time - the room was very clean, location was great. The staff was very helpful in getting tickets for shows, and navigating the trains! Have stayed at the Westin and prefer this location better, close walk to the mile, and great restaurants. The red line and trolley to Navy Pier are just outside the front door. For the price, you can't beat the service or location! We can't wait to go back!	
Mar 15 2006	Super!!!	Our family stayed for one night as a family weekend get away. The location was great. With a stroller and two young children the location of the hotel made it easy to get around. The free trolley service it right across the street and dropped us off right at the door to Navy Pier, and back again. We did use one of their free cribs, and being very picky thought it was good enough for my baby, although I did put my own sheet on it. We used the pool to entertain the kids, it did have a strange smell but was clean and fun. The bath tub actually could be filled to bath the kids after the pool.All of the staff was helpful and extremely nice. We are looking forward to staying here again.	
Mar 15 2006	Lovely helpful cheerful staff at the Garden	We spent two days mid-week here while visiting family. All the usual amenities were up to standard, but what we specially noticed was the cheerful and SO helpful staff, not so common downtown anywhere. The breakfasts were great too - continental was included in our stay, but for $1 each we could have `the works', including omeletttes and such cooked to order. This is the fifth Chicago hotel we've tried, and the first we've liked enough to want to come back to.	
Mar 4 2006	Great location. Great price. Great service.	I stayed on a Friday night for a short weekend visit. I paid $100, so didn't know what to expect. I was plesantly surprised. The staff was nice. The room was very nice with a good view of the city. The pool and hot tub were enjoyable. The only negative is the parking situation, but that is true at almost all hotels in downtown Chicago. The location was close to everything. I would definitely stay at this hotel again over many more expensive places.	
Feb 27 2006	Great!	Very good experience overall. The staff was friendly and helpful. The room was nice--no complaints. The location is great. Check-out was very easy, didn't even have to stop by the front desk. I'd recommend it to anyone. Easy, no-hassle trip!	
Feb 27 2006	Great value and location	Stayed in August for two nights with my girlfriend to see some baseball games. This was our second visit to Chicago and since this place had received favorable reviews we gave it a shot, turned out to be a great choice.Location - Great area north of the river about 3 blocks west of Michigan Ave and next to State St. One HUGE bonus is the subway station right outside the door, which came in handy for going to the baseball game. With the El, a 10 minute walk to Michigan Ave and plenty of retail estabishments nearby, a car is not needed. The area felt safe to walk in both day and night.Room - This is an older tower hotel, so the rooms are small as to be expected but adequate for 2 people. Air circulation was good and the bedding and furnishings were fine. Staff - Despite a late arrival, our King N/S Upper Floor was confirmed. The front desk staff guy was great, pointed out Bijon's American Bistro a couple of blocks away for a late night dinner. Also, when we needed a bandaid, instead of pointing us to a drugstore, they just gave us some from their own cabinet. Housekeeping was efficient and the room was clean.Amenities - A delicous breakfast was had at Weber's. We did not go there for dinner or use pool/gym. Lobby is rather small and except for a small nook with snacks/toiletries there is not much else in the way of services. Weber's is their only restaurant.Price - rate through Hilton Website was $170 nt for a midweek stay. I am sure that a weekend rate is less and probably would include breakfast. As a HHonors member we got free bottled water which was nice in the warm weather. As I always say, there is no reason NOT to use the Hilton website and sign up for HHonors, the price is the same and the chances are much better that you won't get bumped or put in a crummy room if the place is full.This is a great place to stay if you are looking for quality, value and a good location. If you want more of a full service hotel with more luxuries then you may want one of the larger places directly on Michigan Ave.	
Feb 22 2006	Average hotel	We picked the coldest weekend of this year to visit Chicago. Lucky us. My husband and I took our 7 year old to Chicago for some sightseeing and fun. His favorite part of the weekend was, of course, the pool. The pool was very small. Five families filled the pool and made it very crowded. The hot tub was very very hot. I enjoy hot tubs but this water was just too hot. I was scared for the small children who did go in it. Everyone you saw came out with very red skin. The location of this hotel is nice. Espn Zone is in it's backyard which is nice for 7 year old boys. We had a nice time but the Hilton didn't overly thrill us.	
Feb 20 2006	This will be our Chicago home from now on!	Feb. 17-18: I took a girls trip with two friends. I am a Chicago native that wanted to show my 'Frisco friends what a great city Chicago is. From start to finish, the Hilton was the BEST! First, after arriving at 10 am from Midway (EL Orange line txf to Red line at Roosevelt to Grand stop - FYI - the EL drops you off RIGHT IN FRONT of the hotel), we thought we'd drop off our luggage and shop until we could check-in (3 pm). To our surprise and delight, the desk said that our room was ready THEN! As a Hilton Honors member, we were also given vouchers for 2 bottles of water (or one large) and $5 to use towards their pantry (snacks and stuff). Also included was breakfast for the 3 of us (Weber Grill is inside the hotel). It included a continental at the Weber, a Venti &amp; Pastry at the Starbucks (also in the Hotel), or, for $1 more, a Deluxe breakfast with made to order omelettes and pancakes. So off we went after a rest to see Chicago! At 10:30 that eve, we were looking for a restaurant for a late dinner, and the desk had an extensive list (with pricing) and even called ahead to check on seating and hours. We had a wonderful meal (GREAT STAFF AS WELL) at the recommended Volare (201 E. Grand). The rooms were clean, the staff was not just accomodating, they went above and beyond (too many times to mention here!). STAY HERE - you won't regret it! BTW: 137.33/night at the Hilton website.	
Feb 8 2006 	Great location; great staff; great price	Great price, consistently helpful, friendly staff, very clean and nice, small touches everwhere. I had a corner room w/ two windows, a microwave. refrigerator, easy chair and a very nice closet and bathroom for $130 night. Of course, it was February so I assume that price is seasonal. I would pay quite a bit more to stay there regardless. Near Nordstroms, a small grocery store &amp; other retail that comes in handy. Also free use of Crunch gym almost next door (as well as a nice hotel gym). The Weber Grill restaurant had a reasonably priced breakfast buffet with excellent service and nice &quot;to go&quot; options. A very well run hotel. I wish there were more like it. Will definitely stay there again.	
Jan 30 2006	Great hotel	I stayed here between Christmas and New Years and the hotel staff was amazing. My frequent flier account wasn't attached to my HHonors account and the rep at check in insisted she take care of it and then followed up with a call saying it was done. The room was immaculate, modern (bed not the most comfy)and the heating worked well. The fridge and microwave were very clean. Kudos to the business center, they have a color printer available for guest use and the remote printing feature from your room is great and secure! Location is great being next door to PF changs and a short walk to Nordstrom on Michigan Ave.	
Jan 27 2006 	Excellent hotel. Great value for money	Just wanted to follow up earlier reviews. This hotel has to be one of the best deals in town. I prepaid my stay through [--------] and for just $89 + tax got a great room. Like other reviewers with hhonors membership, I was given a voucher for a more than adequate continental breakfast, free vouchers for bottled water and other goods from the 24hour pantry. Service was excellent throughout. Location is pretty quiet for Chicago, a reasonable walk to just about everything but with a red line subway station right outside the door. For me at least, a much better choice than previous stays in and around the Loop. Overall, highly recommended.	
Jan 21 2006	Very Nice Hotel at Reasonable Price	Great Location. The service is always great at check in and check out. For the cost a great downtown MI AVE hotel.	
Jan 11 2006 	Loved it	I found out about this hotel via Tripadvisor and I can tell you the reviews were right on the money. The place is excellent, very clean, and the the service is impeccable. I think this hotel is one best places to stay in Chicago without spending a fortune.	
Dec 28 2005	Great place to stay	I stayed here with my brother when we came over from the UK to see a Bears game. It's in a great location a couple of blocks from the Magnificent Mile (Michigan Ave) and within walking distance of The Loop. We even walked to Soldier Field and back but you might want to hop on a bus or the subway which has a stop almost right outside the door. The hotel was everything we hoped it would be - rooms were nice and clean and the staff were friendly. We had a great view of the John Hancock Center from our corner room (other rooms have the possibility of views of the top of Sears Tower). The attached Webber Grill offered a breakfast buffet every morning for a reasonable price, which was very convenient. I'd definitely stay here again.	
Dec 27 2005	Far above the crowd	I stayed at this hotel twice in December 2005. The front desk staff was very friendly and genuinely concerned with the quality of my hotel stay each time.(One clerk even said &quot;Welcome home!&quot;) Being a Hilton Gold member, I was given a top-floor room, vouchers for breakfast, Starbucks coupons, bottled water coupon, and a $5 coupon to the gift/snack shop. The room was nicely proportioned with a comfortable bed, mini-bar with a microwave, and a desk with complementary Internet service. The bathroom was moderate in size, very clean, and well-lit. Overall, the hotel floor was quiet and orderly. I found a parking spot on the street so I didn't have to pay for parking (after 6pm on Saturday, the parking was free at the meters I found right across from the hotel entrance).The breakfast vouchers were for continental breakfast at the Weber Grill, but one can upgrade to a full breakfast for a dollar (total $9.95 if paying without a voucher). I found the food and atmosphere to be appetizing and inviting. This is a steal in Chicago for an unlimited breakfast buffet. I must reiterate that the staff of this hotel make it stand far above its competitors. I have stayed at other hotels with more &quot;stars&quot;, but the HGI Chicago Downtown deserves more than 2.5 for the superior &quot;can do&quot; attitude of its staff and its vast array of guest services.	
Dec 19 2005 	Fantastic	Great Location, great views, very quiet - the only inconvenience was the high cost for parking, but it's worth it. There is a grocery store right around the corner which helps since you have a microwave and fridge in your room. Not one major complaint about my stay which is rare. This is, to use a phrase I saw earlier, a hidden gem in the city.	
Dec 6 2005	A hidden treasure	This hotel was wonderful and much more than I expected. It's new, modern, the furnishings in the room are new, coffee maker and fridge in the room. The front desk employees were ready to help with directions and any way they could. The icing on the cake is the location! It's close to everything. Right in the heart of shopping a couple blocks from North Michigan Avenue. A short walk to the stores on State and the theater district. Right around the corner from the hotel is a grocery store! Perfect!The lobby has a modern, minimal look. There is a high priced mini convienent store right off the front desk. A starbucks in the lobby, with very pleasant employees. I won this hotel on Priceline it's labeled as a 2.5 star. It's way better than that. Whether you win this hotel in a bid or purchase it, you can't loose. The only negative was room service for breakfast. It was overpriced and horrible. Skip the room service and go to Starbucks in the lobby.This is a hidden tresure in the city of Chicago.	
Nov 22 2005	Definitely stay again	Superb location, very nice room and friendly, helpful staff. Had booked thru Priceline ($50 per night). Arrived at 5am with the hope that I could leave my luggage and check-in later - no problem, my room was ready and also given free breakfast vouchers (HH Gold). Late check-out was no problem. I called as the free high speed internet would not connect in my room and within 10 minutes they rebooted the system and was working perfectly. Room was clean and decent size and bed was comfortable. Definitely stay again.	
Nov 9 2005	Very nice place to stay	The Hilton Garden Inn is a nice place to stay. Great location, with subway stop right in front of hotel. The room was clean and comfortable. One exception: the dust ruffle on the bed was torn all the way around. Why that would be I don't know. The bed was comfortable and the bathroom clean. Room was a tad small but ok for us. The staff was exceptionally friendly. They moved us to a higher floor on check-in when they heard that our relatives were up there. Housecleaning crew didn't clean our room till after 4 pm on Friday. There is no breakfast buffet but there is a corner bakery down the street with great breakfast choices. One suggestion: you may want to choose another place to eat besides the hotel's weber grill restaurant. Chicago has so many great places to eat. We didn't eat there but my relatives said the Weber grill is expensive and the food just ok.	
Nov 2 2005	Nice hotel excellent location!	We (family of 4) stayed at the Hilton Garden Inn in downtown Chicago for 3 nights. The desk staff were friendly and helpful, the room was clean, and we really appreciated the fridge and microwave in the room, especially since there was a grocery/drug store right across State Street from the hotel! This saved us quite a bit of money, being able to eat breakfast and a light dinner/snack in the room.I loved the location, too. There's a subway stop right outside the doorway of the hotel. We parked our car at the hotel ($21/night, no in-out privleges), bought 2-day CTA visitor passes for $9 each and used combinations of subways, els, and buses to get around Chicago. Two nights we ate dinner at restaurants within walking distance of the hotel (there are LOTS of restaurants nearby!). We ate breakfast in our room 2 mornings, but on Saturday morning we ate downstairs at the Weber Grill. They had an excellent and very reasonably priced breakfast buffet. I don't know if this buffet is available every morning or just on weekends.I would definitely stay here again!	
Oct 9 2005 	Love this hotel	This is the second time I have stayed here and I was again very impressed.The rooms are clean, comfortable and good sized. Beds are very comfortable and I love having a large work desk, fridge and microwave (although having some eating utensils would be even better).The Webber Grill downstairs and PF Changs supplying room service are also great as I was there on business alone, and food is excellent. The bar is very friendly and having Starbucks morning coffee available in the lobby is spot on.The pool is very small and workout area adequate, but you can go next door to the &quot;Crunch&quot; Gym if so inclined.The location of this hotel is second to none. Slap in the middle of town, a block from Mich. Ave with everything else in walking distance. Staff are very friendly and helpful, my only complaint is that the room service seemed very sparse on a Friday and my room still had not be cleaned by 3pm, however this was the only time.Would definitely recommend this hotel, especially if you are a single female in town...I felt very safe.	
Oct 5 2005	MY KIND OF TOWN MY KIND OF HOTEL	What a great hotel, I do declare. The Hilton Garden Inn is ideally located right near State Street and about a three minute walk to Michigan Avenue. You're steps from great shopping, beautiful architecture and everything you could possibly want. I went with my newly-appointed fiancee to celebrate our engagement. We took a cab to the hotel - it was about $50 on account of a lot of traffic. Next time, I would definitely take the EL (we took it going to O'hare upon departing Chicago and it was really easy). Check in to the hotel was quick and efficient. We had a corner room on the 22nd floor with a northern view out of one window, and an eastern view out of the other - both of them of the Chicago skyline. Room was clean and beds were comfortable (we opted for two queen beds because we are engaged, not married, so I can assure you there was no hanky panky - just kidding, we opted for the king and I can assure you the springs are broken). All in all, it was a pleasant stay and there were zero problems. Other points worth noting: The homeless in Chicago are very friendly. Rush Street has some great bars. For breakfast we walked along Rush heading north about 10 minutes to Einsetin Brothers Bagels (worth the walk). Spend an afternoon at Navy Pier. It's beautiful there. Take the EL going back to O'hare (or Midway) - the hotel will give you directions and everybody takes it so you won't be alone. Be careful of Chicago's famous deep-dish pizza. You'll get fat.	
Aug 29 2005	Definite Recommendation for Anyone	Whether for business or pleasure, I think this is a great hotel. I was staying there for a wedding a few weekends ago and had a blast.Location: It is very centrally located and the advantage it has from it's rival hotels located on the Mag. Mile is that it is not crazy busy when you step out of the front door. The Mag. Mile is less than a 2 min. walk away. Several times, when my wife and I went shopping, we were able to run back to the Hilton and drop off our bags. We also had a couple of nice morning runs down to the Navy Pier and got to see the Air Show practice one of the mornings. Staff: People were very helpful and willing to help. The young, tall African gentleman at the door was helpful with my bags when I arrived and equally as helpful when we left. We must've asked about 50 questions to the front desk on recommendations for late night bars/clubs/eats and they accomodated each one. Rooms: Room was very clean and we did enjoy having the mini-fridge in the room w/ microwave for all of the left over food we had after eating out!We stayed in 2205, second floor from the top and had a great view of the Chicago skyline, including the John Hancock Tower.I will post pics soon. I would definitely stay there again next time I go! I just have to let my arteries clear of the stuffed pizza courtesy of Giordano's!	
Aug 28 2005	excellent hotel	We stayed three nights after booking a good deal on the Hilton website. The staff was extremely helpful and friendly. We definitely appreciated having a fridge and microwave in the room. The room was clean and comfortable. Ours was on the 18th floor and we had a view of the top of the Sears Tower and the cityscape. For the money it is a great hotel. Clean, comfortable, friendly, affordable and in a good location. I would definitely recommend it to others and stay there again.We also took a tour wich they recommend us was great . We are planning another trip to chicago and we ll stay for sure at the hiltons	
Aug 10 2005	Nice stay at the Hilton Garden	We stayed three nights in early August after booking a good deal on the Hilton website. We were able to walk to Michigan Ave. and the Art Institute without any difficulties. (We found a shortcut through Nordstrom's to Michigan. The store is very close to the hotel, just walk through and you come right out on Michigan. It saves a little time and walking.)The staff was extremely helpful and friendly. We definitely appreciated having a fridge and microwave in the room. There are two restaurants onsite: Weber Grill and P.F. Changs. Both will provide room service for a small fee. There is also a Starbucks kiosk in the lobby in the morning.The room was clean and comfortable. Ours was on the 18th floor and we had a view of the top of the Sears Tower and the cityscape.My only &quot;complaint&quot;: The pool is nice, but very small. The elevators can also be very slow at times.Overall, for the money it is a great hotel. Clean, comfortable, friendly, affordable and in a good location. I would definitely recommend it to others and stay there again.	
Jul 19 2005	Fantastic Staff	My friends and I recently went on a two week holiday in the states and visited New York, Vegas and finally Chicago where we stayed in the Hilton Garden Inn.I had a mixed experience with the hotels in New York and Vegas, however, found the Hilton Garden Inn to be fantastic. The staff were very helpful from the moment we arrived until we checked out. We stayed for three days and I was overwhelmed by the friendliess we recieved. The Webber Grill is a great restaurant with good old American sized porrtions and a large selection to choose from. Also the hotel bar had informal and friendly staff who were up for a laugh and once again couldn't do enough to make us feel welcome.The Hotel is located beside the magnificent mile and is therefore great for this who love to shop etc etc. Also there are plenty of bars / restaurants nearby for socialising and late night drinking!! I use Trip Advisor to help me book hotels and have never before written a review. I must say that the staff here were by far the best I have ever experienced. Everything from booking restaurants to recommending good nightlife to arranging travel to and from baseball games was all part of the service provided the guys at the Hilton.Definitely recommend it if you want a centrally located, Clean, modern and friendly hotel experience in the heart of Chicago.	
Jul 11 2005	Nice hotel. Great Location	Hotel was clean and in good condition. Staff was extremely helpful and was very good at giving us different restaurant ideas. Having been to Chicago numerous times, it was nice to get different ideas and having them pan out. Rooms were clean and had everything you would need. Not spectacular rooms, but very nice.	
Jun 30 2005 	Great hotel great location	I was very pleased with this hotel from the moment I walked through the doors. Every hotel employee was very friendly and the service was very good. The room was large, very clean and well appointed. There was a refrigerator, microwave and free high-speed internet access. The blanket was sandwiched between two sets of sheet, which was a nice touch. Also, while the hotel was full I found that at most I had to wait a minute for one of the elevators, a fact I really appreciated. The location is excellent - within two blocks of the magnificent mile, half mile from navy pier, mile from the Art Institute, near public transportation and surrounded by restaurants. The area also felt very safe even late at night. The only area that could use minor improvements was house-keeping. The last afternoon I was there I was changing to go out aroud 4:30 and house-keeping walked in without knocking as they had left some cleaning supplies in the room. They were very apologetic and mentioned that they would be right back with clean towels. When I returned at 7:30 there were still no towels and it dawned on me that there had been no new towels the evening before, we had had extras in the room and used them. I called the front desk - they were very apologetic, said they had had a problems with the linen service and that they would be right up with them. A colleague also had the same problem and found it necessary to call the desk. On a minor note I had made coffee the first morning and it wasn't replaced until the 4th day, and the sugar and stirrers were not replaced. If not for these house-keeping issues I would have rated this hotel with five stars.	
Jun 13 2005	Great hotel downtown	Stayed there 5/31/05-6/03. Location is excellent and close to Mag. Mile and Museum, Art Institute, Aquarium, and Planetarium. All are within walking distanceThe staff was very accomodating and allowed us to check in early and leave our luggage on check out to do some shopping.The breakfast buffet was terrific, but could use more fresh fruits. The only mild downer was the in-room air conditioner which was occasionally noisy at night.Would definitely stay there again and I'd give it a solid 3-3 1/2 stars.Galoha	
May 30 2005	Great Stay	Great hotel! The rooms are very clean and the bathroom is totally up-to-date. No problems with the plumbing, etc. No bugs, either. The staff is very nice, also. The Webber Grill is pretty pricey, but there are plenty of other places around there to eat at. I definitely would stay there again!	
Apr 27 2005	Good central location	This hotel is great if you need a cheaper option that is centrally located. The beds are nothing to write home about, but the room is clean, and the front desk is extremely helpful. The location cannot be beat - it's close to everything. I have also stayed at the Talbot and I definitely would rather be here. The service and location is better. They accomodated my every request. It is not a romantic hotel in style, but my boyfriend and I really enjoyed it.	
Apr 17 2005	Great hotel. Loved it and would return	Great value and centrally located for restaurants. Stayed here 3 nights after Easter. Saved $20 per night with Honors Membership. You'll get a free pass to Crunch which is a very nice private fitness club. Lobby connects to Weber's Grill which has great food. Michigan Ave is only a few blocks away. Had more fun shopping at the smaller shops on the side streets.	
Apr 9 2005	What a great place to stay!	My husband, son (11), daughter (9) and I stayed at the Hilton Garden Inn for three nights in March, 2005. What a great experience we had! The room was clean, the staff was extremely friendly and the location couldn't be beat. We got the internet rate of $109 which was a deal. It was great having a small refrigerator in the room for drinks (microwave too, although we didn't use it) . There's a great grocery store just across the street. The kids enjoyed swimming in the indoor pool--despite it's small size, it was perfect for them. We ate dinner at the Weber Grill and it was teriffic. Not one complaint about this hotel; I would highly recommend it to anyone!	
Apr 6 2005	Wonderful stay!	We just returned from a 2 night stay at the Hilton Garden Inn in downtown Chicago. It was fantastic. The staff was wonderful from the moment we checked in until we left...this included the valet at the door, the porter, the front desk staff and the maids. Everyone was friendly and went out of their way to make us feel at home. The room was average size and very clean. We were in room 2203 on the Hilton Honors floor (the hotel has 23 floors). Our room was far from the elevator and very quiet. We had a view of the Sears Tower...which our boys loved. Our 8 and 9 year old boys swam in the pool (indoors). The pool is a &quot;play&quot;pool and only 4 feet deep and not huge. It was never crowded and they had a great time. The spa held 5 people max. Although not used the workout room looked nice. We opted for self park since we knew we wouldn't be using our car- this is $21 per 24/hrs and does NOT offer in/out privlages. The valet parking has unlimited in/out privlages and is $35/day. We would recommend this hotel to anyone and would stay there again.	
Mar 23 2005	Beautiful friendly secure...	I work at a Hilton Garden Inn in another city and was not disappointed by the quality of this hotel, by any means. The guest service and valet staff was friendly, knowledgeable and accommodating.Our guest room was incredibly clean, at a comfortable temperature and even had a decent view, for being surrounded by high rises. We bugged the front desk staff multiple times for directions, locations of attractions, recommendations, etc. Every time they were just as happy to help as if it were our first question.Our do not disturb sign was on from check in to check out and we were not disturbed once! In my experience with past stays at other hotels throughout the years, a do not disturb sign still means we can be bothered about towels and such. It was a pleasure to have the room all to ourselves.Our stay was the weekend before St. Patrick's day. The parade was happening as well as the green coloring of the river. The elevators were only accessible by key card. It was nice to have such security with a hard-partying crowd outside! The hotel is connected with a P.F. Chang's and another great restaurant; the name escapes me-they make grills, though. These restaurants will deliver to your room, if you like!! There's nothing like Chang's chicken lettuce wraps and mago iced tea in your pajamas!!If you get the chance, I highly recommend the Hilton Garden Inn Downtown Chicago.	
Mar 23 2005	Great Weekend At The Hilton Garden Inn	Just spent a super three- day weekend at the Hilton Garden Inn. Got a great rate of $109.00 from the Hilton web-site. Not super fancy but very clean, new appearance. Staff were all very helpful and pleasant. Did breakfast each morning at The Webber Grill. Great location. Lots of shopping and restaurants within walking distance. Took the free trolley to Navy Pier. This DuPage County kid and friends are already planning our next get away to Chicago and will definitely stay here again.	
Mar 22 2005	Satisfactory stay	My wife and I stayed at the Hilton right before Thanksgiving in 2004. Average hotel but we weren't at the hotel very much at all. Good location and Weber Grill Restaurant in lobby is very good. Our rate was $139,	
Mar 16 2005	Great service great value	We stayed at the this hotel for three nights last week and were really impressed. For the money ($170 Hilton website) this hotel is a real value for its excellent location. The staff was consistently helpful and friendly. Excellent management.	
Mar 16 2005	Very pleasant hotel great value and great location	I stayed at the Hilton Garden Inn for 4 days after Christmas. I got a fabulous deal (less than $90 night: tax included). It was clean, quiet, a good size and a fabulous location. While it is not the height of luxury, it is comfortable and the surroundings are very pleasant. I literally could find no fault with the hotel. I would definitely stay there again when visiting Chicago.	
Mar 9 2005	regal hotel	The Hilton is a regal grand hotel. We stayed on the excutive floor. The room was a little small but a nice view of the park at a resonable price. Some freebee's are the beautiful Botanical Gardens, Lincoln Park Zoo, and Buckingham Fountain. Downtown offers an array of dinning. We ate at Fridays which was within walking distance to our hotel. Navy Pier is a must, but you'll want to find parking on the street. Second City is great for laughs at a reasonable price. The Shed Aquarium, although a little pricey is a Must see. For those romatics take a carriage ride around the city for about $30. There are lots of other great musems to visit too.	
Jan 24 2005	Very Enjoyable Stay	Have just returned from a 3 night stay at the Hilton Garden Inn and will definately be staying here again.The location was superb ; 2 blocks from Michigan Avenue and surrounded by a large range of restaurants and shops. The staff were extremely pleasant and friendly at all times and the whole hotel seems brand new and clean. The free internet access from all rooms is a huge bonus,as is the fridge in the room. The only small problem we had was that you had to run the hot tap for about 5 minutes until the hot water came for the shower.But I think this was more to do with the location of our room at the end of a long corridor with no adjoining rooms.I'd highly recommend this hotel for anyone on a Chicago break: and I'm usually a very fussy hotel guest!	
Jan 6 2005	Very comfortable	Though this place doesn't have the charm of some of the older hotels in Chicago, it is very clean and comfortable. The best part is the pool on the 12th floor. If there aren't a bunch of frat boys in the hot tub, you might actually get a chance to relax and gaze out the fully windowed walls for the great view. We paid $96 for the room (2 double beds), but I wouldn't go much more than that. Not that it's not nice, but you can get a room in the Knickerbocker for that much. This just feels like most other Holiday Inn type places.	
Nov 24 2004	If you get a good rate this hotel is hard to beat!	I stayed at this property Nov. 11-13. The hotel was very nice and very clean. The Weber grill downstairs has a great breakfast menu and a good atmosphere at night. The location is perfect. 1/2 a block from ESPNZONE, Hard Rock Cafe, Rain Forest Cafe, Michigan Ave. My room was on the 15th floor and had a great view if the Sears Tower. I booked the room through Hilton's website and received a rate of $115 per night. I will stay at this property next time I am in CHI-TOWN...	
Nov 4 2004	Would definitely stay here again	We stayed here for 3 nights in july. The room was very clean, spacious and had an amazing view. The staff were friendly and very helpful, we were shown to our room by a member of staff to check that we thought there was enough room for the rollaway beds that we required. There was plenty of room for the rollaway beds and they were brought up straight away. There was free internet access, a small pool, hot pool and small gym all of which we made good use of. The hotel is in a great location right outside of the El. We would definitely stay here again.	
Oct 9 2004	Great Hotel Fabulous Staff	We enjoyed our four day stay at the Hilton Garden Inn. The room was neat and provided a lot of extras including microwave, refrigerator,etc.- for a reasonable price compared to other hotels. A wonderful location located a block away from Michigan Avenue without the noise. The continental breakfast that we paid for extra was worth it and having Starbucks in the hotel was also nice. The staff was excellent and if you want to make reservations, have them do it- they will get you in! We will stay there again on our next visit.	
Sep 22 2004	Great Stay at the Hilton Garden	Very pleased with our three day stay at Hilton Garden. Staff extremely courteous, check-in took less than a minute. Both the room and bathroom were very clean. Room was not huge, just nice size with king bed, work table, sofa chair and ottoman. Room was quiet, only occasionally disturbed by noisy people in hallway and passing fire truck 20 floors down. Location is hard to beat; two blocks from Michigan Ave. Tons of good restaurants within a few blocks, not to mention the Weber Grill in the same building. Only minor complaint would be noisy fridge, but turning the fridge down from max to medium setting took care of the issue. Since I would not rate this hotel as &quot;luxury&quot;, I would have hard time paying the $290 flat rate per night. If you can get the room at a discount like I did, it's defintely the top choice. Valet parking a little pricey if you are staying more than two nights, you can save a few bucks with self park.	
Sep 16 2004 	great staff!	We stayed at this hotel with two small children while my husband was in town for a trade show. We've stayed at many downtown hotels and I have to say that I've never experienced such a wonderful staff! The valet guys, the bellmen, the front desk and even housekeeping were not only helpful in every way, but went out of their way to be friendly and available. They treated our children like honored guests! The hotel is clean, new and updated and has a good location - but the staff is what makes it an excellent choice.	
Sep 13 2004 	Excellent hotel	This place is what you should expect in a hotel. Great service, great rooms, great amenities, and great location. I stayed here for a trade show for two nights and was extremely pleased my entire trip. The location is walking distance or a $5 cab ride to anywhere downtown. Feel free to ask any employee anything about the city or the hotel because they all seemed competent as well as eager to help.	
