	A great spot!	We have always been pleased with our stays at Intercontinental hotels. Chicago was especially pleasant with a helpful staff.	
Jun 4 2008 	We were pleased	Check-in went smoothly but since we arrived so late (11 pm) there were no non-smoking rooms available with king size beds as we had requested so we took a non-smoking room with 2 doubles. A full size bed just isn't comfortable for the two of us so we each took a bed, not a big deal but I wish we would've arrived earlier to claim a king. We stayed in the new building on the 20th floor. We inquired at check-in about getting a room with a mini-fridge and the front desk clerk told us to request a fridge from housekeeping. They delivered one to our room the next day and it was free of charge. This saved us from having to go out to eat breakfast every morning since there is no complimentary breakfast at the Intercontinental. We bought cereal and milk and a few other items at the Dominicks around the corner. We were very satisfied with our stay at this hotel, all the employees were very helpful and nice. Just be aware that there aren't many free extras here. Food is expensive, both in their restaurant and by room service, and the goodie basket/mini-bar is of course overpriced. Wireless internet costs over $10 a day, so we left our laptops behind. Use of the fitness center/pool is also expensive so we didn't indulge. We paid $120 per night by booking through Priceline.com, we probably could have gotten an even cheaper rate if we'd waited longer to book but I was worried about getting a good hotel since we vacationed over Memorial Day weekend so I booked early. Our room was clean and comfortable and the staff was friendly and helpful. Location can't be beat, we would stay here again in a heartbeat.	
Jun 3 2008 	Surprise at the InterContinental	I was on a government trip and this hotel was one of the few good ones with the government rate. Upon check-in I was surprised to be given a special room on the 41st floor which had a elevator entrance, two bathrooms, loads of room, and great views. The hotel staff were outstanding and very friendly and hhelpful. The food was great. My only regret was that I hadn't brought someone to share it with.	
May 30 2008 	Great Location Interesting History Lackluster Service	Stayed here for 4 nights over the Memorial Day weekend. Only chose this hotel due to the fact that my family was attending a professional organization's yearly meeting held at this location. I was a bit concerned about staying here due to the many negative comments left by previous visitors. I have to say that overall it was not as bad as I had anticipated it would be. The location is great. The loby is very small and gets very crowded and noisy. I was able to check in early and get a decent room in the Historic tower--pay the extra money as it is definitely worth the view. All of the rooms are very small but comfortably decorated. The bed was pretty hard and the maid service was very spotty (despite tips and notes being left for them). I learned that the hotel has quite a history and that an audio tour is available. The meeting rooms on the 2nd-4th floors were quite a surprise--I won't spoil it for you--you MUST check out these unusual and beautiful spaces. The fittness area was quite nice, as is the pool. You must check out the pool--Ron Howard's film Cacoon &quot;pod pool&quot; sceen was filmed here. The meetings that I attended here were well done. The food and service were above average for such a busy and large hotel. There were many weddings, receptions, and meetings going on at the same time and the staff handeled them very well.This is definitely not a &quot;4-Star&quot; hotel, so don't expect it to be. There was no service whatsoever. The concierge was a joke, as were all the restaurants in the hotel. In short, the location and history are great. The meeting facilities were good. The room was small, clean, and comfortable. Service bad. Check-in OK. You must go eat at MK restaurant and Frontera Grill--both phenomenal and worth the price of the trip. The Sofitel and Peninsula are the primo choice for this city.	
May 29 2008 	All of the good none of the bad!!	Had made reservations at another downtown hotel, based on price, but still read every Intercontinental review, wishing and hoping we could stay there. Shortly before the trip, I found an ad on Travelzoo for the IC for a price less expensive than we were paying for a hotel two blocks off Michigan, and booked it immediately.Got in after an early flight, and the doorman met our taxi. He gave us receipts for the bags, and told us they would bring them to our room when the room was ready, so we were pleasantly surprised when we were told they had a room on the 25th floor ready for us then. We were checked in, and on our way to the room before 11am! AND, our bags beat us to the room! No upsell attempts, no glares because we had booked through a third party website, just a pleasant, quick, and courteous process.The room was small, sure, but no surprise there. It was, however, clean, comfortable, and very well laid out. Not much drawer space, and a beautiful flat screen TV that we put on for a total of 5 minutes to check the weather report. The view was facing the other tower, so nothing great there, but, I wasn't there to sit and look out the window.The room was quiet, even though it backed up to the elevators (didn't hear them, even once). The room was made up perfectly by the housekeeping staff...everything immaculate, everything fully stocked. Beds were extremely comfortable.The location is the prime #1 reason to stay there. Walking distance to everything, and overall, I have to say, this was the best hotel stay I have had in a long time. Highly recommend the Corner Bakery (they are everywhere) and, before you go here, do your homework, read the reviews, and go in with an open mind. You will be glad you did.	
May 27 2008 	Historic spendy and great location...	Well here we are on the last day of our four day stay over Memorial Day weekend and we have had an overall positive experience here. We paid the extra $50 on the advice of the earlier write-up and are glad we did. The view out the window on the 36th floor is spectacular, esp. room 3603. The folks here have been friendly, much like the city itself. There is one notable exception to this friendliness and that resides at the oENOology bar in the hotel. These people act like rejects from a bad fashion show in their snootiness and indeed the males there are just hostile at the outset. Prices in ENO are high, but the cheese and location is good. Try the Hook Cheddar if must patronize the place. It is great. Otherwise, there are many other places to have that preprandial libation.  You cannot beat the location of this hotel for Chicago.  The rooms are small. My parents room was like a shoe box. I understand that in the historic tower, it is a grab bag, but given the nick for the room rates, overall I would go another location down the street (Trump, Peninsula...if your wallet can stand the meltdown of your credit cards). If you do stay here, wander the meeting rooms on floors 3-5. They are amazing (the place was built by the Shriners and is quite historic.) Get a view room to be happy.	
May 20 2008 	How to have a great state at the Intercontinental Chicago	I've stayed at the Intercontental Chicago about 9 times. Most of the items I was booked at the hotel through Priceline, however, I have booked it direct with the hotel on several occassions.Here's how to have a great stay at the Intercontental. BE POLITE TO THE STAFF. They process hundreds of people each day and you'd be surprised how wonderful they are when you walk up with a smile and a hearty hello. I stay at the ICH Chicago a few times a year and I had always paid to upgrade to the historic tower. Always. It's a $50 upgrade, but well worth it, especially if you paid only $100 or so on priceline. When you buy the upgrade, try to get to the hotel right at check-in time and ask to pay for the upgrade. Don't ask for it for free... they never do it. Be very polite and ask for a corner room with a view of the river. However, if you go to chicago more than a twice a year, ask about the Intercontinent Ambassador program. I never join hotel programs, but one of the phone clerks told me it seemed to be a good fit for me. It's $150, but you get the following:1. Automatically get all your rooms upgraded to the historic tower. I used to pay $50 a night for this2. Early check-in. Usually they get me in at noon.3. Fruit, chocolate truffles, and Evian waiting in your room.4. Late check-out 4pm. Automatically. I love this.5. You get a FREE weekend night with the purchase of a FRI or SAT night stay. Let me explain how this worked on my first trip when i used it.I bought the program for $150. I booked Memorial Day weekend in Chicago. The city was booked solid, so my cheap room was $229 at the ICH Chicago. But I get upgraded to a $280 room and I got a second night free. Not to mention all the added perks, I saved $330 on my first trip for the $150 program. Plus I'll use it for upgrades throughout the year. Such a good deal if you visit even once or twice a year.Valet Parking is expensive ($50 per day) but the service is impeccable. Internet is also expensive ($15 per day if i remember right)... I wish it was free or maybe a one-time fee regardless of length of stay. Otherwise it's a great hotel with a great staff. Avoid eating at Zest. It's very disappointing.	
May 13 2008 	Expected so much more	I am sad to report that the Intercontinental Chicago was a waste of money and my priority club points. I expected so much more from a high end property and received so little. As a priority club Platinum (40+ weeks/year in priority club properties) I had some basic expectations such as express check in, friendly staff, a bathroom bigger than 3' X 3', clean rooms. At check in I had the huffy clerk who complained that she had to merge my record because I was using points and paying for my stay. She never looked me in the eye and made no attempt to be friendly. It went downhill from there. I noticed on several posts that some reviewers recommend getting the ambassadors club membership, but I would not pay a dime for that! I have spent over $21,000 on hotel stays this year so far and should not have to pay a single cent more to get some decent treatment and a decent room. Please heed the warnings of your fellow travelers and DO NOT stay here. I am from Chicago and believe me there are better properties where you will get what you pay for.	
May 13 2008	Wonderful Experience at the InterContinental	The hotel is great -- clean, quiet, beautifully decorated, good locaton and excellent, if not superior, service. I am sorry I did not get to see the pool.I would stay there again. In fact, when I travel, I now research InterContinental Hotels first.	
May 11 2008 	Bustling Hotel Great Location!	My husband and I stayed here two days while in town just for fun. We booked through Hotwire and were very pleased with the hotel, especially considering we paid only about $120 USD per night. We arrived at the hotel at about 10:30 in the morning fully expected to have to wait a few hours to check in, but were able to check in promptly. The only problem was that they were going to put us in a room with two double beds. I explained to the man that we supposed to have a king bed, and we would be more than happy to wait. He got a little agitated and told me that I could upgrade, and that if I book online, I am not guaranteed any certain room. I quickly explained that I had called to check my reservation two days prior and a certain girl with reservations had confirmed that I was guaranteed a king bed under my name and that we wouldn't mind waiting until a regular king came available. As soon as I said that, a king &quot;room&quot; popped up and we were in our room in a flash. Other than that, we had no problems with the hotel. Our room was on the 20th floor in the regular tower. It was small as some other reviewers noted, but there was plenty of space for the two of us. I liked the room because it had the feel of a European boutique hotel. The location of this hotel is probably the best hotel for shopping because everything is just right there in front of the IC and you can just head down the mile. We did have one meal (breakfast) at Zest and it was fine. Overpriced like all hotel breakfasts, but it was fine. Nothing spectacular and nothing bad. We had to check about 4 hours before we were scheduled to the airport, so they were able to hold our bags at the bell desk while we shopped some more. This is a great hotel for business and tourists alike.	
May 6 2008 	Good Hotel but....	First the good aspects - the rooms in the old tower are excellent - the swimming pool is fantastic ( and the staff in the gym area are great too). The situation of the hotel is tremendous and Chicago is a fabulous city. But, I wasn't able to check in until 9:30pm as the &quot;room wasn't ready&quot; , the dates that the check in people had were wrong and they took some persuasion that I had booked the room I was told that I would have to move room during my as the floors were being renovated - but that the room I was being moved to would be of the same standard - no problem. I was also asked to have my stuff ready for the morning of the move as the staff would move it. I came back later that day to get my new key only to be told that I had &quot;checked out&quot; - after a lengthy discussion I was told that I was still checked in and given a key to another room. The room was half the size of the previous room and next to the lift area - During the time that I was outthe airline rang the hotel to ask them to tell me that my flight had been cancelled - only to be told that I had &quot;checked out&quot; so I missed the revised flight time. - Thanks!	
May 6 2008 	Overpriced; Bad service; Great location	A colleague and I are currently staying in this hotel on business.The stay has been characterized by bad service and total lack of attention to detail:- No maid service provided for more than 1 full day, despite room service garbage lying around (half eaten food, etc.)- No laundry bags in room- Package shipped to hotel temporarily lost; Hotel requested I pick up rather than delivering to room once found- Room service unable to accept food order temporarily- Front desk clerk insisted on giving 2 keys to 1 person despite repeated requests for 1 key only- Front desk clerk did not provide mini bar key- Doorman provided wrong directions to nearby destinationOne might say the above are minor (except maybe the maid service) but at the prices charged (&gt; $400/ night) one would expect near perfection and in my experience one would get it elsewhere.The hotel has a great location on Michigan avenue and my room is nice enough, but there are many other hotels nearby including the Swisshotel, Sheraton, Fairmont, Hyatt, and many others.	
May 1 2008 	Had my ipod stolen	Had my ipod stolen while I was there. Management had me fill out paperwork for a claim. I was then directed to call a number to process the claim where the person would never pick up the phone and would never return a message. They said it wasn't their fault, you were warned not to leave anything valuable not locked up and you can't prove that anything was really stolen.	
Apr 29 2008 	would never go again...	I had never really thought of going to Chicago ,but a friend was going on a convention and asked me to go .After much research of Chicgo it sounded like a great place....Especially the Intercontinental!! When we arrived everything SEEMED really nice and we even Accepted the 50.00 upgrade. After thinking about it now ...that even seems ridiculous!!! The room was indeed larger with a pathetic view....and it was HOT so HOT in fact we were forced to ask for a FAN!!! Being from the SOUTH we are use to hot wheather but my God....having to open a window in a 5 star hotel? Tacky ,Tacky!! The mini bar had a Jr. size can of pretzels for 6 bucks..charming to say the least! The BAR downstirs had $11 cocktails and the Eggs Benedict at ZEST was cold.Needless to say the only nice thing they had going for them ,(except for the bartender who was snobby and Rude ) ,were the Bell men and the Maids!!! Thank God for small favors...Intercontinental on the Magnificent Mile? Not so Magnificent!!!!	
Apr 28 2008 	Very Disappointing Hotel	I booked one night at this hotel on Hotwire, and was very disappointed at not only the facility, but the poor level of service. When we drove up, no one came to the car to offer assistance with bags, parking, etc. The 3 of us staggered through the lobby doors with all our bags, while the hotel staff stood and watched. No one tried to even assist with the doors. The lobby is not particularly impressive, low ceilings, nothing distinctive. There were 3 chairs, yes, 3 in the lobby. The front desk person first tried to sell us a more expensive room, when she saw there were 3 people on our reservation. For $50-150 more per night, we could indeed get a nicer room. I wanted to stay with the $130 I was already paying. She said she was giving us a &quot;nice, larger, corner room, with a particial view of the lake.&quot; When we opened the door into the room we were shocked at how small it was. There was not even adaquate space to access both sides of the bed. Both beds had about 8 inches of wall clearance. One of us had to crawl in and out from the foot of the bed that night. There was no view of the lake, only the side of highrise condos, nothing but concrete in sight. There is room for ONE suitcase in the room, that is it. If you use the space available for the one, you also forfeit access to the window, as it blocks the narrow passage on that side of the room. The closet is approximately 40 inches wide by 14 inches deep, so very little storage there. We were climbing over our 3 suitcases and several smaller bags the entire time we were there. The bathroom is very small and poorly designed, complete with the type of industrial toilet found in a sports stadium. The toilet was dirty with brown grime around the base and lid. The shower was clean, except for the black mold in spots along the grout. I contacted the front desk to see if a mistake had been made, since this was not the &quot;spacious corner room with a lake view&quot; that I was told of. They would not acknowledge that a mistake had been made, and I was given the same speech on &quot;upgrading&quot; for a fee of $50-$150 if I desired a &quot;nicer room.&quot; I tried a third time, a little later, to resolve this issue, but by then I was convinced I was talking to a robot. The same speech on handing over more money if I wanted a decent room for my family. The star rating of 4.5 or 5, depending on which website you are on, is inappropriate for this property. 75% of said &quot;amenities&quot; are not included in the price of your room, therefore they are not true amenities, and must be purchased at additional cost. The final insult were the condoms that are available for purchase in the basket of snacks on top of the mini fridge. My child discovered these along side the $4 Snickers bar and the $6 mini can of Pringles. The Intercontinental rivals Motel 6 for level of service, inadaquate facilities and overall tackiness. (My apologies to Motel 6, as that may be an unfair comparison.)	
Apr 28 2008 	Nice Hotel but way overpriced	I stayed here for 3 nights on a leisure trip. The hotel is a fantastic location, and bellman/staff at front dest - were all excellent. The room was a king in the historic tower on the 19th floor, quiet, clean - however - way overpriced. I did pay full price for the room, but did not find the &quot;value&quot; of it to be worth it. Amenities are average, not first class which is what they market to the public. The maid service, cleanliness of the room were all great, but beware - there are a lot of hidden costs staying at this hotel - one already pays enough to stay there, but then you have to pay nearly 50.00 to park, 12.00 to use internet, 20+ dollars to workout, plus, plus, plus. Beware of the hidden costs, and book your room though hotwire - they offer no special discounts if you call them directly. For the full price - I expected a lot more. no turn down service, (i'm sure that would have cost extra) - overall a good stay for sure, but if you can somehow get the cost down....you might feel better about your &quot;value&quot; for your dollar during these hard times.	
Apr 27 2008 	Loved Chicago - who cares about the hotel!	The best thing about this hotel is the location on the Magnicent Mile, just walk outside and stroll down this street and immediately you notice the overwhelming array of shops and department stores. A shopping paradise for serious shoppers. The open top bus tour (hop on/hop off) station is also just two minutes away. Check in – We arrived at 5.30am and had booked a room for the previous evening, so check-in was easy and efficient especially at this time of the morning. We did notice later the hotel is extremely busy and queues were often seen.Room- Our room 556 faced Michigan Avenue “the Magnificent Mile” we had no real view as we were placed on the 5th floor. The room had a king size comfortable bed with lovely feather down pillows. A huge plasma TV sat on top of a cabinet and a good size-working desk was handy for catching up on work or e-mails. No broadband but Wireless High-Speed connection, which worked extremely well. A long red sofa bed was placed beside the large windows. Mini bar, safe and wardrobe were also neatly tucked into the comfortable spacious room. The room is not modern but had a 1930’s décor, which created a soft and cozy atmosphere. The bathroom was standard size with a shower over the bath; good quality Damana toiletries were also generously supplied. Breakfast – The breakfast is located on the second floor in the Zest Restaurant. One can order from a menu or have the hot buffet meal, which also includes a chef-cooking omelet’s. We thoroughly enjoyed every meal.Bars – There is a comfortable lobby bar offering cocktails, beer and wine located just near the reception. Eno is another bar, which is located in the Historical Tower lobby level and offers more than 300 varieties of wine and 35 different types of cheese and a selection of handmade gourmet chocolates.Next door to the hotel is Starbuck’s coffee shop, which we found incredibly handy.Facilities – There is a fabulous heated swimming pool located on the 12th floor in the Historical Tower. The pool is a junior Olympic size with beautiful blue Majolica tiles with a fountain of Neptune on the east wall of the pool. The gym is also located on this floor. An ATM machine is located just near the Business Centre in the Historical Tower on the lobby level.Overall – I have given the Intercontinental Hotel 5 star rating for being a beautiful landmark building located in a prime position in Chicago offering comfortable quality rooms. There’s nothing I can say I disliked and we thoroughly enjoyed our five day stay.We actually loved Chicago with its excellent shops/restaurants/cafes it's a fabulous city for any traveller to visit.- highly recommended by Ellemay !! Shops or food - its hard to decide which gets my 5 star!	
Apr 26 2008 	What a disappointment	We stayed here several years ago and had a vague but favorable recollection of the visit. We stayed in the older part and enjoyed the traditional but updated room. This time our suite was in the newer tower and was not charming or comfortable. The windows were too high for looking out and so dirty that our limited view was obscured. The sofa bed for our daughter was the worst we have encountered. All this for a price that seems much higher than in the past. In spite of the great location, I doubt if we will stay here again.	
Apr 22 2008 	Price of parking was ridiculously high!	After a wonderful day &amp; evening in Chicago, my husband &amp; I were very unpleasantly surprised to find out upon checking out the following morning that the parking fee for one overnight at InterContinental Chicago was $49! Yes, this hotel is right on Michigan Avenue, and yes it was a nice room, but $49 for one overnight of parking seemed inordinately high. The usual $35 parking per night in Chicago is high enough, but $49 was over the top; we will not be staying at the InterContinental again! (We booked our room through HotWire, which does not give you the parking fee costs before you book, so we'll also be very leery of using HotWire again.	
Mar 29 2008 	Great experience -- get the hotwire price	The Intercontinental is a great hotel, with helpful and pleasant staff. It's in a very central location, just north of the river on Michigan Avenue. The facilities are high quality, and there's a very good wine bar connected to the hotel.But you will normally pay relatively high prices for it. We were fortunate in that we got our reservations through Hotwire and paid a very economic price. One negative: they charge for extras like Wi-Fi and the gym. Other than that, this is an excellent place to stay for a visit to Chicago.	
Mar 28 2008 	better than advertised	I stayed here two nights for a meeting, and I am much happier than most reviewers. My room was a corner room with a king bed. there wasn't a lot of walking area, but everything was here, including a robe and couch. I liked the furniture and decor, and the TV is a big flat screen. The bed and linens were excellent quality. I did not find the staff unhelpful. In fact, I found everyone nice. The wine, cheese, and chocolat bar was really good, and they serve their food in the regular bar area, which made for a pleasant evening. People are right who complain about the hotel charging for everything, but if I paid $100 on hotwire or priceline for this, I would be extremely happy. the workout center is very good, and the pool is absolutely gorgeous - a throw back in time with lots of chairss, tiles, a real deep end. Do not miss this if you are a swimmer. In short - great location, very nice hotel, and a bargain if you get this via a discount broker given everything.	
Mar 25 2008 	Great Hotel........Awesome price through Priceline!!	My boyfriend and I stayed at this hotel for four nights. Booked it through price line at $100/night (taxes included). Nice hotel and great location!Would stay there again.	
Mar 23 2008 	Fantastic Stay!	We recently stayed at the Intercontinental Hotel for a week. The hotel was in a wonderful location and the service was great.We found all of the staff very helpful and prompt.We highly recommend the Intercontinental for any travel needs whether it be for business or pleasure.	
Mar 17 2008 	Good Hotel Excellent Location	I recently stayed at the Intercontinental. I booked throught Hotwire and it was around $100/night which was absolutely worth it. The hotel is right on Michigan Ave. across the street from Nordstrom and Starbucks is in the hotel too. I was able to walk to the Hancock Observatory (15-20 min walk), the art institute and Millenium park (15-20 min walk) and all the major malls and shops. The hotel itslef has a nice lobby and the rooms are clean and relatively modern looking. Our room was small and I couldn't get a room with a Queen and had 2 double beds instead-but not a big deal. The concierge was able to give me advice and a list of where to go, maps, etc.. They did however want to charge you for everything you wanted to use (internet was pretty expensive, the fitness/pool area was I think $12/pp just to use it, toothbrush etc)It wouldv'e been nice if they had a jacuzzi as we did a lot of walking and it was very cold so it would've been nice to come back to that at the end of the day but oh well!Tip: The Subway (Blue line) from the O'hare airport (ORD) was very easily accessible and only $2 per person. It's almost an hour ride and then when you get out of the subway just grab a cab and it's a $5 ride to the Intercontinental airport. But, if you have really heavy luggages or a lot of luggages, there was a point when you get out of the subway, there's a flight of steps to get out onto the street. Overall I was pleased with the Intercontinental hotel and would stay there again. If I was paying a lot more, though, I wouldv'e expected a bigger room with a queen bed. I don't know if that was just there standard room, or if I got that room because I booked it through Hotwire.	
Mar 10 2008	nice place	Beautiful hotel with a really neat wine/chocolate/cheese bar adjacent. Our room was clean and quiet. We had a view of the lake which was nice. The pool was gorgeous!!! We didn't use it but we did go down to check it out and were impressed--the pool water was warm. The only reason I didn't give 5 stars is because the hotel charges extra to use the workout room--I thought that was a little lame. The pool was free though. We'd stay there again but I would be disappointed if I paid a lot for the room and then couldn't workout.	
Mar 9 2008	Service doesn't come close to 4 stars!	The hotel is beautiful. Nice flat screen TV, great view of Magnificent Mile, nice furnishings. We got the room for $79/night through Hotwire. To be honest, I wouldn't stay here again, even if it was $59/night. The service was terrible - the concierge was away from the desk, and no one else would help us find a good place to eat/drink/dance. Finally, someone told us about a great place to go on the other side of town - Sangria. We had a minor with us, and he said that they accepted 18 and older in the club. So, we took the $15 cab trip there, and Sangria told us that it was 21 and up only. So, we went all the way back and complained. We asked the front desk to refund us for the cab rides, but they said that they couldn't do that. They gave us a coupon for a free drink, but by the time we got back from our room, the bar was closed. Everyone behind the front desk except for one person treated us like we were just second rate. On top of all this, EVERYTHING costs extra - even the toothbrush/toothpaste, just in case you forgot yours, costs $2. If you have an endless pocketbook and love to tip generously, I'm sure your stay would be wonderful, but if you're like me, you'll grudgingly hand over $1 by $1 for tipping and extras, adding up to be just as much as you spent on the room originally!	
Mar 9 2008	great location	great location! walking distance to many of the chicago hotspots	
Mar 5 2008	Good but not great and Priceline folks beware	Checked in at 11 a.m. on Friday, Feb 29. Asked for 2 double beds and was told they had absolutely none (at 11 a.m.?). I know this is a chance you take on Priceline, but felt we were *caught* in having to upgrade to a &quot;historic tower room&quot; just to fit a rollaway in the room (we had 3 adults). We had no option to call the front desk bluff except to accept a king bed for 3 women (which honestly we did consider) or pay $50/night to get a bigger room. We still got a great rate and ended up paying less than $100/person for 2 nights.The room itself was nice, but not great. We looked South at another tower (new?) and could see a silver of Michgan Avenue. The bathroom vanity area is TOO NARROW. It's ridiculous in fact unless you're a man or woman w/no hair products, make-up or hair appliances.The outlet situation is worse. There is ONE outlet accessible near a mirror outside of the bathroom (which does have an outlet, but no space to set a hair dryer or curling iron) and it has the nightstand light and clock already plugged in. You can use the mirror in the dark (unplugging the light) or without knowing the time (unplug the clock). Would it kill them to offer a power strip? Another outlet is available nearly behind the tv (no mirror nearby) or by the desk (with NO mirror again). Apparently women aren't supposed to get ready anywhere but the bathroom (with the tiny vanity).The sink drain was locked shut upon arriving and required a call to Housekeeping to open. The promised rollaway (which was to be delivered between 12-1 p.m. per the front desk) was not in the room at 6 and after 1 call by us and 4 callbacks from &quot;Tiffany&quot; (I will give them credit for checking back with us) it arrived near 8 p.m. The service was apathetic for the most part and although the location is perfect and the hotel itself is beautiful (tour the meeting areas on 2-4), I think this is just an average hotel, maybe 3 star, but certainly not 4.	
Mar 3 2008 	Will return hopefully soon	First off, we got a great deal through Priceline which is risky. Sometimes it works, sometimes it doesn't, but this time, my husband and I scored big! They upgraded us to the refurbished vintage section of the hotel. The room was huge, the view, well there wasn't really a view, but that was okay. We experienced three situations that required a phone call to service, who responded in a very timely manner and followed up with a phone call to make sure we were satisfied. Even when we called at 2:00a after a night out and discovered the heat wasn't working properly. They were in our room within 10 mins and fixed the problem. We had wine, cheese and chocolate at the wine bar ENO. The cheese/chocolate/wine selection was awesome, but unfortunately the service was SLOW! We got there around 7:30p on a Sat. and the wait staff seemed completely overwhelmed and not at all prepared for the Saturday crowd. Not at all romantic. We would return in a heartbeat.	
Mar 2 2008 	Will return!!	Maybe it was because we were coming from staying in the Embassy for a couple of nights, but I was totally impressed with the InterContinental Chicago. We were in the new tower and the room was small but decorated really cute. Beds were comfy and rooms were clean.You can't beat the location -- within walking distance of everything!! There is even a free trolley that goes to Navy Pier and drops you off literally within steps of the front door. The concierge were very helpful and polite. If you like wine and atmosphere, Eno is a must!! Very, very cool! I got this hotel for $90/night on Priceline so that may be another reason I liked it too.	
Feb 28 2008	Great location but average hotel	I want to be fair. The place is decently decorated, the rooms are clean. But it doesn't feel like a 4 star. The room service meal was cold and wasn't prepared to a culinary delight. Most of the staff was not very professional or courteous. I left feeling like I was at 3 star. The location is great for Michigan Avenue shopping and sites. For those who don't mind lackluster service, the hotel isn't that bad. The price was also reasonable.	
Feb 23 2008 	An oasis on Michigan Ave	Stayed at the IC Chicago several times. Keep returning for the location, pool and fitness center. Walk out the door right onto one of the most vibrant streets in the US. I am a bit of a pool buff and the IC boasts my favorite indoor pool in America. Fitness center includes some free weights, good range of machines, and a sauna.Service is pretty good, although check in lines can get a little too long during busy times, and although the staff are very professional, they are not as friendly as you expect at a top notch hotel.	
Feb 20 2008 	A great introduction to one of the great cities of America	My wife &amp; I drew this hotel via a conference at which my wife was presenting. It was a wee bit pricey (even by conference-rate standards) but we wanted to be sure of a good night's sleep after a punishing trip from Australia. We were not disappointed!The building is truly lovely - a mixture of renovated 1920s and more recent. We offered an upgrade via their travellers' club (I forget the exact title), where the membership more than paid for the upgrade (plus assorted discount / accommodation vouchers). We opted for this after an exhausting 31-hour journey from home, and were very glad to do so - 2 large bathrooms, a living room and a huge comfy king-size bed.Our area was very quiet, and the room was quite dark with the heavy curtains drawn - almost causing our downfall the next day, as we slept solidly until 11am (due to jetlag) and my wife's showtime was 1pm (my fault - I should have set alarm).Staff were very good and obliging. Door staff were friendly and efficient (and many of them were cricket fans, so we talked cricket a bit). Service problems were promptly fixed - the CD player in our room was not working but a replacement came within 10 minutes of a call.There were no tea-making facilities in our room (eg electric kettle), but house staff very obligingly brought a jug of boiling water each morning at the same time (we used to this to make our own breakfast).Location is mind-boggingly great - at the top of the Magnificent Mile and within cooee of the business district. The short walk to the subway station is a bit obscure - not signposted, and you have to cut through the Westfield Centre over the road - but we figured it out by studying the map plus asking concierge.We did not really use the restaurants in the hotel. Thanks to the great location we were happy to try different cuisines in the neighbourhood. We did visit the bar late at night (weeknights), and found it restful and quiet (which is just as we like it).Chicago had a unusual early-spring snowfall during our visit. The footpaths were generally lethal, but the door staff assiduously kept the footpath in front of the hotel de-iced. This was the true mark of their magnificent service - attention to small but potentially very uncomfortable) detail.The hotel has a business centre, including pay-as-you-go internet on in-house computers. As we did not have our own computer present i do not know if there is WiFi to rooms.I cannot comment on car-parking facilities because we used public transport.All in all - a truly memorable stay! Extraordinary.	
Feb 18 2008 	Excellent location	This hotel has a great location! Right on N. Michigan Ave., you are within walking distance to everything. Our room was very nice, the bed was one of the most comfortable I've ever slept in. We ordered room service one night and it was only average, not really worth the price. And if you're planning on taking the train from O'Hare be prepared for a little bit of a walk, about 6-8 blocks. Other than that, great hotel, would definately stay here again.	
Feb 16 2008 	Excellent Stay	My boyfriend and I went to Chicago the week of Jan 28-31. We stayed at the Intercontinental. Before we went we signed up to be a priority member which was free to do. We got our room for $75 a night through hotwire. When we got there we expected to be in the new tower since we had booked at the cheaper rate but when we got there we were upgraded to the historic tower for free. Check in was not until 3 pm but when we got there at 9 am we got checked right in. The room was on the 24th floor. It was spacious and clean. The bed was very comfortable and the view was nice. The staff was very helpful especially the concierge. We didn't eat at any of the hotel's restaurants because there were so many options around. The location can not be beat. You can walk anywhere. There are tons of restaurants and shopping right outside the door. I will definately stay here again the next time I go to Chicago.	
Feb 16 2008 	Good location	We had previously stayed at the Fairmont, but they were unable to accommodate us, so recommended this instead, and we thought it was better than the Fairmont, and the location was excellent.We got a good rate for a junior suite, which was lovely, with good sized rooms. Room service was prompt, and all the staff were helpful.The breakfast was good, included in the room rate, with an excellent choice. However, at dinner, the restaurant seemed very cold - even though it was below freezing and snowing outside, we got the impression that they hadn't turned the heating on in there until we sat down. For such a large hotel, it seems strange that they only have one bar and one restaurant, plus a wine bar. The bar was overflowing with conference attendees, so impossible to get a drink there. And unlike other Intercontinentals we have stayed in, it doesn't have a club floor, which seemed a bit strange.	
Feb 14 2008 	Solid Service and Amenities with Great Eco-Practices	The Intercontinental Chicago is centrally located to the Magnificent Mile, has nice guest rooms with good amenities, a Starbucks inside the property, and solid service.On top of all of this, the hotel has a couple of very special features:-an aggressive greening campaign throughout all of its operations - including energy efficiency, waste management, water efficiency, and guest communication about eco-friendly activities.-a spectacular art deco swimming pool and several common spaces that are truly unique and grand in an historic, old-hotel glamour way.My stay was competently executed for the most part; the bellman was particularly accomodating. My only complaint was that my 5 am wake-up call came at 5:30 - but anybody who depends solely on the hotel wakeup call and doesn't set their own alarm deserves what they get. Beds were very comfortable with high quality linens; even small rooms and nice extra furniture and room to work.	
Feb 6 2008 	Sweet!	Great location, great price. You can run towards the lake down side roads. Close to shopping and tonnes of restaurants. Safe surrounding area. Few blocks from closest train station!	
