	Great hotel!	The staff was amazing.The breakfast and dinner was perfect. Saved us tons of money and was perfect for the kids.Great location!	
Jul 30 2006	Great stay great location!	We stayed at the Homewood Suites in Downtown Chicago for 3 nights inearly July 2006. Almost everything about our stay was positive. We arrived early and our room was not ready yet, but they have luggagestorage, so we stored our luggage and headed out for the day. Our roomwas ready when we returned and check-in was easy. The bedroom had avery comfortable bed, although the pull-out sofa bed was not ascomfortable. The bathroom was nice and large, although there was not anon-slip mat to put inside the tub. Having the fridge was nice so thatwe could store some drinks or snacks. Breakfast in the morning was very good and there was a lot of food.Eggs, corned beef hash, sausage or bacon, waffles, fresh fruit, bagelsand yogurt. There was no need to go out for breakfast. The onlydownside to the breakfast is that the room is a bit small for all thehotel guests, so there is sometimes a short wait to get seated at atable.The staff was knowledgeable about the area and provided us with goodsuggestions for dinner (the Weber Grill restaurant and the Rock BottomBrewery are both very close by and both are really good).The ONLY unpleasant thing about our stay is the noise coming from thefloor above our room. We were on the 16th floor in a corner room andthere may have been a boiler room or utility room above us because therewas banging and noises like thunder above us almost all the time. Wethought to ask for a room change, but we just weren't in our room longenough for it to get really annoying.Check-out was simple and since our flight was later that night, westored our luggage all day and spent our last day out and about thecity.Overall, I would highly recommend this hotel to anyone. It's one blockfrom Michigan Avenue and close to shopping, restaurants, trolley &amp; busstops and the El. We would definitely stay here again.	
Jul 26 2006 	Perfect Location for Shopping!	This is a great hotel for shopping. It was very clean. The food was good. Location was great, subway hop just 1/2 block away.	
Jul 11 2006 	Fabulous	This hotel is one of the best we have ever stayed in. The staff was incredible. They bent over backwards to help us out. Everything was spotless. I can't say enough about the great hot breakfast. So many choices...everything was delicious. The &quot;Welcome home&quot; reception in the evenings was enough to make a dinner from. The pool was warm, clean and had beautiful views. To top it off, wireless internet service is included free. Other hotels in the area charge as much as $16 a day. If you are planning a trip near the miracle mile, this is the place to stay.	
Jul 10 2006	Great Location and Good Hotel	We stay here anytime we goto Chicago. It's not the best hotel I've ever stayed but its pretty decent. We have to have a suite with 3 kids, so for the great location and large rooms we love it. Great breakfast and we've always had clean comfortable rooms without any issues.	
Jun 24 2006	An excellent hotel - no major complaints.	The Homewood Suites is a Hilton all-suites property located in a near-perfect location, tucked away in a retail area a couple of blocks away from Michigan Ave. There's not a grand entrance, but a small entryway that holds the elevators to go up to the lobby (6th floor; rooms are floors 7-19, which does lead to some reduction of street noise), some brochures and a few other odds and ends.The lobby area is actually quite lovely, with a &quot;lodge&quot;-like feeling that doesn't come off as impersonal and forced (in other words, it doesn't feel like a generic, chain attempt at a lodge feel.) There's cozy, plush couches in the lobby area and free coffee/tea available while you wait. The reception desk is at the end of the lobby and holds about two or three check-in desks. I was a little surprised, as while I was there on a fairly quiet day, I have to imagine that, with only a few check-in counters, there is a fairly decent line at times. Check-in was pleasant and uneventful (we did have to wait a few minutes, but that was understandable, as there'd been a convention in town that wrapped the night before), although the check-in time is a bit dismaying - a rather late 4pm.for a room.The room assigned was right by the elevator, but I didn't complain, as I'd paid less than half the $200-a-night price by luckily finding the hotel on Hotwire. There were a couple of instances where the elevator opening could be heard, but it was truly minor and really couldn't even be heard when the TV was on.The rooms themselves are quite nice, as the 1 bedroom rooms offer a large, open kitchen area, a living room with couch/chair and TV, bedroom w/additional TV, dressing area w/sink and finally, additional small area w/toilet and shower. The kitchen area is fully stocked, with dishes and some pots and silverware. There's also a dishwasher, microwave, oven, frig, plenty of cabinet space and small dining room table. The refrigerator has an ice maker in the freezer, so you don't have to wander down the hall. There's also a coffee machine.As for the refrigerator, there's a Jewel grocery store on State St. a few blocks from the hotel (half a block North of the corner of State/Grand, West side of the St.)Additionally, all of these things aren't jammed up together - there's quite a bit of space between the kitchen area and living room area. Didn't try the high-speed internet, but the sign noted it was now complimentary and there was an outlet right next to the dining room table/desk.The TV offered plenty of channels and the usual assortment of pay-per-view movies. Shower offered 4 different settings and the bathroom area was clean and generally well-maintained. Toilet was a tad noisy w/the tank refilling, but otherwise everything was fine. Overall, the room was fresh and new. The refrigerator was spotless inside and the entire kitchen area looked crisp and clean. Aside from what appeared to be a small drink spill stain on the rug that was barely noticable, the room did not seem worn in any way. The hotel was built in 1999, but 7 years has not seemed to do much to it, as it looked even a little fresher than that.The room didn't offer too much of a view (pretty, but nothing too astonishing), but given the location, I don't think any of the rooms in the building are going to offer too great a view, although some of the higher ups may be better off. You're definitely not going to be looking at a brick wall, but I think it's generally a look across at the nearby buildings, as well as some views of the surrounding area. The pool area on the top floor was quite pretty - not a giant pool, but a nice enough one that provided a pretty nice view of the surrounding area. There is also a mid-sized fitness room on that floor, as well. A very small laundry room is on the 7th floor. There's a small gift shop area next to the reservations desk.Homewood does also offer breakfast every morning from 7-10; there's a nice selection of eggs, meat, breads, pastries, cereal, juice, pop (because Diet Coke is part of a balanced breakfast, at least according to me) and more. What really surprised me was the extent of the area - the dining area is quite large and quite lovely; there's quite a bit of seating and you don't feel as if you're crammed in.Additionally, the hotel does serve a dinner reception from Monday-Thursday. Didn't try it as I was there on a Friday, but was impressed with the wide variety of options offered (there's a different kind of food each day, noted on the calendar on the refrigerator in the room.)Those who don't want to be in a hotel where there's a lot of kids running around being loud and unsupervised are probably not going to find that here. While family-friendly, the way that the hotel is set-up doesn't allow for a lot of run-around room and I'm guessing that more families opt for either of the nearby Embassy Suites properties. While I did like staying at the Marriott Residence Inn (another all-suites property downtown) a bit North of this hotel (the Residence by Water Tower Mall), this hotel seems much fresher and more modern and has more to offer.That said, I really did like this hotel a great deal. It's kept up well, comfortable, has a very nice staff, big rooms and a terrific location that is very close to Michigan Ave. without being right on it. There's also a subway a few blocks away at State/Grand. Definitely a good choice for families or travelers who are looking for additional amenities (kitchen, breakfast) and more space.	
Jun 10 2006 	Perfect hotel!	This was my third trip to Chicago and I finally found the perfect hotel! The location is excellent, walking distance to many sights and great shopping. Abundant restaurant choices within a few blocks. I was there for the GlobalComm conference and the shuttle buses to McCormick Place picked us up everyday right around the corner. I would advise against valet parking. The rates for that are very expensive, but a car is not necessary anyway. Our room was one of the smaller suites, but very cozy and well-appointed. The cleanliness was impeccable. The staff was friendly, efficient, and helpful. It was so convenient to have the full kitchen, complete with dishes, utensils, etc. Housekeeping even empties the icemaker before you check-in, so you get fresh ice. Housekeeping loaded and ran the dishwasher everyday. Fresh linens and towels were given everyday. The king bed was very comfortable with fitted sheets! Hotel beds with all flat sheets are a pet peeve of mine. Towels were thick and soft. Very nice pool on the top floor with a great view. We were on the 11th floor overlooking Nordstroms. We left the curtains open at night and the lights of the surrounding tall buildings made a nice nightlight. The free hot breakfast was phenominal...eggs, bacon, waffles, potatoes, all sorts of pastries, fruit, etc. It was great to get take-out trays and eat in the comfort of our room. We didn't try the evening manager's reception, but I will endeavor to do that next time. Wireless internet worked great on my Mac laptop. I was disappointed that no one helped with our luggage when we arrived, but they made up for it on our way out, watching for our airport shuttle and handling the baggage for us. I recommend the Cosi Restaurant across the street for lunch. Mary's Cafe down Grand Ave on the other side of Michigan is good if you don't want the hotel breakfast. Buca's Italian Restaurant on the corner is excellent, inexpensive, and very friendly. Overall, I couldn't have found a better place to stay.	
Jun 8 2006 	Good location wonderful breakfast	Stayed here on a Thu/Fri for a business conference. Great location - lots of restaurants and shopping within an easy walk. Hard to find when driving - sign is not very big at all. Valet parking is a deal - only $1/day more than parking myself - definitely worth it.Carpeting in room was a bit shabby, but bed was excellent and everything seemed clean. I did not use the kitchen except to keep some drinks cold, but everything appeared to be in good shape.I did not try the evening meal (only available the Thu I was there), but I did eat breakfast both mornings and it was VERY nice. You could make your own waffles, plus cereal, pastries, sausage, eggs, corned beef hash one morning, etc. Also fruit, juices, toast, yogurt, potatoes, etc, etc. It was the nicest included breakfast I've had in a while.Staff were very friendly, room was very quiet and had good drapes for blocking the city lights.Were I looking for something in that area again, I would definitely stay there.	
May 29 2006	We Love Homewood Suites	We stayed at the Homewood Suites on May 26 and May 27,2006 and absolutely loved it. The location was close to everything we wanted to do,the bed was fantastic,the staff extremely accomadating and the price comparable to other hotels nearby. We paid $199/Night. It was very convenient having the kitchenette at our disposal. We went to a nearby store(White Hen) and bought snacks, Milk, Pop,etc and had our refridgerator and microwave at our fingertips. The big surprise was the free breakfast in the morning. They told us there was a buffet breakfast,but we thought cereal and donuts. We were pleasantly surprised to find a full breakfast with eggs,potatoes, ham ,biscuits and gravy, juice,cereal ,everything we could possibly want....Our suite was pleasant and impeccably clean. We will definately stay there again .	
May 26 2006	Yuck!	My Dad booked us a hotel in chicago, I let him because he loves using the internet to save money. This time, we arrived at a dirty, tiny, almost falling apart suite for a week. We paid $350/ night and it was a stupid waste of money, The sheets were old and crusty and the blankets were coming apart. The kitchen was old and moldy. I hated it.Good luck!	
May 12 2006 	Reliable Hilton-Brand Lodging	Stayed here on business May 4. Also scouting for a family trip in August and this is the nicest of the three suite type hotels I visited. The Hilton quality control is evident in staff appearance and behavior, clean comfortable rooms, and create an overall good feeling about the hotel. Living room is a little tight in the suite (if the sofa bed were folded out it would be against the TV screen, the room is that narrow). Kitchenette is a nice touch and bedroom and bath were nice. Didn't avail myself of the breakfast or evening food/drink but that is a nice touch also. Rates vary: I paid $245 on this Thursday business stay but booked rooms for $170 for a Wed-Sun stay in August for my family, so check different dates, AAA discount, etc. to get best rate. Hotel is next to the train station for sightseeing.	
May 7 2006 	Great affordable hotel especially for a conference stay	I recently spent three nights here (should have been four, had it not been for airline problems) and was very pleased with the quality of the stay and especially with the kindness of everyone I encountered there. Although our rooms weren't ready when we checked in, we were given a bottle of wine and were treated very well. I happened to know that the hotel was fully booked due to a huge conference and I thought the hotel staff handled it very well. The breakfast was a full, hot breakfast and was very good. We didn't take advantage of the free dinner, etc. Our rooms were clean and in very good shape. They were sufficient for our stay and were very comfortable. This isn't high-end sophisticated romantic luxury stuff......but is great for a shopping or business trip. Location is terrific.	
May 1 2006	a real gem but shop for best rates	This was quite the find in Chicago. Good location (across the street from Nordstroms), hot breakfast included and clean &amp; quiet. The place was full of families and travelling school groups but we never heard any noise. Not the place for an intimate rendezvous! We had an amazing rate in January - when we went to stay again in April it was triple the price.	
Apr 28 2006	Good value nice location	Our family of four stayed three nights and were very satisfied overall. Good location in town walking distance to Michigan Avenue shops, John Hancock Building, Navy Pier, free trolley and other public transportation. Rooms and public areas were clean with nice decor and great views. It was slightly less expensive than other area hotels, and the free breakfast made it an even better value. Food at the weekday &quot;dinner&quot; was mediocre, but we enjoyed having a free beer or soda and chips during that time. Free high speed internet access worked well, and complimentary admission to the Crunch Fitness next door (including classes) was the icing on the cake. Rooms on the small side even though we had a larger 1 BR suite. Not enough storage for a group of four (one three-drawer dresser and a closet with 10 hangers). Kids enjoyed pool on top floor - great views. Only real complaint - we had our bags held after check out while we did some sightseeing, and were assured they would be placed in a secured area. When we returned hours later, they were behind the bellman's stand in the first floor entrance area - not exactly what I'd consider secure considering it is open to the public and not always attended. Fortunately, nothing was stolen and we had a laptop in one of the suitcases.	
Mar 8 2006	great stay	Clean rooms, Great breakfast, Friendly staff, Great location,Nice pool(a bit small but it's a pool)I would recommend this hotel to anyone.	
Jan 1 2006	Pool and a Hot Breakfast make this hotel stand out!	This hotel is a pretty good value. We had a king bed in the bedroom, a large bathroom, and a living room/kitchen with a pull-out sleep sofa that was actually comfortable. The kids loved the cookies, bottled water, and popcorn they give to their guests. The location is excellent. Bloomingdales, Nordstrom, ESPN Zone, and several great restaurants are within a few blocks. A free trolley runs to Navy Pier. There are a few drawbacks that have been mentioned earlier. DO NOT USE THE VALET PARKING!!! Some things we put in our storage compartment were scattered on the floor of our van. Forunately we didn't leave anything of value in our van and haven't noticed anything missing yet.	
Dec 15 2005	Best value downtown	Stayed at the Homewood suites for a weekend (Nov 11) and it was just fine. Good location, good condition, clean large rooms, very nice having a kitchen and separate rooms. No complaints at all. I'd stay there again anytime.	
Nov 14 2005 	Best Overall Value without major sacrifices	This is the best value for the dollar of any downtown hotel, and that's coming from a pickey,critical and frugal traveler. I will try to stay there whenever I'm in Chicago again - and I researched tons of places. The good: 1.Prior to check in I had requested a corner room 'X18' as all the '18's' are corners. Check in was smooth but room wasn't what I'd requested. I called the desk and they changed the room right away without any hastles. Had 2 great views of downtown lights and it was quiet 2. The room was clean on arrival, cleaned properly daily (I leave small coins around to see how good the cleaning crew is), and the linen was changed daily (I put little &quot;x's&quot; on the corners - told you I was pickey).3.New soaps daily too.4 large refrigerator for ice and leftovers. 5. staff was friendly and willing to help with directions and suggestions of where to buy things from wine to restaurants to take out. 6. location great - I could walk everywhere downtown, but not to the convention center 7. the breakfast provided was really very nice and included everything - eggs, cereal, yogert, fruit, juices, breads/rolls/bagels/etc., coffee, skim milk, tea, etc. with bananas,oranges,apples you could take out (for lunch).You could even get a take out plate to fill up with breakfast if you wanted to take it back to your room! 8.the afternoon/early evening food included beer/wine/sodas + snacks + light dinner, like baked potatoes with your choice of multiple toppings for example. You could really altogether avoid restaurants if you wanted to. 9. both elevators worked fine. The downside - well,1. the bathrooms are tile and not travertine marble and there's no phone by the side of the toilet 2. the shower head was about 7' high and the rotating pulser didn't work well on all settings 3. the bedroom is small - I could stand on the bed and reach 3 of the 4 walls. 4. sitting area had couch, chair, coffee table, TV on stand, writing desk and chair but was on the small side 5. decoration with silk ivy plants is not to my taste. None of the negatives were very egregious in my book.	
Oct 30 2005	BEWARE of the valet service	I stayed there for 2 days/3nights and had parked my car in the valet service. It was a nice hotel but when it came to getting my car out my watch was missing. The managers, well 1 of 5, tried to help me but the others were inconsiderate. They said there was nothing I could do except file a complaint. I did that and 2 months later still nothing. I for one will never go back to this hotel. It was very disappointing that the valet service would steal your precious belongings.	
Oct 10 2005	Very nice downtown hotel	The Homewood is an excellent choice if you are going to be staying in downtown Chicago. All hotels are expensive in the city, but you get a lot for your money here. The suites are spacious, with a full kitchen, desk, couch, and television in the entry room, and then a separate bedroom with very large attached bathroom. As others have mentioned, the lobby to the hotel is actually on the sixth floor, but the friendly valets will direct you up there. Since all the rooms are on upper floors, you should have some kind of view of the city from every room. They serve a light &quot;dinner&quot; in the evening, and then a hot breakfast buffet in the morning with eggs, biscuits and gravy, bacon, sausage, etc. And unlike most free hotel breakfasts, they have servers bring coffee for you! The location is quite good, with a train stop right across the street. The Homewood is right in one of the main shopping districts of Chicago as well, with Nordstrom directly across the street and many other stores and restaurants within very short walking distance. It doesn't necessarily have the feel of a &quot;five-star&quot; hotel, but if our experience was representative, you should expect a very nice stay at a reasonable value.	
Sep 20 2005	Good location family orientation	If you're visiting Chicago with a family, this is a perfect place to stay. You'll have room to spread out and many Chicago attractions are within walking distance. The entrance is hard to spot from the street and is very cramped. That's because the lobby, which is very spacious and welcoming, is actually on the second floor. There are only two elevators, which were usually crowded because of the number of families staying. We had to get adjoining suites because no two-bedroom accomodations were available. (This seemed unusual to us.) However, the hotel was very helpful in making sure our suites were next to each other, which was quite an accomplishment over Labor Day weekend. You'll be a couple of blocks from the free trolley - a great way to get to the loop - and Pizzaria Uno is right across the street. You can put your name in, go back and relax, and show up for your pizza an hour and a half later. Everything, including lodging, is expensive in Chicago but this is worth it.	
Aug 29 2005	Great deal and location for families	I stayed here with my husband and 2 children ( 4 and 1) for 2 nights recently. It was a perfect location, close to the free trolley and regular bus lines, a couple blocks from Michigan Ave, right in the middle of the downtown area.The kitchen area was great - full size fridge, oven, microwave and a dishwasher. We did not have any problems with noise, and the living room area was big enough to pull out the sofa bed for my 4 year old and set up the pack-n-play for my 1 year old with no problem at all. The free breakfast was good -- several options, eggs, french toast, potatoes, several cold danish/doughnut selections, cereal, fruit, etc. We didn't have trouble either morning getting a table, but as others have said, you can also get takeout containers and take it back to your room. I'd definitely recommend this hotel to families and anyone looking for a good deal on a hotel in the heart of downtown. We will definitely stay again when we return to Chicago.	
Jul 23 2005	Home(wood) away from Home	We had reservations at Hilton Garden Inn over July 4 weekend but due to a flight delay we were moved to The Homewood Suites. The rooms were good size, very clean and super quiet. The staff was courteous and helpful. The location was perfect. We were able to walk most everywhere we wanted to go, including Grant Park, the Museums, Navy Pier, shopping, and restaurants.The price was reasonable and included a breakfast buffet each morning. On Sunday the wait was quite long for a table but we were provided with carry out containers and enjoyed it in our suite. Elevator waits could be long when large groups were checking in. I chose to take the stairs (to the 19th floor) rather than wait.Great view from our room.	
Jul 21 2005	Great stay at Homewood	My husband and I stayed at the Homewood Suites Mon-Wed the 2nd week in July. The location is superb. The free breakfast hit the spot each morning, even had to-go boxes to bring it back up to our room. Having a fridge, microwave, dishwasher and stove made it more &quot;homey&quot; for us. We popped popcorn one evening (complimentary) too. $35 a day to park was the only drawback. I would definitely go back.	
Jul 9 2005	"5 Star" In my book!!!	Absolutely nothing to complain about. Location was #1. Talk about convenience. Trolley to Pier right outside your door. From O'Hare we got off the red line, went up the steps and our hotel was right there. Shopping and Mich Ave is just steps away. Facility is new and pristine. Our suite was on the 17th floor. Large, spacious and spotless with a gorgeous view of the Wrigley Building and the Chicago River. The furniture is all brocade and the carpet is beautifully carved. I never heard of a hotel offering a full hot breakfast with everything you can imagine, to a full dinner in the evening (Mon-Thur) including beer, wine, and dessert. The pool is a large olympic size lap pool with ample towels and bowls of fruit everywhere. The building is very upscale with an outside doorman and bellman. Free internet service and our suite was so quiet I felt like I was in a soundproof room because the A/C is almost silent and works very well. What more can you ask for. People who find fault with the hotel have to get their head examined because this facility is flawless. I will always come here when I stay in Downtown Chicago. The service is excellent and front desk is extremely respectful and friendly. I work in the hospitality industry and wish that all my encounters were as pleasant as this at The Homewood Suites. Very well run! Thank You	
Jul 5 2005 	Good Hotel with a Few Problems	Stayed at the Homewood Suites for one week in late June/early July 2005, at a price of $149. per night. This all-suite hotel has an excellent location two blocks from Michigan Ave. and two blocks from a subway stop. Shopping and restuarant choices are within easy walking distance. The hotel occupies the 6th-19th. floor, and I very strongly recommend asking for a room on floors 15-19 for the view as well as the noise reduction at those heights. (Do NOT get stuck in suites 706 or 708. Both these rooms are adjacent to the hotel's one coin-op laundry room for guests. By the way, the washers and dryers worked very well!) Homewood offers a good hot breakfast buffet, but it can get crowded at times. Each suite includes a full-size refrigerator and a mike in a separate kitchen area. The shallow pool on the 19th floor is also very nice - the area has stunning views of The Loop. The room air conditioning also worked very well and was rather quiet. Problems with the hotel and my stay in it included: long waits for the two elevators; minor problems with the maid service; and a stains on the rapidly ageing carpet and furniture. Also, the mattress, pillows and bed linens were subpar - even for an older budget hotel. Please be aware thateach &quot;suite&quot; is only large enough to comfortably accomodate 2-4 persons. You should be able to get a good deal at this hotel - there were many empty rooms during my stay. Their business seems to largely depend on tour groups and conventioneers.Recommended - with a few reservations - to those on a budget.	
Jul 5 2005	Excellent stay at the Homewood Chicago	We visited Chicago the last week of June 2005, decided to extend our stay for a couple of days. The Hilton was full due to the July 4 weekend crowds, but the registration clerk at the Hilton suggested and booked the Homewood suites. This was an excellent find for us. We had a two room suite with a kitchenette. The beds were BIG and comfortable, lobby nice and service excellent, even though the hotel was very full. The pool was really nice also- glass enclosed on the nineteenth floor with an excellent view. Breakfast was included. We had an excellent rate of $189, but I think that it was the weekend rate. I think this was a real great stay, especially if you are traveling with kids and want more space than just a hotel room provides.	
Jul 5 2005	Great location / OK hotel	We stayed at the Homewood Suites for 3 nights over the 4th of July weekend. The location of the hotel is excelllent. It is two blocks from Michigan Avenue. There is a subway (red line) one block west. The room size was OK. The configuration of the room was not great. Access to the bathroom was through the main bedroom which is not the best setup if you have a family. The Embassy Suites that I have stayed in have the bathroom with a separate entrance which is a better setup. There is some kind of problem with the water system in the hotel. It was very noisy (loud clunking and banging) when guests were using their showers or bathrooms. This was not wonderful when the folks next door were using their shower at 3:30AM. The hotel was pretty busy and there was a long wait for the elevators on occasion. There is a great Crunch gym next door which is free to hotel guests. The pool in the hotel was very nice. Overall it was an OK stay but it definitely could have been better.	
Jun 2 2005	A Great Place for Families	This hotel is great for families, especially with young kids, especially those on a budget, because it has:1. A nice swimming pool. #1 on the kid satisfaction list.2. Free, full breakfasts seven days per week with a variety of hot and cold foods.3. Free &quot;business receptions&quot; Mon-Thurs evenings. What that really means is a free, hot buffet supper (choices more limited, sometimes less tasty than breakfast).4. Full kitchens in the room with microwave, stove, dishwasher, sink and real (empty! no mini-bar!) refrigerator. 5. A very nice city grocery store (Osco/Jewel) only two blocks away to stock your kitchen (if you want). 6. A separate bedroom for mom and dad. We pulled the mattress out of the fold-out couch in the &quot;living room&quot; and put it on the floor. Our two young kids enjoyed &quot;camping out,&quot; everyone got a good night's sleep, and didn't all have to go to bed at the same time or get up at the same time. 7. A great location: two blocks west of Michigan Ave shopping and bus service, one-two blocks south of &quot;Restaurant Row,&quot; and one block north of the east-west bus to Navy Pier.8. Free wireless internet access.9. Small workout room in hotel, plus free access to large workout facility (&quot;Crunch&quot;) next door (get away from kids while they swim with other parent.)10. Nice, basic clean rooms. Once you pay the room rate (about $200) and the garage fee ($35), your other costs are totally under your control: eat hotel food, eat your food, eat out cheap or eat out well. Use your car, take the bus, take a cab, take a train, ride a boat. With the free breakfast, you can get the kids up, going, fed and to a museum on the bus by 10 am.The Homewood Suites can be your &quot;home away from home,&quot; but it's not the place for a honeymoon (with a kitchen! Get real!) or a romantic getaway or a place that caters to your every whim. Bring your guidebook or your computer and do your homework. Recommendations:Get a CTA Visitor Transit Pass (2, 3 or 5-day) at the Marriott Hotel gift shop next door. Get a transit map or print one out from the computer.Have a Lincoln Park Zoo day: take bus 146 from Michigan Ave. to the Lincoln Park Zoo. Walk the zoo, the farm, the Conservatory and the Cuthbaert Nature Museum (with the butterfly room). Then go to the nice playground across the street and one block south from the main entrance to the zoo to wear out your kids for a good night's sleep.The Wendella Tours boat dock is only four blocks from the hotel where Michigan Ave. meets the river.	
Apr 25 2005	Great Price and Location	My wife, 2.5 year old son and I traveled to Chicago on vacation from 4/14-4/21/05 and stayed the seven days at the Homewood Suites. It was perfect for us. Like other suites we have stayed in (i.e. Residence Inn, Hawthorne Suites, etc.) the suite had a small kitchen, living room and bedroom. Our son stayed in the living room on the sofa-sleeper while my wife and I stayed in the room. It was very private and worked out great. The room had a good view of the river and the River North. The location was great, close to Michigan Ave and shopping as well as various restaurants, including Joe's Steak and Crab, Pizzeria Uno, ESPN Zone, etc. The Red line (i.e. subway or &quot;L&quot;) was only about a block away. Moreover, the great thing about the hotel was that they provided breakfast 7 days a week and from M-Th dinner as well. The best thing about this aspect is that they provided take out boxes if you wanted to bring the food up to your room! That was very convenient something that I never received at either Hawthorne Suites or at the Residence Inn. What I would do is wake up and go down and bring up food for my wife and son while they continued to rest. Please note that although the staff was generally nice and attempted to be helpful, this is NOT the Four Seasons so don't expect it to be. For example, the staff does not make reservations at restaurants, but will give you the phone number. Again, for the price ($139/nt, a discount if you stay at least 7 nights), it wasn't that big a deal anyway. The telephone system worked out well, too. They do not charge if you are dialing a number in that particular area code (i.e. within the loop). If I visit Chicago again, I would definitely stay at and recommend the Homewood Suites.Also, I would recommend taking the subway from O'Hare to the hotel. You would take the blue line (the entrance is right at the baggage area, if flying AA) transfer to the red line at, I believe, Washington, going North, and two stops later you get off and walk to the hotel a block. The only issue is that with a young child, it was a little bit of a walk going down stairs through a long tunnel and back up some stairs on the transfer, but for $1.75 a person (verses $35 for a taxi) you can't beat the price! Also the subway is fun for the kids. Just be careful about various individuals traveling the subway, like any other big city. Watch your bags, wallets, etc.As for getting around the city, overall, I realize that Chicago is not that convenient a city to get around. It is actually fairly confusing. The subways don't really go near many of the museums. The bus seems a bit more convenient, but the system is a bit confusing. Taxi apparently is one big way to travel, but the cost can be an issue. We found walking to be fun and rather enjoyable, albeit tiring, but it was a nice way to get familiar with the city. As for restaurants, I would recommend Joe's Steak and Crab. Very good food, nice service. Our waiter was Scott and he treated us well. We also ate at Morton's and I believe that Joe's was by far a better steak place and the price was a little better. As for pizza's I personally liked Pizzeria Uno, it was very very convenient as for the location. Just be prepared to wait for a table or for pizza about an hour. My wife liked Lou Minati (sp?). We didn't particularly like Gino's East as much. The pizza was so so and the price was about $5 more. As for museums, we got the city pass and actually went to all 6 destinations. The best museum for kids was the Museum of Industry and Science. To get there, we took the Metra which was $2.05. We would walk down Michigan Ave to the Metra station right across from the Cultural Center and got a ticket. Just remember the Metra is similar to Amtrak and that there are certain times that the train comes. It is NOT like the subway. So we had to wait about 45 minutes to get on one of the trains. It dropped you off about .5 miles from the Museum (I cannot recall the actual Avenue to take...59th?) and it was a nice short walk. The museum is great for kids who enjoy trains, airplanes, etc. My son loves trains and they have an incredible toy train system going as well as two other trains within the museum. You could spend a number of hours at the museum so plan accordingly.Museums that I did not particularly like was the Adler Planetarium, rather boring. The Aquarium was nice for kids as well. I would say that it was probably comparable with the Monterey Bay Aquarium. The dolphin show is okay. Field Museum was okay. Probably better for older kids. I was surprised in seeing that their dinosaur exhibit was just okay. Sue was nice to see (the T-rex), but other than that, they didn't have much else in the way of dinosaurs. I did feel, however, that the Field was better than the Natural History Museum in New York. The actual exhibits seemed more up to date than that of the NHM in New York. The Art Institute really is not for kids. We went there and my son did well, but he got bored pretty quickly. The Hancock Observatory is nice as well. The dates we went to these museums, there were no lines and we had a great time overall.As for other things to see and do, I would recommend the Wrigley Field tour, neat inside look of the stadium. You get to check out the locker rooms, dugouts, field, press box, bleachers, etc. We also took the Wendela cruise line that takes you onto the lake and on the Chicago River and that was great. The cost for the 90 minute tour is the same as the 60 minute tour and it takes you onto Lake Michigan. I would recommend this. The cost was $19 a person. Another great place to take the time out for is the Lincoln Zoo. It's actually a very nice well kept zoo and it also is free! To be quite honest, I've been to the San Diego Zoo a number of times, and although the SD Zoo is much larger, I actually prefer the Lincoln Zoo. The size is not as huge, the atmosphere is actually nicer and it is pretty kid friendly. To get to Lincoln Park, however, is a bit difficult, so I would recommend the bus. the subway goes nowhere near this location. You could walk, but that is a pretty difficult trek from the River North.One further thing to note when traveling with kids, child seats are apparently required. So if you plan on taxi or renting a car, keep this in mind. That's one of the reasons why we walked a lot and took the bus or subway. Seven days is a good amount of time in Chicago. If we had another 2-3 days we would have had the chance to take a look at Oak Park (home of one of the Frank Lloyd Wright homes), some of the colleges (i.e. Northwestern and U of C), or taken a trip to either Wisconsin or Indiana. In fact, the Lincoln Museum apparently just opened up while we were there, but Springfield is probably a good 3-4 hours away by car. Hope that helps.	
Mar 8 2005	Excellent Hotel	My husband and I were truly pleased with our stay at the Homewood Suites in Downtown Chicago. It was in a great location and we had no problems finding our way around the area. We got a great rate which was quite fitting for all of the amenities and services that were provided. The staff was very friendly and helpful and it was a joy interacting with them. Our room was quite cozy and comfortable and we had a great veiw of the city from our room window. If we are ever in the Chicago area again we will surely be looking at Homewood Suites as our first choice.	
Feb 2 2005	Very Nice Place	I stayed at Homewood Suites for a weekend in January. I was very impressed for the price that I paid. The staff was very friendly and the room was clean and larger than expected. Plus, I loved the fact that I could walk right across the street and straight into Norstrom's and it's attached mall. I have stayed at more &quot;luxury&quot; hotels in Chicago, that might provide a more pampered feel. However, you cannot beat the price of Homewood for the room size and location.	
