	Wonderful	I had a sore throat and the hotel brought to my room a carafe and a microwave to make tea. WONDEFUL.	
Aug 9 2006	Avoid The Talbot	Avoid The Talbot, especially for group functions. My in-laws spent a great deal of time trying to find just the right hotel to use for our wedding party and several out of town guests. They were lured in by promises from The Talbot, that since they were a small boutique hotel that they could provide &quot;special, personal treatment&quot;. Nothing could have been further from the truth. They failed to honor two requests to keep the bar open after our reception, they persistently confused reservation requests, they front desk failed to contact the valet despite multiple requests and nearly caused of my guests, his wife, and his two year old daughter to miss their departing flight. Now the worse part. Mistakes are made, even hotel managers are human, but where a hotel, which is supposed to be in the hospitality service, can distinguish itself is in how they handle and correct the error. Case in point: I had requested on several occasions when I made the reservations for my family that they all be placed under my credit card, all expenses, they assurred me that this would be no problem. Of course, when my brother, his wife, and asthmatic five year old arrived to searing hot and humid Chicago after six hours of travel they wouldn't let them check in until they physically saw my card... again despite them having my card on record, and despite my explaining this to them over the phone. My brother recalls the &quot;indignation&quot; of the desk clerk when he mentioned that the charges were to be put on my card. Then Another guest, in this case my older brother, came by and put the charges onto his card so that the five year old could escape the heat and the prolonged waiting in the lobby. When I finally was able to get across town, leaving a Cubs game early, I again spoke to them about putting all the charges on my account. Again they agreed, but never did anything about it. In the end when my older brother checked out on Sunday he was told everything was alright, but when he went to his ATM his account was frozen from &quot;unathorized overuse&quot;. The hotel kept billing his debit card automatically for multiple charges ubtil his account was essentially drained. When he got home he had to take an entire day off to discuss with his bank how to rectify these events. I spent Sunday afternoon for an hour and three hours on Monday, the first two days of my honeymoon on the phone, calling The Talbot, the credit card fraud division, my brother, etc trying to solve this situation. The most aggregious insults continued to come form the covering manager, who at one point suggested that &quot;I was mistaken about coming back down to talk with the desk clerk about these matters&quot;.... this was a witnessed event, and her insinuation was that I was lying, and that there was no way her clerk could have made a mistake. In the end, there is no one running this place... managers from one department refer you to the manager of another departments voice mail. When I was finally able to get the name of the general manager (after two days)m neither he nor his assistant would ever call back. The communication between the staff and mangement is non-existant.Fortuneatly the staff at the Signature Room (where we had the reception) was beyond excellent so the day was not lost, but the The Talbot went out of its way to insult and poorly serve my family and many of our wedding guests.Try The Ambassador East (same neighborhood) cheaper, much more professional staff.	
Jul 30 2006	Bait and Switch	We reserved a room with a sleeper couch a few weeks before our stay. After checking in and unpacking, we discovered that the sleeper sofa had been removed (supposedly during renovation). The front desk clerk and bellman never mentioned that there was no sleeper sofa even though they saw all 4 of us check into the room. Colleen, one of the managers, was argumentative and did nothing to resolve the problem. We ended up having one of our children sleep on the couch and the other slept on an antiquated rollaway bed. We never spoke to the general manager who was conveniently &quot;absent from the hotel&quot; during most of our stay. We stayed here on more than one occasion over the past decade and had never encountered such incompetence. We had to make several phone calls to receive a miserly discount and we never received an apology. The lack of training of the staff was clearly evident, as was the cavalier attitude of the management.	
Jul 11 2006	Thought the Talbott was great	I'm a fairly frequent recreation traveler and like nice, unique hotes. My criteria for Chicago was a smaller, independent, upscale hotel in a great location. The Talbott definitely fit the bill. The rooms were extremly spacious (we had 2), well appointed and very clean. The bathroom had two sinks, a phone, a very good shower and nice amenities. The beds were very, very comfortable with nice linens. The desk staff (except for one) was extremly helpful and courteous. Even the bellmen went out of their way to be helpful. It is located just two blocks off of Michigan Avenue and was perfect for launching our day yet quiet at night. We did not take an upper floor room with a more interesting view but as long a a room is quiet at night, I'm pretty happy. There is a lovely restaurant that has an outdoor cafe. We just grabbed breakfast there one morning...the other morning we went to Walkers Original Pancake House just 2-3 short blocks away. The morning that I did have breakfast, I was in a rush and they made sure that i was waited on promply and my order came out in a timely manner. There is plenty of shopping, restaurants, bars, etc all around the hotel and the conceirge, Tim, was very helpful in directing us to our destinations or making reservations. There is another concierge who we encountered twice, who I could have done without. While she did did help me, there was always this sense that she was going out of her way to do so. Everything else, I thought, was well above average for a hotel in that price range. When I think back to making our reservation, even the hotel reservaton agent was excellent. Good job Talbott!	
Jun 8 2006	Lovely Boutique Hotel	Just back from a weekend stay at Chicago's Talbot Hotel and we all awarded it high marks for location, ambiance and service. It's locaction between Rush and State streets is ideal just a couple of blocks from the Magnificent Mile, the John Hancock Center and the WaterTower which is a great stop for tourist information and for picking up the Hop on Hop off bus.It has great curb appeal with a lovely outdoor dining area - all cheery yellow tablecloths and cafe umbrellas. We had a great alfresco breakfast, Nutella and banana crepes.Like most boutique hotels the lobby is small but it's charming - lots of leather couches and antiques ( including a score of French horns) and sort of an English Club look and feel. Great lobby bar but terrible Cosmopolitans and the house wines need to be upgraded.Our room was clean, attractive,very spacious and with two large windows it was flooded with sunshine.The bathroom was a decent size with double sink, a make-up mirror (my favorite amenity) and Aveda toiliteries. The bathtub was a bit shabby and the water pressure didn;t allow for an invigorating shower. No complaints on the beds - comfortable enough.We found the service to be good despite a glitch at check-in. Gene the conciegre was so accomodating and delivered great advice and some terrific dinner reservations on Saturday nightWe'll return.	
May 18 2006	Very Pleasant	My daughter and I stayed at the hotel from May 7 through May 10th. After we were checked in we were introduced to Stephanie the concierge. She gathered information from us about our trip and directed us on things to do. Stephanie you're great. We had a corner King and it was large. The bathroom was wonderful with the double sink. There was only one bathrobe on the hanger in the bathroom. We went sight seeing for several hours and were pleasantly surprised to find another bathrobe in our room. The doormen were fantastic and I hope Roger is there the next time we stay. The location was great and the rooms were quiet. The housekeeping staff was great. Thank you thank you thank you for a wonderful stay.	
May 10 2006 	Enjoyed the Talbott and would return	This hotel was overall a great stay. I was here for three nights on a business trip. First, the location is excellent. A block from Magnificent Mile on the same block as the Four Seasons, that should give you an idea of the excellent location. Service was outstanding in every way. Staff very friendly and accomodating. Only complaint about the hotel would be the room itself. The bathroom was fantastic (marble, new fixtures, very bright) but the actual bedroom part could use some updating. I felt like the bedspreads had been in use for 15 years. The furniture was dated and the beds felt like they were made in 1985 and made me miss Marriott's Revive bedding. However, I hear they are updating all the rooms and they just had not gotten to mine yet. If this is true (and some construction evidence like blankets on elevator walls would indicate that is is) then the Talbott would be a perfect ten.Overall, recommended.	
May 3 2006	Excelllent Choice in Prime Neighborhood	We stayed for 5 nights in late April. The hotel lobby is very attractive; the guest rooms well above average. We opted for a 'superior corner room', and were happy, but I peeked in several standard rooms and they would have been just as good. All rooms I saw have 2 comfortable easy chairs. Bathrooms are large, clean and well appointed. The entire staff was pleasant. It was an intimatre experience. After a day the staff knew us. Two excellent concierges (Gene &amp; Stephanie), one too officious (Tim). Great location near the lake, very serene neighborhood, but only 2 blocks from Mich. Ave. It is expensive ($310 per night including tax). As in every hotel in every country the light bulbs are too low in wattage (why??). Have breakfast at Cafe Tempo 1 block north of the hotel. I can't beleive the firstt very negative review. We had no problem with noise or intrusive staff. Construction in a hotel can ruin an experience. Maybe that was it.	
Apr 4 2006	Talbott is tops	Well located hotel, between State and Michigan Ave in the Maginicent Mile. We had a corner suite. Very clean with a King size bed, a seating area with two armchairs.Plenty of space.Good size bathroom with plenty of towels, lotions, hair dryer and the use of a bath robe. All the staff were very pleasant and helpful. About the only complaint would be that the continental buffet runs until 11:00am, at 1 minute to 11:00 it disappears and even though you have arrived prior to 11, forget it.	
Feb 27 2006	Fraud alert	I called the Talbott for price and avaiability in april 05 for a stay in Chicago in Oct 05. I was asked for my credit card # and assured I would not be charged until I made the actual reservation. I was then charged in Oct for one days stay {$241.00} on my credit card. no reservation was made, and no contact with the hotel to show any transaction had occurred. Now I am still working with my credit card to have this removed. never stayed at hotel, just a bad transaction.	
Feb 23 2006 	Felt Like Grandma's House	The Talbott feels very warm and glows with history. The dark wood walls and fireplaces in the lobby are such a transition stepping in off the bustling street. It's like you've arrived Grandma's -- cozy, comforting, and OOOOOHHHHH the food. I can't remember the name of the dish, but try the oriental salad with steak. Wow, delicious!! The staff is friendlier than any I've encountered. During my stay, the staff were donning these new communication devices that allowed them to reach anyone in the hotel. They said they were using them to improve their customer service. Well, it worked!! Responsive, friendly, VERY attentive. I'll stay there again and again and again.	
Jan 18 2006	great place	we had a great, very large 1 bedroom suite, for very reasonable rate. Service was good but they don't valet after certain hours and you have to park your car yourself. Otherwise, folks were very helpful.	
Jan 13 2006	Terrific Talbott	I recently stayed at the Talbott Hotel (just off Rush and 1.5 blocks from the &quot;Magnificent Mile&quot;). This is a small boutique hotel in a terrific location within easy walking distance of the John Hancock Center and shopping on Michigan Avenue.From the moment I exited the cab, I was superbly treated by the entire staff, from the doorman to the bartender to the concierge. The property is beautifully appointed, exceedingly clean and well maintained. At half the price of the nearby Four Seasons, this property is a bargain.I have a new favorite hotel in Chicago!	
Jan 4 2006	Nice Choice for Chicago	We really liked this hotel. It was very clean and tidy, the room was quite spacious, and the staff was friendly. The location was extremely convenient to shopping and good dining. The free cookies and coffee in the afternoon were excellent. The bed was great, the bathroom was modern and nice. My only complaint was that the concierge seemed a bit overwhelmed all the time, but when you finally could talk to them they were helpful. It's pricey, but a bargain compared to its neighbors and typical big-city prices.	
Oct 17 2005	Don't choose the Talbot	Great front desk staff, the rest of the experience was dreadful. The room service staff have to be among the most poorly trained I have ever encountered. We had to ask FOUR times for the staff not to slam the supply closet, adjacent to our room (almost in the room itself). They do these random room checks for the minibar, as if the entire budget hinged on the sale of a can of $9 peanuts. The roomservice is also equipped with walkie-talkies as loud as megaphones. If you like sleeping in on your vacation, don't stay here. Also, the hotel was under massive construction, a detail that was conveniently excluded from the website. SO we had to take the elevator with construction workers just about every time we used it. No discount because of the work and noise. I'd rather sleep in a box in the alley.	
Oct 8 2005	Friendly Little Boutique Hotel	I just returned from Chicago with a girlfriend. The Talbott was a very nice place to stay. It is a smaller hotel, but it has the best service. It is the kind of place where everyone knows your name and wants you to have the best experience possible. The conceirge was so helpful getting us into the best restraunts on a last minutes notice, also finding us Oprah tickets! They also printed up my boarding pass, delivered it to my room and did not charge me for their service. They do not nickel and dime you for everything at this hotel. The rooms were very spacious and clean, nice Aveada products in the bathroom and it stayed at a very comfortable temperature. We had 2 queen beds and had plenty of room to move around. It is a short 1.5 blocks from all the shopping and food on Michigan Ave. The American Girl Store was very close by and a must for people with little girls in their lives. The only downsides I can think of is the view from our window was not very great but it was no big deal for us because we only looked outside once. Also there are only 2 elevators so if it was very busy you may have to wait, but we did not have a problem with that. Overall, we were very pleased with our choice to stay there. It was a very intimate hotel and we felt very at home. We cannot wait to go back there for more shopping and fun.	
Oct 6 2005	Quality Down Rates UP Typical Syndrome	Any traveler who is loyal to a favorite hotel has experienced this sad truth: eventually the lodging deteriorates. But you do not expect the price to double and triple at the same time!I have been staying at the Talbott for several decades.Yes, changes have been made, like the updated heating and cooling systems and the front entrance, most recently.But other things have gone downhill. For the last several stays I have experienced very dirty carpets and slow service.Rates have skyrocketed and now they are asking for 3 night minimum stays on many occasions. This is the kind of rate structure one might expect from the 5 star hotels within spitting distance of The Talbott, but not this less-than-maintained lodging.I, personally, am shopping for a new home away from home.	
Aug 30 2005	A wonderful experiance!	We booked at another hotel a block away and spent a unhappy night. We walked over to the Talbott and the courtiest staff showed us a room and we booked the rest of our stay.The room was very attractive and well furnished with double sinks in the bathroom. The tub is large and the shower a pleasure. The location was quiet as requested.The staff was always cheerful and very helpful. Tim and Stephanie provide excellent concierge services! The breakfast at the Basil Cafe is a great way to start the day.We travel a lot and appreciate the ambiance of a good hotel. I would highly recommend the Talbott for your stay.	
Aug 29 2005 	Cozy and wonderful!	I loved the Talbott! Everything was wonderful. The staff was very friendly and went out of their way to make my stay enjoyable. They have two fireplaces in the cozy lobby and the BEST hot cocoa I have ever had! They don't have a business center but they do have wireless internet. I will be staying at the Talbott again this October.	
Aug 22 2005	The Talbott is Fabulous	Just returned from a 3 night stay at the Talbott. This was our first visit there, and I can honestly say that I wouldn't stay at any other hotel in Chicago. From when we first were greated by the bell captain until our final departure, the staff was nothing less than amazing, always greeting with a smile and can I help you attitute. The room we had (1508) was very spacious and comfortable. The bed was probably the most comfortable that my wife and I have ever slept in (including the Four Seasons). Had great breakfasts and drinks at Basil's. You would be missing a fantastic experience, if you didn't stay at the Talbott.	
Aug 13 2005	Very nice European-style hotel with wonderful location	We loved the Talbott. The location was fabulous...very close to the shopping. The hotel is smaller, but the rooms are very nice. They are very spacious and are able to be darkened to sleep well. Also, the beds are some of the most comfortable I have ever slept in. I might also add that our room at queen beds.The staff is all friendly and puts them themselves out for you. The hotel has a cute outdoor eating area on the sidewalk that has flowers, etc. It looks like a scene out of Europe.I would highly recommend the hotel. We were there with our daughters; ages 10 and 13.	
Aug 8 2005	Great Hotel Great Location	After looking over several other hotel reviews in the same area we decided on The Talbott and were not disappointed. Our room was nicer than the picture shown on the web site. We had previously stayed at the Knickerbocker a year ago and the price this year was $100 more per night than we had paid in '04. The rate we got at the Talbott was fair and now we'll never go back to the Knickerbocker. Our room was comfortable and spacious, well maintained. The only minor, and I mean very minor, flaw with our room was that it was so big that the TV was a little bit too far away from the bed, but as I said, that's a very minor criticism. The staff were all very efficient and courteous. The location is great. It's within walking distance to lots of shopping on Michigan Ave and many restaurants in all price ranges. We would definitely stay at the Talbott again.	
Jul 17 2005	We always stay at the Talbott	I'm posting this review years after our stay but only recently discovered trip advisor. I won't write reviews for all the hotels we have visited but felt compelled to let readers know about the Talbott. Everything about our stay exceeded our expectations. It's a great location, our room was large and quiet. But the staff really made the difference. Some luxury hotels employ a concierge staff that seem annoyed when you ask for help. Some are willing to help but are aloof. The Talbott staff looked for ways to help us. When we checked in we mentioned to the front desk that since it was late we would like to go down the street for a quick meal at the cheesecake factory. The concierge overheard us and, after we had checked in, caught our attention as we were leaving for dinner. He gave us his card and told us to give it to the restaurant and it might cut some time off our wait. The concierge went even further and actually called the cheesecake factory to let them know we were coming. The couple in front of us was told there was a 45 minute wait. We waited only 5 minutes with the concierge's card and call. The great service continued throughout the long weekend and we will always stay at the Talbott when we travel to Chicago.	
Jun 22 2005	Love the Talbott!	Location, location, location. What a great find! Excellent, well-run, small boutique-type hotel on a tree-lined street near all the action without being in the oppressive crunch of it. Rooms are good-sized and clean; good bed and shower with tub. The air conditioner, as mentioned in other reviews, is noisy, but it's a minor complaint. The staff is simply wonderful and attentive from housecleaning to concierge. The on site restaurant is great. The red-line El is about 3-4 blocks away which makes getting around the city a breeze. You are footsteps away from Rush Street and North Michigan Avenue and Lake Michigan. I would not have a moment's hesitation booking at this hotel again in the future; in fact, I wouldn't book anywhere else.	
Jun 2 2005 	Alright for the Price	Firstly, I paid $175CAD a night. For the price, it was not bad. I would not pay any more for this hotel though, as other hotels that are significantly nicer are not that much more. The hotel has a nice classical European charm. Was clean. Staff were friendly and helpful, and as stated, the construction in the lobby is pretty much finished. One thing to note is that soundproofing is nonexistant. You can literally hear everything that goes on in the hallways, upstairs, and beside you.	
May 31 2005	Marvelous!	Hotel staff was incredibly friendly. Room was large and clean with Aveda products in the marble bathroom. The hotel is a small European boutique style property. The location is perfect and only a couple of blocks from the heart of Michigan Avenue's world famous shopping. The bed was comfortable. The rooms have a window air-conditioner unit which takes a bit to get used to. The value of the hotel is incredible and overall I would recommend anyone to stay here if you are looking for a quaint, luxury, and fair priced hotel.	
May 31 2005	Nice people bad room	Just back from spending Memorial Day weekend in Chicago. We decided to stay at the Talbott, and we reserved a room there over a month ago. I must say that we found the staff to be wonderful, but the accommodations to be quite disappointing. We were given room #1605. Avoid this room at all costs! The adjacent elevator is so noisy that it will keep you awake most of the night (and then awaken you at 6 AM). In addition, we had requested a king bed, and #1605 has two doubles. We were also surprised that there was no coffee maker in the room. Despite the very friendly staff and its super location, the Talbott was less than what we expected, and we would probably not stay there again.	
May 29 2005	Perfect location services and suite	My husband and I stayed at the Talbott for close to a week in Mid-May, 2005; we booked based on an extensive review of comments on Trip Advisor. The constuction at the hotel is continuing, but we reaped the benefits of a recently renovated upper-floor suite, and were NEVER inconvenienced by the renovations. We positively loved our enormous King Suite! A King bedroom with TV, spacious closet..a dressing bench at the foot of the bed made a wonderful perch for gazing north from 2 sunny windows. The bathroom was a suite in itself - marble-tiled shower, 2 vanities, 1 with bench, a deep soaking tub with European hand-held spray, and a separate WC. Posh robes, and a warm-air circulation system also made for a treat could never hope to have in my own home! Add a living room with 2 comfy chairs, a pull-out sofa, TV, and 3 huge windows with eastern and southern views. My husband had to bring his laptop to check his email each day - a free WiFi converter was appreciated. &quot;His&quot; huge desk was in a nook off the living room, and also had a wet bar. Perry, who greeted us at Valet and took us to our suite also arranged for us to have a mini-fridge, which was greatly appreciated and much-used. All the windows have nice blinds that allowed for &quot;blackout&quot; on the mornings we wished to sleep in...and the 2 central AC control panels kept our rooms the perfect temps. The entire hotel staff was gracious, knowledgable, and housekeeping very quiet. Only exception was &quot;K*****&quot; (you know who you are) on the Reservation desk, she got snippy with me when she couldn't find my reservation. I hung up, redialed, got Ramona, as well as a smiling voice and the answer I was looking for. The Talbott is the PERFECT location to see the North Side of Chicago, with easy access to the Red Line buses and El. Hint - purchase a Visitor's Pass from the white machines in the El stations - don't use the same machines as the comuters! We were in walking distance to the Hancock Tower (go at sunset!) Mag Mile, and the lake. A very nice grocery, Potash Market, is on State just south of the hotel - salad bar, deli, hot food cases, beer, wine, liquor, plus all the regular groceries; a 7-11 is next door, and a large Walgreens' is 1 block north. For an inexpensive but full breakfast or lunch, try Johnny's on State...the Tempo Cafe was also suggested. So many restaurants and pubs if you head North on State a couple blocks, at the convergance of Rush - all walking distance! Concierge Gene got us in at the Saloon Steakhouse at the Seneca Hotel - our meal was fantastic! We ate at 8:30, and unfortunately the heavy cigar smoke from about 9:30 on drifted across our table and ruined our dessert as well as our mood. Eat earlier, or reserve a table FAR AWAY from the bar if this would bother you also. We found that the middle-aged white male in Chicago is still very taken with the nasty tendancy to foul up the world around them with their oral-fixation on cigars, not sure who they are trying to impress, but we walked out of quite a few establishments so that our clothes and respiratory systems weren't put in a putrid, dismal state. WAKE UP MEN AND BUSINESS OWNERS - we live in DC, and frequently travel to NYC, Baltimore, and we don't have the problem of cigar smoke when enjoying a meal or a drink in those big cities. I don't foul your air with noise or odor, don't foul mine! A great sports pub is Mother Hubbards, on Hubbard Street just east of State. Huge place, clear air, good prices and pub menu. Spent quite a few hours in front of their numerous TV's :) The only reason you would need a car in Chicago is tour tour Oak Park, the home of the Frank Lloyd Wright Home &amp; Studio. It's a DO NOT MISS day-trip if you're in construction, architecture, or interior design. The entire neighborhood is a gem, you'll spend all day wandering up and down streets...call ahead to make sure of tour times, as you can't get in unless you take a guided tour. We had a nice lunch at Erik's Deli in downtown Oak Park - great salad bar, with huge hot-and-cold menu. Plenty of other cafes and bistros if that's a preference. There is an Enterprise Rental station on State Street just south of Delaware - we'd rent a car just for one day rather than driving from the airport next time we're in town. There is a convenient train station at Midway - Orange Line - takes about 30 minutes to transfer to the Red Line at Marshall Fields, then exit the Chicago Ave station for a 2-block walk to the Talbott. The only problem we had with cab drivers was 1 dropped us off in front of Soldier Field, when we repeatedly asked for the Aquarium. We gave up, hopped out, and flagged down another cab driver rather than walk 1 mile up hill. But all the other drivers were friendly, courteous, and the cabs were very clean. A nice change from the NYC cab experience! The beluga whales at the aquarium were mesmerizing; but all the little kids on school tours drove us insane. Go as late in the afternoon as you can, but still allow 2 hours or more to get through. Navy Pier was...well, a mall. We did thoroughly enjoy the Architecture Tour on the river.Definately - Stay At The Talbott! It's an experience you won't find at any chain hotel :) Two 40-something, well-seasoned travellers from Washington, DC	
May 25 2005	Great location and staff fine rooms	Was just there for a night in late May. The good news is that the construction is wrapping up - you still can only go in and out through the side door, but the lobby is in good shape. The location is excellent, wireless internet is free, and they provide free passes to a very good fitness center with a full sized pool a short walk away.It was not warm enough to use the window air conditioners, but having them meant that any noise from outside was audible in the room. But once it got late, things were fairly quiet in the neighborhood. The rooms are just okay - could use better lighting and the furniture is a little outdated, but the amenities are good.The staff was incredibly nice - I would go back.	
May 18 2005	Very comfortable hotel	We stayed at The Talbott for one week in May. This is a small European style boutique hotel in the heart of downtown Chicago. The room was spacious with 2 queen size beds, 2 large comfortable chairs, a large desk and lovely bathroom with 2 sinks and other amenities. Very clean hotel. The staff including the doormen and concierges were most helpful and friendly. Room service was fast and the food was good and reasonably priced for a downtown hotel. Wonderful location, walking distance to shopping on Michigan Avenue and the Magnificient Mile. Well worth considering for a stay in Chicago which by the way is a lovely, clean city. What a nice surprise that was!	
May 16 2005	Talott is The place!	As first time tourists to Chicago, we chose the Talbott and were not disappointed. Our corner suite was roomy, clean and had a great marble bathroom with his and hers sinks and a great tub for soaking. There was plenty of room and the room temperature was controlled by a new thermostate system with two controls, one in the bedroom and one in the living area and they worked perfectly. The construction did take away a bit from the lobby area, but the the bar was still cosey and the completion date is just around the corner, I think. Location is perfect for tourists, none better for the price in the city. If you go there, call Stephanie Leese first and she will make any arrangements you desire and her suggestions were perfect. She even called our room on her day off to be sure we were happy with our schedule. It was our anniversary weekend and at every restaurant she referred us to we were given complimentary desserts and happy anniversary wishes. Some waiters even spoke to us by name which added a nice personal touch. We will stay at the Talbott again on our next visit. The staff were very personal and quite friendly for a major city hotel. We really loved this place.	
May 14 2005 	Just okay	Stayed at The Talbott for two nights with my husband and although it wasn't terrible, I expected better. The construction was a pain and made the lobby pretty smelly and dusty. Our room was okay but a looked a little battered with lots of nicks on the woodwork and scratches on the walls. Also had problems with the room temperature--it got very warm at night and the air conditioner didn't seem to work very effectively.	
May 13 2005 	Treated Like Family	My husband and I stayed at the Talbott for our first visit to Chicago. We are dying to go back! We are snobby New Yorkers, but not TOO snobby to worry about how long a room takes to be cleaned and no shelf in the shower. Don't people go out?Anyway we checked in and were taken upstairs. The room was nice but I wasn't so happy with the view. I said to the bellman &quot;nice room, the view's ok&quot;. Well 5 minutes after he left our phone rang. The girl at the front desk told us she'd like to move us to a room with a better view. Apparently the bellman expressed my reaction and they got right on it. Our second room was charming. Think old-school Manhattan/Brooklyn apartments. The bathroom was great- double sinks, heated tiles, AVEDA products AND a shelf in the shower! The personel are courteous and make you feel like you are the only one staying at the hotel. We had many a conversation with each concierge enjoying their open friendly personalities and wealth of knowledge. The hotel is located in a great area- easy to get around everywhere and safe at night. If you do stay there make sure to buy a Chicago White Sox cap and wear it in front of Stephanie the concierge and wathc her reaction. By the way if you like Jazz this is the city for you. Go to the Green Mill and the Velvet Lounge. They aren't swanky places but the do what they are supposed to do- play good music. Also hit the Russian Tea Time across from the Chicago Art Institute to have great latkes and blintzes.	
May 11 2005 	Hmmm ok hotel . . . I guess	I normally stay at the Omni Chicago or Renaissance . . . so Talbott is no comparison. Good things are: Staff is very helpful and friendly, location is only 1 block from Rush St &amp; add another block for Michigan Ave., internet is free, the room is very clean and all amneties are in the room. What I was not so impressed with . . . I had a view of an alley, the furniture and look of hotel is very very aged and not impressive. And the worst, I had an A/C window unit that was so loud it kept me up through the night and it was too hot to turn it off!Overall, I had no icky experiences and for those who are tourists whom will not be in the hotel very much but want to be in the middle of the action, not a bad hotel to stay in, but maybe not as enjoyable for frequent business travelers who strive for somewhat upscale really comfy suites. I travel to Chicago monthly, and I booked at Talbott to save just a little money on the hotel, I am going back to the modern, Omni Chicago, it is not that much more at all, really.	
Apr 19 2005	Just Back from the Talbott	Just returned from a 2 day stay at the Talbott. I booked after reading the reviews on this site and after staying there I'm not sure how it rated as #9 in the popularity rating for Chicago Hotels. The location in great - I had a meeting in the area and could have stayed at the Sofitel for the same rate that I paid at the Talbott - but I've stayed at the Sofitel before and wanted to try something different. I'm not sure that I'd make that choice again. The hotel is undergoing renovation which includes the main entrance, the lobby and some of the floors. I had a corner deluxe room which was large - it had a king bed, desk and two easy chairs. The room itself had plenty of room but it looked tired. The bathroom was great it had been recently remodeled - it had a double sink and great counter space - the only complaint is that the tub/shower lacked any kind of shelf or soap dish. There are only about 10 rooms on each floor and the hallways were nothing special - once again it may be due to the renovation in progress but the floor I was on was extremely tired and dark. Other complaints included the heat/airconditioning and the room lighting. Since the seasons were beginning to change it was cool at night but warm during the day. Heat was supplied by an old iron radiator hidden under a radiatior cover - it's a good thing it was hidden - it was pretty nasty looking. To regulate the heat you had to lift the cover and turn the valve (not an easy thing to do in the middle of the night without getting burned). Once the heat started it never stopped. To cool the room there was a residential room type air conditioner mounted through the wall and a newer air conditioning unit with a thermostat that had a sign on it saying it was not yet operational - in any event I had all three going most days and nights and it was almost impossible to get the room to a comfortable temperature. I would assume once the new system with the thermostat is working - that things will improve. The lighting in the room was below average - it seemed that the lamps had been equipped with energy saving bulbs that didn't thrown off enought light. The staff was friendly - especially the doorman. Everything said I'd give the Talbott a B-	
Apr 17 2005	What a dump!	If location is the only thing that matters, stay at the Talbott. However, my wife and I have travelled extensively throughout North America and Europe, and I have never, in my entire life, seen such an inept housekeeping staff. They are unprofessional, noisy, incompetent and better suited for a one star hotel. They were yelling in the halls, slamming doors, and taking far too long to clean each room. They come to your room several times to check the fridge where they sell bottles of water for $3. The hotel was being renovated when we were staying there so we also had to endure the construction work - no discount was offered even after we complained several times. The front desk staff was very polite, but who cares?They're supposed to be nice. I spent a lot of money to stay here and did not feel that I received a fair deal. The room was sub-par for the price, even for an inner city hotel. Stay somewhere else and have a better vacation.	
Apr 17 2005	Great place	We spent a wonderful two nights at the Talbot, everyone was very helpful and pleasant. They are undergoing construction inside and out so you may want to ask for a discount when you book because they do not tell you this when you do. It is in a great location and has a very warm and friendly bar when the construction crews quit for the evening. I would stay here again even with the construction.SPM	
Mar 16 2005	The Best Kept Secret in Chicago	After our second stay at the Talbott, we are convinced that there is no other place to stay when in Chicago. The service is impeccable, the rooms are comfortable and the location is great. The Talbott is just a couple of blocks from the Magnificent Mile and all of its activities (read shopping). The neighborhood has a great selection of restaurants (the Thai restaurant across the street has good food at great low prices), and is great for strolling. I would not hesitate to recommend the Talbott!	
Jan 23 2005	Staff is wonderful; nice room too.	We stayed at The Talbott for the second time, and liked it as much as we did before. It's really the staff that makes this hotel: from the doorman to the bartender to the concierge--everyone seems to want you to have a great time in Chicago. It's a wonderful location, just off Michigan Avenue, but on a (relatively) quiet residential street; it's close to shopping, restaurants, the lake. The bar is cozy and the staff friendly; the food is just okay, but there are many good restaurants within walking distance. I would give the hotel another star if the heating system were better. Even though we turned the radiator down as much as possible, we still had to turn on the fan and open the window (during a blizzard!) to make the room comfortable for sleeping.	
Jan 4 2005	THE place to stay in Chicago!	I went to Chicago December 5th-7th with a girlfriend to see the exhibit of Jacqueline Kennedy's clothes at the Field Museum. We stayed at the Talbott because I had stayed there before (last April), and a friend had recommended it to my friend. We both loved it!!!! It was decorated for the holidays and looked absolutely beautiful! Lots of poinsettias, decorated trees and greenery. It truly is one of the most charming hotels I have ever stayed at in Chicago or anywhere else! We each had an oversized room with a king-size bed. The marble bathroom was well-stocked with Aveeda products. There was a small sitting area with two comfortable chairs facing the TV. They do have a problem at the Talbott with no central airconditioning or heat, but the bellboy told me that they will be working on changing all of that during the slow winter months...which will be a good thing. I had a large closet, and there was an umbrella available. The best part of the service (and everyone there is very friendly and helpful!) was the fabulous brownies that were available in the lobby every evening! I do agree that there is a lot of noise coming off the streets. Yes, the rooms are dark, but the trash truck started pick-ups about 5 AM one morning which woke me up. We were on the second floor, so we probably had more noise than the upper floors. BUT there isn't a hotel in Chicago with any more charm, and the Talbott is the only hotel that I want to stay at when I travel to Chicago!	
Dec 16 2004	The Talbott was great.	My wife and I travel from Michigan to Chicago every year for holiday shopping and have stayed at numerous hotels. The Talbott beats them all. Great room for the price, updated with new carpet, new bathrooms, new wallpaper. Excellent location. We were able to shop at Water Tower and off-load our goodies in the room before travelling up the &quot;Mile&quot;. Concierge was helpful as were the people at the desk. We will return as soon as possible.	
