	Very nice stay	We spent the Thanksgiving weekend at the hotel and got a very good price (much lower than the normal rate). The room was very nice as was the pool and exercise room. The parking was expensive, but they give 50% discount for hybrid cars (yea!) so it was reasonable. There aren't many places in the immediate vicinity to eat, but nothing is a very far walk.	
Nov 6 2005	Very nice	The Swissotel Chicago is an excellent hotel. Got a room on Hotwire for $136 + taxes (total $160). Usually all I care about in a hotel is the bed, and their bed was one of the most comfortable beds I have ever slept in a hotel. The room was big and the bath and shower were separate. Its in a great location, right next to Millenium Park. I would always park at the Millenium parking garage, where its $16 / day, compared to $41/day for the valet parking. Had some friends at the Hyatt, which is right next to the Swissotel and they had to wait 45 minutes to get their car out of the valet.	
Sep 23 2005	Overrated!!!	My husband and I travel quite a bit and just returned home from a Chicago vacation. We loved the city but were not impressed with the Swissotel at all. The employees were very rude to us and did not care if we were treated with respect or not. Upon arrival to our room we found that our TV was not properly working and would begin making an awful noise after being on a channel for 3-4 minutes. I called to request someone look at the TV and replace it or allow us to move to another room. I was told an &quot;engineer&quot; would be up to look at it but no one ever showed up. Needless to say we spent 4 days with a bad TV that was annoying to say the least. The room was okay but I have stayed in much nicer for much less money. The package advertised free internet access and we found they offer internet access for $9.95/day! I also read in the welcome book that local calls were free and we were charged for the 2 LOCAL calls we made when we checked out! All in all, I think this hotel is HIGHLY overrated and there were much nicer hotels with more to offer for less money all over downtown Chicago. If you're looking for a nice, plush place to stay, keep looking and spend your money elsewhere.	
Sep 14 2005	Swissotel - A Great place to stay.	After reading alot of hotel reviews on Tripsaver, my wife and I liked what most people had to say about the Swissotel. So we booked a three night stay for the first week in Sept. We were not disappointed. From the beautiful lobby, to the freindly staff, to the spacious room, we were impressed. The view from our room was spectacular. It overlooked the river, the lake and Navy Pier. We were in walking distance of most everything we wanted to see. Millenium park [loved the bean], Mag mile, Rush and State streets, and Navy Pier [you have to have lunch at Bubba Gumps]. We also had dinner one night at the Palms in the Swissotel. The food was excellent. We plan on coming back to Chicago during the Christmas season to do some shopping and see all the decorations, and yes, we will stay at the Swissotel. What a GREAT city!!!!!!	
Sep 11 2005	Swissotel package was a fine value	We spent last weekend at the Swissotel and were delighted with the service, the views and the amenities. We purchased a package which included wine and cheese upon arrival, two breakfast buffets for the next morning, and a reduced price for parking. The wine and cheese tray was outstanding. It included a very nice variety of fruit and cheeses including Brie, and it even had dried apricots and carmelized walnuts. Our room was spacious and included two comfortable swivel desk chairs, in addition to the easy chair with ottoman. After returning from the pool and spa on the 42nd floor, we moved the desk chairs in front of our window, put our feet up on the ledge, and enjoyed the Navy Pier fireworks display from the comfort of our room. The maid who had provided turn-down service had also turned on the radio, so &quot;Take Five&quot; accompanied the fireworks. It was GREAT! The next morning we were extremely pleased with the variety and quality of the breakfast buffet. After breakfast we walked the two blocks to Millenium Park. The total cost for the package with tax and parking was $265. We thought it was a wonderful value, and we intend to return.	
Sep 9 2005	Swissotel was Awesome!	Beautiful Hotel right on the water. The late night walks cant be beat. Very close to everything. The staff were extremely friendly and helpful. Will be going back and staying here.	
Sep 8 2005	A Winner Once Again	This is the second time in 2yrs I have stayed here, first trip as a lone female and I returned home yesterday having spent a week with my 80yr old wheelchairbound Mother in this delightful spot.The hotel staff were great, always on hand to help. The wheelchair accessible room was excellent with terrific views over the lake. The weather was mid to upper 80's for the whole week but I love Chicago any time of year. We stayed in another downtown hotel in May of this year, but the Swiss wins!!! The room was spacious and very very clean. Even on busy Labor Day weekend, there was always room in the elevators and lobby. I will certainly be returning.....with or without MOM	
Sep 7 2005 	Home away from home	Have stayed here at least 8-10 times in the last 5 years. One of our favorite city hotels. Great views, bathrooms (2 in the executive suites), and room service. Never had a problem with any service personnel.About 2000 paces to the stores on the magnificent mile, but the quality of the hotel makes the slightly longer walk more than acceptable. word to the wise--avoid the rooms ending with 11.The headboards back up to the high speed elevator shafts and you here whizzing all night.	
Sep 1 2005	Good VISTA + 10-15 min walk to Magnificent Mile	I liked its location. To know the city it is best to look over the city once or twice while visiting. And, I recommend this to the tourists although the setting is to impress the business travelers equally.I remember the staff were friendly to us during our visit. The room was not 100% clean but it was acceptable and I did not complain as the view from the room just compensated all other minor problmes I might have overlooked.Chicago is a Windy City and you will definitely feel IT while you get in/out of the hotel- it is a bit of walk to the loop trains or closest bus stop will be still 5 min walk. chilling!The location is good as it was close to the Millenium Park and there is one huge construction going on next to the hotel but it did not bother us at all as there was no big noise/dust coming from it. As Swissotel say in their website, this will be their best rated hotel and it did not disappoint me at all. So, my verdict is 5 out of 5.	
Aug 18 2005	Loved the Swissotel	My husband and I just stayed at the Swissotel for 2 nights. We got it for $100 a night off of Hotwire and they put us on the 20th floor with a great view. Check-in and check-out were very easy. The parking is expensive at $40 a night, so we took the advise from people on the Chicago forum and parked at the Millenium Park garage for only $20 a night. It was only a 5 minute walk away. Michigan Ave. is very close and Navy Pier is a 15 min. walk away or a $6 cab ride for 2 people.  The pool and hottub on the 42nd floor was awesome! Such a great view and very relaxing after a long day of walking. It closes already at 9pm though.  The bathroom was very impressive with marble tile and separate shower and bathtub.  Overall, a very good stay! We would definitely recommend the Swissotel!	
Aug 15 2005	Very Satisfied With Our Stay	My wife and I recently spent a night at this hotel after booking a room through Priceline. We were a little nervous after reading some of the reviews regarding the attitude of the staff, especially since we booked the room through a discount site. Our worries were put to rest the minute we pulled up to the front of the hotel and turned our car over to the valet. The service we experienced was top notch and everyone was extremely pleasant. Check-in and check-out were both very quick and painless. We had a room on the 9th floor and had partial view of the lake. The room was very clean and the bed was very comfortable. After the initial booking through Priceline I called and requested a king, non-smoking room and they were more than willing to give that to us.The location of this hotel was very close to shopping on Michigan Ave and was a short walk to Navy Pier. We will definately stay here again and would recommend this hotel to others.	
Aug 11 2005 	Very comfortable - great stay	Just spent 2 nights at the Swissotel in Chicago on a business trip. The room was big, clean and had a great view of Navy Pier. The bed was just perfect. I slept well on both nights.The Palms restaurant in the hotel is one of the top rated steak houses in Chicago. I ate their last night and the food and service were top noch.The only negative thing I can say about the hotel is the lobby smelt like a bad ashtray. On the other hand the room was fine and had no such problems.	
Aug 4 2005	Great hotel wonderful experience	While reading other reviews, I see that which room you stay in makes all the difference. Unfortunately, I cannot remember the room I stayed in though I think it was around the 8th floor and overlooked the water.I had a great experience here from the quality of the lobby, to the quality of the room, to the view, to the room service, to the food. The restaurant we ate from was the Palm, in the hotel, and is very well known for its high quality. I was not disappointed. There was some delay in receiving our order but they made up for it by delivering a dessert for free. I thought the bathroom particularly well-appointed, clean and roomy. It was worth the money.	
Aug 3 2005 	Good Choice!	I stayed in Swissotel-Chicago for five nights in July of 2005 due to an international conference in Chicago. I stayed with a special rate in Swiss ($ 179 per night before tax - only accommodation). Some conference participants stayed in Fairmoth and some others stayed in Hyatt Hotel. Swiss and Hyatt have great locations and very near to Madison Avenue, stations of city bus tours and boat rides (for canal). Hyatt Hotel seemed to me like a “human factory” due to massive conference groups. Most of the time, I found myself in the river of the crowds in Hyatt. In this matter, Swiss seemed to me much better. Even if it is not completely immune!On the positive side, my room was very spacious partly with canal view. (seeing partly another building) Well maintained room: with working table, big TV, large closet, iron set. The bathroom was spacious, large marbles with a big shower section. Housekeeping was wonderful. Elevators are very quick.On the negative side, I was disappointed with the breakfast section. It seemed to me pretty small for such a big hotel. Very crowded. So I went out for the breakfast after the first try. In terms of concierge in Swissotel, do not expect too much! Frankly Hyatt’s concierge seemed to me more efficient and helpful. Referring to the Reception, some guys seemed to me helpful. However, I requested a wake-up call for a very early flight to New York, but they somehow forgot to set this wake-up call. Therefore, when you need a wake-up call, set your own mobile phone alarm as I did just to be on the safe side! Madison Avenue is beautiful. We tried Grand Luxury Café. Very good ambience. What a city. I definitely put Chicago to my favorite cities in US, together with NY and San Francisco. Overall, I am very pleased with my stay in Swissotel in Chicago. And I would not hesitate to recommend it to my friends in my circle. When I booked Swissotel-Chicago, I relied on the positive comments from other tripadvisor users. Thanks for all your feedback and comments.	
Jul 28 2005	Very Nice Hotel	We booked our hotel/airfare package with United Airlines. We got a great price on our hotel and airfare, so this left me suspicious of our hotel accommodations. We were very pleased with the hotel! Our room had a nice view, not the best, but it was nice! The only real complaint was that we had a room by the elevator, but that even was NOT loud! Our room was clean and well kept! I was concerned that the hotel staff would not be KID friendly, but they were all great! They brought up an extra robe for our child upon request and when the ice machine was broke on the surrounding floors around us, the hotel staff went and got our ice for us! The night prior to our departure my husband called to find the business center to print our boarding passes, but they were closed for the day. The staff who answered the phone was happy to hang around so that he could complete his business. Overall, our stay was pleasant and I would consider staying there again.	
Jul 23 2005	Swissotel Chicago - A Big Disappointment	With the exception of the hotels location it was otherwise a huge disappointment ! I booked through Alpharooms as it was less expensive than booking with the hotel directly (although it was by no means cheap – around $180 per nights for a twin room) but what I didn’t realise is that I would be treated as an inferior guest. I felt like a second class citizen.I e-mailed the hotel about 5 weeks before I was due to arrive – requesting that they confirm the reservation and asking them to note my request for a room on as high a floor as possible. (the hotel has over 40 floors). They didn’t bother to reply to my e-mail. When I checked in on arrival a rather frosty-faced receptionist whose English seemed limited (although this may just have been due to her extremely formal manner) told me that the highest floor she could offer was the 10th. There was no mention that they had received my e-mail requesting a high floor “but regretted that non were available” nor was there an explanation of their policy (as I later found out) that the higher floors were reserved for their frequent guests or for those who had paid a higher room rate.The room I had been allocated had been adequately made up but was far from clean - I could write my name in the dust on the shelf above the bed. I phoned down and explained this to the reception and told them the room was unacceptable as it was. They didn’t seem particularly interested in my complaint but merely sent a key up for another room which was on an even lower floor.Two evenings later I had to get dressed to go down to the bar as they had not bothered to restock my minibar – again when I mentioned it to reception they didn’t seem interested.The final straw was that the day before leaving I returned to my room one afternoon to find that someone had been in and left a part used packet of cigarettes there. I mentioned this to the reception by phone and again as I was going out later that evening but again they didn’t seem interested. The cigarettes I assume (and hope!) were left by the maid (although it was a non-smoking floor). The worst senario is that an unknown person had been in my room whilst I was out. The hotel didn’t seem interested so I will never know.I certainly would not recommend this hotel and if this is the typical standard of Swissotels then I would not consider staying in one again.	
Jul 14 2005 	Send it back to Switzerland	The location is good. The hotel can use some updating worn carpets, bathroom tiles, etc.. The staff is quite unfriendly and unaccomodating.You will get nickel and dimed in this place for every little thing. The hotel's motto is experience some &quot;Swiss Hospitality&quot; if that's the case I will never visit Switzerland.	
Jun 18 2005	The BEST hotel yet!	This was our third trip to Chicago this year (we LOVE the city!) - every time we stay at a different downtown hotel. Swissotel was definitely our favourite. When we come back in July to see the play &quot; Wicked&quot; for the second time, we will be again at Swissotel. No more need to try other hotels! The location is good because it is between the financial district and the Magnificent Mile. The room was spotless and quiet, the view amazing and those elevators were so fast. Comfortable beds, friendly service, not as many noisy sirens! We even watched the Navy Pier fireworks from our bed! This was the best anniversary ever. We would recommend Swissotel to everyone!	
Jun 15 2005	Great Views!	Rooms were clean, good sized and great views of Navy Pier. Large bathroom with seperate shower and bath. Newspaper left outside door in the morning. They also have an indoor pool and weight room on 42nd fl.Check-in was quick. I arrived early and was able to check in at 10 AM too!I only ate breakfast in the hotel. They have a buffett that is nothing special.Service was adequate. They do cater to European guests. Concierge helpful with directions and trains. 10-15 min walk to trains and Michigan Ave shops.One thing to take advantage of if you are flying out of Chicago is to have the front desk print out your boarding passes. SouthWest only allows you to print boarding passes after 12:01 AM the day of your flight, so if you don't have a laptop and a portable printer, you may be looking at 30-45+ min wait at the airport to check in! They were extremely helpful and had it ready for me as I checked out.	
Jun 14 2005	Excellent Hotel	We booked this hotel very last minute, by looking up the Yellow Pages in Chicago. We were given a beautiful room over looking the river. The staff at the front desk were very helpful and friendly and couldn't have done more for us. The rooms were very clean and spacious. The hotel is very central, within walking distance of all the major attractions in Chicago and I would definatly recommend this hotel for anyone to stay in.	
Jun 12 2005	Unexpected snotty service	While the rooms are quite nice, I was dismayed by the snotty service I received at the Swissotel in Chicago. I was there for five nights, attending a conference, and was staying at a different hotel than my boss, who had the business' credit card. When I attempted to check in, I stated that I wished to drop off my luggage in the room and to freshen up, and that I could provide the credit card used to reserve the room in an hour, when my boss would be there for us to go to dinner. I didn't want a hold placed on one of my personal cards.At first, they were not going to allow me to check in. They didn't give me any option either. I persisted, and ended up having to give the front desk one of my personal checks in order to receive the room key. I then realized they were going to place a hold on my account anyway, which was fine as I had the funds and was simply wanting to get checked in.Even though I had about $1500 in my account, there was an error with the hotel's communication with my bank. I was told that my check wasn't any good. As far as the hotel clerk was concerned, I could just walk away, have a seat (with all my luggage), and wait. I asked if I could use her phone to call my bank. When my bank informed me that I had the funds, I asked my bank representative to give this information to the clerk. She did so. When they ended their conversation, however, this clerk asked her manager (right in front of me !) how they could trust that it was indeed my bank that I'd called !! She said I could have just called some friend. I was flabbergasted. Thankfully, the manager permitted me to check in, and they held my check.An hour later, when my boss arrived for dinner, I produced the credit card and asked for my check back. I was told that the clerk who had assisted me was on dinner break and that I'd have to come back later. My boss took over the conversation and asked why that should matter. Ten minutes later, I had my check. So, while the rooms are very nice, I will never stay at a Swissotel again, in any city.	
Jun 12 2005	Great modern rooms	We stayed here for our wedding night because we wanted a lake or river view - we had to pay a little extra for that side of the hotel, but got a view of both. Room was large, and the sleek, modern bath was great, even with separate bath and shower. Bed was one of the nicest I've ever slept in (although I don't usually stay at this nice a hotel).	
Jun 6 2005	Great views otherwise disappointing	We stayed at Swissotel over Memorial Day Weekend. While our lakeview room was spectacular (overlooking the Chicago River where it meets Lake Michigan and Navy Pier) I was very disappointed with the room and the service at this hotel. Furniture in room was beat up, a handle missing from a dresser drawer, a picture in the bathroom with mold growing on the mat inside the frame, desk phone not working...I could go on, but those were some of the problems we encountered. I also hated that there were no fitted sheets - woke up each morning sleeping right on the mattress as the sheets had come loose. As for service issues, the concierge gave us erroneous info about the Navy Pier trolley; the maid failed to replace toiletries and towels, despite a $3 tip that had been left (I normally tip $1-2 per day and wait until the day we leave to tip the maid, but I decided to try something different this time since we were at a 4* hotel.) We had a voucher for a breakfast buffet that included tax &amp; gratuity, but still left a $5 tip for the waiter; when we returned the next day, he put us in the back of the restaurant and pretty much forgot about us; we removed our own dirty dishes and I finally got a refill on my coffee after asking another waiter (while our waiter doted on a party of 8 without vouchers that was seated after us - they were immediately greeted with a thermal carafe of coffee while my cup sat empty....) Needless to say, we didn't tip him the second day. I should note that we had booked a &quot;bed &amp; breakfast&quot; special that had been promoted on Travelzoo - while the value was very good for a downtown hotel especially given the added breakfast, I didn't feel like I truly experienced a 4* hotel (despite my best efforts to be an appreciative guest.) Yes, the room view was teriffic, but I paid extra for a lake view room. I would probably stay here again if I found a similar deal. All in all, I feel like this hotel has 4* potential, but is probably in need of a renovation and some intense customer service training for its staff. I honestly expected more from a hotel of this caliber (and left wondering if I had been treated differently because of the price I paid.)	
Jun 1 2005	Can't beat the views!	Stayed at Swissotel for Memorial Day weekend and couldn't have enjoyed it more! Without question, the main draw is a fantastic view of the river and lake. Had a north corner deluxe room with a view of Wrigley Building and Michigan Avenue out one side and a panorama of the lakefront from Navy Pier to the Chicago River and Lake Shore Drive on the other, including the bathroom windows. There is no better view in Chicago!Staff was courteous without being &quot;over the top&quot; and was responsive to all requests. Lack of a room safe was noted, but safe deposit boxes at front desk are easy to use.The only negative would be that beds are sufficient but not exceptional. If you're looking for beds like the W or Westin, Swissotel doesn't have it. Then again, the rooms are much larger and the view more than makes up for it.Good location with an easy walk to Michigan Ave and an El stop about 5 blocks away. You can't go wrong here!	
May 31 2005	Swissotel was incredible!!	The best service!!! The staff here was incredible. You never had to lift a finger. The room was huge as hotel rooms go. The view was phenomenal. Location great. What a great weekend. We did stop for a drink at the Palm Restaurant and unfortunately, it closes at 11 p.m. Too bad!!! The Lobby Lounge is open later but drinks costs twice as much as the bar at the Palm.	
May 17 2005	Fantastic views	We stayed in the Swissotel for a weekend getaway and loved the experience. We had a standard room which was larger than I expected. There was a comfortable lounge chair and desk with two chairs which could double as a small dining table. The bath was marble with both a shower and a tub. The view from our room was fantastic. We could see all the way down Lake Shore drive to the Aquarium.The staff was very friendly and helpful. One nice feature is the lounge bar which also functions as a small coffee bar.A great experience.	
May 13 2005	a great location	We have been for the first time in Chicago and stayed in the Swissotel for five nights,a wonderful place.Room was on the 29th floor,absolutely clean and nice and a breathtaking lakeview.Breakfast perfect and service really good.People were always helpful.It's a little bit far from Magnificent mile and the loop,but in front of the hotel there are buses (number6)waiting there next turn,not a real bus stop,but drivers are frindly and you can get on the bus.Next time going to Chicago we will again stay in the Swissotel.	
May 2 2005	loved our stay at the swissotel....beware the parking garage	My husband and I just stayed at the Swissotel for the first time April 29th 2005 for 1 night. Beautiful hotel with great service and location. We live in the suburbs and drove to the city for our stay. Parking is expensive at $34.00 per night..that would'nt have been so bad but after leaving the hotel and driving a short distance we realized our full tank of gas had been siphoned. We called the hotel and learned that anyone can get into the parking garage...that there isnt an attendent on duty. They took some information from us but we never got the feeling that anything was going to be done as far as compensation. Beware if you park your car there.	
Apr 28 2005 	Classy interesting and sharp hotel	Stayed here on business a few nights and really liked it. Very attractive, classy and comfortable hotel that's got an element of sexy and sharp. Public spaces are very nice, with an open area bar in the front lobby and nice sitting areas. Rooms are lovely as well, with handsome fixtures and furniture, a terrific desk work space and comfortable bed. Bathroom amenities and fixtures are sleek and attractive as well. Best of all, the hotel has breathtaking views of the city and the water - both the river and the lake. If you're working in the area, it's the best choice for that part of town, and I prefer it to the nearby Hyatt and Monaco.	
Apr 28 2005	Luxury for less in the heart of the Windy City!	I've scored this 4-star beauty on Hotwire for $100 a night on two different occasions. The location is PERFECT for exploring the Magnificent Mile area up and down Michigan Avenue. We walked to dinner one night and down to the Hancock Tower one morning. You can also walk to the Navy Pier and you have great views of either the downtown skyline or Lake Michigan, depending on which side of the triangular building your room is on. Rooms were very comfortable and spacious with nice furniture, comfy bed, luxurious bathroom, great TV, etc. This is definitely a 4 star if not a 4 and a halfer.As you might guess, parking is expensive, but I parked my rental car at the meters on Wacker drive because we came in in the evening and the street parking was free after 6pm. The next morning I filled the meter's while we lounged around the hotel before leaving for the day.Hotwire lists this hotel as a 4 star on Wacker drive and the Hyatt, which is next store, is also often available thru Hotwire. Both are great deals for being in the heart of one of America's coolest cities.	
Apr 26 2005	Great corner room view but parking/executive lounge prices a rip-off	This was our 3rd or 4th stay at the Swissotel, and we always stay in a deluxe king, corner room for the wonderful, panoramic views of the river, Navy Pier, and the lake. The skyline is gorgeous. The location does require a little bit more walking to get to the Mag Mile, etc., but we didn't mind the exercise at all.  As a VISA platinum member, I qualified for a room upgrade (but we didn't need it since a king corner room is lovely enough), free breakfast each day, and late check-out at 3 p.m. I had to show the desk clerk a print-out of their own website in order to get the free breakfast and late check-out. He seemed confused about the hotel's own offers. I was hoping that since we didn't get a room upgrade, that we'd be allowed access to the executive lounge, but no go - they wanted an additional $75 *per night* for that. We felt it absurd to pay that much to have a glass of wine or two and a few cheese cubes, so we declined that lovely offer. We have used the executive lounge in past stays, but it was built into our room rate deal. I guess the $75 charge is to weed out the riff-raff out or something. The staff up there does tend to treat guests like recent parolees who might be about to commit new crimes or somehow misbehave. Chilly.  The room was beautiful, spacious and very quiet. The brunch was average. We also ate dinner in the Palm Restaurant, and it was fine but nothing to write home about.  We foolishly paid the rapacious $39/day parking charges. If we return, we will park in the Millennium parking garage. But I think we're ready to try someplace new and use the $ we save on shopping and dining!!	
Apr 6 2005	Great Find	I loved it here! My boyfriend and I booked this hotel online and were a little worried what it would be like since we paid next to nothing for our 3 nights here. (I've paid more to stay at the Santa Barbara Motel 6!!) Gorgeous hotel, great staff, fun bar/lounge area and we were most impressed with the room. The large windows in the bathroom were the best--I took a bubble bath one night while looking at the views of Navy Pier and the skyline. I remember thinking, &quot;This is really living...&quot; The room was comfortable and quiet, again with great views just like in the bathroom. Chicago is a wonderful town--I have nothing but good things to say about it. CAn't wait to come back!	
Mar 24 2005	pretty great	Got an unbelievably great rate on this hotel on Hotwire.com. Cost me more to park my car in their garage overnight than to stay there. Room was terrifically comfortable, quiet, and spacious. Great view of Lake Michigan. Terrific towels, toiletries, bathroom. Highly recommended.	
Mar 22 2005	Great Price on Priceline!!	We recently went to Chicago for St. Patrick's Day with some friends. I took a gamble and booked through Priceline for a 4 star hotel and I got the Swissotel for $99. We just had a short walk down Wacker to Michigan Ave., which was perfect. The hotel was very nice, great bathroom, comfy bed, etc. We were basically next to the Hyatt, which has a spectacular bar.	
Mar 17 2005 	Service needs improvement	This is a great hotel with no customer service focus. It amazes me that a hotel of this caliber does not understand customer service. I was asked to leave the health club at closing time -- something no other hotel I have ever stayed at has done. It didn't matter to the attendant that I was in the middle of my treadmill run. (Most hotels I've stayed at allow guests to be in the health club at any hour although an attendant is not always available.) Also, room service told me that I could not order scrambled eggs because it was after 11 AM. Yes, this is a stated policy however I've never stayed at another hotel that won't serve such a simple dish at any hour since it is not a big deal to do so. Very disappointing from a service perspective. The hotel is advertised to have multiple restaurants, but that was not the case either -- other than room service the only option for dinner is The Palms restaurant which is very overpriced for the quality of the food. On the plus side, the room was a nice size, the hotel was relatively quiet, the bed was of excellent quality and the view of the lake is outstanding. Just don't ask anyone to provide you with outstanding service!	
Mar 8 2005	Nice hotel but overpriced	I stayed at the Swissotel March 5th, 2005. It was very nice and had a great view of the lake and the Chicago River. The room was not huge and needed a little updating. I expected a little more for such an expensive hotel. As with all downtown hotels, you pay a lot of money and get very little in return. Everyone has their hand out for a tip for any little thing they do. My biggest complaint is that their parking was $37 per night and the guys who get your car want a tip for taking your car, and for bringing it back to you. We went to nearby Navy Pier and the parking was a flat $22. So for less than a 24 hour period I paid $59 to park plus tips. It's not worth it.	
Mar 1 2005	Excellent hotel	Stayed here for one night in February, 2005. The hotel is situated in a business-y area w/ many other hotels, although Magnificent Mile is w/in easy walk (maybe a 5 minute walk away). However, there's not much for nightlife other than the hotel restaraunts and bars very close by, although we walked to an area w/ plenty of bars (about a 20 minute walk, and only a $5 cab ride back). The room was very nice, very clean. The bathroom was also very nice and very clean. The hotel was very quiet. Overall, I was extremely pleased. We got a great deal on Hotwire (only $105 per night) - I think a hotel like this would easily be $300 per night in NYC or Boston.	
Feb 28 2005	Excellent room	I loved the room we had. 34th floor...very comfortable bed, beautiful bathroom and spotlessly clean. It was also extremely quiet despite full capacity. And because of this, check out was between noon and 2pm so it was great to be able to relax and take our time.My only disappointment was with the person who checked us in. He was extremely rude. We misunderstood one of his questions and he came just short of rolling his eyes. I could not believe it. Left me speechless to be honest. He is the reason I am rating the stay average. Otherwise everything else was excellent.	
Dec 21 2004	Fantastic Views	The Swissotel is one of the tallest hotels in Chicago, and it provides fantastic views of the city, the lake, and Navy Pier. It's located right on the Chicago River (directly south of the river) at the east end near the lake. It's over 40 floors, glass exterior, with a triangular shape. A large oversized revolving door serves as the entrance way to the lobby, which is quite large and impressive. There's a nice-sized gift shop with everything from magazines to drinks and chocolates, pretty much your standard convenience store. There's an escalator that goes into the basement where you'll find a nice upscale restaurant and a long walkway/concourse that leads to an underground mini-mall, with a grocery store, fast-food restaurants, barber shop etc. Back to the lobby..the staff is very professional and friendly and they go out of their way to make your stay comfortable. We were really impressed with how smooth check-in went and how helpful the clerk was. Each floor's elevator lobby has huge windows overlooking the lake and Navy Pier, and you can take a look at the spectacular view right there before you head to your room. There's also an indoor pool, large excercize room, and spacious men's and women's locker rooms on the top floor with floor-to-ceiling windows all around you. The views up there are incredible; there's really no other hotel in Chicago with better views. The rooms are not all that big. They seem spacious and well-appointed, and the fact that the entire wall was a window definitely made up for the fact that the room was on the small side. Beds were very comfortable, and the bathroom was spotless and beautifully designed. The only downside of this hotel is its location. The location itself (near Navy Pier and the lake) isn't a problem, but if you don't have a car, you'll be doing a lot of walking since the hotel is located at the end of an upper-level street that just drops off..you'll have to do a lot of walking around and over bridges. (On a side note, at the end of the street where it drops off, the road loops around and serves as a curb-side parking lot with meters..a quarter for 15 min. but it's free on Sundays, so if you're lucky enough to find a space on Sunday, it's free and convenient!) It's about a 15-minute walk to Navy Pier, and a couple blocks east of Michigan Ave, and there is no public transportation or El stop nearby. Nearest El stop is on the corner of State and Lake which is another 15-minute walk. Again, the location is fine if you plan on walking a lot or don't mind taking taxis everywhere, but there are many hotels along Michigan Avenue or State Street or right next to an El stop. It's a little away from the action, but the views are fantastic.	
Dec 15 2004	Clean comfortable and friendly	My mom and I stayed at The Swissotel in October of this year and had a great experience there. I searched this sight long and hard for a good place to stay in Chicago and was not disappointed! I normally don't stay at places this pricey due to budgetary constraints, but got a good deal at the hotel's web site. The room was clean, our beds (with down pillows and duvets) were comfortble, and the staff was friendly and helpful - everyone from the bellmen to the concierge to the business-center staff. Additionally, the view from our room (Chicago River, Lake Michigan, and Navy Pier) was excellent despite the construction going on outside the building. My reason for not giving this hotel an &quot;Excllent&quot; review is its' location. While the location is not bad, it's on the south shore of the Chicago River, meaning it's a few block walk or cab ride from the main shopping/sightseeing district on Michigan Avenue. I would stay at this hotel again.	
Dec 13 2004 	NOT BAD!	I was somewhat nervous about this selection for lodging after Hotwire ( $ 103./night) handed it to me because I was not familar with this hotel. Guess what? VERY GOOD, AND BETTER YET, FOR THIS PRICE IT IS A STEAL. A great view, no hassle checkin/out. Excellent housekeeping.	
Dec 12 2004	Wow.	Great View, Very very comfortable bed. We stayed their only on night and then moved to Lennox Suites (which sucked in comparison). I really did not have to deal with the staff too much, we asked for extra pillows and towels and they were brought right away, and check-in was easy.	
Dec 8 2004	~I wouldn't stay anywhere else~	My husband and I regularly stay here for our anniversary which always falls on the weekend of the 4th and during the Taste of Chicago. I have always used Quickbook and book the Executive floor with a king bed- non smoking, floors 32 and above. I have never had to request a lakeview, and have always gotten one with a great view. In fact we have always gotten the rooms with a view of the fireworks! . We both take advantage of the free self serve bar (wine and liquor, mixed drinks) and comp hot and cold hourderves, cordial and desert hour on the weekends, and great breakfast nibbles (incl smoked salmon, trout, and cheeses and real squeezed juices) in the executive lounge- all comes with the executive level booking. I woudn't pass up spending the extra on the E level, if you take advantage of the perks it more than makes up for the cost. The free health club with the saunas and full window showers overlooking the river are wonderful after a long day walking around Chicago. The museums are a decent walk, and if you get tired they do have free trolley, and the busses are cheap and come by every 15min! Location can't be beat, close to major attractions, easy cab ride to ones farther away. The rooms are spacious and I've never had any problems with noise- they are much quieter than other hotels I've been at. The bathroom is something I want in my house! All in all this is the place to stay!	
Nov 25 2004	Good deal	I was able to get a room on the 32d floor with a fantastic southeast view of the Drive, Field Museum, and parts of Millenium Park. All this for $99 through Quikbook. Service was friendly and courteous. The room was clean and large including a big stuffed chair, a desk, two desk chairs, good sized closet, and dresser. The bathroom was also large: bath and shower, all nicely tiled. It is not a four star hotel. I don't know what full fare is at this hotel, but there is a deal available and you can get above the 20th floor, it's a great hotel for 99 bucks.	
Nov 18 2004	Noisy Swissotel rooms	A 3-star hotel with 4-star aspirations. I booked through Hotels.com and got a nice view room on the 31st floor. Problem was, from 5 am until 10 am, whenever an adjacent room turned on their plumbing, I heard loud knocking (read &quot;wake you up&quot; loud). When I complained to the front desk manager, he condescendingly explained that all hotels had noisy plumbing. WTF!Got moved to another room. Won't be coming back here. Also, a longer walk to the Mag Mile shops than I had thought.	
Nov 15 2004	Great Hotel!	My husband and I booked this Hotel through Hotwire without knowing what hotel we were getting and were just a little nervous. We were pleasantly surprised! The location great and a short walk to Michigan Ave. The room was clean and stocked with toiletries and plenty of towels. They even provide an umbrella for your use. The beds were cozy with a down comforter and pillows. There is even an extra comforter and blanket in the closet. We were on the 23rd floor and had a great view of the navy pier. My only complaint would be that they elevators are slow and we had to wait a while at times. Otherwise it was a wonderful experience.	
