	The worst hotel- Do not stay at this hotel	We stayed at this hotel because of some good reviews. When we checked in and got into our room the bathroom was a mess. The toilet as used, the stuff was all over the lid of the toilet and it was not flush at all. I almost got sick. I called the front desk and ask someone to clean it up.Some one did clean it up. I also asked for the supervisor and no one show's up. The supervisor or manager did not even call me.My husband and I were so tired from the flight, or we would have leaved the place. I definitely would not recommend this place to anyone.	
Mar 26 2006	Ideal for the budget minded...	We stayed here in the summer of 2005 for three nights. For downtown Chicago, it was incredibly well priced. However, on arrival this was obviously down to the rather tired decor and general need of renovation for the hotel. It's location is ideal, being just one block off Michigan Avenue (Magic Mile), and the concierge service was very helpful. We were staying in the middle of a heatwave and the air-con in our room struggled to keep up without making an awful noise. The room itself was comfortable if again a little well worn.On the whole not a bad experience but if you pay extra there are many other nearby hotels that look a lot better.	
Feb 2 2006	Great Hotel!	Me and my cousin was here with my brothers family on wacation. (We're from Norway)And we stayed on this Hotel for 1 week of two. Now, we didn't stay on the hotel that much, it's so much to do in Chicago. But when we where there, I must say I enjoed my/our stay. So I reccomend this hotel for everyone stayng in Chicago.- Christian.PS: I apologize if my English is poor... PPS: I dont have any Pics of the hotel =)	
Jan 31 2006	Find another hotel and pay the extra $	Location is good, but that's the best thing to say about this hotel. The homeless begging outside the main street doors was aggravating at times.Staff not over accommodating. Until I told them I was a Best Western Frequent traveler no extra enthusiasm. We then received breakfast coupons.Room and hallways small. Our room had a bad smell and had to buy a candle to deodorize.All in all a bad experience for a first trip to Chicago.Sorry to say.Spend the extra $ and stay at the Marriott down the street, seemed worth the extra expense.	
Jan 23 2006 	Acceptabe Hotel Great Location Horrible Service	I checked into the Best Western Inn of Chicago January 22, 2006 for two nights. The hotel is old in appearance. I found the rooms to be small but acceptable ( I knew I wasnt statying at the Hyatt). The problem I have with this hotel is the service. Monday night I needed to access the internet for school. At no point on the web site, during my reservation, or check in did do they mention that you only get wireless high speed internet access on the 17th floor and above. I was told that they have hot spots for wireless access in the lobby. Problem solved right? Wrong. I could not get a signal in the lobby. No one behind the front desk had any solutions and when I explained to the attendant at the check in desk my dilemma, she said, and I quote, &quot; I dont know what to tell you&quot;. Another employee suggested that I use dial up from my phone line in the room. That would be good except for the 20 cents per minute charge after thirty minutes for a local number. When asked if the phone charge could be waived due to the lack of the hotel providing the wireless internet access it advertises, first the attendant let out a little silly laugh, and then said no. Finally, out of frustration and the lack of time to argue, I went to the top floor (22) where I sat on the floor in the hallway to get a signal. If location and price is important to you then it's not a bad hotel. If you expect courtesy and for the front desk staff to assist you with problems you encounter, you may want to stay somewhere else. Good location, acceptable hotel, poor service, and misleading advertisement.	
Dec 30 2005	Great location Great price great value	My daughters and I wanted to spend a couple of days in Chicago over Christmas break and do some shopping without spending a fortune on the room. This hotel met all our expections and then some. We were close to the Magnificant Mile for all the great shopping and within walking distance to great restaurants and the subway. The free trolley to Navy Pier was a great perk as well, but we could easily have walked there as well. The concierge desk was helpful with directions and everyone was helpful and friendly. I would definitely stay here again.	
Dec 20 2005	Nice hotel but.......................	We stayed at The Inn of Chicago for 5 nights in mid October 2005. The staff were good to deal with, not overly friendly but professional in their approach with customers. The rooms were superb, we'd booked two doubles and were huge and spotlessly clean. However, on check-out, we vacated our rooms at 12pm and brought our bags to the lobby. We were offered the service of minding our bags by the bellhops (the guys with the blue jackets)while we went for lunch before leaving for O' Hare at 3pm. I enquired as to the cost of this and was informed $ 40.00 which I thought was a little expensive but we had a lot of bags and couldn't bring them with us so we accepted their offer. On collection we asked them to organise a cab to the airport which they did, we paid the $ 40.00 to another of the bellhops who was overly thankful insofar as he asked was this for the taxi fare. Needless to say the penny dropped and we felt ripped off. Anyway, a taxi pulled up outside the door, we gathered our bags and went outside and the bellhop nearly broke his neck running out after us to tell us that this wasn't ours and he'd ordered a mini-van for our comfort. This duly arrived and we loaded up, this &quot;mini-van&quot; was smaller than the cab we got from the airport 5 days earlier. On arrival at O' Hare we asked the fare as our driver had neglected to switch on the meter and were informed $ 50.00. $10.00 more than the fare 5 days beforehand. RIPPED OFF AGAIN. The bottom line is I would stay in this hotel again but the dealings with the bellhops left me with a bad taste in my mouth and they tainted what was up to then a very enjoyable stay. I did complain to the hotel on my arrival home and while they did acknowledge my email, I'm still waiting for a response on the hotels position on my experience.	
Nov 30 2005	Best Western a Great surprise!	What a pleasant surprise! I can't lie...when I heard &quot;Best Western&quot; ... I was a little bit worried. I was pleasantly surprised at the nice room and the excellent service received at this secret gem of a hotel in the most perfect location on Michigan Avenue! Upon check-in, the desk clerk could not have been any nicer! He upgraded me to a corner room on the 19th floor which I am assuming was larger than most rooms. We had 2 double beds (see photos), a nice TV unit, a table, 2 chairs and plenty of space!The bathroom was small but very adequate. (photos) It was lacking in any counter space or hooks, which was a bit difficult with three of us sharing a room.I can't think of a better location. I have stayed on North Michigan Avenue, and also near the Wacker Bridge...but this location was so central, that I really think it was the best of both worlds. The views from our TWO windows were great! (photos)The concierge was VERY helpful with directions, suggestions, bus information, etc! If she was not there, the front desk staff knew lots of info, too!I would definitely stay in the Inn of Chicago again for the great rate that we got.	
Nov 9 2005	Good but Some Problems	I just spent three nights here. I arrived 2 hours before check in time on a busy Sunday afternoon and my room was ready. Yes the room is small but it was adequate. The bathroom, also small, showed signs of revent renovation and was fine. The shower water pressure was excellent! The staff treated me very well and the concierge was helpful. The only real drawback is the heating cooling system. There is only an on off switch and is just does not work very well. Fortunately the weather was very nice so it was not a problem. I don't think I would want to stay here in the Summer.	
Nov 5 2005	It was . . . nice	It was in a prime location. My boyfriend and I almost passed it because I thought it was further out of downtown. The room was clean and comfy. But the ice machine was right outside our door so you can hear everyone getting ice. The soda machine needed to be fixed, but the staff will happily give you a refund. I would definitely stay here again. A little pricey for me (I'm use to staying in smaller cities) but worth it.	
Oct 28 2005	Funny...	I have stayed here in the past, and although the rooms are small, it is a clean and well kept hotel. I called to make reservations for a suite this August 2006, and the reservationist asked how many people, I said 2, then she polietly asked what was bringing me to the area, I said it was my birthday. She then changed her tone, and immediately says, &quot;first let me state&quot; we don't allow parties......I said, Oh no, it's nothing like that, just me and my boyfriend......(I'm 43 yrs. old) but geez....not a, &quot;Oh how nice, it's your birthday, or &quot;that's nice, here's a nice room for you&quot;....just right off the bat, &quot;We don't allow parties&quot; I was pretty much instantly turned off from making the reservation. I even thought I would looked into a birthday package room or special occassion package rate, but I think I'll look elsewhere.	
Oct 12 2005	Location Location Location	Let's get one thing straight. This is not a 5 star hotel, but it is clean, fair priced and close to everything! Sure there are minor room imperfections such as peeling wallpaper and loose tiles in the bathroom, but if you like to see the city on a budget, then this is for you! We stayed here for the Chicago Marathon and loved it. The room was a decent size, had all the basic amenities, and had a friendly atmosphere. We really enjoyed the fact that everything was so close. Michigan Ave is a half block away, and the subway was about 4 blocks away. If you want to be close to the action, without paying a mint, then stay here. If you want to be pampered, then stay at the Drake or the Intercontinental.	
Oct 5 2005	Not really sure...	I agree with the other reviewers that this hotel is in a wonderful location and was an excellent price, but I just didn't think it had a very nice 'feel' about it. The room was small and dark, with just a tiny, dirty window to peer out of, and while we had a non-smoking room, the bathroom always smelt a little like smoke.I am not really sure about other hotels in Chicago, this being my first time to the city (which I absolutely loved by the way) but I would say if you have two choices, Best Western Inn and another, choose the other.That said, can't fault the location or the price.	
Oct 2 2005	Perfect Location	My husband and I recently stayed at the Inn of Chicago and thought it was the perfect location. One block from the Miracle Mile and shopping and close to walking south across the river to the Art Institute of Chicago. Our room was on the 21st floor, corner room, so we had an excellent view of the city. The room was clean, comfortable and the people that work there were more than helpful. We drove and the parking lot is conveniently located one half block from the hotel. Many restaurants to choose from. The hotel has a continental breakfast for $5.50 that was adequate. The only complaint is the wait to get our room. We waited more than 1 hour and when the room was ready they failed to let us know (we were sitting in the lobby). The rates were great and we would stay there again.	
Oct 2 2005	Good Hotel	Stayed in here from Sept 19th - 22nd and we both loved this hotel, for the location(Just off N.Michigan Ave behind Guess? Jeans).Granted the lobby looked like something from a 70's movie, but once checked in the room was very tidy and clean if not a tad small(But hey when your exploring downtown how much time do you want to spend in your hotel room?).The staff were all very helpful and knowledgable, the concierge was great with ideas and loads of vouchers saving us money on things like the Hancock and Sears Towers.Didn't try their breakfast bar but again who wants to eat in their hotel when a whole city is waiting for your tourist dollars?!! - As with other reviews, try the Cambridge House accross the road, they have a great breakfast menu there, and after eating there for 3 mornings we were impressed every time.And once again the location was great, was were able to be shopping 2mins after we left the hotel lobby and were in walking distance for everything the city had to offer more or less-though we did walk some miles in 3 1/2 days!!If you want a cheap hotel in great area then look no further.Only exception was the pan handlers around the area, then again with so much money around there where else would they go to get handouts?	
Sep 21 2005	Great location. Right Price.	Having never stayed at a Best Western before, I was hesitant about what to expect. I was pleasantly surprised at its superb location - one block off Michigan Avenue and within walking distance of plenty of great restaurants, bars and shopping. I especially liked that just a few blocks west was Blue Chicago, a terrific nightclub with live music every night.We reserved two rooms (through their website) and were upgraded (without having to ask!) to a King suite on the corner facing the lake. These aren't the fanciest rooms, but they are clean and well-appointed with all of the basics. And when one of our toilets broke, it was fixed instantly, without any hassle. Plenty of cabs were available and valet parking was fast and courteous.Also, there's a no-frills coffee shop that serves tasty breakfast right across the street, so you can fuel up for the day before enjoying the Magnificent Mile. In all, at $169/night it was a great choice that I'd recommend.	
Aug 29 2005	Great Location	Stayed here early July. This place is very good value as an inexpensive hotel in a first-rate location just off the Magnificent Mile. The downside is that the rooms are small and have a slightly careworn feel, although ours was clean and efficiently maintained. The staff were conspicuously helpful. You could pay a lot more in Chicago without doing noticeably better.	
Aug 26 2005	brilliant chicago hotel	10 mins walk to a beach one way, 5 mins to all the shops downtown chicago has to offer in the other direction.hotel is a typical best western, rooms very standard issue, clean, just generally exactly what you'd expect.would stay again	
Aug 2 2005	My take on this place	We reserved and &quot;held&quot; 2 rooms for 3 nights here via the Best Western Website, both non-smoking, 2 queen beds per room. Upon our arrival we were told that the only rooms available were smoking rooms, one of which had only had single bed.It was late and we didn't have many options. we took them.One room, the one with 1 bed, had a great view of a ventelation unit. The other room, (both on 4th floor) had a good crop of mild growing in the combo bath/shower and peeling wallpaper in the bedroom. Both had noisy under-window AC units.Day 2 we got to change rooms, they were satisfactory, the AC units were much quieter.Starting at 8:30 AM the maids start knocking on doors &quot;Housekeeping!&quot;, on day 3 we heard the knocks, sounded like the were coming from across the hall, to our surprise the maid entered our room (one of us was still getting dressed) &quot;Oops, sorry!&quot; then she left. On our last night there was a &quot;pet&quot; in our room, I think I killed it. Couldn't find it after the second stomp.Other observations, good location, State Steet and Michigan Avenue are close.Nice little exercise room on the 15th floor.The lobby carpet needed to be cleaned (shampooed), dark and grimy. They were vacuuming it upon our arrival, good place to start. Upon checking out, complained about the dirty, smoking room from first night. They knocked $11 off the 1st night's rate. Not much of compenation for our trouble.For breakfast, the coffee shop across the street, not very good. Other places nearby much better, we liked the place across the street from the Holiday Inn a 2 blocks away. If you like that sort of thing, there is a Duncan Donuts across the street.	
Jun 5 2005	Wow 	We booked three rooms and got suites all on the top floor. The space was fantastic. We had seperate bedrooms with sunken tubs and sitting rooms with wet bar. The roof terrace was beautiful. Chicago may be the windy city but from the roof terrace the sun shines without the hint of the breeze you get at street level. The check clerk and concierge were very helpful and for around £80 per night we were treated like Kings. The panoramic view from our suite was great day &amp; night. Excellent location for Navy Pier, Michigan Ave etc	
May 21 2005	Great Room Great Price	We spent three nights at this hotel and were very pleased. The room was clean, comfortable, and well-decorated. The staff were friendly and knowledgeable. The hotel is located in an area with lots of restaurants and less than a block from Michigan Avenue, close to public transportation. We would assuredly recommend this hotel to any Chicago visitor.	
May 19 2005	great location but...	the location of this hotel was great, but the room was horrible. it was so small, the water pressure was terrible, the room temp went from hot to cold so often you couldn't sleep. the only good thing about our stay was that we were allowed to check in early without any problems. i excepted a little better out of the best western hotel chain and would not stay here again when i visit chicago.	
May 16 2005	Unhelpful Staff	We stayed here for 5 days at the end of April and the hotel was completely adequate for our needs. Not the best quality or best looking but we didn't book the hotel with this in mind. We wanted somewhere cheap and central and that is exactly what we got. The location is perfect for shopping on the Magnificent Mile and downtown can be easily reached in a brief walk. However, the major problem with this hotel are the staff and their attitude. We arrived just before 3pm, which is check-in time. We were allowed to register but told to return just after 3pm to pick up our keys, which is fine. We return to the desk just after 3pm to be told our room is not ready and can we return later. I asked when we should return and they said in 30mins. 40 mins later I returned to the desk, the room still was not ready as the housekeeping staff had not cleaned it yet, although they are definitely dealing with it now. When I asked what time it would be ready I was told they couldn't give me a time! They did not know exactly when it would be ready and they have no control over when housekeeping clean the room. We were told this by 3 unhelpful staff who suggested we go for a walk, do some shopping, grab some dinner etc. They said come back in an hour and it should be ready. We did as we were told and returned 2 hours later....guess what....the room still wasn't ready and again they said they couldn't tell us exactly when it would be ready and again told us to go shopping, grab some dinner. They said there were no other rooms available and they didn't know for sure when our room would be cleaned and couldn't give us an exact time of when to return. 4 hours after arriving and watching plenty of other people check-in, completely fed up now of being messed around we stood our ground and said we weren't prepared to put up with this and advised them we would find another hotel to stay at. Suddenly a room became available, not the one we booked, but the penthouse suite was available! We ended up staying in a huge room much bigger than we needed but we got a room in the end although it was a massive struggle. The staff our completely unhelpful, unfriendly, impolite and unwilling to smile, until you start to complain and then they will suddenly start to do their job. We didn't liase with them at all for the rest of the trip as we didn't want to risk a repeat performance. I hope you have better luck with them than we did!	
Apr 18 2005	Great value location clean	Great value and location. Not deluxe, but it is in great shape with clean, new carpets and everything in fine working order. Staff is helpful and knowledgable. Lobby is very nice. Location is wonderful, with a 50year old typical Chicago coffee shop right across the street, and an excellent breakfast restaurant down a block (West Egg). We don't have a lot of experience with downtown hotels, but after comparing prices, this place did us fine. If you are not the type to hang out in the hotel room, but want a central launching point to see Chicago, want to be in a safe area, with a great value on parking ($26/day, 1/2 block away), this is the place. Rooms are not real big, but sufficient. Broadband and wireless Internet starts on floor 11, not a well-publicized fact.	
Apr 12 2005	Perfect Location	My family and I have stayed at the Inn of Chicago many times and will continue to do so. The hotel itself is not oppulent, but it's clean and very comfortable, and is so close to Michigan Ave. etc. A great Italian restaurant is about a block away called Volare, there is a coffe shop right across the street, and a Dunkin Donut acroos the street. The staff is always courteous and helpful, and the rates are very reasonable. The outstanding feature though is the location.	
Mar 19 2005 	Pretty Darn Good.	I was pretty impressed with this hotel. It definitely is not the Ritz, but the hotel was clean and comfortable. There is wireless internet on some of the floors (every floor does not have wireless), which can be helpful. I think it is located in a good spot if you're a tourist. It's a few blocks from the Chicago River, right off of Michigan Ave., and close to Rush Street and all the shopping...etc. on Michigan Ave.The size of the rooms are decent, the bathrooms are a bit small, but adequate, and the beds are fairly comfortable.If you can get a good deal, it's worth the price.	
Mar 8 2005	Nice Location Clean Rooms Friendly Staff	3 friends and I stayed at this hotel March 5-7, 2005. I got two rooms via Hotels, and made my choice based on (1) reviews from this site and (2) price. Knowing what I know now about the hotel, I would make the same choice again.The location was good - right downtown, near everything. The hotel lobby and rooms were clean. The staff was friendly. The area in which the hotel was located wasn't a bad or scary area. The rooms themselves were average in size (not tiny, but not apartment sized). The bathrooms were small, but adequate. We were on the 14th floor and had rooms on opposite sides of the hotel, and each had views of the city.The subway station was only about 4-5 blocks away, but it seemed farther when the temperatures dropped and the wind picked up. There is a Dunkin Donuts and Burrito Beach across one street, and the Cambridge House restaurant across the other. One review on this site said great things about Cambridge House -- it's not bad if you don't want to walk too far and their service is really fast, but the food really wasn't anything to brag about. Timothy O'Tooles (2 blocks away) had good food and drinks, Rock Bottom Brewery wasn't too far away (near the subway, actually) and they're pretty good too. Starbucks was also nearby.	
Feb 27 2005	Value for money	The BW Inn of Chicago is in a fantastic location just off the Magnificent Mile. It is easy to reach from Ohare Airport by 2 trains, costs about £1.00 and takes about an hour. The hotel itself is warm and welcoming. The rooms are basic, but more than comfortable, and well cleaned each day. The Concierge provides helpful information, if you persist, some are more helpful than others (Robert was helpful). We didn't eat at the hotel, but there are loads of fantastic places to eat close to the hotel, and there is a cinema also just round the corner. You cant beat this hotel for good value, but I must say it isn't a luxury hotel, so if you're looking for luxury go elsewhere.	
Feb 26 2005	Great Location -- Better Price!	This is a wonderful hotel to stay at in Chicago. It's so close to Michigan Ave. (literally half a block) and is very nice for the cost of the rooms. We've stayed there several times in the past and will definitely stay again in the future. The lobby is very nice and clean, and the rooms are great also. It's not the nicest hotel in the city, but it's definitely not a dive. The only thing that wasn't great is that the bathrooms are a little small.... but how much time do you spend in the bathroom anyway? :-)I would recommend this hotel to any family and friends of mine who are visiting chicago.	
Feb 16 2005	Good Value Tourist Hotel In Super Location	The 'Inn Of Chicago' as it's known is a 3 star tourist class hotel, located on East Ohio Street, less than 1 minute's walk from Michigan Avenue - 'The Magnificent Mile' of the Windy City. The hotel is 22 stories high and features a gym and rooftop terrace. The lobby area is small and somewhat shabby; the breakfast room/diner is also decorated 1970's style and in need of updating. Rooms themselves are clean and tastefully decorated with air conditioning, TV, safe, iron. At the request of a room with a view, I was offered a South facing room on the 21st floor. The view from here is great, you have a panorama featuring Lake Michigan, The Chicago River (just visible) and the huge NBC Tower amongst others.My bathroom was small and although modernised, was obviously done on the cheap as many fittings were not well secured. The water flow was also very poor and not always hot. Toiletries were provided but were not worth using as the quality was not good.I participated in a breakfast on the first morning($5.50), but it was not worth the money as there are only a few things on offer and it's unattractively laid out on a small table in the lobby level diner. There is a breakfast restaurant across the street which is far more appealling!The location is the extra star in the hotel's rating and is a shopper's dream come true. You're also a stone's throw from tourist attractions such as Navy Pier, Lake Michigan and The Hancock Centre, where you'll see the best possible view of the City (don't think because Sear's Tower is higher that the view is better!). Don't miss out on the Cheesecake Factory below the Hancock Centre after your visit - it is a cracking restaurant.Date of stay: Feb 1st-3rd 2005.	
Jan 20 2005	Spot-on tourist hotel	My boyfriend and I visited Chicago from Boxing Day to New Year's Eve, 2004. We stayed at the Best Western Inn of Chicago throughout the stay, and were both pleased with the hotel.The hotel in itself could do with a refurbishment - the lobby and decor in the rooms is not very promising, however, the rooms are clean and comfortable and perfect for tourists - at the end of the day all you need your hotel for is as a place to sleep and shower.The location of the hotel is excellent - a half block from the Magnificent Mile, but still close enough to walk into the Loop. Perfect for first-time visitors to Chicago like us.My only word of warning for anyone considering staying in this hotel is to avoid a room next to the gym. The gym hours are 6:00 AM to 10:00 PM, and the walls being quite thin the sound of the treadmills is unbearable if you are trying to get some sleep and recover from jet lag.Apart from that I would certainly stay in the hotel again, and for reasonably-priced tourist accomodation I would say the Best Western Inn of Chicago is a very good bet.	
Dec 22 2004	Great location!	Although the standard queen room was smaller than expected, it was very comfortable, clean and adequate for our stay. In general, the hotel is an old building but appears to have been refurbished and is well maintained. The concierge was very helpful. When I mentioned we were going to the Walnut Room at Field's for lunch, she gave us a card to present that put us at the front of the line without waiting. The hotel also arranged a fixed taxi rate going to the airport which was less than we have payed previously. We got a good deal through Expedia and would stay here again for that price.	
Dec 21 2004	Great location half block of Michigan Avenue	This hotel was in a great location for shopping just half a block of Michigan avenue. Although the lobby is a bit dismal the rooms are good.The air conditioning gave a few problems but the maintenance guy arrived within 5 minutes of reporting the problem.I certainly would stay there again.	
Dec 20 2004	Second time Stay. Better than the first	2nd Visit to Chicago and the 2nd time I've stopped in the Best Western. Great hotel and great location. You just cannot argue with this place for the price. The staff are helpful, the valets are great and the stay was most pleasant. When you visit Chicago on a budget, you just cannot go wrong here. Trust me. The only....problem I had with the place was restaurant. Very rarely open at the times us BRits like to eat. You either have to catch breakfast very very early, and if you decide to go for dinner, make sure you eat before 6pm. Us Pats like a later, more sedate affair.	
Nov 17 2004	Can't wait for next stay	Four nights here in October 2004.An excellent location just off the Mag Mile, 600 yards from the Red Line and within reasonable walking distance of downtown attractions.This is not a luxury hotel but is very competitively priced for its standard and location.Contrary to one reviewer's opinion, I found the cleanliness and maid service to be of the highest order. Staff were polite and all requests were accommodated promptly.I will, if possible, stay at this hotel on my next visit to Chicago.	
Nov 4 2004	Graet Hotel 	A lot better inside than it looks from the outside. Staff very helpful. Perfect location. The &quot;Cambridge House&quot; diner across the road is excellent too.	
Oct 17 2004	Great Location	Hotel is in a great location, but do not expect luxury. I had booked a non-smoking room. When we arrived there were non available. The room had a very strong tobacco smell, but is was large and clean. The hotel has seen better days, it looks a bit sad and needs some love and attention. If you are only staying a few days and you are out most of the time, this hotel is fine. The staff were helpful and very friendly.	
Sep 25 2004	Excellent choice of accomodation	Best Western Inn of Chicago was an excellent choice. Initially, upon entering the room, it seemed to be a bit dark and cheesy, much like most of the hotels in England and Ireland. However, once we got accostomed to the room, we realized that it was not as bad as we thought. The elevators are a bit slow, and the bed-sheets didn't fit all the well, but these were just minor inconveniences. Afterall, the elevators at the Marriott Marquis in Times Square, Manhatten, take ten times as long as these elevators.Location-wise, it doesn't get much better than this hotel. Across the street is a 24-hour convenience store, a restaurant with decent breakfast, and an excellent Burrito restaurant. It takes literally twenty seconds to walk to the main shopping street. There's a Walgreens about 5 minutes walk away, and there's an Internet Cafe in the neighbouring Marriott hotel. There are TONS of restaurants on East Ohio Street, which add to the appeal of this hotel. Red Lobster, Rainforest Cafe and others are about five-minutes walk away from the hotel.The Bell-boys deserve special mention as they were extremely efficient. There is also a cab stand just outside the hotel that almost always has a cab. Other hotels in this area are far more posh, but they're also FAR more expensive. The price that we paid for a seven night stay was equivalent to the price quoted by nearby hotels for just two nights. If you're looking for luxury, this is not the hotel for you. But, if you want a FABULOUS location for an excellent price, then book with confidence.	
Sep 15 2004	Fantastic location	The location really was superb. Just steps away from the Magnificent Mile, and handy for everything we wanted to see and do. The room was comfortable and perfectly fine for our needs. We were two friends sharing, and were glad to be offered the chance of a larger room if we waited a little to check in - didn't see what the original one would have been like, but we had a corner room which presumably gave us more space. Two things worth mentioning: I'd read complaints about the slow elevators and lack of fitted sheets on this site and thought people really did go over the top when pointing out faults. That is until I had to wait a full 10 minutes for an elevator, and my sheet practically came off my bed in the night as it was just too small and didn't fit properly. However, neither would put me off staying at this hotel! The Newsmakers restaurant/cafe was, in our experience, fine for a quick breakfast or lunch (although it shut, weirdly, at 2pm). The bar wasn't great, but then there are so many more exciting places to go than your hotel bar when you're in the heart of downtown Chicago. The concierge staff were most helpful with looking after left luggage, ordering taxis etc. I would definitely come here again.	
Sep 9 2004	Great Service 	Booked with an online discounter for a great rate. I was worried we'd get a basement room by the boiler, but we got a corner room on 12. It was a pretty large room (larger than most on the floor from the map by the elevator). Yes, the bathroom is a little small, but we go to a lot of bed &amp; breakfast homes &amp; we've travelled a lot in Europe, so believe me, I have seen bathrooms WAY smaller than this.It is an older hotel so the lobby is small, the elevators are way small, but the location is so close &amp; convenient to so many things. Close to the free trolley &amp; bus stop as well. Can't imagine a more central location.The staff was incredible. They told us what busses to catch, they called the museum for us to get the Labor Day hours (different than what is published). They arranged transport to the airport for us, came outside to make sure we were getting the right cab, loaded our luggage into the cab &amp; refused to take a tip. We checked out at 11am &amp; our flight didn't leave until 9pm. They held our luggage for us all day &amp; again refused a tip.The rooms have been updated in the last few years &amp; we found them very clean &amp; tastefully decorated. Beds were comfy enough - I usually have a hard time sleeping in hotel beds but I slept like the dead.A/C was blocked by the curtains, so I had to prop something against the curtains to keep them from billowing &amp; blocking the cool air. Rooftop deck was OK - nice view. One thing we liked - since there was no pool, seems there were also no kids. We're child-free, so it was nice not to have kids running around all over the halls &amp; lobby.This is by no means a luxury hotel, but it's certainly no TravelLodge either. I'd stay there again in a heartbeat.	
Aug 22 2004	Great Service!	We stayed here for three nights in August. What a relief! Everyone was sooooo friendly and helpful and never seemed bothered by answering the same &quot;tourist&quot; questions over and over again. It is in a great location and the price cannot be beat. By the way...Garretts popcorn on Michigan Ave. was the only place we found where the staff was so rude to the point of being ugly to it's patrons. Don't go. There are other popcorn stands in town where they appreciate their customers and the popcorn is just as good if not better.	
Jul 19 2004	Whattadump	I can't believe others are rating this dump favorably! I had to remove the toilet paper roll to sit down, it was the smallest hotel bathroom I have ever seen in my life. The AC was loud and inneffective. The elevators tiny and slow (I ended up just walking down 12 flights of stairs rather than waiting for another full elevator). The ***** hairs in the bathtub from a previous guest just set the tone for my 3 day stay. Never again, I'll tell my agent to put me up under a bridge rather than the BW Chicago.	
Jul 13 2004	Couldn't ask for a better location.	We stayed here for 6 nights at the beginning of July. When we arrived the lady at reception was a little concerned that the room we had booked was too small for us for 6 nights so she upgraded us with no extra charge! The room was clean and spacious but the bathroom was very small. Staff were usually happy to help and we were able to book discounted boat and trolley tours through the hotel. The hotel is in a perfect location for tourists- everything you need very close at hand. Only negative point- the air conditioner was a little too loud.	
Jul 13 2004	Great Price and Location	Great location right off Michigan Ave. The price was great. We booked directly with the hotel. The el-train was about two blocks away. It was a short enough distance that we walked with our luggage to the hotel. The room was small but clean and neat. Our friends were booked next door. Everything was just as I expected.  The restaurant directly across the street is not just a greasy-spoon. It was a delicious place and decorated very tastefully; it was a place where the locals go. We ate breakfast there on Sunday morning. The food was served to us quickly, by a friendly and efficient waitress.	
Jul 7 2004	Central Location	Arrived Wed at about 1 P.M. and were able to check right in. Room was typical hotel room, 2dbl beds, armoire with TV and storage for small suitcase,and 3 drawers. Room was on 7th floor with decent view to south. Staff was helpful in answering our questions concerning siteseeing and arranging for a van type cab to take 7 people to the train station. The location of the hotel is great for shopping on Mich.Ave or walking to Navy Pier, or hitting the beach. The rooms and halls have recently been renovated and are clean and comfortable. A patio area on the roof, 22nd floor, provides a nice view of the surrounding area, including the lake, the NBC building and the Hancock Tower. The coulple of negative items are no exhaust fan in the bathroom, and no fitted sheets on the beds. Across the street are restaurants and convience stores.	
Jun 29 2004	Great hotel for the price and LOCATION	I stayed here just this past weekend and have to say for my first time in Chicago, the Best Western was a great value for the location. ($112 a night). Our intent was to find a place that was clean and friendly, nothing fancy or over catered......just a nice place to rest your head after being out and about all day........and Best Western Inn was great. It was clean, beds were of average hotel comfort, the hotel was very quiet and the staff was very helpful and friendly. The only real down sides I think most people will find is that the room is a tad small as is the bathroom. The location is awesome, right in the heart of the Magnificient Mile. The restaurant across the street &quot;The Cambridge House&quot; is perfect for breakfast The food is fast, affordable and most importantly tastes great. Also anyone visiting Chicago has to eat at the &quot;Cheesecake Factory&quot;........best cheescake and the best food I have ever tasted!!Yes this is no 5 star fancy all out hotel, but if your looking for a friendly, clean, simple hotel thats affordable and in a great location, this is a great choice.	
Jun 21 2004	Thanks Best Western Inn of Chicago!	Last weekend was our one year anniversary and my first trip to Chicago. The Best Western Inn of Chicago upgraded us to a beautiful suite on the 22nd floor - completely unexpected! The room was large, clean, and quiet. We had a beautiful view of the city and Lake Michigan. They have a wonderful observation deck as well. We were centrally located well within walking distance to great restaurants, the Miracle Mile, and Navy Pier. The staff was friendly and helpful. We recommend the Best Western Inn of Chicago to anyone who wants quality and value.	
Jun 21 2004	great hotel for the money	We just returned from 4 days at the Best Western Inn of Chicago. I had over-analyzed the reviews on this and other websites prior to booking, but my concerns were put to rest the moment we arrived. Yes the suites, bathrooms and elevators are small - it is an old hotel. But the service was excellent, the hotel was clean, and the location cannot be beat! Just steps from the Magnificent Mile, Navy Pier, restaurants, theatre, shopping... I would recommend this hotel to family and friends, and will definitely be staying there when I return to this beautiful city!	
Jun 20 2004	We loved the hotel and the city of Chicago!	My husband and I just returned from Chicago. We were in town for three nights and stayed at the Best Western. First of all, it is in a great location. We loved being able to walk everywhere. It is extremely close to the Navy Pier. The hotel staff was friendly and helpful. We were on the 16th floor. Second of all, the city of Chicago was amazing--everyone was so friendly--we loved our trip! You can walk to the John Hancock building from the hotel. We would absolutely stay here again. 	
