	Great Hotel Good Location Great Value	I took my girlfriend to Chicago as a surprise anniversary present the weekend before Thanksgiving. I am unfamiliar with Chicago, but knew I wanted to stay near the museum and Millenium Park. On a value travel website, I found a rate for Hotel Blake less than half their advertised rate and I was sold. Reviews said it was 3-4 stars, but I really wasn't sure what to expect.When we showed up, I was pleasantly surprised. It's in a good neighborhood, and only a few minutes walk from Michigan avenue. We checked in very late, but the desk staff was courteous and helpful, though we did have to unpack and carry our bags ourselves. Valet-parking was available from the hotel, but half price parking is available literally just down the street from the hotel. When we made it to our room on the 9th floor, I was amazed at the room. Large room, magnificent bed, good decorations, huge bathroom. There was no train or traffic noise on the 9th story, and we both got excellent sleep on the comfortable mattress. Free wifi, excellent soap, shampoo, body wash, etc... even a sewing kit. The room definitely deserved four stars, my only minor quibble was a little mold in the shower stall of an otherwise impeccable bathroom. We never really tried the TV, but the room clock connected to my ipod, which I thought was neat.The free breakfast was great and unexpected, but I recommend getting there early as they ran out of donuts and danishes well before the posted closing time. Service was uniformly cordial and helpful, recommending good restaurants and nearby attractions. (awesome, but get there early). The pictures of Chicago posted on the Hotel Blake website were not representative of the actual view from the hotel, but google maps let me know what to expect in the vicinity. Overall, I heartily recommend the Hotel Blake and will probably stay there again if I can get the same rate.	
Sep 11 2006 	Great Way to Celebrate Anniversary	My husband and I celebrated our anniversary in the city and the location was great! close to michigan ave shopping. the rooms were spotless and the amenities were fabulous. It also had one of the most comfortable beds i have ever slept in!! A+ stay.	
Sep 5 2006 	amazing very convenient to Board of Trade	I stayed at Hotel Blake during two separate business trips to Chicago. Each visit was made even better by the friendly staff who always greeted me by name and went above and beyond by anticipating my needs while there.As a business woman working at the Board of Trade I found the location of Hotel Blake to be incredibly convenient as well.I look forward to returning to Hotel Blake very soon. I'm very fortunate my travel agent found such a gem for my hotel accommodations.	
Sep 5 2006 	Great stay at the Blake	My stay at the Blake was great! My wife &amp; I stayed there because of a recommendation from a friend. We had a romantic evening for the two of us and we didn't even have to leave the hotel. The hotel staff was very courteous &amp; helpful. The concierge even got some of our favorite Italian Ice from Tom &amp; Wendee's.	
Aug 17 2006 	Great Stay	Hola, I have just returned from a wonderful 4Nite stay at the &quot;Hotel Blake&quot;, We could not have asked for anything more considering the price we paid. The staff were very friendly and helpful especially Patrick. They catered to our needs, with great smiles. This boutique hotel will only get more expensive as time goes on. I feel very fortunate to have stayed at this lovely place when I did. I would go back in a heartbeat. I also love the help I have had, thanks to all of you that take the time to give a feedback. My trip to Chi Town was super!!!!!	
Aug 17 2006 	Great Location but nothing spectacular	My husband and I stayed at this hotel during our recent trip to Chicago for Lollapalooza. The hotel was a few blocks walk from Grant park and numberous &quot;L&quot; stations which was a perfect location. The room was nice, newly renovated, but we did have a room with a view of the white brick wall. No biggie, we weren't in Chicago to spend much time staring out the hotel room window anyway. The bed was very comfortable and the renovated bathroom and rain-style shower head were great. Overall nice hotel, no raves or complaints. Definitely work a package deal so you can save some money on the rate, but the location is great.	
Aug 16 2006	Beautiful Building Great Hotel	Hotel Blake is a beautiful hotel in an excellent location! The building is historic and fabulous, and the rooms are comfortable, roomy, and quiet. I would absolutely recommend staying here.	
Aug 4 2006 	Don't Stay Here	My stay started off pleasantly enough, but at 6:30am on Saturday morning I was awoken by loud construction that did not abate. The staff at the hotel was not only unapologetic but they refused to do anything to alleviate the situation -- this includes moving me to another room, offering me a discounted rate, etc. What proceeded was a run-around by the management that dampened my stay. While I was excited by the fact that the hotel was new and a small boutique establishment rather than a chain, I quickly realized the lack competence and integrity. There are plenty of better places to stay in Chicago where you can be assured that the management will safeguard your need for a good night's sleep.	
Jul 24 2006	Beautiful room great stay	I stayed at the Blake from July 15-19 and was a little wary due to the reviews on this website. Most of the negative reviews are based on the fact that the hotel has been undergoing renovations over the past year. Well, the renovations were complete in the lobby and on my floor, and the hotel is beautiful! My room (616--a standard king) was very spacious (over 400 s.f.) and had a great view of the Chicago public library. Note: I highly recommend getting an even-numbered room, since the odd-numbered rooms face a rather unattractive white wall. The bed was large and comfortable, the flat-screen TV was great, and the spacious bathroom was finished in stylish marble and had a large vanity with two sinks--perfect for myself and my partner. My favorite part of the room was the new carpet--great style and great texture (I usually don't notice carpet, but this was wonderful)! The lobby was rather small and unremarkable, but attractive. I agree with others who have posted about the Orange restaurant around the corner--great for breakfast! And young Patrick the doorman was very helpful. The location is only one block south of the loop and within easy walking distance (5-10 minutes) to anything in the downtown area. I would stay here again! (I had to move to the Hotel Burnham--#1 in Chicago according to Tripadvisor--in the middle of the week due to a Priceline reservation, but I thought the rooms at the Blake were much nicer). I would definitely stay here again!	
Jul 12 2006	Highly recommend the Blake	Wonderful stay at the Blake. The hotel staff. from the front desk to the housekeeping staff, went above and beyond to meet our every need. The accomodations are beautiful, and the bed is one of the most comfortable I have ever slept in. Special recognition should go to Patrick, for directing us to some of the best nightlife available in Chicago. Will definately stay here again.	
Jun 27 2006	Hotel Blake	We recently spent 3 nights at the Hotel Blake and were VERY pleased with our stay. The room was above average and very clean with a lovely bath and king sized bed. The location couldn't have been better. You had the choice of walking to many areas or taking the subway (which was a block and half away) or bus (across the street). We recommend buying a CTA visitors card for as many days as you plan to stay. We didn't eat in the hotel but for breakfast the Orange Juice Co. around the corner was excellent. Meals are large (we shared our breakfasts). Tourists visiting there on Saturdays should try the free &quot;EL&quot; tour that leaves from the Visitor's Center at the Cultural Center. The Chicago Trolley/Double Decker tour was excellent as well as the the river/lake boat tours (we used Wendella near the Wrigley Bldg.). All in all hotel and area made for a very enjoyable long weekend!	
May 30 2006	Loved the Hotel Blake and surrounding area	After reading the horrid reviews on this site and one other I was hesitate about staying here, even after booking the hotel. I called a couple of times before hand to get an honest opinion on the status of the hotel. They were honest and informed me that they were at the end of remodeling, and that all of the rooms weren't complete. When I arrived there, Friday, May 26 I was amazed at how modern and sophisticated the hotel lobby was. The doormen were nice and helpful, and the front desk clerk had great personalities, and informative. I almost fainted from joy when I entered my room. The king size bed was extremely comfortable, there was 2 trash cans, there was a tv, and the place was clean. I do have to say that my favorite part of the hotel room was the bathroom. It looked 20 times better than a lot of chained hotel bathrooms that I've stayed in or visited. Marble galore, the shower was magnificant to point I can tell you, I would have to show you. Every detail in the bathroom was on point. 2 thumbs up to the decorator of the hotel rooms. The location was perfect: 20-30 min walk to the lake (perfect), 15 min walk to Marshall Field's, across the street from the huge chicago library, 20 min walk to the museum where the King Tut exhibit is displayed, 10-15 walk to millenium park. Need I go on....I personally wouldn't eating at the Custom House restaurant (although they do have room service) because they are waaay overpriced. I do recommend eating brekafast at the Orange restaurant around the corner on west harrison. The people there are friendly, the food is reasonably priced and delicious!!! Would I stay at Hotel Blake again? Heck yes!!! And this is a person who lives and works in New York City!!!P.S If you are trying to visit Wrigley Field...this is no where near it!!!	
May 29 2006	Easy access to public transportion home of the $45.00 breakfast	We checked in several hours early and were given a handicap accessible room. We soon learned why the room was available. Handheld shower fell off the wall, no holder for the bath tissue, and since it was an accessible shower and floor was sloped you had a river leading to the 2nd drain in the center of the bathroom floor. We informed the desk of the broken shower and went out for the day. When we returned the shower was not fixed so they gave us a new room. The 2nd room was the same size but also had a desk, a chair/footstool, double sinks in the bath and a great shower. If you are on a budget, don't eat at the hotel. While they were the best poached eggs my partner has ever had, a light breakfast for 2 was 45 bucks with tip. The hotel did make the room right, the rooms are large and for Chicago a rate of 189 including tax isn't that bad for a room with a view.	
May 25 2006	A great stay	Had an unexpected delay at O'Hare and decided to head into the city for a night's rest. Walked into the Hotel Blake and asked for a room at 3:30 AM. The clerk gave us a reduced rate for checking in so late. The room was wonderfully appointed. We didn't see the website beforehand, so I can't speak to what is advertised. The hotel restaurant had a fabulous breakfast that was reasonably priced for the quality. Hopefully they'll have the remodelling kinks worked out soon; we'd stay there again in a heartbeat! One block away from the LaSalle stop on the Blue Line.	
Apr 24 2006	Needs some work	My husband and I were planning a long weekend trip to Chicago in April about two months out. When I began my hotel search, everything seemed to be at least $300/night for downtown hotels- a price I was unwilling to pay outside of New York or Europe. I found a AAA rate at Hotel Blake for $171, and the website looked promising, so I booked it. A couple of weeks ago I decided to check the reviews, and unfortunately they were far from good. I looked online at every hotel chain I could think of in addition to hotels.com, expedia, etc. but there was not a room to be found at any price. Alas, we were left with The Blake. Concerned that the hotel would be overbooked and that we would be left without a room when we were able to check in around 11:30 pm on a Thursday, I re-confirmed our reservation online AND called around 5 pm the night we were going to check-in. Thankfully when we arrived, our room was available. However, the restaurant adjacent to the hotel was already closed and there was no mini-bar in the room (which I can not positively confirm I read online, but I thought I did). That was a tad disappointing considering it was my birthday and we wanted to have a celebratory night-cap without having to venture outside. The room was not overly spacious, but sufficed for a tourist visit to Chicago (We did have the smallest room they offer though). The rooms are a bit noisy (there's a huge space between the marble floor and the bottom of the door), especially if you happen to be near the elevator as we were. No flat screen tvs as mentioned on the website when I first booked. It is quite obvious that this was the plan since as another review mentioned, there are jacks on the wall both in the room and in the bathroom. As my husband said, it is as if they had all these great ideas to remodel the hotel, but they ran out of money. I actually liked the shower sans tub, but that fact should be included in the room description for those that must have a soak. We had no problems with towels, but housekeeping replenished only the shampoo when we had used up all toiletries. The ice bucket was tiny and yes, only one ice machine on the 12th floor. The fitness room was actually pretty nice- new equipment, towels, water cooler, and flat screen tv. There was no spa, even though the sign in the hallway indicates one. Overall, I would say that Hotel Blake certainly has the potential to be a good hotel. The location was convenient and the hotel staff was pleasant. However, I would not pay more than $150/night for a room. And given the lack of certain amenities (room service, mini-bar, bathrobe, etc.), I don't think it should be affiliated with the Preferred Group of Hotels. This hotel is not even close to being in the same league as the Grand Hotel in Minneapolis or the Marco Ocean Beach Resort in Marco Island (two &quot;Preferred&quot; hotels I have frequented).I think the only way I would stay here again would be if they offered room rates significantly cheaper than others in the loop/mag mile area.	
Apr 23 2006	Renovations are complete and it's lovely	One should disregard all of the bad reviews that were written prior to completion of the renovations. This hotel is quite nice now that all updating has been completed. The rooms are very clean and tastefully done. The bed was so comfortable and quite luxurious! I kept wondering why there had been so many bad reviews of this great-looking place, and decided that most of them must have been written while it was under construction. As far as not being safe, I don't agree. There was nothing unsafe about it. I will agree, however, that the front desk staff was a little clueless, talked too much and didn't mind keeping customers waiting while they chatted to the previous guests. While the hotel is a little south of the city center, it is still quite within walking distance of everything, including Grant Park, the acquarium, the planetarium and Soldiers Field. We had great walks near the river every day, and absolutely loved that we were staying at this location in the city. If you can get a good deal on this hotel, you will not regret staying here. It is lovely and a good value.	
Apr 20 2006	New Hotel * Great Experience	My husband and I recently had the opportunity to stay at one of Chicago's newest hotels in downtown Chicago, Hotel Blake. We took the rapid transit in from O'Hare Arport and was surprised to see that the hotel is located right on the Blue Line stop. We walked just a block and were right at the hotel's doorstep. The hotel is also walking distance to the Art Institute, Buckingham Fountain and many other sights in the area.The hotel rooms are quite large and very nicely decorated with fluffy down comforters on the beds and the rich colors of the decor are absolutely beautiful.The hotel staff was most polite and accommodating to our every request. We found the hotel to be comfortable and to our liking in every way.I would highly recommend this hotel to anyone looking for a great stay while in Chicago.	
Apr 17 2006	Avoid at all cost!	I could write a book with all the problems there. The hotel was way over booked. We had 4 adults and need a room with 2 beds. I booked a double through the hotel website, and called to confirm about a week before, and the front desk clerk told me when I checked in that reservations just guarantee a room. Not a specific room, or even a specific type of room. She offered a king bed and a pull out sofa, and I asked for a discount. I was told she couldn't discount the rooms, and that she had one double left. Lucky us. Of course we get to the room and its a king bed and a chair, not even a pull-out sofa. So down we go to wait in the line to check in again! We ended up in a king room with a pull-out sofa, no discount. We had problems with towels, sheets, pillows, coffee mugs, blankets...and the second day after house cleaning came through we had to locate extra towels again. One of the two elevators kept breaking down, and the only ice machine is on the 12th floor. Saturday after spending the day with friends and shopping we returned at 1:00am to find the dead-bolt out holding the door from latching. Our room had been open since housekeeping had &quot;cleaned.&quot; No plasma TVs, but the wall did have a bunch of holes from where a plasma TV might have been mounted. Intermittent cold water in the shower. One of the sheets housekeeping used to make up the pull-out bed had paint on it from the remodeling.Every time I was at the front desk a guest was there complaining. Both lines of people were full of guests wanting double rooms, pillows, towels, etc. I called the front desk and asked for a manager Friday night after checking in, and was told she would be in Saturday morning so I left contact info and asked that she call me. She never did. I left a hand written message at check out, no reply. I left voice mail, no reply. I have emailed about 8 people, most of them have been returned &quot;unknown recipient&quot; and I have not heard back from the other two.My credit union is disputing the charges, everyone with similar experiences should do the same.	
Apr 10 2006	Not Safe!	I recently travelled to Chicago with my 17-yr-old daughter to look at colleges in the area. We booked a room at the Hotel Blake through Hotels because it had received relatively high ratings and looked to be well-situated for our needs. Although Hotels.com says that the hotel has limited room service, in fact it has none. There is a restaurant in the same building as the hotel, but it is not affiliated with the hotel and has very limited hours (i.e. stops serving breakfast at 10am on weekdays!). Again, even though Hotels indicates otherwise, concierge service is negligable and provided by staff that is unfamiliar with the city of Chicago. I got more useful information regarding restaurants, public transportation, and shopping from other hotel guests! The deciding factor for this review, however, was a matter of hotel security, or, rather, lack thereof. My daughter and I returned to our room around 9:00pm the second evening of our stay and went directly up the elevator to our room.When we got to our room, neither of our keys would work in the lock. After trying several times, I decided to go back downstairs to the front desk. However, before I walked away from the door, a young woman walked toward my daughter and me and asked our names. She told us that that was her room and that she was waiting for her roommate (a co-worker she had never met) to check in. She went on to explain that she had been in the room (our room!) to freshen up before going to dinner and was now ready to call it a night. She told us that when she had gone into the room earlier, she noticed the suitcases, clothing, and toiletries and simply figured that her roommate had already been there and unpacked - she said that the desk clerk would not confirm or deny whether the roommate had actually checked into the hotel.After opening the room door for us and getting her things out of OUR ROOM, the young woman and I went back down to the front desk. I asked to speak with the manager but was told there was no manager on duty. When I told the desk clerk what was happening and that there had been a MAJOR security breech, she agreed with me and apologized. She then issued new keys for my room and moved the young woman to another room in the hotel. I asked how I could be sure that no one else had a key to my room. She assured me that no one did; however, that did very little to ease my mind given that I was staying in the hotel with my daughter. I immediately went back upstairs with my daughter and bolted the door to our room. However, I spent a sleepless night worrying that someone would try to get into our room.The next morning (Saturday), I went downstairs to check out of the hotel around 7:30am. I again asked to speak with a manager and was again told there was no manager on duty and that no manager would be in until Monday (2 days away). I briefly explained to the desk clerk on duty what had happened the night before and how appalled I was that a hotel could make such a gross error of negligence. I again got an &quot;I'm sorry&quot; from the clerk but nothing else.I don't know how the hotel managed to make the mistake. I don't know if it was a computer error or a human one. But, it doesn't matter how it happened. The fact is that the hotel put three female guests (the young woman, my daughter, and me) into a potentially disastrous situation where our belongings could have been stolen or we could have been physically harmed. Luckily for all of us, the young woman was honest and we were harmless, so nothing terrible happened. I will never stay at the Hotel Blake again, and, if asked, I will never recommend the hotel to anyone.	
Apr 2 2006 	Hotel Blake? How about Hotel Half-Baked?	I am staying here now (April 1). The experience is nothing like advertised on their website - no TV in the bathroom, no minibar, no door on my closet, no fancy bath products, etc. On my second night here, I had a knock on my door and it was &quot;housekeeping&quot; coming to install an alarm clock, which my room didn't have before. My remote control was broken, and it took 36 hours for an &quot;engineer&quot; to come &quot;fix&quot; it. My heater is louder than an airplane taking off.There is construction happening on every floor, no spa, only one working elevator for almost ten floors . . . it is pretty much a nightmare. Lucky for you, I'm in the city to tour its hotels. I think you'd be much happier at the Talbott or Whitehall. That is where I wish I had stayed.	
Apr 1 2006	Hotel Blake: False advertising	The Hotel Blake in Chicago is truly AWFUL! Amenities advertised on their website but nonexistent were: no flat-screen TVs, no room service, no clock radios, no shower/tub combination (shower only with extremely slick ceramic tile floor-an accident waiting to happen) no electronic check-out, no in-room safe, no CD/DVD player, no complimentary newspaper, no guide to TV channels or list of hotel services, no in-room refreshment center, no desk with ergonomic chair. There was 1 restaurant next door but not affiliated with the hotel, serving artsy food with sky-high prices. Great I suppose if you simply must have &quot;veal cheeks.&quot; TV didn’t work in the fitness center, water cooler was empty, exercise to the sound of jack-hammers! When we needed a cab, the front desk told us to go hail one ourselves. Before checking out, we called to have our car brought around, waited about 45 minutes, &amp; were finally told that someone had called &amp; cancelled our request! This place ought to be in a Chevy Chase movie. Especially the toilets that flush so loud you'll run screaming from the room! Fine if you want to buy breakfast at White Hen or eat lunch at Taco Bell or Subway (across the street). When I pointed out the disparity between what their website promised and grim reality, they blew me off, saying they’re still under construction &amp; there's nothing they can do, i.e., tough luck. Of course, their website did NOT warn us about ongoing construction.	
Mar 28 2006	Going back to Hotel Blake	I also decided to stay here even after reading everything online. I was nervous because of the bad reviews, but kept my reservation after calling ahead to insure my reservation and to let my requests be known ahead of time. I checked in on a Saturday evening and left late Sunday night. I had no check-in or check-out problems; there was no wait, the room that I had requested was available and the staff was very respectful. My room was on the second floor. It was quite lovely to be honest. The only thing was that our window looked out onto a brick wall. My daughter and I laughed for 10 minutes and never thought twice about it. We were traveling for pleasure and did not plan to do much in the room other that bathe and sleep. The beds were excellent, but the sound of the heating/cooling fan was unusually loud. The fitness center was great. It's located on the second floor and surrounded by windows with a view and no brick walls.	
Mar 27 2006	Not Quite There Yet...	Well, after reading everything online, I decided to stay here, mostly because you couldn't beat the price for the location, and I was working on a tight schedule. To tell the truth, I was kind of afraid of what I'd find after reading some of the reviews. Luckily, we are not very picky people, so we were able to do what we needed to do - bathe and sleep, really. But the place could still use a lot of work.We checked in on a Saturday afternoon and left on a Sunday morning. I'll just say that we had no check-in or check-out problems. We went through Expedia, got there, there was no wait or problem, we went up to our room, all was well.In the room, there were some oddnesses. Things that have been mentioned - no trash can, poor lighting - just a bunch of little lamps providing &quot;mood lighting,&quot; the drawers on the table/desk were still taped shut. We opened one of the drawers and the bottom of it was totally ripped. No phone book in the room. There was a 1' by 2' area of the ceiling that was not painted. Our window looked out onto a brick wall. The TV was huge, but sat right on the desk - basically rendering it useless as a desk. Also, thank goodness that we were exhausted, but you could hear the people in the hallway as loudly as if they were in our own room. I kept wanting to check to see if I had closed the door all the way!So, all in all, it was not a catastrophe - our room seemed clean, at least, and there were none of the problems with check-in, etc, that have been mentioned, but these folks have got to get their act together! I mean, you would think they would want to get trash cans in the rooms, at least, so we wouldn't have to leave our garbage all over the place...	
Mar 19 2006	Horrible!! Bait 	Against my better judgement (based on the horrible reviews) I booked a room at Hotel Blake based on their description online as well as the fact that their renovation was supposedly complete. After arriving I discovered that EVERYTHING promoted in their website was a total fabrication! Instead of plasma TV's my room contained a broken TV, no radio, no honor bar, lights in the bathroom burnt out, etc... Upon contacting the front desk, I was informed that it was my fault for not contacting the hotel directly (which I had actually done) to confirm that the things being promoted on their website existed. When I informed them that they were misrepresenting their hotel and actually committing a &quot;bait and switch&quot; tactic (which is highly illegal) they said that they would refund my money and I could find a room elsewhere. Which I did, and they were not willing to help me with. Do Not Stay Here And Reward Devious, Illegal, Business Tactics!!!	
Mar 7 2006	A complete nightmare!	Let me start at the beginning...I had a reservation at the established and beautiful Palmer House Hilton but cancelled it because of this hotel's website. It sold me! I had great expectations of a plasma screen television, DVD/CD player, flat screen in the bathroom and luxury accomodations. Instead I received terrible service, a dusty room with a bathroom smaller than the one I have at home in my apartment! We stayed February 24 - 27, 2006.I arrived with two friends and there was no one outside to help us with our bags. After lugging our bags in the hotel, we waited for at least 40 minutes to check into our rooms. Me and one friend were staying in a double and our other friend was staying alone in a double. Her double was twice the size as ours with a huge bathroom but we all had the same issues. She was on eight floor and we were on the seventh...the front desk clerks neglected to tell her that she would have to get off on the 7th floor and walk up a flight of stairs to her floor!!! There were several basic items missing from our rooms. A closet door, hangers, an ironing board, washcloths, trash can, alarm clock, kleenex and a bath mat. We immediately asked for another room and they all of a sudden didn't have ANY rooms to give us. A few minutes later she said &quot;we have queen rooms but they are dirty and we are waiting for housekeeping to come in for their shifts.&quot; They were completely sold out and overbooked. Each time we went downstairs, we saw people going off on the staffers because of one issue or another. One woman was in the lobby from sunup to sundown waiting on a room! A mother and her teenaged son made a reservation using Expedia for a suite only to be told that &quot;we don't have suites completed yet.&quot;The front desks clerks were unprofessionally dressed, mean, rude and nasty and did nothing to make our stay pleasant. When we asked for the manager they said he/she wouldn't be back until Wednesday. Of course we were leaving on Monday. When we read them a list of what was missing, the front desk clerk brought the ironing board and hangers up. We wanted clean wash cloths and the housekeeper we saw in the hall notified us that there weren't any. We asked Sarah for a trash can and she brought out a blue recycling bin with trash in it!! We took 20 towels off the housekeeping cart just to pad the concrete hard bed for an average night's sleep! The room was so dusty, I had a coughing fit every time I opened the curtains in the morning. When you called downstairs they either would let the phone ring 50 times before they answered or leave you on hold for 30 minutes. Thank God we had a cordless speaker phone. The lamp was broken on the desk so the room was poorly lit all weekend. The valet took from 30-45 minutes bringing your car to the front of the hotel. One day we called way ahead of time while we were getting ready and by the time we got downstairs the car still wasn't outside...the next day we called, they brought it out within 30 minutes but took it back because we &quot;took too long coming downstairs.&quot; Since there were no plasma tvs, tvs in the bathroom or dvd/cd player, we bought a dvd player from Target to hook up to the tv. They didn't even have in room movies!!! We called and complained and asked for a refund the day after we returned home. We found out that the General Manager was fired and replaced by someone that knew nothing of what went on during the weekened. That person is contacting Corporate to figure out what to do about compensating us. This was by far the worst hotel experience I've had in my life.	
Mar 1 2006	Be very careful	Be very careful if you decide to stay there. It was chaos - the folks did not have a handle on what was going on. Rooms were double-booked (people actually walking into rooms with other people in them), no one around to help, rooms were full of dust because of construction going on, lights didn't work.....you get the picture.Check-in was a nightmare - they had NO clue. Hour wait.The rooms were nicely done, but very small.	
Feb 27 2006 	Good potential terrible experience	I recently took a small group of students to Chicago for a competition. We had reservations for five at Hotel Blake. When we arrived at 8 pm, there was only one staffer working the front desk. Although she was very kind and polite, there was quite a long line of people with complaints and it took a very long time to be helped. We had reserved five rooms through Orbitz, but when we checked in, bearing confirmation codes, only three of us had rooms. The clerk tried to find rooms for my students and sent them to multiple rooms. One had no working locks, another had an unfinished bathroom (plumbing still being installed), another two more still had non-functional locks. Having been informed that there were no more rooms left, the female student slept in my room and the male student decided to sleep in an unlocked room. Of the rooms that were &quot;acceptable,&quot; two were missing light bulbs (my room had none), none had trash cans (we never got any despite repeated requests), and one had a shower that wasn't working.The following night we were able to obtain rooms for the two students without acceptable rooms. Even one one of those rooms had a non-functional sink in the bathroom, but at that point, it was the least of our concerns. The assistant manager, Natalie, was very nice, but she couldn't even tell us if we would get our money back and could not run the computer. In fact, there was no one with any authority to fix any problem on the property (the locks did eventually get fixed Saturday night). We were not the only ones having problems. All weekend, the front desk was pummelled with irate guests demanding towels, washcloths, trashcans, etc. We felt sorry for the front desk staff, most of whom were ever pleasant and professional.The hotel, to the extent it was finished, was lovely and the rooms were very promising...though the armoires had no mini-bars yet. I highly recommend waiting to visit this hotel until they are done renovating it.	
Feb 7 2006	Great Modern Motif!	I was worried after reading some past reviews, but this was great. The rooms are beautifully decorated- very modern. The bathroom was huge and great walk in shower. The restaurant seemed to close pretty early though; we were never able to make it back early enough to try. TIP: It’s pretty close to Millennium Parking garage which is the cheapest rate in the city for 24/hour parking.	
Feb 1 2006	Very nice stay	I wasn't expecting much after reading previous reviews, but the renovations are largely complete, and it was one of the nicest hotel stays I've had. The room was luxurious, the staff was very helpful. There is food and drink within walking distance. It was also nice and quiet, except for street noise (I was facing the main street.) Not a place for children, but great for business.	
Jan 3 2006	Not very nice..dark and no one around	looked haunted. no one around but i. nice rooms no help.	
Aug 2 2005	this place was lovely Not!!!	the hotel was okay looking from the outside. but inside, that is a whole different story. they messed up our rooms which we reserved a month in advance.we wanted a room with two double beds. but they said all they had was a one bed room with two cots.that just wasn't going to cut it so we talked to the manager and got what we wanted. we never saw any body there any way so there shouldn't have been a problem. all of the staff people were very rude to us. and on top of all that one of the two elevators broke.the hallways smelled musky and damp. we were on floor 4. and the ice machine was on floor 12. that was just great. the only thing that was even a little bit ok was the excerise room they had. it was all nice except the water jug didn't have any water in it. i will never stay there again as long as i live.	
Jul 27 2005	could be stellar -- mixed review	My wife and I were supposed to stay at Hotel 71 the weekend of a wedding we were attending this past June; Hotel 71 is the sister property of Hotel Blake. But due to a power outtage that screwed up Hotel 71's reservation system, they put us up at Hotel Blake instead -- it was under construction, but we lucked out and got a HUGE suite for $99 + tax and our first night was comped! Our room was completely furnished in a very modern decor, similar to a W Hotel. We had a total of 3 plasma TVs in there: one in the living room, one in the bathroom, one in the bedroom. Iron, ironing board in the closet. There was a minibar with sink as well, but unfortunatley, no fridge. Mini-CD system in the living room with DVD player hooked up to the giant plasma (if allowed to I would have stayed in to watch DVDs on that huge TV, but alas, we were there to go to a wedding - drat! I mean, we could have thrown a killer after-party there, but the wedding was out in Oak Groove but I digress....).Printer's Row, while father south, is still within walknig distance of Michigan Ave and the parks (we walked over to Taste of Chicago when we stayed). Or you can cab it to nearby attractions for a couple of bucks. There's a few restaraunts across the street and a Starbucks on the corner as well.So, the room was really excellent. But the staff is kinda non-existent (I had to ask for a valet and it's not really clear where you should pull your car up to; also be aware that there's no valet past midnight: I had to park my rental car at the nearby lot myself and walk back on the night of the wedding -- kinda of a drag) and the staff also overall had blah, non-customer centric attitudes. The woman working the front desk did let me use their computer to print out boarding passes after checkout, so kudos for that.I think once this place is completely finished being renovated, it could seriously kick ass -- the room decor was great! But it all depends on how they staff it and how the restaraunt and bar turn out (these were both under construction when we stayed). Also worth noting: the owners are selling furnished condominiums in this building on different floors -- don't know how this will change the atmosphere once residents start moving in. I guess this is a new concept with some renovated hotels - see [-]Would we stay again? Only if we could get a great price (no more than $125 /night). Given that it was summer and a convention was going on in town, we were lucky to get a room -- but here's a NOTE TO THE MANAGEMENT of both Hotel 71 and Hotel Blake: get it together when it comes to your reservation system: having worked for an award-winning travel prodvider [-] I know that the res system is your LIFE BLOOD. BACK IT UP MAN! There was no excuse for not tracking your room inventory closer and backing it up so once the power came back on you can get back online immediately -- this was why we were booted from Hotel 71 -- I can't comment on that hotel except that some of the other wedding guests we met actually went back to it after being put up elsewhere (Le Meriden) and said the rooms weren't all that great there.So overall, this was a mixed bag for us: GREAT ROOM, so-so staff.	
Jul 17 2005	not in a hurry to stay here again	Yes, the hotel is under construction, but that was a minor inconvenience. The air conditioning unit was very loud, the internet server was down, the TV remote didn't work and the hot water tap on the bathroom lav almost took two people to turn it on and off. At check out, the woman didn't bother to ask how we liked the room, I think she knew.	
May 27 2005 	Hotel Bleak	OK, checked into the Blake after making reservations through hotwire, who in the past was pretty consistant. At the entrance I could not find a valet or door man to help with the luggage or parking, no big deal. After checking in and finding the valet Ii took my luggage to the fifth floor. When the elevator opened I found myself in a construction zone. There was no wallpaper or paint on the walls and only about half the floor was carpeted, renovating, no prblem, on to the room. ok room nothing special, except there were wires everywhere at the workstation, and the lights, tv, and fridge did not work. Called the desk, they sent someone up, in the mean time I had found a power strip that had everything plugged into it that was turned off. this turned everything on except the remote for the tv would not work. The maintence man programed it to work. Later that evening I tried to order room service only to be told that there was no restaurant. It was closed and there were several nice restaurants within walking distance. After I voiced my displeasure I was told I would get free parking and a list of restaurants that delivered to the hotel, not to mention the &quot;Continental breakfast.&quot; The next morning at 8a.m. the continental( in the lobby) consisted of coffee and 2 muffins, one chocolate and one chocolate chip.  The toilet would not flush properly, when I ordered food for delivery there was a $2.00 phone charge (they took it off), one soda and ice machine on the 12th floor, an indifferent staff, I actually felt sorry for them, and I never did see any construction going on. It could be nice, but it was bleak.),	
Apr 6 2005	so-so but I didn't actually stay there	I had booked through expedia to stay at the Hotel Blake. Got there and they were undergoing renovations. We were sent to Hotel 71 a 'sister hotel' and told the hotel Blake would phone over. Got to Hotel 71 and they said no one had phoned. Finally got it sorted and a room. will continue review of Hotel 71 under that section. On checking out time I was given a bill (taken directly out of my account) for my stay at hotel 71. Had to go back to hotel Blake and get them to sort it out. Still waiting for my money. Reception - looks terrible - a thick curtain around a few computers is the front desk.I didn't actually stay at the hotel Blake so I can't really say any more about it.	
