	Review...	Hotel itself was nice. Concierge was great as well as the staff in the bar/restaurant. The staff at the front desk were horrible!!!! We waited 1 1/2 hours passed our check in time and finally I went up there for the third time and they had a room ready for us. Hotel was beautiful, rooms were nothing special, hotel was close to everything...including the hospital across the street that has ambulances with sirens leaving and arriving all times of the night! Ugh.	
Jan 10 2006	Wyndham during the holidays	We had an excellent stay the week before Christmas. The weather was so very cold, but there was always excitement in the lobby as groups of ladies shopped and families bundled up to go outside and experience the Mag Mile. The location to Michigan Avenue was just a block, right in the middle of shopping, and the turn street was located at the corner of the huge Crate and Barrel on Michigan. We used the concierge a lot, and they were always helpful in suggesting unique, non-chain restaurants for all meals - a big plus for us. It was a bit far to walk to Navy Pier in the cold, but definitely do-able. The nearby West Egg Cafe was great for breakfast and the restaurant, Volare was good for dinner. This is great for families, couples, and anyone else who wants to explore this part of Chicago.	
Dec 29 2005	loved the Wyndham	my husband and i have just returned from a 5 night stay at the wyndham ,from the moment we set foot in the hotel we were treated wonderfully .The hotel was clean the rooms very spacious, we were on the 6th floor but very rarely did we experiance any noise from the hospital , I recomend the corner bakery for breakfast. I am a fan of new york at christmas time and was a little reluctant to book for chicargo but i would definatly go back and stay at the wyndham	
Dec 21 2005	Perfect Location Great Hotel!!!	We came to Chicago for a group shopping trip. You cannot ask for a better location. There are many shops and restaurants located on the same street, and the Magnificent Mile is probably about a minute walk. Gino's East famous Chicago deep-dish is about 8 blocks away (w/in walking distance), as well as soo many other places. As for the hotel, the staff was very friendly, the place was gorgeous, and the rooms were spacious and clean. The beds were comfy, and the bathrooms were huge-gorgous granite countertops with tons of space, beautiful tile showers, and even a phone in the bathroom! The fitness room was also nice and quite large. The pool area is rather small, and although I did not use it myself, some of my fellow travellers did, and they did say that both the pool and the jacuzzi seemed a little on the dirty side. There were also some nice restaurants on-site. For breakfast, there is a Dunkin' Donuts and a McDonald's w/in walking distance, as well as The Corner Bakery directly across from the hotel, which has a pretty decent breakfast, lunch, and dinner menu at affordable prices. We had breakfast there twice-you can get anything from bagels/breakfast pastries to small breakfast platters or breakfast sandwiches, available for dine-in or to-go (hint-if you get your order to go, you will get it right away, but if you tell them you are dining in, you will sit at your table w/ a number and wait for them to deliver it to you-I had to wait about 10 min, for a toasted bagel one time!). I would stay here again without a doubt, and for the rate we got of $99/night, it was well-worth it!	
Dec 6 2005	Wyndham was a Winning Experience ...	Chicago is my birthday present to myself each year. Husband &amp; I usually stay at Monaco but they waited way late to post decent rates so I decided to try the Wyndham. Since we know Chicago so well I knew the area was great and so was our experience at the Wyndham. Great customer follow-up before and after our stay. Room was nice size and clean, bath was nice, and beds were comfortable. The only thing I missed was my usual view of the River, but you can see a little of Lake Michigan. Would definitely stay at the Wyndham again.	
Nov 19 2005	Great Location	We stayed at the Wyndham Chicago using the American Girl Package. Great location just off Michigan Ave. Very spacious rooms, and elegant decor throughout the hotel. On the negative side, the front desk and concierge were not very helpful with a couple simple needs we had. We did have to listen to ambulances arriving at the hospital about every 15 minutes, but I must admit, I did not notice them much after midnight. Plus, there is not much &quot;atmosphere&quot; at the hotel. It's a place for business travelers. Maybe this is expected on a weekday in October. We did get a helpful rate, but if we travel back to Chicago, I wouldn't be opposed to staying here, but I'll probably look around for a different place.	
Nov 1 2005	Wonderful and beautiful hotel	Just returned from a one-night Saturday night stay at the Wyndham in downtown Chicago...had a wonderful time, our room was incredibly spacious (HUGE bathrooms!), the bed was perfect and the view was great. We were on the 11th floor and had no complaints whatsoever! Check-in was very efficient and the woman at the desk was very friendly and energetic...express check-out was a nice touch too. Very clean lobby and hallways, very quiet hotel. We got the military discount rate so that was a plus! Parking is expensive ($39 per night) but that is pretty much the norm in downtown chicago. Great location, one block off Michigan Avenue and shopping galore. Would definitely recommend this hotel...look for travel special discount rates, especially if you are a government/military person!	
Oct 29 2005	Great Location and Great Hotel	We've been to Chicage nearly a dozen times in last few years and have stayed at Omni, Marriott, and (wanting to save $ and stay out of the Mag Mile-big mistake!)) at Days Inn in Linclon Park...The Wyndham is by far the best place we've stayed! They make you feel welcome, do the best they can to accomadate your needs. Though you're right off the Mag Mile you still get a touch of a neighborhood. The Hospital noise is rare and compared to the traffic on Michigan Ave it's actually quiet!	
Sep 22 2005	Nice Stay	Stayed at the Wyndham Downtown for three nights in September. Room was on the 14th floor and never heard much ambulance noise that other guests have mentioned. Nice room with a bit of a view of the lake and Navy Pier. For breakfast we visited the Corner Bakery just opposite the hotel, it was never too busy. Overall would recommend the hotel, we plan to stay there again next year.	
Aug 26 2005	Very pleased with the Wyndham	I chose the Wyndham because of the reviews on this site and the excellent price (less than $150/night). I also enrolled in the ByRequest program for Wyndham visitors which provides some upgrades (like free wireless networking, a welcome beverage and snack, etc). The hotel location is great as it is 1 block from the Magnificent Mile and across the street from the hospital. The rooms were very quiet - I never heard my neighbors or any street traffic. I would stay there again.	
Jul 29 2005	Great time in Chicago at the Wyndham	Great deal for the price and location. Went for the American Girl package for my daughter's sixth bday. The hotel has a wonderful American Girl package but you have to call them and book via phone vs on line. Book early if going in the spring, Chicago is busy. The hotel gives away a free robe and slippers for your doll. Too cute. Great location and clean hotel.	
Jul 27 2005 	Great City Experience	I enjoyed my 3 night stay at the Wyndham. The room was large, comfortable, with all of the usual amenities. Staff was efficient and pleasant. Check out was a breeze. There was a problem with my reservation but it was corrected quickly. Yes, there was a lot of hustle bustle outside of the hotel but I took it as just the expected activity &amp; excitement of a downtown hotel in a big city. The location was perfect as attested to by other reviewers. Be prepared to share the hotel with plenty of little girls with their dolls! Some locals told me the hotel restaurant is one of the best but I did not have the opportunity to eat there. I had just one problem (which I seem to encounter too often so maybe it's me) ----a dirty stained carpet.	
Jul 20 2005 	Skeptical but loved the Wyndham!	My husband and I decided to surprise our daughter to a trip to Chicago, mainly for the American Girl Place. We chose the Wyndham because of their AMG package, which included a bathrobe and slippers for my daughter's doll. The room was always clean, and we are extremely picky in the cleanliness area.We stayed at Le Meridien several months before and loved it! However Le Meridien was $300-400 a night vs. $170 for the Wyndham. We took our chances and we're glad we did. Our daughter loved receiving chocolate chip cookies on arrival. We also were upgraded to a corner suite with a lake view free of charge because of the by-request membership. We were even able to see the fire works from Navy Pier, since we were there the week before the fourth of July. The by-request manager, Ana, was amazing! She always went the extra mile for us. Thank you Ana, we will return to the Wyndham, mainly because of your hospitality!	
Jul 19 2005	Quite nice	Nothing to complain about at all. The room was big, clean, and everything worked. Check-in was simple and friendly and check-out was super fast. 1 short block to North Michigan and an easy walk into the Loop or Navy Pier. Corner Bakery across the street was really convenient and tasty. Being Chicago, there's a Walgreens within a block or two of everywhere!	
Jul 19 2005	Extremely Disappointing	Stayed there for 2 nights of a long trip and it was two of the worst nights sleep I ever encountered...the worst night's sleep being the Eastern Blackout a few years ago where it was over 90 degrees and the North had no power. The hotel was in good location to get to the trains so we could get to the White Sox and Cubs games. The walk was long but not too bad. The hotel was clean, but it was August and they did not have the AC working. With 4 people in a room on a hot August night, it gets stuffy and the first room we were in would not dip below 78 degrees. So they said it was fixed downstairs....no change 2 hours later. A staffer came up to look at the vents and said it was damaged but should be ok.....no change. Got a different room the next night on a different wing of the hotel...same difference. It was deja vu. I have stayed in Wyndams all over and am a preferred member but this put a bad taste in my mouth. It was almost like they did not want to turn on the AC because they wanted to cut corners and save money. Valet parking was ok, it just took 45 minutes to get to them. In front of the hotel is chaos with cars boxed in packed all over the place. They need organization. I would never stay in this hotel ever again in the Chicago area. Almost walked out to the Courtyard a block away....if I was alone I would have.	
Jul 13 2005	Wyndham is in the heart of it all!	My husband and I live in the Chicago suburbs and wanted a quick getaway. We are very familiar with the city and knew where to stay. This is really in the heart of all the excitement-Magnificent Mile, Navy Pier, Oak Street Beach! Great room and nice hotel restaurant. The pool was disappointing though-not meant for couples...really suited for kids because it was so small and very crowded. I would stay there again and highly recommend it.	
Jul 11 2005	Great Hotel	My husband, 2 girls and I stayed at the Wyndham July 4- July 9.The hotel is very nice, extremely clean and all employees were very courteous. Our room was great. We upgraded to the suite. (pull out sofa for kids) we had plenty of room for us 4. The bathroom was above average size and very clean also.The location could not be better. One block off of Michigan ave. And a short walk to the Navy Pier. Room service was good, the corner bakery just outside the hotel is great for breakfast or lunch. The only downside was our room was very near the emergency room of the hospital next door. We overlooked the nightly sirens though, and they did not bother us too much.We had a perfect stay and would go back if the opportunity comes up again.	
Jul 7 2005	Wyndham is a great hotel!	Being a long time fan of Wyndham hotels I decided to stay at the Wyndham Downtown Chicago on a recent visit to Chicago.I booked online on Tuesday afternoon for a room on Friday evening. Friday morning before I left I found a better rate on Wyndham's website and they were happy to give me the better of the two. I ended up getting a suite for less than I was going to pay for a corner king.Upon arrival I was greeted in the prompt, professional way I always have been at Wyndham hotels. I checked in and was on the elevator to my room in under 5 minutes.When I reached my room my byrequest amenity was waiting for me. Cheese and merlot, as well as extra bottled water and orange juice.The suite was larger than most apartments in my area. The bathroom was huge and spotless. The master bedroom was nicely done and the double sheeting of the comforter (which was been a tradition in better hotels in Europe for decades) was perfect for the season. It wasn't too heavy (which was great because of the outside temperature being over 90 degrees). After relaxing we left to see our show, stopping by the concierge desk to ask for a dinner recommendation. The nice lady told us about a bistro 4 blocks from the hotel (called Bijan...or something of that nature) that served until 4am. (A problem with being in &quot;lively&quot; downtown Chicago is that most of the restaurants stop serving around 10. Yeah, what a nightlife.)The next morning we had breakfast which was better than average and left to head home. The staff was friendly and helpful each time I had a request or inquiry. I will be staying at the Wyndham on my next visit to Chicago!	
Jun 16 2005	Good Value	Found the Wyndham hotel and staff very satisfactory. The staff was friendly, courteous, and professional. The room itself was nice. Real comfortable beds &amp; bedding. Very good location.	
Jun 12 2005	Great Location Average Room	My husband and I stayed at the Wyndham for 2 nights in early June 2005 while visiting our son, who had been attending college in Chicago. I booked the special &quot;Take Your Daughter to Chicago - American Girl Package,&quot; which offered a rate of $169.00 a night for a standard room, a $100 savings over the regular room rate. I booked a room with 2 double beds, as we thought our son might want to stay with us. The package included a Wyndham bathrobe which fits an American Girl doll.When I checked in, I discovered that the hotel had changed our reserved room with 2 double beds to one with only a king sized bed, because that was my preference when I joined Wyndham ByRequest. If we wanted our son to stay with us, we had to pay a $20 a night fee for a rollaway bed. I was tired after driving almost 600 miles that day and didn't have the energy to protest. I did not get any kind of upgrade for being a ByRequest member, although I did get a free small bottle of wine and a cheese and cracker snack.Our room was on the 8th floor, and was on the small side, but was adequate. As a ByRequest member, I did not have to pay the $10.99 fee for internet access. The room had a queen sized bed (NOT the promised king sized bed), a small sitting area with a chair and a desk, and a refrigerator/mini bar. It was clean and quiet; I did hear a conversation from a guest in the next room, but did not hear any street noise.My son decided not to stay with us, so I asked the front desk to remove the rollaway bed about an hour after it had been delivered. This was done promptly, but when I checked out, I was charged $40.00 for 2 night's use, which I had to ask to be removed from the bill.When we first went to our room (around 4 pm), there was a full bottle of beer in the hall by the door and there were dirty dishes and an empty beer box outside several other rooms which were not cleared until the next day. Housekeeping is quite slow; on the second day of our stay, our room was not cleaned until almost 4 pm.The hotel is in a great location, within walking distance of shopping and many area attractions. I highly recommend the delicious food at the Corner Bakery, located across the street. Overall, this hotel was fine, but it is really not a 4 star hotel. I would stay here again if I got a good rate.	
Jun 8 2005 	Designed as an Office Bldg.	Looks like an office building, feels like an office building, and orginally it was built as an office building. This all around average hotel with average size rooms has a very commercial feel to it. Chicago is full of better choices.	
Jun 4 2005	Great Hotel Perfect Location!	My husband and I stayed here over Memorial Day weekend. (We live in the suburbs just outside of Chicago but stay in the city every once in a while.) The location was fantastic... within walking distance to Navy Pier and just one block from Michigan Ave (shop to your hearts desire). We were also within walking distance to the Readhead Piano Bar (a great low key piano bar) and a nearby diner for breakfast. The room itself was great. We got a corner room. Everything was clean and very nice. VERY comfortable beds and pillows - one of the best nights sleep I've ever had in a hotel. We heard the sirens a few times but they by no means bothered us. We parked in a structure about a block away ($30 ouch) but that's normal for Chicago and the fact that we could walk or take a short cab ride to anything we needed made it a great deal for this hotel.	
May 27 2005	Great location but ....	absolutely wonderful location, just a block from michigan avenue. the hotel itself is a nice-looking building. unfortunately, the staff were very disappointing. i don't think i saw one employee smile the whole time i was there. the room had a nail sticking out of one of the door hinges and some faded graffiti that someone had obviously tried to clean and not done a very good job. i would definitely expect better considering the price of the place.	
May 9 2005	Fantastic hotel	We loved our stay here, the service was great, the room was large, clean and had a great view. The hotel is located just one block from the Magnificent Mile with all the premium shops you could ever want. It was also just a short walk from the Navy Pier and the John Hancock building. The loop is about 20 minutes walk from the hotel.We joined the 'Wyndham By Request' loyalty service before we booked (it's free) and I think we were upgraded as a result and were given a room on the top floor (17th) of the hotel.We would both recommend this hotel very highly. But whatever you do, don't visit the T.G.I.Friday's 'restaurant' next to the hotel!	
Apr 29 2005 	They really helped me out...	After the Chicago Marriott had &quot;lost&quot; my reservation and only permitted me to stay one night for my conference (as they were sold out for the remainder) the Wyndham really came to the rescue. They could not do enough for me and I found their staff extremely pleasant. The bar/dining room, while a wee bit expensive, served tasty food and great drinks. My only two complaints were that I am a member of their &quot;club&quot; which provides for certain amenities, none of which I received. Need my morning paper and when it wasn't there, I finally said something...nicely, and the manager apologized profusely. Lastly, the hotel is directly across from Northwestern Medical Center...try to get a room in the back of the hotel so you don't hear sirens all night.	
Apr 23 2005	The Wyndham Chicago is just ok	We booked this hotel based on the fabulous reviews it got... if you are looking for strictly location - book the Wyndham Chicago. We couldn't have asked for a better spot. We walked out the front door of the hotel and found fantastic shopping, restaurants - you name it! On the other hand, everything else about the hotel is just ok. The staff are not particularly friendly - with the exception of the concierge, and we were given a crib for our little one that didn't even have a proper crib sheet - they simply folded a full sheet and placed it on top of the mattress! If we were at the Holiday Inn, I wouldn't even mention it. Wyndham can do better.	
Apr 17 2005	Everyone else tried harder!	Parked and stayed at the Wyndham upon our return from Mexico. Our charter flight got in at 1:00 a.m. on Sunday morning. I new in advance I would have to call the hotel upon touchdown in order to have the shuttle pick us up. It took 55 minutes and three phone calls to the hotel to finally have the shuttle pick us up. By that time the other hotels; Ramada, Hilton, Holiday Inn, etc. had already made multiple( two and three round trips) pick-ups of travelers staying at those hotels. When our shuttle finally arrived, there were a handful of men on the shuttle. who it turned out had no luggage. My guess is the shuttle service was being used to shuttle airport workers to and from the airport. Didn't look to me that it was on &quot;the up and up&quot;- somebodies little sideline business. The excuse at the front desk upon arrival was &quot;we're running behind&quot;- what a crock of ....Bottom line, the Wyndham was not worth the price premium as compared to the other park/sleep/fly offerings.	
Mar 30 2005	Loud rooms	Not a good hotel if you like to sleep at night. Noises ranged from conversations in the hall, conversations of guests next door, and ambulances going into the medical center across the street. Rooms were dark but clean.	
Mar 23 2005	Nice Location - Decent Hotel	I've stayed at this hotel on two different occasions. Each time, the staff has been accomodating and the room (a one bedroom suite on each occasion) fine. I've stayed at the Embassy Suites down the street which is also a good choice and the Doubletree on Delaware as well as a Courtyard near the loop and the Palmer House Hilton. For my money, the Wyndham (booking on the internet with an internet rate) has offered the best combination of location, value for the dollar and service.My only complaint would be that the rooms are much too dark. Lighting is low and they are decorated in dark colors. Of course, this means some dirt doesn't get spotted by the housekeeping staff, but my rooms have been as clean as any of the full service hotels that I've stayed at in Chicago. None of them have been perfect (I have a low tolerance for dirt) but they've been acceptable. If you drive, understand that they charge you $30 to park your car. You can self park for less at the lot by the Embassy Suites a couple of blocks away if you're so inclined. The pool area is older but nicely maintained. The gym is nothing spectacular but it's much better than those at competing hotels in the area. As for the location, for the leisure traveler it's great. Navy Pier and the lakeshore are within walking distance and Michigan Avenue is only two blocks from your front door. There are also many good restaurants at all price points within two to three blocks of the hotel. Although, with so many good choices in Chicago, I'd recommend investing in a cab and venturing out.While it's not up to the level of a Four Seasons or a similar luxury property,all in all, I think most people would be happy at the Wyndham. It's a nice moderately priced hotel.	
Mar 21 2005	Loved the Windham!!!	My daughter and I stayed here last week and we couldn't more agree with all the positive reviews. It is a great location for all the shopping on Mich. Ave. The hotel itself was very clean and the staff was extremely helpful. We were in the bar one night and mentioned wanting to get info on Jazz &amp; Blues clubs, next thing I knew Jorge the bartender came back with a list from the concierge. The Corner Bakery across the street was a bonus, great eat &amp; run breakfasts. We won't hesitate to go back.	
Mar 16 2005	A Good Choice	Booked online and got excellent rate for corner room. Beautiful hotel with great location 1 block off Michigan Ave. Bellman gladly loaned us umbrellas. Good amenities. I'd stay here again.	
Feb 7 2005	Loved it! Perfect Location!	I use this site all of the time, wanted to share my experience. Stayed at Wyndham first week in January. First of all, PERFECT LOCATION!!! Everything within walking distance or short cab ride. Breakfast right across the street (Corner Bakery) Ice Cream and Doughnuts 1/2 block away (Baskin Robbins &amp; Dunkin Donuts) open 24hrs. for the late night munchies. Pizzeria uno or Due short walk which is a MUST!! The hotel had great service, extremely comfortable beds, clean, pretty, ETC&gt;!! The hotel bar is GORGEOUS with a great view. Very laid back and comfy with big velvet couches and chairs to relax in. A great place to have a b4 dinner drink. I Read about the closeness of the hospital and the noise of emergency vehicles all night. That was not a problem for us. We heard it once or twice in the morning and really was not a problem. I would stay here again in a HEART BEAT!!	
Jan 31 2005	Great location - wonderful stay	Just returned from a few days at this hotel. Our first trip to Chicago!! We chose this Hotel based on the trip advisor reviews and were not disappointed. Overall we had a wonderful stay and kept commenting on how friendly everyone was wherever we went in the city!!It is v. centrally located a block off of Michigan Ave. The service and accomodations are great for the price. Very simliar to other Wyndham Properies we have stayed at in Boston &amp; Phoenix, Arizona so we knew what to expect decor wise etc. Join the Wyndham ByRequest for some free welcome gifts (drink/fruit). Yes, true the pool &amp; hot tub are very small but there were only a handful of people there at the time so it made having a quick dip fun - the small sauna was also very relaxing after a long day!! As another reviewer suggested, we bypassed the taxi/shuttle bus options and took the CTA (Chicago subway) from Midway to the Chicago stop on the redline and then walked 10 mins to the Hotel. I think it was just $1.75 each way v. $25 or so we would have paid for a taxi each way. The CTA was suprisingly easy to use. It took us about 45 mins from the Hotel door to Midway Airport on our way home. Loved the close proximity of the Hotel to the Corner Bakery, TGI Fridays &amp; the beautiful, must see.....Grand Lux Cafe!! The food was delicious. We would stay at the Wyndham Chicago again.	
Jan 20 2005	Wonderful Stay and would return	The hotel is a block off of Michigan Ave on Erie St. The service and accomodations are wonderful for the price. The entrance is very grand with the second floor check in. Loved the Corner Bakery and TGI Fridays across the street and down the block. Join the Wyndham ByRequest and get the free stuff. You have the chance of a upgrade of the hotel isn't booked and full like it was on our weekend. Take the Trolley tour if time allows. Avoid the cabs and transients because the will bring down your trip. It amazes me that Chicago doesn't do something abou them walking there cornerstone shopping area. The cleaness and streets are nothing like New York on how clean New York is.	
Jan 18 2005	Pleasantly surprised	My husband, daughter and I just returned from a long weekend in Chicago. I booked our stay with the Wyndham after reading several favorable reviews on this site. I also believed that &quot;you couldn't go wrong&quot; with a Wyndham hotel. We were very pleasantly surprised when we checked in to find that we had been upgraded to a &quot;junior suite&quot;. (I had joined &quot;By request&quot; at the suggestion of this site when I booked the trip. That is one of the percs - free upgrades.) The room was very large and clean with a king bed and queen sofa bed. The bathroom was extremely large also and when we called down to the front desk for extra towels and an extra blanket there was someone at our door within 10 minutes. The people were very friendly and the hotel was very convenient. We were able to walk to Michigan Ave, Water Tower Place and even Navy Pier. We will definately stay there again when we return in the warmer weather.	
Dec 28 2004	Service not refelective of 4 star quality!	The accomodations were okay... clean and nice looking. However, the service was just okay... something I'd expect at a 2 star hotel, not a 4 star. They don't allow early check-ins (and check-in is not until 4 p.m.) and they don't allow late check outs (all we needed was 45 minutes!!). The valet service is really slow and expensive... I have stayed in Chicago a number of times and usually pay $30 and here it was $38. Like I said, the stay was okay, but I'd rather pay less at a 2 star hotel and expect that kind of service rather than pay for a 4 star hotel and get 2 star service. Also, we had to pay for phone calls!!! I have never expericenced having to pay for a 1800 # in my hotel room. It was $1.50 for the first ten minutes and then we had to pay $1.10 for every ten mintues after that. Ridiculous!!! Nothing they did was really wrong per se.. but they just don't do anything to go out of their way to make you feel appreciated for your business. If they don't value me as a customer I'd rather go elsewhere!	
Dec 28 2004	Contrasting Experience	The facility itself was very nice and quietly comfortable. But some widely varying service created feelings of uneasiness during our two-day stay. Upon arriving, the bell person started the unpleasantness by stating that if we did not like the unreasonably high valet parking charge that we just self-park our car. Unfortunately, this was neither realistic or thoughtful given that the self-parking was located over a block away and the weather was windy with a below zero wind chill. Then a friendly and courteous front desk person and concierge warmed us up. But we were let down again by poor room service and several brusque, unfriendly hotel employees. Perhaps we had just set our expectations too high over Christmas.	
Dec 22 2004	Nice Hotel Great Guest Program	Great location right off Michigan Ave. If you find a better rate on another booking site which they can check they will match the price and give you the first night free. I found a better price at -------- and they matched it and gave us our first night free. We should have booked online but I did thru the reservation center so do it online for the free breakfast coupon. We were already members of Wyndham by request so we were upgraded to a corner king room which was very nice but the carpet was a little spotty. And the lighting is all lamps so its not very bright in the evening. The large bathroom was wonderful. We were welcomed with our choice of mixed fancy nuts and water and pop. What a nice treat. Parking is $38 a night with ins &amp; outs. We parked there but the next time we will use the garage across the street its only $32 and you can have access to your car without calling the valet, we did not know were there car was parked as the garage was not onsite.You do have to use two different elevators to get to the guest rooms but the beautiful decorations and views it was not a problem. The check in is on the second floor as the valet desk is on the first floors.This is our 6th hotel we have stayed in and we will go back they were the best for someone on a budget, if you book with them direct, the upgrades and Wyndham by request treats are well worth it. They do not give WBR to people who book with any other site, so book with them for the best deal, or ask them to match it as we did for a great deal. The corner king was $125 a night we booked a king for $89 on their site and they matched the $79 we got at beststay plus the $2 service charge and gave us the first night free since we had booked 2 days. So we paid $81.18 plus the $38 a night parking. What a great deal. I took the printout from the emails and its a good thing I did I needed it for my free night as the hotel billed me for both nights, but they corrected it with a copy of the email saying my request to match the lower price was honored. We walked to Dicks Last Resort for lunch and Giordios for pizza for dinner. There is a Dunkin donuts and a Burritto Beach and subway and chinese all within walking distance too. Great hotel great prices if you book with them direct!	
Dec 15 2004	Central location a fail safe hotel	I was suprised to see the mixed reviews for this hotel, we stayed here for 5 nights and found the rooms to be clean and well presented, the food above average and the staff friendly.The hotel is not the best in the world, but it certainly is a long way from the worst.Its central location is a big plus, and if you are looking for a fail safe hotel that offers mid range accommadation at mid range prices this hotel is for you.I was tempted to rate the hotel as average but it is better than that and the location deserves 1 star alone (very central).	
Nov 19 2004	Loved the Wyndham	This site was very helpful in planning my recent trip to Chicago and I just wanted to reciprocate and provide some additional info about the Wyndham. Despite the fact that I think I was the only person who didn't get an upgraded room (lol), I have only positive feedback about the hotel. The location just off the Magnificent Mile was excellent and concierge was very helpful in providing info about bus routes, etc. I did join Wyndham by request (and would recommend doing so) and the welcome snack was a nice treat. In making my reservation on the hotel's site, I was also able to print out a coupon for a free breakfast. Very nice buffet but had breakfast the rest of the time at the place across the street. One additional nice touch was that the business center had free computers you could use to access the internet. Would definitely stay there the next time I'm in Chicago.	
Nov 15 2004	Not So Great	My husband and I stayed at the Wyndham this past weekend, and were disappointed with the hotel accomodations and service. We frequently travel around the USA and typically stay in upper class hotels at least 20 times a year. Unfortunately, this was our worst experience of the year. We were driving from Michigan when we called the hotel to ask about parking facilities. We were told that only valet parking was available, and then the lady rudly hung up the phone. Upon entering the hotel, the lobby was small and the carpeting was a bit ragged. Our room, though it was a junior suite had no more extras then a regular room except for square footage, yet it cost $40 more per night. It was poorly lit and right across from the hospital which I had specifically requested we not be located. As soon as we walked into our room, I contacted the front desk and they said there was nothing they could do about our location and appologized. The next day my husband and I went shopping and came back early evening AFTER our room was cleaned. As we were resting in our room, a hotel employee opened our door and walked in, they did not even knock! We were very disappointed, and for the money we spent we could have stayed in a MUCH nicer place. To top it all off, the hallways were caked with dust along the edges of the floor and desperately needed to be vacuumed. Being a partner in the hotel's preferred guest program did not seem to help. We have had MUCH better experiences at other Wyndham hotels, and frequently stay at one in Texas. However, next time we are in Chicago, we will take our money and ourselves to another place!	
Nov 3 2004	Very Excellent accomidations	My partner and I, just returned from a weekend getaway in Chicago. We were very pleased with our stay. The location was great and the service was very consistant The hotel was very clean and conviently located off of Michigan Ave. We will defenitely stay here again !	
Oct 30 2004	OK hotel--nothing great	A previous reviewer mentioned the hospital across the street and sirens. That was an understatement!! ALL NIGHT LONG we were awakened by sirens. The emergency entrance to the hospital is across the street from the hotel. The room was good size, but the bathroom was in major need of a good cleaning. Thankfully I got a great rate on Priceline, or I would be requesting my money back!!	
Sep 7 2004	Inconsistant service	Got our room from priceline for $75. The rooms are nicer than Hyatt Regency for half the cost. We upgraded regular room to an executive suite for $45 extra per night. Rooms were clean and quiet, although the rooms are starting to show a little wear. However, you should know that they don't treat guest that book rooms online through sites like hotwire or priceline very well. I don't know how many times we heard the words: &quot;Sorry but because you booked on priceline...&quot; Also, the valet was not very good. We patiently waited an hour for our car while another guest screamed his head off at the head valet for not having his car out within 20 minutes. He, of course got comped valet right away. We had to struggle for ours. So if you have a problem here, don't be nice about it. Scream yell and make a fool of yourself to be treated as a guest.	
Aug 4 2004	Excellent Location	The location of the Wyndham ,Chicago was excellent. One block from Michigan Ave. or Magnifficient Mile, 15 minutes walking distance from Navy Pier. The room was very clean and very spacious, including the bathroom. Because the hotel is in front of a hospital, sirens are heard during day and night. The only problem we had was with the air conditioner. It has movement sensor and it turns off automatically, but it was turning off even though we were in the room and were not sleeping. Also during the night sleep we felt sweating. Well we turned it on again and get used to it.	
Jul 25 2004	Very Enjoyable Stay	We spent two nights at the Wyndham and enjoyed it very much. The location is great and close to shopping and restaurants. The staff was friendly and very helpful. Will definitely stay there again. On a side note, it's about a 20 minute walk to Navy Pier. We walked down St. Clair to Ohio St. Ohio street has a pedestrian underpass that goes under Lake Shore Dr. and when you get to the other side you are in the park. Navy Pier is right there.	
Jul 22 2004	Nice Hotel	We decided to &quot;step up&quot; to a better hotel than the standard Holiday Inn while taking the kids to Chicago for a few days. We signed up for the &quot;By Request&quot; service ahead of time which got us a free upgrade to a junior suite and other personalized amennities. The location was great and close to shopping/dining. Navy pier and the museums were only a $5-7 cab ride. Valet service is an extra $38/night and since there is really no public parking, add that to your room rate. You'll get unlimited use of your car, but you'll need to let them know 20-30 minutes ahead of time. The pool was small, but the kids didn't care.	
Jul 21 2004 	It was okay	Stayed 4 nights (Sun. thru Thurs.) at the Wyndham. Location was close and convenient to Mich. Ave. shopping and many restaurants. Corner Bakery across street for breakfast was great. The room was nice but we had some plumbing problems which required maintenance to visit our room daily the first three days. Housekeeping was prompt with requests for extra towels. Check-in was interesting as the names and number of guests were never listed correctly for our room, neither at check-in nor upon check-out despite a lengthy amount of time spent trying to correct this at the front desk. Nice amenities in bathroom, soaps, etc. Hot tub (cap. 6) and pool small. Did not try the restaurant inside the hotel but it has rave reviews. Bell services were very possessive about their carts. Would not let us use one to bring down our own luggage. Overall, it was okay - would stay again with Priceline rate (can't recall amount paid).	
Jul 19 2004	Weekend in Chicago	We stayed at the Wyndham for a long weekend. The location is great and our room was clean, but not much of a view. The only complaint was the hotel bar. Late at night it is terribly understaffed. It took a long time to get served. We ordered drinks and a snack (a small pizza to share). The pizza was absolutely terrible. We ate very little of it. We might stay here again because of the location and the price was good, but I would recommend eating somewhere else.	
Jul 8 2004	Disappointed	The location of the hotel is great. It's close to shopping as well as other attractions. Was extremely disappointed in the service in every department from the front desk to the valet parking. I arrived one hour prior to the posted check in time and expected that my room would not be ready. The clerk at the front desk took all my information and had me fill out a registration card. He asked me to return one hour later for my room key. I returned and was told that none of my registration information had been posted and had to go through the entire process again as well as wait an additional 30 minutes for the room. The room was clean with the exception of the bedspread on one bed which was filthy and soiled the sheets. I would not stay in this hotel again.	
