	Great Hotel downtown	Very conveniet to downtow. The Hotel is quite, clean and confortable with a big lcd tv. The hotel park cost a little bit much that other solutions, but very convenient. For breakfast there is a Starbucks very close to the hotel.	
Oct 31 2005	Essex is surprisingly good!	I'm writing this review from my room at the Essex Inn. I was VERY worried about what I'd find here, after reading some of the other reviews. Honestly, either I must have very low standards, or these other folks must be accustomed to places like the Fairmont, because this hotel is FINE.To be fair, there are a couple of minor issues.The good -Right on Michigan Avenue, directly across from Grant Park.Friendly staff (they happily loaned me an extension cord).Good rates for being in the city.Close to the museum complex, free shuttle there.WiFi for $3.95 per day.Clean, bright room (ok, so the decor is dated).Inexpensive guest laundry on site.Convenient restaurant with acceptable food.The bad -Beds are too short - not too small, too SHORT. I'm only 5'8&quot;, and my feet hang over the end of the bed. Sleeping on a diagonal solves this. BTW, I've already cut myself on one of the protruding pieces of the bed frame - be careful!No comfortable chair in the room. 2 desk chairs and the beds.Not much around here by way of other restaurants, though there is a good blues joint just a block away.The neutral -Yes, the bathroom is rather small, but I am a very large man and have had no difficulties with the shower, as someone else implied.Honestly, the place is clean, comfortable, inexpensive, and convenient. What more could you want?	
Oct 30 2005	WHAT A DUMP!!!!	We stayed at this dump for the Chicago Marathon. The prices were inflated because of the marathon. The hotel room was dirty, the tub did not drain, they did not have fitted sheets, and the last day the toilet stopped working. When we asked to be given the marathon rate (a steal at 189.00)they finally agreed, however, our entire credit never posted and we had to argue with them a month later to get the credit they issued...I even had the receipt from them!!!! I would never stay here again!!!	
Oct 27 2005	worth a chance	We had read all the reveiws prior to staying there and were somewhat filled with dread.We were pleasantly surprised on arrival howver.Staff very helpful esp bell boys, front desk staff and Ray the driver.....some improvement needed by resturant staff.......rooms were small but cozy,with loads of hot water in bathroom and location walking distance to Magnificent Mile .Shuttle was very helpful.There was a huge Opthalmology conference going on in Chicago at the time of our visit so our room was not cheap...$ 159.00 per night.I would have expected somewhere a lot nicer for that money but other hotels were much more expensive.Pool excellent and gym facilities.Worth a try in my opinion S Hall	
Oct 8 2005	This Place Is A DUMP	We have stayed at this hotel twice. I am in no way a prude (Hey, I am a Chicago Bears fan- just a bear drinking, football loving gal). The only reason we returned a second time, is because they have Chicago Bears ticket packages and we wanted to get tickets. They have very few ammenities. The pool and workout room seem OK. There is a cheesy bar- attached to a restaurant (the restaurant serves Dennys style food). The bar attracts some seedier types, in the later evening hours. I wasn't comfortable there. The &quot;outdoor garden&quot; was a weed patch. That's ALL they have. The rooms were not easy to climate control. The walls are very thin and the plumbing very LOUD. I did not sleep well all night. Carpets are filty and bathrooms in need of renovation. I would never recommend this hotel to anyone. I am surprised that the Chicago Bears organization would even allow the organization to be linked to this level of trash, with the number of awesome hotels we have downtown. Heck, they even host the Bears convention in the Hilton across the street. Much nicer hotel. Stay there instead! If you do the Bears package through the Essex because you want tickets- go to the Hilton for your meals and beverages.	
Sep 27 2005	Good Staff-Poor Hotel	The staff was the only thing acceptable at a recent stay at the Essex in Chicago. Carpets were dirty and stained, paint was peeling in the bathrooms, and the general condition was run-down.This might be ok if in Chicago for a football game or frat party but it isn't acceptable for most business travel.Take your shower shoes!	
Sep 20 2005	Not the Best BUT Not the Worst Either	We arrived at The Essex Inn at about 10:30 in the morning. We were not able to check in right away but they did hold our bags for us. We went to the Cards/Cubs game and returned to check in. Everything went smooth and fine. Yes, I will admit the decor is a bit outdated but we had a clean room and a pretty good view of the Lake and the area Museums. If you like to walk, it is in walking distance to the Museums and the parks are right across the street. Easy access to all bus stops and &quot;L&quot; trains. They even have a shuttle to the Navy Pier. The Bellman was of great help in recommending places to eat and how to get to alot of the attractions. If you like to live in Luxury then don't stay here. If you like a clean place to lay your head and is close to everything then this is the place for you!	
Sep 8 2005 	Not a good choice	Our room had cobwebs in the corners, a leaking faucet, paint chips and bare wood showing on the bathroom door, a difficult to operate heating/cooling device, plus an inconsiderate desk clerk. (The bellman and parking attendants were extremely efficient and helpful.)When we checked in, the desk clerk said it would be OK to write a check for the stay instead of using the credit card with which we guaranteed the room. Since I found I had forgotten my checkbook, I had my assistant &quot;Next Day Air&quot; me the check to pay for the room, resulting in an additional $21+ to the cost of our trip. When we tried to check out with my BUSINESS check, it was refused by the &quot;desk manager&quot; and we had to use a credit card I did not want to use.The attitude of the &quot;desk manager&quot; was not conducive to good customer relations.	
Sep 6 2005	Not worth it!!	I visited Chicago in August, 2005. I made the trip with two of my friends. It was my first time in Chicago. When I started looking for hotels, I found the Essex Inn online, and thought it would be a great deal. I was wrong. Yes, the price is reasonable. However, if I would have known ahead of time, I would have paid a lot more money to stay at a nicer place. There were many things that disappointed me about the Essex Inn. First, don't judge the hotel by the pictures on the website. They are very misleading, except for the pool. I will admit that the pool was pretty nice. We expected the rooftop garden to be a nice place to relax and wind down at the end of the day. However, the garden closes at the same time as the pool (10 p.m.). So, there is no time to enjoy the evening on the rooftop. Also, don't expect to have a good view from your room. On the website, they show a view of Lake Michigan, and Grant Park. Unless you are on one of the top floors facing Michigan Ave, then you pretty much have no view at all. The rooms were very small, and VERY 70's! The comforters and window shades were a pukey yellow color. There were a few pictures on the walls. However, one of the pictures in our room was barely hanging on the hook, and the frame was broken. There was duct tape on the window. The floor was stained (both in the bathroom, and the main room). In our hall way, there were random holes in the walls. It was just not what we expected. The staff was very nice over the phone. However, when we got there, the lady at the front desk was not very polite. Every time that we would call down to ask information, they acted like we were just a hassle, and they did whatever they could to get us off the phone quick. Moral of the story.... pay a few more bucks to get a nicer hotel. It may be cheap, but it's not worth it in the end.	
Sep 2 2005	Good value - Loved it!	My wife and I stayed at the Essex Inn for five nights at the end of August.For this we payed £525.00 expecting a basic room.After a cordial welcome we were given a spacious room, nicely furnished with a king size bed and floor to ceiling windows overlooking Grant Park and the Lake. (Just in time for a firework display).The bathroom was small and the tub had seen better days but everything was kept perfectly clean. Linen was changed a number of times (by choice it could have been every day).There was plenty of staff (always a good sign) and they were friendly, helpful and efficient. Bar prices were reasonable as were restaurant meals.We have pleasant memories of our Chicago vacation - helped by our choice of hotel which is well located.	
Sep 1 2005	You get what you pay for! Close to Grant Park	This hotel is old, out-dated and dirty. Our room was clean, however the wall paper was peeling off of the ceiling! There was no light bulbs in the lamps, the carpets had lots of stains! The decor was outdated! The location of the hotel is great! It is close by the free Trolleys, and the staff was helpful! The food in the restaurant was over-priced and nasty! I will never eat there again! My husband, my daughter, and I enjoyed the fact of getting our room earlier than we expected, but maybe if we waited, we could've got a better room! I doubt it! If you want to stay close by the festivals this hotel (South Michigan) would be the place, and if you do not care about the atmosphere, then Essex Inn is the place for you! It is also central location for the Loop, and around lots of Mcdonalds, starbucks, garrett's popcorn, and subway restaurants.	
Aug 17 2005	Getto-fabulous!	My boyfriend and I just returned home from a 2 night stay at the Essex Inn and I should have listen to this reviews before booking our stay there! Although the hotel was great price-wise for poor college students I would never stay there again!When checking in we signed a sheet of paper locking us into our hotel rate and gave them our credit card information...we then found out the next day after taking money out of an ATM and getting our receipt that they took over $100 more out of our checking then they were suppose to! We went and spoke the them immediately and were then told that they take an extra $50 out each day incase there is something wrong with the room. We never were told this or agreed to let them take the money off our card. The whole thing seemed a little sketchy and although it has only been a day since we left that money has still not been placed back onto our account! Although I did take the low price into consideration the place is a rat hole and the only thing nice about it was the artwork in the hallways. I felt like I needed to keep my shoes on the entire time I was in my room and bathroom looked like some nasty Frat house bathroom....the floors were disturbing and the water would not turn off all of the way so it ran constantly. Also... The second day that we were there we placed the &quot;do not disturb&quot; sign on the door because we were taking a nap before our next outing...and about an hour later we were woken up by a loud pounding on our door and then moments later someone tried to open the door and would have been able to walk right in if it weren't that we had latched it...we then realized it was housekeeping and then got really pissed off!... So the moral of the story is, stay further up on Michigan, in the end the price isn't worth it!	
Aug 8 2005	Essex Inn at Grant Park great hotel value	We stayed at the Essex Inn in Chicago a few months ago and were pleasantly surprised but both its value and amenities. The inn is neatly kept if not quite old, but the lobby has been renovated in quite a modern fashion. The restaurant in the lobby has hearty pub food as well as a fully stocked bar. The rooms have VERY small bathrooms, but nice and neat bedrooms, and upgrading to a suite is WELL worth it. For an extra $50 per night (on top of a VERY moderately priced typical room rate), we went from an average hotel room to a hotel room plus spacious living room on one of the top floors with floor to ceiling windows that made the view worth the price of the upgrade. Staff is friendly and the gym is worth checking out for its very large indoor swimming pool and outdoor rooftop sitting area. Overall, very pleased with this little known Grant Park accomodation.	
Aug 5 2005	Alright for the money	We just returned from 4 days at Chicago's Essex Inn. The room was small but clean. The bathroom door stuck so if you shut it completely it was hard to open. It would not be good for someone alone unless they were strong. The staff was very nice and helpful. The shuttle driver was also informative and very funny. The vending machines didn't always work but that is probably not the fault of the hotel's. If you are in a hurry forget about waiting for the elevators. Slow, slow slow. The restaurant is a little over priced but that is Chicago. Also 1 morning we had quite a wait because they were short handed. They like to charge plenty for the food but don't seem to want to spend it on help. If you are looking for a place that is reasonable and close to Grant Park and the museum campus this would be fine. If you want to be close to shopping pick a place further up on Michigan Avenue. Also there were the usual panhandlers and poor homeless people. Chicago should probably do a little more for these people. They are always spending money on city improvements but seem to forget these people.	
Jul 22 2005	Beware if you have small children!	This hotel meets your average criteria for clean and decent. But that's it. The rooms are small and so are the bathrooms but not any smaller than a Comfort Inn or Best Western. TV's were fine. Towels were good. Miad service did their job. But remember this hotel is an older hotel and it's age is showing. The decor is late 70's green and yellow. Some things to consider though that may change your mind about this place if you can get past the above noted are:If you have children, especially small children, the rooms have an entire wall of glass - great for the view but not so great for kids. The bottom 1/3 of this glass wall is windows with no screens or grates or any protection. The windows can be opened!!!! We had 2 rooms. In one room the windows handles were removed and the windows were bolted. In the other room, the handles were on the windows and one of them was not bolted. Our 3 year old son was able to open the window. We were on one of the top floors. This is very scary!Our shower was virtually a trickle, while the other room's (adjoining) was full blast. We wouldn't have hot water and the next room would (late at night).Beds are for people no taller than 5'8&quot; or so. Very short. Hubby is 6'3&quot; and even sleeping diagonal it was too short. I'm 5'10&quot; and my feet hung over.We drove to Chicago and were aware that there was a parking fee of $20 a night. However, if you drive a vehicle higher than 6' or longer than an average size car - your special fee is $30 a night. (We had a large SUV). And if you want to take it in/out - count on another $10.Pool is great. Kids loved it, except for the &quot;lifeguard's&quot; dinner break when they close the pool from 5-6:15. ?????Internet rate is the best for this average hotel. Don't pay more.	
Jun 30 2005 	Seedy	Someone reviewed and named the Essex a Rathole. Totally correct.Someone is either lying, or posting reviews from the managementif they say this is a decent hotel for the money. STAY AWAY. You can find other hotels at same rate that at least are not scary.SCARY. SEEDY. TACKY. TACKY. TACKY.Has anyone told you the halls and part way up are covered in old, dirty,LEOPARD carpeting .... the elevators get stuck regularly, and no onecares. Onto &quot;little&quot; things -- did anyone tell you there is NO MAINENTRANCE by which you can pull up and have a bellman get yourbags, or even take the bags in yourself? NO, you must drive aroundand back up a little side street (8th) and ENTER with car and bagsunderneath the hotel in a little parking garage and go in that way.YUCK. Doesn't it raise a red flag when one reviewer said the &quot;Security Guard&quot;made our restaurant reservations??????!!!!!!!!!! There you go. That'swhat you are in for. The rooms are small, but that's ok. I can live with that. But dirty.And another reviewer said, &quot;it was fine because food was not groundinto the carpet at least!&quot; Wow. Now that's discerning. And actually,I did see unnamed spots in carpet that I wasn't about to get close to.Wore my shoes even in the middle of the night. Finally switchedhotels. Not that it matters, what with everything else, but the showeris so tiny that I could not move without bumping my elbows; how domen do it? And a big man just could not. Basically, it is dirty, unsafe, and the worst hotel I've ever stayed in.	
Jun 3 2005	Good value excellent location!	I booked the Essex Inn on Hotwire at a very good rate not knowing which hotel I was getting. After reading the negative reviews on tripadvisor, I was very apprehensive about my stay as I had booked 5 nights. In our case, we had a very pleasant experience. The hotel is very clean, in a good location, and the service by the maids, bellman, front desk, and porters is excellent. The hotel pool and fitness room is top-notch, although the pool was a little cold for my daughter to enjoy herself. I would recommend this hotel as long as you can get a decent rate and aren't expecting the latest decor, fancy bathrooms, or spacious 4-star accomodations. Save yourself some money by getting a CTA visitor pass. The bus stop is right across the street and will take you to all of the major attractions.	
May 1 2005	Essex Inn excellent value for location	We enjoyed our stay at the Essex Inn, it's located on Michigan avenue across the street from the Hilton, and Grant Park. The room was clean, sunny, and all the staff were friendly, the cost of the room was quite reasonable. The Inn provided shuttle service to all of the shops on Michigan Avenue. I'll be staying there again in June!	
Apr 29 2005	Very expensive for very little	My friend and I found our stay dreadful. Room thermostats not working; we got over heated and the pool area was beautiful but unusable due to the extreme humidity and heat (and this was a cool day outside)! Management the next day said we should have just opened our windows; which we tried, but one was stuck closed.The receptionist was nice but given no authority by management. Management was not available when we and numerous other guests were having problems.Expensive valet parking with difficult car access and expectations for constant tips from garage staff. Also don't ask directions; they will confidently give you wrong directions!Nice Bellmen.Bath rooms terribly small.A bad choice, Don't go.	
Apr 4 2005	Essex is fine	For a cheap budget weekend. I think the Americans have a little different expectations on the size of the room - as by UK standards the room was fairly large. So for any UK people going to Chicago for a weekend - then I would say that the Essex is clean and comfortable, and occupies a great location between all the nightlife and shps of North Michigan Avenue and the Museum capmus at the southern end of Michigan Avenue. When we checked in there were a few complaints being made about room service - but we were missing a TV remote - but within 5 minutes of reporting this a replacement was brought to the room.	
Mar 13 2005	cheap or luxury?	My boyfriend and I stayed at this hotel for a night in March. When we first walked in we were impressed by the look of the lobby area. We were a little concerned when we were waiting to check in and a lady was complaining about the housekeeping service. The staff was friendly, but didn't put forth the effort to give any information about the hotel or the area, nor was there information in the room. The room was clean, but small and out dated. It was close to attractions and the shuttle service to N. Michigan was nice. The web site makes it look more appealing than what it really is. This is a good place if you are just looking for a cheap place to crash, but if you are looking for luxury look elswhere.	
Feb 18 2005	Essex Inn...Never Again	I have stayed at this hotel once and never again. What a rathole. The room is small and dated, the overall feel of the hotel is 1970s (in a bad way), and my 9th floor room faced a line of noisy buses that sat idling all night, besides other traffic and El noise. Was so bad I checked out and moved to a different hotel the next day. Awful! Pay a few bucks more and stay at: Club Quarters, Hilton, Swissotel, Embassy Suites, Hyatt, Sheraton, Radisson, or one of 100 other nice Chicago hotels, but skip this one, unless it's practically free.	
Feb 14 2005	Avoid at all costs	The Essex needs a serious overhaul. From the drywall tape peeling from the hallway ceilings and wall paper peeling in the bathroom. Along with a bathroom floor that hasn't been scrubbed or even lightly mopped. Plus the bath tub was absolutely filthy and whatever was painted on it was peeling off of the bottom, too. I am not sure what was on the walls of the bathroom around the toilet but it was absolutely gross. The stain under the table by the beds was pretty disgusting too. It's too bad we didn't see these things until we came back to the room later in the evening. The staff was nice and so was the pool area. These are the only things decent about the Essex. If you can, avoid it all costs! It is not worth one penny.	
Jan 31 2005	Ignore the terrible reviews	A bunch of 4 of us stayed here for a week in January, 2 couples with a double room each.To say we were aprehensive about the place would be an understatement, considering the horrific reviews on here. We payed $80 a night per room, including tax, a terrific price, leaving loads of money for shopping!The hotel rooms were fairly large, with 2 double beds in each and an ensiute bathroom. The decor of the rooms and bathroom left a lot to be desired! However, they were clean and for me that is the most important thing. There was no ground in food on the floor, our bathroom was spotless with an abundence of clean towels and we had maid service every day. For $80 a night, a person can't expecet to stay in the lap of luxury but we felt that we got more than value for our money with The Essex Inn and if we were travelling to Chicago again on a budget we wouldn't hesitate to stay there!Please please people don't let the few horribel reviews on here put you off this hotel!	
Jan 17 2005	This was okay	There are a LOT of bad reviews of this hotel, so I was a bit concerned, but it was the cheapest by far and not being picketed, as the Congress Plaza was.It was fine. There wasn't a view and the pool and workout area were closed, but the room was reasonably clean and the staff were helpful enough. Worth the price, but nothing fancy.	
Dec 29 2004	Erase the Essex	We just arrived home to Milwaukee Wi, from an overnight trip to the Windy City, our stay at the Essex was not what we expected from what we read in their website. The room was disgusting to say the least upon entering the room on the 12th floor we encountered in odd odor, the thermostat did not work we had to crack the window open in December just to get somewhat comfortable. The bathroom was dingy and the tub stained. and to top it off our room was near in area were you could here the &quot;L&quot; train all night. The only positive we found was the free shuttle to Navy Pier and Michigan Ave shopping. Be careful when choosing hotels their are other hotels slightly higher but they are worth it. Never Again from Milwaukee	
Dec 24 2004	Stay Away!!!	My husband and I stayed here with a couple of friends back in October. It was sort of a late honeymoon and we were very excited to enjoy all the fun that Chicago has to offer. We booked and paid for the room online and presented the reciept at the front desk when we checked in. That night, however, when I checked my bank account to check on our spending money, the hotel had put a $300 authorization on my card, even though my room was already paid for! (Not to mention that a room doesn't even go for that much!) That left us with no money for our vacation, and would have overdrafted my account if the authorization had gone through. I went downstairs to get an explanation and was (not very politely) told that no one on duty at that time could help me, and I should come back at 8AM! So I dragged myself out of bed at 7:30 only to find that a bill for $150 for the room had been slipped under my door! Now I was very upset, and when I went downstairs I was made to wait 20 minutes for the hotel accountant. Whe he finally showed up, he was not very pleasant, and although he removed the authorization from our account and room charge from the bill, he offered no explanation and an apology of&quot;sorry 'bout that&quot;. We then had to pay a $21 parking fee (not bad for Chicago, but you'd think they would waive it after what we'd been though!). Whatever you do don't stay here! The shabby rooms are NOT worth the price, and although the location is pretty good, the service is horrible!	
Dec 13 2004	acceptable bargain	dec 7,8 2004. samantha at reception was friendly and accomodating. not a lot of staff but all were helpful and friendly. old hotel but clean and functional. bathrooms are small but work as advertised. 3 blocks from harrison (red line), 5 from (roosevelt) orange line from midway. some panhandlers in neighborhood but no moreso than all along michigan ave. only 2 elevators so sometimes a delay. EXCELLENT pool and workout facility with professional equipment just begging for more use. found $61 rate on orbitz for weekdays. we will stay there again if rates remain this low.	
Dec 7 2004	Essex Inn Disappointing	Reserved a family suite with coffee pot, refrigerator, etc. Got a small two room suite with none of the items listed on the web site, not even a table with chairs. Bathroom small. Price high for what you get.	
Nov 21 2004	Not very nice	This is one of the worst hotels I've ever stayed in. There were holes in the carpet and something that looked like food ground into it. The bathroom and shower were very small and dated. The green tile in the bathroom was missing in some spots. On the elevator, you have to go through the storage room to get to the lobby. Stay at the Swissotel on Wacker! It's much better. Check Travelzoo for great specials!	
Nov 19 2004	Nasty...Better off spending more $$$$ elsewhere	I stayed at the Essex in July 04 and did not have a pleasant experience. The reviews were decent and the price seemed right so we booked it. When we got to the Hotel we were discuted by the nasty appearance. The rooms were dingy, smelled, and felt dirty. It took me 5 minutes just to get the shower to work properly. You could hear the loud noises the shower pipes made all the way down the hallway. Not worth it. Spend a few extra dollars and stay somewhere nicer. We dreaded going back to the Hotel room each night.	
Nov 10 2004	great locationbut not worth the hassle	I stayed at the essex inn this november for a girls weekend and we loved the location. The rooms were a bit dissappointing but not too bad.The only trouble I had was that i paid for the entire room on expedia, and upon check in I had to give them a credit card for &quot;incidentals&quot;. We did not damage the room nor did we take anything from it that did not belong to us. But that did not stop the Essex Inn from charging my card 69 dollars and change FOUR days later for no apparent reason. They've yet to return our phone calls and credit our card.Like I said, great location, but not worth the hassle.	
Nov 5 2004	Essex Inn OK for budget travelers	Stayed Nov. 1 &amp; 2, 2004. Great location on S. Michigan Ave. close to museums and bus line. Hotel is older but was mostly clean and comfortable. The window in my room did not close completely and the sheer curtains were dirty, so I kept the draperies closed the whole two days I was there. The worst part of room was the bathroom--looked like a bathroom in a dormitory in the 1940's. Everything worked and was clean, though, and shower had good pressure and plenty of hot water. I ate breakfast and dinner twice each in the Savoy Grill. Despite the upscale name, was about the same as a Denny's, and was OK (not great). Overall, it was OK for $79/night in this hotel market.	
Nov 2 2004	This place sucks!!!	Do not stay at this hotel. There are much better places you can stay at for about the same price. The Hotel itself is OK, but the customer service is pathetic. We checked out early and went to the Hilton Hotel just 2 blocks down because the service was so bad. (We had a great experience at the Hilton, at the rates were not that much more).This place has rude and unprofessional people.	
Oct 17 2004	Ewwwww	I stayed at the Essex Inn October 13-15, 2004. It was terrible.  I should have been alerted when upon check-in, I was required to sign a paper stating that early checkouts were subject to a $50 charge. There is very little attention to detail in this hotel. The lobby and hallways are dirty and the carpet on my floor (5) was very worn. When I went to unlock my door, I found smudges and some kind of unidentifiable substance on the doorknob....grossss... I asked for a King, but was given two doubles. The decor was cheap and old. The room included shampoo, conditioner, soap and body wash, hairdryer and an iron/ironing board. This was it. No coffee maker, no room service, not even a pad and a pen.  The bathroom scared me and I avoided it as much as possible. It was dingy due to the fact that one of the lightbulbs was burned out. There were stains in the bathtub and the paint on the bathroom door was peeling. The toilet was a commercial toilet similiar to one you would see in a public restroom...overall, it was an unpleasant environment. I only had to stay in this hotel for 2 nights for a convention. One of the other convention attendees told me that she was staying for 4 nights and checked out after the first night because she couldn't stand it. I would have done the same if I would have had to stay for another night.  Do yourself a favor and find a different hotel.	
Oct 5 2004	Good Hotel if on a budget	The Essex was a decent hotel if you are traveling on a budget in Chicago. The location was a bit inconvienent if you are a tourist (I would recommend staying around North Michigan if you can), but if you're in for a convention at McCormick Center, the Essex is a great location. There is a convienent bus stop for the number 3 bus across from the hotel and will take you up and down Michigan to shopping/eats in about 10-15 minutes. The front desk staff were very accomodaing. The room had an iron/board which was important. The building is old, but clean. The bathrooms were pretty tiny, but provided with many towels. The walls seemed fairly thick...never heard our neighbors. I would recommend the Essex in the future.	
Sep 12 2004	I check out early because of poor quality	I stayed at the hotel for a convention center at the McCormic Place.The Essex Inn has beautiful photos on their website - too bad you can't see the stained/burned carpets. If you take a shower there the water will reach your ankles before you’re done. The rooms smell bad and the beds have dust mites (look at the crease of the beds before you go to sleep and verify that the sheet don't have blood on them from the bugs biting you or the previous person that slept there).I want to let everyone know of these conditions because the management did not want to listen to my claims.The hotel is in bad condition, I don't recommend it to anyone.	
Aug 14 2004	Cute Hotel and Perfect Location	Stayed at the Essex Inn recently. My husband and two boys loved the hotel and the location. The hotel lobby was small but nice and not overwhelming. The staff, in particular Andrew, was unbelievably helpful in getting us to all the musuems nearby. He also helped us pick some cute Chicago restaurants. The rooms were very nice and spacious. The pool and workout room were great. The only thing I would have wanted was to be able to order drinks at the pool. Reading the posts below, I understand why the workout room has a policy to limit it to people over 18--it's for the safety of the kids--so, I consider that a positive, especially knowing my youngest son.	
Aug 12 2004	Change The Mattresses!	We were assigned a smoking room when we specifically requested a non smoking room. The mattress was so old that it had a dip in the center. The location was good though, and they had a shuttle to different area attractions. I wish the management had been more knowledgeable about late night eateries as we checked in late and there was nothing open in the area. We probably won't stay at the Essex again.	
Aug 10 2004	So So Essex	Stayed at the Essex the last week of July 2004. Hotel was ok, rooms are small but that is to be expected in some of the older hotels. Beds are small, I think they are full-size. Carpets were in need of a shampooing. Very dirty and stained. Pool area is nice but, beware of peeling paint on the bottom of the pool. My daughter had dove into the pool to grab a toy from the bottom and had a paint chip wedged under her finger nail. We had to mention this to the desk people twice and no one seemed to want to report it to management. Another thing about the pool area, make sure you have your room key or you will be acosted by the desk clerk/lifeguard. If you have children under the age of 18, they are not permitted to use the new workout room. If we had been aware of that fact we would have picked another hotel, that information is not listed on the website (that I could find). Our children are in their teens and were not allowed to use the facilites.	
Aug 9 2004	Best Deal in Chicago	One of the best deals in town. I've stayed at the Hilton across the street a few times and decided to give the Essex a try because it's much less expensive. Well, the Essex turned out to be much nicer than the Hilton, which tends to be run down. The Essex has good sized rooms for Chicago and the views were great. Ask for a Lake view. We were so close to the Musuems and the hotel had convenient transportation to and from. The pool and workout room were the best I have ever seen. I will only stay here from now on.	
Jul 31 2004	Good 	This is my second visit to Chicago. I booked the hotel theough Hotwire.com, which iswho would a pretty good deal. I had the rate of 71$ per night. The small lobby is surely elegent and modern, even though is relatively small for such a big hotel. The staff was VERY friendly and polite. I did not have a chance to check out the pool on the fourth floor, but many people said it is nice. I was given the top floor with partial park view and could see Navy Pier. The room is a little bit outdated and the the major problem is in the bathroom. They really need a little bit renovation in the bath. But, if you are not a person that would stay in bathroom more than 10 minutes, it is not a big deal. I think the rate and service is fear, considering its location and complementary service! Have a nice trip!!!	
Jul 29 2004	Nothing special	I stayed at the Essex Inn for two nights, 7/23&amp;24 and found it to be pretty average. It was a combination of the good and the not so good.The Good: Great location for visiting the Museum Campus. A short, and pleasant, walk (15 min.) to the Field Mus. and Shedd Aquarium. Hotel provided a free shuttle service to Navy Pier (and the Mag. Mile). Nice swimming pool. Very helpful Bellman. Helped us with our bags, directions and getting a wheelchair for my mother-in-law upon check-in. Top notch service from him. Decent on site restaurant. Only ate breakfast there. Hard to screw up pancakes and french toast, IMO. But the service was up and down. Decent price. After including all the taxes and daily parking fees it came to $120/nt.The Not So Good: Room was pretty worn around the edges. With a few less amenities than I usually get (no coffee maker, no in-room microwave or mini-fridge). Noisy locale. Maybe that's typical of being downtown, but the El sounded like it was right outside the window. The outside wall of the room was a floor to ceiling window. Which, I suppose, makes the room brighter and gives you a nice view (Of what, though? Our room just faced the Hilton across the street). But I think the glass wall also let in more street noise. Service without a smile. Other than the Bellman's professional manner, no one else on the staff we encountered seemed to act like they enjoyed working there, much. Attitudes ranged from indifference to borderline resentment for having to deal with us.A pool and convenient access to the Museum Campus were two important features we wanted and the Essex supplied both of those. However, on our next trip to Chicago, if we stay downtown, I will search around for another place that offers those same features.	
Jul 27 2004	A good value	We came for the Bayern Munchen v. Manchester United soccer game on July 25th. The room was $109 for 2 double beds. Big enough for myself, husband, and 2 kids. The room wasn't beautiful, but it was clean and the price was right.	
Jul 26 2004	Nice stay	Stayed at the Essex on July 17th. We were in town for the weekend to see a Cubs game and had stayed at the Sheraton the last time we were in town so we wanted to try something different. We arrived early (noon) and check in time wasn't until 3. They had a room ready for us so, we went up and unpacked. We were on the 4th floor right by the pool across from the elevators. We were a little worried about noise from the pool or elevators but it didn't bother us at all. The room was a little small but we were only there to sleep in it so it didn't really bother us. Had lunch at the Savoy restaraunt in the lobby and enjoyed it very much. We loved the location of this hotel. Very close to Navy Pier and the new Milenium Park. The staff was very friendly and helpful. We would stay there again.	
Jul 6 2004	Cheap and smelly	We stayed here for the Taste of Chicago and the room was ok but the bed smelled like someone crapped on the blankets. It was late so I didn't call down to the desk to get another, I just threw the blanket off and tried to get some sleep breathing in that awful smell. Other than that it was ok.	
Jun 25 2004	highly recommend	Have stayed at the Essex Inn 3 times in past year. Will never stay anyplace else unless the Essex is not available. A little older hotel, but rooms very clean and well kept. Any request for needs have always been taken care of quickly. All staff is friendly and go out of their way to make your stay enjoyable. Very knowledgeable about area and do their best to assist you with all your needs. The shuttle service is wonderful. We have not taken car out of garage except to go home. Staff pay attention to detail. Many remember where we are from and often remember plans from previous day and ask how they went. This is definitely home away from home.	
Jun 21 2004	Look harder or spend more	My family (2 adults, 2 kids) stayed here for 4 nights in June. The rooms are tiny and just seemed &quot;not clean&quot; (dirty is too harsh of a discription). Who knew there was a bed smaller than a double but bigger than a twin. The shower drained so slowly that we had to wait 20 minutes between showers. The sink was worse. The restaraunt was mediocre at best and was dirty (spoons with gunk on them, coffee cups with lipstick...). On the positive side: The location is excellent if you are planning on visiting the Museum Campus. The hotel offers a free shuttle that was very convenient and the pool area is great.For $100 a night, it was an inexpensive 4 nights in Chicago but I would have preferred spending another $50 per night and staying at the Hilton next door. 	
Jun 9 2004	Great place great value	Great value! Good hotel to choose if you are budget-minded. The pool area is excellent and enjoyable for kids and adults. It is a smaller hotel with fewer amenitites, but it was clean and comfortable. I would recommend this hotel to anyone!	
Apr 23 2004	Great location good deal	We've stayed at the Essex a number of times while visiting Chicago. It is a great spot for the budget conscience. Located a short walk from the Shedd Aquarium, the Field Museum, Adler Planetarium, Chicago Art Museum, the park (where music &amp; more take place) and pretty decent dining, I'd recommend this hotel for those who'd prefer to save the few extra bucks to use on shopping &amp; touring.We've also used the deli for a quick brunch before heading out to the shopping district or hitting the museums and attractions. It's not bad, a smidge more than you'd pay in, say, Toledo for the same fare but a fairly decent deal.This hotel is not a rush-rush-rush like some of the other hotels in the area which is good and bad, I suppose. As we've stayed all over Chicago, this is not our first choice but definitely one of our top choices for the money.	
