	hotel and a lot of history	hilton downtown, it has a lot of history, and a few film have been made here, when it was build it was the largest hotel in the world ,it was called the stevens.	
Oct 16 2005	Great location	Stayed for 3 nights in October. Excellent location across from Grant park. All staff at reception and concierge were friendly, knowledgeable and made us feel welcome. Room was spacious and clean. The hotel restaurant across from reception was also excellent. I did not like the Irish bar because it was dirty and was full of smoke, and also didn't like a barmaid in the bar near reception who had a bad attitude especially when she seemed to refuse tip left for nice male waiter and threw change at my husband!But apart from these 2 small problems which involved &quot;attached&quot; parts to the hotel we would stay at this hotel again.	
Oct 11 2005 	Inconsistent	The Hilton was once the largest hotel in the country, and it has its place in Chicago history. It presents a nice image to the general public, but its local management is behind the times. Some rooms are excellent though old, and other rooms are lacking in good housekeeping and showing their age. The health club and swimming pool are actually located on top of the parking ramp. The restaurants and bar and overpriced, and better food and brew can be found within walking distance. I'd rather stay at the Drake for the same prices.	
Oct 10 2005 	Very positive experience	I obtained a room using Priceline and was unsure what to expect. The room was spacious and contained two full beds. The furnishings were in good repair, and the room was quiet and comfortable. I had a wonderful view of Lake Michigan. This was a great value ($90) for the location. We enjoy taking the kids to the Chicago museums, so I look forward to staying at this location again!	
Oct 5 2005	Convenient great Pool but Reservation Problem	Despite having confirmed my reservation with a credit card, when I arrived there were no rooms available consistent with my reservation. The desk staff were not helpful. Ultimately I was placed in a room not usually used and directly under the kitchen. Until very late and again early in the AM the very loud sound of rumbling, rolling carts made sleep impossible. The next morning it took my making a few trips back to the desk, becoming aggressive and getting to the manager to get resituated in a room that met the reservation. Though I was given a breakfast coupon at the hotel coffee shop- a extensive and good buffet-the incident really got my vacation off to a bad start. Otherwise it is a convenient location, walking distance to the Art Institute, Buddy Guy Blues Club, Lake Michigan and its parks, shopping, as well as convenient for various public transportation connections. Having a pool was a definite plus on the hot, muggy August days I stayed there. Elegant lobby areas make one feel extravagant, even when taking advantage of weekend discounts.	
Sep 20 2005	Very disappointed	Checked in to the hotel at 11:20 pm on 9/2/05 after making on-line reservations on the Hilton website and paying for the 2 rooms in advance. One room was fine but the other was a total disaster. Had not been cleaned, smelled of urine in the carpet, vomit in the bathtub, debris everywhere. Staff seemed concerned but could not find adjoining or close by room as reserved. Promised to &quot;make it right&quot; and move us the next day. Returned to hotel at 3pm the next day and they wanted to assign us the same room. Said housekeeping supervisor had personally cleared it. Bell Captain staff took our luggage to the room, opened the door and refused to go in. Still smelled of urine. Fortunately Bell Captain staff was able to find us another room as front desk seemed unable to do the job. HHonors manager promised to refund to our credit card immediately. Never done. When contacted, HHonors manager said a check was being issued for the cost of the 2nd room for both nights. Its been 16 days and still no refund. Never stay at this hotel! I even provided digital photos to the HHonors manager to show the terrible condition of the room (2052).	
Sep 19 2005	Great Hotel for Our First Visit	My husband and I had a great stay at this hotel over Labor Day weekend; it was unlike some of the recent reviewers’ experiences. We had booked a king room with two bathrooms and selected an upgrade to a king towers room via e-check-in before our arrival since my husband is a Gold HHonors member. We were given a king room on the 23rd floor, which was executive level, when we checked in at the separate HHonors check-in desk. I asked the front desk attendant what the differences between all of the rooms that were listed during e-check-in (and I had kept the Tripadvisor reviews in mind), and she showed us a map of the hotel layout and where our room would be. She also explained that the two double-bed rooms with two bathrooms were the biggest rooms. The entrance from Michigan Ave. is amazing, and the hotel definitely had a “grand air” about it, even though there were tons of people in the lobby. The lobby was always busy and noisy with many people around, but our floor was always quiet. The Grand Ballroom was breathtaking, and the hotel made a point of letting its guests know that it had hosted many distinguished guests and made appearances on various tv shows and in movies. It was a nice touch to have a tv in the Executive Level rooms and suites’ elevators.I regretted not keeping the king room with two bathrooms, even though there were only two of us, since our room wasn’t huge, but it was more than enough space for my husband and me. The room was off of the front of the building, which had the lake and park views, so we had a side city view that faced south. We were high enough so that we couldn’t hear any noise from the street. The room had a historic air, but everything was updated. Everyone repeatedly stated that the beds were incredibly comfortable, but I didn’t believe it until I slept on one myself. I always have difficulty sleeping in hotel beds, but I didn’t have any trouble at all, which was a pleasant surprise, and my husband agreed that it was the most comfortable bed he had ever slept on, other than our own! I’m also sensitive to light and noise in the morning, so I wear a sleeping mask and earplugs, even at home, and our three-night stay was the first time that I never had to use either! The trade-off in having the smaller room was that we had access to the executive lounge, which served continental breakfast in the morning, hors d’oeuvres in the afternoon, and drinks through the evening. Luckily, we were able to take advantage of this a couple of times. We were also told that we would have access to the fitness room, but we didn’t have a chance to use it.The location was fine for us. We did realize that we weren’t in the “heart of the action,” but we spent a lot of time in the “Grant Park” area for Millenium Park, the Art Institute, the Jazz Festival, and Museum Campus, so it didn’t bother us. There were several subway/El stations nearby, and we used it a lot to get from one part of the city to another, as we’ve done in other major cities.One complaint that we did have was that the hotel seemed to “nickel-and-dime” its customers. Like a previous reviewer, we had to pay $1.50 per piece of luggage, and although we were aware of this practice in general, we had never encountered it during any of our trips. Also, we printed boarding passes out in the business center on the last day of our trip and had to pay $2 for each. I could understand charging for use of the internet, but charging to print boarding passes seemed excessive.	
Sep 19 2005	Beautiful historic hotel nice location	My husband and I stayed Sept 11-13. We were not part of the HUGE convention, we took a trip away w/o the kids. Got a great military rate for a nonsmoking King Jr Suite, rm 2263. The room was located at the end of the hallway of the middle tower facing Balbo Dr., we could see the lake and the fountain (and the tracks)Check-in: Quick, as it seems we got there before all the conventioneers, though they do offer several self-check-in kiosks, with a credit card. Bell-hops were ready and willing to help us with our 1 bag. I noticed they did not offer a wet bar key?hotel/Rooms: beautiful. hallways seemed a little dark, but it was part of the ambiance. Elevators were fine even thought the hotel was booked!!! There are 2 sets of elevators, upper and lower floors. Room was clean, nice and quiet. Small living room/bar area, perfect for our snacks ,water and sodas. I didn't check to see if the couch was a pull-out, if we came back out family of four (4 and 2 yr old) could stay in this type of room comfortably. HUGE TVs in both rooms. The pictures in the review before mine are very similar to the room we stayed in, though we had an extra/separate living room. Good water pressure and lots of hot water.Gym/Pool: There was a heat wave during our visit, so we welcomed the use of the indoor pool and spa on the 8th floor. We weren't charged the extra $, I think b/c I am a Hilton Honors member. We did not try the gym, but it looked to have several different machines in a nice bright setting. There was a deck where several people we laying out. I thought it was odd that they charged for water and lockers, when they already charge for the use of the health clubFood: did not try it, ice machines always full, even though hotel was packed.Staff: always nice and smiling. They did not openly greet us in the hallways but when greeted, they warmly responded. Concierge was helpful when I was trying to get directions.Since there was a big convention in town, it was difficult to find a decent room for under $200. I had reservation for W city center and this Hilton. I cancelled the W after a Chicagoan pleaded with me to stay at the hilton b/c of the beauty of the hotel and the location. We enjoyed it very much. It wasn't a &quot;heavenly bed&quot;, but a couple evenings without the kids made the stay romantic and heavenly. We were glad we chose this hotel and would stay again. Enjoy!Hope this helps with your decision.	
Sep 19 2005	Hilton Towers very nice	We stayed in the Hiton Towers Sept 16 for 2 nights. Room was nicely decorated. Extremely comfortable bed. Room was very quiet. We had one small problem with our phone ringing with wake up calls we did not order. We reported it the 1st morning and it happened again the 2nd morning. Called the Management, and they reduced our room rate for both nights to compensate us. The hotel's decor is very elegant and &quot;old world&quot;. It is about 2 block walk to the &quot;red line&quot; train.I've been in 3 other Chicago hotels, Hyatt Regency, Westin, Best Western Inn of Chicago, and this one had the nicest rooms. (quiet &amp; comfortable bed)Parking at the hotel is $38 a night. On the street behind the Hilton are several parking lots for $19 a night.I would stay there again, but I'd unplug the phone at night.	
Sep 15 2005	Good bits and not so good bits	We were originally booked to stay at the W Hotel but due to a last minute change had to go to the Hilton instead. Having read the reviews I was a bit concerned but to be honest it is not that bad.Good bits: We arrived on Labour day and check in was speedy. First impressions of the hotel are fantastic - on entry you walk into a very grand opening with steps on each side leading up to pianos and a terrace overlooking the park. You certainly get the feel of staying somewhere expensive and elaborate. All of the public areas are clean and for such a huge hotel it is a bit of a comfort to see security guards patrolling around. Our room on the 19th floor was at the back of the hotel but we still had a great view of the Sears Tower at night. Our room was more than big enough and the television was a huge widescreen (I only mention this because a previous reviewer mentions the TV as being small!). The bathroom was big enough for two of us to be in there at the same time. It was clean with plentiful hot water.The hotel is across the street from Grant Park and the Buckingham Fountain. You can also walk a little further up to Millenium Park. It is also close to the shops on State Street and some great pub/diner places on South Wabash. There is also a free shuttle that will take you up to the shopping on North Michigan.Not so good bits: The hotel is so huge it can feel a little impersonal. Didn't really bother us but I can see how others would be irritated by this. On our second and third days the Hotel hosted a nurses convention and a printers convention. The lobby was just packed the whole time with people on mobile phones. If you are a tourist looking for personal service and peace and quiet this may not be the place for you.Although in a nice location the hotel really is out of the way for most of the &quot;tourist&quot; type things, nice restuarants and shopping. We are young and fit so didn't have a problem walking up to the North in the day but I can see how the location of the hotel could be a hinderance for the less mobile. Having said that we didn't really venture too far out at night - only a few blocks to eat - as it is definately quieter once the sun sets.The bad bits: $13 to use the fitness facilities. A cheek given the cost of the hotel in the first place. $1.50 per bag to store your luggage. Again, we consider this to be unreasonable. You would think such things would be complimentary?? The room service and restuarant costs. It was something like $15 for two eggs for breakfast. Take my advice - walk a block to Starbucks or the nearby Corner House Bakery!Summary: Hotel was clean, comfortable and very palatial. We would stay there again if we had to but for location would probably choose something further up Michigan Avenue.	
Sep 14 2005 	not a perfect 10	On the check-out billing, there is a printed message that if your stay isn't &quot;a perfect 10&quot; to let the front desk know BEFORE (and the word before is bold) checking-out.We went for a business conference &amp; of course, all is true about the hotel being historical &amp; old. Beautiful ballrooms. Impressive lobby, rich with history.However:We booked an Executive Room that was on the upper floors under the suites &amp; had a view of a brick wall opposite us although light did get in the room.As we were unpacking, we found a pair of men's pants &amp; socks in a drawer &amp; were quite disturbed, as in &quot;what else hasn't been cleaned?&quot; We called the front desk immediately &amp; someone came to collect the clothing, nothing was really said or apologized from the staff. Upon return that night, there was a fruit basket &amp; card from the manager, however, there was ALSO a dirty cloth on one of the two beds from what we assumed they used to clean the drawers.Disgusted, we phoned the front desk &amp; asked to speak to the manager whose name was on the fruit basket card from the original mishap. He was unreachable, and we heard nothing of it afterwards.Some days we had a bath mat, other days we didn't.The hotel gym costs $13/day which is appalling... since when do hotels not include the service in their hotel stay?!The staff in general were not overly friendly &amp; barely smiled.The beds were comfortable. There were dead flies on the window sill where they stack towels in the restroom.As part of the Executive level, we had breakfast included every morning on the 24th floor: cereal, granola, bagels, bottled water, yogurt, juices, pastries, one table in particular had a beautiful view of lake michigan. The appetizers in the evening were delicious, chicken on skewers &amp; veggies.Given the service, or lack thereof, I would not pick this hotel ever again.	
Sep 1 2005	worn out 	I try to get the stay in Hilton wherever I go as their service had never disappointed me until this one.I decided to stay there knowing that it was slightly out of the loop area and just way far away from the night scenes making the journey more difficult to get back to the hotel.But when I arrived there, unlike its grand features of famous history, it was a tourist deluxe hotel, which means, there were lots of foreign group travellers occupying the lobby areas and their check-in process is one of the airport ticketing service feature with this printing machine, which did not do the good job for us, which means, when we needed the personal attention, we had to wait longer with short staff numbers in sight.The way to the elevator hall was sided with tacky display of shop arcades. I find it really cheap to see these features on the lobby level.On each floor, the corridors were really grand and wide stretched endlessly but the features were from 80s and looking tired and again with tacky carpet colors.The room we got was cornered to have the view over the lake, and the park in-between, but, that particular spot in the corridor had a very unpleasant piss smell with wet floor. I guessed someone pissed in the floor and the cleaning staff did not notice it while they clean the rooms. Or, they have simply too many rooms and could not check the same spot everyday.The room size(deluxe) was excellent but again, looking tired with this sour smell from an old room I believe. And I demanded them to come and clean the windows as there were some greasy hand marks and faces/lips.Instead of changing the room immediately, they said they would send a cleaning crew to recheck the rooms. When I got back after 11pm, still the same, and I was roaring one the phone demanding them to clean the windows and desanitize the air in the room and in the corridor.And, the receptionist instead of apologizing, was saying that 'I should understand this was an old hotel.' I understood old tired features unlike other HIlton hotels I have been to, but I could not compromise with cleanliness.Eventually, the director stepped in and deducted my cost with double points, but, it was too late. It spoiled my mood already.I am sure this is a good deal for the group travelers. And I have seen the lobby bombarded with East European tourists sitting on any surface of the lobby/staircase hall talking loudly and some convention visitors to the hotel banquet rooms equally loud and with poor manners.I would like to let other Hilton guests know that this is not the best place you should choose to stay while in Chicago.So, spend some more to stay inside the loop. There are excellent hotels there. I stayed in Swissotel in my next trip.	
Aug 16 2005	Chicago Hilton Up to Par with Other 4-Stars	I generally visit Chicago 2-3 times a year, but this was my first visit to the Chicago Hilton and Towers. I found it up to par with other 4-star hotels I'd visited in the city. The room was quiet and spacious enough. The bed and pillows were comfortable (maybe slightly better than other hotels) and overall it had a nice atmosphere. We upgraded to the two bathroom suite, which was nice when it came time to get ready in the morning.The location is ideal if you plan on spending time at the various museums on the southern end of the city. If, however, you plan on shopping or spending time north of the river, you should probably stay farther up on Michigan. You can always take a cab, or the Hotel shuttle, but neither are as convenient as being a short walk from all the activities.The only real negative to the hotel was the elevators. With the hotel being quite large, it was no surprise to find the elevators somewhat sluggish at peak times. Although for most people it really doesn't matter, I did notice that the tv was rather small for the size of the room.Overall, it was a good stay. I wouldn't mind staying there again, but would probably select another 4-star hotel a little closer to the action.	
Aug 15 2005 	Lovely Historic Hotel - Service Not So Great	The Chicago Hilton and Towers is a lovely historic hotel - beautiful ballrooms, wood paneling and marble in the foyer. Historic also means some problems with AC, noise and elevator speed. I was there for a week for a large conference. The hotel does seem a little &quot;dark&quot; (as mentioned in previous reviews) but I think this is due to the style - very heavy wood paneling. The first room I was in was small, but sufficient for one person. The king bed was VERY comfortable and I had a lovely view to the lake. However, during the weekend live music was playing until late into the night - all of which could be heard in my room while I was trying to go to sleep. Unfortunately, the bathtub didn't drain very well (several other people also mentioned this while I was there). Furthermore, halfway through my stay, my neighbors decided to turn up their TV to full volume. I could hear it loud and clear over my television. I called security and they came up. Of course, nobody answered the door so security called downstairs and advised about the situation (they even mentioned that the noise level was obscenely high - you could hear it all the way down the hall). The noise continued despite repeated phone calls by security. I finally asked to be moved to another room only to be initially told that no other rooms were available. I was put on hold and magically one opened up. I was moved downstairs to another room with a king bed. This room was much larger, with two large windows overlooking the lake. Overall, I was pleased with the rooms (especially since the tub in the second room drained normally). However, the service left something to be desired. The second day I was there nobody showed up to clean the room. I finally called at 4 pm and was told that someone should have already been there. They came up after I called. The next day the same thing happened. I think the housekeeping service thought I was calling for additional services but in reality I was calling because I never had service to begin with. The third day they still hadn't cleaned. By the time someone came up after I called, I told them to forget it because I was in for the night. A stop at the front desk fixed the problem for the remainder of the week. The AC was frightfully inadequate in the meeting rooms and foyer of the hotel. It was very hot and humid in Chicago and many of us sweated inside the hotel. When asked about the temperature in the meeting rooms, we were always told it was a &quot;union problem.&quot; We were lucky if things got fixed within a few hours. The food at the meal functions was mediocre at best, despite the fact that the meals were supposed to be high end. We waited 30 minutes between finishing our salads and being served the main course. Some of the serving plates and cups were filthy - see photo of &quot;clean coffee cup.&quot; Waitstaff was brusque (union employees). Could not use the fitness center without paying $11 per day (despite the fact that I'm an HHonors member - at Hyatt you get in free as a frequent guest). Overall, the hotel certainly did not live up to my expectations.	
Aug 12 2005	Great stay for the price	Came to Chicago on August 8th for my daughters 11th birthday. I was taking her, my stepson and stepdaughter to the Cubs game. We had a no frills room booked at the Howard Johnson for $110. This was the best rate I could find and since it was for one day and we were going to the game, who needed frills and a swimming pool. Also, the HOJO had free parking. While checking Hotwire one day they had a 4 star in Chicago with a pool for $95. So, I booked the room and it was the Hilton Towers. We decided not to drive into the city so we drove to Michigan City and took the South Shore line train into the city. I went to tripadvisor and read the reviews of this hotel and was a little worried about the other person who booked through hotwire. No problems here. We walked in and were wowed by the lobby. What a beautiful hotel. We got to our room and we had two double beds. Plenty of room for all of us. The room was well lit, clean, bright and airy. There were only two towles in the room. One call to housekeeping and just minutes later we were given extra towles. Kids swam in the pool and had a blast. The concierge gave me an excellent tip on where to take the kids for a fun dinner (ESPN Zone) and he was right on the money. The next morning we had breakfast at the Pavillion and the food was great, a little pricey but what do you expect. The only bad part about the trip was my Cubs got hammered 9-4. But it was a birthday my daughter will never forget.	
Aug 10 2005	Great Location!	Stayed at the Hilton Towers 8/5-8/8. This hotel is in a great location, right across from the parks. If you enjoy an evening stroll, this is the place for you!Our room was comfortable, quiet, and clean. Housekeeping had our rooms cleaned by 11 am each day. The hotel was full to capacity. The lobby areas were busy and noisy. However, the rooms were very quiet, and I tend to be sensitive to noise.Public transportation is no problem, several el stations are within walking distance. We walked to the Ogivie Center to take the metra to Glen Ellyn, where our daughter/son-in-law live. The walk was an easy 30 minute walk.We obtained a good rate on the Hilton Website ($152/night).We will definitely stay here again!	
Aug 9 2005 	So depressing	I've stayed here several times for business. If I could chose a different hotel, I certainly would. The interior of the hotel is dark and depressing, the rooms are small, you have to pay an additional fee to use the fitness facilities, the restaurant (The Pavillion) is TERRIBLE - avoid it at all costs and the bar (Kitty O'Sheas) is not much better. Overall, this is a lackluster, overpriced place to stay.	
Jul 31 2005 	Enjoyed our stay	We stayed at the Chicago Hilton for 3 nights in July on business. Our view of the lake was wonderful. The room was spacious and clean. The public areas were gorgeous. I forked over the $13 for the gym and it was worth it! I took the shuttle to shopping which was very convenient. Nice place!	
Jul 27 2005	Treated like a third class citizen!	BEWARE!I realize that reserving a room through Hotwire means that I may not receive a room on the 22nd floor with an amazing view of the lake; however, I fully expected to at least be given a room with a bed. Upon checking in at 3:30 in the afternoon, my fiance and I requested a non-smoking room. We were told that because we made our reservation through Hotwire, we were not guarenteed a specific kind of room. The receptionist went on to say that not only was the hotel overbooked, but the only room they were willing to offer us was the living room of a suite, equipped only with a pull-out sofa bed! She kept insisting that it was a lovely room with an amazing view, but I said I was more concerned about having a place to sleep than I was about looking at the lake (I'm from Milwaukee, I see the lake everyday). She left and spoke with a manager, but came back, unapologetic, with no alternative. Normallly I would have sat on the counter until the problem was fixed, but being newly pregnant, all I wanted to do was lay down. The view was great, but for $110 I could've slept on my own, much more comfortable, sofa. I travel quite a bit and have never been treated like this. I will not go back.	
Jul 26 2005	Beautiful Older Hotel	Stayed here for three nights over the 4th of July weekend. Chose this hotel because if it's location (across the street from Grant Park where the fireworks can be seen). Beautiful old hotel, well maintained. We had a king bed, very comfortable with quality linens and very comfortable mattress. We did learn that the standard rooms with two double beds are much larger than the standard rooms with a king bed (older adult family members stayed in one of the double bedded rooms). Nice bathroom, very clean. The public areas of this hotel are magnificient. The lobby is beautiful as are the ballrooms. We ate at the Irish pub in the hotel--good food and the most reasonably priced of all the restaurants in the hotel. If you're physically able to walk any distance, this hotel is conveniently located to the Shedd Aquarium, Field Museum, and Adler Planetarium. We didn't find very many restaurants close by other than in the hotel.	
Jul 21 2005 	Love the bed!	Best hotel bed I have ever slept on! Rooms were nice and clean. With 4 women sharing the room, we extremely appreciated the 2 bathrooms. We had a great view of the lake, very pretty in the morning. Plus it was a quick walk to the shore. Always had hot water for showers. Pool was nice with an outside deck for lounging. Oh, if you want to use the exercise facilities, plan on $13 a day for access.	
Jul 9 2005	Nice hotel but what's with the guests???	My husband and I stayed here for 5 days, returning July 9'th. I primarily chose this hotel for it's location (walking distance to museums, lakefront, etc.) and the spa. We greatly enjoyed both. We started every morning with a visit to the sauna, hot tubs, and pool, then showered and headed out to various attractions. This hotel is within walking distance of the Art Institute, the Shedd Aquarium, Field Museum, and Adler Planetatium. We also walked to the Chicago River for an architectural cruise, but that might be a bit far for some others.The only real problem we had with the hotel was our fellow &quot;guests.&quot; During our stay, several conventions landed there, including a group of Bible Bowlers (several hundred middle American families with preteen and teenaged children competing in a bible trivia contest), a horde of Pampered Chef ladies, and some others. Is it a Midwest tradition that because you have rented a number of rooms in a hotel, you have the right to take over common areas, such as the elevator lobbies on every floor, for group meetings? These group meetings consisted of 20-50 teens or Pampered Chefs sitting barefoot on the floor of the lobby area whooping and hollering, playing card games, and eating take-out pizza! It was most disconcerting, and I cannot imagine why the hotel management did not discreetly direct these folks to a private gathering area.Unfortunately, this kind of behavior damaged our experience of an otherwise lovely hotel. I hope the Hilton staff will find a way to deal with such lack of civility.	
Jul 8 2005	Fantastic hotel I cannot undestand the other negative reviews	I have just returned from a 3 night stay at this hotel and I found it wonderful. It is a very majestic hotel and our room on the 13th floor was huge (it was a smoking room). It had 2 large beds, and 2 bathrooms, loads of white fluffy towels, massive TV, a coffee machine, mini bar etc etc. The only tiny complaints I had was that there was no coffee in the room on arrival and on my way out I asked the desk staff, who assured me it would be there on my return from a night out.....no it wasn't. Also the lifts were continually busy, but it was 4th July and the hotel looked to be exceptionally busy, but 30 minute waits at a time seemed extreme.Other than those 2 minor issues, we loved the hotel, loved the rooms, loved the beds and the bedding was divine, loved the location......if we return to Chicago (which I hope we do) then without a shadow of a doubt we would stay here again, but perhaps take a coffee bag with us in readiness!!!	
Jul 8 2005	A great hotel	It is absolutly a beutiful hotel. My family was in town just for pleasure, this was the first time we were in Chicago.The location is ideal just in front of the park, overlooking the lake. Only one block walking to the event of Taste of Chicago, two blocks to the lake. The lobby is classy. We arrived around 5:00 pm, check in was very quickly. I booked two rooms for two nights, I was able to get one room with double bed and two marble baths, one room with king bed with marble bath, they were in the same floor. Both with the view of Lake and park. I was very satisfied. The rooms were clean, well decorated. The beds were comfy. My daughter loved it, she said this was one of the best hotel we ever stayed.The breakfast buffey in the hotel is so so. The gentleman in the front desk that we asked for information of attractions in the town was not helpful, it made us almost waste a day. The self parking garage should have better way connect to the hotel.Overall, if I come back to chicago again I will stay in this hotel.	
Jul 4 2005	All I can say is amazing with Class...	After reading some of these reviews I was scared to check into the Hilton Chicago. I don't know why people make up stories this hotel is amazing and so classy. From the time we checked in till we departed the staff was always there for us and always treated us with so much respect. Our room was ready when we arrived at 8am which was a bonus because we didn't have to hang around and our room was so impressive for the money, we had 2 bathrooms, you never get that no where unless you have a suite. When I come back to Chicago no doubt it will be back to this hotel I won't even think twice. Trust me when you walk through those front doors and through that lobby your jaw will drop at how beautiful it is, its classic with trimmings that are out of this world. Very impressed with this hotel and would give it more than a 5 star.	
Jun 29 2005 	Placing non-smokers in smoking rooms	I stayed at the Hilton Chicago during the month of June, and was appalled by their lackadasical policy regarding room reservations. The room, which I had requested as a non-smoking room, wasn't even ready when I got there. Several hours later, I finally got one, but the hotel informed me they were &quot;out&quot; of non-smoking rooms, and would have to put me in a smoking room for the night. Then, they said they couldn't guarantee me a non-smoking room for the remaining three nights I'd be there. As an asthma sufferer, I was appalled.A friend who had stayed at the Hilton warned me that they'd treated her the same way, that she'd been given a smoking room when she'd requested a non-smoking room. We both had similar experiences: the rooms wreaked of smoke, and opening the windows didn't help. When I ran the shower, the smoke smell intensified. I spent the night with the covers over me, blocking out the smell, and suffering from a tight chest and a runny nose. They had promised to put an ionizer in the room, but that never happened.The only thing they did to accommodate me was reduce the rate of the room.In the morning, I got this non-apologetic message on my phone, telling me they'd be unable to change the room. Then they lied and said my reservation never specified a non-smoking room. Livid, I called the front desk, told them I had asthma, that I did in fact have a reservation for a non-smoking room, and that their policy of overbooking rooms was a disgrace. I guess my complaints had some effect, because a half hour later, I was transferred to a non-smoking room. Considering how expensive the Hilton Chicago is, I should not have had to work this hard to get a comfortable room.I later found out that they were giving other non-smokers smoking rooms, even the day before I arrived! I hope this review alerts hotels to the fact that they should honor reservations, and not overbook. Plus, they should think about converting more of their smoking rooms to non smoking rooms. Most people don't smoke, and these greedy policies will deter people from patronizing luxurious hotels like the Hilton.Incidentally, the Hilton in New Orleans did the same thing when I stayed there a few years ago. Based on my experiences, chains like the Hyatt and the Marriott do a much better job of accommodating their guests.	
Jun 21 2005	Nothing but Class	With all of the choices available to stay in Chicago - choosing a hotel is a task all in itself. BUT, because I have been a Hilton Honors member for a number of years, I will always start with the Hilton chain. I'm proud to say, I hit the jackpot on this one. Just walking into the hotel is an experience. You'll find yourself in The Great Hall. It's marble and stone, not glass and steel. It's as if you left the States and entered a grand European Hotel. I was there with my husband who was on business. We checked in on a Thursday evening and then were scheduled to move to The Drake Hotel (another Hilton property) on Friday. The Hilton Chicago was able to book us the following day and were able to keep us in the same room. Quite impressive when the American Medical Association was holding their conference in the hotel. They still found room for us. No need to move. I'm really not much for big cities and crowds so while my husband was away for the day on Friday, I stayed in the hotel. The room was so comfortable, I probably wouldn't have left, but the housekeeper talked me into enjoying myself outside of the room too. She was very sweet and most informative about the area. She was the one that told me the hotel offered a free shopping shuttle that ran all day long. Even though I didn't go, I thought that was a great feature since getting around that city is almost impossbile unless you're on foot. The pool area on the 8th floor was very nice, even though it was an indoor pool, there is a great sun deck just off the pool area. There is nothing in the hotel directory letting you know about this deck. I wish I would have known earlier in the day, because that is what I really wanted to do. The room was beautiful, but it was the bed that would make me come back for sure. It was absolutely the most comfortable hotel bed my husband and I have ever slept in. Another nice touch were the books and magazines that outlined everything to do (and eat) in the city. There was also a book written by Mr. Hilton himself that outlined the generations of his family and the history of the Hilton chain which I enjoyed very much. I would have liked to have bathrobes provided especially with that caliber of room. The view was, well - there wasn't one unless you like looking at the side of a brick building. They do have Lake Michigan views for a minimal $20 per night extra, however those rooms were booked. We had dinner at their signature restaurant Buckingham's. Wow! I ate a 20 oz TBone that was one of the best steaks of my life. I highly recommend it. This hotel was once known as the biggest hotel in the world. Some of the most famous and influential people in the world have stayed there. The hotel is located on Michigan Ave right across the street from a beautiful park. It is in the heart of the convention world but so close to all that most come to the windy city for. Please go and enjoy this hotel. You will remember it for some time to come, but beware, it will be hard to accept anything less in the future. A note: With regard to my husband and I being Hilton Honor members, I felt that we should have received a little more than 2 free bottles of water.	
Jun 7 2005 	Too expensive for such a mediocre hotel	I stayed at the Hilton from 6/3-6/5 for small conference. I thought the hallways were dingy and dark, the rooms standard, the bathroom small and not as clean as it could be, and the beds wonderful. I expected A LOT more for $200 a night (thank god I didn't pay for it). No mini-fridge or microwave in the room. The desk clerks were really nice, helping us out with finding nice restaurants in the area. Since I'm a smoker, I appreciated being able to smoke just about everywhere in the hotel (rooms, hallways, outside the elevators), so non-smokers, take note! Overall, it served its purpose but I probably wouldn't stay there again.	
May 28 2005 	Very average for the price	I stay in Chicago all the time on business and had my first stay at the Chicago Hilton. I pretty much only stay at Hilton properties and have stayed at tons from Hawaii all the way to Budapest. This Hilton is not up to par. It's clean and the front desk staff is nice, but in Chicago, The Drake, Doubletree Guest Suites, and even the Hilton Garden Inn are all superior to the Chicago Hilton (and less expensive).Compared to other Hilton properties in Chicago, the rooms were not as well appointed, the bathrooms in the rooms were smaller and not as nice, the TV was tiny, the hallways on the executive floor were very noisy all night long, and the breakfast you get was more like a Hampton Inn than a 4 star hotel.If you're going to Chicago and you like Hilton brand hotels, you can do far better than this place.	
May 26 2005	Outstanding hotel	We stayed at the hotel Friday night, May 20. We had read other reviews on this site that indicated some difficulties at this property, but our experience was exceptionally good. There were no delays in checking in, they even had lemonade available in case there had been a delay (there wasn't.) We arrived before noon but were soon accomodated in a beautiful, large room with two queen-sized beds and two bathrooms. We attended a meeting in the hotel, and everything was done in an outstanding fashion. Would stay there again in a heartbeat!	
May 15 2005	Average hotel	We stayed at the Hilton Chicago for 2 nights in April. Although the hotel itself was beautiful, the rooms were rather small. Literally, there was barely enough room to move around the bed. As others have stated, the bed was very comfortable though. The location was okay - quite a way down Michigan Avenue.	
May 14 2005	Got an Upgrade on Priceline Beautiful Hotel	We loved this hotel. The beds were super comfy. There were beautiful linens (lots of feather pillows, a down comforter, super soft sheets), great service, clean, lots of nice restaurants, good location. We stayed here for $100 after receiving a free upgrade on priceline. We received a room with two double beds and two bathrooms which was wonderfully convenient. The staff were also wonderful, very friendly and helpful.	
