	Great atmosphere -- lovely friendly and comfortable	Location -- wonderful for walking, shopping, dining and going outService -- extremely warm, friendly &amp; helpfulAtmosphere -- historic, elegant, uniqueRoom -- modern, comfortable, spotlessly clean	
Apr 3 2007 	Perfect for us	We 4 women had an excellent stay. Everyone was courteous and helpful. Our rooms were clean and the beds were well appointed and comfortable. Heating / cooling system was quiet. Nicely within walking distance to shopping. All advice given to us by the staff was helpful and accurate. I would definately stay there again.	
Mar 28 2007 	What a great hotel!!!	We just returned from 4 nights at the Ambassador East. What a gem! The location in the Gold Coast neighborhood is perfect for finding restaurants and walking the Magnificent Mile. There is a train station about 2 blocks away. The room was very comfortable, with nice amenities, and there is free Internet service on the 2nd floor. Best of all was the bell and lobby staff! They really went out of their way to be helpful and greeted us warmly each time we left and arrived. I would say that this was the nicest hotel staff I've encountered in all my travels.	
Mar 19 2007 	Old worn hotel.	Ok. I've stayed at a lot of hotels that some posters on this site have classified as old and worn. I have disagreed with many of those posts and resigned that some people are way too picky. But let me tell you that the posts about the Ambassador East hotel being worn and tired are spot on. I love staying at old hotels, but this one is way too worn and in dire need of a makeover. The &quot;suite&quot; I had, though spacious, with a separate living room, bedroom with 2 full/queen beds, 3 huge closets and a bath, was just in overall sad shape. The vinyl blackout shades were torn, falling down and dirty. Lampshades were also torn. Furniture -- though nice I'm sure when new -- was faded and frayed. And overall it was like being back in the 80s when Laura Ashley was all the rage...lots of prints and florals and brass fixtures.I was disappointed in the room. No new washcloths morning 2 of a 3 morning stay, which would've been fine if they had left the used ones. Turndown service and chocolates were a nice touch, and the staff were friendly and helpful.The lobby is nice, with the smell of lillies almost over-powering.The 17th floor fitness center was run down and much of the equipment wasn't working.The hotel's restaurant -- we had dinner there one night -- the Pump Room, was VERY nice. Live jazz, awesome cocktails, and dinner was very good. The menu was limited, but it was great and the chef came out to make sure everything was ok. It was nice to have a great late-night dinner then take the elevator up to your room. For 3, including a couple glasses of wine, dinner ran about $250...about the norm for Chicago.The property's location is close to Rush and Division streets. Lots of bars and restaurants, but more of a walk to the Magnificent Mile for shopping. There's a Corner Bakery that's close for coffee and snacks/breakfast.I have read posts that make the claim that the property is being renovated. I cannot confirm this. The Pump Room menu said the restaurant was being renovated in March 2007. I'm not sure whether or not the entire property is, but I suppose it would make sense if they did it all at once.That said, i would only stay there again AFTER the renovation. Defenitely, in its current state, NOT a 4-star property.	
Mar 12 2007 	Classy Old Hotel	I love the history of this place. The Service was excellent. The rooms were small but clean and well furnished. The bathroom is where the hotel really shows its age. Small, with tub-shower. No room to set much of anything by the sink... shaving kit, make-up etc. But I would stay here again. My favorite part of the hotel was the Pump Room. The famous old restaurant and bar. Didn’t eat there, but a great quiet place to have a couple drinks with friends or while waiting for the wife to get ready.	
Feb 28 2007 	A perfect stay.	Just returned from 2 nights at the Ambassador and I have to say that I am very happy that I chose this hotel.It is true that this is an older hotel. But it is well kept and it does not lack in style and grandeur. (think of the hotel from the Shining, minus the elevator of blood and creepy twins.) From the check-in desk to the surprise turn down service from the maids, I was made to feel like royalty.A special acknowledgment goes out to the doormen who helped me with all my tourist questions.Also the location of the hotel is great. Close to all the action, but on a quite residential street with beautiful old mansions.I also got a sweet $89 per night room by booking on travelzoo. That was just an added bonus however. Even if I paid $200 per night, my impression of the Ambassador would not change.Highly, highly recommended.	
Feb 19 2007 	Expected better but could be worse	My wife and I stayed at the Ambassador East (AE) on a recent Saturday night. We booked our stay through Hotwire and paid $100 for the night. This doesn't pertain to AE, but we were a little surprised that the AE qualifies as being in the &quot;WaterTower&quot; section of Chicago, as it is actually a good walk from the WaterTower. On to the hotel itself. The lobby area is quite nice with marble floors and appears well kept. There was a large sitting area with fireplace and a piano, which we didn't make use if during our stay, but could be nice. The valet service leaves much to be desired, don't help with luggage or doors upon arrival, slow getting out vehicle when leaving. As another reviewer noted the lobby area had fragrant fresh flowers in it. Check-in and check-out were as quick and efficient as you could ask for. They even let us check in even though another person we were spending the weekend with, who had a different last name, had reserved the rooms. The actual rooms themselves were decent sized and appeared to be clean. The bathroom lacked for sized but towels were fresh and not worn. The ceiling of the room had several spots where the plaster was coming lose or had fallen away already. The chairs in the room could use a major update. A telephone jack in the room was basically falling off the wall. These little things leave me with an impression that this isn't really a 4-star hotel as it was billed. But it's certainly could be worse and for $100 is probably worth it. If you're looking to hit some bars on rush and near rush and division and then stay over-night you can't beat the location. If this had been a 3-star hotel all expectations would have been met. The bed and pillows were alright, but after many a drink I wasn't going to notice much as them anyway. I wasn't overly impressed with Pump Room, the attached restaurant. We went there Sat. night for late drinks and for Sunday breakfast. Though not busy either time, service was slow and the service staff seemed annoyed by our presence. My drinks were made as they should have been but my wife's drinks must have been mixed by a rookie bartender. The morning breakfast was good, but for the price it better be. Don't let me give you the wrong impression. This is an alright hotel, not 4-stars, but alright and at a good location.	
Feb 16 2007	Not bad but you could do a lot worse	We recently spent two nights at the Ambassador East, the 9th and 10th of Feb. Got a pretty good rate via an internet site when I looked for what was characterized as &quot;boutique&quot; rather than &quot;4-star&quot;. We've stayed in a half dozen different hotels for weekend getaways in the last six months and there are better options out there for comparable or better prices. First off, access to the entrance is logistically difficult; the street is narrow, no one seemed to be manning the valet parking so there was no place to disembark from our vehicle without parking a half block away...which is what we had to do. Bell help was non-existent. I don't require help with luggage as a rule but with temperatures in the single digits and struggling to produce the valet key for the parking guy...a little help with the bags would have been nice. Finally got inside and got checked in which was no problem at all. Pleasant desk help. Beautiful lobby, fresh, fragrant bouquets of flowers on the stairway up to the main lobby floor and also in the lobby proper...a very nice touch. Room was OK. Furnished adequately but not extravagantly and not terribly large. Carpets, walls, hardware, bathroom were all in good repair and I only mention it because I read reviews where people got threadbare carpet or stained bed linens. We saw nothing like that. Pillows really weren't up to what you would expect in a place like this...very flat with virtually no support but the mattress was comfortable. Ambassador East is in the portion of Chicago known as the Gold Coast so if you like downtown (Michigan Ave, etc) then this would not work for you. It is a ten minute cab ride to get to downtown, and, there aren't many restaurants within walking distance that are what I would consider good dining experiences. Back to the hotel. After we checked in Friday night, we went down to the lobby to talk to the concierge about restaurants...and found the concierge desk unoccupied on a Friday night. The desk clerk said he didn't know where the concierge was but he tried to recommend restaurants close by, within walking distance but his tastes were skewed by his age (mid 20s) and personal preferences which were not necessarily the same as ours. We did get fed and enjoyed ourselves primarily because life is what we make it and we like to enjoy life! Next day, we wanted to go out to lunch and on the way out, again stopped at the concierge to inquire about making dinner reservations. Again, no concierge, no manager, no one except the desk clerk who was no help at all. Finally, the bell captain took our name and our restaurant choice and left it for the concierge who would presumably be in later..... We went out and did some shopping and walking. Upon our return at 4 PM there was still no concierge and we learned that the bell captain had personally tried to make us reservations at the restaurant of our choice but could not because they were booked. I admired his tenacity but could not help but wonder where in the world the concierge was since the desk is prominently displayed in the lobby with a big sign on the front of it denoting its purpose. We ended up checking out Sunday morning and never ever once saw or even confirmed the existence of the aforementioned concierge....I don't think the hotel actually employed anyone in that capacity...I think that if someone had spare time, like the desk clerk or the bell captain, or the valet, they would sit there and assist people but no one was dedicated to the job which is a big mistake. People traveling to Chicago for the weekend or from out of town freqently want and need advice about night life and restaurants. Bottom line is that if you want good location and access to great restaurants, stay elsewhere. If you are looking for a cheap bed in Chicago, then this will work for you.	
Feb 8 2007 	Charming Old-Style Hotel	We also just returned from a frigid weekend in Chicago. I booked the Ambassador East because of its great rate, $89.00 with my AAA card and we were delighted. Yes, the rooms show some signs of wear, but the warmth and charm far make up for it. This was such a pleasant change from the sleek, modern look of many other chain and boutique hotels. We became members of the I preferred program and were therefore eligible for an upgrade which we automatically got upon check in. We had a lovely suite with lots of sitting room and a comfortable bedroom and bathroom. We had wonderful food at the Pump Room which is classic. Our oatmeal there was so tastefully served, I'd love to have some right now! The location was great. Had it been normal winter weather, we could have easily walked to Michigan Avenue for shopping, but due to the minus 20 degree windchills, we opted for a cab which was less than a $5.00 fare. We also enjoyed a glass of wine around the fireplace in the lobby and found it so welcoming and cozy and not overcrowed at all. We would definitely stay here again!	
Feb 5 2007	Excellent hotel	My husband, ten year old daughter and I stayed at the Ambassador East this past weekend. Although temps were below zero, the hotel was warm and inviting. When we requested a larger room after arriving, we were placed in a large room with living area, modern bathroom, Aveda products and two double beds. Service was excellent and the fireplace lounge was cozy in the evenings. The Pump Room is beautiful, even though we had a child with us they invited us in one evening, let us enjoy a glass of wine and brought our daughter a special dessert while we listened to live jazz. We hear this landmark hotel and restaurant are about to undergo some serious changes, and although I'm sure renovations are probably needed, it will be a shame to give up any of the charm or history. We will definitely visit again.	
Jan 13 2007 	Felt right at home...	I was recently forced to leave the comforts of my Chicago condo due to repairs. A neighbor of mine reccommended the Ambassador East Hotel. He had lived there for several months before he moved into his condo. He seemed to hold the hotel in high regard so I took his advice. I never expected such a warm and welcoming environment. The hotel is so unique. Much more character than any of the other hotels I have seen in Chicago. To say I was impressed would be a huge understatement. The staff remembered my name and by the end of my stay they felt very much like a family. I reccommend this hotel to all.	
Dec 19 2006 	Wonderful hotel	My husband and I recently had our most enjoyable trip to Chicago, staying at The Ambassador East Hotel. From the first person we spoke to while booking our reservation to the last person we saw as we left the hotel staff was the friendliest we have encountered. The room we stayed in felt warm and home-like and had a breath taking view of the city. We will definitely stay at The Ambassador East Hotel again. I highly recommend this hotel.	
Nov 24 2006 	Very nice stay at this hotel	This is a lovely, historic hotel. I liked the &quot;comfortable&quot; rooms that didn't have all black accents, weird colors on the walls, and nothing fluffy in sight. The lobby was warm and welcoming on a blustery, cold Chicago weekend, especially the fireplace area. The staff was very friendly and accommodating. The Friday evening concierge and lobby staff were particularly helpful when my husband and I came in, literally, drenched from standing in the rain at Shedd's Aquarium waiting for a cab. It was about 35 degrees and we were, to put it lightly, miserable. They offered to order pizza &quot;in&quot; and we could sit in front of the fire and eat after we changed and got warm. We ended up taking a cab and going out to eat pizza, but they remembered us as we came back down and were walking out and inquired if we were &quot;warm yet?&quot; Perhaps the carpet was a bit worn in our room, but the linens were nice, the bed comfortable and the room (suite) was very clean and cozy. Small TV, but that's not why I stay in a hotel, so no problem for me.	
Nov 19 2006 	way overrated 	This Hotel is about 40 years past due for renovation!!!!! Bathroom door knob broken-door does not lock except when using the deadbolt. A/c unit rattles. Carpet needs a major cleaning. Bathtub surface peeling. Walls need new wallpaper. Drafty windows. Furnature scratched and worn. Staff was very nice and professional. For the money spent I will go elsewhere next time. I have stayed in Holiday inn's that looked better than this. This hotel is no value for the condition it is in. In my opinion this is not a three or four star hotel!	
Nov 13 2006 	Not impressed	We were not impressed with this hotel at all. First the Doorman did not acknowledge us upon arrival, we had to get our own bags out of the cab while he stood and talked to a co-worker. Check in was neutral, desk staff definitely was not over friendly. During our stay we were only greeted by the maid staff that we saw in the hallway upstairs. Otherwise, we passed by the Concierge, Front Desk, Bellman and Doorman several times without ever being greeted! The room was small and located down a side hallway which was only big enough for one person to walk down at a time. The beds were not very comfortable and were just topped off w/ a down comforter w/ no cover. The bathroom was small and not clean. There was &quot;pubic&quot; type hair in our tub and on the floor, and the tub needed to be reglazed. The only good thing about the bathroom was the mirror was big, they had Avedo products and the sink was a cute, newer free standing. When we called about the hair they did respond quickly but the maid didn't even get it all and we just ended up rinsing in down the drain ourselves. We paid $285 for this hotel through Hotwire b/c we went on a weekend packed full of conventions and wanted to scream when we realized what we got for our money. The location isn't ideal either, it is out of the way so it was quite but it is a $5.00 cab ride to the Mag. Mile or you can walk about 4 blocks to the Subway station at Clark/Division and take that down for $1.75 plus a $.25 transfer fee (to take the train back within 2 hour window).	
Nov 3 2006 	Too pricey for accommodations!	The Ambassador East would have been a fine hotel if we had paid about half the price for the room we had. The room was very worn...the carpet seemed dirty and definitely had seen better days (about 20 years ago), the bathroom was very small and the toilet and tub both had cracks. Fortunately, the linens on the bed were fairly new and comfortable; however, the 2 pillows provided on the bed were not comfortable and there were no extras in the room. We ended up paying about $300 (after taxes) a night for this hotel and couldn't help feeling a little ripped off for the accommodations. The location is good and the front desk staff was friendly, but I would only stay here if you get a really good rate.	
Oct 14 2006 	Good location for the price a 10 minute walk Michigan Ave.	This Hotel is located in a very upmarket end of Chicago. We found it was a very plesent 10 minutes to Michigan Ave. Our room, by European standards was very large, we had a twin and it had two double beds, still with ample space to walk around, a walk in wardrobe, with a iron and iroing borad provided and a comfortable large bath. It was clean and comfortable. Within walking distance are many american style restaurants both for breakfast and dinner. The Concierge staff were really helpful with booking tours and with suggestion as to how we might get around to see the city. For us it was all we needed in a hotel for a short city visit.	
Oct 13 2006 	A Gem	I was allocated this hotel by Priceline and after reading some reviews was a little concerned. Okay so some say it's not the jewel it once was, but it's a gem by my standards. I called the hotel a few days before we flew out, to ask for a non smoking room, and have nothing but praise for the courteous way in which my call was handled. On arrival, the front desk staff were also courteous and helpful. A quick word here about access: there are 5 or 6 steps up to the lobby and another 5 or 6 up to the bar and restaurant. If steps are a problem for you , check with the hotel. All rooms are served by elevators.Our room was large, clean and nicely appointed with plenty of drawer and hanging space ( a proper wardrobe too). . The location is perfect - just a few short blocks to bars (Division St) and restaurants (N Rush St) also bus and 'El' stops. The lake is 2 blocks away - but to get to it you have to go under the busy main road ( steps ). The restaurant is pricey but worth every cent: we only had breakfast but it was divine. We could not fault the Ambassador East and would like to thank all concerned for making our stay so enjoyable.	
Oct 13 2006 	Beautiful old hotel	After reading reviews here and on other travel websites, I was very worried about staying at the Ambassador East in Chicago but I was pleasantly surprised. From the moment I stepped out of the cab, the staff was ready to serve. The check-in was fast and smooth as was the check-out. The hotel is old and I knew that upon arrival but it is old school gorgeous with its' architecture, light fixtures, paintings and pictures on the wall. The suite was large with antiques. The bedding was all new and I would have to say, one of the best nights of sleep in a hotel that I have had in a long time. The bathroom was tiny, the tub drained slow but it was clean and the HBA products were Aveda, which is a nice touch. We did have dinner in the famed Pump Room. The food and the service was excellent. My mouth is watering thinking about the Wild Alaskan Salmon. My cousin had the Dueling Soups for a starter and said that it was fantastic. Applebee's price range it is not so keep that in mind. The neighborhood is gorgeous, too. It is close to the lake and not far from Wrigley Field. Our only complaints were that they still want to charge $10 to hook into their Internet and we did not feel that we should pay even more to check on business. Another complaint was using the valet service. We hoped to just put the charges on our bill but in the early morning when we tried to leave, the valet had to jump into the vehicle and take us (2 women) around the corner to a parking garage to pay. Take note: there is an outdoor self-park right across the street.	
Oct 2 2006	Loved it would return historic hotel in the Gold Coast	I found the Ambassador East to be great. The location is great, tucked away in an elegant neighborhood. The hotel is historic, the lobby is beautiful. They are in the midst of a renovation of their rooms and we stayed in a room with new bedspreads, new bathroom amenities, etc. I am pretty picky about my hotels but nevertheless would return to the Ambassador in a second.	
Sep 21 2006	Prime location and great staff	My stay at the Ambassador East was for a company meeting in September 2006. My organization required 30 rooms, plus meeting facilities, and extensive use of the catering and restaurant services. All in all, the hotel did a great job. The events coordinator and staff in general were stellar. A few small exceptions were some wait staff/bar staff who we noted had worked some extreme shifts - they seemed to always be there, whether early AM or late PM. Their endurance for our loud bunch seemed a little taxed at times, but I can hardly blame them. When we acknowledged our surprise (and sympathy) for their ubiquitous presence, they seemed to warm to us. The hotel itself is a historic property - I believe 100+ years old. Charm follows, but so does certain unfortunate elements such as persistent humidity throughout the hotel. While it was occasionally raining during my stay with outside humidity around 70% most days, I would still expect my hotel room's environment to not feel moist all the time. Most people in our group commented on this problem, noting that even their clean clothes felt dewy right out of the suitcase. It reminded me of that feeling you get when you go camping. Maybe it was just the time of year - who knows, but after my business stay at the Ambassador I moved to another hotel a block away - Hotel Indigo - and did not experience the interior humidity issues. Décor in the rooms was dated and frumpy for my taste - but most noticeable was the general wear of the furnishings (room 447): stained carpet, threadbare/stained bedspread, and some banged-up walls. The good news is this should all be completely updated with a fresh, boutique-like décor within six months or so. The hotel is finalizing their new appointments and the hotel events coordinator showed our company’s meeting coordinator their “model” room. The report came back very favorable with clean-lined furniture, wenge wood detailing, and a neutral color palette. That should be much better. When complete, it sounds like the new look will warrant the price and its AAA four-diamond rating. The Pump Room restaurant was alright. The historic photographs and wine selections are the best thing going for it. Since we were relegated to their catering menu, I can’t comment for the real menu offerings, but what we had was palatable and satisfactory. Concierge was extremely friendly and helpful. The business center is a little lacking and high-speed wireless internet should be free. They’re a little behind their peers on that detail as most hotels in their price range offer that service at no extra cost. It’s a good property, with a generally great staff and the location is prime.	
Sep 6 2006 	Excellent choice good value	Just about everything worked out great with this hotel, it was a first time visit. I prefer to stay closer to Lakeview area but the hotels there were all booked for the Labor day weekend. After extensive shopping around I found the Ambassador East with a rate of $143 a night for a nice room with a king size bed. When we arrived we were professionally greeted with prompt service and expedited to our room on the 17th floor (top floor). It was nice and large and very comfortable. I did notice a smell of chlorine or chemicals and thought they might be from the fitness room which is on the same floor, but there is no pool or whirlpool. The chemical odor disappaited after our first day so it must have just been from the room getting a good thorough cleaning. The view of the city from the 17th floor is quite spectacular. Positive things: Nice fitness facility although we never got around to using it, the weather was to nice and we spent most of the time outdoors, location - only 3 blocks from the red line stop at Clark and Division and walking distance to the shopping along the magificent mile and the Ohio River. On the negative side, getting hot water on the 17th floor takes a long time, about 10 minutes actually so you will be waiting to take a shower, the carpet in the room is somewhat worn but is clean, as is the tub in the bath which could use resurfacing or replacement. All in all it was pleasant and for the money we spent there, a good value.	
Aug 21 2006 	Good hotel for my money	My fiance and I spent Memorial Day weekend visiting Chicago, his first time ever and my first since I was a kid. We booked through Hotwire for about $120 a night and I was a little worried from previous reviews. I was happily surprised. It certainly is not at Omni standards anymore: our room was a bit old looking (the bedspread and bed covers were clashing loud florals with a forest green carpet). But everything was pretty clean and the bathroom was great! I was happy to see Aveda products in the bathroom! Our remote control did not work and the front desk sent up a replacement. I also forgot a razor and they happily sent up a toiletries kit with nice products. The cleaning was thorough (except for one little corner that never got cleaned but there was nothing gross just a bit of dust). The location of the hotel is awesome! The walk to the metro (I don't know what the El is called underground) was about 7 minutes which was perfect and was also only a quick walk to some fun (sort of expensive) bars on a trendy strip. We enjoyed the Whiskey very much. Service at the hotel was great and I know that can depend on who is at the desk but I think it also has something to do to what the customer brings to the situation. We had a good experience and it was definitely worth 120/night though I would not pay more than 150 for this hotel.	
Aug 8 2006 	loved love love	I took my 2 teenage girls on a trip back home to the Chicago area and wanted to stay in the city a couple days to show them the sights. Wonderful hotel, the area was so Chicago. Walking distance to EVERYTHING. The hotel is just stuck right smack dab in one of the wealthiest neighborhoods in Chicago. Very classy, nice and quiet old town Chicago. The rooms were clean and nice, the halls were quiet and the pump room was wonderful, welcoming and friendly.I recommend this hotel to anyone who wants a real taste of Chicago, or if you are going back for a visit home and want to really feel like you are home.wonderful staff and just a great feeling all the way around.Cannot wait to go again. This hotel is not for the 20 something party maniacs, its very sophisticated and filled with old style class if you want loud out of control music and drunks hanging around the halls go the the &quot;W&quot; hotel down the street.	
Aug 2 2006	Great hotel	We booked this hotel through Priceline and were worried after reading the mixed reviews from other visitors. We needn't have worried because everything was excellent from the moment we stepped through the door in to the splendid lobby area, to the very pleasant reception staff and friendly gentleman who showed us to our room. The room was very large (particularly by English standards!), beautifully decorated and lacked nothing. We had been a bit doubtful about being further north than we had wished to be but the area was excellent. A lovely quiet residential area only two blocks from the lake and only a few blocks north of Magnificent Mile with plenty of good quality and good value restaurants within easy walking distance. We thoroughly enjoyed our time in Chicago - a wonderful city made even better by staying at the Ambassador East - I would recommend it to anyone.	
Jul 31 2006	The dirtiest most run down hotel in Chicago!	Please do not even consider staying here. I am a Chicago native and used to think this hotel was an old, classic, grand hotel. Was I ever wrong!!! From the second we walked in, we could tell that most of the guests were the type of people you find at a motel in Atlantic City. We walked into our room and almost got sick. There were disgusting stains all over the carpeting and on the bedspread. The sheets felt like sandpaper and had old stains on them. We were going to try to suck it up but just realized for $475 (2 nights), we would rather sleep standing up!After we complained they showed us another room that was just as creepy, run down and dirty. Since we booked through orbitz the hotel could not give us a refund but we called orbitz and after they spoke to the manager, gave us a full refund on my credit card.I was so sad to see that this hotel had become some unsanitary...it used to be a Chicago landmark.	
Jul 12 2006	Pass the Windex	We stayed 3 nights at The Abassador East. It was not without its charms as I enjoy older, boutique style hotels but I have much experience with 4 star hotels and do not see this hotel deserving anything above a 3 star rating. My complaints are thus:1)Two smallish windows in the room were filthy. It really looked bad and gave a dirty feel to the entire room.2) Our king sized bed had a non-fitted bottom sheet which was barely tucked in. Throughout the night it would bunch up exposing us to a bare mattress.No down comforter, no pillow top mattress, just 2 king-sized pillows. Nohigh thread count sheets.3) Really small television with low quality audio.4) A bathroom door which would not shut unless locked into place.5) No vent fan in bathroom.6) Single air conditioning/heating unit, room either too hot or too cold and those things are always loud. The nicer hotels use vented systems, not these units.On the plus side, I would say the staff was friendly, the neighborhood was charming and convenient.	
Jun 13 2006	Great Staff vintage hotel not an Omni anymore	This Historic hotel has character. The staff made our stay very enjoyable. We were there June 8-12, 2006. When we arrived we were unhappy with our room, disappointed,room hot even with A/C running at MAX cool and blackout curtains drawn. Bathrooms have no fans. We had an additional night stay on Sun because of flight schedules (Hotwire hotel prices had gone up significantly by the time we found the good airfare prices, plus with Hotwire we didn't know where we would end up, even with 4 stars.) We immediately made other reservations at both The Drake and The Omni. (We used our cell phones, EACH local call $1.15 whether connected or not.)Ambassador East Staff was tenacious, yet courteous and professional in their efforts to keep our business at the Ambassador East. Oumania was upfront about wanting to keep our business with them and upgraded our room to a suite on the opposite side of the building (no afternoon sun) .We received the upgrade whether we or not we stayed the extra night. We decided to spend our entire time at the Ambassador East, partly because the cost was significantly less than the Omni or Drake but also because the Ambassador East staff was friendly and helpful plus the upgraded suite was more what we were expecting from the original booking on Hotwire. We were not exactly thrilled with Hotwire's policy of not knowing the hotel until AFTER you pay. We only tried Hotwire because friends we were going with recommended Hotwire, they had gotten The Drake for less than we got the Ambassador East. The bottom line for working stiffs like us is PRICE. We will probably use Hotwire again,but we will book as early as possible. As it was we booked about 2-4 weeks after our friends (who have used Hotwire for the same timeframes and have gotten The Palmer House and this time The Drake, both for less than we paid for the Ambassador East) and we paid $150/night for the Ambassador East, they paid $112/night for The Drake. The Ambassador East is no longer an Omni hotel. I loved the Ambassador East's Business Center (2nd floor), open 24hours, free internet and free printing for my Yahoo! maps of the area. I could check my e-mail but more importantly I could print my SouthWest boarding passes 24 hours in advance.The Pump Room restaurant was okay (2 comp breakfasts) but pricey. It would have been $47 plus tip for the Chef's Table(buffet), an American Breakfast(2 eggs, ham, potatoes, toast), coffee and juice. The Pump Room itself was cool, B/W pics of celebrities from &quot;the good old days&quot;. Staff there was also very nice.We did not rent a car, mostly because of the high daily valet parking rates $36/day in/out privileges, covered garage Across the street was a public parking lot $29/day, not sure of in/out rights. The parking in Chicago was expensive, about $10-15 minimum, $20-30/day rate.) We would stay at the Ambassador East again, if the price was right (less than $100 night).	
Jun 1 2006	Nice hotel nice location terrible service	The first and most important requirement for a hotel is to be able to get a good night's rest. This hotel did not provide that and so you should avoid it. The hotel was nice enough, if you like vintage hotels as I do. The location was very nice, easy walking distance to Old Town, Rush St., the Hancock Center and 3 blocks from the red line.But they blew it our last night there. Somebody decided to have a drunken party in the room next to ours at 1:30 am. It took four phone calls to the front desk and 30 minutes to get the situation resolved. Their initial response was to call up to the party room and ask them to be quiet! Give me a break! Have they never been around drunk people before? This response from management was unacceptable and they offered no apology and no effort to right the issue.	
Jun 1 2006	Way past it's prime	We booked this hotel through Hotwire, fortunately for a single night stay. Though the hotel has an interesting history, it is 'over the hill'. . .ambience does not equate comfort. Our room was tiny but the bed was comfy. The bathroom needed renovation. Upon entering we noticed a distinct 'toilet' odor. We asked to be moved to another room but were told that our request could not be considered until late afternoon. .so, because our stay was to be short, we remained in the assigned room. I'm certain we will never book the Ambassador East again. Not rcommended!	
May 30 2006	Disappointed	Made reservations several months ago for two rooms with two double beds because we were attending a wedding at the Pump Room over Memorial Day weekend. Arrived to find that they didn't have the rooms we reserved. They had a single bed room and offered a roll-away bed.Also paid $36.00 for valet parking only to discover later that the rear bumper had the paint scraped and also had white latex paint. It appears it the car was backed into a wall or fence.Hotel is old and dated. Doors and moldings are covered with many lawers of paint. Facet in the bath was the type you press to turn on. The water would remain running for over 50 seconds after being release.	
May 26 2006	Horrible service	We had booked a block of rooms with this hotel for our wedding (15 rooms). However, they could not get a single thing correct. First, they gave us a cutoff date on when the rates wouldn't be guarenteed. A family member called a few days before this, but they would not grant the discounted rate. My husband called and they said that they supposed they would try and give them the discounted rate and it wasn't their fault because they were training new people. (How is this not their fault??). They gave us nothing to make up for this. Next, we were supposed to have a room to get ready in for the wedding. However none of the staff would help us carry up our stuff. There was no iron in the room as promised. There was nothing to hang our clothes on, so my wedding dress was laying on the floor. They were told we were ordering food from there, ordered sandwiches and were told that it would be at least 45 minutes. Once we finally ate, food was mediocre at best. When we were ready to leave, we, once again, could not find anyone to help us carry stuff down so my parents and older relatives and friends got stuck carrying bags and boxes of stuff down. They had promised strawberries and champagne in our suite, however (surprise surprise) they didn't show up! The rooms were ok, definitely NOT worth the price. Very disappointed in the service. Would strongly recommend staying AWAY from here!!	
May 8 2006	Bumped out of the Hotel.	Booked to stay 2 nights 3/5/06 to 5/506 through Hotwire.Arrived at the Hotel after a long Journey at 20.00 hours to be greeted with you do not have a room,we have over booked and we are transfering you to &quot; The Gold Coast Hotel&quot;the Taxi driver said he had never heard of this Hotel but said he will take us to the addresson arrival it was the Days Inn a no star dump from a 4 star booked hotel,we returned to the Ambassador and told them that under no circumstances were we going to stay there,they kept on telling us thst there was no other Hotels available due to a big conference in the City,we said that we would sleep in their lounge and advertise our plight,low and behold they suddenly found us a room in the IDIGO HOTEL around the corner,we left with doubts but on arrival at the Inigo it was a dream,staff were great,rooms fabulous the Ambassador gave us the option of staying the 2 nights there or return the next day for a up grade no way were we going to return,this ment checking out at 12.00. check in at 3.00 which would have ruined that complete day.The Ambassador Hotel had sold off the empty rooms weeks earlier to Hotwire and then when a Big Conference came up decided to Bump the Hotwire guests (approx 56) to the Days Inn and cash in on the Rates to the the Delegates of Companys.Hotwire have kindly refunded all my costs and we hope that they never use the Ambassador again.The outcome is a very Greedy Ambassador Hotel with no regard to the people who had booked this Hotel in good faithThe good thing to come out of this is the INDIGO HOTEL was Fab.we would recommend this Hotel to ALL.Regards Alan &amp; Gwen Moran 88 Delph Park Ave. Aughton, Lancs L39 5DQ U.K. e-mail 2more@moran3.wanadoo.co.uk	
Apr 8 2006	Yes it's older but......	it definitely has character. We spent a week there, just last week. Couldn't have been happier. What with seeing the negative reviews, we were a bit worried. We paid $100/night on Priceline, and I figured we'd get the short end of the stick. Couldn't have been more wrong. From check in with Oumania, behind the counter, we were off to a great start. And talk to Mark, the security guy, if you're into sports. He can fill you in on your favorite and not so favorite players that come thru town. The doormen, too were all very friendly. And here we were Sox fans in the North of town. They all couldn't have been nicer. OK, so our room carpet was a bit worn, and one wall had a crack, and the tub had some paint peeling around the drain. But it wasn't dirty or moldy, like I've read here. The one BIG negative......didn't care for the room coffee. OH, it wasn't the coffee it was the water. Once we changed that to bottle water, it was great. Housekeeping took a worn bathrobe (yes, they have bathrobes)and didn't replace it. When my wife called, they were up within 10 min. The King bed was very comfortable, with a ton of pillows. It's close to the &quot;L&quot;...4 blocks. 2 blocks away are Lakeshore Dr. and bars and restaraunts on Division. A bit further north on Wells is Old Town which has a great atmosphere for an older neighborhood. Only had drinks at The Pump Room, and it too had a great atmosphere. We'd be back!	
