	Weekend Affordable and Close to ORD/Chicago	This is an excellent hotel if you are in Chicago for the weekend and you don't mind taking the MTA into the City (30-40 minutes $2). If you are flying in, then they have a very frequent shuttle to pick you up from ORD. And if you are driving-in just for the weekend, the hotel is adjacent to the Blue Line Station to get into the city. Traffic can be maddening.They have an good fitness room in the basement and the pool area is adjacent with families. The only caution is that I would recommend any room ending in ##14, you will be away from the freeway and the room is set up as a 1 bedroom. Many room have the TV on a lazy Susan/dresser separating the sleeping area from the living area. Other thing, all bathrooms are modern walk-in showers--no tubs...	
Feb 23 2006	Nice Hotel but...	This was a nice airport hotel but I have no reason to choose it again when in the area. This is a newer hotel with really nice rooms however the sound proofing is rather poor considering it's proximity to the Kennedy expressway, L-train, and airport. I could hear every L-train as it passed by the hotel and the air traffic noise got a bit loud at times. In my opinion this was not up to regular Renaissance standards which are usually nicer than the anchor Marriott line. The room was decent sized however failed to include a microwave or a fridge. The bedroom was rather small with very little room at all once the door was closed. For the cost ($89 a night) this was a great hotel but once again not up to Renaissance par. If you can spare the extra $20 stay at the Marriott Suites O'hare up the road which has much larger rooms and much better sound proofing.	
Jan 19 2006	Clean Rooms Good Bar	I travel every week to many different locations. The rooms at this hotel were quite possibly the cleanest I've ever been in. Very modern and comfortable. Good for relaxing or getting some work done. Nice shower. The bar was inviting and so were the ladies. Good times.	
Nov 21 2005	Revive at Renaissance	It is grand from the moment you step off the shuttle bus. Though located so close to the airport, they've spared no expenses on this recently built Marriott hotel.I could see the downtown skyline from my 14th floor window. The room was very tastefully done and spacious. The staff was attentive, except for a little mixup with room service the morning of my departure. There is a blue-line station right next to the hotel, less than a 5 minutes walk, this will connect you to all the &quot;El&quot; lines in the city, and it took about 30-minutes to make it to town.Enjoy your stay!	
Nov 10 2005	Clean Convenient Hotel	Overall liked the Renaissance quite a bit- no reason not to stay there again but also maybe no reason to go running back.The positives: very new hotel, the CLEANEST room I've stayed in in a very long time, friendly helpful front desk, nice concierge lounge with good breakfast, comfortable bed and bedding, easy shuttle to the airportThe negatives: the room I was in wasn't exactly a suite- it was more of an L shaped studio with a swiving tv on a low piece of furniture to divide the room so you didn't really feel like you had a true division of space, and while it's a nice place, it wasn't at all cushy or plush or high quality as my impression of Renaissance hotels normally is. I believe Renaissance is a fairly high end chain in the Marrriott hotel and I definitely didn't feel the furnishings fit that description (as compared to say the Renaissance downtown Chicago). I also don't agree with previous comments about price- I paid $188 for my room which was a AAA discount over the regular rate (over $200). Not a good value for this hotel.Again, the place is very nice, new and CLEAN which all count for a lot. It's also just not anything all that out of the ordinary.	
Nov 9 2005	Great Hotel perfect location	Just got back from a four-day visit to Chicago and loved the hotel we stayed at. The customer service was excellent, the beds were comfortable with many pillows, the rooms were nicely furnished, modern and they had a great desk/work area and roll out sofa. The staff was friendly, the El/Subway was within walking distance as well as restaurants like Bennigans for a late drink/burger. In addition, the shuttle from the airport was easy and quick. Only negatives. Parking was $15 per night and you could hear some traffic/planes in peak periods, but overall a great experience and we would stay there again on our next visit.	
Sep 21 2005 	Great Property Close to the Airport	Stayed at the Renaissance O'Hare during a business trip for one night. The hotel was great. Each room is a mini suite with more than enough room to get work done and also to relax. The hotels location right off of the highway and minutes to O'Hare makes it ideal for doing business in the nearby area and also for catching the early morning flights out of O'Hare.	
Aug 30 2005 	This Renaissance is the One!!		
Aug 13 2005 	excellent staff clean large rooms		
Aug 5 2005	Great stay at the Renaissance O'Hare		
Jul 9 2005	Great Airport Hotel / Bad Shuttle		
Jul 2 2005	Quiet and clean!		
Jun 13 2005 	Good business hotel.		
May 31 2005	Wonderful Stay at the Renaissance!		
May 17 2005 	Great Airport Hotel		
Apr 19 2005	OK for business - not ready for a banquet reception yet		
Mar 11 2005	Great new hotel		
Aug 11 2007 	Schönes Hotel gute verbindung		
